Orthogroup	Prbl	Syab
OG0000041	Prbl.g_00339	Syab.g_02333
OG0000042	Prbl.g_01236, Prbl.g_01121	Syab.g_01019, Syab.g_00099
OG0000045	Prbl.g_00609	Syab.g_00871, Syab.g_01787
OG0000046	Prbl.g_01184	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Prbl.g_01574, Prbl.g_00719	Syab.g_00876
OG0000048	Prbl.g_01465	Syab.g_00308
OG0000051	Prbl.g_01677	Syab.g_01073
OG0000052	Prbl.g_00870	Syab.g_00214
OG0000053	Prbl.g_00691	Syab.g_00746
OG0000054	Prbl.g_01752	Syab.g_01932
OG0000056	Prbl.g_01599, Prbl.g_01171	Syab.g_01452
OG0000057	Prbl.g_00025	Syab.g_01200
OG0000059	Prbl.g_00836	Syab.g_00397
OG0000060	Prbl.g_00508	Syab.g_02094
OG0000060	Prbl.g_00063	Syab.g_00707
OG0000061	Prbl.g_02084	Syab.g_00969
OG0000062	Prbl.g_00417	Syab.g_02234
OG0000063	Prbl.g_01981	Syab.g_00040
OG0000065	Prbl.g_00552	Syab.g_02500, Syab.g_01768
OG0000066	Prbl.g_00752	Syab.g_01516, Syab.g_02031
OG0000067	Prbl.g_02335	Syab.g_01659
OG0000068	Prbl.g_00502	Syab.g_02087
OG0000070	Prbl.g_00634	Syab.g_00614
OG0000071	Prbl.g_01722	Syab.g_00915
OG0000072	Prbl.g_00276	Syab.g_02593
OG0000073	Prbl.g_00533	Syab.g_02119
OG0000075	Prbl.g_00855	Syab.g_00202
OG0000076	Prbl.g_01285	Syab.g_00113
OG0000077	Prbl.g_00596	Syab.g_02446
OG0000078	Prbl.g_00193	Syab.g_02366
OG0000079	Prbl.g_01505	Syab.g_00340
OG0000081	Prbl.g_01036, Prbl.g_00032	Syab.g_01793
OG0000082	Prbl.g_01783	Syab.g_01971
OG0000084	Prbl.g_00246	Syab.g_00781
OG0000085	Prbl.g_00405	Syab.g_02243
OG0000086	Prbl.g_00583	Syab.g_02468
OG0000087	Prbl.g_00810	Syab.g_02551
OG0000088	Prbl.g_01838, Prbl.g_00281	Syab.g_02586
OG0000089	Prbl.g_02674	Syab.g_00551
OG0000090	Prbl.g_00766	Syab.g_02041
OG0000091	Prbl.g_01647	Syab.g_01866
OG0000093	Prbl.g_02359	Syab.g_01582, Syab.g_01090
OG0000095	Prbl.g_00927	Syab.g_01210
OG0000097	Prbl.g_02579	Syab.g_01051
OG0000098	Prbl.g_00722	Syab.g_01553
OG0000099	Prbl.g_00893	Syab.g_00230
OG0000100	Prbl.g_01914, Prbl.g_02305	Syab.g_01694
OG0000101	Prbl.g_01000	Syab.g_00446
OG0000102	Prbl.g_02636	Syab.g_00104
OG0000103	Prbl.g_02139	Syab.g_01296, Syab.g_02895
OG0000104	Prbl.g_02125	Syab.g_02910
OG0000105	Prbl.g_01461	Syab.g_00303
OG0000106	Prbl.g_00411	Syab.g_01817
OG0000107	Prbl.g_02681	Syab.g_00367
OG0000108	Prbl.g_00511	Syab.g_02096
OG0000109	Prbl.g_00527	Syab.g_02112
OG0000110	Prbl.g_01795	Syab.g_01984
OG0000111	Prbl.g_00026	Syab.g_01201
OG0000112	Prbl.g_02470	Syab.g_01392
OG0000113	Prbl.g_02310	Syab.g_01689
OG0000114	Prbl.g_02407	Syab.g_01633
OG0000115	Prbl.g_00687	Syab.g_00748
OG0000116	Prbl.g_02069	Syab.g_00945
OG0000117	Prbl.g_01384	Syab.g_01018
OG0000118	Prbl.g_01736	Syab.g_00897
OG0000120	Prbl.g_00892	Syab.g_00229
OG0000121	Prbl.g_00234, Prbl.g_00240	Syab.g_00772
OG0000122	Prbl.g_01808	Syab.g_01839
OG0000123	Prbl.g_01135	Syab.g_00454
OG0000124	Prbl.g_02054	Syab.g_00088
OG0000125	Prbl.g_02231	Syab.g_02763
OG0000126	Prbl.g_02127	Syab.g_02908
OG0000128	Prbl.g_02109	Syab.g_00012
OG0000129	Prbl.g_02243	Syab.g_02749
OG0000130	Prbl.g_00608	Syab.g_02434
OG0000131	Prbl.g_00303	Syab.g_02564
OG0000132	Prbl.g_00283	Syab.g_02584
OG0000133	Prbl.g_00897	Syab.g_01387
OG0000134	Prbl.g_02677	Syab.g_00554
OG0000135	Prbl.g_02190	Syab.g_02815
OG0000136	Prbl.g_00647	Syab.g_00588
OG0000137	Prbl.g_01340	Syab.g_00697
OG0000138	Prbl.g_00528	Syab.g_02113
OG0000139	Prbl.g_00760	Syab.g_02035
OG0000140	Prbl.g_00754	Syab.g_02033
OG0000141	Prbl.g_01751	Syab.g_01931
OG0000142	Prbl.g_01639	Syab.g_01873
OG0000143	Prbl.g_01643	Syab.g_01870
OG0000144	Prbl.g_01042	Syab.g_01757
OG0000145	Prbl.g_00534	Syab.g_02120
OG0000146	Prbl.g_02469	Syab.g_01393
OG0000147	Prbl.g_02468	Syab.g_01394
OG0000148	Prbl.g_02316	Syab.g_01682
OG0000149	Prbl.g_01552	Syab.g_01720
OG0000150	Prbl.g_01576	Syab.g_01930
OG0000151	Prbl.g_02386	Syab.g_01612
OG0000152	Prbl.g_02478	Syab.g_01383
OG0000153	Prbl.g_02505	Syab.g_01343
OG0000154	Prbl.g_02532	Syab.g_01317
OG0000155	Prbl.g_00185	Syab.g_01009
OG0000156	Prbl.g_00115	Syab.g_00933
OG0000157	Prbl.g_00114	Syab.g_00932
OG0000158	Prbl.g_00843	Syab.g_00161
OG0000160	Prbl.g_00241	Syab.g_00774
OG0000161	Prbl.g_00227	Syab.g_00766
OG0000162	Prbl.g_00221	Syab.g_00755
OG0000163	Prbl.g_00452	Syab.g_02173
OG0000164	Prbl.g_00365	Syab.g_02307
OG0000165	Prbl.g_00356	Syab.g_02316
OG0000166	Prbl.g_00962	Syab.g_00407
OG0000167	Prbl.g_00857	Syab.g_00205
OG0000168	Prbl.g_00842	Syab.g_00136
OG0000169	Prbl.g_01302	Syab.g_00125
OG0000170	Prbl.g_01290	Syab.g_00118
OG0000171	Prbl.g_02055	Syab.g_00089
OG0000172	Prbl.g_02021	Syab.g_00080
OG0000173	Prbl.g_02000	Syab.g_00061
OG0000174	Prbl.g_02188	Syab.g_02819
OG0000175	Prbl.g_02150	Syab.g_02876
OG0000176	Prbl.g_02117	Syab.g_00004
OG0000177	Prbl.g_02116	Syab.g_00005
OG0000178	Prbl.g_02115	Syab.g_00006
OG0000179	Prbl.g_01961	Syab.g_00022
OG0000180	Prbl.g_01962	Syab.g_00023
OG0000181	Prbl.g_01963	Syab.g_00024
OG0000182	Prbl.g_01964	Syab.g_00025
OG0000183	Prbl.g_01968	Syab.g_00029
OG0000184	Prbl.g_02251	Syab.g_02738
OG0000185	Prbl.g_02273	Syab.g_02715
OG0000186	Prbl.g_00614	Syab.g_02430
OG0000187	Prbl.g_00613	Syab.g_02431
OG0000188	Prbl.g_00591	Syab.g_02454
OG0000189	Prbl.g_00565	Syab.g_02487
OG0000190	Prbl.g_00563	Syab.g_00190, Syab.g_00139
OG0000191	Prbl.g_01325	Syab.g_02522
OG0000192	Prbl.g_01316	Syab.g_02528
OG0000193	Prbl.g_00302	Syab.g_02565
OG0000194	Prbl.g_00299	Syab.g_02568
OG0000195	Prbl.g_00297	Syab.g_02570
OG0000196	Prbl.g_00286	Syab.g_02581
OG0000197	Prbl.g_00285	Syab.g_02582
OG0000198	Prbl.g_00284	Syab.g_02583
OG0000199	Prbl.g_00277	Syab.g_02591
OG0000200	Prbl.g_00069	Syab.g_02611
OG0000201	Prbl.g_00088	Syab.g_02628
OG0000202	Prbl.g_00089	Syab.g_02629
OG0000203	Prbl.g_00090	Syab.g_02630
OG0000204	Prbl.g_00091	Syab.g_02631
OG0000205	Prbl.g_00098	Syab.g_02638
OG0000206	Prbl.g_01282	Syab.g_02674
OG0000207	Prbl.g_00130	Syab.g_02677
OG0000208	Prbl.g_00129	Syab.g_02678
OG0000209	Prbl.g_01256	Syab.g_02698
OG0000210	Prbl.g_01257	Syab.g_02699
OG0000211	Prbl.g_01922	Syab.g_02374
OG0000212	Prbl.g_00192	Syab.g_02365
OG0000213	Prbl.g_01496	Syab.g_00332
OG0000214	Prbl.g_01469	Syab.g_00312
OG0000215	Prbl.g_01439	Syab.g_00281
OG0000216	Prbl.g_01436	Syab.g_00277
OG0000217	Prbl.g_01432	Syab.g_00273
OG0000218	Prbl.g_01428	Syab.g_00271
OG0000219	Prbl.g_01427	Syab.g_00270
OG0000220	Prbl.g_01426	Syab.g_00269
OG0000221	Prbl.g_01421	Syab.g_00257
OG0000222	Prbl.g_00911	Syab.g_00244
OG0000223	Prbl.g_00888	Syab.g_00226
OG0000224	Prbl.g_00877	Syab.g_00223
OG0000225	Prbl.g_01218	Syab.g_00538
OG0000226	Prbl.g_01222	Syab.g_00542
OG0000227	Prbl.g_01224	Syab.g_00544
OG0000228	Prbl.g_02673	Syab.g_00550
OG0000229	Prbl.g_00652	Syab.g_00583
OG0000230	Prbl.g_00650	Syab.g_00585
OG0000231	Prbl.g_00635	Syab.g_00613
OG0000232	Prbl.g_00619	Syab.g_00631
OG0000233	Prbl.g_01360	Syab.g_00645
OG0000234	Prbl.g_01339	Syab.g_00699
OG0000235	Prbl.g_00510	Syab.g_02095
OG0000236	Prbl.g_00526	Syab.g_02111
OG0000237	Prbl.g_00800	Syab.g_02129
OG0000238	Prbl.g_00795	Syab.g_02134
OG0000239	Prbl.g_00779	Syab.g_02151
OG0000240	Prbl.g_00778	Syab.g_02152
OG0000241	Prbl.g_01526	Syab.g_01884
OG0000242	Prbl.g_00768	Syab.g_02043
OG0000243	Prbl.g_02647	Syab.g_02025
OG0000244	Prbl.g_01879	Syab.g_02017
OG0000245	Prbl.g_01882	Syab.g_02015
OG0000246	Prbl.g_01886	Syab.g_02011
OG0000247	Prbl.g_01897	Syab.g_01999
OG0000248	Prbl.g_01900	Syab.g_01996
OG0000249	Prbl.g_01902	Syab.g_01994
OG0000250	Prbl.g_01799	Syab.g_01988
OG0000251	Prbl.g_01775	Syab.g_01961
OG0000252	Prbl.g_01772	Syab.g_01958
OG0000253	Prbl.g_01766	Syab.g_01956
OG0000254	Prbl.g_01747	Syab.g_01925
OG0000255	Prbl.g_01612	Syab.g_01912
OG0000256	Prbl.g_01626	Syab.g_01890
OG0000257	Prbl.g_01632	Syab.g_01885
OG0000258	Prbl.g_01655	Syab.g_01861
OG0000259	Prbl.g_01406	Syab.g_01538
OG0000260	Prbl.g_01403	Syab.g_01544
OG0000261	Prbl.g_01400	Syab.g_01556
OG0000262	Prbl.g_01395	Syab.g_01561
OG0000263	Prbl.g_01242	Syab.g_01035
OG0000264	Prbl.g_01859	Syab.g_01173
OG0000265	Prbl.g_02567, Prbl.g_01839	Syab.g_01773
OG0000266	Prbl.g_02556	Syab.g_01667
OG0000267	Prbl.g_02431	Syab.g_01433
OG0000268	Prbl.g_02432	Syab.g_01432
OG0000269	Prbl.g_02340	Syab.g_01650
OG0000270	Prbl.g_02337	Syab.g_01657
OG0000271	Prbl.g_02329	Syab.g_01279
OG0000272	Prbl.g_02328	Syab.g_01280
OG0000274	Prbl.g_01535	Syab.g_01700
OG0000275	Prbl.g_01538	Syab.g_01704
OG0000276	Prbl.g_01544	Syab.g_01712
OG0000277	Prbl.g_01545	Syab.g_01713
OG0000278	Prbl.g_01548	Syab.g_01716
OG0000279	Prbl.g_01556	Syab.g_01724
OG0000280	Prbl.g_01562	Syab.g_01736
OG0000281	Prbl.g_01577	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prbl.g_02405	Syab.g_01631
OG0000283	Prbl.g_02443	Syab.g_01418
OG0000284	Prbl.g_02449	Syab.g_01413
OG0000285	Prbl.g_01688	Syab.g_01402
OG0000286	Prbl.g_02477	Syab.g_01384
OG0000287	Prbl.g_02608	Syab.g_01350
OG0000288	Prbl.g_02531	Syab.g_01318
OG0000289	Prbl.g_02544	Syab.g_01303
OG0000290	Prbl.g_00930	Syab.g_01213
OG0000291	Prbl.g_00928	Syab.g_01211
OG0000292	Prbl.g_02128	Syab.g_02907
OG0000293	Prbl.g_02071	Syab.g_00946
OG0000294	Prbl.g_02072	Syab.g_00947
OG0000295	Prbl.g_00178	Syab.g_01001
OG0000296	Prbl.g_00180	Syab.g_01003
OG0000297	Prbl.g_01382	Syab.g_01016
OG0000298	Prbl.g_01383	Syab.g_01017
OG0000299	Prbl.g_01372	Syab.g_01047
OG0000300	Prbl.g_02582	Syab.g_01054
OG0000301	Prbl.g_02583	Syab.g_01055
OG0000302	Prbl.g_02586	Syab.g_01056
OG0000303	Prbl.g_00187	Syab.g_01149
OG0000304	Prbl.g_01102	Syab.g_01143
OG0000305	Prbl.g_00926	Syab.g_01208
OG0000306	Prbl.g_01586	Syab.g_01819
OG0000307	Prbl.g_00494	Syab.g_02078
OG0000308	Prbl.g_00492	Syab.g_02076
OG0000309	Prbl.g_00488	Syab.g_02071
OG0000310	Prbl.g_00160	Syab.g_00817
OG0000311	Prbl.g_00258	Syab.g_00811
OG0000312	Prbl.g_00254	Syab.g_00793
OG0000313	Prbl.g_00230	Syab.g_00769
OG0000314	Prbl.g_00699	Syab.g_00736
OG0000315	Prbl.g_00709	Syab.g_00726
OG0000316	Prbl.g_00441	Syab.g_02189
OG0000317	Prbl.g_00399	Syab.g_02251
OG0000318	Prbl.g_00393	Syab.g_02257
OG0000319	Prbl.g_00376	Syab.g_02291
OG0000320	Prbl.g_00374	Syab.g_02293
OG0000321	Prbl.g_00373	Syab.g_02294
OG0000322	Prbl.g_00372	Syab.g_02295
OG0000323	Prbl.g_00361	Syab.g_02310
OG0000324	Prbl.g_00332	Syab.g_02341
OG0000325	Prbl.g_02683	Syab.g_00368
OG0000326	Prbl.g_01059	Syab.g_00375
OG0000327	Prbl.g_00957	Syab.g_00402
OG0000328	Prbl.g_00958	Syab.g_00403
OG0000329	Prbl.g_00975	Syab.g_00420
OG0000330	Prbl.g_00976	Syab.g_00421
OG0000331	Prbl.g_00977	Syab.g_00422
OG0000332	Prbl.g_00992	Syab.g_00437
OG0000333	Prbl.g_00994	Syab.g_00440
OG0000334	Prbl.g_01131	Syab.g_00450
OG0000335	Prbl.g_01136	Syab.g_00455
OG0000336	Prbl.g_01140	Syab.g_00459
OG0000337	Prbl.g_00863	Syab.g_00210
OG0000338	Prbl.g_00859	Syab.g_00207
OG0000339	Prbl.g_00853	Syab.g_00201
OG0000340	Prbl.g_00841	Syab.g_00135
OG0000341	Prbl.g_00839	Syab.g_00157, Syab.g_00133
OG0000342	Prbl.g_00838	Syab.g_00132
OG0000343	Prbl.g_01307	Syab.g_00131
OG0000344	Prbl.g_01304	Syab.g_00127
OG0000345	Prbl.g_01289	Syab.g_00117
OG0000346	Prbl.g_01284	Syab.g_00112
OG0000347	Prbl.g_02053	Syab.g_00087
OG0000348	Prbl.g_02016	Syab.g_00076
OG0000349	Prbl.g_01992	Syab.g_00054
OG0000350	Prbl.g_02195	Syab.g_00382
OG0000351	Prbl.g_02147	Syab.g_02879
OG0000352	Prbl.g_02146	Syab.g_02880
OG0000353	Prbl.g_02122	Syab.g_02913
OG0000354	Prbl.g_00789	Syab.g_02140
OG0000354	Prbl.g_01959	Syab.g_00020
OG0000355	Prbl.g_02120	Syab.g_00001
OG0000356	Prbl.g_02119	Syab.g_00002
OG0000357	Prbl.g_02118	Syab.g_00003
OG0000358	Prbl.g_02114	Syab.g_00007
OG0000359	Prbl.g_02112	Syab.g_00009
OG0000360	Prbl.g_02111	Syab.g_00010
OG0000361	Prbl.g_02110	Syab.g_00011
OG0000362	Prbl.g_02108	Syab.g_00013
OG0000363	Prbl.g_01955	Syab.g_00015
OG0000364	Prbl.g_01956	Syab.g_00016
OG0000365	Prbl.g_01965	Syab.g_00026
OG0000366	Prbl.g_01966	Syab.g_00027
OG0000367	Prbl.g_01967	Syab.g_00028
OG0000368	Prbl.g_01969	Syab.g_00030
OG0000369	Prbl.g_01970	Syab.g_00031
OG0000370	Prbl.g_01971	Syab.g_00032
OG0000371	Prbl.g_01980	Syab.g_00711, Syab.g_00039
OG0000372	Prbl.g_01985	Syab.g_00045
OG0000373	Prbl.g_01986	Syab.g_00046
OG0000374	Prbl.g_01987	Syab.g_00047
OG0000375	Prbl.g_01988	Syab.g_00050
OG0000376	Prbl.g_01990	Syab.g_00052
OG0000377	Prbl.g_02244	Syab.g_02748
OG0000378	Prbl.g_02258	Syab.g_02717
OG0000379	Prbl.g_02274	Syab.g_02714
OG0000380	Prbl.g_00612	Syab.g_02432
OG0000381	Prbl.g_00607	Syab.g_02435
OG0000382	Prbl.g_00592	Syab.g_02453
OG0000383	Prbl.g_00590	Syab.g_02459
OG0000384	Prbl.g_00589	Syab.g_02460
OG0000385	Prbl.g_00588	Syab.g_02461
OG0000386	Prbl.g_00587	Syab.g_02462
OG0000387	Prbl.g_00561	Syab.g_02491
OG0000388	Prbl.g_00557	Syab.g_02495
OG0000389	Prbl.g_00553	Syab.g_02499
OG0000390	Prbl.g_01331	Syab.g_02516
OG0000391	Prbl.g_01326	Syab.g_02521
OG0000392	Prbl.g_01320	Syab.g_02527
OG0000393	Prbl.g_01315	Syab.g_02530
OG0000394	Prbl.g_01314	Syab.g_02531
OG0000395	Prbl.g_01313	Syab.g_02532
OG0000396	Prbl.g_00827	Syab.g_02535
OG0000397	Prbl.g_00825	Syab.g_02537
OG0000398	Prbl.g_00820	Syab.g_02542
OG0000399	Prbl.g_00819	Syab.g_02543
OG0000400	Prbl.g_00818	Syab.g_02544
OG0000401	Prbl.g_00817	Syab.g_02545
OG0000402	Prbl.g_00815	Syab.g_02547
OG0000403	Prbl.g_00814	Syab.g_02548
OG0000404	Prbl.g_00812	Syab.g_02550
OG0000405	Prbl.g_00305	Syab.g_02562
OG0000406	Prbl.g_00301	Syab.g_02566
OG0000407	Prbl.g_00300	Syab.g_02567
OG0000408	Prbl.g_00298	Syab.g_02569
OG0000409	Prbl.g_00296	Syab.g_02571
OG0000410	Prbl.g_00295	Syab.g_02572
OG0000411	Prbl.g_00294	Syab.g_02573
OG0000412	Prbl.g_00293	Syab.g_02574
OG0000413	Prbl.g_00291	Syab.g_02576
OG0000414	Prbl.g_00290	Syab.g_02577
OG0000415	Prbl.g_00289	Syab.g_02578
OG0000416	Prbl.g_00288	Syab.g_02579
OG0000417	Prbl.g_00287	Syab.g_02580
OG0000418	Prbl.g_00282	Syab.g_02585
OG0000419	Prbl.g_00280	Syab.g_02587
OG0000420	Prbl.g_00279	Syab.g_02589
OG0000421	Prbl.g_00275	Syab.g_02595
OG0000422	Prbl.g_00274	Syab.g_02596
OG0000423	Prbl.g_00273	Syab.g_02597
OG0000424	Prbl.g_00272	Syab.g_02598
OG0000425	Prbl.g_00271	Syab.g_02599
OG0000426	Prbl.g_00270	Syab.g_02600
OG0000427	Prbl.g_00269	Syab.g_02601
OG0000428	Prbl.g_02377	Syab.g_02604
OG0000429	Prbl.g_00066	Syab.g_02608
OG0000430	Prbl.g_00068	Syab.g_02610
OG0000431	Prbl.g_00072	Syab.g_02613
OG0000432	Prbl.g_00079	Syab.g_02619
OG0000433	Prbl.g_00082	Syab.g_02622
OG0000434	Prbl.g_00083	Syab.g_02623
OG0000435	Prbl.g_00086	Syab.g_02625
OG0000436	Prbl.g_00092	Syab.g_02632
OG0000437	Prbl.g_00093	Syab.g_02633
OG0000438	Prbl.g_00094	Syab.g_02634
OG0000439	Prbl.g_00096	Syab.g_02636
OG0000440	Prbl.g_00097	Syab.g_02637
OG0000441	Prbl.g_00104	Syab.g_02641
OG0000442	Prbl.g_00105	Syab.g_02642
OG0000443	Prbl.g_01283	Syab.g_02668
OG0000444	Prbl.g_00127	Syab.g_02681
OG0000445	Prbl.g_00126	Syab.g_02682
OG0000446	Prbl.g_00124	Syab.g_02684
OG0000447	Prbl.g_01244	Syab.g_02687
OG0000448	Prbl.g_01245	Syab.g_02688
OG0000449	Prbl.g_01246	Syab.g_02689
OG0000450	Prbl.g_01252	Syab.g_02695
OG0000451	Prbl.g_01253	Syab.g_02696
OG0000452	Prbl.g_01258	Syab.g_02701
OG0000453	Prbl.g_01259	Syab.g_02702
OG0000454	Prbl.g_01260	Syab.g_02703
OG0000455	Prbl.g_01261	Syab.g_02704
OG0000456	Prbl.g_01262	Syab.g_02705
OG0000457	Prbl.g_01264	Syab.g_02707
OG0000458	Prbl.g_01265	Syab.g_02708
OG0000459	Prbl.g_01266	Syab.g_02709
OG0000460	Prbl.g_01923	Syab.g_02372
OG0000461	Prbl.g_02679	Syab.g_00356
OG0000462	Prbl.g_02666	Syab.g_00352
OG0000463	Prbl.g_01516	Syab.g_00351
OG0000464	Prbl.g_01515	Syab.g_00350
OG0000465	Prbl.g_01513	Syab.g_00349
OG0000466	Prbl.g_01508	Syab.g_00343
OG0000467	Prbl.g_01506	Syab.g_00341
OG0000468	Prbl.g_01499	Syab.g_00336
OG0000469	Prbl.g_01486	Syab.g_00318
OG0000470	Prbl.g_01473	Syab.g_00316
OG0000471	Prbl.g_01472	Syab.g_00315
OG0000472	Prbl.g_01470	Syab.g_00313
OG0000473	Prbl.g_01468	Syab.g_00311
OG0000474	Prbl.g_01467	Syab.g_00310
OG0000475	Prbl.g_01466	Syab.g_00309
OG0000476	Prbl.g_01464	Syab.g_00307
OG0000477	Prbl.g_01459	Syab.g_00301
OG0000478	Prbl.g_01458	Syab.g_00300
OG0000479	Prbl.g_01457	Syab.g_00299
OG0000480	Prbl.g_01450	Syab.g_00292
OG0000481	Prbl.g_01448	Syab.g_00290
OG0000482	Prbl.g_01447	Syab.g_00289
OG0000483	Prbl.g_01443	Syab.g_00285
OG0000484	Prbl.g_01442	Syab.g_00284
OG0000485	Prbl.g_01441	Syab.g_00283
OG0000486	Prbl.g_01440	Syab.g_00282
OG0000487	Prbl.g_01435	Syab.g_00276
OG0000488	Prbl.g_01431	Syab.g_00272
OG0000489	Prbl.g_01420	Syab.g_00256
OG0000490	Prbl.g_01414	Syab.g_00247
OG0000491	Prbl.g_01413	Syab.g_00245
OG0000492	Prbl.g_00909	Syab.g_00243
OG0000493	Prbl.g_00908	Syab.g_00242
OG0000494	Prbl.g_00907	Syab.g_00241
OG0000495	Prbl.g_00906	Syab.g_00240
OG0000496	Prbl.g_00905	Syab.g_00239
OG0000497	Prbl.g_00904	Syab.g_00238
OG0000498	Prbl.g_00903	Syab.g_00237
OG0000499	Prbl.g_00902	Syab.g_00236
OG0000500	Prbl.g_00901	Syab.g_00235
OG0000501	Prbl.g_00898	Syab.g_00232
OG0000502	Prbl.g_00886	Syab.g_00224
OG0000503	Prbl.g_01201	Syab.g_00523
OG0000504	Prbl.g_01203	Syab.g_00525
OG0000505	Prbl.g_01204	Syab.g_00526
OG0000506	Prbl.g_01206	Syab.g_00528
OG0000507	Prbl.g_01210	Syab.g_00533
OG0000508	Prbl.g_01217	Syab.g_00537
OG0000509	Prbl.g_01219	Syab.g_00539
OG0000510	Prbl.g_01220	Syab.g_00540
OG0000511	Prbl.g_01221	Syab.g_00541
OG0000512	Prbl.g_01223	Syab.g_00543
OG0000513	Prbl.g_02678	Syab.g_00555
OG0000514	Prbl.g_00676	Syab.g_00566
OG0000515	Prbl.g_00675	Syab.g_00567
OG0000516	Prbl.g_00663	Syab.g_00575
OG0000517	Prbl.g_00653	Syab.g_00582
OG0000518	Prbl.g_00641	Syab.g_00594
OG0000519	Prbl.g_00640	Syab.g_00610
OG0000520	Prbl.g_00639	Syab.g_00611
OG0000521	Prbl.g_00625	Syab.g_00624
OG0000522	Prbl.g_00623	Syab.g_00626
OG0000523	Prbl.g_00622	Syab.g_00627
OG0000524	Prbl.g_01364	Syab.g_00640
OG0000525	Prbl.g_01348	Syab.g_00671
OG0000526	Prbl.g_01346	Syab.g_00689
OG0000527	Prbl.g_01342	Syab.g_00695
OG0000528	Prbl.g_00506	Syab.g_02092
OG0000529	Prbl.g_00512	Syab.g_02097
OG0000530	Prbl.g_00515	Syab.g_02100
OG0000531	Prbl.g_00516	Syab.g_02101
OG0000532	Prbl.g_00519	Syab.g_02104
OG0000533	Prbl.g_00521	Syab.g_02106
OG0000534	Prbl.g_00522	Syab.g_02107
OG0000535	Prbl.g_00523	Syab.g_02108
OG0000536	Prbl.g_00524	Syab.g_02109
OG0000537	Prbl.g_00525	Syab.g_02110
OG0000538	Prbl.g_00536	Syab.g_02122
OG0000539	Prbl.g_00806	Syab.g_02123
OG0000540	Prbl.g_00805	Syab.g_02124
OG0000541	Prbl.g_00804	Syab.g_02125
OG0000542	Prbl.g_00801	Syab.g_02128
OG0000543	Prbl.g_00799	Syab.g_02130
OG0000544	Prbl.g_00798	Syab.g_02131
OG0000545	Prbl.g_00797	Syab.g_02133
OG0000546	Prbl.g_00794	Syab.g_02135
OG0000547	Prbl.g_00792	Syab.g_02137
OG0000548	Prbl.g_00791	Syab.g_02138
OG0000549	Prbl.g_00785	Syab.g_02144
OG0000550	Prbl.g_00780	Syab.g_02149
OG0000551	Prbl.g_00776	Syab.g_02153
