Orthogroup	Prbh	Prbk
OG0000071	Prbh.g_01953	Prbk.g_02290
OG0000072	Prbh.g_00457	Prbk.g_00472
OG0000073	Prbh.g_01182	Prbk.g_00709
OG0000074	Prbh.g_00926	Prbk.g_01815
OG0000075	Prbh.g_00960	Prbk.g_02475
OG0000076	Prbh.g_01031	Prbk.g_00056
OG0000078	Prbh.g_00032	Prbk.g_00476
OG0000079	Prbh.g_00184	Prbk.g_00931
OG0000080	Prbh.g_01860	Prbk.g_02012
OG0000081	Prbh.g_01609	Prbk.g_00512
OG0000082	Prbh.g_01516	Prbk.g_02204
OG0000083	Prbh.g_01473	Prbk.g_02281
OG0000084	Prbh.g_01470	Prbk.g_02284
OG0000085	Prbh.g_00757	Prbk.g_01626
OG0000087	Prbh.g_00731	Prbk.g_02126
OG0000088	Prbh.g_00668	Prbk.g_00191
OG0000089	Prbh.g_00659	Prbk.g_00206
OG0000090	Prbh.g_00642	Prbk.g_00559
OG0000091	Prbh.g_00613	Prbk.g_00776
OG0000092	Prbh.g_00612	Prbk.g_00777
OG0000093	Prbh.g_00599	Prbk.g_01280
OG0000094	Prbh.g_00580	Prbk.g_01251
OG0000095	Prbh.g_00575	Prbk.g_00632
OG0000096	Prbh.g_00528	Prbk.g_01001
OG0000097	Prbh.g_00505	Prbk.g_00409
OG0000098	Prbh.g_00494	Prbk.g_00422
OG0000099	Prbh.g_00484	Prbk.g_00434
OG0000100	Prbh.g_00481	Prbk.g_00438
OG0000101	Prbh.g_00413	Prbk.g_00361
OG0000102	Prbh.g_01825	Prbk.g_02209
OG0000103	Prbh.g_00355	Prbk.g_02114
OG0000104	Prbh.g_00351	Prbk.g_02061
OG0000105	Prbh.g_00330	Prbk.g_01862
OG0000106	Prbh.g_00297	Prbk.g_01078
OG0000107	Prbh.g_00296	Prbk.g_01080
OG0000108	Prbh.g_00287	Prbk.g_02684
OG0000109	Prbh.g_00278	Prbk.g_01890
OG0000110	Prbh.g_00260	Prbk.g_01871
OG0000111	Prbh.g_01202	Prbk.g_00740
OG0000112	Prbh.g_01201	Prbk.g_00739
OG0000113	Prbh.g_01149	Prbk.g_02370
OG0000114	Prbh.g_00951	Prbk.g_02466
OG0000115	Prbh.g_01086	Prbk.g_02324
OG0000116	Prbh.g_01090	Prbk.g_02316
OG0000117	Prbh.g_01034	Prbk.g_00059
OG0000118	Prbh.g_01328	Prbk.g_02271
OG0000119	Prbh.g_01865	Prbk.g_02197
OG0000120	Prbh.g_01276	Prbk.g_00144
OG0000121	Prbh.g_01253	Prbk.g_00138
OG0000122	Prbh.g_01233	Prbk.g_00185
OG0000123	Prbh.g_01450	Prbk.g_00121
OG0000124	Prbh.g_01397	Prbk.g_00066
OG0000125	Prbh.g_01385	Prbk.g_01169
OG0000126	Prbh.g_00009	Prbk.g_02052
OG0000127	Prbh.g_00084	Prbk.g_00243
OG0000128	Prbh.g_00100	Prbk.g_00260
OG0000129	Prbh.g_00136	Prbk.g_01212
OG0000130	Prbh.g_01785	Prbk.g_00913
OG0000131	Prbh.g_01745	Prbk.g_01417
OG0000132	Prbh.g_01742	Prbk.g_01414
OG0000133	Prbh.g_01686	Prbk.g_00987
OG0000134	Prbh.g_01650	Prbk.g_00950
OG0000135	Prbh.g_01648	Prbk.g_00948
OG0000136	Prbh.g_01597	Prbk.g_00528
OG0000137	Prbh.g_01563	Prbk.g_01540
OG0000138	Prbh.g_01528	Prbk.g_02168
OG0000139	Prbh.g_01497	Prbk.g_02252
OG0000140	Prbh.g_01475	Prbk.g_02279
OG0000141	Prbh.g_01474	Prbk.g_02280
OG0000142	Prbh.g_01472	Prbk.g_02282
OG0000143	Prbh.g_01471	Prbk.g_02283
OG0000144	Prbh.g_01469	Prbk.g_02285
OG0000145	Prbh.g_01468	Prbk.g_02287
OG0000146	Prbh.g_01467	Prbk.g_02288
OG0000147	Prbh.g_01466	Prbk.g_02289
OG0000148	Prbh.g_01952	Prbk.g_02291
OG0000149	Prbh.g_00766	Prbk.g_01639
OG0000150	Prbh.g_00765	Prbk.g_01638
OG0000151	Prbh.g_00764	Prbk.g_01633
OG0000152	Prbh.g_00763	Prbk.g_01632
OG0000153	Prbh.g_00762	Prbk.g_01631
OG0000154	Prbh.g_00761	Prbk.g_01630
OG0000155	Prbh.g_00760	Prbk.g_01629
OG0000156	Prbh.g_00759	Prbk.g_01628
OG0000157	Prbh.g_00758	Prbk.g_01627
OG0000158	Prbh.g_00756	Prbk.g_01625
OG0000159	Prbh.g_00755	Prbk.g_01624
OG0000160	Prbh.g_00754	Prbk.g_01623
OG0000161	Prbh.g_00753	Prbk.g_01622
OG0000162	Prbh.g_00752	Prbk.g_01621
OG0000163	Prbh.g_00751	Prbk.g_01619
OG0000164	Prbh.g_00748	Prbk.g_01614
OG0000165	Prbh.g_00746	Prbk.g_01609
OG0000166	Prbh.g_00745	Prbk.g_01608
OG0000167	Prbh.g_00744	Prbk.g_01607
OG0000168	Prbh.g_00743	Prbk.g_01606
OG0000169	Prbh.g_00741	Prbk.g_01604
OG0000170	Prbh.g_00739	Prbk.g_02158
OG0000171	Prbh.g_00738	Prbk.g_02156
OG0000172	Prbh.g_00737	Prbk.g_02155
OG0000173	Prbh.g_00734	Prbk.g_02148
OG0000174	Prbh.g_00733	Prbk.g_02141
OG0000175	Prbh.g_00732	Prbk.g_02133
OG0000176	Prbh.g_00730	Prbk.g_02125
OG0000177	Prbh.g_00729	Prbk.g_02124
OG0000178	Prbh.g_00728	Prbk.g_02123
OG0000179	Prbh.g_00719	Prbk.g_01326
OG0000180	Prbh.g_00718	Prbk.g_01324
OG0000181	Prbh.g_00717	Prbk.g_01323
OG0000182	Prbh.g_00713	Prbk.g_01320
OG0000183	Prbh.g_00712	Prbk.g_01319
OG0000184	Prbh.g_00709	Prbk.g_01315
OG0000185	Prbh.g_00705	Prbk.g_01309
OG0000186	Prbh.g_00704	Prbk.g_01308
OG0000187	Prbh.g_01878	Prbk.g_01665
OG0000188	Prbh.g_00703	Prbk.g_01307
OG0000189	Prbh.g_00702	Prbk.g_01304
OG0000190	Prbh.g_00701	Prbk.g_01303
OG0000191	Prbh.g_00700	Prbk.g_01302
OG0000192	Prbh.g_00699	Prbk.g_01301
OG0000193	Prbh.g_00698	Prbk.g_01300
OG0000194	Prbh.g_00697	Prbk.g_01299
OG0000195	Prbh.g_00695	Prbk.g_01295
OG0000196	Prbh.g_00694	Prbk.g_01294
OG0000197	Prbh.g_00693	Prbk.g_00035
OG0000198	Prbh.g_00692	Prbk.g_00031
OG0000199	Prbh.g_00689	Prbk.g_00026
OG0000200	Prbh.g_00688	Prbk.g_00025
OG0000201	Prbh.g_00687	Prbk.g_00024
OG0000202	Prbh.g_00686	Prbk.g_00022
OG0000203	Prbh.g_00685	Prbk.g_00021
OG0000204	Prbh.g_00684	Prbk.g_00020
OG0000205	Prbh.g_00682	Prbk.g_00018
OG0000206	Prbh.g_00681	Prbk.g_00017
OG0000207	Prbh.g_00680	Prbk.g_00016
OG0000208	Prbh.g_00679	Prbk.g_00015
OG0000209	Prbh.g_00678	Prbk.g_00014
OG0000210	Prbh.g_00677	Prbk.g_00012
OG0000211	Prbh.g_00676	Prbk.g_00011
OG0000212	Prbh.g_00675	Prbk.g_00010
OG0000213	Prbh.g_00674	Prbk.g_00007
OG0000214	Prbh.g_00670	Prbk.g_00001
OG0000215	Prbh.g_00669	Prbk.g_00190
OG0000216	Prbh.g_00667	Prbk.g_00192
OG0000217	Prbh.g_00666	Prbk.g_00194
OG0000218	Prbh.g_00665	Prbk.g_00196
OG0000219	Prbh.g_00664	Prbk.g_00197
OG0000220	Prbh.g_00661	Prbk.g_00202
OG0000221	Prbh.g_00658	Prbk.g_00207
OG0000222	Prbh.g_00657	Prbk.g_00208
OG0000223	Prbh.g_00656	Prbk.g_00209
OG0000224	Prbh.g_00654	Prbk.g_00542
OG0000225	Prbh.g_00652	Prbk.g_00544
OG0000226	Prbh.g_00650	Prbk.g_00547
OG0000227	Prbh.g_00649	Prbk.g_00549
OG0000228	Prbh.g_00648	Prbk.g_00550
OG0000229	Prbh.g_00647	Prbk.g_00551
OG0000230	Prbh.g_00646	Prbk.g_00552
OG0000231	Prbh.g_01144	Prbk.g_00554
OG0000232	Prbh.g_00644	Prbk.g_00555
OG0000233	Prbh.g_00641	Prbk.g_00560
OG0000234	Prbh.g_00639	Prbk.g_00749
OG0000235	Prbh.g_00637	Prbk.g_00751
OG0000236	Prbh.g_00636	Prbk.g_00752
OG0000237	Prbh.g_00635	Prbk.g_00753
OG0000238	Prbh.g_00634	Prbk.g_00754
OG0000239	Prbh.g_00633	Prbk.g_00755
OG0000240	Prbh.g_00631	Prbk.g_00757
OG0000241	Prbh.g_00630	Prbk.g_00758
OG0000242	Prbh.g_00629	Prbk.g_00759
OG0000243	Prbh.g_00628	Prbk.g_00760
OG0000244	Prbh.g_00627	Prbk.g_00761
OG0000245	Prbh.g_00626	Prbk.g_00763
OG0000246	Prbh.g_00624	Prbk.g_00765
OG0000247	Prbh.g_00623	Prbk.g_00766
OG0000248	Prbh.g_00622	Prbk.g_00767
OG0000249	Prbh.g_00621	Prbk.g_00768
OG0000250	Prbh.g_00620	Prbk.g_00769
OG0000251	Prbh.g_00619	Prbk.g_00770
OG0000252	Prbh.g_00618	Prbk.g_00771
OG0000253	Prbh.g_00617	Prbk.g_00772
OG0000254	Prbh.g_00615	Prbk.g_00774
OG0000255	Prbh.g_00614	Prbk.g_00775
OG0000256	Prbh.g_00611	Prbk.g_00778
OG0000257	Prbh.g_00610	Prbk.g_00779
OG0000258	Prbh.g_00609	Prbk.g_00780
OG0000259	Prbh.g_00608	Prbk.g_00781
OG0000260	Prbh.g_00607	Prbk.g_00782
OG0000261	Prbh.g_00606	Prbk.g_00783
OG0000262	Prbh.g_00605	Prbk.g_00784
OG0000263	Prbh.g_00604	Prbk.g_00785
OG0000264	Prbh.g_00602	Prbk.g_02425
OG0000265	Prbh.g_00601	Prbk.g_01283
OG0000266	Prbh.g_00600	Prbk.g_01281
OG0000267	Prbh.g_00598	Prbk.g_01277
OG0000268	Prbh.g_00596	Prbk.g_01275
OG0000269	Prbh.g_00595	Prbk.g_01272
OG0000270	Prbh.g_00594	Prbk.g_01270
OG0000271	Prbh.g_00593	Prbk.g_01267
OG0000272	Prbh.g_00592	Prbk.g_01266
OG0000273	Prbh.g_00591	Prbk.g_01263
OG0000274	Prbh.g_00590	Prbk.g_01261
OG0000275	Prbh.g_00589	Prbk.g_01260
OG0000276	Prbh.g_00588	Prbk.g_01259
OG0000277	Prbh.g_00587	Prbk.g_01258
OG0000278	Prbh.g_00586	Prbk.g_01257
OG0000279	Prbh.g_00585	Prbk.g_01256
OG0000280	Prbh.g_00584	Prbk.g_01255
OG0000281	Prbh.g_00582	Prbk.g_01253
OG0000282	Prbh.g_00581	Prbk.g_01252
OG0000283	Prbh.g_00578	Prbk.g_01245
OG0000284	Prbh.g_00577	Prbk.g_01244
OG0000285	Prbh.g_00576	Prbk.g_00631
OG0000286	Prbh.g_00574	Prbk.g_00633
OG0000287	Prbh.g_00573	Prbk.g_00686
OG0000288	Prbh.g_00572	Prbk.g_00685
OG0000289	Prbh.g_00571	Prbk.g_00683
OG0000290	Prbh.g_00570	Prbk.g_00682
OG0000291	Prbh.g_00569	Prbk.g_00680
OG0000292	Prbh.g_00568	Prbk.g_00670
OG0000293	Prbh.g_00567	Prbk.g_00669
OG0000294	Prbh.g_00566	Prbk.g_00668
OG0000295	Prbh.g_00565	Prbk.g_00662
OG0000296	Prbh.g_00564	Prbk.g_00661
OG0000297	Prbh.g_00563	Prbk.g_00658
OG0000298	Prbh.g_00562	Prbk.g_00657
OG0000299	Prbh.g_00561	Prbk.g_00656
OG0000300	Prbh.g_00560	Prbk.g_00655
OG0000301	Prbh.g_00559	Prbk.g_00654
OG0000302	Prbh.g_00558	Prbk.g_00653
OG0000303	Prbh.g_00557	Prbk.g_00652
OG0000304	Prbh.g_00555	Prbk.g_00650
OG0000305	Prbh.g_00554	Prbk.g_00649
OG0000306	Prbh.g_00553	Prbk.g_00648
OG0000307	Prbh.g_00551	Prbk.g_01364
OG0000308	Prbh.g_00550	Prbk.g_01136
OG0000309	Prbh.g_00549	Prbk.g_01135
OG0000310	Prbh.g_00548	Prbk.g_01134
OG0000311	Prbh.g_00547	Prbk.g_01368
OG0000312	Prbh.g_00545	Prbk.g_01369
OG0000313	Prbh.g_00544	Prbk.g_01521
OG0000314	Prbh.g_00540	Prbk.g_01515
OG0000315	Prbh.g_00539	Prbk.g_01514
OG0000316	Prbh.g_00537	Prbk.g_01900
OG0000317	Prbh.g_00535	Prbk.g_01012
OG0000318	Prbh.g_00534	Prbk.g_01011
OG0000319	Prbh.g_00533	Prbk.g_01010
OG0000320	Prbh.g_00532	Prbk.g_01008
OG0000321	Prbh.g_00529	Prbk.g_01003
OG0000322	Prbh.g_00525	Prbk.g_00371
OG0000323	Prbh.g_00524	Prbk.g_00372
OG0000324	Prbh.g_00521	Prbk.g_00374
OG0000325	Prbh.g_00520	Prbk.g_00376
OG0000326	Prbh.g_00519	Prbk.g_00378
OG0000327	Prbh.g_00517	Prbk.g_00384
OG0000328	Prbh.g_00516	Prbk.g_01365
OG0000329	Prbh.g_00515	Prbk.g_00397
OG0000330	Prbh.g_00514	Prbk.g_00398
OG0000331	Prbh.g_00513	Prbk.g_00400
OG0000332	Prbh.g_00512	Prbk.g_00401
OG0000333	Prbh.g_00511	Prbk.g_00402
OG0000334	Prbh.g_00510	Prbk.g_00403
OG0000335	Prbh.g_00509	Prbk.g_00404
OG0000336	Prbh.g_00507	Prbk.g_00406
OG0000337	Prbh.g_00504	Prbk.g_00411
OG0000338	Prbh.g_00503	Prbk.g_00412
OG0000339	Prbh.g_00502	Prbk.g_00413
OG0000340	Prbh.g_00501	Prbk.g_00415
OG0000341	Prbh.g_00497	Prbk.g_00420
OG0000342	Prbh.g_00496	Prbk.g_00421
OG0000343	Prbh.g_00493	Prbk.g_00423
OG0000344	Prbh.g_00492	Prbk.g_00425
OG0000345	Prbh.g_00491	Prbk.g_00426
OG0000346	Prbh.g_00490	Prbk.g_00427
OG0000347	Prbh.g_00489	Prbk.g_00428
OG0000348	Prbh.g_00487	Prbk.g_00429
OG0000349	Prbh.g_00486	Prbk.g_00430
OG0000350	Prbh.g_00485	Prbk.g_00431
OG0000351	Prbh.g_00483	Prbk.g_00435
OG0000352	Prbh.g_00480	Prbk.g_00439
OG0000353	Prbh.g_00479	Prbk.g_00442
OG0000354	Prbh.g_00478	Prbk.g_00443
OG0000355	Prbh.g_00477	Prbk.g_00444
OG0000356	Prbh.g_00476	Prbk.g_00449
OG0000357	Prbh.g_00475	Prbk.g_00450
OG0000358	Prbh.g_00474	Prbk.g_00451
OG0000359	Prbh.g_00473	Prbk.g_00453
OG0000360	Prbh.g_00471	Prbk.g_00456
OG0000361	Prbh.g_00470	Prbk.g_00457
OG0000362	Prbh.g_00469	Prbk.g_00458
OG0000363	Prbh.g_00468	Prbk.g_00460
OG0000364	Prbh.g_00467	Prbk.g_00461
OG0000365	Prbh.g_00466	Prbk.g_00462
OG0000366	Prbh.g_00465	Prbk.g_00463
OG0000367	Prbh.g_00464	Prbk.g_00464
OG0000368	Prbh.g_00463	Prbk.g_00465
OG0000369	Prbh.g_00462	Prbk.g_00466
OG0000370	Prbh.g_00461	Prbk.g_00467
OG0000371	Prbh.g_00460	Prbk.g_00468
OG0000372	Prbh.g_00458	Prbk.g_00471
OG0000373	Prbh.g_00456	Prbk.g_00481
OG0000374	Prbh.g_00455	Prbk.g_00483
OG0000375	Prbh.g_00454	Prbk.g_00492
OG0000376	Prbh.g_00452	Prbk.g_00853
OG0000377	Prbh.g_00446	Prbk.g_00860
OG0000378	Prbh.g_00445	Prbk.g_00861
OG0000379	Prbh.g_00439	Prbk.g_00871
OG0000380	Prbh.g_00437	Prbk.g_00873
OG0000381	Prbh.g_00436	Prbk.g_00874
OG0000382	Prbh.g_00435	Prbk.g_00876
OG0000383	Prbh.g_00431	Prbk.g_00881
OG0000384	Prbh.g_00430	Prbk.g_00882
OG0000385	Prbh.g_00427	Prbk.g_00888
OG0000386	Prbh.g_00426	Prbk.g_00889
OG0000387	Prbh.g_00425	Prbk.g_00890
OG0000388	Prbh.g_00424	Prbk.g_00891
OG0000389	Prbh.g_00423	Prbk.g_00892
OG0000390	Prbh.g_00422	Prbk.g_00893
OG0000391	Prbh.g_00421	Prbk.g_00894
OG0000392	Prbh.g_00420	Prbk.g_00895
OG0000393	Prbh.g_00416	Prbk.g_00365
OG0000394	Prbh.g_00415	Prbk.g_00364
OG0000395	Prbh.g_00412	Prbk.g_00360
OG0000396	Prbh.g_01008	Prbk.g_02556
OG0000397	Prbh.g_01327	Prbk.g_01321
OG0000398	Prbh.g_01877	Prbk.g_00924
OG0000399	Prbh.g_01320	Prbk.g_01693
OG0000400	Prbh.g_01718	Prbk.g_01902
OG0000401	Prbh.g_00401	Prbk.g_00352
OG0000402	Prbh.g_00400	Prbk.g_00351
OG0000403	Prbh.g_00399	Prbk.g_00339
OG0000404	Prbh.g_00397	Prbk.g_00329
OG0000405	Prbh.g_00396	Prbk.g_00328
OG0000406	Prbh.g_00394	Prbk.g_00326
OG0000407	Prbh.g_00393	Prbk.g_00325
OG0000408	Prbh.g_00392	Prbk.g_00324
OG0000409	Prbh.g_00391	Prbk.g_00323
OG0000410	Prbh.g_00390	Prbk.g_00321
OG0000411	Prbh.g_00389	Prbk.g_00320
OG0000412	Prbh.g_00388	Prbk.g_00319
OG0000413	Prbh.g_00387	Prbk.g_00318
OG0000414	Prbh.g_00386	Prbk.g_00317
OG0000415	Prbh.g_00385	Prbk.g_00316
OG0000416	Prbh.g_00384	Prbk.g_00315
OG0000417	Prbh.g_00383	Prbk.g_00311
OG0000418	Prbh.g_00382	Prbk.g_00310
OG0000419	Prbh.g_00381	Prbk.g_00309
OG0000420	Prbh.g_00380	Prbk.g_00308
OG0000421	Prbh.g_00374	Prbk.g_00301
OG0000422	Prbh.g_00372	Prbk.g_00299
OG0000423	Prbh.g_00371	Prbk.g_00298
OG0000424	Prbh.g_00370	Prbk.g_00295
OG0000425	Prbh.g_00367	Prbk.g_02088
OG0000426	Prbh.g_00366	Prbk.g_02089
OG0000427	Prbh.g_00365	Prbk.g_02092
OG0000428	Prbh.g_00363	Prbk.g_02105
OG0000429	Prbh.g_00361	Prbk.g_02107
OG0000430	Prbh.g_00360	Prbk.g_02109
OG0000431	Prbh.g_00358	Prbk.g_02111
OG0000432	Prbh.g_00357	Prbk.g_02112
OG0000433	Prbh.g_00354	Prbk.g_02053
OG0000434	Prbh.g_00353	Prbk.g_02056
OG0000435	Prbh.g_00352	Prbk.g_02060
OG0000436	Prbh.g_00350	Prbk.g_02062
OG0000437	Prbh.g_00348	Prbk.g_02064
OG0000438	Prbh.g_00347	Prbk.g_02065
OG0000439	Prbh.g_00346	Prbk.g_02066
OG0000440	Prbh.g_00344	Prbk.g_02069
OG0000441	Prbh.g_00343	Prbk.g_02071
OG0000442	Prbh.g_00342	Prbk.g_02072
OG0000443	Prbh.g_00341	Prbk.g_02073
OG0000444	Prbh.g_00340	Prbk.g_02074
OG0000445	Prbh.g_00339	Prbk.g_02075
OG0000446	Prbh.g_00338	Prbk.g_02076
OG0000447	Prbh.g_00337	Prbk.g_02077
OG0000448	Prbh.g_00336	Prbk.g_02078
OG0000449	Prbh.g_00329	Prbk.g_01865
OG0000450	Prbh.g_00328	Prbk.g_01041
OG0000451	Prbh.g_00327	Prbk.g_01042
OG0000452	Prbh.g_00326	Prbk.g_01043
OG0000453	Prbh.g_00325	Prbk.g_01046
OG0000454	Prbh.g_00324	Prbk.g_01047
OG0000455	Prbh.g_00323	Prbk.g_01048
OG0000456	Prbh.g_00322	Prbk.g_01049
OG0000457	Prbh.g_00320	Prbk.g_01050
OG0000458	Prbh.g_00318	Prbk.g_01051
OG0000459	Prbh.g_00317	Prbk.g_01052
OG0000460	Prbh.g_00315	Prbk.g_01054
OG0000461	Prbh.g_00314	Prbk.g_01055
OG0000462	Prbh.g_00313	Prbk.g_01056
OG0000463	Prbh.g_00311	Prbk.g_01061
OG0000464	Prbh.g_00306	Prbk.g_01066
OG0000465	Prbh.g_00305	Prbk.g_01067
OG0000466	Prbh.g_00304	Prbk.g_01068
OG0000467	Prbh.g_00303	Prbk.g_01070
OG0000468	Prbh.g_00302	Prbk.g_01071
OG0000469	Prbh.g_00301	Prbk.g_01076
OG0000470	Prbh.g_00299	Prbk.g_01965
OG0000471	Prbh.g_00298	Prbk.g_01772
OG0000472	Prbh.g_00295	Prbk.g_01081
OG0000473	Prbh.g_00294	Prbk.g_01083
OG0000474	Prbh.g_00293	Prbk.g_01085
OG0000475	Prbh.g_00292	Prbk.g_01086
OG0000476	Prbh.g_00291	Prbk.g_01092
OG0000477	Prbh.g_00290	Prbk.g_01095
OG0000478	Prbh.g_00289	Prbk.g_01097
OG0000479	Prbh.g_00288	Prbk.g_01099
OG0000480	Prbh.g_00286	Prbk.g_02686
OG0000481	Prbh.g_00285	Prbk.g_01898
OG0000482	Prbh.g_00284	Prbk.g_01897
OG0000483	Prbh.g_00283	Prbk.g_01895
OG0000484	Prbh.g_00282	Prbk.g_01894
OG0000485	Prbh.g_00281	Prbk.g_01893
OG0000486	Prbh.g_00280	Prbk.g_01892
OG0000487	Prbh.g_00279	Prbk.g_01891
OG0000488	Prbh.g_00277	Prbk.g_01889
OG0000489	Prbh.g_00276	Prbk.g_01888
OG0000490	Prbh.g_00275	Prbk.g_01887
OG0000491	Prbh.g_00274	Prbk.g_01886
OG0000492	Prbh.g_00273	Prbk.g_01885
OG0000493	Prbh.g_00272	Prbk.g_01884
OG0000494	Prbh.g_00270	Prbk.g_01882
OG0000495	Prbh.g_00269	Prbk.g_01881
OG0000496	Prbh.g_00267	Prbk.g_01879
OG0000497	Prbh.g_00265	Prbk.g_01877
OG0000498	Prbh.g_00264	Prbk.g_01876
OG0000499	Prbh.g_00262	Prbk.g_01874
OG0000500	Prbh.g_00261	Prbk.g_01873
OG0000501	Prbh.g_00259	Prbk.g_01104
OG0000502	Prbh.g_00258	Prbk.g_01105
OG0000503	Prbh.g_00257	Prbk.g_01106
OG0000504	Prbh.g_00256	Prbk.g_01108
OG0000505	Prbh.g_00255	Prbk.g_01109
OG0000506	Prbh.g_00254	Prbk.g_01110
OG0000507	Prbh.g_00253	Prbk.g_01111
OG0000508	Prbh.g_00251	Prbk.g_01115
OG0000509	Prbh.g_00250	Prbk.g_01116
OG0000510	Prbh.g_00249	Prbk.g_01117
OG0000511	Prbh.g_00248	Prbk.g_01118
OG0000512	Prbh.g_00247	Prbk.g_01119
OG0000513	Prbh.g_00246	Prbk.g_01120
OG0000514	Prbh.g_00245	Prbk.g_01121
OG0000515	Prbh.g_00244	Prbk.g_01124
OG0000516	Prbh.g_00243	Prbk.g_01125
OG0000517	Prbh.g_00242	Prbk.g_01126
OG0000518	Prbh.g_00239	Prbk.g_01130
OG0000519	Prbh.g_00238	Prbk.g_01131
OG0000520	Prbh.g_00237	Prbk.g_01132
OG0000521	Prbh.g_00236	Prbk.g_01133
OG0000522	Prbh.g_00235	Prbk.g_01139
OG0000523	Prbh.g_00234	Prbk.g_01140
OG0000524	Prbh.g_00233	Prbk.g_01141
OG0000525	Prbh.g_00231	Prbk.g_01143
OG0000526	Prbh.g_00230	Prbk.g_01144
OG0000527	Prbh.g_00229	Prbk.g_01145
OG0000528	Prbh.g_00228	Prbk.g_01146
OG0000529	Prbh.g_00227	Prbk.g_01147
OG0000530	Prbh.g_00226	Prbk.g_01148
OG0000531	Prbh.g_00224	Prbk.g_01151
OG0000532	Prbh.g_00223	Prbk.g_01153
OG0000533	Prbh.g_00222	Prbk.g_01154
OG0000534	Prbh.g_00221	Prbk.g_01155
OG0000535	Prbh.g_00220	Prbk.g_01156
OG0000536	Prbh.g_00219	Prbk.g_01157
OG0000537	Prbh.g_00218	Prbk.g_01158
OG0000538	Prbh.g_00217	Prbk.g_01159
OG0000539	Prbh.g_00216	Prbk.g_01161
OG0000540	Prbh.g_00215	Prbk.g_01163
OG0000541	Prbh.g_00214	Prbk.g_02602
OG0000542	Prbh.g_00213	Prbk.g_02603
OG0000543	Prbh.g_00212	Prbk.g_02604
OG0000544	Prbh.g_01465	Prbk.g_02605
OG0000545	Prbh.g_01462	Prbk.g_02608
OG0000546	Prbh.g_01461	Prbk.g_02609
OG0000547	Prbh.g_01459	Prbk.g_02611
OG0000548	Prbh.g_01457	Prbk.g_02616
