Orthogroup	Prbh	Prad
OG0000126	Prbh.g_00009	Prad.g_00594
OG0000127	Prbh.g_00084	Prad.g_00528
OG0000128	Prbh.g_00100	Prad.g_00514
OG0000129	Prbh.g_00136	Prad.g_00477
OG0000130	Prbh.g_01785	Prad.g_00943
OG0000131	Prbh.g_01745	Prad.g_00905
OG0000132	Prbh.g_01742	Prad.g_00902
OG0000133	Prbh.g_01686	Prad.g_00848
OG0000134	Prbh.g_01650	Prad.g_00812
OG0000135	Prbh.g_01648	Prad.g_00810
OG0000136	Prbh.g_01597	Prad.g_00766
OG0000136	Prbh.g_01597	Prad.g_01294
OG0000137	Prbh.g_01563	Prad.g_01615
OG0000138	Prbh.g_01528	Prad.g_01580
OG0000139	Prbh.g_01497	Prad.g_01553
OG0000140	Prbh.g_01475	Prad.g_01535
OG0000141	Prbh.g_01474	Prad.g_01534
OG0000142	Prbh.g_01472	Prad.g_01532
OG0000143	Prbh.g_01471	Prad.g_01531
OG0000144	Prbh.g_01469	Prad.g_01529
OG0000145	Prbh.g_01468	Prad.g_01528
OG0000146	Prbh.g_01467	Prad.g_01527
OG0000147	Prbh.g_01466	Prad.g_01976
OG0000148	Prbh.g_01952	Prad.g_01974
OG0000149	Prbh.g_00766	Prad.g_01972
OG0000150	Prbh.g_00765	Prad.g_01971
OG0000151	Prbh.g_00764	Prad.g_01970
OG0000152	Prbh.g_00763	Prad.g_01969
OG0000153	Prbh.g_00762	Prad.g_01968
OG0000154	Prbh.g_00761	Prad.g_01967
OG0000155	Prbh.g_00760	Prad.g_01966
OG0000156	Prbh.g_00759	Prad.g_01965
OG0000157	Prbh.g_00758	Prad.g_01964
OG0000158	Prbh.g_00756	Prad.g_01962
OG0000159	Prbh.g_00755	Prad.g_01961
OG0000160	Prbh.g_00754	Prad.g_01960
OG0000161	Prbh.g_00753	Prad.g_01959
OG0000162	Prbh.g_00752	Prad.g_01958
OG0000163	Prbh.g_00751	Prad.g_01957
OG0000164	Prbh.g_00748	Prad.g_01954
OG0000165	Prbh.g_00746	Prad.g_01951
OG0000166	Prbh.g_00745	Prad.g_01950
OG0000167	Prbh.g_00744	Prad.g_01949
OG0000168	Prbh.g_00743	Prad.g_01947
OG0000169	Prbh.g_00741	Prad.g_01945
OG0000170	Prbh.g_00739	Prad.g_01944
OG0000171	Prbh.g_00738	Prad.g_01943
OG0000172	Prbh.g_00737	Prad.g_01941
OG0000173	Prbh.g_00734	Prad.g_01940
OG0000174	Prbh.g_00733	Prad.g_01939
OG0000175	Prbh.g_00732	Prad.g_01938
OG0000176	Prbh.g_00730	Prad.g_01936
OG0000177	Prbh.g_00729	Prad.g_01935
OG0000178	Prbh.g_00728	Prad.g_01934
OG0000179	Prbh.g_00719	Prad.g_01929
OG0000180	Prbh.g_00718	Prad.g_01928
OG0000181	Prbh.g_00717	Prad.g_01927
OG0000182	Prbh.g_00713	Prad.g_01924
OG0000183	Prbh.g_00712	Prad.g_01923
OG0000184	Prbh.g_00709	Prad.g_01920
OG0000185	Prbh.g_00705	Prad.g_01916
OG0000186	Prbh.g_00704	Prad.g_01915
OG0000187	Prbh.g_01878	Prad.g_01914
OG0000188	Prbh.g_00703	Prad.g_01913
OG0000189	Prbh.g_00702	Prad.g_01912
OG0000190	Prbh.g_00701	Prad.g_01911
OG0000191	Prbh.g_00700	Prad.g_01910
OG0000192	Prbh.g_00699	Prad.g_01909
OG0000193	Prbh.g_00698	Prad.g_01908
OG0000194	Prbh.g_00697	Prad.g_01907
OG0000195	Prbh.g_00695	Prad.g_01905
OG0000196	Prbh.g_00694	Prad.g_01904
OG0000197	Prbh.g_00693	Prad.g_01903
OG0000198	Prbh.g_00692	Prad.g_01902
OG0000199	Prbh.g_00689	Prad.g_01899
OG0000200	Prbh.g_00688	Prad.g_01898
OG0000201	Prbh.g_00687	Prad.g_01897
OG0000202	Prbh.g_00686	Prad.g_01896
OG0000203	Prbh.g_00685	Prad.g_01895
OG0000204	Prbh.g_00684	Prad.g_01894
OG0000205	Prbh.g_00682	Prad.g_01893
OG0000206	Prbh.g_00681	Prad.g_01892
OG0000207	Prbh.g_00680	Prad.g_01891
OG0000208	Prbh.g_00679	Prad.g_01890
OG0000209	Prbh.g_00678	Prad.g_01889
OG0000210	Prbh.g_00677	Prad.g_01887
OG0000211	Prbh.g_00676	Prad.g_01886
OG0000212	Prbh.g_00675	Prad.g_01885
OG0000213	Prbh.g_00674	Prad.g_01884
OG0000214	Prbh.g_00670	Prad.g_01882
OG0000215	Prbh.g_00669	Prad.g_01881
OG0000216	Prbh.g_00667	Prad.g_01879
OG0000217	Prbh.g_00666	Prad.g_01878
OG0000218	Prbh.g_00665	Prad.g_01877
OG0000219	Prbh.g_00664	Prad.g_01876
OG0000220	Prbh.g_00661	Prad.g_01873
OG0000221	Prbh.g_00658	Prad.g_01871
OG0000222	Prbh.g_00657	Prad.g_01870
OG0000223	Prbh.g_00656	Prad.g_01869
OG0000224	Prbh.g_00654	Prad.g_01866
OG0000225	Prbh.g_00652	Prad.g_01864
OG0000226	Prbh.g_00650	Prad.g_01863
OG0000227	Prbh.g_00649	Prad.g_01862
OG0000228	Prbh.g_00648	Prad.g_01861
OG0000229	Prbh.g_00647	Prad.g_01860
OG0000230	Prbh.g_00646	Prad.g_01859
OG0000231	Prbh.g_01144	Prad.g_01857
OG0000232	Prbh.g_00644	Prad.g_01856
OG0000233	Prbh.g_00641	Prad.g_01853
OG0000234	Prbh.g_00639	Prad.g_01851
OG0000235	Prbh.g_00637	Prad.g_01846
OG0000236	Prbh.g_00636	Prad.g_01845
OG0000237	Prbh.g_00635	Prad.g_01844
OG0000238	Prbh.g_00634	Prad.g_01843
OG0000239	Prbh.g_00633	Prad.g_01842
OG0000240	Prbh.g_00631	Prad.g_01840
OG0000241	Prbh.g_00630	Prad.g_01839
OG0000242	Prbh.g_00629	Prad.g_01838
OG0000243	Prbh.g_00628	Prad.g_01837
OG0000244	Prbh.g_00627	Prad.g_01836
OG0000245	Prbh.g_00626	Prad.g_01835
OG0000246	Prbh.g_00624	Prad.g_01833
OG0000247	Prbh.g_00623	Prad.g_01832
OG0000248	Prbh.g_00622	Prad.g_01831
OG0000249	Prbh.g_00621	Prad.g_01830
OG0000250	Prbh.g_00620	Prad.g_01829
OG0000251	Prbh.g_00619	Prad.g_01828
OG0000252	Prbh.g_00618	Prad.g_01827
OG0000253	Prbh.g_00617	Prad.g_01826
OG0000254	Prbh.g_00615	Prad.g_01824
OG0000255	Prbh.g_00614	Prad.g_01823
OG0000256	Prbh.g_00611	Prad.g_01820
OG0000257	Prbh.g_00610	Prad.g_01818
OG0000258	Prbh.g_00609	Prad.g_01817
OG0000259	Prbh.g_00608	Prad.g_01816
OG0000260	Prbh.g_00607	Prad.g_01815
OG0000261	Prbh.g_00606	Prad.g_01814
OG0000262	Prbh.g_00605	Prad.g_01813
OG0000263	Prbh.g_00604	Prad.g_01812
OG0000264	Prbh.g_00602	Prad.g_01810
OG0000265	Prbh.g_00601	Prad.g_01809
OG0000266	Prbh.g_00600	Prad.g_01808
OG0000267	Prbh.g_00598	Prad.g_01806
OG0000268	Prbh.g_00596	Prad.g_01805
OG0000269	Prbh.g_00595	Prad.g_01804
OG0000270	Prbh.g_00594	Prad.g_01803
OG0000271	Prbh.g_00593	Prad.g_01802
OG0000272	Prbh.g_00592	Prad.g_01801
OG0000273	Prbh.g_00591	Prad.g_01800
OG0000274	Prbh.g_00590	Prad.g_01799
OG0000275	Prbh.g_00589	Prad.g_01798
OG0000276	Prbh.g_00588	Prad.g_01797
OG0000277	Prbh.g_00587	Prad.g_01796
OG0000278	Prbh.g_00586	Prad.g_01795
OG0000279	Prbh.g_00585	Prad.g_01794
OG0000280	Prbh.g_00584	Prad.g_01793
OG0000281	Prbh.g_00582	Prad.g_01791
OG0000282	Prbh.g_00581	Prad.g_01790
OG0000283	Prbh.g_00578	Prad.g_01787
OG0000284	Prbh.g_00577	Prad.g_01786
OG0000285	Prbh.g_00576	Prad.g_01785
OG0000286	Prbh.g_00574	Prad.g_01783
OG0000287	Prbh.g_00573	Prad.g_01782
OG0000288	Prbh.g_00572	Prad.g_01781
OG0000289	Prbh.g_00571	Prad.g_01780
OG0000290	Prbh.g_00570	Prad.g_01779
OG0000291	Prbh.g_00569	Prad.g_01778
OG0000292	Prbh.g_00568	Prad.g_01777
OG0000293	Prbh.g_00567	Prad.g_01776
OG0000294	Prbh.g_00566	Prad.g_01775
OG0000295	Prbh.g_00565	Prad.g_01774
OG0000296	Prbh.g_00564	Prad.g_01773
OG0000297	Prbh.g_00563	Prad.g_01772
OG0000298	Prbh.g_00562	Prad.g_01771
OG0000299	Prbh.g_00561	Prad.g_01770
OG0000300	Prbh.g_00560	Prad.g_01769
OG0000301	Prbh.g_00559	Prad.g_01768
OG0000302	Prbh.g_00558	Prad.g_01767
OG0000303	Prbh.g_00557	Prad.g_01766
OG0000304	Prbh.g_00555	Prad.g_01765
OG0000305	Prbh.g_00554	Prad.g_01764
OG0000306	Prbh.g_00553	Prad.g_01763
OG0000307	Prbh.g_00551	Prad.g_01762
OG0000308	Prbh.g_00550	Prad.g_01761
OG0000309	Prbh.g_00549	Prad.g_01760
OG0000310	Prbh.g_00548	Prad.g_01759
OG0000311	Prbh.g_00547	Prad.g_01758
OG0000312	Prbh.g_00545	Prad.g_01756
OG0000313	Prbh.g_00544	Prad.g_01755
OG0000314	Prbh.g_00540	Prad.g_01752
OG0000315	Prbh.g_00539	Prad.g_01751
OG0000316	Prbh.g_00537	Prad.g_01749
OG0000317	Prbh.g_00535	Prad.g_01747
OG0000318	Prbh.g_00534	Prad.g_01746
OG0000319	Prbh.g_00533	Prad.g_01745
OG0000320	Prbh.g_00532	Prad.g_01744
OG0000321	Prbh.g_00529	Prad.g_01741
OG0000322	Prbh.g_00525	Prad.g_01738
OG0000323	Prbh.g_00524	Prad.g_01737
OG0000324	Prbh.g_00521	Prad.g_01734
OG0000325	Prbh.g_00520	Prad.g_01732
OG0000326	Prbh.g_00519	Prad.g_01731
OG0000327	Prbh.g_00517	Prad.g_01729
OG0000328	Prbh.g_00516	Prad.g_01728
OG0000329	Prbh.g_00515	Prad.g_01727
OG0000330	Prbh.g_00514	Prad.g_01726
OG0000331	Prbh.g_00513	Prad.g_01725
OG0000332	Prbh.g_00512	Prad.g_01724
OG0000333	Prbh.g_00511	Prad.g_01723
OG0000334	Prbh.g_00510	Prad.g_01722
OG0000335	Prbh.g_00509	Prad.g_01721
OG0000336	Prbh.g_00507	Prad.g_01720
OG0000337	Prbh.g_00504	Prad.g_01716
OG0000338	Prbh.g_00503	Prad.g_01715
OG0000339	Prbh.g_00502	Prad.g_01714
OG0000340	Prbh.g_00501	Prad.g_01713
OG0000341	Prbh.g_00497	Prad.g_01709
OG0000342	Prbh.g_00496	Prad.g_01708
OG0000343	Prbh.g_00493	Prad.g_01706
OG0000344	Prbh.g_00492	Prad.g_01705
OG0000345	Prbh.g_00491	Prad.g_01704
OG0000346	Prbh.g_00490	Prad.g_01703
OG0000347	Prbh.g_00489	Prad.g_01702
OG0000348	Prbh.g_00487	Prad.g_01701
OG0000349	Prbh.g_00486	Prad.g_01700
OG0000350	Prbh.g_00485	Prad.g_01699
OG0000351	Prbh.g_00483	Prad.g_01696
OG0000352	Prbh.g_00480	Prad.g_01693
OG0000353	Prbh.g_00479	Prad.g_01692
OG0000354	Prbh.g_00478	Prad.g_01691
OG0000355	Prbh.g_00477	Prad.g_01690
OG0000356	Prbh.g_00476	Prad.g_01689
OG0000357	Prbh.g_00475	Prad.g_01688
OG0000358	Prbh.g_00474	Prad.g_01687
OG0000359	Prbh.g_00473	Prad.g_01686
OG0000360	Prbh.g_00471	Prad.g_01683
OG0000361	Prbh.g_00470	Prad.g_01682
OG0000362	Prbh.g_00469	Prad.g_01681
OG0000363	Prbh.g_00468	Prad.g_01680
OG0000364	Prbh.g_00467	Prad.g_01679
OG0000365	Prbh.g_00466	Prad.g_01678
OG0000366	Prbh.g_00465	Prad.g_01677
OG0000367	Prbh.g_00464	Prad.g_01676
OG0000368	Prbh.g_00463	Prad.g_01675
OG0000369	Prbh.g_00462	Prad.g_01674
OG0000370	Prbh.g_00461	Prad.g_01673
OG0000371	Prbh.g_00460	Prad.g_01672
OG0000372	Prbh.g_00458	Prad.g_01670
OG0000373	Prbh.g_00456	Prad.g_01668
OG0000374	Prbh.g_00455	Prad.g_01667
OG0000375	Prbh.g_00454	Prad.g_01666
OG0000376	Prbh.g_00452	Prad.g_01664
OG0000377	Prbh.g_00446	Prad.g_01663
OG0000378	Prbh.g_00445	Prad.g_01662
OG0000379	Prbh.g_00439	Prad.g_01657
OG0000380	Prbh.g_00437	Prad.g_01656
OG0000381	Prbh.g_00436	Prad.g_01655
OG0000382	Prbh.g_00435	Prad.g_01653
OG0000383	Prbh.g_00431	Prad.g_01650
OG0000384	Prbh.g_00430	Prad.g_01649
OG0000385	Prbh.g_00427	Prad.g_01646
OG0000386	Prbh.g_00426	Prad.g_01645
OG0000387	Prbh.g_00425	Prad.g_01644
OG0000388	Prbh.g_00424	Prad.g_01643
OG0000389	Prbh.g_00423	Prad.g_01642
OG0000390	Prbh.g_00422	Prad.g_00761
OG0000391	Prbh.g_00421	Prad.g_00760
OG0000392	Prbh.g_00420	Prad.g_00759
OG0000393	Prbh.g_00416	Prad.g_00756
OG0000394	Prbh.g_00415	Prad.g_00755
OG0000395	Prbh.g_00412	Prad.g_00753
OG0000396	Prbh.g_01008	Prad.g_00752
OG0000397	Prbh.g_01327	Prad.g_00738
OG0000398	Prbh.g_01877	Prad.g_00730
OG0000399	Prbh.g_01320	Prad.g_00729
OG0000400	Prbh.g_01718	Prad.g_00724
OG0000401	Prbh.g_00401	Prad.g_00671
OG0000402	Prbh.g_00400	Prad.g_00670
OG0000403	Prbh.g_00399	Prad.g_00669
OG0000404	Prbh.g_00397	Prad.g_00667
OG0000405	Prbh.g_00396	Prad.g_00666
OG0000406	Prbh.g_00394	Prad.g_00069
OG0000407	Prbh.g_00393	Prad.g_00068
OG0000408	Prbh.g_00392	Prad.g_00067
OG0000409	Prbh.g_00391	Prad.g_00066
OG0000410	Prbh.g_00390	Prad.g_00065
OG0000411	Prbh.g_00389	Prad.g_00064
OG0000412	Prbh.g_00388	Prad.g_00063
OG0000413	Prbh.g_00387	Prad.g_00062
OG0000414	Prbh.g_00386	Prad.g_00061
OG0000415	Prbh.g_00385	Prad.g_00060
OG0000416	Prbh.g_00384	Prad.g_00059
OG0000417	Prbh.g_00383	Prad.g_00058
OG0000418	Prbh.g_00382	Prad.g_00057
OG0000419	Prbh.g_00381	Prad.g_00056
OG0000420	Prbh.g_00380	Prad.g_00055
OG0000421	Prbh.g_00374	Prad.g_00054
OG0000422	Prbh.g_00372	Prad.g_00052
OG0000423	Prbh.g_00371	Prad.g_00051
OG0000424	Prbh.g_00370	Prad.g_00049
OG0000425	Prbh.g_00367	Prad.g_00045
OG0000426	Prbh.g_00366	Prad.g_00044
OG0000427	Prbh.g_00365	Prad.g_00043
OG0000428	Prbh.g_00363	Prad.g_00042
OG0000429	Prbh.g_00361	Prad.g_00041
OG0000430	Prbh.g_00360	Prad.g_00036
OG0000431	Prbh.g_00358	Prad.g_00034
OG0000432	Prbh.g_00357	Prad.g_00033
OG0000433	Prbh.g_00354	Prad.g_00030
OG0000434	Prbh.g_00353	Prad.g_00029
OG0000435	Prbh.g_00352	Prad.g_00028
OG0000436	Prbh.g_00350	Prad.g_00026
OG0000437	Prbh.g_00348	Prad.g_00024
OG0000438	Prbh.g_00347	Prad.g_00023
OG0000439	Prbh.g_00346	Prad.g_00022
OG0000440	Prbh.g_00344	Prad.g_00020
OG0000441	Prbh.g_00343	Prad.g_00019
OG0000442	Prbh.g_00342	Prad.g_00018
OG0000443	Prbh.g_00341	Prad.g_00017
OG0000444	Prbh.g_00340	Prad.g_00016
OG0000445	Prbh.g_00339	Prad.g_00015
OG0000446	Prbh.g_00338	Prad.g_00014
OG0000447	Prbh.g_00337	Prad.g_00013
OG0000448	Prbh.g_00336	Prad.g_00012
OG0000449	Prbh.g_00329	Prad.g_00129
OG0000450	Prbh.g_00328	Prad.g_00128
OG0000451	Prbh.g_00327	Prad.g_00127
OG0000452	Prbh.g_00326	Prad.g_00126
OG0000453	Prbh.g_00325	Prad.g_00124
OG0000454	Prbh.g_00324	Prad.g_00123
OG0000455	Prbh.g_00323	Prad.g_00122
OG0000456	Prbh.g_00322	Prad.g_00121
OG0000457	Prbh.g_00320	Prad.g_00119
OG0000458	Prbh.g_00318	Prad.g_00117
OG0000459	Prbh.g_00317	Prad.g_00116
OG0000460	Prbh.g_00315	Prad.g_00114
OG0000461	Prbh.g_00314	Prad.g_00113
OG0000462	Prbh.g_00313	Prad.g_00112
OG0000463	Prbh.g_00311	Prad.g_00111
OG0000464	Prbh.g_00306	Prad.g_00106
OG0000465	Prbh.g_00305	Prad.g_00104
OG0000466	Prbh.g_00304	Prad.g_00103
OG0000467	Prbh.g_00303	Prad.g_00102
OG0000468	Prbh.g_00302	Prad.g_00101
OG0000469	Prbh.g_00301	Prad.g_00100
OG0000470	Prbh.g_00299	Prad.g_00099
OG0000471	Prbh.g_00298	Prad.g_00098
OG0000472	Prbh.g_00295	Prad.g_00095
OG0000473	Prbh.g_00294	Prad.g_00094
OG0000474	Prbh.g_00293	Prad.g_00093
OG0000475	Prbh.g_00292	Prad.g_00092
OG0000476	Prbh.g_00291	Prad.g_00091
OG0000477	Prbh.g_00290	Prad.g_01330
OG0000478	Prbh.g_00289	Prad.g_01331
OG0000479	Prbh.g_00288	Prad.g_01332
OG0000480	Prbh.g_00286	Prad.g_01334
OG0000481	Prbh.g_00285	Prad.g_01335
OG0000482	Prbh.g_00284	Prad.g_01336
OG0000483	Prbh.g_00283	Prad.g_01337
OG0000484	Prbh.g_00282	Prad.g_01338
OG0000485	Prbh.g_00281	Prad.g_01339
OG0000486	Prbh.g_00280	Prad.g_01340
OG0000487	Prbh.g_00279	Prad.g_01341
OG0000488	Prbh.g_00277	Prad.g_01343
OG0000489	Prbh.g_00276	Prad.g_01344
OG0000490	Prbh.g_00275	Prad.g_01345
OG0000491	Prbh.g_00274	Prad.g_01346
OG0000492	Prbh.g_00273	Prad.g_01347
OG0000493	Prbh.g_00272	Prad.g_01348
OG0000494	Prbh.g_00270	Prad.g_01350
OG0000495	Prbh.g_00269	Prad.g_01351
OG0000496	Prbh.g_00267	Prad.g_01352
OG0000497	Prbh.g_00265	Prad.g_01353
OG0000498	Prbh.g_00264	Prad.g_01354
OG0000499	Prbh.g_00262	Prad.g_01356
OG0000500	Prbh.g_00261	Prad.g_01357
OG0000501	Prbh.g_00259	Prad.g_01359
OG0000502	Prbh.g_00258	Prad.g_01360
OG0000503	Prbh.g_00257	Prad.g_01361
OG0000504	Prbh.g_00256	Prad.g_01362
OG0000505	Prbh.g_00255	Prad.g_01363
OG0000506	Prbh.g_00254	Prad.g_01364
OG0000507	Prbh.g_00253	Prad.g_01365
OG0000508	Prbh.g_00251	Prad.g_01367
OG0000509	Prbh.g_00250	Prad.g_01368
OG0000510	Prbh.g_00249	Prad.g_01369
OG0000511	Prbh.g_00248	Prad.g_01370
OG0000512	Prbh.g_00247	Prad.g_01371
OG0000513	Prbh.g_00246	Prad.g_01372
OG0000514	Prbh.g_00245	Prad.g_01373
OG0000515	Prbh.g_00244	Prad.g_01375
OG0000516	Prbh.g_00243	Prad.g_01376
OG0000517	Prbh.g_00242	Prad.g_01377
OG0000518	Prbh.g_00239	Prad.g_01380
OG0000519	Prbh.g_00238	Prad.g_01381
OG0000520	Prbh.g_00237	Prad.g_01382
OG0000521	Prbh.g_00236	Prad.g_01383
OG0000522	Prbh.g_00235	Prad.g_01384
OG0000523	Prbh.g_00234	Prad.g_01385
OG0000524	Prbh.g_00233	Prad.g_01386
OG0000525	Prbh.g_00231	Prad.g_01388
OG0000526	Prbh.g_00230	Prad.g_01389
OG0000527	Prbh.g_00229	Prad.g_01390
OG0000528	Prbh.g_00228	Prad.g_01391
OG0000529	Prbh.g_00227	Prad.g_01392
OG0000530	Prbh.g_00226	Prad.g_01393
OG0000531	Prbh.g_00224	Prad.g_01394
OG0000532	Prbh.g_00223	Prad.g_01395
OG0000533	Prbh.g_00222	Prad.g_01396
OG0000534	Prbh.g_00221	Prad.g_01397
OG0000535	Prbh.g_00220	Prad.g_01398
OG0000536	Prbh.g_00219	Prad.g_01399
OG0000537	Prbh.g_00218	Prad.g_01400
OG0000538	Prbh.g_00217	Prad.g_01401
OG0000539	Prbh.g_00216	Prad.g_01402
OG0000540	Prbh.g_00215	Prad.g_01403
OG0000541	Prbh.g_00214	Prad.g_01404
OG0000542	Prbh.g_00213	Prad.g_01405
OG0000543	Prbh.g_00212	Prad.g_01406
OG0000544	Prbh.g_01465	Prad.g_01407
OG0000545	Prbh.g_01462	Prad.g_01410
OG0000546	Prbh.g_01461	Prad.g_01411
OG0000547	Prbh.g_01459	Prad.g_01413
OG0000548	Prbh.g_01457	Prad.g_01414
OG0000549	Prbh.g_01456	Prad.g_01415
OG0000550	Prbh.g_01455	Prad.g_01416
OG0000551	Prbh.g_01453	Prad.g_01417
OG0000552	Prbh.g_01452	Prad.g_01418
OG0000553	Prbh.g_01223	Prad.g_01419
OG0000554	Prbh.g_01222	Prad.g_01420
OG0000555	Prbh.g_01221	Prad.g_01421
OG0000556	Prbh.g_01220	Prad.g_01422
OG0000557	Prbh.g_01219	Prad.g_01423
OG0000558	Prbh.g_01218	Prad.g_01424
