Orthogroup	Syat	Prad
OG0000079	Syat.g_01879	Prad.g_01739
OG0000080	Syat.g_02420	Prad.g_00560
OG0000081	Syat.g_00980	Prad.g_00098
OG0000082	Syat.g_00035	Prad.g_01374
OG0000085	Syat.g_03113	Prad.g_00948
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prad.g_01905
OG0000087	Syat.g_02912	Prad.g_01854
OG0000088	Syat.g_02862	Prad.g_01825
OG0000089	Syat.g_02953	Prad.g_00755
OG0000090	Syat.g_03270	Prad.g_00096
OG0000091	Syat.g_00939, Syat.g_00862	Prad.g_01431
OG0000092	Syat.g_00825	Prad.g_00240
OG0000094	Syat.g_00698, Syat.g_01034	Prad.g_01038
OG0000097	Syat.g_00907, Syat.g_00535	Prad.g_01454
OG0000098	Syat.g_03281	Prad.g_00612
OG0000099	Syat.g_02130	Prad.g_00566
OG0000100	Syat.g_00517	Prad.g_00440
OG0000101	Syat.g_01661	Prad.g_00807
OG0000102	Syat.g_00974	Prad.g_01626
OG0000103	Syat.g_02399	Prad.g_01548
OG0000104	Syat.g_02385	Prad.g_01540
OG0000105	Syat.g_02052	Prad.g_01717
OG0000106	Syat.g_00957	Prad.g_00739
OG0000107	Syat.g_01862	Prad.g_00724
OG0000108	Syat.g_03170	Prad.g_00027
OG0000109	Syat.g_03187	Prad.g_00013
OG0000110	Syat.g_00049	Prad.g_01364
OG0000111	Syat.g_00816	Prad.g_01273
OG0000112	Syat.g_00593	Prad.g_01109
OG0000113	Syat.g_00509	Prad.g_01168
OG0000114	Syat.g_00426	Prad.g_00245
OG0000115	Syat.g_01328	Prad.g_00641
OG0000116	Syat.g_02641	Prad.g_01506
OG0000117	Syat.g_00224	Prad.g_01214
OG0000118	Syat.g_01168	Prad.g_00616
OG0000119	Syat.g_00309	Prad.g_00598
OG0000120	Syat.g_02132	Prad.g_00564
OG0000121	Syat.g_01223	Prad.g_00513
OG0000123	Syat.g_01653	Prad.g_00800
OG0000124	Syat.g_02231	Prad.g_01616
OG0000125	Syat.g_02684	Prad.g_01580
OG0000126	Syat.g_00976	Prad.g_01541
OG0000128	Syat.g_02331	Prad.g_01975
OG0000129	Syat.g_02693, Syat.g_02694	Prad.g_01943
OG0000130	Syat.g_01469	Prad.g_01924
OG0000131	Syat.g_02898	Prad.g_01846
OG0000132	Syat.g_02864	Prad.g_01827
OG0000133	Syat.g_00588	Prad.g_01669
OG0000134	Syat.g_02956	Prad.g_00754
OG0000135	Syat.g_02501	Prad.g_00727
OG0000136	Syat.g_01292	Prad.g_00066
OG0000137	Syat.g_01371	Prad.g_00032
OG0000138	Syat.g_03188	Prad.g_00012
OG0000140	Syat.g_03280	Prad.g_00091
OG0000141	Syat.g_03398	Prad.g_01396
OG0000142	Syat.g_00117	Prad.g_01424
OG0000143	Syat.g_00130	Prad.g_01428
OG0000144	Syat.g_00369	Prad.g_01226
OG0000145	Syat.g_03202	Prad.g_01107
OG0000146	Syat.g_00594	Prad.g_01110
OG0000147	Syat.g_00595	Prad.g_01111
OG0000148	Syat.g_00503	Prad.g_01162
OG0000149	Syat.g_00747	Prad.g_00301
OG0000150	Syat.g_03399	Prad.g_00293
OG0000151	Syat.g_00801, Syat.g_00440	Prad.g_00235
OG0000152	Syat.g_00578	Prad.g_00186
OG0000153	Syat.g_00542	Prad.g_00167
OG0000154	Syat.g_00708	Prad.g_00139
OG0000155	Syat.g_00287	Prad.g_01476
OG0000156	Syat.g_03228	Prad.g_00359
OG0000157	Syat.g_02012, Syat.g_03227	Prad.g_00360
OG0000158	Syat.g_02163	Prad.g_00567
OG0000159	Syat.g_01187	Prad.g_00563
OG0000160	Syat.g_01224	Prad.g_00514
OG0000161	Syat.g_01180	Prad.g_00508
OG0000162	Syat.g_01281	Prad.g_00502
OG0000163	Syat.g_02979	Prad.g_00467
OG0000164	Syat.g_03040	Prad.g_00917
OG0000165	Syat.g_03033	Prad.g_00910
OG0000166	Syat.g_01822	Prad.g_00843
OG0000167	Syat.g_02148	Prad.g_00777
OG0000168	Syat.g_02164	Prad.g_00767
OG0000169	Syat.g_02192	Prad.g_01637
OG0000170	Syat.g_02201	Prad.g_01635
OG0000171	Syat.g_02230	Prad.g_01617
OG0000172	Syat.g_02260	Prad.g_01609
OG0000173	Syat.g_02284	Prad.g_01594
OG0000174	Syat.g_02504	Prad.g_01566
OG0000175	Syat.g_02416	Prad.g_01556
OG0000176	Syat.g_02372	Prad.g_01532
OG0000177	Syat.g_02338	Prad.g_01531
OG0000178	Syat.g_02337	Prad.g_01530
OG0000179	Syat.g_02322	Prad.g_01970
OG0000180	Syat.g_02321	Prad.g_01969
OG0000181	Syat.g_02320	Prad.g_01968
OG0000182	Syat.g_02319	Prad.g_01967
OG0000183	Syat.g_02315	Prad.g_01963
OG0000184	Syat.g_02704	Prad.g_01940
OG0000185	Syat.g_02719	Prad.g_01937
OG0000186	Syat.g_01463	Prad.g_01929
OG0000187	Syat.g_01467	Prad.g_01928
OG0000188	Syat.g_01489	Prad.g_01911
OG0000189	Syat.g_01557	Prad.g_01897
OG0000190	Syat.g_00330	Prad.g_01896
OG0000191	Syat.g_03344, Syat.g_02939	Prad.g_01876
OG0000192	Syat.g_02933	Prad.g_01872
OG0000193	Syat.g_02897	Prad.g_01845
OG0000194	Syat.g_02894	Prad.g_01842
OG0000195	Syat.g_02892	Prad.g_01840
OG0000196	Syat.g_02867	Prad.g_01830
OG0000197	Syat.g_02866	Prad.g_01829
OG0000198	Syat.g_02865	Prad.g_01828
OG0000199	Syat.g_02857	Prad.g_01821
OG0000200	Syat.g_02840	Prad.g_01807
OG0000201	Syat.g_02821	Prad.g_01799
OG0000202	Syat.g_02820	Prad.g_01798
OG0000203	Syat.g_02819	Prad.g_01797
OG0000204	Syat.g_02818	Prad.g_01796
OG0000205	Syat.g_02809	Prad.g_01789
OG0000206	Syat.g_02785	Prad.g_01784
OG0000207	Syat.g_02778	Prad.g_01782
OG0000208	Syat.g_02777	Prad.g_01781
OG0000209	Syat.g_02735	Prad.g_01772
OG0000210	Syat.g_02734	Prad.g_01771
OG0000211	Syat.g_01452	Prad.g_01758
OG0000212	Syat.g_01442	Prad.g_01751
OG0000213	Syat.g_01889	Prad.g_01734
OG0000214	Syat.g_02042	Prad.g_01724
OG0000215	Syat.g_02075	Prad.g_01699
OG0000216	Syat.g_02079	Prad.g_01697
OG0000217	Syat.g_02085	Prad.g_01694
OG0000218	Syat.g_02087	Prad.g_01692
OG0000219	Syat.g_02088	Prad.g_01691
OG0000220	Syat.g_02089	Prad.g_01690
OG0000221	Syat.g_02095	Prad.g_01689
OG0000222	Syat.g_02109	Prad.g_01681
OG0000223	Syat.g_02570	Prad.g_01668
OG0000224	Syat.g_02139	Prad.g_01666
OG0000225	Syat.g_01595	Prad.g_01645
OG0000226	Syat.g_01588	Prad.g_00761
OG0000228	Syat.g_02952	Prad.g_00756
OG0000229	Syat.g_02970	Prad.g_00666
OG0000230	Syat.g_02972	Prad.g_00069
OG0000231	Syat.g_01283	Prad.g_00058
OG0000232	Syat.g_01313	Prad.g_00049
OG0000233	Syat.g_01407	Prad.g_00043
OG0000234	Syat.g_01369	Prad.g_00031
OG0000235	Syat.g_03169	Prad.g_00028
OG0000236	Syat.g_03186	Prad.g_00014
OG0000237	Syat.g_03214	Prad.g_00123
OG0000238	Syat.g_03219	Prad.g_00117
OG0000239	Syat.g_01105	Prad.g_00104
OG0000240	Syat.g_01104	Prad.g_00103
OG0000241	Syat.g_00111	Prad.g_00099
OG0000242	Syat.g_01077	Prad.g_00097
OG0000243	Syat.g_00092	Prad.g_01333
OG0000244	Syat.g_00082	Prad.g_01336
OG0000245	Syat.g_00080	Prad.g_01338
OG0000246	Syat.g_00076	Prad.g_01342
OG0000247	Syat.g_00065	Prad.g_01352
OG0000248	Syat.g_00062	Prad.g_01354
OG0000249	Syat.g_00060	Prad.g_01356
OG0000250	Syat.g_00053	Prad.g_01361
OG0000251	Syat.g_00027	Prad.g_01380
OG0000252	Syat.g_00022	Prad.g_01383
OG0000253	Syat.g_00021	Prad.g_01384
OG0000254	Syat.g_03407	Prad.g_01400
OG0000255	Syat.g_02405	Prad.g_01406
OG0000256	Syat.g_03306	Prad.g_01416
OG0000257	Syat.g_00109	Prad.g_01419
OG0000258	Syat.g_00382	Prad.g_01432
OG0000259	Syat.g_00342	Prad.g_01234
OG0000260	Syat.g_00392	Prad.g_01237
OG0000261	Syat.g_00400	Prad.g_01239
OG0000262	Syat.g_00407	Prad.g_01243
OG0000263	Syat.g_00200	Prad.g_01255
OG0000266	Syat.g_00671	Prad.g_01059
OG0000267	Syat.g_00636	Prad.g_01070
OG0000268	Syat.g_00634	Prad.g_01071
OG0000269	Syat.g_00474, Syat.g_00126	Prad.g_01141
OG0000270	Syat.g_00477	Prad.g_01144
OG0000271	Syat.g_00485	Prad.g_01152
OG0000272	Syat.g_00486	Prad.g_01153
OG0000273	Syat.g_00520	Prad.g_01176
OG0000274	Syat.g_00521	Prad.g_01177
OG0000275	Syat.g_00718	Prad.g_01180
OG0000276	Syat.g_00725	Prad.g_01185
OG0000277	Syat.g_00738	Prad.g_00308
OG0000278	Syat.g_00741	Prad.g_00305
OG0000279	Syat.g_00755	Prad.g_00298
OG0000280	Syat.g_01669	Prad.g_00297
OG0000281	Syat.g_00960	Prad.g_00292
OG0000282	Syat.g_00431	Prad.g_00243
OG0000283	Syat.g_00620	Prad.g_00209
OG0000284	Syat.g_00614	Prad.g_00204
OG0000285	Syat.g_00607	Prad.g_00199
OG0000286	Syat.g_00579	Prad.g_00187
OG0000287	Syat.g_00550	Prad.g_00170
OG0000288	Syat.g_00709	Prad.g_00140
OG0000289	Syat.g_00695	Prad.g_01035
OG0000290	Syat.g_00805	Prad.g_01021
OG0000292	Syat.g_02388	Prad.g_00972
OG0000293	Syat.g_03241	Prad.g_01505
OG0000294	Syat.g_03248	Prad.g_01504
OG0000295	Syat.g_00297	Prad.g_01484
OG0000296	Syat.g_00295	Prad.g_01482
OG0000299	Syat.g_00910	Prad.g_01455
OG0000300	Syat.g_00904	Prad.g_01452
OG0000301	Syat.g_00903	Prad.g_01451
OG0000302	Syat.g_00901	Prad.g_01449
OG0000303	Syat.g_00892	Prad.g_01442
OG0000304	Syat.g_00885	Prad.g_01438
OG0000305	Syat.g_00809	Prad.g_00602
OG0000306	Syat.g_01704	Prad.g_00599
OG0000307	Syat.g_01304	Prad.g_00585
OG0000308	Syat.g_01306	Prad.g_00584
OG0000309	Syat.g_01417	Prad.g_00580
OG0000310	Syat.g_01246	Prad.g_00530
OG0000311	Syat.g_01242	Prad.g_00528
OG0000312	Syat.g_01237	Prad.g_00525
OG0000313	Syat.g_01183	Prad.g_00511
OG0000314	Syat.g_01341	Prad.g_00487
OG0000315	Syat.g_01351	Prad.g_00477
OG0000316	Syat.g_03082	Prad.g_00457
OG0000317	Syat.g_03120	Prad.g_00943
OG0000318	Syat.g_03125	Prad.g_00940
OG0000319	Syat.g_03055	Prad.g_00927
OG0000320	Syat.g_03053	Prad.g_00925
OG0000321	Syat.g_03052	Prad.g_00924
OG0000322	Syat.g_03051	Prad.g_00923
OG0000323	Syat.g_03038	Prad.g_00914
OG0000324	Syat.g_02998	Prad.g_00887
OG0000325	Syat.g_01861	Prad.g_00878
OG0000326	Syat.g_01854	Prad.g_00872
OG0000327	Syat.g_01827	Prad.g_00848
OG0000328	Syat.g_01826	Prad.g_00847
OG0000329	Syat.g_01808	Prad.g_00830
OG0000330	Syat.g_01807	Prad.g_00829
OG0000331	Syat.g_01806	Prad.g_00828
OG0000332	Syat.g_01790	Prad.g_00814
OG0000333	Syat.g_01787	Prad.g_00812
OG0000334	Syat.g_01657	Prad.g_00804
OG0000335	Syat.g_01652	Prad.g_00799
OG0000336	Syat.g_01648	Prad.g_00795
OG0000337	Syat.g_02144	Prad.g_00779
OG0000338	Syat.g_02146	Prad.g_00778
OG0000339	Syat.g_02155, Syat.g_01055	Prad.g_00774
OG0000340	Syat.g_02165	Prad.g_00766
OG0000340	Syat.g_02165	Prad.g_01294
OG0000341	Syat.g_02167	Prad.g_00764
OG0000342	Syat.g_02168	Prad.g_00763
OG0000343	Syat.g_02185	Prad.g_00762
OG0000344	Syat.g_02189	Prad.g_01639
OG0000345	Syat.g_02202	Prad.g_01634
OG0000346	Syat.g_02207	Prad.g_01630
OG0000347	Syat.g_02234	Prad.g_01615
OG0000348	Syat.g_02264	Prad.g_01606
OG0000349	Syat.g_02291	Prad.g_01589
OG0000350	Syat.g_01847	Prad.g_01570
OG0000351	Syat.g_02411	Prad.g_01553
OG0000352	Syat.g_02410	Prad.g_01552
OG0000353	Syat.g_00955, Syat.g_02377	Prad.g_01537
OG0000354	Syat.g_02325	Prad.g_01041
OG0000355	Syat.g_02375	Prad.g_01535
OG0000356	Syat.g_02374	Prad.g_01534
OG0000357	Syat.g_02373	Prad.g_01533
OG0000358	Syat.g_02336	Prad.g_01529
OG0000359	Syat.g_02334	Prad.g_01528
OG0000360	Syat.g_02333	Prad.g_01527
OG0000361	Syat.g_02332	Prad.g_01976
OG0000362	Syat.g_02330	Prad.g_01974
OG0000363	Syat.g_02328	Prad.g_01972
OG0000364	Syat.g_03122	Prad.g_01971
OG0000365	Syat.g_02318	Prad.g_01966
OG0000366	Syat.g_02317	Prad.g_01965
OG0000367	Syat.g_02316	Prad.g_01964
OG0000368	Syat.g_02314	Prad.g_01962
OG0000369	Syat.g_02313	Prad.g_01961
OG0000370	Syat.g_02312	Prad.g_01960
OG0000371	Syat.g_02304	Prad.g_01954
OG0000372	Syat.g_02298	Prad.g_01951
OG0000373	Syat.g_02297	Prad.g_01950
OG0000374	Syat.g_02296	Prad.g_01949
OG0000375	Syat.g_02295	Prad.g_01947
OG0000376	Syat.g_02293	Prad.g_01945
OG0000377	Syat.g_02695	Prad.g_01941
OG0000378	Syat.g_02715	Prad.g_01939
OG0000379	Syat.g_02720	Prad.g_01936
OG0000380	Syat.g_01468	Prad.g_01927
OG0000381	Syat.g_01470	Prad.g_01923
OG0000382	Syat.g_01488	Prad.g_01912
OG0000383	Syat.g_01521	Prad.g_01910
OG0000384	Syat.g_01522	Prad.g_01909
OG0000385	Syat.g_01523	Prad.g_01908
OG0000386	Syat.g_01524	Prad.g_01907
OG0000387	Syat.g_01561	Prad.g_01894
OG0000388	Syat.g_01565	Prad.g_01891
OG0000389	Syat.g_01569	Prad.g_01887
OG0000390	Syat.g_02945	Prad.g_00011, Prad.g_01880
OG0000391	Syat.g_02940	Prad.g_01877
OG0000392	Syat.g_02934	Prad.g_01873
OG0000393	Syat.g_02931	Prad.g_01871
OG0000394	Syat.g_02930	Prad.g_01870
OG0000395	Syat.g_02929	Prad.g_01869
OG0000396	Syat.g_02927	Prad.g_01866
OG0000397	Syat.g_02925	Prad.g_01864
OG0000398	Syat.g_02920	Prad.g_01862
OG0000399	Syat.g_02919	Prad.g_01861
OG0000400	Syat.g_02918	Prad.g_01860
OG0000401	Syat.g_02917	Prad.g_01859
OG0000402	Syat.g_02915	Prad.g_01857
OG0000403	Syat.g_02914	Prad.g_01856
OG0000404	Syat.g_02913	Prad.g_01855
OG0000405	Syat.g_02900	Prad.g_01851
OG0000406	Syat.g_02896	Prad.g_01844
OG0000407	Syat.g_02895	Prad.g_01843
OG0000408	Syat.g_02893	Prad.g_01841
OG0000409	Syat.g_02891	Prad.g_01839
OG0000410	Syat.g_02890	Prad.g_01838
OG0000411	Syat.g_02889	Prad.g_01837
OG0000412	Syat.g_02888	Prad.g_01836
OG0000413	Syat.g_02886	Prad.g_01835
OG0000414	Syat.g_02885	Prad.g_01834
OG0000415	Syat.g_02884	Prad.g_01833
OG0000416	Syat.g_02883	Prad.g_01832
OG0000417	Syat.g_02868	Prad.g_01831
OG0000418	Syat.g_02863	Prad.g_01826
OG0000419	Syat.g_02861	Prad.g_01824
OG0000420	Syat.g_02859	Prad.g_01823
OG0000421	Syat.g_02855	Prad.g_01818
OG0000422	Syat.g_02854	Prad.g_01817
OG0000423	Syat.g_02853	Prad.g_01816
OG0000424	Syat.g_02852	Prad.g_01815
OG0000425	Syat.g_02851	Prad.g_01814
OG0000426	Syat.g_02850	Prad.g_01813
OG0000427	Syat.g_02849	Prad.g_01812
OG0000428	Syat.g_02846	Prad.g_01810
OG0000429	Syat.g_02843	Prad.g_01809
OG0000430	Syat.g_02841	Prad.g_01808
OG0000431	Syat.g_02838	Prad.g_01806
OG0000432	Syat.g_02832	Prad.g_01803
OG0000433	Syat.g_02829	Prad.g_01802
OG0000434	Syat.g_02828	Prad.g_01801
OG0000435	Syat.g_02824	Prad.g_01800
OG0000436	Syat.g_02817	Prad.g_01795
OG0000437	Syat.g_02558	Prad.g_01794
OG0000438	Syat.g_02813	Prad.g_01793
OG0000439	Syat.g_02811	Prad.g_01791
OG0000440	Syat.g_02810	Prad.g_01790
OG0000441	Syat.g_02807	Prad.g_01787
OG0000442	Syat.g_02797	Prad.g_01786
OG0000443	Syat.g_02787	Prad.g_01785
OG0000444	Syat.g_02756	Prad.g_01780
OG0000445	Syat.g_02755	Prad.g_01779
OG0000446	Syat.g_02753	Prad.g_01778
OG0000447	Syat.g_02749	Prad.g_01777
OG0000448	Syat.g_02748	Prad.g_01776
OG0000449	Syat.g_02747	Prad.g_01775
OG0000450	Syat.g_02738	Prad.g_01774
OG0000451	Syat.g_02737	Prad.g_01773
OG0000452	Syat.g_02732	Prad.g_01770
OG0000453	Syat.g_02731	Prad.g_01769
OG0000454	Syat.g_02730	Prad.g_01768
OG0000455	Syat.g_02729	Prad.g_01767
OG0000456	Syat.g_02728	Prad.g_01766
OG0000457	Syat.g_02726	Prad.g_01765
OG0000458	Syat.g_02725	Prad.g_01764
OG0000459	Syat.g_02724	Prad.g_01763
OG0000460	Syat.g_01450	Prad.g_01756
OG0000461	Syat.g_01866	Prad.g_01749
OG0000462	Syat.g_01868	Prad.g_01747
OG0000463	Syat.g_01869	Prad.g_01746
OG0000464	Syat.g_01870	Prad.g_01745
OG0000465	Syat.g_01872	Prad.g_01744
OG0000466	Syat.g_01877	Prad.g_01741
OG0000467	Syat.g_01878	Prad.g_01740
OG0000468	Syat.g_01884	Prad.g_01738
OG0000469	Syat.g_02000	Prad.g_01729
OG0000470	Syat.g_02038	Prad.g_01727
OG0000471	Syat.g_02039	Prad.g_01726
OG0000472	Syat.g_02041	Prad.g_01725
OG0000473	Syat.g_02043	Prad.g_01723
OG0000474	Syat.g_02044	Prad.g_01722
OG0000475	Syat.g_02045	Prad.g_01721
OG0000476	Syat.g_02047	Prad.g_01720
OG0000477	Syat.g_02053	Prad.g_01716
OG0000478	Syat.g_02054	Prad.g_01715
OG0000479	Syat.g_02056	Prad.g_01714
OG0000480	Syat.g_02063	Prad.g_01709
OG0000481	Syat.g_02066	Prad.g_01707
OG0000482	Syat.g_02067	Prad.g_01706
OG0000483	Syat.g_02071	Prad.g_01703
OG0000484	Syat.g_02072	Prad.g_01702
OG0000485	Syat.g_02073	Prad.g_01701
OG0000486	Syat.g_02074	Prad.g_01700
OG0000487	Syat.g_02080	Prad.g_01696
OG0000488	Syat.g_02086	Prad.g_01693
OG0000489	Syat.g_02097	Prad.g_01688
OG0000490	Syat.g_02106	Prad.g_01683
OG0000491	Syat.g_02107	Prad.g_01682
OG0000492	Syat.g_02110	Prad.g_01680
OG0000493	Syat.g_02111	Prad.g_01679
OG0000494	Syat.g_02112	Prad.g_01678
OG0000495	Syat.g_02120	Prad.g_01677
OG0000496	Syat.g_02121	Prad.g_01676
OG0000497	Syat.g_02122	Prad.g_01675
OG0000498	Syat.g_02123	Prad.g_01674
OG0000499	Syat.g_02124	Prad.g_01673
OG0000500	Syat.g_02125	Prad.g_01672
OG0000501	Syat.g_02128	Prad.g_01670
OG0000502	Syat.g_02135	Prad.g_01667
OG0000503	Syat.g_01614	Prad.g_01657
OG0000504	Syat.g_01612	Prad.g_01656
OG0000505	Syat.g_01611	Prad.g_01655
OG0000506	Syat.g_01609	Prad.g_01653
OG0000507	Syat.g_01603	Prad.g_01650
OG0000508	Syat.g_01596	Prad.g_01646
OG0000509	Syat.g_01591	Prad.g_01644
OG0000510	Syat.g_01590	Prad.g_01643
OG0000511	Syat.g_01589	Prad.g_01642
OG0000512	Syat.g_01587	Prad.g_00760
OG0000513	Syat.g_02957	Prad.g_00753
OG0000514	Syat.g_02962	Prad.g_00671
OG0000515	Syat.g_02963	Prad.g_00670
OG0000516	Syat.g_02965	Prad.g_00669
OG0000517	Syat.g_02969	Prad.g_00667
OG0000518	Syat.g_01286	Prad.g_00061
OG0000519	Syat.g_01285	Prad.g_00060
OG0000520	Syat.g_01284	Prad.g_00059
OG0000521	Syat.g_01319	Prad.g_00054
OG0000522	Syat.g_01317	Prad.g_00052
OG0000523	Syat.g_01316	Prad.g_00051
OG0000524	Syat.g_01409	Prad.g_00045
OG0000525	Syat.g_01382	Prad.g_00042
OG0000526	Syat.g_01380	Prad.g_00041
OG0000527	Syat.g_01373	Prad.g_00034
OG0000528	Syat.g_03167	Prad.g_00029
OG0000529	Syat.g_03171	Prad.g_00026
OG0000530	Syat.g_03174	Prad.g_00023
OG0000531	Syat.g_03175	Prad.g_00022
OG0000532	Syat.g_03178	Prad.g_00020
OG0000533	Syat.g_03180	Prad.g_00019
OG0000534	Syat.g_03181	Prad.g_00018
OG0000535	Syat.g_03182	Prad.g_00017
OG0000536	Syat.g_03183	Prad.g_00016
OG0000537	Syat.g_03185	Prad.g_00015
OG0000538	Syat.g_03204	Prad.g_00129
OG0000539	Syat.g_03206	Prad.g_00128
OG0000540	Syat.g_03207	Prad.g_00127
OG0000541	Syat.g_03208	Prad.g_00126
OG0000542	Syat.g_03213	Prad.g_00124
OG0000543	Syat.g_03215	Prad.g_00122
OG0000544	Syat.g_03216	Prad.g_00121
OG0000545	Syat.g_03218	Prad.g_00119
OG0000546	Syat.g_03220	Prad.g_00116
OG0000547	Syat.g_03222	Prad.g_00114
OG0000548	Syat.g_03223	Prad.g_00113
OG0000549	Syat.g_01795	Prad.g_00111
OG0000550	Syat.g_01107	Prad.g_00106
OG0000551	Syat.g_01103	Prad.g_00102
OG0000552	Syat.g_01102	Prad.g_00101
OG0000553	Syat.g_01098	Prad.g_00100
OG0000554	Syat.g_03271	Prad.g_00095
OG0000555	Syat.g_00093	Prad.g_01332
OG0000556	Syat.g_00088	Prad.g_01334
OG0000557	Syat.g_00083	Prad.g_01335
OG0000558	Syat.g_00081	Prad.g_01337
OG0000559	Syat.g_00077	Prad.g_01341
OG0000560	Syat.g_00074	Prad.g_01344
OG0000561	Syat.g_00073	Prad.g_01345
OG0000562	Syat.g_00072	Prad.g_01346
OG0000563	Syat.g_00071	Prad.g_01347
OG0000564	Syat.g_00070	Prad.g_01348
OG0000565	Syat.g_00067	Prad.g_01351
OG0000566	Syat.g_00063	Prad.g_01353
OG0000567	Syat.g_00059	Prad.g_01357
OG0000568	Syat.g_00057	Prad.g_01358
OG0000569	Syat.g_00056	Prad.g_01359
OG0000570	Syat.g_00055	Prad.g_01360
OG0000571	Syat.g_00052	Prad.g_01362
OG0000572	Syat.g_00033	Prad.g_01375
OG0000573	Syat.g_00024	Prad.g_01381
OG0000574	Syat.g_00023	Prad.g_01382
OG0000575	Syat.g_00018	Prad.g_01386
OG0000576	Syat.g_00014	Prad.g_01388
OG0000577	Syat.g_00013	Prad.g_01389
OG0000578	Syat.g_00012	Prad.g_01390
OG0000579	Syat.g_00011	Prad.g_01391
OG0000580	Syat.g_00010	Prad.g_01392
OG0000581	Syat.g_00003	Prad.g_01394
OG0000582	Syat.g_03403	Prad.g_01397
OG0000583	Syat.g_03404	Prad.g_01398
OG0000584	Syat.g_03405	Prad.g_01399
OG0000585	Syat.g_03408	Prad.g_01401
OG0000586	Syat.g_03409	Prad.g_01402
OG0000587	Syat.g_00001	Prad.g_01403
OG0000588	Syat.g_00338	Prad.g_01407
OG0000589	Syat.g_03318	Prad.g_01410
OG0000590	Syat.g_03317	Prad.g_01411
OG0000591	Syat.g_03308	Prad.g_01414
OG0000592	Syat.g_03307	Prad.g_01415
OG0000593	Syat.g_00113	Prad.g_01421
OG0000594	Syat.g_00114	Prad.g_01422
OG0000595	Syat.g_00115	Prad.g_01423
OG0000596	Syat.g_00129	Prad.g_01427
OG0000597	Syat.g_00132	Prad.g_01429
OG0000598	Syat.g_00133	Prad.g_01430
OG0000599	Syat.g_00381	Prad.g_01433
OG0000600	Syat.g_00380	Prad.g_01219
OG0000601	Syat.g_00379	Prad.g_01220
OG0000602	Syat.g_00375	Prad.g_01222
OG0000603	Syat.g_00374	Prad.g_01223
OG0000604	Syat.g_00372	Prad.g_01224
OG0000605	Syat.g_00370	Prad.g_01225
OG0000606	Syat.g_00367	Prad.g_01228
OG0000607	Syat.g_00364	Prad.g_01231
