Orthogroup	Syat	Prai
OG0000087	Syat.g_02912	Prai.g_00139
OG0000088	Syat.g_02862	Prai.g_00177
OG0000089	Syat.g_02953	Prai.g_00368
OG0000090	Syat.g_03270	Prai.g_00561
OG0000091	Syat.g_00939, Syat.g_00862	Prai.g_00671
OG0000092	Syat.g_00825	Prai.g_01041
OG0000094	Syat.g_00698, Syat.g_01034	Prai.g_00937
OG0000097	Syat.g_00907, Syat.g_00535	Prai.g_01214
OG0000098	Syat.g_03281	Prai.g_01353
OG0000099	Syat.g_02130	Prai.g_01393
OG0000100	Syat.g_00517	Prai.g_01536
OG0000101	Syat.g_01661	Prai.g_01782
OG0000102	Syat.g_00974	Prai.g_01843
OG0000103	Syat.g_02399	Prai.g_01923
OG0000104	Syat.g_02385	Prai.g_01932
OG0000105	Syat.g_02052	Prai.g_00286, Prai.g_00287
OG0000106	Syat.g_00957	Prai.g_00383
OG0000107	Syat.g_01862	Prai.g_00397
OG0000108	Syat.g_03170	Prai.g_00510
OG0000109	Syat.g_03187	Prai.g_00524
OG0000110	Syat.g_00049	Prai.g_00603
OG0000111	Syat.g_00816	Prai.g_00728
OG0000112	Syat.g_00593	Prai.g_00882
OG0000113	Syat.g_00509	Prai.g_00825
OG0000114	Syat.g_00426	Prai.g_01046
OG0000115	Syat.g_01328	Prai.g_01119
OG0000116	Syat.g_02641	Prai.g_01162
OG0000117	Syat.g_00224	Prai.g_01273
OG0000118	Syat.g_01168	Prai.g_01347
OG0000119	Syat.g_00309	Prai.g_01366
OG0000120	Syat.g_02132	Prai.g_01443
OG0000121	Syat.g_01223	Prai.g_01465
OG0000123	Syat.g_01653	Prai.g_01789
OG0000124	Syat.g_02231	Prai.g_01854
OG0000125	Syat.g_02684	Prai.g_01892
OG0000126	Syat.g_00976	Prai.g_01931
OG0000128	Syat.g_02331	Prai.g_00011
OG0000129	Syat.g_02693, Syat.g_02694	Prai.g_00051
OG0000130	Syat.g_01469	Prai.g_00069
OG0000131	Syat.g_02898	Prai.g_00156
OG0000132	Syat.g_02864	Prai.g_00175
OG0000133	Syat.g_00588	Prai.g_00335
OG0000134	Syat.g_02956	Prai.g_00369
OG0000135	Syat.g_02501	Prai.g_00393
OG0000136	Syat.g_01292	Prai.g_00472
OG0000137	Syat.g_01371	Prai.g_00505
OG0000138	Syat.g_03188	Prai.g_00525
OG0000140	Syat.g_03280	Prai.g_00566
OG0000141	Syat.g_03398	Prai.g_00635
OG0000142	Syat.g_00117	Prai.g_00664
OG0000143	Syat.g_00130	Prai.g_00668
OG0000144	Syat.g_00369	Prai.g_00681
OG0000145	Syat.g_03202	Prai.g_00883
OG0000146	Syat.g_00594	Prai.g_00881
OG0000147	Syat.g_00595	Prai.g_00880
OG0000148	Syat.g_00503	Prai.g_00831
OG0000149	Syat.g_00747	Prai.g_00800
OG0000150	Syat.g_03399	Prai.g_00792
OG0000151	Syat.g_00801, Syat.g_00440	Prai.g_01036
OG0000152	Syat.g_00578	Prai.g_00989
OG0000153	Syat.g_00542	Prai.g_00970
OG0000154	Syat.g_00708	Prai.g_00943
OG0000155	Syat.g_00287	Prai.g_01191
OG0000156	Syat.g_03228	Prai.g_01323
OG0000157	Syat.g_02012, Syat.g_03227	Prai.g_01324
OG0000158	Syat.g_02163	Prai.g_01392
OG0000159	Syat.g_01187	Prai.g_01321, Prai.g_01390
OG0000160	Syat.g_01224	Prai.g_01464
OG0000161	Syat.g_01180	Prai.g_01470
OG0000162	Syat.g_01281	Prai.g_01476
OG0000163	Syat.g_02979	Prai.g_01509
OG0000164	Syat.g_03040	Prai.g_01662
OG0000165	Syat.g_03033	Prai.g_01669
OG0000166	Syat.g_01822	Prai.g_01740
OG0000167	Syat.g_02148	Prai.g_01812
OG0000168	Syat.g_02164	Prai.g_01822
OG0000169	Syat.g_02192	Prai.g_01832
OG0000170	Syat.g_02201	Prai.g_01834
OG0000171	Syat.g_02230	Prai.g_01853
OG0000172	Syat.g_02260	Prai.g_01863
OG0000173	Syat.g_02284	Prai.g_01878
OG0000174	Syat.g_02504	Prai.g_01905
OG0000175	Syat.g_02416	Prai.g_01915
OG0000176	Syat.g_02372	Prai.g_00004
OG0000177	Syat.g_02338	Prai.g_00005
OG0000178	Syat.g_02337	Prai.g_00006
OG0000179	Syat.g_02322	Prai.g_00016
OG0000180	Syat.g_02321	Prai.g_00017
OG0000181	Syat.g_02320	Prai.g_00018
OG0000182	Syat.g_02319	Prai.g_00019
OG0000183	Syat.g_02315	Prai.g_00023
OG0000184	Syat.g_02704	Prai.g_00053
OG0000185	Syat.g_02719	Prai.g_00056
OG0000186	Syat.g_01463	Prai.g_00064
OG0000187	Syat.g_01467	Prai.g_00065
OG0000188	Syat.g_01489	Prai.g_00082
OG0000189	Syat.g_01557	Prai.g_00096
OG0000190	Syat.g_00330	Prai.g_00097
OG0000191	Syat.g_03344, Syat.g_02939	Prai.g_00117
OG0000192	Syat.g_02933	Prai.g_00121
OG0000193	Syat.g_02897	Prai.g_00157
OG0000194	Syat.g_02894	Prai.g_00160
OG0000195	Syat.g_02892	Prai.g_00162
OG0000196	Syat.g_02867	Prai.g_00172
OG0000197	Syat.g_02866	Prai.g_00173
OG0000198	Syat.g_02865	Prai.g_00174
OG0000199	Syat.g_02857	Prai.g_00181
OG0000200	Syat.g_02840	Prai.g_00195
OG0000201	Syat.g_02821	Prai.g_00203
OG0000202	Syat.g_02820	Prai.g_00204
OG0000203	Syat.g_02819	Prai.g_00205
OG0000204	Syat.g_02818	Prai.g_00206
OG0000205	Syat.g_02809	Prai.g_00213
OG0000206	Syat.g_02785	Prai.g_00218
OG0000207	Syat.g_02778	Prai.g_00220
OG0000208	Syat.g_02777	Prai.g_00221
OG0000209	Syat.g_02735	Prai.g_00230
OG0000210	Syat.g_02734	Prai.g_00231
OG0000211	Syat.g_01452	Prai.g_00244
OG0000212	Syat.g_01442	Prai.g_00251
OG0000213	Syat.g_01889	Prai.g_00270
OG0000214	Syat.g_02042	Prai.g_00280
OG0000215	Syat.g_02075	Prai.g_00305
OG0000216	Syat.g_02079	Prai.g_00307
OG0000217	Syat.g_02085	Prai.g_00310
OG0000218	Syat.g_02087	Prai.g_00312
OG0000219	Syat.g_02088	Prai.g_00313
OG0000220	Syat.g_02089	Prai.g_00314
OG0000221	Syat.g_02095	Prai.g_00315
OG0000222	Syat.g_02109	Prai.g_00323
OG0000223	Syat.g_02570	Prai.g_00336
OG0000224	Syat.g_02139	Prai.g_00338
OG0000225	Syat.g_01595	Prai.g_00358
OG0000226	Syat.g_01588	Prai.g_00362
OG0000228	Syat.g_02952	Prai.g_00367
OG0000229	Syat.g_02970	Prai.g_00467
OG0000230	Syat.g_02972	Prai.g_00469
OG0000231	Syat.g_01283	Prai.g_00480
OG0000232	Syat.g_01313	Prai.g_00489
OG0000233	Syat.g_01407	Prai.g_00494
OG0000234	Syat.g_01369	Prai.g_00506
OG0000235	Syat.g_03169	Prai.g_00509
OG0000236	Syat.g_03186	Prai.g_00523
OG0000237	Syat.g_03214	Prai.g_00536
OG0000238	Syat.g_03219	Prai.g_00542
OG0000239	Syat.g_01105	Prai.g_00553
OG0000240	Syat.g_01104	Prai.g_00554
OG0000241	Syat.g_00111	Prai.g_00558
OG0000242	Syat.g_01077	Prai.g_00560
OG0000243	Syat.g_00092	Prai.g_00571
OG0000244	Syat.g_00082	Prai.g_00574
OG0000245	Syat.g_00080	Prai.g_00576
OG0000246	Syat.g_00076	Prai.g_00580
OG0000247	Syat.g_00065	Prai.g_00590
OG0000248	Syat.g_00062	Prai.g_00593
OG0000249	Syat.g_00060	Prai.g_00595
OG0000250	Syat.g_00053	Prai.g_00600
OG0000251	Syat.g_00027	Prai.g_00619
OG0000252	Syat.g_00022	Prai.g_00622
OG0000253	Syat.g_00021	Prai.g_00623
OG0000254	Syat.g_03407	Prai.g_00639
OG0000255	Syat.g_02405	Prai.g_00645
OG0000256	Syat.g_03306	Prai.g_00656
OG0000257	Syat.g_00109	Prai.g_00659
OG0000258	Syat.g_00382	Prai.g_00672
OG0000259	Syat.g_00342	Prai.g_00689
OG0000260	Syat.g_00392	Prai.g_00692
OG0000261	Syat.g_00400	Prai.g_00694
OG0000262	Syat.g_00407	Prai.g_00698
OG0000263	Syat.g_00200	Prai.g_00710
OG0000266	Syat.g_00671	Prai.g_00758
OG0000267	Syat.g_00636	Prai.g_00769
OG0000268	Syat.g_00634	Prai.g_00770
OG0000269	Syat.g_00474, Syat.g_00126	Prai.g_00853
OG0000270	Syat.g_00477	Prai.g_00850
OG0000271	Syat.g_00485	Prai.g_00842
OG0000272	Syat.g_00486	Prai.g_00840, Prai.g_00841
OG0000273	Syat.g_00520	Prai.g_00817
OG0000274	Syat.g_00521	Prai.g_00816
OG0000275	Syat.g_00718	Prai.g_00741, Prai.g_00813
OG0000276	Syat.g_00725	Prai.g_00808
OG0000277	Syat.g_00738	Prai.g_00807
OG0000278	Syat.g_00741	Prai.g_00804
OG0000279	Syat.g_00755	Prai.g_00797
OG0000280	Syat.g_01669	Prai.g_00796
OG0000281	Syat.g_00960	Prai.g_00791
OG0000282	Syat.g_00431	Prai.g_01044
OG0000283	Syat.g_00620	Prai.g_01012
OG0000284	Syat.g_00614	Prai.g_01007
OG0000285	Syat.g_00607	Prai.g_01002
OG0000286	Syat.g_00579	Prai.g_00990
OG0000287	Syat.g_00550	Prai.g_00973
OG0000288	Syat.g_00709	Prai.g_00944
OG0000289	Syat.g_00695	Prai.g_00934
OG0000290	Syat.g_00805	Prai.g_00921
OG0000292	Syat.g_02388	Prai.g_01107
OG0000293	Syat.g_03241	Prai.g_01163
OG0000294	Syat.g_03248	Prai.g_01164
OG0000295	Syat.g_00297	Prai.g_01183
OG0000296	Syat.g_00295	Prai.g_01185
OG0000299	Syat.g_00910	Prai.g_01213
OG0000300	Syat.g_00904	Prai.g_01216
OG0000301	Syat.g_00903	Prai.g_01217
OG0000302	Syat.g_00901	Prai.g_01219
OG0000303	Syat.g_00892	Prai.g_01226
OG0000304	Syat.g_00885	Prai.g_01230
OG0000305	Syat.g_00809	Prai.g_01362
OG0000306	Syat.g_01704	Prai.g_01365
OG0000307	Syat.g_01304	Prai.g_01379
OG0000308	Syat.g_01306	Prai.g_01380
OG0000309	Syat.g_01417	Prai.g_01384
OG0000310	Syat.g_01246	Prai.g_01448
OG0000311	Syat.g_01242	Prai.g_01450
OG0000312	Syat.g_01237	Prai.g_01453
OG0000313	Syat.g_01183	Prai.g_01467
OG0000314	Syat.g_01341	Prai.g_01489
OG0000315	Syat.g_01351	Prai.g_01499
OG0000316	Syat.g_03082	Prai.g_01519
OG0000317	Syat.g_03120	Prai.g_01636
OG0000318	Syat.g_03125	Prai.g_01639
OG0000319	Syat.g_03055	Prai.g_01652
OG0000320	Syat.g_03053	Prai.g_01654
OG0000321	Syat.g_03052	Prai.g_01655
OG0000322	Syat.g_03051	Prai.g_01656
OG0000323	Syat.g_03038	Prai.g_01665
OG0000324	Syat.g_02998	Prai.g_01691
OG0000325	Syat.g_01861	Prai.g_01702
OG0000326	Syat.g_01854	Prai.g_01708
OG0000327	Syat.g_01827	Prai.g_01735
OG0000328	Syat.g_01826	Prai.g_01736
OG0000329	Syat.g_01808	Prai.g_01754
OG0000330	Syat.g_01807	Prai.g_01755
OG0000331	Syat.g_01806	Prai.g_01756
OG0000332	Syat.g_01790	Prai.g_01770
OG0000333	Syat.g_01787	Prai.g_01777
OG0000334	Syat.g_01657	Prai.g_01785
OG0000335	Syat.g_01652	Prai.g_01790
OG0000336	Syat.g_01648	Prai.g_01794
OG0000337	Syat.g_02144	Prai.g_01810
OG0000338	Syat.g_02146	Prai.g_01811
OG0000339	Syat.g_02155, Syat.g_01055	Prai.g_01815
OG0000340	Syat.g_02165	Prai.g_01823
OG0000341	Syat.g_02167	Prai.g_01825
OG0000342	Syat.g_02168	Prai.g_01826
OG0000343	Syat.g_02185	Prai.g_01827
OG0000344	Syat.g_02189	Prai.g_01830
OG0000345	Syat.g_02202	Prai.g_01835
OG0000346	Syat.g_02207	Prai.g_01839
OG0000347	Syat.g_02234	Prai.g_01855
OG0000348	Syat.g_02264	Prai.g_01866
OG0000349	Syat.g_02291	Prai.g_01883
OG0000350	Syat.g_01847	Prai.g_01901
OG0000351	Syat.g_02411	Prai.g_01918
OG0000352	Syat.g_02410	Prai.g_01919
OG0000353	Syat.g_00955, Syat.g_02377	Prai.g_01935
OG0000355	Syat.g_02375	Prai.g_00001
OG0000356	Syat.g_02374	Prai.g_00002
OG0000357	Syat.g_02373	Prai.g_00003
OG0000358	Syat.g_02336	Prai.g_00007
OG0000359	Syat.g_02334	Prai.g_00008
OG0000360	Syat.g_02333	Prai.g_00009
OG0000361	Syat.g_02332	Prai.g_00010
OG0000362	Syat.g_02330	Prai.g_00012
OG0000363	Syat.g_02328	Prai.g_00014
OG0000364	Syat.g_03122	Prai.g_00015
OG0000365	Syat.g_02318	Prai.g_00020
OG0000366	Syat.g_02317	Prai.g_00021
OG0000367	Syat.g_02316	Prai.g_00022
OG0000368	Syat.g_02314	Prai.g_00024
OG0000369	Syat.g_02313	Prai.g_00025
OG0000370	Syat.g_02312	Prai.g_00026
OG0000371	Syat.g_02304	Prai.g_00032
OG0000372	Syat.g_02298	Prai.g_00035
OG0000373	Syat.g_02297	Prai.g_00036
OG0000374	Syat.g_02296	Prai.g_00037
OG0000375	Syat.g_02295	Prai.g_00047
OG0000376	Syat.g_02293	Prai.g_00049
OG0000377	Syat.g_02695	Prai.g_00052
OG0000378	Syat.g_02715	Prai.g_00054
OG0000379	Syat.g_02720	Prai.g_00057
OG0000380	Syat.g_01468	Prai.g_00066
OG0000381	Syat.g_01470	Prai.g_00070
OG0000382	Syat.g_01488	Prai.g_00081
OG0000383	Syat.g_01521	Prai.g_00083
OG0000384	Syat.g_01522	Prai.g_00084
OG0000385	Syat.g_01523	Prai.g_00085
OG0000386	Syat.g_01524	Prai.g_00086
OG0000387	Syat.g_01561	Prai.g_00099
OG0000388	Syat.g_01565	Prai.g_00102
OG0000389	Syat.g_01569	Prai.g_00106
OG0000390	Syat.g_02945	Prai.g_00113
OG0000391	Syat.g_02940	Prai.g_00116
OG0000392	Syat.g_02934	Prai.g_00120
OG0000393	Syat.g_02931	Prai.g_00122
OG0000394	Syat.g_02930	Prai.g_00123
OG0000395	Syat.g_02929	Prai.g_00124
OG0000396	Syat.g_02927	Prai.g_00127
OG0000397	Syat.g_02925	Prai.g_00129
OG0000398	Syat.g_02920	Prai.g_00131
OG0000399	Syat.g_02919	Prai.g_00132
OG0000400	Syat.g_02918	Prai.g_00133
OG0000401	Syat.g_02917	Prai.g_00134
OG0000402	Syat.g_02915	Prai.g_00136
OG0000403	Syat.g_02914	Prai.g_00137
OG0000404	Syat.g_02913	Prai.g_00138
OG0000405	Syat.g_02900	Prai.g_00142
OG0000406	Syat.g_02896	Prai.g_00158
OG0000407	Syat.g_02895	Prai.g_00159
OG0000408	Syat.g_02893	Prai.g_00161
OG0000409	Syat.g_02891	Prai.g_00163
OG0000410	Syat.g_02890	Prai.g_00164
OG0000411	Syat.g_02889	Prai.g_00165
OG0000412	Syat.g_02888	Prai.g_00166
OG0000413	Syat.g_02886	Prai.g_00167
OG0000414	Syat.g_02885	Prai.g_01288, Prai.g_00168
OG0000415	Syat.g_02884	Prai.g_00169
OG0000416	Syat.g_02883	Prai.g_00170
OG0000417	Syat.g_02868	Prai.g_00171
OG0000418	Syat.g_02863	Prai.g_00176
OG0000419	Syat.g_02861	Prai.g_00178
OG0000420	Syat.g_02859	Prai.g_00179
OG0000421	Syat.g_02855	Prai.g_00184
OG0000422	Syat.g_02854	Prai.g_00185
OG0000423	Syat.g_02853	Prai.g_00186
OG0000424	Syat.g_02852	Prai.g_00187
OG0000425	Syat.g_02851	Prai.g_00188
OG0000426	Syat.g_02850	Prai.g_00189
OG0000427	Syat.g_02849	Prai.g_00190
OG0000428	Syat.g_02846	Prai.g_00192
OG0000429	Syat.g_02843	Prai.g_00193
OG0000430	Syat.g_02841	Prai.g_00194
OG0000431	Syat.g_02838	Prai.g_00196
OG0000432	Syat.g_02832	Prai.g_00199
OG0000433	Syat.g_02829	Prai.g_00200
OG0000434	Syat.g_02828	Prai.g_00201
OG0000435	Syat.g_02824	Prai.g_00202
OG0000436	Syat.g_02817	Prai.g_00207
OG0000437	Syat.g_02558	Prai.g_00208
OG0000438	Syat.g_02813	Prai.g_00209
OG0000439	Syat.g_02811	Prai.g_00211
OG0000440	Syat.g_02810	Prai.g_00212
OG0000441	Syat.g_02807	Prai.g_00215
OG0000442	Syat.g_02797	Prai.g_00216
OG0000443	Syat.g_02787	Prai.g_00217
OG0000444	Syat.g_02756	Prai.g_00222
OG0000445	Syat.g_02755	Prai.g_00223
OG0000446	Syat.g_02753	Prai.g_00224
OG0000447	Syat.g_02749	Prai.g_00225
OG0000448	Syat.g_02748	Prai.g_00226
OG0000449	Syat.g_02747	Prai.g_00227
OG0000450	Syat.g_02738	Prai.g_00228
OG0000451	Syat.g_02737	Prai.g_00229
OG0000452	Syat.g_02732	Prai.g_00232
OG0000453	Syat.g_02731	Prai.g_00233
OG0000454	Syat.g_02730	Prai.g_00234
OG0000455	Syat.g_02729	Prai.g_00235
OG0000456	Syat.g_02728	Prai.g_00236
OG0000457	Syat.g_02726	Prai.g_00237
OG0000458	Syat.g_02725	Prai.g_00238
OG0000459	Syat.g_02724	Prai.g_00239
OG0000460	Syat.g_01450	Prai.g_00246
OG0000461	Syat.g_01866	Prai.g_00255
OG0000462	Syat.g_01868	Prai.g_00257
OG0000463	Syat.g_01869	Prai.g_00258
OG0000464	Syat.g_01870	Prai.g_00259
OG0000465	Syat.g_01872	Prai.g_00260
OG0000466	Syat.g_01877	Prai.g_00263
OG0000467	Syat.g_01878	Prai.g_00264
OG0000468	Syat.g_01884	Prai.g_00266
OG0000469	Syat.g_02000	Prai.g_00275
OG0000470	Syat.g_02038	Prai.g_00277
OG0000471	Syat.g_02039	Prai.g_00278
OG0000472	Syat.g_02041	Prai.g_00279
OG0000473	Syat.g_02043	Prai.g_00281
OG0000474	Syat.g_02044	Prai.g_00282
OG0000475	Syat.g_02045	Prai.g_00283
OG0000476	Syat.g_02047	Prai.g_00284
OG0000477	Syat.g_02053	Prai.g_00288
OG0000478	Syat.g_02054	Prai.g_00289
OG0000479	Syat.g_02056	Prai.g_00290
OG0000480	Syat.g_02063	Prai.g_00295
OG0000481	Syat.g_02066	Prai.g_00297
OG0000482	Syat.g_02067	Prai.g_00298
OG0000483	Syat.g_02071	Prai.g_00301
OG0000484	Syat.g_02072	Prai.g_00302
OG0000485	Syat.g_02073	Prai.g_00303
OG0000486	Syat.g_02074	Prai.g_00304
OG0000487	Syat.g_02080	Prai.g_00308
OG0000488	Syat.g_02086	Prai.g_00311
OG0000489	Syat.g_02097	Prai.g_00316
OG0000490	Syat.g_02106	Prai.g_00321
OG0000491	Syat.g_02107	Prai.g_00322
OG0000492	Syat.g_02110	Prai.g_00324
OG0000493	Syat.g_02111	Prai.g_00325
OG0000494	Syat.g_02112	Prai.g_00326
OG0000495	Syat.g_02120	Prai.g_00327
OG0000496	Syat.g_02121	Prai.g_00328
OG0000497	Syat.g_02122	Prai.g_00329
OG0000498	Syat.g_02123	Prai.g_00330
OG0000499	Syat.g_02124	Prai.g_00331
OG0000500	Syat.g_02125	Prai.g_00332
OG0000501	Syat.g_02128	Prai.g_00334
OG0000502	Syat.g_02135	Prai.g_00337
OG0000503	Syat.g_01614	Prai.g_00347
OG0000504	Syat.g_01612	Prai.g_00348
OG0000505	Syat.g_01611	Prai.g_00349
OG0000506	Syat.g_01609	Prai.g_00351
OG0000507	Syat.g_01603	Prai.g_00354
OG0000508	Syat.g_01596	Prai.g_00357
OG0000509	Syat.g_01591	Prai.g_00359
OG0000510	Syat.g_01590	Prai.g_00360
OG0000511	Syat.g_01589	Prai.g_00361
OG0000512	Syat.g_01587	Prai.g_00363
OG0000513	Syat.g_02957	Prai.g_00370
OG0000514	Syat.g_02962	Prai.g_00462
OG0000515	Syat.g_02963	Prai.g_00463
OG0000516	Syat.g_02965	Prai.g_00464
OG0000517	Syat.g_02969	Prai.g_00466
OG0000518	Syat.g_01286	Prai.g_00477
OG0000519	Syat.g_01285	Prai.g_00478
OG0000520	Syat.g_01284	Prai.g_00479
OG0000521	Syat.g_01319	Prai.g_00484
OG0000522	Syat.g_01317	Prai.g_00486
OG0000523	Syat.g_01316	Prai.g_00487
OG0000524	Syat.g_01409	Prai.g_00492
OG0000525	Syat.g_01382	Prai.g_00495
OG0000526	Syat.g_01380	Prai.g_00496
OG0000527	Syat.g_01373	Prai.g_00503
OG0000528	Syat.g_03167	Prai.g_00508
OG0000529	Syat.g_03171	Prai.g_00511
OG0000530	Syat.g_03174	Prai.g_00514
OG0000531	Syat.g_03175	Prai.g_00515
OG0000532	Syat.g_03178	Prai.g_00517
OG0000533	Syat.g_03180	Prai.g_00518
OG0000534	Syat.g_03181	Prai.g_00519
OG0000535	Syat.g_03182	Prai.g_00520
OG0000536	Syat.g_03183	Prai.g_00521
OG0000537	Syat.g_03185	Prai.g_00522
OG0000538	Syat.g_03204	Prai.g_00530
OG0000539	Syat.g_03206	Prai.g_00531
OG0000540	Syat.g_03207	Prai.g_00532
OG0000541	Syat.g_03208	Prai.g_00533
OG0000542	Syat.g_03213	Prai.g_00535
OG0000543	Syat.g_03215	Prai.g_00537
OG0000544	Syat.g_03216	Prai.g_00538
OG0000545	Syat.g_03218	Prai.g_00540
OG0000546	Syat.g_03220	Prai.g_00543
OG0000547	Syat.g_03222	Prai.g_00544
OG0000548	Syat.g_03223	Prai.g_00545
OG0000549	Syat.g_01795	Prai.g_00547
OG0000550	Syat.g_01107	Prai.g_00552
OG0000551	Syat.g_01103	Prai.g_00555
OG0000552	Syat.g_01102	Prai.g_00556
OG0000553	Syat.g_01098	Prai.g_00557
OG0000554	Syat.g_03271	Prai.g_00562
OG0000555	Syat.g_00093	Prai.g_00570
OG0000556	Syat.g_00088	Prai.g_00572
OG0000557	Syat.g_00083	Prai.g_00573
OG0000558	Syat.g_00081	Prai.g_00575
OG0000559	Syat.g_00077	Prai.g_00579
OG0000560	Syat.g_00074	Prai.g_00582
OG0000561	Syat.g_00073	Prai.g_00583
OG0000562	Syat.g_00072	Prai.g_00584
OG0000563	Syat.g_00071	Prai.g_00585
OG0000564	Syat.g_00070	Prai.g_00586
OG0000565	Syat.g_00067	Prai.g_00589
OG0000566	Syat.g_00063	Prai.g_00592
OG0000567	Syat.g_00059	Prai.g_00596
OG0000568	Syat.g_00057	Prai.g_00597
OG0000569	Syat.g_00056	Prai.g_00598
OG0000570	Syat.g_00055	Prai.g_00599
OG0000571	Syat.g_00052	Prai.g_00601
OG0000572	Syat.g_00033	Prai.g_00614
OG0000573	Syat.g_00024	Prai.g_00620
OG0000574	Syat.g_00023	Prai.g_00621
OG0000575	Syat.g_00018	Prai.g_00625
OG0000576	Syat.g_00014	Prai.g_00627
OG0000577	Syat.g_00013	Prai.g_00628
OG0000578	Syat.g_00012	Prai.g_00629
OG0000579	Syat.g_00011	Prai.g_00630
OG0000580	Syat.g_00010	Prai.g_00631
OG0000581	Syat.g_00003	Prai.g_00633
OG0000582	Syat.g_03403	Prai.g_00636
OG0000583	Syat.g_03404	Prai.g_00637
OG0000584	Syat.g_03405	Prai.g_00638
OG0000585	Syat.g_03408	Prai.g_00640
OG0000586	Syat.g_03409	Prai.g_00641
OG0000587	Syat.g_00001	Prai.g_00642
OG0000588	Syat.g_00338	Prai.g_00646
OG0000589	Syat.g_03318	Prai.g_00650
OG0000590	Syat.g_03317	Prai.g_00651
OG0000591	Syat.g_03308	Prai.g_00654
OG0000592	Syat.g_03307	Prai.g_00655
OG0000593	Syat.g_00113	Prai.g_00661
OG0000594	Syat.g_00114	Prai.g_00662
OG0000595	Syat.g_00115	Prai.g_00663
OG0000596	Syat.g_00129	Prai.g_00667
OG0000597	Syat.g_00132	Prai.g_00669
OG0000598	Syat.g_00133	Prai.g_00670
OG0000599	Syat.g_00381	Prai.g_00673
OG0000600	Syat.g_00380	Prai.g_00674
OG0000601	Syat.g_00379	Prai.g_00675
OG0000602	Syat.g_00375	Prai.g_00677
OG0000603	Syat.g_00374	Prai.g_00678
OG0000604	Syat.g_00372	Prai.g_00679
OG0000605	Syat.g_00370	Prai.g_00680
OG0000606	Syat.g_00367	Prai.g_00683
OG0000607	Syat.g_00364	Prai.g_00686
OG0000608	Syat.g_00363	Prai.g_00687
