Orthogroup	Syat	Prbl
OG0000173	Syat.g_02284	Prbl.g_02000
OG0000174	Syat.g_02504	Prbl.g_02188
OG0000175	Syat.g_02416	Prbl.g_02150
OG0000176	Syat.g_02372	Prbl.g_02117
OG0000177	Syat.g_02338	Prbl.g_02116
OG0000178	Syat.g_02337	Prbl.g_02115
OG0000179	Syat.g_02322	Prbl.g_01961
OG0000180	Syat.g_02321	Prbl.g_01962
OG0000181	Syat.g_02320	Prbl.g_01963
OG0000182	Syat.g_02319	Prbl.g_01964
OG0000183	Syat.g_02315	Prbl.g_01968
OG0000184	Syat.g_02704	Prbl.g_02251
OG0000185	Syat.g_02719	Prbl.g_02273
OG0000186	Syat.g_01463	Prbl.g_00614
OG0000187	Syat.g_01467	Prbl.g_00613
OG0000188	Syat.g_01489	Prbl.g_00591
OG0000189	Syat.g_01557	Prbl.g_00565
OG0000190	Syat.g_00330	Prbl.g_00563
OG0000191	Syat.g_03344, Syat.g_02939	Prbl.g_01325
OG0000192	Syat.g_02933	Prbl.g_01316
OG0000193	Syat.g_02897	Prbl.g_00302
OG0000194	Syat.g_02894	Prbl.g_00299
OG0000196	Syat.g_02867	Prbl.g_00286
OG0000197	Syat.g_02866	Prbl.g_00285
OG0000198	Syat.g_02865	Prbl.g_00284
OG0000199	Syat.g_02857	Prbl.g_00277
OG0000200	Syat.g_02840	Prbl.g_00069
OG0000201	Syat.g_02821	Prbl.g_00088
OG0000202	Syat.g_02820	Prbl.g_00089
OG0000203	Syat.g_02819	Prbl.g_00090
OG0000204	Syat.g_02818	Prbl.g_00091
OG0000205	Syat.g_02809	Prbl.g_00098
OG0000206	Syat.g_02785	Prbl.g_01282
OG0000207	Syat.g_02778	Prbl.g_00130
OG0000208	Syat.g_02777	Prbl.g_00129
OG0000209	Syat.g_02735	Prbl.g_01256
OG0000210	Syat.g_02734	Prbl.g_01257
OG0000211	Syat.g_01452	Prbl.g_01922
OG0000212	Syat.g_01442	Prbl.g_00192
OG0000213	Syat.g_01889	Prbl.g_01496
OG0000214	Syat.g_02042	Prbl.g_01469
OG0000215	Syat.g_02075	Prbl.g_01439
OG0000216	Syat.g_02079	Prbl.g_01436
OG0000217	Syat.g_02085	Prbl.g_01432
OG0000218	Syat.g_02087	Prbl.g_01428
OG0000219	Syat.g_02088	Prbl.g_01427
OG0000220	Syat.g_02089	Prbl.g_01426
OG0000221	Syat.g_02095	Prbl.g_01421
OG0000222	Syat.g_02109	Prbl.g_00911
OG0000223	Syat.g_02570	Prbl.g_00888
OG0000224	Syat.g_02139	Prbl.g_00877
OG0000225	Syat.g_01595	Prbl.g_01218
OG0000226	Syat.g_01588	Prbl.g_01222
OG0000228	Syat.g_02952	Prbl.g_02673
OG0000229	Syat.g_02970	Prbl.g_00652
OG0000230	Syat.g_02972	Prbl.g_00650
OG0000231	Syat.g_01283	Prbl.g_00635
OG0000232	Syat.g_01313	Prbl.g_00619
OG0000233	Syat.g_01407	Prbl.g_01360
OG0000234	Syat.g_01369	Prbl.g_01339
OG0000235	Syat.g_03169	Prbl.g_00510
OG0000236	Syat.g_03186	Prbl.g_00526
OG0000237	Syat.g_03214	Prbl.g_00800
OG0000238	Syat.g_03219	Prbl.g_00795
OG0000239	Syat.g_01105	Prbl.g_00779
OG0000240	Syat.g_01104	Prbl.g_00778
OG0000241	Syat.g_00111	Prbl.g_01526
OG0000242	Syat.g_01077	Prbl.g_00768
OG0000243	Syat.g_00092	Prbl.g_02647
OG0000244	Syat.g_00082	Prbl.g_01879
OG0000245	Syat.g_00080	Prbl.g_01882
OG0000246	Syat.g_00076	Prbl.g_01886
OG0000247	Syat.g_00065	Prbl.g_01897
OG0000248	Syat.g_00062	Prbl.g_01900
OG0000249	Syat.g_00060	Prbl.g_01902
OG0000250	Syat.g_00053	Prbl.g_01799
OG0000251	Syat.g_00027	Prbl.g_01775
OG0000252	Syat.g_00022	Prbl.g_01772
OG0000253	Syat.g_00021	Prbl.g_01766
OG0000254	Syat.g_03407	Prbl.g_01747
OG0000255	Syat.g_02405	Prbl.g_01612
OG0000256	Syat.g_03306	Prbl.g_01626
OG0000257	Syat.g_00109	Prbl.g_01632
OG0000258	Syat.g_00382	Prbl.g_01655
OG0000259	Syat.g_00342	Prbl.g_01406
OG0000260	Syat.g_00392	Prbl.g_01403
OG0000261	Syat.g_00400	Prbl.g_01400
OG0000262	Syat.g_00407	Prbl.g_01395
OG0000263	Syat.g_00200	Prbl.g_01242
OG0000266	Syat.g_00671	Prbl.g_02556
OG0000267	Syat.g_00636	Prbl.g_02431
OG0000268	Syat.g_00634	Prbl.g_02432
OG0000269	Syat.g_00474, Syat.g_00126	Prbl.g_02340
OG0000270	Syat.g_00477	Prbl.g_02337
OG0000271	Syat.g_00485	Prbl.g_02329
OG0000272	Syat.g_00486	Prbl.g_02328
OG0000273	Syat.g_00520	Prbl.g_01534
OG0000274	Syat.g_00521	Prbl.g_01535
OG0000275	Syat.g_00718	Prbl.g_01538
OG0000276	Syat.g_00725	Prbl.g_01544
OG0000277	Syat.g_00738	Prbl.g_01545
OG0000278	Syat.g_00741	Prbl.g_01548
OG0000279	Syat.g_00755	Prbl.g_01556
OG0000280	Syat.g_01669	Prbl.g_01562
OG0000281	Syat.g_00960	Prbl.g_01577
OG0000282	Syat.g_00431	Prbl.g_02405
OG0000283	Syat.g_00620	Prbl.g_02443
OG0000284	Syat.g_00614	Prbl.g_02449
OG0000285	Syat.g_00607	Prbl.g_01688
OG0000286	Syat.g_00579	Prbl.g_02477
OG0000287	Syat.g_00550	Prbl.g_02608
OG0000288	Syat.g_00709	Prbl.g_02531
OG0000289	Syat.g_00695	Prbl.g_02544
OG0000290	Syat.g_00805	Prbl.g_00930
OG0000292	Syat.g_02388	Prbl.g_02128
OG0000293	Syat.g_03241	Prbl.g_02071
OG0000294	Syat.g_03248	Prbl.g_02072
OG0000295	Syat.g_00297	Prbl.g_00178
OG0000296	Syat.g_00295	Prbl.g_00180
OG0000298	Syat.g_00225	Prbl.g_01383
OG0000299	Syat.g_00910	Prbl.g_01372
OG0000300	Syat.g_00904	Prbl.g_02582
OG0000301	Syat.g_00903	Prbl.g_02583
OG0000302	Syat.g_00901	Prbl.g_02586
OG0000303	Syat.g_00892	Prbl.g_00187
OG0000304	Syat.g_00885	Prbl.g_01102
OG0000305	Syat.g_00809	Prbl.g_00926
OG0000306	Syat.g_01704	Prbl.g_01586
OG0000307	Syat.g_01304	Prbl.g_00494
OG0000308	Syat.g_01306	Prbl.g_00492
OG0000309	Syat.g_01417	Prbl.g_00488
OG0000310	Syat.g_01246	Prbl.g_00160
OG0000311	Syat.g_01242	Prbl.g_00258
OG0000312	Syat.g_01237	Prbl.g_00254
OG0000313	Syat.g_01183	Prbl.g_00230
OG0000314	Syat.g_01341	Prbl.g_00699
OG0000315	Syat.g_01351	Prbl.g_00709
OG0000316	Syat.g_03082	Prbl.g_00441
OG0000317	Syat.g_03120	Prbl.g_00399
OG0000318	Syat.g_03125	Prbl.g_00393
OG0000319	Syat.g_03055	Prbl.g_00376
OG0000320	Syat.g_03053	Prbl.g_00374
OG0000321	Syat.g_03052	Prbl.g_00373
OG0000322	Syat.g_03051	Prbl.g_00372
OG0000323	Syat.g_03038	Prbl.g_00361
OG0000324	Syat.g_02998	Prbl.g_00332
OG0000325	Syat.g_01861	Prbl.g_02683
OG0000326	Syat.g_01854	Prbl.g_01059
OG0000327	Syat.g_01827	Prbl.g_00957
OG0000328	Syat.g_01826	Prbl.g_00958
OG0000329	Syat.g_01808	Prbl.g_00975
OG0000330	Syat.g_01807	Prbl.g_00976
OG0000331	Syat.g_01806	Prbl.g_00977
OG0000332	Syat.g_01790	Prbl.g_00992
OG0000333	Syat.g_01787	Prbl.g_00994
OG0000334	Syat.g_01657	Prbl.g_01131
OG0000335	Syat.g_01652	Prbl.g_01136
OG0000336	Syat.g_01648	Prbl.g_01140
OG0000337	Syat.g_02144	Prbl.g_00863
OG0000338	Syat.g_02146	Prbl.g_00859
OG0000339	Syat.g_02155, Syat.g_01055	Prbl.g_00853
OG0000340	Syat.g_02165	Prbl.g_00841
OG0000341	Syat.g_02167	Prbl.g_00839
OG0000342	Syat.g_02168	Prbl.g_00838
OG0000343	Syat.g_02185	Prbl.g_01307
OG0000344	Syat.g_02189	Prbl.g_01304
OG0000345	Syat.g_02202	Prbl.g_01289
OG0000346	Syat.g_02207	Prbl.g_01284
OG0000347	Syat.g_02234	Prbl.g_02053
OG0000348	Syat.g_02264	Prbl.g_02016
OG0000349	Syat.g_02291	Prbl.g_01992
OG0000350	Syat.g_01847	Prbl.g_02195
OG0000351	Syat.g_02411	Prbl.g_02147
OG0000352	Syat.g_02410	Prbl.g_02146
OG0000353	Syat.g_00955, Syat.g_02377	Prbl.g_02122
OG0000354	Syat.g_03225	Prbl.g_00789
OG0000354	Syat.g_02325	Prbl.g_01959
OG0000355	Syat.g_02375	Prbl.g_02120
OG0000356	Syat.g_02374	Prbl.g_02119
OG0000357	Syat.g_02373	Prbl.g_02118
OG0000358	Syat.g_02336	Prbl.g_02114
OG0000359	Syat.g_02334	Prbl.g_02112
OG0000360	Syat.g_02333	Prbl.g_02111
OG0000361	Syat.g_02332	Prbl.g_02110
OG0000362	Syat.g_02330	Prbl.g_02108
OG0000363	Syat.g_02328	Prbl.g_01955
OG0000364	Syat.g_03122	Prbl.g_01956
OG0000365	Syat.g_02318	Prbl.g_01965
OG0000366	Syat.g_02317	Prbl.g_01966
OG0000367	Syat.g_02316	Prbl.g_01967
OG0000368	Syat.g_02314	Prbl.g_01969
OG0000369	Syat.g_02313	Prbl.g_01970
OG0000370	Syat.g_02312	Prbl.g_01971
OG0000371	Syat.g_02304	Prbl.g_01980
OG0000372	Syat.g_02298	Prbl.g_01985
OG0000373	Syat.g_02297	Prbl.g_01986
OG0000374	Syat.g_02296	Prbl.g_01987
OG0000375	Syat.g_02295	Prbl.g_01988
OG0000376	Syat.g_02293	Prbl.g_01990
OG0000377	Syat.g_02695	Prbl.g_02244
OG0000378	Syat.g_02715	Prbl.g_02258
OG0000379	Syat.g_02720	Prbl.g_02274
OG0000380	Syat.g_01468	Prbl.g_00612
OG0000381	Syat.g_01470	Prbl.g_00607
OG0000382	Syat.g_01488	Prbl.g_00592
OG0000383	Syat.g_01521	Prbl.g_00590
OG0000384	Syat.g_01522	Prbl.g_00589
OG0000385	Syat.g_01523	Prbl.g_00588
OG0000386	Syat.g_01524	Prbl.g_00587
OG0000387	Syat.g_01561	Prbl.g_00561
OG0000388	Syat.g_01565	Prbl.g_00557
OG0000389	Syat.g_01569	Prbl.g_00553
OG0000390	Syat.g_02945	Prbl.g_01331
OG0000391	Syat.g_02940	Prbl.g_01326
OG0000392	Syat.g_02934	Prbl.g_01320
OG0000393	Syat.g_02931	Prbl.g_01315
OG0000394	Syat.g_02930	Prbl.g_01314
OG0000395	Syat.g_02929	Prbl.g_01313
OG0000396	Syat.g_02927	Prbl.g_00827
OG0000397	Syat.g_02925	Prbl.g_00825
OG0000398	Syat.g_02920	Prbl.g_00820
OG0000399	Syat.g_02919	Prbl.g_00819
OG0000400	Syat.g_02918	Prbl.g_00818
OG0000401	Syat.g_02917	Prbl.g_00817
OG0000402	Syat.g_02915	Prbl.g_00815
OG0000403	Syat.g_02914	Prbl.g_00814
OG0000404	Syat.g_02913	Prbl.g_00812
OG0000405	Syat.g_02900	Prbl.g_00305
OG0000406	Syat.g_02896	Prbl.g_00301
OG0000407	Syat.g_02895	Prbl.g_00300
OG0000408	Syat.g_02893	Prbl.g_00298
OG0000409	Syat.g_02891	Prbl.g_00296
OG0000410	Syat.g_02890	Prbl.g_00295
OG0000411	Syat.g_02889	Prbl.g_00294
OG0000412	Syat.g_02888	Prbl.g_00293
OG0000413	Syat.g_02886	Prbl.g_00291
OG0000414	Syat.g_02885	Prbl.g_00290
OG0000415	Syat.g_02884	Prbl.g_00289
OG0000416	Syat.g_02883	Prbl.g_00288
OG0000417	Syat.g_02868	Prbl.g_00287
OG0000418	Syat.g_02863	Prbl.g_00282
OG0000419	Syat.g_02861	Prbl.g_00280
OG0000420	Syat.g_02859	Prbl.g_00279
OG0000421	Syat.g_02855	Prbl.g_00275
OG0000422	Syat.g_02854	Prbl.g_00274
OG0000423	Syat.g_02853	Prbl.g_00273
OG0000424	Syat.g_02852	Prbl.g_00272
OG0000425	Syat.g_02851	Prbl.g_00271
OG0000426	Syat.g_02850	Prbl.g_00270
OG0000427	Syat.g_02849	Prbl.g_00269
OG0000428	Syat.g_02846	Prbl.g_02377
OG0000429	Syat.g_02843	Prbl.g_00066
OG0000430	Syat.g_02841	Prbl.g_00068
OG0000431	Syat.g_02838	Prbl.g_00072
OG0000432	Syat.g_02832	Prbl.g_00079
OG0000433	Syat.g_02829	Prbl.g_00082
OG0000434	Syat.g_02828	Prbl.g_00083
OG0000435	Syat.g_02824	Prbl.g_00086
OG0000436	Syat.g_02817	Prbl.g_00092
OG0000437	Syat.g_02558	Prbl.g_00093
OG0000438	Syat.g_02813	Prbl.g_00094
OG0000439	Syat.g_02811	Prbl.g_00096
OG0000440	Syat.g_02810	Prbl.g_00097
OG0000441	Syat.g_02807	Prbl.g_00104
OG0000442	Syat.g_02797	Prbl.g_00105
OG0000443	Syat.g_02787	Prbl.g_01283
OG0000444	Syat.g_02756	Prbl.g_00127
OG0000445	Syat.g_02755	Prbl.g_00126
OG0000446	Syat.g_02753	Prbl.g_00124
OG0000447	Syat.g_02749	Prbl.g_01244
OG0000448	Syat.g_02748	Prbl.g_01245
OG0000449	Syat.g_02747	Prbl.g_01246
OG0000450	Syat.g_02738	Prbl.g_01252
OG0000451	Syat.g_02737	Prbl.g_01253
OG0000452	Syat.g_02732	Prbl.g_01258
OG0000453	Syat.g_02731	Prbl.g_01259
OG0000454	Syat.g_02730	Prbl.g_01260
OG0000455	Syat.g_02729	Prbl.g_01261
OG0000456	Syat.g_02728	Prbl.g_01262
OG0000457	Syat.g_02726	Prbl.g_01264
OG0000458	Syat.g_02725	Prbl.g_01265
OG0000459	Syat.g_02724	Prbl.g_01266
OG0000460	Syat.g_01450	Prbl.g_01923
OG0000461	Syat.g_01866	Prbl.g_02679
OG0000462	Syat.g_01868	Prbl.g_02666
OG0000463	Syat.g_01869	Prbl.g_01516
OG0000464	Syat.g_01870	Prbl.g_01515
OG0000465	Syat.g_01872	Prbl.g_01513
OG0000466	Syat.g_01877	Prbl.g_01508
OG0000467	Syat.g_01878	Prbl.g_01506
OG0000468	Syat.g_01884	Prbl.g_01499
OG0000469	Syat.g_02000	Prbl.g_01486
OG0000470	Syat.g_02038	Prbl.g_01473
OG0000471	Syat.g_02039	Prbl.g_01472
OG0000472	Syat.g_02041	Prbl.g_01470
OG0000473	Syat.g_02043	Prbl.g_01468
OG0000474	Syat.g_02044	Prbl.g_01467
OG0000475	Syat.g_02045	Prbl.g_01466
OG0000476	Syat.g_02047	Prbl.g_01464
OG0000477	Syat.g_02053	Prbl.g_01459
OG0000478	Syat.g_02054	Prbl.g_01458
OG0000479	Syat.g_02056	Prbl.g_01457
OG0000480	Syat.g_02063	Prbl.g_01450
OG0000481	Syat.g_02066	Prbl.g_01448
OG0000482	Syat.g_02067	Prbl.g_01447
OG0000483	Syat.g_02071	Prbl.g_01443
OG0000484	Syat.g_02072	Prbl.g_01442
OG0000485	Syat.g_02073	Prbl.g_01441
OG0000486	Syat.g_02074	Prbl.g_01440
OG0000487	Syat.g_02080	Prbl.g_01435
OG0000488	Syat.g_02086	Prbl.g_01431
OG0000489	Syat.g_02097	Prbl.g_01420
OG0000490	Syat.g_02106	Prbl.g_01414
OG0000491	Syat.g_02107	Prbl.g_01413
OG0000492	Syat.g_02110	Prbl.g_00909
OG0000493	Syat.g_02111	Prbl.g_00908
OG0000494	Syat.g_02112	Prbl.g_00907
OG0000495	Syat.g_02120	Prbl.g_00906
OG0000496	Syat.g_02121	Prbl.g_00905
OG0000497	Syat.g_02122	Prbl.g_00904
OG0000498	Syat.g_02123	Prbl.g_00903
OG0000499	Syat.g_02124	Prbl.g_00902
OG0000500	Syat.g_02125	Prbl.g_00901
OG0000501	Syat.g_02128	Prbl.g_00898
OG0000502	Syat.g_02135	Prbl.g_00886
OG0000503	Syat.g_01614	Prbl.g_01201
OG0000504	Syat.g_01612	Prbl.g_01203
OG0000505	Syat.g_01611	Prbl.g_01204
OG0000506	Syat.g_01609	Prbl.g_01206
OG0000507	Syat.g_01603	Prbl.g_01210
OG0000508	Syat.g_01596	Prbl.g_01217
OG0000509	Syat.g_01591	Prbl.g_01219
OG0000510	Syat.g_01590	Prbl.g_01220
OG0000511	Syat.g_01589	Prbl.g_01221
OG0000512	Syat.g_01587	Prbl.g_01223
OG0000513	Syat.g_02957	Prbl.g_02678
OG0000514	Syat.g_02962	Prbl.g_00676
OG0000515	Syat.g_02963	Prbl.g_00675
OG0000516	Syat.g_02965	Prbl.g_00663
OG0000517	Syat.g_02969	Prbl.g_00653
OG0000518	Syat.g_01286	Prbl.g_00641
OG0000519	Syat.g_01285	Prbl.g_00640
OG0000520	Syat.g_01284	Prbl.g_00639
OG0000521	Syat.g_01319	Prbl.g_00625
OG0000522	Syat.g_01317	Prbl.g_00623
OG0000523	Syat.g_01316	Prbl.g_00622
OG0000524	Syat.g_01409	Prbl.g_01364
OG0000525	Syat.g_01382	Prbl.g_01348
OG0000526	Syat.g_01380	Prbl.g_01346
OG0000527	Syat.g_01373	Prbl.g_01342
OG0000528	Syat.g_03167	Prbl.g_00506
OG0000529	Syat.g_03171	Prbl.g_00512
OG0000530	Syat.g_03174	Prbl.g_00515
OG0000531	Syat.g_03175	Prbl.g_00516
OG0000532	Syat.g_03178	Prbl.g_00519
OG0000533	Syat.g_03180	Prbl.g_00521
OG0000534	Syat.g_03181	Prbl.g_00522
OG0000535	Syat.g_03182	Prbl.g_00523
OG0000536	Syat.g_03183	Prbl.g_00524
OG0000537	Syat.g_03185	Prbl.g_00525
OG0000538	Syat.g_03204	Prbl.g_00536
OG0000539	Syat.g_03206	Prbl.g_00806
OG0000540	Syat.g_03207	Prbl.g_00805
OG0000541	Syat.g_03208	Prbl.g_00804
OG0000542	Syat.g_03213	Prbl.g_00801
OG0000543	Syat.g_03215	Prbl.g_00799
OG0000544	Syat.g_03216	Prbl.g_00798
OG0000545	Syat.g_03218	Prbl.g_00797
OG0000546	Syat.g_03220	Prbl.g_00794
OG0000547	Syat.g_03222	Prbl.g_00792
OG0000548	Syat.g_03223	Prbl.g_00791
OG0000549	Syat.g_01795	Prbl.g_00785
OG0000550	Syat.g_01107	Prbl.g_00780
OG0000551	Syat.g_01103	Prbl.g_00776
OG0000552	Syat.g_01102	Prbl.g_00775
OG0000553	Syat.g_01098	Prbl.g_00770
OG0000554	Syat.g_03271	Prbl.g_00765
OG0000555	Syat.g_00093	Prbl.g_00747
OG0000556	Syat.g_00088	Prbl.g_02645
OG0000557	Syat.g_00083	Prbl.g_01878
OG0000558	Syat.g_00081	Prbl.g_01881
OG0000559	Syat.g_00077	Prbl.g_01885
OG0000560	Syat.g_00074	Prbl.g_01888
OG0000561	Syat.g_00073	Prbl.g_01889
OG0000562	Syat.g_00072	Prbl.g_01890
OG0000563	Syat.g_00071	Prbl.g_01891
OG0000564	Syat.g_00070	Prbl.g_01892
OG0000565	Syat.g_00067	Prbl.g_01895
OG0000566	Syat.g_00063	Prbl.g_01899
OG0000567	Syat.g_00059	Prbl.g_01903
OG0000568	Syat.g_00057	Prbl.g_01905
OG0000569	Syat.g_00056	Prbl.g_01801
OG0000570	Syat.g_00055	Prbl.g_01800
OG0000571	Syat.g_00052	Prbl.g_01797
OG0000572	Syat.g_00033	Prbl.g_01781
OG0000573	Syat.g_00024	Prbl.g_01774
OG0000574	Syat.g_00023	Prbl.g_01773
OG0000575	Syat.g_00018	Prbl.g_01764
OG0000576	Syat.g_00014	Prbl.g_01762
OG0000577	Syat.g_00013	Prbl.g_01761
OG0000578	Syat.g_00012	Prbl.g_01760
