Orthogroup	Syat	Prar
OG0000070	Syat.g_01032, Syat.g_01040	Prar.g_00498
OG0000072	Syat.g_02856, Syat.g_01597	Prar.g_00156
OG0000073	Syat.g_03201	Prar.g_01330
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prar.g_00629
OG0000076	Syat.g_02206	Prar.g_00592, Prar.g_00653
OG0000078	Syat.g_00184	Prar.g_00088
OG0000081	Syat.g_00980	Prar.g_01361
OG0000082	Syat.g_00035	Prar.g_01414
OG0000085	Syat.g_03113	Prar.g_01150
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prar.g_00240
OG0000087	Syat.g_02912	Prar.g_00189
OG0000088	Syat.g_02862	Prar.g_00161
OG0000089	Syat.g_02953	Prar.g_00416
OG0000090	Syat.g_03270	Prar.g_01363
OG0000091	Syat.g_00939, Syat.g_00862	Prar.g_01472
OG0000092	Syat.g_00825	Prar.g_01781, Prar.g_00615
OG0000094	Syat.g_00698, Syat.g_01034	Prar.g_01885
OG0000097	Syat.g_00907, Syat.g_00535	Prar.g_01222
OG0000098	Syat.g_03281	Prar.g_00929
OG0000099	Syat.g_02130	Prar.g_00872
OG0000100	Syat.g_00517	Prar.g_00773
OG0000101	Syat.g_01661	Prar.g_01027
OG0000102	Syat.g_00974	Prar.g_00658
OG0000103	Syat.g_02399	Prar.g_00050
OG0000104	Syat.g_02385	Prar.g_00042
OG0000105	Syat.g_02052	Prar.g_00313
OG0000106	Syat.g_00957	Prar.g_00431
OG0000107	Syat.g_01862	Prar.g_00446
OG0000108	Syat.g_03170	Prar.g_00530
OG0000109	Syat.g_03187	Prar.g_00544
OG0000110	Syat.g_00049	Prar.g_01404
OG0000111	Syat.g_00816	Prar.g_01529
OG0000112	Syat.g_00593	Prar.g_01652
OG0000113	Syat.g_00509	Prar.g_01706
OG0000114	Syat.g_00426	Prar.g_01776
OG0000115	Syat.g_01328	Prar.g_01318
OG0000116	Syat.g_02641	Prar.g_01273
OG0000117	Syat.g_00224	Prar.g_01003
OG0000118	Syat.g_01168	Prar.g_00943
OG0000119	Syat.g_00309	Prar.g_00915
OG0000120	Syat.g_02132	Prar.g_00880
OG0000121	Syat.g_01223	Prar.g_00337
OG0000123	Syat.g_01653	Prar.g_01021
OG0000124	Syat.g_02231	Prar.g_00668
OG0000125	Syat.g_02684	Prar.g_00704
OG0000126	Syat.g_00976	Prar.g_00043
OG0000128	Syat.g_02331	Prar.g_00027
OG0000129	Syat.g_02693, Syat.g_02694	Prar.g_00576
OG0000130	Syat.g_01469	Prar.g_00549
OG0000131	Syat.g_02898	Prar.g_00182
OG0000132	Syat.g_02864	Prar.g_00163
OG0000133	Syat.g_00588	Prar.g_00265
OG0000134	Syat.g_02956	Prar.g_00417
OG0000135	Syat.g_02501	Prar.g_00444
OG0000136	Syat.g_01292	Prar.g_00489
OG0000137	Syat.g_01371	Prar.g_00525
OG0000138	Syat.g_03188	Prar.g_00545
OG0000140	Syat.g_03280	Prar.g_01368
OG0000141	Syat.g_03398	Prar.g_01437
OG0000142	Syat.g_00117	Prar.g_01465
OG0000143	Syat.g_00130	Prar.g_01469
OG0000144	Syat.g_00369	Prar.g_01482
OG0000145	Syat.g_03202	Prar.g_01651
OG0000146	Syat.g_00594	Prar.g_01653
OG0000147	Syat.g_00595	Prar.g_01654
OG0000148	Syat.g_00503	Prar.g_01700
OG0000149	Syat.g_00747	Prar.g_01730
OG0000150	Syat.g_03399	Prar.g_01738
OG0000151	Syat.g_00801, Syat.g_00440	Prar.g_01786
OG0000152	Syat.g_00578	Prar.g_01833
OG0000153	Syat.g_00542	Prar.g_01852
OG0000154	Syat.g_00708	Prar.g_01878
OG0000155	Syat.g_00287	Prar.g_01243
OG0000156	Syat.g_03228	Prar.g_00966
OG0000157	Syat.g_02012, Syat.g_03227	Prar.g_00965
OG0000158	Syat.g_02163	Prar.g_00375
OG0000159	Syat.g_01187	Prar.g_00380, Prar.g_00871
OG0000160	Syat.g_01224	Prar.g_00338
OG0000161	Syat.g_01180	Prar.g_00840
OG0000162	Syat.g_01281	Prar.g_00834
OG0000163	Syat.g_02979	Prar.g_00800
OG0000164	Syat.g_03040	Prar.g_01964
OG0000165	Syat.g_03033	Prar.g_01971
OG0000166	Syat.g_01822	Prar.g_01063
OG0000167	Syat.g_02148	Prar.g_00627
OG0000168	Syat.g_02164	Prar.g_00637
OG0000169	Syat.g_02192	Prar.g_00647
OG0000170	Syat.g_02201	Prar.g_00649
OG0000171	Syat.g_02230	Prar.g_00667
OG0000172	Syat.g_02260	Prar.g_00675
OG0000173	Syat.g_02284	Prar.g_00690
OG0000174	Syat.g_02504	Prar.g_00068
OG0000175	Syat.g_02416	Prar.g_00058
OG0000176	Syat.g_02372	Prar.g_00034
OG0000177	Syat.g_02338	Prar.g_00033
OG0000178	Syat.g_02337	Prar.g_00032
OG0000179	Syat.g_02322	Prar.g_00022
OG0000180	Syat.g_02321	Prar.g_00021
OG0000181	Syat.g_02320	Prar.g_00020
OG0000182	Syat.g_02319	Prar.g_00019
OG0000183	Syat.g_02315	Prar.g_00015
OG0000184	Syat.g_02704	Prar.g_00573
OG0000185	Syat.g_02719	Prar.g_00570
OG0000186	Syat.g_01463	Prar.g_00554
OG0000187	Syat.g_01467	Prar.g_00553
OG0000188	Syat.g_01489	Prar.g_00246
OG0000189	Syat.g_01557	Prar.g_00232
OG0000190	Syat.g_00330	Prar.g_00231
OG0000191	Syat.g_03344, Syat.g_02939	Prar.g_00211
OG0000192	Syat.g_02933	Prar.g_00207
OG0000193	Syat.g_02897	Prar.g_00181
OG0000194	Syat.g_02894	Prar.g_00178
OG0000195	Syat.g_02892	Prar.g_00176
OG0000196	Syat.g_02867	Prar.g_00166
OG0000197	Syat.g_02866	Prar.g_00165
OG0000198	Syat.g_02865	Prar.g_00164
OG0000199	Syat.g_02857	Prar.g_00157
OG0000200	Syat.g_02840	Prar.g_00143
OG0000201	Syat.g_02821	Prar.g_00135
OG0000202	Syat.g_02820	Prar.g_00134
OG0000203	Syat.g_02819	Prar.g_00133
OG0000204	Syat.g_02818	Prar.g_00132
OG0000205	Syat.g_02809	Prar.g_00125
OG0000206	Syat.g_02785	Prar.g_00120
OG0000207	Syat.g_02778	Prar.g_00118
OG0000208	Syat.g_02777	Prar.g_00117
OG0000209	Syat.g_02735	Prar.g_00108
OG0000210	Syat.g_02734	Prar.g_00107
OG0000211	Syat.g_01452	Prar.g_00094
OG0000212	Syat.g_01442	Prar.g_00087
OG0000213	Syat.g_01889	Prar.g_00330
OG0000214	Syat.g_02042	Prar.g_00320
OG0000215	Syat.g_02075	Prar.g_00295
OG0000216	Syat.g_02079	Prar.g_00293
OG0000217	Syat.g_02085	Prar.g_01154, Prar.g_00290
OG0000218	Syat.g_02087	Prar.g_00288
OG0000219	Syat.g_02088	Prar.g_00287
OG0000220	Syat.g_02089	Prar.g_00286
OG0000221	Syat.g_02095	Prar.g_00285
OG0000222	Syat.g_02109	Prar.g_00277
OG0000223	Syat.g_02570	Prar.g_00264
OG0000224	Syat.g_02139	Prar.g_00262
OG0000225	Syat.g_01595	Prar.g_00406
OG0000226	Syat.g_01588	Prar.g_00410
OG0000228	Syat.g_02952	Prar.g_00415
OG0000229	Syat.g_02970	Prar.g_00484
OG0000230	Syat.g_02972	Prar.g_00486
OG0000231	Syat.g_01283	Prar.g_00497
OG0000232	Syat.g_01313	Prar.g_00506
OG0000233	Syat.g_01407	Prar.g_00512
OG0000234	Syat.g_01369	Prar.g_00526
OG0000235	Syat.g_03169	Prar.g_00529
OG0000236	Syat.g_03186	Prar.g_00543
OG0000237	Syat.g_03214	Prar.g_01337
OG0000238	Syat.g_03219	Prar.g_01343
OG0000239	Syat.g_01105	Prar.g_01355
OG0000240	Syat.g_01104	Prar.g_01356
OG0000241	Syat.g_00111	Prar.g_01360
OG0000242	Syat.g_01077	Prar.g_01362
OG0000243	Syat.g_00092	Prar.g_01373
OG0000244	Syat.g_00082	Prar.g_01376
OG0000245	Syat.g_00080	Prar.g_01378
OG0000246	Syat.g_00076	Prar.g_01382
OG0000247	Syat.g_00065	Prar.g_01392
OG0000248	Syat.g_00062	Prar.g_01394
OG0000249	Syat.g_00060	Prar.g_01396
OG0000250	Syat.g_00053	Prar.g_01401
OG0000251	Syat.g_00027	Prar.g_01420
OG0000252	Syat.g_00022	Prar.g_01424
OG0000253	Syat.g_00021	Prar.g_01425
OG0000254	Syat.g_03407	Prar.g_01441
OG0000255	Syat.g_02405	Prar.g_01447
OG0000256	Syat.g_03306	Prar.g_01457
OG0000257	Syat.g_00109	Prar.g_01460
OG0000258	Syat.g_00382	Prar.g_01473
OG0000259	Syat.g_00342	Prar.g_01490
OG0000260	Syat.g_00392	Prar.g_01493
OG0000261	Syat.g_00400	Prar.g_01495
OG0000262	Syat.g_00407	Prar.g_01499
OG0000263	Syat.g_00200	Prar.g_01511
OG0000266	Syat.g_00671	Prar.g_01609
OG0000267	Syat.g_00636	Prar.g_01620
OG0000268	Syat.g_00634	Prar.g_01621
OG0000269	Syat.g_00474, Syat.g_00126	Prar.g_01679
OG0000270	Syat.g_00477	Prar.g_01682
OG0000271	Syat.g_00485	Prar.g_01690
OG0000272	Syat.g_00486	Prar.g_01691
OG0000273	Syat.g_00520	Prar.g_01714
OG0000274	Syat.g_00521	Prar.g_01715
OG0000275	Syat.g_00718	Prar.g_01717
OG0000276	Syat.g_00725	Prar.g_01722
OG0000277	Syat.g_00738	Prar.g_01723
OG0000278	Syat.g_00741	Prar.g_01726
OG0000279	Syat.g_00755	Prar.g_01733
OG0000280	Syat.g_01669	Prar.g_01734
OG0000281	Syat.g_00960	Prar.g_01740
OG0000282	Syat.g_00431	Prar.g_01778
OG0000283	Syat.g_00620	Prar.g_01810
OG0000284	Syat.g_00614	Prar.g_01815
OG0000285	Syat.g_00607	Prar.g_01820
OG0000286	Syat.g_00579	Prar.g_01832
OG0000287	Syat.g_00550	Prar.g_01849
OG0000288	Syat.g_00709	Prar.g_01877
OG0000289	Syat.g_00695	Prar.g_01888
OG0000290	Syat.g_00805	Prar.g_01901
OG0000292	Syat.g_02388	Prar.g_01953
OG0000293	Syat.g_03241	Prar.g_01272
OG0000294	Syat.g_03248	Prar.g_01271
OG0000295	Syat.g_00297	Prar.g_01251
OG0000296	Syat.g_00295	Prar.g_01249
OG0000299	Syat.g_00910	Prar.g_01223
OG0000300	Syat.g_00904	Prar.g_01220
OG0000301	Syat.g_00903	Prar.g_01219
OG0000302	Syat.g_00901	Prar.g_01217
OG0000303	Syat.g_00892	Prar.g_01210
OG0000304	Syat.g_00885	Prar.g_01206
OG0000305	Syat.g_00809	Prar.g_00919
OG0000306	Syat.g_01704	Prar.g_00916
OG0000307	Syat.g_01304	Prar.g_00902
OG0000308	Syat.g_01306	Prar.g_00901
OG0000309	Syat.g_01417	Prar.g_00897
OG0000310	Syat.g_01246	Prar.g_00354
OG0000311	Syat.g_01242	Prar.g_00352
OG0000312	Syat.g_01237	Prar.g_00349
OG0000313	Syat.g_01183	Prar.g_00335
OG0000314	Syat.g_01341	Prar.g_00820
OG0000315	Syat.g_01351	Prar.g_00810
OG0000316	Syat.g_03082	Prar.g_00790
OG0000317	Syat.g_03120	Prar.g_01145
OG0000318	Syat.g_03125	Prar.g_01142
OG0000319	Syat.g_03055	Prar.g_01129
OG0000320	Syat.g_03053	Prar.g_01127
OG0000321	Syat.g_03052	Prar.g_01126
OG0000322	Syat.g_03051	Prar.g_01125
OG0000323	Syat.g_03038	Prar.g_01967
OG0000324	Syat.g_02998	Prar.g_00609
OG0000325	Syat.g_01861	Prar.g_01113
OG0000326	Syat.g_01854	Prar.g_01107
OG0000327	Syat.g_01827	Prar.g_01068
OG0000328	Syat.g_01826	Prar.g_01067
OG0000329	Syat.g_01808	Prar.g_01050
OG0000330	Syat.g_01807	Prar.g_01049
OG0000331	Syat.g_01806	Prar.g_01048
OG0000332	Syat.g_01790	Prar.g_01034
OG0000333	Syat.g_01787	Prar.g_01032
OG0000334	Syat.g_01657	Prar.g_01024
OG0000335	Syat.g_01652	Prar.g_01020
OG0000336	Syat.g_01648	Prar.g_01016
OG0000337	Syat.g_02144	Prar.g_00625
OG0000338	Syat.g_02146	Prar.g_00626
OG0000339	Syat.g_02155, Syat.g_01055	Prar.g_00630
OG0000340	Syat.g_02165	Prar.g_00638
OG0000341	Syat.g_02167	Prar.g_00640
OG0000342	Syat.g_02168	Prar.g_00641
OG0000343	Syat.g_02185	Prar.g_00642
OG0000344	Syat.g_02189	Prar.g_00645
OG0000345	Syat.g_02202	Prar.g_00650
OG0000346	Syat.g_02207	Prar.g_00654
OG0000347	Syat.g_02234	Prar.g_00669
OG0000348	Syat.g_02264	Prar.g_00678
OG0000349	Syat.g_02291	Prar.g_00695
OG0000350	Syat.g_01847	Prar.g_00072
OG0000351	Syat.g_02411	Prar.g_00055
OG0000352	Syat.g_02410	Prar.g_00054
OG0000353	Syat.g_00955, Syat.g_02377	Prar.g_00039
OG0000355	Syat.g_02375	Prar.g_00037
OG0000356	Syat.g_02374	Prar.g_00036
OG0000357	Syat.g_02373	Prar.g_00035
OG0000358	Syat.g_02336	Prar.g_00031
OG0000359	Syat.g_02334	Prar.g_00030
OG0000360	Syat.g_02333	Prar.g_00029
OG0000361	Syat.g_02332	Prar.g_00028
OG0000362	Syat.g_02330	Prar.g_00026
OG0000363	Syat.g_02328	Prar.g_00024
OG0000364	Syat.g_03122	Prar.g_00023
OG0000365	Syat.g_02318	Prar.g_00018
OG0000366	Syat.g_02317	Prar.g_00017
OG0000367	Syat.g_02316	Prar.g_00016
OG0000368	Syat.g_02314	Prar.g_00014
OG0000369	Syat.g_02313	Prar.g_00013
OG0000370	Syat.g_02312	Prar.g_00012
OG0000371	Syat.g_02304	Prar.g_00006
OG0000372	Syat.g_02298	Prar.g_00002
OG0000373	Syat.g_02297	Prar.g_00001
OG0000374	Syat.g_02296	Prar.g_00594
OG0000375	Syat.g_02295	Prar.g_00580
OG0000376	Syat.g_02293	Prar.g_00578
OG0000377	Syat.g_02695	Prar.g_00574
OG0000378	Syat.g_02715	Prar.g_00572
OG0000379	Syat.g_02720	Prar.g_00569
OG0000380	Syat.g_01468	Prar.g_00552
OG0000381	Syat.g_01470	Prar.g_00548
OG0000382	Syat.g_01488	Prar.g_00247
OG0000383	Syat.g_01521	Prar.g_00245
OG0000384	Syat.g_01522	Prar.g_00244
OG0000385	Syat.g_01523	Prar.g_00243
OG0000386	Syat.g_01524	Prar.g_00242
OG0000387	Syat.g_01561	Prar.g_00229
OG0000388	Syat.g_01565	Prar.g_00226
OG0000389	Syat.g_01569	Prar.g_00222
OG0000390	Syat.g_02945	Prar.g_00215
OG0000391	Syat.g_02940	Prar.g_00212
OG0000392	Syat.g_02934	Prar.g_00208
OG0000393	Syat.g_02931	Prar.g_00206
OG0000394	Syat.g_02930	Prar.g_00205
OG0000395	Syat.g_02929	Prar.g_00204
OG0000396	Syat.g_02927	Prar.g_00201
OG0000397	Syat.g_02925	Prar.g_00199
OG0000398	Syat.g_02920	Prar.g_00197
OG0000399	Syat.g_02919	Prar.g_00196
OG0000400	Syat.g_02918	Prar.g_00195
OG0000401	Syat.g_02917	Prar.g_00194
OG0000402	Syat.g_02915	Prar.g_00192
OG0000403	Syat.g_02914	Prar.g_00191
OG0000404	Syat.g_02913	Prar.g_00190
OG0000405	Syat.g_02900	Prar.g_00186
OG0000406	Syat.g_02896	Prar.g_00180
OG0000407	Syat.g_02895	Prar.g_00179
OG0000408	Syat.g_02893	Prar.g_00177
OG0000409	Syat.g_02891	Prar.g_00175
OG0000410	Syat.g_02890	Prar.g_00174
OG0000411	Syat.g_02889	Prar.g_00173
OG0000412	Syat.g_02888	Prar.g_00172
OG0000413	Syat.g_02886	Prar.g_00171
OG0000414	Syat.g_02885	Prar.g_01569, Prar.g_00170
OG0000415	Syat.g_02884	Prar.g_00169
OG0000416	Syat.g_02883	Prar.g_00168
OG0000417	Syat.g_02868	Prar.g_00167
OG0000418	Syat.g_02863	Prar.g_00162
OG0000419	Syat.g_02861	Prar.g_00160
OG0000420	Syat.g_02859	Prar.g_00159
OG0000421	Syat.g_02855	Prar.g_00154
OG0000422	Syat.g_02854	Prar.g_00153
OG0000423	Syat.g_02853	Prar.g_00152
OG0000424	Syat.g_02852	Prar.g_00151
OG0000425	Syat.g_02851	Prar.g_00150
OG0000426	Syat.g_02850	Prar.g_00149
OG0000427	Syat.g_02849	Prar.g_00148
OG0000428	Syat.g_02846	Prar.g_00146
OG0000429	Syat.g_02843	Prar.g_00145
OG0000430	Syat.g_02841	Prar.g_00144
OG0000431	Syat.g_02838	Prar.g_00142
OG0000432	Syat.g_02832	Prar.g_00139
OG0000433	Syat.g_02829	Prar.g_00138
OG0000434	Syat.g_02828	Prar.g_00137
OG0000435	Syat.g_02824	Prar.g_00136
OG0000436	Syat.g_02817	Prar.g_00131
OG0000437	Syat.g_02558	Prar.g_00130
OG0000438	Syat.g_02813	Prar.g_00129
OG0000439	Syat.g_02811	Prar.g_00127
OG0000440	Syat.g_02810	Prar.g_00126
OG0000441	Syat.g_02807	Prar.g_00123
OG0000442	Syat.g_02797	Prar.g_00122
OG0000443	Syat.g_02787	Prar.g_00121
OG0000444	Syat.g_02756	Prar.g_00116
OG0000445	Syat.g_02755	Prar.g_00115
OG0000446	Syat.g_02753	Prar.g_00114
OG0000447	Syat.g_02749	Prar.g_00113
OG0000448	Syat.g_02748	Prar.g_00112
OG0000449	Syat.g_02747	Prar.g_00111
OG0000450	Syat.g_02738	Prar.g_00110
OG0000451	Syat.g_02737	Prar.g_00109
OG0000452	Syat.g_02732	Prar.g_00106
OG0000453	Syat.g_02731	Prar.g_00105
OG0000454	Syat.g_02730	Prar.g_00104
OG0000455	Syat.g_02729	Prar.g_00103
OG0000456	Syat.g_02728	Prar.g_00102
OG0000457	Syat.g_02726	Prar.g_00101
OG0000458	Syat.g_02725	Prar.g_00100
OG0000459	Syat.g_02724	Prar.g_00099
OG0000460	Syat.g_01450	Prar.g_00092
OG0000461	Syat.g_01866	Prar.g_00085
OG0000462	Syat.g_01868	Prar.g_00083
OG0000463	Syat.g_01869	Prar.g_00082
OG0000464	Syat.g_01870	Prar.g_00081
OG0000465	Syat.g_01872	Prar.g_00080
OG0000466	Syat.g_01877	Prar.g_00077
OG0000467	Syat.g_01878	Prar.g_00076
OG0000468	Syat.g_01884	Prar.g_00334
OG0000469	Syat.g_02000	Prar.g_00325
OG0000470	Syat.g_02038	Prar.g_00323
OG0000471	Syat.g_02039	Prar.g_00322
OG0000472	Syat.g_02041	Prar.g_00321
OG0000473	Syat.g_02043	Prar.g_00319
OG0000474	Syat.g_02044	Prar.g_00318
OG0000475	Syat.g_02045	Prar.g_00317
OG0000476	Syat.g_02047	Prar.g_00316
OG0000477	Syat.g_02053	Prar.g_00312
OG0000478	Syat.g_02054	Prar.g_00311
OG0000479	Syat.g_02056	Prar.g_00310
OG0000480	Syat.g_02063	Prar.g_00305
OG0000481	Syat.g_02066	Prar.g_00303
OG0000482	Syat.g_02067	Prar.g_00302
OG0000483	Syat.g_02071	Prar.g_00299
OG0000484	Syat.g_02072	Prar.g_00298
OG0000485	Syat.g_02073	Prar.g_00297
OG0000486	Syat.g_02074	Prar.g_00296
OG0000487	Syat.g_02080	Prar.g_00292
OG0000488	Syat.g_02086	Prar.g_00289
OG0000489	Syat.g_02097	Prar.g_00284
OG0000490	Syat.g_02106	Prar.g_00279
OG0000491	Syat.g_02107	Prar.g_00278
OG0000492	Syat.g_02110	Prar.g_00276
OG0000493	Syat.g_02111	Prar.g_00275
OG0000494	Syat.g_02112	Prar.g_00274
OG0000495	Syat.g_02120	Prar.g_00273
OG0000496	Syat.g_02121	Prar.g_00272
OG0000497	Syat.g_02122	Prar.g_00271
OG0000498	Syat.g_02123	Prar.g_00270
OG0000499	Syat.g_02124	Prar.g_00269
OG0000500	Syat.g_02125	Prar.g_00268
OG0000501	Syat.g_02128	Prar.g_00266
OG0000502	Syat.g_02135	Prar.g_00263
OG0000503	Syat.g_01614	Prar.g_00394
OG0000504	Syat.g_01612	Prar.g_00395
OG0000505	Syat.g_01611	Prar.g_00396
OG0000506	Syat.g_01609	Prar.g_00398
OG0000507	Syat.g_01603	Prar.g_00401
OG0000508	Syat.g_01596	Prar.g_00405
OG0000509	Syat.g_01591	Prar.g_00407
OG0000510	Syat.g_01590	Prar.g_00408
OG0000511	Syat.g_01589	Prar.g_00409
OG0000512	Syat.g_01587	Prar.g_00411
OG0000513	Syat.g_02957	Prar.g_00418
OG0000514	Syat.g_02962	Prar.g_00479
OG0000515	Syat.g_02963	Prar.g_00480
OG0000516	Syat.g_02965	Prar.g_00481
OG0000517	Syat.g_02969	Prar.g_00483
OG0000518	Syat.g_01286	Prar.g_00494
OG0000519	Syat.g_01285	Prar.g_00495
OG0000520	Syat.g_01284	Prar.g_00496
OG0000521	Syat.g_01319	Prar.g_00501
OG0000522	Syat.g_01317	Prar.g_00503
OG0000523	Syat.g_01316	Prar.g_00504
OG0000524	Syat.g_01409	Prar.g_00510
OG0000525	Syat.g_01382	Prar.g_00513
OG0000526	Syat.g_01380	Prar.g_00514
OG0000527	Syat.g_01373	Prar.g_00523
OG0000528	Syat.g_03167	Prar.g_00528
OG0000529	Syat.g_03171	Prar.g_00531
OG0000530	Syat.g_03174	Prar.g_00534
OG0000531	Syat.g_03175	Prar.g_00535
OG0000532	Syat.g_03178	Prar.g_00537
OG0000533	Syat.g_03180	Prar.g_00538
OG0000534	Syat.g_03181	Prar.g_00539
OG0000535	Syat.g_03182	Prar.g_00540
OG0000536	Syat.g_03183	Prar.g_00541
OG0000537	Syat.g_03185	Prar.g_00542
OG0000538	Syat.g_03204	Prar.g_01331
OG0000539	Syat.g_03206	Prar.g_01332
OG0000540	Syat.g_03207	Prar.g_01333
OG0000541	Syat.g_03208	Prar.g_01334
OG0000542	Syat.g_03213	Prar.g_01336
OG0000543	Syat.g_03215	Prar.g_01338
OG0000544	Syat.g_03216	Prar.g_01339
OG0000545	Syat.g_03218	Prar.g_01341
OG0000546	Syat.g_03220	Prar.g_01344
OG0000547	Syat.g_03222	Prar.g_01345
OG0000548	Syat.g_03223	Prar.g_01346
OG0000549	Syat.g_01795	Prar.g_01348
OG0000550	Syat.g_01107	Prar.g_01353
OG0000551	Syat.g_01103	Prar.g_01357
OG0000552	Syat.g_01102	Prar.g_01358
OG0000553	Syat.g_01098	Prar.g_01359
OG0000554	Syat.g_03271	Prar.g_01364
OG0000555	Syat.g_00093	Prar.g_01372
OG0000556	Syat.g_00088	Prar.g_01374
OG0000557	Syat.g_00083	Prar.g_01375
OG0000558	Syat.g_00081	Prar.g_01377
OG0000559	Syat.g_00077	Prar.g_01381
OG0000560	Syat.g_00074	Prar.g_01384
OG0000561	Syat.g_00073	Prar.g_01385
OG0000562	Syat.g_00072	Prar.g_01386
OG0000563	Syat.g_00071	Prar.g_01387
OG0000564	Syat.g_00070	Prar.g_01388
OG0000565	Syat.g_00067	Prar.g_01391
OG0000566	Syat.g_00063	Prar.g_01393
OG0000567	Syat.g_00059	Prar.g_01397
OG0000568	Syat.g_00057	Prar.g_01398
OG0000569	Syat.g_00056	Prar.g_01399
OG0000570	Syat.g_00055	Prar.g_01400
OG0000571	Syat.g_00052	Prar.g_01402
OG0000572	Syat.g_00033	Prar.g_01415
OG0000573	Syat.g_00024	Prar.g_01422
OG0000574	Syat.g_00023	Prar.g_01423
OG0000575	Syat.g_00018	Prar.g_01427
OG0000576	Syat.g_00014	Prar.g_01429
OG0000577	Syat.g_00013	Prar.g_01430
OG0000578	Syat.g_00012	Prar.g_01431
OG0000579	Syat.g_00011	Prar.g_01432
OG0000580	Syat.g_00010	Prar.g_01433
OG0000581	Syat.g_00003	Prar.g_01435
OG0000582	Syat.g_03403	Prar.g_01438
OG0000583	Syat.g_03404	Prar.g_01439
OG0000584	Syat.g_03405	Prar.g_01440
OG0000585	Syat.g_03408	Prar.g_01442
OG0000586	Syat.g_03409	Prar.g_01443
OG0000587	Syat.g_00001	Prar.g_01444
OG0000588	Syat.g_00338	Prar.g_01448
OG0000589	Syat.g_03318	Prar.g_01451
OG0000590	Syat.g_03317	Prar.g_01452
OG0000591	Syat.g_03308	Prar.g_01455
OG0000592	Syat.g_03307	Prar.g_01456
OG0000593	Syat.g_00113	Prar.g_01462
OG0000594	Syat.g_00114	Prar.g_01463
OG0000595	Syat.g_00115	Prar.g_01464
OG0000596	Syat.g_00129	Prar.g_01468
OG0000597	Syat.g_00132	Prar.g_01470
OG0000598	Syat.g_00133	Prar.g_01471
OG0000599	Syat.g_00381	Prar.g_01474
OG0000600	Syat.g_00380	Prar.g_01475
OG0000601	Syat.g_00379	Prar.g_01476
OG0000602	Syat.g_00375	Prar.g_01478
OG0000603	Syat.g_00374	Prar.g_01479
OG0000604	Syat.g_00372	Prar.g_01480
OG0000605	Syat.g_00370	Prar.g_01481
OG0000606	Syat.g_00367	Prar.g_01484
OG0000607	Syat.g_00364	Prar.g_01487
