Orthogroup	Prai	Prbk
OG0000056	Prai.g_00031	Prbk.g_01617
OG0000057	Prai.g_00168, Prai.g_01288	Prbk.g_00764
OG0000058	Prai.g_00383	Prbk.g_00925
OG0000059	Prai.g_00567	Prbk.g_01094
OG0000060	Prai.g_00761	Prbk.g_00605
OG0000061	Prai.g_00909	Prbk.g_01468
OG0000062	Prai.g_00825	Prbk.g_02493
OG0000063	Prai.g_01132	Prbk.g_00694
OG0000066	Prai.g_00505	Prbk.g_02113
OG0000067	Prai.g_00727	Prbk.g_01765
OG0000070	Prai.g_00918	Prbk.g_00056
OG0000071	Prai.g_01273	Prbk.g_01496
OG0000072	Prai.g_01335	Prbk.g_01183
OG0000074	Prai.g_01443	Prbk.g_00477
OG0000075	Prai.g_01782	Prbk.g_00796, Prbk.g_00944
OG0000077	Prai.g_00011	Prbk.g_02290
OG0000078	Prai.g_00335	Prbk.g_00472
OG0000079	Prai.g_00393	Prbk.g_02209
OG0000080	Prai.g_00698	Prbk.g_00709
OG0000081	Prai.g_00720	Prbk.g_01815
OG0000082	Prai.g_00841, Prai.g_00840	Prbk.g_02475
OG0000084	Prai.g_00989	Prbk.g_02324
OG0000085	Prai.g_01107	Prbk.g_02271
OG0000086	Prai.g_01143	Prbk.g_02195
OG0000090	Prai.g_01393	Prbk.g_00476
OG0000091	Prai.g_01471	Prbk.g_00275
OG0000092	Prai.g_01270	Prbk.g_02012
OG0000093	Prai.g_00743	Prbk.g_00992
OG0000094	Prai.g_01779	Prbk.g_00948
OG0000095	Prai.g_01812	Prbk.g_00512
OG0000096	Prai.g_01884	Prbk.g_01603
OG0000097	Prai.g_01901	Prbk.g_02204
OG0000098	Prai.g_00003	Prbk.g_02281
OG0000099	Prai.g_00023	Prbk.g_01626
OG0000101	Prai.g_00056	Prbk.g_02126
OG0000102	Prai.g_00113	Prbk.g_00191
OG0000103	Prai.g_00121	Prbk.g_00206
OG0000104	Prai.g_00139	Prbk.g_00559
OG0000105	Prai.g_00181	Prbk.g_00777
OG0000106	Prai.g_00195	Prbk.g_01280
OG0000107	Prai.g_00203	Prbk.g_01261
OG0000108	Prai.g_00213	Prbk.g_01251
OG0000109	Prai.g_00250	Prbk.g_01515
OG0000110	Prai.g_00264	Prbk.g_01001
OG0000111	Prai.g_00287, Prai.g_00286	Prbk.g_00409
OG0000112	Prai.g_00430	Prbk.g_00422
OG0000113	Prai.g_00310	Prbk.g_00438
OG0000114	Prai.g_00338	Prbk.g_00492
OG0000115	Prai.g_00504	Prbk.g_02112
OG0000116	Prai.g_00506	Prbk.g_02114
OG0000117	Prai.g_00510	Prbk.g_02061
OG0000118	Prai.g_00529	Prbk.g_01862
OG0000119	Prai.g_00560	Prbk.g_01078
OG0000120	Prai.g_00561	Prbk.g_01080
OG0000121	Prai.g_00571	Prbk.g_02684
OG0000122	Prai.g_00580	Prbk.g_01890
OG0000123	Prai.g_00612	Prbk.g_01121
OG0000124	Prai.g_00680	Prbk.g_00740
OG0000125	Prai.g_00681	Prbk.g_00739
OG0000126	Prai.g_00682	Prbk.g_00738
OG0000127	Prai.g_00715	Prbk.g_01385
OG0000128	Prai.g_00750	Prbk.g_00616
OG0000129	Prai.g_00770	Prbk.g_02370
OG0000130	Prai.g_00862	Prbk.g_01642
OG0000131	Prai.g_00850	Prbk.g_02466
OG0000132	Prai.g_00813	Prbk.g_02530
OG0000133	Prai.g_01030	Prbk.g_02438
OG0000134	Prai.g_01021	Prbk.g_02444
OG0000135	Prai.g_00985	Prbk.g_02316
OG0000136	Prai.g_00921	Prbk.g_00059
OG0000137	Prai.g_01146	Prbk.g_02197
OG0000138	Prai.g_01167	Prbk.g_01025
OG0000139	Prai.g_01177	Prbk.g_00144
OG0000140	Prai.g_01230	Prbk.g_00121
OG0000141	Prai.g_01238	Prbk.g_00066
OG0000142	Prai.g_01347	Prbk.g_01169
OG0000143	Prai.g_01370	Prbk.g_02052
OG0000144	Prai.g_01450	Prbk.g_00243
OG0000145	Prai.g_01464	Prbk.g_00260
OG0000146	Prai.g_01499	Prbk.g_01212
OG0000147	Prai.g_01539, Prai.g_00415	Prbk.g_00932
OG0000148	Prai.g_01540	Prbk.g_00931
OG0000149	Prai.g_01636	Prbk.g_00913
OG0000150	Prai.g_01674	Prbk.g_01417
OG0000151	Prai.g_01677	Prbk.g_01414
OG0000152	Prai.g_01696	Prbk.g_01381
OG0000153	Prai.g_01735	Prbk.g_00987
OG0000154	Prai.g_01777	Prbk.g_00950
OG0000155	Prai.g_01795	Prbk.g_00811
OG0000156	Prai.g_01823	Prbk.g_00528
OG0000157	Prai.g_01855	Prbk.g_01540
OG0000158	Prai.g_01918	Prbk.g_02252
OG0000160	Prai.g_00001	Prbk.g_02279
OG0000161	Prai.g_00002	Prbk.g_02280
OG0000162	Prai.g_00004	Prbk.g_02282
OG0000163	Prai.g_00005	Prbk.g_02283
OG0000164	Prai.g_00006	Prbk.g_02284
OG0000165	Prai.g_00007	Prbk.g_02285
OG0000166	Prai.g_00008	Prbk.g_02287
OG0000167	Prai.g_00009	Prbk.g_02288
OG0000168	Prai.g_00010	Prbk.g_02289
OG0000169	Prai.g_00012	Prbk.g_02291
OG0000170	Prai.g_00014	Prbk.g_01639
OG0000171	Prai.g_00015	Prbk.g_01638
OG0000172	Prai.g_00016	Prbk.g_01633
OG0000173	Prai.g_00017	Prbk.g_01632
OG0000174	Prai.g_00018	Prbk.g_01631
OG0000175	Prai.g_00019	Prbk.g_01630
OG0000176	Prai.g_00020	Prbk.g_01629
OG0000177	Prai.g_00021	Prbk.g_01628
OG0000178	Prai.g_00022	Prbk.g_01627
OG0000179	Prai.g_00024	Prbk.g_01625
OG0000180	Prai.g_00025	Prbk.g_01624
OG0000181	Prai.g_00026	Prbk.g_01623
OG0000182	Prai.g_00027	Prbk.g_01622
OG0000183	Prai.g_00028	Prbk.g_01621
OG0000184	Prai.g_00029	Prbk.g_01619
OG0000185	Prai.g_00032	Prbk.g_01614
OG0000186	Prai.g_00035	Prbk.g_01609
OG0000187	Prai.g_00036	Prbk.g_01608
OG0000188	Prai.g_00037	Prbk.g_01607
OG0000189	Prai.g_00047	Prbk.g_01606
OG0000190	Prai.g_00049	Prbk.g_01604
OG0000191	Prai.g_00050	Prbk.g_02158
OG0000192	Prai.g_00051	Prbk.g_02156
OG0000193	Prai.g_00052	Prbk.g_02155
OG0000194	Prai.g_00053	Prbk.g_02148
OG0000195	Prai.g_00054	Prbk.g_02141
OG0000196	Prai.g_00055	Prbk.g_02133
OG0000197	Prai.g_00057	Prbk.g_02125
OG0000198	Prai.g_00058	Prbk.g_02124
OG0000199	Prai.g_00059	Prbk.g_02123
OG0000200	Prai.g_00064	Prbk.g_01326
OG0000201	Prai.g_00065	Prbk.g_01324
OG0000202	Prai.g_00066	Prbk.g_01323
OG0000203	Prai.g_00069	Prbk.g_01320
OG0000204	Prai.g_00070	Prbk.g_01319
OG0000205	Prai.g_00073	Prbk.g_01315
OG0000206	Prai.g_00075	Prbk.g_01313
OG0000207	Prai.g_00077	Prbk.g_01309
OG0000208	Prai.g_00078	Prbk.g_01308
OG0000209	Prai.g_00079	Prbk.g_01665
OG0000210	Prai.g_00080	Prbk.g_01307
OG0000211	Prai.g_00081	Prbk.g_01304
OG0000212	Prai.g_00082	Prbk.g_01303
OG0000213	Prai.g_00083	Prbk.g_01302
OG0000214	Prai.g_00084	Prbk.g_01301
OG0000215	Prai.g_00085	Prbk.g_01300
OG0000216	Prai.g_00086	Prbk.g_01299
OG0000217	Prai.g_00088	Prbk.g_01295
OG0000218	Prai.g_00089	Prbk.g_01294
OG0000219	Prai.g_00090	Prbk.g_00035
OG0000220	Prai.g_00091	Prbk.g_00031
OG0000221	Prai.g_00094	Prbk.g_00026
OG0000222	Prai.g_00095	Prbk.g_00025
OG0000223	Prai.g_00096	Prbk.g_00024
OG0000224	Prai.g_00097	Prbk.g_00022
OG0000225	Prai.g_00098	Prbk.g_00021
OG0000226	Prai.g_00099	Prbk.g_00020
OG0000227	Prai.g_00100	Prbk.g_00018
OG0000228	Prai.g_00101	Prbk.g_00017
OG0000229	Prai.g_00102	Prbk.g_00016
OG0000230	Prai.g_00103	Prbk.g_00015
OG0000231	Prai.g_00104	Prbk.g_00014
OG0000232	Prai.g_00106	Prbk.g_00012
OG0000233	Prai.g_00107	Prbk.g_00011
OG0000234	Prai.g_00108	Prbk.g_00010
OG0000235	Prai.g_00109	Prbk.g_00007
OG0000236	Prai.g_00110	Prbk.g_00003
OG0000237	Prai.g_00111	Prbk.g_00001
OG0000238	Prai.g_00112	Prbk.g_00190
OG0000239	Prai.g_00114	Prbk.g_00192
OG0000240	Prai.g_00115	Prbk.g_00194
OG0000241	Prai.g_00116	Prbk.g_00196
OG0000242	Prai.g_00117	Prbk.g_00197
OG0000243	Prai.g_00120	Prbk.g_00202
OG0000244	Prai.g_00122	Prbk.g_00207
OG0000245	Prai.g_00123	Prbk.g_00208
OG0000246	Prai.g_00124	Prbk.g_00209
OG0000247	Prai.g_00127	Prbk.g_00542
OG0000248	Prai.g_00129	Prbk.g_00544
OG0000249	Prai.g_00130	Prbk.g_00547
OG0000250	Prai.g_00131	Prbk.g_00549
OG0000251	Prai.g_00132	Prbk.g_00550
OG0000252	Prai.g_00133	Prbk.g_00551
OG0000253	Prai.g_00134	Prbk.g_00552
OG0000254	Prai.g_00136	Prbk.g_00554
OG0000255	Prai.g_00137	Prbk.g_00555
OG0000256	Prai.g_00140	Prbk.g_00560
OG0000257	Prai.g_00142	Prbk.g_00749
OG0000258	Prai.g_00156	Prbk.g_00751
OG0000259	Prai.g_00157	Prbk.g_00752
OG0000260	Prai.g_00158	Prbk.g_00753
OG0000261	Prai.g_00159	Prbk.g_00754
OG0000262	Prai.g_00160	Prbk.g_00755
OG0000263	Prai.g_00162	Prbk.g_00757
OG0000264	Prai.g_00163	Prbk.g_00758
OG0000265	Prai.g_00164	Prbk.g_00759
OG0000266	Prai.g_00165	Prbk.g_00760
OG0000267	Prai.g_00166	Prbk.g_00761
OG0000268	Prai.g_00167	Prbk.g_00763
OG0000269	Prai.g_00169	Prbk.g_00765
OG0000270	Prai.g_00170	Prbk.g_00766
OG0000271	Prai.g_00171	Prbk.g_00767
OG0000272	Prai.g_00172	Prbk.g_00768
OG0000273	Prai.g_00173	Prbk.g_00769
OG0000274	Prai.g_00174	Prbk.g_00770
OG0000275	Prai.g_00175	Prbk.g_00771
OG0000276	Prai.g_00176	Prbk.g_00772
OG0000277	Prai.g_00178	Prbk.g_00774
OG0000278	Prai.g_00179	Prbk.g_00775
OG0000279	Prai.g_00180	Prbk.g_00776
OG0000280	Prai.g_00182	Prbk.g_00778
OG0000281	Prai.g_00184	Prbk.g_00779
OG0000282	Prai.g_00185	Prbk.g_00780
OG0000283	Prai.g_00186	Prbk.g_00781
OG0000284	Prai.g_00187	Prbk.g_00782
OG0000285	Prai.g_00188	Prbk.g_00783
OG0000286	Prai.g_00189	Prbk.g_00784
OG0000287	Prai.g_00190	Prbk.g_00785
OG0000288	Prai.g_00192	Prbk.g_02425
OG0000289	Prai.g_00193	Prbk.g_01283
OG0000290	Prai.g_00194	Prbk.g_01281
OG0000291	Prai.g_00196	Prbk.g_01277
OG0000292	Prai.g_00197	Prbk.g_01275
OG0000293	Prai.g_00198	Prbk.g_01272
OG0000294	Prai.g_00199	Prbk.g_01270
OG0000295	Prai.g_00200	Prbk.g_01267
OG0000296	Prai.g_00201	Prbk.g_01266
OG0000297	Prai.g_00202	Prbk.g_01263
OG0000298	Prai.g_00204	Prbk.g_01260
OG0000299	Prai.g_00205	Prbk.g_01259
OG0000300	Prai.g_00206	Prbk.g_01258
OG0000301	Prai.g_00207	Prbk.g_01257
OG0000302	Prai.g_00208	Prbk.g_01256
OG0000303	Prai.g_00209	Prbk.g_01255
OG0000304	Prai.g_00211	Prbk.g_01253
OG0000305	Prai.g_00212	Prbk.g_01252
OG0000306	Prai.g_00215	Prbk.g_01245
OG0000307	Prai.g_00216	Prbk.g_01244
OG0000308	Prai.g_00217	Prbk.g_00631
OG0000309	Prai.g_00218	Prbk.g_00632
OG0000310	Prai.g_00219	Prbk.g_00633
OG0000311	Prai.g_00220	Prbk.g_00686
OG0000312	Prai.g_00221	Prbk.g_00685
OG0000313	Prai.g_00222	Prbk.g_00683
OG0000314	Prai.g_00223	Prbk.g_00682
OG0000315	Prai.g_00224	Prbk.g_00680
OG0000316	Prai.g_00225	Prbk.g_00670
OG0000317	Prai.g_00226	Prbk.g_00669
OG0000318	Prai.g_00227	Prbk.g_00668
OG0000319	Prai.g_00228	Prbk.g_00662
OG0000320	Prai.g_00229	Prbk.g_00661
OG0000321	Prai.g_00230	Prbk.g_00658
OG0000322	Prai.g_00231	Prbk.g_00657
OG0000323	Prai.g_00232	Prbk.g_00656
OG0000324	Prai.g_00233	Prbk.g_00655
OG0000325	Prai.g_00234	Prbk.g_00654
OG0000326	Prai.g_00235	Prbk.g_00653
OG0000327	Prai.g_00236	Prbk.g_00652
OG0000328	Prai.g_00237	Prbk.g_00650
OG0000329	Prai.g_00238	Prbk.g_00649
OG0000330	Prai.g_00239	Prbk.g_00648
OG0000331	Prai.g_00240	Prbk.g_01364
OG0000332	Prai.g_00241	Prbk.g_01136
OG0000333	Prai.g_00242	Prbk.g_01135
OG0000334	Prai.g_00243	Prbk.g_01134
OG0000335	Prai.g_00244	Prbk.g_01368
OG0000336	Prai.g_00246	Prbk.g_01369
OG0000337	Prai.g_00247	Prbk.g_01521
OG0000338	Prai.g_00251	Prbk.g_01514
OG0000339	Prai.g_00255	Prbk.g_01900
OG0000340	Prai.g_00257	Prbk.g_01012
OG0000341	Prai.g_00258	Prbk.g_01011
OG0000342	Prai.g_00259	Prbk.g_01010
OG0000343	Prai.g_00260	Prbk.g_01008
OG0000344	Prai.g_00263	Prbk.g_01003
OG0000345	Prai.g_00266	Prbk.g_00371
OG0000346	Prai.g_00267	Prbk.g_00372
OG0000347	Prai.g_00270	Prbk.g_00374
OG0000348	Prai.g_00272	Prbk.g_00376
OG0000349	Prai.g_00273	Prbk.g_00378
OG0000350	Prai.g_00275	Prbk.g_00384
OG0000351	Prai.g_00276	Prbk.g_01365
OG0000352	Prai.g_00277	Prbk.g_00397
OG0000353	Prai.g_00278	Prbk.g_00398
OG0000354	Prai.g_00279	Prbk.g_00400
OG0000355	Prai.g_00280	Prbk.g_00401
OG0000356	Prai.g_00281	Prbk.g_00402
OG0000357	Prai.g_00282	Prbk.g_00403
OG0000358	Prai.g_00283	Prbk.g_00404
OG0000359	Prai.g_00284	Prbk.g_00406
OG0000360	Prai.g_00288	Prbk.g_00411
OG0000361	Prai.g_00289	Prbk.g_00412
OG0000362	Prai.g_00290	Prbk.g_00413
OG0000363	Prai.g_00291	Prbk.g_00415
OG0000364	Prai.g_00295	Prbk.g_00420
OG0000365	Prai.g_00296	Prbk.g_00421
OG0000366	Prai.g_00298	Prbk.g_00423
OG0000367	Prai.g_00299	Prbk.g_00425
OG0000368	Prai.g_00300	Prbk.g_00426
OG0000369	Prai.g_00301	Prbk.g_00427
OG0000370	Prai.g_00302	Prbk.g_00428
OG0000371	Prai.g_00303	Prbk.g_00429
OG0000372	Prai.g_00304	Prbk.g_00430
OG0000373	Prai.g_00305	Prbk.g_00431
OG0000374	Prai.g_00307	Prbk.g_00434
OG0000375	Prai.g_00308	Prbk.g_00435
OG0000376	Prai.g_00311	Prbk.g_00439
OG0000377	Prai.g_00312	Prbk.g_00442
OG0000378	Prai.g_00313	Prbk.g_00443
OG0000379	Prai.g_00314	Prbk.g_00444
OG0000380	Prai.g_00315	Prbk.g_00449
OG0000381	Prai.g_00316	Prbk.g_00450
OG0000382	Prai.g_00317	Prbk.g_00451
OG0000383	Prai.g_00318	Prbk.g_00453
OG0000384	Prai.g_00321	Prbk.g_00456
OG0000385	Prai.g_00322	Prbk.g_00457
OG0000386	Prai.g_00323	Prbk.g_00458
OG0000387	Prai.g_00324	Prbk.g_00460
OG0000388	Prai.g_00325	Prbk.g_00461
OG0000389	Prai.g_00326	Prbk.g_00462
OG0000390	Prai.g_00327	Prbk.g_00463
OG0000391	Prai.g_00328	Prbk.g_00464
OG0000392	Prai.g_00329	Prbk.g_00465
OG0000393	Prai.g_00330	Prbk.g_00466
OG0000394	Prai.g_00331	Prbk.g_00467
OG0000395	Prai.g_00332	Prbk.g_00468
OG0000396	Prai.g_00334	Prbk.g_00471
OG0000397	Prai.g_00336	Prbk.g_00481
OG0000398	Prai.g_00337	Prbk.g_00483
OG0000399	Prai.g_00340	Prbk.g_00853
OG0000400	Prai.g_00341	Prbk.g_00860
OG0000401	Prai.g_00342	Prbk.g_00861
OG0000402	Prai.g_00347	Prbk.g_00871
OG0000403	Prai.g_00348	Prbk.g_00873
OG0000404	Prai.g_00349	Prbk.g_00874
OG0000405	Prai.g_00351	Prbk.g_00876
OG0000406	Prai.g_00354	Prbk.g_00881
OG0000407	Prai.g_00355	Prbk.g_00882
OG0000408	Prai.g_00357	Prbk.g_00888
OG0000409	Prai.g_00358	Prbk.g_00889
OG0000410	Prai.g_00359	Prbk.g_00890
OG0000411	Prai.g_00360	Prbk.g_00891
OG0000412	Prai.g_00361	Prbk.g_00892
OG0000413	Prai.g_00362	Prbk.g_00893
OG0000414	Prai.g_00363	Prbk.g_00894
OG0000415	Prai.g_00364	Prbk.g_00895
OG0000416	Prai.g_00367	Prbk.g_00365
OG0000417	Prai.g_00368	Prbk.g_00364
OG0000418	Prai.g_00369	Prbk.g_00361
OG0000419	Prai.g_00370	Prbk.g_00360
OG0000420	Prai.g_00372	Prbk.g_02556
OG0000421	Prai.g_00384	Prbk.g_01321
OG0000422	Prai.g_00390	Prbk.g_00924
OG0000423	Prai.g_00392	Prbk.g_01693
OG0000424	Prai.g_00397	Prbk.g_01902
OG0000425	Prai.g_00462	Prbk.g_00352
OG0000426	Prai.g_00463	Prbk.g_00351
OG0000427	Prai.g_00464	Prbk.g_00339
OG0000428	Prai.g_00466	Prbk.g_00329
OG0000429	Prai.g_00467	Prbk.g_00328
OG0000430	Prai.g_00469	Prbk.g_00326
OG0000431	Prai.g_00470	Prbk.g_00325
OG0000432	Prai.g_00471	Prbk.g_00324
OG0000433	Prai.g_00472	Prbk.g_00323
OG0000434	Prai.g_00473	Prbk.g_00321
OG0000435	Prai.g_00474	Prbk.g_00320
OG0000436	Prai.g_00475	Prbk.g_00319
OG0000437	Prai.g_00476	Prbk.g_00318
OG0000438	Prai.g_00477	Prbk.g_00317
OG0000439	Prai.g_00478	Prbk.g_00316
OG0000440	Prai.g_00479	Prbk.g_00315
OG0000441	Prai.g_00480	Prbk.g_00311
OG0000442	Prai.g_00481	Prbk.g_00310
OG0000443	Prai.g_00482	Prbk.g_00309
OG0000444	Prai.g_00483	Prbk.g_00308
OG0000445	Prai.g_00484	Prbk.g_00301
OG0000446	Prai.g_00486	Prbk.g_00299
OG0000447	Prai.g_00487	Prbk.g_00298
OG0000448	Prai.g_00489	Prbk.g_00295
OG0000449	Prai.g_00492	Prbk.g_02088
OG0000450	Prai.g_00493	Prbk.g_02089
OG0000451	Prai.g_00494	Prbk.g_02092
OG0000452	Prai.g_00495	Prbk.g_02105
OG0000453	Prai.g_00496	Prbk.g_02107
OG0000454	Prai.g_00501	Prbk.g_02109
OG0000455	Prai.g_00503	Prbk.g_02111
OG0000456	Prai.g_00507	Prbk.g_02053
OG0000457	Prai.g_00508	Prbk.g_02056
OG0000458	Prai.g_00509	Prbk.g_02060
OG0000459	Prai.g_00511	Prbk.g_02062
OG0000460	Prai.g_00513	Prbk.g_02064
OG0000461	Prai.g_00514	Prbk.g_02065
OG0000462	Prai.g_00515	Prbk.g_02066
OG0000463	Prai.g_00517	Prbk.g_02069
OG0000464	Prai.g_00518	Prbk.g_02071
OG0000465	Prai.g_00519	Prbk.g_02072
OG0000466	Prai.g_00520	Prbk.g_02073
OG0000467	Prai.g_00521	Prbk.g_02074
OG0000468	Prai.g_00522	Prbk.g_02075
OG0000469	Prai.g_00523	Prbk.g_02076
OG0000470	Prai.g_00524	Prbk.g_02077
OG0000471	Prai.g_00525	Prbk.g_02078
OG0000472	Prai.g_00530	Prbk.g_01865
OG0000473	Prai.g_00531	Prbk.g_01041
OG0000474	Prai.g_00532	Prbk.g_01042
OG0000475	Prai.g_00533	Prbk.g_01043
OG0000476	Prai.g_00535	Prbk.g_01046
OG0000477	Prai.g_00536	Prbk.g_01047
OG0000478	Prai.g_00537	Prbk.g_01048
OG0000479	Prai.g_00538	Prbk.g_01049
OG0000480	Prai.g_00540	Prbk.g_01050
OG0000481	Prai.g_00542	Prbk.g_01051
OG0000482	Prai.g_00543	Prbk.g_01052
OG0000483	Prai.g_00544	Prbk.g_01054
OG0000484	Prai.g_00545	Prbk.g_01055
OG0000485	Prai.g_00546	Prbk.g_01056
OG0000486	Prai.g_00547	Prbk.g_01061
OG0000487	Prai.g_00552	Prbk.g_01066
OG0000488	Prai.g_00553	Prbk.g_01067
OG0000489	Prai.g_00554	Prbk.g_01068
OG0000490	Prai.g_00555	Prbk.g_01070
OG0000491	Prai.g_00556	Prbk.g_01071
OG0000492	Prai.g_00557	Prbk.g_01076
OG0000493	Prai.g_00558	Prbk.g_01965
OG0000494	Prai.g_00559	Prbk.g_01772
OG0000495	Prai.g_00562	Prbk.g_01081
OG0000496	Prai.g_00563	Prbk.g_01083
OG0000497	Prai.g_00564	Prbk.g_01085
OG0000498	Prai.g_00565	Prbk.g_01086
OG0000499	Prai.g_00566	Prbk.g_01092
OG0000500	Prai.g_00568	Prbk.g_01095
OG0000501	Prai.g_00569	Prbk.g_01097
OG0000502	Prai.g_00570	Prbk.g_01099
OG0000503	Prai.g_00572	Prbk.g_02686
OG0000504	Prai.g_00573	Prbk.g_01898
OG0000505	Prai.g_00574	Prbk.g_01897
OG0000506	Prai.g_00575	Prbk.g_01895
OG0000507	Prai.g_00576	Prbk.g_01894
OG0000508	Prai.g_00577	Prbk.g_01893
OG0000509	Prai.g_00578	Prbk.g_01892
OG0000510	Prai.g_00579	Prbk.g_01891
OG0000511	Prai.g_00581	Prbk.g_01889
OG0000512	Prai.g_00582	Prbk.g_01888
OG0000513	Prai.g_00583	Prbk.g_01887
OG0000514	Prai.g_00584	Prbk.g_01886
OG0000515	Prai.g_00585	Prbk.g_01885
OG0000516	Prai.g_00586	Prbk.g_01884
OG0000517	Prai.g_00588	Prbk.g_01882
OG0000518	Prai.g_00589	Prbk.g_01881
OG0000519	Prai.g_00590	Prbk.g_01879
OG0000520	Prai.g_00592	Prbk.g_01877
OG0000521	Prai.g_00593	Prbk.g_01876
OG0000522	Prai.g_00594	Prbk.g_01875
OG0000523	Prai.g_00595	Prbk.g_01874
OG0000524	Prai.g_00596	Prbk.g_01873
OG0000525	Prai.g_00597	Prbk.g_01871
OG0000526	Prai.g_00598	Prbk.g_01104
OG0000527	Prai.g_00599	Prbk.g_01105
OG0000528	Prai.g_00600	Prbk.g_01106
OG0000529	Prai.g_00601	Prbk.g_01108
OG0000530	Prai.g_00602	Prbk.g_01109
OG0000531	Prai.g_00603	Prbk.g_01110
OG0000532	Prai.g_00604	Prbk.g_01111
OG0000533	Prai.g_00606	Prbk.g_01115
OG0000534	Prai.g_00607	Prbk.g_01116
OG0000535	Prai.g_00608	Prbk.g_01117
OG0000536	Prai.g_00609	Prbk.g_01118
OG0000537	Prai.g_00610	Prbk.g_01119
OG0000538	Prai.g_00611	Prbk.g_01120
OG0000539	Prai.g_00614	Prbk.g_01124
OG0000540	Prai.g_00615	Prbk.g_01125
OG0000541	Prai.g_00616	Prbk.g_01126
OG0000542	Prai.g_00619	Prbk.g_01130
OG0000543	Prai.g_00620	Prbk.g_01131
OG0000544	Prai.g_00621	Prbk.g_01132
OG0000545	Prai.g_00622	Prbk.g_01133
OG0000546	Prai.g_00623	Prbk.g_01139
OG0000547	Prai.g_00624	Prbk.g_01140
OG0000548	Prai.g_00625	Prbk.g_01141
OG0000549	Prai.g_00627	Prbk.g_01143
OG0000550	Prai.g_00628	Prbk.g_01144
OG0000551	Prai.g_00629	Prbk.g_01145
OG0000552	Prai.g_00630	Prbk.g_01146
OG0000553	Prai.g_00631	Prbk.g_01147
OG0000554	Prai.g_00632	Prbk.g_01148
OG0000555	Prai.g_00633	Prbk.g_01151
OG0000556	Prai.g_00634	Prbk.g_01153
OG0000557	Prai.g_00635	Prbk.g_01154
OG0000558	Prai.g_00636	Prbk.g_01155
OG0000559	Prai.g_00637	Prbk.g_01156
OG0000560	Prai.g_00638	Prbk.g_01157
OG0000561	Prai.g_00639	Prbk.g_01158
OG0000562	Prai.g_00640	Prbk.g_01159
OG0000563	Prai.g_00641	Prbk.g_01161
OG0000564	Prai.g_00642	Prbk.g_01163
OG0000565	Prai.g_00643	Prbk.g_02602
OG0000566	Prai.g_00644	Prbk.g_02603
OG0000567	Prai.g_00645	Prbk.g_02604
OG0000568	Prai.g_00646	Prbk.g_02605
OG0000569	Prai.g_00650	Prbk.g_02608
OG0000570	Prai.g_00651	Prbk.g_02609
OG0000571	Prai.g_00653	Prbk.g_02611
