Orthogroup	Prai	Prah
OG0000048	Prai.g_00154	Prah.g_02219
OG0000049	Prai.g_01859	Prah.g_02195
OG0000050	Prai.g_00177	Prah.g_00957, Prah.g_02304
OG0000051	Prai.g_00373	Prah.g_00688
OG0000053	Prai.g_00748	Prah.g_00958, Prah.g_00887
OG0000054	Prai.g_01631	Prah.g_01666
OG0000055	Prai.g_01838	Prah.g_00150
OG0000056	Prai.g_00031	Prah.g_00038
OG0000057	Prai.g_00168, Prai.g_01288	Prah.g_02295
OG0000058	Prai.g_00383	Prah.g_01660
OG0000059	Prai.g_00567	Prah.g_01485
OG0000060	Prai.g_00761	Prah.g_00873
OG0000061	Prai.g_00909	Prah.g_01812
OG0000062	Prai.g_00825	Prah.g_00641
OG0000063	Prai.g_01132	Prah.g_02425
OG0000066	Prai.g_00505	Prah.g_00312
OG0000067	Prai.g_00727	Prah.g_01027
OG0000070	Prai.g_00918	Prah.g_00915
OG0000071	Prai.g_01273	Prah.g_01257
OG0000072	Prai.g_01335	Prah.g_01364
OG0000074	Prai.g_01443	Prah.g_02192
OG0000075	Prai.g_01782	Prah.g_01995
OG0000077	Prai.g_00011	Prah.g_00013
OG0000078	Prai.g_00335	Prah.g_02187
OG0000079	Prai.g_00393	Prah.g_02538
OG0000080	Prai.g_00698	Prah.g_00445
OG0000081	Prai.g_00720	Prah.g_00974
OG0000082	Prai.g_00841, Prai.g_00840	Prah.g_00660
OG0000083	Prai.g_01064	Prah.g_01190
OG0000084	Prai.g_00989	Prah.g_00796
OG0000085	Prai.g_01107	Prah.g_02597
OG0000086	Prai.g_01143	Prah.g_02524
OG0000088	Prai.g_01233	Prah.g_01081
OG0000090	Prai.g_01393	Prah.g_02191
OG0000091	Prai.g_01471	Prah.g_00398
OG0000092	Prai.g_01270	Prah.g_01609
OG0000093	Prai.g_00743	Prah.g_02043
OG0000094	Prai.g_01779	Prah.g_01999, Prah.g_01797
OG0000095	Prai.g_01812	Prah.g_02230
OG0000096	Prai.g_01884	Prah.g_00052
OG0000097	Prai.g_01901	Prah.g_02533
OG0000098	Prai.g_00003	Prah.g_00004
OG0000099	Prai.g_00023	Prah.g_00029
OG0000101	Prai.g_00056	Prah.g_02458
OG0000102	Prai.g_00113	Prah.g_00194
OG0000103	Prai.g_00121	Prah.g_00176, Prah.g_00180
OG0000104	Prai.g_00139	Prah.g_02268
OG0000105	Prai.g_00181	Prah.g_02308
OG0000106	Prai.g_00195	Prah.g_02324
OG0000107	Prai.g_00203	Prah.g_02352
OG0000108	Prai.g_00213	Prah.g_02362
OG0000109	Prai.g_00250	Prah.g_01773
OG0000110	Prai.g_00264	Prah.g_02089
OG0000111	Prai.g_00287, Prai.g_00286	Prah.g_02126
OG0000112	Prai.g_00430	Prah.g_02139
OG0000113	Prai.g_00310	Prah.g_02155
OG0000114	Prai.g_00338	Prah.g_02207
OG0000115	Prai.g_00504	Prah.g_00311
OG0000116	Prai.g_00506	Prah.g_00313, Prah.g_00314
OG0000117	Prai.g_00510	Prah.g_01566
OG0000118	Prai.g_00529	Prah.g_01544
OG0000119	Prai.g_00560	Prah.g_00108, Prah.g_01503
OG0000120	Prai.g_00561	Prah.g_01501
OG0000121	Prai.g_00571	Prah.g_01476
OG0000122	Prai.g_00580	Prah.g_01465
OG0000123	Prai.g_00612	Prah.g_01428
OG0000124	Prai.g_00680	Prah.g_00474
OG0000125	Prai.g_00681	Prah.g_00473
OG0000126	Prai.g_00682	Prah.g_00472
OG0000127	Prai.g_00715	Prah.g_01758
OG0000128	Prai.g_00750	Prah.g_00885
OG0000129	Prai.g_00770	Prah.g_00752
OG0000130	Prai.g_00862	Prah.g_01231, Prah.g_01233
OG0000131	Prai.g_00850	Prah.g_01823, Prah.g_00669
OG0000132	Prai.g_00813	Prah.g_00605
OG0000133	Prai.g_01030	Prah.g_00699
OG0000134	Prai.g_01021	Prah.g_00692
OG0000135	Prai.g_00985	Prah.g_00805
OG0000136	Prai.g_00921	Prah.g_00912
OG0000137	Prai.g_01146	Prah.g_02526
OG0000138	Prai.g_01167	Prah.g_01328
OG0000139	Prai.g_01177	Prah.g_01315
OG0000140	Prai.g_01230	Prah.g_01237, Prah.g_01238
OG0000141	Prai.g_01238	Prah.g_00905
OG0000142	Prai.g_01347	Prah.g_01378
OG0000143	Prai.g_01370	Prah.g_01576
OG0000144	Prai.g_01450	Prah.g_00424
OG0000145	Prai.g_01464	Prah.g_00407
OG0000146	Prai.g_01499	Prah.g_00361
OG0000147	Prai.g_01539, Prai.g_00415	Prah.g_01653
OG0000148	Prai.g_01540	Prah.g_01654
OG0000149	Prai.g_01636	Prah.g_01672
OG0000150	Prai.g_01674	Prah.g_01725
OG0000151	Prai.g_01677	Prah.g_01728
OG0000152	Prai.g_01696	Prah.g_01762
OG0000153	Prai.g_01735	Prah.g_02038
OG0000154	Prai.g_01777	Prah.g_02001
OG0000155	Prai.g_01795	Prah.g_01981
OG0000156	Prai.g_01823	Prah.g_02244
OG0000157	Prai.g_01855	Prah.g_00089
OG0000158	Prai.g_01918	Prah.g_02578
OG0000160	Prai.g_00001	Prah.g_00002
OG0000161	Prai.g_00002	Prah.g_00003
OG0000162	Prai.g_00004	Prah.g_00005
OG0000163	Prai.g_00005	Prah.g_00006
OG0000164	Prai.g_00006	Prah.g_00007
OG0000165	Prai.g_00007	Prah.g_00008
OG0000166	Prai.g_00008	Prah.g_00010
OG0000167	Prai.g_00009	Prah.g_00011
OG0000168	Prai.g_00010	Prah.g_00012
OG0000169	Prai.g_00012	Prah.g_00014
OG0000170	Prai.g_00014	Prah.g_00016
OG0000171	Prai.g_00015	Prah.g_00017
OG0000172	Prai.g_00016	Prah.g_00022
OG0000173	Prai.g_00017	Prah.g_00023
OG0000174	Prai.g_00018	Prah.g_00024
OG0000175	Prai.g_00019	Prah.g_00025
OG0000176	Prai.g_00020	Prah.g_00026
OG0000177	Prai.g_00021	Prah.g_00027
OG0000178	Prai.g_00022	Prah.g_00028
OG0000179	Prai.g_00024	Prah.g_00030
OG0000180	Prai.g_00025	Prah.g_00031
OG0000181	Prai.g_00026	Prah.g_00032
OG0000182	Prai.g_00027	Prah.g_00033
OG0000183	Prai.g_00028	Prah.g_00034
OG0000184	Prai.g_00029	Prah.g_00036
OG0000185	Prai.g_00032	Prah.g_00041
OG0000186	Prai.g_00035	Prah.g_00046
OG0000187	Prai.g_00036	Prah.g_00047
OG0000188	Prai.g_00037	Prah.g_00048
OG0000189	Prai.g_00047	Prah.g_00049
OG0000190	Prai.g_00049	Prah.g_00051
OG0000191	Prai.g_00050	Prah.g_02488
OG0000192	Prai.g_00051	Prah.g_02486
OG0000193	Prai.g_00052	Prah.g_02485
OG0000194	Prai.g_00053	Prah.g_02478
OG0000195	Prai.g_00054	Prah.g_02471
OG0000196	Prai.g_00055	Prah.g_02466
OG0000197	Prai.g_00057	Prah.g_02457
OG0000198	Prai.g_00058	Prah.g_02454
OG0000199	Prai.g_00059	Prah.g_02453
OG0000200	Prai.g_00064	Prah.g_01830
OG0000201	Prai.g_00065	Prah.g_01833
OG0000202	Prai.g_00066	Prah.g_01834
OG0000203	Prai.g_00069	Prah.g_01838
OG0000204	Prai.g_00070	Prah.g_01839
OG0000205	Prai.g_00073	Prah.g_01843
OG0000206	Prai.g_00075	Prah.g_01845
OG0000207	Prai.g_00077	Prah.g_01849
OG0000208	Prai.g_00078	Prah.g_01850
OG0000209	Prai.g_00079	Prah.g_01211
OG0000210	Prai.g_00080	Prah.g_01851
OG0000211	Prai.g_00081	Prah.g_01859
OG0000212	Prai.g_00082	Prah.g_01860
OG0000213	Prai.g_00083	Prah.g_01861
OG0000214	Prai.g_00084	Prah.g_01862
OG0000215	Prai.g_00085	Prah.g_01863
OG0000216	Prai.g_00086	Prah.g_01864
OG0000217	Prai.g_00088	Prah.g_01866
OG0000218	Prai.g_00089	Prah.g_01867
OG0000219	Prai.g_00090	Prah.g_01873
OG0000220	Prai.g_00091	Prah.g_01877
OG0000221	Prai.g_00094	Prah.g_01882
OG0000222	Prai.g_00095	Prah.g_01883
OG0000223	Prai.g_00096	Prah.g_01884
OG0000224	Prai.g_00097	Prah.g_01886
OG0000225	Prai.g_00098	Prah.g_01887
OG0000226	Prai.g_00099	Prah.g_01888
OG0000227	Prai.g_00100	Prah.g_01890
OG0000228	Prai.g_00101	Prah.g_01891
OG0000229	Prai.g_00102	Prah.g_01892
OG0000230	Prai.g_00103	Prah.g_01893
OG0000231	Prai.g_00104	Prah.g_01894
OG0000232	Prai.g_00106	Prah.g_01896
OG0000233	Prai.g_00107	Prah.g_01897
OG0000234	Prai.g_00108	Prah.g_01898
OG0000235	Prai.g_00109	Prah.g_01901
OG0000236	Prai.g_00110	Prah.g_01906
OG0000237	Prai.g_00111	Prah.g_01908
OG0000238	Prai.g_00112	Prah.g_00195
OG0000239	Prai.g_00114	Prah.g_00193
OG0000240	Prai.g_00115	Prah.g_00191
OG0000241	Prai.g_00116	Prah.g_00189
OG0000242	Prai.g_00117	Prah.g_00188
OG0000243	Prai.g_00120	Prah.g_00183
OG0000244	Prai.g_00122	Prah.g_00175
OG0000245	Prai.g_00123	Prah.g_00174
OG0000246	Prai.g_00124	Prah.g_00173
OG0000247	Prai.g_00127	Prah.g_02252
OG0000248	Prai.g_00129	Prah.g_02254
OG0000249	Prai.g_00130	Prah.g_02257
OG0000250	Prai.g_00131	Prah.g_02259
OG0000251	Prai.g_00132	Prah.g_02260
OG0000252	Prai.g_00133	Prah.g_02261
OG0000253	Prai.g_00134	Prah.g_02262
OG0000254	Prai.g_00136	Prah.g_02264
OG0000255	Prai.g_00137	Prah.g_02265
OG0000256	Prai.g_00140	Prah.g_02269
OG0000257	Prai.g_00142	Prah.g_02280
OG0000258	Prai.g_00156	Prah.g_02282
OG0000259	Prai.g_00157	Prah.g_02283
OG0000260	Prai.g_00158	Prah.g_02284
OG0000261	Prai.g_00159	Prah.g_02285
OG0000262	Prai.g_00160	Prah.g_02286
OG0000263	Prai.g_00162	Prah.g_02288
OG0000264	Prai.g_00163	Prah.g_02289
OG0000265	Prai.g_00164	Prah.g_02290
OG0000266	Prai.g_00165	Prah.g_02291
OG0000267	Prai.g_00166	Prah.g_02292
OG0000268	Prai.g_00167	Prah.g_02294
OG0000269	Prai.g_00169	Prah.g_02296
OG0000270	Prai.g_00170	Prah.g_02297
OG0000271	Prai.g_00171	Prah.g_02298
OG0000272	Prai.g_00172	Prah.g_02299
OG0000273	Prai.g_00173	Prah.g_02300
OG0000274	Prai.g_00174	Prah.g_02301
OG0000275	Prai.g_00175	Prah.g_02302
OG0000276	Prai.g_00176	Prah.g_02303
OG0000277	Prai.g_00178	Prah.g_02305
OG0000278	Prai.g_00179	Prah.g_02306
OG0000279	Prai.g_00180	Prah.g_02307
OG0000280	Prai.g_00182	Prah.g_02309
OG0000281	Prai.g_00184	Prah.g_02310
OG0000282	Prai.g_00185	Prah.g_02311
OG0000283	Prai.g_00186	Prah.g_02312
OG0000284	Prai.g_00187	Prah.g_02313
OG0000285	Prai.g_00188	Prah.g_02314
OG0000286	Prai.g_00189	Prah.g_02315
OG0000287	Prai.g_00190	Prah.g_02316
OG0000288	Prai.g_00192	Prah.g_00709
OG0000289	Prai.g_00193	Prah.g_02321
OG0000290	Prai.g_00194	Prah.g_02323
OG0000291	Prai.g_00196	Prah.g_02334
OG0000292	Prai.g_00197	Prah.g_02336
OG0000293	Prai.g_00198	Prah.g_02339
OG0000294	Prai.g_00199	Prah.g_02341
OG0000295	Prai.g_00200	Prah.g_02344
OG0000296	Prai.g_00201	Prah.g_02345
OG0000297	Prai.g_00202	Prah.g_02350
OG0000298	Prai.g_00204	Prah.g_02353
OG0000299	Prai.g_00205	Prah.g_02354
OG0000300	Prai.g_00206	Prah.g_02355
OG0000301	Prai.g_00207	Prah.g_02356
OG0000302	Prai.g_00208	Prah.g_02357
OG0000303	Prai.g_00209	Prah.g_02358
OG0000304	Prai.g_00211	Prah.g_02360
OG0000305	Prai.g_00212	Prah.g_02361
OG0000306	Prai.g_00215	Prah.g_02364
OG0000307	Prai.g_00216	Prah.g_02365
OG0000308	Prai.g_00217	Prah.g_02370
OG0000309	Prai.g_00218	Prah.g_02371
OG0000310	Prai.g_00219	Prah.g_02372
OG0000311	Prai.g_00220	Prah.g_02420
OG0000312	Prai.g_00221	Prah.g_02419
OG0000313	Prai.g_00222	Prah.g_02418
OG0000314	Prai.g_00223	Prah.g_02417
OG0000315	Prai.g_00224	Prah.g_02415
OG0000316	Prai.g_00225	Prah.g_02411
OG0000317	Prai.g_00226	Prah.g_02410
OG0000318	Prai.g_00227	Prah.g_02409
OG0000319	Prai.g_00228	Prah.g_02403
OG0000320	Prai.g_00229	Prah.g_02402
OG0000321	Prai.g_00230	Prah.g_02400
OG0000322	Prai.g_00231	Prah.g_02399
OG0000323	Prai.g_00232	Prah.g_02398
OG0000324	Prai.g_00233	Prah.g_02397
OG0000325	Prai.g_00234	Prah.g_02396
OG0000326	Prai.g_00235	Prah.g_02395
OG0000327	Prai.g_00236	Prah.g_02394
OG0000328	Prai.g_00237	Prah.g_02392
OG0000329	Prai.g_00238	Prah.g_02391
OG0000330	Prai.g_00239	Prah.g_02390
OG0000331	Prai.g_00240	Prah.g_01786
OG0000332	Prai.g_00241	Prah.g_01411
OG0000333	Prai.g_00242	Prah.g_01412
OG0000334	Prai.g_00243	Prah.g_01413
OG0000335	Prai.g_00244	Prah.g_01782
OG0000336	Prai.g_00246	Prah.g_01781
OG0000337	Prai.g_00247	Prah.g_01779
OG0000338	Prai.g_00251	Prah.g_01772
OG0000339	Prai.g_00255	Prah.g_02074
OG0000340	Prai.g_00257	Prah.g_02078
OG0000341	Prai.g_00258	Prah.g_02079
OG0000342	Prai.g_00259	Prah.g_02080
OG0000343	Prai.g_00260	Prah.g_02082
OG0000344	Prai.g_00263	Prah.g_02087
OG0000345	Prai.g_00266	Prah.g_02098
OG0000346	Prai.g_00267	Prah.g_02099
OG0000347	Prai.g_00270	Prah.g_02101
OG0000348	Prai.g_00272	Prah.g_02103
OG0000349	Prai.g_00273	Prah.g_02105
OG0000350	Prai.g_00275	Prah.g_02111
OG0000351	Prai.g_00276	Prah.g_01785
OG0000352	Prai.g_00277	Prah.g_02114
OG0000353	Prai.g_00278	Prah.g_02115
OG0000354	Prai.g_00279	Prah.g_02117
OG0000355	Prai.g_00280	Prah.g_02118
OG0000356	Prai.g_00281	Prah.g_02119
OG0000357	Prai.g_00282	Prah.g_02120
OG0000358	Prai.g_00283	Prah.g_02121
OG0000359	Prai.g_00284	Prah.g_02123
OG0000360	Prai.g_00288	Prah.g_02128
OG0000361	Prai.g_00289	Prah.g_02129
OG0000362	Prai.g_00290	Prah.g_02130
OG0000363	Prai.g_00291	Prah.g_02132
OG0000364	Prai.g_00295	Prah.g_02137
OG0000365	Prai.g_00296	Prah.g_02138
OG0000366	Prai.g_00298	Prah.g_02140
OG0000367	Prai.g_00299	Prah.g_02142
OG0000368	Prai.g_00300	Prah.g_02143
OG0000369	Prai.g_00301	Prah.g_02144
OG0000370	Prai.g_00302	Prah.g_02145
OG0000371	Prai.g_00303	Prah.g_02146
OG0000372	Prai.g_00304	Prah.g_02147
OG0000373	Prai.g_00305	Prah.g_02148
OG0000374	Prai.g_00307	Prah.g_02151
OG0000375	Prai.g_00308	Prah.g_02152
OG0000376	Prai.g_00311	Prah.g_02156
OG0000377	Prai.g_00312	Prah.g_02157
OG0000378	Prai.g_00313	Prah.g_02158
OG0000379	Prai.g_00314	Prah.g_02159
OG0000380	Prai.g_00315	Prah.g_02166
OG0000381	Prai.g_00316	Prah.g_02167
OG0000382	Prai.g_00317	Prah.g_02168
OG0000383	Prai.g_00318	Prah.g_02170
OG0000384	Prai.g_00321	Prah.g_02172
OG0000385	Prai.g_00322	Prah.g_02173
OG0000386	Prai.g_00323	Prah.g_02174
OG0000387	Prai.g_00324	Prah.g_02175
OG0000388	Prai.g_00325	Prah.g_02176
OG0000389	Prai.g_00326	Prah.g_02177
OG0000390	Prai.g_00327	Prah.g_02178
OG0000391	Prai.g_00328	Prah.g_02179
OG0000392	Prai.g_00329	Prah.g_02180
OG0000393	Prai.g_00330	Prah.g_02181
OG0000394	Prai.g_00331	Prah.g_02182
OG0000395	Prai.g_00332	Prah.g_02183
OG0000396	Prai.g_00334	Prah.g_02186
OG0000397	Prai.g_00336	Prah.g_02197
OG0000398	Prai.g_00337	Prah.g_02199
OG0000399	Prai.g_00340	Prah.g_01956
OG0000400	Prai.g_00341	Prah.g_01949
OG0000401	Prai.g_00342	Prah.g_01948
OG0000402	Prai.g_00347	Prah.g_01940
OG0000403	Prai.g_00348	Prah.g_01938
OG0000404	Prai.g_00349	Prah.g_01937
OG0000405	Prai.g_00351	Prah.g_01935
OG0000406	Prai.g_00354	Prah.g_01930
OG0000407	Prai.g_00355	Prah.g_01929
OG0000408	Prai.g_00357	Prah.g_01922
OG0000409	Prai.g_00358	Prah.g_01921
OG0000410	Prai.g_00359	Prah.g_01920
OG0000411	Prai.g_00360	Prah.g_01919
OG0000412	Prai.g_00361	Prah.g_01918
OG0000413	Prai.g_00362	Prah.g_01917
OG0000414	Prai.g_00363	Prah.g_01916
OG0000415	Prai.g_00364	Prah.g_01915
OG0000416	Prai.g_00367	Prah.g_00204
OG0000417	Prai.g_00368	Prah.g_00205
OG0000418	Prai.g_00369	Prah.g_00208
OG0000419	Prai.g_00370	Prah.g_00209
OG0000420	Prai.g_00372	Prah.g_00579
OG0000421	Prai.g_00384	Prah.g_01837
OG0000422	Prai.g_00390	Prah.g_01661
OG0000423	Prai.g_00392	Prah.g_01181
OG0000424	Prai.g_00397	Prah.g_02072
OG0000425	Prai.g_00462	Prah.g_00218
OG0000426	Prai.g_00463	Prah.g_00219
OG0000427	Prai.g_00464	Prah.g_00221
OG0000428	Prai.g_00466	Prah.g_00229
OG0000429	Prai.g_00467	Prah.g_00230
OG0000430	Prai.g_00469	Prah.g_00232
OG0000431	Prai.g_00470	Prah.g_00233
OG0000432	Prai.g_00471	Prah.g_00234
OG0000433	Prai.g_00472	Prah.g_00235
OG0000434	Prai.g_00473	Prah.g_00237
OG0000435	Prai.g_00474	Prah.g_00238
OG0000436	Prai.g_00475	Prah.g_00239
OG0000437	Prai.g_00476	Prah.g_00240
OG0000438	Prai.g_00477	Prah.g_00241
OG0000439	Prai.g_00478	Prah.g_00242
OG0000440	Prai.g_00479	Prah.g_00247
OG0000441	Prai.g_00480	Prah.g_00251
OG0000442	Prai.g_00481	Prah.g_00252
OG0000443	Prai.g_00482	Prah.g_00253
OG0000444	Prai.g_00483	Prah.g_00254
OG0000445	Prai.g_00484	Prah.g_00255
OG0000446	Prai.g_00486	Prah.g_00257
OG0000447	Prai.g_00487	Prah.g_00258
OG0000448	Prai.g_00489	Prah.g_00261
OG0000449	Prai.g_00492	Prah.g_00290
OG0000450	Prai.g_00493	Prah.g_00291
OG0000451	Prai.g_00494	Prah.g_00294
OG0000452	Prai.g_00495	Prah.g_00304
OG0000453	Prai.g_00496	Prah.g_00306
OG0000454	Prai.g_00501	Prah.g_00308
OG0000455	Prai.g_00503	Prah.g_00310
OG0000456	Prai.g_00507	Prah.g_01575
OG0000457	Prai.g_00508	Prah.g_01572
OG0000458	Prai.g_00509	Prah.g_01567
OG0000459	Prai.g_00511	Prah.g_01565
OG0000460	Prai.g_00513	Prah.g_01563
OG0000461	Prai.g_00514	Prah.g_01562
OG0000462	Prai.g_00515	Prah.g_01561
OG0000463	Prai.g_00517	Prah.g_01558
OG0000464	Prai.g_00518	Prah.g_01556
OG0000465	Prai.g_00519	Prah.g_01555
OG0000466	Prai.g_00520	Prah.g_01554
OG0000467	Prai.g_00521	Prah.g_01553
OG0000468	Prai.g_00522	Prah.g_01552
OG0000469	Prai.g_00523	Prah.g_01551
OG0000470	Prai.g_00524	Prah.g_01550
OG0000471	Prai.g_00525	Prah.g_01549
OG0000472	Prai.g_00530	Prah.g_01541
OG0000473	Prai.g_00531	Prah.g_01540
OG0000474	Prai.g_00532	Prah.g_01539
OG0000475	Prai.g_00533	Prah.g_01538
OG0000476	Prai.g_00535	Prah.g_01535
OG0000477	Prai.g_00536	Prah.g_01534
OG0000478	Prai.g_00537	Prah.g_01533
OG0000479	Prai.g_00538	Prah.g_01532
OG0000480	Prai.g_00540	Prah.g_01530
OG0000481	Prai.g_00542	Prah.g_01529
OG0000482	Prai.g_00543	Prah.g_01528
OG0000483	Prai.g_00544	Prah.g_01526
OG0000484	Prai.g_00545	Prah.g_01525
OG0000485	Prai.g_00546	Prah.g_01524
OG0000486	Prai.g_00547	Prah.g_01519
OG0000487	Prai.g_00552	Prah.g_01514
OG0000488	Prai.g_00553	Prah.g_01513
OG0000489	Prai.g_00554	Prah.g_01512
OG0000490	Prai.g_00555	Prah.g_01510
OG0000491	Prai.g_00556	Prah.g_01509
OG0000492	Prai.g_00557	Prah.g_01505
OG0000493	Prai.g_00558	Prah.g_01094
OG0000494	Prai.g_00559	Prah.g_01035
OG0000495	Prai.g_00562	Prah.g_01500
OG0000496	Prai.g_00563	Prah.g_01498
OG0000497	Prai.g_00564	Prah.g_01496
OG0000498	Prai.g_00565	Prah.g_01495
OG0000499	Prai.g_00566	Prah.g_01489
OG0000500	Prai.g_00568	Prah.g_01484
OG0000501	Prai.g_00569	Prah.g_01482
OG0000502	Prai.g_00570	Prah.g_01480
OG0000503	Prai.g_00572	Prah.g_01474
OG0000504	Prai.g_00573	Prah.g_01473
OG0000505	Prai.g_00574	Prah.g_01472
OG0000506	Prai.g_00575	Prah.g_01470
OG0000507	Prai.g_00576	Prah.g_01469
OG0000508	Prai.g_00577	Prah.g_01468
OG0000509	Prai.g_00578	Prah.g_01467
OG0000510	Prai.g_00579	Prah.g_01466
OG0000511	Prai.g_00581	Prah.g_01464
OG0000512	Prai.g_00582	Prah.g_01463
OG0000513	Prai.g_00583	Prah.g_01462
OG0000514	Prai.g_00584	Prah.g_01461
OG0000515	Prai.g_00585	Prah.g_01460
OG0000516	Prai.g_00586	Prah.g_01459
OG0000517	Prai.g_00588	Prah.g_01458
OG0000518	Prai.g_00589	Prah.g_01457
OG0000519	Prai.g_00590	Prah.g_01454
OG0000520	Prai.g_00592	Prah.g_01452
OG0000521	Prai.g_00593	Prah.g_01451
OG0000522	Prai.g_00594	Prah.g_01450
OG0000523	Prai.g_00595	Prah.g_01449
OG0000524	Prai.g_00596	Prah.g_01448
OG0000525	Prai.g_00597	Prah.g_01446
OG0000526	Prai.g_00598	Prah.g_01445
OG0000527	Prai.g_00599	Prah.g_01444
OG0000528	Prai.g_00600	Prah.g_01443
OG0000529	Prai.g_00601	Prah.g_01441
OG0000530	Prai.g_00602	Prah.g_01440
OG0000531	Prai.g_00603	Prah.g_01439
OG0000532	Prai.g_00604	Prah.g_01438
OG0000533	Prai.g_00606	Prah.g_01434
OG0000534	Prai.g_00607	Prah.g_01433
OG0000535	Prai.g_00608	Prah.g_01432
OG0000536	Prai.g_00609	Prah.g_01431
OG0000537	Prai.g_00610	Prah.g_01430
OG0000538	Prai.g_00611	Prah.g_01429
OG0000539	Prai.g_00614	Prah.g_01425
OG0000540	Prai.g_00615	Prah.g_01424
OG0000541	Prai.g_00616	Prah.g_01423
OG0000542	Prai.g_00619	Prah.g_01417
OG0000543	Prai.g_00620	Prah.g_01416
OG0000544	Prai.g_00621	Prah.g_01415
OG0000545	Prai.g_00622	Prah.g_01414
OG0000546	Prai.g_00623	Prah.g_01408
OG0000547	Prai.g_00624	Prah.g_01407
OG0000548	Prai.g_00625	Prah.g_01406
OG0000549	Prai.g_00627	Prah.g_01404
OG0000550	Prai.g_00628	Prah.g_01403
OG0000551	Prai.g_00629	Prah.g_01402
OG0000552	Prai.g_00630	Prah.g_01401
OG0000553	Prai.g_00631	Prah.g_01400
OG0000554	Prai.g_00632	Prah.g_01399
OG0000555	Prai.g_00633	Prah.g_01396
OG0000556	Prai.g_00634	Prah.g_01394
OG0000557	Prai.g_00635	Prah.g_01393
OG0000558	Prai.g_00636	Prah.g_01392
OG0000559	Prai.g_00637	Prah.g_01391
OG0000560	Prai.g_00638	Prah.g_01390
OG0000561	Prai.g_00639	Prah.g_01389
OG0000562	Prai.g_00640	Prah.g_01388
OG0000563	Prai.g_00641	Prah.g_01387
OG0000564	Prai.g_00642	Prah.g_01385
OG0000565	Prai.g_00643	Prah.g_00532
OG0000566	Prai.g_00644	Prah.g_00531
OG0000567	Prai.g_00645	Prah.g_00530
OG0000568	Prai.g_00646	Prah.g_00529
OG0000569	Prai.g_00650	Prah.g_00526
OG0000570	Prai.g_00651	Prah.g_00525
OG0000571	Prai.g_00653	Prah.g_00523
OG0000572	Prai.g_00654	Prah.g_00518
OG0000573	Prai.g_00655	Prah.g_00517
OG0000574	Prai.g_00656	Prah.g_00516
OG0000575	Prai.g_00657	Prah.g_00513
OG0000576	Prai.g_00658	Prah.g_00510
OG0000577	Prai.g_00659	Prah.g_00509
OG0000578	Prai.g_00660	Prah.g_00506
OG0000579	Prai.g_00661	Prah.g_00505
OG0000580	Prai.g_00662	Prah.g_00504
OG0000581	Prai.g_00663	Prah.g_00503
OG0000582	Prai.g_00664	Prah.g_00501
OG0000583	Prai.g_00665	Prah.g_00500
OG0000584	Prai.g_00667	Prah.g_00498
OG0000585	Prai.g_00668	Prah.g_00497
OG0000586	Prai.g_00669	Prah.g_00495
OG0000587	Prai.g_00670	Prah.g_00494
