Orthogroup	Syac	Prap
OG0000079	Syac.g_02211	Prap.g_01459
OG0000081	Syac.g_01954	Prap.g_01238
OG0000082	Syac.g_01766	Prap.g_01183, Prap.g_01790
OG0000084	Syac.g_01627	Prap.g_00118
OG0000085	Syac.g_00560	Prap.g_01787, Prap.g_01917
OG0000086	Syac.g_00423	Prap.g_01090
OG0000087	Syac.g_00343	Prap.g_01035
OG0000088	Syac.g_00308	Prap.g_01004
OG0000089	Syac.g_01988, Syac.g_01543	Prap.g_01349
OG0000090	Syac.g_01836	Prap.g_01236
OG0000091	Syac.g_00987	Prap.g_00384
OG0000097	Syac.g_01507	Prap.g_00410
OG0000098	Syac.g_02157	Prap.g_01928
OG0000099	Syac.g_00234	Prap.g_00082
OG0000100	Syac.g_01309	Prap.g_00200
OG0000101	Syac.g_02094	Prap.g_01642
OG0000102	Syac.g_00151	Prap.g_01575
OG0000103	Syac.g_02476	Prap.g_01491
OG0000104	Syac.g_02490	Prap.g_01869
OG0000105	Syac.g_02245	Prap.g_01436
OG0000106	Syac.g_01098	Prap.g_00591
OG0000107	Syac.g_02191	Prap.g_01714
OG0000108	Syac.g_01904	Prap.g_01287
OG0000109	Syac.g_01889	Prap.g_01273
OG0000110	Syac.g_01778	Prap.g_01194
OG0000112	Syac.g_01173	Prap.g_01121
OG0000113	Syac.g_01314	Prap.g_00760
OG0000114	Syac.g_01394	Prap.g_00858
OG0000115	Syac.g_01655	Prap.g_00525
OG0000116	Syac.g_00753	Prap.g_00467
OG0000117	Syac.g_01477	Prap.g_00429
OG0000118	Syac.g_01728	Prap.g_00574
OG0000120	Syac.g_00233	Prap.g_00079
OG0000121	Syac.g_01635	Prap.g_00123
OG0000122	Syac.g_01013	Prap.g_00532, Prap.g_00164
OG0000123	Syac.g_02086	Prap.g_01635
OG0000124	Syac.g_00135	Prap.g_01563
OG0000125	Syac.g_02360	Prap.g_01528
OG0000126	Syac.g_02488	Prap.g_01870
OG0000128	Syac.g_00012	Prap.g_00043
OG0000129	Syac.g_02349	Prap.g_00910
OG0000130	Syac.g_00450	Prap.g_00881
OG0000131	Syac.g_00330	Prap.g_01026
OG0000132	Syac.g_00310	Prap.g_01006
OG0000133	Syac.g_01178	Prap.g_01389
OG0000134	Syac.g_01985	Prap.g_01347
OG0000135	Syac.g_02398	Prap.g_00543
OG0000136	Syac.g_00701	Prap.g_01325
OG0000137	Syac.g_01700	Prap.g_01292
OG0000138	Syac.g_01888	Prap.g_01272
OG0000139	Syac.g_01830	Prap.g_01232
OG0000140	Syac.g_01829	Prap.g_01231
OG0000141	Syac.g_00934	Prap.g_01160
OG0000142	Syac.g_00979	Prap.g_00392
OG0000143	Syac.g_00983	Prap.g_00388
OG0000144	Syac.g_01090	Prap.g_00374
OG0000145	Syac.g_01882	Prap.g_00545
OG0000146	Syac.g_01172	Prap.g_01122
OG0000147	Syac.g_01171	Prap.g_01123
OG0000148	Syac.g_01320	Prap.g_00766
OG0000149	Syac.g_00832	Prap.g_00734
OG0000150	Syac.g_00935	Prap.g_00724
OG0000151	Syac.g_01383	Prap.g_00848
OG0000152	Syac.g_01182	Prap.g_00257
OG0000153	Syac.g_01217	Prap.g_00276
OG0000154	Syac.g_01241	Prap.g_00296
OG0000155	Syac.g_00804	Prap.g_00435
OG0000156	Syac.g_00743	Prap.g_00550
OG0000157	Syac.g_00742	Prap.g_00551
OG0000158	Syac.g_00182	Prap.g_01598
OG0000160	Syac.g_01633	Prap.g_00122
OG0000161	Syac.g_01641	Prap.g_00128
OG0000162	Syac.g_01648	Prap.g_00134
OG0000163	Syac.g_00619	Prap.g_00173
OG0000164	Syac.g_00508	Prap.g_01754
OG0000165	Syac.g_00674	Prap.g_01747
OG0000166	Syac.g_02132	Prap.g_01680
OG0000167	Syac.g_00194	Prap.g_01608
OG0000168	Syac.g_00179	Prap.g_01597
OG0000169	Syac.g_00168	Prap.g_01587
OG0000170	Syac.g_00161	Prap.g_01584
OG0000171	Syac.g_00136	Prap.g_01564
OG0000172	Syac.g_00084	Prap.g_01557
OG0000173	Syac.g_00057	Prap.g_01542
OG0000174	Syac.g_02401	Prap.g_01513
OG0000175	Syac.g_02465	Prap.g_01500
OG0000176	Syac.g_00004	Prap.g_00050
OG0000177	Syac.g_00005	Prap.g_00049
OG0000178	Syac.g_00006	Prap.g_00048
OG0000179	Syac.g_00019	Prap.g_00939
OG0000180	Syac.g_00020	Prap.g_00938
OG0000181	Syac.g_00021	Prap.g_00937
OG0000182	Syac.g_00022	Prap.g_00936
OG0000183	Syac.g_00026	Prap.g_00932
OG0000184	Syac.g_02339	Prap.g_00906
OG0000185	Syac.g_02336	Prap.g_00903
OG0000186	Syac.g_00454	Prap.g_00887
OG0000187	Syac.g_00453	Prap.g_00886
OG0000188	Syac.g_00433	Prap.g_01096
OG0000189	Syac.g_00408	Prap.g_01082
OG0000190	Syac.g_00406	Prap.g_01080
OG0000191	Syac.g_00373	Prap.g_01057
OG0000192	Syac.g_00368	Prap.g_01052
OG0000193	Syac.g_00329	Prap.g_01025
OG0000194	Syac.g_00326	Prap.g_01022
OG0000195	Syac.g_00324	Prap.g_01020
OG0000196	Syac.g_00313	Prap.g_01009
OG0000197	Syac.g_00312	Prap.g_01008
OG0000198	Syac.g_00311	Prap.g_01007
OG0000199	Syac.g_00303	Prap.g_01000
OG0000200	Syac.g_02261	Prap.g_00986
OG0000202	Syac.g_02279	Prap.g_00976
OG0000203	Syac.g_02280	Prap.g_00975
OG0000204	Syac.g_02281	Prap.g_00974
OG0000205	Syac.g_02288	Prap.g_00967
OG0000206	Syac.g_02297	Prap.g_00962
OG0000207	Syac.g_02300	Prap.g_00959
OG0000208	Syac.g_02301	Prap.g_00958
OG0000209	Syac.g_02316	Prap.g_00949
OG0000210	Syac.g_02317	Prap.g_00948
OG0000211	Syac.g_01972	Prap.g_01479
OG0000212	Syac.g_01963	Prap.g_01471
OG0000213	Syac.g_02219	Prap.g_01453
OG0000214	Syac.g_02236	Prap.g_01443
OG0000215	Syac.g_00281	Prap.g_01416
OG0000216	Syac.g_00277	Prap.g_01415
OG0000217	Syac.g_00273	Prap.g_01412
OG0000218	Syac.g_00271	Prap.g_01410
OG0000219	Syac.g_00270	Prap.g_01409
OG0000220	Syac.g_00269	Prap.g_01408
OG0000221	Syac.g_00261	Prap.g_01407
OG0000222	Syac.g_00247	Prap.g_01400
OG0000223	Syac.g_00225	Prap.g_01388
OG0000224	Syac.g_00217	Prap.g_01386
OG0000225	Syac.g_02004	Prap.g_01360
OG0000226	Syac.g_02000	Prap.g_01356
OG0000227	Syac.g_01998	Prap.g_01354
OG0000228	Syac.g_01989	Prap.g_01350
OG0000229	Syac.g_00692	Prap.g_01330
OG0000230	Syac.g_00694	Prap.g_01328
OG0000231	Syac.g_00710	Prap.g_01317
OG0000232	Syac.g_01717	Prap.g_01306
OG0000233	Syac.g_01713	Prap.g_01300
OG0000234	Syac.g_01699	Prap.g_01291
OG0000235	Syac.g_01905	Prap.g_01288
OG0000236	Syac.g_01890	Prap.g_01274
OG0000237	Syac.g_01873	Prap.g_01261
OG0000238	Syac.g_01868	Prap.g_01255
OG0000239	Syac.g_01852	Prap.g_01244
OG0000240	Syac.g_01851	Prap.g_01243
OG0000241	Syac.g_00970	Prap.g_01239
OG0000242	Syac.g_01839	Prap.g_01237
OG0000243	Syac.g_01821	Prap.g_01226
OG0000244	Syac.g_01814	Prap.g_01223
OG0000245	Syac.g_01811	Prap.g_01221
OG0000246	Syac.g_01807	Prap.g_01217
OG0000247	Syac.g_01795	Prap.g_01207
OG0000248	Syac.g_01792	Prap.g_01204
OG0000249	Syac.g_01790	Prap.g_01202
OG0000250	Syac.g_01782	Prap.g_01197
OG0000251	Syac.g_01757	Prap.g_01177
OG0000252	Syac.g_01753	Prap.g_01174
OG0000253	Syac.g_01752	Prap.g_01173
OG0000254	Syac.g_00939	Prap.g_01156
OG0000255	Syac.g_00947	Prap.g_01150
OG0000256	Syac.g_00963	Prap.g_01140
OG0000257	Syac.g_00969	Prap.g_00397
OG0000258	Syac.g_00988	Prap.g_00383
OG0000259	Syac.g_01425	Prap.g_00366
OG0000260	Syac.g_01422	Prap.g_00363
OG0000261	Syac.g_01418	Prap.g_00360
OG0000262	Syac.g_01413	Prap.g_00356
OG0000263	Syac.g_01497	Prap.g_00820
OG0000264	Syac.g_00915	Prap.g_00809
OG0000265	Syac.g_00673	Prap.g_00791
OG0000266	Syac.g_01271	Prap.g_00337
OG0000267	Syac.g_01131	Prap.g_00325
OG0000268	Syac.g_01132	Prap.g_00324
OG0000269	Syac.g_01346	Prap.g_00788
OG0000270	Syac.g_01343	Prap.g_00785
OG0000271	Syac.g_01335	Prap.g_00777
OG0000272	Syac.g_01334	Prap.g_00776
OG0000273	Syac.g_00854	Prap.g_00752
OG0000274	Syac.g_00853	Prap.g_00751
OG0000275	Syac.g_00848	Prap.g_00748
OG0000276	Syac.g_00840	Prap.g_00742
OG0000277	Syac.g_00839	Prap.g_00741
OG0000278	Syac.g_00836	Prap.g_00738
OG0000279	Syac.g_00828	Prap.g_00731
OG0000280	Syac.g_00814	Prap.g_00730
OG0000281	Syac.g_02158	Prap.g_00723
OG0000282	Syac.g_01392	Prap.g_00856
OG0000283	Syac.g_01142	Prap.g_00680
OG0000284	Syac.g_01148	Prap.g_00675
OG0000285	Syac.g_01160	Prap.g_00243
OG0000286	Syac.g_01181	Prap.g_00256
OG0000287	Syac.g_01692, Syac.g_01209	Prap.g_00522
OG0000288	Syac.g_01240	Prap.g_00295
OG0000289	Syac.g_01254	Prap.g_00311
OG0000290	Syac.g_00881	Prap.g_00705
OG0000291	Syac.g_00883	Prap.g_00707
OG0000292	Syac.g_02487	Prap.g_00501
OG0000293	Syac.g_00754	Prap.g_00466
OG0000294	Syac.g_00755	Prap.g_00465
OG0000295	Syac.g_00796	Prap.g_00442
OG0000296	Syac.g_00798	Prap.g_00440
OG0000297	Syac.g_01475	Prap.g_00431
OG0000298	Syac.g_01476	Prap.g_00430
OG0000299	Syac.g_01503	Prap.g_00411
OG0000300	Syac.g_01510	Prap.g_00408
OG0000301	Syac.g_01511	Prap.g_00407
OG0000302	Syac.g_01512	Prap.g_00405
OG0000303	Syac.g_01520	Prap.g_00399
OG0000304	Syac.g_01526	Prap.g_01135
OG0000305	Syac.g_00886	Prap.g_00499
OG0000306	Syac.g_00810	Prap.g_00719
OG0000307	Syac.g_01924	Prap.g_00068
OG0000308	Syac.g_01926	Prap.g_00069
OG0000309	Syac.g_01931	Prap.g_00073
OG0000310	Syac.g_01607	Prap.g_00107
OG0000311	Syac.g_01611	Prap.g_00109
OG0000312	Syac.g_01619	Prap.g_00112
OG0000313	Syac.g_01638	Prap.g_00125
OG0000314	Syac.g_01665	Prap.g_00148
OG0000315	Syac.g_01675	Prap.g_00158
OG0000316	Syac.g_00601	Prap.g_00183
OG0000317	Syac.g_00552	Prap.g_01782
OG0000318	Syac.g_00543	Prap.g_01778
OG0000319	Syac.g_00525	Prap.g_01765
OG0000320	Syac.g_00523	Prap.g_01763
OG0000321	Syac.g_00522	Prap.g_01762
OG0000322	Syac.g_00521	Prap.g_01761
OG0000323	Syac.g_00506	Prap.g_01751
OG0000324	Syac.g_00648	Prap.g_01724
OG0000325	Syac.g_02190	Prap.g_01713
OG0000326	Syac.g_02183	Prap.g_01706
OG0000327	Syac.g_02137	Prap.g_01685
OG0000328	Syac.g_02136	Prap.g_01684
OG0000329	Syac.g_02119	Prap.g_01667
OG0000330	Syac.g_02118	Prap.g_01666
OG0000331	Syac.g_02117	Prap.g_01665
OG0000332	Syac.g_02103	Prap.g_01651
OG0000333	Syac.g_02100	Prap.g_01648, Prap.g_01649
OG0000334	Syac.g_02090	Prap.g_01639
OG0000335	Syac.g_02085	Prap.g_01634
OG0000336	Syac.g_02081	Prap.g_01630
OG0000337	Syac.g_00199	Prap.g_01612
OG0000338	Syac.g_00196	Prap.g_01611
OG0000339	Syac.g_00190	Prap.g_01605
OG0000340	Syac.g_00178	Prap.g_01596
OG0000341	Syac.g_00176	Prap.g_01594
OG0000342	Syac.g_00175	Prap.g_01593
OG0000343	Syac.g_00174	Prap.g_01592
OG0000344	Syac.g_00170	Prap.g_01589
OG0000345	Syac.g_00160	Prap.g_01583
OG0000346	Syac.g_00155	Prap.g_01579
OG0000347	Syac.g_00129	Prap.g_01562
OG0000348	Syac.g_00070, Syac.g_00074	Prap.g_01554
OG0000349	Syac.g_00050	Prap.g_01537
OG0000350	Syac.g_02176	Prap.g_00623
OG0000351	Syac.g_02468	Prap.g_01497
OG0000352	Syac.g_02469	Prap.g_01496
OG0000353	Syac.g_02493	Prap.g_00055
OG0000355	Syac.g_00001	Prap.g_00053
OG0000356	Syac.g_00002	Prap.g_00052
OG0000357	Syac.g_00003	Prap.g_00051
OG0000358	Syac.g_00007	Prap.g_00047
OG0000359	Syac.g_00009	Prap.g_00046
OG0000360	Syac.g_00010	Prap.g_00045
OG0000361	Syac.g_00011	Prap.g_00044
OG0000362	Syac.g_00013	Prap.g_00042
OG0000363	Syac.g_00015	Prap.g_00941
OG0000364	Syac.g_00016	Prap.g_00940
OG0000365	Syac.g_00023	Prap.g_00935
OG0000366	Syac.g_00024	Prap.g_00934
OG0000367	Syac.g_00025	Prap.g_00933
OG0000368	Syac.g_00027	Prap.g_00931
OG0000369	Syac.g_00028	Prap.g_00930
OG0000370	Syac.g_00029	Prap.g_00929
OG0000371	Syac.g_00036	Prap.g_00922
OG0000372	Syac.g_00041	Prap.g_00919
OG0000373	Syac.g_00042	Prap.g_00918
OG0000374	Syac.g_00043	Prap.g_00917
OG0000375	Syac.g_00046	Prap.g_00915
OG0000376	Syac.g_00048	Prap.g_00913
OG0000377	Syac.g_02346	Prap.g_00909
OG0000378	Syac.g_02338	Prap.g_00905
OG0000379	Syac.g_02335	Prap.g_00902
OG0000380	Syac.g_00452	Prap.g_00885
OG0000381	Syac.g_00449	Prap.g_00880
OG0000382	Syac.g_00434	Prap.g_01097
OG0000383	Syac.g_00432	Prap.g_01095
OG0000384	Syac.g_00431	Prap.g_01094
OG0000385	Syac.g_00430	Prap.g_01093
OG0000386	Syac.g_00429	Prap.g_01092
OG0000387	Syac.g_00404	Prap.g_01078
OG0000388	Syac.g_00401	Prap.g_01074
OG0000389	Syac.g_00397	Prap.g_01071
OG0000390	Syac.g_00379	Prap.g_01061
OG0000391	Syac.g_00374	Prap.g_01058
OG0000392	Syac.g_00369	Prap.g_01054
OG0000393	Syac.g_00366	Prap.g_01051
OG0000394	Syac.g_00365	Prap.g_01050
OG0000395	Syac.g_00364	Prap.g_01049
OG0000396	Syac.g_00361	Prap.g_01047
OG0000397	Syac.g_00359	Prap.g_01045
OG0000398	Syac.g_00354	Prap.g_01042
OG0000399	Syac.g_00353	Prap.g_01041
OG0000400	Syac.g_00352	Prap.g_01040
OG0000401	Syac.g_00351	Prap.g_01039
OG0000402	Syac.g_00348	Prap.g_00319
OG0000403	Syac.g_00347	Prap.g_01037
OG0000404	Syac.g_00345	Prap.g_01036
OG0000405	Syac.g_00332	Prap.g_01032
OG0000406	Syac.g_00328	Prap.g_01024
OG0000407	Syac.g_00327	Prap.g_01023
OG0000408	Syac.g_00325	Prap.g_01021
OG0000409	Syac.g_00323	Prap.g_01019
OG0000410	Syac.g_00322	Prap.g_01018
OG0000411	Syac.g_00321	Prap.g_01017
OG0000412	Syac.g_00320	Prap.g_01016
OG0000413	Syac.g_00318	Prap.g_01014
OG0000414	Syac.g_00317	Prap.g_01013
OG0000415	Syac.g_00316	Prap.g_01012
OG0000416	Syac.g_00315	Prap.g_01011
OG0000417	Syac.g_00314	Prap.g_01010
OG0000418	Syac.g_00309	Prap.g_01005
OG0000419	Syac.g_00307	Prap.g_01003
OG0000420	Syac.g_00305	Prap.g_01002
OG0000421	Syac.g_00300	Prap.g_00997
OG0000422	Syac.g_00299	Prap.g_00996
OG0000423	Syac.g_00298	Prap.g_00995
OG0000424	Syac.g_00297	Prap.g_00994
OG0000425	Syac.g_00296	Prap.g_00993
OG0000426	Syac.g_00295	Prap.g_00992
OG0000427	Syac.g_00294	Prap.g_00991
OG0000428	Syac.g_02257	Prap.g_00989
OG0000429	Syac.g_02259	Prap.g_00988
OG0000430	Syac.g_02260	Prap.g_00987
OG0000431	Syac.g_02264	Prap.g_00985
OG0000432	Syac.g_02270	Prap.g_00981
OG0000433	Syac.g_02272	Prap.g_00980
OG0000434	Syac.g_02273	Prap.g_00979
OG0000435	Syac.g_02277	Prap.g_00978
OG0000436	Syac.g_02282	Prap.g_00973
OG0000437	Syac.g_02283	Prap.g_00972
OG0000438	Syac.g_02284	Prap.g_00971
OG0000439	Syac.g_02286	Prap.g_00969
OG0000440	Syac.g_02287	Prap.g_00968
OG0000441	Syac.g_02294	Prap.g_00965
OG0000442	Syac.g_02295	Prap.g_00964
OG0000443	Syac.g_02296	Prap.g_00963
OG0000444	Syac.g_02303	Prap.g_00957
OG0000445	Syac.g_02304	Prap.g_00956
OG0000446	Syac.g_02305	Prap.g_00955
OG0000447	Syac.g_02308	Prap.g_00954
OG0000448	Syac.g_02309	Prap.g_00953
OG0000449	Syac.g_02310	Prap.g_00952
OG0000450	Syac.g_02313	Prap.g_00951
OG0000451	Syac.g_02314	Prap.g_00950
OG0000452	Syac.g_02318	Prap.g_00947
OG0000453	Syac.g_02319	Prap.g_00946
OG0000454	Syac.g_02320	Prap.g_00945
OG0000455	Syac.g_02321	Prap.g_00944
OG0000456	Syac.g_02322	Prap.g_00943
OG0000457	Syac.g_02324	Prap.g_01487
OG0000458	Syac.g_02325	Prap.g_01486
OG0000459	Syac.g_02326	Prap.g_01485
OG0000460	Syac.g_01970	Prap.g_01477
OG0000461	Syac.g_02198	Prap.g_01469
OG0000462	Syac.g_02201	Prap.g_01467
OG0000463	Syac.g_02202	Prap.g_01466
OG0000464	Syac.g_02203	Prap.g_01465
OG0000465	Syac.g_02204	Prap.g_01464
OG0000466	Syac.g_02208	Prap.g_01461
OG0000467	Syac.g_02210	Prap.g_01460
OG0000468	Syac.g_02216	Prap.g_01457
OG0000469	Syac.g_02230	Prap.g_01449
OG0000470	Syac.g_02232	Prap.g_01447
OG0000471	Syac.g_02233	Prap.g_01446
OG0000472	Syac.g_02235	Prap.g_01444
OG0000473	Syac.g_02237	Prap.g_01442
OG0000474	Syac.g_02238	Prap.g_01441
OG0000475	Syac.g_02239	Prap.g_01440
OG0000476	Syac.g_02241	Prap.g_01438
OG0000477	Syac.g_02247	Prap.g_01435
OG0000478	Syac.g_02248	Prap.g_01434
OG0000479	Syac.g_02249	Prap.g_01433
OG0000480	Syac.g_00293	Prap.g_01428
OG0000481	Syac.g_00291	Prap.g_01425
OG0000482	Syac.g_00290	Prap.g_01424
OG0000483	Syac.g_00286	Prap.g_01421
OG0000484	Syac.g_00285	Prap.g_01420
OG0000485	Syac.g_00284	Prap.g_01418
OG0000486	Syac.g_00283	Prap.g_01417
OG0000487	Syac.g_00276	Prap.g_01414
OG0000488	Syac.g_00272	Prap.g_01411
OG0000489	Syac.g_00260	Prap.g_01406
OG0000490	Syac.g_00249	Prap.g_01402
OG0000491	Syac.g_00248	Prap.g_01401
OG0000492	Syac.g_00246	Prap.g_01399
OG0000493	Syac.g_00245	Prap.g_01398
OG0000494	Syac.g_00244	Prap.g_01397
OG0000495	Syac.g_00243	Prap.g_01396
OG0000496	Syac.g_00242	Prap.g_01395
OG0000497	Syac.g_00241	Prap.g_01394
OG0000498	Syac.g_00240	Prap.g_01393
OG0000499	Syac.g_00239	Prap.g_01392
OG0000500	Syac.g_00238	Prap.g_01391
OG0000501	Syac.g_00235	Prap.g_01390
OG0000502	Syac.g_00223	Prap.g_01387
OG0000503	Syac.g_02020	Prap.g_01372
OG0000504	Syac.g_02018	Prap.g_01370
OG0000505	Syac.g_02017	Prap.g_01369
OG0000506	Syac.g_02015	Prap.g_01368
OG0000507	Syac.g_02009	Prap.g_01365
OG0000508	Syac.g_02005	Prap.g_01361
OG0000509	Syac.g_02003	Prap.g_01359
OG0000510	Syac.g_02002	Prap.g_01358
OG0000511	Syac.g_02001	Prap.g_01357
OG0000512	Syac.g_01999	Prap.g_01355
OG0000513	Syac.g_01984	Prap.g_01346
OG0000514	Syac.g_01977	Prap.g_01335
OG0000515	Syac.g_01976	Prap.g_01334
OG0000516	Syac.g_00697	Prap.g_01333
OG0000517	Syac.g_00691	Prap.g_01331
OG0000518	Syac.g_00707	Prap.g_01320
OG0000519	Syac.g_00708	Prap.g_01319
OG0000520	Syac.g_00709	Prap.g_01318
OG0000521	Syac.g_01721	Prap.g_01310
OG0000522	Syac.g_01719	Prap.g_01308
OG0000523	Syac.g_01718	Prap.g_01307
OG0000524	Syac.g_01716	Prap.g_01302
OG0000525	Syac.g_01709	Prap.g_01298
OG0000526	Syac.g_01706	Prap.g_01297
OG0000527	Syac.g_01702	Prap.g_01294
OG0000528	Syac.g_01911	Prap.g_01289
OG0000529	Syac.g_01903	Prap.g_01286
OG0000530	Syac.g_01900	Prap.g_01283
OG0000531	Syac.g_01899	Prap.g_01282
OG0000532	Syac.g_01896	Prap.g_01280
OG0000533	Syac.g_01895	Prap.g_01279
OG0000534	Syac.g_01894	Prap.g_01278
OG0000535	Syac.g_01893	Prap.g_01277
OG0000536	Syac.g_01892	Prap.g_01276
OG0000537	Syac.g_01891	Prap.g_01275
OG0000538	Syac.g_01880	Prap.g_01266
OG0000539	Syac.g_01879	Prap.g_01265
OG0000540	Syac.g_01878	Prap.g_01264
OG0000541	Syac.g_01877	Prap.g_01263
OG0000542	Syac.g_01874	Prap.g_01262
OG0000543	Syac.g_01872	Prap.g_01260
OG0000544	Syac.g_01871	Prap.g_01259
OG0000545	Syac.g_01869	Prap.g_01257
OG0000546	Syac.g_01867	Prap.g_01254
OG0000547	Syac.g_01865	Prap.g_01252
OG0000548	Syac.g_01864	Prap.g_01251
OG0000549	Syac.g_01858	Prap.g_01249
OG0000550	Syac.g_01854	Prap.g_01245
OG0000551	Syac.g_01849	Prap.g_01242
OG0000552	Syac.g_01848	Prap.g_01241
OG0000553	Syac.g_01846	Prap.g_01240
OG0000554	Syac.g_01835	Prap.g_01235
OG0000555	Syac.g_01822	Prap.g_01227
OG0000556	Syac.g_01817	Prap.g_01225
OG0000557	Syac.g_01815	Prap.g_01224
OG0000558	Syac.g_01813	Prap.g_01222
OG0000559	Syac.g_01808	Prap.g_01218
OG0000560	Syac.g_01805	Prap.g_01215
OG0000561	Syac.g_01804	Prap.g_01214
OG0000562	Syac.g_01803	Prap.g_01213
OG0000563	Syac.g_01802	Prap.g_01212
OG0000564	Syac.g_01801	Prap.g_01211
OG0000565	Syac.g_01797	Prap.g_01209
OG0000566	Syac.g_01793	Prap.g_01205
OG0000567	Syac.g_01789	Prap.g_01201
OG0000568	Syac.g_01786	Prap.g_01200
OG0000569	Syac.g_01785	Prap.g_01199
OG0000570	Syac.g_01784	Prap.g_01198
OG0000571	Syac.g_01780	Prap.g_01196
OG0000572	Syac.g_01765	Prap.g_01182
OG0000573	Syac.g_01755	Prap.g_01176
OG0000574	Syac.g_01754	Prap.g_01175
OG0000575	Syac.g_01750	Prap.g_01171
OG0000576	Syac.g_01748	Prap.g_01169
OG0000577	Syac.g_01747	Prap.g_01168
OG0000578	Syac.g_01746	Prap.g_01167
OG0000579	Syac.g_01745	Prap.g_01166
OG0000580	Syac.g_01744	Prap.g_01165
OG0000581	Syac.g_01738	Prap.g_01162
OG0000582	Syac.g_00936	Prap.g_01159
OG0000583	Syac.g_00937	Prap.g_01158
OG0000584	Syac.g_00938	Prap.g_01157
OG0000585	Syac.g_00940	Prap.g_01155
OG0000586	Syac.g_00941	Prap.g_01154
OG0000587	Syac.g_00943	Prap.g_01153
OG0000588	Syac.g_00949	Prap.g_01149
OG0000589	Syac.g_00953	Prap.g_01147
OG0000590	Syac.g_00954	Prap.g_01146
OG0000591	Syac.g_00961	Prap.g_01142
