Orthogroup	Prbc	Prab
OG0000102	Prbc.g_00458	Prab.g_00104
OG0000103	Prbc.g_00449	Prab.g_00112
OG0000104	Prbc.g_00432	Prab.g_00129
OG0000105	Prbc.g_00401	Prab.g_00161
OG0000106	Prbc.g_00388	Prab.g_00175
OG0000107	Prbc.g_00379	Prab.g_00183
OG0000108	Prbc.g_00369	Prab.g_00193
OG0000109	Prbc.g_00330	Prab.g_00229
OG0000110	Prbc.g_01147	Prab.g_00241
OG0000111	Prbc.g_01167	Prab.g_00262
OG0000113	Prbc.g_01189	Prab.g_00285
OG0000114	Prbc.g_01217	Prab.g_00313
OG0000115	Prbc.g_01533	Prab.g_00478
OG0000116	Prbc.g_01535	Prab.g_00480
OG0000117	Prbc.g_01540	Prab.g_00484
OG0000118	Prbc.g_01579	Prab.g_00503
OG0000119	Prbc.g_01611	Prab.g_00536
OG0000120	Prbc.g_01612	Prab.g_00537
OG0000121	Prbc.g_01622	Prab.g_00547
OG0000122	Prbc.g_01632	Prab.g_00556
OG0000123	Prbc.g_01662	Prab.g_00588
OG0000124	Prbc.g_01728	Prab.g_00656
OG0000125	Prbc.g_01729	Prab.g_00657
OG0000126	Prbc.g_01730	Prab.g_00658
OG0000127	Prbc.g_01768	Prab.g_00691
OG0000128	Prbc.g_01789	Prab.g_00725
OG0000129	Prbc.g_01811	Prab.g_00745
OG0000130	Prbc.g_01999	Prab.g_00825
OG0000131	Prbc.g_01856	Prab.g_00838
OG0000132	Prbc.g_01893	Prab.g_00873
OG0000133	Prbc.g_01995	Prab.g_01052
OG0000134	Prbc.g_01843	Prab.g_01042
OG0000135	Prbc.g_02040	Prab.g_01006
OG0000136	Prbc.g_02110	Prab.g_00932
OG0000137	Prbc.g_00899	Prab.g_01189
OG0000138	Prbc.g_01452	Prab.g_01214
OG0000139	Prbc.g_01439	Prab.g_01225
OG0000140	Prbc.g_01387	Prab.g_01276
OG0000141	Prbc.g_02103	Prab.g_01284
OG0000142	Prbc.g_00577	Prab.g_01338
OG0000143	Prbc.g_00657	Prab.g_01360
OG0000144	Prbc.g_00695	Prab.g_01453
OG0000145	Prbc.g_00710	Prab.g_01467
OG0000146	Prbc.g_00744	Prab.g_01503
OG0000147	Prbc.g_00789	Prab.g_01543
OG0000148	Prbc.g_00790	Prab.g_01544
OG0000149	Prbc.g_00830	Prab.g_01667
OG0000150	Prbc.g_00867	Prab.g_01705
OG0000151	Prbc.g_00869	Prab.g_01708
OG0000152	Prbc.g_00889	Prab.g_01727
OG0000153	Prbc.g_01572, Prbc.g_00326	Prab.g_01761
OG0000154	Prbc.g_00290	Prab.g_01797
OG0000155	Prbc.g_00271	Prab.g_01815
OG0000156	Prbc.g_00226	Prab.g_01842
OG0000157	Prbc.g_00190	Prab.g_01874
OG0000158	Prbc.g_01047	Prab.g_01937
OG0000160	Prbc.g_01071	Prab.g_00001
OG0000161	Prbc.g_01072	Prab.g_00002
OG0000162	Prbc.g_01074	Prab.g_00004
OG0000163	Prbc.g_01075	Prab.g_00005
OG0000164	Prbc.g_01076	Prab.g_00006
OG0000165	Prbc.g_01077	Prab.g_00007
OG0000166	Prbc.g_01078	Prab.g_00008
OG0000167	Prbc.g_01079	Prab.g_00009
OG0000168	Prbc.g_01080	Prab.g_00010
OG0000169	Prbc.g_01082	Prab.g_00012
OG0000170	Prbc.g_01084	Prab.g_00014
OG0000171	Prbc.g_01085	Prab.g_00015
OG0000172	Prbc.g_01086	Prab.g_00016
OG0000173	Prbc.g_01087	Prab.g_00017
OG0000174	Prbc.g_01088	Prab.g_00018
OG0000175	Prbc.g_01089	Prab.g_00019
OG0000176	Prbc.g_01090	Prab.g_00020
OG0000177	Prbc.g_01091	Prab.g_00021
OG0000178	Prbc.g_01092	Prab.g_00022
OG0000179	Prbc.g_01094	Prab.g_00024
OG0000180	Prbc.g_01095	Prab.g_00025
OG0000181	Prbc.g_01096	Prab.g_00026
OG0000182	Prbc.g_01097	Prab.g_00027
OG0000183	Prbc.g_01098	Prab.g_00028
OG0000184	Prbc.g_01099	Prab.g_00029
OG0000185	Prbc.g_01102	Prab.g_00032
OG0000186	Prbc.g_01104	Prab.g_00035
OG0000187	Prbc.g_01105	Prab.g_00036
OG0000188	Prbc.g_01106	Prab.g_00037
OG0000189	Prbc.g_01118	Prab.g_00039
OG0000190	Prbc.g_01120	Prab.g_00041
OG0000191	Prbc.g_01121	Prab.g_00042
OG0000192	Prbc.g_01122	Prab.g_00043
OG0000193	Prbc.g_01123	Prab.g_00044
OG0000194	Prbc.g_01124	Prab.g_00045
OG0000195	Prbc.g_01125	Prab.g_00046
OG0000196	Prbc.g_01126	Prab.g_00047
OG0000197	Prbc.g_01128	Prab.g_00049
OG0000198	Prbc.g_01129	Prab.g_00050
OG0000199	Prbc.g_01130	Prab.g_00051
OG0000200	Prbc.g_00509	Prab.g_00056
OG0000201	Prbc.g_00508	Prab.g_00057
OG0000202	Prbc.g_00507	Prab.g_00058
OG0000203	Prbc.g_00504	Prab.g_00061
OG0000204	Prbc.g_00503	Prab.g_00062
OG0000205	Prbc.g_00500	Prab.g_00065
OG0000206	Prbc.g_00498	Prab.g_00067
OG0000207	Prbc.g_00496	Prab.g_00069
OG0000208	Prbc.g_00495	Prab.g_00070
OG0000209	Prbc.g_00494	Prab.g_00071
OG0000210	Prbc.g_00493	Prab.g_00072
OG0000211	Prbc.g_00492	Prab.g_00073
OG0000212	Prbc.g_00491	Prab.g_00074
OG0000213	Prbc.g_00490	Prab.g_00075
OG0000214	Prbc.g_00489	Prab.g_00076
OG0000215	Prbc.g_00488	Prab.g_00077
OG0000216	Prbc.g_00487	Prab.g_00078
OG0000217	Prbc.g_00485	Prab.g_00080
OG0000218	Prbc.g_00484	Prab.g_00081
OG0000219	Prbc.g_00483	Prab.g_00082
OG0000220	Prbc.g_00482	Prab.g_00083
OG0000221	Prbc.g_00479	Prab.g_00085
OG0000222	Prbc.g_00478	Prab.g_00086
OG0000223	Prbc.g_00477	Prab.g_00087
OG0000224	Prbc.g_00476	Prab.g_00088
OG0000225	Prbc.g_00475	Prab.g_00089
OG0000226	Prbc.g_00474	Prab.g_00090
OG0000227	Prbc.g_00472	Prab.g_00091
OG0000228	Prbc.g_00471	Prab.g_00092
OG0000229	Prbc.g_00470	Prab.g_00093
OG0000230	Prbc.g_00469	Prab.g_00094
OG0000231	Prbc.g_00468	Prab.g_00095
OG0000232	Prbc.g_00467	Prab.g_00097
OG0000233	Prbc.g_00466	Prab.g_00098
OG0000234	Prbc.g_00465	Prab.g_00099
OG0000235	Prbc.g_00464	Prab.g_00100
OG0000236	Prbc.g_00461	Prab.g_00101
OG0000237	Prbc.g_00460	Prab.g_00102
OG0000238	Prbc.g_00459	Prab.g_00103
OG0000239	Prbc.g_00457	Prab.g_00105
OG0000240	Prbc.g_00455	Prab.g_00106
OG0000241	Prbc.g_00454	Prab.g_00107
OG0000242	Prbc.g_00453	Prab.g_00108
OG0000243	Prbc.g_00451	Prab.g_00111
OG0000244	Prbc.g_00448	Prab.g_00113
OG0000245	Prbc.g_00447	Prab.g_00114
OG0000246	Prbc.g_00446	Prab.g_00115
OG0000247	Prbc.g_00443	Prab.g_00117
OG0000248	Prbc.g_00441	Prab.g_00119
OG0000249	Prbc.g_00439	Prab.g_00120
OG0000250	Prbc.g_00438	Prab.g_00121
OG0000251	Prbc.g_00437	Prab.g_00122
OG0000252	Prbc.g_00436	Prab.g_00123
OG0000253	Prbc.g_00435	Prab.g_00124
OG0000254	Prbc.g_02145	Prab.g_00126
OG0000255	Prbc.g_00434	Prab.g_00127
OG0000256	Prbc.g_00431	Prab.g_00130
OG0000257	Prbc.g_00428	Prab.g_00132
OG0000258	Prbc.g_00426	Prab.g_00136
OG0000259	Prbc.g_00425	Prab.g_00137
OG0000260	Prbc.g_00424	Prab.g_00138
OG0000261	Prbc.g_00423	Prab.g_00139
OG0000262	Prbc.g_00422	Prab.g_00140
OG0000263	Prbc.g_00420	Prab.g_00142
OG0000264	Prbc.g_00419	Prab.g_00143
OG0000265	Prbc.g_00418	Prab.g_00144
OG0000266	Prbc.g_00417	Prab.g_00145
OG0000267	Prbc.g_00416	Prab.g_00146
OG0000268	Prbc.g_00415	Prab.g_00147
OG0000269	Prbc.g_00413	Prab.g_00149
OG0000270	Prbc.g_00412	Prab.g_00150
OG0000271	Prbc.g_00411	Prab.g_00151
OG0000272	Prbc.g_00410	Prab.g_00152
OG0000273	Prbc.g_00409	Prab.g_00153
OG0000274	Prbc.g_00408	Prab.g_00154
OG0000275	Prbc.g_00407	Prab.g_00155
OG0000276	Prbc.g_00406	Prab.g_00156
OG0000277	Prbc.g_00404	Prab.g_00158
OG0000278	Prbc.g_00403	Prab.g_00159
OG0000279	Prbc.g_00402	Prab.g_00160
OG0000280	Prbc.g_00400	Prab.g_00162
OG0000281	Prbc.g_00399	Prab.g_00164
OG0000282	Prbc.g_00398	Prab.g_00165
OG0000283	Prbc.g_00397	Prab.g_00166
OG0000284	Prbc.g_00396	Prab.g_00167
OG0000285	Prbc.g_00395	Prab.g_00168
OG0000286	Prbc.g_00394	Prab.g_00169
OG0000287	Prbc.g_00393	Prab.g_00170
OG0000288	Prbc.g_00391	Prab.g_00172
OG0000289	Prbc.g_00390	Prab.g_00173
OG0000290	Prbc.g_00389	Prab.g_00174
OG0000291	Prbc.g_00387	Prab.g_00176
OG0000292	Prbc.g_00385	Prab.g_00177
OG0000293	Prbc.g_00384	Prab.g_00178
OG0000294	Prbc.g_00383	Prab.g_00179
OG0000295	Prbc.g_00382	Prab.g_00180
OG0000296	Prbc.g_00381	Prab.g_00181
OG0000297	Prbc.g_00380	Prab.g_00182
OG0000298	Prbc.g_00378	Prab.g_00184
OG0000299	Prbc.g_00377	Prab.g_00185
OG0000300	Prbc.g_00376	Prab.g_00186
OG0000301	Prbc.g_00375	Prab.g_00187
OG0000302	Prbc.g_00374	Prab.g_00188
OG0000303	Prbc.g_00373	Prab.g_00189
OG0000304	Prbc.g_00371	Prab.g_00191
OG0000305	Prbc.g_00370	Prab.g_00192
OG0000306	Prbc.g_00368	Prab.g_00195
OG0000307	Prbc.g_00367	Prab.g_00196
OG0000308	Prbc.g_00366	Prab.g_00197
OG0000309	Prbc.g_00365	Prab.g_00198
OG0000310	Prbc.g_00364	Prab.g_00199
OG0000311	Prbc.g_00363	Prab.g_00200
OG0000312	Prbc.g_00362	Prab.g_00201
OG0000313	Prbc.g_00361	Prab.g_00202
OG0000314	Prbc.g_00360	Prab.g_00203
OG0000315	Prbc.g_00358	Prab.g_00204
OG0000316	Prbc.g_00357	Prab.g_00205
OG0000317	Prbc.g_00356	Prab.g_00206
OG0000318	Prbc.g_00355	Prab.g_00207
OG0000319	Prbc.g_00354	Prab.g_00208
OG0000320	Prbc.g_00353	Prab.g_00209
OG0000321	Prbc.g_00352	Prab.g_00210
OG0000322	Prbc.g_00351	Prab.g_00211
OG0000323	Prbc.g_00350	Prab.g_00212
OG0000324	Prbc.g_00349	Prab.g_00213
OG0000325	Prbc.g_00348	Prab.g_00214
OG0000326	Prbc.g_00347	Prab.g_00215
OG0000327	Prbc.g_00346	Prab.g_00216
OG0000328	Prbc.g_00345	Prab.g_00217
OG0000329	Prbc.g_00344	Prab.g_00218
OG0000330	Prbc.g_00343	Prab.g_00219
OG0000331	Prbc.g_00342	Prab.g_00220
OG0000332	Prbc.g_00341	Prab.g_00221
OG0000333	Prbc.g_00340	Prab.g_00222
OG0000334	Prbc.g_00339	Prab.g_00223
OG0000335	Prbc.g_00337	Prab.g_00224
OG0000336	Prbc.g_00335	Prab.g_00226
OG0000337	Prbc.g_00334	Prab.g_00227
OG0000338	Prbc.g_00329	Prab.g_00230
OG0000339	Prbc.g_01140	Prab.g_00232
OG0000340	Prbc.g_01142	Prab.g_00234
OG0000341	Prbc.g_01143	Prab.g_00235
OG0000342	Prbc.g_01144	Prab.g_00236
OG0000343	Prbc.g_01145	Prab.g_00237
OG0000344	Prbc.g_01146	Prab.g_00240
OG0000345	Prbc.g_01149	Prab.g_00243
OG0000346	Prbc.g_01150	Prab.g_00244
OG0000347	Prbc.g_01153	Prab.g_00247
OG0000348	Prbc.g_01154	Prab.g_00248
OG0000349	Prbc.g_01155	Prab.g_00249
OG0000350	Prbc.g_01156	Prab.g_00251
OG0000351	Prbc.g_01157	Prab.g_00252
OG0000352	Prbc.g_01158	Prab.g_00253
OG0000353	Prbc.g_01159	Prab.g_00254
OG0000354	Prbc.g_01160	Prab.g_00255
OG0000355	Prbc.g_01161	Prab.g_00256
OG0000356	Prbc.g_01162	Prab.g_00257
OG0000357	Prbc.g_01163	Prab.g_00258
OG0000358	Prbc.g_01164	Prab.g_00259
OG0000359	Prbc.g_01166	Prab.g_00260
OG0000360	Prbc.g_01168	Prab.g_00263
OG0000361	Prbc.g_01169	Prab.g_00264
OG0000362	Prbc.g_01170	Prab.g_00265
OG0000363	Prbc.g_01171	Prab.g_00266
OG0000364	Prbc.g_01175	Prab.g_00270
OG0000365	Prbc.g_01176	Prab.g_00271
OG0000366	Prbc.g_01178	Prab.g_00273
OG0000367	Prbc.g_01179	Prab.g_00274
OG0000368	Prbc.g_01180	Prab.g_00275
OG0000369	Prbc.g_01181	Prab.g_00276
OG0000370	Prbc.g_01182	Prab.g_00277
OG0000371	Prbc.g_01183	Prab.g_00278
OG0000372	Prbc.g_01184	Prab.g_00279
OG0000373	Prbc.g_01185	Prab.g_00280
OG0000374	Prbc.g_01186	Prab.g_00282
OG0000375	Prbc.g_01187	Prab.g_00283
OG0000376	Prbc.g_01190	Prab.g_00286
OG0000377	Prbc.g_01191	Prab.g_00287
OG0000378	Prbc.g_01192	Prab.g_00288
OG0000379	Prbc.g_01193	Prab.g_00289
OG0000380	Prbc.g_01194	Prab.g_00290
OG0000381	Prbc.g_01195	Prab.g_00291
OG0000382	Prbc.g_01196	Prab.g_00292
OG0000383	Prbc.g_01197	Prab.g_00293
OG0000384	Prbc.g_01200	Prab.g_00296
OG0000385	Prbc.g_01201	Prab.g_00297
OG0000386	Prbc.g_01202	Prab.g_00298
OG0000387	Prbc.g_01203	Prab.g_00299
OG0000388	Prbc.g_01204	Prab.g_00300
OG0000389	Prbc.g_01205	Prab.g_00301
OG0000390	Prbc.g_01206	Prab.g_00302
OG0000391	Prbc.g_01207	Prab.g_00303
OG0000392	Prbc.g_01208	Prab.g_00304
OG0000393	Prbc.g_01209	Prab.g_00305
OG0000394	Prbc.g_01210	Prab.g_00306
OG0000395	Prbc.g_01211	Prab.g_00307
OG0000396	Prbc.g_01213	Prab.g_00309
OG0000397	Prbc.g_01215	Prab.g_00311
OG0000398	Prbc.g_01216	Prab.g_00312
OG0000399	Prbc.g_01219	Prab.g_00315
OG0000400	Prbc.g_01225	Prab.g_00316
OG0000401	Prbc.g_01813	Prab.g_00317
OG0000402	Prbc.g_01246	Prab.g_00322
OG0000403	Prbc.g_01248	Prab.g_00323
OG0000404	Prbc.g_01249	Prab.g_00324
OG0000405	Prbc.g_01250	Prab.g_00325
OG0000406	Prbc.g_01253	Prab.g_00328
OG0000407	Prbc.g_01254	Prab.g_00329
OG0000408	Prbc.g_01256	Prab.g_00332
OG0000409	Prbc.g_01257	Prab.g_00333
OG0000410	Prbc.g_01258	Prab.g_00334
OG0000411	Prbc.g_01259	Prab.g_00335
OG0000412	Prbc.g_01260	Prab.g_00336
OG0000413	Prbc.g_01261	Prab.g_00337
OG0000414	Prbc.g_01262	Prab.g_00338
OG0000415	Prbc.g_01263	Prab.g_00339
OG0000416	Prbc.g_01267	Prab.g_00342
OG0000417	Prbc.g_01268	Prab.g_00343
OG0000418	Prbc.g_01270	Prab.g_00344
OG0000419	Prbc.g_01271	Prab.g_00345
OG0000420	Prbc.g_01912	Prab.g_00347
OG0000421	Prbc.g_02137	Prab.g_00360
OG0000422	Prbc.g_02168	Prab.g_00367
OG0000423	Prbc.g_01317	Prab.g_00368
OG0000424	Prbc.g_00934	Prab.g_00375
OG0000425	Prbc.g_01492	Prab.g_00434
OG0000426	Prbc.g_01493	Prab.g_00435
OG0000427	Prbc.g_01494	Prab.g_00436
OG0000428	Prbc.g_01496	Prab.g_00438
OG0000429	Prbc.g_01497	Prab.g_00439
OG0000430	Prbc.g_01499	Prab.g_00441
OG0000431	Prbc.g_01500	Prab.g_00442
OG0000432	Prbc.g_01501	Prab.g_00443
OG0000433	Prbc.g_01502	Prab.g_00444
OG0000434	Prbc.g_01503	Prab.g_00445
OG0000435	Prbc.g_01504	Prab.g_00446
OG0000436	Prbc.g_01505	Prab.g_00447
OG0000437	Prbc.g_01506	Prab.g_00448
OG0000438	Prbc.g_01507	Prab.g_00449
OG0000439	Prbc.g_01508	Prab.g_00450
OG0000440	Prbc.g_01509	Prab.g_00454
OG0000441	Prbc.g_01510	Prab.g_00455
OG0000442	Prbc.g_01511	Prab.g_00456
OG0000443	Prbc.g_01512	Prab.g_00457
OG0000444	Prbc.g_01513	Prab.g_00458
OG0000445	Prbc.g_01514	Prab.g_00459
OG0000446	Prbc.g_01516	Prab.g_00460
OG0000447	Prbc.g_01517	Prab.g_00461
OG0000448	Prbc.g_01518	Prab.g_00463
OG0000449	Prbc.g_01524	Prab.g_00466
OG0000450	Prbc.g_01525	Prab.g_00467
OG0000451	Prbc.g_01526	Prab.g_00468
OG0000452	Prbc.g_01528	Prab.g_00469
OG0000453	Prbc.g_01529	Prab.g_00470
OG0000454	Prbc.g_01531	Prab.g_00475
OG0000455	Prbc.g_01532	Prab.g_00477
OG0000456	Prbc.g_01536	Prab.g_00481
OG0000457	Prbc.g_01538	Prab.g_00482
OG0000458	Prbc.g_01539	Prab.g_00483
OG0000459	Prbc.g_01541	Prab.g_00485
OG0000460	Prbc.g_01543	Prab.g_00487
OG0000461	Prbc.g_01544	Prab.g_00488
OG0000462	Prbc.g_01545	Prab.g_00489
OG0000463	Prbc.g_01546	Prab.g_00491
OG0000464	Prbc.g_01547	Prab.g_00492
OG0000465	Prbc.g_01548	Prab.g_00493
OG0000466	Prbc.g_01549	Prab.g_00494
OG0000467	Prbc.g_01550	Prab.g_00495
OG0000468	Prbc.g_01551	Prab.g_00496
OG0000469	Prbc.g_01552	Prab.g_00497
OG0000470	Prbc.g_01553	Prab.g_00498
OG0000471	Prbc.g_01554	Prab.g_00499
OG0000472	Prbc.g_01580	Prab.g_00504
OG0000473	Prbc.g_01581	Prab.g_00505
OG0000474	Prbc.g_01582	Prab.g_00506
OG0000475	Prbc.g_01583	Prab.g_00507
OG0000476	Prbc.g_01585	Prab.g_00509
OG0000477	Prbc.g_01586	Prab.g_00510
OG0000478	Prbc.g_01587	Prab.g_00511
OG0000479	Prbc.g_01588	Prab.g_00512
OG0000480	Prbc.g_01590	Prab.g_00514
OG0000481	Prbc.g_01592	Prab.g_00516
OG0000482	Prbc.g_01593	Prab.g_00517
OG0000483	Prbc.g_01595	Prab.g_00519
OG0000484	Prbc.g_01596	Prab.g_00520
OG0000485	Prbc.g_01597	Prab.g_00521
OG0000486	Prbc.g_01599	Prab.g_00522
OG0000487	Prbc.g_01603	Prab.g_00527
OG0000488	Prbc.g_01604	Prab.g_00529
OG0000489	Prbc.g_01605	Prab.g_00530
OG0000490	Prbc.g_01606	Prab.g_00531
OG0000491	Prbc.g_01607	Prab.g_00532
OG0000492	Prbc.g_01608	Prab.g_00533
OG0000493	Prbc.g_01609	Prab.g_00534
OG0000494	Prbc.g_01610	Prab.g_00535
OG0000495	Prbc.g_01613	Prab.g_00538
OG0000496	Prbc.g_01614	Prab.g_00539
OG0000497	Prbc.g_01615	Prab.g_00540
OG0000498	Prbc.g_01616	Prab.g_00541
OG0000499	Prbc.g_01617	Prab.g_00542
OG0000500	Prbc.g_01619	Prab.g_00544
OG0000501	Prbc.g_01620	Prab.g_00545
OG0000502	Prbc.g_01621	Prab.g_00546
OG0000503	Prbc.g_01623	Prab.g_00548
OG0000504	Prbc.g_01624	Prab.g_00549
OG0000505	Prbc.g_01626	Prab.g_00550
OG0000506	Prbc.g_01627	Prab.g_00551
OG0000507	Prbc.g_01628	Prab.g_00552
OG0000508	Prbc.g_01629	Prab.g_00553
OG0000509	Prbc.g_01630	Prab.g_00554
OG0000510	Prbc.g_01631	Prab.g_00555
OG0000511	Prbc.g_01633	Prab.g_00557
OG0000512	Prbc.g_01634	Prab.g_00558
OG0000513	Prbc.g_01635	Prab.g_00559
OG0000514	Prbc.g_01636	Prab.g_00560
OG0000515	Prbc.g_01637	Prab.g_00561
OG0000516	Prbc.g_01638	Prab.g_00562
OG0000517	Prbc.g_01640	Prab.g_00564
OG0000518	Prbc.g_01641	Prab.g_00565
OG0000519	Prbc.g_01642	Prab.g_00566
OG0000520	Prbc.g_01643	Prab.g_00568
OG0000521	Prbc.g_01644	Prab.g_00569
OG0000522	Prbc.g_01645	Prab.g_00570
OG0000523	Prbc.g_01646	Prab.g_00571
OG0000524	Prbc.g_01647	Prab.g_00572
OG0000525	Prbc.g_01648	Prab.g_00573
OG0000526	Prbc.g_01649	Prab.g_00574
OG0000527	Prbc.g_01650	Prab.g_00575
OG0000528	Prbc.g_01651	Prab.g_00576
OG0000529	Prbc.g_01652	Prab.g_00577
OG0000530	Prbc.g_01653	Prab.g_00578
OG0000531	Prbc.g_01654	Prab.g_00579
OG0000532	Prbc.g_01655	Prab.g_00580
OG0000533	Prbc.g_01656	Prab.g_00582
OG0000534	Prbc.g_01657	Prab.g_00583
OG0000535	Prbc.g_01658	Prab.g_00584
OG0000536	Prbc.g_01659	Prab.g_00585
OG0000537	Prbc.g_01660	Prab.g_00586
OG0000538	Prbc.g_01661	Prab.g_00587
OG0000539	Prbc.g_01663	Prab.g_00590
OG0000540	Prbc.g_01664	Prab.g_00591
OG0000541	Prbc.g_01665	Prab.g_00592
OG0000542	Prbc.g_01667	Prab.g_00595
OG0000543	Prbc.g_01668	Prab.g_00596
OG0000544	Prbc.g_01670	Prab.g_00597
OG0000545	Prbc.g_01669	Prab.g_00598
OG0000546	Prbc.g_01671	Prab.g_00599
OG0000547	Prbc.g_01672	Prab.g_00600
OG0000548	Prbc.g_01673	Prab.g_00601
OG0000549	Prbc.g_01675	Prab.g_00603
OG0000550	Prbc.g_01676	Prab.g_00604
