Orthogroup	Prbc	Pram
OG0000029	Prbc.g_00907	Pram.g_01617
OG0000030	Prbc.g_02065, Prbc.g_00075, Prbc.g_02064	Pram.g_01544
OG0000030	Prbc.g_02139, Prbc.g_00059	Pram.g_00644
OG0000031	Prbc.g_00203	Pram.g_01841
OG0000032	Prbc.g_00932	Pram.g_01258
OG0000034	Prbc.g_00709	Pram.g_01381, Pram.g_01378
OG0000035	Prbc.g_02181, Prbc.g_00752	Pram.g_00391
OG0000036	Prbc.g_00054	Pram.g_01595
OG0000036	Prbc.g_02114	Pram.g_01275
OG0000038	Prbc.g_01228	Pram.g_01413
OG0000039	Prbc.g_00929	Pram.g_01193
OG0000042	Prbc.g_00997	Pram.g_01886
OG0000043	Prbc.g_01380	Pram.g_00681
OG0000045	Prbc.g_00891	Pram.g_01559
OG0000046	Prbc.g_00166	Pram.g_01287
OG0000047	Prbc.g_01446	Pram.g_01140
OG0000048	Prbc.g_00517	Pram.g_00040
OG0000049	Prbc.g_01928	Pram.g_01447
OG0000050	Prbc.g_00405	Pram.g_00151
OG0000051	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Pram.g_00689
OG0000052	Prbc.g_01315	Pram.g_01587
OG0000053	Prbc.g_01787	Pram.g_00801
OG0000054	Prbc.g_00826	Pram.g_01265
OG0000055	Prbc.g_00211	Pram.g_01833
OG0000056	Prbc.g_01101	Pram.g_00018
OG0000057	Prbc.g_00414	Pram.g_00142
OG0000058	Prbc.g_00134, Prbc.g_00641	Pram.g_00677
OG0000059	Prbc.g_01618	Pram.g_01558
OG0000060	Prbc.g_01800	Pram.g_01017
OG0000061	Prbc.g_01116	Pram.g_01517
OG0000062	Prbc.g_01882, Prbc.g_00153	Pram.g_00832
OG0000063	Prbc.g_01117	Pram.g_01191
OG0000065	Prbc.g_00333	Pram.g_00224
OG0000066	Prbc.g_01534	Pram.g_00411
OG0000067	Prbc.g_00055, Prbc.g_01780	Pram.g_00792
OG0000068	Prbc.g_00148	Pram.g_00631
OG0000070	Prbc.g_00963, Prbc.g_02113	Pram.g_00888
OG0000071	Prbc.g_00102	Pram.g_01112
OG0000072	Prbc.g_00566	Pram.g_01230
OG0000074	Prbc.g_01753	Pram.g_01446
OG0000075	Prbc.g_00284	Pram.g_01770
OG0000076	Prbc.g_00746	Pram.g_01339
OG0000077	Prbc.g_01081	Pram.g_01949
OG0000078	Prbc.g_01214	Pram.g_00310
OG0000079	Prbc.g_02198, Prbc.g_02183	Pram.g_01589
OG0000080	Prbc.g_01748	Pram.g_01039
OG0000081	Prbc.g_01773	Pram.g_00782
OG0000082	Prbc.g_01865	Pram.g_00816
OG0000083	Prbc.g_01953, Prbc.g_00135	Pram.g_01161
OG0000084	Prbc.g_02036	Pram.g_00943
OG0000085	Prbc.g_00173	Pram.g_01185
OG0000086	Prbc.g_00896	Pram.g_01546
OG0000087	Prbc.g_00807, Prbc.g_02166, Prbc.g_00105	Pram.g_01510
OG0000090	Prbc.g_01229	Pram.g_01445
OG0000091	Prbc.g_00717	Pram.g_01370
OG0000092	Prbc.g_00144	Pram.g_01554
OG0000093	Prbc.g_00958	Pram.g_01719
OG0000094	Prbc.g_00288	Pram.g_01766
OG0000095	Prbc.g_00238	Pram.g_01805
OG0000096	Prbc.g_00989	Pram.g_01878
OG0000097	Prbc.g_01009	Pram.g_01898
OG0000098	Prbc.g_01073	Pram.g_01941
OG0000099	Prbc.g_01093	Pram.g_00010
OG0000100	Prbc.g_00132	Pram.g_01588
OG0000101	Prbc.g_01127	Pram.g_00036
OG0000102	Prbc.g_00458	Pram.g_00099
OG0000103	Prbc.g_00449	Pram.g_00108
OG0000104	Prbc.g_00432	Pram.g_00125
OG0000105	Prbc.g_00401	Pram.g_00155
OG0000106	Prbc.g_00388	Pram.g_00168
OG0000107	Prbc.g_00379	Pram.g_00177
OG0000108	Prbc.g_00369	Pram.g_00187
OG0000109	Prbc.g_00330	Pram.g_00227
OG0000110	Prbc.g_01147	Pram.g_00239
OG0000111	Prbc.g_01167	Pram.g_00262
OG0000112	Prbc.g_01177	Pram.g_00273
OG0000113	Prbc.g_01189	Pram.g_00286
OG0000114	Prbc.g_01217	Pram.g_00313
OG0000115	Prbc.g_01533	Pram.g_00410
OG0000116	Prbc.g_01535	Pram.g_00412
OG0000117	Prbc.g_01540	Pram.g_00416
OG0000118	Prbc.g_01579	Pram.g_00437
OG0000119	Prbc.g_01611	Pram.g_00470
OG0000120	Prbc.g_01612	Pram.g_00471
OG0000121	Prbc.g_01622	Pram.g_00480
OG0000122	Prbc.g_01632	Pram.g_00489
OG0000123	Prbc.g_01662	Pram.g_00522
OG0000124	Prbc.g_01728	Pram.g_01059
OG0000125	Prbc.g_01729	Pram.g_01058
OG0000126	Prbc.g_01730	Pram.g_01057
OG0000127	Prbc.g_01768	Pram.g_00777
OG0000128	Prbc.g_01789	Pram.g_00803
OG0000129	Prbc.g_01811	Pram.g_01006
OG0000130	Prbc.g_01999	Pram.g_00905
OG0000131	Prbc.g_01856	Pram.g_00807
OG0000132	Prbc.g_01893	Pram.g_00843
OG0000133	Prbc.g_01995	Pram.g_00751
OG0000134	Prbc.g_01843	Pram.g_01038
OG0000135	Prbc.g_02040	Pram.g_00947
OG0000136	Prbc.g_02110	Pram.g_00891
OG0000137	Prbc.g_00899	Pram.g_01549
OG0000138	Prbc.g_01452	Pram.g_01146
OG0000139	Prbc.g_01439	Pram.g_01133
OG0000140	Prbc.g_01387	Pram.g_00571
OG0000141	Prbc.g_02103	Pram.g_01254
OG0000142	Prbc.g_00577	Pram.g_01242
OG0000143	Prbc.g_00657	Pram.g_01468
OG0000144	Prbc.g_00695	Pram.g_01393
OG0000145	Prbc.g_00710	Pram.g_01377
OG0000146	Prbc.g_00744	Pram.g_01341
OG0000147	Prbc.g_00789	Pram.g_01294
OG0000148	Prbc.g_00790	Pram.g_01293
OG0000149	Prbc.g_00830	Pram.g_01629
OG0000150	Prbc.g_00867	Pram.g_01669
OG0000151	Prbc.g_00869	Pram.g_01672
OG0000152	Prbc.g_00889	Pram.g_01691
OG0000153	Prbc.g_00326	Pram.g_01728
OG0000154	Prbc.g_00290	Pram.g_01764
OG0000155	Prbc.g_00271	Pram.g_01783
OG0000156	Prbc.g_00226	Pram.g_01817
OG0000157	Prbc.g_00190	Pram.g_01851
OG0000158	Prbc.g_01047	Pram.g_01917
OG0000160	Prbc.g_01071	Pram.g_01939
OG0000161	Prbc.g_01072	Pram.g_01940
OG0000162	Prbc.g_01074	Pram.g_01942
OG0000163	Prbc.g_01075	Pram.g_01943
OG0000164	Prbc.g_01076	Pram.g_01944
OG0000165	Prbc.g_01077	Pram.g_01945
OG0000166	Prbc.g_01078	Pram.g_01946
OG0000167	Prbc.g_01079	Pram.g_01947
OG0000168	Prbc.g_01080	Pram.g_01948
OG0000169	Prbc.g_01082	Pram.g_01950
OG0000170	Prbc.g_01084	Pram.g_00001
OG0000171	Prbc.g_01085	Pram.g_00002
OG0000172	Prbc.g_01086	Pram.g_00003
OG0000173	Prbc.g_01087	Pram.g_00004
OG0000174	Prbc.g_01088	Pram.g_00005
OG0000175	Prbc.g_01089	Pram.g_00006
OG0000176	Prbc.g_01090	Pram.g_00007
OG0000177	Prbc.g_01091	Pram.g_00008
OG0000178	Prbc.g_01092	Pram.g_00009
OG0000179	Prbc.g_01094	Pram.g_00011
OG0000180	Prbc.g_01095	Pram.g_00012
OG0000181	Prbc.g_01096	Pram.g_00013
OG0000182	Prbc.g_01097	Pram.g_00014
OG0000183	Prbc.g_01098	Pram.g_00015
OG0000184	Prbc.g_01099	Pram.g_00016
OG0000185	Prbc.g_01102	Pram.g_00019
OG0000186	Prbc.g_01104	Pram.g_00021
OG0000187	Prbc.g_01105	Pram.g_00022
OG0000188	Prbc.g_01106	Pram.g_00023
OG0000189	Prbc.g_01118	Pram.g_00024
OG0000190	Prbc.g_01120	Pram.g_00026
OG0000191	Prbc.g_01121	Pram.g_00028
OG0000192	Prbc.g_01122	Pram.g_00029
OG0000193	Prbc.g_01123	Pram.g_00030
OG0000194	Prbc.g_01124	Pram.g_00033
OG0000195	Prbc.g_01125	Pram.g_00034
OG0000196	Prbc.g_01126	Pram.g_00035
OG0000197	Prbc.g_01128	Pram.g_00037
OG0000198	Prbc.g_01129	Pram.g_00038
OG0000199	Prbc.g_01130	Pram.g_00039
OG0000200	Prbc.g_00509	Pram.g_00048
OG0000201	Prbc.g_00508	Pram.g_00049
OG0000202	Prbc.g_00507	Pram.g_00050
OG0000203	Prbc.g_00504	Pram.g_00054
OG0000204	Prbc.g_00503	Pram.g_00055
OG0000205	Prbc.g_00500	Pram.g_00058
OG0000206	Prbc.g_00498	Pram.g_00060
OG0000207	Prbc.g_00496	Pram.g_00062
OG0000208	Prbc.g_00495	Pram.g_00063
OG0000209	Prbc.g_00494	Pram.g_01536
OG0000210	Prbc.g_00493	Pram.g_00064
OG0000211	Prbc.g_00492	Pram.g_00065
OG0000212	Prbc.g_00491	Pram.g_00066
OG0000213	Prbc.g_00490	Pram.g_00067
OG0000214	Prbc.g_00489	Pram.g_00068
OG0000215	Prbc.g_00488	Pram.g_00069
OG0000216	Prbc.g_00487	Pram.g_00070
OG0000217	Prbc.g_00485	Pram.g_00072
OG0000218	Prbc.g_00484	Pram.g_00073
OG0000219	Prbc.g_00483	Pram.g_00074
OG0000220	Prbc.g_00482	Pram.g_00075
OG0000221	Prbc.g_00479	Pram.g_00078
OG0000222	Prbc.g_00478	Pram.g_00079
OG0000223	Prbc.g_00477	Pram.g_00080
OG0000224	Prbc.g_00476	Pram.g_00081
OG0000225	Prbc.g_00475	Pram.g_00082
OG0000226	Prbc.g_00474	Pram.g_00083
OG0000227	Prbc.g_00472	Pram.g_00085
OG0000228	Prbc.g_00471	Pram.g_00086
OG0000229	Prbc.g_00470	Pram.g_00087
OG0000230	Prbc.g_00469	Pram.g_00088
OG0000231	Prbc.g_00468	Pram.g_00089
OG0000232	Prbc.g_00467	Pram.g_00090
OG0000233	Prbc.g_00466	Pram.g_00091
OG0000234	Prbc.g_00465	Pram.g_00092
OG0000235	Prbc.g_00464	Pram.g_00093
OG0000236	Prbc.g_00461	Pram.g_00096
OG0000237	Prbc.g_00460	Pram.g_00097
OG0000238	Prbc.g_00459	Pram.g_00098
OG0000239	Prbc.g_00457	Pram.g_00100
OG0000240	Prbc.g_00455	Pram.g_00101
OG0000241	Prbc.g_00454	Pram.g_00102
OG0000242	Prbc.g_00453	Pram.g_00103
OG0000243	Prbc.g_00451	Pram.g_00106
OG0000244	Prbc.g_00448	Pram.g_00109
OG0000245	Prbc.g_00447	Pram.g_00110
OG0000246	Prbc.g_00446	Pram.g_00111
OG0000247	Prbc.g_00443	Pram.g_00113
OG0000248	Prbc.g_00441	Pram.g_00115
OG0000249	Prbc.g_00439	Pram.g_00117
OG0000250	Prbc.g_00438	Pram.g_00118
OG0000251	Prbc.g_00437	Pram.g_00119
OG0000252	Prbc.g_00436	Pram.g_00120
OG0000253	Prbc.g_00435	Pram.g_00121
OG0000254	Prbc.g_02145	Pram.g_01001
OG0000255	Prbc.g_00434	Pram.g_00123
OG0000256	Prbc.g_00431	Pram.g_00126
OG0000257	Prbc.g_00428	Pram.g_00128
OG0000258	Prbc.g_00426	Pram.g_00130
OG0000259	Prbc.g_00425	Pram.g_00131
OG0000260	Prbc.g_00424	Pram.g_00132
OG0000261	Prbc.g_00423	Pram.g_00133
OG0000262	Prbc.g_00422	Pram.g_00134
OG0000263	Prbc.g_00420	Pram.g_00136
OG0000264	Prbc.g_00419	Pram.g_00137
OG0000265	Prbc.g_00418	Pram.g_00138
OG0000266	Prbc.g_00417	Pram.g_00139
OG0000267	Prbc.g_00416	Pram.g_00140
OG0000268	Prbc.g_00415	Pram.g_00141
OG0000269	Prbc.g_00413	Pram.g_00143
OG0000270	Prbc.g_00412	Pram.g_00144
OG0000271	Prbc.g_00411	Pram.g_00145
OG0000272	Prbc.g_00410	Pram.g_00146
OG0000273	Prbc.g_00409	Pram.g_00147
OG0000274	Prbc.g_00408	Pram.g_00148
OG0000275	Prbc.g_00407	Pram.g_00149
OG0000276	Prbc.g_00406	Pram.g_00150
OG0000277	Prbc.g_00404	Pram.g_00152
OG0000278	Prbc.g_00403	Pram.g_00153
OG0000279	Prbc.g_00402	Pram.g_00154
OG0000280	Prbc.g_00400	Pram.g_00156
OG0000281	Prbc.g_00399	Pram.g_00157
OG0000282	Prbc.g_00398	Pram.g_00158
OG0000283	Prbc.g_00397	Pram.g_00159
OG0000284	Prbc.g_00396	Pram.g_00160
OG0000285	Prbc.g_00395	Pram.g_00161
OG0000286	Prbc.g_00394	Pram.g_00162
OG0000287	Prbc.g_00393	Pram.g_00163
OG0000288	Prbc.g_00391	Pram.g_00165
OG0000289	Prbc.g_00390	Pram.g_00166
OG0000290	Prbc.g_00389	Pram.g_00167
OG0000291	Prbc.g_00387	Pram.g_00169
OG0000292	Prbc.g_00385	Pram.g_00171
OG0000293	Prbc.g_00384	Pram.g_00172
OG0000294	Prbc.g_00383	Pram.g_00173
OG0000295	Prbc.g_00382	Pram.g_00174
OG0000296	Prbc.g_00381	Pram.g_00175
OG0000297	Prbc.g_00380	Pram.g_00176
OG0000298	Prbc.g_00378	Pram.g_00178
OG0000299	Prbc.g_00377	Pram.g_00179
OG0000300	Prbc.g_00376	Pram.g_00180
OG0000301	Prbc.g_00375	Pram.g_00181
OG0000302	Prbc.g_00374	Pram.g_00182
OG0000303	Prbc.g_00373	Pram.g_00183
OG0000304	Prbc.g_00371	Pram.g_00185
OG0000305	Prbc.g_00370	Pram.g_00186
OG0000306	Prbc.g_00368	Pram.g_00189
OG0000307	Prbc.g_00367	Pram.g_00190
OG0000308	Prbc.g_00366	Pram.g_00191
OG0000309	Prbc.g_00365	Pram.g_00192
OG0000310	Prbc.g_00364	Pram.g_00193
OG0000311	Prbc.g_00363	Pram.g_00194
OG0000312	Prbc.g_00362	Pram.g_00195
OG0000313	Prbc.g_00361	Pram.g_00196
OG0000314	Prbc.g_00360	Pram.g_00197
OG0000315	Prbc.g_00358	Pram.g_00198
OG0000316	Prbc.g_00357	Pram.g_00199
OG0000317	Prbc.g_00356	Pram.g_00200
OG0000318	Prbc.g_00355	Pram.g_00201
OG0000319	Prbc.g_00354	Pram.g_00202
OG0000320	Prbc.g_00353	Pram.g_00203
OG0000321	Prbc.g_00352	Pram.g_00204
OG0000322	Prbc.g_00351	Pram.g_00205
OG0000323	Prbc.g_00350	Pram.g_00206
OG0000324	Prbc.g_00349	Pram.g_00207
OG0000325	Prbc.g_00348	Pram.g_00208
OG0000326	Prbc.g_00347	Pram.g_00209
OG0000327	Prbc.g_00346	Pram.g_00210
OG0000328	Prbc.g_00345	Pram.g_00212
OG0000329	Prbc.g_00344	Pram.g_00213
OG0000330	Prbc.g_00343	Pram.g_00214
OG0000331	Prbc.g_00342	Pram.g_00216
OG0000332	Prbc.g_00341	Pram.g_00217
OG0000333	Prbc.g_00340	Pram.g_00218
OG0000334	Prbc.g_00339	Pram.g_00219
OG0000335	Prbc.g_00337	Pram.g_00220
OG0000336	Prbc.g_00335	Pram.g_00222
OG0000337	Prbc.g_00334	Pram.g_00223
OG0000338	Prbc.g_00329	Pram.g_00228
OG0000339	Prbc.g_01140	Pram.g_00230
OG0000340	Prbc.g_01142	Pram.g_00232
OG0000341	Prbc.g_01143	Pram.g_00233
OG0000342	Prbc.g_01144	Pram.g_00234
OG0000343	Prbc.g_01145	Pram.g_00235
OG0000344	Prbc.g_01146	Pram.g_00238
OG0000345	Prbc.g_01149	Pram.g_00242
OG0000346	Prbc.g_01150	Pram.g_00243
OG0000347	Prbc.g_01153	Pram.g_00246
OG0000348	Prbc.g_01154	Pram.g_00247
OG0000349	Prbc.g_01155	Pram.g_00248
OG0000350	Prbc.g_01156	Pram.g_00250
OG0000351	Prbc.g_01157	Pram.g_00251
OG0000352	Prbc.g_01158	Pram.g_00252
OG0000353	Prbc.g_01159	Pram.g_00253
OG0000354	Prbc.g_01160	Pram.g_00254
OG0000355	Prbc.g_01161	Pram.g_00255
OG0000356	Prbc.g_01162	Pram.g_00256
OG0000357	Prbc.g_01163	Pram.g_00257
OG0000358	Prbc.g_01164	Pram.g_00258
OG0000359	Prbc.g_01166	Pram.g_00260
OG0000360	Prbc.g_01168	Pram.g_00263
OG0000361	Prbc.g_01169	Pram.g_00264
OG0000362	Prbc.g_01170	Pram.g_00265
OG0000363	Prbc.g_01171	Pram.g_00266
OG0000364	Prbc.g_01175	Pram.g_00270
OG0000365	Prbc.g_01176	Pram.g_00271
OG0000366	Prbc.g_01178	Pram.g_00274
OG0000367	Prbc.g_01179	Pram.g_00275
OG0000368	Prbc.g_01180	Pram.g_00276
OG0000369	Prbc.g_01181	Pram.g_00277
OG0000370	Prbc.g_01182	Pram.g_00278
OG0000371	Prbc.g_01183	Pram.g_00280
OG0000372	Prbc.g_01184	Pram.g_00281
OG0000373	Prbc.g_01185	Pram.g_00282
OG0000374	Prbc.g_01186	Pram.g_00283
OG0000375	Prbc.g_01187	Pram.g_00284
OG0000376	Prbc.g_01190	Pram.g_00287
OG0000377	Prbc.g_01191	Pram.g_00288
OG0000378	Prbc.g_01192	Pram.g_00289
OG0000379	Prbc.g_01193	Pram.g_00290
OG0000380	Prbc.g_01194	Pram.g_00291
OG0000381	Prbc.g_01195	Pram.g_00292
OG0000382	Prbc.g_01196	Pram.g_00293
OG0000383	Prbc.g_01197	Pram.g_00294
OG0000384	Prbc.g_01200	Pram.g_00296
OG0000385	Prbc.g_01201	Pram.g_00297
OG0000386	Prbc.g_01202	Pram.g_00298
OG0000387	Prbc.g_01203	Pram.g_00299
OG0000388	Prbc.g_01204	Pram.g_00300
OG0000389	Prbc.g_01205	Pram.g_00301
OG0000390	Prbc.g_01206	Pram.g_00302
OG0000391	Prbc.g_01207	Pram.g_00303
OG0000392	Prbc.g_01208	Pram.g_00304
OG0000393	Prbc.g_01209	Pram.g_00305
OG0000394	Prbc.g_01210	Pram.g_00306
OG0000395	Prbc.g_01211	Pram.g_00307
OG0000396	Prbc.g_01213	Pram.g_00309
OG0000397	Prbc.g_01215	Pram.g_00311
OG0000398	Prbc.g_01216	Pram.g_00312
OG0000399	Prbc.g_01219	Pram.g_00315
OG0000400	Prbc.g_01225	Pram.g_00321
OG0000401	Prbc.g_01813	Pram.g_00322
OG0000402	Prbc.g_01246	Pram.g_00328
OG0000403	Prbc.g_01248	Pram.g_00330
OG0000404	Prbc.g_01249	Pram.g_00331
OG0000405	Prbc.g_01250	Pram.g_00332
OG0000406	Prbc.g_01253	Pram.g_00336
OG0000407	Prbc.g_01254	Pram.g_00337
OG0000408	Prbc.g_01256	Pram.g_00340
OG0000409	Prbc.g_01257	Pram.g_00341
OG0000410	Prbc.g_01258	Pram.g_00342
OG0000411	Prbc.g_01259	Pram.g_00343
OG0000412	Prbc.g_01260	Pram.g_00344
OG0000413	Prbc.g_01261	Pram.g_00345
OG0000414	Prbc.g_01262	Pram.g_00346
OG0000415	Prbc.g_01263	Pram.g_00347
OG0000416	Prbc.g_01267	Pram.g_00351
OG0000417	Prbc.g_01268	Pram.g_00352
OG0000418	Prbc.g_01270	Pram.g_00354
OG0000419	Prbc.g_01271	Pram.g_00355
OG0000420	Prbc.g_01912	Pram.g_00864
OG0000421	Prbc.g_02137	Pram.g_01184
OG0000422	Prbc.g_02168	Pram.g_01537
OG0000423	Prbc.g_01317	Pram.g_01177
OG0000424	Prbc.g_00934	Pram.g_01696
OG0000425	Prbc.g_01492	Pram.g_00366
OG0000426	Prbc.g_01493	Pram.g_00367
OG0000427	Prbc.g_01494	Pram.g_00368
OG0000428	Prbc.g_01496	Pram.g_00370
OG0000429	Prbc.g_01497	Pram.g_00371
OG0000430	Prbc.g_01499	Pram.g_00373
OG0000431	Prbc.g_01500	Pram.g_00374
OG0000432	Prbc.g_01501	Pram.g_00375
OG0000433	Prbc.g_01502	Pram.g_00376
OG0000434	Prbc.g_01503	Pram.g_00377
OG0000435	Prbc.g_01504	Pram.g_00378
OG0000436	Prbc.g_01505	Pram.g_00379
OG0000437	Prbc.g_01506	Pram.g_00380
OG0000438	Prbc.g_01507	Pram.g_00381
OG0000439	Prbc.g_01508	Pram.g_00382
OG0000440	Prbc.g_01509	Pram.g_00383
OG0000441	Prbc.g_01510	Pram.g_00384
OG0000442	Prbc.g_01511	Pram.g_00385
OG0000443	Prbc.g_01512	Pram.g_00386
OG0000444	Prbc.g_01513	Pram.g_00387
OG0000445	Prbc.g_01514	Pram.g_00393
OG0000446	Prbc.g_01516	Pram.g_00395
OG0000447	Prbc.g_01517	Pram.g_00396
OG0000448	Prbc.g_01518	Pram.g_00397
OG0000449	Prbc.g_01524	Pram.g_00400
OG0000450	Prbc.g_01525	Pram.g_00401
OG0000451	Prbc.g_01526	Pram.g_00402
OG0000452	Prbc.g_01528	Pram.g_00404
OG0000453	Prbc.g_01529	Pram.g_00406
OG0000454	Prbc.g_01531	Pram.g_00407
OG0000455	Prbc.g_01532	Pram.g_00409
OG0000456	Prbc.g_01536	Pram.g_00413
OG0000457	Prbc.g_01538	Pram.g_00414
OG0000458	Prbc.g_01539	Pram.g_00415
OG0000459	Prbc.g_01541	Pram.g_00417
OG0000460	Prbc.g_01543	Pram.g_00419
OG0000461	Prbc.g_01544	Pram.g_00420
OG0000462	Prbc.g_01545	Pram.g_00421
OG0000463	Prbc.g_01546	Pram.g_00423
OG0000464	Prbc.g_01547	Pram.g_00424
OG0000465	Prbc.g_01548	Pram.g_00425
OG0000466	Prbc.g_01549	Pram.g_00426
OG0000467	Prbc.g_01550	Pram.g_00427
OG0000468	Prbc.g_01551	Pram.g_00428
OG0000469	Prbc.g_01552	Pram.g_00429
OG0000470	Prbc.g_01553	Pram.g_00430
OG0000471	Prbc.g_01554	Pram.g_00431
OG0000472	Prbc.g_01580	Pram.g_00438
OG0000473	Prbc.g_01581	Pram.g_00439
OG0000474	Prbc.g_01582	Pram.g_00440
OG0000475	Prbc.g_01583	Pram.g_00441
OG0000476	Prbc.g_01585	Pram.g_00442
OG0000477	Prbc.g_01586	Pram.g_00443
OG0000478	Prbc.g_01587	Pram.g_00444
OG0000479	Prbc.g_01588	Pram.g_00445
OG0000480	Prbc.g_01590	Pram.g_00447
OG0000481	Prbc.g_01592	Pram.g_00449
OG0000482	Prbc.g_01593	Pram.g_00450
OG0000483	Prbc.g_01595	Pram.g_00452
OG0000484	Prbc.g_01596	Pram.g_00453
OG0000485	Prbc.g_01597	Pram.g_00454
OG0000486	Prbc.g_01599	Pram.g_00456
OG0000487	Prbc.g_01603	Pram.g_00461
OG0000488	Prbc.g_01604	Pram.g_00462
OG0000489	Prbc.g_01605	Pram.g_00463
OG0000490	Prbc.g_01606	Pram.g_00464
OG0000491	Prbc.g_01607	Pram.g_00465
OG0000492	Prbc.g_01608	Pram.g_00466
OG0000493	Prbc.g_01609	Pram.g_00468
OG0000494	Prbc.g_01610	Pram.g_00469
OG0000495	Prbc.g_01613	Pram.g_00472
OG0000496	Prbc.g_01614	Pram.g_00473
OG0000497	Prbc.g_01615	Pram.g_00474
OG0000498	Prbc.g_01616	Pram.g_00475
OG0000499	Prbc.g_01617	Pram.g_00476
OG0000500	Prbc.g_01619	Pram.g_00477
OG0000501	Prbc.g_01620	Pram.g_00478
OG0000502	Prbc.g_01621	Pram.g_00479
OG0000503	Prbc.g_01623	Pram.g_00481
OG0000504	Prbc.g_01624	Pram.g_00482
OG0000505	Prbc.g_01626	Pram.g_00483
OG0000506	Prbc.g_01627	Pram.g_00484
OG0000507	Prbc.g_01628	Pram.g_00485
OG0000508	Prbc.g_01629	Pram.g_00486
OG0000509	Prbc.g_01630	Pram.g_00487
OG0000510	Prbc.g_01631	Pram.g_00488
OG0000511	Prbc.g_01633	Pram.g_00490
OG0000512	Prbc.g_01634	Pram.g_00491
OG0000513	Prbc.g_01635	Pram.g_00492
OG0000514	Prbc.g_01636	Pram.g_00493
OG0000515	Prbc.g_01637	Pram.g_00494
OG0000516	Prbc.g_01638	Pram.g_00495
OG0000517	Prbc.g_01640	Pram.g_00497
OG0000518	Prbc.g_01641	Pram.g_00498
OG0000519	Prbc.g_01642	Pram.g_00500
OG0000520	Prbc.g_01643	Pram.g_00502
OG0000521	Prbc.g_01644	Pram.g_00503
OG0000522	Prbc.g_01645	Pram.g_00504
OG0000523	Prbc.g_01646	Pram.g_00505
OG0000524	Prbc.g_01647	Pram.g_00506
OG0000525	Prbc.g_01648	Pram.g_00507
OG0000526	Prbc.g_01649	Pram.g_00508
OG0000527	Prbc.g_01650	Pram.g_00509
OG0000528	Prbc.g_01651	Pram.g_00510
OG0000529	Prbc.g_01652	Pram.g_00511
OG0000530	Prbc.g_01653	Pram.g_00512
OG0000531	Prbc.g_01654	Pram.g_00513
OG0000532	Prbc.g_01655	Pram.g_00514
OG0000533	Prbc.g_01656	Pram.g_00516
OG0000534	Prbc.g_01657	Pram.g_00517
OG0000535	Prbc.g_01658	Pram.g_00518
OG0000536	Prbc.g_01659	Pram.g_00519
OG0000537	Prbc.g_01660	Pram.g_00520
OG0000538	Prbc.g_01661	Pram.g_00521
OG0000539	Prbc.g_01663	Pram.g_00523
OG0000540	Prbc.g_01664	Pram.g_00524
OG0000541	Prbc.g_01665	Pram.g_00525
OG0000542	Prbc.g_01667	Pram.g_00528
OG0000543	Prbc.g_01668	Pram.g_00529
OG0000544	Prbc.g_01670	Pram.g_00530
