Orthogroup	Prbh	Syas
OG0000081	Prbh.g_00298	Syas.g_00391
OG0000082	Prbh.g_01855	Syas.g_00837
OG0000085	Prbh.g_01408	Syas.g_02695
OG0000086	Prbh.g_00695	Syas.g_02470
OG0000087	Prbh.g_00642	Syas.g_02374
OG0000089	Prbh.g_00415	Syas.g_01512
OG0000090	Prbh.g_00296	Syas.g_00062
OG0000091	Prbh.g_01211	Syas.g_00907, Syas.g_00146
OG0000092	Prbh.g_00883	Syas.g_00900, Syas.g_00877
OG0000094	Prbh.g_01130	Syas.g_01716
OG0000095	Prbh.g_01031	Syas.g_01021
OG0000097	Prbh.g_01236	Syas.g_00114, Syas.g_01443
OG0000098	Prbh.g_01935	Syas.g_00091
OG0000099	Prbh.g_00032	Syas.g_01826
OG0000100	Prbh.g_00179	Syas.g_00567
OG0000101	Prbh.g_01644	Syas.g_01589
OG0000102	Prbh.g_01576	Syas.g_02152, Syas.g_01395
OG0000103	Prbh.g_01489	Syas.g_02009
OG0000104	Prbh.g_01480	Syas.g_02027, Syas.g_02026
OG0000105	Prbh.g_00505	Syas.g_01739
OG0000106	Prbh.g_00821	Syas.g_01451
OG0000107	Prbh.g_01718	Syas.g_01669
OG0000108	Prbh.g_00351	Syas.g_01253
OG0000109	Prbh.g_00337	Syas.g_01236
OG0000110	Prbh.g_00254	Syas.g_00818
OG0000111	Prbh.g_00937	Syas.g_01037
OG0000112	Prbh.g_01078	Syas.g_00452
OG0000113	Prbh.g_00976	Syas.g_00571
OG0000114	Prbh.g_00878	Syas.g_00674
OG0000115	Prbh.g_01344	Syas.g_02548, Syas.g_01285
OG0000116	Prbh.g_01294	Syas.g_01198, Syas.g_00317
OG0000117	Prbh.g_01255	Syas.g_01122
OG0000118	Prbh.g_01385	Syas.g_02835
OG0000120	Prbh.g_00031	Syas.g_01828
OG0000121	Prbh.g_00101	Syas.g_02821
OG0000122	Prbh.g_01347, Prbh.g_00143	Syas.g_00393
OG0000123	Prbh.g_01637	Syas.g_01582
OG0000124	Prbh.g_01564	Syas.g_02137
OG0000125	Prbh.g_01528	Syas.g_01889
OG0000126	Prbh.g_01481	Syas.g_01992
OG0000127	Prbh.g_01938	Syas.g_02540
OG0000128	Prbh.g_01953	Syas.g_02046
OG0000129	Prbh.g_00738	Syas.g_01880
OG0000130	Prbh.g_00713	Syas.g_02522
OG0000131	Prbh.g_00637	Syas.g_02367
OG0000132	Prbh.g_00618	Syas.g_02334
OG0000133	Prbh.g_00457	Syas.g_00457
OG0000134	Prbh.g_00413	Syas.g_01509
OG0000135	Prbh.g_01825	Syas.g_01938
OG0000136	Prbh.g_00391	Syas.g_02740
OG0000137	Prbh.g_00356	Syas.g_01333
OG0000138	Prbh.g_00336	Syas.g_01235
OG0000140	Prbh.g_00291	Syas.g_00090
OG0000141	Prbh.g_00222	Syas.g_00875
OG0000142	Prbh.g_01218	Syas.g_00746
OG0000143	Prbh.g_01215	Syas.g_00742
OG0000144	Prbh.g_01201	Syas.g_00718
OG0000145	Prbh.g_01880	Syas.g_00948
OG0000146	Prbh.g_01077	Syas.g_00451
OG0000147	Prbh.g_01076	Syas.g_00450
OG0000148	Prbh.g_00970	Syas.g_00577
OG0000149	Prbh.g_01002	Syas.g_00282
OG0000150	Prbh.g_01012	Syas.g_00874
OG0000151	Prbh.g_00888	Syas.g_00148, Syas.g_00659
OG0000152	Prbh.g_01086	Syas.g_00461
OG0000153	Prbh.g_01104	Syas.g_00543
OG0000154	Prbh.g_01121	Syas.g_00219
OG0000155	Prbh.g_01261	Syas.g_01131
OG0000156	Prbh.g_01362	Syas.g_01206
OG0000157	Prbh.g_01363	Syas.g_01207
OG0000158	Prbh.g_01599	Syas.g_02185
OG0000159	Prbh.g_00039, Prbh.g_00722	Syas.g_01155
OG0000160	Prbh.g_00100	Syas.g_02820
OG0000161	Prbh.g_01288, Prbh.g_00106	Syas.g_02826
OG0000162	Prbh.g_00112	Syas.g_02751
OG0000163	Prbh.g_00151	Syas.g_01488
OG0000164	Prbh.g_01758	Syas.g_02648
OG0000165	Prbh.g_01750	Syas.g_02609
OG0000166	Prbh.g_01681	Syas.g_01629
OG0000167	Prbh.g_01609	Syas.g_01449
OG0000168	Prbh.g_01598	Syas.g_02184
OG0000169	Prbh.g_01588	Syas.g_02170
OG0000170	Prbh.g_01585	Syas.g_02161
OG0000171	Prbh.g_01565	Syas.g_02139
OG0000172	Prbh.g_01558	Syas.g_02110
OG0000173	Prbh.g_01543	Syas.g_02092
OG0000174	Prbh.g_01512	Syas.g_01940
OG0000175	Prbh.g_01500	Syas.g_01994
OG0000176	Prbh.g_01472	Syas.g_02038
OG0000177	Prbh.g_01471	Syas.g_02039
OG0000178	Prbh.g_01470	Syas.g_02040
OG0000179	Prbh.g_00764	Syas.g_02054
OG0000180	Prbh.g_00763	Syas.g_02055
OG0000181	Prbh.g_00762	Syas.g_02056
OG0000182	Prbh.g_00761	Syas.g_02057
OG0000183	Prbh.g_00757	Syas.g_02061
OG0000184	Prbh.g_00734	Syas.g_01872
OG0000185	Prbh.g_00731	Syas.g_01861
OG0000186	Prbh.g_00719	Syas.g_02525
OG0000187	Prbh.g_00718	Syas.g_02524
OG0000188	Prbh.g_00701	Syas.g_02502
OG0000189	Prbh.g_00687	Syas.g_02432
OG0000190	Prbh.g_00686	Syas.g_00133
OG0000191	Prbh.g_00664	Syas.g_02400
OG0000192	Prbh.g_00659	Syas.g_02395
OG0000193	Prbh.g_00636	Syas.g_02366
OG0000194	Prbh.g_00633	Syas.g_02363
OG0000195	Prbh.g_00631	Syas.g_02360
OG0000196	Prbh.g_00621	Syas.g_02337
OG0000197	Prbh.g_00620	Syas.g_02336
OG0000198	Prbh.g_00619	Syas.g_02335
OG0000199	Prbh.g_00612	Syas.g_02327
OG0000200	Prbh.g_00599	Syas.g_02298
OG0000201	Prbh.g_00590	Syas.g_02279
OG0000202	Prbh.g_00589	Syas.g_02278
OG0000203	Prbh.g_00588	Syas.g_02277
OG0000204	Prbh.g_00587	Syas.g_02276
OG0000205	Prbh.g_00580	Syas.g_02267
OG0000206	Prbh.g_00575	Syas.g_02240
OG0000207	Prbh.g_00573	Syas.g_02237
OG0000208	Prbh.g_00572	Syas.g_02236
OG0000209	Prbh.g_00563	Syas.g_01837
OG0000210	Prbh.g_00562	Syas.g_01838
OG0000211	Prbh.g_00547	Syas.g_02552
OG0000212	Prbh.g_00539	Syas.g_02562
OG0000213	Prbh.g_00521	Syas.g_01707
OG0000214	Prbh.g_00512	Syas.g_01730
OG0000215	Prbh.g_00485	Syas.g_01766
OG0000216	Prbh.g_00484	Syas.g_01770
OG0000217	Prbh.g_00481	Syas.g_01778
OG0000218	Prbh.g_00479	Syas.g_01780
OG0000219	Prbh.g_00478	Syas.g_01783
OG0000220	Prbh.g_00477	Syas.g_01784
OG0000221	Prbh.g_00476	Syas.g_01785
OG0000222	Prbh.g_00469	Syas.g_01804
OG0000223	Prbh.g_00456	Syas.g_02221
OG0000224	Prbh.g_00454	Syas.g_02215
OG0000225	Prbh.g_00426	Syas.g_01522
OG0000226	Prbh.g_00422	Syas.g_01518
OG0000227	Prbh.g_00420	Syas.g_01516
OG0000228	Prbh.g_00416	Syas.g_01513
OG0000229	Prbh.g_00396	Syas.g_01497
OG0000230	Prbh.g_00394	Syas.g_01495
OG0000231	Prbh.g_00383	Syas.g_02749
OG0000232	Prbh.g_00370	Syas.g_01276
OG0000233	Prbh.g_00365	Syas.g_01352
OG0000234	Prbh.g_00355	Syas.g_01331
OG0000235	Prbh.g_00352	Syas.g_01254
OG0000236	Prbh.g_00338	Syas.g_01237
OG0000237	Prbh.g_00324	Syas.g_01220
OG0000238	Prbh.g_00318	Syas.g_01215
OG0000239	Prbh.g_00305	Syas.g_00012
OG0000240	Prbh.g_00304	Syas.g_00013
OG0000241	Prbh.g_00299	Syas.g_00754
OG0000242	Prbh.g_00297	Syas.g_00059
OG0000243	Prbh.g_00287	Syas.g_00777
OG0000244	Prbh.g_00284	Syas.g_00784
OG0000245	Prbh.g_00282	Syas.g_00786
OG0000246	Prbh.g_00278	Syas.g_00790
OG0000247	Prbh.g_00267	Syas.g_00802
OG0000248	Prbh.g_00264	Syas.g_00805
OG0000249	Prbh.g_00262	Syas.g_00807
OG0000250	Prbh.g_00257	Syas.g_00814
OG0000251	Prbh.g_00239	Syas.g_00845
OG0000252	Prbh.g_00236	Syas.g_00950
OG0000253	Prbh.g_00235	Syas.g_00846
OG0000254	Prbh.g_00218	Syas.g_00869
OG0000255	Prbh.g_00212	Syas.g_00132, Syas.g_01062
OG0000256	Prbh.g_01455	Syas.g_00104
OG0000257	Prbh.g_01223	Syas.g_00757
OG0000258	Prbh.g_01210	Syas.g_00733
OG0000259	Prbh.g_01193	Syas.g_00708
OG0000260	Prbh.g_01190	Syas.g_00705
OG0000261	Prbh.g_01187	Syas.g_00701
OG0000262	Prbh.g_01182	Syas.g_00695
OG0000263	Prbh.g_00915	Syas.g_01103
OG0000264	Prbh.g_00926	Syas.g_02588
OG0000266	Prbh.g_01163	Syas.g_00186
OG0000267	Prbh.g_01150	Syas.g_00377
OG0000268	Prbh.g_01149	Syas.g_00390
OG0000269	Prbh.g_00948	Syas.g_00601
OG0000270	Prbh.g_00951	Syas.g_00598
OG0000271	Prbh.g_00959	Syas.g_00590
OG0000272	Prbh.g_00960	Syas.g_00589
OG0000273	Prbh.g_00983	Syas.g_00563
OG0000274	Prbh.g_00984	Syas.g_00562
OG0000275	Prbh.g_00987	Syas.g_00230
OG0000276	Prbh.g_00993	Syas.g_00237
OG0000277	Prbh.g_00994	Syas.g_00238
OG0000278	Prbh.g_00997	Syas.g_00241
OG0000279	Prbh.g_01005	Syas.g_00288
OG0000280	Prbh.g_01006	Syas.g_00889, Syas.g_00481
OG0000281	Prbh.g_01013	Syas.g_00970
OG0000282	Prbh.g_00880	Syas.g_00672
OG0000283	Prbh.g_01059	Syas.g_00409
OG0000284	Prbh.g_01064	Syas.g_00416
OG0000285	Prbh.g_01069	Syas.g_00436
OG0000286	Prbh.g_01085	Syas.g_00460
OG0000287	Prbh.g_01342	Syas.g_00534
OG0000288	Prbh.g_01120	Syas.g_00220
OG0000289	Prbh.g_01135	Syas.g_00205
OG0000290	Prbh.g_01034	Syas.g_01016
OG0000292	Prbh.g_01328	Syas.g_02020
OG0000293	Prbh.g_01293	Syas.g_01197
OG0000294	Prbh.g_01292	Syas.g_01196
OG0000295	Prbh.g_01268	Syas.g_01139
OG0000296	Prbh.g_01266	Syas.g_01137
OG0000299	Prbh.g_01237	Syas.g_01087
OG0000300	Prbh.g_01234	Syas.g_01082
OG0000301	Prbh.g_01233	Syas.g_01081
OG0000302	Prbh.g_01231	Syas.g_01080
OG0000303	Prbh.g_01225	Syas.g_01071
OG0000304	Prbh.g_01450	Syas.g_01066
OG0000305	Prbh.g_01326	Syas.g_01023
OG0000306	Prbh.g_01017	Syas.g_01929
OG0000307	Prbh.g_00019	Syas.g_01270
OG0000308	Prbh.g_00020	Syas.g_01272
OG0000309	Prbh.g_00024	Syas.g_01364
OG0000310	Prbh.g_00082	Syas.g_02796
OG0000311	Prbh.g_00084	Syas.g_02799
OG0000312	Prbh.g_00087	Syas.g_02804
OG0000313	Prbh.g_00103	Syas.g_02823
OG0000315	Prbh.g_00136	Syas.g_01306
OG0000316	Prbh.g_00162	Syas.g_02728
OG0000317	Prbh.g_01785	Syas.g_02687
OG0000318	Prbh.g_01781	Syas.g_02680
OG0000319	Prbh.g_01768	Syas.g_02663
OG0000320	Prbh.g_01766	Syas.g_02661
OG0000321	Prbh.g_01765	Syas.g_02660
OG0000322	Prbh.g_01764	Syas.g_02659
OG0000323	Prbh.g_01755	Syas.g_02646
OG0000324	Prbh.g_01727	Syas.g_02578
OG0000325	Prbh.g_01717	Syas.g_01668
OG0000326	Prbh.g_01710	Syas.g_01661
OG0000327	Prbh.g_01686	Syas.g_01634
OG0000328	Prbh.g_01685	Syas.g_01633
OG0000329	Prbh.g_01668	Syas.g_01615
OG0000330	Prbh.g_01667	Syas.g_01614
OG0000331	Prbh.g_01666	Syas.g_01613
OG0000332	Prbh.g_01652	Syas.g_01598
OG0000333	Prbh.g_01650	Syas.g_01595
OG0000334	Prbh.g_01641	Syas.g_01586
OG0000335	Prbh.g_01636	Syas.g_01581
OG0000336	Prbh.g_01632	Syas.g_01577
OG0000337	Prbh.g_01613	Syas.g_02211
OG0000338	Prbh.g_01612	Syas.g_02199
OG0000339	Prbh.g_01606	Syas.g_02192
OG0000340	Prbh.g_01597	Syas.g_02183
OG0000341	Prbh.g_01595	Syas.g_02181
OG0000342	Prbh.g_01594	Syas.g_02180
OG0000343	Prbh.g_01593	Syas.g_02176
OG0000344	Prbh.g_01590	Syas.g_02172
OG0000345	Prbh.g_01584	Syas.g_02160
OG0000346	Prbh.g_01580	Syas.g_02155
OG0000347	Prbh.g_01563	Syas.g_02136
OG0000348	Prbh.g_01555	Syas.g_02107
OG0000349	Prbh.g_01537	Syas.g_02085
OG0000350	Prbh.g_01516	Syas.g_01654
OG0000351	Prbh.g_01497	Syas.g_01998
OG0000352	Prbh.g_01496	Syas.g_01999
OG0000353	Prbh.g_01477	Syas.g_02033
OG0000355	Prbh.g_01475	Syas.g_02035
OG0000356	Prbh.g_01474	Syas.g_02036
OG0000357	Prbh.g_01473	Syas.g_02037
OG0000358	Prbh.g_01469	Syas.g_02041
OG0000359	Prbh.g_01468	Syas.g_02043
OG0000360	Prbh.g_01467	Syas.g_02044
OG0000361	Prbh.g_01466	Syas.g_02045
OG0000362	Prbh.g_01952	Syas.g_02047
OG0000363	Prbh.g_00766	Syas.g_02049
OG0000364	Prbh.g_00765	Syas.g_02685
OG0000365	Prbh.g_00760	Syas.g_02058
OG0000366	Prbh.g_00759	Syas.g_02059
OG0000368	Prbh.g_00756	Syas.g_02062
OG0000369	Prbh.g_00755	Syas.g_02063
OG0000370	Prbh.g_00754	Syas.g_02064
OG0000371	Prbh.g_00748	Syas.g_02073
OG0000372	Prbh.g_00746	Syas.g_02078
OG0000373	Prbh.g_00745	Syas.g_02079
OG0000374	Prbh.g_00744	Syas.g_02080
OG0000375	Prbh.g_00743	Syas.g_02081
OG0000376	Prbh.g_00741	Syas.g_02083
OG0000377	Prbh.g_00737	Syas.g_01879
OG0000378	Prbh.g_00733	Syas.g_01867
OG0000379	Prbh.g_00730	Syas.g_01859
OG0000380	Prbh.g_00717	Syas.g_02523
OG0000381	Prbh.g_00712	Syas.g_02521
OG0000382	Prbh.g_00702	Syas.g_02503
OG0000383	Prbh.g_00700	Syas.g_02480
OG0000384	Prbh.g_00699	Syas.g_02479
OG0000385	Prbh.g_00698	Syas.g_02478
OG0000386	Prbh.g_00697	Syas.g_02477
OG0000387	Prbh.g_00684	Syas.g_00134
OG0000388	Prbh.g_00680	Syas.g_02426
OG0000389	Prbh.g_00677	Syas.g_02422
OG0000390	Prbh.g_00668	Syas.g_02406
OG0000391	Prbh.g_00665	Syas.g_02401
OG0000392	Prbh.g_00661	Syas.g_02396
OG0000393	Prbh.g_00658	Syas.g_02394
OG0000394	Prbh.g_00657	Syas.g_02393
OG0000395	Prbh.g_00656	Syas.g_02392
OG0000396	Prbh.g_00654	Syas.g_02389
OG0000397	Prbh.g_00652	Syas.g_02387
OG0000398	Prbh.g_00649	Syas.g_02382
OG0000399	Prbh.g_00648	Syas.g_02381
OG0000400	Prbh.g_00647	Syas.g_02380
OG0000401	Prbh.g_00646	Syas.g_02379
OG0000402	Prbh.g_01144	Syas.g_02377
OG0000403	Prbh.g_00644	Syas.g_02376
OG0000404	Prbh.g_00643	Syas.g_02375
OG0000405	Prbh.g_00639	Syas.g_02369
OG0000406	Prbh.g_00635	Syas.g_02365
OG0000407	Prbh.g_00634	Syas.g_02364
OG0000408	Prbh.g_00632	Syas.g_02361
OG0000409	Prbh.g_00630	Syas.g_02359
OG0000410	Prbh.g_00629	Syas.g_02358
OG0000411	Prbh.g_00628	Syas.g_02357
OG0000412	Prbh.g_00627	Syas.g_02356
OG0000413	Prbh.g_00626	Syas.g_02354
OG0000414	Prbh.g_00625	Syas.g_02353
OG0000415	Prbh.g_00624	Syas.g_02352
OG0000416	Prbh.g_00623	Syas.g_02351
OG0000417	Prbh.g_00622	Syas.g_02338
OG0000418	Prbh.g_00617	Syas.g_02333
OG0000419	Prbh.g_00615	Syas.g_02331
OG0000420	Prbh.g_00614	Syas.g_02329
OG0000421	Prbh.g_00610	Syas.g_02324
OG0000422	Prbh.g_00609	Syas.g_02323
OG0000423	Prbh.g_00608	Syas.g_02322
OG0000424	Prbh.g_00607	Syas.g_02321
OG0000425	Prbh.g_00606	Syas.g_02320
OG0000426	Prbh.g_00605	Syas.g_02319
OG0000427	Prbh.g_00604	Syas.g_02318
OG0000428	Prbh.g_00602	Syas.g_02315
OG0000429	Prbh.g_00601	Syas.g_02312
OG0000430	Prbh.g_00600	Syas.g_02311
OG0000431	Prbh.g_00598	Syas.g_02296
OG0000432	Prbh.g_00594	Syas.g_02288
OG0000433	Prbh.g_00593	Syas.g_02286
OG0000434	Prbh.g_00592	Syas.g_02285
OG0000435	Prbh.g_00591	Syas.g_02282
OG0000436	Prbh.g_00586	Syas.g_02273
OG0000437	Prbh.g_00585	Syas.g_02272
OG0000438	Prbh.g_00584	Syas.g_02271
OG0000439	Prbh.g_00582	Syas.g_02269
OG0000440	Prbh.g_00581	Syas.g_02268
OG0000441	Prbh.g_00578	Syas.g_02265
OG0000442	Prbh.g_00577	Syas.g_02259
OG0000443	Prbh.g_00576	Syas.g_02241
OG0000444	Prbh.g_00571	Syas.g_02234
OG0000445	Prbh.g_00570	Syas.g_02233
OG0000446	Prbh.g_00569	Syas.g_02231
OG0000447	Prbh.g_00568	Syas.g_02229
OG0000448	Prbh.g_00567	Syas.g_02228
OG0000449	Prbh.g_00566	Syas.g_02226
OG0000450	Prbh.g_00565	Syas.g_01834
OG0000451	Prbh.g_00564	Syas.g_01835
OG0000452	Prbh.g_00561	Syas.g_01844
OG0000453	Prbh.g_00560	Syas.g_01845
OG0000454	Prbh.g_00559	Syas.g_01846
OG0000455	Prbh.g_00558	Syas.g_01847
OG0000456	Prbh.g_00557	Syas.g_01848
OG0000457	Prbh.g_00555	Syas.g_01850
OG0000458	Prbh.g_00554	Syas.g_01851
OG0000459	Prbh.g_00553	Syas.g_01852
OG0000460	Prbh.g_00545	Syas.g_02554
OG0000461	Prbh.g_00537	Syas.g_01686
OG0000462	Prbh.g_00535	Syas.g_01688
OG0000463	Prbh.g_00534	Syas.g_01689
OG0000464	Prbh.g_00533	Syas.g_01690
OG0000465	Prbh.g_00532	Syas.g_01692
OG0000466	Prbh.g_00529	Syas.g_01697
OG0000467	Prbh.g_00528	Syas.g_01698
OG0000468	Prbh.g_00525	Syas.g_01703
OG0000469	Prbh.g_00517	Syas.g_01725
OG0000470	Prbh.g_00515	Syas.g_01727
OG0000471	Prbh.g_00514	Syas.g_01728
OG0000472	Prbh.g_00513	Syas.g_01729
OG0000473	Prbh.g_00511	Syas.g_01731
OG0000474	Prbh.g_00510	Syas.g_01732
OG0000475	Prbh.g_00509	Syas.g_01733
OG0000476	Prbh.g_00507	Syas.g_01735
OG0000477	Prbh.g_00504	Syas.g_01740
OG0000478	Prbh.g_00503	Syas.g_01741
OG0000479	Prbh.g_00502	Syas.g_01749
OG0000480	Prbh.g_00497	Syas.g_01756
OG0000481	Prbh.g_00494	Syas.g_00161, Syas.g_00162
OG0000482	Prbh.g_00493	Syas.g_01758
OG0000483	Prbh.g_00490	Syas.g_01762
OG0000484	Prbh.g_00489	Syas.g_01763
OG0000485	Prbh.g_00487	Syas.g_01764
OG0000486	Prbh.g_00486	Syas.g_01765
OG0000487	Prbh.g_00483	Syas.g_01771
OG0000488	Prbh.g_00480	Syas.g_01779
OG0000489	Prbh.g_00475	Syas.g_01823
OG0000490	Prbh.g_00471	Syas.g_01808
OG0000491	Prbh.g_00470	Syas.g_01806
OG0000492	Prbh.g_00468	Syas.g_01803
OG0000493	Prbh.g_00467	Syas.g_01802
OG0000494	Prbh.g_00466	Syas.g_01801
OG0000495	Prbh.g_00465	Syas.g_01799
OG0000496	Prbh.g_00464	Syas.g_01798
OG0000497	Prbh.g_00463	Syas.g_01797
OG0000498	Prbh.g_00462	Syas.g_01796
OG0000499	Prbh.g_00461	Syas.g_01795
OG0000500	Prbh.g_00460	Syas.g_01794
OG0000501	Prbh.g_00458	Syas.g_01791
OG0000502	Prbh.g_00455	Syas.g_02216
OG0000503	Prbh.g_00439	Syas.g_01541
OG0000504	Prbh.g_00437	Syas.g_01539
OG0000505	Prbh.g_00436	Syas.g_01538
OG0000506	Prbh.g_00435	Syas.g_01536
OG0000507	Prbh.g_00431	Syas.g_01530
OG0000508	Prbh.g_00427	Syas.g_01523
OG0000509	Prbh.g_00425	Syas.g_01521
OG0000510	Prbh.g_00424	Syas.g_01520
OG0000511	Prbh.g_00423	Syas.g_01519
OG0000512	Prbh.g_00421	Syas.g_01517
OG0000513	Prbh.g_00412	Syas.g_01508
OG0000514	Prbh.g_00401	Syas.g_01504
OG0000515	Prbh.g_00400	Syas.g_01503
OG0000516	Prbh.g_00399	Syas.g_01501
OG0000517	Prbh.g_00397	Syas.g_01498
OG0000518	Prbh.g_00386	Syas.g_00360, Syas.g_02746
OG0000519	Prbh.g_00385	Syas.g_02747
OG0000520	Prbh.g_00384	Syas.g_02748
OG0000521	Prbh.g_00374	Syas.g_01281
OG0000522	Prbh.g_00372	Syas.g_01279
OG0000523	Prbh.g_00371	Syas.g_01278
OG0000524	Prbh.g_00367	Syas.g_01354
OG0000525	Prbh.g_00363	Syas.g_01342
OG0000526	Prbh.g_00361	Syas.g_01340
OG0000527	Prbh.g_00358	Syas.g_01335
OG0000528	Prbh.g_00353	Syas.g_01256
OG0000529	Prbh.g_00350	Syas.g_01252
OG0000530	Prbh.g_00347	Syas.g_01249
OG0000531	Prbh.g_00346	Syas.g_01248
OG0000532	Prbh.g_00344	Syas.g_01245
OG0000533	Prbh.g_00343	Syas.g_01243
OG0000534	Prbh.g_00342	Syas.g_01242
OG0000535	Prbh.g_00341	Syas.g_01241
OG0000536	Prbh.g_00340	Syas.g_01240
OG0000537	Prbh.g_00339	Syas.g_01238
OG0000538	Prbh.g_00329	Syas.g_01228
OG0000539	Prbh.g_00328	Syas.g_01227
OG0000540	Prbh.g_00327	Syas.g_01226
OG0000541	Prbh.g_00326	Syas.g_01225
OG0000542	Prbh.g_00325	Syas.g_01221
OG0000543	Prbh.g_00323	Syas.g_01219
OG0000544	Prbh.g_00322	Syas.g_01218
OG0000545	Prbh.g_00320	Syas.g_01216
OG0000546	Prbh.g_00317	Syas.g_01214
OG0000547	Prbh.g_00315	Syas.g_01212
OG0000548	Prbh.g_00314	Syas.g_01211
OG0000549	Prbh.g_00311	Syas.g_00005
OG0000550	Prbh.g_00306	Syas.g_00010
OG0000551	Prbh.g_00303	Syas.g_00015
OG0000552	Prbh.g_00302	Syas.g_00016
OG0000553	Prbh.g_00301	Syas.g_00019
OG0000554	Prbh.g_00295	Syas.g_00063
OG0000555	Prbh.g_00288	Syas.g_00775
OG0000556	Prbh.g_00286	Syas.g_00781
OG0000557	Prbh.g_00285	Syas.g_00783
OG0000558	Prbh.g_00283	Syas.g_00785
OG0000559	Prbh.g_00279	Syas.g_00789
OG0000560	Prbh.g_00276	Syas.g_00792
OG0000561	Prbh.g_00275	Syas.g_00793
OG0000562	Prbh.g_00274	Syas.g_00794
OG0000563	Prbh.g_00273	Syas.g_00795
OG0000564	Prbh.g_00272	Syas.g_00796
OG0000565	Prbh.g_00269	Syas.g_00800
OG0000566	Prbh.g_00265	Syas.g_00804
OG0000567	Prbh.g_00261	Syas.g_00808
OG0000568	Prbh.g_00260	Syas.g_00810
OG0000569	Prbh.g_00259	Syas.g_00811
OG0000570	Prbh.g_00258	Syas.g_00812
OG0000571	Prbh.g_00256	Syas.g_00815
OG0000572	Prbh.g_00244	Syas.g_00839
OG0000573	Prbh.g_00238	Syas.g_00952
OG0000574	Prbh.g_00237	Syas.g_00951
OG0000575	Prbh.g_00233	Syas.g_00848
OG0000576	Prbh.g_00231	Syas.g_00850
OG0000577	Prbh.g_00230	Syas.g_00851
OG0000578	Prbh.g_00229	Syas.g_00852
OG0000579	Prbh.g_00228	Syas.g_00853
OG0000580	Prbh.g_00227	Syas.g_00854
OG0000581	Prbh.g_00224	Syas.g_00861
OG0000582	Prbh.g_00221	Syas.g_00873
OG0000583	Prbh.g_00220	Syas.g_00872
