Orthogroup	Prbh	Syah
OG0000107	Prbh.g_01718	Syah.g_00688
OG0000108	Prbh.g_00351	Syah.g_00997
OG0000109	Prbh.g_00337	Syah.g_01012
OG0000110	Prbh.g_00254	Syah.g_01124
OG0000112	Prbh.g_01078	Syah.g_01613
OG0000113	Prbh.g_00976	Syah.g_01752
OG0000114	Prbh.g_00878	Syah.g_01529
OG0000115	Prbh.g_01344	Syah.g_01269
OG0000116	Prbh.g_01294	Syah.g_02175
OG0000117	Prbh.g_01255	Syah.g_01425
OG0000118	Prbh.g_01385	Syah.g_01173
OG0000120	Prbh.g_00031	Syah.g_00145
OG0000121	Prbh.g_00101	Syah.g_01287
OG0000122	Prbh.g_01347, Prbh.g_00143	Syah.g_01900
OG0000123	Prbh.g_01637	Syah.g_00793
OG0000124	Prbh.g_01564	Syah.g_00272
OG0000125	Prbh.g_01528	Syah.g_00504
OG0000126	Prbh.g_01481	Syah.g_00379
OG0000128	Prbh.g_01953	Syah.g_00361
OG0000129	Prbh.g_00738	Syah.g_00516
OG0000130	Prbh.g_00713	Syah.g_02483
OG0000131	Prbh.g_00637	Syah.g_00052
OG0000132	Prbh.g_00618	Syah.g_00072
OG0000133	Prbh.g_00457	Syah.g_01618
OG0000134	Prbh.g_00413	Syah.g_00891
OG0000135	Prbh.g_01825	Syah.g_00465
OG0000136	Prbh.g_00391	Syah.g_02227
OG0000137	Prbh.g_00356	Syah.g_01221
OG0000138	Prbh.g_00336	Syah.g_01013
OG0000139	Prbh.g_00292	Syah.g_01070
OG0000140	Prbh.g_00291	Syah.g_01071
OG0000141	Prbh.g_00222	Syah.g_01981
OG0000142	Prbh.g_01218	Syah.g_01935
OG0000143	Prbh.g_01215	Syah.g_01931
OG0000144	Prbh.g_01201	Syah.g_01824
OG0000145	Prbh.g_01880	Syah.g_01019
OG0000146	Prbh.g_01077	Syah.g_01612
OG0000147	Prbh.g_01076	Syah.g_01611
OG0000148	Prbh.g_00970	Syah.g_01758
OG0000149	Prbh.g_01002	Syah.g_02096
OG0000150	Prbh.g_01012	Syah.g_01980
OG0000151	Prbh.g_00888	Syah.g_01820
OG0000152	Prbh.g_01086	Syah.g_01622
OG0000153	Prbh.g_01104	Syah.g_01656
OG0000154	Prbh.g_01121	Syah.g_01682
OG0000155	Prbh.g_01261	Syah.g_02123
OG0000156	Prbh.g_01362	Syah.g_02185
OG0000157	Prbh.g_01363	Syah.g_02186
OG0000158	Prbh.g_01599	Syah.g_00204
OG0000160	Prbh.g_00100	Syah.g_01289
OG0000161	Prbh.g_01288, Prbh.g_00106	Syah.g_01282
OG0000162	Prbh.g_00112	Syah.g_01276
OG0000163	Prbh.g_00151	Syah.g_02315
OG0000164	Prbh.g_01758	Syah.g_02423
OG0000165	Prbh.g_01750	Syah.g_02251
OG0000166	Prbh.g_01681	Syah.g_00747
OG0000167	Prbh.g_01609	Syah.g_00183
OG0000168	Prbh.g_01598	Syah.g_00205
OG0000169	Prbh.g_01588	Syah.g_00237
OG0000170	Prbh.g_01585	Syah.g_00245
OG0000171	Prbh.g_01565	Syah.g_00271
OG0000172	Prbh.g_01558	Syah.g_00293
OG0000173	Prbh.g_01543	Syah.g_00313
OG0000174	Prbh.g_01512	Syah.g_00461
OG0000175	Prbh.g_01500	Syah.g_00402
OG0000176	Prbh.g_01472	Syah.g_00369
OG0000177	Prbh.g_01471	Syah.g_00368
OG0000178	Prbh.g_01470	Syah.g_00367
OG0000179	Prbh.g_00764	Syah.g_00355
OG0000180	Prbh.g_00763	Syah.g_00354
OG0000181	Prbh.g_00762	Syah.g_00353
OG0000182	Prbh.g_00761	Syah.g_00352
OG0000183	Prbh.g_00757	Syah.g_00348
OG0000184	Prbh.g_00734	Syah.g_00525
OG0000185	Prbh.g_00731	Syah.g_00528
OG0000186	Prbh.g_00719	Syah.g_02479
OG0000187	Prbh.g_00718	Syah.g_02480
OG0000188	Prbh.g_00701	Syah.g_02501
OG0000189	Prbh.g_00687	Syah.g_02526
OG0000190	Prbh.g_00686	Syah.g_02528
OG0000191	Prbh.g_00664	Syah.g_00008
OG0000192	Prbh.g_00659	Syah.g_00013
OG0000193	Prbh.g_00636	Syah.g_00053
OG0000194	Prbh.g_00633	Syah.g_00056
OG0000195	Prbh.g_00631	Syah.g_00058
OG0000196	Prbh.g_00621	Syah.g_00069
OG0000197	Prbh.g_00620	Syah.g_00070
OG0000198	Prbh.g_00619	Syah.g_00071
OG0000199	Prbh.g_00612	Syah.g_00079
OG0000200	Prbh.g_00599	Syah.g_00616
OG0000202	Prbh.g_00589	Syah.g_00600
OG0000203	Prbh.g_00588	Syah.g_00599
OG0000204	Prbh.g_00587	Syah.g_00598
OG0000205	Prbh.g_00580	Syah.g_00591
OG0000206	Prbh.g_00575	Syah.g_00578
OG0000207	Prbh.g_00573	Syah.g_00575
OG0000208	Prbh.g_00572	Syah.g_00574
OG0000209	Prbh.g_00563	Syah.g_00544
OG0000210	Prbh.g_00562	Syah.g_00543
OG0000211	Prbh.g_00547	Syah.g_00904
OG0000212	Prbh.g_00539	Syah.g_00913
OG0000213	Prbh.g_00521	Syah.g_00657
OG0000214	Prbh.g_00512	Syah.g_00641
OG0000215	Prbh.g_00485	Syah.g_00101
OG0000216	Prbh.g_00484	Syah.g_00105
OG0000217	Prbh.g_00481	Syah.g_00109
OG0000218	Prbh.g_00479	Syah.g_00111
OG0000219	Prbh.g_00478	Syah.g_00112
OG0000220	Prbh.g_00477	Syah.g_00113
OG0000221	Prbh.g_00476	Syah.g_00120
OG0000222	Prbh.g_00469	Syah.g_00131
OG0000223	Prbh.g_00456	Syah.g_00153
OG0000224	Prbh.g_00454	Syah.g_00162
OG0000225	Prbh.g_00426	Syah.g_00874
OG0000226	Prbh.g_00422	Syah.g_00878
OG0000227	Prbh.g_00420	Syah.g_00880
OG0000228	Prbh.g_00416	Syah.g_00887
OG0000229	Prbh.g_00396	Syah.g_02236
OG0000230	Prbh.g_00394	Syah.g_02234
OG0000231	Prbh.g_00383	Syah.g_02218
OG0000232	Prbh.g_00370	Syah.g_01206
OG0000233	Prbh.g_00365	Syah.g_01210
OG0000234	Prbh.g_00355	Syah.g_01222
OG0000235	Prbh.g_00352	Syah.g_00996
OG0000236	Prbh.g_00338	Syah.g_01011
OG0000237	Prbh.g_00324	Syah.g_01028
OG0000238	Prbh.g_00318	Syah.g_01032
OG0000239	Prbh.g_00305	Syah.g_01048
OG0000240	Prbh.g_00304	Syah.g_01049
OG0000241	Prbh.g_00299	Syah.g_01944
OG0000242	Prbh.g_00297	Syah.g_01062
OG0000243	Prbh.g_00287	Syah.g_01079
OG0000244	Prbh.g_00284	Syah.g_01087
OG0000245	Prbh.g_00282	Syah.g_01090
OG0000246	Prbh.g_00278	Syah.g_01094
OG0000247	Prbh.g_00267	Syah.g_01106
OG0000248	Prbh.g_00264	Syah.g_01109
OG0000249	Prbh.g_00262	Syah.g_01111
OG0000250	Prbh.g_00257	Syah.g_01120
OG0000251	Prbh.g_00239	Syah.g_01145
OG0000252	Prbh.g_00236	Syah.g_01148
OG0000253	Prbh.g_00235	Syah.g_01149
OG0000254	Prbh.g_00218	Syah.g_01976
OG0000255	Prbh.g_00212	Syah.g_01968
OG0000256	Prbh.g_01455	Syah.g_01952
OG0000257	Prbh.g_01223	Syah.g_01945
OG0000258	Prbh.g_01210	Syah.g_01926
OG0000259	Prbh.g_01193	Syah.g_01494
OG0000260	Prbh.g_01190	Syah.g_01497
OG0000261	Prbh.g_01187	Syah.g_01500
OG0000262	Prbh.g_01182	Syah.g_01505
OG0000263	Prbh.g_00915	Syah.g_01410
OG0000264	Prbh.g_00926	Syah.g_02000
OG0000265	Prbh.g_00945	Syah.g_02252
OG0000266	Prbh.g_01163	Syah.g_01714
OG0000267	Prbh.g_01150	Syah.g_01574
OG0000268	Prbh.g_01149	Syah.g_01575
OG0000269	Prbh.g_00948	Syah.g_01784
OG0000270	Prbh.g_00951	Syah.g_01781
OG0000271	Prbh.g_00959	Syah.g_01773
OG0000272	Prbh.g_00960	Syah.g_01772
OG0000273	Prbh.g_00983	Syah.g_02075
OG0000274	Prbh.g_00984	Syah.g_02076
OG0000275	Prbh.g_00987	Syah.g_02081
OG0000276	Prbh.g_00993	Syah.g_02088
OG0000277	Prbh.g_00994	Syah.g_02089
OG0000278	Prbh.g_00997	Syah.g_02092
OG0000279	Prbh.g_01005	Syah.g_02100
OG0000280	Prbh.g_01006	Syah.g_02112
OG0000281	Prbh.g_01013	Syah.g_00722
OG0000282	Prbh.g_00880	Syah.g_01531
OG0000283	Prbh.g_01059	Syah.g_01585
OG0000284	Prbh.g_01064	Syah.g_01591
OG0000285	Prbh.g_01069	Syah.g_01603
OG0000286	Prbh.g_01085	Syah.g_01621
OG0000287	Prbh.g_01342	Syah.g_01231, Syah.g_01649
OG0000288	Prbh.g_01120	Syah.g_01681
OG0000289	Prbh.g_01135	Syah.g_01695
OG0000290	Prbh.g_01034	Syah.g_02033
OG0000291	Prbh.g_01032	Syah.g_02031
OG0000292	Prbh.g_01328	Syah.g_00380
OG0000293	Prbh.g_01293	Syah.g_02173
OG0000294	Prbh.g_01292	Syah.g_02172
OG0000295	Prbh.g_01268	Syah.g_02131
OG0000296	Prbh.g_01266	Syah.g_02129
OG0000297	Prbh.g_01257	Syah.g_01427
OG0000298	Prbh.g_01256	Syah.g_01426
OG0000299	Prbh.g_01237	Syah.g_01404
OG0000300	Prbh.g_01234	Syah.g_01397
OG0000301	Prbh.g_01233	Syah.g_01396
OG0000302	Prbh.g_01231	Syah.g_01395
OG0000303	Prbh.g_01225	Syah.g_01387
OG0000304	Prbh.g_01450	Syah.g_01382
OG0000305	Prbh.g_01326	Syah.g_02028
OG0000306	Prbh.g_01017	Syah.g_02116
OG0000307	Prbh.g_00019	Syah.g_00978
OG0000308	Prbh.g_00020	Syah.g_00976
OG0000309	Prbh.g_00024	Syah.g_00971
OG0000310	Prbh.g_00082	Syah.g_01321
OG0000311	Prbh.g_00084	Syah.g_01317
OG0000312	Prbh.g_00087	Syah.g_01304
OG0000313	Prbh.g_00103	Syah.g_01285
OG0000314	Prbh.g_00126	Syah.g_01259
OG0000315	Prbh.g_00136	Syah.g_01248
OG0000316	Prbh.g_00162	Syah.g_02333
OG0000317	Prbh.g_01785	Syah.g_02380
OG0000318	Prbh.g_01781	Syah.g_02385
OG0000319	Prbh.g_01768	Syah.g_02405
OG0000320	Prbh.g_01766	Syah.g_02407
OG0000321	Prbh.g_01765	Syah.g_02408
OG0000322	Prbh.g_01764	Syah.g_02409
OG0000323	Prbh.g_01755	Syah.g_02425
OG0000324	Prbh.g_01727	Syah.g_02278
OG0000325	Prbh.g_01717	Syah.g_00689
OG0000326	Prbh.g_01710	Syah.g_00696
OG0000327	Prbh.g_01686	Syah.g_00742
OG0000328	Prbh.g_01685	Syah.g_00743
OG0000329	Prbh.g_01668	Syah.g_00760
OG0000330	Prbh.g_01667	Syah.g_00761
OG0000331	Prbh.g_01666	Syah.g_00762
OG0000332	Prbh.g_01652	Syah.g_00776
OG0000333	Prbh.g_01650	Syah.g_00779
OG0000334	Prbh.g_01641	Syah.g_00789
OG0000335	Prbh.g_01636	Syah.g_00794
OG0000336	Prbh.g_01632	Syah.g_00798
OG0000337	Prbh.g_01613	Syah.g_00178
OG0000338	Prbh.g_01612	Syah.g_00181
OG0000339	Prbh.g_01606	Syah.g_00188
OG0000340	Prbh.g_01597	Syah.g_00206
OG0000341	Prbh.g_01595	Syah.g_00208
OG0000342	Prbh.g_01594	Syah.g_00209
OG0000343	Prbh.g_01593	Syah.g_00231
OG0000344	Prbh.g_01590	Syah.g_00235
OG0000345	Prbh.g_01584	Syah.g_00246
OG0000346	Prbh.g_01580	Syah.g_00251
OG0000347	Prbh.g_01563	Syah.g_00275
OG0000348	Prbh.g_01555	Syah.g_00301
OG0000349	Prbh.g_01537	Syah.g_00320
OG0000350	Prbh.g_01516	Syah.g_00703
OG0000351	Prbh.g_01497	Syah.g_00399
OG0000352	Prbh.g_01496	Syah.g_00398
OG0000353	Prbh.g_01477	Syah.g_00374
OG0000355	Prbh.g_01475	Syah.g_00372
OG0000356	Prbh.g_01474	Syah.g_00371
OG0000357	Prbh.g_01473	Syah.g_00370
OG0000358	Prbh.g_01469	Syah.g_00366
OG0000359	Prbh.g_01468	Syah.g_00364
OG0000360	Prbh.g_01467	Syah.g_00363
OG0000361	Prbh.g_01466	Syah.g_00362
OG0000362	Prbh.g_01952	Syah.g_00360
OG0000363	Prbh.g_00766	Syah.g_00358
OG0000364	Prbh.g_00765	Syah.g_00357
OG0000365	Prbh.g_00760	Syah.g_00351
OG0000366	Prbh.g_00759	Syah.g_00350
OG0000367	Prbh.g_00758	Syah.g_00349
OG0000368	Prbh.g_00756	Syah.g_00347
OG0000369	Prbh.g_00755	Syah.g_00346
OG0000370	Prbh.g_00754	Syah.g_00345
OG0000371	Prbh.g_00748	Syah.g_00338
OG0000372	Prbh.g_00746	Syah.g_00333
OG0000373	Prbh.g_00745	Syah.g_00332
OG0000374	Prbh.g_00744	Syah.g_00331
OG0000375	Prbh.g_00743	Syah.g_00329
OG0000376	Prbh.g_00741	Syah.g_00327
OG0000377	Prbh.g_00737	Syah.g_00517
OG0000378	Prbh.g_00733	Syah.g_00526
OG0000379	Prbh.g_00730	Syah.g_00529
OG0000380	Prbh.g_00717	Syah.g_02481
OG0000381	Prbh.g_00712	Syah.g_02484
OG0000382	Prbh.g_00702	Syah.g_02500
OG0000383	Prbh.g_00700	Syah.g_02502
OG0000384	Prbh.g_00699	Syah.g_02503
OG0000385	Prbh.g_00698	Syah.g_02504
OG0000386	Prbh.g_00697	Syah.g_02505
OG0000387	Prbh.g_00684	Syah.g_02530
OG0000388	Prbh.g_00680	Syah.g_02533
OG0000389	Prbh.g_00677	Syah.g_02536
OG0000390	Prbh.g_00668	Syah.g_00002
OG0000391	Prbh.g_00665	Syah.g_00007
OG0000392	Prbh.g_00661	Syah.g_00012
OG0000393	Prbh.g_00658	Syah.g_00014
OG0000394	Prbh.g_00657	Syah.g_00015
OG0000395	Prbh.g_00656	Syah.g_00016
OG0000396	Prbh.g_00654	Syah.g_00019
OG0000397	Prbh.g_00652	Syah.g_00021
OG0000398	Prbh.g_00649	Syah.g_00027
OG0000399	Prbh.g_00648	Syah.g_00028
OG0000400	Prbh.g_00647	Syah.g_00029
OG0000401	Prbh.g_00646	Syah.g_00030
OG0000402	Prbh.g_01144	Syah.g_00033
OG0000403	Prbh.g_00644	Syah.g_00034
OG0000404	Prbh.g_00643	Syah.g_00036
OG0000405	Prbh.g_00639	Syah.g_00050
OG0000406	Prbh.g_00635	Syah.g_00054
OG0000407	Prbh.g_00634	Syah.g_00055
OG0000408	Prbh.g_00632	Syah.g_00057
OG0000409	Prbh.g_00630	Syah.g_00059
OG0000410	Prbh.g_00629	Syah.g_00060
OG0000411	Prbh.g_00628	Syah.g_00061
OG0000412	Prbh.g_00627	Syah.g_00062
OG0000413	Prbh.g_00626	Syah.g_00064
OG0000414	Prbh.g_00625	Syah.g_00065
OG0000415	Prbh.g_00624	Syah.g_00066
OG0000416	Prbh.g_00623	Syah.g_00067
OG0000417	Prbh.g_00622	Syah.g_00068
OG0000418	Prbh.g_00617	Syah.g_00073
OG0000419	Prbh.g_00615	Syah.g_00075
OG0000420	Prbh.g_00614	Syah.g_00077
OG0000421	Prbh.g_00610	Syah.g_00082
OG0000422	Prbh.g_00609	Syah.g_00083
OG0000423	Prbh.g_00608	Syah.g_00084
OG0000424	Prbh.g_00607	Syah.g_00085
OG0000425	Prbh.g_00606	Syah.g_00086
OG0000426	Prbh.g_00605	Syah.g_00087
OG0000427	Prbh.g_00604	Syah.g_00088
OG0000428	Prbh.g_00602	Syah.g_00620
OG0000429	Prbh.g_00601	Syah.g_00618
OG0000430	Prbh.g_00600	Syah.g_00617
OG0000431	Prbh.g_00598	Syah.g_00613
OG0000432	Prbh.g_00594	Syah.g_00607
OG0000433	Prbh.g_00593	Syah.g_00605
OG0000434	Prbh.g_00592	Syah.g_00604
OG0000435	Prbh.g_00591	Syah.g_00602
OG0000436	Prbh.g_00586	Syah.g_00597
OG0000437	Prbh.g_00585	Syah.g_00596
OG0000438	Prbh.g_00584	Syah.g_00595
OG0000439	Prbh.g_00582	Syah.g_00593
OG0000440	Prbh.g_00581	Syah.g_00592
OG0000441	Prbh.g_00578	Syah.g_00585
OG0000442	Prbh.g_00577	Syah.g_00580
OG0000443	Prbh.g_00576	Syah.g_00579
OG0000444	Prbh.g_00571	Syah.g_00573
OG0000445	Prbh.g_00570	Syah.g_00572
OG0000446	Prbh.g_00569	Syah.g_00570
OG0000447	Prbh.g_00568	Syah.g_00567
OG0000448	Prbh.g_00567	Syah.g_00566
OG0000449	Prbh.g_00566	Syah.g_00565
OG0000450	Prbh.g_00565	Syah.g_00547
OG0000451	Prbh.g_00564	Syah.g_00546
OG0000452	Prbh.g_00561	Syah.g_00542
OG0000453	Prbh.g_00560	Syah.g_00541
OG0000454	Prbh.g_00559	Syah.g_00540
OG0000455	Prbh.g_00558	Syah.g_00539
OG0000456	Prbh.g_00557	Syah.g_00538
OG0000457	Prbh.g_00555	Syah.g_00536
OG0000458	Prbh.g_00554	Syah.g_00535
OG0000459	Prbh.g_00553	Syah.g_00534
OG0000460	Prbh.g_00545	Syah.g_00906
OG0000461	Prbh.g_00537	Syah.g_00678
OG0000462	Prbh.g_00535	Syah.g_00675
OG0000463	Prbh.g_00534	Syah.g_00674
OG0000464	Prbh.g_00533	Syah.g_00673
OG0000465	Prbh.g_00532	Syah.g_00672
OG0000466	Prbh.g_00529	Syah.g_00668
OG0000467	Prbh.g_00528	Syah.g_00666
OG0000468	Prbh.g_00525	Syah.g_00661
OG0000469	Prbh.g_00517	Syah.g_00647
OG0000470	Prbh.g_00515	Syah.g_00645
OG0000471	Prbh.g_00514	Syah.g_00644
OG0000472	Prbh.g_00513	Syah.g_00642
OG0000473	Prbh.g_00511	Syah.g_00640
OG0000474	Prbh.g_00510	Syah.g_00639
OG0000475	Prbh.g_00509	Syah.g_00638
OG0000476	Prbh.g_00507	Syah.g_00636
OG0000477	Prbh.g_00504	Syah.g_00630
OG0000478	Prbh.g_00503	Syah.g_00629
OG0000479	Prbh.g_00502	Syah.g_00628
OG0000480	Prbh.g_00497	Syah.g_00089
OG0000481	Prbh.g_00494	Syah.g_00091
OG0000482	Prbh.g_00493	Syah.g_00092
OG0000483	Prbh.g_00490	Syah.g_00096
OG0000484	Prbh.g_00489	Syah.g_00097
OG0000485	Prbh.g_00487	Syah.g_00098
OG0000486	Prbh.g_00486	Syah.g_00099
OG0000487	Prbh.g_00483	Syah.g_00106
OG0000488	Prbh.g_00480	Syah.g_00110
OG0000489	Prbh.g_00475	Syah.g_00121
OG0000490	Prbh.g_00471	Syah.g_00129
OG0000491	Prbh.g_00470	Syah.g_00130
OG0000492	Prbh.g_00468	Syah.g_00132
OG0000493	Prbh.g_00467	Syah.g_00133
OG0000494	Prbh.g_00466	Syah.g_00134
OG0000495	Prbh.g_00465	Syah.g_00135
OG0000496	Prbh.g_00464	Syah.g_00136
OG0000497	Prbh.g_00463	Syah.g_00137
OG0000498	Prbh.g_00462	Syah.g_00138
OG0000499	Prbh.g_00461	Syah.g_00139
OG0000500	Prbh.g_00460	Syah.g_00140
OG0000501	Prbh.g_00458	Syah.g_00143
OG0000502	Prbh.g_00455	Syah.g_00155
OG0000503	Prbh.g_00439	Syah.g_00858
OG0000504	Prbh.g_00437	Syah.g_00860
OG0000505	Prbh.g_00436	Syah.g_00861
OG0000506	Prbh.g_00435	Syah.g_00863
OG0000507	Prbh.g_00431	Syah.g_00869
OG0000508	Prbh.g_00427	Syah.g_00873
OG0000509	Prbh.g_00425	Syah.g_00875
OG0000510	Prbh.g_00424	Syah.g_00876
OG0000511	Prbh.g_00423	Syah.g_00877
OG0000512	Prbh.g_00421	Syah.g_00879
OG0000513	Prbh.g_00412	Syah.g_00892
OG0000514	Prbh.g_00401	Syah.g_00899
OG0000515	Prbh.g_00400	Syah.g_00900
OG0000516	Prbh.g_00399	Syah.g_02231
OG0000517	Prbh.g_00397	Syah.g_02237
OG0000518	Prbh.g_00386	Syah.g_02221
OG0000519	Prbh.g_00385	Syah.g_02220
OG0000520	Prbh.g_00384	Syah.g_02219
OG0000521	Prbh.g_00374	Syah.g_01202
OG0000522	Prbh.g_00372	Syah.g_01204
OG0000523	Prbh.g_00371	Syah.g_01205
OG0000524	Prbh.g_00367	Syah.g_01207
OG0000525	Prbh.g_00363	Syah.g_01212
OG0000526	Prbh.g_00361	Syah.g_01215
OG0000527	Prbh.g_00358	Syah.g_01219
OG0000528	Prbh.g_00353	Syah.g_00991
OG0000529	Prbh.g_00350	Syah.g_00998
OG0000530	Prbh.g_00347	Syah.g_01001
OG0000531	Prbh.g_00346	Syah.g_01002
OG0000532	Prbh.g_00344	Syah.g_01005
OG0000533	Prbh.g_00343	Syah.g_01006
OG0000534	Prbh.g_00342	Syah.g_01007
OG0000535	Prbh.g_00341	Syah.g_01008
OG0000536	Prbh.g_00340	Syah.g_01009
OG0000537	Prbh.g_00339	Syah.g_01010
OG0000538	Prbh.g_00329	Syah.g_01021
OG0000539	Prbh.g_00328	Syah.g_01022
OG0000540	Prbh.g_00327	Syah.g_01023
OG0000541	Prbh.g_00326	Syah.g_01024
OG0000542	Prbh.g_00325	Syah.g_01027
OG0000543	Prbh.g_00323	Syah.g_01029
OG0000545	Prbh.g_00320	Syah.g_01031
OG0000546	Prbh.g_00317	Syah.g_01033
OG0000547	Prbh.g_00315	Syah.g_01035
OG0000548	Prbh.g_00314	Syah.g_01036
OG0000549	Prbh.g_00311	Syah.g_01042
OG0000550	Prbh.g_00306	Syah.g_01046
OG0000551	Prbh.g_00303	Syah.g_01051
OG0000552	Prbh.g_00302	Syah.g_01052
OG0000553	Prbh.g_00301	Syah.g_01054
OG0000554	Prbh.g_00295	Syah.g_01065
OG0000555	Prbh.g_00288	Syah.g_01078
OG0000556	Prbh.g_00286	Syah.g_01084
OG0000557	Prbh.g_00285	Syah.g_01086
OG0000558	Prbh.g_00283	Syah.g_01088
OG0000559	Prbh.g_00279	Syah.g_01093
OG0000560	Prbh.g_00276	Syah.g_01096
OG0000561	Prbh.g_00275	Syah.g_01097
OG0000562	Prbh.g_00274	Syah.g_01098
