Orthogroup	Prbh	Prav
OG0000053	Prbh.g_01834, Prbh.g_00120	Prav.g_01598
OG0000054	Prbh.g_00223	Prav.g_01202
OG0000055	Prbh.g_01332	Prav.g_00376
OG0000056	Prbh.g_01803	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Prbh.g_00936	Prav.g_01296
OG0000058	Prbh.g_00030	Prav.g_01512
OG0000059	Prbh.g_01695	Prav.g_00292
OG0000061	Prbh.g_01283	Prav.g_00065
OG0000062	Prbh.g_00184	Prav.g_01551, Prav.g_01338, Prav.g_01656
OG0000065	Prbh.g_00676	Prav.g_00172
OG0000066	Prbh.g_01856	Prav.g_01137
OG0000067	Prbh.g_00953	Prav.g_00397
OG0000068	Prbh.g_00009	Prav.g_01473
OG0000069	Prbh.g_00376	Prav.g_01881, Prav.g_01689
OG0000070	Prbh.g_00382	Prav.g_01049
OG0000071	Prbh.g_01373	Prav.g_01438
OG0000072	Prbh.g_00611	Prav.g_00867
OG0000073	Prbh.g_00330, Prbh.g_00051	Prav.g_01097
OG0000074	Prbh.g_00916	Prav.g_01280
OG0000075	Prbh.g_01607	Prav.g_00665
OG0000076	Prbh.g_01581	Prav.g_00689
OG0000077	Prbh.g_00704	Prav.g_00143
OG0000078	Prbh.g_00540	Prav.g_00799
OG0000079	Prbh.g_00527	Prav.g_01899
OG0000081	Prbh.g_00298	Prav.g_01129
OG0000082	Prbh.g_01855	Prav.g_01182
OG0000084	Prbh.g_00093	Prav.g_01574
OG0000085	Prbh.g_01408	Prav.g_01754
OG0000086	Prbh.g_00695	Prav.g_00153
OG0000087	Prbh.g_00642	Prav.g_00204
OG0000088	Prbh.g_00616	Prav.g_00872
OG0000089	Prbh.g_00415	Prav.g_00975
OG0000090	Prbh.g_00296	Prav.g_01131
OG0000091	Prbh.g_01211	Prav.g_01240
OG0000092	Prbh.g_00883	Prav.g_00504
OG0000093	Prbh.g_01181	Prav.g_01497, Prav.g_00525
OG0000094	Prbh.g_01130	Prav.g_00914
OG0000095	Prbh.g_01031	Prav.g_00933
OG0000096	Prbh.g_01909, Prbh.g_01948	Prav.g_01732, Prav.g_01400
OG0000097	Prbh.g_01236	Prav.g_01840
OG0000098	Prbh.g_01935	Prav.g_01455
OG0000099	Prbh.g_00032	Prav.g_01514
OG0000100	Prbh.g_00179	Prav.g_01652
OG0000101	Prbh.g_01644	Prav.g_00632
OG0000102	Prbh.g_01576	Prav.g_00694
OG0000103	Prbh.g_01489	Prav.g_00773
OG0000104	Prbh.g_01480	Prav.g_00782
OG0000105	Prbh.g_00505	Prav.g_01920
OG0000106	Prbh.g_00821	Prav.g_00989
OG0000107	Prbh.g_01718	Prav.g_01001
OG0000108	Prbh.g_00351	Prav.g_01078
OG0000109	Prbh.g_00337	Prav.g_01092
OG0000110	Prbh.g_00254	Prav.g_01172
OG0000111	Prbh.g_00937	Prav.g_01297
OG0000112	Prbh.g_01078	Prav.g_00364
OG0000113	Prbh.g_00976	Prav.g_00419
OG0000114	Prbh.g_00878	Prav.g_00499
OG0000115	Prbh.g_01344	Prav.g_00010
OG0000116	Prbh.g_01294	Prav.g_00055
OG0000117	Prbh.g_01255	Prav.g_01390
OG0000118	Prbh.g_01385	Prav.g_01450
OG0000119	Prbh.g_01333, Prbh.g_00194	Prav.g_01469
OG0000120	Prbh.g_00031	Prav.g_01513
OG0000121	Prbh.g_00101	Prav.g_01580
OG0000122	Prbh.g_01347, Prbh.g_00143	Prav.g_01618
OG0000123	Prbh.g_01637	Prav.g_00639
OG0000124	Prbh.g_01564	Prav.g_00705
OG0000125	Prbh.g_01528	Prav.g_00741
OG0000126	Prbh.g_01481	Prav.g_00781
OG0000128	Prbh.g_01953	Prav.g_00079
OG0000129	Prbh.g_00738	Prav.g_00115
OG0000130	Prbh.g_00713	Prav.g_00134
OG0000131	Prbh.g_00637	Prav.g_00212
OG0000132	Prbh.g_00618	Prav.g_00874
OG0000133	Prbh.g_00457	Prav.g_01968
OG0000134	Prbh.g_00413	Prav.g_00976
OG0000135	Prbh.g_01825	Prav.g_00999
OG0000136	Prbh.g_00391	Prav.g_01040
OG0000137	Prbh.g_00356	Prav.g_01073
OG0000138	Prbh.g_00336	Prav.g_01093
OG0000139	Prbh.g_00292	Prav.g_01135
OG0000140	Prbh.g_00291	Prav.g_01136
OG0000141	Prbh.g_00222	Prav.g_01203
OG0000142	Prbh.g_01218	Prav.g_01233
OG0000143	Prbh.g_01215	Prav.g_01237
OG0000144	Prbh.g_01201	Prav.g_01250
OG0000145	Prbh.g_01880	Prav.g_00362
OG0000146	Prbh.g_01077	Prav.g_00365
OG0000147	Prbh.g_01076	Prav.g_00366
OG0000148	Prbh.g_00970	Prav.g_00413
OG0000149	Prbh.g_01002	Prav.g_00443
OG0000150	Prbh.g_01012	Prav.g_00451
OG0000151	Prbh.g_00888	Prav.g_00509
OG0000152	Prbh.g_01086	Prav.g_00556
OG0000153	Prbh.g_01104	Prav.g_00575
OG0000154	Prbh.g_01121	Prav.g_00907
OG0000155	Prbh.g_01261	Prav.g_01861
OG0000156	Prbh.g_01362	Prav.g_01427
OG0000157	Prbh.g_01363	Prav.g_01428
OG0000158	Prbh.g_01599	Prav.g_01505
OG0000159	Prbh.g_00039	Prav.g_01506
OG0000160	Prbh.g_00100	Prav.g_01579
OG0000161	Prbh.g_01288, Prbh.g_00106	Prav.g_01585
OG0000162	Prbh.g_00112	Prav.g_01591
OG0000163	Prbh.g_00151	Prav.g_01625
OG0000164	Prbh.g_01758	Prav.g_01785
OG0000165	Prbh.g_01750	Prav.g_01792
OG0000166	Prbh.g_01681	Prav.g_00596
OG0000167	Prbh.g_01609	Prav.g_00663
OG0000168	Prbh.g_01598	Prav.g_00673
OG0000169	Prbh.g_01588	Prav.g_00683
OG0000170	Prbh.g_01585	Prav.g_00685
OG0000171	Prbh.g_01565	Prav.g_00704
OG0000172	Prbh.g_01558	Prav.g_00712
OG0000173	Prbh.g_01543	Prav.g_00727
OG0000174	Prbh.g_01512	Prav.g_00755
OG0000175	Prbh.g_01500	Prav.g_00765
OG0000176	Prbh.g_01472	Prav.g_00790
OG0000177	Prbh.g_01471	Prav.g_00791
OG0000178	Prbh.g_01470	Prav.g_00792
OG0000179	Prbh.g_00764	Prav.g_00084
OG0000180	Prbh.g_00763	Prav.g_00085
OG0000181	Prbh.g_00762	Prav.g_00086
OG0000182	Prbh.g_00761	Prav.g_00087
OG0000183	Prbh.g_00757	Prav.g_00091
OG0000184	Prbh.g_00734	Prav.g_00117
OG0000185	Prbh.g_00731	Prav.g_00120
OG0000186	Prbh.g_00719	Prav.g_00129
OG0000187	Prbh.g_00718	Prav.g_00130
OG0000188	Prbh.g_00701	Prav.g_00147
OG0000189	Prbh.g_00687	Prav.g_00161
OG0000190	Prbh.g_00686	Prav.g_00162
OG0000191	Prbh.g_00664	Prav.g_00182
OG0000192	Prbh.g_00659	Prav.g_00186
OG0000193	Prbh.g_00636	Prav.g_00213
OG0000194	Prbh.g_00633	Prav.g_00216
OG0000195	Prbh.g_00631	Prav.g_00887
OG0000196	Prbh.g_00621	Prav.g_00877
OG0000197	Prbh.g_00620	Prav.g_00876
OG0000198	Prbh.g_00619	Prav.g_00875
OG0000199	Prbh.g_00612	Prav.g_00868
OG0000200	Prbh.g_00599	Prav.g_00854
OG0000201	Prbh.g_00590	Prav.g_00846
OG0000202	Prbh.g_00589	Prav.g_00845
OG0000203	Prbh.g_00588	Prav.g_00844
OG0000204	Prbh.g_00587	Prav.g_00843
OG0000205	Prbh.g_00580	Prav.g_00836
OG0000206	Prbh.g_00575	Prav.g_00831
OG0000207	Prbh.g_00573	Prav.g_00829
OG0000208	Prbh.g_00572	Prav.g_00828
OG0000209	Prbh.g_00563	Prav.g_00819
OG0000210	Prbh.g_00562	Prav.g_00818
OG0000211	Prbh.g_00547	Prav.g_00805
OG0000212	Prbh.g_00539	Prav.g_00798
OG0000213	Prbh.g_00521	Prav.g_01904
OG0000214	Prbh.g_00512	Prav.g_01914
OG0000215	Prbh.g_00485	Prav.g_01938
OG0000216	Prbh.g_00484	Prav.g_01940
OG0000217	Prbh.g_00481	Prav.g_01943
OG0000218	Prbh.g_00479	Prav.g_01945
OG0000219	Prbh.g_00478	Prav.g_01946
OG0000220	Prbh.g_00477	Prav.g_01947
OG0000221	Prbh.g_00476	Prav.g_01948
OG0000222	Prbh.g_00469	Prav.g_01956
OG0000223	Prbh.g_00456	Prav.g_01969
OG0000224	Prbh.g_00454	Prav.g_01971
OG0000225	Prbh.g_00426	Prav.g_01992
OG0000226	Prbh.g_00422	Prav.g_01996
OG0000227	Prbh.g_00420	Prav.g_01998
OG0000228	Prbh.g_00416	Prav.g_00974
OG0000229	Prbh.g_00396	Prav.g_01035
OG0000230	Prbh.g_00394	Prav.g_01037
OG0000231	Prbh.g_00383	Prav.g_01048
OG0000232	Prbh.g_00370	Prav.g_01056
OG0000233	Prbh.g_00365	Prav.g_01061
OG0000234	Prbh.g_00355	Prav.g_01074
OG0000235	Prbh.g_00352	Prav.g_01077
OG0000236	Prbh.g_00338	Prav.g_01091
OG0000237	Prbh.g_00324	Prav.g_01104
OG0000238	Prbh.g_00318	Prav.g_01110
OG0000239	Prbh.g_00305	Prav.g_01123
OG0000240	Prbh.g_00304	Prav.g_01124
OG0000241	Prbh.g_00299	Prav.g_01128
OG0000242	Prbh.g_00297	Prav.g_01130
OG0000243	Prbh.g_00287	Prav.g_00954, Prav.g_01141
OG0000244	Prbh.g_00284	Prav.g_01144
OG0000245	Prbh.g_00282	Prav.g_01146
OG0000246	Prbh.g_00278	Prav.g_01150
OG0000247	Prbh.g_00267	Prav.g_01160
OG0000248	Prbh.g_00264	Prav.g_01162
OG0000249	Prbh.g_00262	Prav.g_01164
OG0000250	Prbh.g_00257	Prav.g_01169
OG0000251	Prbh.g_00239	Prav.g_01187
OG0000252	Prbh.g_00236	Prav.g_01190
OG0000253	Prbh.g_00235	Prav.g_01191
OG0000254	Prbh.g_00218	Prav.g_01207
OG0000255	Prbh.g_00212	Prav.g_01213
OG0000256	Prbh.g_01455	Prav.g_01225
OG0000257	Prbh.g_01223	Prav.g_01228
OG0000258	Prbh.g_01210	Prav.g_01241
OG0000259	Prbh.g_01193	Prav.g_01258
OG0000260	Prbh.g_01190	Prav.g_01261
OG0000261	Prbh.g_01187	Prav.g_01263
OG0000262	Prbh.g_01182	Prav.g_01267
OG0000263	Prbh.g_00915	Prav.g_01279
OG0000264	Prbh.g_00926	Prav.g_01289
OG0000265	Prbh.g_00945	Prav.g_00306
OG0000266	Prbh.g_01163	Prav.g_00316
OG0000267	Prbh.g_01150	Prav.g_00327
OG0000268	Prbh.g_01149	Prav.g_00328
OG0000269	Prbh.g_00948	Prav.g_00392
OG0000270	Prbh.g_00951	Prav.g_00395
OG0000271	Prbh.g_00959	Prav.g_00403
OG0000272	Prbh.g_00960	Prav.g_00404
OG0000273	Prbh.g_00983	Prav.g_00427
OG0000274	Prbh.g_00984	Prav.g_00428
OG0000275	Prbh.g_00987	Prav.g_00430
OG0000276	Prbh.g_00993	Prav.g_00435
OG0000277	Prbh.g_00994	Prav.g_00436
OG0000278	Prbh.g_00997	Prav.g_00439
OG0000279	Prbh.g_01005	Prav.g_00446
OG0000280	Prbh.g_01006	Prav.g_00447
OG0000281	Prbh.g_01013	Prav.g_00452
OG0000282	Prbh.g_00880	Prav.g_00501
OG0000283	Prbh.g_01059	Prav.g_00533
OG0000284	Prbh.g_01064	Prav.g_00538
OG0000285	Prbh.g_01069	Prav.g_00543
OG0000286	Prbh.g_01085	Prav.g_00555
OG0000287	Prbh.g_01342	Prav.g_00572
OG0000288	Prbh.g_01120	Prav.g_00906
OG0000289	Prbh.g_01135	Prav.g_00917
OG0000290	Prbh.g_01034	Prav.g_00930
OG0000291	Prbh.g_01032	Prav.g_00932
OG0000292	Prbh.g_01328	Prav.g_00261
OG0000293	Prbh.g_01293	Prav.g_00056
OG0000294	Prbh.g_01292	Prav.g_00057
OG0000295	Prbh.g_01268	Prav.g_00077
OG0000296	Prbh.g_01266	Prav.g_01867
OG0000297	Prbh.g_01257	Prav.g_01859
OG0000298	Prbh.g_01256	Prav.g_01858
OG0000299	Prbh.g_01237	Prav.g_01841
OG0000300	Prbh.g_01234	Prav.g_01838
OG0000301	Prbh.g_01233	Prav.g_00955, Prav.g_01837
OG0000302	Prbh.g_01231	Prav.g_01835
OG0000303	Prbh.g_01225	Prav.g_01828
OG0000304	Prbh.g_01450	Prav.g_01824
OG0000305	Prbh.g_01326	Prav.g_01465
OG0000306	Prbh.g_01017	Prav.g_01468
OG0000307	Prbh.g_00019	Prav.g_01482
OG0000308	Prbh.g_00020	Prav.g_01483
OG0000309	Prbh.g_00024	Prav.g_01487
OG0000310	Prbh.g_00082	Prav.g_01563
OG0000311	Prbh.g_00084	Prav.g_01565
OG0000312	Prbh.g_00087	Prav.g_01568
OG0000313	Prbh.g_00103	Prav.g_01582
OG0000314	Prbh.g_00126	Prav.g_01605
OG0000315	Prbh.g_00136	Prav.g_01615
OG0000316	Prbh.g_00162	Prav.g_01635
OG0000317	Prbh.g_01785	Prav.g_01759
OG0000318	Prbh.g_01781	Prav.g_01762
OG0000319	Prbh.g_01768	Prav.g_01775
OG0000320	Prbh.g_01766	Prav.g_01777
OG0000321	Prbh.g_01765	Prav.g_01778
OG0000322	Prbh.g_01764	Prav.g_01779
OG0000323	Prbh.g_01755	Prav.g_01788
OG0000324	Prbh.g_01727	Prav.g_01815
OG0000325	Prbh.g_01717	Prav.g_00269
OG0000326	Prbh.g_01710	Prav.g_00275
OG0000327	Prbh.g_01686	Prav.g_00591
OG0000328	Prbh.g_01685	Prav.g_00592
OG0000329	Prbh.g_01668	Prav.g_00609
OG0000330	Prbh.g_01667	Prav.g_00610
OG0000331	Prbh.g_01666	Prav.g_00611
OG0000332	Prbh.g_01652	Prav.g_00625
OG0000333	Prbh.g_01650	Prav.g_00627
OG0000334	Prbh.g_01641	Prav.g_00635
OG0000335	Prbh.g_01636	Prav.g_00640
OG0000336	Prbh.g_01632	Prav.g_00644
OG0000337	Prbh.g_01613	Prav.g_00661
OG0000338	Prbh.g_01612	Prav.g_00662
OG0000339	Prbh.g_01606	Prav.g_00666
OG0000340	Prbh.g_01597	Prav.g_00674
OG0000341	Prbh.g_01595	Prav.g_00676
OG0000342	Prbh.g_01594	Prav.g_00677
OG0000343	Prbh.g_01593	Prav.g_00678
OG0000344	Prbh.g_01590	Prav.g_00681
OG0000345	Prbh.g_01584	Prav.g_00686
OG0000346	Prbh.g_01580	Prav.g_00690
OG0000347	Prbh.g_01563	Prav.g_00706
OG0000348	Prbh.g_01555	Prav.g_00715
OG0000349	Prbh.g_01537	Prav.g_00732
OG0000350	Prbh.g_01516	Prav.g_00751
OG0000351	Prbh.g_01497	Prav.g_00768
OG0000352	Prbh.g_01496	Prav.g_00769
OG0000353	Prbh.g_01477	Prav.g_00785
OG0000355	Prbh.g_01475	Prav.g_00787
OG0000356	Prbh.g_01474	Prav.g_00788
OG0000357	Prbh.g_01473	Prav.g_00789
OG0000358	Prbh.g_01469	Prav.g_00793
OG0000359	Prbh.g_01468	Prav.g_00794
OG0000360	Prbh.g_01467	Prav.g_00795
OG0000361	Prbh.g_01466	Prav.g_00078
OG0000362	Prbh.g_01952	Prav.g_00080
OG0000363	Prbh.g_00766	Prav.g_00082
OG0000364	Prbh.g_00765	Prav.g_00083
OG0000365	Prbh.g_00760	Prav.g_00088
OG0000366	Prbh.g_00759	Prav.g_00089
OG0000367	Prbh.g_00758	Prav.g_00090
OG0000368	Prbh.g_00756	Prav.g_00092
OG0000369	Prbh.g_00755	Prav.g_00093
OG0000370	Prbh.g_00754	Prav.g_00094
OG0000371	Prbh.g_00748	Prav.g_00100
OG0000372	Prbh.g_00746	Prav.g_00103
OG0000373	Prbh.g_00745	Prav.g_00104
OG0000374	Prbh.g_00744	Prav.g_00105
OG0000375	Prbh.g_00743	Prav.g_00111
OG0000376	Prbh.g_00741	Prav.g_00113
OG0000377	Prbh.g_00737	Prav.g_00116
OG0000378	Prbh.g_00733	Prav.g_00118
OG0000379	Prbh.g_00730	Prav.g_00121
OG0000380	Prbh.g_00717	Prav.g_00131
OG0000381	Prbh.g_00712	Prav.g_00135
OG0000382	Prbh.g_00702	Prav.g_00146
OG0000383	Prbh.g_00700	Prav.g_00148
OG0000384	Prbh.g_00699	Prav.g_00149
OG0000385	Prbh.g_00698	Prav.g_00150
OG0000386	Prbh.g_00697	Prav.g_00151
OG0000387	Prbh.g_00684	Prav.g_00164
OG0000388	Prbh.g_00680	Prav.g_00167
OG0000389	Prbh.g_00677	Prav.g_00171
OG0000390	Prbh.g_00668	Prav.g_00178
OG0000391	Prbh.g_00665	Prav.g_00181
OG0000392	Prbh.g_00661	Prav.g_00185
OG0000393	Prbh.g_00658	Prav.g_00187
OG0000394	Prbh.g_00657	Prav.g_00188
OG0000395	Prbh.g_00656	Prav.g_00189
OG0000396	Prbh.g_00654	Prav.g_00192
OG0000397	Prbh.g_00652	Prav.g_00194
OG0000398	Prbh.g_00649	Prav.g_00196
OG0000399	Prbh.g_00648	Prav.g_00197
OG0000400	Prbh.g_00647	Prav.g_00198
OG0000401	Prbh.g_00646	Prav.g_00199
OG0000402	Prbh.g_01144	Prav.g_00201
OG0000403	Prbh.g_00644	Prav.g_00202
OG0000404	Prbh.g_00643	Prav.g_00203
OG0000405	Prbh.g_00639	Prav.g_00207
OG0000406	Prbh.g_00635	Prav.g_00214
OG0000407	Prbh.g_00634	Prav.g_00215
OG0000409	Prbh.g_00630	Prav.g_00886
OG0000410	Prbh.g_00629	Prav.g_00885
OG0000411	Prbh.g_00628	Prav.g_00884
OG0000412	Prbh.g_00627	Prav.g_00883
OG0000413	Prbh.g_00626	Prav.g_00882
OG0000414	Prbh.g_00625	Prav.g_00881
OG0000415	Prbh.g_00624	Prav.g_00880
OG0000416	Prbh.g_00623	Prav.g_00879
OG0000417	Prbh.g_00622	Prav.g_00878
OG0000418	Prbh.g_00617	Prav.g_00873
OG0000419	Prbh.g_00615	Prav.g_00871
OG0000420	Prbh.g_00614	Prav.g_00870
OG0000421	Prbh.g_00610	Prav.g_00865
OG0000422	Prbh.g_00609	Prav.g_00864
OG0000423	Prbh.g_00608	Prav.g_00863
OG0000424	Prbh.g_00607	Prav.g_00862
OG0000425	Prbh.g_00606	Prav.g_00861
OG0000426	Prbh.g_00605	Prav.g_00860
OG0000427	Prbh.g_00604	Prav.g_00859
OG0000428	Prbh.g_00602	Prav.g_00857
OG0000429	Prbh.g_00601	Prav.g_00856
OG0000430	Prbh.g_00600	Prav.g_00855
OG0000431	Prbh.g_00598	Prav.g_00853
OG0000432	Prbh.g_00594	Prav.g_00850
OG0000433	Prbh.g_00593	Prav.g_00849
OG0000434	Prbh.g_00592	Prav.g_00848
OG0000435	Prbh.g_00591	Prav.g_00847
OG0000436	Prbh.g_00586	Prav.g_00842
OG0000437	Prbh.g_00585	Prav.g_00841
OG0000438	Prbh.g_00584	Prav.g_00840
OG0000439	Prbh.g_00582	Prav.g_00838
OG0000440	Prbh.g_00581	Prav.g_00837
OG0000441	Prbh.g_00578	Prav.g_00834
OG0000442	Prbh.g_00577	Prav.g_00833
OG0000443	Prbh.g_00576	Prav.g_00832
OG0000444	Prbh.g_00571	Prav.g_00827
OG0000445	Prbh.g_00570	Prav.g_00826
OG0000446	Prbh.g_00569	Prav.g_00825
OG0000447	Prbh.g_00568	Prav.g_00824
OG0000448	Prbh.g_00567	Prav.g_00823
OG0000449	Prbh.g_00566	Prav.g_00822
OG0000450	Prbh.g_00565	Prav.g_00821
OG0000451	Prbh.g_00564	Prav.g_00820
OG0000452	Prbh.g_00561	Prav.g_00817
OG0000453	Prbh.g_00560	Prav.g_00816
OG0000454	Prbh.g_00559	Prav.g_00815
OG0000455	Prbh.g_00558	Prav.g_00814
OG0000456	Prbh.g_00557	Prav.g_00813
OG0000457	Prbh.g_00555	Prav.g_00812
OG0000458	Prbh.g_00554	Prav.g_00811
OG0000459	Prbh.g_00553	Prav.g_00810
OG0000460	Prbh.g_00545	Prav.g_00803
OG0000461	Prbh.g_00537	Prav.g_01889
OG0000462	Prbh.g_00535	Prav.g_01891
OG0000463	Prbh.g_00534	Prav.g_01892
OG0000464	Prbh.g_00533	Prav.g_01893
OG0000465	Prbh.g_00532	Prav.g_01894
OG0000466	Prbh.g_00529	Prav.g_01897
OG0000467	Prbh.g_00528	Prav.g_01898
OG0000468	Prbh.g_00525	Prav.g_01900
OG0000469	Prbh.g_00517	Prav.g_01909
OG0000470	Prbh.g_00515	Prav.g_01911
OG0000471	Prbh.g_00514	Prav.g_01912
OG0000472	Prbh.g_00513	Prav.g_01913
OG0000473	Prbh.g_00511	Prav.g_01915
OG0000474	Prbh.g_00510	Prav.g_01916
OG0000475	Prbh.g_00509	Prav.g_01917
OG0000476	Prbh.g_00507	Prav.g_01918
OG0000477	Prbh.g_00504	Prav.g_01921
OG0000478	Prbh.g_00503	Prav.g_01922
OG0000479	Prbh.g_00502	Prav.g_01923
OG0000480	Prbh.g_00497	Prav.g_01928
OG0000481	Prbh.g_00494	Prav.g_01930
OG0000482	Prbh.g_00493	Prav.g_01931
OG0000483	Prbh.g_00490	Prav.g_01934
OG0000484	Prbh.g_00489	Prav.g_01935
OG0000485	Prbh.g_00487	Prav.g_01936
OG0000486	Prbh.g_00486	Prav.g_01937
OG0000487	Prbh.g_00483	Prav.g_01941
OG0000488	Prbh.g_00480	Prav.g_01944
OG0000489	Prbh.g_00475	Prav.g_01949
OG0000490	Prbh.g_00471	Prav.g_01954
OG0000491	Prbh.g_00470	Prav.g_01955
OG0000492	Prbh.g_00468	Prav.g_01957
OG0000493	Prbh.g_00467	Prav.g_01958
OG0000494	Prbh.g_00466	Prav.g_01959
OG0000495	Prbh.g_00465	Prav.g_01960
OG0000496	Prbh.g_00464	Prav.g_01961
OG0000497	Prbh.g_00463	Prav.g_01962
OG0000498	Prbh.g_00462	Prav.g_01963
OG0000499	Prbh.g_00461	Prav.g_01964
OG0000500	Prbh.g_00460	Prav.g_01965
OG0000501	Prbh.g_00458	Prav.g_01967
OG0000502	Prbh.g_00455	Prav.g_01970
OG0000503	Prbh.g_00439	Prav.g_01980
OG0000504	Prbh.g_00437	Prav.g_01981
OG0000505	Prbh.g_00436	Prav.g_01982
OG0000506	Prbh.g_00435	Prav.g_01984
OG0000507	Prbh.g_00431	Prav.g_01987
OG0000508	Prbh.g_00427	Prav.g_01991
OG0000509	Prbh.g_00425	Prav.g_01993
OG0000510	Prbh.g_00424	Prav.g_01994
OG0000511	Prbh.g_00423	Prav.g_01995
OG0000512	Prbh.g_00421	Prav.g_01997
OG0000513	Prbh.g_00412	Prav.g_00977
OG0000514	Prbh.g_00401	Prav.g_01030
OG0000515	Prbh.g_00400	Prav.g_01031
OG0000516	Prbh.g_00399	Prav.g_01032
OG0000517	Prbh.g_00397	Prav.g_01034
OG0000518	Prbh.g_00386	Prav.g_01045
OG0000519	Prbh.g_00385	Prav.g_01046
OG0000520	Prbh.g_00384	Prav.g_01047
OG0000521	Prbh.g_00374	Prav.g_01052
OG0000522	Prbh.g_00372	Prav.g_01053
OG0000523	Prbh.g_00371	Prav.g_01054
OG0000524	Prbh.g_00367	Prav.g_01059
OG0000525	Prbh.g_00363	Prav.g_01062
OG0000526	Prbh.g_00361	Prav.g_01063
OG0000527	Prbh.g_00358	Prav.g_01071
OG0000528	Prbh.g_00353	Prav.g_01076
OG0000529	Prbh.g_00350	Prav.g_01079
OG0000530	Prbh.g_00347	Prav.g_01082
OG0000531	Prbh.g_00346	Prav.g_01083
OG0000532	Prbh.g_00344	Prav.g_01085
OG0000533	Prbh.g_00343	Prav.g_01086
OG0000534	Prbh.g_00342	Prav.g_01087
OG0000535	Prbh.g_00341	Prav.g_01088
OG0000536	Prbh.g_00340	Prav.g_01089
OG0000537	Prbh.g_00339	Prav.g_01090
OG0000538	Prbh.g_00329	Prav.g_01098
OG0000539	Prbh.g_00328	Prav.g_01099
OG0000540	Prbh.g_00327	Prav.g_01100
OG0000541	Prbh.g_00326	Prav.g_01101
OG0000542	Prbh.g_00325	Prav.g_01103
OG0000543	Prbh.g_00323	Prav.g_01105
OG0000544	Prbh.g_00322	Prav.g_01106
OG0000545	Prbh.g_00320	Prav.g_01108
OG0000546	Prbh.g_00317	Prav.g_01111
OG0000547	Prbh.g_00315	Prav.g_01113
OG0000548	Prbh.g_00314	Prav.g_01114
OG0000549	Prbh.g_00311	Prav.g_01116
OG0000550	Prbh.g_00306	Prav.g_01121
OG0000551	Prbh.g_00303	Prav.g_01125
OG0000552	Prbh.g_00302	Prav.g_01126
OG0000553	Prbh.g_00301	Prav.g_01127
OG0000554	Prbh.g_00295	Prav.g_01132
OG0000555	Prbh.g_00288	Prav.g_01140
OG0000556	Prbh.g_00286	Prav.g_01142
