Orthogroup	Prbh	Syar
OG0000055	Prbh.g_01332, Prbh.g_01797	Syar.g_01386
OG0000056	Prbh.g_01803, Prbh.g_01417, Prbh.g_01418	Syar.g_01662
OG0000057	Prbh.g_00936	Syar.g_00006
OG0000061	Prbh.g_01283	Syar.g_01539
OG0000062	Prbh.g_00184	Syar.g_02911, Syar.g_01439
OG0000063	Prbh.g_01401	Syar.g_00509
OG0000064	Prbh.g_00715	Syar.g_03117, Syar.g_00860
OG0000065	Prbh.g_00676	Syar.g_03119
OG0000066	Prbh.g_01856	Syar.g_02228
OG0000067	Prbh.g_00953	Syar.g_02639
OG0000068	Prbh.g_00009	Syar.g_02329, Syar.g_01461
OG0000069	Prbh.g_00376	Syar.g_01716
OG0000070	Prbh.g_00382	Syar.g_03150, Syar.g_02223
OG0000071	Prbh.g_01373	Syar.g_02777
OG0000072	Prbh.g_00611	Syar.g_00107, Syar.g_01140
OG0000073	Prbh.g_00330	Syar.g_01493
OG0000073	Prbh.g_00051	Syar.g_01364
OG0000075	Prbh.g_01607	Syar.g_03065, Syar.g_00659
OG0000076	Prbh.g_01581	Syar.g_00608
OG0000078	Prbh.g_00540	Syar.g_01366
OG0000079	Prbh.g_00527	Syar.g_00166
OG0000081	Prbh.g_00298	Syar.g_01898
OG0000082	Prbh.g_01855	Syar.g_02202
OG0000085	Prbh.g_01408	Syar.g_02919
OG0000086	Prbh.g_00695	Syar.g_03085
OG0000087	Prbh.g_00642	Syar.g_03192, Syar.g_00068
OG0000088	Prbh.g_00616	Syar.g_00101
OG0000089	Prbh.g_00415	Syar.g_01162
OG0000090	Prbh.g_00296	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbh.g_01211	Syar.g_01891, Syar.g_02426
OG0000092	Prbh.g_00883	Syar.g_01960
OG0000093	Prbh.g_01181	Syar.g_00819
OG0000094	Prbh.g_01130	Syar.g_01789
OG0000095	Prbh.g_01031	Syar.g_01932
OG0000097	Prbh.g_01236	Syar.g_01706, Syar.g_00364
OG0000098	Prbh.g_01935	Syar.g_02343
OG0000099	Prbh.g_00032	Syar.g_00715
OG0000100	Prbh.g_00179	Syar.g_02477
OG0000101	Prbh.g_01644	Syar.g_01073, Syar.g_03154
OG0000102	Prbh.g_01576	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbh.g_01489	Syar.g_00452, Syar.g_00014
OG0000104	Prbh.g_01480	Syar.g_00466
OG0000105	Prbh.g_00505	Syar.g_00218
OG0000106	Prbh.g_00821	Syar.g_01748
OG0000107	Prbh.g_01718	Syar.g_00149
OG0000108	Prbh.g_00351	Syar.g_01469
OG0000109	Prbh.g_00337	Syar.g_03310, Syar.g_01485
OG0000110	Prbh.g_00254	Syar.g_02295
OG0000111	Prbh.g_00937	Syar.g_01940
OG0000112	Prbh.g_01078	Syar.g_02548, Syar.g_03195
OG0000113	Prbh.g_00976	Syar.g_02664
OG0000114	Prbh.g_00878	Syar.g_01616
OG0000115	Prbh.g_01344	Syar.g_02854, Syar.g_01415
OG0000116	Prbh.g_01294	Syar.g_01525, Syar.g_02255
OG0000117	Prbh.g_01255	Syar.g_01969
OG0000118	Prbh.g_01385	Syar.g_02793
OG0000120	Prbh.g_00031	Syar.g_00713
OG0000121	Prbh.g_00101	Syar.g_02806
OG0000123	Prbh.g_01637	Syar.g_01079
OG0000124	Prbh.g_01564	Syar.g_00586
OG0000125	Prbh.g_01528	Syar.g_00338
OG0000126	Prbh.g_01481	Syar.g_00887, Syar.g_00888
OG0000128	Prbh.g_01953	Syar.g_00482
OG0000129	Prbh.g_00738	Syar.g_00324
OG0000130	Prbh.g_00713	Syar.g_03040
OG0000131	Prbh.g_00637	Syar.g_00078
OG0000132	Prbh.g_00618	Syar.g_00099
OG0000133	Prbh.g_00457	Syar.g_02543
OG0000134	Prbh.g_00413	Syar.g_02009, Syar.g_01165
OG0000135	Prbh.g_01825	Syar.g_00698
OG0000136	Prbh.g_00391	Syar.g_02874
OG0000137	Prbh.g_00356	Syar.g_01273
OG0000138	Prbh.g_00336	Syar.g_01486
OG0000139	Prbh.g_00292	Syar.g_03245
OG0000140	Prbh.g_00291	Syar.g_02344, Syar.g_03246
OG0000141	Prbh.g_00222	Syar.g_02129
OG0000142	Prbh.g_01218	Syar.g_02418
OG0000143	Prbh.g_01215	Syar.g_02422
OG0000144	Prbh.g_01201	Syar.g_02441
OG0000145	Prbh.g_01880	Syar.g_01494
OG0000146	Prbh.g_01077	Syar.g_02549
OG0000147	Prbh.g_01076	Syar.g_02550
OG0000148	Prbh.g_00970	Syar.g_02658
OG0000149	Prbh.g_01002	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prbh.g_01012	Syar.g_02130
OG0000151	Prbh.g_00888	Syar.g_02038
OG0000152	Prbh.g_01086	Syar.g_02539
OG0000153	Prbh.g_01104	Syar.g_03283, Syar.g_02503
OG0000154	Prbh.g_01121	Syar.g_01800
OG0000155	Prbh.g_01261	Syar.g_01959
OG0000156	Prbh.g_01362	Syar.g_01517
OG0000157	Prbh.g_01363	Syar.g_01516
OG0000158	Prbh.g_01599	Syar.g_00650
OG0000159	Prbh.g_00039, Prbh.g_00722	Syar.g_02359
OG0000160	Prbh.g_00100	Syar.g_02807
OG0000161	Prbh.g_01288, Prbh.g_00106	Syar.g_02801
OG0000162	Prbh.g_00112	Syar.g_02863
OG0000163	Prbh.g_00151	Syar.g_01186
OG0000164	Prbh.g_01758	Syar.g_03168, Syar.g_02969
OG0000165	Prbh.g_01750	Syar.g_02976
OG0000166	Prbh.g_01681	Syar.g_01034
OG0000167	Prbh.g_01609	Syar.g_00662
OG0000168	Prbh.g_01598	Syar.g_00246
OG0000169	Prbh.g_01588	Syar.g_00262
OG0000170	Prbh.g_01585	Syar.g_00613
OG0000171	Prbh.g_01565	Syar.g_00587
OG0000172	Prbh.g_01558	Syar.g_00547
OG0000173	Prbh.g_01543	Syar.g_00528
OG0000174	Prbh.g_01512	Syar.g_00701
OG0000175	Prbh.g_01500	Syar.g_00438
OG0000176	Prbh.g_01472	Syar.g_00474
OG0000177	Prbh.g_01471	Syar.g_00475
OG0000178	Prbh.g_01470	Syar.g_00476
OG0000179	Prbh.g_00764	Syar.g_00489
OG0000180	Prbh.g_00763	Syar.g_00490
OG0000181	Prbh.g_00762	Syar.g_00491
OG0000182	Prbh.g_00761	Syar.g_00492
OG0000183	Prbh.g_00757	Syar.g_00496
OG0000184	Prbh.g_00734	Syar.g_00897
OG0000185	Prbh.g_00731	Syar.g_00909
OG0000186	Prbh.g_00719	Syar.g_03036
OG0000187	Prbh.g_00718	Syar.g_03038
OG0000188	Prbh.g_00701	Syar.g_03058
OG0000189	Prbh.g_00687	Syar.g_03104
OG0000190	Prbh.g_00686	Syar.g_03107, Syar.g_02374
OG0000191	Prbh.g_00664	Syar.g_00039
OG0000192	Prbh.g_00659	Syar.g_00046
OG0000193	Prbh.g_00636	Syar.g_00079
OG0000194	Prbh.g_00633	Syar.g_00082, Syar.g_03236
OG0000195	Prbh.g_00631	Syar.g_00023, Syar.g_00084
OG0000196	Prbh.g_00621	Syar.g_00096
OG0000197	Prbh.g_00620	Syar.g_00097
OG0000198	Prbh.g_00619	Syar.g_00098
OG0000199	Prbh.g_00612	Syar.g_00106
OG0000200	Prbh.g_00599	Syar.g_00124
OG0000201	Prbh.g_00590	Syar.g_01000
OG0000202	Prbh.g_00589	Syar.g_00021, Syar.g_00998
OG0000203	Prbh.g_00588	Syar.g_00997, Syar.g_00020
OG0000204	Prbh.g_00587	Syar.g_00996
OG0000205	Prbh.g_00580	Syar.g_00988
OG0000206	Prbh.g_00575	Syar.g_00963
OG0000207	Prbh.g_00573	Syar.g_00957
OG0000208	Prbh.g_00572	Syar.g_00956
OG0000209	Prbh.g_00563	Syar.g_00936, Syar.g_03261
OG0000210	Prbh.g_00562	Syar.g_03260, Syar.g_00935
OG0000211	Prbh.g_00547	Syar.g_03026
OG0000212	Prbh.g_00539	Syar.g_03017
OG0000213	Prbh.g_00521	Syar.g_00187
OG0000214	Prbh.g_00512	Syar.g_00209
OG0000215	Prbh.g_00485	Syar.g_00239
OG0000216	Prbh.g_00484	Syar.g_00244
OG0000217	Prbh.g_00481	Syar.g_00854
OG0000218	Prbh.g_00479	Syar.g_00852
OG0000219	Prbh.g_00478	Syar.g_00851
OG0000220	Prbh.g_00477	Syar.g_00850, Syar.g_02026
OG0000221	Prbh.g_00476	Syar.g_00834
OG0000222	Prbh.g_00469	Syar.g_02119, Syar.g_00728
OG0000223	Prbh.g_00456	Syar.g_00649
OG0000224	Prbh.g_00454	Syar.g_00273
OG0000225	Prbh.g_00426	Syar.g_01142
OG0000226	Prbh.g_00422	Syar.g_01146
OG0000227	Prbh.g_00420	Syar.g_01148
OG0000228	Prbh.g_00416	Syar.g_01161
OG0000229	Prbh.g_00396	Syar.g_01177, Syar.g_03273
OG0000230	Prbh.g_00394	Syar.g_01179
OG0000231	Prbh.g_00383	Syar.g_02865, Syar.g_03151
OG0000232	Prbh.g_00370	Syar.g_01424
OG0000233	Prbh.g_00365	Syar.g_03183, Syar.g_01247
OG0000234	Prbh.g_00355	Syar.g_01275
OG0000235	Prbh.g_00352	Syar.g_01468
OG0000236	Prbh.g_00338	Syar.g_01484, Syar.g_03311
OG0000237	Prbh.g_00324	Syar.g_01503
OG0000238	Prbh.g_00318	Syar.g_01508
OG0000239	Prbh.g_00305	Syar.g_03277, Syar.g_02687
OG0000240	Prbh.g_00304	Syar.g_02686, Syar.g_03278
OG0000241	Prbh.g_00299	Syar.g_02410
OG0000242	Prbh.g_00297	Syar.g_01926
OG0000243	Prbh.g_00287	Syar.g_02335
OG0000244	Prbh.g_00284	Syar.g_02327
OG0000245	Prbh.g_00282	Syar.g_02325, Syar.g_03238
OG0000246	Prbh.g_00278	Syar.g_02321
OG0000247	Prbh.g_00267	Syar.g_02310
OG0000248	Prbh.g_00264	Syar.g_02307, Syar.g_03293
OG0000249	Prbh.g_00262	Syar.g_02305
OG0000250	Prbh.g_00257	Syar.g_02299
OG0000251	Prbh.g_00239	Syar.g_03207, Syar.g_02194
OG0000252	Prbh.g_00236	Syar.g_02189, Syar.g_03263
OG0000253	Prbh.g_00235	Syar.g_02028
OG0000254	Prbh.g_00218	Syar.g_02169
OG0000255	Prbh.g_00212	Syar.g_02224, Syar.g_00011
OG0000256	Prbh.g_01455	Syar.g_02244
OG0000257	Prbh.g_01223	Syar.g_02407, Syar.g_01762
OG0000258	Prbh.g_01210	Syar.g_00010, Syar.g_02427
OG0000259	Prbh.g_01193	Syar.g_02472
OG0000260	Prbh.g_01190	Syar.g_03220, Syar.g_02475
OG0000261	Prbh.g_01187	Syar.g_01916
OG0000262	Prbh.g_01182	Syar.g_01690
OG0000263	Prbh.g_00915	Syar.g_01991
OG0000264	Prbh.g_00926	Syar.g_02135, Syar.g_03267
OG0000266	Prbh.g_01163	Syar.g_01570
OG0000267	Prbh.g_01150	Syar.g_01873
OG0000268	Prbh.g_01149	Syar.g_02589
OG0000269	Prbh.g_00948	Syar.g_02634
OG0000270	Prbh.g_00951	Syar.g_00744, Syar.g_02637
OG0000271	Prbh.g_00959	Syar.g_02645
OG0000272	Prbh.g_00960	Syar.g_02646
OG0000273	Prbh.g_00983	Syar.g_00008
OG0000274	Prbh.g_00984	Syar.g_02482, Syar.g_00009
OG0000275	Prbh.g_00987	Syar.g_01810
OG0000276	Prbh.g_00993	Syar.g_01817
OG0000277	Prbh.g_00994	Syar.g_03242, Syar.g_01818
OG0000278	Prbh.g_00997	Syar.g_01821, Syar.g_03174
OG0000279	Prbh.g_01005	Syar.g_01838
OG0000280	Prbh.g_01006	Syar.g_02067, Syar.g_00734
OG0000281	Prbh.g_01013	Syar.g_02218
OG0000282	Prbh.g_00880	Syar.g_03255, Syar.g_01614
OG0000283	Prbh.g_01059	Syar.g_02574
OG0000284	Prbh.g_01064	Syar.g_02568
OG0000285	Prbh.g_01069	Syar.g_02560
OG0000286	Prbh.g_01085	Syar.g_02540
OG0000287	Prbh.g_01342	Syar.g_02512
OG0000288	Prbh.g_01120	Syar.g_01801
OG0000289	Prbh.g_01135	Syar.g_01786
OG0000290	Prbh.g_01034	Syar.g_01928
OG0000291	Prbh.g_01032	Syar.g_01930
OG0000292	Prbh.g_01328	Syar.g_00463
OG0000293	Prbh.g_01293	Syar.g_01526, Syar.g_03297
OG0000294	Prbh.g_01292	Syar.g_01527, Syar.g_03296
OG0000295	Prbh.g_01268	Syar.g_01951, Syar.g_03208
OG0000296	Prbh.g_01266	Syar.g_01953
OG0000297	Prbh.g_01257	Syar.g_03216
OG0000298	Prbh.g_01256	Syar.g_03215
OG0000299	Prbh.g_01237	Syar.g_01704
OG0000300	Prbh.g_01234	Syar.g_01646
OG0000301	Prbh.g_01233	Syar.g_01712
OG0000302	Prbh.g_01231	Syar.g_01713
OG0000303	Prbh.g_01225	Syar.g_01723
OG0000304	Prbh.g_01450	Syar.g_01728
OG0000305	Prbh.g_01326	Syar.g_01933, Syar.g_03163
OG0000306	Prbh.g_01017	Syar.g_01884, Syar.g_03140
OG0000307	Prbh.g_00019	Syar.g_01452, Syar.g_03153
OG0000308	Prbh.g_00020	Syar.g_01450
OG0000309	Prbh.g_00024	Syar.g_01239
OG0000310	Prbh.g_00082	Syar.g_02826
OG0000311	Prbh.g_00084	Syar.g_02823
OG0000312	Prbh.g_00087	Syar.g_00015, Syar.g_02818
OG0000313	Prbh.g_00103	Syar.g_02804
OG0000314	Prbh.g_00126	Syar.g_01403
OG0000315	Prbh.g_00136	Syar.g_01393
OG0000316	Prbh.g_00162	Syar.g_02885
OG0000317	Prbh.g_01785	Syar.g_02926
OG0000318	Prbh.g_01781	Syar.g_02930
OG0000319	Prbh.g_01768	Syar.g_02954
OG0000320	Prbh.g_01766	Syar.g_02956
OG0000321	Prbh.g_01765	Syar.g_02957
OG0000322	Prbh.g_01764	Syar.g_02958
OG0000323	Prbh.g_01755	Syar.g_02973
OG0000324	Prbh.g_01727	Syar.g_00350, Syar.g_03001
OG0000325	Prbh.g_01717	Syar.g_03291, Syar.g_00148
OG0000326	Prbh.g_01710	Syar.g_00139, Syar.g_03134
OG0000327	Prbh.g_01686	Syar.g_01029
OG0000328	Prbh.g_01685	Syar.g_01030
OG0000329	Prbh.g_01668	Syar.g_03189, Syar.g_01048
OG0000330	Prbh.g_01667	Syar.g_01049
OG0000331	Prbh.g_01666	Syar.g_03191, Syar.g_01050
OG0000332	Prbh.g_01652	Syar.g_01064, Syar.g_03299
OG0000333	Prbh.g_01650	Syar.g_01067
OG0000334	Prbh.g_01641	Syar.g_01076
OG0000335	Prbh.g_01636	Syar.g_01080
OG0000336	Prbh.g_01632	Syar.g_01084
OG0000337	Prbh.g_01613	Syar.g_00285
OG0000338	Prbh.g_01612	Syar.g_03225, Syar.g_00287
OG0000339	Prbh.g_01606	Syar.g_00658
OG0000340	Prbh.g_01597	Syar.g_00247
OG0000341	Prbh.g_01595	Syar.g_00249
OG0000342	Prbh.g_01594	Syar.g_00250
OG0000343	Prbh.g_01593	Syar.g_00256
OG0000344	Prbh.g_01590	Syar.g_00260
OG0000345	Prbh.g_01584	Syar.g_00612
OG0000346	Prbh.g_01580	Syar.g_00607
OG0000347	Prbh.g_01563	Syar.g_00558
OG0000348	Prbh.g_01555	Syar.g_00544
OG0000349	Prbh.g_01537	Syar.g_00521
OG0000350	Prbh.g_01516	Syar.g_00132
OG0000351	Prbh.g_01497	Syar.g_00442
OG0000352	Prbh.g_01496	Syar.g_00443
OG0000353	Prbh.g_01477	Syar.g_00469
OG0000355	Prbh.g_01475	Syar.g_00471
OG0000356	Prbh.g_01474	Syar.g_00472
OG0000357	Prbh.g_01473	Syar.g_00473
OG0000358	Prbh.g_01469	Syar.g_00477
OG0000359	Prbh.g_01468	Syar.g_00479
OG0000360	Prbh.g_01467	Syar.g_00480
OG0000361	Prbh.g_01466	Syar.g_00481
OG0000362	Prbh.g_01952	Syar.g_00483
OG0000363	Prbh.g_00766	Syar.g_00484
OG0000364	Prbh.g_00765	Syar.g_02928
OG0000365	Prbh.g_00760	Syar.g_00493
OG0000366	Prbh.g_00759	Syar.g_00494
OG0000367	Prbh.g_00758	Syar.g_03262, Syar.g_00495
OG0000368	Prbh.g_00756	Syar.g_00497
OG0000369	Prbh.g_00755	Syar.g_00498
OG0000370	Prbh.g_00754	Syar.g_00499
OG0000371	Prbh.g_00748	Syar.g_00508
OG0000372	Prbh.g_00746	Syar.g_00514
OG0000373	Prbh.g_00745	Syar.g_00515
OG0000374	Prbh.g_00744	Syar.g_00516
OG0000375	Prbh.g_00743	Syar.g_00517
OG0000376	Prbh.g_00741	Syar.g_00519
OG0000377	Prbh.g_00737	Syar.g_00322
OG0000378	Prbh.g_00733	Syar.g_00905
OG0000379	Prbh.g_00730	Syar.g_00910
OG0000380	Prbh.g_00717	Syar.g_03039
OG0000381	Prbh.g_00712	Syar.g_03041
OG0000382	Prbh.g_00702	Syar.g_03057
OG0000383	Prbh.g_00700	Syar.g_03074
OG0000384	Prbh.g_00699	Syar.g_03075
OG0000385	Prbh.g_00698	Syar.g_03076
OG0000386	Prbh.g_00697	Syar.g_03077
OG0000387	Prbh.g_00684	Syar.g_03109
OG0000388	Prbh.g_00680	Syar.g_03148, Syar.g_03113
OG0000389	Prbh.g_00677	Syar.g_03118
OG0000390	Prbh.g_00668	Syar.g_00033
OG0000391	Prbh.g_00665	Syar.g_00038
OG0000392	Prbh.g_00661	Syar.g_00045
OG0000393	Prbh.g_00658	Syar.g_00048
OG0000394	Prbh.g_00657	Syar.g_00049
OG0000395	Prbh.g_00656	Syar.g_00050
OG0000396	Prbh.g_00654	Syar.g_00053
OG0000397	Prbh.g_00652	Syar.g_00055
OG0000398	Prbh.g_00649	Syar.g_00060
OG0000399	Prbh.g_00648	Syar.g_00061
OG0000400	Prbh.g_00647	Syar.g_00062
OG0000401	Prbh.g_00646	Syar.g_00063
OG0000402	Prbh.g_01144	Syar.g_00065
OG0000403	Prbh.g_00644	Syar.g_00066
OG0000404	Prbh.g_00643	Syar.g_00067
OG0000405	Prbh.g_00639	Syar.g_00076
OG0000406	Prbh.g_00635	Syar.g_00080
OG0000407	Prbh.g_00634	Syar.g_00081
OG0000408	Prbh.g_00632	Syar.g_00083
OG0000409	Prbh.g_00630	Syar.g_00085
OG0000410	Prbh.g_00629	Syar.g_00086
OG0000411	Prbh.g_00628	Syar.g_00087
OG0000412	Prbh.g_00627	Syar.g_00088
OG0000413	Prbh.g_00626	Syar.g_00090
OG0000414	Prbh.g_00625	Syar.g_00091, Syar.g_03179
OG0000415	Prbh.g_00624	Syar.g_00092
OG0000416	Prbh.g_00623	Syar.g_00093
OG0000417	Prbh.g_00622	Syar.g_00095
OG0000418	Prbh.g_00617	Syar.g_00100
OG0000419	Prbh.g_00615	Syar.g_00102
OG0000420	Prbh.g_00614	Syar.g_00104
OG0000421	Prbh.g_00610	Syar.g_00109
OG0000422	Prbh.g_00609	Syar.g_00110
OG0000423	Prbh.g_00608	Syar.g_00111
OG0000424	Prbh.g_00607	Syar.g_00112
OG0000425	Prbh.g_00606	Syar.g_00113
OG0000426	Prbh.g_00605	Syar.g_00114
OG0000427	Prbh.g_00604	Syar.g_00115
OG0000428	Prbh.g_00602	Syar.g_00118
OG0000429	Prbh.g_00601	Syar.g_00121
OG0000430	Prbh.g_00600	Syar.g_00123
OG0000431	Prbh.g_00598	Syar.g_00127
OG0000432	Prbh.g_00594	Syar.g_01009
OG0000433	Prbh.g_00593	Syar.g_01007
OG0000434	Prbh.g_00592	Syar.g_01006
OG0000435	Prbh.g_00591	Syar.g_01003
OG0000436	Prbh.g_00586	Syar.g_00994
OG0000437	Prbh.g_00585	Syar.g_00993
OG0000438	Prbh.g_00584	Syar.g_00992
OG0000439	Prbh.g_00582	Syar.g_00990
OG0000440	Prbh.g_00581	Syar.g_00989
OG0000441	Prbh.g_00578	Syar.g_00986
OG0000442	Prbh.g_00577	Syar.g_00977
OG0000443	Prbh.g_00576	Syar.g_00964
OG0000444	Prbh.g_00571	Syar.g_00954
OG0000445	Prbh.g_00570	Syar.g_00953
OG0000446	Prbh.g_00569	Syar.g_00951
OG0000447	Prbh.g_00568	Syar.g_00948
OG0000448	Prbh.g_00567	Syar.g_00947
OG0000449	Prbh.g_00566	Syar.g_00946
OG0000450	Prbh.g_00565	Syar.g_00939
OG0000451	Prbh.g_00564	Syar.g_00938
OG0000452	Prbh.g_00561	Syar.g_00934
OG0000453	Prbh.g_00560	Syar.g_00933
OG0000454	Prbh.g_00559	Syar.g_00932
OG0000455	Prbh.g_00558	Syar.g_00931
OG0000456	Prbh.g_00557	Syar.g_00930
OG0000457	Prbh.g_00555	Syar.g_00928
OG0000458	Prbh.g_00554	Syar.g_00918
OG0000459	Prbh.g_00553	Syar.g_00917
OG0000460	Prbh.g_00545	Syar.g_03024
OG0000461	Prbh.g_00537	Syar.g_00153
OG0000462	Prbh.g_00535	Syar.g_00155
OG0000463	Prbh.g_00534	Syar.g_00156
OG0000464	Prbh.g_00533	Syar.g_00157
OG0000465	Prbh.g_00532	Syar.g_00159
OG0000466	Prbh.g_00529	Syar.g_00164
OG0000467	Prbh.g_00528	Syar.g_00165
OG0000468	Prbh.g_00525	Syar.g_00170
OG0000469	Prbh.g_00517	Syar.g_00203
OG0000470	Prbh.g_00515	Syar.g_00206
OG0000471	Prbh.g_00514	Syar.g_00207
OG0000472	Prbh.g_00513	Syar.g_00208
OG0000473	Prbh.g_00511	Syar.g_00210
OG0000474	Prbh.g_00510	Syar.g_00211
OG0000475	Prbh.g_00509	Syar.g_00212
OG0000476	Prbh.g_00507	Syar.g_00214
OG0000477	Prbh.g_00504	Syar.g_00219
OG0000478	Prbh.g_00503	Syar.g_00220
OG0000479	Prbh.g_00502	Syar.g_00221
OG0000480	Prbh.g_00497	Syar.g_00228
OG0000481	Prbh.g_00494	Syar.g_00230
OG0000482	Prbh.g_00493	Syar.g_00231
OG0000483	Prbh.g_00490	Syar.g_00235
OG0000484	Prbh.g_00489	Syar.g_00236
OG0000485	Prbh.g_00487	Syar.g_00237
OG0000486	Prbh.g_00486	Syar.g_00238, Syar.g_00024
OG0000487	Prbh.g_00483	Syar.g_00245
OG0000488	Prbh.g_00480	Syar.g_00853
OG0000489	Prbh.g_00475	Syar.g_00833
OG0000490	Prbh.g_00471	Syar.g_00823
OG0000491	Prbh.g_00470	Syar.g_00822
OG0000492	Prbh.g_00468	Syar.g_00727
OG0000493	Prbh.g_00467	Syar.g_00726
OG0000494	Prbh.g_00466	Syar.g_00725
OG0000495	Prbh.g_00465	Syar.g_00724
OG0000496	Prbh.g_00464	Syar.g_00723
OG0000497	Prbh.g_00463	Syar.g_00722
OG0000498	Prbh.g_00462	Syar.g_00721
OG0000499	Prbh.g_00461	Syar.g_00720
OG0000500	Prbh.g_00460	Syar.g_00719
OG0000501	Prbh.g_00458	Syar.g_00716
OG0000502	Prbh.g_00455	Syar.g_00275
OG0000503	Prbh.g_00439	Syar.g_01118
OG0000504	Prbh.g_00437	Syar.g_01120
OG0000505	Prbh.g_00436	Syar.g_01121
OG0000506	Prbh.g_00435	Syar.g_01123
OG0000507	Prbh.g_00431	Syar.g_01129
OG0000508	Prbh.g_00427	Syar.g_01141
OG0000509	Prbh.g_00425	Syar.g_01143
OG0000510	Prbh.g_00424	Syar.g_01144
OG0000511	Prbh.g_00423	Syar.g_01145
OG0000512	Prbh.g_00421	Syar.g_01147
OG0000513	Prbh.g_00412	Syar.g_01166
OG0000514	Prbh.g_00401	Syar.g_01169
OG0000515	Prbh.g_00400	Syar.g_01170
OG0000516	Prbh.g_00399	Syar.g_01172
OG0000517	Prbh.g_00397	Syar.g_01176
OG0000518	Prbh.g_00386	Syar.g_02868
OG0000519	Prbh.g_00385	Syar.g_02867
OG0000520	Prbh.g_00384	Syar.g_02866
OG0000521	Prbh.g_00374	Syar.g_01419
OG0000522	Prbh.g_00372	Syar.g_01421
OG0000523	Prbh.g_00371	Syar.g_01422
OG0000524	Prbh.g_00367	Syar.g_01244
OG0000525	Prbh.g_00363	Syar.g_01263
OG0000526	Prbh.g_00361	Syar.g_01266
OG0000527	Prbh.g_00358	Syar.g_01271
OG0000528	Prbh.g_00353	Syar.g_01466
OG0000529	Prbh.g_00350	Syar.g_01470
OG0000530	Prbh.g_00347	Syar.g_01473
OG0000531	Prbh.g_00346	Syar.g_01474
OG0000532	Prbh.g_00344	Syar.g_01477
OG0000533	Prbh.g_00343	Syar.g_01479
OG0000534	Prbh.g_00342	Syar.g_01480
OG0000535	Prbh.g_00341	Syar.g_01481
OG0000536	Prbh.g_00340	Syar.g_01482
OG0000537	Prbh.g_00339	Syar.g_01483
OG0000538	Prbh.g_00329	Syar.g_01496
OG0000539	Prbh.g_00328	Syar.g_01497
OG0000540	Prbh.g_00327	Syar.g_01498
OG0000541	Prbh.g_00326	Syar.g_01499
OG0000542	Prbh.g_00325	Syar.g_01502
OG0000543	Prbh.g_00323	Syar.g_01504
OG0000544	Prbh.g_00322	Syar.g_01505
OG0000545	Prbh.g_00320	Syar.g_01507
OG0000546	Prbh.g_00317	Syar.g_01509
OG0000547	Prbh.g_00315	Syar.g_01511
OG0000548	Prbh.g_00314	Syar.g_01512
