Orthogroup	Prbi	Prbh
OG0000068	Prbi.g_01439	Prbh.g_00009
OG0000069	Prbi.g_01702	Prbh.g_00376
OG0000070	Prbi.g_00451	Prbh.g_00382
OG0000071	Prbi.g_01391	Prbh.g_01373
OG0000072	Prbi.g_00195	Prbh.g_00611
OG0000073	Prbi.g_00502	Prbh.g_00330, Prbh.g_00051
OG0000074	Prbi.g_00685	Prbh.g_00916
OG0000075	Prbi.g_01970	Prbh.g_01607
OG0000076	Prbi.g_01994	Prbh.g_01581
OG0000077	Prbi.g_00085	Prbh.g_00704
OG0000078	Prbi.g_00263	Prbh.g_00540
OG0000079	Prbi.g_00276	Prbh.g_00527
OG0000080	Prbi.g_00410, Prbi.g_01492	Prbh.g_00069
OG0000081	Prbi.g_00534	Prbh.g_00298
OG0000082	Prbi.g_00587	Prbh.g_01855
OG0000084	Prbi.g_01585	Prbh.g_00093
OG0000085	Prbi.g_01780	Prbh.g_01408
OG0000086	Prbi.g_00095	Prbh.g_00695
OG0000087	Prbi.g_00147	Prbh.g_00642
OG0000088	Prbi.g_00190	Prbh.g_00616
OG0000089	Prbi.g_00380	Prbh.g_00415
OG0000090	Prbi.g_00536	Prbh.g_00296
OG0000091	Prbi.g_00645	Prbh.g_01211
OG0000092	Prbi.g_00956	Prbh.g_00883
OG0000093	Prbi.g_00977	Prbh.g_01181
OG0000094	Prbi.g_01067	Prbh.g_01130
OG0000095	Prbi.g_01086	Prbh.g_01031
OG0000096	Prbi.g_01156, Prbi.g_01352	Prbh.g_01909, Prbh.g_01948
OG0000097	Prbi.g_01248	Prbh.g_01236
OG0000098	Prbi.g_01421	Prbh.g_01935
OG0000099	Prbi.g_01462	Prbh.g_00032
OG0000100	Prbi.g_01664	Prbh.g_00179
OG0000101	Prbi.g_01938	Prbh.g_01644
OG0000102	Prbi.g_01999	Prbh.g_01576
OG0000103	Prbi.g_02091	Prbh.g_01489
OG0000104	Prbi.g_02099	Prbh.g_01480
OG0000105	Prbi.g_00298	Prbh.g_00505
OG0000106	Prbi.g_00394	Prbh.g_00821
OG0000107	Prbi.g_00409	Prbh.g_01718
OG0000108	Prbi.g_00483	Prbh.g_00351
OG0000109	Prbi.g_00497	Prbh.g_00337
OG0000110	Prbi.g_00577	Prbh.g_00254
OG0000111	Prbi.g_00703	Prbh.g_00937
OG0000112	Prbi.g_00811	Prbh.g_01078
OG0000113	Prbi.g_00869	Prbh.g_00976
OG0000114	Prbi.g_00951	Prbh.g_00878
OG0000115	Prbi.g_01148	Prbh.g_01344
OG0000116	Prbi.g_01197	Prbh.g_01294
OG0000117	Prbi.g_01330	Prbh.g_01255
OG0000118	Prbi.g_01403	Prbh.g_01385
OG0000119	Prbi.g_01435	Prbh.g_01333, Prbh.g_00194
OG0000120	Prbi.g_01460	Prbh.g_00031
OG0000121	Prbi.g_01593	Prbh.g_00101
OG0000122	Prbi.g_01630	Prbh.g_01347, Prbh.g_00143
OG0000123	Prbi.g_01945	Prbh.g_01637
OG0000124	Prbi.g_02010	Prbh.g_01564
OG0000125	Prbi.g_02059	Prbh.g_01528
OG0000126	Prbi.g_02098	Prbh.g_01481
OG0000128	Prbi.g_00011	Prbh.g_01953
OG0000129	Prbi.g_00053	Prbh.g_00738
OG0000130	Prbi.g_00076	Prbh.g_00713
OG0000131	Prbi.g_00169	Prbh.g_00637
OG0000132	Prbi.g_00188	Prbh.g_00618
OG0000133	Prbi.g_00346	Prbh.g_00457
OG0000134	Prbi.g_00381	Prbh.g_00413
OG0000135	Prbi.g_00407	Prbh.g_01825
OG0000136	Prbi.g_00442	Prbh.g_00391
OG0000137	Prbi.g_00478	Prbh.g_00356
OG0000138	Prbi.g_00498	Prbh.g_00336
OG0000139	Prbi.g_00540	Prbh.g_00292
OG0000140	Prbi.g_00541	Prbh.g_00291
OG0000141	Prbi.g_00609	Prbh.g_00222
OG0000142	Prbi.g_00638	Prbh.g_01218
OG0000143	Prbi.g_00642	Prbh.g_01215
OG0000144	Prbi.g_00655	Prbh.g_01201
OG0000145	Prbi.g_00807	Prbh.g_01880
OG0000146	Prbi.g_00812	Prbh.g_01077
OG0000147	Prbi.g_00813	Prbh.g_01076
OG0000148	Prbi.g_00863	Prbh.g_00970
OG0000149	Prbi.g_00894	Prbh.g_01002
OG0000150	Prbi.g_00902	Prbh.g_01012
OG0000151	Prbi.g_00961	Prbh.g_00888
OG0000152	Prbi.g_01009	Prbh.g_01086
OG0000153	Prbi.g_01028	Prbh.g_01104
OG0000154	Prbi.g_01060	Prbh.g_01121
OG0000155	Prbi.g_01227	Prbh.g_01261
OG0000156	Prbi.g_01380	Prbh.g_01362
OG0000157	Prbi.g_01381	Prbh.g_01363
OG0000158	Prbi.g_01489	Prbh.g_01599
OG0000159	Prbi.g_01490	Prbh.g_00039
OG0000160	Prbi.g_01592	Prbh.g_00100
OG0000161	Prbi.g_01598	Prbh.g_01288, Prbh.g_00106
OG0000162	Prbi.g_01604	Prbh.g_00112
OG0000163	Prbi.g_01637	Prbh.g_00151
OG0000164	Prbi.g_01811	Prbh.g_01758
OG0000165	Prbi.g_01818	Prbh.g_01750
OG0000166	Prbi.g_01902	Prbh.g_01681
OG0000167	Prbi.g_01968	Prbh.g_01609
OG0000168	Prbi.g_01978	Prbh.g_01598
OG0000169	Prbi.g_01988	Prbh.g_01588
OG0000170	Prbi.g_01990	Prbh.g_01585
OG0000171	Prbi.g_02009	Prbh.g_01565
OG0000172	Prbi.g_02030	Prbh.g_01558
OG0000173	Prbi.g_02045	Prbh.g_01543
OG0000174	Prbi.g_02073	Prbh.g_01512
OG0000175	Prbi.g_02083	Prbh.g_01500
OG0000176	Prbi.g_00004	Prbh.g_01472
OG0000177	Prbi.g_00005	Prbh.g_01471
OG0000178	Prbi.g_00006	Prbh.g_01470
OG0000179	Prbi.g_00016	Prbh.g_00764
OG0000180	Prbi.g_00017	Prbh.g_00763
OG0000181	Prbi.g_00018	Prbh.g_00762
OG0000182	Prbi.g_00019	Prbh.g_00761
OG0000183	Prbi.g_00023	Prbh.g_00757
OG0000184	Prbi.g_00057	Prbh.g_00734
OG0000185	Prbi.g_00060	Prbh.g_00731
OG0000186	Prbi.g_00071	Prbh.g_00719
OG0000187	Prbi.g_00072	Prbh.g_00718
OG0000188	Prbi.g_00089	Prbh.g_00701
OG0000189	Prbi.g_00103	Prbh.g_00687
OG0000190	Prbi.g_00104	Prbh.g_00686
OG0000191	Prbi.g_00125	Prbh.g_00664
OG0000192	Prbi.g_00129	Prbh.g_00659
OG0000193	Prbi.g_00170	Prbh.g_00636
OG0000194	Prbi.g_00173	Prbh.g_00633
OG0000195	Prbi.g_00175	Prbh.g_00631
OG0000196	Prbi.g_00185	Prbh.g_00621
OG0000197	Prbi.g_00186	Prbh.g_00620
OG0000198	Prbi.g_00187	Prbh.g_00619
OG0000199	Prbi.g_00194	Prbh.g_00612
OG0000200	Prbi.g_00208	Prbh.g_00599
OG0000201	Prbi.g_00216	Prbh.g_00590
OG0000202	Prbi.g_00217	Prbh.g_00589
OG0000203	Prbi.g_00218	Prbh.g_00588
OG0000204	Prbi.g_00219	Prbh.g_00587
OG0000205	Prbi.g_00226	Prbh.g_00580
OG0000206	Prbi.g_00231	Prbh.g_00575
OG0000207	Prbi.g_00233	Prbh.g_00573
OG0000208	Prbi.g_00234	Prbh.g_00572
OG0000209	Prbi.g_00243	Prbh.g_00563
OG0000210	Prbi.g_00244	Prbh.g_00562
OG0000211	Prbi.g_00257	Prbh.g_00547
OG0000212	Prbi.g_00264	Prbh.g_00539
OG0000213	Prbi.g_00281	Prbh.g_00521
OG0000214	Prbi.g_00291	Prbh.g_00512
OG0000215	Prbi.g_00316	Prbh.g_00485
OG0000216	Prbi.g_00318	Prbh.g_00484
OG0000217	Prbi.g_00321	Prbh.g_00481
OG0000218	Prbi.g_00323	Prbh.g_00479
OG0000219	Prbi.g_00324	Prbh.g_00478
OG0000220	Prbi.g_00325	Prbh.g_00477
OG0000221	Prbi.g_00326	Prbh.g_00476
OG0000222	Prbi.g_00334	Prbh.g_00469
OG0000223	Prbi.g_00347	Prbh.g_00456
OG0000224	Prbi.g_00349	Prbh.g_00454
OG0000225	Prbi.g_00370	Prbh.g_00426
OG0000226	Prbi.g_00374	Prbh.g_00422
OG0000227	Prbi.g_00376	Prbh.g_00420
OG0000228	Prbi.g_00379	Prbh.g_00416
OG0000229	Prbi.g_00437	Prbh.g_00396
OG0000230	Prbi.g_00439	Prbh.g_00394
OG0000231	Prbi.g_00450	Prbh.g_00383
OG0000232	Prbi.g_00459	Prbh.g_00370
OG0000233	Prbi.g_00465	Prbh.g_00365
OG0000234	Prbi.g_00479	Prbh.g_00355
OG0000235	Prbi.g_00482	Prbh.g_00352
OG0000236	Prbi.g_00496	Prbh.g_00338
OG0000237	Prbi.g_00509	Prbh.g_00324
OG0000238	Prbi.g_00515	Prbh.g_00318
OG0000239	Prbi.g_00528	Prbh.g_00305
OG0000240	Prbi.g_00529	Prbh.g_00304
OG0000241	Prbi.g_00533	Prbh.g_00299
OG0000242	Prbi.g_00535	Prbh.g_00297
OG0000243	Prbi.g_00546	Prbh.g_00287
OG0000244	Prbi.g_00549	Prbh.g_00284
OG0000245	Prbi.g_00551	Prbh.g_00282
OG0000246	Prbi.g_00555	Prbh.g_00278
OG0000247	Prbi.g_00565	Prbh.g_00267
OG0000248	Prbi.g_00567	Prbh.g_00264
OG0000249	Prbi.g_00569	Prbh.g_00262
OG0000250	Prbi.g_00574	Prbh.g_00257
OG0000251	Prbi.g_00593	Prbh.g_00239
OG0000252	Prbi.g_00596	Prbh.g_00236
OG0000253	Prbi.g_00597	Prbh.g_00235
OG0000254	Prbi.g_00613	Prbh.g_00218
OG0000255	Prbi.g_00619	Prbh.g_00212
OG0000256	Prbi.g_00629	Prbh.g_01455
OG0000257	Prbi.g_00632	Prbh.g_01223
OG0000258	Prbi.g_00646	Prbh.g_01210
OG0000259	Prbi.g_00663	Prbh.g_01193
OG0000260	Prbi.g_00666	Prbh.g_01190
OG0000261	Prbi.g_00668	Prbh.g_01187
OG0000262	Prbi.g_00672	Prbh.g_01182
OG0000263	Prbi.g_00684	Prbh.g_00915
OG0000264	Prbi.g_00694	Prbh.g_00926
OG0000265	Prbi.g_00745	Prbh.g_00945
OG0000266	Prbi.g_00755	Prbh.g_01163
OG0000267	Prbi.g_00766	Prbh.g_01150
OG0000268	Prbi.g_00767	Prbh.g_01149
OG0000269	Prbi.g_00842	Prbh.g_00948
OG0000270	Prbi.g_00845	Prbh.g_00951
OG0000271	Prbi.g_00853	Prbh.g_00959
OG0000272	Prbi.g_00854	Prbh.g_00960
OG0000273	Prbi.g_00877	Prbh.g_00983
OG0000274	Prbi.g_00878	Prbh.g_00984
OG0000275	Prbi.g_00881	Prbh.g_00987
OG0000276	Prbi.g_00886	Prbh.g_00993
OG0000277	Prbi.g_00887	Prbh.g_00994
OG0000278	Prbi.g_00890	Prbh.g_00997
OG0000279	Prbi.g_00897	Prbh.g_01005
OG0000280	Prbi.g_00898	Prbh.g_01006
OG0000281	Prbi.g_00903	Prbh.g_01013
OG0000282	Prbi.g_00953	Prbh.g_00880
OG0000283	Prbi.g_00986	Prbh.g_01059
OG0000284	Prbi.g_00991	Prbh.g_01064
OG0000285	Prbi.g_00996	Prbh.g_01069
OG0000286	Prbi.g_01008	Prbh.g_01085
OG0000287	Prbi.g_01025	Prbh.g_01342
OG0000288	Prbi.g_01059	Prbh.g_01120
OG0000289	Prbi.g_01070	Prbh.g_01135
OG0000290	Prbi.g_01083	Prbh.g_01034
OG0000291	Prbi.g_01085	Prbh.g_01032
OG0000292	Prbi.g_01136	Prbh.g_01328
OG0000293	Prbi.g_01198	Prbh.g_01293
OG0000294	Prbi.g_01199	Prbh.g_01292
OG0000295	Prbi.g_01219	Prbh.g_01268
OG0000296	Prbi.g_01221	Prbh.g_01266
OG0000297	Prbi.g_01229	Prbh.g_01257
OG0000298	Prbi.g_01230	Prbh.g_01256
OG0000299	Prbi.g_01247	Prbh.g_01237
OG0000300	Prbi.g_01250	Prbh.g_01234
OG0000301	Prbi.g_01251	Prbh.g_01233
OG0000302	Prbi.g_01253	Prbh.g_01231
OG0000303	Prbi.g_01260	Prbh.g_01225
OG0000304	Prbi.g_01264	Prbh.g_01450
OG0000305	Prbi.g_01431	Prbh.g_01326
OG0000306	Prbi.g_01434	Prbh.g_01017
OG0000307	Prbi.g_01448	Prbh.g_00019
OG0000308	Prbi.g_01449	Prbh.g_00020
OG0000309	Prbi.g_01453	Prbh.g_00024
OG0000310	Prbi.g_01574	Prbh.g_00082
OG0000311	Prbi.g_01576	Prbh.g_00084
OG0000312	Prbi.g_01579	Prbh.g_00087
OG0000313	Prbi.g_01595	Prbh.g_00103
OG0000314	Prbi.g_01617	Prbh.g_00126
OG0000315	Prbi.g_01627	Prbh.g_00136
OG0000316	Prbi.g_01647	Prbh.g_00162
OG0000317	Prbi.g_01785	Prbh.g_01785
OG0000318	Prbi.g_01788	Prbh.g_01781
OG0000319	Prbi.g_01801	Prbh.g_01768
OG0000320	Prbi.g_01803	Prbh.g_01766
OG0000321	Prbi.g_01804	Prbh.g_01765
OG0000322	Prbi.g_01805	Prbh.g_01764
OG0000323	Prbi.g_01814	Prbh.g_01755
OG0000324	Prbi.g_01840	Prbh.g_01727
OG0000325	Prbi.g_01849	Prbh.g_01717
OG0000326	Prbi.g_01855	Prbh.g_01710
OG0000327	Prbi.g_01897	Prbh.g_01686
OG0000328	Prbi.g_01898	Prbh.g_01685
OG0000329	Prbi.g_01915	Prbh.g_01668
OG0000330	Prbi.g_01916	Prbh.g_01667
OG0000331	Prbi.g_01917	Prbh.g_01666
OG0000332	Prbi.g_01931	Prbh.g_01652
OG0000333	Prbi.g_01933	Prbh.g_01650
OG0000334	Prbi.g_01941	Prbh.g_01641
OG0000335	Prbi.g_01946	Prbh.g_01636
OG0000336	Prbi.g_01950	Prbh.g_01632
OG0000337	Prbi.g_01966	Prbh.g_01613
OG0000338	Prbi.g_01967	Prbh.g_01612
OG0000339	Prbi.g_01971	Prbh.g_01606
OG0000340	Prbi.g_01979	Prbh.g_01597
OG0000341	Prbi.g_01981	Prbh.g_01595
OG0000342	Prbi.g_01982	Prbh.g_01594
OG0000343	Prbi.g_01983	Prbh.g_01593
OG0000344	Prbi.g_01986	Prbh.g_01590
OG0000345	Prbi.g_01991	Prbh.g_01584
OG0000346	Prbi.g_01995	Prbh.g_01580
OG0000347	Prbi.g_02011	Prbh.g_01563
OG0000348	Prbi.g_02033	Prbh.g_01555
OG0000349	Prbi.g_02050	Prbh.g_01537
OG0000350	Prbi.g_02069	Prbh.g_01516
OG0000351	Prbi.g_02086	Prbh.g_01497
OG0000352	Prbi.g_02087	Prbh.g_01496
OG0000353	Prbi.g_02102	Prbh.g_01477
OG0000355	Prbi.g_00001	Prbh.g_01475
OG0000356	Prbi.g_00002	Prbh.g_01474
OG0000357	Prbi.g_00003	Prbh.g_01473
OG0000358	Prbi.g_00007	Prbh.g_01469
OG0000359	Prbi.g_00008	Prbh.g_01468
OG0000360	Prbi.g_00009	Prbh.g_01467
OG0000361	Prbi.g_00010	Prbh.g_01466
OG0000362	Prbi.g_00012	Prbh.g_01952
OG0000363	Prbi.g_00014	Prbh.g_00766
OG0000364	Prbi.g_00015	Prbh.g_00765
OG0000365	Prbi.g_00020	Prbh.g_00760
OG0000366	Prbi.g_00021	Prbh.g_00759
OG0000367	Prbi.g_00022	Prbh.g_00758
OG0000368	Prbi.g_00024	Prbh.g_00756
OG0000369	Prbi.g_00025	Prbh.g_00755
OG0000370	Prbi.g_00026	Prbh.g_00754
OG0000371	Prbi.g_00032	Prbh.g_00748
OG0000372	Prbi.g_00035	Prbh.g_00746
OG0000373	Prbi.g_00036	Prbh.g_00745
OG0000374	Prbi.g_00037	Prbh.g_00744
OG0000375	Prbi.g_00049	Prbh.g_00743
OG0000376	Prbi.g_00051	Prbh.g_00741
OG0000377	Prbi.g_00056	Prbh.g_00737
OG0000378	Prbi.g_00058	Prbh.g_00733
OG0000379	Prbi.g_00061	Prbh.g_00730
OG0000380	Prbi.g_00073	Prbh.g_00717
OG0000381	Prbi.g_00077	Prbh.g_00712
OG0000382	Prbi.g_00088	Prbh.g_00702
OG0000383	Prbi.g_00090	Prbh.g_00700
OG0000384	Prbi.g_00091	Prbh.g_00699
OG0000385	Prbi.g_00092	Prbh.g_00698
OG0000386	Prbi.g_00093	Prbh.g_00697
OG0000387	Prbi.g_00106	Prbh.g_00684
OG0000388	Prbi.g_00109	Prbh.g_00680
OG0000389	Prbi.g_00113	Prbh.g_00677
OG0000390	Prbi.g_00120	Prbh.g_00668
OG0000391	Prbi.g_00124	Prbh.g_00665
OG0000392	Prbi.g_00128	Prbh.g_00661
OG0000393	Prbi.g_00130	Prbh.g_00658
OG0000394	Prbi.g_00131	Prbh.g_00657
OG0000395	Prbi.g_00132	Prbh.g_00656
OG0000396	Prbi.g_00135	Prbh.g_00654
OG0000397	Prbi.g_00137	Prbh.g_00652
OG0000398	Prbi.g_00139	Prbh.g_00649
OG0000399	Prbi.g_00140	Prbh.g_00648
OG0000400	Prbi.g_00141	Prbh.g_00647
OG0000401	Prbi.g_00142	Prbh.g_00646
OG0000402	Prbi.g_00144	Prbh.g_01144
OG0000403	Prbi.g_00145	Prbh.g_00644
OG0000404	Prbi.g_00146	Prbh.g_00643
OG0000405	Prbi.g_00150	Prbh.g_00639
OG0000406	Prbi.g_00171	Prbh.g_00635
OG0000407	Prbi.g_00172	Prbh.g_00634
OG0000408	Prbi.g_00174	Prbh.g_00632
OG0000409	Prbi.g_00176	Prbh.g_00630
OG0000410	Prbi.g_00177	Prbh.g_00629
OG0000411	Prbi.g_00178	Prbh.g_00628
OG0000412	Prbi.g_00179	Prbh.g_00627
OG0000413	Prbi.g_00180	Prbh.g_00626
OG0000414	Prbi.g_00181	Prbh.g_00625
OG0000415	Prbi.g_00182	Prbh.g_00624
OG0000416	Prbi.g_00183	Prbh.g_00623
OG0000417	Prbi.g_00184	Prbh.g_00622
OG0000418	Prbi.g_00189	Prbh.g_00617
OG0000419	Prbi.g_00191	Prbh.g_00615
OG0000420	Prbi.g_00192	Prbh.g_00614
OG0000421	Prbi.g_00197	Prbh.g_00610
OG0000422	Prbi.g_00198	Prbh.g_00609
OG0000423	Prbi.g_00199	Prbh.g_00608
OG0000424	Prbi.g_00200	Prbh.g_00607
OG0000425	Prbi.g_00201	Prbh.g_00606
OG0000426	Prbi.g_00202	Prbh.g_00605
OG0000427	Prbi.g_00203	Prbh.g_00604
OG0000428	Prbi.g_00205	Prbh.g_00602
OG0000429	Prbi.g_00206	Prbh.g_00601
OG0000430	Prbi.g_00207	Prbh.g_00600
OG0000431	Prbi.g_00209	Prbh.g_00598
OG0000432	Prbi.g_00212	Prbh.g_00594
OG0000433	Prbi.g_00213	Prbh.g_00593
OG0000434	Prbi.g_00214	Prbh.g_00592
OG0000435	Prbi.g_00215	Prbh.g_00591
OG0000436	Prbi.g_00220	Prbh.g_00586
OG0000437	Prbi.g_00221	Prbh.g_00585
OG0000438	Prbi.g_00222	Prbh.g_00584
OG0000439	Prbi.g_00224	Prbh.g_00582
OG0000440	Prbi.g_00225	Prbh.g_00581
OG0000441	Prbi.g_00228	Prbh.g_00578
OG0000442	Prbi.g_00229	Prbh.g_00577
OG0000443	Prbi.g_00230	Prbh.g_00576
OG0000444	Prbi.g_00235	Prbh.g_00571
OG0000445	Prbi.g_00236	Prbh.g_00570
OG0000446	Prbi.g_00237	Prbh.g_00569
OG0000447	Prbi.g_00238	Prbh.g_00568
OG0000448	Prbi.g_00239	Prbh.g_00567
OG0000449	Prbi.g_00240	Prbh.g_00566
OG0000450	Prbi.g_00241	Prbh.g_00565
OG0000451	Prbi.g_00242	Prbh.g_00564
OG0000452	Prbi.g_00245	Prbh.g_00561
OG0000453	Prbi.g_00246	Prbh.g_00560
OG0000454	Prbi.g_00247	Prbh.g_00559
OG0000455	Prbi.g_00248	Prbh.g_00558
OG0000456	Prbi.g_00249	Prbh.g_00557
OG0000457	Prbi.g_00250	Prbh.g_00555
OG0000458	Prbi.g_00251	Prbh.g_00554
OG0000459	Prbi.g_00252	Prbh.g_00553
OG0000460	Prbi.g_00259	Prbh.g_00545
OG0000461	Prbi.g_00266	Prbh.g_00537
OG0000462	Prbi.g_00268	Prbh.g_00535
OG0000463	Prbi.g_00269	Prbh.g_00534
OG0000464	Prbi.g_00270	Prbh.g_00533
OG0000465	Prbi.g_00271	Prbh.g_00532
OG0000466	Prbi.g_00274	Prbh.g_00529
OG0000467	Prbi.g_00275	Prbh.g_00528
OG0000468	Prbi.g_00277	Prbh.g_00525
OG0000469	Prbi.g_00286	Prbh.g_00517
OG0000470	Prbi.g_00288	Prbh.g_00515
OG0000471	Prbi.g_00289	Prbh.g_00514
OG0000472	Prbi.g_00290	Prbh.g_00513
OG0000473	Prbi.g_00292	Prbh.g_00511
OG0000474	Prbi.g_00293	Prbh.g_00510
OG0000475	Prbi.g_00294	Prbh.g_00509
OG0000476	Prbi.g_00295	Prbh.g_00507
OG0000477	Prbi.g_00299	Prbh.g_00504
OG0000478	Prbi.g_00300	Prbh.g_00503
OG0000479	Prbi.g_00301	Prbh.g_00502
OG0000480	Prbi.g_00306	Prbh.g_00497
OG0000481	Prbi.g_00308	Prbh.g_00494
OG0000482	Prbi.g_00309	Prbh.g_00493
OG0000483	Prbi.g_00312	Prbh.g_00490
OG0000484	Prbi.g_00313	Prbh.g_00489
OG0000485	Prbi.g_00314	Prbh.g_00487
OG0000486	Prbi.g_00315	Prbh.g_00486
OG0000487	Prbi.g_00319	Prbh.g_00483
OG0000488	Prbi.g_00322	Prbh.g_00480
OG0000489	Prbi.g_00327	Prbh.g_00475
OG0000490	Prbi.g_00332	Prbh.g_00471
OG0000491	Prbi.g_00333	Prbh.g_00470
OG0000492	Prbi.g_00335	Prbh.g_00468
OG0000493	Prbi.g_00336	Prbh.g_00467
OG0000494	Prbi.g_00337	Prbh.g_00466
OG0000495	Prbi.g_00338	Prbh.g_00465
OG0000496	Prbi.g_00339	Prbh.g_00464
OG0000497	Prbi.g_00340	Prbh.g_00463
OG0000498	Prbi.g_00341	Prbh.g_00462
OG0000499	Prbi.g_00342	Prbh.g_00461
OG0000500	Prbi.g_00343	Prbh.g_00460
OG0000501	Prbi.g_00345	Prbh.g_00458
OG0000502	Prbi.g_00348	Prbh.g_00455
OG0000503	Prbi.g_00358	Prbh.g_00439
OG0000504	Prbi.g_00359	Prbh.g_00437
OG0000505	Prbi.g_00360	Prbh.g_00436
OG0000506	Prbi.g_00362	Prbh.g_00435
OG0000507	Prbi.g_00365	Prbh.g_00431
OG0000508	Prbi.g_00369	Prbh.g_00427
OG0000509	Prbi.g_00371	Prbh.g_00425
OG0000510	Prbi.g_00372	Prbh.g_00424
OG0000511	Prbi.g_00373	Prbh.g_00423
OG0000512	Prbi.g_00375	Prbh.g_00421
OG0000513	Prbi.g_00382	Prbh.g_00412
OG0000514	Prbi.g_00432	Prbh.g_00401
OG0000515	Prbi.g_00433	Prbh.g_00400
OG0000516	Prbi.g_00434	Prbh.g_00399
OG0000517	Prbi.g_00436	Prbh.g_00397
OG0000518	Prbi.g_00447	Prbh.g_00386
OG0000519	Prbi.g_00448	Prbh.g_00385
OG0000520	Prbi.g_00449	Prbh.g_00384
OG0000521	Prbi.g_00454	Prbh.g_00374
OG0000522	Prbi.g_00456	Prbh.g_00372
OG0000523	Prbi.g_00457	Prbh.g_00371
OG0000524	Prbi.g_00463	Prbh.g_00367
OG0000525	Prbi.g_00466	Prbh.g_00363
OG0000526	Prbi.g_00467	Prbh.g_00361
OG0000527	Prbi.g_00476	Prbh.g_00358
OG0000528	Prbi.g_00481	Prbh.g_00353
OG0000529	Prbi.g_00484	Prbh.g_00350
OG0000530	Prbi.g_00487	Prbh.g_00347
OG0000531	Prbi.g_00488	Prbh.g_00346
OG0000532	Prbi.g_00490	Prbh.g_00344
