Orthogroup	Prbi	Syas
OG0000250	Prbi.g_00574	Syas.g_00814
OG0000251	Prbi.g_00593	Syas.g_00845
OG0000252	Prbi.g_00596	Syas.g_00950
OG0000253	Prbi.g_00597	Syas.g_00846
OG0000254	Prbi.g_00613	Syas.g_00869
OG0000255	Prbi.g_00619	Syas.g_00132, Syas.g_01062
OG0000256	Prbi.g_00629	Syas.g_00104
OG0000257	Prbi.g_00632	Syas.g_00757
OG0000258	Prbi.g_00646	Syas.g_00733
OG0000259	Prbi.g_00663	Syas.g_00708
OG0000260	Prbi.g_00666	Syas.g_00705
OG0000261	Prbi.g_00668	Syas.g_00701
OG0000262	Prbi.g_00672	Syas.g_00695
OG0000263	Prbi.g_00684	Syas.g_01103
OG0000264	Prbi.g_00694	Syas.g_02588
OG0000266	Prbi.g_00755	Syas.g_00186
OG0000267	Prbi.g_00766	Syas.g_00377
OG0000268	Prbi.g_00767	Syas.g_00390
OG0000269	Prbi.g_00842	Syas.g_00601
OG0000270	Prbi.g_00845	Syas.g_00598
OG0000271	Prbi.g_00853	Syas.g_00590
OG0000272	Prbi.g_00854	Syas.g_00589
OG0000273	Prbi.g_00877	Syas.g_00563
OG0000274	Prbi.g_00878	Syas.g_00562
OG0000275	Prbi.g_00881	Syas.g_00230
OG0000276	Prbi.g_00886	Syas.g_00237
OG0000277	Prbi.g_00887	Syas.g_00238
OG0000278	Prbi.g_00890	Syas.g_00241
OG0000279	Prbi.g_00897	Syas.g_00288
OG0000280	Prbi.g_00898	Syas.g_00889, Syas.g_00481
OG0000281	Prbi.g_00903	Syas.g_00970
OG0000282	Prbi.g_00953	Syas.g_00672
OG0000283	Prbi.g_00986	Syas.g_00409
OG0000284	Prbi.g_00991	Syas.g_00416
OG0000285	Prbi.g_00996	Syas.g_00436
OG0000286	Prbi.g_01008	Syas.g_00460
OG0000287	Prbi.g_01025	Syas.g_00534
OG0000288	Prbi.g_01059	Syas.g_00220
OG0000289	Prbi.g_01070	Syas.g_00205
OG0000290	Prbi.g_01083	Syas.g_01016
OG0000292	Prbi.g_01136	Syas.g_02020
OG0000293	Prbi.g_01198	Syas.g_01197
OG0000294	Prbi.g_01199	Syas.g_01196
OG0000295	Prbi.g_01219	Syas.g_01139
OG0000296	Prbi.g_01221	Syas.g_01137
OG0000299	Prbi.g_01247	Syas.g_01087
OG0000300	Prbi.g_01250	Syas.g_01082
OG0000301	Prbi.g_01251	Syas.g_01081
OG0000302	Prbi.g_01253	Syas.g_01080
OG0000303	Prbi.g_01260	Syas.g_01071
OG0000304	Prbi.g_01264	Syas.g_01066
OG0000305	Prbi.g_01431	Syas.g_01023
OG0000306	Prbi.g_01434	Syas.g_01929
OG0000307	Prbi.g_01448	Syas.g_01270
OG0000308	Prbi.g_01449	Syas.g_01272
OG0000309	Prbi.g_01453	Syas.g_01364
OG0000310	Prbi.g_01574	Syas.g_02796
OG0000311	Prbi.g_01576	Syas.g_02799
OG0000312	Prbi.g_01579	Syas.g_02804
OG0000313	Prbi.g_01595	Syas.g_02823
OG0000315	Prbi.g_01627	Syas.g_01306
OG0000316	Prbi.g_01647	Syas.g_02728
OG0000317	Prbi.g_01785	Syas.g_02687
OG0000318	Prbi.g_01788	Syas.g_02680
OG0000319	Prbi.g_01801	Syas.g_02663
OG0000320	Prbi.g_01803	Syas.g_02661
OG0000321	Prbi.g_01804	Syas.g_02660
OG0000322	Prbi.g_01805	Syas.g_02659
OG0000323	Prbi.g_01814	Syas.g_02646
OG0000324	Prbi.g_01840	Syas.g_02578
OG0000325	Prbi.g_01849	Syas.g_01668
OG0000326	Prbi.g_01855	Syas.g_01661
OG0000327	Prbi.g_01897	Syas.g_01634
OG0000328	Prbi.g_01898	Syas.g_01633
OG0000329	Prbi.g_01915	Syas.g_01615
OG0000330	Prbi.g_01916	Syas.g_01614
OG0000331	Prbi.g_01917	Syas.g_01613
OG0000332	Prbi.g_01931	Syas.g_01598
OG0000333	Prbi.g_01933	Syas.g_01595
OG0000334	Prbi.g_01941	Syas.g_01586
OG0000335	Prbi.g_01946	Syas.g_01581
OG0000336	Prbi.g_01950	Syas.g_01577
OG0000337	Prbi.g_01966	Syas.g_02211
OG0000338	Prbi.g_01967	Syas.g_02199
OG0000339	Prbi.g_01971	Syas.g_02192
OG0000340	Prbi.g_01979	Syas.g_02183
OG0000341	Prbi.g_01981	Syas.g_02181
OG0000342	Prbi.g_01982	Syas.g_02180
OG0000343	Prbi.g_01983	Syas.g_02176
OG0000344	Prbi.g_01986	Syas.g_02172
OG0000345	Prbi.g_01991	Syas.g_02160
OG0000346	Prbi.g_01995	Syas.g_02155
OG0000347	Prbi.g_02011	Syas.g_02136
OG0000348	Prbi.g_02033	Syas.g_02107
OG0000349	Prbi.g_02050	Syas.g_02085
OG0000350	Prbi.g_02069	Syas.g_01654
OG0000351	Prbi.g_02086	Syas.g_01998
OG0000352	Prbi.g_02087	Syas.g_01999
OG0000353	Prbi.g_02102	Syas.g_02033
OG0000355	Prbi.g_00001	Syas.g_02035
OG0000356	Prbi.g_00002	Syas.g_02036
OG0000357	Prbi.g_00003	Syas.g_02037
OG0000358	Prbi.g_00007	Syas.g_02041
OG0000359	Prbi.g_00008	Syas.g_02043
OG0000360	Prbi.g_00009	Syas.g_02044
OG0000361	Prbi.g_00010	Syas.g_02045
OG0000362	Prbi.g_00012	Syas.g_02047
OG0000363	Prbi.g_00014	Syas.g_02049
OG0000364	Prbi.g_00015	Syas.g_02685
OG0000365	Prbi.g_00020	Syas.g_02058
OG0000366	Prbi.g_00021	Syas.g_02059
OG0000368	Prbi.g_00024	Syas.g_02062
OG0000369	Prbi.g_00025	Syas.g_02063
OG0000370	Prbi.g_00026	Syas.g_02064
OG0000371	Prbi.g_00032	Syas.g_02073
OG0000372	Prbi.g_00035	Syas.g_02078
OG0000373	Prbi.g_00036	Syas.g_02079
OG0000374	Prbi.g_00037	Syas.g_02080
OG0000375	Prbi.g_00049	Syas.g_02081
OG0000376	Prbi.g_00051	Syas.g_02083
OG0000377	Prbi.g_00056	Syas.g_01879
OG0000378	Prbi.g_00058	Syas.g_01867
OG0000379	Prbi.g_00061	Syas.g_01859
OG0000380	Prbi.g_00073	Syas.g_02523
OG0000381	Prbi.g_00077	Syas.g_02521
OG0000382	Prbi.g_00088	Syas.g_02503
OG0000383	Prbi.g_00090	Syas.g_02480
OG0000384	Prbi.g_00091	Syas.g_02479
OG0000385	Prbi.g_00092	Syas.g_02478
OG0000386	Prbi.g_00093	Syas.g_02477
OG0000387	Prbi.g_00106	Syas.g_00134
OG0000388	Prbi.g_00109	Syas.g_02426
OG0000389	Prbi.g_00113	Syas.g_02422
OG0000390	Prbi.g_00120	Syas.g_02406
OG0000391	Prbi.g_00124	Syas.g_02401
OG0000392	Prbi.g_00128	Syas.g_02396
OG0000393	Prbi.g_00130	Syas.g_02394
OG0000394	Prbi.g_00131	Syas.g_02393
OG0000395	Prbi.g_00132	Syas.g_02392
OG0000396	Prbi.g_00135	Syas.g_02389
OG0000397	Prbi.g_00137	Syas.g_02387
OG0000398	Prbi.g_00139	Syas.g_02382
OG0000399	Prbi.g_00140	Syas.g_02381
OG0000400	Prbi.g_00141	Syas.g_02380
OG0000401	Prbi.g_00142	Syas.g_02379
OG0000402	Prbi.g_00144	Syas.g_02377
OG0000403	Prbi.g_00145	Syas.g_02376
OG0000404	Prbi.g_00146	Syas.g_02375
OG0000405	Prbi.g_00150	Syas.g_02369
OG0000406	Prbi.g_00171	Syas.g_02365
OG0000407	Prbi.g_00172	Syas.g_02364
OG0000408	Prbi.g_00174	Syas.g_02361
OG0000409	Prbi.g_00176	Syas.g_02359
OG0000410	Prbi.g_00177	Syas.g_02358
OG0000411	Prbi.g_00178	Syas.g_02357
OG0000412	Prbi.g_00179	Syas.g_02356
OG0000413	Prbi.g_00180	Syas.g_02354
OG0000414	Prbi.g_00181	Syas.g_02353
OG0000415	Prbi.g_00182	Syas.g_02352
OG0000416	Prbi.g_00183	Syas.g_02351
OG0000417	Prbi.g_00184	Syas.g_02338
OG0000418	Prbi.g_00189	Syas.g_02333
OG0000419	Prbi.g_00191	Syas.g_02331
OG0000420	Prbi.g_00192	Syas.g_02329
OG0000421	Prbi.g_00197	Syas.g_02324
OG0000422	Prbi.g_00198	Syas.g_02323
OG0000423	Prbi.g_00199	Syas.g_02322
OG0000424	Prbi.g_00200	Syas.g_02321
OG0000425	Prbi.g_00201	Syas.g_02320
OG0000426	Prbi.g_00202	Syas.g_02319
OG0000427	Prbi.g_00203	Syas.g_02318
OG0000428	Prbi.g_00205	Syas.g_02315
OG0000429	Prbi.g_00206	Syas.g_02312
OG0000430	Prbi.g_00207	Syas.g_02311
OG0000431	Prbi.g_00209	Syas.g_02296
OG0000432	Prbi.g_00212	Syas.g_02288
OG0000433	Prbi.g_00213	Syas.g_02286
OG0000434	Prbi.g_00214	Syas.g_02285
OG0000435	Prbi.g_00215	Syas.g_02282
OG0000436	Prbi.g_00220	Syas.g_02273
OG0000437	Prbi.g_00221	Syas.g_02272
OG0000438	Prbi.g_00222	Syas.g_02271
OG0000439	Prbi.g_00224	Syas.g_02269
OG0000440	Prbi.g_00225	Syas.g_02268
OG0000441	Prbi.g_00228	Syas.g_02265
OG0000442	Prbi.g_00229	Syas.g_02259
OG0000443	Prbi.g_00230	Syas.g_02241
OG0000444	Prbi.g_00235	Syas.g_02234
OG0000445	Prbi.g_00236	Syas.g_02233
OG0000446	Prbi.g_00237	Syas.g_02231
OG0000447	Prbi.g_00238	Syas.g_02229
OG0000448	Prbi.g_00239	Syas.g_02228
OG0000449	Prbi.g_00240	Syas.g_02226
OG0000450	Prbi.g_00241	Syas.g_01834
OG0000451	Prbi.g_00242	Syas.g_01835
OG0000452	Prbi.g_00245	Syas.g_01844
OG0000453	Prbi.g_00246	Syas.g_01845
OG0000454	Prbi.g_00247	Syas.g_01846
OG0000455	Prbi.g_00248	Syas.g_01847
OG0000456	Prbi.g_00249	Syas.g_01848
OG0000457	Prbi.g_00250	Syas.g_01850
OG0000458	Prbi.g_00251	Syas.g_01851
OG0000459	Prbi.g_00252	Syas.g_01852
OG0000460	Prbi.g_00259	Syas.g_02554
OG0000461	Prbi.g_00266	Syas.g_01686
OG0000462	Prbi.g_00268	Syas.g_01688
OG0000463	Prbi.g_00269	Syas.g_01689
OG0000464	Prbi.g_00270	Syas.g_01690
OG0000465	Prbi.g_00271	Syas.g_01692
OG0000466	Prbi.g_00274	Syas.g_01697
OG0000467	Prbi.g_00275	Syas.g_01698
OG0000468	Prbi.g_00277	Syas.g_01703
OG0000469	Prbi.g_00286	Syas.g_01725
OG0000470	Prbi.g_00288	Syas.g_01727
OG0000471	Prbi.g_00289	Syas.g_01728
OG0000472	Prbi.g_00290	Syas.g_01729
OG0000473	Prbi.g_00292	Syas.g_01731
OG0000474	Prbi.g_00293	Syas.g_01732
OG0000475	Prbi.g_00294	Syas.g_01733
OG0000476	Prbi.g_00295	Syas.g_01735
OG0000477	Prbi.g_00299	Syas.g_01740
OG0000478	Prbi.g_00300	Syas.g_01741
OG0000479	Prbi.g_00301	Syas.g_01749
OG0000480	Prbi.g_00306	Syas.g_01756
OG0000481	Prbi.g_00308	Syas.g_00161, Syas.g_00162
OG0000482	Prbi.g_00309	Syas.g_01758
OG0000483	Prbi.g_00312	Syas.g_01762
OG0000484	Prbi.g_00313	Syas.g_01763
OG0000485	Prbi.g_00314	Syas.g_01764
OG0000486	Prbi.g_00315	Syas.g_01765
OG0000487	Prbi.g_00319	Syas.g_01771
OG0000488	Prbi.g_00322	Syas.g_01779
OG0000489	Prbi.g_00327	Syas.g_01823
OG0000490	Prbi.g_00332	Syas.g_01808
OG0000491	Prbi.g_00333	Syas.g_01806
OG0000492	Prbi.g_00335	Syas.g_01803
OG0000493	Prbi.g_00336	Syas.g_01802
OG0000494	Prbi.g_00337	Syas.g_01801
OG0000495	Prbi.g_00338	Syas.g_01799
OG0000496	Prbi.g_00339	Syas.g_01798
OG0000497	Prbi.g_00340	Syas.g_01797
OG0000498	Prbi.g_00341	Syas.g_01796
OG0000499	Prbi.g_00342	Syas.g_01795
OG0000500	Prbi.g_00343	Syas.g_01794
OG0000501	Prbi.g_00345	Syas.g_01791
OG0000502	Prbi.g_00348	Syas.g_02216
OG0000503	Prbi.g_00358	Syas.g_01541
OG0000504	Prbi.g_00359	Syas.g_01539
OG0000505	Prbi.g_00360	Syas.g_01538
OG0000506	Prbi.g_00362	Syas.g_01536
OG0000507	Prbi.g_00365	Syas.g_01530
OG0000508	Prbi.g_00369	Syas.g_01523
OG0000509	Prbi.g_00371	Syas.g_01521
OG0000510	Prbi.g_00372	Syas.g_01520
OG0000511	Prbi.g_00373	Syas.g_01519
OG0000512	Prbi.g_00375	Syas.g_01517
OG0000513	Prbi.g_00382	Syas.g_01508
OG0000514	Prbi.g_00432	Syas.g_01504
OG0000515	Prbi.g_00433	Syas.g_01503
OG0000516	Prbi.g_00434	Syas.g_01501
OG0000517	Prbi.g_00436	Syas.g_01498
OG0000518	Prbi.g_00447	Syas.g_00360, Syas.g_02746
OG0000519	Prbi.g_00448	Syas.g_02747
OG0000520	Prbi.g_00449	Syas.g_02748
OG0000521	Prbi.g_00454	Syas.g_01281
OG0000522	Prbi.g_00456	Syas.g_01279
OG0000523	Prbi.g_00457	Syas.g_01278
OG0000524	Prbi.g_00463	Syas.g_01354
OG0000525	Prbi.g_00466	Syas.g_01342
OG0000526	Prbi.g_00467	Syas.g_01340
OG0000527	Prbi.g_00476	Syas.g_01335
OG0000528	Prbi.g_00481	Syas.g_01256
OG0000529	Prbi.g_00484	Syas.g_01252
OG0000530	Prbi.g_00487	Syas.g_01249
OG0000531	Prbi.g_00488	Syas.g_01248
OG0000532	Prbi.g_00490	Syas.g_01245
OG0000533	Prbi.g_00491	Syas.g_01243
OG0000534	Prbi.g_00492	Syas.g_01242
OG0000535	Prbi.g_00493	Syas.g_01241
OG0000536	Prbi.g_00494	Syas.g_01240
OG0000537	Prbi.g_00495	Syas.g_01238
OG0000538	Prbi.g_00503	Syas.g_01228
OG0000539	Prbi.g_00504	Syas.g_01227
OG0000540	Prbi.g_00505	Syas.g_01226
OG0000541	Prbi.g_00506	Syas.g_01225
OG0000542	Prbi.g_00508	Syas.g_01221
OG0000543	Prbi.g_00510	Syas.g_01219
OG0000544	Prbi.g_00511	Syas.g_01218
OG0000545	Prbi.g_00513	Syas.g_01216
OG0000546	Prbi.g_00516	Syas.g_01214
OG0000547	Prbi.g_00518	Syas.g_01212
OG0000548	Prbi.g_00519	Syas.g_01211
OG0000549	Prbi.g_00521	Syas.g_00005
OG0000550	Prbi.g_00526	Syas.g_00010
OG0000551	Prbi.g_00530	Syas.g_00015
OG0000552	Prbi.g_00531	Syas.g_00016
OG0000553	Prbi.g_00532	Syas.g_00019
OG0000554	Prbi.g_00537	Syas.g_00063
OG0000555	Prbi.g_00545	Syas.g_00775
OG0000556	Prbi.g_00547	Syas.g_00781
OG0000557	Prbi.g_00548	Syas.g_00783
OG0000558	Prbi.g_00550	Syas.g_00785
OG0000559	Prbi.g_00554	Syas.g_00789
OG0000560	Prbi.g_00557	Syas.g_00792
OG0000561	Prbi.g_00558	Syas.g_00793
OG0000562	Prbi.g_00559	Syas.g_00794
OG0000563	Prbi.g_00560	Syas.g_00795
OG0000564	Prbi.g_00561	Syas.g_00796
OG0000565	Prbi.g_00564	Syas.g_00800
OG0000566	Prbi.g_00566	Syas.g_00804
OG0000567	Prbi.g_00570	Syas.g_00808
OG0000568	Prbi.g_00571	Syas.g_00810
OG0000569	Prbi.g_00572	Syas.g_00811
OG0000570	Prbi.g_00573	Syas.g_00812
OG0000571	Prbi.g_00575	Syas.g_00815
OG0000572	Prbi.g_00588	Syas.g_00839
OG0000573	Prbi.g_00594	Syas.g_00952
OG0000574	Prbi.g_00595	Syas.g_00951
OG0000575	Prbi.g_00599	Syas.g_00848
OG0000576	Prbi.g_00601	Syas.g_00850
OG0000577	Prbi.g_00602	Syas.g_00851
OG0000578	Prbi.g_00603	Syas.g_00852
OG0000579	Prbi.g_00604	Syas.g_00853
OG0000580	Prbi.g_00605	Syas.g_00854
OG0000581	Prbi.g_00607	Syas.g_00861
OG0000582	Prbi.g_00610	Syas.g_00873
OG0000583	Prbi.g_00611	Syas.g_00872
OG0000584	Prbi.g_00612	Syas.g_00871
OG0000585	Prbi.g_00614	Syas.g_00868
