Orthogroup	Prbi	Syan
OG0000386	Prbi.g_00093	Syan.g_02939
OG0000387	Prbi.g_00106	Syan.g_00967
OG0000388	Prbi.g_00109	Syan.g_02970
OG0000389	Prbi.g_00113	Syan.g_02973
OG0000390	Prbi.g_00120	Syan.g_02306
OG0000391	Prbi.g_00124	Syan.g_02301
OG0000392	Prbi.g_00128	Syan.g_02295
OG0000393	Prbi.g_00130	Syan.g_02292
OG0000394	Prbi.g_00131	Syan.g_02291
OG0000395	Prbi.g_00132	Syan.g_02290
OG0000396	Prbi.g_00135	Syan.g_02287
OG0000397	Prbi.g_00137	Syan.g_02285
OG0000398	Prbi.g_00139	Syan.g_02279
OG0000399	Prbi.g_00140	Syan.g_02278
OG0000400	Prbi.g_00141	Syan.g_02277
OG0000401	Prbi.g_00142	Syan.g_02274
OG0000402	Prbi.g_00144	Syan.g_02272
OG0000403	Prbi.g_00145	Syan.g_02271
OG0000404	Prbi.g_00146	Syan.g_02269
OG0000405	Prbi.g_00150	Syan.g_03005
OG0000406	Prbi.g_00171	Syan.g_03010
OG0000407	Prbi.g_00172	Syan.g_03011
OG0000408	Prbi.g_00174	Syan.g_03013
OG0000409	Prbi.g_00176	Syan.g_03015
OG0000410	Prbi.g_00177	Syan.g_03016
OG0000411	Prbi.g_00178	Syan.g_03017
OG0000412	Prbi.g_00179	Syan.g_03018
OG0000413	Prbi.g_00180	Syan.g_03020
OG0000414	Prbi.g_00181	Syan.g_03021
OG0000415	Prbi.g_00182	Syan.g_03022
OG0000416	Prbi.g_00183	Syan.g_03023
OG0000417	Prbi.g_00184	Syan.g_03025
OG0000418	Prbi.g_00189	Syan.g_03030
OG0000419	Prbi.g_00191	Syan.g_03033
OG0000420	Prbi.g_00192	Syan.g_03035
OG0000421	Prbi.g_00197	Syan.g_03040
OG0000422	Prbi.g_00198	Syan.g_03041
OG0000423	Prbi.g_00199	Syan.g_03042
OG0000424	Prbi.g_00200	Syan.g_03043
OG0000425	Prbi.g_00201	Syan.g_03044
OG0000426	Prbi.g_00202	Syan.g_03045
OG0000427	Prbi.g_00203	Syan.g_03046
OG0000428	Prbi.g_00205	Syan.g_03049
OG0000429	Prbi.g_00206	Syan.g_03051
OG0000430	Prbi.g_00207	Syan.g_03053
OG0000431	Prbi.g_00209	Syan.g_03058
OG0000432	Prbi.g_00212	Syan.g_03065
OG0000433	Prbi.g_00213	Syan.g_03068
OG0000434	Prbi.g_00214	Syan.g_03069
OG0000435	Prbi.g_00215	Syan.g_03071
OG0000436	Prbi.g_00220	Syan.g_03079
OG0000437	Prbi.g_00221	Syan.g_03080
OG0000438	Prbi.g_00222	Syan.g_03083
OG0000439	Prbi.g_00224	Syan.g_03085
OG0000440	Prbi.g_00225	Syan.g_03086
OG0000441	Prbi.g_00228	Syan.g_03089
OG0000442	Prbi.g_00229	Syan.g_03090
OG0000443	Prbi.g_00230	Syan.g_03094
OG0000444	Prbi.g_00235	Syan.g_03102
OG0000445	Prbi.g_00236	Syan.g_03103
OG0000446	Prbi.g_00237	Syan.g_03105
OG0000447	Prbi.g_00238	Syan.g_03111
OG0000448	Prbi.g_00239	Syan.g_03112
OG0000449	Prbi.g_00240	Syan.g_03113
OG0000450	Prbi.g_00241	Syan.g_01518
OG0000451	Prbi.g_00242	Syan.g_01519
OG0000452	Prbi.g_00245	Syan.g_01523
OG0000453	Prbi.g_00246	Syan.g_01524
OG0000454	Prbi.g_00247	Syan.g_01525
OG0000455	Prbi.g_00248	Syan.g_01526
OG0000456	Prbi.g_00249	Syan.g_01527
OG0000457	Prbi.g_00250	Syan.g_01529
OG0000458	Prbi.g_00251	Syan.g_01530
OG0000459	Prbi.g_00252	Syan.g_01531
OG0000460	Prbi.g_00259	Syan.g_02423
OG0000461	Prbi.g_00266	Syan.g_02099
OG0000462	Prbi.g_00268	Syan.g_02096
OG0000463	Prbi.g_00269	Syan.g_02095
OG0000464	Prbi.g_00270	Syan.g_02094
OG0000465	Prbi.g_00271	Syan.g_02092
OG0000466	Prbi.g_00274	Syan.g_02087
OG0000467	Prbi.g_00275	Syan.g_02086
OG0000468	Prbi.g_00277	Syan.g_02063
OG0000469	Prbi.g_00286	Syan.g_02046
OG0000470	Prbi.g_00288	Syan.g_02044
OG0000471	Prbi.g_00289	Syan.g_02043
OG0000472	Prbi.g_00290	Syan.g_02041
OG0000473	Prbi.g_00292	Syan.g_02039
OG0000474	Prbi.g_00293	Syan.g_02038
OG0000475	Prbi.g_00294	Syan.g_02037
OG0000476	Prbi.g_00295	Syan.g_02035
OG0000477	Prbi.g_00299	Syan.g_02029
OG0000478	Prbi.g_00300	Syan.g_02028
OG0000479	Prbi.g_00301	Syan.g_02027
OG0000480	Prbi.g_00306	Syan.g_02020
OG0000481	Prbi.g_00308	Syan.g_00975
OG0000482	Prbi.g_00309	Syan.g_02018
OG0000483	Prbi.g_00312	Syan.g_02014
OG0000484	Prbi.g_00313	Syan.g_02013
OG0000485	Prbi.g_00314	Syan.g_02012
OG0000486	Prbi.g_00315	Syan.g_02011
OG0000487	Prbi.g_00319	Syan.g_02005
OG0000488	Prbi.g_00322	Syan.g_02000
OG0000489	Prbi.g_00327	Syan.g_01993
OG0000490	Prbi.g_00332	Syan.g_01985
OG0000491	Prbi.g_00333	Syan.g_01983
OG0000492	Prbi.g_00335	Syan.g_01980
OG0000493	Prbi.g_00336	Syan.g_01979
OG0000494	Prbi.g_00337	Syan.g_01978
OG0000495	Prbi.g_00338	Syan.g_01977
OG0000496	Prbi.g_00339	Syan.g_01976
OG0000497	Prbi.g_00340	Syan.g_01975
OG0000498	Prbi.g_00341	Syan.g_01974
OG0000499	Prbi.g_00342	Syan.g_01973
OG0000500	Prbi.g_00343	Syan.g_01972
OG0000501	Prbi.g_00345	Syan.g_01969
OG0000502	Prbi.g_00348	Syan.g_01961
OG0000503	Prbi.g_00358	Syan.g_02144
OG0000504	Prbi.g_00359	Syan.g_02142
OG0000505	Prbi.g_00360	Syan.g_02141
OG0000506	Prbi.g_00362	Syan.g_02139
OG0000507	Prbi.g_00365	Syan.g_02133
OG0000508	Prbi.g_00369	Syan.g_02998
OG0000509	Prbi.g_00371	Syan.g_02993
OG0000510	Prbi.g_00372	Syan.g_02992
OG0000511	Prbi.g_00373	Syan.g_02991
OG0000512	Prbi.g_00375	Syan.g_02989
OG0000513	Prbi.g_00382	Syan.g_02320
OG0000514	Prbi.g_00432	Syan.g_02326
OG0000515	Prbi.g_00433	Syan.g_02327
OG0000516	Prbi.g_00434	Syan.g_02389
OG0000517	Prbi.g_00436	Syan.g_02395
OG0000518	Prbi.g_00447	Syan.g_01336
OG0000519	Prbi.g_00448	Syan.g_01335
OG0000520	Prbi.g_00449	Syan.g_01334
OG0000521	Prbi.g_00454	Syan.g_02805
OG0000522	Prbi.g_00456	Syan.g_02803
OG0000523	Prbi.g_00457	Syan.g_02802
OG0000524	Prbi.g_00463	Syan.g_02878
OG0000525	Prbi.g_00466	Syan.g_02853
OG0000526	Prbi.g_00467	Syan.g_02852
OG0000527	Prbi.g_00476	Syan.g_02848
OG0000528	Prbi.g_00481	Syan.g_02767
OG0000529	Prbi.g_00484	Syan.g_02763
OG0000530	Prbi.g_00487	Syan.g_02760
OG0000531	Prbi.g_00488	Syan.g_02759
OG0000532	Prbi.g_00490	Syan.g_02756
OG0000533	Prbi.g_00491	Syan.g_02754
OG0000534	Prbi.g_00492	Syan.g_02753
OG0000535	Prbi.g_00493	Syan.g_02752
OG0000536	Prbi.g_00494	Syan.g_02751
OG0000537	Prbi.g_00495	Syan.g_02750
OG0000538	Prbi.g_00503	Syan.g_02738
OG0000539	Prbi.g_00504	Syan.g_02737
OG0000540	Prbi.g_00505	Syan.g_02736
OG0000541	Prbi.g_00506	Syan.g_02735
OG0000542	Prbi.g_00508	Syan.g_02732
OG0000543	Prbi.g_00510	Syan.g_02730
OG0000544	Prbi.g_00511	Syan.g_02729
OG0000545	Prbi.g_00513	Syan.g_02727
OG0000546	Prbi.g_00516	Syan.g_02725
OG0000547	Prbi.g_00518	Syan.g_02723
OG0000548	Prbi.g_00519	Syan.g_02722
OG0000549	Prbi.g_00521	Syan.g_01194
OG0000550	Prbi.g_00526	Syan.g_01189
OG0000551	Prbi.g_00530	Syan.g_01184
OG0000552	Prbi.g_00531	Syan.g_01183
OG0000553	Prbi.g_00532	Syan.g_01179
OG0000554	Prbi.g_00537	Syan.g_01165
OG0000555	Prbi.g_00545	Syan.g_00839
OG0000556	Prbi.g_00547	Syan.g_00842
OG0000557	Prbi.g_00548	Syan.g_00847
OG0000558	Prbi.g_00550	Syan.g_00849
OG0000559	Prbi.g_00554	Syan.g_00853
OG0000560	Prbi.g_00557	Syan.g_00856
OG0000561	Prbi.g_00558	Syan.g_00857
OG0000562	Prbi.g_00559	Syan.g_00858
OG0000563	Prbi.g_00560	Syan.g_00859
OG0000564	Prbi.g_00561	Syan.g_00860
OG0000565	Prbi.g_00564	Syan.g_00864
OG0000566	Prbi.g_00566	Syan.g_00868
OG0000567	Prbi.g_00570	Syan.g_00872
OG0000568	Prbi.g_00571	Syan.g_00874
OG0000569	Prbi.g_00572	Syan.g_00875
OG0000570	Prbi.g_00573	Syan.g_00876
OG0000571	Prbi.g_00575	Syan.g_00879
OG0000572	Prbi.g_00588	Syan.g_00954
