Orthogroup	Prbc	Syak
OG0000139	Prbc.g_01616	Syak.g_02646
OG0000140	Prbc.g_01617	Syak.g_02650
OG0000141	Prbc.g_01684	Syak.g_02746
OG0000142	Prbc.g_01712	Syak.g_00035
OG0000143	Prbc.g_01716	Syak.g_00039
OG0000144	Prbc.g_01729	Syak.g_00260
OG0000145	Prbc.g_02142	Syak.g_02598
OG0000146	Prbc.g_02027	Syak.g_00514
OG0000147	Prbc.g_02026	Syak.g_00515
OG0000148	Prbc.g_01876	Syak.g_00455
OG0000149	Prbc.g_01908	Syak.g_00596
OG0000150	Prbc.g_01916	Syak.g_02747
OG0000151	Prbc.g_01988	Syak.g_00387
OG0000152	Prbc.g_02036	Syak.g_00503
OG0000153	Prbc.g_02054	Syak.g_00470
OG0000154	Prbc.g_02083	Syak.g_00645
OG0000155	Prbc.g_01424	Syak.g_00855
OG0000156	Prbc.g_00555	Syak.g_00919
OG0000157	Prbc.g_00556	Syak.g_00920
OG0000158	Prbc.g_00228	Syak.g_01624
OG0000160	Prbc.g_00710	Syak.g_01043
OG0000161	Prbc.g_00716	Syak.g_01050
OG0000162	Prbc.g_00722	Syak.g_01058
OG0000163	Prbc.g_00758	Syak.g_02478
OG0000164	Prbc.g_00854	Syak.g_02384
OG0000165	Prbc.g_00862	Syak.g_02374
OG0000166	Prbc.g_00321	Syak.g_01345
OG0000167	Prbc.g_00238	Syak.g_01561
OG0000168	Prbc.g_00227	Syak.g_01625
OG0000169	Prbc.g_00217	Syak.g_01637
OG0000170	Prbc.g_00215	Syak.g_01644
OG0000171	Prbc.g_00194	Syak.g_01691
OG0000172	Prbc.g_00967	Syak.g_01713
OG0000173	Prbc.g_00982	Syak.g_01733
OG0000174	Prbc.g_01013	Syak.g_01895
OG0000175	Prbc.g_01044	Syak.g_01827
OG0000176	Prbc.g_01074	Syak.g_01790
OG0000177	Prbc.g_01075	Syak.g_01789
OG0000178	Prbc.g_01076	Syak.g_01788
OG0000179	Prbc.g_01086	Syak.g_01773
OG0000180	Prbc.g_01087	Syak.g_01772
OG0000181	Prbc.g_01088	Syak.g_01771
OG0000182	Prbc.g_01089	Syak.g_01770
OG0000183	Prbc.g_01093	Syak.g_01766
OG0000184	Prbc.g_01124	Syak.g_01955
OG0000185	Prbc.g_01127	Syak.g_01971
OG0000186	Prbc.g_00509	Syak.g_02258
OG0000187	Prbc.g_00508	Syak.g_02257
OG0000188	Prbc.g_00491	Syak.g_02235
OG0000189	Prbc.g_00477	Syak.g_02203
OG0000190	Prbc.g_00476	Syak.g_01575
OG0000191	Prbc.g_00453	Syak.g_02171
OG0000192	Prbc.g_00449	Syak.g_02165
OG0000193	Prbc.g_00425	Syak.g_02127
OG0000194	Prbc.g_00422	Syak.g_02124
OG0000195	Prbc.g_00420	Syak.g_02122
OG0000196	Prbc.g_00410	Syak.g_02111
OG0000197	Prbc.g_00409	Syak.g_02110
OG0000198	Prbc.g_00408	Syak.g_02109
OG0000199	Prbc.g_00401	Syak.g_02100
OG0000200	Prbc.g_00388	Syak.g_02083
OG0000201	Prbc.g_00379	Syak.g_02068
OG0000202	Prbc.g_00378	Syak.g_02067
OG0000203	Prbc.g_00377	Syak.g_02066
OG0000204	Prbc.g_00376	Syak.g_02065
OG0000205	Prbc.g_00369	Syak.g_02058
OG0000206	Prbc.g_00365	Syak.g_02038
OG0000207	Prbc.g_00363	Syak.g_02025
OG0000208	Prbc.g_00362	Syak.g_02024
OG0000209	Prbc.g_00352	Syak.g_01995
OG0000210	Prbc.g_00351	Syak.g_01994
OG0000211	Prbc.g_00337	Syak.g_02017, Syak.g_02300
OG0000212	Prbc.g_00329	Syak.g_02311
OG0000213	Prbc.g_01153	Syak.g_01425
OG0000214	Prbc.g_01161	Syak.g_01442
OG0000215	Prbc.g_01185	Syak.g_01474
OG0000216	Prbc.g_01186	Syak.g_01478
OG0000217	Prbc.g_01189	Syak.g_01482
OG0000218	Prbc.g_01191	Syak.g_01484
OG0000219	Prbc.g_01192	Syak.g_01485
OG0000220	Prbc.g_01193	Syak.g_01486
OG0000221	Prbc.g_01194	Syak.g_01498
OG0000222	Prbc.g_01202	Syak.g_01512
OG0000223	Prbc.g_01215	Syak.g_01531
OG0000224	Prbc.g_01217	Syak.g_01532
OG0000225	Prbc.g_01257	Syak.g_01230
OG0000226	Prbc.g_01261	Syak.g_01226
OG0000227	Prbc.g_01263	Syak.g_01224
OG0000228	Prbc.g_01267	Syak.g_01216
OG0000229	Prbc.g_01497	Syak.g_01191
OG0000230	Prbc.g_01499	Syak.g_01189
OG0000231	Prbc.g_01510	Syak.g_01176
OG0000232	Prbc.g_01518	Syak.g_01156
OG0000233	Prbc.g_01526	Syak.g_01145
OG0000234	Prbc.g_01535	Syak.g_01116
OG0000235	Prbc.g_01539	Syak.g_02573
OG0000236	Prbc.g_01552	Syak.g_02589
OG0000237	Prbc.g_01586	Syak.g_02607
OG0000238	Prbc.g_01592	Syak.g_02612
OG0000239	Prbc.g_01604	Syak.g_02628
OG0000240	Prbc.g_01605	Syak.g_02629
OG0000241	Prbc.g_01609	Syak.g_00027
OG0000242	Prbc.g_01611	Syak.g_02638
OG0000243	Prbc.g_01622	Syak.g_02658
OG0000244	Prbc.g_01626	Syak.g_02665
OG0000245	Prbc.g_01628	Syak.g_02667
OG0000246	Prbc.g_01632	Syak.g_02671
OG0000247	Prbc.g_01642	Syak.g_02681
OG0000248	Prbc.g_01644	Syak.g_02684
OG0000249	Prbc.g_01646	Syak.g_02686
OG0000250	Prbc.g_01651	Syak.g_02694
OG0000251	Prbc.g_01667	Syak.g_02722
OG0000252	Prbc.g_01669	Syak.g_02725
OG0000253	Prbc.g_01671	Syak.g_02727
OG0000254	Prbc.g_01688	Syak.g_02752
OG0000255	Prbc.g_01694	Syak.g_02772
OG0000256	Prbc.g_01704	Syak.g_00020
OG0000257	Prbc.g_01707	Syak.g_00026
OG0000258	Prbc.g_01720	Syak.g_00044
OG0000259	Prbc.g_01737	Syak.g_00334
OG0000260	Prbc.g_01740	Syak.g_00338
OG0000261	Prbc.g_01743	Syak.g_00348
OG0000262	Prbc.g_01748	Syak.g_00353
OG0000263	Prbc.g_01762	Syak.g_00828
OG0000264	Prbc.g_01773	Syak.g_00698
OG0000265	Prbc.g_01787	Syak.g_00211
OG0000266	Prbc.g_01797	Syak.g_00778
OG0000267	Prbc.g_01810	Syak.g_00555
OG0000268	Prbc.g_01811	Syak.g_00554
OG0000269	Prbc.g_01853	Syak.g_00429
OG0000270	Prbc.g_01856	Syak.g_00432
OG0000271	Prbc.g_01864	Syak.g_00440
OG0000272	Prbc.g_01865	Syak.g_00441
OG0000273	Prbc.g_01890	Syak.g_00616
OG0000274	Prbc.g_01891	Syak.g_00615
OG0000275	Prbc.g_01893	Syak.g_00611
OG0000276	Prbc.g_01899	Syak.g_00604
OG0000277	Prbc.g_01900	Syak.g_00603
OG0000278	Prbc.g_01904	Syak.g_00600
OG0000279	Prbc.g_01911	Syak.g_00592
OG0000280	Prbc.g_00068	Syak.g_00582
OG0000281	Prbc.g_01917	Syak.g_00339
OG0000282	Prbc.g_01979	Syak.g_00375
OG0000283	Prbc.g_02010	Syak.g_00541
OG0000284	Prbc.g_02015	Syak.g_00536
OG0000285	Prbc.g_02020	Syak.g_00523
OG0000286	Prbc.g_02035	Syak.g_00504
OG0000287	Prbc.g_02190	Syak.g_00477
OG0000288	Prbc.g_02082	Syak.g_00644
OG0000289	Prbc.g_02094	Syak.g_00659
OG0000290	Prbc.g_02110	Syak.g_00738
OG0000291	Prbc.g_02112	Syak.g_00734, Syak.g_00737
OG0000292	Prbc.g_00173	Syak.g_01802
OG0000293	Prbc.g_01456	Syak.g_00910
OG0000294	Prbc.g_01455	Syak.g_00909
OG0000295	Prbc.g_01431	Syak.g_00863
OG0000296	Prbc.g_01429	Syak.g_00861
OG0000297	Prbc.g_01421	Syak.g_00848
OG0000298	Prbc.g_01420	Syak.g_00847
OG0000299	Prbc.g_01401	Syak.g_00820
OG0000300	Prbc.g_01398	Syak.g_00813
OG0000301	Prbc.g_01397	Syak.g_00812
OG0000302	Prbc.g_01395	Syak.g_00811
OG0000303	Prbc.g_01390	Syak.g_00674
OG0000304	Prbc.g_01387	Syak.g_00680
OG0000305	Prbc.g_00810	Syak.g_00732
OG0000306	Prbc.g_01921	Syak.g_00094
OG0000307	Prbc.g_00666	Syak.g_02556
OG0000308	Prbc.g_00667	Syak.g_02554
OG0000309	Prbc.g_00671	Syak.g_02549
OG0000310	Prbc.g_00693	Syak.g_00994
OG0000311	Prbc.g_00695	Syak.g_00999
OG0000312	Prbc.g_00698	Syak.g_01028
OG0000313	Prbc.g_00713	Syak.g_01046
OG0000314	Prbc.g_00734	Syak.g_01079
OG0000315	Prbc.g_00744	Syak.g_01090
OG0000316	Prbc.g_00768	Syak.g_02462
OG0000317	Prbc.g_00830	Syak.g_02419
OG0000318	Prbc.g_00833	Syak.g_02415
OG0000319	Prbc.g_00844	Syak.g_02399
OG0000320	Prbc.g_00846	Syak.g_02397
OG0000321	Prbc.g_00847	Syak.g_02396
OG0000322	Prbc.g_00848	Syak.g_02395
OG0000323	Prbc.g_00857	Syak.g_02380
OG0000324	Prbc.g_00884	Syak.g_02347
OG0000325	Prbc.g_00935	Syak.g_01391
OG0000326	Prbc.g_00941	Syak.g_01384
OG0000327	Prbc.g_00326	Syak.g_01350
OG0000328	Prbc.g_00325	Syak.g_01349
OG0000329	Prbc.g_00308	Syak.g_01331
OG0000330	Prbc.g_00307	Syak.g_01330
OG0000331	Prbc.g_00306	Syak.g_01329
OG0000332	Prbc.g_00292	Syak.g_01314
OG0000333	Prbc.g_00290	Syak.g_01311
OG0000334	Prbc.g_00281	Syak.g_01302
OG0000335	Prbc.g_00276	Syak.g_01298
OG0000336	Prbc.g_00272	Syak.g_01294
OG0000337	Prbc.g_00241	Syak.g_01555
OG0000338	Prbc.g_00240	Syak.g_01558
OG0000339	Prbc.g_00235	Syak.g_01566
OG0000340	Prbc.g_00226	Syak.g_01626
OG0000341	Prbc.g_00224	Syak.g_01628
OG0000342	Prbc.g_00223	Syak.g_01629
OG0000343	Prbc.g_00222	Syak.g_01631
OG0000344	Prbc.g_00219	Syak.g_01635
OG0000345	Prbc.g_00214	Syak.g_01645
OG0000346	Prbc.g_00210	Syak.g_01651
OG0000347	Prbc.g_00190	Syak.g_01694
OG0000348	Prbc.g_00970	Syak.g_01717
OG0000349	Prbc.g_00988	Syak.g_01740
OG0000350	Prbc.g_01009	Syak.g_01377
OG0000351	Prbc.g_01047	Syak.g_01823
OG0000352	Prbc.g_01048	Syak.g_01822
OG0000353	Prbc.g_01068	Syak.g_01796
OG0000355	Prbc.g_01071	Syak.g_01793
OG0000356	Prbc.g_01072	Syak.g_01792
OG0000357	Prbc.g_01073	Syak.g_01791
OG0000358	Prbc.g_01077	Syak.g_01787
OG0000359	Prbc.g_01078	Syak.g_01785
OG0000360	Prbc.g_01079	Syak.g_01784
OG0000361	Prbc.g_01080	Syak.g_01783
OG0000362	Prbc.g_01082	Syak.g_01781
OG0000363	Prbc.g_01084	Syak.g_01779
OG0000364	Prbc.g_01085	Syak.g_01778
OG0000365	Prbc.g_01090	Syak.g_01769
OG0000366	Prbc.g_01091	Syak.g_01768
OG0000367	Prbc.g_01092	Syak.g_01767
OG0000368	Prbc.g_01094	Syak.g_01765
OG0000369	Prbc.g_01095	Syak.g_01764
OG0000370	Prbc.g_01096	Syak.g_01763
OG0000371	Prbc.g_01102	Syak.g_01753
OG0000372	Prbc.g_01104	Syak.g_01748
OG0000373	Prbc.g_01105	Syak.g_01747
OG0000374	Prbc.g_01106	Syak.g_01746
OG0000375	Prbc.g_01118	Syak.g_01744
OG0000376	Prbc.g_01120	Syak.g_01742
OG0000377	Prbc.g_01123	Syak.g_01948
OG0000378	Prbc.g_01125	Syak.g_01968
OG0000379	Prbc.g_01128	Syak.g_01972
OG0000380	Prbc.g_00507	Syak.g_02256
OG0000381	Prbc.g_00503	Syak.g_02254
OG0000382	Prbc.g_00492	Syak.g_02236
OG0000383	Prbc.g_00490	Syak.g_02229
OG0000384	Prbc.g_00489	Syak.g_02228
OG0000385	Prbc.g_00488	Syak.g_02227
OG0000386	Prbc.g_00487	Syak.g_02226
OG0000387	Prbc.g_00474	Syak.g_02200
OG0000388	Prbc.g_00470	Syak.g_02196
OG0000389	Prbc.g_00467	Syak.g_02193, Syak.g_02345
OG0000390	Prbc.g_00458	Syak.g_02177
OG0000391	Prbc.g_00454	Syak.g_02172
OG0000392	Prbc.g_00451	Syak.g_02166
OG0000393	Prbc.g_00448	Syak.g_02163
OG0000394	Prbc.g_00447	Syak.g_02162
OG0000395	Prbc.g_00446	Syak.g_02161
OG0000396	Prbc.g_00443	Syak.g_02158
OG0000397	Prbc.g_00441	Syak.g_02156
OG0000398	Prbc.g_00438	Syak.g_02151
OG0000399	Prbc.g_00437	Syak.g_02150
OG0000400	Prbc.g_00436	Syak.g_02149
OG0000401	Prbc.g_00435	Syak.g_02148
OG0000402	Prbc.g_02145	Syak.g_02146
OG0000403	Prbc.g_00434	Syak.g_02145
OG0000404	Prbc.g_00433	Syak.g_02143
OG0000405	Prbc.g_00428	Syak.g_02131
OG0000406	Prbc.g_00424	Syak.g_02126
OG0000407	Prbc.g_00423	Syak.g_02125
OG0000408	Prbc.g_00421	Syak.g_02123
OG0000409	Prbc.g_00419	Syak.g_02121
OG0000410	Prbc.g_00418	Syak.g_02120
OG0000411	Prbc.g_00417	Syak.g_02119
OG0000412	Prbc.g_00416	Syak.g_02118
OG0000413	Prbc.g_00415	Syak.g_02116
OG0000415	Prbc.g_00413	Syak.g_02114
OG0000416	Prbc.g_00412	Syak.g_02113
OG0000417	Prbc.g_00411	Syak.g_02112
OG0000418	Prbc.g_00406	Syak.g_02107
OG0000419	Prbc.g_00404	Syak.g_02105
OG0000420	Prbc.g_00403	Syak.g_02103
OG0000421	Prbc.g_00399	Syak.g_02097
OG0000422	Prbc.g_00398	Syak.g_02096
OG0000423	Prbc.g_00397	Syak.g_02095
OG0000424	Prbc.g_00396	Syak.g_02094
OG0000425	Prbc.g_00395	Syak.g_02093
OG0000426	Prbc.g_00394	Syak.g_02092
OG0000427	Prbc.g_00393	Syak.g_02091
OG0000428	Prbc.g_00391	Syak.g_02088
OG0000429	Prbc.g_00390	Syak.g_02086
OG0000430	Prbc.g_00389	Syak.g_02084
OG0000431	Prbc.g_00387	Syak.g_02081
OG0000432	Prbc.g_00383	Syak.g_02075
OG0000433	Prbc.g_00382	Syak.g_02073
OG0000434	Prbc.g_00381	Syak.g_02072
OG0000435	Prbc.g_00380	Syak.g_02071
OG0000436	Prbc.g_00375	Syak.g_02064
OG0000437	Prbc.g_00374	Syak.g_02063
OG0000438	Prbc.g_00373	Syak.g_02062
OG0000439	Prbc.g_00371	Syak.g_02060
OG0000440	Prbc.g_00370	Syak.g_02059
OG0000441	Prbc.g_00368	Syak.g_02053
OG0000442	Prbc.g_00367	Syak.g_02043
OG0000443	Prbc.g_00366	Syak.g_02041
OG0000444	Prbc.g_00361	Syak.g_02022
OG0000445	Prbc.g_00360	Syak.g_02015
OG0000446	Prbc.g_00358	Syak.g_02013
OG0000447	Prbc.g_00357	Syak.g_02006
OG0000448	Prbc.g_00356	Syak.g_02005
OG0000449	Prbc.g_00355	Syak.g_02004
OG0000450	Prbc.g_00354	Syak.g_01998
OG0000451	Prbc.g_00353	Syak.g_01997
OG0000452	Prbc.g_00350	Syak.g_01993
OG0000453	Prbc.g_00349	Syak.g_01992
OG0000454	Prbc.g_00348	Syak.g_01991
OG0000455	Prbc.g_00347	Syak.g_01990
OG0000456	Prbc.g_00346	Syak.g_01989
OG0000457	Prbc.g_00345	Syak.g_01987
OG0000458	Prbc.g_00344	Syak.g_01986
OG0000459	Prbc.g_00343	Syak.g_01985
OG0000460	Prbc.g_00335	Syak.g_02303
OG0000461	Prbc.g_01140	Syak.g_01402
OG0000462	Prbc.g_01142	Syak.g_01405
OG0000463	Prbc.g_01143	Syak.g_01406
OG0000464	Prbc.g_01144	Syak.g_01407
OG0000465	Prbc.g_01145	Syak.g_01409
OG0000466	Prbc.g_01146	Syak.g_01414
OG0000467	Prbc.g_01147	Syak.g_01416
OG0000468	Prbc.g_01149	Syak.g_01421
OG0000469	Prbc.g_01156	Syak.g_01436
OG0000470	Prbc.g_01158	Syak.g_01438
OG0000471	Prbc.g_01159	Syak.g_01439
OG0000472	Prbc.g_01160	Syak.g_01441
OG0000473	Prbc.g_01162	Syak.g_01443
OG0000474	Prbc.g_01163	Syak.g_01444
OG0000475	Prbc.g_01164	Syak.g_01445
OG0000476	Prbc.g_01166	Syak.g_01447
OG0000477	Prbc.g_01168	Syak.g_01453
OG0000478	Prbc.g_01169	Syak.g_01454
OG0000479	Prbc.g_01170	Syak.g_01455
OG0000480	Prbc.g_01175	Syak.g_01462
OG0000481	Prbc.g_01177	Syak.g_01464
OG0000482	Prbc.g_01178	Syak.g_01465
OG0000483	Prbc.g_01181	Syak.g_01469
OG0000484	Prbc.g_01182	Syak.g_01470
OG0000485	Prbc.g_01183	Syak.g_01472
OG0000486	Prbc.g_01184	Syak.g_01473
OG0000487	Prbc.g_01187	Syak.g_01479
OG0000488	Prbc.g_01190	Syak.g_01483
OG0000489	Prbc.g_01195	Syak.g_01499
OG0000490	Prbc.g_01200	Syak.g_01507
OG0000491	Prbc.g_01201	Syak.g_01511
OG0000492	Prbc.g_01203	Syak.g_01513
OG0000493	Prbc.g_01204	Syak.g_01514
OG0000494	Prbc.g_01205	Syak.g_01515
OG0000495	Prbc.g_01206	Syak.g_01516
OG0000496	Prbc.g_01207	Syak.g_01517
OG0000497	Prbc.g_01208	Syak.g_01518
OG0000498	Prbc.g_01209	Syak.g_01519
OG0000499	Prbc.g_01210	Syak.g_01520
OG0000500	Prbc.g_01211	Syak.g_01521
OG0000501	Prbc.g_01213	Syak.g_01524
OG0000502	Prbc.g_01216	Syak.g_01538
OG0000503	Prbc.g_01246	Syak.g_01246
OG0000504	Prbc.g_01248	Syak.g_01244
OG0000505	Prbc.g_01249	Syak.g_01243
OG0000506	Prbc.g_01250	Syak.g_01241
OG0000507	Prbc.g_01253	Syak.g_01235
OG0000508	Prbc.g_01256	Syak.g_01231
OG0000509	Prbc.g_01258	Syak.g_01229
OG0000510	Prbc.g_01259	Syak.g_01228
OG0000511	Prbc.g_01260	Syak.g_01227
OG0000512	Prbc.g_01262	Syak.g_01225
OG0000513	Prbc.g_01271	Syak.g_01211
OG0000514	Prbc.g_01492	Syak.g_01204
OG0000515	Prbc.g_01493	Syak.g_01203
OG0000516	Prbc.g_01494	Syak.g_01199
OG0000517	Prbc.g_01496	Syak.g_01192
OG0000518	Prbc.g_01507	Syak.g_01180
OG0000519	Prbc.g_01508	Syak.g_01179
OG0000520	Prbc.g_01509	Syak.g_01178
OG0000521	Prbc.g_01514	Syak.g_01167
OG0000522	Prbc.g_01516	Syak.g_01163
OG0000523	Prbc.g_01517	Syak.g_01162
OG0000524	Prbc.g_01524	Syak.g_01149
OG0000525	Prbc.g_01528	Syak.g_01130
OG0000526	Prbc.g_01529	Syak.g_01127
OG0000527	Prbc.g_01532	Syak.g_01120
OG0000528	Prbc.g_01538	Syak.g_02570
OG0000529	Prbc.g_01541	Syak.g_02575
OG0000530	Prbc.g_01544	Syak.g_02578
OG0000531	Prbc.g_01545	Syak.g_02579
OG0000532	Prbc.g_01546	Syak.g_02582
OG0000533	Prbc.g_01547	Syak.g_02584
OG0000534	Prbc.g_01548	Syak.g_02585
OG0000535	Prbc.g_01549	Syak.g_02586
OG0000536	Prbc.g_01550	Syak.g_02587
OG0000537	Prbc.g_01551	Syak.g_02588
OG0000538	Prbc.g_01580	Syak.g_02600
OG0000539	Prbc.g_01581	Syak.g_02601
OG0000540	Prbc.g_01582	Syak.g_02602
OG0000541	Prbc.g_01583	Syak.g_02603
OG0000542	Prbc.g_01585	Syak.g_02606
OG0000543	Prbc.g_01587	Syak.g_02608
OG0000544	Prbc.g_01588	Syak.g_02609
OG0000545	Prbc.g_01590	Syak.g_02611
OG0000546	Prbc.g_01593	Syak.g_02613
OG0000547	Prbc.g_01595	Syak.g_02615
OG0000548	Prbc.g_01596	Syak.g_02616
OG0000549	Prbc.g_01599	Syak.g_02622
OG0000550	Prbc.g_01603	Syak.g_02626
OG0000551	Prbc.g_01606	Syak.g_02631
OG0000552	Prbc.g_01607	Syak.g_02632
OG0000553	Prbc.g_01608	Syak.g_02636
OG0000554	Prbc.g_01613	Syak.g_02641
OG0000555	Prbc.g_01621	Syak.g_02657
OG0000556	Prbc.g_01623	Syak.g_02661
OG0000557	Prbc.g_01624	Syak.g_02663
