Orthogroup	Prbc	Syat
OG0000044	Prbc.g_00533	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prbc.g_02137	Syat.g_00935
OG0000046	Prbc.g_01220	Syat.g_01626, Syat.g_01026
OG0000048	Prbc.g_01165	Syat.g_02046
OG0000052	Prbc.g_00518, Prbc.g_00517	Syat.g_02140
OG0000053	Prbc.g_00728	Syat.g_01330
OG0000054	Prbc.g_01683	Syat.g_00987, Syat.g_03390
OG0000055	Prbc.g_00907	Syat.g_00693
OG0000057	Prbc.g_00055, Prbc.g_01780	Syat.g_00817, Syat.g_02055
OG0000058	Prbc.g_01928	Syat.g_02133, Syat.g_02238, Syat.g_01189
OG0000059	Prbc.g_00958	Syat.g_01832
OG0000061	Prbc.g_01446	Syat.g_03260
OG0000062	Prbc.g_00790	Syat.g_03107
OG0000063	Prbc.g_00932	Syat.g_02303
OG0000065	Prbc.g_00466	Syat.g_01571
OG0000066	Prbc.g_01618	Syat.g_03283
OG0000067	Prbc.g_01858	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prbc.g_00657	Syat.g_00085, Syat.g_01295
OG0000069	Prbc.g_02181, Prbc.g_00752	Syat.g_00090, Syat.g_00879
OG0000070	Prbc.g_01511	Syat.g_01032, Syat.g_01040
OG0000071	Prbc.g_00566	Syat.g_01153
OG0000072	Prbc.g_00400	Syat.g_02856, Syat.g_01597
OG0000073	Prbc.g_01579	Syat.g_03201
OG0000075	Prbc.g_00236	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbc.g_00211	Syat.g_02206
OG0000077	Prbc.g_00495	Syat.g_01481
OG0000078	Prbc.g_00330	Syat.g_00184
OG0000079	Prbc.g_01148	Syat.g_01879
OG0000080	Prbc.g_00679	Syat.g_02246, Syat.g_02282, Syat.g_01200, Syat.g_02420
OG0000081	Prbc.g_01610	Syat.g_00980
OG0000082	Prbc.g_00891	Syat.g_00035
OG0000085	Prbc.g_00826	Syat.g_03113
OG0000086	Prbc.g_00485	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prbc.g_00432	Syat.g_02912
OG0000088	Prbc.g_00405	Syat.g_02862
OG0000089	Prbc.g_01268	Syat.g_02953
OG0000090	Prbc.g_01612	Syat.g_03270
OG0000091	Prbc.g_01719	Syat.g_00939, Syat.g_00862
OG0000092	Prbc.g_01982	Syat.g_00825
OG0000094	Prbc.g_01935	Syat.g_00698, Syat.g_01034
OG0000095	Prbc.g_02113	Syat.g_00808
OG0000097	Prbc.g_01400	Syat.g_00907, Syat.g_00535
OG0000098	Prbc.g_00585	Syat.g_03281
OG0000099	Prbc.g_01229	Syat.g_02130
OG0000100	Prbc.g_00785	Syat.g_00517
OG0000101	Prbc.g_00284	Syat.g_01661
OG0000102	Prbc.g_00206	Syat.g_00974
OG0000103	Prbc.g_01053	Syat.g_02399
OG0000104	Prbc.g_01065	Syat.g_02385
OG0000105	Prbc.g_01167	Syat.g_02052
OG0000106	Prbc.g_00134, Prbc.g_00641	Syat.g_00957
OG0000107	Prbc.g_00934	Syat.g_02009, Syat.g_01862
OG0000108	Prbc.g_01540	Syat.g_03170
OG0000109	Prbc.g_01553	Syat.g_03187
OG0000110	Prbc.g_01654	Syat.g_00049
OG0000111	Prbc.g_01781	Syat.g_00816
OG0000112	Prbc.g_02028	Syat.g_00593
OG0000113	Prbc.g_01882, Prbc.g_00153	Syat.g_00509
OG0000114	Prbc.g_01977	Syat.g_00426
OG0000115	Prbc.g_00801	Syat.g_01328
OG0000116	Prbc.g_01457	Syat.g_02641
OG0000117	Prbc.g_00102	Syat.g_00224
OG0000118	Prbc.g_00577	Syat.g_01168
OG0000119	Prbc.g_00650	Syat.g_00309
OG0000120	Prbc.g_01753	Syat.g_02132
OG0000121	Prbc.g_00711	Syat.g_01223
OG0000123	Prbc.g_00277	Syat.g_01653
OG0000124	Prbc.g_00193	Syat.g_02231
OG0000125	Prbc.g_00997	Syat.g_02684
OG0000126	Prbc.g_01063	Syat.g_00976
OG0000127	Prbc.g_01367	Syat.g_00175
OG0000128	Prbc.g_01081	Syat.g_02331
OG0000129	Prbc.g_01122	Syat.g_02693, Syat.g_02694
OG0000130	Prbc.g_00504	Syat.g_01469
OG0000131	Prbc.g_00426	Syat.g_02898
OG0000132	Prbc.g_00407	Syat.g_02864
OG0000133	Prbc.g_01214	Syat.g_00588
OG0000134	Prbc.g_01270	Syat.g_02956
OG0000135	Prbc.g_02198, Prbc.g_02183	Syat.g_02501
OG0000136	Prbc.g_01502	Syat.g_01292
OG0000137	Prbc.g_01534	Syat.g_01371
OG0000138	Prbc.g_01554	Syat.g_03188
OG0000139	Prbc.g_01616	Syat.g_03276
OG0000140	Prbc.g_01617	Syat.g_03280
OG0000141	Prbc.g_01684	Syat.g_03398
OG0000142	Prbc.g_01712	Syat.g_00117
OG0000143	Prbc.g_01716	Syat.g_00130
OG0000144	Prbc.g_01729	Syat.g_00369
OG0000145	Prbc.g_02142	Syat.g_03202
OG0000146	Prbc.g_02027	Syat.g_00594
OG0000147	Prbc.g_02026	Syat.g_00595
OG0000148	Prbc.g_01876	Syat.g_00503
OG0000149	Prbc.g_01908	Syat.g_00747
OG0000150	Prbc.g_01916	Syat.g_03399
OG0000151	Prbc.g_01988	Syat.g_00801, Syat.g_00440
OG0000152	Prbc.g_02036	Syat.g_00578
OG0000153	Prbc.g_02054	Syat.g_00542
OG0000154	Prbc.g_02083	Syat.g_00708
OG0000155	Prbc.g_01424	Syat.g_00287
OG0000156	Prbc.g_00555	Syat.g_03228
OG0000157	Prbc.g_00556	Syat.g_02012, Syat.g_03227
OG0000158	Prbc.g_00228	Syat.g_02163
OG0000160	Prbc.g_00710	Syat.g_01224
OG0000161	Prbc.g_00716	Syat.g_01180
OG0000162	Prbc.g_00722	Syat.g_01281
OG0000163	Prbc.g_00758	Syat.g_02979
OG0000164	Prbc.g_00854	Syat.g_03040
OG0000165	Prbc.g_00862	Syat.g_03033
OG0000166	Prbc.g_00321	Syat.g_01822
OG0000167	Prbc.g_00238	Syat.g_02148
OG0000168	Prbc.g_00227	Syat.g_02164
OG0000169	Prbc.g_00217	Syat.g_02192
OG0000170	Prbc.g_00215	Syat.g_02201
OG0000171	Prbc.g_00194	Syat.g_02230
OG0000172	Prbc.g_00967	Syat.g_02260
OG0000173	Prbc.g_00982	Syat.g_02284
OG0000174	Prbc.g_01013	Syat.g_02504
OG0000175	Prbc.g_01044	Syat.g_02416
OG0000176	Prbc.g_01074	Syat.g_02372
OG0000177	Prbc.g_01075	Syat.g_02338
OG0000178	Prbc.g_01076	Syat.g_02337
OG0000179	Prbc.g_01086	Syat.g_02322
OG0000180	Prbc.g_01087	Syat.g_02321
OG0000181	Prbc.g_01088	Syat.g_02320
OG0000182	Prbc.g_01089	Syat.g_02319
OG0000183	Prbc.g_01093	Syat.g_02315
OG0000184	Prbc.g_01124	Syat.g_02704
OG0000185	Prbc.g_01127	Syat.g_02719
OG0000186	Prbc.g_00509	Syat.g_01463
OG0000187	Prbc.g_00508	Syat.g_01467
OG0000188	Prbc.g_00491	Syat.g_01489
OG0000189	Prbc.g_00477	Syat.g_00386, Syat.g_01557
OG0000190	Prbc.g_00476	Syat.g_00330
OG0000191	Prbc.g_00453	Syat.g_03344, Syat.g_02939
OG0000192	Prbc.g_00449	Syat.g_02933
OG0000193	Prbc.g_00425	Syat.g_02897
OG0000194	Prbc.g_00422	Syat.g_02894
OG0000195	Prbc.g_00420	Syat.g_02892
OG0000196	Prbc.g_00410	Syat.g_02867
OG0000197	Prbc.g_00409	Syat.g_02866
OG0000198	Prbc.g_00408	Syat.g_02865
OG0000199	Prbc.g_00401	Syat.g_02857
OG0000200	Prbc.g_00388	Syat.g_02840
OG0000201	Prbc.g_00379	Syat.g_02821
OG0000202	Prbc.g_00378	Syat.g_02820
OG0000203	Prbc.g_00377	Syat.g_02819
OG0000204	Prbc.g_00376	Syat.g_02818
OG0000205	Prbc.g_00369	Syat.g_02809
OG0000206	Prbc.g_00365	Syat.g_02785
OG0000207	Prbc.g_00363	Syat.g_02778
OG0000208	Prbc.g_00362	Syat.g_02777
OG0000209	Prbc.g_00352	Syat.g_02735
OG0000210	Prbc.g_00351	Syat.g_02734
OG0000211	Prbc.g_00337	Syat.g_01452
OG0000212	Prbc.g_00329	Syat.g_01442
OG0000213	Prbc.g_01153	Syat.g_01889
OG0000214	Prbc.g_01161	Syat.g_02042
OG0000215	Prbc.g_01185	Syat.g_02075
OG0000216	Prbc.g_01186	Syat.g_02079
OG0000217	Prbc.g_01189	Syat.g_02085
OG0000218	Prbc.g_01191	Syat.g_02087
OG0000219	Prbc.g_01192	Syat.g_02088
OG0000220	Prbc.g_01193	Syat.g_02089
OG0000221	Prbc.g_01194	Syat.g_02095
OG0000222	Prbc.g_01202	Syat.g_02109
OG0000223	Prbc.g_01215	Syat.g_02570
OG0000224	Prbc.g_01217	Syat.g_02139
OG0000225	Prbc.g_01257	Syat.g_01595
OG0000226	Prbc.g_01261	Syat.g_01588
OG0000228	Prbc.g_01267	Syat.g_02952
OG0000229	Prbc.g_01497	Syat.g_02970
OG0000230	Prbc.g_01499	Syat.g_02972
OG0000231	Prbc.g_01510	Syat.g_01283
OG0000232	Prbc.g_01518	Syat.g_01313
OG0000233	Prbc.g_01526	Syat.g_01407
OG0000234	Prbc.g_01535	Syat.g_01369
OG0000235	Prbc.g_01539	Syat.g_03169
OG0000236	Prbc.g_01552	Syat.g_03186
OG0000237	Prbc.g_01586	Syat.g_03214
OG0000238	Prbc.g_01592	Syat.g_03219
OG0000239	Prbc.g_01604	Syat.g_01105
OG0000240	Prbc.g_01605	Syat.g_01104
OG0000241	Prbc.g_01609	Syat.g_00111
OG0000242	Prbc.g_01611	Syat.g_01077
OG0000243	Prbc.g_01622	Syat.g_00092
OG0000244	Prbc.g_01626	Syat.g_00082
OG0000245	Prbc.g_01628	Syat.g_00080
OG0000246	Prbc.g_01632	Syat.g_00076
OG0000247	Prbc.g_01642	Syat.g_00065
OG0000248	Prbc.g_01644	Syat.g_00062
OG0000249	Prbc.g_01646	Syat.g_00060
OG0000250	Prbc.g_01651	Syat.g_00053
OG0000251	Prbc.g_01667	Syat.g_00027
OG0000252	Prbc.g_01669	Syat.g_00022
OG0000253	Prbc.g_01671	Syat.g_00021
OG0000254	Prbc.g_01688	Syat.g_03407
OG0000255	Prbc.g_01694	Syat.g_02405
OG0000256	Prbc.g_01704	Syat.g_03306
OG0000257	Prbc.g_01707	Syat.g_00109
OG0000258	Prbc.g_01720	Syat.g_00382
OG0000259	Prbc.g_01737	Syat.g_00342
OG0000260	Prbc.g_01740	Syat.g_00392
OG0000261	Prbc.g_01743	Syat.g_00400
OG0000262	Prbc.g_01748	Syat.g_00407
OG0000263	Prbc.g_01762	Syat.g_00200
OG0000266	Prbc.g_01797	Syat.g_00671
OG0000267	Prbc.g_01810	Syat.g_00636
OG0000268	Prbc.g_01811	Syat.g_00634
OG0000269	Prbc.g_01853	Syat.g_00474, Syat.g_00126
OG0000270	Prbc.g_01856	Syat.g_00477
OG0000271	Prbc.g_01864	Syat.g_00485
OG0000272	Prbc.g_01865	Syat.g_00486
OG0000273	Prbc.g_01890	Syat.g_00520
OG0000274	Prbc.g_01891	Syat.g_00521
OG0000275	Prbc.g_01893	Syat.g_00718
OG0000276	Prbc.g_01899	Syat.g_00725
OG0000277	Prbc.g_01900	Syat.g_00738
OG0000278	Prbc.g_01904	Syat.g_00741
OG0000279	Prbc.g_01911	Syat.g_00755
OG0000280	Prbc.g_00068	Syat.g_01669
OG0000281	Prbc.g_01917	Syat.g_00960
OG0000282	Prbc.g_01979	Syat.g_00431
OG0000283	Prbc.g_02010	Syat.g_00620
OG0000284	Prbc.g_02015	Syat.g_00614
OG0000285	Prbc.g_02020	Syat.g_00607
OG0000286	Prbc.g_02035	Syat.g_00579
OG0000287	Prbc.g_02190	Syat.g_00550
OG0000288	Prbc.g_02082	Syat.g_00709
OG0000289	Prbc.g_02094	Syat.g_00695
OG0000290	Prbc.g_02110	Syat.g_00805
OG0000291	Prbc.g_02112	Syat.g_00807
OG0000292	Prbc.g_00173	Syat.g_02388
OG0000293	Prbc.g_01456	Syat.g_03241
OG0000294	Prbc.g_01455	Syat.g_03248
OG0000295	Prbc.g_01431	Syat.g_00297
OG0000296	Prbc.g_01429	Syat.g_00295
OG0000297	Prbc.g_01421	Syat.g_00226
OG0000298	Prbc.g_01420	Syat.g_00225
OG0000299	Prbc.g_01401	Syat.g_00910
OG0000300	Prbc.g_01398	Syat.g_00904
OG0000301	Prbc.g_01397	Syat.g_00903
OG0000302	Prbc.g_01395	Syat.g_00901
OG0000303	Prbc.g_01390	Syat.g_00892
OG0000304	Prbc.g_01387	Syat.g_00885
OG0000305	Prbc.g_00810	Syat.g_00809
OG0000306	Prbc.g_01921	Syat.g_01704
OG0000307	Prbc.g_00666	Syat.g_01304
OG0000308	Prbc.g_00667	Syat.g_01306
OG0000309	Prbc.g_00671	Syat.g_01417
OG0000310	Prbc.g_00693	Syat.g_01246
OG0000311	Prbc.g_00695	Syat.g_01242
OG0000312	Prbc.g_00698	Syat.g_01237
OG0000313	Prbc.g_00713	Syat.g_01183
OG0000314	Prbc.g_00734	Syat.g_01341
OG0000315	Prbc.g_00744	Syat.g_01351
OG0000316	Prbc.g_00768	Syat.g_03082
OG0000317	Prbc.g_00830	Syat.g_03120
OG0000318	Prbc.g_00833	Syat.g_03125
OG0000319	Prbc.g_00844	Syat.g_03055
OG0000320	Prbc.g_00846	Syat.g_03053
OG0000321	Prbc.g_00847	Syat.g_03052
OG0000322	Prbc.g_00848	Syat.g_03051
OG0000323	Prbc.g_00857	Syat.g_03038
OG0000324	Prbc.g_00884	Syat.g_02998
OG0000325	Prbc.g_00935	Syat.g_01861
OG0000326	Prbc.g_00941	Syat.g_01854
OG0000327	Prbc.g_00326	Syat.g_01827
OG0000328	Prbc.g_00325	Syat.g_01826
OG0000329	Prbc.g_00308	Syat.g_01808
OG0000330	Prbc.g_00307	Syat.g_01807
OG0000331	Prbc.g_00306	Syat.g_01806
OG0000332	Prbc.g_00292	Syat.g_01790
OG0000333	Prbc.g_00290	Syat.g_01787
OG0000334	Prbc.g_00281	Syat.g_01657
OG0000335	Prbc.g_00276	Syat.g_01652
OG0000336	Prbc.g_00272	Syat.g_01648
OG0000337	Prbc.g_00241	Syat.g_02144
OG0000338	Prbc.g_00240	Syat.g_02146
OG0000339	Prbc.g_00235	Syat.g_02155, Syat.g_01055
OG0000340	Prbc.g_00226	Syat.g_02165
OG0000341	Prbc.g_00224	Syat.g_02167
OG0000342	Prbc.g_00223	Syat.g_02168
OG0000343	Prbc.g_00222	Syat.g_02185
OG0000344	Prbc.g_00219	Syat.g_02189
OG0000345	Prbc.g_00214	Syat.g_02202
OG0000346	Prbc.g_00210	Syat.g_02207
OG0000347	Prbc.g_00190	Syat.g_02234
OG0000348	Prbc.g_00970	Syat.g_02264
OG0000349	Prbc.g_00988	Syat.g_02291
OG0000350	Prbc.g_01009	Syat.g_01847
OG0000351	Prbc.g_01047	Syat.g_02411
OG0000352	Prbc.g_01048	Syat.g_02410
OG0000353	Prbc.g_01068	Syat.g_00955, Syat.g_02377
OG0000355	Prbc.g_01071	Syat.g_02375
OG0000356	Prbc.g_01072	Syat.g_02374
OG0000357	Prbc.g_01073	Syat.g_02373
OG0000358	Prbc.g_01077	Syat.g_02336
OG0000359	Prbc.g_01078	Syat.g_02334
OG0000360	Prbc.g_01079	Syat.g_02333
OG0000361	Prbc.g_01080	Syat.g_02332
OG0000362	Prbc.g_01082	Syat.g_02330
OG0000363	Prbc.g_01084	Syat.g_02328
OG0000364	Prbc.g_01085	Syat.g_03122
OG0000365	Prbc.g_01090	Syat.g_02318
OG0000366	Prbc.g_01091	Syat.g_02317
OG0000367	Prbc.g_01092	Syat.g_02316
OG0000368	Prbc.g_01094	Syat.g_02314
OG0000369	Prbc.g_01095	Syat.g_02313
OG0000370	Prbc.g_01096	Syat.g_02312
OG0000371	Prbc.g_01102	Syat.g_02304
OG0000372	Prbc.g_01104	Syat.g_02298
OG0000373	Prbc.g_01105	Syat.g_02297
OG0000374	Prbc.g_01106	Syat.g_02296
OG0000375	Prbc.g_01118	Syat.g_02295
OG0000376	Prbc.g_01120	Syat.g_02293
OG0000377	Prbc.g_01123	Syat.g_02695
OG0000378	Prbc.g_01125	Syat.g_02715
OG0000379	Prbc.g_01128	Syat.g_02720
OG0000380	Prbc.g_00507	Syat.g_01468
OG0000381	Prbc.g_00503	Syat.g_01470
OG0000382	Prbc.g_00492	Syat.g_01488
OG0000383	Prbc.g_00490	Syat.g_01521
OG0000384	Prbc.g_00489	Syat.g_01522
OG0000385	Prbc.g_00488	Syat.g_01523
OG0000386	Prbc.g_00487	Syat.g_01524
OG0000387	Prbc.g_00474	Syat.g_01561
OG0000388	Prbc.g_00470	Syat.g_01565
OG0000389	Prbc.g_00467	Syat.g_01569
OG0000390	Prbc.g_00458	Syat.g_02945
OG0000391	Prbc.g_00454	Syat.g_02940
OG0000392	Prbc.g_00451	Syat.g_02934
OG0000393	Prbc.g_00448	Syat.g_02931
OG0000394	Prbc.g_00447	Syat.g_02930
OG0000395	Prbc.g_00446	Syat.g_02929
OG0000396	Prbc.g_00443	Syat.g_02927
OG0000397	Prbc.g_00441	Syat.g_02925
OG0000398	Prbc.g_00438	Syat.g_02920
OG0000399	Prbc.g_00437	Syat.g_02919
OG0000400	Prbc.g_00436	Syat.g_02918
OG0000401	Prbc.g_00435	Syat.g_02917
OG0000402	Prbc.g_02145	Syat.g_02915
OG0000403	Prbc.g_00434	Syat.g_02914
OG0000404	Prbc.g_00433	Syat.g_02913
OG0000405	Prbc.g_00428	Syat.g_02900
OG0000406	Prbc.g_00424	Syat.g_02896
OG0000407	Prbc.g_00423	Syat.g_02895
OG0000408	Prbc.g_00421	Syat.g_02893
OG0000409	Prbc.g_00419	Syat.g_02891
OG0000410	Prbc.g_00418	Syat.g_02890
OG0000411	Prbc.g_00417	Syat.g_02889
OG0000412	Prbc.g_00416	Syat.g_02888
OG0000413	Prbc.g_00415	Syat.g_02886
OG0000414	Prbc.g_00414	Syat.g_02885
OG0000415	Prbc.g_00413	Syat.g_02884
OG0000416	Prbc.g_00412	Syat.g_02883
OG0000417	Prbc.g_00411	Syat.g_02868
OG0000418	Prbc.g_00406	Syat.g_02863
OG0000419	Prbc.g_00404	Syat.g_02861
OG0000420	Prbc.g_00403	Syat.g_02859
OG0000421	Prbc.g_00399	Syat.g_02855
OG0000422	Prbc.g_00398	Syat.g_02854
OG0000423	Prbc.g_00397	Syat.g_02853
OG0000424	Prbc.g_00396	Syat.g_02852
OG0000425	Prbc.g_00395	Syat.g_02851
OG0000426	Prbc.g_00394	Syat.g_02850
OG0000427	Prbc.g_00393	Syat.g_02849
OG0000428	Prbc.g_00391	Syat.g_02846
OG0000429	Prbc.g_00390	Syat.g_02843
OG0000430	Prbc.g_00389	Syat.g_02841
OG0000431	Prbc.g_00387	Syat.g_02838
OG0000432	Prbc.g_00383	Syat.g_02832
OG0000433	Prbc.g_00382	Syat.g_02829
OG0000434	Prbc.g_00381	Syat.g_02828
OG0000435	Prbc.g_00380	Syat.g_02824
OG0000436	Prbc.g_00375	Syat.g_02817
OG0000437	Prbc.g_00374	Syat.g_02558
OG0000438	Prbc.g_00373	Syat.g_02813
OG0000439	Prbc.g_00371	Syat.g_02811
OG0000440	Prbc.g_00370	Syat.g_02810
OG0000441	Prbc.g_00368	Syat.g_02807
OG0000442	Prbc.g_00367	Syat.g_02797
OG0000443	Prbc.g_00366	Syat.g_02787
OG0000444	Prbc.g_00361	Syat.g_02756
OG0000445	Prbc.g_00360	Syat.g_02755
OG0000446	Prbc.g_00358	Syat.g_02753
OG0000447	Prbc.g_00357	Syat.g_02749
OG0000448	Prbc.g_00356	Syat.g_02748
OG0000449	Prbc.g_00355	Syat.g_02747
OG0000450	Prbc.g_00354	Syat.g_02738
OG0000451	Prbc.g_00353	Syat.g_02737
OG0000452	Prbc.g_00350	Syat.g_02732
OG0000453	Prbc.g_00349	Syat.g_02731
OG0000454	Prbc.g_00348	Syat.g_02730
OG0000455	Prbc.g_00347	Syat.g_02729
OG0000456	Prbc.g_00346	Syat.g_02728
OG0000457	Prbc.g_00345	Syat.g_02726
OG0000458	Prbc.g_00344	Syat.g_02725
OG0000459	Prbc.g_00343	Syat.g_02724
OG0000460	Prbc.g_00335	Syat.g_01450
OG0000461	Prbc.g_01140	Syat.g_01866
OG0000462	Prbc.g_01142	Syat.g_01868
OG0000463	Prbc.g_01143	Syat.g_01869
OG0000464	Prbc.g_01144	Syat.g_01870
OG0000465	Prbc.g_01145	Syat.g_01872
OG0000466	Prbc.g_01146	Syat.g_01877
OG0000467	Prbc.g_01147	Syat.g_01878
OG0000468	Prbc.g_01149	Syat.g_01884
OG0000469	Prbc.g_01156	Syat.g_02000
OG0000470	Prbc.g_01158	Syat.g_02038
OG0000471	Prbc.g_01159	Syat.g_02039
OG0000472	Prbc.g_01160	Syat.g_02041
OG0000473	Prbc.g_01162	Syat.g_02043
OG0000474	Prbc.g_01163	Syat.g_02044
OG0000475	Prbc.g_01164	Syat.g_02045
OG0000476	Prbc.g_01166	Syat.g_02047
OG0000477	Prbc.g_01168	Syat.g_02053
OG0000478	Prbc.g_01169	Syat.g_02054
OG0000479	Prbc.g_01170	Syat.g_02056
OG0000480	Prbc.g_01175	Syat.g_02063
OG0000481	Prbc.g_01177	Syat.g_02066
OG0000482	Prbc.g_01178	Syat.g_02067
OG0000483	Prbc.g_01181	Syat.g_02071
OG0000484	Prbc.g_01182	Syat.g_02072
OG0000485	Prbc.g_01183	Syat.g_02073
OG0000486	Prbc.g_01184	Syat.g_02074
OG0000487	Prbc.g_01187	Syat.g_02080
OG0000488	Prbc.g_01190	Syat.g_02086
OG0000489	Prbc.g_01195	Syat.g_02097
OG0000490	Prbc.g_01200	Syat.g_02106
OG0000491	Prbc.g_01201	Syat.g_02107
OG0000492	Prbc.g_01203	Syat.g_02110
OG0000493	Prbc.g_01204	Syat.g_02111
OG0000494	Prbc.g_01205	Syat.g_02112
OG0000495	Prbc.g_01206	Syat.g_02120
OG0000496	Prbc.g_01207	Syat.g_02121
OG0000497	Prbc.g_01208	Syat.g_02122
OG0000498	Prbc.g_01209	Syat.g_02123
OG0000499	Prbc.g_01210	Syat.g_02124
OG0000500	Prbc.g_01211	Syat.g_02125
OG0000501	Prbc.g_01213	Syat.g_02128
OG0000502	Prbc.g_01216	Syat.g_02135
OG0000503	Prbc.g_01246	Syat.g_01614
OG0000504	Prbc.g_01248	Syat.g_01612
OG0000505	Prbc.g_01249	Syat.g_01611
OG0000506	Prbc.g_01250	Syat.g_01609
OG0000507	Prbc.g_01253	Syat.g_01603
OG0000508	Prbc.g_01256	Syat.g_01596
OG0000509	Prbc.g_01258	Syat.g_01591
OG0000510	Prbc.g_01259	Syat.g_01590
OG0000511	Prbc.g_01260	Syat.g_01589
OG0000512	Prbc.g_01262	Syat.g_01587
OG0000513	Prbc.g_01271	Syat.g_02957
OG0000514	Prbc.g_01492	Syat.g_02962
OG0000515	Prbc.g_01493	Syat.g_02963
OG0000516	Prbc.g_01494	Syat.g_02965
OG0000517	Prbc.g_01496	Syat.g_02969
OG0000518	Prbc.g_01507	Syat.g_01286
OG0000519	Prbc.g_01508	Syat.g_01285
OG0000520	Prbc.g_01509	Syat.g_01284
OG0000521	Prbc.g_01514	Syat.g_01319
OG0000522	Prbc.g_01516	Syat.g_01317
OG0000523	Prbc.g_01517	Syat.g_01316
OG0000524	Prbc.g_01524	Syat.g_01409
OG0000525	Prbc.g_01528	Syat.g_01382
OG0000526	Prbc.g_01529	Syat.g_01380
OG0000527	Prbc.g_01532	Syat.g_01373
OG0000528	Prbc.g_01538	Syat.g_03167
OG0000529	Prbc.g_01541	Syat.g_03171
OG0000530	Prbc.g_01544	Syat.g_03174
OG0000531	Prbc.g_01545	Syat.g_03175
OG0000532	Prbc.g_01546	Syat.g_03178
OG0000533	Prbc.g_01547	Syat.g_03180
OG0000534	Prbc.g_01548	Syat.g_03181
OG0000535	Prbc.g_01549	Syat.g_03182
OG0000536	Prbc.g_01550	Syat.g_03183
OG0000537	Prbc.g_01551	Syat.g_03185
OG0000538	Prbc.g_01580	Syat.g_03204
OG0000539	Prbc.g_01581	Syat.g_03206
OG0000540	Prbc.g_01582	Syat.g_03207
OG0000541	Prbc.g_01583	Syat.g_03208
OG0000542	Prbc.g_01585	Syat.g_03213
OG0000543	Prbc.g_01587	Syat.g_03215
OG0000544	Prbc.g_01588	Syat.g_03216
OG0000545	Prbc.g_01590	Syat.g_03218
OG0000546	Prbc.g_01593	Syat.g_03220
OG0000547	Prbc.g_01595	Syat.g_03222
OG0000548	Prbc.g_01596	Syat.g_03223
OG0000549	Prbc.g_01599	Syat.g_01795
OG0000550	Prbc.g_01603	Syat.g_01107
OG0000551	Prbc.g_01606	Syat.g_01103
OG0000552	Prbc.g_01607	Syat.g_01102
OG0000553	Prbc.g_01608	Syat.g_01098
OG0000554	Prbc.g_01613	Syat.g_03271
OG0000555	Prbc.g_01621	Syat.g_00093
OG0000556	Prbc.g_01623	Syat.g_00088
