Orthogroup	Prbc	Syai
OG0000039	Prbc.g_01768	Syai.g_02034
OG0000041	Prbc.g_00877	Syai.g_02265, Syai.g_02016
OG0000042	Prbc.g_00203	Syai.g_00099
OG0000043	Prbc.g_01953	Syai.g_01599
OG0000044	Prbc.g_00533	Syai.g_00833
OG0000046	Prbc.g_01220	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Prbc.g_01227, Prbc.g_01273	Syai.g_00462
OG0000048	Prbc.g_01165	Syai.g_00272
OG0000050	Prbc.g_01383	Syai.g_01893
OG0000050	Prbc.g_00513	Syai.g_01332
OG0000052	Prbc.g_00518, Prbc.g_00517	Syai.g_00176
OG0000053	Prbc.g_00728	Syai.g_00930
OG0000054	Prbc.g_01683	Syai.g_01040
OG0000057	Prbc.g_00055, Prbc.g_01780	Syai.g_01997
OG0000058	Prbc.g_01928	Syai.g_00195
OG0000059	Prbc.g_00958	Syai.g_00351
OG0000061	Prbc.g_01446	Syai.g_02144
OG0000062	Prbc.g_00790	Syai.g_02358
OG0000063	Prbc.g_00932	Syai.g_00042
OG0000066	Prbc.g_01618	Syai.g_01709, Syai.g_00719
OG0000067	Prbc.g_01858	Syai.g_01321
OG0000068	Prbc.g_00657	Syai.g_00628
OG0000070	Prbc.g_01511	Syai.g_02196
OG0000071	Prbc.g_00566	Syai.g_02179
OG0000072	Prbc.g_00400	Syai.g_02636
OG0000073	Prbc.g_01579	Syai.g_00659
OG0000075	Prbc.g_00236	Syai.g_00161
OG0000076	Prbc.g_00211	Syai.g_00111
OG0000077	Prbc.g_00495	Syai.g_02486
OG0000078	Prbc.g_00330	Syai.g_00543
OG0000079	Prbc.g_01148	Syai.g_00300
OG0000081	Prbc.g_01610	Syai.g_00553, Syai.g_02292
OG0000082	Prbc.g_00891	Syai.g_00781
OG0000084	Prbc.g_00705	Syai.g_01196, Syai.g_00958
OG0000085	Prbc.g_00826	Syai.g_02365
OG0000086	Prbc.g_00485	Syai.g_02507
OG0000087	Prbc.g_00432	Syai.g_02592
OG0000088	Prbc.g_00405	Syai.g_02630
OG0000089	Prbc.g_01268	Syai.g_00517
OG0000090	Prbc.g_01612	Syai.g_00707
OG0000091	Prbc.g_01719	Syai.g_01112
OG0000092	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263	Syai.g_01358
OG0000093	Prbc.g_01843	Syai.g_01306
OG0000094	Prbc.g_01935	Syai.g_01424
OG0000095	Prbc.g_02113	Syai.g_02007
OG0000097	Prbc.g_01400	Syai.g_01787
OG0000098	Prbc.g_00585	Syai.g_01718
OG0000099	Prbc.g_01229	Syai.g_00199
OG0000100	Prbc.g_00785	Syai.g_01372
OG0000101	Prbc.g_00284	Syai.g_00404
OG0000102	Prbc.g_00206	Syai.g_00106
OG0000103	Prbc.g_01053	Syai.g_02912
OG0000104	Prbc.g_01065	Syai.g_02929
OG0000105	Prbc.g_01167	Syai.g_00267
OG0000106	Prbc.g_00134, Prbc.g_00641	Syai.g_01601
OG0000107	Prbc.g_00934	Syai.g_00319
OG0000108	Prbc.g_01540	Syai.g_00638
OG0000109	Prbc.g_01553	Syai.g_00653
OG0000110	Prbc.g_01654	Syai.g_00878, Syai.g_00766
OG0000111	Prbc.g_01781	Syai.g_00884, Syai.g_01998
OG0000112	Prbc.g_02028	Syai.g_01512
OG0000113	Prbc.g_01882, Prbc.g_00153	Syai.g_01367
OG0000114	Prbc.g_01977	Syai.g_01261
OG0000115	Prbc.g_00801	Syai.g_00932
OG0000116	Prbc.g_01457	Syai.g_02156
OG0000117	Prbc.g_00102	Syai.g_01756
OG0000118	Prbc.g_00577	Syai.g_00818
OG0000119	Prbc.g_00650	Syai.g_02127
OG0000120	Prbc.g_01753	Syai.g_00198
OG0000121	Prbc.g_00711	Syai.g_00951
OG0000122	Prbc.g_00750	Syai.g_01143
OG0000123	Prbc.g_00277	Syai.g_00411
OG0000124	Prbc.g_00193	Syai.g_00089
OG0000125	Prbc.g_00997	Syai.g_02782
OG0000126	Prbc.g_01063	Syai.g_02927
OG0000127	Prbc.g_01352, Prbc.g_00621	Syai.g_01872, Syai.g_01906, Syai.g_01855
OG0000127	Prbc.g_01367	Syai.g_02459
OG0000128	Prbc.g_01081	Syai.g_00012
OG0000129	Prbc.g_01122	Syai.g_02771
OG0000130	Prbc.g_00504	Syai.g_02474
OG0000131	Prbc.g_00426	Syai.g_02608
OG0000132	Prbc.g_00407	Syai.g_02628
OG0000133	Prbc.g_01214	Syai.g_01507
OG0000134	Prbc.g_01270	Syai.g_00520
OG0000135	Prbc.g_02198, Prbc.g_02183	Syai.g_02826
OG0000136	Prbc.g_01502	Syai.g_02217
OG0000137	Prbc.g_01534	Syai.g_00865
OG0000138	Prbc.g_01554	Syai.g_00654
OG0000139	Prbc.g_01616	Syai.g_00714
OG0000140	Prbc.g_01617	Syai.g_00716
OG0000141	Prbc.g_01684	Syai.g_01041
OG0000142	Prbc.g_01712	Syai.g_01104
OG0000143	Prbc.g_01716	Syai.g_01108
OG0000144	Prbc.g_01729	Syai.g_01608
OG0000145	Prbc.g_02142	Syai.g_00660
OG0000146	Prbc.g_02027	Syai.g_01513
OG0000147	Prbc.g_02026	Syai.g_01514
OG0000148	Prbc.g_01876	Syai.g_01361
OG0000149	Prbc.g_01908	Syai.g_02059
OG0000150	Prbc.g_01916	Syai.g_00717
OG0000151	Prbc.g_01988	Syai.g_01280
OG0000152	Prbc.g_02036	Syai.g_01503
OG0000153	Prbc.g_02054	Syai.g_01461
OG0000154	Prbc.g_02083	Syai.g_01434
OG0000155	Prbc.g_01424	Syai.g_02109
OG0000156	Prbc.g_00555	Syai.g_02162
OG0000157	Prbc.g_00556	Syai.g_02163
OG0000158	Prbc.g_00228	Syai.g_00135
OG0000160	Prbc.g_00710	Syai.g_00952
OG0000161	Prbc.g_00716	Syai.g_00946
OG0000162	Prbc.g_00722	Syai.g_00939
OG0000163	Prbc.g_00758	Syai.g_02300
OG0000164	Prbc.g_00854	Syai.g_02411
OG0000165	Prbc.g_00862	Syai.g_02244
OG0000166	Prbc.g_00321	Syai.g_00364
OG0000167	Prbc.g_00238	Syai.g_00164
OG0000168	Prbc.g_00227	Syai.g_00134
OG0000169	Prbc.g_00217	Syai.g_00123
OG0000170	Prbc.g_00215	Syai.g_00116
OG0000171	Prbc.g_00194	Syai.g_00090
OG0000172	Prbc.g_00967	Syai.g_00083
OG0000173	Prbc.g_00982	Syai.g_00064
OG0000174	Prbc.g_01013	Syai.g_02828
OG0000175	Prbc.g_01044	Syai.g_02901
OG0000176	Prbc.g_01074	Syai.g_00004
OG0000177	Prbc.g_01075	Syai.g_00005
OG0000178	Prbc.g_01076	Syai.g_00006
OG0000179	Prbc.g_01086	Syai.g_00023
OG0000180	Prbc.g_01087	Syai.g_00024
OG0000181	Prbc.g_01088	Syai.g_00025
OG0000182	Prbc.g_01089	Syai.g_00026
OG0000183	Prbc.g_01093	Syai.g_00030
OG0000184	Prbc.g_01124	Syai.g_02756
OG0000185	Prbc.g_01127	Syai.g_02734
OG0000186	Prbc.g_00509	Syai.g_02469
OG0000187	Prbc.g_00508	Syai.g_02471
OG0000188	Prbc.g_00491	Syai.g_00696, Syai.g_02494
OG0000189	Prbc.g_00477	Syai.g_02530
OG0000190	Prbc.g_00476	Syai.g_02532
OG0000191	Prbc.g_00453	Syai.g_02562
OG0000192	Prbc.g_00449	Syai.g_02569
OG0000193	Prbc.g_00425	Syai.g_02609
OG0000194	Prbc.g_00422	Syai.g_02612
OG0000195	Prbc.g_00420	Syai.g_02614
OG0000196	Prbc.g_00410	Syai.g_02625
OG0000197	Prbc.g_00409	Syai.g_02626
OG0000198	Prbc.g_00408	Syai.g_02627
OG0000199	Prbc.g_00401	Syai.g_02635
OG0000200	Prbc.g_00388	Syai.g_02651
OG0000201	Prbc.g_00379	Syai.g_02667
OG0000202	Prbc.g_00378	Syai.g_02668
OG0000203	Prbc.g_00377	Syai.g_02669
OG0000204	Prbc.g_00376	Syai.g_02670
OG0000205	Prbc.g_00369	Syai.g_02677
OG0000206	Prbc.g_00365	Syai.g_02684
OG0000207	Prbc.g_00363	Syai.g_02686
OG0000208	Prbc.g_00362	Syai.g_02687
OG0000209	Prbc.g_00352	Syai.g_02699
OG0000210	Prbc.g_00351	Syai.g_02700
OG0000211	Prbc.g_00337	Syai.g_00533
OG0000212	Prbc.g_00329	Syai.g_00544
OG0000213	Prbc.g_01153	Syai.g_00292
OG0000214	Prbc.g_01161	Syai.g_00276
OG0000215	Prbc.g_01185	Syai.g_00245
OG0000216	Prbc.g_01186	Syai.g_00241
OG0000217	Prbc.g_01189	Syai.g_00237
OG0000218	Prbc.g_01191	Syai.g_00235
OG0000219	Prbc.g_01192	Syai.g_00234
OG0000220	Prbc.g_01193	Syai.g_00233
OG0000221	Prbc.g_01194	Syai.g_00227
OG0000222	Prbc.g_01202	Syai.g_00215
OG0000223	Prbc.g_01215	Syai.g_00194
OG0000224	Prbc.g_01217	Syai.g_00186
OG0000225	Prbc.g_01257	Syai.g_00502
OG0000226	Prbc.g_01261	Syai.g_00506
OG0000227	Prbc.g_01263	Syai.g_00508
OG0000228	Prbc.g_01267	Syai.g_00516
OG0000229	Prbc.g_01497	Syai.g_02228
OG0000230	Prbc.g_01499	Syai.g_02226
OG0000231	Prbc.g_01510	Syai.g_02208
OG0000232	Prbc.g_01518	Syai.g_00846
OG0000233	Prbc.g_01526	Syai.g_00855
OG0000234	Prbc.g_01535	Syai.g_00866
OG0000235	Prbc.g_01539	Syai.g_00637
OG0000236	Prbc.g_01552	Syai.g_00652
OG0000237	Prbc.g_01586	Syai.g_00669
OG0000238	Prbc.g_01592	Syai.g_00674
OG0000239	Prbc.g_01604	Syai.g_00691
OG0000240	Prbc.g_01605	Syai.g_00692
OG0000241	Prbc.g_01609	Syai.g_01085, Syai.g_01089
OG0000242	Prbc.g_01611	Syai.g_00705
OG0000243	Prbc.g_01622	Syai.g_00726
OG0000244	Prbc.g_01626	Syai.g_00731
OG0000245	Prbc.g_01628	Syai.g_00733
OG0000246	Prbc.g_01632	Syai.g_00737
OG0000247	Prbc.g_01642	Syai.g_00748
OG0000248	Prbc.g_01644	Syai.g_00751
OG0000249	Prbc.g_01646	Syai.g_00753
OG0000250	Prbc.g_01651	Syai.g_00762
OG0000251	Prbc.g_01667	Syai.g_00789
OG0000252	Prbc.g_01669	Syai.g_00797
OG0000253	Prbc.g_01671	Syai.g_00798
OG0000254	Prbc.g_01688	Syai.g_01045
OG0000255	Prbc.g_01694	Syai.g_01061
OG0000256	Prbc.g_01704	Syai.g_01077
OG0000257	Prbc.g_01707	Syai.g_01084
OG0000258	Prbc.g_01720	Syai.g_01113
OG0000259	Prbc.g_01737	Syai.g_01229
OG0000260	Prbc.g_01740	Syai.g_01232
OG0000261	Prbc.g_01743	Syai.g_01235
OG0000262	Prbc.g_01748	Syai.g_01240
OG0000263	Prbc.g_01762	Syai.g_01776
OG0000264	Prbc.g_01773	Syai.g_01962
OG0000265	Prbc.g_01787	Syai.g_02245
OG0000266	Prbc.g_01797	Syai.g_01401
OG0000267	Prbc.g_01810	Syai.g_01569
OG0000268	Prbc.g_01811	Syai.g_01568
OG0000269	Prbc.g_01853	Syai.g_01316
OG0000270	Prbc.g_01856	Syai.g_01319
OG0000271	Prbc.g_01864	Syai.g_01327
OG0000272	Prbc.g_01865	Syai.g_01328
OG0000273	Prbc.g_01890	Syai.g_02037
OG0000274	Prbc.g_01891	Syai.g_02038
OG0000275	Prbc.g_01893	Syai.g_02043
OG0000276	Prbc.g_01899	Syai.g_02051
OG0000277	Prbc.g_01900	Syai.g_02052
OG0000278	Prbc.g_01904	Syai.g_02055
OG0000279	Prbc.g_01911	Syai.g_02063
OG0000280	Prbc.g_00068	Syai.g_02084
OG0000281	Prbc.g_01917	Syai.g_01719
OG0000282	Prbc.g_01979	Syai.g_01263
OG0000283	Prbc.g_02010	Syai.g_01554
OG0000284	Prbc.g_02015	Syai.g_01548
OG0000285	Prbc.g_02020	Syai.g_01522
OG0000286	Prbc.g_02035	Syai.g_01504
OG0000287	Prbc.g_02190	Syai.g_01469
OG0000288	Prbc.g_02082	Syai.g_01435
OG0000289	Prbc.g_02094	Syai.g_01421
OG0000290	Prbc.g_02110	Syai.g_02010
OG0000291	Prbc.g_02112	Syai.g_02008
OG0000292	Prbc.g_00173	Syai.g_02926
OG0000293	Prbc.g_01456	Syai.g_02155
OG0000294	Prbc.g_01455	Syai.g_02154
OG0000295	Prbc.g_01431	Syai.g_02117
OG0000296	Prbc.g_01429	Syai.g_02115
OG0000297	Prbc.g_01421	Syai.g_01754
OG0000298	Prbc.g_01420	Syai.g_01755
OG0000299	Prbc.g_01401	Syai.g_01783
OG0000300	Prbc.g_01398	Syai.g_01790
OG0000301	Prbc.g_01397	Syai.g_01791
OG0000302	Prbc.g_01395	Syai.g_01793
OG0000303	Prbc.g_01390	Syai.g_01802
OG0000304	Prbc.g_01387	Syai.g_01826
OG0000305	Prbc.g_00810	Syai.g_02005
OG0000306	Prbc.g_01921	Syai.g_02090
OG0000307	Prbc.g_00666	Syai.g_00619
OG0000308	Prbc.g_00667	Syai.g_00617
OG0000309	Prbc.g_00671	Syai.g_00612
OG0000310	Prbc.g_00693	Syai.g_00989
OG0000311	Prbc.g_00695	Syai.g_00985
OG0000312	Prbc.g_00698	Syai.g_00966
OG0000313	Prbc.g_00713	Syai.g_00949
OG0000314	Prbc.g_00734	Syai.g_00908
OG0000315	Prbc.g_00744	Syai.g_00897
OG0000316	Prbc.g_00768	Syai.g_02320, Syai.g_02322
OG0000317	Prbc.g_00830	Syai.g_02373
OG0000318	Prbc.g_00833	Syai.g_02379
OG0000319	Prbc.g_00844	Syai.g_02395
OG0000320	Prbc.g_00846	Syai.g_02397
OG0000321	Prbc.g_00847	Syai.g_02398
OG0000322	Prbc.g_00848	Syai.g_02399
OG0000323	Prbc.g_00857	Syai.g_02413
OG0000324	Prbc.g_00884	Syai.g_02272
OG0000325	Prbc.g_00935	Syai.g_00320
OG0000326	Prbc.g_00941	Syai.g_00327
OG0000327	Prbc.g_00326	Syai.g_00359
OG0000328	Prbc.g_00325	Syai.g_00360
OG0000329	Prbc.g_00308	Syai.g_00378
OG0000330	Prbc.g_00307	Syai.g_00379
OG0000331	Prbc.g_00306	Syai.g_00380
OG0000332	Prbc.g_00292	Syai.g_00395
OG0000333	Prbc.g_00290	Syai.g_00398
OG0000334	Prbc.g_00281	Syai.g_00407
OG0000335	Prbc.g_00276	Syai.g_00412
OG0000336	Prbc.g_00272	Syai.g_00416
OG0000337	Prbc.g_00241	Syai.g_00169
OG0000338	Prbc.g_00240	Syai.g_00166
OG0000339	Prbc.g_00235	Syai.g_00160
OG0000340	Prbc.g_00226	Syai.g_00133
OG0000341	Prbc.g_00224	Syai.g_00131
OG0000342	Prbc.g_00223	Syai.g_00130
OG0000343	Prbc.g_00222	Syai.g_00129
OG0000344	Prbc.g_00219	Syai.g_00125
OG0000345	Prbc.g_00214	Syai.g_00115
OG0000346	Prbc.g_00210	Syai.g_00110
OG0000347	Prbc.g_00190	Syai.g_00087
OG0000348	Prbc.g_00970	Syai.g_00076
OG0000349	Prbc.g_00988	Syai.g_00057
OG0000350	Prbc.g_01009	Syai.g_00334
OG0000351	Prbc.g_01047	Syai.g_02904
OG0000352	Prbc.g_01048	Syai.g_02905
OG0000353	Prbc.g_01068	Syai.g_02932
OG0000355	Prbc.g_01071	Syai.g_00001
OG0000356	Prbc.g_01072	Syai.g_00002
OG0000357	Prbc.g_01073	Syai.g_00003
OG0000358	Prbc.g_01077	Syai.g_00007
OG0000359	Prbc.g_01078	Syai.g_00009
OG0000360	Prbc.g_01079	Syai.g_00010
OG0000361	Prbc.g_01080	Syai.g_00011
OG0000362	Prbc.g_01082	Syai.g_00013
OG0000363	Prbc.g_01084	Syai.g_00015
OG0000364	Prbc.g_01085	Syai.g_00016
OG0000365	Prbc.g_01090	Syai.g_00027
OG0000366	Prbc.g_01091	Syai.g_00028
OG0000367	Prbc.g_01092	Syai.g_00029
OG0000368	Prbc.g_01094	Syai.g_00031
OG0000369	Prbc.g_01095	Syai.g_00032
OG0000370	Prbc.g_01096	Syai.g_00033
OG0000371	Prbc.g_01102	Syai.g_00041
OG0000372	Prbc.g_01104	Syai.g_00047
OG0000373	Prbc.g_01105	Syai.g_00048
OG0000374	Prbc.g_01106	Syai.g_00049
OG0000375	Prbc.g_01118	Syai.g_00053
OG0000376	Prbc.g_01120	Syai.g_00055
OG0000377	Prbc.g_01123	Syai.g_02769
OG0000378	Prbc.g_01125	Syai.g_02751
OG0000379	Prbc.g_01128	Syai.g_02733
OG0000380	Prbc.g_00507	Syai.g_02472
OG0000381	Prbc.g_00503	Syai.g_02475
OG0000382	Prbc.g_00492	Syai.g_02493
OG0000383	Prbc.g_00490	Syai.g_02498
OG0000384	Prbc.g_00489	Syai.g_02499
OG0000385	Prbc.g_00488	Syai.g_02500
OG0000386	Prbc.g_00487	Syai.g_02501
OG0000387	Prbc.g_00474	Syai.g_02534
OG0000388	Prbc.g_00470	Syai.g_02538
OG0000389	Prbc.g_00467	Syai.g_02542
OG0000390	Prbc.g_00458	Syai.g_02556
OG0000391	Prbc.g_00454	Syai.g_02561
OG0000392	Prbc.g_00451	Syai.g_02568
OG0000393	Prbc.g_00448	Syai.g_02570
OG0000394	Prbc.g_00447	Syai.g_02571
OG0000395	Prbc.g_00446	Syai.g_02572
OG0000396	Prbc.g_00443	Syai.g_02575
OG0000397	Prbc.g_00441	Syai.g_02577
OG0000398	Prbc.g_00438	Syai.g_02582
OG0000399	Prbc.g_00437	Syai.g_02583
OG0000400	Prbc.g_00436	Syai.g_02584
OG0000401	Prbc.g_00435	Syai.g_02585
OG0000402	Prbc.g_02145	Syai.g_02588
OG0000403	Prbc.g_00434	Syai.g_02589
OG0000404	Prbc.g_00433	Syai.g_02590
OG0000405	Prbc.g_00428	Syai.g_02606
OG0000406	Prbc.g_00424	Syai.g_02610
OG0000407	Prbc.g_00423	Syai.g_02611
OG0000408	Prbc.g_00421	Syai.g_02613
OG0000409	Prbc.g_00419	Syai.g_02615
OG0000410	Prbc.g_00418	Syai.g_02616
OG0000411	Prbc.g_00417	Syai.g_02617
OG0000412	Prbc.g_00416	Syai.g_02618
OG0000413	Prbc.g_00415	Syai.g_02620
OG0000414	Prbc.g_00414	Syai.g_02621
OG0000415	Prbc.g_00413	Syai.g_02622
OG0000416	Prbc.g_00412	Syai.g_02623
OG0000417	Prbc.g_00411	Syai.g_02624
OG0000418	Prbc.g_00406	Syai.g_02629
OG0000419	Prbc.g_00404	Syai.g_02631
OG0000420	Prbc.g_00403	Syai.g_02633
OG0000421	Prbc.g_00399	Syai.g_02638
OG0000422	Prbc.g_00398	Syai.g_02639
OG0000423	Prbc.g_00397	Syai.g_02640
OG0000424	Prbc.g_00396	Syai.g_02641
OG0000425	Prbc.g_00395	Syai.g_02642
OG0000426	Prbc.g_00394	Syai.g_02643
OG0000427	Prbc.g_00393	Syai.g_02644
OG0000428	Prbc.g_00391	Syai.g_02647
OG0000429	Prbc.g_00390	Syai.g_02649
OG0000430	Prbc.g_00389	Syai.g_02650
OG0000431	Prbc.g_00387	Syai.g_02654
OG0000432	Prbc.g_00383	Syai.g_02660
OG0000433	Prbc.g_00382	Syai.g_02662
OG0000434	Prbc.g_00381	Syai.g_02663
OG0000435	Prbc.g_00380	Syai.g_02666
OG0000436	Prbc.g_00375	Syai.g_02671
OG0000437	Prbc.g_00374	Syai.g_02672
OG0000438	Prbc.g_00373	Syai.g_02673
OG0000439	Prbc.g_00371	Syai.g_02675
OG0000440	Prbc.g_00370	Syai.g_02676
OG0000441	Prbc.g_00368	Syai.g_02681
OG0000442	Prbc.g_00367	Syai.g_02682
OG0000443	Prbc.g_00366	Syai.g_02683
OG0000444	Prbc.g_00361	Syai.g_02688
OG0000445	Prbc.g_00360	Syai.g_02689
OG0000446	Prbc.g_00358	Syai.g_02690
OG0000447	Prbc.g_00357	Syai.g_02693
OG0000448	Prbc.g_00356	Syai.g_02694
OG0000449	Prbc.g_00355	Syai.g_02695
OG0000450	Prbc.g_00354	Syai.g_02696
OG0000451	Prbc.g_00353	Syai.g_02697
OG0000452	Prbc.g_00350	Syai.g_02701
OG0000453	Prbc.g_00349	Syai.g_02702
OG0000454	Prbc.g_00348	Syai.g_02703
OG0000455	Prbc.g_00347	Syai.g_02704
OG0000456	Prbc.g_00346	Syai.g_02705
OG0000457	Prbc.g_00345	Syai.g_02707
OG0000458	Prbc.g_00344	Syai.g_02708
OG0000459	Prbc.g_00343	Syai.g_02709
OG0000460	Prbc.g_00335	Syai.g_00535
OG0000461	Prbc.g_01140	Syai.g_00314
OG0000462	Prbc.g_01142	Syai.g_00311
OG0000463	Prbc.g_01143	Syai.g_00310
OG0000464	Prbc.g_01144	Syai.g_00309
OG0000465	Prbc.g_01145	Syai.g_00307
OG0000466	Prbc.g_01146	Syai.g_00303
OG0000467	Prbc.g_01147	Syai.g_00301
OG0000468	Prbc.g_01149	Syai.g_00296
OG0000469	Prbc.g_01156	Syai.g_00282
OG0000470	Prbc.g_01158	Syai.g_00280
OG0000471	Prbc.g_01159	Syai.g_00279
OG0000472	Prbc.g_01160	Syai.g_00277
OG0000473	Prbc.g_01162	Syai.g_00275
OG0000474	Prbc.g_01163	Syai.g_00274
OG0000475	Prbc.g_01164	Syai.g_00273
OG0000476	Prbc.g_01166	Syai.g_00271
OG0000477	Prbc.g_01168	Syai.g_00265
OG0000478	Prbc.g_01169	Syai.g_00264
OG0000479	Prbc.g_01170	Syai.g_00263
OG0000480	Prbc.g_01175	Syai.g_00256
OG0000481	Prbc.g_01177	Syai.g_00254
OG0000482	Prbc.g_01178	Syai.g_00253
OG0000483	Prbc.g_01181	Syai.g_00249
OG0000484	Prbc.g_01182	Syai.g_00248
OG0000485	Prbc.g_01183	Syai.g_00247
OG0000486	Prbc.g_01184	Syai.g_00246
OG0000487	Prbc.g_01187	Syai.g_00240
OG0000488	Prbc.g_01190	Syai.g_00236
OG0000489	Prbc.g_01195	Syai.g_00226
OG0000490	Prbc.g_01200	Syai.g_00218
OG0000491	Prbc.g_01201	Syai.g_00217
OG0000492	Prbc.g_01203	Syai.g_00214
OG0000493	Prbc.g_01204	Syai.g_00213
OG0000494	Prbc.g_01205	Syai.g_00212
OG0000495	Prbc.g_01206	Syai.g_00211
OG0000496	Prbc.g_01207	Syai.g_00210
OG0000497	Prbc.g_01208	Syai.g_00209
OG0000498	Prbc.g_01209	Syai.g_00208
OG0000499	Prbc.g_01210	Syai.g_00207
OG0000500	Prbc.g_01211	Syai.g_00206
OG0000501	Prbc.g_01213	Syai.g_00203
OG0000502	Prbc.g_01216	Syai.g_00192
OG0000503	Prbc.g_01246	Syai.g_00486
OG0000504	Prbc.g_01248	Syai.g_00488
OG0000505	Prbc.g_01249	Syai.g_00489
OG0000506	Prbc.g_01250	Syai.g_00491
OG0000507	Prbc.g_01253	Syai.g_00497
OG0000508	Prbc.g_01256	Syai.g_00501
OG0000509	Prbc.g_01258	Syai.g_00503
OG0000510	Prbc.g_01259	Syai.g_00504
OG0000511	Prbc.g_01260	Syai.g_00505
OG0000512	Prbc.g_01262	Syai.g_00507
OG0000513	Prbc.g_01271	Syai.g_00521
OG0000514	Prbc.g_01492	Syai.g_00528
OG0000515	Prbc.g_01493	Syai.g_00529
OG0000516	Prbc.g_01494	Syai.g_02223
OG0000517	Prbc.g_01496	Syai.g_02229
OG0000518	Prbc.g_01507	Syai.g_02211
OG0000519	Prbc.g_01508	Syai.g_02210
OG0000520	Prbc.g_01509	Syai.g_02209
OG0000521	Prbc.g_01514	Syai.g_00842
OG0000522	Prbc.g_01516	Syai.g_00844
OG0000523	Prbc.g_01517	Syai.g_00845
OG0000524	Prbc.g_01524	Syai.g_00852
OG0000525	Prbc.g_01528	Syai.g_00856
OG0000526	Prbc.g_01529	Syai.g_00859
OG0000527	Prbc.g_01532	Syai.g_00863
OG0000528	Prbc.g_01538	Syai.g_00633
OG0000529	Prbc.g_01541	Syai.g_00639
OG0000530	Prbc.g_01544	Syai.g_00642
OG0000531	Prbc.g_01545	Syai.g_00643
OG0000532	Prbc.g_01546	Syai.g_00646
OG0000533	Prbc.g_01547	Syai.g_00647
OG0000534	Prbc.g_01548	Syai.g_00648
OG0000535	Prbc.g_01549	Syai.g_00649
OG0000536	Prbc.g_01550	Syai.g_00650
OG0000537	Prbc.g_01551	Syai.g_00651
OG0000538	Prbc.g_01580	Syai.g_00662
OG0000539	Prbc.g_01581	Syai.g_00663
OG0000540	Prbc.g_01582	Syai.g_00664
OG0000541	Prbc.g_01583	Syai.g_00665
OG0000542	Prbc.g_01585	Syai.g_00668
OG0000543	Prbc.g_01587	Syai.g_00670
OG0000544	Prbc.g_01588	Syai.g_00671
OG0000545	Prbc.g_01590	Syai.g_00673
OG0000546	Prbc.g_01593	Syai.g_00675
OG0000547	Prbc.g_01595	Syai.g_00677
OG0000548	Prbc.g_01596	Syai.g_00678
OG0000549	Prbc.g_01599	Syai.g_00684
