Orthogroup	Prah	Prax
OG0000059	Prah.g_01485	Prax.g_00662
OG0000060	Prah.g_00873	Prax.g_00452
OG0000061	Prah.g_01812	Prax.g_00421, Prax.g_00457
OG0000062	Prah.g_00641	Prax.g_00351
OG0000063	Prah.g_02425	Prax.g_00148
OG0000065	Prah.g_01778	Prax.g_01581
OG0000066	Prah.g_00312	Prax.g_00727
OG0000067	Prah.g_01027	Prax.g_00944
OG0000070	Prah.g_00915	Prax.g_01204
OG0000071	Prah.g_01257	Prax.g_01959
OG0000072	Prah.g_01364	Prax.g_01899
OG0000074	Prah.g_02192	Prax.g_01832
OG0000075	Prah.g_01995	Prax.g_01338
OG0000076	Prah.g_02196	Prax.g_01838
OG0000077	Prah.g_00013	Prax.g_01974
OG0000078	Prah.g_02187	Prax.g_01783, Prax.g_00853, Prax.g_00852
OG0000079	Prah.g_02538	Prax.g_00792
OG0000080	Prah.g_00445	Prax.g_00973
OG0000081	Prah.g_00974	Prax.g_00951
OG0000082	Prah.g_00660	Prax.g_00366
OG0000083	Prah.g_01190	Prax.g_00501, Prax.g_00530, Prax.g_00301
OG0000084	Prah.g_00796	Prax.g_01129
OG0000085	Prah.g_02597	Prax.g_01254, Prax.g_01759
OG0000086	Prah.g_02524	Prax.g_00161
OG0000088	Prah.g_01081	Prax.g_00448, Prax.g_00508
OG0000090	Prah.g_02191	Prax.g_01825
OG0000091	Prah.g_00398	Prax.g_01720
OG0000092	Prah.g_01609	Prax.g_01600
OG0000093	Prah.g_02043	Prax.g_01286
OG0000094	Prah.g_01999, Prah.g_01797	Prax.g_01335
OG0000095	Prah.g_02230	Prax.g_01368
OG0000096	Prah.g_00052	Prax.g_01439
OG0000098	Prah.g_00004	Prax.g_01493
OG0000099	Prah.g_00029	Prax.g_00290
OG0000101	Prah.g_02458	Prax.g_00624
OG0000102	Prah.g_00194	Prax.g_01106
OG0000103	Prah.g_00176, Prah.g_00180	Prax.g_01097
OG0000104	Prah.g_02268	Prax.g_01079
OG0000105	Prah.g_02308	Prax.g_01048
OG0000106	Prah.g_02324	Prax.g_01034
OG0000107	Prah.g_02352	Prax.g_01026
OG0000108	Prah.g_02362	Prax.g_01016
OG0000109	Prah.g_01773	Prax.g_00979
OG0000110	Prah.g_02089	Prax.g_00488, Prax.g_00924
OG0000111	Prah.g_02126	Prax.g_00901
OG0000113	Prah.g_02155	Prax.g_00878
OG0000114	Prah.g_02207	Prax.g_00848
OG0000115	Prah.g_00311	Prax.g_00728
OG0000116	Prah.g_00313, Prah.g_00314	Prax.g_00726
OG0000117	Prah.g_01566	Prax.g_00722
OG0000118	Prah.g_01544	Prax.g_00702
OG0000119	Prah.g_00108, Prah.g_01503	Prax.g_00669
OG0000120	Prah.g_01501	Prax.g_00668
OG0000121	Prah.g_01476	Prax.g_00004
OG0000122	Prah.g_01465	Prax.g_00013
OG0000123	Prah.g_01428	Prax.g_00044
OG0000124	Prah.g_00474	Prax.g_00110
OG0000125	Prah.g_00473	Prax.g_00111
OG0000126	Prah.g_00472	Prax.g_00112
OG0000127	Prah.g_01758	Prax.g_00956
OG0000128	Prah.g_00885	Prax.g_00483
OG0000129	Prah.g_00752	Prax.g_00463
OG0000130	Prah.g_01231, Prah.g_01233	Prax.g_00388
OG0000131	Prah.g_01823, Prah.g_00669	Prax.g_00375
OG0000132	Prah.g_00605	Prax.g_00339
OG0000133	Prah.g_00699	Prax.g_00578
OG0000134	Prah.g_00692	Prax.g_01769, Prax.g_00588
OG0000135	Prah.g_00805	Prax.g_01133
OG0000136	Prah.g_00912	Prax.g_01201
OG0000137	Prah.g_02526	Prax.g_00164
OG0000139	Prah.g_01315	Prax.g_00206
OG0000140	Prah.g_01237, Prah.g_01238	Prax.g_00257
OG0000141	Prah.g_00905	Prax.g_01789
OG0000142	Prah.g_01378	Prax.g_01887
OG0000143	Prah.g_01576	Prax.g_01863
OG0000144	Prah.g_00424	Prax.g_01746
OG0000145	Prah.g_00407	Prax.g_01727
OG0000146	Prah.g_00361	Prax.g_01691
OG0000147	Prah.g_01653	Prax.g_01651
OG0000148	Prah.g_01654	Prax.g_01650
OG0000149	Prah.g_01672	Prax.g_01561
OG0000150	Prah.g_01725	Prax.g_01523
OG0000151	Prah.g_01728	Prax.g_01520
OG0000152	Prah.g_01762	Prax.g_01257
OG0000153	Prah.g_02038	Prax.g_01297
OG0000154	Prah.g_02001	Prax.g_01333
OG0000155	Prah.g_01981	Prax.g_01351
OG0000156	Prah.g_02244	Prax.g_01379
OG0000157	Prah.g_00089	Prax.g_01411
OG0000158	Prah.g_02578	Prax.g_01473
OG0000160	Prah.g_00002	Prax.g_01491
OG0000161	Prah.g_00003	Prax.g_01492
OG0000162	Prah.g_00005	Prax.g_01494
OG0000163	Prah.g_00006	Prax.g_01495
OG0000164	Prah.g_00007	Prax.g_01496
OG0000165	Prah.g_00008	Prax.g_01497
OG0000166	Prah.g_00010	Prax.g_01498
OG0000167	Prah.g_00011	Prax.g_01499
OG0000168	Prah.g_00012	Prax.g_01975
OG0000169	Prah.g_00014	Prax.g_01973
OG0000170	Prah.g_00016	Prax.g_00299
OG0000171	Prah.g_00017	Prax.g_00298
OG0000172	Prah.g_00022	Prax.g_00297
OG0000173	Prah.g_00023	Prax.g_00296
OG0000174	Prah.g_00024	Prax.g_00295
OG0000175	Prah.g_00025	Prax.g_00294
OG0000176	Prah.g_00026	Prax.g_00293
OG0000177	Prah.g_00027	Prax.g_00292
OG0000178	Prah.g_00028	Prax.g_00291
OG0000179	Prah.g_00030	Prax.g_00289
OG0000180	Prah.g_00031	Prax.g_00288
OG0000181	Prah.g_00032	Prax.g_00287
OG0000182	Prah.g_00033	Prax.g_00286
OG0000183	Prah.g_00034	Prax.g_00285
OG0000184	Prah.g_00036	Prax.g_00284
OG0000185	Prah.g_00041	Prax.g_00281
OG0000186	Prah.g_00046	Prax.g_00278
OG0000187	Prah.g_00047	Prax.g_00277
OG0000188	Prah.g_00048	Prax.g_00276
OG0000189	Prah.g_00049	Prax.g_00273
OG0000190	Prah.g_00051	Prax.g_00271
OG0000191	Prah.g_02488	Prax.g_00270
OG0000192	Prah.g_02486	Prax.g_00269
OG0000193	Prah.g_02485	Prax.g_00261
OG0000194	Prah.g_02478	Prax.g_00621
OG0000195	Prah.g_02471	Prax.g_00622
OG0000196	Prah.g_02466	Prax.g_00623
OG0000197	Prah.g_02457	Prax.g_00625
OG0000198	Prah.g_02454	Prax.g_00626
OG0000199	Prah.g_02453	Prax.g_00627
OG0000200	Prah.g_01830	Prax.g_00635
OG0000201	Prah.g_01833	Prax.g_00636
OG0000202	Prah.g_01834	Prax.g_00637
OG0000203	Prah.g_01838	Prax.g_00640
OG0000204	Prah.g_01839	Prax.g_00641
OG0000205	Prah.g_01843	Prax.g_00644
OG0000206	Prah.g_01845	Prax.g_00646
OG0000207	Prah.g_01849	Prax.g_00648
OG0000208	Prah.g_01850	Prax.g_00649
OG0000209	Prah.g_01211	Prax.g_00650
OG0000210	Prah.g_01851	Prax.g_00651
OG0000211	Prah.g_01859	Prax.g_00652
OG0000212	Prah.g_01860	Prax.g_00653
OG0000213	Prah.g_01861	Prax.g_00654
OG0000214	Prah.g_01862	Prax.g_00655
OG0000215	Prah.g_01863	Prax.g_00656
OG0000216	Prah.g_01864	Prax.g_00657
OG0000217	Prah.g_01866	Prax.g_00659
OG0000218	Prah.g_01867	Prax.g_00660
OG0000219	Prah.g_01873	Prax.g_01128
OG0000220	Prah.g_01877	Prax.g_01127
OG0000221	Prah.g_01882	Prax.g_01124
OG0000222	Prah.g_01883	Prax.g_01123
OG0000223	Prah.g_01884	Prax.g_01122
OG0000224	Prah.g_01886	Prax.g_01121
OG0000225	Prah.g_01887	Prax.g_01120
OG0000226	Prah.g_01888	Prax.g_01119
OG0000227	Prah.g_01890	Prax.g_01118
OG0000228	Prah.g_01891	Prax.g_01117
OG0000229	Prah.g_01892	Prax.g_01116
OG0000230	Prah.g_01893	Prax.g_01115
OG0000231	Prah.g_01894	Prax.g_01114
OG0000232	Prah.g_01896	Prax.g_01113
OG0000233	Prah.g_01897	Prax.g_01112
OG0000234	Prah.g_01898	Prax.g_01111
OG0000235	Prah.g_01901	Prax.g_01110
OG0000236	Prah.g_01906	Prax.g_01109
OG0000237	Prah.g_01908	Prax.g_01108
OG0000238	Prah.g_00195	Prax.g_01107
OG0000239	Prah.g_00193	Prax.g_01105
OG0000240	Prah.g_00191	Prax.g_01103
OG0000241	Prah.g_00189	Prax.g_01102
OG0000242	Prah.g_00188	Prax.g_01101
OG0000243	Prah.g_00183	Prax.g_01098
OG0000244	Prah.g_00175	Prax.g_01096
OG0000245	Prah.g_00174	Prax.g_01095
OG0000246	Prah.g_00173	Prax.g_01094
OG0000247	Prah.g_02252	Prax.g_01091
OG0000248	Prah.g_02254	Prax.g_01089
OG0000249	Prah.g_02257	Prax.g_01088
OG0000250	Prah.g_02259	Prax.g_01087
OG0000251	Prah.g_02260	Prax.g_01086
OG0000252	Prah.g_02261	Prax.g_01085
OG0000253	Prah.g_02262	Prax.g_01084
OG0000254	Prah.g_02264	Prax.g_01082
OG0000255	Prah.g_02265	Prax.g_01081
OG0000256	Prah.g_02269	Prax.g_01078
OG0000257	Prah.g_02280	Prax.g_01076
OG0000258	Prah.g_02282	Prax.g_01073
OG0000259	Prah.g_02283	Prax.g_01072
OG0000260	Prah.g_02284	Prax.g_01071
OG0000261	Prah.g_02285	Prax.g_01070
OG0000262	Prah.g_02286	Prax.g_01069
OG0000263	Prah.g_02288	Prax.g_01067
OG0000264	Prah.g_02289	Prax.g_01066
OG0000265	Prah.g_02290	Prax.g_01065
OG0000266	Prah.g_02291	Prax.g_01064
OG0000267	Prah.g_02292	Prax.g_01063
OG0000268	Prah.g_02294	Prax.g_01062
OG0000269	Prah.g_02296	Prax.g_01060
OG0000270	Prah.g_02297	Prax.g_01059
OG0000271	Prah.g_02298	Prax.g_01058
OG0000272	Prah.g_02299	Prax.g_01057
OG0000273	Prah.g_02300	Prax.g_01056
OG0000274	Prah.g_02301	Prax.g_01055
OG0000275	Prah.g_02302	Prax.g_01054
OG0000276	Prah.g_02303	Prax.g_01053
OG0000277	Prah.g_02305	Prax.g_01051
OG0000278	Prah.g_02306	Prax.g_01050
OG0000279	Prah.g_02307	Prax.g_01049
OG0000280	Prah.g_02309	Prax.g_01047
OG0000281	Prah.g_02310	Prax.g_01045
OG0000282	Prah.g_02311	Prax.g_01044
OG0000283	Prah.g_02312	Prax.g_01043
OG0000284	Prah.g_02313	Prax.g_01042
OG0000285	Prah.g_02314	Prax.g_01041
OG0000286	Prah.g_02315	Prax.g_01040
OG0000287	Prah.g_02316	Prax.g_01039
OG0000288	Prah.g_00709	Prax.g_01037
OG0000289	Prah.g_02321	Prax.g_01036
OG0000290	Prah.g_02323	Prax.g_01035
OG0000291	Prah.g_02334	Prax.g_01033
OG0000292	Prah.g_02336	Prax.g_01032
OG0000293	Prah.g_02339	Prax.g_01031
OG0000294	Prah.g_02341	Prax.g_01030
OG0000295	Prah.g_02344	Prax.g_01029
OG0000296	Prah.g_02345	Prax.g_01028
OG0000297	Prah.g_02350	Prax.g_01027
OG0000298	Prah.g_02353	Prax.g_01025
OG0000299	Prah.g_02354	Prax.g_01024
OG0000300	Prah.g_02355	Prax.g_01023
OG0000301	Prah.g_02356	Prax.g_01022
OG0000302	Prah.g_02357	Prax.g_01021
OG0000303	Prah.g_02358	Prax.g_01020
OG0000304	Prah.g_02360	Prax.g_01018
OG0000305	Prah.g_02361	Prax.g_01017
OG0000306	Prah.g_02364	Prax.g_01014
OG0000307	Prah.g_02365	Prax.g_01013
OG0000308	Prah.g_02370	Prax.g_01012
OG0000309	Prah.g_02371	Prax.g_01011
OG0000310	Prah.g_02372	Prax.g_01010
OG0000311	Prah.g_02420	Prax.g_01009
OG0000312	Prah.g_02419	Prax.g_01008
OG0000313	Prah.g_02418	Prax.g_01007
OG0000314	Prah.g_02417	Prax.g_01006
OG0000315	Prah.g_02415	Prax.g_01005
OG0000316	Prah.g_02411	Prax.g_01004
OG0000317	Prah.g_02410	Prax.g_01003
OG0000318	Prah.g_02409	Prax.g_01002
OG0000319	Prah.g_02403	Prax.g_01001
OG0000320	Prah.g_02402	Prax.g_01000
OG0000321	Prah.g_02400	Prax.g_00999
OG0000322	Prah.g_02399	Prax.g_00998
OG0000323	Prah.g_02398	Prax.g_00997
OG0000324	Prah.g_02397	Prax.g_00996
OG0000325	Prah.g_02396	Prax.g_00995
OG0000326	Prah.g_02395	Prax.g_00994
OG0000327	Prah.g_02394	Prax.g_00993
OG0000328	Prah.g_02392	Prax.g_00992
OG0000329	Prah.g_02391	Prax.g_00991
OG0000330	Prah.g_02390	Prax.g_00990
OG0000331	Prah.g_01786	Prax.g_00989
OG0000332	Prah.g_01411	Prax.g_00988
OG0000333	Prah.g_01412	Prax.g_00987
OG0000334	Prah.g_01413	Prax.g_00986
OG0000335	Prah.g_01782	Prax.g_00985
OG0000336	Prah.g_01781	Prax.g_00983
OG0000337	Prah.g_01779	Prax.g_00982
OG0000338	Prah.g_01772	Prax.g_00978
OG0000339	Prah.g_02074	Prax.g_00933
OG0000340	Prah.g_02078	Prax.g_00931
OG0000341	Prah.g_02079	Prax.g_00930
OG0000342	Prah.g_02080	Prax.g_00929
OG0000343	Prah.g_02082	Prax.g_00928
OG0000344	Prah.g_02087	Prax.g_00925
OG0000345	Prah.g_02098	Prax.g_00922
OG0000346	Prah.g_02099	Prax.g_00921
OG0000347	Prah.g_02101	Prax.g_00918
OG0000348	Prah.g_02103	Prax.g_00916
OG0000349	Prah.g_02105	Prax.g_00915
OG0000350	Prah.g_02111	Prax.g_00913
OG0000351	Prah.g_01785	Prax.g_00912
OG0000352	Prah.g_02114	Prax.g_00911
OG0000353	Prah.g_02115	Prax.g_00910
OG0000354	Prah.g_02117	Prax.g_00909
OG0000355	Prah.g_02118	Prax.g_00908
OG0000356	Prah.g_02119	Prax.g_00907
OG0000357	Prah.g_02120	Prax.g_00906
OG0000358	Prah.g_02121	Prax.g_00905
OG0000359	Prah.g_02123	Prax.g_00904
OG0000360	Prah.g_02128	Prax.g_00900
OG0000361	Prah.g_02129	Prax.g_00899
OG0000362	Prah.g_02130	Prax.g_00898
OG0000363	Prah.g_02132	Prax.g_00897
OG0000364	Prah.g_02137	Prax.g_00893
OG0000365	Prah.g_02138	Prax.g_00892
OG0000366	Prah.g_02140	Prax.g_00890
OG0000367	Prah.g_02142	Prax.g_00889
OG0000368	Prah.g_02143	Prax.g_00888
OG0000369	Prah.g_02144	Prax.g_00887
OG0000370	Prah.g_02145	Prax.g_00886
OG0000371	Prah.g_02146	Prax.g_00885
OG0000372	Prah.g_02147	Prax.g_00884
OG0000373	Prah.g_02148	Prax.g_00883
OG0000374	Prah.g_02151	Prax.g_00881
OG0000375	Prah.g_02152	Prax.g_00880
OG0000376	Prah.g_02156	Prax.g_00877
OG0000377	Prah.g_02157	Prax.g_00876
OG0000378	Prah.g_02158	Prax.g_00875
OG0000379	Prah.g_02159	Prax.g_00874
OG0000380	Prah.g_02166	Prax.g_00873
OG0000381	Prah.g_02167	Prax.g_00872
OG0000382	Prah.g_02168	Prax.g_00871
OG0000383	Prah.g_02170	Prax.g_00870
OG0000384	Prah.g_02172	Prax.g_00867
OG0000385	Prah.g_02173	Prax.g_00866
OG0000386	Prah.g_02174	Prax.g_00865
OG0000387	Prah.g_02175	Prax.g_00864
OG0000388	Prah.g_02176	Prax.g_00863
OG0000389	Prah.g_02177	Prax.g_00862
OG0000390	Prah.g_02178	Prax.g_00861
OG0000391	Prah.g_02179	Prax.g_00860
OG0000392	Prah.g_02180	Prax.g_00859
OG0000393	Prah.g_02181	Prax.g_00858
OG0000394	Prah.g_02182	Prax.g_00857
OG0000395	Prah.g_02183	Prax.g_00856
OG0000396	Prah.g_02186	Prax.g_00854
OG0000397	Prah.g_02197	Prax.g_00850
OG0000398	Prah.g_02199	Prax.g_00849
OG0000399	Prah.g_01956	Prax.g_00846
OG0000400	Prah.g_01949	Prax.g_00845
OG0000401	Prah.g_01948	Prax.g_00844
OG0000402	Prah.g_01940	Prax.g_00839
OG0000403	Prah.g_01938	Prax.g_00838
OG0000404	Prah.g_01937	Prax.g_00837
OG0000405	Prah.g_01935	Prax.g_00835
OG0000406	Prah.g_01930	Prax.g_00832
OG0000407	Prah.g_01929	Prax.g_00831
OG0000408	Prah.g_01922	Prax.g_00828
OG0000409	Prah.g_01921	Prax.g_00827
OG0000410	Prah.g_01920	Prax.g_00826
OG0000411	Prah.g_01919	Prax.g_00825
OG0000412	Prah.g_01918	Prax.g_00824
OG0000413	Prah.g_01917	Prax.g_00823
OG0000414	Prah.g_01916	Prax.g_00822
OG0000415	Prah.g_01915	Prax.g_00821
OG0000416	Prah.g_00204	Prax.g_00818
OG0000417	Prah.g_00205	Prax.g_00817
OG0000418	Prah.g_00208	Prax.g_00816
OG0000419	Prah.g_00209	Prax.g_00815
OG0000420	Prah.g_00579	Prax.g_00814
OG0000421	Prah.g_01837	Prax.g_00802
OG0000422	Prah.g_01661	Prax.g_00795
OG0000423	Prah.g_01181	Prax.g_00794
OG0000424	Prah.g_02072	Prax.g_00790
OG0000425	Prah.g_00218	Prax.g_00769
OG0000426	Prah.g_00219	Prax.g_00768
OG0000427	Prah.g_00221	Prax.g_00767
OG0000428	Prah.g_00229	Prax.g_00765
OG0000429	Prah.g_00230	Prax.g_00764
OG0000430	Prah.g_00232	Prax.g_00762
OG0000431	Prah.g_00233	Prax.g_00761
OG0000432	Prah.g_00234	Prax.g_00760
OG0000433	Prah.g_00235	Prax.g_00759
OG0000434	Prah.g_00237	Prax.g_00758
OG0000435	Prah.g_00238	Prax.g_00757
OG0000436	Prah.g_00239	Prax.g_00756
OG0000437	Prah.g_00240	Prax.g_00755
OG0000438	Prah.g_00241	Prax.g_00754
OG0000439	Prah.g_00242	Prax.g_00753
OG0000440	Prah.g_00247	Prax.g_00752
OG0000441	Prah.g_00251	Prax.g_00751
OG0000442	Prah.g_00252	Prax.g_00750
OG0000443	Prah.g_00253	Prax.g_00749
OG0000444	Prah.g_00254	Prax.g_00748
OG0000445	Prah.g_00255	Prax.g_00747
OG0000446	Prah.g_00257	Prax.g_00746
OG0000447	Prah.g_00258	Prax.g_00745
OG0000448	Prah.g_00261	Prax.g_00743
OG0000449	Prah.g_00290	Prax.g_00740
OG0000450	Prah.g_00291	Prax.g_00739
OG0000451	Prah.g_00294	Prax.g_00738
OG0000452	Prah.g_00304	Prax.g_00737
OG0000453	Prah.g_00306	Prax.g_00736
OG0000454	Prah.g_00308	Prax.g_00731
OG0000455	Prah.g_00310	Prax.g_00729
OG0000456	Prah.g_01575	Prax.g_00725
OG0000457	Prah.g_01572	Prax.g_00724
OG0000458	Prah.g_01567	Prax.g_00723
OG0000459	Prah.g_01565	Prax.g_00721
OG0000460	Prah.g_01563	Prax.g_00719
OG0000461	Prah.g_01562	Prax.g_00718
OG0000462	Prah.g_01561	Prax.g_00717
OG0000463	Prah.g_01558	Prax.g_00715
OG0000464	Prah.g_01556	Prax.g_00714
OG0000465	Prah.g_01555	Prax.g_00713
OG0000466	Prah.g_01554	Prax.g_00712
OG0000467	Prah.g_01553	Prax.g_00711
OG0000468	Prah.g_01552	Prax.g_00709
OG0000469	Prah.g_01551	Prax.g_00708
OG0000470	Prah.g_01550	Prax.g_00707
OG0000471	Prah.g_01549	Prax.g_00706
OG0000472	Prah.g_01541	Prax.g_00701
OG0000473	Prah.g_01540	Prax.g_00700
OG0000474	Prah.g_01539	Prax.g_00699
OG0000475	Prah.g_01538	Prax.g_00698
OG0000476	Prah.g_01535	Prax.g_00696
OG0000477	Prah.g_01534	Prax.g_00695
OG0000478	Prah.g_01533	Prax.g_00694
OG0000479	Prah.g_01532	Prax.g_00693
OG0000480	Prah.g_01530	Prax.g_00691
OG0000481	Prah.g_01529	Prax.g_00689
OG0000482	Prah.g_01528	Prax.g_00688
OG0000483	Prah.g_01526	Prax.g_00686
OG0000484	Prah.g_01525	Prax.g_00685
OG0000485	Prah.g_01524	Prax.g_00684
OG0000486	Prah.g_01519	Prax.g_00683
OG0000487	Prah.g_01514	Prax.g_00678
OG0000488	Prah.g_01513	Prax.g_00676
OG0000489	Prah.g_01512	Prax.g_00675
OG0000490	Prah.g_01510	Prax.g_00674
OG0000491	Prah.g_01509	Prax.g_00673
OG0000492	Prah.g_01505	Prax.g_00672
OG0000493	Prah.g_01094	Prax.g_00671
OG0000494	Prah.g_01035	Prax.g_00670
OG0000495	Prah.g_01500	Prax.g_00667
OG0000496	Prah.g_01498	Prax.g_00666
OG0000497	Prah.g_01496	Prax.g_00665
OG0000498	Prah.g_01495	Prax.g_00664
OG0000499	Prah.g_01489	Prax.g_00663
OG0000500	Prah.g_01484	Prax.g_00001
OG0000501	Prah.g_01482	Prax.g_00002
OG0000502	Prah.g_01480	Prax.g_00003
OG0000503	Prah.g_01474	Prax.g_00005
OG0000504	Prah.g_01473	Prax.g_00006
OG0000505	Prah.g_01472	Prax.g_00007
OG0000506	Prah.g_01470	Prax.g_00008
OG0000507	Prah.g_01469	Prax.g_00009
OG0000508	Prah.g_01468	Prax.g_00010
OG0000509	Prah.g_01467	Prax.g_00011
OG0000510	Prah.g_01466	Prax.g_00012
OG0000511	Prah.g_01464	Prax.g_00014
OG0000512	Prah.g_01463	Prax.g_00015
OG0000513	Prah.g_01462	Prax.g_00016
OG0000514	Prah.g_01461	Prax.g_00017
OG0000515	Prah.g_01460	Prax.g_00018
OG0000516	Prah.g_01459	Prax.g_00019
OG0000517	Prah.g_01458	Prax.g_00021
OG0000518	Prah.g_01457	Prax.g_00022
OG0000519	Prah.g_01454	Prax.g_00023
OG0000520	Prah.g_01452	Prax.g_00024
OG0000521	Prah.g_01451	Prax.g_00025
OG0000522	Prah.g_01450	Prax.g_00026
OG0000523	Prah.g_01449	Prax.g_00027
OG0000524	Prah.g_01448	Prax.g_00028
OG0000525	Prah.g_01446	Prax.g_00029
OG0000526	Prah.g_01445	Prax.g_00030
OG0000527	Prah.g_01444	Prax.g_00031
OG0000528	Prah.g_01443	Prax.g_00032
OG0000529	Prah.g_01441	Prax.g_00033
OG0000530	Prah.g_01440	Prax.g_00034
OG0000531	Prah.g_01439	Prax.g_00035
OG0000532	Prah.g_01438	Prax.g_00036
OG0000533	Prah.g_01434	Prax.g_00038
OG0000534	Prah.g_01433	Prax.g_00039
OG0000535	Prah.g_01432	Prax.g_00040
OG0000536	Prah.g_01431	Prax.g_00041
OG0000537	Prah.g_01430	Prax.g_00042
OG0000538	Prah.g_01429	Prax.g_00043
OG0000539	Prah.g_01425	Prax.g_00046
OG0000540	Prah.g_01424	Prax.g_00047
OG0000541	Prah.g_01423	Prax.g_00048
OG0000542	Prah.g_01417	Prax.g_00050
OG0000543	Prah.g_01416	Prax.g_00051
OG0000544	Prah.g_01415	Prax.g_00052
OG0000545	Prah.g_01414	Prax.g_00053
OG0000546	Prah.g_01408	Prax.g_00054
OG0000547	Prah.g_01407	Prax.g_00055
OG0000548	Prah.g_01406	Prax.g_00056
OG0000549	Prah.g_01404	Prax.g_00058
OG0000550	Prah.g_01403	Prax.g_00059
OG0000551	Prah.g_01402	Prax.g_00060
OG0000552	Prah.g_01401	Prax.g_00061
OG0000553	Prah.g_01400	Prax.g_00062
OG0000554	Prah.g_01399	Prax.g_00063
OG0000555	Prah.g_01396	Prax.g_00064
OG0000556	Prah.g_01394	Prax.g_00065
OG0000557	Prah.g_01393	Prax.g_00066
OG0000558	Prah.g_01392	Prax.g_00067
OG0000559	Prah.g_01391	Prax.g_00068
OG0000560	Prah.g_01390	Prax.g_00069
OG0000561	Prah.g_01389	Prax.g_00070
OG0000562	Prah.g_01388	Prax.g_00071
OG0000563	Prah.g_01387	Prax.g_00072
OG0000564	Prah.g_01385	Prax.g_00073
OG0000565	Prah.g_00532	Prax.g_00074
OG0000566	Prah.g_00531	Prax.g_00075
OG0000567	Prah.g_00530	Prax.g_00076
OG0000568	Prah.g_00529	Prax.g_00077
OG0000569	Prah.g_00526	Prax.g_00080
OG0000570	Prah.g_00525	Prax.g_00081
OG0000571	Prah.g_00523	Prax.g_00083
OG0000572	Prah.g_00518	Prax.g_00084
OG0000573	Prah.g_00517	Prax.g_00085
OG0000574	Prah.g_00516	Prax.g_00086
OG0000575	Prah.g_00513	Prax.g_00087
OG0000576	Prah.g_00510	Prax.g_00088
OG0000577	Prah.g_00509	Prax.g_00089
OG0000578	Prah.g_00506	Prax.g_00090
OG0000579	Prah.g_00505	Prax.g_00091
OG0000580	Prah.g_00504	Prax.g_00092
OG0000581	Prah.g_00503	Prax.g_00093
OG0000582	Prah.g_00501	Prax.g_00094
OG0000583	Prah.g_00500	Prax.g_00095
OG0000584	Prah.g_00498	Prax.g_00097
OG0000585	Prah.g_00497	Prax.g_00098
OG0000586	Prah.g_00495	Prax.g_00099
OG0000587	Prah.g_00494	Prax.g_00100
OG0000588	Prah.g_00493	Prax.g_00101
OG0000589	Prah.g_00486	Prax.g_00102
OG0000590	Prah.g_00485	Prax.g_00103
OG0000591	Prah.g_00484	Prax.g_00104
OG0000592	Prah.g_00483	Prax.g_00105
