Orthogroup	Prah	Pral
OG0000063	Prah.g_02425	Pral.g_00019
OG0000065	Prah.g_01778	Pral.g_00803
OG0000066	Prah.g_00312	Pral.g_00617
OG0000067	Prah.g_01027	Pral.g_01740
OG0000070	Prah.g_00915	Pral.g_01561
OG0000071	Prah.g_01257	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000072	Prah.g_01364	Pral.g_01281
OG0000074	Prah.g_02192	Pral.g_00702
OG0000075	Prah.g_01995	Pral.g_00243
OG0000076	Prah.g_00358	Pral.g_01121
OG0000077	Prah.g_00013	Pral.g_00421
OG0000078	Prah.g_02187	Pral.g_00717
OG0000079	Prah.g_02538	Pral.g_01034
OG0000080	Prah.g_00445	Pral.g_01471
OG0000081	Prah.g_00974	Pral.g_01750
OG0000082	Prah.g_00660	Pral.g_01495
OG0000083	Prah.g_01190	Pral.g_01347
OG0000084	Prah.g_00796	Pral.g_01627
OG0000085	Prah.g_02597	Pral.g_01316
OG0000086	Prah.g_02524	Pral.g_00078, Pral.g_00056
OG0000090	Prah.g_02191	Pral.g_01201
OG0000091	Prah.g_00398	Pral.g_01153
OG0000092	Prah.g_01609	Pral.g_00065
OG0000093	Prah.g_02043	Pral.g_00195
OG0000094	Prah.g_01999	Pral.g_00239
OG0000095	Prah.g_02230	Pral.g_00277
OG0000096	Prah.g_00052	Pral.g_00350
OG0000097	Prah.g_02533	Pral.g_00370
OG0000098	Prah.g_00004	Pral.g_00413
OG0000099	Prah.g_00029	Pral.g_01021
OG0000101	Prah.g_02458	Pral.g_00993
OG0000102	Prah.g_00194	Pral.g_00932
OG0000103	Prah.g_00176, Prah.g_00180	Pral.g_00923
OG0000104	Prah.g_02268	Pral.g_00906
OG0000105	Prah.g_02308	Pral.g_00873
OG0000106	Prah.g_02324	Pral.g_00860
OG0000107	Prah.g_02352	Pral.g_00851
OG0000108	Prah.g_02362	Pral.g_00842
OG0000109	Prah.g_01773	Pral.g_00800
OG0000110	Prah.g_02089	Pral.g_00788
OG0000111	Prah.g_02126	Pral.g_00765
OG0000112	Prah.g_02139	Pral.g_00754
OG0000113	Prah.g_02155	Pral.g_00741
OG0000114	Prah.g_02207	Pral.g_00714
OG0000115	Prah.g_00311	Pral.g_01832, Pral.g_00618
OG0000116	Prah.g_00313, Prah.g_00314	Pral.g_00616
OG0000117	Prah.g_01566	Pral.g_00611
OG0000118	Prah.g_01544	Pral.g_00591
OG0000119	Prah.g_00108, Prah.g_01503	Pral.g_00558
OG0000120	Prah.g_01501	Pral.g_00557
OG0000121	Prah.g_01476	Pral.g_00547
OG0000122	Prah.g_01465	Pral.g_00538
OG0000123	Prah.g_01428	Pral.g_00504
OG0000124	Prah.g_00474	Pral.g_01452
OG0000125	Prah.g_00473	Pral.g_01453
OG0000126	Prah.g_00472	Pral.g_01454
OG0000127	Prah.g_01758	Pral.g_01755
OG0000128	Prah.g_00885	Pral.g_01727
OG0000129	Prah.g_00752	Pral.g_01705
OG0000130	Prah.g_01231, Prah.g_01233	Pral.g_01665
OG0000131	Prah.g_01823, Prah.g_00669	Pral.g_01486
OG0000132	Prah.g_00605	Pral.g_01522
OG0000133	Prah.g_00699	Pral.g_01782
OG0000134	Prah.g_00692	Pral.g_01472
OG0000135	Prah.g_00805	Pral.g_01623
OG0000136	Prah.g_00912	Pral.g_01564
OG0000137	Prah.g_02526	Pral.g_00075
OG0000138	Prah.g_01328	Pral.g_01361
OG0000139	Prah.g_01315	Pral.g_01373, Pral.g_01187
OG0000140	Prah.g_01237, Prah.g_01238	Pral.g_00455
OG0000141	Prah.g_00905	Pral.g_01064
OG0000142	Prah.g_01378	Pral.g_01269
OG0000143	Prah.g_01576	Pral.g_01222
OG0000144	Prah.g_00424	Pral.g_01179
OG0000145	Prah.g_00407	Pral.g_01160
OG0000146	Prah.g_00361	Pral.g_01123
OG0000147	Prah.g_01653	Pral.g_01074
OG0000148	Prah.g_01654	Pral.g_01073
OG0000149	Prah.g_01672	Pral.g_00104
OG0000150	Prah.g_01725	Pral.g_00143
OG0000151	Prah.g_01728	Pral.g_00146
OG0000152	Prah.g_01762	Pral.g_00167
OG0000153	Prah.g_02038	Pral.g_00201
OG0000154	Prah.g_02001	Pral.g_00237
OG0000155	Prah.g_01981	Pral.g_00256
OG0000156	Prah.g_02244	Pral.g_00289
OG0000157	Prah.g_00089	Pral.g_00323
OG0000158	Prah.g_02578	Pral.g_00390
OG0000160	Prah.g_00002	Pral.g_00411
OG0000161	Prah.g_00003	Pral.g_00412
OG0000162	Prah.g_00005	Pral.g_00414
OG0000163	Prah.g_00006	Pral.g_00415
OG0000164	Prah.g_00007	Pral.g_00416
OG0000165	Prah.g_00008	Pral.g_00417
OG0000166	Prah.g_00010	Pral.g_00418
OG0000167	Prah.g_00011	Pral.g_00419
OG0000168	Prah.g_00012	Pral.g_00420
OG0000169	Prah.g_00014	Pral.g_00422
OG0000170	Prah.g_00016	Pral.g_01030
OG0000171	Prah.g_00017	Pral.g_01029
OG0000172	Prah.g_00022	Pral.g_01028
OG0000173	Prah.g_00023	Pral.g_01027
OG0000174	Prah.g_00024	Pral.g_01026
OG0000175	Prah.g_00025	Pral.g_01025
OG0000176	Prah.g_00026	Pral.g_01024
OG0000177	Prah.g_00027	Pral.g_01023
OG0000178	Prah.g_00028	Pral.g_01022
OG0000179	Prah.g_00030	Pral.g_01020
OG0000180	Prah.g_00031	Pral.g_01019
OG0000181	Prah.g_00032	Pral.g_01018
OG0000182	Prah.g_00033	Pral.g_01017
OG0000183	Prah.g_00034	Pral.g_01016
OG0000184	Prah.g_00036	Pral.g_01014
OG0000185	Prah.g_00041	Pral.g_01011
OG0000186	Prah.g_00046	Pral.g_01009
OG0000187	Prah.g_00047	Pral.g_01008
OG0000188	Prah.g_00048	Pral.g_01007
OG0000189	Prah.g_00049	Pral.g_01005
OG0000190	Prah.g_00051	Pral.g_01003
OG0000191	Prah.g_02488	Pral.g_01001
OG0000192	Prah.g_02486	Pral.g_01000
OG0000193	Prah.g_02485	Pral.g_00999
OG0000194	Prah.g_02478	Pral.g_00996
OG0000195	Prah.g_02471	Pral.g_00995
OG0000196	Prah.g_02466	Pral.g_00994
OG0000197	Prah.g_02457	Pral.g_00992
OG0000198	Prah.g_02454	Pral.g_00991
OG0000199	Prah.g_02453	Pral.g_00990
OG0000200	Prah.g_01830	Pral.g_00984
OG0000201	Prah.g_01833	Pral.g_00983
OG0000202	Prah.g_01834	Pral.g_00982
OG0000203	Prah.g_01838	Pral.g_00978
OG0000204	Prah.g_01839	Pral.g_00977
OG0000205	Prah.g_01843	Pral.g_00974
OG0000206	Prah.g_01845	Pral.g_00972
OG0000207	Prah.g_01849	Pral.g_00970
OG0000208	Prah.g_01850	Pral.g_00969
OG0000209	Prah.g_01211	Pral.g_00048
OG0000210	Prah.g_01851	Pral.g_00968
OG0000211	Prah.g_01859	Pral.g_00966
OG0000212	Prah.g_01860	Pral.g_00965
OG0000213	Prah.g_01861	Pral.g_00964
OG0000214	Prah.g_01862	Pral.g_00963
OG0000215	Prah.g_01863	Pral.g_00962
OG0000216	Prah.g_01864	Pral.g_00961
OG0000217	Prah.g_01866	Pral.g_00959
OG0000218	Prah.g_01867	Pral.g_00958
OG0000219	Prah.g_01873	Pral.g_00957
OG0000220	Prah.g_01877	Pral.g_00956
OG0000221	Prah.g_01882	Pral.g_00953
OG0000222	Prah.g_01883	Pral.g_00952
OG0000223	Prah.g_01884	Pral.g_00951
OG0000224	Prah.g_01886	Pral.g_00950
OG0000225	Prah.g_01887	Pral.g_00949
OG0000226	Prah.g_01888	Pral.g_00948
OG0000227	Prah.g_01890	Pral.g_00946
OG0000228	Prah.g_01891	Pral.g_00945
OG0000229	Prah.g_01892	Pral.g_00944
OG0000230	Prah.g_01893	Pral.g_00943
OG0000231	Prah.g_01894	Pral.g_00942
OG0000232	Prah.g_01896	Pral.g_00941
OG0000233	Prah.g_01897	Pral.g_00940
OG0000234	Prah.g_01898	Pral.g_00939
OG0000235	Prah.g_01901	Pral.g_00938
OG0000236	Prah.g_01906	Pral.g_00935
OG0000237	Prah.g_01908	Pral.g_00934
OG0000238	Prah.g_00195	Pral.g_00933
OG0000239	Prah.g_00193	Pral.g_00931
OG0000240	Prah.g_00191	Pral.g_00930
OG0000241	Prah.g_00189	Pral.g_00929
OG0000242	Prah.g_00188	Pral.g_00928
OG0000243	Prah.g_00183	Pral.g_00925
OG0000244	Prah.g_00175	Pral.g_00922
OG0000245	Prah.g_00174	Pral.g_00921
OG0000246	Prah.g_00173	Pral.g_00920
OG0000247	Prah.g_02252	Pral.g_00918
OG0000248	Prah.g_02254	Pral.g_00916
OG0000249	Prah.g_02257	Pral.g_00914
OG0000250	Prah.g_02259	Pral.g_00913
OG0000251	Prah.g_02260	Pral.g_00912
OG0000252	Prah.g_02261	Pral.g_00911
OG0000253	Prah.g_02262	Pral.g_00910
OG0000254	Prah.g_02264	Pral.g_00450
OG0000255	Prah.g_02265	Pral.g_00908
OG0000256	Prah.g_02269	Pral.g_00905
OG0000257	Prah.g_02280	Pral.g_00903
OG0000258	Prah.g_02282	Pral.g_00900
OG0000259	Prah.g_02283	Pral.g_00899
OG0000260	Prah.g_02284	Pral.g_00898
OG0000261	Prah.g_02285	Pral.g_00897
OG0000262	Prah.g_02286	Pral.g_00896
OG0000263	Prah.g_02288	Pral.g_00894
OG0000264	Prah.g_02289	Pral.g_00893
OG0000265	Prah.g_02290	Pral.g_00892
OG0000266	Prah.g_02291	Pral.g_00891
OG0000267	Prah.g_02292	Pral.g_00890
OG0000268	Prah.g_02294	Pral.g_00888
OG0000269	Prah.g_02296	Pral.g_00886
OG0000270	Prah.g_02297	Pral.g_00885
OG0000271	Prah.g_02298	Pral.g_00884
OG0000272	Prah.g_02299	Pral.g_00883
OG0000273	Prah.g_02300	Pral.g_00882
OG0000274	Prah.g_02301	Pral.g_00881
OG0000275	Prah.g_02302	Pral.g_00880
OG0000276	Prah.g_02303	Pral.g_00879
OG0000277	Prah.g_02305	Pral.g_00877
OG0000278	Prah.g_02306	Pral.g_00875
OG0000279	Prah.g_02307	Pral.g_00874
OG0000280	Prah.g_02309	Pral.g_00872
OG0000281	Prah.g_02310	Pral.g_00871
OG0000282	Prah.g_02311	Pral.g_00870
OG0000283	Prah.g_02312	Pral.g_00869
OG0000284	Prah.g_02313	Pral.g_00868
OG0000285	Prah.g_02314	Pral.g_00867
OG0000286	Prah.g_02315	Pral.g_00866
OG0000287	Prah.g_02316	Pral.g_00865
OG0000288	Prah.g_00709	Pral.g_00863
OG0000289	Prah.g_02321	Pral.g_00862
OG0000290	Prah.g_02323	Pral.g_00861
OG0000291	Prah.g_02334	Pral.g_00859
OG0000292	Prah.g_02336	Pral.g_00857
OG0000293	Prah.g_02339	Pral.g_00856
OG0000294	Prah.g_02341	Pral.g_00855
OG0000295	Prah.g_02344	Pral.g_00854
OG0000296	Prah.g_02345	Pral.g_00853
OG0000297	Prah.g_02350	Pral.g_00852
OG0000298	Prah.g_02353	Pral.g_00850
OG0000299	Prah.g_02354	Pral.g_00849
OG0000300	Prah.g_02355	Pral.g_00848
OG0000301	Prah.g_02356	Pral.g_00847
OG0000302	Prah.g_02357	Pral.g_00846
OG0000303	Prah.g_02358	Pral.g_00845
OG0000304	Prah.g_02360	Pral.g_00844
OG0000305	Prah.g_02361	Pral.g_00843
OG0000306	Prah.g_02364	Pral.g_00840
OG0000307	Prah.g_02365	Pral.g_00839
OG0000308	Prah.g_02370	Pral.g_00838
OG0000309	Prah.g_02371	Pral.g_00837
OG0000310	Prah.g_02372	Pral.g_00836
OG0000311	Prah.g_02420	Pral.g_00835
OG0000312	Prah.g_02419	Pral.g_00834
OG0000313	Prah.g_02418	Pral.g_00833
OG0000314	Prah.g_02417	Pral.g_00832
OG0000315	Prah.g_02415	Pral.g_00831
OG0000316	Prah.g_02411	Pral.g_00830
OG0000317	Prah.g_02410	Pral.g_00829
OG0000318	Prah.g_02409	Pral.g_00828
OG0000319	Prah.g_02403	Pral.g_00827
OG0000320	Prah.g_02402	Pral.g_00826
OG0000321	Prah.g_02400	Pral.g_00825
OG0000322	Prah.g_02399	Pral.g_00824
OG0000323	Prah.g_02398	Pral.g_00823
OG0000324	Prah.g_02397	Pral.g_00822
OG0000325	Prah.g_02396	Pral.g_00821
OG0000326	Prah.g_02395	Pral.g_00820
OG0000327	Prah.g_02394	Pral.g_00819
OG0000328	Prah.g_02392	Pral.g_00817
OG0000329	Prah.g_02391	Pral.g_00816
OG0000330	Prah.g_02390	Pral.g_00815
OG0000331	Prah.g_01786	Pral.g_00812
OG0000332	Prah.g_01411	Pral.g_00811
OG0000333	Prah.g_01412	Pral.g_00810
OG0000334	Prah.g_01413	Pral.g_00809
OG0000335	Prah.g_01782	Pral.g_00807
OG0000336	Prah.g_01781	Pral.g_00805
OG0000337	Prah.g_01779	Pral.g_00804
OG0000338	Prah.g_01772	Pral.g_00799
OG0000339	Prah.g_02074	Pral.g_00796
OG0000340	Prah.g_02078	Pral.g_00795
OG0000341	Prah.g_02079	Pral.g_00794
OG0000342	Prah.g_02080	Pral.g_00793
OG0000343	Prah.g_02082	Pral.g_00792
OG0000344	Prah.g_02087	Pral.g_00789
OG0000345	Prah.g_02098	Pral.g_00785
OG0000346	Prah.g_02099	Pral.g_00784
OG0000347	Prah.g_02101	Pral.g_00781
OG0000348	Prah.g_02103	Pral.g_00780
OG0000349	Prah.g_02105	Pral.g_00779
OG0000350	Prah.g_02111	Pral.g_00777
OG0000351	Prah.g_01785	Pral.g_00776
OG0000352	Prah.g_02114	Pral.g_00775
OG0000353	Prah.g_02115	Pral.g_00774
OG0000354	Prah.g_02117	Pral.g_00773
OG0000355	Prah.g_02118	Pral.g_00772
OG0000356	Prah.g_02119	Pral.g_00771
OG0000357	Prah.g_02120	Pral.g_00770
OG0000358	Prah.g_02121	Pral.g_00769
OG0000359	Prah.g_02123	Pral.g_00767
OG0000360	Prah.g_02128	Pral.g_00764
OG0000361	Prah.g_02129	Pral.g_00763
OG0000362	Prah.g_02130	Pral.g_00762
OG0000363	Prah.g_02132	Pral.g_00761
OG0000364	Prah.g_02137	Pral.g_00756
OG0000365	Prah.g_02138	Pral.g_00755
OG0000366	Prah.g_02140	Pral.g_00753
OG0000367	Prah.g_02142	Pral.g_00752
OG0000368	Prah.g_02143	Pral.g_00751
OG0000369	Prah.g_02144	Pral.g_00750
OG0000370	Prah.g_02145	Pral.g_00749
OG0000371	Prah.g_02146	Pral.g_00748
OG0000372	Prah.g_02147	Pral.g_00747
OG0000373	Prah.g_02148	Pral.g_00746
OG0000374	Prah.g_02151	Pral.g_00744
OG0000375	Prah.g_02152	Pral.g_00743
OG0000376	Prah.g_02156	Pral.g_00740
OG0000377	Prah.g_02157	Pral.g_00739
OG0000378	Prah.g_02158	Pral.g_00738
OG0000379	Prah.g_02159	Pral.g_00737
OG0000380	Prah.g_02166	Pral.g_00736
OG0000381	Prah.g_02167	Pral.g_00735
OG0000382	Prah.g_02168	Pral.g_00734
OG0000383	Prah.g_02170	Pral.g_00733
OG0000384	Prah.g_02172	Pral.g_00731
OG0000385	Prah.g_02173	Pral.g_00730
OG0000386	Prah.g_02174	Pral.g_00729
OG0000387	Prah.g_02175	Pral.g_00728
OG0000388	Prah.g_02176	Pral.g_00727
OG0000389	Prah.g_02177	Pral.g_00726
OG0000390	Prah.g_02178	Pral.g_00725
OG0000391	Prah.g_02179	Pral.g_00724
OG0000392	Prah.g_02180	Pral.g_00723
OG0000393	Prah.g_02181	Pral.g_00722
OG0000394	Prah.g_02182	Pral.g_00721
OG0000395	Prah.g_02183	Pral.g_00720
OG0000396	Prah.g_02186	Pral.g_00718
OG0000397	Prah.g_02197	Pral.g_00716
OG0000398	Prah.g_02199	Pral.g_00715
OG0000399	Prah.g_01956	Pral.g_00712
OG0000400	Prah.g_01949	Pral.g_00706
OG0000401	Prah.g_01948	Pral.g_00705
OG0000402	Prah.g_01940	Pral.g_00698
OG0000403	Prah.g_01938	Pral.g_00696
OG0000404	Prah.g_01937	Pral.g_00695
OG0000405	Prah.g_01935	Pral.g_00694
OG0000406	Prah.g_01930	Pral.g_00691
OG0000407	Prah.g_01929	Pral.g_00690
OG0000408	Prah.g_01922	Pral.g_00687
OG0000409	Prah.g_01921	Pral.g_00686
OG0000410	Prah.g_01920	Pral.g_00685
OG0000411	Prah.g_01919	Pral.g_00684
OG0000412	Prah.g_01918	Pral.g_00683
OG0000413	Prah.g_01917	Pral.g_00682
OG0000414	Prah.g_01916	Pral.g_00681
OG0000415	Prah.g_01915	Pral.g_00680
OG0000416	Prah.g_00204	Pral.g_00677
OG0000417	Prah.g_00205	Pral.g_00676
OG0000418	Prah.g_00208	Pral.g_00674
OG0000419	Prah.g_00209	Pral.g_00673
OG0000420	Prah.g_00579	Pral.g_01541
OG0000421	Prah.g_01837	Pral.g_01322
OG0000422	Prah.g_01661	Pral.g_01039
OG0000423	Prah.g_01181	Pral.g_01840
OG0000424	Prah.g_02072	Pral.g_00171
OG0000425	Prah.g_00218	Pral.g_00663
OG0000426	Prah.g_00219	Pral.g_00662
OG0000427	Prah.g_00221	Pral.g_00661
OG0000428	Prah.g_00229	Pral.g_00659
OG0000429	Prah.g_00230	Pral.g_00658
OG0000430	Prah.g_00232	Pral.g_00656
OG0000431	Prah.g_00233	Pral.g_00655
OG0000432	Prah.g_00234	Pral.g_00654
OG0000433	Prah.g_00235	Pral.g_00653
OG0000434	Prah.g_00237	Pral.g_00651
OG0000435	Prah.g_00238	Pral.g_00650
OG0000436	Prah.g_00239	Pral.g_00649
OG0000437	Prah.g_00240	Pral.g_00648
OG0000438	Prah.g_00241	Pral.g_00647
OG0000439	Prah.g_00242	Pral.g_00646
OG0000440	Prah.g_00247	Pral.g_00645
OG0000441	Prah.g_00251	Pral.g_00644
OG0000442	Prah.g_00252	Pral.g_00643
OG0000443	Prah.g_00253	Pral.g_00642
OG0000444	Prah.g_00254	Pral.g_00641
OG0000445	Prah.g_00255	Pral.g_00635
OG0000446	Prah.g_00257	Pral.g_00633
OG0000447	Prah.g_00258	Pral.g_00632
OG0000448	Prah.g_00261	Pral.g_00631
OG0000449	Prah.g_00290	Pral.g_00627
OG0000450	Prah.g_00291	Pral.g_00626
OG0000451	Prah.g_00294	Pral.g_00625
OG0000452	Prah.g_00304	Pral.g_00623
OG0000453	Prah.g_00306	Pral.g_00622
OG0000454	Prah.g_00308	Pral.g_00621
OG0000455	Prah.g_00310	Pral.g_00619
OG0000456	Prah.g_01575	Pral.g_00615
OG0000457	Prah.g_01572	Pral.g_00613
OG0000458	Prah.g_01567	Pral.g_00612
OG0000459	Prah.g_01565	Pral.g_00610
OG0000460	Prah.g_01563	Pral.g_00608
OG0000461	Prah.g_01562	Pral.g_00607
OG0000462	Prah.g_01561	Pral.g_00606
OG0000463	Prah.g_01558	Pral.g_00603
OG0000464	Prah.g_01556	Pral.g_00602
OG0000465	Prah.g_01555	Pral.g_00601
OG0000466	Prah.g_01554	Pral.g_00600
OG0000467	Prah.g_01553	Pral.g_00599
OG0000468	Prah.g_01552	Pral.g_00598
OG0000469	Prah.g_01551	Pral.g_00597
OG0000470	Prah.g_01550	Pral.g_00596
OG0000471	Prah.g_01549	Pral.g_00595
OG0000472	Prah.g_01541	Pral.g_00590
OG0000473	Prah.g_01540	Pral.g_00589
OG0000474	Prah.g_01539	Pral.g_00588
OG0000475	Prah.g_01538	Pral.g_00587
OG0000476	Prah.g_01535	Pral.g_00585
OG0000477	Prah.g_01534	Pral.g_00584
OG0000478	Prah.g_01533	Pral.g_00583
OG0000479	Prah.g_01532	Pral.g_00582
OG0000480	Prah.g_01530	Pral.g_00580
OG0000481	Prah.g_01529	Pral.g_00578
OG0000482	Prah.g_01528	Pral.g_00577
OG0000483	Prah.g_01526	Pral.g_00575
OG0000484	Prah.g_01525	Pral.g_00574
OG0000485	Prah.g_01524	Pral.g_00573
OG0000486	Prah.g_01519	Pral.g_00571
OG0000487	Prah.g_01514	Pral.g_00566
OG0000488	Prah.g_01513	Pral.g_00565
OG0000489	Prah.g_01512	Pral.g_00564
OG0000490	Prah.g_01510	Pral.g_00563
OG0000491	Prah.g_01509	Pral.g_00562
OG0000492	Prah.g_01505	Pral.g_00561
OG0000493	Prah.g_01094	Pral.g_00560
OG0000494	Prah.g_01035	Pral.g_00559
OG0000495	Prah.g_01500	Pral.g_00556
OG0000496	Prah.g_01498	Pral.g_00555
OG0000497	Prah.g_01496	Pral.g_00554
OG0000498	Prah.g_01495	Pral.g_00553
OG0000499	Prah.g_01489	Pral.g_00552
OG0000500	Prah.g_01484	Pral.g_00550
OG0000501	Prah.g_01482	Pral.g_00549
OG0000502	Prah.g_01480	Pral.g_00548
OG0000503	Prah.g_01474	Pral.g_00546
OG0000504	Prah.g_01473	Pral.g_00545
OG0000505	Prah.g_01472	Pral.g_00544
OG0000506	Prah.g_01470	Pral.g_00543
OG0000507	Prah.g_01469	Pral.g_00542
OG0000508	Prah.g_01468	Pral.g_00541
OG0000509	Prah.g_01467	Pral.g_00540
OG0000510	Prah.g_01466	Pral.g_00539
OG0000511	Prah.g_01464	Pral.g_00537
OG0000512	Prah.g_01463	Pral.g_00536
OG0000513	Prah.g_01462	Pral.g_00535
OG0000514	Prah.g_01461	Pral.g_00534
OG0000515	Prah.g_01460	Pral.g_00533
OG0000516	Prah.g_01459	Pral.g_00532
OG0000517	Prah.g_01458	Pral.g_00530
OG0000518	Prah.g_01457	Pral.g_00529
OG0000519	Prah.g_01454	Pral.g_00527
OG0000520	Prah.g_01452	Pral.g_00525
OG0000521	Prah.g_01451	Pral.g_00524
OG0000522	Prah.g_01450	Pral.g_00523
OG0000523	Prah.g_01449	Pral.g_00522
OG0000524	Prah.g_01448	Pral.g_00521
OG0000525	Prah.g_01446	Pral.g_00520
OG0000526	Prah.g_01445	Pral.g_00519
OG0000527	Prah.g_01444	Pral.g_00518
OG0000528	Prah.g_01443	Pral.g_00516
OG0000529	Prah.g_01441	Pral.g_00515
OG0000530	Prah.g_01440	Pral.g_00514
OG0000531	Prah.g_01439	Pral.g_00513
OG0000532	Prah.g_01438	Pral.g_00512
OG0000533	Prah.g_01434	Pral.g_00510
OG0000534	Prah.g_01433	Pral.g_00509
OG0000535	Prah.g_01432	Pral.g_00508
OG0000536	Prah.g_01431	Pral.g_00507
OG0000537	Prah.g_01430	Pral.g_00506
OG0000538	Prah.g_01429	Pral.g_00505
OG0000539	Prah.g_01425	Pral.g_00503
OG0000540	Prah.g_01424	Pral.g_00502
OG0000541	Prah.g_01423	Pral.g_00501
OG0000542	Prah.g_01417	Pral.g_00498
OG0000543	Prah.g_01416	Pral.g_00497
OG0000544	Prah.g_01415	Pral.g_00496
OG0000545	Prah.g_01414	Pral.g_00495
OG0000546	Prah.g_01408	Pral.g_00494
OG0000547	Prah.g_01407	Pral.g_00493
OG0000548	Prah.g_01406	Pral.g_00492
OG0000549	Prah.g_01404	Pral.g_00490
OG0000550	Prah.g_01403	Pral.g_00489
OG0000551	Prah.g_01402	Pral.g_00488
OG0000552	Prah.g_01401	Pral.g_00487
OG0000553	Prah.g_01400	Pral.g_00486
OG0000554	Prah.g_01399	Pral.g_00485
OG0000555	Prah.g_01396	Pral.g_00483
OG0000556	Prah.g_01394	Pral.g_00482
OG0000557	Prah.g_01393	Pral.g_00481
OG0000558	Prah.g_01392	Pral.g_00480
OG0000559	Prah.g_01391	Pral.g_00479
OG0000560	Prah.g_01390	Pral.g_00478
OG0000561	Prah.g_01389	Pral.g_00477
OG0000562	Prah.g_01388	Pral.g_00476
OG0000563	Prah.g_01387	Pral.g_00475
OG0000564	Prah.g_01385	Pral.g_00474
OG0000565	Prah.g_00532	Pral.g_00472
OG0000566	Prah.g_00531	Pral.g_00471
OG0000567	Prah.g_00530	Pral.g_00470
OG0000568	Prah.g_00529	Pral.g_00469
OG0000569	Prah.g_00526	Pral.g_00466
OG0000570	Prah.g_00525	Pral.g_00465
OG0000571	Prah.g_00523	Pral.g_00464
OG0000572	Prah.g_00518	Pral.g_00462
OG0000573	Prah.g_00517	Pral.g_00461
OG0000574	Prah.g_00516	Pral.g_00460
OG0000575	Prah.g_00513	Pral.g_00459
OG0000576	Prah.g_00510	Pral.g_00458
OG0000577	Prah.g_00509	Pral.g_01430
OG0000578	Prah.g_00506	Pral.g_01432
OG0000579	Prah.g_00505	Pral.g_01433
OG0000580	Prah.g_00504	Pral.g_01434
OG0000581	Prah.g_00503	Pral.g_01435
OG0000582	Prah.g_00501	Pral.g_01436
OG0000583	Prah.g_00500	Pral.g_01437
OG0000584	Prah.g_00498	Pral.g_01439
OG0000585	Prah.g_00497	Pral.g_01440
