Orthogroup	Prah	Prab
OG0000078	Prah.g_02187	Prab.g_00310
OG0000079	Prah.g_02538	Prab.g_00371
OG0000080	Prah.g_00445	Prab.g_00674
OG0000081	Prah.g_00974	Prab.g_00696
OG0000082	Prah.g_00660	Prab.g_00847
OG0000083	Prah.g_01190	Prab.g_01100
OG0000084	Prah.g_00796	Prab.g_01010
OG0000085	Prah.g_02597	Prab.g_01144
OG0000086	Prah.g_02524	Prab.g_01186
OG0000088	Prah.g_01081	Prab.g_01635, Prab.g_00394, Prab.g_01645
OG0000090	Prah.g_02191	Prab.g_01394
OG0000091	Prah.g_00398	Prab.g_01474, Prab.g_01413
OG0000092	Prah.g_01609	Prab.g_00922, Prab.g_01290
OG0000094	Prah.g_01999, Prah.g_01797	Prab.g_01799
OG0000095	Prah.g_02230	Prab.g_01832
OG0000096	Prah.g_00052	Prab.g_01902
OG0000097	Prah.g_02533	Prab.g_01920
OG0000098	Prah.g_00004	Prab.g_00003
OG0000099	Prah.g_00029	Prab.g_00023
OG0000101	Prah.g_02458	Prab.g_00048
OG0000102	Prah.g_00194	Prab.g_00104
OG0000103	Prah.g_00176, Prah.g_00180	Prab.g_00112
OG0000104	Prah.g_02268	Prab.g_00129
OG0000105	Prah.g_02308	Prab.g_00161
OG0000106	Prah.g_02324	Prab.g_00175
OG0000107	Prah.g_02352	Prab.g_00183
OG0000108	Prah.g_02362	Prab.g_00193
OG0000109	Prah.g_01773	Prab.g_00229
OG0000110	Prah.g_02089	Prab.g_00241
OG0000111	Prah.g_02126	Prab.g_00262
OG0000113	Prah.g_02155	Prab.g_00285
OG0000114	Prah.g_02207	Prab.g_00313
OG0000115	Prah.g_00311	Prab.g_00478
OG0000116	Prah.g_00313, Prah.g_00314	Prab.g_00480
OG0000117	Prah.g_01566	Prab.g_00484
OG0000118	Prah.g_01544	Prab.g_00503
OG0000119	Prah.g_00108, Prah.g_01503	Prab.g_00536
OG0000120	Prah.g_01501	Prab.g_00537
OG0000121	Prah.g_01476	Prab.g_00547
OG0000122	Prah.g_01465	Prab.g_00556
OG0000123	Prah.g_01428	Prab.g_00588
OG0000124	Prah.g_00474	Prab.g_00656
OG0000125	Prah.g_00473	Prab.g_00657
OG0000126	Prah.g_00472	Prab.g_00658
OG0000127	Prah.g_01758	Prab.g_00691
OG0000128	Prah.g_00885	Prab.g_00725
OG0000129	Prah.g_00752	Prab.g_00745
OG0000130	Prah.g_01231, Prah.g_01233	Prab.g_00825
OG0000131	Prah.g_01823, Prah.g_00669	Prab.g_00838
OG0000132	Prah.g_00605	Prab.g_00873
OG0000133	Prah.g_00699	Prab.g_01052
OG0000134	Prah.g_00692	Prab.g_01042
OG0000135	Prah.g_00805	Prab.g_01006
OG0000136	Prah.g_00912	Prab.g_00932
OG0000137	Prah.g_02526	Prab.g_01189
OG0000138	Prah.g_01328	Prab.g_01214
OG0000139	Prah.g_01315	Prab.g_01225
OG0000140	Prah.g_01237, Prah.g_01238	Prab.g_01276
OG0000141	Prah.g_00905	Prab.g_01284
OG0000142	Prah.g_01378	Prab.g_01338
OG0000143	Prah.g_01576	Prab.g_01360
OG0000144	Prah.g_00424	Prab.g_01453
OG0000145	Prah.g_00407	Prab.g_01467
OG0000146	Prah.g_00361	Prab.g_01503
OG0000147	Prah.g_01653	Prab.g_01543
OG0000148	Prah.g_01654	Prab.g_01544
OG0000149	Prah.g_01672	Prab.g_01667
OG0000150	Prah.g_01725	Prab.g_01705
OG0000151	Prah.g_01728	Prab.g_01708
OG0000152	Prah.g_01762	Prab.g_01727
OG0000153	Prah.g_02038	Prab.g_01761
OG0000154	Prah.g_02001	Prab.g_01797
OG0000155	Prah.g_01981	Prab.g_01815
OG0000156	Prah.g_02244	Prab.g_01842
OG0000157	Prah.g_00089	Prab.g_01874
OG0000158	Prah.g_02578	Prab.g_01937
OG0000160	Prah.g_00002	Prab.g_00001
OG0000161	Prah.g_00003	Prab.g_00002
OG0000162	Prah.g_00005	Prab.g_00004
OG0000163	Prah.g_00006	Prab.g_00005
OG0000164	Prah.g_00007	Prab.g_00006
OG0000165	Prah.g_00008	Prab.g_00007
OG0000166	Prah.g_00010	Prab.g_00008
OG0000167	Prah.g_00011	Prab.g_00009
OG0000168	Prah.g_00012	Prab.g_00010
OG0000169	Prah.g_00014	Prab.g_00012
OG0000170	Prah.g_00016	Prab.g_00014
OG0000171	Prah.g_00017	Prab.g_00015
OG0000172	Prah.g_00022	Prab.g_00016
OG0000173	Prah.g_00023	Prab.g_00017
OG0000174	Prah.g_00024	Prab.g_00018
OG0000175	Prah.g_00025	Prab.g_00019
OG0000176	Prah.g_00026	Prab.g_00020
OG0000177	Prah.g_00027	Prab.g_00021
OG0000178	Prah.g_00028	Prab.g_00022
OG0000179	Prah.g_00030	Prab.g_00024
OG0000180	Prah.g_00031	Prab.g_00025
OG0000181	Prah.g_00032	Prab.g_00026
OG0000182	Prah.g_00033	Prab.g_00027
OG0000183	Prah.g_00034	Prab.g_00028
OG0000184	Prah.g_00036	Prab.g_00029
OG0000185	Prah.g_00041	Prab.g_00032
OG0000186	Prah.g_00046	Prab.g_00035
OG0000187	Prah.g_00047	Prab.g_00036
OG0000188	Prah.g_00048	Prab.g_00037
OG0000189	Prah.g_00049	Prab.g_00039
OG0000190	Prah.g_00051	Prab.g_00041
OG0000191	Prah.g_02488	Prab.g_00042
OG0000192	Prah.g_02486	Prab.g_00043
OG0000193	Prah.g_02485	Prab.g_00044
OG0000194	Prah.g_02478	Prab.g_00045
OG0000195	Prah.g_02471	Prab.g_00046
OG0000196	Prah.g_02466	Prab.g_00047
OG0000197	Prah.g_02457	Prab.g_00049
OG0000198	Prah.g_02454	Prab.g_00050
OG0000199	Prah.g_02453	Prab.g_00051
OG0000200	Prah.g_01830	Prab.g_00056
OG0000201	Prah.g_01833	Prab.g_00057
OG0000202	Prah.g_01834	Prab.g_00058
OG0000203	Prah.g_01838	Prab.g_00061
OG0000204	Prah.g_01839	Prab.g_00062
OG0000205	Prah.g_01843	Prab.g_00065
OG0000206	Prah.g_01845	Prab.g_00067
OG0000207	Prah.g_01849	Prab.g_00069
OG0000208	Prah.g_01850	Prab.g_00070
OG0000209	Prah.g_01211	Prab.g_00071
OG0000210	Prah.g_01851	Prab.g_00072
OG0000211	Prah.g_01859	Prab.g_00073
OG0000212	Prah.g_01860	Prab.g_00074
OG0000213	Prah.g_01861	Prab.g_00075
OG0000214	Prah.g_01862	Prab.g_00076
OG0000215	Prah.g_01863	Prab.g_00077
OG0000216	Prah.g_01864	Prab.g_00078
OG0000217	Prah.g_01866	Prab.g_00080
OG0000218	Prah.g_01867	Prab.g_00081
OG0000219	Prah.g_01873	Prab.g_00082
OG0000220	Prah.g_01877	Prab.g_00083
OG0000221	Prah.g_01882	Prab.g_00085
OG0000222	Prah.g_01883	Prab.g_00086
OG0000223	Prah.g_01884	Prab.g_00087
OG0000224	Prah.g_01886	Prab.g_00088
OG0000225	Prah.g_01887	Prab.g_00089
OG0000226	Prah.g_01888	Prab.g_00090
OG0000227	Prah.g_01890	Prab.g_00091
OG0000228	Prah.g_01891	Prab.g_00092
OG0000229	Prah.g_01892	Prab.g_00093
OG0000230	Prah.g_01893	Prab.g_00094
OG0000231	Prah.g_01894	Prab.g_00095
OG0000232	Prah.g_01896	Prab.g_00097
OG0000233	Prah.g_01897	Prab.g_00098
OG0000234	Prah.g_01898	Prab.g_00099
OG0000235	Prah.g_01901	Prab.g_00100
OG0000236	Prah.g_01906	Prab.g_00101
OG0000237	Prah.g_01908	Prab.g_00102
OG0000238	Prah.g_00195	Prab.g_00103
OG0000239	Prah.g_00193	Prab.g_00105
OG0000240	Prah.g_00191	Prab.g_00106
OG0000241	Prah.g_00189	Prab.g_00107
OG0000242	Prah.g_00188	Prab.g_00108
OG0000243	Prah.g_00183	Prab.g_00111
OG0000244	Prah.g_00175	Prab.g_00113
OG0000245	Prah.g_00174	Prab.g_00114
OG0000246	Prah.g_00173	Prab.g_00115
OG0000247	Prah.g_02252	Prab.g_00117
OG0000248	Prah.g_02254	Prab.g_00119
OG0000249	Prah.g_02257	Prab.g_00120
OG0000250	Prah.g_02259	Prab.g_00121
OG0000251	Prah.g_02260	Prab.g_00122
OG0000252	Prah.g_02261	Prab.g_00123
OG0000253	Prah.g_02262	Prab.g_00124
OG0000254	Prah.g_02264	Prab.g_00126
OG0000255	Prah.g_02265	Prab.g_00127
OG0000256	Prah.g_02269	Prab.g_00130
OG0000257	Prah.g_02280	Prab.g_00132
OG0000258	Prah.g_02282	Prab.g_00136
OG0000259	Prah.g_02283	Prab.g_00137
OG0000260	Prah.g_02284	Prab.g_00138
OG0000261	Prah.g_02285	Prab.g_00139
OG0000262	Prah.g_02286	Prab.g_00140
OG0000263	Prah.g_02288	Prab.g_00142
OG0000264	Prah.g_02289	Prab.g_00143
OG0000265	Prah.g_02290	Prab.g_00144
OG0000266	Prah.g_02291	Prab.g_00145
OG0000267	Prah.g_02292	Prab.g_00146
OG0000268	Prah.g_02294	Prab.g_00147
OG0000269	Prah.g_02296	Prab.g_00149
OG0000270	Prah.g_02297	Prab.g_00150
OG0000271	Prah.g_02298	Prab.g_00151
OG0000272	Prah.g_02299	Prab.g_00152
OG0000273	Prah.g_02300	Prab.g_00153
OG0000274	Prah.g_02301	Prab.g_00154
OG0000275	Prah.g_02302	Prab.g_00155
OG0000276	Prah.g_02303	Prab.g_00156
OG0000277	Prah.g_02305	Prab.g_00158
OG0000278	Prah.g_02306	Prab.g_00159
OG0000279	Prah.g_02307	Prab.g_00160
OG0000280	Prah.g_02309	Prab.g_00162
OG0000281	Prah.g_02310	Prab.g_00164
OG0000282	Prah.g_02311	Prab.g_00165
OG0000283	Prah.g_02312	Prab.g_00166
OG0000284	Prah.g_02313	Prab.g_00167
OG0000285	Prah.g_02314	Prab.g_00168
OG0000286	Prah.g_02315	Prab.g_00169
OG0000287	Prah.g_02316	Prab.g_00170
OG0000288	Prah.g_00709	Prab.g_00172
OG0000289	Prah.g_02321	Prab.g_00173
OG0000290	Prah.g_02323	Prab.g_00174
OG0000291	Prah.g_02334	Prab.g_00176
OG0000292	Prah.g_02336	Prab.g_00177
OG0000293	Prah.g_02339	Prab.g_00178
OG0000294	Prah.g_02341	Prab.g_00179
OG0000295	Prah.g_02344	Prab.g_00180
OG0000296	Prah.g_02345	Prab.g_00181
OG0000297	Prah.g_02350	Prab.g_00182
OG0000298	Prah.g_02353	Prab.g_00184
OG0000299	Prah.g_02354	Prab.g_00185
OG0000300	Prah.g_02355	Prab.g_00186
OG0000301	Prah.g_02356	Prab.g_00187
OG0000302	Prah.g_02357	Prab.g_00188
OG0000303	Prah.g_02358	Prab.g_00189
OG0000304	Prah.g_02360	Prab.g_00191
OG0000305	Prah.g_02361	Prab.g_00192
OG0000306	Prah.g_02364	Prab.g_00195
OG0000307	Prah.g_02365	Prab.g_00196
OG0000308	Prah.g_02370	Prab.g_00197
OG0000309	Prah.g_02371	Prab.g_00198
OG0000310	Prah.g_02372	Prab.g_00199
OG0000311	Prah.g_02420	Prab.g_00200
OG0000312	Prah.g_02419	Prab.g_00201
OG0000313	Prah.g_02418	Prab.g_00202
OG0000314	Prah.g_02417	Prab.g_00203
OG0000315	Prah.g_02415	Prab.g_00204
OG0000316	Prah.g_02411	Prab.g_00205
OG0000317	Prah.g_02410	Prab.g_00206
OG0000318	Prah.g_02409	Prab.g_00207
OG0000319	Prah.g_02403	Prab.g_00208
OG0000320	Prah.g_02402	Prab.g_00209
OG0000321	Prah.g_02400	Prab.g_00210
OG0000322	Prah.g_02399	Prab.g_00211
OG0000323	Prah.g_02398	Prab.g_00212
OG0000324	Prah.g_02397	Prab.g_00213
OG0000325	Prah.g_02396	Prab.g_00214
OG0000326	Prah.g_02395	Prab.g_00215
OG0000327	Prah.g_02394	Prab.g_00216
OG0000328	Prah.g_02392	Prab.g_00217
OG0000329	Prah.g_02391	Prab.g_00218
OG0000330	Prah.g_02390	Prab.g_00219
OG0000331	Prah.g_01786	Prab.g_00220
OG0000332	Prah.g_01411	Prab.g_00221
OG0000333	Prah.g_01412	Prab.g_00222
OG0000334	Prah.g_01413	Prab.g_00223
OG0000335	Prah.g_01782	Prab.g_00224
OG0000336	Prah.g_01781	Prab.g_00226
OG0000337	Prah.g_01779	Prab.g_00227
OG0000338	Prah.g_01772	Prab.g_00230
OG0000339	Prah.g_02074	Prab.g_00232
OG0000340	Prah.g_02078	Prab.g_00234
OG0000341	Prah.g_02079	Prab.g_00235
OG0000342	Prah.g_02080	Prab.g_00236
OG0000343	Prah.g_02082	Prab.g_00237
OG0000344	Prah.g_02087	Prab.g_00240
OG0000345	Prah.g_02098	Prab.g_00243
OG0000346	Prah.g_02099	Prab.g_00244
OG0000347	Prah.g_02101	Prab.g_00247
OG0000348	Prah.g_02103	Prab.g_00248
OG0000349	Prah.g_02105	Prab.g_00249
OG0000350	Prah.g_02111	Prab.g_00251
OG0000351	Prah.g_01785	Prab.g_00252
OG0000352	Prah.g_02114	Prab.g_00253
OG0000353	Prah.g_02115	Prab.g_00254
OG0000354	Prah.g_02117	Prab.g_00255
OG0000355	Prah.g_02118	Prab.g_00256
OG0000356	Prah.g_02119	Prab.g_00257
OG0000357	Prah.g_02120	Prab.g_00258
OG0000358	Prah.g_02121	Prab.g_00259
OG0000359	Prah.g_02123	Prab.g_00260
OG0000360	Prah.g_02128	Prab.g_00263
OG0000361	Prah.g_02129	Prab.g_00264
OG0000362	Prah.g_02130	Prab.g_00265
OG0000363	Prah.g_02132	Prab.g_00266
OG0000364	Prah.g_02137	Prab.g_00270
OG0000365	Prah.g_02138	Prab.g_00271
OG0000366	Prah.g_02140	Prab.g_00273
OG0000367	Prah.g_02142	Prab.g_00274
OG0000368	Prah.g_02143	Prab.g_00275
OG0000369	Prah.g_02144	Prab.g_00276
OG0000370	Prah.g_02145	Prab.g_00277
OG0000371	Prah.g_02146	Prab.g_00278
OG0000372	Prah.g_02147	Prab.g_00279
OG0000373	Prah.g_02148	Prab.g_00280
OG0000374	Prah.g_02151	Prab.g_00282
OG0000375	Prah.g_02152	Prab.g_00283
OG0000376	Prah.g_02156	Prab.g_00286
OG0000377	Prah.g_02157	Prab.g_00287
OG0000378	Prah.g_02158	Prab.g_00288
OG0000379	Prah.g_02159	Prab.g_00289
OG0000380	Prah.g_02166	Prab.g_00290
OG0000381	Prah.g_02167	Prab.g_00291
OG0000382	Prah.g_02168	Prab.g_00292
OG0000383	Prah.g_02170	Prab.g_00293
OG0000384	Prah.g_02172	Prab.g_00296
OG0000385	Prah.g_02173	Prab.g_00297
OG0000386	Prah.g_02174	Prab.g_00298
OG0000387	Prah.g_02175	Prab.g_00299
OG0000388	Prah.g_02176	Prab.g_00300
OG0000389	Prah.g_02177	Prab.g_00301
OG0000390	Prah.g_02178	Prab.g_00302
OG0000391	Prah.g_02179	Prab.g_00303
OG0000392	Prah.g_02180	Prab.g_00304
OG0000393	Prah.g_02181	Prab.g_00305
OG0000394	Prah.g_02182	Prab.g_00306
OG0000395	Prah.g_02183	Prab.g_00307
OG0000396	Prah.g_02186	Prab.g_00309
OG0000397	Prah.g_02197	Prab.g_00311
OG0000398	Prah.g_02199	Prab.g_00312
OG0000399	Prah.g_01956	Prab.g_00315
OG0000400	Prah.g_01949	Prab.g_00316
OG0000401	Prah.g_01948	Prab.g_00317
OG0000402	Prah.g_01940	Prab.g_00322
OG0000403	Prah.g_01938	Prab.g_00323
OG0000404	Prah.g_01937	Prab.g_00324
OG0000405	Prah.g_01935	Prab.g_00325
OG0000406	Prah.g_01930	Prab.g_00328
OG0000407	Prah.g_01929	Prab.g_00329
OG0000408	Prah.g_01922	Prab.g_00332
OG0000409	Prah.g_01921	Prab.g_00333
OG0000410	Prah.g_01920	Prab.g_00334
OG0000411	Prah.g_01919	Prab.g_00335
OG0000412	Prah.g_01918	Prab.g_00336
OG0000413	Prah.g_01917	Prab.g_00337
OG0000414	Prah.g_01916	Prab.g_00338
OG0000415	Prah.g_01915	Prab.g_00339
OG0000416	Prah.g_00204	Prab.g_00342
OG0000417	Prah.g_00205	Prab.g_00343
OG0000418	Prah.g_00208	Prab.g_00344
OG0000419	Prah.g_00209	Prab.g_00345
OG0000420	Prah.g_00579	Prab.g_00347
OG0000421	Prah.g_01837	Prab.g_00360
OG0000422	Prah.g_01661	Prab.g_00367
OG0000423	Prah.g_01181	Prab.g_00368
OG0000424	Prah.g_02072	Prab.g_00375
OG0000425	Prah.g_00218	Prab.g_00434
OG0000426	Prah.g_00219	Prab.g_00435
OG0000427	Prah.g_00221	Prab.g_00436
OG0000428	Prah.g_00229	Prab.g_00438
OG0000429	Prah.g_00230	Prab.g_00439
OG0000430	Prah.g_00232	Prab.g_00441
OG0000431	Prah.g_00233	Prab.g_00442
OG0000432	Prah.g_00234	Prab.g_00443
OG0000433	Prah.g_00235	Prab.g_00444
OG0000434	Prah.g_00237	Prab.g_00445
OG0000435	Prah.g_00238	Prab.g_00446
OG0000436	Prah.g_00239	Prab.g_00447
OG0000437	Prah.g_00240	Prab.g_00448
OG0000438	Prah.g_00241	Prab.g_00449
OG0000439	Prah.g_00242	Prab.g_00450
OG0000440	Prah.g_00247	Prab.g_00454
OG0000441	Prah.g_00251	Prab.g_00455
OG0000442	Prah.g_00252	Prab.g_00456
OG0000443	Prah.g_00253	Prab.g_00457
OG0000444	Prah.g_00254	Prab.g_00458
OG0000445	Prah.g_00255	Prab.g_00459
OG0000446	Prah.g_00257	Prab.g_00460
OG0000447	Prah.g_00258	Prab.g_00461
OG0000448	Prah.g_00261	Prab.g_00463
OG0000449	Prah.g_00290	Prab.g_00466
OG0000450	Prah.g_00291	Prab.g_00467
OG0000451	Prah.g_00294	Prab.g_00468
OG0000452	Prah.g_00304	Prab.g_00469
OG0000453	Prah.g_00306	Prab.g_00470
OG0000454	Prah.g_00308	Prab.g_00475
OG0000455	Prah.g_00310	Prab.g_00477
OG0000456	Prah.g_01575	Prab.g_00481
OG0000457	Prah.g_01572	Prab.g_00482
OG0000458	Prah.g_01567	Prab.g_00483
OG0000459	Prah.g_01565	Prab.g_00485
OG0000460	Prah.g_01563	Prab.g_00487
OG0000461	Prah.g_01562	Prab.g_00488
OG0000462	Prah.g_01561	Prab.g_00489
OG0000463	Prah.g_01558	Prab.g_00491
OG0000464	Prah.g_01556	Prab.g_00492
OG0000465	Prah.g_01555	Prab.g_00493
OG0000466	Prah.g_01554	Prab.g_00494
OG0000467	Prah.g_01553	Prab.g_00495
OG0000468	Prah.g_01552	Prab.g_00496
OG0000469	Prah.g_01551	Prab.g_00497
OG0000470	Prah.g_01550	Prab.g_00498
OG0000471	Prah.g_01549	Prab.g_00499
OG0000472	Prah.g_01541	Prab.g_00504
OG0000473	Prah.g_01540	Prab.g_00505
OG0000474	Prah.g_01539	Prab.g_00506
OG0000475	Prah.g_01538	Prab.g_00507
OG0000476	Prah.g_01535	Prab.g_00509
OG0000477	Prah.g_01534	Prab.g_00510
OG0000478	Prah.g_01533	Prab.g_00511
OG0000479	Prah.g_01532	Prab.g_00512
OG0000480	Prah.g_01530	Prab.g_00514
OG0000481	Prah.g_01529	Prab.g_00516
OG0000482	Prah.g_01528	Prab.g_00517
OG0000483	Prah.g_01526	Prab.g_00519
OG0000484	Prah.g_01525	Prab.g_00520
OG0000485	Prah.g_01524	Prab.g_00521
OG0000486	Prah.g_01519	Prab.g_00522
OG0000487	Prah.g_01514	Prab.g_00527
OG0000488	Prah.g_01513	Prab.g_00529
OG0000489	Prah.g_01512	Prab.g_00530
OG0000490	Prah.g_01510	Prab.g_00531
OG0000491	Prah.g_01509	Prab.g_00532
OG0000492	Prah.g_01505	Prab.g_00533
OG0000493	Prah.g_01094	Prab.g_00534
OG0000494	Prah.g_01035	Prab.g_00535
OG0000495	Prah.g_01500	Prab.g_00538
OG0000496	Prah.g_01498	Prab.g_00539
OG0000497	Prah.g_01496	Prab.g_00540
OG0000498	Prah.g_01495	Prab.g_00541
OG0000499	Prah.g_01489	Prab.g_00542
OG0000500	Prah.g_01484	Prab.g_00544
OG0000501	Prah.g_01482	Prab.g_00545
OG0000502	Prah.g_01480	Prab.g_00546
OG0000503	Prah.g_01474	Prab.g_00548
OG0000504	Prah.g_01473	Prab.g_00549
OG0000505	Prah.g_01472	Prab.g_00550
OG0000506	Prah.g_01470	Prab.g_00551
OG0000507	Prah.g_01469	Prab.g_00552
OG0000508	Prah.g_01468	Prab.g_00553
OG0000509	Prah.g_01467	Prab.g_00554
OG0000510	Prah.g_01466	Prab.g_00555
OG0000511	Prah.g_01464	Prab.g_00557
OG0000512	Prah.g_01463	Prab.g_00558
OG0000513	Prah.g_01462	Prab.g_00559
OG0000514	Prah.g_01461	Prab.g_00560
OG0000515	Prah.g_01460	Prab.g_00561
OG0000516	Prah.g_01459	Prab.g_00562
OG0000517	Prah.g_01458	Prab.g_00564
OG0000518	Prah.g_01457	Prab.g_00565
OG0000519	Prah.g_01454	Prab.g_00566
OG0000520	Prah.g_01452	Prab.g_00568
OG0000521	Prah.g_01451	Prab.g_00569
OG0000522	Prah.g_01450	Prab.g_00570
OG0000523	Prah.g_01449	Prab.g_00571
OG0000524	Prah.g_01448	Prab.g_00572
OG0000525	Prah.g_01446	Prab.g_00573
OG0000526	Prah.g_01445	Prab.g_00574
OG0000527	Prah.g_01444	Prab.g_00575
OG0000528	Prah.g_01443	Prab.g_00576
OG0000529	Prah.g_01441	Prab.g_00577
OG0000530	Prah.g_01440	Prab.g_00578
OG0000531	Prah.g_01439	Prab.g_00579
OG0000532	Prah.g_01438	Prab.g_00580
OG0000533	Prah.g_01434	Prab.g_00582
OG0000534	Prah.g_01433	Prab.g_00583
OG0000535	Prah.g_01432	Prab.g_00584
OG0000536	Prah.g_01431	Prab.g_00585
OG0000537	Prah.g_01430	Prab.g_00586
OG0000538	Prah.g_01429	Prab.g_00587
OG0000539	Prah.g_01425	Prab.g_00590
OG0000540	Prah.g_01424	Prab.g_00591
OG0000541	Prah.g_01423	Prab.g_00592
OG0000542	Prah.g_01417	Prab.g_00595
OG0000543	Prah.g_01416	Prab.g_00596
OG0000544	Prah.g_01415	Prab.g_00597
OG0000545	Prah.g_01414	Prab.g_00598
OG0000546	Prah.g_01408	Prab.g_00599
OG0000547	Prah.g_01407	Prab.g_00600
OG0000548	Prah.g_01406	Prab.g_00601
OG0000549	Prah.g_01404	Prab.g_00603
OG0000550	Prah.g_01403	Prab.g_00604
OG0000551	Prah.g_01402	Prab.g_00605
OG0000552	Prah.g_01401	Prab.g_00606
OG0000553	Prah.g_01400	Prab.g_00607
OG0000554	Prah.g_01399	Prab.g_00608
OG0000555	Prah.g_01396	Prab.g_00609
OG0000556	Prah.g_01394	Prab.g_00610
OG0000557	Prah.g_01393	Prab.g_00611
OG0000558	Prah.g_01392	Prab.g_00612
OG0000559	Prah.g_01391	Prab.g_00613
OG0000560	Prah.g_01390	Prab.g_00614
OG0000561	Prah.g_01389	Prab.g_00615
OG0000562	Prah.g_01388	Prab.g_00616
OG0000563	Prah.g_01387	Prab.g_00617
OG0000564	Prah.g_01385	Prab.g_00618
OG0000565	Prah.g_00532	Prab.g_00619
OG0000566	Prah.g_00531	Prab.g_00620
OG0000567	Prah.g_00530	Prab.g_00621
OG0000568	Prah.g_00529	Prab.g_00622
OG0000569	Prah.g_00526	Prab.g_00625
OG0000570	Prah.g_00525	Prab.g_00626
OG0000571	Prah.g_00523	Prab.g_00629
OG0000572	Prah.g_00518	Prab.g_00630
OG0000573	Prah.g_00517	Prab.g_00631
OG0000574	Prah.g_00516	Prab.g_00632
OG0000575	Prah.g_00513	Prab.g_00633
OG0000576	Prah.g_00510	Prab.g_00634
OG0000577	Prah.g_00509	Prab.g_00635
OG0000578	Prah.g_00506	Prab.g_00636
OG0000579	Prah.g_00505	Prab.g_00637
OG0000580	Prah.g_00504	Prab.g_00638
OG0000581	Prah.g_00503	Prab.g_00639
OG0000582	Prah.g_00501	Prab.g_00640
OG0000583	Prah.g_00500	Prab.g_00641
OG0000584	Prah.g_00498	Prab.g_00643
OG0000585	Prah.g_00497	Prab.g_00644
OG0000586	Prah.g_00495	Prab.g_00645
OG0000587	Prah.g_00494	Prab.g_00646
OG0000588	Prah.g_00493	Prab.g_00647
OG0000589	Prah.g_00486	Prab.g_00648
OG0000590	Prah.g_00485	Prab.g_00649
