Orthogroup	Pran	Prbi
OG0000108	Pran.g_01635	Prbi.g_00546
OG0000109	Pran.g_01626	Prbi.g_00555
OG0000110	Pran.g_01609	Prbi.g_00571
OG0000111	Pran.g_01527	Prbi.g_00654
OG0000112	Pran.g_01526	Prbi.g_00655
OG0000113	Pran.g_01438	Prbi.g_00767
OG0000114	Pran.g_01345	Prbi.g_00845
OG0000115	Pran.g_00487	Prbi.g_01009
OG0000116	Pran.g_00491	Prbi.g_01013
OG0000117	Pran.g_00565	Prbi.g_01083
OG0000118	Pran.g_00135	Prbi.g_01136
OG0000119	Pran.g_00090	Prbi.g_01177
OG0000120	Pran.g_00054	Prbi.g_01213
OG0000121	Pran.g_00035	Prbi.g_01232
OG0000122	Pran.g_00016	Prbi.g_01251
OG0000123	Pran.g_00003	Prbi.g_01264
OG0000124	Pran.g_00918	Prbi.g_01277
OG0000125	Pran.g_00864	Prbi.g_01403
OG0000126	Pran.g_00841	Prbi.g_01439
OG0000127	Pran.g_00746	Prbi.g_01576
OG0000128	Pran.g_00732	Prbi.g_01592
OG0000129	Pran.g_00696	Prbi.g_01627
OG0000130	Pran.g_00968	Prbi.g_01785
OG0000131	Pran.g_01006	Prbi.g_01823
OG0000132	Pran.g_01009	Prbi.g_01826
OG0000133	Pran.g_01063	Prbi.g_01897
OG0000134	Pran.g_01100	Prbi.g_01933
OG0000135	Pran.g_01102	Prbi.g_01935
OG0000136	Pran.g_01145	Prbi.g_01979
OG0000137	Pran.g_01177	Prbi.g_02011
OG0000138	Pran.g_01212	Prbi.g_02059
OG0000139	Pran.g_01239	Prbi.g_02086
OG0000140	Pran.g_01258	Prbi.g_00001
OG0000141	Pran.g_01259	Prbi.g_00002
OG0000142	Pran.g_01261	Prbi.g_00004
OG0000143	Pran.g_01262	Prbi.g_00005
OG0000144	Pran.g_01264	Prbi.g_00007
OG0000145	Pran.g_01265	Prbi.g_00008
OG0000146	Pran.g_01266	Prbi.g_00009
OG0000147	Pran.g_01267	Prbi.g_00010
OG0000148	Pran.g_01269	Prbi.g_00012
OG0000149	Pran.g_00410	Prbi.g_00014
OG0000150	Pran.g_00409	Prbi.g_00015
OG0000151	Pran.g_00408	Prbi.g_00016
OG0000152	Pran.g_00407	Prbi.g_00017
OG0000153	Pran.g_00406	Prbi.g_00018
OG0000154	Pran.g_00405	Prbi.g_00019
OG0000155	Pran.g_00404	Prbi.g_00020
OG0000156	Pran.g_00403	Prbi.g_00021
OG0000157	Pran.g_00402	Prbi.g_00022
OG0000158	Pran.g_00400	Prbi.g_00024
OG0000159	Pran.g_00399	Prbi.g_00025
OG0000160	Pran.g_00398	Prbi.g_00026
OG0000161	Pran.g_00397	Prbi.g_00027
OG0000162	Pran.g_00396	Prbi.g_00028
OG0000163	Pran.g_00395	Prbi.g_00029
OG0000164	Pran.g_00392	Prbi.g_00032
OG0000165	Pran.g_00389	Prbi.g_00035
OG0000166	Pran.g_00388	Prbi.g_00036
OG0000167	Pran.g_00387	Prbi.g_00037
OG0000168	Pran.g_00385	Prbi.g_00049
OG0000169	Pran.g_00383	Prbi.g_00051
OG0000170	Pran.g_00382	Prbi.g_00052
OG0000171	Pran.g_00381	Prbi.g_00053
OG0000172	Pran.g_00380	Prbi.g_00056
OG0000173	Pran.g_00379	Prbi.g_00057
OG0000174	Pran.g_00378	Prbi.g_00058
OG0000175	Pran.g_00377	Prbi.g_00059
OG0000176	Pran.g_00375	Prbi.g_00061
OG0000177	Pran.g_00374	Prbi.g_00062
OG0000178	Pran.g_00373	Prbi.g_00063
OG0000179	Pran.g_00368	Prbi.g_00071
OG0000180	Pran.g_00367	Prbi.g_00072
OG0000181	Pran.g_00366	Prbi.g_00073
OG0000182	Pran.g_00363	Prbi.g_00076
OG0000183	Pran.g_00362	Prbi.g_00077
OG0000184	Pran.g_00359	Prbi.g_00080
OG0000185	Pran.g_00355	Prbi.g_00084
OG0000186	Pran.g_00354	Prbi.g_00085
OG0000187	Pran.g_00353	Prbi.g_00086
OG0000188	Pran.g_00352	Prbi.g_00087
OG0000189	Pran.g_00351	Prbi.g_00088
OG0000190	Pran.g_00350	Prbi.g_00089
OG0000191	Pran.g_00349	Prbi.g_00090
OG0000192	Pran.g_00348	Prbi.g_00091
OG0000193	Pran.g_00347	Prbi.g_00092
OG0000194	Pran.g_00346	Prbi.g_00093
OG0000195	Pran.g_00344	Prbi.g_00095
OG0000196	Pran.g_00343	Prbi.g_00096
OG0000197	Pran.g_00342	Prbi.g_00097
OG0000198	Pran.g_00341	Prbi.g_00098
OG0000199	Pran.g_00339	Prbi.g_00101
OG0000200	Pran.g_00338	Prbi.g_00102
OG0000201	Pran.g_00337	Prbi.g_00103
OG0000202	Pran.g_00336	Prbi.g_00104
OG0000203	Pran.g_00335	Prbi.g_00105
OG0000204	Pran.g_00334	Prbi.g_00106
OG0000205	Pran.g_00333	Prbi.g_00107
OG0000206	Pran.g_00332	Prbi.g_00108
OG0000207	Pran.g_00331	Prbi.g_00109
OG0000208	Pran.g_00330	Prbi.g_00110
OG0000209	Pran.g_00329	Prbi.g_00111
OG0000210	Pran.g_00327	Prbi.g_00113
OG0000211	Pran.g_00326	Prbi.g_00114
OG0000212	Pran.g_00325	Prbi.g_00115
OG0000213	Pran.g_00324	Prbi.g_00116
OG0000214	Pran.g_00322	Prbi.g_00118
OG0000215	Pran.g_00321	Prbi.g_00119
OG0000216	Pran.g_00319	Prbi.g_00121
OG0000217	Pran.g_00318	Prbi.g_00123
OG0000218	Pran.g_00317	Prbi.g_00124
OG0000219	Pran.g_00316	Prbi.g_00125
OG0000220	Pran.g_00313	Prbi.g_00128
OG0000221	Pran.g_00311	Prbi.g_00130
OG0000222	Pran.g_00310	Prbi.g_00131
OG0000223	Pran.g_00309	Prbi.g_00132
OG0000224	Pran.g_00307	Prbi.g_00135
OG0000225	Pran.g_00305	Prbi.g_00137
OG0000226	Pran.g_00304	Prbi.g_00138
OG0000227	Pran.g_00303	Prbi.g_00139
OG0000228	Pran.g_00302	Prbi.g_00140
OG0000229	Pran.g_00301	Prbi.g_00141
OG0000230	Pran.g_00300	Prbi.g_00142
OG0000231	Pran.g_00298	Prbi.g_00144
OG0000232	Pran.g_00297	Prbi.g_00145
OG0000233	Pran.g_00294	Prbi.g_00148
OG0000234	Pran.g_00292	Prbi.g_00150
OG0000235	Pran.g_00288	Prbi.g_00169
OG0000236	Pran.g_00287	Prbi.g_00170
OG0000237	Pran.g_00286	Prbi.g_00171
OG0000238	Pran.g_00285	Prbi.g_00172
OG0000239	Pran.g_00283	Prbi.g_00173
OG0000240	Pran.g_00281	Prbi.g_00175
OG0000241	Pran.g_00280	Prbi.g_00176
OG0000242	Pran.g_00279	Prbi.g_00177
OG0000243	Pran.g_00278	Prbi.g_00178
OG0000244	Pran.g_00277	Prbi.g_00179
OG0000245	Pran.g_00276	Prbi.g_00180
OG0000246	Pran.g_00274	Prbi.g_00182
OG0000247	Pran.g_00273	Prbi.g_00183
OG0000248	Pran.g_00272	Prbi.g_00184
OG0000249	Pran.g_00271	Prbi.g_00185
OG0000250	Pran.g_00270	Prbi.g_00186
OG0000251	Pran.g_00269	Prbi.g_00187
OG0000252	Pran.g_00268	Prbi.g_00188
OG0000253	Pran.g_00267	Prbi.g_00189
OG0000254	Pran.g_00265	Prbi.g_00191
OG0000255	Pran.g_00264	Prbi.g_00192
OG0000256	Pran.g_00261	Prbi.g_00195
OG0000257	Pran.g_00259	Prbi.g_00197
OG0000258	Pran.g_00258	Prbi.g_00198
OG0000259	Pran.g_00257	Prbi.g_00199
OG0000260	Pran.g_00256	Prbi.g_00200
OG0000261	Pran.g_00255	Prbi.g_00201
OG0000262	Pran.g_00254	Prbi.g_00202
OG0000263	Pran.g_00253	Prbi.g_00203
OG0000264	Pran.g_00251	Prbi.g_00205
OG0000265	Pran.g_00250	Prbi.g_00206
OG0000266	Pran.g_00249	Prbi.g_00207
OG0000267	Pran.g_00247	Prbi.g_00209
OG0000268	Pran.g_00246	Prbi.g_00210
OG0000269	Pran.g_00245	Prbi.g_00211
OG0000270	Pran.g_00244	Prbi.g_00212
OG0000271	Pran.g_00243	Prbi.g_00213
OG0000272	Pran.g_00242	Prbi.g_00214
OG0000273	Pran.g_00241	Prbi.g_00215
OG0000274	Pran.g_00240	Prbi.g_00216
OG0000275	Pran.g_00239	Prbi.g_00217
OG0000276	Pran.g_00238	Prbi.g_00218
OG0000277	Pran.g_00237	Prbi.g_00219
OG0000278	Pran.g_00236	Prbi.g_00220
OG0000279	Pran.g_00235	Prbi.g_00221
OG0000280	Pran.g_00234	Prbi.g_00222
OG0000281	Pran.g_00232	Prbi.g_00224
OG0000282	Pran.g_00231	Prbi.g_00225
OG0000283	Pran.g_00228	Prbi.g_00228
OG0000284	Pran.g_00227	Prbi.g_00229
OG0000285	Pran.g_00226	Prbi.g_00230
OG0000286	Pran.g_00224	Prbi.g_00232
OG0000287	Pran.g_00223	Prbi.g_00233
OG0000288	Pran.g_00222	Prbi.g_00234
OG0000289	Pran.g_00221	Prbi.g_00235
OG0000290	Pran.g_00220	Prbi.g_00236
OG0000291	Pran.g_00219	Prbi.g_00237
OG0000292	Pran.g_00218	Prbi.g_00238
OG0000293	Pran.g_00217	Prbi.g_00239
OG0000294	Pran.g_00216	Prbi.g_00240
OG0000295	Pran.g_00215	Prbi.g_00241
OG0000296	Pran.g_00214	Prbi.g_00242
OG0000297	Pran.g_00213	Prbi.g_00243
OG0000298	Pran.g_00212	Prbi.g_00244
OG0000299	Pran.g_00211	Prbi.g_00245
OG0000300	Pran.g_00210	Prbi.g_00246
OG0000301	Pran.g_00209	Prbi.g_00247
OG0000302	Pran.g_00208	Prbi.g_00248
OG0000303	Pran.g_00207	Prbi.g_00249
OG0000304	Pran.g_00206	Prbi.g_00250
OG0000305	Pran.g_00205	Prbi.g_00251
OG0000306	Pran.g_00204	Prbi.g_00252
OG0000307	Pran.g_00203	Prbi.g_00253
OG0000308	Pran.g_00202	Prbi.g_00254
OG0000309	Pran.g_00201	Prbi.g_00255
OG0000310	Pran.g_00200	Prbi.g_00256
OG0000311	Pran.g_00199	Prbi.g_00257
OG0000312	Pran.g_00197	Prbi.g_00259
OG0000313	Pran.g_00196	Prbi.g_00260
OG0000314	Pran.g_00194	Prbi.g_00263
OG0000315	Pran.g_00193	Prbi.g_00264
OG0000316	Pran.g_01950	Prbi.g_00266
OG0000317	Pran.g_01948	Prbi.g_00268
OG0000318	Pran.g_01947	Prbi.g_00269
OG0000319	Pran.g_01946	Prbi.g_00270
OG0000320	Pran.g_01945	Prbi.g_00271
OG0000321	Pran.g_01942	Prbi.g_00274
OG0000322	Pran.g_01939	Prbi.g_00277
OG0000323	Pran.g_01938	Prbi.g_00278
OG0000324	Pran.g_01935	Prbi.g_00281
OG0000325	Pran.g_01934	Prbi.g_00283
OG0000326	Pran.g_01933	Prbi.g_00284
OG0000327	Pran.g_01931	Prbi.g_00286
OG0000328	Pran.g_01930	Prbi.g_00287
OG0000329	Pran.g_01929	Prbi.g_00288
OG0000330	Pran.g_01928	Prbi.g_00289
OG0000331	Pran.g_01927	Prbi.g_00290
OG0000332	Pran.g_01926	Prbi.g_00291
OG0000333	Pran.g_01925	Prbi.g_00292
OG0000334	Pran.g_01924	Prbi.g_00293
OG0000335	Pran.g_01923	Prbi.g_00294
OG0000336	Pran.g_01922	Prbi.g_00295
OG0000337	Pran.g_01919	Prbi.g_00299
OG0000338	Pran.g_01918	Prbi.g_00300
OG0000339	Pran.g_01917	Prbi.g_00301
OG0000340	Pran.g_01916	Prbi.g_00302
OG0000341	Pran.g_01912	Prbi.g_00306
OG0000342	Pran.g_01911	Prbi.g_00307
OG0000343	Pran.g_01909	Prbi.g_00309
OG0000344	Pran.g_01908	Prbi.g_00310
OG0000345	Pran.g_01907	Prbi.g_00311
OG0000346	Pran.g_01906	Prbi.g_00312
OG0000347	Pran.g_01905	Prbi.g_00313
OG0000348	Pran.g_01904	Prbi.g_00314
OG0000349	Pran.g_01903	Prbi.g_00315
OG0000350	Pran.g_01902	Prbi.g_00316
OG0000351	Pran.g_01899	Prbi.g_00319
OG0000352	Pran.g_01896	Prbi.g_00322
OG0000353	Pran.g_01895	Prbi.g_00323
OG0000354	Pran.g_01894	Prbi.g_00324
OG0000355	Pran.g_01893	Prbi.g_00325
OG0000356	Pran.g_01892	Prbi.g_00326
OG0000357	Pran.g_01891	Prbi.g_00327
OG0000358	Pran.g_01890	Prbi.g_00328
OG0000359	Pran.g_01889	Prbi.g_00329
OG0000360	Pran.g_01886	Prbi.g_00332
OG0000361	Pran.g_01885	Prbi.g_00333
OG0000362	Pran.g_01884	Prbi.g_00334
OG0000363	Pran.g_01883	Prbi.g_00335
OG0000364	Pran.g_01882	Prbi.g_00336
OG0000365	Pran.g_01881	Prbi.g_00337
OG0000366	Pran.g_01880	Prbi.g_00338
OG0000367	Pran.g_01879	Prbi.g_00339
OG0000368	Pran.g_01878	Prbi.g_00340
OG0000369	Pran.g_01877	Prbi.g_00341
OG0000370	Pran.g_01876	Prbi.g_00342
OG0000371	Pran.g_01875	Prbi.g_00343
OG0000372	Pran.g_01873	Prbi.g_00345
OG0000373	Pran.g_01871	Prbi.g_00347
OG0000374	Pran.g_01870	Prbi.g_00348
OG0000375	Pran.g_01869	Prbi.g_00349
OG0000376	Pran.g_01867	Prbi.g_00351
OG0000377	Pran.g_01866	Prbi.g_00352
OG0000378	Pran.g_01865	Prbi.g_00353
OG0000379	Pran.g_01860	Prbi.g_00358
OG0000380	Pran.g_01859	Prbi.g_00359
OG0000381	Pran.g_01858	Prbi.g_00360
OG0000382	Pran.g_01857	Prbi.g_00362
OG0000383	Pran.g_01854	Prbi.g_00365
OG0000384	Pran.g_01853	Prbi.g_00366
OG0000385	Pran.g_01850	Prbi.g_00369
OG0000386	Pran.g_01849	Prbi.g_00370
OG0000387	Pran.g_01848	Prbi.g_00371
OG0000388	Pran.g_01847	Prbi.g_00372
OG0000389	Pran.g_01846	Prbi.g_00373
OG0000390	Pran.g_01845	Prbi.g_00374
OG0000391	Pran.g_01844	Prbi.g_00375
OG0000392	Pran.g_01843	Prbi.g_00376
OG0000393	Pran.g_01840	Prbi.g_00379
OG0000394	Pran.g_01839	Prbi.g_00380
OG0000395	Pran.g_01837	Prbi.g_00382
OG0000396	Pran.g_01835	Prbi.g_00383
OG0000397	Pran.g_01823	Prbi.g_00395
OG0000398	Pran.g_01816	Prbi.g_00403
OG0000399	Pran.g_01815	Prbi.g_00404
OG0000400	Pran.g_01808	Prbi.g_00409
OG0000401	Pran.g_01749	Prbi.g_00432
OG0000402	Pran.g_01748	Prbi.g_00433
OG0000403	Pran.g_01747	Prbi.g_00434
OG0000404	Pran.g_01745	Prbi.g_00436
OG0000405	Pran.g_01744	Prbi.g_00437
OG0000406	Pran.g_01742	Prbi.g_00439
OG0000407	Pran.g_01741	Prbi.g_00440
OG0000408	Pran.g_01740	Prbi.g_00441
OG0000409	Pran.g_01739	Prbi.g_00442
OG0000410	Pran.g_01738	Prbi.g_00443
OG0000411	Pran.g_01737	Prbi.g_00444
OG0000412	Pran.g_01736	Prbi.g_00445
OG0000413	Pran.g_01735	Prbi.g_00446
OG0000414	Pran.g_01734	Prbi.g_00447
OG0000415	Pran.g_01733	Prbi.g_00448
OG0000416	Pran.g_01729	Prbi.g_00449
OG0000417	Pran.g_01728	Prbi.g_00450
OG0000418	Pran.g_01727	Prbi.g_00451
OG0000419	Pran.g_01726	Prbi.g_00452
OG0000420	Pran.g_01725	Prbi.g_00453
OG0000421	Pran.g_01724	Prbi.g_00454
OG0000422	Pran.g_01723	Prbi.g_00456
OG0000423	Pran.g_01722	Prbi.g_00457
OG0000424	Pran.g_01720	Prbi.g_00459
OG0000425	Pran.g_01717	Prbi.g_00463
OG0000426	Pran.g_01716	Prbi.g_00464
OG0000427	Pran.g_01715	Prbi.g_00465
OG0000428	Pran.g_01714	Prbi.g_00466
OG0000429	Pran.g_01713	Prbi.g_00467
OG0000430	Pran.g_01707	Prbi.g_00474
OG0000431	Pran.g_01705	Prbi.g_00476
OG0000432	Pran.g_01704	Prbi.g_00477
OG0000433	Pran.g_01701	Prbi.g_00480
OG0000434	Pran.g_01700	Prbi.g_00481
OG0000435	Pran.g_01699	Prbi.g_00482
OG0000436	Pran.g_01697	Prbi.g_00484
OG0000437	Pran.g_01695	Prbi.g_00486
OG0000438	Pran.g_01694	Prbi.g_00487
OG0000439	Pran.g_01693	Prbi.g_00488
OG0000440	Pran.g_01691	Prbi.g_00490
OG0000441	Pran.g_01690	Prbi.g_00491
OG0000442	Pran.g_01689	Prbi.g_00492
OG0000443	Pran.g_01688	Prbi.g_00493
OG0000444	Pran.g_01687	Prbi.g_00494
OG0000445	Pran.g_01686	Prbi.g_00495
OG0000446	Pran.g_01685	Prbi.g_00496
OG0000447	Pran.g_01684	Prbi.g_00497
OG0000448	Pran.g_01683	Prbi.g_00498
OG0000449	Pran.g_01678	Prbi.g_00503
OG0000450	Pran.g_01677	Prbi.g_00504
OG0000451	Pran.g_01676	Prbi.g_00505
OG0000452	Pran.g_01675	Prbi.g_00506
OG0000453	Pran.g_01673	Prbi.g_00508
OG0000454	Pran.g_01672	Prbi.g_00509
OG0000455	Pran.g_01671	Prbi.g_00510
OG0000456	Pran.g_01670	Prbi.g_00511
OG0000457	Pran.g_01668	Prbi.g_00513
OG0000458	Pran.g_01666	Prbi.g_00515
OG0000459	Pran.g_01665	Prbi.g_00516
OG0000460	Pran.g_01663	Prbi.g_00518
OG0000461	Pran.g_01662	Prbi.g_00519
OG0000462	Pran.g_01661	Prbi.g_00520
OG0000463	Pran.g_01660	Prbi.g_00521
OG0000464	Pran.g_01655	Prbi.g_00526
OG0000465	Pran.g_01653	Prbi.g_00528
OG0000466	Pran.g_01652	Prbi.g_00529
OG0000467	Pran.g_01651	Prbi.g_00530
OG0000468	Pran.g_01650	Prbi.g_00531
OG0000469	Pran.g_01649	Prbi.g_00532
OG0000470	Pran.g_01648	Prbi.g_00533
OG0000471	Pran.g_01647	Prbi.g_00534
OG0000472	Pran.g_01644	Prbi.g_00537
OG0000473	Pran.g_01643	Prbi.g_00538
OG0000474	Pran.g_01642	Prbi.g_00539
OG0000475	Pran.g_01641	Prbi.g_00540
OG0000476	Pran.g_01640	Prbi.g_00541
OG0000477	Pran.g_01638	Prbi.g_00543
OG0000478	Pran.g_01637	Prbi.g_00544
OG0000479	Pran.g_01636	Prbi.g_00545
OG0000480	Pran.g_01634	Prbi.g_00547
OG0000481	Pran.g_01633	Prbi.g_00548
OG0000482	Pran.g_01632	Prbi.g_00549
OG0000483	Pran.g_01631	Prbi.g_00550
OG0000484	Pran.g_01630	Prbi.g_00551
OG0000485	Pran.g_01629	Prbi.g_00552
OG0000486	Pran.g_01628	Prbi.g_00553
OG0000487	Pran.g_01627	Prbi.g_00554
OG0000488	Pran.g_01625	Prbi.g_00556
OG0000489	Pran.g_01624	Prbi.g_00557
OG0000490	Pran.g_01623	Prbi.g_00558
OG0000491	Pran.g_01622	Prbi.g_00559
OG0000492	Pran.g_01621	Prbi.g_00560
OG0000493	Pran.g_01620	Prbi.g_00561
OG0000494	Pran.g_01618	Prbi.g_00563
OG0000495	Pran.g_01617	Prbi.g_00564
OG0000496	Pran.g_01616	Prbi.g_00565
OG0000497	Pran.g_01614	Prbi.g_00566
OG0000498	Pran.g_01613	Prbi.g_00567
OG0000499	Pran.g_01611	Prbi.g_00569
OG0000500	Pran.g_01610	Prbi.g_00570
OG0000501	Pran.g_01608	Prbi.g_00572
OG0000502	Pran.g_01607	Prbi.g_00573
OG0000503	Pran.g_01606	Prbi.g_00574
OG0000504	Pran.g_01605	Prbi.g_00575
OG0000505	Pran.g_01604	Prbi.g_00576
OG0000506	Pran.g_01603	Prbi.g_00577
OG0000507	Pran.g_01602	Prbi.g_00578
OG0000508	Pran.g_01600	Prbi.g_00580
OG0000509	Pran.g_01599	Prbi.g_00581
OG0000510	Pran.g_01598	Prbi.g_00582
OG0000511	Pran.g_01597	Prbi.g_00583
OG0000512	Pran.g_01596	Prbi.g_00584
OG0000513	Pran.g_01595	Prbi.g_00585
OG0000514	Pran.g_01594	Prbi.g_00586
OG0000515	Pran.g_01592	Prbi.g_00588
OG0000516	Pran.g_01591	Prbi.g_00589
OG0000517	Pran.g_01590	Prbi.g_00590
OG0000518	Pran.g_01587	Prbi.g_00593
OG0000519	Pran.g_01586	Prbi.g_00594
OG0000520	Pran.g_01585	Prbi.g_00595
OG0000521	Pran.g_01584	Prbi.g_00596
OG0000522	Pran.g_01583	Prbi.g_00597
OG0000523	Pran.g_01582	Prbi.g_00598
OG0000524	Pran.g_01581	Prbi.g_00599
OG0000525	Pran.g_01579	Prbi.g_00601
OG0000526	Pran.g_01578	Prbi.g_00602
OG0000527	Pran.g_01577	Prbi.g_00603
OG0000528	Pran.g_01576	Prbi.g_00604
OG0000529	Pran.g_01575	Prbi.g_00605
OG0000530	Pran.g_01574	Prbi.g_00606
OG0000531	Pran.g_01573	Prbi.g_00607
OG0000532	Pran.g_01572	Prbi.g_00608
OG0000533	Pran.g_01571	Prbi.g_00609
OG0000534	Pran.g_01570	Prbi.g_00610
OG0000535	Pran.g_01569	Prbi.g_00611
OG0000536	Pran.g_01568	Prbi.g_00612
OG0000537	Pran.g_01567	Prbi.g_00613
OG0000538	Pran.g_01566	Prbi.g_00614
OG0000539	Pran.g_01565	Prbi.g_00615
OG0000540	Pran.g_01564	Prbi.g_00616
OG0000541	Pran.g_01563	Prbi.g_00617
OG0000542	Pran.g_01562	Prbi.g_00618
OG0000543	Pran.g_01561	Prbi.g_00619
OG0000544	Pran.g_01560	Prbi.g_00620
OG0000545	Pran.g_01557	Prbi.g_00623
OG0000546	Pran.g_01556	Prbi.g_00624
OG0000547	Pran.g_01554	Prbi.g_00626
OG0000548	Pran.g_01553	Prbi.g_00627
OG0000549	Pran.g_01552	Prbi.g_00628
OG0000550	Pran.g_01551	Prbi.g_00629
OG0000551	Pran.g_01550	Prbi.g_00630
OG0000552	Pran.g_01549	Prbi.g_00631
OG0000553	Pran.g_01548	Prbi.g_00632
OG0000554	Pran.g_01547	Prbi.g_00634
OG0000555	Pran.g_01546	Prbi.g_00635
OG0000556	Pran.g_01545	Prbi.g_00636
