Orthogroup	Syaj	Prau
OG0000039	Syaj.g_00392, Syaj.g_00275	Prau.g_00726
OG0000040	Syaj.g_02208	Prau.g_01187
OG0000041	Syaj.g_01602, Syaj.g_00418	Prau.g_01778
OG0000042	Syaj.g_02399	Prau.g_01932
OG0000043	Syaj.g_01085	Prau.g_01321
OG0000045	Syaj.g_00132	Prau.g_01682
OG0000047	Syaj.g_02799	Prau.g_00332, Prau.g_00414
OG0000048	Syaj.g_02578	Prau.g_00377
OG0000050	Syaj.g_01584	Prau.g_01123
OG0000051	Syaj.g_02898	Prau.g_01347
OG0000053	Syaj.g_01409	Prau.g_00040, Prau.g_01551
OG0000054	Syaj.g_01341	Prau.g_00644
OG0000055	Syaj.g_00394	Prau.g_00835
OG0000057	Syaj.g_00438	Prau.g_00738
OG0000059	Syaj.g_02686	Prau.g_01818
OG0000061	Syaj.g_00302	Prau.g_01206
OG0000062	Syaj.g_01700	Prau.g_01609
OG0000063	Syaj.g_02302	Prau.g_00032, Prau.g_01295
OG0000065	Syaj.g_01887, Syaj.g_00007	Prau.g_00108
OG0000066	Syaj.g_00157	Prau.g_00579
OG0000067	Syaj.g_01023	Prau.g_00854
OG0000068	Syaj.g_00059	Prau.g_01409
OG0000070	Syaj.g_01529	Prau.g_00491
OG0000071	Syaj.g_01511	Prau.g_01371
OG0000072	Syaj.g_01992	Prau.g_00172
OG0000073	Syaj.g_00093	Prau.g_00540
OG0000075	Syaj.g_02457	Prau.g_01901
OG0000076	Syaj.g_02417	Prau.g_00037, Prau.g_01925
OG0000077	Syaj.g_01831	Prau.g_00079
OG0000078	Syaj.g_02880	Prau.g_00240
OG0000079	Syaj.g_02609	Prau.g_00254
OG0000081	Syaj.g_02888	Prau.g_00571
OG0000082	Syaj.g_00229	Prau.g_00624
OG0000084	Syaj.g_01375	Prau.g_01524
OG0000085	Syaj.g_01707	Prau.g_01725
OG0000086	Syaj.g_01848	Prau.g_00089
OG0000087	Syaj.g_01945	Prau.g_00140
OG0000088	Syaj.g_01986	Prau.g_00167
OG0000089	Syaj.g_02829, Syaj.g_01915	Prau.g_00358
OG0000090	Syaj.g_00144	Prau.g_00573
OG0000091	Syaj.g_01275	Prau.g_00682
OG0000092	Syaj.g_00339	Prau.g_00052, Prau.g_00451
OG0000093	Syaj.g_01042	Prau.g_00983
OG0000094	Syaj.g_00804	Prau.g_01070
OG0000095	Syaj.g_00427	Prau.g_01089
OG0000097	Syaj.g_00589	Prau.g_01247
OG0000098	Syaj.g_02671	Prau.g_01391
OG0000099	Syaj.g_02503	Prau.g_01435
OG0000100	Syaj.g_00987	Prau.g_01605
OG0000101	Syaj.g_02738	Prau.g_01869
OG0000102	Syaj.g_02411	Prau.g_01930
OG0000103	Syaj.g_02243	Prau.g_02009
OG0000104	Syaj.g_02258	Prau.g_02018
OG0000105	Syaj.g_02573	Prau.g_00276
OG0000106	Syaj.g_01130	Prau.g_00373
OG0000107	Syaj.g_02637	Prau.g_00389
OG0000108	Syaj.g_00072	Prau.g_00521
OG0000109	Syaj.g_00087	Prau.g_00535
OG0000110	Syaj.g_00215	Prau.g_00614
OG0000111	Syaj.g_00437	Prau.g_00739
OG0000112	Syaj.g_00907	Prau.g_00818
OG0000113	Syaj.g_00992	Prau.g_00876
OG0000114	Syaj.g_00741	Prau.g_00956
OG0000115	Syaj.g_01402	Prau.g_01148
OG0000116	Syaj.g_00289	Prau.g_01197
OG0000117	Syaj.g_00637	Prau.g_01318
OG0000118	Syaj.g_00267	Prau.g_01383
OG0000119	Syaj.g_00317	Prau.g_01405
OG0000120	Syaj.g_02502	Prau.g_01430
OG0000121	Syaj.g_01383	Prau.g_01533
OG0000122	Syaj.g_01250	Prau.g_01571
OG0000123	Syaj.g_02745	Prau.g_01876
OG0000124	Syaj.g_02388	Prau.g_01941
OG0000125	Syaj.g_02117	Prau.g_01978
OG0000126	Syaj.g_02256	Prau.g_02017
OG0000127	Syaj.g_00538, Syaj.g_00036	Prau.g_01292
OG0000128	Syaj.g_02274	Prau.g_00011
OG0000129	Syaj.g_02106	Prau.g_00051
OG0000130	Syaj.g_01818	Prau.g_00071
OG0000131	Syaj.g_01964	Prau.g_00146
OG0000132	Syaj.g_00688, Syaj.g_01984	Prau.g_00165
OG0000133	Syaj.g_00902	Prau.g_00324
OG0000134	Syaj.g_02832	Prau.g_00359
OG0000135	Syaj.g_02167	Prau.g_00386
OG0000136	Syaj.g_01550	Prau.g_00482
OG0000137	Syaj.g_01444	Prau.g_00516
OG0000138	Syaj.g_00088, Syaj.g_02631	Prau.g_00536
OG0000139	Syaj.g_00150	Prau.g_00577
OG0000140	Syaj.g_00153	Prau.g_00578
OG0000141	Syaj.g_01340	Prau.g_00645
OG0000142	Syaj.g_01283	Prau.g_00675
OG0000143	Syaj.g_01279	Prau.g_00679
OG0000144	Syaj.g_01151	Prau.g_00692
OG0000145	Syaj.g_00094	Prau.g_00816
OG0000146	Syaj.g_00908	Prau.g_00819
OG0000147	Syaj.g_00909	Prau.g_00820
OG0000148	Syaj.g_01003, Syaj.g_01002	Prau.g_00870
OG0000149	Syaj.g_00369	Prau.g_00900
OG0000150	Syaj.g_01339, Syaj.g_00154	Prau.g_00909
OG0000151	Syaj.g_01074	Prau.g_00966
OG0000152	Syaj.g_00898	Prau.g_01015
OG0000153	Syaj.g_00842	Prau.g_01034
OG0000154	Syaj.g_00814	Prau.g_01063
OG0000155	Syaj.g_00338	Prau.g_01226
OG0000156	Syaj.g_00282	Prau.g_01359
OG0000157	Syaj.g_00281	Prau.g_01360
OG0000158	Syaj.g_02445	Prau.g_01436
OG0000160	Syaj.g_01382	Prau.g_01532
OG0000161	Syaj.g_01389	Prau.g_01538
OG0000162	Syaj.g_01395	Prau.g_01544
OG0000163	Syaj.g_01639	Prau.g_01578
OG0000164	Syaj.g_01758	Prau.g_01756
OG0000165	Syaj.g_01582	Prau.g_01763
OG0000166	Syaj.g_02698	Prau.g_01833
OG0000167	Syaj.g_02460	Prau.g_01899
OG0000168	Syaj.g_02444	Prau.g_01909
OG0000169	Syaj.g_02431, Syaj.g_02429	Prau.g_01919
OG0000170	Syaj.g_02422	Prau.g_01921
OG0000171	Syaj.g_02389	Prau.g_01940
OG0000172	Syaj.g_02365	Prau.g_01949
OG0000173	Syaj.g_02321	Prau.g_01964
OG0000174	Syaj.g_02169	Prau.g_01991
OG0000175	Syaj.g_02229	Prau.g_02001
OG0000176	Syaj.g_02266	Prau.g_00004
OG0000177	Syaj.g_02267	Prau.g_00005
OG0000178	Syaj.g_02268	Prau.g_00006
OG0000179	Syaj.g_02283	Prau.g_00016
OG0000180	Syaj.g_02284	Prau.g_00017
OG0000181	Syaj.g_02285	Prau.g_00018
OG0000182	Syaj.g_02286	Prau.g_00019
OG0000183	Syaj.g_02290	Prau.g_00023
OG0000184	Syaj.g_02098	Prau.g_00054
OG0000185	Syaj.g_02087	Prau.g_00057
OG0000186	Syaj.g_01812	Prau.g_00066
OG0000187	Syaj.g_01814	Prau.g_00067
OG0000188	Syaj.g_01837	Prau.g_00083
OG0000189	Syaj.g_01874	Prau.g_00097
OG0000190	Syaj.g_01876	Prau.g_00098
OG0000191	Syaj.g_01910	Prau.g_00118
OG0000192	Syaj.g_01919	Prau.g_00122
OG0000193	Syaj.g_01965	Prau.g_00147
OG0000194	Syaj.g_01968	Prau.g_00150
OG0000195	Syaj.g_01971	Prau.g_00152
OG0000196	Syaj.g_01981	Prau.g_00162
OG0000197	Syaj.g_01982	Prau.g_00163
OG0000198	Syaj.g_01983	Prau.g_00164
OG0000199	Syaj.g_01991	Prau.g_00171
OG0000200	Syaj.g_02008	Prau.g_00185
OG0000201	Syaj.g_02024	Prau.g_00193
OG0000202	Syaj.g_02025	Prau.g_00194
OG0000203	Syaj.g_02026	Prau.g_00195
OG0000204	Syaj.g_02027	Prau.g_00196
OG0000205	Syaj.g_02035	Prau.g_00203
OG0000206	Syaj.g_02043	Prau.g_00208
OG0000207	Syaj.g_02045	Prau.g_00210
OG0000208	Syaj.g_02046	Prau.g_00211
OG0000209	Syaj.g_02070	Prau.g_00220
OG0000210	Syaj.g_02071	Prau.g_00221
OG0000211	Syaj.g_02856	Prau.g_00234
OG0000212	Syaj.g_02881	Prau.g_00241
OG0000213	Syaj.g_02601	Prau.g_00259
OG0000214	Syaj.g_02582	Prau.g_00269
OG0000215	Syaj.g_02551	Prau.g_00294
OG0000216	Syaj.g_02547	Prau.g_00296
OG0000217	Syaj.g_02543	Prau.g_00299
OG0000218	Syaj.g_02541	Prau.g_00301
OG0000219	Syaj.g_02540	Prau.g_00302
OG0000220	Syaj.g_02539	Prau.g_00303
OG0000221	Syaj.g_02530	Prau.g_00304
OG0000222	Syaj.g_02516	Prau.g_00312
OG0000223	Syaj.g_02494	Prau.g_00325
OG0000224	Syaj.g_02487	Prau.g_00327
OG0000225	Syaj.g_02821	Prau.g_00348
OG0000226	Syaj.g_02825	Prau.g_00352
OG0000227	Syaj.g_02827	Prau.g_00354
OG0000228	Syaj.g_02828	Prau.g_00357
OG0000229	Syaj.g_01555	Prau.g_00477
OG0000230	Syaj.g_01553	Prau.g_00479
OG0000231	Syaj.g_01541	Prau.g_00490
OG0000232	Syaj.g_01497	Prau.g_00499
OG0000233	Syaj.g_01481	Prau.g_00505
OG0000234	Syaj.g_01442	Prau.g_00517
OG0000235	Syaj.g_00071	Prau.g_00520
OG0000236	Syaj.g_00086	Prau.g_00534
OG0000237	Syaj.g_00103	Prau.g_00547
OG0000238	Syaj.g_00108	Prau.g_00553
OG0000239	Syaj.g_00125	Prau.g_00565
OG0000240	Syaj.g_00126	Prau.g_00566
OG0000241	Syaj.g_01291	Prau.g_00570
OG0000242	Syaj.g_00142	Prau.g_00572
OG0000243	Syaj.g_00164	Prau.g_00583
OG0000244	Syaj.g_00180	Prau.g_00586
OG0000245	Syaj.g_00182	Prau.g_00588
OG0000246	Syaj.g_00186	Prau.g_00592
OG0000247	Syaj.g_00197	Prau.g_00602
OG0000248	Syaj.g_00200	Prau.g_00604
OG0000249	Syaj.g_00202	Prau.g_00606
OG0000250	Syaj.g_00211	Prau.g_00611
OG0000251	Syaj.g_00237	Prau.g_00629
OG0000252	Syaj.g_00243	Prau.g_00632
OG0000253	Syaj.g_00245	Prau.g_00633
OG0000254	Syaj.g_01335	Prau.g_00649
OG0000255	Syaj.g_01315	Prau.g_00655
OG0000256	Syaj.g_01297	Prau.g_00667
OG0000257	Syaj.g_01292	Prau.g_00670
OG0000258	Syaj.g_01274	Prau.g_00683
OG0000259	Syaj.g_00707	Prau.g_00700
OG0000260	Syaj.g_00712	Prau.g_00703
OG0000261	Syaj.g_00715	Prau.g_00705
OG0000262	Syaj.g_00720	Prau.g_00709
OG0000263	Syaj.g_00605	Prau.g_00721
OG0000264	Syaj.g_00485	Prau.g_00731
OG0000265	Syaj.g_00510	Prau.g_00755
OG0000266	Syaj.g_00946	Prau.g_00765
OG0000267	Syaj.g_00770	Prau.g_00776
OG0000268	Syaj.g_00771	Prau.g_00777
OG0000269	Syaj.g_01031	Prau.g_00849
OG0000270	Syaj.g_01025	Prau.g_00852
OG0000271	Syaj.g_01017	Prau.g_00860
OG0000272	Syaj.g_01016	Prau.g_00861
OG0000273	Syaj.g_00389	Prau.g_00884
OG0000274	Syaj.g_00388	Prau.g_00885
OG0000275	Syaj.g_00384	Prau.g_00887
OG0000276	Syaj.g_00377	Prau.g_00892
OG0000277	Syaj.g_00376	Prau.g_00893
OG0000278	Syaj.g_00373	Prau.g_00896
OG0000279	Syaj.g_00357	Prau.g_00904
OG0000280	Syaj.g_00348	Prau.g_00905
OG0000281	Syaj.g_02670	Prau.g_00910
OG0000282	Syaj.g_00743	Prau.g_00958
OG0000283	Syaj.g_00790	Prau.g_00992
OG0000284	Syaj.g_00930	Prau.g_00997
OG0000285	Syaj.g_00917	Prau.g_01002
OG0000286	Syaj.g_00899	Prau.g_01014
OG0000287	Syaj.g_00849	Prau.g_01031
OG0000288	Syaj.g_00815	Prau.g_01062
OG0000289	Syaj.g_00800	Prau.g_01073
OG0000290	Syaj.g_00424	Prau.g_01086
OG0000291	Syaj.g_00426	Prau.g_01088
OG0000292	Syaj.g_02255	Prau.g_01136
OG0000293	Syaj.g_00290	Prau.g_01198
OG0000294	Syaj.g_00291	Prau.g_01199
OG0000295	Syaj.g_00330	Prau.g_01218
OG0000296	Syaj.g_00332	Prau.g_01220
OG0000297	Syaj.g_00639	Prau.g_01228
OG0000298	Syaj.g_00638	Prau.g_01229
OG0000299	Syaj.g_00592	Prau.g_01246
OG0000300	Syaj.g_00586	Prau.g_01249
OG0000301	Syaj.g_00585	Prau.g_01250
OG0000302	Syaj.g_00582	Prau.g_01252
OG0000303	Syaj.g_00572	Prau.g_01259
OG0000304	Syaj.g_00566	Prau.g_01263
OG0000305	Syaj.g_00429	Prau.g_01401
OG0000306	Syaj.g_01126	Prau.g_01404
OG0000307	Syaj.g_00051	Prau.g_01418
OG0000308	Syaj.g_00049	Prau.g_01419
OG0000309	Syaj.g_00044	Prau.g_01423
OG0000310	Syaj.g_01358	Prau.g_01513
OG0000311	Syaj.g_01362	Prau.g_01515
OG0000312	Syaj.g_01368	Prau.g_01518
OG0000313	Syaj.g_01386	Prau.g_01535
OG0000314	Syaj.g_01420	Prau.g_01558
OG0000315	Syaj.g_01430	Prau.g_01568
OG0000316	Syaj.g_01664	Prau.g_01588
OG0000317	Syaj.g_01715	Prau.g_01730
OG0000318	Syaj.g_01722	Prau.g_01733
OG0000319	Syaj.g_01741	Prau.g_01746
OG0000320	Syaj.g_01743	Prau.g_01748
OG0000321	Syaj.g_01744	Prau.g_01749
OG0000322	Syaj.g_01745	Prau.g_01750
OG0000323	Syaj.g_01760	Prau.g_01759
OG0000324	Syaj.g_01609	Prau.g_01785
OG0000325	Syaj.g_02638	Prau.g_01795
OG0000326	Syaj.g_02645	Prau.g_01801
OG0000327	Syaj.g_02693	Prau.g_01828
OG0000328	Syaj.g_02694	Prau.g_01829
OG0000329	Syaj.g_02712	Prau.g_01846
OG0000330	Syaj.g_02713	Prau.g_01847
OG0000331	Syaj.g_02714	Prau.g_01848
OG0000332	Syaj.g_02729	Prau.g_01862
OG0000333	Syaj.g_02732	Prau.g_01864
OG0000334	Syaj.g_02741	Prau.g_01872
OG0000335	Syaj.g_02746	Prau.g_01877
OG0000336	Syaj.g_02750	Prau.g_01881
OG0000337	Syaj.g_02466	Prau.g_01897
OG0000338	Syaj.g_02462	Prau.g_01898
OG0000339	Syaj.g_02455	Prau.g_01902
OG0000340	Syaj.g_02443	Prau.g_01910
OG0000341	Syaj.g_02441	Prau.g_01912
OG0000342	Syaj.g_02440	Prau.g_01913
OG0000343	Syaj.g_02437	Prau.g_01914
OG0000344	Syaj.g_02433	Prau.g_01917
OG0000345	Syaj.g_02421	Prau.g_01922
OG0000346	Syaj.g_02416	Prau.g_01926
OG0000347	Syaj.g_02383	Prau.g_01942
OG0000348	Syaj.g_02333	Prau.g_01952
OG0000349	Syaj.g_02314	Prau.g_01969
OG0000350	Syaj.g_02652	Prau.g_01987, Prau.g_01297
OG0000351	Syaj.g_02234	Prau.g_02004
OG0000352	Syaj.g_02235	Prau.g_02005
OG0000353	Syaj.g_02261	Prau.g_02021
OG0000355	Syaj.g_02263	Prau.g_00001
OG0000356	Syaj.g_02264	Prau.g_00002
OG0000357	Syaj.g_02265	Prau.g_00003
OG0000358	Syaj.g_02269	Prau.g_00007
OG0000359	Syaj.g_02271	Prau.g_00008
OG0000360	Syaj.g_02272	Prau.g_00009
OG0000361	Syaj.g_02273	Prau.g_00010
OG0000362	Syaj.g_02275	Prau.g_00012
OG0000363	Syaj.g_02277	Prau.g_00014
OG0000364	Syaj.g_02278	Prau.g_00015
OG0000365	Syaj.g_02287	Prau.g_00020
OG0000366	Syaj.g_02288	Prau.g_00021
OG0000367	Syaj.g_02289	Prau.g_00022
OG0000368	Syaj.g_02291	Prau.g_00024
OG0000369	Syaj.g_02292	Prau.g_00025
OG0000370	Syaj.g_02293	Prau.g_00026
OG0000371	Syaj.g_02301	Prau.g_00031
OG0000372	Syaj.g_02307	Prau.g_00034
OG0000373	Syaj.g_02308	Prau.g_00035
OG0000374	Syaj.g_02309	Prau.g_00036
OG0000375	Syaj.g_02310	Prau.g_00047
OG0000376	Syaj.g_02312	Prau.g_00049
OG0000377	Syaj.g_02105	Prau.g_00053
OG0000378	Syaj.g_02091	Prau.g_00055
OG0000379	Syaj.g_02086	Prau.g_00058
OG0000380	Syaj.g_01815	Prau.g_00068
OG0000381	Syaj.g_01819	Prau.g_00072
OG0000382	Syaj.g_01836	Prau.g_00082
OG0000383	Syaj.g_01839	Prau.g_00084
OG0000384	Syaj.g_01840	Prau.g_00085
OG0000385	Syaj.g_01841	Prau.g_00086
OG0000386	Syaj.g_01842	Prau.g_00087
OG0000387	Syaj.g_01878	Prau.g_00100
OG0000388	Syaj.g_01882	Prau.g_00103
OG0000389	Syaj.g_01886	Prau.g_00107
OG0000390	Syaj.g_01904	Prau.g_00114
OG0000391	Syaj.g_01909	Prau.g_00117
OG0000392	Syaj.g_01918	Prau.g_00121
OG0000393	Syaj.g_01922	Prau.g_00123
OG0000394	Syaj.g_01923	Prau.g_00124
OG0000395	Syaj.g_01924	Prau.g_00125
OG0000396	Syaj.g_01928	Prau.g_00128
OG0000397	Syaj.g_01930	Prau.g_00130
OG0000398	Syaj.g_01935	Prau.g_00132
OG0000399	Syaj.g_01936	Prau.g_00133
OG0000400	Syaj.g_01937	Prau.g_00134
OG0000401	Syaj.g_01938	Prau.g_00135
OG0000402	Syaj.g_01940	Prau.g_00137
OG0000403	Syaj.g_01941	Prau.g_00138
OG0000404	Syaj.g_01943	Prau.g_00139
OG0000405	Syaj.g_01961	Prau.g_00143
OG0000406	Syaj.g_01966	Prau.g_00148
OG0000407	Syaj.g_01967	Prau.g_00149
OG0000408	Syaj.g_01970	Prau.g_00151
OG0000409	Syaj.g_01972	Prau.g_00153
OG0000410	Syaj.g_01973	Prau.g_00154
OG0000411	Syaj.g_01974	Prau.g_00155
OG0000412	Syaj.g_01975	Prau.g_00156
OG0000413	Syaj.g_01977	Prau.g_00157
OG0000415	Syaj.g_01978	Prau.g_00159
OG0000416	Syaj.g_01979	Prau.g_00160
OG0000417	Syaj.g_01980	Prau.g_00161
OG0000418	Syaj.g_01985	Prau.g_00166
OG0000419	Syaj.g_01987	Prau.g_00168
OG0000420	Syaj.g_01989	Prau.g_00169
OG0000421	Syaj.g_01994	Prau.g_00174
OG0000422	Syaj.g_01995	Prau.g_00175
OG0000423	Syaj.g_01996	Prau.g_00176
OG0000424	Syaj.g_01997	Prau.g_00177
OG0000425	Syaj.g_01998	Prau.g_00178
OG0000426	Syaj.g_01999	Prau.g_00179
OG0000427	Syaj.g_02000	Prau.g_00180
OG0000428	Syaj.g_02003	Prau.g_00182
OG0000429	Syaj.g_02005	Prau.g_00183
OG0000430	Syaj.g_02007	Prau.g_00184
OG0000431	Syaj.g_02010	Prau.g_00186
OG0000432	Syaj.g_02017	Prau.g_00189
OG0000433	Syaj.g_02020	Prau.g_00190
OG0000434	Syaj.g_02021	Prau.g_00191
OG0000435	Syaj.g_02023	Prau.g_00192
OG0000436	Syaj.g_02029	Prau.g_00197
OG0000437	Syaj.g_02030	Prau.g_00198
OG0000438	Syaj.g_02031	Prau.g_00199
OG0000439	Syaj.g_02033	Prau.g_00201
OG0000440	Syaj.g_02034	Prau.g_00202
OG0000441	Syaj.g_02038	Prau.g_00205
OG0000442	Syaj.g_02039	Prau.g_00206
OG0000443	Syaj.g_02040	Prau.g_00207
OG0000444	Syaj.g_02052	Prau.g_00212
OG0000445	Syaj.g_02053	Prau.g_00213
OG0000446	Syaj.g_02055	Prau.g_00214
OG0000447	Syaj.g_02058	Prau.g_00215
OG0000448	Syaj.g_02059	Prau.g_00216
OG0000449	Syaj.g_02060	Prau.g_00217
OG0000450	Syaj.g_02067	Prau.g_00218
OG0000451	Syaj.g_02068	Prau.g_00219
OG0000452	Syaj.g_02072	Prau.g_00222
OG0000453	Syaj.g_02073	Prau.g_00223
OG0000454	Syaj.g_02074	Prau.g_00224
OG0000455	Syaj.g_02075	Prau.g_00225
OG0000456	Syaj.g_02076	Prau.g_00226
OG0000457	Syaj.g_02078	Prau.g_00227
OG0000458	Syaj.g_02079	Prau.g_00228
OG0000459	Syaj.g_02080	Prau.g_00229
OG0000460	Syaj.g_02858	Prau.g_00236
OG0000461	Syaj.g_02623	Prau.g_00244
OG0000462	Syaj.g_02620	Prau.g_00246
OG0000463	Syaj.g_02619	Prau.g_00247
OG0000464	Syaj.g_02618	Prau.g_00248
OG0000465	Syaj.g_02617	Prau.g_00249
OG0000466	Syaj.g_02612	Prau.g_00252
OG0000467	Syaj.g_02610	Prau.g_00253
OG0000468	Syaj.g_02605	Prau.g_00255
OG0000469	Syaj.g_02590	Prau.g_00264
OG0000470	Syaj.g_02586	Prau.g_00266
OG0000471	Syaj.g_02585	Prau.g_00267
OG0000472	Syaj.g_02583	Prau.g_00268
OG0000473	Syaj.g_02581	Prau.g_00270
OG0000474	Syaj.g_02580	Prau.g_00271
OG0000475	Syaj.g_02579	Prau.g_00272
OG0000476	Syaj.g_02577	Prau.g_00273
OG0000477	Syaj.g_02571	Prau.g_00277
OG0000478	Syaj.g_02570	Prau.g_00278
OG0000479	Syaj.g_02569	Prau.g_00279
OG0000480	Syaj.g_02562	Prau.g_00284
OG0000481	Syaj.g_02560	Prau.g_00286
OG0000482	Syaj.g_02559	Prau.g_00287
OG0000483	Syaj.g_02555	Prau.g_00290
OG0000484	Syaj.g_02554	Prau.g_00291
OG0000485	Syaj.g_02553	Prau.g_00292
OG0000486	Syaj.g_02552	Prau.g_00293
OG0000487	Syaj.g_02546	Prau.g_00297
OG0000488	Syaj.g_02542	Prau.g_00300
OG0000489	Syaj.g_02529	Prau.g_00305
OG0000490	Syaj.g_02519	Prau.g_00310
OG0000491	Syaj.g_02517	Prau.g_00311
OG0000492	Syaj.g_02515	Prau.g_00313
OG0000493	Syaj.g_02514	Prau.g_00314
OG0000494	Syaj.g_02513	Prau.g_00315
OG0000495	Syaj.g_02512	Prau.g_00316
OG0000496	Syaj.g_02511	Prau.g_00317
OG0000497	Syaj.g_02510	Prau.g_00318
OG0000498	Syaj.g_02509	Prau.g_00319
OG0000499	Syaj.g_02508	Prau.g_00320
OG0000500	Syaj.g_02507	Prau.g_00321
OG0000501	Syaj.g_02504	Prau.g_00323
OG0000502	Syaj.g_02492	Prau.g_00326
OG0000503	Syaj.g_02805	Prau.g_00336
OG0000504	Syaj.g_02807	Prau.g_00337
OG0000505	Syaj.g_02808	Prau.g_00338
OG0000506	Syaj.g_02810	Prau.g_00340
OG0000507	Syaj.g_02816	Prau.g_00343
OG0000508	Syaj.g_02820	Prau.g_00347
OG0000509	Syaj.g_02822	Prau.g_00349
OG0000510	Syaj.g_02823	Prau.g_00350
OG0000511	Syaj.g_02824	Prau.g_00351
OG0000512	Syaj.g_02826	Prau.g_00353
OG0000513	Syaj.g_02833	Prau.g_00360
OG0000514	Syaj.g_02839	Prau.g_00472
OG0000515	Syaj.g_02840	Prau.g_00473
OG0000516	Syaj.g_01561	Prau.g_00474
OG0000517	Syaj.g_01556	Prau.g_00476
OG0000518	Syaj.g_01544	Prau.g_00487
OG0000519	Syaj.g_01543	Prau.g_00488
OG0000520	Syaj.g_01542	Prau.g_00489
OG0000521	Syaj.g_00271	Prau.g_00494
OG0000522	Syaj.g_00273	Prau.g_00496
OG0000523	Syaj.g_00274	Prau.g_00497
OG0000524	Syaj.g_01485	Prau.g_00503
OG0000525	Syaj.g_01454	Prau.g_00506
OG0000526	Syaj.g_01451	Prau.g_00507
OG0000527	Syaj.g_01446	Prau.g_00514
OG0000528	Syaj.g_00065	Prau.g_00519
OG0000529	Syaj.g_00073	Prau.g_00522
OG0000530	Syaj.g_00076	Prau.g_00525
OG0000531	Syaj.g_00077	Prau.g_00526
OG0000532	Syaj.g_00080	Prau.g_00528
OG0000533	Syaj.g_00081	Prau.g_00529
OG0000534	Syaj.g_00082	Prau.g_00530
OG0000535	Syaj.g_00083	Prau.g_00531
OG0000536	Syaj.g_00084	Prau.g_00532
OG0000537	Syaj.g_00085	Prau.g_00533
OG0000538	Syaj.g_00096	Prau.g_00541
OG0000539	Syaj.g_00097	Prau.g_00542
OG0000540	Syaj.g_00098	Prau.g_00543
OG0000541	Syaj.g_00099	Prau.g_00544
OG0000542	Syaj.g_00102	Prau.g_00546
OG0000543	Syaj.g_00104	Prau.g_00548
OG0000544	Syaj.g_00105	Prau.g_00549
OG0000545	Syaj.g_00107	Prau.g_00551
OG0000546	Syaj.g_00109	Prau.g_00554
OG0000547	Syaj.g_00111	Prau.g_00556
OG0000548	Syaj.g_00112	Prau.g_00557
OG0000549	Syaj.g_00118	Prau.g_00559
OG0000550	Syaj.g_00123	Prau.g_00564
OG0000551	Syaj.g_00128	Prau.g_00567
OG0000552	Syaj.g_00129	Prau.g_00568
OG0000553	Syaj.g_00133	Prau.g_00569
OG0000554	Syaj.g_00145	Prau.g_00574
OG0000555	Syaj.g_00163	Prau.g_00582
OG0000556	Syaj.g_00167	Prau.g_00584
