Orthogroup	Syaj	Prbe
OG0000034	Syaj.g_01959	Prbe.g_00882
OG0000035	Syaj.g_01378	Prbe.g_00311
OG0000037	Syaj.g_01891, Syaj.g_02902	Prbe.g_01651
OG0000038	Syaj.g_02115	Prbe.g_01156
OG0000039	Syaj.g_00392, Syaj.g_00275	Prbe.g_00461
OG0000041	Syaj.g_01602, Syaj.g_00418	Prbe.g_00938
OG0000042	Syaj.g_02399	Prbe.g_00766
OG0000043	Syaj.g_01085, Syaj.g_01247	Prbe.g_01570
OG0000046	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768	Prbe.g_01880
OG0000047	Syaj.g_02799	Prbe.g_01921
OG0000048	Syaj.g_02578	Prbe.g_00906
OG0000050	Syaj.g_01242	Prbe.g_00098
OG0000052	Syaj.g_02476	Prbe.g_00158
OG0000053	Syaj.g_01409	Prbe.g_00290, Prbe.g_01040
OG0000054	Syaj.g_01341	Prbe.g_00527
OG0000057	Syaj.g_00438	Prbe.g_01206
OG0000058	Syaj.g_02495	Prbe.g_00351
OG0000059	Syaj.g_02686	Prbe.g_01094
OG0000061	Syaj.g_00302	Prbe.g_01549
OG0000062	Syaj.g_01700	Prbe.g_00226
OG0000063	Syaj.g_02302	Prbe.g_00021
OG0000064	Syaj.g_00041, Syaj.g_01253	Prbe.g_00172
OG0000065	Syaj.g_01887, Syaj.g_00007	Prbe.g_01649
OG0000066	Syaj.g_00157	Prbe.g_00596, Prbe.g_01114
OG0000067	Syaj.g_01023	Prbe.g_01222
OG0000068	Syaj.g_00059	Prbe.g_00373
OG0000070	Syaj.g_01529	Prbe.g_01948
OG0000071	Syaj.g_01511	Prbe.g_00893
OG0000072	Syaj.g_01992	Prbe.g_01719
OG0000073	Syaj.g_00093	Prbe.g_00633
OG0000075	Syaj.g_02457	Prbe.g_00800
OG0000076	Syaj.g_02417	Prbe.g_00774
OG0000077	Syaj.g_01831	Prbe.g_00183
OG0000078	Syaj.g_02880	Prbe.g_01792
OG0000079	Syaj.g_02609	Prbe.g_01805
OG0000081	Syaj.g_02888	Prbe.g_00604
OG0000082	Syaj.g_00229	Prbe.g_00549, Prbe.g_00996
OG0000084	Syaj.g_01375	Prbe.g_00314
OG0000085	Syaj.g_01707	Prbe.g_00007, Prbe.g_00993
OG0000086	Syaj.g_01848	Prbe.g_00192
OG0000087	Syaj.g_01945	Prbe.g_01683
OG0000088	Syaj.g_01986	Prbe.g_01714
OG0000089	Syaj.g_02829, Syaj.g_01915	Prbe.g_01915
OG0000090	Syaj.g_00144	Prbe.g_00602
OG0000091	Syaj.g_01275	Prbe.g_01477
OG0000093	Syaj.g_01042	Prbe.g_01448
OG0000094	Syaj.g_00804	Prbe.g_01399
OG0000095	Syaj.g_00427	Prbe.g_01297
OG0000097	Syaj.g_00589	Prbe.g_01503
OG0000098	Syaj.g_02671	Prbe.g_00397
OG0000099	Syaj.g_02503	Prbe.g_00350
OG0000100	Syaj.g_00987	Prbe.g_00232
OG0000101	Syaj.g_02738	Prbe.g_00836
OG0000102	Syaj.g_02411	Prbe.g_00769
OG0000103	Syaj.g_02243	Prbe.g_01195
OG0000104	Syaj.g_02258	Prbe.g_01061
OG0000105	Syaj.g_02573	Prbe.g_01828
OG0000106	Syaj.g_01130	Prbe.g_00740
OG0000107	Syaj.g_02637	Prbe.g_00921
OG0000108	Syaj.g_00072	Prbe.g_00653
OG0000109	Syaj.g_00087	Prbe.g_00639
OG0000110	Syaj.g_00215	Prbe.g_00560
OG0000111	Syaj.g_00437	Prbe.g_01207
OG0000112	Syaj.g_00907	Prbe.g_00487
OG0000113	Syaj.g_00992	Prbe.g_01245
OG0000114	Syaj.g_00741	Prbe.g_00417
OG0000115	Syaj.g_01402	Prbe.g_01618
OG0000116	Syaj.g_00289	Prbe.g_01560
OG0000117	Syaj.g_00637	Prbe.g_01522
OG0000118	Syaj.g_00267	Prbe.g_00880
OG0000119	Syaj.g_00317	Prbe.g_01603, Prbe.g_00214
OG0000120	Syaj.g_02502	Prbe.g_00353
OG0000121	Syaj.g_01383	Prbe.g_00309
OG0000122	Syaj.g_01250	Prbe.g_01625, Prbe.g_00268
OG0000123	Syaj.g_02745	Prbe.g_00829
OG0000124	Syaj.g_02388	Prbe.g_00745
OG0000125	Syaj.g_02117	Prbe.g_01158
OG0000126	Syaj.g_02256	Prbe.g_01060
OG0000128	Syaj.g_02274	Prbe.g_01076
OG0000129	Syaj.g_02106	Prbe.g_00145
OG0000130	Syaj.g_01818	Prbe.g_00174
OG0000131	Syaj.g_01964	Prbe.g_01692
OG0000132	Syaj.g_00688, Syaj.g_01984	Prbe.g_01712
OG0000133	Syaj.g_00902	Prbe.g_01875
OG0000134	Syaj.g_02832	Prbe.g_01917
OG0000135	Syaj.g_02167	Prbe.g_00911
OG0000136	Syaj.g_01550	Prbe.g_01939
OG0000137	Syaj.g_01444	Prbe.g_00658
OG0000138	Syaj.g_00088	Prbe.g_00638
OG0000139	Syaj.g_00150	Prbe.g_00598
OG0000140	Syaj.g_00153	Prbe.g_00597
OG0000141	Syaj.g_01340	Prbe.g_00526
OG0000142	Syaj.g_01283	Prbe.g_01485
OG0000143	Syaj.g_01279	Prbe.g_01481
OG0000144	Syaj.g_01151	Prbe.g_01467
OG0000145	Syaj.g_00094	Prbe.g_00909
OG0000146	Syaj.g_00908	Prbe.g_00488
OG0000147	Syaj.g_00909	Prbe.g_00489
OG0000148	Syaj.g_01003	Prbe.g_01239
OG0000149	Syaj.g_00369	Prbe.g_01271
OG0000150	Syaj.g_01339, Syaj.g_00154	Prbe.g_01281
OG0000151	Syaj.g_01074	Prbe.g_00427
OG0000152	Syaj.g_00898	Prbe.g_01350
OG0000153	Syaj.g_00842	Prbe.g_01369
OG0000154	Syaj.g_00814	Prbe.g_01389
OG0000155	Syaj.g_00338	Prbe.g_01528
OG0000156	Syaj.g_00282	Prbe.g_00904
OG0000157	Syaj.g_00281	Prbe.g_00903
OG0000158	Syaj.g_02445	Prbe.g_00792
OG0000160	Syaj.g_01382	Prbe.g_00310
OG0000161	Syaj.g_01389	Prbe.g_00304
OG0000162	Syaj.g_01395	Prbe.g_00298
OG0000163	Syaj.g_01639	Prbe.g_00259
OG0000164	Syaj.g_01758	Prbe.g_00961
OG0000165	Syaj.g_01582	Prbe.g_00954
OG0000166	Syaj.g_02698	Prbe.g_01083
OG0000167	Syaj.g_02460	Prbe.g_00802
OG0000168	Syaj.g_02444	Prbe.g_00791
OG0000169	Syaj.g_02431, Syaj.g_02429	Prbe.g_00781
OG0000170	Syaj.g_02422	Prbe.g_00778
OG0000171	Syaj.g_02389	Prbe.g_00758
OG0000172	Syaj.g_02365	Prbe.g_00751
OG0000173	Syaj.g_02321	Prbe.g_01143
OG0000174	Syaj.g_02169	Prbe.g_01173
OG0000175	Syaj.g_02229	Prbe.g_01186
OG0000176	Syaj.g_02266	Prbe.g_01069
OG0000177	Syaj.g_02267	Prbe.g_01070
OG0000178	Syaj.g_02268	Prbe.g_01071
OG0000179	Syaj.g_02283	Prbe.g_00116
OG0000180	Syaj.g_02284	Prbe.g_00117
OG0000181	Syaj.g_02285	Prbe.g_00118
OG0000182	Syaj.g_02286	Prbe.g_00119
OG0000183	Syaj.g_02290	Prbe.g_00123
OG0000184	Syaj.g_02098	Prbe.g_00149
OG0000185	Syaj.g_02087	Prbe.g_00152
OG0000186	Syaj.g_01812	Prbe.g_00168
OG0000187	Syaj.g_01814	Prbe.g_00169
OG0000188	Syaj.g_01837	Prbe.g_00186
OG0000189	Syaj.g_01874	Prbe.g_01636
OG0000190	Syaj.g_01876	Prbe.g_01638
OG0000191	Syaj.g_01910	Prbe.g_01661
OG0000192	Syaj.g_01919	Prbe.g_01666
OG0000193	Syaj.g_01965	Prbe.g_01693
OG0000194	Syaj.g_01968	Prbe.g_01696
OG0000195	Syaj.g_01971	Prbe.g_01698
OG0000196	Syaj.g_01981	Prbe.g_01709
OG0000197	Syaj.g_01982	Prbe.g_01710
OG0000198	Syaj.g_01983	Prbe.g_01711
OG0000199	Syaj.g_01991	Prbe.g_01718
OG0000200	Syaj.g_02008	Prbe.g_01732
OG0000201	Syaj.g_02024	Prbe.g_01741
OG0000202	Syaj.g_02025	Prbe.g_01742
OG0000203	Syaj.g_02026	Prbe.g_01743
OG0000204	Syaj.g_02027	Prbe.g_01744
OG0000205	Syaj.g_02035	Prbe.g_01751
OG0000206	Syaj.g_02043	Prbe.g_01756
OG0000207	Syaj.g_02045	Prbe.g_01759
OG0000208	Syaj.g_02046	Prbe.g_01760
OG0000209	Syaj.g_02070	Prbe.g_01769
OG0000210	Syaj.g_02071	Prbe.g_01770
OG0000211	Syaj.g_02856	Prbe.g_01785
OG0000212	Syaj.g_02881	Prbe.g_01793
OG0000213	Syaj.g_02601	Prbe.g_01811
OG0000214	Syaj.g_02582	Prbe.g_01821
OG0000215	Syaj.g_02551	Prbe.g_01848
OG0000216	Syaj.g_02547	Prbe.g_01849
OG0000217	Syaj.g_02543	Prbe.g_01852
OG0000218	Syaj.g_02541	Prbe.g_01854
OG0000219	Syaj.g_02540	Prbe.g_01855
OG0000220	Syaj.g_02539	Prbe.g_01856
OG0000221	Syaj.g_02530	Prbe.g_01857
OG0000222	Syaj.g_02516	Prbe.g_01864
OG0000223	Syaj.g_02494	Prbe.g_01876
OG0000224	Syaj.g_02487	Prbe.g_01878
OG0000225	Syaj.g_02821	Prbe.g_01904
OG0000226	Syaj.g_02825	Prbe.g_01908
OG0000227	Syaj.g_02827	Prbe.g_01910
OG0000228	Syaj.g_02828	Prbe.g_01914
OG0000229	Syaj.g_01555	Prbe.g_01934
OG0000230	Syaj.g_01553	Prbe.g_01936
OG0000231	Syaj.g_01541	Prbe.g_01947
OG0000232	Syaj.g_01497	Prbe.g_00672
OG0000233	Syaj.g_01481	Prbe.g_00666
OG0000234	Syaj.g_01442	Prbe.g_00657
OG0000235	Syaj.g_00071	Prbe.g_00654
OG0000236	Syaj.g_00086	Prbe.g_00640
OG0000237	Syaj.g_00103	Prbe.g_00627
OG0000238	Syaj.g_00108	Prbe.g_00621
OG0000239	Syaj.g_00125	Prbe.g_00610
OG0000240	Syaj.g_00126	Prbe.g_00609
OG0000241	Syaj.g_01291	Prbe.g_00605
OG0000242	Syaj.g_00142	Prbe.g_00603
OG0000243	Syaj.g_00164	Prbe.g_00592
OG0000244	Syaj.g_00180	Prbe.g_00589
OG0000245	Syaj.g_00182	Prbe.g_00587
OG0000246	Syaj.g_00186	Prbe.g_00583
OG0000247	Syaj.g_00197	Prbe.g_00573
OG0000248	Syaj.g_00200	Prbe.g_00570
OG0000249	Syaj.g_00202	Prbe.g_00568
OG0000250	Syaj.g_00211	Prbe.g_00563
OG0000251	Syaj.g_00237	Prbe.g_00543
OG0000252	Syaj.g_00243	Prbe.g_00540
OG0000253	Syaj.g_00245	Prbe.g_00539
OG0000254	Syaj.g_01335	Prbe.g_00522
OG0000255	Syaj.g_01315	Prbe.g_00516
OG0000256	Syaj.g_01297	Prbe.g_00506
OG0000257	Syaj.g_01292	Prbe.g_01490
OG0000258	Syaj.g_01274	Prbe.g_01476
OG0000259	Syaj.g_00707	Prbe.g_01459
OG0000260	Syaj.g_00712	Prbe.g_01456
OG0000261	Syaj.g_00715	Prbe.g_01453
OG0000262	Syaj.g_00720	Prbe.g_01449
OG0000263	Syaj.g_00605	Prbe.g_00455
OG0000264	Syaj.g_00485	Prbe.g_00466
OG0000265	Syaj.g_00510	Prbe.g_01214
OG0000266	Syaj.g_00946	Prbe.g_01430
OG0000267	Syaj.g_00770	Prbe.g_01418
OG0000268	Syaj.g_00771	Prbe.g_01417
OG0000269	Syaj.g_01031	Prbe.g_01217
OG0000270	Syaj.g_01025	Prbe.g_01220
OG0000271	Syaj.g_01017	Prbe.g_01228
OG0000272	Syaj.g_01016	Prbe.g_01229
OG0000273	Syaj.g_00389	Prbe.g_01253
OG0000274	Syaj.g_00388	Prbe.g_01254
OG0000275	Syaj.g_00384	Prbe.g_01257
OG0000276	Syaj.g_00377	Prbe.g_01263
OG0000277	Syaj.g_00376	Prbe.g_01264
OG0000278	Syaj.g_00373	Prbe.g_01267
OG0000279	Syaj.g_00357	Prbe.g_01274
OG0000280	Syaj.g_00348	Prbe.g_01275
OG0000281	Syaj.g_02670	Prbe.g_01282
OG0000282	Syaj.g_00743	Prbe.g_00419
OG0000283	Syaj.g_00790	Prbe.g_01326
OG0000284	Syaj.g_00930	Prbe.g_01331
OG0000285	Syaj.g_00917	Prbe.g_01336
OG0000286	Syaj.g_00899	Prbe.g_01349
OG0000287	Syaj.g_00849	Prbe.g_01615
OG0000288	Syaj.g_00815	Prbe.g_01388
OG0000289	Syaj.g_00800	Prbe.g_01404
OG0000290	Syaj.g_00424	Prbe.g_01300
OG0000291	Syaj.g_00426	Prbe.g_01298
OG0000292	Syaj.g_02255	Prbe.g_01594
OG0000293	Syaj.g_00290	Prbe.g_01559
OG0000294	Syaj.g_00291	Prbe.g_01558
OG0000295	Syaj.g_00330	Prbe.g_01535
OG0000296	Syaj.g_00332	Prbe.g_01533
OG0000297	Syaj.g_00639	Prbe.g_01524
OG0000298	Syaj.g_00638	Prbe.g_01523
OG0000299	Syaj.g_00592	Prbe.g_01504
OG0000300	Syaj.g_00586	Prbe.g_01501
OG0000301	Syaj.g_00585	Prbe.g_01500
OG0000302	Syaj.g_00582	Prbe.g_01498
OG0000303	Syaj.g_00572	Prbe.g_01492
OG0000304	Syaj.g_00566	Prbe.g_00501
OG0000305	Syaj.g_00429	Prbe.g_01592
OG0000306	Syaj.g_01126	Prbe.g_01286
OG0000307	Syaj.g_00051	Prbe.g_00364
OG0000308	Syaj.g_00049	Prbe.g_00363
OG0000309	Syaj.g_00044	Prbe.g_00359
OG0000310	Syaj.g_01358	Prbe.g_00325
OG0000311	Syaj.g_01362	Prbe.g_00323
OG0000312	Syaj.g_01368	Prbe.g_00320
OG0000313	Syaj.g_01386	Prbe.g_00307
OG0000314	Syaj.g_01420	Prbe.g_00284
OG0000315	Syaj.g_01430	Prbe.g_00274
OG0000316	Syaj.g_01664	Prbe.g_00249
OG0000317	Syaj.g_01715	Prbe.g_00988
OG0000318	Syaj.g_01722	Prbe.g_00984
OG0000319	Syaj.g_01741	Prbe.g_00971
OG0000320	Syaj.g_01743	Prbe.g_00969
OG0000321	Syaj.g_01744	Prbe.g_00968
OG0000322	Syaj.g_01745	Prbe.g_00967
OG0000323	Syaj.g_01760	Prbe.g_00958
OG0000324	Syaj.g_01609	Prbe.g_00931
OG0000325	Syaj.g_02638	Prbe.g_00920
OG0000326	Syaj.g_02645	Prbe.g_01109
OG0000327	Syaj.g_02693	Prbe.g_01088
OG0000328	Syaj.g_02694	Prbe.g_01087
OG0000329	Syaj.g_02712	Prbe.g_00860
OG0000330	Syaj.g_02713	Prbe.g_00859
OG0000331	Syaj.g_02714	Prbe.g_00858
OG0000332	Syaj.g_02729	Prbe.g_00844
OG0000333	Syaj.g_02732	Prbe.g_00842
OG0000334	Syaj.g_02741	Prbe.g_00833
OG0000335	Syaj.g_02746	Prbe.g_00828
OG0000336	Syaj.g_02750	Prbe.g_00824
OG0000337	Syaj.g_02466	Prbe.g_00806
OG0000338	Syaj.g_02462	Prbe.g_00805
OG0000339	Syaj.g_02455	Prbe.g_00799
OG0000340	Syaj.g_02443	Prbe.g_00790
OG0000341	Syaj.g_02441	Prbe.g_00788
OG0000342	Syaj.g_02440	Prbe.g_00787
OG0000343	Syaj.g_02437	Prbe.g_00786
OG0000344	Syaj.g_02433	Prbe.g_00783
OG0000345	Syaj.g_02421	Prbe.g_00777
OG0000346	Syaj.g_02416	Prbe.g_00773
OG0000347	Syaj.g_02383	Prbe.g_00746
OG0000348	Syaj.g_02333	Prbe.g_00754
OG0000349	Syaj.g_02314	Prbe.g_01149
OG0000350	Syaj.g_02652	Prbe.g_00709
OG0000351	Syaj.g_02234	Prbe.g_01189
OG0000352	Syaj.g_02235	Prbe.g_01190
OG0000353	Syaj.g_02261	Prbe.g_01064
OG0000355	Syaj.g_02263	Prbe.g_01066
OG0000356	Syaj.g_02264	Prbe.g_01067
OG0000357	Syaj.g_02265	Prbe.g_01068
OG0000358	Syaj.g_02269	Prbe.g_01072
OG0000359	Syaj.g_02271	Prbe.g_01073
OG0000360	Syaj.g_02272	Prbe.g_01074
OG0000361	Syaj.g_02273	Prbe.g_01075
OG0000362	Syaj.g_02275	Prbe.g_01077
OG0000363	Syaj.g_02277	Prbe.g_00114
OG0000364	Syaj.g_02278	Prbe.g_00115
OG0000365	Syaj.g_02287	Prbe.g_00120
OG0000366	Syaj.g_02288	Prbe.g_00121
OG0000367	Syaj.g_02289	Prbe.g_00122
OG0000368	Syaj.g_02291	Prbe.g_00124
OG0000369	Syaj.g_02292	Prbe.g_00125
OG0000370	Syaj.g_02293	Prbe.g_00126
OG0000371	Syaj.g_02301	Prbe.g_00133
OG0000372	Syaj.g_02307	Prbe.g_00136
OG0000373	Syaj.g_02308	Prbe.g_00137
OG0000374	Syaj.g_02309	Prbe.g_00138
OG0000375	Syaj.g_02310	Prbe.g_00140
OG0000376	Syaj.g_02312	Prbe.g_00142
OG0000377	Syaj.g_02105	Prbe.g_00146
OG0000378	Syaj.g_02091	Prbe.g_00150
OG0000379	Syaj.g_02086	Prbe.g_00153
OG0000380	Syaj.g_01815	Prbe.g_00170
OG0000381	Syaj.g_01819	Prbe.g_00175
OG0000382	Syaj.g_01836	Prbe.g_00185
OG0000383	Syaj.g_01839	Prbe.g_00187
OG0000384	Syaj.g_01840	Prbe.g_00188
OG0000385	Syaj.g_01841	Prbe.g_00189
OG0000386	Syaj.g_01842	Prbe.g_00190
OG0000387	Syaj.g_01878	Prbe.g_01640
OG0000388	Syaj.g_01882	Prbe.g_01644
OG0000389	Syaj.g_01886	Prbe.g_01647
OG0000390	Syaj.g_01904	Prbe.g_01657
OG0000391	Syaj.g_01909	Prbe.g_01660
OG0000392	Syaj.g_01918	Prbe.g_01664
OG0000393	Syaj.g_01922	Prbe.g_01667
OG0000394	Syaj.g_01923	Prbe.g_01668
OG0000395	Syaj.g_01924	Prbe.g_01669
OG0000396	Syaj.g_01928	Prbe.g_01671
OG0000397	Syaj.g_01930	Prbe.g_01673
OG0000398	Syaj.g_01935	Prbe.g_01676
OG0000399	Syaj.g_01936	Prbe.g_01677
OG0000400	Syaj.g_01937	Prbe.g_01678
OG0000401	Syaj.g_01938	Prbe.g_01679
OG0000402	Syaj.g_01940	Prbe.g_01412
OG0000403	Syaj.g_01941	Prbe.g_01681
OG0000404	Syaj.g_01943	Prbe.g_01682
OG0000405	Syaj.g_01961	Prbe.g_01686
OG0000406	Syaj.g_01966	Prbe.g_01694
OG0000407	Syaj.g_01967	Prbe.g_01695
OG0000408	Syaj.g_01970	Prbe.g_01697
OG0000409	Syaj.g_01972	Prbe.g_01699
OG0000410	Syaj.g_01973	Prbe.g_01700
OG0000411	Syaj.g_01974	Prbe.g_01701
OG0000412	Syaj.g_01975	Prbe.g_01702
OG0000413	Syaj.g_01977	Prbe.g_01704
OG0000415	Syaj.g_01978	Prbe.g_01706
OG0000416	Syaj.g_01979	Prbe.g_01707
OG0000417	Syaj.g_01980	Prbe.g_01708
OG0000418	Syaj.g_01985	Prbe.g_01713
OG0000419	Syaj.g_01987	Prbe.g_01715
OG0000420	Syaj.g_01989	Prbe.g_01716
OG0000421	Syaj.g_01994	Prbe.g_01721
OG0000422	Syaj.g_01995	Prbe.g_01722
OG0000423	Syaj.g_01996	Prbe.g_01723
OG0000424	Syaj.g_01997	Prbe.g_01724
OG0000425	Syaj.g_01998	Prbe.g_01725
OG0000426	Syaj.g_01999	Prbe.g_01726
OG0000427	Syaj.g_02000	Prbe.g_01727
OG0000428	Syaj.g_02003	Prbe.g_01729
OG0000429	Syaj.g_02005	Prbe.g_01730
OG0000430	Syaj.g_02007	Prbe.g_01731
OG0000431	Syaj.g_02010	Prbe.g_01733
OG0000432	Syaj.g_02017	Prbe.g_01737
OG0000433	Syaj.g_02020	Prbe.g_01738
OG0000434	Syaj.g_02021	Prbe.g_01739
OG0000435	Syaj.g_02023	Prbe.g_01740
OG0000436	Syaj.g_02029	Prbe.g_01745
OG0000437	Syaj.g_02030	Prbe.g_01746
OG0000438	Syaj.g_02031	Prbe.g_01747
OG0000439	Syaj.g_02033	Prbe.g_01749
OG0000440	Syaj.g_02034	Prbe.g_01750
OG0000441	Syaj.g_02038	Prbe.g_01753
OG0000442	Syaj.g_02039	Prbe.g_01754
OG0000443	Syaj.g_02040	Prbe.g_01755
OG0000444	Syaj.g_02052	Prbe.g_01761
OG0000445	Syaj.g_02053	Prbe.g_01762
OG0000446	Syaj.g_02055	Prbe.g_01763
OG0000447	Syaj.g_02058	Prbe.g_01764
OG0000448	Syaj.g_02059	Prbe.g_01765
OG0000449	Syaj.g_02060	Prbe.g_01766
OG0000450	Syaj.g_02067	Prbe.g_01767
OG0000451	Syaj.g_02068	Prbe.g_01768
OG0000452	Syaj.g_02072	Prbe.g_01771
OG0000453	Syaj.g_02073	Prbe.g_01772
OG0000454	Syaj.g_02074	Prbe.g_01773
OG0000455	Syaj.g_02075	Prbe.g_01774
OG0000456	Syaj.g_02076	Prbe.g_01775
OG0000457	Syaj.g_02078	Prbe.g_01777
OG0000458	Syaj.g_02079	Prbe.g_01778
OG0000459	Syaj.g_02080	Prbe.g_01779
OG0000460	Syaj.g_02858	Prbe.g_01787
OG0000461	Syaj.g_02623	Prbe.g_01795
OG0000462	Syaj.g_02620	Prbe.g_01797
OG0000463	Syaj.g_02619	Prbe.g_01798
OG0000464	Syaj.g_02618	Prbe.g_01799
OG0000465	Syaj.g_02617	Prbe.g_01800
OG0000466	Syaj.g_02612	Prbe.g_01803
OG0000467	Syaj.g_02610	Prbe.g_01804
OG0000468	Syaj.g_02605	Prbe.g_01807
OG0000469	Syaj.g_02590	Prbe.g_01815
OG0000470	Syaj.g_02586	Prbe.g_01817
OG0000471	Syaj.g_02585	Prbe.g_01818
OG0000472	Syaj.g_02583	Prbe.g_01820
OG0000473	Syaj.g_02581	Prbe.g_01822
OG0000474	Syaj.g_02580	Prbe.g_01823
OG0000475	Syaj.g_02579	Prbe.g_01824
OG0000476	Syaj.g_02577	Prbe.g_01826
OG0000477	Syaj.g_02571	Prbe.g_01829
OG0000478	Syaj.g_02570	Prbe.g_01830
OG0000479	Syaj.g_02569	Prbe.g_01831
OG0000480	Syaj.g_02562	Prbe.g_01836
OG0000481	Syaj.g_02560	Prbe.g_01839
OG0000482	Syaj.g_02559	Prbe.g_01840
OG0000483	Syaj.g_02555	Prbe.g_01843
OG0000484	Syaj.g_02554	Prbe.g_01844
OG0000485	Syaj.g_02553	Prbe.g_01846
OG0000486	Syaj.g_02552	Prbe.g_01847
OG0000487	Syaj.g_02546	Prbe.g_01850
OG0000488	Syaj.g_02542	Prbe.g_01853
OG0000489	Syaj.g_02529	Prbe.g_01858
OG0000490	Syaj.g_02519	Prbe.g_01862
OG0000491	Syaj.g_02517	Prbe.g_01863
OG0000492	Syaj.g_02515	Prbe.g_01865
OG0000493	Syaj.g_02514	Prbe.g_01866
OG0000494	Syaj.g_02513	Prbe.g_01867
OG0000495	Syaj.g_02512	Prbe.g_01868
OG0000496	Syaj.g_02511	Prbe.g_01869
OG0000497	Syaj.g_02510	Prbe.g_01870
OG0000498	Syaj.g_02509	Prbe.g_01871
OG0000499	Syaj.g_02508	Prbe.g_01872
OG0000500	Syaj.g_02507	Prbe.g_01873
OG0000501	Syaj.g_02504	Prbe.g_01874
OG0000502	Syaj.g_02492	Prbe.g_01877
OG0000503	Syaj.g_02805	Prbe.g_01892
OG0000504	Syaj.g_02807	Prbe.g_01894
OG0000505	Syaj.g_02808	Prbe.g_01895
OG0000506	Syaj.g_02810	Prbe.g_01896
OG0000507	Syaj.g_02816	Prbe.g_01899
OG0000508	Syaj.g_02820	Prbe.g_01903
OG0000509	Syaj.g_02822	Prbe.g_01905
OG0000510	Syaj.g_02823	Prbe.g_01906
OG0000511	Syaj.g_02824	Prbe.g_01907
OG0000512	Syaj.g_02826	Prbe.g_01909
OG0000513	Syaj.g_02833	Prbe.g_01918
OG0000514	Syaj.g_02839	Prbe.g_01929
OG0000515	Syaj.g_02840	Prbe.g_01930
OG0000516	Syaj.g_01561	Prbe.g_01931
OG0000517	Syaj.g_01556	Prbe.g_01933
OG0000518	Syaj.g_01544	Prbe.g_01944
OG0000519	Syaj.g_01543	Prbe.g_01945
OG0000520	Syaj.g_01542	Prbe.g_01946
OG0000521	Syaj.g_00271	Prbe.g_00676
OG0000522	Syaj.g_00273	Prbe.g_00674
OG0000523	Syaj.g_00274	Prbe.g_00673
OG0000524	Syaj.g_01485	Prbe.g_00668
OG0000525	Syaj.g_01454	Prbe.g_00664
OG0000526	Syaj.g_01451	Prbe.g_00663
OG0000527	Syaj.g_01446	Prbe.g_00660
OG0000528	Syaj.g_00065	Prbe.g_00655
OG0000529	Syaj.g_00073	Prbe.g_00652
OG0000530	Syaj.g_00076	Prbe.g_00649
OG0000531	Syaj.g_00077	Prbe.g_00648
OG0000532	Syaj.g_00080	Prbe.g_00646
OG0000533	Syaj.g_00081	Prbe.g_00645
OG0000534	Syaj.g_00082	Prbe.g_00644
OG0000535	Syaj.g_00083	Prbe.g_00643
