Orthogroup	Prbi	Prbb
OG0000028	Prbi.g_01536	Prbb.g_01884
OG0000029	Prbi.g_00828	Prbb.g_00747, Prbb.g_01897
OG0000030	Prbi.g_00829	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000031	Prbi.g_02001	Prbb.g_02069
OG0000032	Prbi.g_00033	Prbb.g_01921
OG0000033	Prbi.g_01677, Prbi.g_00778	Prbb.g_01114, Prbb.g_01127
OG0000034	Prbi.g_01589, Prbi.g_01591	Prbb.g_01686
OG0000035	Prbi.g_01702	Prbb.g_01324, Prbb.g_01729
OG0000036	Prbi.g_01153	Prbb.g_01071
OG0000037	Prbi.g_01281	Prbb.g_01391
OG0000038	Prbi.g_01467	Prbb.g_00387
OG0000040	Prbi.g_01361	Prbb.g_01229
OG0000040	Prbi.g_00426	Prbb.g_01368
OG0000041	Prbi.g_00625	Prbb.g_01111
OG0000043	Prbi.g_00936	Prbb.g_01449
OG0000045	Prbi.g_00587	Prbb.g_01882
OG0000046	Prbi.g_00805	Prbb.g_01231
OG0000047	Prbi.g_01207	Prbb.g_01517
OG0000049	Prbi.g_01461	Prbb.g_00851
OG0000050	Prbi.g_00190	Prbb.g_00223
OG0000051	Prbi.g_00384	Prbb.g_01373, Prbb.g_01411
OG0000053	Prbi.g_00745	Prbb.g_00713
OG0000054	Prbi.g_01780	Prbb.g_01816
OG0000055	Prbi.g_01994	Prbb.g_02061
OG0000056	Prbi.g_00031	Prbb.g_00032
OG0000057	Prbi.g_00181	Prbb.g_00214
OG0000058	Prbi.g_00394	Prbb.g_01197, Prbb.g_01329
OG0000059	Prbi.g_00542	Prbb.g_00542
OG0000062	Prbi.g_00869	Prbb.g_00807, Prbb.g_01218
OG0000063	Prbi.g_01163	Prbb.g_00054
OG0000065	Prbi.g_00261, Prbi.g_01748	Prbb.g_00294
OG0000066	Prbi.g_00478	Prbb.g_00478
OG0000067	Prbi.g_00702	Prbb.g_01359, Prbb.g_00706
OG0000069	Prbi.g_01172, Prbi.g_01029	Prbb.g_01627
OG0000070	Prbi.g_01086	Prbb.g_01070
OG0000071	Prbi.g_01330	Prbb.g_01399
OG0000072	Prbi.g_01391	Prbb.g_01586
OG0000073	Prbi.g_00042, Prbi.g_00065	Prbb.g_01187
OG0000073	Prbi.g_01407	Prbb.g_01270, Prbb.g_01432
OG0000074	Prbi.g_01460	Prbb.g_00678
OG0000075	Prbi.g_01938	Prbb.g_02001
OG0000077	Prbi.g_00011	Prbb.g_00012
OG0000078	Prbi.g_00346	Prbb.g_00373
OG0000079	Prbi.g_00407	Prbb.g_01326
OG0000080	Prbi.g_00672	Prbb.g_00673
OG0000081	Prbi.g_00694	Prbb.g_00697, Prbb.g_00698
OG0000082	Prbi.g_00854	Prbb.g_00790
OG0000083	Prbi.g_00918	Prbb.g_00909, Prbb.g_01198
OG0000084	Prbi.g_01009	Prbb.g_00991
OG0000085	Prbi.g_01136	Prbb.g_01238
OG0000086	Prbi.g_01174	Prbb.g_01887
OG0000088	Prbi.g_01336	Prbb.g_01306
OG0000090	Prbi.g_01462	Prbb.g_00388
OG0000091	Prbi.g_01599	Prbb.g_01694
OG0000092	Prbi.g_01725	Prbb.g_01208
OG0000093	Prbi.g_01873	Prbb.g_01946
OG0000094	Prbi.g_01935	Prbb.g_01997
OG0000095	Prbi.g_01968	Prbb.g_02034
OG0000096	Prbi.g_02051	Prbb.g_02123
OG0000098	Prbi.g_00003	Prbb.g_00003
OG0000099	Prbi.g_00023	Prbb.g_00024
OG0000101	Prbi.g_00060	Prbb.g_00064
OG0000102	Prbi.g_00120	Prbb.g_00170
OG0000103	Prbi.g_00129	Prbb.g_00179
OG0000104	Prbi.g_00147	Prbb.g_00196
OG0000105	Prbi.g_00194	Prbb.g_00227
OG0000106	Prbi.g_00208	Prbb.g_00240
OG0000107	Prbi.g_00216, Prbi.g_01521	Prbb.g_00249
OG0000108	Prbi.g_00226	Prbb.g_00259
OG0000109	Prbi.g_00263	Prbb.g_00041, Prbb.g_00297
OG0000110	Prbi.g_00275	Prbb.g_00307
OG0000111	Prbi.g_00298	Prbb.g_00327
OG0000113	Prbi.g_00321	Prbb.g_00348
OG0000114	Prbi.g_00349	Prbb.g_00376
OG0000115	Prbi.g_00477	Prbb.g_00477
OG0000116	Prbi.g_00479	Prbb.g_00479
OG0000117	Prbi.g_00483	Prbb.g_00484, Prbb.g_00485
OG0000118	Prbi.g_00502	Prbb.g_00503
OG0000119	Prbi.g_00535	Prbb.g_00535
OG0000120	Prbi.g_00536	Prbb.g_00536
OG0000121	Prbi.g_00546	Prbb.g_00546
OG0000122	Prbi.g_00555	Prbb.g_00556
OG0000123	Prbi.g_00586	Prbb.g_00586
OG0000124	Prbi.g_00654	Prbb.g_00652
OG0000125	Prbi.g_00655	Prbb.g_00653
OG0000126	Prbi.g_00656	Prbb.g_00654
OG0000127	Prbi.g_00689	Prbb.g_00692
OG0000128	Prbi.g_00747	Prbb.g_00715
OG0000129	Prbi.g_00767	Prbb.g_00737
OG0000130	Prbi.g_00832	Prbb.g_00954
OG0000131	Prbi.g_00845	Prbb.g_00781
OG0000132	Prbi.g_00881	Prbb.g_00817
OG0000133	Prbi.g_00968	Prbb.g_00950
OG0000134	Prbi.g_00977	Prbb.g_00768
OG0000135	Prbi.g_01013	Prbb.g_00995
OG0000136	Prbi.g_01083	Prbb.g_01067
OG0000137	Prbi.g_01177	Prbb.g_01890
OG0000138	Prbi.g_01202	Prbb.g_01523
OG0000139	Prbi.g_01213	Prbb.g_01510
OG0000140	Prbi.g_01264	Prbb.g_01456
OG0000141	Prbi.g_01277	Prbb.g_01060
OG0000142	Prbi.g_01403	Prbb.g_01598
OG0000143	Prbi.g_01439	Prbb.g_01639
OG0000144	Prbi.g_01576	Prbb.g_01673
OG0000145	Prbi.g_01592	Prbb.g_01687
OG0000146	Prbi.g_01627	Prbb.g_01721
OG0000147	Prbi.g_01667	Prbb.g_01767
OG0000148	Prbi.g_01668	Prbb.g_01768
OG0000149	Prbi.g_01785	Prbb.g_01821
OG0000150	Prbi.g_01823	Prbb.g_01858
OG0000151	Prbi.g_01826	Prbb.g_01860
OG0000152	Prbi.g_01845	Prbb.g_01880
OG0000153	Prbi.g_01897	Prbb.g_01959
OG0000154	Prbi.g_01933	Prbb.g_01995
OG0000155	Prbi.g_01951	Prbb.g_02014
OG0000156	Prbi.g_01979	Prbb.g_02046
OG0000157	Prbi.g_02011	Prbb.g_02082
OG0000158	Prbi.g_02086	Prbb.g_02168
OG0000160	Prbi.g_00001	Prbb.g_00001
OG0000161	Prbi.g_00002	Prbb.g_00002
OG0000162	Prbi.g_00004	Prbb.g_00004
OG0000163	Prbi.g_00005	Prbb.g_00005
OG0000164	Prbi.g_00006	Prbb.g_00007
OG0000165	Prbi.g_00007	Prbb.g_00008
OG0000166	Prbi.g_00008	Prbb.g_00009
OG0000167	Prbi.g_00009	Prbb.g_00010
OG0000168	Prbi.g_00010	Prbb.g_00011
OG0000169	Prbi.g_00012	Prbb.g_00013
OG0000170	Prbi.g_00014	Prbb.g_00015
OG0000171	Prbi.g_00015	Prbb.g_00016
OG0000172	Prbi.g_00016	Prbb.g_00017
OG0000173	Prbi.g_00017	Prbb.g_00018
OG0000174	Prbi.g_00018	Prbb.g_00019
OG0000175	Prbi.g_00019	Prbb.g_00020
OG0000176	Prbi.g_00020	Prbb.g_00021
OG0000177	Prbi.g_00021	Prbb.g_00022
OG0000178	Prbi.g_00022	Prbb.g_00023
OG0000179	Prbi.g_00024	Prbb.g_00025
OG0000180	Prbi.g_00025	Prbb.g_00026
OG0000181	Prbi.g_00026	Prbb.g_00027
OG0000182	Prbi.g_00027	Prbb.g_00028
OG0000183	Prbi.g_00028	Prbb.g_00029
OG0000184	Prbi.g_00029	Prbb.g_00030
OG0000185	Prbi.g_00032	Prbb.g_00033
OG0000186	Prbi.g_00035	Prbb.g_00035
OG0000187	Prbi.g_00036	Prbb.g_00036
OG0000188	Prbi.g_00037	Prbb.g_00037
OG0000189	Prbi.g_00049	Prbb.g_00055
OG0000190	Prbi.g_00051	Prbb.g_00057
OG0000191	Prbi.g_00052	Prbb.g_00058
OG0000192	Prbi.g_00053	Prbb.g_00059
OG0000193	Prbi.g_00056	Prbb.g_00060
OG0000194	Prbi.g_00057	Prbb.g_00061
OG0000195	Prbi.g_00058	Prbb.g_00062
OG0000196	Prbi.g_00059	Prbb.g_00063
OG0000197	Prbi.g_00061	Prbb.g_00065
OG0000198	Prbi.g_00062	Prbb.g_00066
OG0000199	Prbi.g_00063	Prbb.g_00067
OG0000200	Prbi.g_00071	Prbb.g_00119
OG0000201	Prbi.g_00072	Prbb.g_00120
OG0000202	Prbi.g_00073	Prbb.g_00121
OG0000203	Prbi.g_00076	Prbb.g_00124
OG0000204	Prbi.g_00077	Prbb.g_00125
OG0000205	Prbi.g_00080	Prbb.g_00128
OG0000206	Prbi.g_00082	Prbb.g_00130
OG0000207	Prbi.g_00084	Prbb.g_00132
OG0000208	Prbi.g_00085	Prbb.g_00133
OG0000209	Prbi.g_00086	Prbb.g_00134
OG0000210	Prbi.g_00087	Prbb.g_00135
OG0000211	Prbi.g_00088	Prbb.g_00136
OG0000212	Prbi.g_00089	Prbb.g_00137
OG0000213	Prbi.g_00090	Prbb.g_00138
OG0000214	Prbi.g_00091	Prbb.g_00139
OG0000215	Prbi.g_00092	Prbb.g_00140
OG0000216	Prbi.g_00093	Prbb.g_00141
OG0000217	Prbi.g_00095	Prbb.g_00143
OG0000218	Prbi.g_00096	Prbb.g_00144
OG0000219	Prbi.g_00097	Prbb.g_00145
OG0000220	Prbi.g_00098	Prbb.g_00146
OG0000221	Prbi.g_00101	Prbb.g_00149
OG0000222	Prbi.g_00102	Prbb.g_00150
OG0000223	Prbi.g_00103	Prbb.g_00151
OG0000224	Prbi.g_00104	Prbb.g_00152
OG0000225	Prbi.g_00105	Prbb.g_00153
OG0000226	Prbi.g_00106	Prbb.g_00154
OG0000227	Prbi.g_00107	Prbb.g_00156
OG0000228	Prbi.g_00108	Prbb.g_00157
OG0000229	Prbi.g_00109	Prbb.g_00158
OG0000230	Prbi.g_00110	Prbb.g_00159
OG0000231	Prbi.g_00111	Prbb.g_00160
OG0000232	Prbi.g_00113	Prbb.g_00161
OG0000233	Prbi.g_00114	Prbb.g_00162
OG0000234	Prbi.g_00115	Prbb.g_00163
OG0000235	Prbi.g_00116	Prbb.g_00164
OG0000236	Prbi.g_00117	Prbb.g_00167
OG0000237	Prbi.g_00118	Prbb.g_00168
OG0000238	Prbi.g_00119	Prbb.g_00169
OG0000239	Prbi.g_00121	Prbb.g_00171
OG0000240	Prbi.g_00123	Prbb.g_00173
OG0000241	Prbi.g_00124	Prbb.g_00174
OG0000242	Prbi.g_00125	Prbb.g_00175
OG0000243	Prbi.g_00128	Prbb.g_00177
OG0000244	Prbi.g_00130	Prbb.g_00180
OG0000245	Prbi.g_00131	Prbb.g_00181
OG0000246	Prbi.g_00132	Prbb.g_00182
OG0000247	Prbi.g_00135	Prbb.g_00185
OG0000248	Prbi.g_00137	Prbb.g_00187
OG0000249	Prbi.g_00138	Prbb.g_00189
OG0000250	Prbi.g_00139	Prbb.g_00190
OG0000251	Prbi.g_00140	Prbb.g_00191
OG0000252	Prbi.g_00141	Prbb.g_00192
OG0000253	Prbi.g_00142	Prbb.g_00193
OG0000254	Prbi.g_00144	Prbb.g_01101
OG0000255	Prbi.g_00145	Prbb.g_00194
OG0000256	Prbi.g_00148	Prbb.g_00197
OG0000257	Prbi.g_00150	Prbb.g_00200
OG0000258	Prbi.g_00169	Prbb.g_00202
OG0000259	Prbi.g_00170	Prbb.g_00203
OG0000260	Prbi.g_00171	Prbb.g_00204
OG0000261	Prbi.g_00172	Prbb.g_00205
OG0000262	Prbi.g_00173	Prbb.g_00206
OG0000263	Prbi.g_00175	Prbb.g_00208
OG0000264	Prbi.g_00176	Prbb.g_00209
OG0000265	Prbi.g_00177	Prbb.g_00210
OG0000266	Prbi.g_00178	Prbb.g_00211
OG0000267	Prbi.g_00179	Prbb.g_00212
OG0000268	Prbi.g_00180	Prbb.g_00213
OG0000269	Prbi.g_00182	Prbb.g_00215
OG0000270	Prbi.g_00183	Prbb.g_00216
OG0000271	Prbi.g_00184	Prbb.g_00217
OG0000272	Prbi.g_00185	Prbb.g_00218
OG0000273	Prbi.g_00186	Prbb.g_00219
OG0000274	Prbi.g_00187	Prbb.g_00220
OG0000275	Prbi.g_00188	Prbb.g_00221
OG0000276	Prbi.g_00189	Prbb.g_00222
OG0000277	Prbi.g_00191	Prbb.g_00224
OG0000278	Prbi.g_00192	Prbb.g_00225
OG0000279	Prbi.g_00193	Prbb.g_00226
OG0000280	Prbi.g_00195	Prbb.g_00228
OG0000281	Prbi.g_00197	Prbb.g_00229
OG0000282	Prbi.g_00198	Prbb.g_00230
OG0000283	Prbi.g_00199	Prbb.g_00231
OG0000284	Prbi.g_00200	Prbb.g_00232
OG0000285	Prbi.g_00201	Prbb.g_00233
OG0000286	Prbi.g_00202	Prbb.g_00234
OG0000287	Prbi.g_00203	Prbb.g_00235
OG0000288	Prbi.g_00205	Prbb.g_00237
OG0000289	Prbi.g_00206	Prbb.g_00238
OG0000290	Prbi.g_00207	Prbb.g_00239
OG0000291	Prbi.g_00209	Prbb.g_00241
OG0000292	Prbi.g_00210	Prbb.g_00243
OG0000293	Prbi.g_00211	Prbb.g_00244
OG0000294	Prbi.g_00212	Prbb.g_00245
OG0000295	Prbi.g_00213	Prbb.g_00246
OG0000296	Prbi.g_00214	Prbb.g_00247
OG0000297	Prbi.g_00215	Prbb.g_00248
OG0000298	Prbi.g_00217	Prbb.g_00250
OG0000299	Prbi.g_00218	Prbb.g_00251
OG0000300	Prbi.g_00219	Prbb.g_00252
OG0000301	Prbi.g_00220	Prbb.g_00253
OG0000302	Prbi.g_00221	Prbb.g_00254
OG0000303	Prbi.g_00222	Prbb.g_00255
OG0000304	Prbi.g_00224	Prbb.g_00257
OG0000305	Prbi.g_00225	Prbb.g_00258
OG0000306	Prbi.g_00228	Prbb.g_00260
OG0000307	Prbi.g_00229	Prbb.g_00261
OG0000308	Prbi.g_00230	Prbb.g_00262
OG0000309	Prbi.g_00231	Prbb.g_00263
OG0000310	Prbi.g_00232	Prbb.g_00264
OG0000311	Prbi.g_00233	Prbb.g_00265
OG0000312	Prbi.g_00234	Prbb.g_00266
OG0000313	Prbi.g_00235	Prbb.g_00267
OG0000314	Prbi.g_00236	Prbb.g_00268
OG0000315	Prbi.g_00237	Prbb.g_00269
OG0000316	Prbi.g_00238	Prbb.g_00270
OG0000317	Prbi.g_00239	Prbb.g_00271
OG0000318	Prbi.g_00240	Prbb.g_00272
OG0000319	Prbi.g_00241	Prbb.g_00273
OG0000320	Prbi.g_00242	Prbb.g_00274
OG0000321	Prbi.g_00243	Prbb.g_00275
OG0000322	Prbi.g_00244	Prbb.g_00276
OG0000323	Prbi.g_00245	Prbb.g_00277
OG0000324	Prbi.g_00246	Prbb.g_00278
OG0000325	Prbi.g_00247	Prbb.g_00279
OG0000326	Prbi.g_00248	Prbb.g_00280
OG0000327	Prbi.g_00249	Prbb.g_00281
OG0000328	Prbi.g_00250	Prbb.g_00282
OG0000329	Prbi.g_00251	Prbb.g_00283
OG0000330	Prbi.g_00252	Prbb.g_00284
OG0000331	Prbi.g_00253	Prbb.g_00285
OG0000332	Prbi.g_00254	Prbb.g_00286
OG0000333	Prbi.g_00255	Prbb.g_00287
OG0000334	Prbi.g_00256	Prbb.g_00288
OG0000335	Prbi.g_00257	Prbb.g_00290
OG0000336	Prbi.g_00259	Prbb.g_00292
OG0000337	Prbi.g_00260	Prbb.g_00293
OG0000338	Prbi.g_00264	Prbb.g_00298
OG0000339	Prbi.g_00266	Prbb.g_00300
OG0000340	Prbi.g_00268	Prbb.g_00302
OG0000341	Prbi.g_00269	Prbb.g_00303
OG0000342	Prbi.g_00270	Prbb.g_00304
OG0000343	Prbi.g_00271	Prbb.g_00305
OG0000344	Prbi.g_00274	Prbb.g_00306
OG0000345	Prbi.g_00277	Prbb.g_00309
OG0000346	Prbi.g_00278	Prbb.g_00310
OG0000347	Prbi.g_00281	Prbb.g_00313
OG0000348	Prbi.g_00283	Prbb.g_00314
OG0000349	Prbi.g_00284	Prbb.g_00315
OG0000350	Prbi.g_00286	Prbb.g_00316
OG0000351	Prbi.g_00287	Prbb.g_00317
OG0000352	Prbi.g_00288	Prbb.g_00318
OG0000353	Prbi.g_00289	Prbb.g_00319
OG0000354	Prbi.g_00290	Prbb.g_00320
OG0000355	Prbi.g_00291	Prbb.g_00321
OG0000356	Prbi.g_00292	Prbb.g_00322
OG0000357	Prbi.g_00293	Prbb.g_00323
OG0000358	Prbi.g_00294	Prbb.g_00324
OG0000359	Prbi.g_00295	Prbb.g_00326
OG0000360	Prbi.g_00299	Prbb.g_00328
OG0000361	Prbi.g_00300	Prbb.g_00329
OG0000362	Prbi.g_00301	Prbb.g_00330
OG0000363	Prbi.g_00302	Prbb.g_00331
OG0000364	Prbi.g_00306	Prbb.g_00334
OG0000365	Prbi.g_00307	Prbb.g_00335
OG0000366	Prbi.g_00309	Prbb.g_00337
OG0000367	Prbi.g_00310	Prbb.g_00338
OG0000368	Prbi.g_00311	Prbb.g_00339
OG0000369	Prbi.g_00312	Prbb.g_00340
OG0000370	Prbi.g_00313	Prbb.g_00341
OG0000371	Prbi.g_00314	Prbb.g_00342
OG0000372	Prbi.g_00315	Prbb.g_00343
OG0000373	Prbi.g_00316	Prbb.g_00344
OG0000374	Prbi.g_00318	Prbb.g_00345
OG0000375	Prbi.g_00319	Prbb.g_00346
OG0000376	Prbi.g_00322	Prbb.g_00349
OG0000377	Prbi.g_00323	Prbb.g_00350
OG0000378	Prbi.g_00324	Prbb.g_00351
OG0000379	Prbi.g_00325	Prbb.g_00352
OG0000380	Prbi.g_00326	Prbb.g_00353
OG0000381	Prbi.g_00327	Prbb.g_00354
OG0000382	Prbi.g_00328	Prbb.g_00355
OG0000383	Prbi.g_00329	Prbb.g_00356
OG0000384	Prbi.g_00332	Prbb.g_00359
OG0000385	Prbi.g_00333	Prbb.g_00360
OG0000386	Prbi.g_00334	Prbb.g_00361
OG0000387	Prbi.g_00335	Prbb.g_00362
OG0000388	Prbi.g_00336	Prbb.g_00363
OG0000389	Prbi.g_00337	Prbb.g_00364
OG0000390	Prbi.g_00338	Prbb.g_00365
OG0000391	Prbi.g_00339	Prbb.g_00366
OG0000392	Prbi.g_00340	Prbb.g_00367
OG0000393	Prbi.g_00341	Prbb.g_00368
OG0000394	Prbi.g_00342	Prbb.g_00369
OG0000395	Prbi.g_00343	Prbb.g_00370
OG0000396	Prbi.g_00345	Prbb.g_00372
OG0000397	Prbi.g_00347	Prbb.g_00374
OG0000398	Prbi.g_00348	Prbb.g_00375
OG0000399	Prbi.g_00351	Prbb.g_00378
OG0000400	Prbi.g_00352	Prbb.g_00384
OG0000401	Prbi.g_00353	Prbb.g_00739
OG0000402	Prbi.g_00358	Prbb.g_00394
OG0000403	Prbi.g_00359	Prbb.g_00396
OG0000404	Prbi.g_00360	Prbb.g_00397
OG0000405	Prbi.g_00362	Prbb.g_00398
OG0000406	Prbi.g_00365	Prbb.g_00401
OG0000407	Prbi.g_00366	Prbb.g_00402
OG0000408	Prbi.g_00369	Prbb.g_00404
OG0000409	Prbi.g_00370	Prbb.g_00405
OG0000410	Prbi.g_00371	Prbb.g_00406
OG0000411	Prbi.g_00372	Prbb.g_00407
OG0000412	Prbi.g_00373	Prbb.g_00408
OG0000413	Prbi.g_00374	Prbb.g_00409
OG0000414	Prbi.g_00375	Prbb.g_00410
OG0000415	Prbi.g_00376	Prbb.g_00411
OG0000416	Prbi.g_00379	Prbb.g_00415
OG0000417	Prbi.g_00380	Prbb.g_00416
OG0000418	Prbi.g_00381	Prbb.g_00418
OG0000419	Prbi.g_00382	Prbb.g_00419
OG0000420	Prbi.g_00383	Prbb.g_00836
OG0000421	Prbi.g_00395	Prbb.g_01094
OG0000422	Prbi.g_00403	Prbb.g_01124
OG0000423	Prbi.g_00404	Prbb.g_01288
OG0000424	Prbi.g_00409	Prbb.g_01923
OG0000425	Prbi.g_00432	Prbb.g_00436
OG0000426	Prbi.g_00433	Prbb.g_00437
OG0000427	Prbi.g_00434	Prbb.g_00438
OG0000428	Prbi.g_00436	Prbb.g_00440
OG0000429	Prbi.g_00437	Prbb.g_00441
OG0000430	Prbi.g_00439	Prbb.g_00443
OG0000431	Prbi.g_00440	Prbb.g_00444
OG0000432	Prbi.g_00441	Prbb.g_00445
OG0000433	Prbi.g_00442	Prbb.g_00446
OG0000434	Prbi.g_00443	Prbb.g_00447
OG0000435	Prbi.g_00444	Prbb.g_00448
OG0000436	Prbi.g_00445	Prbb.g_00449
OG0000437	Prbi.g_00446	Prbb.g_00450
OG0000438	Prbi.g_00447	Prbb.g_00451
OG0000439	Prbi.g_00448	Prbb.g_00452
OG0000440	Prbi.g_00449	Prbb.g_00453
OG0000441	Prbi.g_00450	Prbb.g_00454
OG0000442	Prbi.g_00451	Prbb.g_00455
OG0000443	Prbi.g_00452	Prbb.g_00456
OG0000444	Prbi.g_00453	Prbb.g_00457
OG0000445	Prbi.g_00454	Prbb.g_00458
OG0000446	Prbi.g_00456	Prbb.g_00460
OG0000447	Prbi.g_00457	Prbb.g_00461
OG0000448	Prbi.g_00459	Prbb.g_00462
OG0000449	Prbi.g_00463	Prbb.g_00468
OG0000450	Prbi.g_00464	Prbb.g_00469
OG0000451	Prbi.g_00465	Prbb.g_00470
OG0000452	Prbi.g_00466	Prbb.g_00472
OG0000453	Prbi.g_00467	Prbb.g_00473
OG0000454	Prbi.g_00474	Prbb.g_00475
OG0000455	Prbi.g_00476	Prbb.g_00476
OG0000456	Prbi.g_00480	Prbb.g_00480
OG0000457	Prbi.g_00481	Prbb.g_00482
OG0000458	Prbi.g_00482	Prbb.g_00483
OG0000459	Prbi.g_00484	Prbb.g_00486
OG0000460	Prbi.g_00486	Prbb.g_00488
OG0000461	Prbi.g_00487	Prbb.g_00489
OG0000462	Prbi.g_00488	Prbb.g_00490
OG0000463	Prbi.g_00490	Prbb.g_00491
OG0000464	Prbi.g_00491	Prbb.g_00492
OG0000465	Prbi.g_00492	Prbb.g_00493
OG0000466	Prbi.g_00493	Prbb.g_00494
OG0000467	Prbi.g_00494	Prbb.g_00495
OG0000468	Prbi.g_00495	Prbb.g_00496
OG0000469	Prbi.g_00496	Prbb.g_00497
OG0000470	Prbi.g_00497	Prbb.g_00498
OG0000471	Prbi.g_00498	Prbb.g_00499
OG0000472	Prbi.g_00503	Prbb.g_00504
OG0000473	Prbi.g_00504	Prbb.g_00505
OG0000474	Prbi.g_00505	Prbb.g_00506
OG0000475	Prbi.g_00506	Prbb.g_00507
OG0000476	Prbi.g_00508	Prbb.g_00509
OG0000477	Prbi.g_00509	Prbb.g_00510
OG0000478	Prbi.g_00510	Prbb.g_00511
OG0000479	Prbi.g_00511	Prbb.g_00512
OG0000480	Prbi.g_00513	Prbb.g_00514
OG0000481	Prbi.g_00515	Prbb.g_00516
OG0000482	Prbi.g_00516	Prbb.g_00517
OG0000483	Prbi.g_00518	Prbb.g_00519
OG0000484	Prbi.g_00519	Prbb.g_00520
OG0000485	Prbi.g_00520	Prbb.g_00521
OG0000486	Prbi.g_00521	Prbb.g_00523
OG0000487	Prbi.g_00526	Prbb.g_00527
OG0000488	Prbi.g_00528	Prbb.g_00528
OG0000489	Prbi.g_00529	Prbb.g_00529
OG0000490	Prbi.g_00530	Prbb.g_00530
OG0000491	Prbi.g_00531	Prbb.g_00531
OG0000492	Prbi.g_00532	Prbb.g_00532
OG0000493	Prbi.g_00533	Prbb.g_00533
OG0000494	Prbi.g_00534	Prbb.g_00534
OG0000495	Prbi.g_00537	Prbb.g_00537
OG0000496	Prbi.g_00538	Prbb.g_00538
OG0000497	Prbi.g_00539	Prbb.g_00539
OG0000498	Prbi.g_00540	Prbb.g_00540
OG0000499	Prbi.g_00541	Prbb.g_00541
OG0000500	Prbi.g_00543	Prbb.g_00543
OG0000501	Prbi.g_00544	Prbb.g_00544
OG0000502	Prbi.g_00545	Prbb.g_00545
OG0000503	Prbi.g_00547	Prbb.g_00547
OG0000504	Prbi.g_00548	Prbb.g_00548
OG0000505	Prbi.g_00549	Prbb.g_00550
OG0000506	Prbi.g_00550	Prbb.g_00551
OG0000507	Prbi.g_00551	Prbb.g_00552
OG0000508	Prbi.g_00552	Prbb.g_00553
OG0000509	Prbi.g_00553	Prbb.g_00554
OG0000510	Prbi.g_00554	Prbb.g_00555
OG0000511	Prbi.g_00556	Prbb.g_00557
OG0000512	Prbi.g_00557	Prbb.g_00558
OG0000513	Prbi.g_00558	Prbb.g_00559
OG0000514	Prbi.g_00559	Prbb.g_00560
OG0000515	Prbi.g_00560	Prbb.g_00561
OG0000516	Prbi.g_00561	Prbb.g_00562
OG0000517	Prbi.g_00563	Prbb.g_00564
OG0000518	Prbi.g_00564	Prbb.g_00565
OG0000519	Prbi.g_00565	Prbb.g_00566
OG0000520	Prbi.g_00566	Prbb.g_00567
OG0000521	Prbi.g_00567	Prbb.g_00568
OG0000522	Prbi.g_00568	Prbb.g_00569
OG0000523	Prbi.g_00569	Prbb.g_00570
OG0000524	Prbi.g_00570	Prbb.g_00571
OG0000525	Prbi.g_00571	Prbb.g_00572
