Orthogroup	Prbj	Prbc
OG0000056	Prbj.g_02533	Prbc.g_01108, Prbc.g_00011, Prbc.g_00532
OG0000057	Prbj.g_00758	Prbc.g_01780, Prbc.g_00055
OG0000059	Prbj.g_01521	Prbc.g_00958
OG0000062	Prbj.g_00881	Prbc.g_00790
OG0000063	Prbj.g_01208	Prbc.g_00932
OG0000065	Prbj.g_00620	Prbc.g_00466
OG0000066	Prbj.g_02141	Prbc.g_01618
OG0000067	Prbj.g_02412	Prbc.g_01858
OG0000068	Prbj.g_01639	Prbc.g_00657
OG0000070	Prbj.g_00118	Prbc.g_01511
OG0000071	Prbj.g_01728	Prbc.g_00566
OG0000072	Prbj.g_00516	Prbc.g_00400
OG0000073	Prbj.g_01608	Prbc.g_01579
OG0000075	Prbj.g_01502	Prbc.g_00236
OG0000076	Prbj.g_01598	Prbc.g_00211
OG0000077	Prbj.g_00576, Prbj.g_01900	Prbc.g_00495
OG0000078	Prbj.g_02614	Prbc.g_00330
OG0000079	Prbj.g_01353	Prbc.g_01148
OG0000081	Prbj.g_00765	Prbc.g_01610
OG0000082	Prbj.g_01789	Prbc.g_00891
OG0000084	Prbj.g_01052	Prbc.g_00705
OG0000085	Prbj.g_00869	Prbc.g_00826
OG0000086	Prbj.g_00589	Prbc.g_00485
OG0000087	Prbj.g_01547	Prbc.g_00432
OG0000088	Prbj.g_00521	Prbc.g_00405
OG0000089	Prbj.g_00064	Prbc.g_01268
OG0000090	Prbj.g_02127	Prbc.g_01612
OG0000091	Prbj.g_02581	Prbc.g_01719
OG0000093	Prbj.g_02388	Prbc.g_01843
OG0000094	Prbj.g_01985	Prbc.g_01935
OG0000097	Prbj.g_02152	Prbc.g_01400
OG0000098	Prbj.g_00669	Prbc.g_00585
OG0000099	Prbj.g_01464	Prbc.g_01229
OG0000100	Prbj.g_00185, Prbj.g_02442	Prbc.g_00785
OG0000101	Prbj.g_00415, Prbj.g_00981	Prbc.g_00284
OG0000102	Prbj.g_01819	Prbc.g_00206
OG0000103	Prbj.g_02055	Prbc.g_01053
OG0000104	Prbj.g_02069	Prbc.g_01065
OG0000105	Prbj.g_01397	Prbc.g_01167
OG0000106	Prbj.g_00875	Prbc.g_00134, Prbc.g_00641
OG0000108	Prbj.g_01630	Prbc.g_01540
OG0000109	Prbj.g_01614	Prbc.g_01553
OG0000110	Prbj.g_01801	Prbc.g_01654
OG0000111	Prbj.g_00759	Prbc.g_01781
OG0000112	Prbj.g_02276	Prbc.g_02028
OG0000113	Prbj.g_02437	Prbc.g_01882, Prbc.g_00153
OG0000114	Prbj.g_02340	Prbc.g_01977
OG0000115	Prbj.g_00634	Prbc.g_00801
OG0000116	Prbj.g_00956	Prbc.g_01457
OG0000117	Prbj.g_01915	Prbc.g_00102
OG0000118	Prbj.g_01742	Prbc.g_00577
OG0000119	Prbj.g_00740, Prbj.g_00778	Prbc.g_00650
OG0000120	Prbj.g_01465	Prbc.g_01753
OG0000121	Prbj.g_01064, Prbj.g_01058	Prbc.g_00711
OG0000122	Prbj.g_02627	Prbc.g_00750
OG0000123	Prbj.g_00406	Prbc.g_00277
OG0000124	Prbj.g_01281	Prbc.g_00193
OG0000125	Prbj.g_01963	Prbc.g_00997
OG0000126	Prbj.g_02067	Prbc.g_01063
OG0000127	Prbj.g_02148, Prbj.g_00896	Prbc.g_01352, Prbc.g_00621
OG0000127	Prbj.g_00210	Prbc.g_00002, Prbc.g_00016
OG0000128	Prbj.g_02085	Prbc.g_01081
OG0000129	Prbj.g_01951	Prbc.g_01122
OG0000130	Prbj.g_00564	Prbc.g_00504
OG0000131	Prbj.g_00543	Prbc.g_00426
OG0000132	Prbj.g_00523	Prbc.g_00407
OG0000133	Prbj.g_01460	Prbc.g_01214
OG0000134	Prbj.g_00067	Prbc.g_01270
OG0000135	Prbj.g_02004	Prbc.g_02198, Prbc.g_02183
OG0000136	Prbj.g_00105	Prbc.g_01502
OG0000137	Prbj.g_00128	Prbc.g_01534
OG0000138	Prbj.g_01613	Prbc.g_01554
OG0000139	Prbj.g_02133	Prbc.g_01616
OG0000140	Prbj.g_02139	Prbc.g_01617
OG0000141	Prbj.g_01757	Prbc.g_01684
OG0000142	Prbj.g_02573	Prbc.g_01712
OG0000143	Prbj.g_02577	Prbc.g_01716
OG0000144	Prbj.g_00793	Prbc.g_01729
OG0000145	Prbj.g_01607	Prbc.g_02142
OG0000146	Prbj.g_02277	Prbc.g_02027
OG0000147	Prbj.g_02278	Prbc.g_02026
OG0000148	Prbj.g_02431	Prbc.g_01876
OG0000149	Prbj.g_02488	Prbc.g_01908
OG0000150	Prbj.g_02511	Prbc.g_01916
OG0000151	Prbj.g_02361	Prbc.g_01988
OG0000152	Prbj.g_02268	Prbc.g_02036
OG0000153	Prbj.g_02241	Prbc.g_02054
OG0000154	Prbj.g_02213	Prbc.g_02083
OG0000155	Prbj.g_00312	Prbc.g_01424
OG0000156	Prbj.g_00163	Prbc.g_00555
OG0000157	Prbj.g_00162	Prbc.g_00556
OG0000158	Prbj.g_01514	Prbc.g_00228
OG0000160	Prbj.g_01057	Prbc.g_00710
OG0000161	Prbj.g_01071	Prbc.g_00716
OG0000162	Prbj.g_01077	Prbc.g_00722
OG0000163	Prbj.g_01688	Prbc.g_00758
OG0000164	Prbj.g_00476	Prbc.g_00854
OG0000165	Prbj.g_00467	Prbc.g_00862
OG0000166	Prbj.g_01019	Prbc.g_00321
OG0000167	Prbj.g_01500	Prbc.g_00238
OG0000168	Prbj.g_01515	Prbc.g_00227
OG0000169	Prbj.g_01581	Prbc.g_00217
OG0000170	Prbj.g_01593	Prbc.g_00215
OG0000171	Prbj.g_01282	Prbc.g_00194
OG0000172	Prbj.g_01248	Prbc.g_00967
OG0000173	Prbj.g_01227	Prbc.g_00982
OG0000174	Prbj.g_02006	Prbc.g_01013
OG0000175	Prbj.g_02044	Prbc.g_01044
OG0000176	Prbj.g_02077	Prbc.g_01074
OG0000177	Prbj.g_02078	Prbc.g_01075
OG0000178	Prbj.g_02079	Prbc.g_01076
OG0000179	Prbj.g_01188	Prbc.g_01086
OG0000180	Prbj.g_01189	Prbc.g_01087
OG0000181	Prbj.g_01190	Prbc.g_01088
OG0000182	Prbj.g_01191	Prbc.g_01089
OG0000183	Prbj.g_01195	Prbc.g_01093
OG0000184	Prbj.g_01943	Prbc.g_01124
OG0000185	Prbj.g_01921	Prbc.g_01127
OG0000186	Prbj.g_00558	Prbc.g_00509
OG0000187	Prbj.g_00560	Prbc.g_00508
OG0000188	Prbj.g_00581	Prbc.g_00491
OG0000189	Prbj.g_00607	Prbc.g_00477
OG0000190	Prbj.g_00609	Prbc.g_00476
OG0000191	Prbj.g_01557	Prbc.g_00453
OG0000192	Prbj.g_01566	Prbc.g_00449
OG0000193	Prbj.g_00542	Prbc.g_00425
OG0000194	Prbj.g_00539	Prbc.g_00422
OG0000195	Prbj.g_00537	Prbc.g_00420
OG0000196	Prbj.g_00526	Prbc.g_00410
OG0000197	Prbj.g_00525	Prbc.g_00409
OG0000198	Prbj.g_00524	Prbc.g_00408
OG0000199	Prbj.g_00517	Prbc.g_00401
OG0000200	Prbj.g_01138	Prbc.g_00388
OG0000201	Prbj.g_01157	Prbc.g_00379
OG0000202	Prbj.g_01158	Prbc.g_00378
OG0000203	Prbj.g_01159	Prbc.g_00377
OG0000204	Prbj.g_01160	Prbc.g_00376
OG0000205	Prbj.g_01167	Prbc.g_00369
OG0000206	Prbj.g_00288	Prbc.g_00365
OG0000207	Prbj.g_00234	Prbc.g_00363
OG0000208	Prbj.g_00235	Prbc.g_00362
OG0000209	Prbj.g_00262	Prbc.g_00352
OG0000210	Prbj.g_00263	Prbc.g_00351
OG0000211	Prbj.g_00177	Prbc.g_00337
OG0000212	Prbj.g_02615	Prbc.g_00329
OG0000213	Prbj.g_01362	Prbc.g_01153
OG0000214	Prbj.g_01389	Prbc.g_01161
OG0000215	Prbj.g_01419	Prbc.g_01185
OG0000216	Prbj.g_01422	Prbc.g_01186
OG0000217	Prbj.g_01426	Prbc.g_01189
OG0000218	Prbj.g_01430	Prbc.g_01191
OG0000219	Prbj.g_01431	Prbc.g_01192
OG0000220	Prbj.g_01432	Prbc.g_01193
OG0000221	Prbj.g_01437	Prbc.g_01194
OG0000222	Prbj.g_01446	Prbc.g_01202
OG0000223	Prbj.g_01469	Prbc.g_01215
OG0000224	Prbj.g_01480	Prbc.g_01217
OG0000225	Prbj.g_00323	Prbc.g_01257
OG0000226	Prbj.g_00319	Prbc.g_01261
OG0000227	Prbj.g_00317	Prbc.g_01263
OG0000228	Prbj.g_00063	Prbc.g_01267
OG0000229	Prbj.g_00100	Prbc.g_01497
OG0000230	Prbj.g_00102	Prbc.g_01499
OG0000231	Prbj.g_00117	Prbc.g_01510
OG0000232	Prbj.g_01888	Prbc.g_01518
OG0000233	Prbj.g_00148	Prbc.g_01526
OG0000234	Prbj.g_00127	Prbc.g_01535
OG0000235	Prbj.g_01631	Prbc.g_01539
OG0000236	Prbj.g_01615	Prbc.g_01552
OG0000237	Prbj.g_02094	Prbc.g_01586
OG0000238	Prbj.g_02098	Prbc.g_01592
OG0000239	Prbj.g_02114	Prbc.g_01604
OG0000240	Prbj.g_02115	Prbc.g_01605
OG0000241	Prbj.g_01116	Prbc.g_01609
OG0000242	Prbj.g_02125	Prbc.g_01611
OG0000243	Prbj.g_02668	Prbc.g_01622
OG0000244	Prbj.g_01859	Prbc.g_01626
OG0000245	Prbj.g_01862	Prbc.g_01628
OG0000246	Prbj.g_01866	Prbc.g_01632
OG0000247	Prbj.g_01877	Prbc.g_01642
OG0000248	Prbj.g_01880	Prbc.g_01644
OG0000249	Prbj.g_01882	Prbc.g_01646
OG0000250	Prbj.g_01805	Prbc.g_01651
OG0000251	Prbj.g_01781	Prbc.g_01667
OG0000252	Prbj.g_01778	Prbc.g_01669
OG0000253	Prbj.g_01772	Prbc.g_01671
OG0000254	Prbj.g_01753	Prbc.g_01688
OG0000255	Prbj.g_02546	Prbc.g_01694
OG0000256	Prbj.g_02560	Prbc.g_01704
OG0000257	Prbj.g_02566	Prbc.g_01707
OG0000258	Prbj.g_02589	Prbc.g_01720
OG0000259	Prbj.g_00812	Prbc.g_01737
OG0000260	Prbj.g_00816	Prbc.g_01740
OG0000261	Prbj.g_00819	Prbc.g_01743
OG0000262	Prbj.g_00824	Prbc.g_01748
OG0000263	Prbj.g_00248	Prbc.g_01762
OG0000264	Prbj.g_00933	Prbc.g_01773
OG0000265	Prbj.g_02178, Prbj.g_00913	Prbc.g_01787
OG0000266	Prbj.g_02189	Prbc.g_01797
OG0000267	Prbj.g_02315	Prbc.g_01810
OG0000268	Prbj.g_02314	Prbc.g_01811
OG0000269	Prbj.g_02407	Prbc.g_01853
OG0000270	Prbj.g_02410	Prbc.g_01856
OG0000271	Prbj.g_02418	Prbc.g_01864
OG0000272	Prbj.g_02419	Prbc.g_01865
OG0000273	Prbj.g_02470	Prbc.g_01890
OG0000274	Prbj.g_02471	Prbc.g_01891
OG0000275	Prbj.g_02474	Prbc.g_01893
OG0000276	Prbj.g_02480	Prbc.g_01899
OG0000277	Prbj.g_02481	Prbc.g_01900
OG0000278	Prbj.g_02484	Prbc.g_01904
OG0000279	Prbj.g_02492	Prbc.g_01911
OG0000280	Prbj.g_02498	Prbc.g_00068
OG0000281	Prbj.g_02512	Prbc.g_01917
OG0000282	Prbj.g_02342	Prbc.g_01979
OG0000283	Prbj.g_02303	Prbc.g_02010
OG0000284	Prbj.g_02297	Prbc.g_02015
OG0000285	Prbj.g_00694	Prbc.g_02020
OG0000286	Prbj.g_02269	Prbc.g_02035
OG0000287	Prbj.g_00722	Prbc.g_02190
OG0000288	Prbj.g_02214	Prbc.g_02082
OG0000289	Prbj.g_02201	Prbc.g_02094
OG0000290	Prbj.g_01841	Prbc.g_02110
OG0000291	Prbj.g_01839	Prbc.g_02112
OG0000292	Prbj.g_02066	Prbc.g_00173
OG0000293	Prbj.g_00958	Prbc.g_01456
OG0000294	Prbj.g_00959	Prbc.g_01455
OG0000295	Prbj.g_00304	Prbc.g_01431
OG0000296	Prbj.g_00306, Prbj.g_00307	Prbc.g_01429
OG0000297	Prbj.g_01913	Prbc.g_01421
OG0000298	Prbj.g_01914	Prbc.g_01420
OG0000299	Prbj.g_01903	Prbc.g_01401
OG0000300	Prbj.g_02155	Prbc.g_01398
OG0000301	Prbj.g_02156	Prbc.g_01397
OG0000302	Prbj.g_02159	Prbc.g_01395
OG0000303	Prbj.g_00314	Prbc.g_01390
OG0000304	Prbj.g_00020	Prbc.g_01387
OG0000305	Prbj.g_01837	Prbc.g_00810
OG0000306	Prbj.g_02521	Prbc.g_01921
OG0000307	Prbj.g_01647	Prbc.g_00666
OG0000308	Prbj.g_01649	Prbc.g_00667
OG0000309	Prbj.g_01653	Prbc.g_00671
OG0000310	Prbj.g_01294	Prbc.g_00693
OG0000311	Prbj.g_01040	Prbc.g_00695
OG0000312	Prbj.g_01044	Prbc.g_00698
OG0000313	Prbj.g_01068	Prbc.g_00713
OG0000314	Prbj.g_00646	Prbc.g_00734
OG0000315	Prbj.g_00656	Prbc.g_00744
OG0000316	Prbj.g_01699	Prbc.g_00768
OG0000317	Prbj.g_00863	Prbc.g_00830
OG0000318	Prbj.g_00856	Prbc.g_00833
OG0000319	Prbj.g_00487	Prbc.g_00844
OG0000320	Prbj.g_00485	Prbc.g_00846
OG0000321	Prbj.g_00484	Prbc.g_00847
OG0000322	Prbj.g_00483	Prbc.g_00848
OG0000323	Prbj.g_00472	Prbc.g_00857
OG0000324	Prbj.g_00443	Prbc.g_00884
OG0000325	Prbj.g_02657	Prbc.g_00935
OG0000326	Prbj.g_02649	Prbc.g_00941
OG0000327	Prbj.g_01024	Prbc.g_00326
OG0000328	Prbj.g_01023	Prbc.g_00325
OG0000329	Prbj.g_01006	Prbc.g_00308
OG0000330	Prbj.g_01005	Prbc.g_00307
OG0000331	Prbj.g_01004	Prbc.g_00306
OG0000332	Prbj.g_00989	Prbc.g_00292
OG0000333	Prbj.g_00987	Prbc.g_00290
OG0000334	Prbj.g_00410	Prbc.g_00281
OG0000335	Prbj.g_00405	Prbc.g_00276
OG0000336	Prbj.g_00401	Prbc.g_00272
OG0000337	Prbj.g_01494	Prbc.g_00241
OG0000338	Prbj.g_01498	Prbc.g_00240
OG0000339	Prbj.g_01504	Prbc.g_00235
OG0000340	Prbj.g_01516	Prbc.g_00226
OG0000341	Prbj.g_01518	Prbc.g_00224
OG0000342	Prbj.g_01519	Prbc.g_00223
OG0000343	Prbj.g_01576	Prbc.g_00222
OG0000344	Prbj.g_01579	Prbc.g_00219
OG0000345	Prbj.g_01594	Prbc.g_00214
OG0000346	Prbj.g_01599	Prbc.g_00210
OG0000347	Prbj.g_01280	Prbc.g_00190
OG0000348	Prbj.g_01243	Prbc.g_00970
OG0000349	Prbj.g_01219	Prbc.g_00988
OG0000350	Prbj.g_01999	Prbc.g_01009
OG0000351	Prbj.g_02047	Prbc.g_01047
OG0000352	Prbj.g_02048	Prbc.g_01048
OG0000353	Prbj.g_02072	Prbc.g_01068
OG0000355	Prbj.g_02074	Prbc.g_01071
OG0000356	Prbj.g_02075	Prbc.g_01072
OG0000357	Prbj.g_02076	Prbc.g_01073
OG0000358	Prbj.g_02080	Prbc.g_01077
OG0000359	Prbj.g_02082	Prbc.g_01078
OG0000360	Prbj.g_02083	Prbc.g_01079
OG0000361	Prbj.g_02084	Prbc.g_01080
OG0000362	Prbj.g_02086	Prbc.g_01082
OG0000363	Prbj.g_01182	Prbc.g_01084
OG0000364	Prbj.g_01183	Prbc.g_01085
OG0000365	Prbj.g_01192	Prbc.g_01090
OG0000366	Prbj.g_01193	Prbc.g_01091
OG0000367	Prbj.g_01194	Prbc.g_01092
OG0000368	Prbj.g_01196	Prbc.g_01094
OG0000369	Prbj.g_01197	Prbc.g_01095
OG0000370	Prbj.g_01198	Prbc.g_01096
OG0000371	Prbj.g_01207	Prbc.g_01102
OG0000372	Prbj.g_01212	Prbc.g_01104
OG0000373	Prbj.g_01213	Prbc.g_01105
OG0000374	Prbj.g_01214	Prbc.g_01106
OG0000375	Prbj.g_01215	Prbc.g_01118
OG0000376	Prbj.g_01217	Prbc.g_01120
OG0000377	Prbj.g_01950	Prbc.g_01123
OG0000378	Prbj.g_01936	Prbc.g_01125
OG0000379	Prbj.g_01920	Prbc.g_01128
OG0000380	Prbj.g_00561	Prbc.g_00507
OG0000381	Prbj.g_00565	Prbc.g_00503
OG0000382	Prbj.g_00580	Prbc.g_00492
OG0000383	Prbj.g_00582	Prbc.g_00490
OG0000384	Prbj.g_00583	Prbc.g_00489
OG0000385	Prbj.g_00584	Prbc.g_00488
OG0000386	Prbj.g_00585	Prbc.g_00487
OG0000387	Prbj.g_00611	Prbc.g_00474
OG0000388	Prbj.g_00615	Prbc.g_00470
OG0000389	Prbj.g_00619	Prbc.g_00467
OG0000390	Prbj.g_01551	Prbc.g_00458
OG0000391	Prbj.g_01556	Prbc.g_00454
OG0000392	Prbj.g_01562	Prbc.g_00451
OG0000393	Prbj.g_01567	Prbc.g_00448
OG0000394	Prbj.g_01568	Prbc.g_00447
OG0000395	Prbj.g_01569	Prbc.g_00446
OG0000396	Prbj.g_01530	Prbc.g_00443
OG0000397	Prbj.g_01532	Prbc.g_00441
OG0000398	Prbj.g_01537	Prbc.g_00438
OG0000399	Prbj.g_01538	Prbc.g_00437
OG0000400	Prbj.g_01539	Prbc.g_00436
OG0000401	Prbj.g_01540	Prbc.g_00435
OG0000402	Prbj.g_01542	Prbc.g_02145
OG0000403	Prbj.g_01543	Prbc.g_00434
OG0000404	Prbj.g_01545	Prbc.g_00433
OG0000405	Prbj.g_00545	Prbc.g_00428
OG0000406	Prbj.g_00541	Prbc.g_00424
OG0000407	Prbj.g_00540	Prbc.g_00423
OG0000408	Prbj.g_00538	Prbc.g_00421
OG0000409	Prbj.g_00536	Prbc.g_00419
OG0000410	Prbj.g_00535	Prbc.g_00418
OG0000411	Prbj.g_00534	Prbc.g_00417
OG0000412	Prbj.g_00533	Prbc.g_00416
OG0000413	Prbj.g_00531	Prbc.g_00415
OG0000414	Prbj.g_00530	Prbc.g_00414
OG0000415	Prbj.g_00529	Prbc.g_00413
OG0000416	Prbj.g_00528	Prbc.g_00412
OG0000417	Prbj.g_00527	Prbc.g_00411
OG0000418	Prbj.g_00522	Prbc.g_00406
OG0000419	Prbj.g_00520	Prbc.g_00404
OG0000420	Prbj.g_00519	Prbc.g_00403
OG0000421	Prbj.g_00515	Prbc.g_00399
OG0000422	Prbj.g_00514	Prbc.g_00398
OG0000423	Prbj.g_00513	Prbc.g_00397
OG0000424	Prbj.g_00512	Prbc.g_00396
OG0000425	Prbj.g_00511	Prbc.g_00395
OG0000426	Prbj.g_00510	Prbc.g_00394
OG0000427	Prbj.g_00509	Prbc.g_00393
OG0000428	Prbj.g_02369	Prbc.g_00391
OG0000429	Prbj.g_01135	Prbc.g_00390
OG0000430	Prbj.g_01137	Prbc.g_00389
OG0000431	Prbj.g_01141	Prbc.g_00387
OG0000432	Prbj.g_01148	Prbc.g_00383
OG0000433	Prbj.g_01151	Prbc.g_00382
OG0000434	Prbj.g_01152	Prbc.g_00381
OG0000435	Prbj.g_01155	Prbc.g_00380
OG0000436	Prbj.g_01161	Prbc.g_00375
OG0000437	Prbj.g_01162	Prbc.g_00374
OG0000438	Prbj.g_01163	Prbc.g_00373
OG0000439	Prbj.g_01165	Prbc.g_00371
OG0000440	Prbj.g_01166	Prbc.g_00370
OG0000441	Prbj.g_01173	Prbc.g_00368
OG0000442	Prbj.g_01174	Prbc.g_00367
OG0000443	Prbj.g_00289	Prbc.g_00366
OG0000444	Prbj.g_00237	Prbc.g_00361
OG0000445	Prbj.g_00238	Prbc.g_00360
OG0000446	Prbj.g_00240	Prbc.g_00358
OG0000447	Prbj.g_00250	Prbc.g_00357
OG0000448	Prbj.g_00251	Prbc.g_00356
OG0000449	Prbj.g_00252	Prbc.g_00355
OG0000450	Prbj.g_00258	Prbc.g_00354
OG0000451	Prbj.g_00259	Prbc.g_00353
OG0000452	Prbj.g_00264	Prbc.g_00350
OG0000453	Prbj.g_00265	Prbc.g_00349
OG0000454	Prbj.g_00266	Prbc.g_00348
OG0000455	Prbj.g_00267	Prbc.g_00347
OG0000456	Prbj.g_00268	Prbc.g_00346
OG0000457	Prbj.g_00270	Prbc.g_00345
OG0000458	Prbj.g_00271	Prbc.g_00344
OG0000459	Prbj.g_00272	Prbc.g_00343
OG0000460	Prbj.g_00176	Prbc.g_00335
OG0000461	Prbj.g_02661	Prbc.g_01140
OG0000462	Prbj.g_01341	Prbc.g_01142
OG0000463	Prbj.g_01342	Prbc.g_01143
OG0000464	Prbj.g_01343	Prbc.g_01144
OG0000465	Prbj.g_01345	Prbc.g_01145
OG0000466	Prbj.g_01350	Prbc.g_01146
OG0000467	Prbj.g_01352	Prbc.g_01147
OG0000468	Prbj.g_01359	Prbc.g_01149
OG0000469	Prbj.g_01372	Prbc.g_01156
OG0000470	Prbj.g_01385	Prbc.g_01158
OG0000471	Prbj.g_01386	Prbc.g_01159
OG0000472	Prbj.g_01388	Prbc.g_01160
OG0000473	Prbj.g_01390	Prbc.g_01162
OG0000474	Prbj.g_01391	Prbc.g_01163
OG0000475	Prbj.g_01392	Prbc.g_01164
OG0000476	Prbj.g_01394	Prbc.g_01166
OG0000477	Prbj.g_01399	Prbc.g_01168
OG0000478	Prbj.g_01400	Prbc.g_01169
OG0000479	Prbj.g_01401	Prbc.g_01170
OG0000480	Prbj.g_01408	Prbc.g_01175
OG0000481	Prbj.g_01410	Prbc.g_01177
OG0000482	Prbj.g_01411	Prbc.g_01178
OG0000483	Prbj.g_01415	Prbc.g_01181
OG0000484	Prbj.g_01416	Prbc.g_01182
OG0000485	Prbj.g_01417	Prbc.g_01183
OG0000486	Prbj.g_01418	Prbc.g_01184
OG0000487	Prbj.g_01423	Prbc.g_01187
OG0000488	Prbj.g_01427	Prbc.g_01190
OG0000489	Prbj.g_01438	Prbc.g_01195
OG0000490	Prbj.g_01444	Prbc.g_01200
OG0000491	Prbj.g_01445	Prbc.g_01201
OG0000492	Prbj.g_01448	Prbc.g_01203
OG0000493	Prbj.g_01449	Prbc.g_01204
OG0000494	Prbj.g_01450	Prbc.g_01205
OG0000495	Prbj.g_01451	Prbc.g_01206
OG0000496	Prbj.g_01452	Prbc.g_01207
OG0000497	Prbj.g_01453	Prbc.g_01208
OG0000498	Prbj.g_01454	Prbc.g_01209
OG0000499	Prbj.g_01455	Prbc.g_01210
OG0000500	Prbj.g_01456	Prbc.g_01211
OG0000501	Prbj.g_01459	Prbc.g_01213
OG0000502	Prbj.g_01471	Prbc.g_01216
OG0000503	Prbj.g_00341	Prbc.g_01246
OG0000504	Prbj.g_00339	Prbc.g_01248
OG0000505	Prbj.g_00338	Prbc.g_01249
OG0000506	Prbj.g_00336	Prbc.g_01250
OG0000507	Prbj.g_00331	Prbc.g_01253
OG0000508	Prbj.g_00324	Prbc.g_01256
OG0000509	Prbj.g_00322	Prbc.g_01258
OG0000510	Prbj.g_00321	Prbc.g_01259
OG0000511	Prbj.g_00320	Prbc.g_01260
OG0000512	Prbj.g_00318	Prbc.g_01262
OG0000513	Prbj.g_00068	Prbc.g_01271
OG0000514	Prbj.g_00076	Prbc.g_01492
OG0000515	Prbj.g_00077	Prbc.g_01493
OG0000516	Prbj.g_00089	Prbc.g_01494
OG0000517	Prbj.g_00099	Prbc.g_01496
OG0000518	Prbj.g_00111	Prbc.g_01507
OG0000519	Prbj.g_00112	Prbc.g_01508
OG0000520	Prbj.g_00113	Prbc.g_01509
OG0000521	Prbj.g_01894	Prbc.g_01514
OG0000522	Prbj.g_01892	Prbc.g_01516
OG0000523	Prbj.g_01891	Prbc.g_01517
OG0000524	Prbj.g_00152	Prbc.g_01524
OG0000525	Prbj.g_00136	Prbc.g_01528
OG0000526	Prbj.g_00134	Prbc.g_01529
OG0000527	Prbj.g_00130	Prbc.g_01532
OG0000528	Prbj.g_01635	Prbc.g_01538
OG0000529	Prbj.g_01629	Prbc.g_01541
OG0000530	Prbj.g_01626	Prbc.g_01544
OG0000531	Prbj.g_01625	Prbc.g_01545
OG0000532	Prbj.g_01622	Prbc.g_01546
OG0000533	Prbj.g_01620	Prbc.g_01547
OG0000534	Prbj.g_01619	Prbc.g_01548
OG0000535	Prbj.g_01618	Prbc.g_01549
OG0000536	Prbj.g_01617	Prbc.g_01550
OG0000537	Prbj.g_01616	Prbc.g_01551
OG0000538	Prbj.g_01605	Prbc.g_01580
OG0000539	Prbj.g_02088	Prbc.g_01581
OG0000540	Prbj.g_02089	Prbc.g_01582
OG0000541	Prbj.g_02090	Prbc.g_01583
