Orthogroup	Prbj	Syai
OG0000032	Prbj.g_00659	Syai.g_00895
OG0000033	Prbj.g_00518	Syai.g_02634
OG0000034	Prbj.g_01740	Syai.g_02192, Syai.g_02604
OG0000035	Prbj.g_01056	Syai.g_00955
OG0000037	Prbj.g_00624	Syai.g_02544, Syai.g_02815
OG0000038	Prbj.g_01959	Syai.g_02780
OG0000041	Prbj.g_00450	Syai.g_02265
OG0000042	Prbj.g_01808, Prbj.g_00001	Syai.g_00099
OG0000045	Prbj.g_00563	Syai.g_02432
OG0000046	Prbj.g_00358	Syai.g_00435, Syai.g_00443, Syai.g_00449
OG0000047	Prbj.g_02509, Prbj.g_00666	Syai.g_00462
OG0000048	Prbj.g_01393	Syai.g_00272
OG0000051	Prbj.g_00705	Syai.g_01773
OG0000052	Prbj.g_01487	Syai.g_00176
OG0000053	Prbj.g_00638	Syai.g_00930
OG0000054	Prbj.g_01758	Syai.g_01040
OG0000057	Prbj.g_00758	Syai.g_01997
OG0000059	Prbj.g_01521	Syai.g_00351
OG0000060	Prbj.g_01633	Syai.g_00635
OG0000061	Prbj.g_00971	Syai.g_02144
OG0000062	Prbj.g_00881	Syai.g_02358
OG0000063	Prbj.g_01208	Syai.g_00042
OG0000066	Prbj.g_02141	Syai.g_01709, Syai.g_00719
OG0000067	Prbj.g_02412	Syai.g_01321
OG0000068	Prbj.g_01639	Syai.g_00628
OG0000070	Prbj.g_00118	Syai.g_02196
OG0000071	Prbj.g_01728	Syai.g_02179
OG0000072	Prbj.g_00516	Syai.g_02636
OG0000073	Prbj.g_01608	Syai.g_00659
OG0000075	Prbj.g_01502	Syai.g_00161
OG0000076	Prbj.g_01598	Syai.g_00111
OG0000077	Prbj.g_00576, Prbj.g_01900	Syai.g_02486
OG0000078	Prbj.g_02614	Syai.g_00543
OG0000079	Prbj.g_01353	Syai.g_00300
OG0000081	Prbj.g_00799	Syai.g_02292
OG0000081	Prbj.g_00765	Syai.g_00553
OG0000082	Prbj.g_01789	Syai.g_00781
OG0000084	Prbj.g_01052	Syai.g_00958
OG0000085	Prbj.g_00869	Syai.g_02365
OG0000086	Prbj.g_00589	Syai.g_02507
OG0000087	Prbj.g_01547	Syai.g_02592
OG0000088	Prbj.g_00912, Prbj.g_00521	Syai.g_02630
OG0000089	Prbj.g_00064	Syai.g_00517
OG0000090	Prbj.g_02127	Syai.g_00707
OG0000091	Prbj.g_02581	Syai.g_01112
OG0000093	Prbj.g_02388	Syai.g_01306
OG0000095	Prbj.g_01838	Syai.g_02007
OG0000097	Prbj.g_02152	Syai.g_01787
OG0000098	Prbj.g_00669	Syai.g_01718
OG0000099	Prbj.g_01464	Syai.g_00199
OG0000100	Prbj.g_00185, Prbj.g_02442	Syai.g_01372
OG0000101	Prbj.g_00981	Syai.g_00404
OG0000102	Prbj.g_01819	Syai.g_00106
OG0000103	Prbj.g_02055	Syai.g_02912
OG0000104	Prbj.g_02069	Syai.g_02929
OG0000105	Prbj.g_01397	Syai.g_00267
OG0000106	Prbj.g_00875	Syai.g_01601
OG0000107	Prbj.g_02659	Syai.g_00319
OG0000108	Prbj.g_01630	Syai.g_00638
OG0000109	Prbj.g_01614	Syai.g_00653
OG0000110	Prbj.g_01801	Syai.g_00766
OG0000111	Prbj.g_00759	Syai.g_00884
OG0000112	Prbj.g_02276	Syai.g_01512
OG0000113	Prbj.g_02437	Syai.g_01367
OG0000114	Prbj.g_02340	Syai.g_01261
OG0000115	Prbj.g_00634	Syai.g_00932
OG0000116	Prbj.g_00956	Syai.g_02156
OG0000117	Prbj.g_01915	Syai.g_01756
OG0000118	Prbj.g_01742	Syai.g_00818
OG0000119	Prbj.g_00740, Prbj.g_00778	Syai.g_02127
OG0000120	Prbj.g_01465	Syai.g_00198
OG0000121	Prbj.g_01064, Prbj.g_01058	Syai.g_00951
OG0000122	Prbj.g_02627	Syai.g_01143
OG0000123	Prbj.g_00406	Syai.g_00411
OG0000124	Prbj.g_01281	Syai.g_00089
OG0000125	Prbj.g_01963	Syai.g_02782
OG0000126	Prbj.g_02067	Syai.g_02927
OG0000127	Prbj.g_02148, Prbj.g_00896	Syai.g_01872, Syai.g_01906, Syai.g_01855
OG0000128	Prbj.g_02085	Syai.g_00012
OG0000129	Prbj.g_01951	Syai.g_02771
OG0000130	Prbj.g_00564	Syai.g_02474
OG0000131	Prbj.g_00543	Syai.g_02608
OG0000132	Prbj.g_00523	Syai.g_02628
OG0000133	Prbj.g_01460	Syai.g_01507
OG0000134	Prbj.g_00067	Syai.g_00520
OG0000135	Prbj.g_02004	Syai.g_02826
OG0000136	Prbj.g_00105	Syai.g_02217
OG0000137	Prbj.g_00128	Syai.g_00865
OG0000138	Prbj.g_01613	Syai.g_00654
OG0000139	Prbj.g_02133	Syai.g_00714
OG0000140	Prbj.g_02139	Syai.g_00716
OG0000141	Prbj.g_01757	Syai.g_01041
OG0000142	Prbj.g_02573	Syai.g_01104
OG0000143	Prbj.g_02577	Syai.g_01108
OG0000144	Prbj.g_00793	Syai.g_01608
OG0000145	Prbj.g_01607	Syai.g_00660
OG0000146	Prbj.g_02277	Syai.g_01513
OG0000147	Prbj.g_02278	Syai.g_01514
OG0000148	Prbj.g_02431	Syai.g_01361
OG0000149	Prbj.g_02488	Syai.g_02059
OG0000150	Prbj.g_02511	Syai.g_00717
OG0000151	Prbj.g_02361	Syai.g_01280
OG0000152	Prbj.g_02268	Syai.g_01503
OG0000153	Prbj.g_02241	Syai.g_01461
OG0000154	Prbj.g_02213	Syai.g_01434
OG0000155	Prbj.g_00312	Syai.g_02109
OG0000156	Prbj.g_00163	Syai.g_02162
OG0000157	Prbj.g_00162	Syai.g_02163
OG0000158	Prbj.g_01514	Syai.g_00135
OG0000160	Prbj.g_01057	Syai.g_00952
OG0000161	Prbj.g_01071	Syai.g_00946
OG0000162	Prbj.g_01077	Syai.g_00939
OG0000163	Prbj.g_01688	Syai.g_02300
OG0000164	Prbj.g_00476	Syai.g_02411
OG0000165	Prbj.g_00467	Syai.g_02244
OG0000166	Prbj.g_01019	Syai.g_00364
OG0000167	Prbj.g_01500	Syai.g_00164
OG0000168	Prbj.g_01515	Syai.g_00134
OG0000169	Prbj.g_01581	Syai.g_00123
OG0000170	Prbj.g_01593	Syai.g_00116
OG0000171	Prbj.g_01282	Syai.g_00090
OG0000172	Prbj.g_01248	Syai.g_00083
OG0000173	Prbj.g_01227	Syai.g_00064
OG0000174	Prbj.g_02006	Syai.g_02828
OG0000175	Prbj.g_02044	Syai.g_02901
OG0000176	Prbj.g_02077	Syai.g_00004
OG0000177	Prbj.g_02078	Syai.g_00005
OG0000178	Prbj.g_02079	Syai.g_00006
OG0000179	Prbj.g_01188	Syai.g_00023
OG0000180	Prbj.g_01189	Syai.g_00024
OG0000181	Prbj.g_01190	Syai.g_00025
OG0000182	Prbj.g_01191	Syai.g_00026
OG0000183	Prbj.g_01195	Syai.g_00030
OG0000184	Prbj.g_01943	Syai.g_02756
OG0000185	Prbj.g_01921	Syai.g_02734
OG0000186	Prbj.g_00558	Syai.g_02469
OG0000187	Prbj.g_00560	Syai.g_02471
OG0000188	Prbj.g_00581	Syai.g_02494
OG0000189	Prbj.g_00607	Syai.g_02530
OG0000190	Prbj.g_00609	Syai.g_02532
OG0000191	Prbj.g_01557	Syai.g_02562
OG0000192	Prbj.g_01566	Syai.g_02569
OG0000193	Prbj.g_00542	Syai.g_02609
OG0000194	Prbj.g_00539	Syai.g_02612
OG0000195	Prbj.g_00537	Syai.g_02614
OG0000196	Prbj.g_00526	Syai.g_02625
OG0000197	Prbj.g_00525	Syai.g_02626
OG0000198	Prbj.g_00524	Syai.g_02627
OG0000199	Prbj.g_00517	Syai.g_02635
OG0000200	Prbj.g_01138	Syai.g_02651
OG0000202	Prbj.g_01158	Syai.g_02668
OG0000203	Prbj.g_01159	Syai.g_02669
OG0000204	Prbj.g_01160	Syai.g_02670
OG0000205	Prbj.g_01167	Syai.g_02677
OG0000206	Prbj.g_00288	Syai.g_02684
OG0000207	Prbj.g_00234	Syai.g_02686
OG0000208	Prbj.g_00235	Syai.g_02687
OG0000209	Prbj.g_00262	Syai.g_02699
OG0000210	Prbj.g_00263	Syai.g_02700
OG0000211	Prbj.g_00177	Syai.g_00533
OG0000212	Prbj.g_02615	Syai.g_00544
OG0000213	Prbj.g_01362	Syai.g_00292
OG0000214	Prbj.g_01389	Syai.g_00276
OG0000215	Prbj.g_01419	Syai.g_00245
OG0000216	Prbj.g_01422	Syai.g_00241
OG0000217	Prbj.g_01426	Syai.g_00237
OG0000218	Prbj.g_01430	Syai.g_00235
OG0000219	Prbj.g_01431	Syai.g_00234
OG0000220	Prbj.g_01432	Syai.g_00233
OG0000221	Prbj.g_01437	Syai.g_00227
OG0000222	Prbj.g_01446	Syai.g_00215
OG0000223	Prbj.g_01469	Syai.g_00194
OG0000224	Prbj.g_01480	Syai.g_00186
OG0000225	Prbj.g_00323	Syai.g_00502
OG0000226	Prbj.g_00319	Syai.g_00506
OG0000227	Prbj.g_00317	Syai.g_00508
OG0000228	Prbj.g_00063	Syai.g_00516
OG0000229	Prbj.g_00100	Syai.g_02228
OG0000230	Prbj.g_00102	Syai.g_02226
OG0000231	Prbj.g_00117	Syai.g_02208
OG0000232	Prbj.g_01888	Syai.g_00846
OG0000233	Prbj.g_00148	Syai.g_00855
OG0000234	Prbj.g_00127	Syai.g_00866
OG0000235	Prbj.g_01631	Syai.g_00637
OG0000236	Prbj.g_01615	Syai.g_00652
OG0000237	Prbj.g_02094	Syai.g_00669
OG0000238	Prbj.g_02098	Syai.g_00674
OG0000239	Prbj.g_02114	Syai.g_00691
OG0000240	Prbj.g_02115	Syai.g_00692
OG0000241	Prbj.g_01116	Syai.g_01085
OG0000242	Prbj.g_02125	Syai.g_00705
OG0000243	Prbj.g_02668	Syai.g_00726
OG0000244	Prbj.g_01859	Syai.g_00731
OG0000245	Prbj.g_01862	Syai.g_00733
OG0000246	Prbj.g_01866	Syai.g_00737
OG0000247	Prbj.g_01877	Syai.g_00748
OG0000248	Prbj.g_01880	Syai.g_00751
OG0000249	Prbj.g_01882	Syai.g_00753
OG0000250	Prbj.g_01805	Syai.g_00762
OG0000251	Prbj.g_01781	Syai.g_00789
OG0000252	Prbj.g_01778	Syai.g_00797
OG0000253	Prbj.g_01772	Syai.g_00798
OG0000254	Prbj.g_01753	Syai.g_01045
OG0000255	Prbj.g_02546	Syai.g_01061
OG0000256	Prbj.g_02560	Syai.g_01077
OG0000257	Prbj.g_02566	Syai.g_01084
OG0000258	Prbj.g_02589	Syai.g_01113
OG0000259	Prbj.g_00812	Syai.g_01229
OG0000260	Prbj.g_00816	Syai.g_01232
OG0000261	Prbj.g_00819	Syai.g_01235
OG0000262	Prbj.g_00824	Syai.g_01240
OG0000263	Prbj.g_00248	Syai.g_01776
OG0000264	Prbj.g_00933	Syai.g_01962
OG0000266	Prbj.g_02189	Syai.g_01401
OG0000267	Prbj.g_02315	Syai.g_01569
OG0000268	Prbj.g_02314	Syai.g_01568
OG0000269	Prbj.g_02407	Syai.g_01316
OG0000270	Prbj.g_02410	Syai.g_01319
OG0000271	Prbj.g_02418	Syai.g_01327
OG0000272	Prbj.g_02419	Syai.g_01328
OG0000273	Prbj.g_02470	Syai.g_02037
OG0000274	Prbj.g_02471	Syai.g_02038
OG0000275	Prbj.g_02474	Syai.g_02043
OG0000276	Prbj.g_02480	Syai.g_02051
OG0000277	Prbj.g_02481	Syai.g_02052
OG0000278	Prbj.g_02484	Syai.g_02055
OG0000279	Prbj.g_02492	Syai.g_02063
OG0000280	Prbj.g_02498	Syai.g_02084
OG0000281	Prbj.g_02512	Syai.g_01719
OG0000282	Prbj.g_02342	Syai.g_01263
OG0000283	Prbj.g_02303	Syai.g_01554
OG0000284	Prbj.g_02297	Syai.g_01548
OG0000285	Prbj.g_00694	Syai.g_01522
OG0000286	Prbj.g_02269	Syai.g_01504
OG0000287	Prbj.g_00722	Syai.g_01469
OG0000288	Prbj.g_02214	Syai.g_01435
OG0000289	Prbj.g_02201	Syai.g_01421
OG0000290	Prbj.g_01841	Syai.g_02010
OG0000291	Prbj.g_01839	Syai.g_02008
OG0000292	Prbj.g_02066	Syai.g_02926
OG0000293	Prbj.g_00958	Syai.g_02155
OG0000294	Prbj.g_00959	Syai.g_02154
OG0000295	Prbj.g_00304	Syai.g_02117
OG0000296	Prbj.g_00306, Prbj.g_00307	Syai.g_02115
OG0000297	Prbj.g_01913	Syai.g_01754
OG0000298	Prbj.g_01914	Syai.g_01755
OG0000299	Prbj.g_01903	Syai.g_01783
OG0000300	Prbj.g_02155	Syai.g_01790
OG0000301	Prbj.g_02156	Syai.g_01791
OG0000302	Prbj.g_02159	Syai.g_01793
OG0000303	Prbj.g_00314	Syai.g_01802
OG0000304	Prbj.g_00020	Syai.g_01826
OG0000305	Prbj.g_01837	Syai.g_02005
OG0000306	Prbj.g_02521	Syai.g_02090
OG0000307	Prbj.g_01647	Syai.g_00619
OG0000308	Prbj.g_01649	Syai.g_00617
OG0000309	Prbj.g_01653	Syai.g_00612
OG0000310	Prbj.g_01294	Syai.g_00989
OG0000311	Prbj.g_01040	Syai.g_00985
OG0000312	Prbj.g_01044	Syai.g_00966
OG0000313	Prbj.g_01068	Syai.g_00949
OG0000314	Prbj.g_00646	Syai.g_00908
OG0000315	Prbj.g_00656	Syai.g_00897
OG0000316	Prbj.g_01699	Syai.g_02320, Syai.g_02322
OG0000317	Prbj.g_00863	Syai.g_02373
OG0000318	Prbj.g_00856	Syai.g_02379
OG0000319	Prbj.g_00487	Syai.g_02395
OG0000320	Prbj.g_00485	Syai.g_02397
OG0000321	Prbj.g_00484	Syai.g_02398
OG0000322	Prbj.g_00483	Syai.g_02399
OG0000323	Prbj.g_00472	Syai.g_02413
OG0000324	Prbj.g_00443	Syai.g_02272
OG0000325	Prbj.g_02657	Syai.g_00320
OG0000326	Prbj.g_02649	Syai.g_00327
OG0000327	Prbj.g_01024	Syai.g_00359
OG0000328	Prbj.g_01023	Syai.g_00360
OG0000329	Prbj.g_01006	Syai.g_00378
OG0000330	Prbj.g_01005	Syai.g_00379
OG0000331	Prbj.g_01004	Syai.g_00380
OG0000332	Prbj.g_00989	Syai.g_00395
OG0000333	Prbj.g_00987	Syai.g_00398
OG0000334	Prbj.g_00410	Syai.g_00407
OG0000335	Prbj.g_00405	Syai.g_00412
OG0000336	Prbj.g_00401	Syai.g_00416
OG0000337	Prbj.g_01494	Syai.g_00169
OG0000338	Prbj.g_01498	Syai.g_00166
OG0000339	Prbj.g_01504	Syai.g_00160
OG0000340	Prbj.g_01516	Syai.g_00133
OG0000341	Prbj.g_01518	Syai.g_00131
OG0000342	Prbj.g_01519	Syai.g_00130
OG0000343	Prbj.g_01576	Syai.g_00129
OG0000344	Prbj.g_01579	Syai.g_00125
OG0000345	Prbj.g_01594	Syai.g_00115
OG0000346	Prbj.g_01599	Syai.g_00110
OG0000347	Prbj.g_01280	Syai.g_00087
OG0000348	Prbj.g_01243	Syai.g_00076
OG0000349	Prbj.g_01219	Syai.g_00057
OG0000350	Prbj.g_01999	Syai.g_00334
OG0000351	Prbj.g_02047	Syai.g_02904
OG0000352	Prbj.g_02048	Syai.g_02905
OG0000353	Prbj.g_02072	Syai.g_02932
OG0000354	Prbj.g_02104	Syai.g_00680
OG0000354	Prbj.g_01186	Syai.g_00019
OG0000355	Prbj.g_02074	Syai.g_00001
OG0000356	Prbj.g_02075	Syai.g_00002
OG0000357	Prbj.g_02076	Syai.g_00003
OG0000358	Prbj.g_02080	Syai.g_00007
OG0000359	Prbj.g_02082	Syai.g_00009
OG0000360	Prbj.g_02083	Syai.g_00010
OG0000361	Prbj.g_02084	Syai.g_00011
OG0000362	Prbj.g_02086	Syai.g_00013
OG0000363	Prbj.g_01182	Syai.g_00015
OG0000364	Prbj.g_01183	Syai.g_00016
OG0000365	Prbj.g_01192	Syai.g_00027
OG0000366	Prbj.g_01193	Syai.g_00028
OG0000367	Prbj.g_01194	Syai.g_00029
OG0000368	Prbj.g_01196	Syai.g_00031
OG0000369	Prbj.g_01197	Syai.g_00032
OG0000370	Prbj.g_01198	Syai.g_00033
OG0000371	Prbj.g_01207	Syai.g_00041
OG0000372	Prbj.g_01212	Syai.g_00047
OG0000373	Prbj.g_01213	Syai.g_00048
OG0000374	Prbj.g_01214	Syai.g_00049
OG0000375	Prbj.g_01215	Syai.g_00053
OG0000376	Prbj.g_01217	Syai.g_00055
OG0000377	Prbj.g_01950	Syai.g_02769
OG0000378	Prbj.g_01936	Syai.g_02751
OG0000379	Prbj.g_01920	Syai.g_02733
OG0000380	Prbj.g_00561	Syai.g_02472
OG0000381	Prbj.g_00565	Syai.g_02475
OG0000382	Prbj.g_00580	Syai.g_02493
OG0000383	Prbj.g_00582	Syai.g_02498
OG0000384	Prbj.g_00583	Syai.g_02499
OG0000385	Prbj.g_00584	Syai.g_02500
OG0000386	Prbj.g_00585	Syai.g_02501
OG0000387	Prbj.g_00611	Syai.g_02534
OG0000388	Prbj.g_00615	Syai.g_02538
OG0000389	Prbj.g_00619	Syai.g_02542
OG0000390	Prbj.g_01551	Syai.g_02556
OG0000391	Prbj.g_01556	Syai.g_02561
OG0000392	Prbj.g_01562	Syai.g_02568
OG0000393	Prbj.g_01567	Syai.g_02570
OG0000394	Prbj.g_01568	Syai.g_02571
OG0000395	Prbj.g_01569	Syai.g_02572
OG0000396	Prbj.g_01530	Syai.g_02575
OG0000397	Prbj.g_01532	Syai.g_02577
OG0000398	Prbj.g_01537	Syai.g_02582
OG0000399	Prbj.g_01538	Syai.g_02583
OG0000400	Prbj.g_01539	Syai.g_02584
OG0000401	Prbj.g_01540	Syai.g_02585
OG0000402	Prbj.g_01542	Syai.g_02588
OG0000403	Prbj.g_01543	Syai.g_02589
OG0000404	Prbj.g_01545	Syai.g_02590
OG0000405	Prbj.g_00545	Syai.g_02606
OG0000406	Prbj.g_00541	Syai.g_02610
OG0000407	Prbj.g_00540	Syai.g_02611
OG0000408	Prbj.g_00538	Syai.g_02613
OG0000409	Prbj.g_00536	Syai.g_02615
OG0000410	Prbj.g_00535	Syai.g_02616
OG0000411	Prbj.g_00534	Syai.g_02617
OG0000412	Prbj.g_00533	Syai.g_02618
OG0000413	Prbj.g_00531	Syai.g_02620
OG0000414	Prbj.g_00530	Syai.g_02621
OG0000415	Prbj.g_00529	Syai.g_02622
OG0000416	Prbj.g_00528	Syai.g_02623
OG0000417	Prbj.g_00527	Syai.g_02624
OG0000418	Prbj.g_00522	Syai.g_02629
OG0000419	Prbj.g_00520	Syai.g_02631
OG0000420	Prbj.g_00519	Syai.g_02633
OG0000421	Prbj.g_00515	Syai.g_02638
OG0000422	Prbj.g_00514	Syai.g_02639
OG0000423	Prbj.g_00513	Syai.g_02640
OG0000424	Prbj.g_00512	Syai.g_02641
OG0000425	Prbj.g_00511	Syai.g_02642
OG0000426	Prbj.g_00510	Syai.g_02643
OG0000427	Prbj.g_00509	Syai.g_02644
OG0000428	Prbj.g_02369	Syai.g_02647
OG0000429	Prbj.g_01135	Syai.g_02649
OG0000430	Prbj.g_01137	Syai.g_02650
OG0000431	Prbj.g_01141	Syai.g_02654
OG0000432	Prbj.g_01148	Syai.g_02660
OG0000433	Prbj.g_01151	Syai.g_02662
OG0000434	Prbj.g_01152	Syai.g_02663
OG0000435	Prbj.g_01155	Syai.g_02666
OG0000436	Prbj.g_01161	Syai.g_02671
OG0000437	Prbj.g_01162	Syai.g_02672
OG0000438	Prbj.g_01163	Syai.g_02673
OG0000439	Prbj.g_01165	Syai.g_02675
OG0000440	Prbj.g_01166	Syai.g_02676
OG0000441	Prbj.g_01173	Syai.g_02681
OG0000442	Prbj.g_01174	Syai.g_02682
OG0000443	Prbj.g_00289	Syai.g_02683
OG0000444	Prbj.g_00237	Syai.g_02688
OG0000445	Prbj.g_00238	Syai.g_02689
OG0000446	Prbj.g_00240	Syai.g_02690
OG0000447	Prbj.g_00250	Syai.g_02693
OG0000448	Prbj.g_00251	Syai.g_02694
OG0000449	Prbj.g_00252	Syai.g_02695
OG0000450	Prbj.g_00258	Syai.g_02696
OG0000451	Prbj.g_00259	Syai.g_02697
OG0000452	Prbj.g_00264	Syai.g_02701
OG0000453	Prbj.g_00265	Syai.g_02702
OG0000454	Prbj.g_00266	Syai.g_02703
OG0000455	Prbj.g_00267	Syai.g_02704
OG0000456	Prbj.g_00268	Syai.g_02705
OG0000457	Prbj.g_00270	Syai.g_02707
OG0000458	Prbj.g_00271	Syai.g_02708
OG0000459	Prbj.g_00272	Syai.g_02709
OG0000460	Prbj.g_00176	Syai.g_00535
OG0000461	Prbj.g_02661	Syai.g_00314
OG0000462	Prbj.g_01341	Syai.g_00311
OG0000463	Prbj.g_01342	Syai.g_00310
OG0000464	Prbj.g_01343	Syai.g_00309
OG0000465	Prbj.g_01345	Syai.g_00307
OG0000466	Prbj.g_01350	Syai.g_00303
OG0000467	Prbj.g_01352	Syai.g_00301
OG0000468	Prbj.g_01359	Syai.g_00296
OG0000469	Prbj.g_01372	Syai.g_00282
OG0000470	Prbj.g_01385	Syai.g_00280
OG0000471	Prbj.g_01386	Syai.g_00279
OG0000472	Prbj.g_01388	Syai.g_00277
OG0000473	Prbj.g_01390	Syai.g_00275
OG0000474	Prbj.g_01391	Syai.g_00274
OG0000475	Prbj.g_01392	Syai.g_00273
OG0000476	Prbj.g_01394	Syai.g_00271
OG0000477	Prbj.g_01399	Syai.g_00265
OG0000478	Prbj.g_01400	Syai.g_00264
OG0000479	Prbj.g_01401	Syai.g_00263
OG0000480	Prbj.g_01408	Syai.g_00256
OG0000481	Prbj.g_01410	Syai.g_00254
OG0000482	Prbj.g_01411	Syai.g_00253
OG0000483	Prbj.g_01415	Syai.g_00249
OG0000484	Prbj.g_01416	Syai.g_00248
OG0000485	Prbj.g_01417	Syai.g_00247
OG0000486	Prbj.g_01418	Syai.g_00246
OG0000487	Prbj.g_01423	Syai.g_00240
OG0000488	Prbj.g_01427	Syai.g_00236
OG0000489	Prbj.g_01438	Syai.g_00226
OG0000490	Prbj.g_01444	Syai.g_00218
OG0000491	Prbj.g_01445	Syai.g_00217
OG0000492	Prbj.g_01448	Syai.g_00214
OG0000493	Prbj.g_01449	Syai.g_00213
OG0000494	Prbj.g_01450	Syai.g_00212
OG0000495	Prbj.g_01451	Syai.g_00211
OG0000496	Prbj.g_01452	Syai.g_00210
OG0000497	Prbj.g_01453	Syai.g_00209
OG0000498	Prbj.g_01454	Syai.g_00208
OG0000499	Prbj.g_01455	Syai.g_00207
OG0000500	Prbj.g_01456	Syai.g_00206
OG0000501	Prbj.g_01459	Syai.g_00203
OG0000502	Prbj.g_01471	Syai.g_00192
OG0000503	Prbj.g_00341	Syai.g_00486
OG0000504	Prbj.g_00339	Syai.g_00488
OG0000505	Prbj.g_00338	Syai.g_00489
OG0000506	Prbj.g_00336	Syai.g_00491
OG0000507	Prbj.g_00331	Syai.g_00497
OG0000508	Prbj.g_00324	Syai.g_00501
OG0000509	Prbj.g_00322	Syai.g_00503
OG0000510	Prbj.g_00321	Syai.g_00504
OG0000511	Prbj.g_00320	Syai.g_00505
OG0000512	Prbj.g_00318	Syai.g_00507
OG0000513	Prbj.g_00068	Syai.g_00521
OG0000514	Prbj.g_00076	Syai.g_00528
OG0000515	Prbj.g_00077	Syai.g_00529
OG0000516	Prbj.g_00089	Syai.g_02223
OG0000517	Prbj.g_00099	Syai.g_02229
OG0000518	Prbj.g_00111	Syai.g_02211
OG0000519	Prbj.g_00112	Syai.g_02210
OG0000520	Prbj.g_00113	Syai.g_02209
OG0000521	Prbj.g_01894	Syai.g_00842
OG0000522	Prbj.g_01892	Syai.g_00844
OG0000523	Prbj.g_01891	Syai.g_00845
OG0000524	Prbj.g_00152	Syai.g_00852
OG0000525	Prbj.g_00136	Syai.g_00856
OG0000526	Prbj.g_00134	Syai.g_00859
OG0000527	Prbj.g_00130	Syai.g_00863
OG0000528	Prbj.g_01635	Syai.g_00633
OG0000529	Prbj.g_01629	Syai.g_00639
OG0000530	Prbj.g_01626	Syai.g_00642
OG0000531	Prbj.g_01625	Syai.g_00643
OG0000532	Prbj.g_01622	Syai.g_00646
OG0000533	Prbj.g_01620	Syai.g_00647
OG0000534	Prbj.g_01619	Syai.g_00648
OG0000535	Prbj.g_01618	Syai.g_00649
OG0000536	Prbj.g_01617	Syai.g_00650
OG0000537	Prbj.g_01616	Syai.g_00651
OG0000538	Prbj.g_01605	Syai.g_00662
OG0000539	Prbj.g_02088	Syai.g_00663
OG0000540	Prbj.g_02089	Syai.g_00664
OG0000541	Prbj.g_02090	Syai.g_00665
OG0000542	Prbj.g_02093	Syai.g_00668
OG0000543	Prbj.g_02095	Syai.g_00670
OG0000544	Prbj.g_02096	Syai.g_00671
OG0000545	Prbj.g_02097	Syai.g_00673
OG0000546	Prbj.g_02099	Syai.g_00675
OG0000547	Prbj.g_02101	Syai.g_00677
OG0000548	Prbj.g_02102	Syai.g_00678
OG0000549	Prbj.g_02108	Syai.g_00684
OG0000550	Prbj.g_02113	Syai.g_00689
OG0000551	Prbj.g_02117	Syai.g_00694
OG0000552	Prbj.g_02118	Syai.g_00695
OG0000553	Prbj.g_02123	Syai.g_00698
OG0000554	Prbj.g_02128	Syai.g_00708
OG0000555	Prbj.g_02146	Syai.g_00725
OG0000556	Prbj.g_02666	Syai.g_00728
OG0000557	Prbj.g_01858	Syai.g_00730
OG0000558	Prbj.g_01861	Syai.g_00732
OG0000559	Prbj.g_01865	Syai.g_00736
OG0000560	Prbj.g_01868	Syai.g_00739
OG0000561	Prbj.g_01869	Syai.g_00740
OG0000562	Prbj.g_01870	Syai.g_00741
OG0000563	Prbj.g_01871	Syai.g_00742
