Orthogroup	Prbj	Syap
OG0000104	Prbj.g_02069	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbj.g_01397	Syap.g_01369, Syap.g_01368
OG0000107	Prbj.g_02659	Syap.g_02496
OG0000108	Prbj.g_01630	Syap.g_00733, Syap.g_02255
OG0000109	Prbj.g_01614	Syap.g_00279, Syap.g_02237
OG0000110	Prbj.g_01801	Syap.g_01313
OG0000111	Prbj.g_00759	Syap.g_01566, Syap.g_01568
OG0000112	Prbj.g_02276	Syap.g_02023
OG0000113	Prbj.g_02437	Syap.g_02714
OG0000114	Prbj.g_02340	Syap.g_01255
OG0000115	Prbj.g_00634	Syap.g_02004
OG0000116	Prbj.g_00956	Syap.g_00241
OG0000117	Prbj.g_01915	Syap.g_01889
OG0000118	Prbj.g_01742	Syap.g_02286
OG0000120	Prbj.g_01465	Syap.g_02075
OG0000121	Prbj.g_01064, Prbj.g_01058	Syap.g_02471
OG0000123	Prbj.g_00406	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prbj.g_01281	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prbj.g_01963	Syap.g_01046, Syap.g_01047
OG0000126	Prbj.g_02067	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Prbj.g_02085	Syap.g_00069
OG0000129	Prbj.g_01951	Syap.g_00130, Syap.g_00129
OG0000130	Prbj.g_00564	Syap.g_01688, Syap.g_01689
OG0000131	Prbj.g_00543	Syap.g_02189
OG0000132	Prbj.g_00523	Syap.g_01205
OG0000133	Prbj.g_01460	Syap.g_02017
OG0000134	Prbj.g_00067	Syap.g_02047
OG0000135	Prbj.g_02004	Syap.g_02090
OG0000136	Prbj.g_00105	Syap.g_00089
OG0000137	Prbj.g_00128	Syap.g_02756
OG0000138	Prbj.g_01613	Syap.g_00278
OG0000139	Prbj.g_02133	Syap.g_00410
OG0000140	Prbj.g_02139	Syap.g_01976
OG0000141	Prbj.g_01757	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbj.g_02573	Syap.g_00895, Syap.g_00894
OG0000143	Prbj.g_02577	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbj.g_00793	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbj.g_01607	Syap.g_01860, Syap.g_01859
OG0000146	Prbj.g_02277	Syap.g_02024
OG0000147	Prbj.g_02278	Syap.g_02025
OG0000148	Prbj.g_02431	Syap.g_02720
OG0000149	Prbj.g_02488	Syap.g_00824
OG0000150	Prbj.g_02511	Syap.g_01540
OG0000151	Prbj.g_02361	Syap.g_00142
OG0000152	Prbj.g_02268	Syap.g_02012
OG0000153	Prbj.g_02241	Syap.g_02682
OG0000154	Prbj.g_02213	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prbj.g_00312	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prbj.g_00163	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prbj.g_00162	Syap.g_00249, Syap.g_00286
OG0000158	Prbj.g_01514	Syap.g_01075
OG0000160	Prbj.g_01057	Syap.g_02470, Syap.g_02469
OG0000161	Prbj.g_01071	Syap.g_02476
OG0000162	Prbj.g_01077	Syap.g_02531
OG0000164	Prbj.g_00476	Syap.g_01391, Syap.g_01392
OG0000165	Prbj.g_00467	Syap.g_01381, Syap.g_01382
OG0000166	Prbj.g_01019	Syap.g_00512, Syap.g_01238
OG0000167	Prbj.g_01500	Syap.g_02080
OG0000168	Prbj.g_01515	Syap.g_01076
OG0000169	Prbj.g_01581	Syap.g_01049, Syap.g_01093
OG0000170	Prbj.g_01593	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prbj.g_01282	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prbj.g_01248	Syap.g_01143, Syap.g_00635
OG0000173	Prbj.g_01227	Syap.g_00982, Syap.g_00983
OG0000174	Prbj.g_02006	Syap.g_02092
OG0000175	Prbj.g_02044	Syap.g_02654
OG0000176	Prbj.g_02077	Syap.g_00059
OG0000177	Prbj.g_02078	Syap.g_00061, Syap.g_00060
OG0000178	Prbj.g_02079	Syap.g_00062
OG0000179	Prbj.g_01188	Syap.g_00077, Syap.g_02638
OG0000180	Prbj.g_01189	Syap.g_00078, Syap.g_02640
OG0000181	Prbj.g_01190	Syap.g_00079, Syap.g_02641
OG0000182	Prbj.g_01191	Syap.g_00080, Syap.g_02642
OG0000183	Prbj.g_01195	Syap.g_00084
OG0000184	Prbj.g_01943	Syap.g_01337
OG0000185	Prbj.g_01921	Syap.g_01322
OG0000186	Prbj.g_00558	Syap.g_01684
OG0000187	Prbj.g_00560	Syap.g_01686
OG0000188	Prbj.g_00581	Syap.g_02547
OG0000191	Prbj.g_01557	Syap.g_02233
OG0000192	Prbj.g_01566	Syap.g_02224
OG0000193	Prbj.g_00542	Syap.g_02187, Syap.g_02188
OG0000194	Prbj.g_00539	Syap.g_02183
OG0000196	Prbj.g_00526	Syap.g_01208, Syap.g_02167
OG0000197	Prbj.g_00525	Syap.g_01207, Syap.g_02166
OG0000198	Prbj.g_00524	Syap.g_01206
OG0000199	Prbj.g_00517	Syap.g_01197
OG0000200	Prbj.g_01138	Syap.g_01181
OG0000201	Prbj.g_01157	Syap.g_02265
OG0000202	Prbj.g_01158	Syap.g_02264
OG0000203	Prbj.g_01159	Syap.g_01601
OG0000204	Prbj.g_01160	Syap.g_01602
OG0000205	Prbj.g_01167	Syap.g_01616
OG0000206	Prbj.g_00288	Syap.g_01628
OG0000207	Prbj.g_00234	Syap.g_01426, Syap.g_00424
OG0000208	Prbj.g_00235	Syap.g_00426, Syap.g_01425
OG0000209	Prbj.g_00262	Syap.g_01906
OG0000210	Prbj.g_00263	Syap.g_01905
OG0000211	Prbj.g_00177	Syap.g_01160
OG0000212	Prbj.g_02615	Syap.g_02664
OG0000213	Prbj.g_01362	Syap.g_00107, Syap.g_01599
OG0000214	Prbj.g_01389	Syap.g_02344, Syap.g_02345
OG0000215	Prbj.g_01419	Syap.g_01347, Syap.g_01629
OG0000216	Prbj.g_01422	Syap.g_01634
OG0000217	Prbj.g_01426	Syap.g_01638
OG0000218	Prbj.g_01430	Syap.g_01641, Syap.g_01640
OG0000219	Prbj.g_01431	Syap.g_01642, Syap.g_01643
OG0000220	Prbj.g_01432	Syap.g_01645
OG0000221	Prbj.g_01437	Syap.g_01646
OG0000222	Prbj.g_01446	Syap.g_01669
OG0000223	Prbj.g_01469	Syap.g_02072, Syap.g_02073
OG0000224	Prbj.g_01480	Syap.g_02064
OG0000225	Prbj.g_00323	Syap.g_00553, Syap.g_00552
OG0000226	Prbj.g_00319	Syap.g_02029, Syap.g_02144
OG0000227	Prbj.g_00317	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prbj.g_00063	Syap.g_00116, Syap.g_02041
OG0000229	Prbj.g_00100	Syap.g_02059
OG0000230	Prbj.g_00102	Syap.g_02061
OG0000231	Prbj.g_00117	Syap.g_02533
OG0000232	Prbj.g_01888	Syap.g_02510, Syap.g_02511
OG0000233	Prbj.g_00148	Syap.g_02133
OG0000234	Prbj.g_00127	Syap.g_02755
OG0000235	Prbj.g_01631	Syap.g_00732, Syap.g_02258
OG0000236	Prbj.g_01615	Syap.g_02238
OG0000237	Prbj.g_02094	Syap.g_00262, Syap.g_00263
OG0000238	Prbj.g_02098	Syap.g_00257, Syap.g_00258
OG0000239	Prbj.g_02114	Syap.g_02744
OG0000240	Prbj.g_02115	Syap.g_02742
OG0000241	Prbj.g_01116	Syap.g_00888
OG0000242	Prbj.g_02125	Syap.g_01455
OG0000243	Prbj.g_02668	Syap.g_01938
OG0000244	Prbj.g_01859	Syap.g_01146, Syap.g_01145
OG0000245	Prbj.g_01862	Syap.g_01148
OG0000246	Prbj.g_01866	Syap.g_00308
OG0000247	Prbj.g_01877	Syap.g_00288, Syap.g_00293
OG0000248	Prbj.g_01880	Syap.g_00290
OG0000249	Prbj.g_01882	Syap.g_01296, Syap.g_01295
OG0000250	Prbj.g_01805	Syap.g_01306
OG0000251	Prbj.g_01781	Syap.g_00442
OG0000252	Prbj.g_01778	Syap.g_01857
OG0000253	Prbj.g_01772	Syap.g_00443
OG0000254	Prbj.g_01753	Syap.g_01527, Syap.g_01528
OG0000256	Prbj.g_02560	Syap.g_01287
OG0000257	Prbj.g_02566	Syap.g_00886
OG0000258	Prbj.g_02589	Syap.g_00907
OG0000260	Prbj.g_00816	Syap.g_01970
OG0000261	Prbj.g_00819	Syap.g_01962, Syap.g_01961
OG0000262	Prbj.g_00824	Syap.g_01954
OG0000263	Prbj.g_00248	Syap.g_00432, Syap.g_00433
OG0000266	Prbj.g_02189	Syap.g_00519
OG0000267	Prbj.g_02315	Syap.g_02333, Syap.g_02332
OG0000268	Prbj.g_02314	Syap.g_00646
OG0000269	Prbj.g_02407	Syap.g_00188
OG0000270	Prbj.g_02410	Syap.g_00192
OG0000271	Prbj.g_02418	Syap.g_00200, Syap.g_00201
OG0000272	Prbj.g_02419	Syap.g_00202
OG0000273	Prbj.g_02470	Syap.g_02703
OG0000274	Prbj.g_02471	Syap.g_02702
OG0000275	Prbj.g_02474	Syap.g_01847
OG0000276	Prbj.g_02480	Syap.g_01838, Syap.g_01839
OG0000277	Prbj.g_02481	Syap.g_01837
OG0000278	Prbj.g_02484	Syap.g_01834
OG0000279	Prbj.g_02492	Syap.g_00829, Syap.g_00830
OG0000280	Prbj.g_02498	Syap.g_00365
OG0000281	Prbj.g_02512	Syap.g_01977
OG0000282	Prbj.g_02342	Syap.g_01252
OG0000283	Prbj.g_02303	Syap.g_01728
OG0000284	Prbj.g_02297	Syap.g_01736
OG0000285	Prbj.g_00694	Syap.g_01746, Syap.g_01744
OG0000286	Prbj.g_02269	Syap.g_02014, Syap.g_02013
OG0000288	Prbj.g_02214	Syap.g_02764, Syap.g_02763
OG0000289	Prbj.g_02201	Syap.g_02784
OG0000290	Prbj.g_01841	Syap.g_01552
OG0000292	Prbj.g_02066	Syap.g_02314
OG0000293	Prbj.g_00958	Syap.g_00240
OG0000294	Prbj.g_00959	Syap.g_00239
OG0000295	Prbj.g_00304	Syap.g_00206
OG0000296	Prbj.g_00306, Prbj.g_00307	Syap.g_00204
OG0000298	Prbj.g_01914	Syap.g_01888
OG0000299	Prbj.g_01903	Syap.g_02620
OG0000302	Prbj.g_02159	Syap.g_02444, Syap.g_02445
OG0000303	Prbj.g_00314	Syap.g_02435
OG0000304	Prbj.g_00020	Syap.g_02430
OG0000305	Prbj.g_01837	Syap.g_01557
OG0000306	Prbj.g_02521	Syap.g_01966
OG0000307	Prbj.g_01647	Syap.g_02517
OG0000308	Prbj.g_01649	Syap.g_02514, Syap.g_02515
OG0000309	Prbj.g_01653	Syap.g_02198, Syap.g_02446
OG0000310	Prbj.g_01294	Syap.g_02660, Syap.g_02661
OG0000311	Prbj.g_01040	Syap.g_02657
OG0000312	Prbj.g_01044	Syap.g_02114
OG0000313	Prbj.g_01068	Syap.g_02473
OG0000315	Prbj.g_00656	Syap.g_00017
OG0000316	Prbj.g_01699	Syap.g_00030
OG0000317	Prbj.g_00863	Syap.g_00618
OG0000318	Prbj.g_00856	Syap.g_00622, Syap.g_02786
OG0000319	Prbj.g_00487	Syap.g_01764, Syap.g_01771
OG0000320	Prbj.g_00485	Syap.g_01761, Syap.g_01769
OG0000321	Prbj.g_00484	Syap.g_01760, Syap.g_01768
OG0000322	Prbj.g_00483	Syap.g_01759, Syap.g_01767
OG0000323	Prbj.g_00472	Syap.g_01389
OG0000324	Prbj.g_00443	Syap.g_01503
OG0000325	Prbj.g_02657	Syap.g_02680
OG0000326	Prbj.g_02649	Syap.g_00544
OG0000327	Prbj.g_01024	Syap.g_01233, Syap.g_01913
OG0000328	Prbj.g_01023	Syap.g_01234, Syap.g_01912
OG0000329	Prbj.g_01006	Syap.g_00498
OG0000330	Prbj.g_01005	Syap.g_00497
OG0000331	Prbj.g_01004	Syap.g_00496
OG0000332	Prbj.g_00989	Syap.g_00481
OG0000333	Prbj.g_00987	Syap.g_00478
OG0000334	Prbj.g_00410	Syap.g_00468
OG0000335	Prbj.g_00405	Syap.g_00101, Syap.g_00463
OG0000336	Prbj.g_00401	Syap.g_00417, Syap.g_00607
OG0000337	Prbj.g_01494	Syap.g_01054
OG0000338	Prbj.g_01498	Syap.g_01059
OG0000339	Prbj.g_01504	Syap.g_01068
OG0000340	Prbj.g_01516	Syap.g_01077
OG0000341	Prbj.g_01518	Syap.g_01079
OG0000342	Prbj.g_01519	Syap.g_01080, Syap.g_02477
OG0000343	Prbj.g_01576	Syap.g_01086, Syap.g_02078
OG0000344	Prbj.g_01579	Syap.g_01091
OG0000345	Prbj.g_01594	Syap.g_01107, Syap.g_01470
OG0000346	Prbj.g_01599	Syap.g_01113
OG0000347	Prbj.g_01280	Syap.g_01131, Syap.g_02459
OG0000348	Prbj.g_01243	Syap.g_00632
OG0000349	Prbj.g_01219	Syap.g_00110, Syap.g_01813
OG0000351	Prbj.g_02047	Syap.g_02594
OG0000352	Prbj.g_02048	Syap.g_02596, Syap.g_02597
OG0000353	Prbj.g_02072	Syap.g_00054
OG0000354	Prbj.g_01186	Syap.g_00075, Syap.g_02635
OG0000355	Prbj.g_02074	Syap.g_00056
OG0000356	Prbj.g_02075	Syap.g_00057
OG0000357	Prbj.g_02076	Syap.g_00058
OG0000358	Prbj.g_02080	Syap.g_00063
OG0000359	Prbj.g_02082	Syap.g_00065
OG0000360	Prbj.g_02083	Syap.g_00067
OG0000361	Prbj.g_02084	Syap.g_00068
OG0000362	Prbj.g_02086	Syap.g_00070
OG0000363	Prbj.g_01182	Syap.g_00072
OG0000364	Prbj.g_01183	Syap.g_00620
OG0000365	Prbj.g_01192	Syap.g_00081
OG0000366	Prbj.g_01193	Syap.g_00082
OG0000367	Prbj.g_01194	Syap.g_00083
OG0000368	Prbj.g_01196	Syap.g_00085
OG0000369	Prbj.g_01197	Syap.g_00086
OG0000370	Prbj.g_01198	Syap.g_00087
OG0000372	Prbj.g_01212	Syap.g_01805
OG0000373	Prbj.g_01213	Syap.g_01806
OG0000374	Prbj.g_01214	Syap.g_01807
OG0000375	Prbj.g_01215	Syap.g_01808
OG0000376	Prbj.g_01217	Syap.g_01811
OG0000377	Prbj.g_01950	Syap.g_00128
OG0000378	Prbj.g_01936	Syap.g_01326
OG0000380	Prbj.g_00561	Syap.g_01687
OG0000381	Prbj.g_00565	Syap.g_01690
OG0000382	Prbj.g_00580	Syap.g_02548
OG0000383	Prbj.g_00582	Syap.g_02359
OG0000384	Prbj.g_00583	Syap.g_02360
OG0000385	Prbj.g_00584	Syap.g_02361
OG0000386	Prbj.g_00585	Syap.g_02362
OG0000387	Prbj.g_00611	Syap.g_01864
OG0000391	Prbj.g_01556	Syap.g_02234
OG0000392	Prbj.g_01562	Syap.g_02225
OG0000393	Prbj.g_01567	Syap.g_02222
OG0000394	Prbj.g_01568	Syap.g_02221
OG0000395	Prbj.g_01569	Syap.g_02220
OG0000396	Prbj.g_01530	Syap.g_02217
OG0000397	Prbj.g_01532	Syap.g_02215
OG0000398	Prbj.g_01537	Syap.g_02211
OG0000399	Prbj.g_01538	Syap.g_02210
OG0000400	Prbj.g_01539	Syap.g_02209
OG0000401	Prbj.g_01540	Syap.g_02208
OG0000402	Prbj.g_01542	Syap.g_02206
OG0000403	Prbj.g_01543	Syap.g_02205
OG0000404	Prbj.g_01545	Syap.g_02204, Syap.g_02618
OG0000405	Prbj.g_00545	Syap.g_02191
OG0000406	Prbj.g_00541	Syap.g_02186
OG0000407	Prbj.g_00540	Syap.g_02185
OG0000408	Prbj.g_00538	Syap.g_02181, Syap.g_02182
OG0000409	Prbj.g_00536	Syap.g_02179
OG0000410	Prbj.g_00535	Syap.g_02178
OG0000411	Prbj.g_00534	Syap.g_02177
OG0000412	Prbj.g_00533	Syap.g_02176
OG0000413	Prbj.g_00531	Syap.g_02174
OG0000414	Prbj.g_00530	Syap.g_02173
OG0000415	Prbj.g_00529	Syap.g_02172
OG0000416	Prbj.g_00528	Syap.g_02171
OG0000417	Prbj.g_00527	Syap.g_02169
OG0000418	Prbj.g_00522	Syap.g_01204
OG0000419	Prbj.g_00520	Syap.g_01201
OG0000420	Prbj.g_00519	Syap.g_01199
OG0000421	Prbj.g_00515	Syap.g_01195
OG0000422	Prbj.g_00514	Syap.g_01194
OG0000423	Prbj.g_00513	Syap.g_01193
OG0000424	Prbj.g_00512	Syap.g_01192
OG0000425	Prbj.g_00511	Syap.g_01191
OG0000426	Prbj.g_00510	Syap.g_01190
OG0000427	Prbj.g_00509	Syap.g_01189
OG0000428	Prbj.g_02369	Syap.g_01186
OG0000429	Prbj.g_01135	Syap.g_01184
OG0000430	Prbj.g_01137	Syap.g_01182
OG0000431	Prbj.g_01141	Syap.g_01179
OG0000432	Prbj.g_01148	Syap.g_02277
OG0000433	Prbj.g_01151	Syap.g_02272
OG0000434	Prbj.g_01152	Syap.g_02271
OG0000435	Prbj.g_01155	Syap.g_02268
OG0000436	Prbj.g_01161	Syap.g_01607
OG0000437	Prbj.g_01162	Syap.g_01608
OG0000438	Prbj.g_01163	Syap.g_01612
OG0000439	Prbj.g_01165	Syap.g_01614
OG0000440	Prbj.g_01166	Syap.g_01615
OG0000441	Prbj.g_01173	Syap.g_01619
OG0000442	Prbj.g_01174	Syap.g_01620
OG0000443	Prbj.g_00289	Syap.g_01622
OG0000444	Prbj.g_00237	Syap.g_01424
OG0000445	Prbj.g_00238	Syap.g_01421
OG0000446	Prbj.g_00240	Syap.g_01419
OG0000447	Prbj.g_00250	Syap.g_01410
OG0000448	Prbj.g_00251	Syap.g_01407
OG0000449	Prbj.g_00252	Syap.g_01406
OG0000450	Prbj.g_00258	Syap.g_01909
OG0000451	Prbj.g_00259	Syap.g_01908
OG0000452	Prbj.g_00264	Syap.g_01904
OG0000453	Prbj.g_00265	Syap.g_01903
OG0000454	Prbj.g_00266	Syap.g_01902
OG0000455	Prbj.g_00267	Syap.g_01901
OG0000456	Prbj.g_00268	Syap.g_01900
OG0000457	Prbj.g_00270	Syap.g_01896
OG0000458	Prbj.g_00271	Syap.g_01895
OG0000459	Prbj.g_00272	Syap.g_01894
OG0000460	Prbj.g_00176	Syap.g_01159
OG0000461	Prbj.g_02661	Syap.g_01575
OG0000462	Prbj.g_01341	Syap.g_01578
OG0000463	Prbj.g_01342	Syap.g_01579
OG0000464	Prbj.g_01343	Syap.g_01580
OG0000465	Prbj.g_01345	Syap.g_01582
OG0000466	Prbj.g_01350	Syap.g_01587
OG0000467	Prbj.g_01352	Syap.g_01588
OG0000468	Prbj.g_01359	Syap.g_01593
OG0000469	Prbj.g_01372	Syap.g_02352
OG0000470	Prbj.g_01385	Syap.g_02349
OG0000471	Prbj.g_01386	Syap.g_02348
OG0000472	Prbj.g_01388	Syap.g_02347
OG0000473	Prbj.g_01390	Syap.g_02343
OG0000474	Prbj.g_01391	Syap.g_02342
OG0000475	Prbj.g_01392	Syap.g_02341
OG0000476	Prbj.g_01394	Syap.g_02339
OG0000477	Prbj.g_01399	Syap.g_01367
OG0000478	Prbj.g_01400	Syap.g_01366
OG0000479	Prbj.g_01401	Syap.g_01364
OG0000480	Prbj.g_01408	Syap.g_01357
OG0000482	Prbj.g_01411	Syap.g_01355
OG0000483	Prbj.g_01415	Syap.g_01344
OG0000484	Prbj.g_01416	Syap.g_01350
OG0000485	Prbj.g_01417	Syap.g_01349
OG0000487	Prbj.g_01423	Syap.g_01635
OG0000488	Prbj.g_01427	Syap.g_01639
OG0000489	Prbj.g_01438	Syap.g_02482
OG0000490	Prbj.g_01444	Syap.g_01673
OG0000491	Prbj.g_01445	Syap.g_01670
OG0000492	Prbj.g_01448	Syap.g_01668
OG0000493	Prbj.g_01449	Syap.g_01667
OG0000494	Prbj.g_01450	Syap.g_01666
OG0000495	Prbj.g_01451	Syap.g_01665
OG0000496	Prbj.g_01452	Syap.g_01663
OG0000497	Prbj.g_01453	Syap.g_01662
OG0000498	Prbj.g_01454	Syap.g_01661
OG0000499	Prbj.g_01455	Syap.g_01660
OG0000500	Prbj.g_01456	Syap.g_01659
OG0000501	Prbj.g_01459	Syap.g_01656
OG0000502	Prbj.g_01471	Syap.g_02066
OG0000503	Prbj.g_00341	Syap.g_00569
OG0000504	Prbj.g_00339	Syap.g_00567
OG0000505	Prbj.g_00338	Syap.g_00566
OG0000506	Prbj.g_00336	Syap.g_00564
OG0000507	Prbj.g_00331	Syap.g_00558
OG0000508	Prbj.g_00324	Syap.g_00554
OG0000509	Prbj.g_00322	Syap.g_00551
OG0000510	Prbj.g_00321	Syap.g_00550
OG0000511	Prbj.g_00320	Syap.g_00548
OG0000512	Prbj.g_00318	Syap.g_02145
OG0000513	Prbj.g_00068	Syap.g_02048
OG0000514	Prbj.g_00076	Syap.g_02051
OG0000515	Prbj.g_00077	Syap.g_02052
OG0000516	Prbj.g_00089	Syap.g_02054
OG0000517	Prbj.g_00099	Syap.g_02057
OG0000519	Prbj.g_00112	Syap.g_00457
OG0000520	Prbj.g_00113	Syap.g_00456
OG0000521	Prbj.g_01894	Syap.g_01997
OG0000522	Prbj.g_01892	Syap.g_01995
OG0000523	Prbj.g_01891	Syap.g_02507
OG0000524	Prbj.g_00152	Syap.g_02135
OG0000525	Prbj.g_00136	Syap.g_02159
OG0000526	Prbj.g_00134	Syap.g_02157
OG0000527	Prbj.g_00130	Syap.g_02758
OG0000528	Prbj.g_01635	Syap.g_02261
OG0000529	Prbj.g_01629	Syap.g_02254
OG0000530	Prbj.g_01626	Syap.g_02252
OG0000531	Prbj.g_01625	Syap.g_02251
OG0000532	Prbj.g_01622	Syap.g_02247
OG0000533	Prbj.g_01620	Syap.g_02244
OG0000534	Prbj.g_01619	Syap.g_02243
OG0000535	Prbj.g_01618	Syap.g_02242
OG0000536	Prbj.g_01617	Syap.g_02241
OG0000537	Prbj.g_01616	Syap.g_02240
OG0000538	Prbj.g_01605	Syap.g_00271
OG0000539	Prbj.g_02088	Syap.g_00270
OG0000540	Prbj.g_02089	Syap.g_00269
OG0000541	Prbj.g_02090	Syap.g_00268
OG0000542	Prbj.g_02093	Syap.g_00264
OG0000543	Prbj.g_02095	Syap.g_00261
OG0000544	Prbj.g_02096	Syap.g_00260
OG0000545	Prbj.g_02097	Syap.g_00259
OG0000546	Prbj.g_02099	Syap.g_00256
OG0000547	Prbj.g_02101	Syap.g_00254
OG0000548	Prbj.g_02102	Syap.g_00253
OG0000549	Prbj.g_02108	Syap.g_00758
OG0000550	Prbj.g_02113	Syap.g_02747
OG0000551	Prbj.g_02117	Syap.g_02739
OG0000552	Prbj.g_02118	Syap.g_02738
OG0000553	Prbj.g_02123	Syap.g_02735
OG0000554	Prbj.g_02128	Syap.g_01450
OG0000555	Prbj.g_02146	Syap.g_01941
OG0000556	Prbj.g_02666	Syap.g_01933
OG0000557	Prbj.g_01858	Syap.g_01931
OG0000558	Prbj.g_01861	Syap.g_01147
OG0000560	Prbj.g_01868	Syap.g_00305
OG0000561	Prbj.g_01869	Syap.g_00304
OG0000562	Prbj.g_01870	Syap.g_00302
OG0000563	Prbj.g_01871	Syap.g_00301
OG0000564	Prbj.g_01872	Syap.g_00300
OG0000565	Prbj.g_01875	Syap.g_00296
OG0000566	Prbj.g_01879	Syap.g_00291
OG0000567	Prbj.g_01883	Syap.g_01297
OG0000568	Prbj.g_01885	Syap.g_01302
OG0000569	Prbj.g_01807	Syap.g_01303
OG0000570	Prbj.g_01806	Syap.g_01304
OG0000571	Prbj.g_01803	Syap.g_01307
OG0000573	Prbj.g_01780	Syap.g_00765
OG0000574	Prbj.g_01779	Syap.g_00759
OG0000575	Prbj.g_01770	Syap.g_00445
OG0000576	Prbj.g_01768	Syap.g_00450
OG0000577	Prbj.g_01767	Syap.g_00451
OG0000578	Prbj.g_01766	Syap.g_00452
OG0000579	Prbj.g_01765	Syap.g_00453
OG0000580	Prbj.g_01764	Syap.g_00454
