Orthogroup	Praq	Syat
OG0000070	Praq.g_01107	Syat.g_01032, Syat.g_01040
OG0000071	Praq.g_00133	Syat.g_01153
OG0000072	Praq.g_01831	Syat.g_02856, Syat.g_01597
OG0000073	Praq.g_01103	Syat.g_03201
OG0000075	Praq.g_00739	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Praq.g_01243, Praq.g_00763	Syat.g_02206
OG0000077	Praq.g_01925	Syat.g_01481
OG0000078	Praq.g_01763	Syat.g_00184
OG0000081	Praq.g_01071	Syat.g_00980
OG0000082	Praq.g_01018	Syat.g_00035
OG0000086	Praq.g_01915	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Praq.g_01864	Syat.g_02912
OG0000088	Praq.g_01836	Syat.g_02862
OG0000089	Praq.g_01188	Syat.g_02953
OG0000090	Praq.g_01069	Syat.g_03270
OG0000091	Praq.g_00960	Syat.g_00939, Syat.g_00862
OG0000092	Praq.g_00725	Syat.g_00825
OG0000094	Praq.g_01600	Syat.g_00698, Syat.g_01034
OG0000095	Praq.g_01619	Syat.g_00808
OG0000097	Praq.g_01374	Syat.g_00907, Syat.g_00535
OG0000098	Praq.g_00157	Syat.g_03281
OG0000099	Praq.g_00216	Syat.g_02130
OG0000100	Praq.g_00368	Syat.g_00517
OG0000101	Praq.g_00879	Syat.g_01661
OG0000102	Praq.g_00768	Syat.g_00974
OG0000103	Praq.g_00414	Syat.g_02399
OG0000104	Praq.g_00422	Syat.g_02385
OG0000105	Praq.g_01729	Syat.g_02052
OG0000106	Praq.g_01173	Syat.g_00957
OG0000107	Praq.g_01158	Syat.g_02009, Syat.g_01862
OG0000108	Praq.g_00531	Syat.g_03170
OG0000109	Praq.g_00545	Syat.g_03187
OG0000110	Praq.g_01028	Syat.g_00049
OG0000111	Praq.g_00828	Syat.g_00816
OG0000112	Praq.g_00638	Syat.g_00593
OG0000113	Praq.g_01420	Syat.g_00509
OG0000114	Praq.g_01490	Syat.g_00426
OG0000115	Praq.g_01278	Syat.g_01328
OG0000116	Praq.g_01323	Syat.g_02641
OG0000117	Praq.g_00084	Syat.g_00224
OG0000118	Praq.g_00145	Syat.g_01168
OG0000119	Praq.g_00171	Syat.g_00309
OG0000120	Praq.g_00208	Syat.g_02132
OG0000121	Praq.g_00296	Syat.g_01223
OG0000123	Praq.g_00873	Syat.g_01653
OG0000124	Praq.g_00682	Syat.g_02231
OG0000125	Praq.g_00718	Syat.g_02684
OG0000126	Praq.g_00421	Syat.g_00976
OG0000128	Praq.g_00437	Syat.g_02331
OG0000129	Praq.g_01259	Syat.g_02693, Syat.g_02694
OG0000130	Praq.g_01934	Syat.g_01469
OG0000131	Praq.g_01857	Syat.g_02898
OG0000132	Praq.g_01838	Syat.g_02864
OG0000133	Praq.g_01680	Syat.g_00588
OG0000134	Praq.g_01187	Syat.g_02956
OG0000135	Praq.g_01160	Syat.g_02501
OG0000136	Praq.g_01116	Syat.g_01292
OG0000137	Praq.g_00526	Syat.g_01371
OG0000138	Praq.g_00546	Syat.g_03188
OG0000139	Praq.g_01065	Syat.g_03276
OG0000140	Praq.g_01064	Syat.g_03280
OG0000141	Praq.g_00995	Syat.g_03398
OG0000142	Praq.g_00967	Syat.g_00117
OG0000143	Praq.g_00963	Syat.g_00130
OG0000144	Praq.g_00781	Syat.g_00369
OG0000145	Praq.g_00637	Syat.g_03202
OG0000146	Praq.g_00639	Syat.g_00594
OG0000147	Praq.g_00640	Syat.g_00595
OG0000148	Praq.g_01414	Syat.g_00503
OG0000149	Praq.g_01444	Syat.g_00747
OG0000150	Praq.g_01452	Syat.g_03399
OG0000151	Praq.g_01500	Syat.g_00801, Syat.g_00440
OG0000152	Praq.g_01548	Syat.g_00578
OG0000153	Praq.g_01567	Syat.g_00542
OG0000154	Praq.g_01593	Syat.g_00708
OG0000155	Praq.g_01353	Syat.g_00287
OG0000156	Praq.g_00122	Syat.g_03228
OG0000157	Praq.g_00123	Syat.g_02012, Syat.g_03227
OG0000158	Praq.g_00258	Syat.g_02163
OG0000160	Praq.g_00295	Syat.g_01224
OG0000161	Praq.g_00301	Syat.g_01180
OG0000162	Praq.g_00307	Syat.g_01281
OG0000163	Praq.g_00341	Syat.g_02979
OG0000164	Praq.g_00473	Syat.g_03040
OG0000165	Praq.g_00466	Syat.g_03033
OG0000166	Praq.g_00915	Syat.g_01822
OG0000167	Praq.g_00737	Syat.g_02148
OG0000168	Praq.g_00747	Syat.g_02164
OG0000169	Praq.g_00757	Syat.g_02192
OG0000170	Praq.g_00759	Syat.g_02201
OG0000171	Praq.g_00681	Syat.g_02230
OG0000172	Praq.g_00689	Syat.g_02260
OG0000173	Praq.g_00704	Syat.g_02284
OG0000174	Praq.g_00396	Syat.g_02504
OG0000175	Praq.g_00406	Syat.g_02416
OG0000176	Praq.g_00430	Syat.g_02372
OG0000177	Praq.g_00431	Syat.g_02338
OG0000178	Praq.g_00432	Syat.g_02337
OG0000179	Praq.g_01219	Syat.g_02322
OG0000180	Praq.g_01220	Syat.g_02321
OG0000181	Praq.g_01221	Syat.g_02320
OG0000182	Praq.g_01222	Syat.g_02319
OG0000183	Praq.g_01226	Syat.g_02315
OG0000184	Praq.g_01262	Syat.g_02704
OG0000185	Praq.g_01265	Syat.g_02719
OG0000186	Praq.g_01939	Syat.g_01463
OG0000187	Praq.g_01938	Syat.g_01467
OG0000188	Praq.g_01921	Syat.g_01489
OG0000189	Praq.g_01907	Syat.g_00386, Syat.g_01557
OG0000190	Praq.g_01906	Syat.g_00330
OG0000191	Praq.g_01886	Syat.g_03344, Syat.g_02939
OG0000192	Praq.g_01882	Syat.g_02933
OG0000193	Praq.g_01856	Syat.g_02897
OG0000194	Praq.g_01853	Syat.g_02894
OG0000195	Praq.g_01851	Syat.g_02892
OG0000196	Praq.g_01841	Syat.g_02867
OG0000197	Praq.g_01840	Syat.g_02866
OG0000198	Praq.g_01839	Syat.g_02865
OG0000199	Praq.g_01832	Syat.g_02857
OG0000200	Praq.g_01818	Syat.g_02840
OG0000201	Praq.g_01810	Syat.g_02821
OG0000202	Praq.g_01809	Syat.g_02820
OG0000203	Praq.g_01808	Syat.g_02819
OG0000204	Praq.g_01807	Syat.g_02818
OG0000205	Praq.g_01800	Syat.g_02809
OG0000206	Praq.g_01795	Syat.g_02785
OG0000207	Praq.g_01793	Syat.g_02778
OG0000208	Praq.g_01792	Syat.g_02777
OG0000209	Praq.g_01783	Syat.g_02735
OG0000210	Praq.g_01782	Syat.g_02734
OG0000211	Praq.g_01769	Syat.g_01452
OG0000212	Praq.g_01762	Syat.g_01442
OG0000213	Praq.g_01746	Syat.g_01889
OG0000214	Praq.g_01736	Syat.g_02042
OG0000215	Praq.g_01710	Syat.g_02075
OG0000216	Praq.g_01708	Syat.g_02079
OG0000217	Praq.g_01705	Syat.g_02085
OG0000218	Praq.g_01703	Syat.g_02087
OG0000219	Praq.g_01702	Syat.g_02088
OG0000220	Praq.g_01701	Syat.g_02089
OG0000221	Praq.g_01700	Syat.g_02095
OG0000222	Praq.g_01692	Syat.g_02109
OG0000223	Praq.g_01679	Syat.g_02570
OG0000224	Praq.g_01677	Syat.g_02139
OG0000225	Praq.g_01199	Syat.g_01595
OG0000226	Praq.g_01195	Syat.g_01588
OG0000228	Praq.g_01189	Syat.g_02952
OG0000229	Praq.g_01121	Syat.g_02970
OG0000230	Praq.g_01119	Syat.g_02972
OG0000231	Praq.g_01108	Syat.g_01283
OG0000232	Praq.g_00507	Syat.g_01313
OG0000233	Praq.g_00513	Syat.g_01407
OG0000234	Praq.g_00527	Syat.g_01369
OG0000235	Praq.g_00530	Syat.g_03169
OG0000236	Praq.g_00544	Syat.g_03186
OG0000237	Praq.g_01096	Syat.g_03214
OG0000238	Praq.g_01090	Syat.g_03219
OG0000239	Praq.g_01077	Syat.g_01105
OG0000240	Praq.g_01076	Syat.g_01104
OG0000241	Praq.g_01072	Syat.g_00111
OG0000242	Praq.g_01070	Syat.g_01077
OG0000243	Praq.g_01059	Syat.g_00092
OG0000244	Praq.g_01056	Syat.g_00082
OG0000245	Praq.g_01054	Syat.g_00080
OG0000246	Praq.g_01050	Syat.g_00076
OG0000247	Praq.g_01040	Syat.g_00065
OG0000248	Praq.g_01038	Syat.g_00062
OG0000249	Praq.g_01036	Syat.g_00060
OG0000250	Praq.g_01031	Syat.g_00053
OG0000251	Praq.g_01012	Syat.g_00027
OG0000252	Praq.g_01008	Syat.g_00022
OG0000253	Praq.g_01007	Syat.g_00021
OG0000254	Praq.g_00991	Syat.g_03407
OG0000255	Praq.g_00985	Syat.g_02405
OG0000256	Praq.g_00975	Syat.g_03306
OG0000257	Praq.g_00972	Syat.g_00109
OG0000258	Praq.g_00959	Syat.g_00382
OG0000259	Praq.g_00789	Syat.g_00342
OG0000260	Praq.g_00792	Syat.g_00392
OG0000261	Praq.g_00794	Syat.g_00400
OG0000262	Praq.g_00798	Syat.g_00407
OG0000263	Praq.g_00810	Syat.g_00200
OG0000266	Praq.g_00593	Syat.g_00671
OG0000267	Praq.g_00604	Syat.g_00636
OG0000268	Praq.g_00605	Syat.g_00634
OG0000269	Praq.g_00665	Syat.g_00474, Syat.g_00126
OG0000270	Praq.g_00668	Syat.g_00477
OG0000271	Praq.g_00676	Syat.g_00485
OG0000272	Praq.g_00677	Syat.g_00486
OG0000273	Praq.g_01428	Syat.g_00520
OG0000274	Praq.g_01429	Syat.g_00521
OG0000275	Praq.g_01431	Syat.g_00718
OG0000276	Praq.g_01436	Syat.g_00725
OG0000277	Praq.g_01437	Syat.g_00738
OG0000278	Praq.g_01440	Syat.g_00741
OG0000279	Praq.g_01447	Syat.g_00755
OG0000280	Praq.g_01448	Syat.g_01669
OG0000281	Praq.g_01454	Syat.g_00960
OG0000282	Praq.g_01492	Syat.g_00431
OG0000283	Praq.g_01525	Syat.g_00620
OG0000284	Praq.g_01530	Syat.g_00614
OG0000285	Praq.g_01535	Syat.g_00607
OG0000286	Praq.g_01547	Syat.g_00579
OG0000287	Praq.g_01564	Syat.g_00550
OG0000288	Praq.g_01592	Syat.g_00709
OG0000289	Praq.g_01603	Syat.g_00695
OG0000290	Praq.g_01616	Syat.g_00805
OG0000291	Praq.g_01618	Syat.g_00807
OG0000292	Praq.g_01667	Syat.g_02388
OG0000293	Praq.g_01324	Syat.g_03241
OG0000294	Praq.g_01325	Syat.g_03248
OG0000295	Praq.g_01345	Syat.g_00297
OG0000296	Praq.g_01347	Syat.g_00295
OG0000297	Praq.g_01355	Syat.g_00226
OG0000298	Praq.g_01356	Syat.g_00225
OG0000299	Praq.g_01373	Syat.g_00910
OG0000300	Praq.g_01376	Syat.g_00904
OG0000301	Praq.g_01377	Syat.g_00903
OG0000302	Praq.g_01379	Syat.g_00901
OG0000303	Praq.g_01386	Syat.g_00892
OG0000304	Praq.g_01390	Syat.g_00885
OG0000305	Praq.g_00167	Syat.g_00809
OG0000306	Praq.g_00170	Syat.g_01704
OG0000307	Praq.g_00186	Syat.g_01304
OG0000308	Praq.g_00187	Syat.g_01306
OG0000309	Praq.g_00191	Syat.g_01417
OG0000310	Praq.g_00279	Syat.g_01246
OG0000311	Praq.g_00281	Syat.g_01242
OG0000312	Praq.g_00284	Syat.g_01237
OG0000313	Praq.g_00298	Syat.g_01183
OG0000314	Praq.g_00321	Syat.g_01341
OG0000315	Praq.g_00331	Syat.g_01351
OG0000316	Praq.g_00351	Syat.g_03082
OG0000317	Praq.g_01954, Praq.g_00499	Syat.g_03120
OG0000318	Praq.g_00496	Syat.g_03125
OG0000319	Praq.g_00483	Syat.g_03055
OG0000320	Praq.g_00481	Syat.g_03053
OG0000321	Praq.g_00480	Syat.g_03052
OG0000322	Praq.g_00479	Syat.g_03051
OG0000323	Praq.g_00470	Syat.g_03038
OG0000324	Praq.g_00444	Syat.g_02998
OG0000325	Praq.g_00950	Syat.g_01861
OG0000326	Praq.g_00944	Syat.g_01854
OG0000327	Praq.g_00920	Syat.g_01827
OG0000328	Praq.g_00919	Syat.g_01826
OG0000329	Praq.g_00902	Syat.g_01808
OG0000330	Praq.g_00901	Syat.g_01807
OG0000331	Praq.g_00900	Syat.g_01806
OG0000332	Praq.g_00886	Syat.g_01790
OG0000333	Praq.g_00884	Syat.g_01787
OG0000334	Praq.g_00876	Syat.g_01657
OG0000335	Praq.g_00872	Syat.g_01652
OG0000336	Praq.g_00868	Syat.g_01648
OG0000337	Praq.g_00735	Syat.g_02144
OG0000338	Praq.g_00736	Syat.g_02146
OG0000339	Praq.g_00740	Syat.g_02155, Syat.g_01055
OG0000340	Praq.g_00748	Syat.g_02165
OG0000341	Praq.g_00750	Syat.g_02167
OG0000342	Praq.g_00751	Syat.g_02168
OG0000343	Praq.g_00752	Syat.g_02185
OG0000344	Praq.g_00755	Syat.g_02189
OG0000345	Praq.g_00760	Syat.g_02202
OG0000346	Praq.g_00764	Syat.g_02207
OG0000347	Praq.g_00683	Syat.g_02234
OG0000348	Praq.g_00692	Syat.g_02264
OG0000349	Praq.g_00709	Syat.g_02291
OG0000350	Praq.g_00392	Syat.g_01847
OG0000351	Praq.g_00409	Syat.g_02411
OG0000352	Praq.g_00410	Syat.g_02410
OG0000353	Praq.g_00425	Syat.g_00955, Syat.g_02377
OG0000355	Praq.g_00427	Syat.g_02375
OG0000356	Praq.g_00428	Syat.g_02374
OG0000357	Praq.g_00429	Syat.g_02373
OG0000358	Praq.g_00433	Syat.g_02336
OG0000359	Praq.g_00434	Syat.g_02334
OG0000360	Praq.g_00435	Syat.g_02333
OG0000361	Praq.g_00436	Syat.g_02332
OG0000362	Praq.g_00438	Syat.g_02330
OG0000363	Praq.g_01217	Syat.g_02328
OG0000364	Praq.g_01218	Syat.g_03122
OG0000365	Praq.g_01223	Syat.g_02318
OG0000366	Praq.g_01224	Syat.g_02317
OG0000367	Praq.g_01225	Syat.g_02316
OG0000368	Praq.g_01227	Syat.g_02314
OG0000369	Praq.g_01228	Syat.g_02313
OG0000370	Praq.g_01229	Syat.g_02312
OG0000371	Praq.g_01235	Syat.g_02304
OG0000372	Praq.g_01239	Syat.g_02298
OG0000373	Praq.g_01240	Syat.g_02297
OG0000374	Praq.g_01241	Syat.g_02296
OG0000375	Praq.g_01255	Syat.g_02295
OG0000376	Praq.g_01257	Syat.g_02293
OG0000377	Praq.g_01261	Syat.g_02695
OG0000378	Praq.g_01263	Syat.g_02715
OG0000379	Praq.g_01266	Syat.g_02720
OG0000380	Praq.g_01937	Syat.g_01468
OG0000381	Praq.g_01933	Syat.g_01470
OG0000382	Praq.g_01922	Syat.g_01488
OG0000383	Praq.g_01920	Syat.g_01521
OG0000384	Praq.g_01919	Syat.g_01522
OG0000385	Praq.g_01918	Syat.g_01523
OG0000386	Praq.g_01917	Syat.g_01524
OG0000387	Praq.g_01904	Syat.g_01561
OG0000388	Praq.g_01901	Syat.g_01565
OG0000389	Praq.g_01897	Syat.g_01569
OG0000390	Praq.g_01890	Syat.g_02945
OG0000391	Praq.g_01887	Syat.g_02940
OG0000392	Praq.g_01883	Syat.g_02934
OG0000393	Praq.g_01881	Syat.g_02931
OG0000394	Praq.g_01880	Syat.g_02930
OG0000395	Praq.g_01879	Syat.g_02929
OG0000396	Praq.g_01876	Syat.g_02927
OG0000397	Praq.g_01874	Syat.g_02925
OG0000398	Praq.g_01872	Syat.g_02920
OG0000399	Praq.g_01871	Syat.g_02919
OG0000400	Praq.g_01870	Syat.g_02918
OG0000401	Praq.g_01869	Syat.g_02917
OG0000402	Praq.g_01867	Syat.g_02915
OG0000403	Praq.g_01866	Syat.g_02914
OG0000404	Praq.g_01865	Syat.g_02913
OG0000405	Praq.g_01861	Syat.g_02900
OG0000406	Praq.g_01855	Syat.g_02896
OG0000407	Praq.g_01854	Syat.g_02895
OG0000408	Praq.g_01852	Syat.g_02893
OG0000409	Praq.g_01850	Syat.g_02891
OG0000410	Praq.g_01849	Syat.g_02890
OG0000411	Praq.g_01848	Syat.g_02889
OG0000412	Praq.g_01847	Syat.g_02888
OG0000413	Praq.g_01846	Syat.g_02886
OG0000414	Praq.g_00554, Praq.g_01845	Syat.g_02885
OG0000415	Praq.g_01844	Syat.g_02884
OG0000416	Praq.g_01843	Syat.g_02883
OG0000417	Praq.g_01842	Syat.g_02868
OG0000418	Praq.g_01837	Syat.g_02863
OG0000419	Praq.g_01835	Syat.g_02861
OG0000420	Praq.g_01834	Syat.g_02859
OG0000421	Praq.g_01829	Syat.g_02855
OG0000422	Praq.g_01828	Syat.g_02854
OG0000423	Praq.g_01827	Syat.g_02853
OG0000424	Praq.g_01826	Syat.g_02852
OG0000425	Praq.g_01825	Syat.g_02851
OG0000426	Praq.g_01824	Syat.g_02850
OG0000427	Praq.g_01823	Syat.g_02849
OG0000428	Praq.g_01821	Syat.g_02846
OG0000429	Praq.g_01820	Syat.g_02843
OG0000430	Praq.g_01819	Syat.g_02841
OG0000431	Praq.g_01817	Syat.g_02838
OG0000432	Praq.g_01814	Syat.g_02832
OG0000433	Praq.g_01813	Syat.g_02829
OG0000434	Praq.g_01812	Syat.g_02828
OG0000435	Praq.g_01811	Syat.g_02824
OG0000436	Praq.g_01806	Syat.g_02817
OG0000437	Praq.g_01805	Syat.g_02558
OG0000438	Praq.g_01804	Syat.g_02813
OG0000439	Praq.g_01802	Syat.g_02811
OG0000440	Praq.g_01801	Syat.g_02810
OG0000441	Praq.g_01798	Syat.g_02807
OG0000442	Praq.g_01797	Syat.g_02797
OG0000443	Praq.g_01796	Syat.g_02787
OG0000444	Praq.g_01791	Syat.g_02756
OG0000445	Praq.g_01790	Syat.g_02755
OG0000446	Praq.g_01789	Syat.g_02753
OG0000447	Praq.g_01788	Syat.g_02749
OG0000448	Praq.g_01787	Syat.g_02748
OG0000449	Praq.g_01786	Syat.g_02747
OG0000450	Praq.g_01785	Syat.g_02738
OG0000451	Praq.g_01784	Syat.g_02737
OG0000452	Praq.g_01781	Syat.g_02732
OG0000453	Praq.g_01780	Syat.g_02731
OG0000454	Praq.g_01779	Syat.g_02730
OG0000455	Praq.g_01778	Syat.g_02729
OG0000456	Praq.g_01777	Syat.g_02728
OG0000457	Praq.g_01776	Syat.g_02726
OG0000458	Praq.g_01775	Syat.g_02725
OG0000459	Praq.g_01774	Syat.g_02724
OG0000460	Praq.g_01767	Syat.g_01450
OG0000461	Praq.g_01760	Syat.g_01866
OG0000462	Praq.g_01758	Syat.g_01868
OG0000463	Praq.g_01757	Syat.g_01869
OG0000464	Praq.g_01756	Syat.g_01870
OG0000465	Praq.g_01755	Syat.g_01872
OG0000466	Praq.g_01752	Syat.g_01877
OG0000467	Praq.g_01751	Syat.g_01878
OG0000468	Praq.g_01750	Syat.g_01884
OG0000469	Praq.g_01741	Syat.g_02000
OG0000470	Praq.g_01739	Syat.g_02038
OG0000471	Praq.g_01738	Syat.g_02039
OG0000472	Praq.g_01737	Syat.g_02041
OG0000473	Praq.g_01735	Syat.g_02043
OG0000474	Praq.g_01734	Syat.g_02044
OG0000475	Praq.g_01733	Syat.g_02045
OG0000476	Praq.g_01732	Syat.g_02047
OG0000477	Praq.g_01728	Syat.g_02053
OG0000478	Praq.g_01727	Syat.g_02054
OG0000479	Praq.g_01726	Syat.g_02056
OG0000480	Praq.g_01721	Syat.g_02063
OG0000481	Praq.g_01718	Syat.g_02066
OG0000482	Praq.g_01717	Syat.g_02067
OG0000483	Praq.g_01714	Syat.g_02071
OG0000484	Praq.g_01713	Syat.g_02072
OG0000485	Praq.g_01712	Syat.g_02073
OG0000486	Praq.g_01711	Syat.g_02074
OG0000487	Praq.g_01707	Syat.g_02080
OG0000488	Praq.g_01704	Syat.g_02086
OG0000489	Praq.g_01699	Syat.g_02097
OG0000490	Praq.g_01694	Syat.g_02106
OG0000491	Praq.g_01693	Syat.g_02107
OG0000492	Praq.g_01691	Syat.g_02110
OG0000493	Praq.g_01690	Syat.g_02111
OG0000494	Praq.g_01689	Syat.g_02112
OG0000495	Praq.g_01688	Syat.g_02120
OG0000496	Praq.g_01687	Syat.g_02121
OG0000497	Praq.g_01686	Syat.g_02122
OG0000498	Praq.g_01685	Syat.g_02123
OG0000499	Praq.g_01684	Syat.g_02124
OG0000500	Praq.g_01683	Syat.g_02125
OG0000501	Praq.g_01681	Syat.g_02128
OG0000502	Praq.g_01678	Syat.g_02135
OG0000503	Praq.g_01211	Syat.g_01614
OG0000504	Praq.g_01210	Syat.g_01612
OG0000505	Praq.g_01209	Syat.g_01611
OG0000506	Praq.g_01207	Syat.g_01609
OG0000507	Praq.g_01204	Syat.g_01603
OG0000508	Praq.g_01200	Syat.g_01596
OG0000509	Praq.g_01198	Syat.g_01591
OG0000510	Praq.g_01197	Syat.g_01590
OG0000511	Praq.g_01196	Syat.g_01589
OG0000512	Praq.g_01194	Syat.g_01587
OG0000513	Praq.g_01186	Syat.g_02957
OG0000514	Praq.g_01126	Syat.g_02962
OG0000515	Praq.g_01125	Syat.g_02963
OG0000516	Praq.g_01124	Syat.g_02965
OG0000517	Praq.g_01122	Syat.g_02969
OG0000518	Praq.g_01111	Syat.g_01286
OG0000519	Praq.g_01110	Syat.g_01285
OG0000520	Praq.g_01109	Syat.g_01284
OG0000521	Praq.g_00502	Syat.g_01319
OG0000522	Praq.g_00504	Syat.g_01317
OG0000523	Praq.g_00505	Syat.g_01316
OG0000524	Praq.g_00511	Syat.g_01409
OG0000525	Praq.g_00514	Syat.g_01382
OG0000526	Praq.g_00515	Syat.g_01380
OG0000527	Praq.g_00524	Syat.g_01373
OG0000528	Praq.g_00529	Syat.g_03167
OG0000529	Praq.g_00532	Syat.g_03171
OG0000530	Praq.g_00535	Syat.g_03174
OG0000531	Praq.g_00536	Syat.g_03175
OG0000532	Praq.g_00538	Syat.g_03178
OG0000533	Praq.g_00539	Syat.g_03180
OG0000534	Praq.g_00540	Syat.g_03181
OG0000535	Praq.g_00541	Syat.g_03182
OG0000536	Praq.g_00542	Syat.g_03183
OG0000537	Praq.g_00543	Syat.g_03185
OG0000538	Praq.g_01102	Syat.g_03204
OG0000539	Praq.g_01101	Syat.g_03206
OG0000540	Praq.g_01100	Syat.g_03207
OG0000541	Praq.g_01099	Syat.g_03208
OG0000542	Praq.g_01097	Syat.g_03213
OG0000543	Praq.g_01095	Syat.g_03215
OG0000544	Praq.g_01094	Syat.g_03216
OG0000545	Praq.g_01092	Syat.g_03218
OG0000546	Praq.g_01089	Syat.g_03220
OG0000547	Praq.g_01087	Syat.g_03222
OG0000548	Praq.g_01086	Syat.g_03223
OG0000549	Praq.g_01084	Syat.g_01795
OG0000550	Praq.g_01079	Syat.g_01107
OG0000551	Praq.g_01075	Syat.g_01103
OG0000552	Praq.g_01074	Syat.g_01102
OG0000553	Praq.g_01073	Syat.g_01098
OG0000554	Praq.g_01068	Syat.g_03271
OG0000555	Praq.g_01060	Syat.g_00093
OG0000556	Praq.g_01058	Syat.g_00088
OG0000557	Praq.g_01057	Syat.g_00083
OG0000558	Praq.g_01055	Syat.g_00081
OG0000559	Praq.g_01051	Syat.g_00077
OG0000560	Praq.g_01048	Syat.g_00074
OG0000561	Praq.g_01047	Syat.g_00073
OG0000562	Praq.g_01046	Syat.g_00072
OG0000563	Praq.g_01045	Syat.g_00071
OG0000564	Praq.g_01044	Syat.g_00070
OG0000565	Praq.g_01041	Syat.g_00067
OG0000566	Praq.g_01039	Syat.g_00063
OG0000567	Praq.g_01035	Syat.g_00059
OG0000568	Praq.g_01034	Syat.g_00057
OG0000569	Praq.g_01033	Syat.g_00056
OG0000570	Praq.g_01032	Syat.g_00055
OG0000571	Praq.g_01030	Syat.g_00052
OG0000572	Praq.g_01017	Syat.g_00033
OG0000573	Praq.g_01010	Syat.g_00024
OG0000574	Praq.g_01009	Syat.g_00023
OG0000575	Praq.g_01005	Syat.g_00018
OG0000576	Praq.g_01003	Syat.g_00014
OG0000577	Praq.g_01002	Syat.g_00013
OG0000578	Praq.g_01001	Syat.g_00012
OG0000579	Praq.g_01000	Syat.g_00011
OG0000580	Praq.g_00999	Syat.g_00010
OG0000581	Praq.g_00997	Syat.g_00003
OG0000582	Praq.g_00994	Syat.g_03403
OG0000583	Praq.g_00993	Syat.g_03404
OG0000584	Praq.g_00992	Syat.g_03405
OG0000585	Praq.g_00990	Syat.g_03408
OG0000586	Praq.g_00989	Syat.g_03409
OG0000587	Praq.g_00988	Syat.g_00001
OG0000588	Praq.g_00984	Syat.g_00338
OG0000589	Praq.g_00981	Syat.g_03318
OG0000590	Praq.g_00980	Syat.g_03317
