Orthogroup	Prab	Prbm
OG0000140	Prab.g_00542	Prbm.g_00571
OG0000141	Prab.g_00611	Prbm.g_00638
OG0000142	Prab.g_00640	Prbm.g_00666
OG0000143	Prab.g_00644	Prbm.g_00670
OG0000144	Prab.g_00657	Prbm.g_00683
OG0000145	Prab.g_00783	Prbm.g_01094
OG0000146	Prab.g_00805	Prbm.g_00979
OG0000147	Prab.g_00806	Prbm.g_00978
OG0000148	Prab.g_00856	Prbm.g_00832
OG0000149	Prab.g_00886	Prbm.g_00862
OG0000150	Prab.g_00894	Prbm.g_00870
OG0000151	Prab.g_01058	Prbm.g_00940
OG0000152	Prab.g_01010	Prbm.g_00988
OG0000153	Prab.g_00991	Prbm.g_01006
OG0000154	Prab.g_00955	Prbm.g_01035
OG0000155	Prab.g_01239	Prbm.g_01527
OG0000156	Prab.g_01315	Prbm.g_01600
OG0000157	Prab.g_01316	Prbm.g_01601
OG0000158	Prab.g_01379	Prbm.g_02077
OG0000159	Prab.g_01392	Prbm.g_02133, Prbm.g_02115
OG0000160	Prab.g_01467	Prbm.g_01711
OG0000161	Prab.g_01473	Prbm.g_01717
OG0000162	Prab.g_01479	Prbm.g_01723
OG0000163	Prab.g_01513	Prbm.g_01759
OG0000164	Prab.g_01693	Prbm.g_01863
OG0000165	Prab.g_01700	Prbm.g_01871
OG0000166	Prab.g_01766	Prbm.g_01996
OG0000167	Prab.g_01832	Prbm.g_02067
OG0000168	Prab.g_01841	Prbm.g_02078
OG0000169	Prab.g_01851	Prbm.g_02088
OG0000170	Prab.g_01853	Prbm.g_02090
OG0000171	Prab.g_01872	Prbm.g_02110
OG0000172	Prab.g_01881	Prbm.g_02146
OG0000173	Prab.g_01896	Prbm.g_02161
OG0000174	Prab.g_01924	Prbm.g_02192
OG0000175	Prab.g_01934	Prbm.g_02209
OG0000176	Prab.g_00004	Prbm.g_00004
OG0000177	Prab.g_00005	Prbm.g_00005
OG0000178	Prab.g_00006	Prbm.g_00006
OG0000179	Prab.g_00016	Prbm.g_00016
OG0000180	Prab.g_00017	Prbm.g_00017
OG0000181	Prab.g_00018	Prbm.g_00018
OG0000182	Prab.g_00019	Prbm.g_00019
OG0000183	Prab.g_00023	Prbm.g_00023
OG0000184	Prab.g_00045	Prbm.g_00055
OG0000185	Prab.g_00048	Prbm.g_00058
OG0000186	Prab.g_00056	Prbm.g_00121
OG0000187	Prab.g_00057	Prbm.g_00122
OG0000188	Prab.g_00074	Prbm.g_00139
OG0000189	Prab.g_00087	Prbm.g_00153
OG0000190	Prab.g_00088	Prbm.g_00154
OG0000191	Prab.g_00108	Prbm.g_00177
OG0000192	Prab.g_00112	Prbm.g_00181
OG0000193	Prab.g_00137	Prbm.g_00205
OG0000194	Prab.g_00140	Prbm.g_00208
OG0000195	Prab.g_00142	Prbm.g_00210
OG0000196	Prab.g_00152	Prbm.g_00220
OG0000197	Prab.g_00153	Prbm.g_00221
OG0000198	Prab.g_00154	Prbm.g_00222
OG0000199	Prab.g_00161	Prbm.g_00229
OG0000200	Prab.g_00175	Prbm.g_00243
OG0000201	Prab.g_00183	Prbm.g_00252
OG0000202	Prab.g_00184	Prbm.g_00253
OG0000203	Prab.g_00185	Prbm.g_00254
OG0000204	Prab.g_00186	Prbm.g_00255
OG0000205	Prab.g_00193	Prbm.g_00262
OG0000206	Prab.g_00198	Prbm.g_00266
OG0000207	Prab.g_00200	Prbm.g_00268
OG0000208	Prab.g_00201	Prbm.g_00269
OG0000209	Prab.g_00210	Prbm.g_00278
OG0000210	Prab.g_00211	Prbm.g_00279
OG0000211	Prab.g_00224	Prbm.g_00293
OG0000212	Prab.g_00230	Prbm.g_00301
OG0000213	Prab.g_00247	Prbm.g_00317
OG0000214	Prab.g_00256	Prbm.g_00325
OG0000215	Prab.g_00280	Prbm.g_00349
OG0000216	Prab.g_00282	Prbm.g_00350
OG0000217	Prab.g_00285	Prbm.g_00353
OG0000218	Prab.g_00287	Prbm.g_00355
OG0000219	Prab.g_00288	Prbm.g_00356
OG0000220	Prab.g_00289	Prbm.g_00357
OG0000221	Prab.g_00290	Prbm.g_00358
OG0000222	Prab.g_00298	Prbm.g_00366
OG0000223	Prab.g_00311	Prbm.g_00378
OG0000224	Prab.g_00313	Prbm.g_00380
OG0000225	Prab.g_00333	Prbm.g_00411
OG0000226	Prab.g_00337	Prbm.g_00415
OG0000227	Prab.g_00339	Prbm.g_00417
OG0000228	Prab.g_00342	Prbm.g_00422
OG0000229	Prab.g_00439	Prbm.g_00446
OG0000230	Prab.g_00441	Prbm.g_00448
OG0000231	Prab.g_00455	Prbm.g_00459
OG0000232	Prab.g_00463	Prbm.g_00484
OG0000233	Prab.g_00468	Prbm.g_00492
OG0000234	Prab.g_00480	Prbm.g_00501
OG0000235	Prab.g_00483	Prbm.g_00505
OG0000236	Prab.g_00497	Prbm.g_00518
OG0000237	Prab.g_00510	Prbm.g_00540
OG0000238	Prab.g_00516	Prbm.g_00546
OG0000239	Prab.g_00529	Prbm.g_00558
OG0000240	Prab.g_00530	Prbm.g_00559
OG0000241	Prab.g_00534	Prbm.g_00563
OG0000242	Prab.g_00536	Prbm.g_00565
OG0000243	Prab.g_00547	Prbm.g_00576
OG0000244	Prab.g_00550	Prbm.g_00579
OG0000245	Prab.g_00552	Prbm.g_00581
OG0000246	Prab.g_00556	Prbm.g_00585
OG0000247	Prab.g_00566	Prbm.g_00595
OG0000248	Prab.g_00569	Prbm.g_00597
OG0000249	Prab.g_00571	Prbm.g_00599
OG0000250	Prab.g_00576	Prbm.g_00604
OG0000251	Prab.g_00595	Prbm.g_00620
OG0000252	Prab.g_00598	Prbm.g_00623
OG0000253	Prab.g_00599	Prbm.g_00625
OG0000254	Prab.g_00615	Prbm.g_00642
OG0000255	Prab.g_00621	Prbm.g_00648
OG0000256	Prab.g_00632	Prbm.g_00658
OG0000257	Prab.g_00635	Prbm.g_00661
OG0000258	Prab.g_00648	Prbm.g_00674
OG0000259	Prab.g_00665	Prbm.g_00691
OG0000260	Prab.g_00668	Prbm.g_00694
OG0000261	Prab.g_00670	Prbm.g_00697
OG0000262	Prab.g_00674	Prbm.g_00702
OG0000263	Prab.g_00686	Prbm.g_00716
OG0000264	Prab.g_00696	Prbm.g_00728
OG0000265	Prab.g_00723	Prbm.g_00742
OG0000266	Prab.g_00733	Prbm.g_00752
OG0000267	Prab.g_00744	Prbm.g_00765
OG0000268	Prab.g_00745	Prbm.g_00766
OG0000269	Prab.g_00835	Prbm.g_00809
OG0000270	Prab.g_00838	Prbm.g_00812
OG0000271	Prab.g_00846	Prbm.g_00820
OG0000272	Prab.g_00847	Prbm.g_00821
OG0000273	Prab.g_00870	Prbm.g_00845
OG0000274	Prab.g_00871	Prbm.g_00846
OG0000275	Prab.g_00873	Prbm.g_00848
OG0000276	Prab.g_00878	Prbm.g_00854
OG0000277	Prab.g_00879	Prbm.g_00855
OG0000278	Prab.g_00882	Prbm.g_00858
OG0000279	Prab.g_00889	Prbm.g_00865
OG0000281	Prab.g_00896	Prbm.g_00871
OG0000282	Prab.g_01066	Prbm.g_00931
OG0000283	Prab.g_01033	Prbm.g_00962
OG0000284	Prab.g_01028	Prbm.g_00967
OG0000285	Prab.g_01023	Prbm.g_00972
OG0000286	Prab.g_01011	Prbm.g_00987
OG0000287	Prab.g_00994	Prbm.g_00102
OG0000288	Prab.g_00956	Prbm.g_01034
OG0000289	Prab.g_00945	Prbm.g_01045
OG0000290	Prab.g_00932	Prbm.g_01061
OG0000291	Prab.g_00930	Prbm.g_01063
OG0000292	Prab.g_01144	Prbm.g_01210
OG0000293	Prab.g_01210	Prbm.g_01559
OG0000294	Prab.g_01211	Prbm.g_01558
OG0000295	Prab.g_01231	Prbm.g_01534
OG0000296	Prab.g_01233	Prbm.g_01532
OG0000297	Prab.g_01241	Prbm.g_01524
OG0000298	Prab.g_01242	Prbm.g_01523
OG0000299	Prab.g_01259	Prbm.g_01503
OG0000300	Prab.g_01262	Prbm.g_01500
OG0000301	Prab.g_01263	Prbm.g_01499
OG0000302	Prab.g_01265	Prbm.g_01497
OG0000303	Prab.g_01272	Prbm.g_01492
OG0000304	Prab.g_01276	Prbm.g_01489
OG0000305	Prab.g_01353	Prbm.g_01812
OG0000306	Prab.g_01355	Prbm.g_00875
OG0000307	Prab.g_01369	Prbm.g_01669
OG0000308	Prab.g_01370	Prbm.g_01670
OG0000309	Prab.g_01374	Prbm.g_01674
OG0000310	Prab.g_01451	Prbm.g_01694
OG0000311	Prab.g_01453	Prbm.g_01696
OG0000312	Prab.g_01456	Prbm.g_01699
OG0000313	Prab.g_01470	Prbm.g_01714
OG0000314	Prab.g_01493	Prbm.g_01735
OG0000315	Prab.g_01503	Prbm.g_01745
OG0000316	Prab.g_01523	Prbm.g_01770
OG0000317	Prab.g_01667	Prbm.g_01839
OG0000318	Prab.g_01670	Prbm.g_01842
OG0000319	Prab.g_01683	Prbm.g_01853
OG0000320	Prab.g_01685	Prbm.g_01855
OG0000321	Prab.g_01686	Prbm.g_01856
OG0000322	Prab.g_01687	Prbm.g_01857
OG0000323	Prab.g_01696	Prbm.g_01866
OG0000324	Prab.g_01722	Prbm.g_01893
OG0000325	Prab.g_01732	Prbm.g_01950
OG0000326	Prab.g_01738	Prbm.g_01956
OG0000327	Prab.g_01761	Prbm.g_01991
OG0000328	Prab.g_01762	Prbm.g_01992
OG0000329	Prab.g_01779	Prbm.g_02009
OG0000330	Prab.g_01780	Prbm.g_02010
OG0000331	Prab.g_01781	Prbm.g_02011
OG0000332	Prab.g_01795	Prbm.g_02025
OG0000333	Prab.g_01797	Prbm.g_02027
OG0000334	Prab.g_01805	Prbm.g_02036
OG0000335	Prab.g_01810	Prbm.g_02041
OG0000336	Prab.g_01814	Prbm.g_02045
OG0000337	Prab.g_01830	Prbm.g_02064
OG0000338	Prab.g_01831	Prbm.g_02065
OG0000339	Prab.g_01835	Prbm.g_02070
OG0000340	Prab.g_01842	Prbm.g_02079
OG0000341	Prab.g_01844	Prbm.g_02081
OG0000342	Prab.g_01845	Prbm.g_02082
OG0000343	Prab.g_01846	Prbm.g_02083
OG0000344	Prab.g_01849	Prbm.g_02086
OG0000345	Prab.g_01854	Prbm.g_02091
OG0000346	Prab.g_01858	Prbm.g_02095
OG0000347	Prab.g_01874	Prbm.g_02114
OG0000348	Prab.g_01884	Prbm.g_02149
OG0000349	Prab.g_01901	Prbm.g_02167
OG0000350	Prab.g_01920	Prbm.g_02188
OG0000351	Prab.g_01937	Prbm.g_02212
OG0000352	Prab.g_01938	Prbm.g_02213
OG0000353	Prab.g_01954	Prbm.g_02232
OG0000355	Prab.g_00001	Prbm.g_00001
OG0000356	Prab.g_00002	Prbm.g_00002
OG0000357	Prab.g_00003	Prbm.g_00003
OG0000358	Prab.g_00007	Prbm.g_00007
OG0000359	Prab.g_00008	Prbm.g_00008
OG0000360	Prab.g_00009	Prbm.g_00009
OG0000361	Prab.g_00010	Prbm.g_00010
OG0000362	Prab.g_00012	Prbm.g_00012
OG0000363	Prab.g_00014	Prbm.g_00014
OG0000364	Prab.g_00015	Prbm.g_00015
OG0000365	Prab.g_00020	Prbm.g_00020
OG0000366	Prab.g_00021	Prbm.g_00021
OG0000367	Prab.g_00022	Prbm.g_00022
OG0000368	Prab.g_00024	Prbm.g_00024
OG0000369	Prab.g_00025	Prbm.g_00025
OG0000370	Prab.g_00026	Prbm.g_00026
OG0000371	Prab.g_00032	Prbm.g_00032
OG0000372	Prab.g_00035	Prbm.g_00033
OG0000373	Prab.g_00036	Prbm.g_00034
OG0000374	Prab.g_00037	Prbm.g_00035
OG0000375	Prab.g_00039	Prbm.g_00049
OG0000376	Prab.g_00041	Prbm.g_00051
OG0000377	Prab.g_00044	Prbm.g_00054
OG0000378	Prab.g_00046	Prbm.g_00056
OG0000379	Prab.g_00049	Prbm.g_00059
OG0000380	Prab.g_00058	Prbm.g_00123
OG0000381	Prab.g_00062	Prbm.g_00127
OG0000382	Prab.g_00073	Prbm.g_00138
OG0000383	Prab.g_00075	Prbm.g_00140
OG0000384	Prab.g_00076	Prbm.g_00141
OG0000385	Prab.g_00077	Prbm.g_00142
OG0000386	Prab.g_00078	Prbm.g_00143
OG0000387	Prab.g_00090	Prbm.g_00156
OG0000388	Prab.g_00093	Prbm.g_00160
OG0000389	Prab.g_00097	Prbm.g_00163
OG0000390	Prab.g_00104	Prbm.g_00172
OG0000391	Prab.g_00107	Prbm.g_00176
OG0000392	Prab.g_00111	Prbm.g_00179
OG0000393	Prab.g_00113	Prbm.g_00182
OG0000394	Prab.g_00114	Prbm.g_00183
OG0000395	Prab.g_00115	Prbm.g_00184
OG0000396	Prab.g_00117	Prbm.g_00187
OG0000397	Prab.g_00119	Prbm.g_00189
OG0000398	Prab.g_00121	Prbm.g_00192
OG0000399	Prab.g_00122	Prbm.g_00193
OG0000400	Prab.g_00123	Prbm.g_00194
OG0000401	Prab.g_00124	Prbm.g_00195
OG0000402	Prab.g_00126	Prbm.g_01096
OG0000403	Prab.g_00127	Prbm.g_00196
OG0000404	Prab.g_00128	Prbm.g_00197
OG0000405	Prab.g_00132	Prbm.g_00202
OG0000406	Prab.g_00138	Prbm.g_00206
OG0000407	Prab.g_00139	Prbm.g_00207
OG0000408	Prab.g_00141	Prbm.g_00209
OG0000409	Prab.g_00143	Prbm.g_00211
OG0000410	Prab.g_00144	Prbm.g_00212
OG0000411	Prab.g_00145	Prbm.g_00213
OG0000412	Prab.g_00146	Prbm.g_00214
OG0000413	Prab.g_00147	Prbm.g_00215
OG0000414	Prab.g_00148	Prbm.g_00216
OG0000415	Prab.g_00149	Prbm.g_00217
OG0000416	Prab.g_00150	Prbm.g_00218
OG0000417	Prab.g_00151	Prbm.g_00219
OG0000418	Prab.g_00156	Prbm.g_00224
OG0000419	Prab.g_00158	Prbm.g_00226
OG0000420	Prab.g_00159	Prbm.g_00227
OG0000421	Prab.g_00164	Prbm.g_00232
OG0000422	Prab.g_00165	Prbm.g_00233
OG0000423	Prab.g_00166	Prbm.g_00234
OG0000424	Prab.g_00167	Prbm.g_00235
OG0000425	Prab.g_00168	Prbm.g_00236
OG0000426	Prab.g_00169	Prbm.g_00237
OG0000427	Prab.g_00170	Prbm.g_00238
OG0000428	Prab.g_00172	Prbm.g_00240
OG0000429	Prab.g_00173	Prbm.g_00241
OG0000430	Prab.g_00174	Prbm.g_00242
OG0000431	Prab.g_00176	Prbm.g_00244
OG0000432	Prab.g_00179	Prbm.g_00248
OG0000433	Prab.g_00180	Prbm.g_00249
OG0000434	Prab.g_00181	Prbm.g_00250
OG0000435	Prab.g_00182	Prbm.g_00251
OG0000436	Prab.g_00187	Prbm.g_00256
OG0000437	Prab.g_00188	Prbm.g_00257
OG0000438	Prab.g_00189	Prbm.g_00258
OG0000439	Prab.g_00191	Prbm.g_00260
OG0000440	Prab.g_00192	Prbm.g_00261
OG0000441	Prab.g_00195	Prbm.g_00263
OG0000442	Prab.g_00196	Prbm.g_00264
OG0000443	Prab.g_00197	Prbm.g_00265
OG0000444	Prab.g_00202	Prbm.g_00270
OG0000445	Prab.g_00203	Prbm.g_00271
OG0000446	Prab.g_00204	Prbm.g_00272
OG0000447	Prab.g_00205	Prbm.g_00273
OG0000448	Prab.g_00206	Prbm.g_00274
OG0000449	Prab.g_00207	Prbm.g_00275
OG0000450	Prab.g_00208	Prbm.g_00276
OG0000451	Prab.g_00209	Prbm.g_00277
OG0000452	Prab.g_00212	Prbm.g_00280
OG0000453	Prab.g_00213	Prbm.g_00281
OG0000454	Prab.g_00214	Prbm.g_00282
OG0000455	Prab.g_00215	Prbm.g_00283
OG0000456	Prab.g_00216	Prbm.g_00284
OG0000457	Prab.g_00217	Prbm.g_00285
OG0000458	Prab.g_00218	Prbm.g_00286
OG0000459	Prab.g_00219	Prbm.g_00287
OG0000460	Prab.g_00226	Prbm.g_00295
OG0000461	Prab.g_00232	Prbm.g_00303
OG0000462	Prab.g_00234	Prbm.g_00305
OG0000463	Prab.g_00235	Prbm.g_00306
OG0000464	Prab.g_00236	Prbm.g_00307
OG0000465	Prab.g_00237	Prbm.g_00308
OG0000466	Prab.g_00240	Prbm.g_00309
OG0000467	Prab.g_00241	Prbm.g_00310
OG0000468	Prab.g_00243	Prbm.g_00312
OG0000469	Prab.g_00251	Prbm.g_00320
OG0000470	Prab.g_00253	Prbm.g_00322
OG0000471	Prab.g_00254	Prbm.g_00323
OG0000472	Prab.g_00255	Prbm.g_00324
OG0000473	Prab.g_00257	Prbm.g_00326
OG0000474	Prab.g_00258	Prbm.g_00327
OG0000475	Prab.g_00259	Prbm.g_00328
OG0000476	Prab.g_00260	Prbm.g_00330
OG0000477	Prab.g_00263	Prbm.g_00332
OG0000478	Prab.g_00264	Prbm.g_00333
OG0000479	Prab.g_00265	Prbm.g_00334
OG0000480	Prab.g_00270	Prbm.g_00339
OG0000481	Prab.g_00272	Prbm.g_00341
OG0000482	Prab.g_00273	Prbm.g_00342
OG0000483	Prab.g_00276	Prbm.g_00345
OG0000484	Prab.g_00277	Prbm.g_00346
OG0000485	Prab.g_00278	Prbm.g_00347
OG0000486	Prab.g_00279	Prbm.g_00348
OG0000487	Prab.g_00283	Prbm.g_00351
OG0000488	Prab.g_00286	Prbm.g_00354
OG0000489	Prab.g_00291	Prbm.g_00359
OG0000490	Prab.g_00296	Prbm.g_00364
OG0000491	Prab.g_00297	Prbm.g_00365
OG0000492	Prab.g_00299	Prbm.g_00367
OG0000493	Prab.g_00300	Prbm.g_00368
OG0000494	Prab.g_00301	Prbm.g_00369
OG0000495	Prab.g_00302	Prbm.g_00370
OG0000496	Prab.g_00303	Prbm.g_00371
OG0000497	Prab.g_00304	Prbm.g_00372
OG0000498	Prab.g_00305	Prbm.g_00373
OG0000499	Prab.g_00306	Prbm.g_00374
OG0000500	Prab.g_00307	Prbm.g_00375
OG0000501	Prab.g_00309	Prbm.g_00376
OG0000502	Prab.g_00312	Prbm.g_00379
OG0000503	Prab.g_00322	Prbm.g_00400
OG0000504	Prab.g_00323	Prbm.g_00402
OG0000505	Prab.g_00324	Prbm.g_00403
OG0000506	Prab.g_00325	Prbm.g_00404
OG0000507	Prab.g_00328	Prbm.g_00407
OG0000508	Prab.g_00332	Prbm.g_00410
OG0000509	Prab.g_00334	Prbm.g_00412
OG0000510	Prab.g_00335	Prbm.g_00413
OG0000511	Prab.g_00336	Prbm.g_00414
OG0000512	Prab.g_00338	Prbm.g_00416
OG0000513	Prab.g_00345	Prbm.g_00426
OG0000514	Prab.g_00434	Prbm.g_00440
OG0000515	Prab.g_00435	Prbm.g_00441
OG0000516	Prab.g_00436	Prbm.g_00442
OG0000517	Prab.g_00438	Prbm.g_00445
OG0000518	Prab.g_00449	Prbm.g_00456
OG0000519	Prab.g_00450	Prbm.g_00457
OG0000520	Prab.g_00454	Prbm.g_00458
OG0000521	Prab.g_00459	Prbm.g_00480
OG0000522	Prab.g_00460	Prbm.g_00482
OG0000523	Prab.g_00461	Prbm.g_00483
OG0000524	Prab.g_00466	Prbm.g_00490
OG0000525	Prab.g_00469	Prbm.g_00494
OG0000526	Prab.g_00470	Prbm.g_00495
OG0000527	Prab.g_00477	Prbm.g_00498
OG0000528	Prab.g_00482	Prbm.g_00504
OG0000529	Prab.g_00485	Prbm.g_00507
OG0000530	Prab.g_00488	Prbm.g_00510
OG0000531	Prab.g_00489	Prbm.g_00511
OG0000532	Prab.g_00491	Prbm.g_00512
OG0000533	Prab.g_00492	Prbm.g_00513
OG0000534	Prab.g_00493	Prbm.g_00514
OG0000535	Prab.g_00494	Prbm.g_00515
OG0000536	Prab.g_00495	Prbm.g_00516
OG0000537	Prab.g_00496	Prbm.g_00517
OG0000538	Prab.g_00504	Prbm.g_00534
OG0000539	Prab.g_00505	Prbm.g_00535
OG0000540	Prab.g_00506	Prbm.g_00536
OG0000541	Prab.g_00507	Prbm.g_00537
OG0000542	Prab.g_00509	Prbm.g_00539
