Orthogroup	Prab	Syar
OG0000071	Prab.g_01637, Prab.g_01326	Syar.g_02777
OG0000072	Prab.g_00162	Syar.g_00107, Syar.g_01140
OG0000073	Prab.g_00503	Syar.g_01493, Syar.g_01364
OG0000075	Prab.g_01834	Syar.g_03065, Syar.g_00659
OG0000076	Prab.g_01857	Syar.g_00608
OG0000078	Prab.g_00229	Syar.g_01366
OG0000079	Prab.g_00242	Syar.g_00166
OG0000081	Prab.g_00535	Syar.g_01898
OG0000082	Prab.g_00589	Syar.g_02202
OG0000085	Prab.g_01662	Syar.g_02919
OG0000086	Prab.g_00080	Syar.g_03085
OG0000087	Prab.g_00129	Syar.g_03192, Syar.g_00068
OG0000088	Prab.g_00157	Syar.g_00101
OG0000089	Prab.g_00343	Syar.g_01162
OG0000090	Prab.g_00537	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prab.g_00647	Syar.g_01891, Syar.g_02426
OG0000092	Prab.g_01063	Syar.g_01960
OG0000093	Prab.g_01042	Syar.g_00819
OG0000094	Prab.g_00948	Syar.g_01789
OG0000095	Prab.g_01299, Prab.g_00929	Syar.g_01932
OG0000097	Prab.g_01260	Syar.g_01706, Syar.g_00364
OG0000098	Prab.g_01346	Syar.g_02343
OG0000099	Prab.g_01394	Syar.g_00715
OG0000100	Prab.g_01540	Syar.g_02477
OG0000101	Prab.g_01802	Syar.g_01073, Syar.g_03154
OG0000102	Prab.g_01862	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prab.g_01942	Syar.g_00452, Syar.g_00014
OG0000104	Prab.g_01951	Syar.g_00466
OG0000105	Prab.g_00262	Syar.g_00218
OG0000106	Prab.g_00359	Syar.g_01748
OG0000107	Prab.g_00375	Syar.g_00149
OG0000108	Prab.g_00484	Syar.g_01469
OG0000109	Prab.g_00498	Syar.g_03310, Syar.g_01485
OG0000110	Prab.g_00579	Syar.g_02295
OG0000111	Prab.g_00704	Syar.g_01940
OG0000112	Prab.g_00804	Syar.g_02548, Syar.g_03195
OG0000113	Prab.g_00862	Syar.g_02664
OG0000114	Prab.g_01068	Syar.g_01616
OG0000115	Prab.g_01156	Syar.g_02854, Syar.g_01415
OG0000116	Prab.g_01209	Syar.g_01525, Syar.g_02255
OG0000117	Prab.g_00717	Syar.g_01969
OG0000118	Prab.g_01338	Syar.g_02793
OG0000120	Prab.g_01447	Syar.g_00713
OG0000121	Prab.g_01468	Syar.g_02806
OG0000123	Prab.g_01809	Syar.g_01079
OG0000124	Prab.g_01873	Syar.g_00586
OG0000125	Prab.g_01910	Syar.g_00338
OG0000126	Prab.g_01950	Syar.g_00887, Syar.g_00888
OG0000128	Prab.g_00011	Syar.g_00482
OG0000129	Prab.g_00043	Syar.g_00324
OG0000130	Prab.g_00061	Syar.g_03040
OG0000131	Prab.g_00136	Syar.g_00078
OG0000132	Prab.g_00155	Syar.g_00099
OG0000133	Prab.g_00310	Syar.g_02543
OG0000134	Prab.g_00344	Syar.g_02009, Syar.g_01165
OG0000135	Prab.g_00371	Syar.g_00698
OG0000136	Prab.g_00444	Syar.g_02874
OG0000137	Prab.g_00479	Syar.g_01273
OG0000138	Prab.g_00499	Syar.g_01486
OG0000139	Prab.g_00541	Syar.g_03245
OG0000140	Prab.g_00542	Syar.g_02344, Syar.g_03246
OG0000141	Prab.g_00611	Syar.g_02129
OG0000142	Prab.g_00640	Syar.g_02418
OG0000143	Prab.g_00644	Syar.g_02422
OG0000144	Prab.g_00657	Syar.g_02441
OG0000145	Prab.g_00783	Syar.g_01494
OG0000146	Prab.g_00805	Syar.g_02549
OG0000147	Prab.g_00806	Syar.g_02550
OG0000148	Prab.g_00856	Syar.g_02658
OG0000149	Prab.g_00886	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prab.g_00894	Syar.g_02130
OG0000151	Prab.g_01058	Syar.g_02038
OG0000152	Prab.g_01010	Syar.g_02539
OG0000153	Prab.g_00991	Syar.g_03283, Syar.g_02503
OG0000154	Prab.g_00955	Syar.g_01800
OG0000155	Prab.g_01239	Syar.g_01959
OG0000156	Prab.g_01315	Syar.g_01517
OG0000157	Prab.g_01316	Syar.g_01516
OG0000158	Prab.g_01379	Syar.g_00650
OG0000159	Prab.g_01392	Syar.g_02359
OG0000160	Prab.g_01467	Syar.g_02807
OG0000161	Prab.g_01473	Syar.g_02801
OG0000162	Prab.g_01479	Syar.g_02863
OG0000163	Prab.g_01513	Syar.g_01186
OG0000164	Prab.g_01693	Syar.g_03168, Syar.g_02969
OG0000165	Prab.g_01700	Syar.g_02976
OG0000166	Prab.g_01766	Syar.g_01034
OG0000167	Prab.g_01832	Syar.g_00662
OG0000168	Prab.g_01841	Syar.g_00246
OG0000169	Prab.g_01851	Syar.g_00262
OG0000170	Prab.g_01853	Syar.g_00613
OG0000171	Prab.g_01872	Syar.g_00587
OG0000172	Prab.g_01881	Syar.g_00547
OG0000173	Prab.g_01896	Syar.g_00528
OG0000174	Prab.g_01924	Syar.g_00701
OG0000175	Prab.g_01934	Syar.g_00438
OG0000176	Prab.g_00004	Syar.g_00474
OG0000177	Prab.g_00005	Syar.g_00475
OG0000178	Prab.g_00006	Syar.g_00476
OG0000179	Prab.g_00016	Syar.g_00489
OG0000180	Prab.g_00017	Syar.g_00490
OG0000181	Prab.g_00018	Syar.g_00491
OG0000182	Prab.g_00019	Syar.g_00492
OG0000183	Prab.g_00023	Syar.g_00496
OG0000184	Prab.g_00045	Syar.g_00897
OG0000185	Prab.g_00048	Syar.g_00909
OG0000186	Prab.g_00056	Syar.g_03036
OG0000187	Prab.g_00057	Syar.g_03038
OG0000188	Prab.g_00074	Syar.g_03058
OG0000189	Prab.g_00087	Syar.g_03104
OG0000190	Prab.g_00088	Syar.g_03107, Syar.g_02374
OG0000191	Prab.g_00108	Syar.g_00039
OG0000192	Prab.g_00112	Syar.g_00046
OG0000193	Prab.g_00137	Syar.g_00079
OG0000194	Prab.g_00140	Syar.g_00082, Syar.g_03236
OG0000195	Prab.g_00142	Syar.g_00023, Syar.g_00084
OG0000196	Prab.g_00152	Syar.g_00096
OG0000197	Prab.g_00153	Syar.g_00097
OG0000198	Prab.g_00154	Syar.g_00098
OG0000199	Prab.g_00161	Syar.g_00106
OG0000200	Prab.g_00175	Syar.g_00124
OG0000201	Prab.g_00183	Syar.g_01000
OG0000202	Prab.g_00184	Syar.g_00021, Syar.g_00998
OG0000203	Prab.g_00185	Syar.g_00997, Syar.g_00020
OG0000204	Prab.g_00186	Syar.g_00996
OG0000205	Prab.g_00193	Syar.g_00988
OG0000206	Prab.g_00198	Syar.g_00963
OG0000207	Prab.g_00200	Syar.g_00957
OG0000208	Prab.g_00201	Syar.g_00956
OG0000209	Prab.g_00210	Syar.g_00936, Syar.g_03261
OG0000210	Prab.g_00211	Syar.g_03260, Syar.g_00935
OG0000211	Prab.g_00224	Syar.g_03026
OG0000212	Prab.g_00230	Syar.g_03017
OG0000213	Prab.g_00247	Syar.g_00187
OG0000214	Prab.g_00256	Syar.g_00209
OG0000215	Prab.g_00280	Syar.g_00239
OG0000216	Prab.g_00282	Syar.g_00244
OG0000217	Prab.g_00285	Syar.g_00854
OG0000218	Prab.g_00287	Syar.g_00852
OG0000219	Prab.g_00288	Syar.g_00851
OG0000220	Prab.g_00289	Syar.g_00850, Syar.g_02026
OG0000221	Prab.g_00290	Syar.g_00834
OG0000222	Prab.g_00298	Syar.g_02119, Syar.g_00728
OG0000223	Prab.g_00311	Syar.g_00649
OG0000224	Prab.g_00313	Syar.g_00273
OG0000225	Prab.g_00333	Syar.g_01142
OG0000226	Prab.g_00337	Syar.g_01146
OG0000227	Prab.g_00339	Syar.g_01148
OG0000228	Prab.g_00342	Syar.g_01161
OG0000229	Prab.g_00439	Syar.g_01177, Syar.g_03273
OG0000230	Prab.g_00441	Syar.g_01179
OG0000231	Prab.g_00455	Syar.g_02865, Syar.g_03151
OG0000232	Prab.g_00463	Syar.g_01424
OG0000233	Prab.g_00468	Syar.g_03183, Syar.g_01247
OG0000234	Prab.g_00480	Syar.g_01275
OG0000235	Prab.g_00483	Syar.g_01468
OG0000236	Prab.g_00497	Syar.g_01484, Syar.g_03311
OG0000237	Prab.g_00510	Syar.g_01503
OG0000238	Prab.g_00516	Syar.g_01508
OG0000239	Prab.g_00529	Syar.g_03277, Syar.g_02687
OG0000240	Prab.g_00530	Syar.g_02686, Syar.g_03278
OG0000241	Prab.g_00534	Syar.g_02410
OG0000242	Prab.g_00536	Syar.g_01926
OG0000243	Prab.g_00547	Syar.g_02335
OG0000244	Prab.g_00550	Syar.g_02327
OG0000245	Prab.g_00552	Syar.g_02325, Syar.g_03238
OG0000246	Prab.g_00556	Syar.g_02321
OG0000247	Prab.g_00566	Syar.g_02310
OG0000248	Prab.g_00569	Syar.g_02307, Syar.g_03293
OG0000249	Prab.g_00571	Syar.g_02305
OG0000250	Prab.g_00576	Syar.g_02299
OG0000251	Prab.g_00595	Syar.g_03207, Syar.g_02194
OG0000252	Prab.g_00598	Syar.g_02189, Syar.g_03263
OG0000253	Prab.g_00599	Syar.g_02028
OG0000254	Prab.g_00615	Syar.g_02169
OG0000255	Prab.g_00621	Syar.g_02224, Syar.g_00011
OG0000256	Prab.g_00632	Syar.g_02244
OG0000257	Prab.g_00635	Syar.g_02407, Syar.g_01762
OG0000258	Prab.g_00648	Syar.g_00010, Syar.g_02427
OG0000259	Prab.g_00665	Syar.g_02472
OG0000260	Prab.g_00668	Syar.g_03220, Syar.g_02475
OG0000261	Prab.g_00670	Syar.g_01916
OG0000262	Prab.g_00674	Syar.g_01690
OG0000263	Prab.g_00686	Syar.g_01991
OG0000264	Prab.g_00696	Syar.g_02135, Syar.g_03267
OG0000266	Prab.g_00733	Syar.g_01570
OG0000267	Prab.g_00744	Syar.g_01873
OG0000268	Prab.g_00745	Syar.g_02589
OG0000269	Prab.g_00835	Syar.g_02634
OG0000270	Prab.g_00838	Syar.g_00744, Syar.g_02637
OG0000271	Prab.g_00846	Syar.g_02645
OG0000272	Prab.g_00847	Syar.g_02646
OG0000273	Prab.g_00870	Syar.g_00008
OG0000274	Prab.g_00871	Syar.g_02482, Syar.g_00009
OG0000275	Prab.g_00873	Syar.g_01810
OG0000276	Prab.g_00878	Syar.g_01817
OG0000277	Prab.g_00879	Syar.g_03242, Syar.g_01818
OG0000278	Prab.g_00882	Syar.g_01821, Syar.g_03174
OG0000279	Prab.g_00889	Syar.g_01838
OG0000280	Prab.g_00890	Syar.g_02067, Syar.g_00734
OG0000281	Prab.g_00896	Syar.g_02218
OG0000282	Prab.g_01066	Syar.g_03255, Syar.g_01614
OG0000283	Prab.g_01033	Syar.g_02574
OG0000284	Prab.g_01028	Syar.g_02568
OG0000285	Prab.g_01023	Syar.g_02560
OG0000286	Prab.g_01011	Syar.g_02540
OG0000287	Prab.g_00994	Syar.g_02512
OG0000288	Prab.g_00956	Syar.g_01801
OG0000289	Prab.g_00945	Syar.g_01786
OG0000290	Prab.g_00932	Syar.g_01928
OG0000291	Prab.g_00930	Syar.g_01930
OG0000292	Prab.g_01144	Syar.g_00463
OG0000293	Prab.g_01210	Syar.g_01526, Syar.g_03297
OG0000294	Prab.g_01211	Syar.g_01527, Syar.g_03296
OG0000295	Prab.g_01231	Syar.g_01951, Syar.g_03208
OG0000296	Prab.g_01233	Syar.g_01953
OG0000297	Prab.g_01241	Syar.g_03216
OG0000298	Prab.g_01242	Syar.g_03215
OG0000299	Prab.g_01259	Syar.g_01704
OG0000300	Prab.g_01262	Syar.g_01646
OG0000301	Prab.g_01263	Syar.g_01712
OG0000302	Prab.g_01265	Syar.g_01713
OG0000303	Prab.g_01272	Syar.g_01723
OG0000304	Prab.g_01276	Syar.g_01728
OG0000305	Prab.g_01353	Syar.g_01933, Syar.g_03163
OG0000306	Prab.g_01355	Syar.g_01884, Syar.g_03140
OG0000307	Prab.g_01369	Syar.g_01452, Syar.g_03153
OG0000308	Prab.g_01370	Syar.g_01450
OG0000309	Prab.g_01374	Syar.g_01239
OG0000310	Prab.g_01451	Syar.g_02826
OG0000311	Prab.g_01453	Syar.g_02823
OG0000312	Prab.g_01456	Syar.g_00015, Syar.g_02818
OG0000313	Prab.g_01470	Syar.g_02804
OG0000314	Prab.g_01493	Syar.g_01403
OG0000315	Prab.g_01503	Syar.g_01393
OG0000316	Prab.g_01523	Syar.g_02885
OG0000317	Prab.g_01667	Syar.g_02926
OG0000318	Prab.g_01670	Syar.g_02930
OG0000319	Prab.g_01683	Syar.g_02954
OG0000320	Prab.g_01685	Syar.g_02956
OG0000321	Prab.g_01686	Syar.g_02957
OG0000322	Prab.g_01687	Syar.g_02958
OG0000323	Prab.g_01696	Syar.g_02973
OG0000324	Prab.g_01722	Syar.g_00350, Syar.g_03001
OG0000325	Prab.g_01732	Syar.g_03291, Syar.g_00148
OG0000326	Prab.g_01738	Syar.g_00139, Syar.g_03134
OG0000327	Prab.g_01761	Syar.g_01029
OG0000328	Prab.g_01762	Syar.g_01030
OG0000329	Prab.g_01779	Syar.g_03189, Syar.g_01048
OG0000330	Prab.g_01780	Syar.g_01049
OG0000331	Prab.g_01781	Syar.g_03191, Syar.g_01050
OG0000332	Prab.g_01795	Syar.g_01064, Syar.g_03299
OG0000333	Prab.g_01797	Syar.g_01067
OG0000334	Prab.g_01805	Syar.g_01076
OG0000335	Prab.g_01810	Syar.g_01080
OG0000336	Prab.g_01814	Syar.g_01084
OG0000337	Prab.g_01830	Syar.g_00285
OG0000338	Prab.g_01831	Syar.g_03225, Syar.g_00287
OG0000339	Prab.g_01835	Syar.g_00658
OG0000340	Prab.g_01842	Syar.g_00247
OG0000341	Prab.g_01844	Syar.g_00249
OG0000342	Prab.g_01845	Syar.g_00250
OG0000343	Prab.g_01846	Syar.g_00256
OG0000344	Prab.g_01849	Syar.g_00260
OG0000345	Prab.g_01854	Syar.g_00612
OG0000346	Prab.g_01858	Syar.g_00607
OG0000347	Prab.g_01874	Syar.g_00558
OG0000348	Prab.g_01884	Syar.g_00544
OG0000349	Prab.g_01901	Syar.g_00521
OG0000350	Prab.g_01920	Syar.g_00132
OG0000351	Prab.g_01937	Syar.g_00442
OG0000352	Prab.g_01938	Syar.g_00443
OG0000353	Prab.g_01954	Syar.g_00469
OG0000355	Prab.g_00001	Syar.g_00471
OG0000356	Prab.g_00002	Syar.g_00472
OG0000357	Prab.g_00003	Syar.g_00473
OG0000358	Prab.g_00007	Syar.g_00477
OG0000359	Prab.g_00008	Syar.g_00479
OG0000360	Prab.g_00009	Syar.g_00480
OG0000361	Prab.g_00010	Syar.g_00481
OG0000362	Prab.g_00012	Syar.g_00483
OG0000363	Prab.g_00014	Syar.g_00484
OG0000364	Prab.g_00015	Syar.g_02928
OG0000365	Prab.g_00020	Syar.g_00493
OG0000366	Prab.g_00021	Syar.g_00494
OG0000367	Prab.g_00022	Syar.g_03262, Syar.g_00495
OG0000368	Prab.g_00024	Syar.g_00497
OG0000369	Prab.g_00025	Syar.g_00498
OG0000370	Prab.g_00026	Syar.g_00499
OG0000371	Prab.g_00032	Syar.g_00508
OG0000372	Prab.g_00035	Syar.g_00514
OG0000373	Prab.g_00036	Syar.g_00515
OG0000374	Prab.g_00037	Syar.g_00516
OG0000375	Prab.g_00039	Syar.g_00517
OG0000376	Prab.g_00041	Syar.g_00519
OG0000377	Prab.g_00044	Syar.g_00322
OG0000378	Prab.g_00046	Syar.g_00905
OG0000379	Prab.g_00049	Syar.g_00910
OG0000380	Prab.g_00058	Syar.g_03039
OG0000381	Prab.g_00062	Syar.g_03041
OG0000382	Prab.g_00073	Syar.g_03057
OG0000383	Prab.g_00075	Syar.g_03074
OG0000384	Prab.g_00076	Syar.g_03075
OG0000385	Prab.g_00077	Syar.g_03076
OG0000386	Prab.g_00078	Syar.g_03077
OG0000387	Prab.g_00090	Syar.g_03109
OG0000388	Prab.g_00093	Syar.g_03148, Syar.g_03113
OG0000389	Prab.g_00097	Syar.g_03118
OG0000390	Prab.g_00104	Syar.g_00033
OG0000391	Prab.g_00107	Syar.g_00038
OG0000392	Prab.g_00111	Syar.g_00045
OG0000393	Prab.g_00113	Syar.g_00048
OG0000394	Prab.g_00114	Syar.g_00049
OG0000395	Prab.g_00115	Syar.g_00050
OG0000396	Prab.g_00117	Syar.g_00053
OG0000397	Prab.g_00119	Syar.g_00055
OG0000398	Prab.g_00121	Syar.g_00060
OG0000399	Prab.g_00122	Syar.g_00061
OG0000400	Prab.g_00123	Syar.g_00062
OG0000401	Prab.g_00124	Syar.g_00063
OG0000402	Prab.g_00126	Syar.g_00065
OG0000403	Prab.g_00127	Syar.g_00066
OG0000404	Prab.g_00128	Syar.g_00067
OG0000405	Prab.g_00132	Syar.g_00076
OG0000406	Prab.g_00138	Syar.g_00080
OG0000407	Prab.g_00139	Syar.g_00081
OG0000408	Prab.g_00141	Syar.g_00083
OG0000409	Prab.g_00143	Syar.g_00085
OG0000410	Prab.g_00144	Syar.g_00086
OG0000411	Prab.g_00145	Syar.g_00087
OG0000412	Prab.g_00146	Syar.g_00088
OG0000413	Prab.g_00147	Syar.g_00090
OG0000414	Prab.g_00148	Syar.g_00091, Syar.g_03179
OG0000415	Prab.g_00149	Syar.g_00092
OG0000416	Prab.g_00150	Syar.g_00093
OG0000417	Prab.g_00151	Syar.g_00095
OG0000418	Prab.g_00156	Syar.g_00100
OG0000419	Prab.g_00158	Syar.g_00102
OG0000420	Prab.g_00159	Syar.g_00104
OG0000421	Prab.g_00164	Syar.g_00109
OG0000422	Prab.g_00165	Syar.g_00110
OG0000423	Prab.g_00166	Syar.g_00111
OG0000424	Prab.g_00167	Syar.g_00112
OG0000425	Prab.g_00168	Syar.g_00113
OG0000426	Prab.g_00169	Syar.g_00114
OG0000427	Prab.g_00170	Syar.g_00115
OG0000428	Prab.g_00172	Syar.g_00118
OG0000429	Prab.g_00173	Syar.g_00121
OG0000430	Prab.g_00174	Syar.g_00123
OG0000431	Prab.g_00176	Syar.g_00127
OG0000432	Prab.g_00179	Syar.g_01009
OG0000433	Prab.g_00180	Syar.g_01007
OG0000434	Prab.g_00181	Syar.g_01006
OG0000435	Prab.g_00182	Syar.g_01003
OG0000436	Prab.g_00187	Syar.g_00994
OG0000437	Prab.g_00188	Syar.g_00993
OG0000438	Prab.g_00189	Syar.g_00992
OG0000439	Prab.g_00191	Syar.g_00990
OG0000440	Prab.g_00192	Syar.g_00989
OG0000441	Prab.g_00195	Syar.g_00986
OG0000442	Prab.g_00196	Syar.g_00977
OG0000443	Prab.g_00197	Syar.g_00964
OG0000444	Prab.g_00202	Syar.g_00954
OG0000445	Prab.g_00203	Syar.g_00953
OG0000446	Prab.g_00204	Syar.g_00951
OG0000447	Prab.g_00205	Syar.g_00948
OG0000448	Prab.g_00206	Syar.g_00947
OG0000449	Prab.g_00207	Syar.g_00946
OG0000450	Prab.g_00208	Syar.g_00939
OG0000451	Prab.g_00209	Syar.g_00938
OG0000452	Prab.g_00212	Syar.g_00934
OG0000453	Prab.g_00213	Syar.g_00933
OG0000454	Prab.g_00214	Syar.g_00932
OG0000455	Prab.g_00215	Syar.g_00931
OG0000456	Prab.g_00216	Syar.g_00930
OG0000457	Prab.g_00217	Syar.g_00928
OG0000458	Prab.g_00218	Syar.g_00918
OG0000459	Prab.g_00219	Syar.g_00917
OG0000460	Prab.g_00226	Syar.g_03024
OG0000461	Prab.g_00232	Syar.g_00153
OG0000462	Prab.g_00234	Syar.g_00155
OG0000463	Prab.g_00235	Syar.g_00156
OG0000464	Prab.g_00236	Syar.g_00157
OG0000465	Prab.g_00237	Syar.g_00159
OG0000466	Prab.g_00240	Syar.g_00164
OG0000467	Prab.g_00241	Syar.g_00165
OG0000468	Prab.g_00243	Syar.g_00170
OG0000469	Prab.g_00251	Syar.g_00203
OG0000470	Prab.g_00253	Syar.g_00206
OG0000471	Prab.g_00254	Syar.g_00207
OG0000472	Prab.g_00255	Syar.g_00208
OG0000473	Prab.g_00257	Syar.g_00210
OG0000474	Prab.g_00258	Syar.g_00211
OG0000475	Prab.g_00259	Syar.g_00212
OG0000476	Prab.g_00260	Syar.g_00214
OG0000477	Prab.g_00263	Syar.g_00219
OG0000478	Prab.g_00264	Syar.g_00220
OG0000479	Prab.g_00265	Syar.g_00221
OG0000480	Prab.g_00270	Syar.g_00228
OG0000481	Prab.g_00272	Syar.g_00230
OG0000482	Prab.g_00273	Syar.g_00231
OG0000483	Prab.g_00276	Syar.g_00235
OG0000484	Prab.g_00277	Syar.g_00236
OG0000485	Prab.g_00278	Syar.g_00237
OG0000486	Prab.g_00279	Syar.g_00238, Syar.g_00024
OG0000487	Prab.g_00283	Syar.g_00245
OG0000488	Prab.g_00286	Syar.g_00853
OG0000489	Prab.g_00291	Syar.g_00833
OG0000490	Prab.g_00296	Syar.g_00823
OG0000491	Prab.g_00297	Syar.g_00822
OG0000492	Prab.g_00299	Syar.g_00727
OG0000493	Prab.g_00300	Syar.g_00726
OG0000494	Prab.g_00301	Syar.g_00725
OG0000495	Prab.g_00302	Syar.g_00724
OG0000496	Prab.g_00303	Syar.g_00723
OG0000497	Prab.g_00304	Syar.g_00722
OG0000498	Prab.g_00305	Syar.g_00721
OG0000499	Prab.g_00306	Syar.g_00720
OG0000500	Prab.g_00307	Syar.g_00719
OG0000501	Prab.g_00309	Syar.g_00716
OG0000502	Prab.g_00312	Syar.g_00275
OG0000503	Prab.g_00322	Syar.g_01118
OG0000504	Prab.g_00323	Syar.g_01120
OG0000505	Prab.g_00324	Syar.g_01121
OG0000506	Prab.g_00325	Syar.g_01123
OG0000507	Prab.g_00328	Syar.g_01129
OG0000508	Prab.g_00332	Syar.g_01141
OG0000509	Prab.g_00334	Syar.g_01143
OG0000510	Prab.g_00335	Syar.g_01144
OG0000511	Prab.g_00336	Syar.g_01145
OG0000512	Prab.g_00338	Syar.g_01147
OG0000513	Prab.g_00345	Syar.g_01166
OG0000514	Prab.g_00434	Syar.g_01169
OG0000515	Prab.g_00435	Syar.g_01170
OG0000516	Prab.g_00436	Syar.g_01172
OG0000517	Prab.g_00438	Syar.g_01176
OG0000518	Prab.g_00449	Syar.g_02868
OG0000519	Prab.g_00450	Syar.g_02867
OG0000520	Prab.g_00454	Syar.g_02866
OG0000521	Prab.g_00459	Syar.g_01419
OG0000522	Prab.g_00460	Syar.g_01421
OG0000523	Prab.g_00461	Syar.g_01422
OG0000524	Prab.g_00466	Syar.g_01244
OG0000525	Prab.g_00469	Syar.g_01263
OG0000526	Prab.g_00470	Syar.g_01266
OG0000527	Prab.g_00477	Syar.g_01271
OG0000528	Prab.g_00482	Syar.g_01466
OG0000529	Prab.g_00485	Syar.g_01470
OG0000530	Prab.g_00488	Syar.g_01473
OG0000531	Prab.g_00489	Syar.g_01474
OG0000532	Prab.g_00491	Syar.g_01477
OG0000533	Prab.g_00492	Syar.g_01479
OG0000534	Prab.g_00493	Syar.g_01480
OG0000535	Prab.g_00494	Syar.g_01481
OG0000536	Prab.g_00495	Syar.g_01482
OG0000537	Prab.g_00496	Syar.g_01483
OG0000538	Prab.g_00504	Syar.g_01496
OG0000539	Prab.g_00505	Syar.g_01497
OG0000540	Prab.g_00506	Syar.g_01498
OG0000541	Prab.g_00507	Syar.g_01499
OG0000542	Prab.g_00509	Syar.g_01502
OG0000543	Prab.g_00511	Syar.g_01504
OG0000544	Prab.g_00512	Syar.g_01505
OG0000545	Prab.g_00514	Syar.g_01507
OG0000546	Prab.g_00517	Syar.g_01509
OG0000547	Prab.g_00519	Syar.g_01511
OG0000548	Prab.g_00520	Syar.g_01512
OG0000549	Prab.g_00522	Syar.g_02693
OG0000550	Prab.g_00527	Syar.g_02689
OG0000551	Prab.g_00531	Syar.g_02684
OG0000552	Prab.g_00532	Syar.g_02683
OG0000553	Prab.g_00533	Syar.g_02679
OG0000554	Prab.g_00538	Syar.g_02352
OG0000555	Prab.g_00546	Syar.g_02336
OG0000556	Prab.g_00548	Syar.g_02332
OG0000557	Prab.g_00549	Syar.g_02328
OG0000558	Prab.g_00551	Syar.g_02326
OG0000559	Prab.g_00555	Syar.g_02322
OG0000560	Prab.g_00558	Syar.g_02320
OG0000561	Prab.g_00559	Syar.g_02319
OG0000562	Prab.g_00560	Syar.g_02318
OG0000563	Prab.g_00561	Syar.g_02317
OG0000564	Prab.g_00562	Syar.g_02316
OG0000565	Prab.g_00565	Syar.g_02312
OG0000566	Prab.g_00568	Syar.g_02308
OG0000567	Prab.g_00572	Syar.g_02304
OG0000568	Prab.g_00573	Syar.g_02302
OG0000569	Prab.g_00574	Syar.g_02301
OG0000570	Prab.g_00575	Syar.g_02300
OG0000571	Prab.g_00577	Syar.g_02298
OG0000572	Prab.g_00590	Syar.g_02201
OG0000573	Prab.g_00596	Syar.g_02191
