Orthogroup	Prao	Syap
OG0000073	Prao.g_00605	Syap.g_01020, Syap.g_00273
OG0000075	Prao.g_01719	Syap.g_01064, Syap.g_00664
OG0000076	Prao.g_01743	Syap.g_01111
OG0000077	Prao.g_00217	Syap.g_00416
OG0000078	Prao.g_00377	Syap.g_01149
OG0000079	Prao.g_00390	Syap.g_01589
OG0000085	Prao.g_01545	Syap.g_00611
OG0000087	Prao.g_00277	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prao.g_00304	Syap.g_01202
OG0000089	Prao.g_00490	Syap.g_00115, Syap.g_02042
OG0000090	Prao.g_01858	Syap.g_01451
OG0000091	Prao.g_00081	Syap.g_01861
OG0000094	Prao.g_00955	Syap.g_02781
OG0000095	Prao.g_00974	Syap.g_01556
OG0000098	Prao.g_01257	Syap.g_01975
OG0000099	Prao.g_01214	Syap.g_01385
OG0000101	Prao.g_01687	Syap.g_00472
OG0000102	Prao.g_01748	Syap.g_01116
OG0000103	Prao.g_01828	Syap.g_02607, Syap.g_02608
OG0000104	Prao.g_01837	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prao.g_01378	Syap.g_01369, Syap.g_01368
OG0000107	Prao.g_00518	Syap.g_02496
OG0000108	Prao.g_00586	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prao.g_00600	Syap.g_00279, Syap.g_02237
OG0000110	Prao.g_01867	Syap.g_01313
OG0000111	Prao.g_00137	Syap.g_01566, Syap.g_01568
OG0000112	Prao.g_00704	Syap.g_02023
OG0000113	Prao.g_00763	Syap.g_02714
OG0000114	Prao.g_00845	Syap.g_01255
OG0000115	Prao.g_01150	Syap.g_02004
OG0000116	Prao.g_01099	Syap.g_00241
OG0000117	Prao.g_01332	Syap.g_01889
OG0000118	Prao.g_01264	Syap.g_02286
OG0000120	Prao.g_01215	Syap.g_02075
OG0000121	Prao.g_01399	Syap.g_02471
OG0000123	Prao.g_01694	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prao.g_01759	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prao.g_01796	Syap.g_01046, Syap.g_01047
OG0000126	Prao.g_01836	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Prao.g_00158	Syap.g_00069
OG0000129	Prao.g_00190	Syap.g_00130, Syap.g_00129
OG0000130	Prao.g_00208	Syap.g_01688, Syap.g_01689
OG0000131	Prao.g_00283	Syap.g_02189
OG0000132	Prao.g_00302	Syap.g_01205
OG0000133	Prao.g_00458	Syap.g_02017
OG0000134	Prao.g_00491	Syap.g_02047
OG0000135	Prao.g_00516	Syap.g_02090
OG0000136	Prao.g_00545	Syap.g_00089
OG0000137	Prao.g_00581	Syap.g_02756
OG0000138	Prao.g_00601	Syap.g_00278
OG0000139	Prao.g_01854	Syap.g_00410
OG0000140	Prao.g_01853	Syap.g_01976
OG0000141	Prao.g_00045	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prao.g_00074	Syap.g_00895, Syap.g_00894
OG0000143	Prao.g_00078	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prao.g_00091	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prao.g_00701	Syap.g_01860, Syap.g_01859
OG0000146	Prao.g_00705	Syap.g_02024
OG0000147	Prao.g_00706	Syap.g_02025
OG0000148	Prao.g_00757	Syap.g_02720
OG0000149	Prao.g_00788	Syap.g_00824
OG0000150	Prao.g_00796	Syap.g_01540
OG0000151	Prao.g_00855	Syap.g_00142
OG0000152	Prao.g_00902	Syap.g_02012
OG0000153	Prao.g_00921	Syap.g_02682
OG0000154	Prao.g_00948	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prao.g_01069	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prao.g_01287	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prao.g_01286	Syap.g_00249, Syap.g_00286
OG0000158	Prao.g_01220	Syap.g_01075
OG0000159	Prao.g_01219	Syap.g_00700
OG0000160	Prao.g_01398	Syap.g_02470, Syap.g_02469
OG0000161	Prao.g_01404	Syap.g_02476
OG0000162	Prao.g_01410	Syap.g_02531
OG0000164	Prao.g_01576	Syap.g_01391, Syap.g_01392
OG0000165	Prao.g_01583	Syap.g_01381, Syap.g_01382
OG0000166	Prao.g_01651	Syap.g_00512, Syap.g_01238
OG0000167	Prao.g_01717	Syap.g_02080
OG0000168	Prao.g_01727	Syap.g_01076
OG0000169	Prao.g_01737	Syap.g_01049, Syap.g_01093
OG0000170	Prao.g_01739	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prao.g_01758	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prao.g_01767	Syap.g_01143, Syap.g_00635
OG0000173	Prao.g_01782	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Prao.g_01810	Syap.g_02092
OG0000175	Prao.g_01820	Syap.g_02654
OG0000176	Prao.g_01845	Syap.g_00059
OG0000177	Prao.g_01846	Syap.g_00061, Syap.g_00060
OG0000178	Prao.g_01847	Syap.g_00062
OG0000179	Prao.g_00163	Syap.g_00077, Syap.g_02638
OG0000180	Prao.g_00164	Syap.g_00078, Syap.g_02640
OG0000181	Prao.g_00165	Syap.g_00079, Syap.g_02641
OG0000182	Prao.g_00166	Syap.g_00080, Syap.g_02642
OG0000183	Prao.g_00170	Syap.g_00084
OG0000184	Prao.g_00192	Syap.g_01337
OG0000185	Prao.g_00195	Syap.g_01322
OG0000186	Prao.g_00203	Syap.g_01684
OG0000187	Prao.g_00204	Syap.g_01686
OG0000188	Prao.g_00221	Syap.g_02547
OG0000191	Prao.g_00256	Syap.g_02233
OG0000192	Prao.g_00260	Syap.g_02224
OG0000193	Prao.g_00284	Syap.g_02187, Syap.g_02188
OG0000194	Prao.g_00287	Syap.g_02183
OG0000195	Prao.g_00289	Syap.g_02180
OG0000196	Prao.g_00299	Syap.g_01208, Syap.g_02167
OG0000197	Prao.g_00300	Syap.g_01207, Syap.g_02166
OG0000198	Prao.g_00301	Syap.g_01206
OG0000199	Prao.g_00308	Syap.g_01197
OG0000200	Prao.g_00322	Syap.g_01181
OG0000201	Prao.g_00330	Syap.g_02265
OG0000202	Prao.g_00331	Syap.g_02264
OG0000203	Prao.g_00332	Syap.g_01601
OG0000204	Prao.g_00333	Syap.g_01602
OG0000205	Prao.g_00340	Syap.g_01616
OG0000206	Prao.g_00345	Syap.g_01628
OG0000207	Prao.g_00347	Syap.g_01426, Syap.g_00424
OG0000208	Prao.g_00348	Syap.g_00426, Syap.g_01425
OG0000209	Prao.g_00357	Syap.g_01906
OG0000210	Prao.g_00358	Syap.g_01905
OG0000211	Prao.g_00371	Syap.g_01160
OG0000212	Prao.g_00378	Syap.g_02664
OG0000213	Prao.g_00395	Syap.g_00107, Syap.g_01599
OG0000214	Prao.g_00405	Syap.g_02344, Syap.g_02345
OG0000215	Prao.g_00429	Syap.g_01347, Syap.g_01629
OG0000216	Prao.g_00431	Syap.g_01634
OG0000217	Prao.g_00434	Syap.g_01638
OG0000218	Prao.g_00436	Syap.g_01641, Syap.g_01640
OG0000219	Prao.g_00437	Syap.g_01642, Syap.g_01643
OG0000220	Prao.g_00438	Syap.g_01645
OG0000221	Prao.g_00439	Syap.g_01646
OG0000222	Prao.g_00446	Syap.g_01669
OG0000223	Prao.g_00459	Syap.g_02072, Syap.g_02073
OG0000224	Prao.g_00461	Syap.g_02064
OG0000225	Prao.g_00480	Syap.g_00553, Syap.g_00552
OG0000226	Prao.g_00484	Syap.g_02029, Syap.g_02144
OG0000227	Prao.g_00486	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prao.g_00489	Syap.g_00116, Syap.g_02041
OG0000229	Prao.g_00540	Syap.g_02059
OG0000230	Prao.g_00542	Syap.g_02061
OG0000231	Prao.g_00553	Syap.g_02533
OG0000232	Prao.g_00564	Syap.g_02510, Syap.g_02511
OG0000233	Prao.g_00569	Syap.g_02133
OG0000234	Prao.g_00582	Syap.g_02755
OG0000235	Prao.g_00585	Syap.g_00732, Syap.g_02258
OG0000236	Prao.g_00599	Syap.g_02238
OG0000237	Prao.g_00612	Syap.g_00262, Syap.g_00263
OG0000238	Prao.g_00618	Syap.g_00257, Syap.g_00258
OG0000239	Prao.g_00631	Syap.g_02744
OG0000240	Prao.g_00632	Syap.g_02742
OG0000241	Prao.g_01861	Syap.g_00888
OG0000242	Prao.g_01859	Syap.g_01455
OG0000243	Prao.g_01162	Syap.g_01938
OG0000244	Prao.g_01165	Syap.g_01146, Syap.g_01145
OG0000245	Prao.g_01167	Syap.g_01148
OG0000246	Prao.g_01171	Syap.g_00308
OG0000247	Prao.g_01181	Syap.g_00288, Syap.g_00293
OG0000248	Prao.g_01183	Syap.g_00290
OG0000249	Prao.g_01185	Syap.g_01296, Syap.g_01295
OG0000250	Prao.g_01864	Syap.g_01306
OG0000251	Prao.g_00029	Syap.g_00442
OG0000252	Prao.g_00032	Syap.g_01857
OG0000253	Prao.g_00033	Syap.g_00443
OG0000254	Prao.g_00049	Syap.g_01527, Syap.g_01528
OG0000256	Prao.g_00066	Syap.g_01287
OG0000257	Prao.g_00069	Syap.g_00886
OG0000258	Prao.g_00082	Syap.g_00907
OG0000260	Prao.g_00102	Syap.g_01970
OG0000261	Prao.g_00104	Syap.g_01962, Syap.g_01961
OG0000262	Prao.g_00108	Syap.g_01954
OG0000263	Prao.g_00119	Syap.g_00432, Syap.g_00433
OG0000266	Prao.g_00658	Syap.g_00519
OG0000267	Prao.g_00669	Syap.g_02333, Syap.g_02332
OG0000268	Prao.g_00670	Syap.g_00646
OG0000269	Prao.g_00736	Syap.g_00188
OG0000270	Prao.g_00739	Syap.g_00192
OG0000271	Prao.g_00747	Syap.g_00200, Syap.g_00201
OG0000272	Prao.g_00748	Syap.g_00202
OG0000273	Prao.g_00771	Syap.g_02703
OG0000274	Prao.g_00772	Syap.g_02702
OG0000275	Prao.g_00775	Syap.g_01847
OG0000276	Prao.g_00780	Syap.g_01839, Syap.g_01838
OG0000277	Prao.g_00781	Syap.g_01837
OG0000278	Prao.g_00784	Syap.g_01834
OG0000279	Prao.g_00791	Syap.g_00829, Syap.g_00830
OG0000280	Prao.g_00792	Syap.g_00365
OG0000281	Prao.g_00797	Syap.g_01977
OG0000282	Prao.g_00847	Syap.g_01252
OG0000283	Prao.g_00879	Syap.g_01728
OG0000284	Prao.g_00884	Syap.g_01736
OG0000285	Prao.g_00889	Syap.g_01746, Syap.g_01744
OG0000286	Prao.g_00901	Syap.g_02014, Syap.g_02013
OG0000288	Prao.g_00947	Syap.g_02764, Syap.g_02763
OG0000289	Prao.g_00958	Syap.g_02784
OG0000290	Prao.g_00971	Syap.g_01552
OG0000291	Prao.g_00973	Syap.g_01554
OG0000292	Prao.g_01025	Syap.g_02314
OG0000293	Prao.g_01098	Syap.g_00240
OG0000294	Prao.g_01097	Syap.g_00239
OG0000295	Prao.g_01077	Syap.g_00206
OG0000296	Prao.g_01075	Syap.g_00204
OG0000297	Prao.g_01067	Syap.g_01887
OG0000298	Prao.g_01066	Syap.g_01888
OG0000299	Prao.g_01049	Syap.g_02620
OG0000302	Prao.g_01043	Syap.g_02444, Syap.g_02445
OG0000303	Prao.g_01036	Syap.g_02435
OG0000304	Prao.g_01032	Syap.g_02430
OG0000305	Prao.g_01247	Syap.g_01557
OG0000306	Prao.g_01244	Syap.g_01966
OG0000307	Prao.g_01230	Syap.g_02517
OG0000308	Prao.g_01229	Syap.g_02514, Syap.g_02515
OG0000309	Prao.g_01225	Syap.g_02198, Syap.g_02446
OG0000310	Prao.g_01382	Syap.g_02660, Syap.g_02661
OG0000311	Prao.g_01384	Syap.g_02657
OG0000312	Prao.g_01387	Syap.g_02114
OG0000313	Prao.g_01401	Syap.g_02473
OG0000314	Prao.g_01423	Syap.g_00007
OG0000315	Prao.g_01433	Syap.g_00017
OG0000316	Prao.g_01453	Syap.g_00030
OG0000317	Prao.g_01550	Syap.g_00618
OG0000318	Prao.g_01553	Syap.g_00622, Syap.g_02786
OG0000319	Prao.g_01566	Syap.g_01764, Syap.g_01771
OG0000320	Prao.g_01568	Syap.g_01761, Syap.g_01769
OG0000321	Prao.g_01569	Syap.g_01760, Syap.g_01768
OG0000322	Prao.g_01570	Syap.g_01759, Syap.g_01767
OG0000323	Prao.g_01579	Syap.g_01389
OG0000324	Prao.g_01605	Syap.g_01503
OG0000325	Prao.g_01616	Syap.g_02680
OG0000326	Prao.g_01622	Syap.g_00544
OG0000327	Prao.g_01646	Syap.g_01233, Syap.g_01913
OG0000328	Prao.g_01647	Syap.g_01234, Syap.g_01912
OG0000329	Prao.g_01664	Syap.g_00498
OG0000330	Prao.g_01665	Syap.g_00497
OG0000331	Prao.g_01666	Syap.g_00496
OG0000332	Prao.g_01680	Syap.g_00481
OG0000333	Prao.g_01682	Syap.g_00478
OG0000334	Prao.g_01690	Syap.g_00468
OG0000335	Prao.g_01695	Syap.g_00101, Syap.g_00463
OG0000336	Prao.g_01699	Syap.g_00417, Syap.g_00607
OG0000337	Prao.g_01715	Syap.g_01054
OG0000338	Prao.g_01716	Syap.g_01059
OG0000339	Prao.g_01720	Syap.g_01068
OG0000340	Prao.g_01728	Syap.g_01077
OG0000341	Prao.g_01730	Syap.g_01079
OG0000342	Prao.g_01731	Syap.g_01080, Syap.g_02477
OG0000343	Prao.g_01732	Syap.g_01086, Syap.g_02078
OG0000344	Prao.g_01735	Syap.g_01091
OG0000345	Prao.g_01740	Syap.g_01107, Syap.g_01470
OG0000346	Prao.g_01744	Syap.g_02423, Syap.g_01113
OG0000347	Prao.g_01760	Syap.g_01131, Syap.g_02459
OG0000348	Prao.g_01770	Syap.g_00632
OG0000349	Prao.g_01787	Syap.g_00110, Syap.g_01813
OG0000351	Prao.g_01823	Syap.g_02594
OG0000352	Prao.g_01824	Syap.g_02596, Syap.g_02597
OG0000353	Prao.g_01840	Syap.g_00054
OG0000354	Prao.g_00637	Syap.g_00075, Syap.g_02635
OG0000355	Prao.g_01842	Syap.g_00056
OG0000356	Prao.g_01843	Syap.g_00057
OG0000357	Prao.g_01844	Syap.g_00058
OG0000358	Prao.g_01848	Syap.g_00063
OG0000359	Prao.g_01849	Syap.g_00065
OG0000360	Prao.g_01850	Syap.g_00067
OG0000361	Prao.g_00157	Syap.g_00068
OG0000362	Prao.g_00159	Syap.g_00070
OG0000363	Prao.g_00161	Syap.g_00072
OG0000364	Prao.g_00162	Syap.g_00620
OG0000365	Prao.g_00167	Syap.g_00081
OG0000366	Prao.g_00168	Syap.g_00082
OG0000367	Prao.g_00169	Syap.g_00083
OG0000368	Prao.g_00171	Syap.g_00085
OG0000369	Prao.g_00172	Syap.g_00086
OG0000370	Prao.g_00173	Syap.g_00087
OG0000372	Prao.g_00181	Syap.g_01805
OG0000373	Prao.g_00182	Syap.g_01806
OG0000374	Prao.g_00183	Syap.g_01807
OG0000375	Prao.g_00186	Syap.g_01808
OG0000376	Prao.g_00188	Syap.g_01811
OG0000377	Prao.g_00191	Syap.g_00128
OG0000378	Prao.g_00193	Syap.g_01326
OG0000380	Prao.g_00205	Syap.g_01687
OG0000381	Prao.g_00209	Syap.g_01690
OG0000382	Prao.g_00220	Syap.g_02548
OG0000383	Prao.g_00222	Syap.g_02359
OG0000384	Prao.g_00223	Syap.g_02360
OG0000385	Prao.g_00224	Syap.g_02361
OG0000386	Prao.g_00225	Syap.g_02362
OG0000387	Prao.g_00238	Syap.g_01864
OG0000391	Prao.g_00255	Syap.g_02234
OG0000392	Prao.g_00259	Syap.g_02225
OG0000393	Prao.g_00261	Syap.g_02222
OG0000394	Prao.g_00262	Syap.g_02221
OG0000395	Prao.g_00263	Syap.g_02220
OG0000396	Prao.g_00266	Syap.g_02217
OG0000397	Prao.g_00268	Syap.g_02215
OG0000398	Prao.g_00270	Syap.g_02211
OG0000399	Prao.g_00271	Syap.g_02210
OG0000400	Prao.g_00272	Syap.g_02209
OG0000401	Prao.g_00273	Syap.g_02208
OG0000402	Prao.g_00274	Syap.g_02206
OG0000403	Prao.g_00275	Syap.g_02205
OG0000404	Prao.g_00276	Syap.g_02204, Syap.g_02618
OG0000405	Prao.g_00280	Syap.g_02191
OG0000406	Prao.g_00285	Syap.g_02186
OG0000407	Prao.g_00286	Syap.g_02185
OG0000408	Prao.g_00288	Syap.g_02181, Syap.g_02182
OG0000409	Prao.g_00290	Syap.g_02179
OG0000410	Prao.g_00291	Syap.g_02178
OG0000411	Prao.g_00292	Syap.g_02177
OG0000412	Prao.g_00293	Syap.g_02176
OG0000413	Prao.g_00294	Syap.g_02174
OG0000414	Prao.g_00295	Syap.g_02173
OG0000415	Prao.g_00296	Syap.g_02172
OG0000416	Prao.g_00297	Syap.g_02171
OG0000417	Prao.g_00298	Syap.g_02169
OG0000418	Prao.g_00303	Syap.g_01204
OG0000419	Prao.g_00305	Syap.g_01201
OG0000420	Prao.g_00306	Syap.g_01199
OG0000421	Prao.g_00311	Syap.g_01195
OG0000422	Prao.g_00312	Syap.g_01194
OG0000423	Prao.g_00313	Syap.g_01193
OG0000424	Prao.g_00314	Syap.g_01192
OG0000425	Prao.g_00315	Syap.g_01191
OG0000426	Prao.g_00316	Syap.g_01190
OG0000427	Prao.g_00317	Syap.g_01189
OG0000428	Prao.g_00319	Syap.g_01186
OG0000429	Prao.g_00320	Syap.g_01184
OG0000430	Prao.g_00321	Syap.g_01182
OG0000431	Prao.g_00323	Syap.g_01179
OG0000432	Prao.g_00326	Syap.g_02277
OG0000433	Prao.g_00327	Syap.g_02272
OG0000434	Prao.g_00328	Syap.g_02271
OG0000435	Prao.g_00329	Syap.g_02268
OG0000436	Prao.g_00334	Syap.g_01607
OG0000437	Prao.g_00335	Syap.g_01608
OG0000438	Prao.g_00336	Syap.g_01612
OG0000439	Prao.g_00338	Syap.g_01614
OG0000440	Prao.g_00339	Syap.g_01615
OG0000441	Prao.g_00342	Syap.g_01619
OG0000442	Prao.g_00343	Syap.g_01620
OG0000443	Prao.g_00344	Syap.g_01622
OG0000444	Prao.g_00349	Syap.g_01424
OG0000445	Prao.g_00350	Syap.g_01421
OG0000446	Prao.g_00351	Syap.g_01419
OG0000447	Prao.g_00352	Syap.g_01410
OG0000448	Prao.g_00353	Syap.g_01407
OG0000449	Prao.g_00354	Syap.g_01406
OG0000450	Prao.g_00355	Syap.g_01909
OG0000451	Prao.g_00356	Syap.g_01908
OG0000452	Prao.g_00359	Syap.g_01904
OG0000453	Prao.g_00360	Syap.g_01903
OG0000454	Prao.g_00361	Syap.g_01902
OG0000455	Prao.g_00362	Syap.g_01901
OG0000456	Prao.g_00363	Syap.g_01900
OG0000457	Prao.g_00364	Syap.g_01896
OG0000458	Prao.g_00365	Syap.g_01895
OG0000459	Prao.g_00366	Syap.g_01894
OG0000460	Prao.g_00373	Syap.g_01159
OG0000461	Prao.g_00380	Syap.g_01575
OG0000462	Prao.g_00382	Syap.g_01578
OG0000463	Prao.g_00383	Syap.g_01579
OG0000464	Prao.g_00384	Syap.g_01580
OG0000465	Prao.g_00385	Syap.g_01582
OG0000466	Prao.g_00388	Syap.g_01587
OG0000467	Prao.g_00389	Syap.g_01588
OG0000468	Prao.g_00391	Syap.g_01593
OG0000469	Prao.g_00400	Syap.g_02352
OG0000470	Prao.g_00402	Syap.g_02349
OG0000471	Prao.g_00403	Syap.g_02348
OG0000472	Prao.g_00404	Syap.g_02347
OG0000473	Prao.g_00406	Syap.g_02343
OG0000474	Prao.g_00407	Syap.g_02342
OG0000475	Prao.g_00408	Syap.g_02341
OG0000476	Prao.g_00409	Syap.g_02339
OG0000477	Prao.g_00412	Syap.g_01367
OG0000478	Prao.g_00413	Syap.g_01366
OG0000479	Prao.g_00414	Syap.g_01364
OG0000480	Prao.g_00419	Syap.g_01357
OG0000482	Prao.g_00422	Syap.g_01355
OG0000483	Prao.g_00425	Syap.g_01344
OG0000484	Prao.g_00426	Syap.g_01350
OG0000485	Prao.g_00427	Syap.g_01349
OG0000487	Prao.g_00432	Syap.g_01635
OG0000488	Prao.g_00435	Syap.g_01639
OG0000489	Prao.g_00440	Syap.g_02482
OG0000490	Prao.g_00444	Syap.g_01673
OG0000491	Prao.g_00445	Syap.g_01670
OG0000492	Prao.g_00447	Syap.g_01668
OG0000493	Prao.g_00448	Syap.g_01667
OG0000494	Prao.g_00449	Syap.g_01666
OG0000495	Prao.g_00450	Syap.g_01665
OG0000496	Prao.g_00451	Syap.g_01663
OG0000497	Prao.g_00452	Syap.g_01662
OG0000498	Prao.g_00453	Syap.g_01661
OG0000499	Prao.g_00454	Syap.g_01660
OG0000500	Prao.g_00455	Syap.g_01659
OG0000501	Prao.g_00457	Syap.g_01656
OG0000502	Prao.g_00460	Syap.g_02066
OG0000503	Prao.g_00470	Syap.g_00569
OG0000504	Prao.g_00471	Syap.g_00567
OG0000505	Prao.g_00472	Syap.g_00566
OG0000506	Prao.g_00474	Syap.g_00564
OG0000507	Prao.g_00476	Syap.g_00558
OG0000508	Prao.g_00479	Syap.g_00554
OG0000509	Prao.g_00481	Syap.g_00551
OG0000510	Prao.g_00482	Syap.g_00550
OG0000511	Prao.g_00483	Syap.g_00548
OG0000512	Prao.g_00485	Syap.g_02145
OG0000513	Prao.g_00492	Syap.g_02048
OG0000514	Prao.g_00535	Syap.g_02051
OG0000515	Prao.g_00536	Syap.g_02052
OG0000516	Prao.g_00537	Syap.g_02054
OG0000517	Prao.g_00539	Syap.g_02057
OG0000519	Prao.g_00551	Syap.g_00457
OG0000520	Prao.g_00552	Syap.g_00456
OG0000521	Prao.g_00557	Syap.g_01997
OG0000522	Prao.g_00559	Syap.g_01995
OG0000523	Prao.g_00560	Syap.g_02507
OG0000524	Prao.g_00567	Syap.g_02135
OG0000525	Prao.g_00570	Syap.g_02159
OG0000526	Prao.g_00571	Syap.g_02157
OG0000527	Prao.g_00579	Syap.g_02758
OG0000528	Prao.g_00584	Syap.g_02261
OG0000529	Prao.g_00587	Syap.g_02254
OG0000530	Prao.g_00590	Syap.g_02252
OG0000531	Prao.g_00591	Syap.g_02251
OG0000532	Prao.g_00593	Syap.g_02247
OG0000533	Prao.g_00594	Syap.g_02244
OG0000534	Prao.g_00595	Syap.g_02243
OG0000535	Prao.g_00596	Syap.g_02242
OG0000536	Prao.g_00597	Syap.g_02241
OG0000537	Prao.g_00598	Syap.g_02240
OG0000538	Prao.g_00606	Syap.g_00271
OG0000539	Prao.g_00607	Syap.g_00270
OG0000540	Prao.g_00608	Syap.g_00269
OG0000541	Prao.g_00609	Syap.g_00268
OG0000542	Prao.g_00611	Syap.g_00264
OG0000543	Prao.g_00613	Syap.g_00261
OG0000544	Prao.g_00614	Syap.g_00260
OG0000545	Prao.g_00616	Syap.g_00259
OG0000546	Prao.g_00619	Syap.g_00256
OG0000547	Prao.g_00621	Syap.g_00254
OG0000548	Prao.g_00622	Syap.g_00253
OG0000549	Prao.g_00624	Syap.g_00758
OG0000550	Prao.g_00629	Syap.g_02747
OG0000551	Prao.g_00633	Syap.g_02739
OG0000552	Prao.g_00634	Syap.g_02738
OG0000553	Prao.g_00635	Syap.g_02735
OG0000554	Prao.g_01857	Syap.g_01450
OG0000555	Prao.g_01161	Syap.g_01941
OG0000556	Prao.g_01163	Syap.g_01933
OG0000557	Prao.g_01164	Syap.g_01931
OG0000558	Prao.g_01166	Syap.g_01147
OG0000560	Prao.g_01173	Syap.g_00305
OG0000561	Prao.g_01174	Syap.g_00304
OG0000562	Prao.g_01175	Syap.g_00302
OG0000563	Prao.g_01176	Syap.g_00301
OG0000564	Prao.g_01177	Syap.g_00300
OG0000565	Prao.g_01180	Syap.g_00296
OG0000566	Prao.g_01182	Syap.g_00291
OG0000567	Prao.g_01186	Syap.g_01297
OG0000568	Prao.g_01187	Syap.g_01302
OG0000569	Prao.g_01862	Syap.g_01303
OG0000570	Prao.g_01863	Syap.g_01304
OG0000571	Prao.g_01865	Syap.g_01307
OG0000573	Prao.g_00030	Syap.g_00765
OG0000574	Prao.g_00031	Syap.g_00759
OG0000575	Prao.g_00035	Syap.g_00445
OG0000576	Prao.g_00037	Syap.g_00450
OG0000577	Prao.g_00038	Syap.g_00451
OG0000578	Prao.g_00039	Syap.g_00452
OG0000579	Prao.g_00040	Syap.g_00453
OG0000580	Prao.g_00041	Syap.g_00454
OG0000581	Prao.g_00043	Syap.g_01521
OG0000582	Prao.g_00046	Syap.g_01533
OG0000583	Prao.g_00047	Syap.g_01532
OG0000584	Prao.g_00048	Syap.g_01530
OG0000585	Prao.g_00050	Syap.g_01526
OG0000586	Prao.g_00051	Syap.g_01525
OG0000587	Prao.g_00052	Syap.g_01523
OG0000588	Prao.g_00056	Syap.g_00776
OG0000589	Prao.g_00060	Syap.g_00941
OG0000590	Prao.g_00061	Syap.g_00940
OG0000591	Prao.g_00064	Syap.g_01289
OG0000592	Prao.g_00065	Syap.g_01288
