Orthogroup	Prac	Syae
OG0000065	Prac.g_01824	Syae.g_00722, Syae.g_01363
OG0000066	Prac.g_00833	Syae.g_02386
OG0000067	Prac.g_01475	Syae.g_00521
OG0000068	Prac.g_00217	Syae.g_02299
OG0000069	Prac.g_00890, Prac.g_00300	Syae.g_00458
OG0000070	Prac.g_01097	Syae.g_00979
OG0000071	Prac.g_00175	Syae.g_00961
OG0000072	Prac.g_01759	Syae.g_01455
OG0000073	Prac.g_00872	Syae.g_02330
OG0000075	Prac.g_00017	Syae.g_01871
OG0000076	Prac.g_01904, Prac.g_00041	Syae.g_01829
OG0000077	Prac.g_01853	Syae.g_01297
OG0000078	Prac.g_01691	Syae.g_02243
OG0000081	Prac.g_00841	Syae.g_02261
OG0000082	Prac.g_00788	Syae.g_02447
OG0000084	Prac.g_00415	Syae.g_02656
OG0000085	Prac.g_00632	Syae.g_01152
OG0000086	Prac.g_01843	Syae.g_01333
OG0000087	Prac.g_01792	Syae.g_01414
OG0000088	Prac.g_01764	Syae.g_01449
OG0000089	Prac.g_01178	Syae.g_02219
OG0000090	Prac.g_00839	Syae.g_02374
OG0000091	Prac.g_00729	Syae.g_00082
OG0000092	Prac.g_01379, Prac.g_00003	Syae.g_00884
OG0000094	Prac.g_01275	Syae.g_00430
OG0000095	Prac.g_01256	Syae.g_01624
OG0000097	Prac.g_00944	Syae.g_00683
OG0000098	Prac.g_00199	Syae.g_02058
OG0000099	Prac.g_00256	Syae.g_01913, Syae.g_01226
OG0000100	Prac.g_00337	Syae.g_00489
OG0000101	Prac.g_00548	Syae.g_02125
OG0000102	Prac.g_00046	Syae.g_01824
OG0000103	Prac.g_00123	Syae.g_01694
OG0000104	Prac.g_00131	Syae.g_01708
OG0000105	Prac.g_01657	Syae.g_01977
OG0000106	Prac.g_01163	Syae.g_00272
OG0000107	Prac.g_01148	Syae.g_02032
OG0000108	Prac.g_01064	Syae.g_02309
OG0000109	Prac.g_01050	Syae.g_02324
OG0000110	Prac.g_00798	Syae.g_02435
OG0000111	Prac.g_00672	Syae.g_00783
OG0000112	Prac.g_01507	Syae.g_00351
OG0000113	Prac.g_01453	Syae.g_00494
OG0000114	Prac.g_01384	Syae.g_00575
OG0000115	Prac.g_01040	Syae.g_02631
OG0000116	Prac.g_00995	Syae.g_00939
OG0000117	Prac.g_01955	Syae.g_00647
OG0000118	Prac.g_00187	Syae.g_02479
OG0000119	Prac.g_00213	Syae.g_00904
OG0000120	Prac.g_00248	Syae.g_01912
OG0000121	Prac.g_00409	Syae.g_02649
OG0000122	Prac.g_00371	Syae.g_00112
OG0000123	Prac.g_00554	Syae.g_02131
OG0000124	Prac.g_00056	Syae.g_01809
OG0000125	Prac.g_00092	Syae.g_01573
OG0000126	Prac.g_00130	Syae.g_01706
OG0000128	Prac.g_01936	Syae.g_01724
OG0000129	Prac.g_01888	Syae.g_01562
OG0000130	Prac.g_01862	Syae.g_01284
OG0000131	Prac.g_01785	Syae.g_01428
OG0000132	Prac.g_01766	Syae.g_01447
OG0000133	Prac.g_01609	Syae.g_00356
OG0000134	Prac.g_01177	Syae.g_02222
OG0000135	Prac.g_01150	Syae.g_01608
OG0000136	Prac.g_01106	Syae.g_00989
OG0000137	Prac.g_01069	Syae.g_02530
OG0000138	Prac.g_01049	Syae.g_02325
OG0000139	Prac.g_00835	Syae.g_02380
OG0000140	Prac.g_00834	Syae.g_02383
OG0000141	Prac.g_00764	Syae.g_00016
OG0000142	Prac.g_00736	Syae.g_00074
OG0000143	Prac.g_00732	Syae.g_00078
OG0000144	Prac.g_00719	Syae.g_00261
OG0000145	Prac.g_01508	Syae.g_02331
OG0000146	Prac.g_01506	Syae.g_00350
OG0000147	Prac.g_01505	Syae.g_00349
OG0000148	Prac.g_01459	Syae.g_00500
OG0000149	Prac.g_01429	Syae.g_00847
OG0000150	Prac.g_01421	Syae.g_00017
OG0000151	Prac.g_01374	Syae.g_00563
OG0000152	Prac.g_01327	Syae.g_00360
OG0000153	Prac.g_01308	Syae.g_00394
OG0000154	Prac.g_01282	Syae.g_00420
OG0000155	Prac.g_00965	Syae.g_00885
OG0000156	Prac.g_00164	Syae.g_00945
OG0000157	Prac.g_00165	Syae.g_00946
OG0000158	Prac.g_00447	Syae.g_01858
OG0000160	Prac.g_00410	Syae.g_02650
OG0000161	Prac.g_00404	Syae.g_02644
OG0000162	Prac.g_00398	Syae.g_02638
OG0000163	Prac.g_00364	Syae.g_01092
OG0000164	Prac.g_00601	Syae.g_01198
OG0000165	Prac.g_00594	Syae.g_01021
OG0000166	Prac.g_00512	Syae.g_02085
OG0000167	Prac.g_00015	Syae.g_01874
OG0000168	Prac.g_00025	Syae.g_01856
OG0000169	Prac.g_00035	Syae.g_01841
OG0000170	Prac.g_00037	Syae.g_01834
OG0000171	Prac.g_00055	Syae.g_01810
OG0000172	Prac.g_00063	Syae.g_01788
OG0000173	Prac.g_00078	Syae.g_01770
OG0000174	Prac.g_00105	Syae.g_01610
OG0000175	Prac.g_00115	Syae.g_01679
OG0000176	Prac.g_01943	Syae.g_01716
OG0000177	Prac.g_01942	Syae.g_01717
OG0000178	Prac.g_01941	Syae.g_01718
OG0000179	Prac.g_01931	Syae.g_01733
OG0000180	Prac.g_01930	Syae.g_01734
OG0000181	Prac.g_01929	Syae.g_01735
OG0000182	Prac.g_01928	Syae.g_01736
OG0000183	Prac.g_01924	Syae.g_01740
OG0000184	Prac.g_01885	Syae.g_01554
OG0000185	Prac.g_01882	Syae.g_01551
OG0000186	Prac.g_01867	Syae.g_01279
OG0000187	Prac.g_01866	Syae.g_01280
OG0000188	Prac.g_01849	Syae.g_01323
OG0000189	Prac.g_01835	Syae.g_01350
OG0000190	Prac.g_01834	Syae.g_01352
OG0000191	Prac.g_01814	Syae.g_01384
OG0000192	Prac.g_01810	Syae.g_01390
OG0000193	Prac.g_01784	Syae.g_01429
OG0000194	Prac.g_01781	Syae.g_01432
OG0000195	Prac.g_01779	Syae.g_01434
OG0000196	Prac.g_01769	Syae.g_01444
OG0000197	Prac.g_01768	Syae.g_01445
OG0000198	Prac.g_01767	Syae.g_01446
OG0000199	Prac.g_01760	Syae.g_01454
OG0000200	Prac.g_01746	Syae.g_01471
OG0000201	Prac.g_01738	Syae.g_01487
OG0000202	Prac.g_01737	Syae.g_01488
OG0000203	Prac.g_01736	Syae.g_01489
OG0000204	Prac.g_01735	Syae.g_01490
OG0000205	Prac.g_01728	Syae.g_01497
OG0000206	Prac.g_01723	Syae.g_01504
OG0000207	Prac.g_01721	Syae.g_01506
OG0000208	Prac.g_01720	Syae.g_01507
OG0000209	Prac.g_01711	Syae.g_01528
OG0000210	Prac.g_01710	Syae.g_01529
OG0000212	Prac.g_01690	Syae.g_02244
OG0000213	Prac.g_01674	Syae.g_02003
OG0000214	Prac.g_01664	Syae.g_01986
OG0000215	Prac.g_01639	Syae.g_01955
OG0000216	Prac.g_01637	Syae.g_01951
OG0000217	Prac.g_01634	Syae.g_01947
OG0000218	Prac.g_01632	Syae.g_01945
OG0000219	Prac.g_01631	Syae.g_01944
OG0000220	Prac.g_01630	Syae.g_01943
OG0000221	Prac.g_01629	Syae.g_01937
OG0000222	Prac.g_01621	Syae.g_01926
OG0000223	Prac.g_01608	Syae.g_01904
OG0000224	Prac.g_01606	Syae.g_01897
OG0000225	Prac.g_01188	Syae.g_02208
OG0000226	Prac.g_01184	Syae.g_02212
OG0000227	Prac.g_01182	Syae.g_02214
OG0000228	Prac.g_01179	Syae.g_02218
OG0000229	Prac.g_01111	Syae.g_00994
OG0000230	Prac.g_01109	Syae.g_00992
OG0000231	Prac.g_01098	Syae.g_00980
OG0000232	Prac.g_01089	Syae.g_02496
OG0000233	Prac.g_01082	Syae.g_02504
OG0000234	Prac.g_01068	Syae.g_02532
OG0000235	Prac.g_01065	Syae.g_02308
OG0000236	Prac.g_01051	Syae.g_02323
OG0000237	Prac.g_00865	Syae.g_02340
OG0000238	Prac.g_00859	Syae.g_02345
OG0000239	Prac.g_00847	Syae.g_02360
OG0000240	Prac.g_00846	Syae.g_02361
OG0000241	Prac.g_00842	Syae.g_00065
OG0000242	Prac.g_00840	Syae.g_02372
OG0000243	Prac.g_00829	Syae.g_02391
OG0000244	Prac.g_00826	Syae.g_02399
OG0000245	Prac.g_00824	Syae.g_02401
OG0000246	Prac.g_00820	Syae.g_02405
OG0000247	Prac.g_00810	Syae.g_02416
OG0000248	Prac.g_00808	Syae.g_02419
OG0000249	Prac.g_00806	Syae.g_02421
OG0000250	Prac.g_00801	Syae.g_02431
OG0000251	Prac.g_00782	Syae.g_02455
OG0000252	Prac.g_00778	Syae.g_02458
OG0000253	Prac.g_00777	Syae.g_02459
OG0000254	Prac.g_00760	Syae.g_00021
OG0000255	Prac.g_00754	Syae.g_00041
OG0000256	Prac.g_00744	Syae.g_00058
OG0000257	Prac.g_00741	Syae.g_00064
OG0000258	Prac.g_00728	Syae.g_00083
OG0000259	Prac.g_00711	Syae.g_00608
OG0000260	Prac.g_00708	Syae.g_00603
OG0000261	Prac.g_00706	Syae.g_00600
OG0000262	Prac.g_00702	Syae.g_00595
OG0000263	Prac.g_00690	Syae.g_00671
OG0000264	Prac.g_00680	Syae.g_00761
OG0000265	Prac.g_01560	Syae.g_00932, Syae.g_00226
OG0000266	Prac.g_01550	Syae.g_00457
OG0000267	Prac.g_01539	Syae.g_00304
OG0000268	Prac.g_01538	Syae.g_00308
OG0000269	Prac.g_01480	Syae.g_00526
OG0000270	Prac.g_01477	Syae.g_00523
OG0000271	Prac.g_01469	Syae.g_00515
OG0000272	Prac.g_01468	Syae.g_00514
OG0000273	Prac.g_01445	Syae.g_00825
OG0000274	Prac.g_01444	Syae.g_00826
OG0000275	Prac.g_01442	Syae.g_00832
OG0000276	Prac.g_01437	Syae.g_00839
OG0000277	Prac.g_01436	Syae.g_00840
OG0000278	Prac.g_01433	Syae.g_00843
OG0000279	Prac.g_01426	Syae.g_00851
OG0000280	Prac.g_01425	Syae.g_00877
OG0000281	Prac.g_01420	Syae.g_02057
OG0000282	Prac.g_01382	Syae.g_00573
OG0000283	Prac.g_01350	Syae.g_00321
OG0000284	Prac.g_01345	Syae.g_00327
OG0000285	Prac.g_01340	Syae.g_00340
OG0000286	Prac.g_01328	Syae.g_00359
OG0000288	Prac.g_01283	Syae.g_00419
OG0000289	Prac.g_01272	Syae.g_00433
OG0000290	Prac.g_01259	Syae.g_00796
OG0000291	Prac.g_01257	Syae.g_00794
OG0000292	Prac.g_01207	Syae.g_01705
OG0000293	Prac.g_00994	Syae.g_00938
OG0000294	Prac.g_00993	Syae.g_00937
OG0000295	Prac.g_00973	Syae.g_00893
OG0000296	Prac.g_00971	Syae.g_00891
OG0000297	Prac.g_00963	Syae.g_00645
OG0000298	Prac.g_00962	Syae.g_00646
OG0000299	Prac.g_00945	Syae.g_00680
OG0000300	Prac.g_00942	Syae.g_00686
OG0000301	Prac.g_00941	Syae.g_00687
OG0000302	Prac.g_00939	Syae.g_00691
OG0000303	Prac.g_00932	Syae.g_00700
OG0000304	Prac.g_00928	Syae.g_00706
OG0000305	Prac.g_00209	Syae.g_00791
OG0000306	Prac.g_00212	Syae.g_00277
OG0000307	Prac.g_00226	Syae.g_02290
OG0000308	Prac.g_00227	Syae.g_02288
OG0000309	Prac.g_00231	Syae.g_02283
OG0000310	Prac.g_00426	Syae.g_02687
OG0000311	Prac.g_00424	Syae.g_02682
OG0000312	Prac.g_00421	Syae.g_02664
OG0000313	Prac.g_00407	Syae.g_02647
OG0000314	Prac.g_00384	Syae.g_02618
OG0000315	Prac.g_00374	Syae.g_02609
OG0000316	Prac.g_00354	Syae.g_01118
OG0000317	Prac.g_00627	Syae.g_01160
OG0000318	Prac.g_00624	Syae.g_01164
OG0000319	Prac.g_00611	Syae.g_01181
OG0000320	Prac.g_00609	Syae.g_01183
OG0000321	Prac.g_00608	Syae.g_01184
OG0000322	Prac.g_00607	Syae.g_01185
OG0000323	Prac.g_00598	Syae.g_01200
OG0000324	Prac.g_00572	Syae.g_01049
OG0000325	Prac.g_00477	Syae.g_02033
OG0000326	Prac.g_00483	Syae.g_02040
OG0000327	Prac.g_00507	Syae.g_02080
OG0000328	Prac.g_00508	Syae.g_02081
OG0000329	Prac.g_00525	Syae.g_02099
OG0000330	Prac.g_00526	Syae.g_02100
OG0000331	Prac.g_00527	Syae.g_02101
OG0000332	Prac.g_00541	Syae.g_02116
OG0000333	Prac.g_00543	Syae.g_02119
OG0000334	Prac.g_00551	Syae.g_02128
OG0000335	Prac.g_00555	Syae.g_02132
OG0000336	Prac.g_00559	Syae.g_02136
OG0000337	Prac.g_00013	Syae.g_01879
OG0000338	Prac.g_00014	Syae.g_01876
OG0000339	Prac.g_00018	Syae.g_01869
OG0000340	Prac.g_00026	Syae.g_01855
OG0000341	Prac.g_00028	Syae.g_01853
OG0000342	Prac.g_00029	Syae.g_01852
OG0000343	Prac.g_00030	Syae.g_01848
OG0000344	Prac.g_00033	Syae.g_01843
OG0000345	Prac.g_00038	Syae.g_01833
OG0000346	Prac.g_00042	Syae.g_01828
OG0000347	Prac.g_00057	Syae.g_01805
OG0000348	Prac.g_00066	Syae.g_01781
OG0000349	Prac.g_00083	Syae.g_01763
OG0000350	Prac.g_00101	Syae.g_02047
OG0000351	Prac.g_00118	Syae.g_01684
OG0000352	Prac.g_00119	Syae.g_01685
OG0000353	Prac.g_01948	Syae.g_01711
OG0000355	Prac.g_01946	Syae.g_01713
OG0000356	Prac.g_01945	Syae.g_01714
OG0000357	Prac.g_01944	Syae.g_01715
OG0000358	Prac.g_01940	Syae.g_01719
OG0000359	Prac.g_01939	Syae.g_01721
OG0000360	Prac.g_01938	Syae.g_01722
OG0000361	Prac.g_01937	Syae.g_01723
OG0000362	Prac.g_01935	Syae.g_01725
OG0000363	Prac.g_01933	Syae.g_01727
OG0000364	Prac.g_01932	Syae.g_01728
OG0000365	Prac.g_01927	Syae.g_01737
OG0000366	Prac.g_01926	Syae.g_01738
OG0000367	Prac.g_01925	Syae.g_01739
OG0000368	Prac.g_01923	Syae.g_01741
OG0000369	Prac.g_01922	Syae.g_01742
OG0000370	Prac.g_01921	Syae.g_01743
OG0000371	Prac.g_01915	Syae.g_01751
OG0000372	Prac.g_01911	Syae.g_01756
OG0000373	Prac.g_01910	Syae.g_01757
OG0000374	Prac.g_01909	Syae.g_01758
OG0000375	Prac.g_01892	Syae.g_01759
OG0000376	Prac.g_01890	Syae.g_01761
OG0000377	Prac.g_01886	Syae.g_01561
OG0000378	Prac.g_01884	Syae.g_01553
OG0000379	Prac.g_01881	Syae.g_01550
OG0000380	Prac.g_01865	Syae.g_01281
OG0000381	Prac.g_01861	Syae.g_01285
OG0000382	Prac.g_01850	Syae.g_01322
OG0000383	Prac.g_01848	Syae.g_01324
OG0000384	Prac.g_01847	Syae.g_01325
OG0000385	Prac.g_01846	Syae.g_01326
OG0000386	Prac.g_01845	Syae.g_01327
OG0000387	Prac.g_01832	Syae.g_01354
OG0000388	Prac.g_01829	Syae.g_01358
OG0000389	Prac.g_01825	Syae.g_01362
OG0000390	Prac.g_01818	Syae.g_01378
OG0000391	Prac.g_01815	Syae.g_01383
OG0000392	Prac.g_01811	Syae.g_01389
OG0000393	Prac.g_01809	Syae.g_01392
OG0000394	Prac.g_01808	Syae.g_01393
OG0000395	Prac.g_01807	Syae.g_01394
OG0000396	Prac.g_01804	Syae.g_01397
OG0000397	Prac.g_01802	Syae.g_01400
OG0000398	Prac.g_01800	Syae.g_01405
OG0000399	Prac.g_01799	Syae.g_01406
OG0000400	Prac.g_01798	Syae.g_01407
OG0000401	Prac.g_01797	Syae.g_01408
OG0000402	Prac.g_01795	Syae.g_01410
OG0000403	Prac.g_01794	Syae.g_01411
OG0000404	Prac.g_01793	Syae.g_01412
OG0000405	Prac.g_01789	Syae.g_01426
OG0000406	Prac.g_01783	Syae.g_01430
OG0000407	Prac.g_01782	Syae.g_01431
OG0000408	Prac.g_01780	Syae.g_01433
OG0000409	Prac.g_01778	Syae.g_01435
OG0000410	Prac.g_01777	Syae.g_01436
OG0000411	Prac.g_01776	Syae.g_01437
OG0000412	Prac.g_01775	Syae.g_01438
OG0000413	Prac.g_01774	Syae.g_01440
OG0000415	Prac.g_01772	Syae.g_01441
OG0000416	Prac.g_01771	Syae.g_01442
OG0000417	Prac.g_01770	Syae.g_01443
OG0000418	Prac.g_01765	Syae.g_01448
OG0000419	Prac.g_01763	Syae.g_01450
OG0000420	Prac.g_01762	Syae.g_01452
OG0000421	Prac.g_01757	Syae.g_01457
OG0000422	Prac.g_01756	Syae.g_01458
OG0000423	Prac.g_01755	Syae.g_01459
OG0000424	Prac.g_01754	Syae.g_01460
OG0000425	Prac.g_01753	Syae.g_01461
OG0000426	Prac.g_01752	Syae.g_01462
OG0000427	Prac.g_01751	Syae.g_01463
OG0000428	Prac.g_01749	Syae.g_01466
OG0000429	Prac.g_01748	Syae.g_01468
OG0000430	Prac.g_01747	Syae.g_01470
OG0000431	Prac.g_01745	Syae.g_01473
OG0000432	Prac.g_01742	Syae.g_01481
OG0000433	Prac.g_01741	Syae.g_01484
OG0000434	Prac.g_01740	Syae.g_01485
OG0000435	Prac.g_01739	Syae.g_01486
OG0000436	Prac.g_01734	Syae.g_01491
OG0000437	Prac.g_01733	Syae.g_01492
OG0000438	Prac.g_01732	Syae.g_01493
OG0000439	Prac.g_01730	Syae.g_01495
OG0000440	Prac.g_01729	Syae.g_01496
OG0000441	Prac.g_01726	Syae.g_01501
OG0000442	Prac.g_01725	Syae.g_01502
OG0000443	Prac.g_01724	Syae.g_01503
OG0000444	Prac.g_01719	Syae.g_01509
OG0000445	Prac.g_01718	Syae.g_01510
OG0000446	Prac.g_01717	Syae.g_01512
OG0000447	Prac.g_01716	Syae.g_01517
OG0000448	Prac.g_01715	Syae.g_01518
OG0000449	Prac.g_01714	Syae.g_01519
OG0000450	Prac.g_01713	Syae.g_01525
OG0000451	Prac.g_01712	Syae.g_01526
OG0000452	Prac.g_01709	Syae.g_01530
OG0000453	Prac.g_01708	Syae.g_01531
OG0000454	Prac.g_01707	Syae.g_01532
OG0000455	Prac.g_01706	Syae.g_01533
OG0000456	Prac.g_01705	Syae.g_01534
OG0000457	Prac.g_01704	Syae.g_01536
OG0000458	Prac.g_01703	Syae.g_01538
OG0000459	Prac.g_01702	Syae.g_01539
OG0000460	Prac.g_01695	Syae.g_02236
OG0000461	Prac.g_01688	Syae.g_02024
OG0000462	Prac.g_01686	Syae.g_02021
OG0000463	Prac.g_01685	Syae.g_02020
OG0000464	Prac.g_01684	Syae.g_02019
OG0000465	Prac.g_01683	Syae.g_02018
OG0000466	Prac.g_01680	Syae.g_02014
OG0000467	Prac.g_01679	Syae.g_02012
OG0000468	Prac.g_01678	Syae.g_02007
OG0000469	Prac.g_01669	Syae.g_01992
OG0000470	Prac.g_01667	Syae.g_01990
OG0000471	Prac.g_01666	Syae.g_01989
OG0000472	Prac.g_01665	Syae.g_01987
OG0000473	Prac.g_01663	Syae.g_01985
OG0000474	Prac.g_01662	Syae.g_01984
OG0000475	Prac.g_01661	Syae.g_01983
OG0000476	Prac.g_01660	Syae.g_01981
OG0000477	Prac.g_01656	Syae.g_01975
OG0000478	Prac.g_01655	Syae.g_01974
OG0000479	Prac.g_01654	Syae.g_01973
OG0000480	Prac.g_01649	Syae.g_01966
OG0000481	Prac.g_01647	Syae.g_01964
OG0000482	Prac.g_01646	Syae.g_01963
OG0000483	Prac.g_01643	Syae.g_01959
OG0000484	Prac.g_01642	Syae.g_01958
OG0000485	Prac.g_01641	Syae.g_01957
OG0000486	Prac.g_01640	Syae.g_01956
OG0000487	Prac.g_01636	Syae.g_01950
OG0000488	Prac.g_01633	Syae.g_01946
OG0000489	Prac.g_01628	Syae.g_01936
OG0000490	Prac.g_01623	Syae.g_01928
OG0000491	Prac.g_01622	Syae.g_01927
OG0000492	Prac.g_01620	Syae.g_01925
OG0000493	Prac.g_01619	Syae.g_01924
OG0000494	Prac.g_01618	Syae.g_01923
OG0000495	Prac.g_01617	Syae.g_01922
OG0000496	Prac.g_01616	Syae.g_01921
OG0000497	Prac.g_01615	Syae.g_01920
OG0000498	Prac.g_01614	Syae.g_01919
OG0000499	Prac.g_01613	Syae.g_01918
OG0000500	Prac.g_01612	Syae.g_01917
OG0000501	Prac.g_01610	Syae.g_01914
OG0000502	Prac.g_01607	Syae.g_01902
OG0000503	Prac.g_01200	Syae.g_02192
OG0000504	Prac.g_01199	Syae.g_02194
OG0000505	Prac.g_01198	Syae.g_02195
OG0000506	Prac.g_01196	Syae.g_02197
OG0000507	Prac.g_01193	Syae.g_02203
OG0000508	Prac.g_01189	Syae.g_02207
OG0000509	Prac.g_01187	Syae.g_02209
OG0000510	Prac.g_01186	Syae.g_02210
OG0000511	Prac.g_01185	Syae.g_02211
OG0000512	Prac.g_01183	Syae.g_02213
OG0000513	Prac.g_01176	Syae.g_02223
OG0000514	Prac.g_01116	Syae.g_02229
OG0000515	Prac.g_01115	Syae.g_02230
OG0000516	Prac.g_01114	Syae.g_01000
OG0000517	Prac.g_01112	Syae.g_00995
OG0000518	Prac.g_01101	Syae.g_00983
OG0000519	Prac.g_01100	Syae.g_00982
OG0000520	Prac.g_01099	Syae.g_00981
OG0000521	Prac.g_01094	Syae.g_02491
OG0000522	Prac.g_01092	Syae.g_02493
OG0000523	Prac.g_01091	Syae.g_02494
OG0000524	Prac.g_01084	Syae.g_02501
OG0000525	Prac.g_01081	Syae.g_02520
OG0000526	Prac.g_01080	Syae.g_02523
OG0000527	Prac.g_01071	Syae.g_02528
OG0000528	Prac.g_01066	Syae.g_02304
OG0000529	Prac.g_01063	Syae.g_02310
OG0000530	Prac.g_01060	Syae.g_02313
OG0000531	Prac.g_01059	Syae.g_02314
OG0000532	Prac.g_01057	Syae.g_02317
OG0000533	Prac.g_01056	Syae.g_02318
OG0000534	Prac.g_01055	Syae.g_02319
OG0000535	Prac.g_01054	Syae.g_02320
OG0000536	Prac.g_01053	Syae.g_02321
OG0000537	Prac.g_01052	Syae.g_02322
OG0000538	Prac.g_00871	Syae.g_02333
OG0000539	Prac.g_00870	Syae.g_02334
OG0000540	Prac.g_00869	Syae.g_02335
OG0000541	Prac.g_00868	Syae.g_02336
OG0000542	Prac.g_00866	Syae.g_02339
OG0000543	Prac.g_00864	Syae.g_02341
OG0000544	Prac.g_00863	Syae.g_02342
OG0000545	Prac.g_00861	Syae.g_02344
OG0000546	Prac.g_00858	Syae.g_02346
OG0000547	Prac.g_00857	Syae.g_02348
OG0000548	Prac.g_00856	Syae.g_02349
OG0000549	Prac.g_00854	Syae.g_02354
OG0000550	Prac.g_00849	Syae.g_02358
OG0000551	Prac.g_00845	Syae.g_02363
OG0000552	Prac.g_00844	Syae.g_02364
OG0000553	Prac.g_00843	Syae.g_02366
OG0000554	Prac.g_00838	Syae.g_02375
OG0000555	Prac.g_00830	Syae.g_02390
OG0000556	Prac.g_00828	Syae.g_02394
OG0000557	Prac.g_00827	Syae.g_02398
OG0000558	Prac.g_00825	Syae.g_02400
OG0000559	Prac.g_00821	Syae.g_02404
OG0000560	Prac.g_00818	Syae.g_02407
OG0000561	Prac.g_00817	Syae.g_02408
OG0000562	Prac.g_00816	Syae.g_02409
OG0000563	Prac.g_00815	Syae.g_02410
OG0000564	Prac.g_00814	Syae.g_02411
OG0000565	Prac.g_00811	Syae.g_02414
OG0000566	Prac.g_00809	Syae.g_02418
OG0000567	Prac.g_00805	Syae.g_02422
OG0000568	Prac.g_00804	Syae.g_02427
OG0000569	Prac.g_00803	Syae.g_02428
OG0000570	Prac.g_00802	Syae.g_02429
OG0000571	Prac.g_00800	Syae.g_02433
OG0000572	Prac.g_00787	Syae.g_02448
OG0000573	Prac.g_00780	Syae.g_02456
OG0000574	Prac.g_00779	Syae.g_02457
OG0000575	Prac.g_00775	Syae.g_02461
OG0000576	Prac.g_00772	Syae.g_02463
OG0000577	Prac.g_00771	Syae.g_02464
OG0000578	Prac.g_00770	Syae.g_02465
OG0000579	Prac.g_00769	Syae.g_02466
OG0000580	Prac.g_00768	Syae.g_02467
OG0000581	Prac.g_00766	Syae.g_02473
OG0000582	Prac.g_00763	Syae.g_00018
OG0000583	Prac.g_00762	Syae.g_00019
OG0000584	Prac.g_00761	Syae.g_00020
OG0000585	Prac.g_00759	Syae.g_00022
OG0000586	Prac.g_00758	Syae.g_00023
OG0000587	Prac.g_00757	Syae.g_00025
OG0000588	Prac.g_00753	Syae.g_00043
OG0000589	Prac.g_00750	Syae.g_00047
OG0000590	Prac.g_00749	Syae.g_00048
OG0000591	Prac.g_00746	Syae.g_00056
OG0000592	Prac.g_00745	Syae.g_00057
OG0000593	Prac.g_00739	Syae.g_00070
OG0000594	Prac.g_00738	Syae.g_00071
