Orthogroup	Prac	Syap
OG0000108	Prac.g_01064	Syap.g_00733, Syap.g_02255
OG0000109	Prac.g_01050	Syap.g_00279, Syap.g_02237
OG0000110	Prac.g_00798	Syap.g_01313
OG0000111	Prac.g_00672	Syap.g_01566, Syap.g_01568
OG0000112	Prac.g_01507	Syap.g_02023
OG0000113	Prac.g_01453	Syap.g_02714
OG0000114	Prac.g_01384	Syap.g_01255
OG0000115	Prac.g_01040	Syap.g_02004
OG0000116	Prac.g_00995	Syap.g_00241
OG0000117	Prac.g_01955	Syap.g_01889
OG0000118	Prac.g_00187	Syap.g_02286
OG0000120	Prac.g_00248	Syap.g_02075
OG0000121	Prac.g_00409	Syap.g_02471
OG0000123	Prac.g_00554	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prac.g_00056	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prac.g_00092	Syap.g_01046, Syap.g_01047
OG0000126	Prac.g_00130	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Prac.g_01936	Syap.g_00069
OG0000129	Prac.g_01888	Syap.g_00130, Syap.g_00129
OG0000130	Prac.g_01862	Syap.g_01688, Syap.g_01689
OG0000131	Prac.g_01785	Syap.g_02189
OG0000132	Prac.g_01766	Syap.g_01205
OG0000133	Prac.g_01609	Syap.g_02017
OG0000134	Prac.g_01177	Syap.g_02047
OG0000135	Prac.g_01150	Syap.g_02090
OG0000136	Prac.g_01106	Syap.g_00089
OG0000137	Prac.g_01069	Syap.g_02756
OG0000138	Prac.g_01049	Syap.g_00278
OG0000139	Prac.g_00835	Syap.g_00410
OG0000140	Prac.g_00834	Syap.g_01976
OG0000141	Prac.g_00764	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prac.g_00736	Syap.g_00895, Syap.g_00894
OG0000143	Prac.g_00732	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prac.g_00719	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prac.g_01508	Syap.g_01860, Syap.g_01859
OG0000146	Prac.g_01506	Syap.g_02024
OG0000147	Prac.g_01505	Syap.g_02025
OG0000148	Prac.g_01459	Syap.g_02720
OG0000149	Prac.g_01429	Syap.g_00824
OG0000150	Prac.g_01421	Syap.g_01540
OG0000151	Prac.g_01374	Syap.g_00142
OG0000152	Prac.g_01327	Syap.g_02012
OG0000153	Prac.g_01308	Syap.g_02682
OG0000154	Prac.g_01282	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prac.g_00965	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prac.g_00164	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prac.g_00165	Syap.g_00249, Syap.g_00286
OG0000158	Prac.g_00447	Syap.g_01075
OG0000159	Prac.g_00452, Prac.g_00257	Syap.g_00852
OG0000160	Prac.g_00410	Syap.g_02470, Syap.g_02469
OG0000161	Prac.g_00404	Syap.g_02476
OG0000162	Prac.g_00398	Syap.g_02531
OG0000164	Prac.g_00601	Syap.g_01391, Syap.g_01392
OG0000165	Prac.g_00594	Syap.g_01381, Syap.g_01382
OG0000166	Prac.g_00512	Syap.g_00512, Syap.g_01238
OG0000167	Prac.g_00015	Syap.g_02080
OG0000168	Prac.g_00025	Syap.g_01076
OG0000169	Prac.g_00035	Syap.g_01049, Syap.g_01093
OG0000170	Prac.g_00037	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prac.g_00055	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prac.g_00063	Syap.g_01143, Syap.g_00635
OG0000173	Prac.g_00078	Syap.g_00982, Syap.g_00983
OG0000174	Prac.g_00105	Syap.g_02092
OG0000175	Prac.g_00115	Syap.g_02654
OG0000176	Prac.g_01943	Syap.g_00059
OG0000177	Prac.g_01942	Syap.g_00061, Syap.g_00060
OG0000178	Prac.g_01941	Syap.g_00062
OG0000179	Prac.g_01931	Syap.g_00077, Syap.g_02638
OG0000180	Prac.g_01930	Syap.g_00078, Syap.g_02640
OG0000181	Prac.g_01929	Syap.g_00079, Syap.g_02641
OG0000182	Prac.g_01928	Syap.g_00080, Syap.g_02642
OG0000183	Prac.g_01924	Syap.g_00084
OG0000184	Prac.g_01885	Syap.g_01337
OG0000185	Prac.g_01882	Syap.g_01322
OG0000186	Prac.g_01867	Syap.g_01684
OG0000187	Prac.g_01866	Syap.g_01686
OG0000188	Prac.g_01849	Syap.g_02547
OG0000191	Prac.g_01814	Syap.g_02233
OG0000192	Prac.g_01810	Syap.g_02224
OG0000193	Prac.g_01784	Syap.g_02187, Syap.g_02188
OG0000194	Prac.g_01781	Syap.g_02183
OG0000195	Prac.g_01779	Syap.g_02180
OG0000196	Prac.g_01769	Syap.g_01208, Syap.g_02167
OG0000197	Prac.g_01768	Syap.g_01207, Syap.g_02166
OG0000198	Prac.g_01767	Syap.g_01206
OG0000199	Prac.g_01760	Syap.g_01197
OG0000200	Prac.g_01746	Syap.g_01181
OG0000201	Prac.g_01738	Syap.g_02265
OG0000202	Prac.g_01737	Syap.g_02264
OG0000203	Prac.g_01736	Syap.g_01601
OG0000204	Prac.g_01735	Syap.g_01602
OG0000205	Prac.g_01728	Syap.g_01616
OG0000206	Prac.g_01723	Syap.g_01628
OG0000207	Prac.g_01721	Syap.g_01426, Syap.g_00424
OG0000208	Prac.g_01720	Syap.g_00426, Syap.g_01425
OG0000209	Prac.g_01711	Syap.g_01906
OG0000210	Prac.g_01710	Syap.g_01905
OG0000211	Prac.g_01697	Syap.g_01160
OG0000212	Prac.g_01690	Syap.g_02664
OG0000213	Prac.g_01674	Syap.g_00107, Syap.g_01599
OG0000214	Prac.g_01664	Syap.g_02344, Syap.g_02345
OG0000215	Prac.g_01639	Syap.g_01347, Syap.g_01629
OG0000216	Prac.g_01637	Syap.g_01634
OG0000217	Prac.g_01634	Syap.g_01638
OG0000218	Prac.g_01632	Syap.g_01641, Syap.g_01640
OG0000219	Prac.g_01631	Syap.g_01642, Syap.g_01643
OG0000220	Prac.g_01630	Syap.g_01645
OG0000221	Prac.g_01629	Syap.g_01646
OG0000222	Prac.g_01621	Syap.g_01669
OG0000223	Prac.g_01608	Syap.g_02072, Syap.g_02073
OG0000224	Prac.g_01606	Syap.g_02064
OG0000225	Prac.g_01188	Syap.g_00553, Syap.g_00552
OG0000226	Prac.g_01184	Syap.g_02029, Syap.g_02144
OG0000227	Prac.g_01182	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prac.g_01179	Syap.g_00116, Syap.g_02041
OG0000229	Prac.g_01111	Syap.g_02059
OG0000230	Prac.g_01109	Syap.g_02061
OG0000231	Prac.g_01098	Syap.g_02533
OG0000232	Prac.g_01089	Syap.g_02510, Syap.g_02511
OG0000233	Prac.g_01082	Syap.g_02133
OG0000234	Prac.g_01068	Syap.g_02755
OG0000235	Prac.g_01065	Syap.g_00732, Syap.g_02258
OG0000236	Prac.g_01051	Syap.g_02238
OG0000237	Prac.g_00865	Syap.g_00262, Syap.g_00263
OG0000238	Prac.g_00859	Syap.g_00257, Syap.g_00258
OG0000239	Prac.g_00847	Syap.g_02744
OG0000240	Prac.g_00846	Syap.g_02742
OG0000241	Prac.g_00842	Syap.g_00888
OG0000242	Prac.g_00840	Syap.g_01455
OG0000243	Prac.g_00829	Syap.g_01938
OG0000244	Prac.g_00826	Syap.g_01146, Syap.g_01145
OG0000245	Prac.g_00824	Syap.g_01148
OG0000246	Prac.g_00820	Syap.g_00308
OG0000247	Prac.g_00810	Syap.g_00288, Syap.g_00293
OG0000248	Prac.g_00808	Syap.g_00290
OG0000249	Prac.g_00806	Syap.g_01296, Syap.g_01295
OG0000250	Prac.g_00801	Syap.g_01306
OG0000251	Prac.g_00782	Syap.g_00442
OG0000252	Prac.g_00778	Syap.g_01857
OG0000253	Prac.g_00777	Syap.g_00443
OG0000254	Prac.g_00760	Syap.g_01527, Syap.g_01528
OG0000256	Prac.g_00744	Syap.g_01287
OG0000257	Prac.g_00741	Syap.g_00886
OG0000258	Prac.g_00728	Syap.g_00907
OG0000260	Prac.g_00708	Syap.g_01970
OG0000261	Prac.g_00706	Syap.g_01962, Syap.g_01961
OG0000262	Prac.g_00702	Syap.g_01954
OG0000263	Prac.g_00690	Syap.g_00432, Syap.g_00433
OG0000266	Prac.g_01550	Syap.g_00519
OG0000267	Prac.g_01539	Syap.g_02333, Syap.g_02332
OG0000268	Prac.g_01538	Syap.g_00646
OG0000269	Prac.g_01480	Syap.g_00188
OG0000270	Prac.g_01477	Syap.g_00192
OG0000271	Prac.g_01469	Syap.g_00200, Syap.g_00201
OG0000272	Prac.g_01468	Syap.g_00202
OG0000273	Prac.g_01445	Syap.g_02703
OG0000274	Prac.g_01444	Syap.g_02702
OG0000275	Prac.g_01442	Syap.g_01847
OG0000276	Prac.g_01437	Syap.g_01838, Syap.g_01839
OG0000277	Prac.g_01436	Syap.g_01837
OG0000278	Prac.g_01433	Syap.g_01834
OG0000279	Prac.g_01426	Syap.g_00829, Syap.g_00830
OG0000280	Prac.g_01425	Syap.g_00365
OG0000281	Prac.g_01420	Syap.g_01977
OG0000282	Prac.g_01382	Syap.g_01252
OG0000283	Prac.g_01350	Syap.g_01728
OG0000284	Prac.g_01345	Syap.g_01736
OG0000285	Prac.g_01340	Syap.g_01746, Syap.g_01744
OG0000286	Prac.g_01328	Syap.g_02014, Syap.g_02013
OG0000288	Prac.g_01283	Syap.g_02764, Syap.g_02763
OG0000289	Prac.g_01272	Syap.g_02784
OG0000290	Prac.g_01259	Syap.g_01552
OG0000292	Prac.g_01207	Syap.g_02314
OG0000293	Prac.g_00994	Syap.g_00240
OG0000294	Prac.g_00993	Syap.g_00239
OG0000295	Prac.g_00973	Syap.g_00206
OG0000296	Prac.g_00971	Syap.g_00204
OG0000299	Prac.g_00945	Syap.g_02620
OG0000302	Prac.g_00939	Syap.g_02444, Syap.g_02445
OG0000303	Prac.g_00932	Syap.g_02435
OG0000304	Prac.g_00928	Syap.g_02430
OG0000305	Prac.g_00209	Syap.g_01557
OG0000306	Prac.g_00212	Syap.g_01966
OG0000307	Prac.g_00226	Syap.g_02517
OG0000308	Prac.g_00227	Syap.g_02514, Syap.g_02515
OG0000309	Prac.g_00231	Syap.g_02198, Syap.g_02446
OG0000310	Prac.g_00426	Syap.g_02660, Syap.g_02661
OG0000311	Prac.g_00424	Syap.g_02657
OG0000312	Prac.g_00421	Syap.g_02114
OG0000313	Prac.g_00407	Syap.g_02473
OG0000315	Prac.g_00374	Syap.g_00017
OG0000316	Prac.g_00354	Syap.g_00030
OG0000317	Prac.g_00627	Syap.g_00618
OG0000318	Prac.g_00624	Syap.g_00622, Syap.g_02786
OG0000319	Prac.g_00611	Syap.g_01764, Syap.g_01771
OG0000320	Prac.g_00609	Syap.g_01761, Syap.g_01769
OG0000321	Prac.g_00608	Syap.g_01760, Syap.g_01768
OG0000322	Prac.g_00607	Syap.g_01759, Syap.g_01767
OG0000323	Prac.g_00598	Syap.g_01389
OG0000324	Prac.g_00572	Syap.g_01503
OG0000325	Prac.g_00477	Syap.g_02680
OG0000326	Prac.g_00483	Syap.g_00544
OG0000327	Prac.g_00507	Syap.g_01233, Syap.g_01913
OG0000328	Prac.g_00508	Syap.g_01234, Syap.g_01912
OG0000329	Prac.g_00525	Syap.g_00498
OG0000330	Prac.g_00526	Syap.g_00497
OG0000331	Prac.g_00527	Syap.g_00496
OG0000332	Prac.g_00541	Syap.g_00481
OG0000333	Prac.g_00543	Syap.g_00478
OG0000334	Prac.g_00551	Syap.g_00468
OG0000335	Prac.g_00555	Syap.g_00101, Syap.g_00463
OG0000336	Prac.g_00559	Syap.g_00417, Syap.g_00607
OG0000337	Prac.g_00013	Syap.g_01054
OG0000338	Prac.g_00014	Syap.g_01059
OG0000339	Prac.g_00018	Syap.g_01068
OG0000340	Prac.g_00026	Syap.g_01077
OG0000341	Prac.g_00028	Syap.g_01079
OG0000342	Prac.g_00029	Syap.g_01080, Syap.g_02477
OG0000343	Prac.g_00030	Syap.g_01086, Syap.g_02078
OG0000344	Prac.g_00033	Syap.g_01091
OG0000345	Prac.g_00038	Syap.g_01107, Syap.g_01470
OG0000346	Prac.g_00042	Syap.g_01113
OG0000347	Prac.g_00057	Syap.g_01131, Syap.g_02459
OG0000348	Prac.g_00066	Syap.g_00632
OG0000349	Prac.g_00083	Syap.g_00110, Syap.g_01813
OG0000351	Prac.g_00118	Syap.g_02594
OG0000352	Prac.g_00119	Syap.g_02596, Syap.g_02597
OG0000353	Prac.g_01948	Syap.g_00054
OG0000355	Prac.g_01946	Syap.g_00056
OG0000356	Prac.g_01945	Syap.g_00057
OG0000357	Prac.g_01944	Syap.g_00058
OG0000358	Prac.g_01940	Syap.g_00063
OG0000359	Prac.g_01939	Syap.g_00065
OG0000360	Prac.g_01938	Syap.g_00067
OG0000361	Prac.g_01937	Syap.g_00068
OG0000362	Prac.g_01935	Syap.g_00070
OG0000363	Prac.g_01933	Syap.g_00072
OG0000364	Prac.g_01932	Syap.g_00620
OG0000365	Prac.g_01927	Syap.g_00081
OG0000366	Prac.g_01926	Syap.g_00082
OG0000367	Prac.g_01925	Syap.g_00083
OG0000368	Prac.g_01923	Syap.g_00085
OG0000369	Prac.g_01922	Syap.g_00086
OG0000370	Prac.g_01921	Syap.g_00087
OG0000372	Prac.g_01911	Syap.g_01805
OG0000373	Prac.g_01910	Syap.g_01806
OG0000374	Prac.g_01909	Syap.g_01807
OG0000375	Prac.g_01892	Syap.g_01808
OG0000376	Prac.g_01890	Syap.g_01811
OG0000377	Prac.g_01886	Syap.g_00128
OG0000378	Prac.g_01884	Syap.g_01326
OG0000380	Prac.g_01865	Syap.g_01687
OG0000381	Prac.g_01861	Syap.g_01690
OG0000382	Prac.g_01850	Syap.g_02548
OG0000383	Prac.g_01848	Syap.g_02359
OG0000384	Prac.g_01847	Syap.g_02360
OG0000385	Prac.g_01846	Syap.g_02361
OG0000386	Prac.g_01845	Syap.g_02362
OG0000387	Prac.g_01832	Syap.g_01864
OG0000391	Prac.g_01815	Syap.g_02234
OG0000392	Prac.g_01811	Syap.g_02225
OG0000393	Prac.g_01809	Syap.g_02222
OG0000394	Prac.g_01808	Syap.g_02221
OG0000395	Prac.g_01807	Syap.g_02220
OG0000396	Prac.g_01804	Syap.g_02217
OG0000397	Prac.g_01802	Syap.g_02215
OG0000398	Prac.g_01800	Syap.g_02211
OG0000399	Prac.g_01799	Syap.g_02210
OG0000400	Prac.g_01798	Syap.g_02209
OG0000401	Prac.g_01797	Syap.g_02208
OG0000402	Prac.g_01795	Syap.g_02206
OG0000403	Prac.g_01794	Syap.g_02205
OG0000404	Prac.g_01793	Syap.g_02204, Syap.g_02618
OG0000405	Prac.g_01789	Syap.g_02191
OG0000406	Prac.g_01783	Syap.g_02186
OG0000407	Prac.g_01782	Syap.g_02185
OG0000408	Prac.g_01780	Syap.g_02181, Syap.g_02182
OG0000409	Prac.g_01778	Syap.g_02179
OG0000410	Prac.g_01777	Syap.g_02178
OG0000411	Prac.g_01776	Syap.g_02177
OG0000412	Prac.g_01775	Syap.g_02176
OG0000413	Prac.g_01774	Syap.g_02174
OG0000414	Prac.g_01590, Prac.g_01773	Syap.g_02173
OG0000415	Prac.g_01772	Syap.g_02172
OG0000416	Prac.g_01771	Syap.g_02171
OG0000417	Prac.g_01770	Syap.g_02169
OG0000418	Prac.g_01765	Syap.g_01204
OG0000419	Prac.g_01763	Syap.g_01201
OG0000420	Prac.g_01762	Syap.g_01199
OG0000421	Prac.g_01757	Syap.g_01195
OG0000422	Prac.g_01756	Syap.g_01194
OG0000423	Prac.g_01755	Syap.g_01193
OG0000424	Prac.g_01754	Syap.g_01192
OG0000425	Prac.g_01753	Syap.g_01191
OG0000426	Prac.g_01752	Syap.g_01190
OG0000427	Prac.g_01751	Syap.g_01189
OG0000428	Prac.g_01749	Syap.g_01186
OG0000429	Prac.g_01748	Syap.g_01184
OG0000430	Prac.g_01747	Syap.g_01182
OG0000431	Prac.g_01745	Syap.g_01179
OG0000432	Prac.g_01742	Syap.g_02277
OG0000433	Prac.g_01741	Syap.g_02272
OG0000434	Prac.g_01740	Syap.g_02271
OG0000435	Prac.g_01739	Syap.g_02268
OG0000436	Prac.g_01734	Syap.g_01607
OG0000437	Prac.g_01733	Syap.g_01608
OG0000438	Prac.g_01732	Syap.g_01612
OG0000439	Prac.g_01730	Syap.g_01614
OG0000440	Prac.g_01729	Syap.g_01615
OG0000441	Prac.g_01726	Syap.g_01619
OG0000442	Prac.g_01725	Syap.g_01620
OG0000443	Prac.g_01724	Syap.g_01622
OG0000444	Prac.g_01719	Syap.g_01424
OG0000445	Prac.g_01718	Syap.g_01421
OG0000446	Prac.g_01717	Syap.g_01419
OG0000447	Prac.g_01716	Syap.g_01410
OG0000448	Prac.g_01715	Syap.g_01407
OG0000449	Prac.g_01714	Syap.g_01406
OG0000450	Prac.g_01713	Syap.g_01909
OG0000451	Prac.g_01712	Syap.g_01908
OG0000452	Prac.g_01709	Syap.g_01904
OG0000453	Prac.g_01708	Syap.g_01903
OG0000454	Prac.g_01707	Syap.g_01902
OG0000455	Prac.g_01706	Syap.g_01901
OG0000456	Prac.g_01705	Syap.g_01900
OG0000457	Prac.g_01704	Syap.g_01896
OG0000458	Prac.g_01703	Syap.g_01895
OG0000459	Prac.g_01702	Syap.g_01894
OG0000460	Prac.g_01695	Syap.g_01159
OG0000461	Prac.g_01688	Syap.g_01575
OG0000462	Prac.g_01686	Syap.g_01578
OG0000463	Prac.g_01685	Syap.g_01579
OG0000464	Prac.g_01684	Syap.g_01580
OG0000465	Prac.g_01683	Syap.g_01582
OG0000466	Prac.g_01680	Syap.g_01587
OG0000467	Prac.g_01679	Syap.g_01588
OG0000468	Prac.g_01678	Syap.g_01593
OG0000469	Prac.g_01669	Syap.g_02352
OG0000470	Prac.g_01667	Syap.g_02349
OG0000471	Prac.g_01666	Syap.g_02348
OG0000472	Prac.g_01665	Syap.g_02347
OG0000473	Prac.g_01663	Syap.g_02343
OG0000474	Prac.g_01662	Syap.g_02342
OG0000475	Prac.g_01661	Syap.g_02341
OG0000476	Prac.g_01660	Syap.g_02339
OG0000477	Prac.g_01656	Syap.g_01367
OG0000478	Prac.g_01655	Syap.g_01366
OG0000479	Prac.g_01654	Syap.g_01364
OG0000480	Prac.g_01649	Syap.g_01357
OG0000482	Prac.g_01646	Syap.g_01355
OG0000483	Prac.g_01643	Syap.g_01344
OG0000484	Prac.g_01642	Syap.g_01350
OG0000485	Prac.g_01641	Syap.g_01349
OG0000487	Prac.g_01636	Syap.g_01635
OG0000488	Prac.g_01633	Syap.g_01639
OG0000489	Prac.g_01628	Syap.g_02482
OG0000490	Prac.g_01623	Syap.g_01673
OG0000491	Prac.g_01622	Syap.g_01670
OG0000492	Prac.g_01620	Syap.g_01668
OG0000493	Prac.g_01619	Syap.g_01667
OG0000494	Prac.g_01618	Syap.g_01666
OG0000495	Prac.g_01617	Syap.g_01665
OG0000496	Prac.g_01616	Syap.g_01663
OG0000497	Prac.g_01615	Syap.g_01662
OG0000498	Prac.g_01614	Syap.g_01661
OG0000499	Prac.g_01613	Syap.g_01660
OG0000500	Prac.g_01612	Syap.g_01659
OG0000501	Prac.g_01610	Syap.g_01656
OG0000502	Prac.g_01607	Syap.g_02066
OG0000503	Prac.g_01200	Syap.g_00569
OG0000504	Prac.g_01199	Syap.g_00567
OG0000505	Prac.g_01198	Syap.g_00566
OG0000506	Prac.g_01196	Syap.g_00564
OG0000507	Prac.g_01193	Syap.g_00558
OG0000508	Prac.g_01189	Syap.g_00554
OG0000509	Prac.g_01187	Syap.g_00551
OG0000510	Prac.g_01186	Syap.g_00550
OG0000511	Prac.g_01185	Syap.g_00548
OG0000512	Prac.g_01183	Syap.g_02145
OG0000513	Prac.g_01176	Syap.g_02048
OG0000514	Prac.g_01116	Syap.g_02051
OG0000515	Prac.g_01115	Syap.g_02052
OG0000516	Prac.g_01114	Syap.g_02054
OG0000517	Prac.g_01112	Syap.g_02057
OG0000519	Prac.g_01100	Syap.g_00457
OG0000520	Prac.g_01099	Syap.g_00456
OG0000521	Prac.g_01094	Syap.g_01997
OG0000522	Prac.g_01092	Syap.g_01995
OG0000523	Prac.g_01091	Syap.g_02507
OG0000524	Prac.g_01084	Syap.g_02135
OG0000525	Prac.g_01081	Syap.g_02159
OG0000526	Prac.g_01080	Syap.g_02157
OG0000527	Prac.g_01071	Syap.g_02758
OG0000528	Prac.g_01066	Syap.g_02261
OG0000529	Prac.g_01063	Syap.g_02254
OG0000530	Prac.g_01060	Syap.g_02252
OG0000531	Prac.g_01059	Syap.g_02251
OG0000532	Prac.g_01057	Syap.g_02247
OG0000533	Prac.g_01056	Syap.g_02244
OG0000534	Prac.g_01055	Syap.g_02243
OG0000535	Prac.g_01054	Syap.g_02242
OG0000536	Prac.g_01053	Syap.g_02241
OG0000537	Prac.g_01052	Syap.g_02240
OG0000538	Prac.g_00871	Syap.g_00271
OG0000539	Prac.g_00870	Syap.g_00270
OG0000540	Prac.g_00869	Syap.g_00269
OG0000541	Prac.g_00868	Syap.g_00268
OG0000542	Prac.g_00866	Syap.g_00264
OG0000543	Prac.g_00864	Syap.g_00261
OG0000544	Prac.g_00863	Syap.g_00260
OG0000545	Prac.g_00861	Syap.g_00259
OG0000546	Prac.g_00858	Syap.g_00256
OG0000547	Prac.g_00857	Syap.g_00254
OG0000548	Prac.g_00856	Syap.g_00253
OG0000549	Prac.g_00854	Syap.g_00758
OG0000550	Prac.g_00849	Syap.g_02747
OG0000551	Prac.g_00845	Syap.g_02739
OG0000552	Prac.g_00844	Syap.g_02738
OG0000553	Prac.g_00843	Syap.g_02735
OG0000554	Prac.g_00838	Syap.g_01450
OG0000555	Prac.g_00830	Syap.g_01941
OG0000556	Prac.g_00828	Syap.g_01933
OG0000557	Prac.g_00827	Syap.g_01931
OG0000558	Prac.g_00825	Syap.g_01147
OG0000560	Prac.g_00818	Syap.g_00305
OG0000561	Prac.g_00817	Syap.g_00304
OG0000562	Prac.g_00816	Syap.g_00302
OG0000563	Prac.g_00815	Syap.g_00301
OG0000564	Prac.g_00814	Syap.g_00300
OG0000565	Prac.g_00811	Syap.g_00296
OG0000566	Prac.g_00809	Syap.g_00291
OG0000567	Prac.g_00805	Syap.g_01297
OG0000568	Prac.g_00804	Syap.g_01302
OG0000569	Prac.g_00803	Syap.g_01303
OG0000570	Prac.g_00802	Syap.g_01304
OG0000571	Prac.g_00800	Syap.g_01307
OG0000573	Prac.g_00780	Syap.g_00765
OG0000574	Prac.g_00779	Syap.g_00759
OG0000575	Prac.g_00775	Syap.g_00445
OG0000576	Prac.g_00772	Syap.g_00450
OG0000577	Prac.g_00771	Syap.g_00451
OG0000578	Prac.g_00770	Syap.g_00452
OG0000579	Prac.g_00769	Syap.g_00453
OG0000580	Prac.g_00768	Syap.g_00454
OG0000581	Prac.g_00766	Syap.g_01521
OG0000582	Prac.g_00763	Syap.g_01533
OG0000583	Prac.g_00762	Syap.g_01532
OG0000584	Prac.g_00761	Syap.g_01530
OG0000585	Prac.g_00759	Syap.g_01526
OG0000586	Prac.g_00758	Syap.g_01525
OG0000587	Prac.g_00757	Syap.g_01523
OG0000588	Prac.g_00753	Syap.g_00776
OG0000589	Prac.g_00750	Syap.g_00941
OG0000590	Prac.g_00749	Syap.g_00940
OG0000591	Prac.g_00746	Syap.g_01289
OG0000592	Prac.g_00745	Syap.g_01288
OG0000593	Prac.g_00739	Syap.g_00890
OG0000594	Prac.g_00738	Syap.g_00891
OG0000595	Prac.g_00737	Syap.g_00892
OG0000596	Prac.g_00733	Syap.g_00898
OG0000597	Prac.g_00731	Syap.g_00903
OG0000598	Prac.g_00730	Syap.g_00904
OG0000599	Prac.g_00727	Syap.g_00908
OG0000600	Prac.g_00726	Syap.g_00909
OG0000601	Prac.g_00725	Syap.g_00910
OG0000602	Prac.g_00723	Syap.g_00640
OG0000603	Prac.g_00722	Syap.g_00641
OG0000604	Prac.g_00721	Syap.g_02769
OG0000605	Prac.g_00720	Syap.g_02501, Syap.g_02771
