Orthogroup	Pras	Pral
OG0000053	Pras.g_01416	Pral.g_00551
OG0000054	Pras.g_01656	Pral.g_00043
OG0000055	Pras.g_01723	Pral.g_01511
OG0000056	Pras.g_00011	Pral.g_00019
OG0000057	Pras.g_01089	Pral.g_00803
OG0000058	Pras.g_01353	Pral.g_00617
OG0000059	Pras.g_01574	Pral.g_01740
OG0000060	Pras.g_01636, Pras.g_00529, Pras.g_01594	Pral.g_00445
OG0000062	Pras.g_00023	Pral.g_00078, Pral.g_00056
OG0000063	Pras.g_00150	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000065	Pras.g_00209	Pral.g_01281
OG0000066	Pras.g_00273, Pras.g_00271, Pras.g_00272, Pras.g_00330	Pral.g_00702
OG0000067	Pras.g_00166, Pras.g_00142	Pral.g_00064
OG0000068	Pras.g_00687	Pral.g_00243
OG0000069	Pras.g_00326	Pral.g_01121
OG0000070	Pras.g_00191, Pras.g_00881	Pral.g_01041
OG0000071	Pras.g_00853	Pral.g_00421
OG0000073	Pras.g_01545	Pral.g_01471
OG0000074	Pras.g_01567	Pral.g_01750
OG0000075	Pras.g_01708	Pral.g_01495
OG0000076	Pras.g_01934	Pral.g_01561
OG0000078	Pras.g_00294	Pral.g_01201
OG0000079	Pras.g_00431	Pral.g_01073
OG0000080	Pras.g_00477	Pral.g_00065
OG0000081	Pras.g_00717	Pral.g_00277
OG0000082	Pras.g_00131	Pral.g_00370
OG0000083	Pras.g_00845	Pral.g_00413
OG0000084	Pras.g_00848	Pral.g_00416
OG0000085	Pras.g_00865	Pral.g_01021
OG0000086	Pras.g_01273	Pral.g_01886
OG0000087	Pras.g_00902	Pral.g_00993
OG0000088	Pras.g_00964	Pral.g_00932
OG0000089	Pras.g_00972	Pral.g_00923
OG0000090	Pras.g_00990	Pral.g_00906
OG0000091	Pras.g_01020	Pral.g_00874
OG0000092	Pras.g_01021	Pral.g_00873
OG0000093	Pras.g_01035	Pral.g_00860
OG0000094	Pras.g_01053	Pral.g_00842
OG0000095	Pras.g_01058, Pras.g_01059	Pral.g_00837
OG0000096	Pras.g_01103	Pral.g_00788
OG0000097	Pras.g_01126	Pral.g_00765
OG0000099	Pras.g_01145	Pral.g_00744
OG0000100	Pras.g_01148	Pral.g_00741
OG0000101	Pras.g_01210	Pral.g_00674
OG0000102	Pras.g_01236	Pral.g_01034
OG0000103	Pras.g_01354	Pral.g_00616
OG0000104	Pras.g_01358	Pral.g_00611
OG0000105	Pras.g_01377	Pral.g_00591
OG0000106	Pras.g_01409	Pral.g_00558
OG0000107	Pras.g_01410	Pral.g_00557
OG0000108	Pras.g_01420	Pral.g_00547
OG0000109	Pras.g_01429	Pral.g_00538
OG0000110	Pras.g_01445	Pral.g_00520
OG0000111	Pras.g_01527	Pral.g_01452
OG0000112	Pras.g_01528	Pral.g_01453
OG0000113	Pras.g_01628	Pral.g_01705
OG0000114	Pras.g_01699	Pral.g_01486
OG0000115	Pras.g_01859	Pral.g_01627
OG0000116	Pras.g_01863	Pral.g_01623
OG0000117	Pras.g_01931	Pral.g_01564
OG0000118	Pras.g_01982	Pral.g_01316
OG0000119	Pras.g_00026	Pral.g_00075
OG0000120	Pras.g_00062	Pral.g_01373, Pral.g_01187
OG0000121	Pras.g_00081	Pral.g_01400
OG0000122	Pras.g_00101	Pral.g_01420
OG0000123	Pras.g_00114	Pral.g_00455
OG0000124	Pras.g_00122	Pral.g_01064
OG0000125	Pras.g_00221, Pras.g_00222	Pral.g_01269
OG0000126	Pras.g_00250	Pral.g_01222
OG0000127	Pras.g_00337	Pral.g_01179
OG0000128	Pras.g_00351	Pral.g_01160
OG0000129	Pras.g_00388	Pral.g_01123
OG0000130	Pras.g_00548	Pral.g_00104
OG0000131	Pras.g_00586	Pral.g_00143
OG0000132	Pras.g_00589	Pral.g_00146
OG0000133	Pras.g_00646	Pral.g_00201
OG0000134	Pras.g_00682	Pral.g_00237
OG0000135	Pras.g_00684	Pral.g_00239
OG0000136	Pras.g_00728	Pral.g_00289
OG0000137	Pras.g_00761	Pral.g_00323
OG0000138	Pras.g_00797	Pral.g_00358
OG0000139	Pras.g_00824	Pral.g_00390
OG0000140	Pras.g_00843	Pral.g_00411
OG0000141	Pras.g_00844	Pral.g_00412
OG0000142	Pras.g_00846	Pral.g_00414
OG0000143	Pras.g_00847	Pral.g_00415
OG0000144	Pras.g_00849	Pral.g_00417
OG0000145	Pras.g_00850	Pral.g_00418
OG0000146	Pras.g_00851	Pral.g_00419
OG0000147	Pras.g_00852	Pral.g_00420
OG0000148	Pras.g_00854	Pral.g_00422
OG0000149	Pras.g_00856	Pral.g_01030
OG0000150	Pras.g_00857	Pral.g_01029
OG0000151	Pras.g_00858	Pral.g_01028
OG0000152	Pras.g_00859	Pral.g_01027
OG0000153	Pras.g_00860	Pral.g_01026
OG0000154	Pras.g_00861	Pral.g_01025
OG0000155	Pras.g_00862	Pral.g_01024
OG0000156	Pras.g_00863	Pral.g_01023
OG0000157	Pras.g_00864	Pral.g_01022
OG0000158	Pras.g_00866	Pral.g_01020
OG0000159	Pras.g_00867	Pral.g_01019
OG0000160	Pras.g_00868	Pral.g_01018
OG0000161	Pras.g_00869	Pral.g_01017
OG0000162	Pras.g_00870	Pral.g_01016
OG0000163	Pras.g_00871	Pral.g_01014
OG0000164	Pras.g_00874	Pral.g_01011
OG0000165	Pras.g_00877	Pral.g_01009
OG0000166	Pras.g_00878	Pral.g_01008
OG0000167	Pras.g_00879	Pral.g_01007
OG0000168	Pras.g_00893	Pral.g_01005
OG0000169	Pras.g_00895	Pral.g_01003
OG0000170	Pras.g_00896	Pral.g_01001
OG0000171	Pras.g_00897	Pral.g_01000
OG0000172	Pras.g_00898	Pral.g_00999
OG0000173	Pras.g_00899	Pral.g_00996
OG0000174	Pras.g_00900	Pral.g_00995
OG0000175	Pras.g_00901	Pral.g_00994
OG0000176	Pras.g_00903	Pral.g_00992
OG0000177	Pras.g_00904	Pral.g_00991
OG0000178	Pras.g_00905	Pral.g_00990
OG0000179	Pras.g_00916	Pral.g_00984
OG0000180	Pras.g_00917	Pral.g_00983
OG0000181	Pras.g_00918	Pral.g_00982
OG0000182	Pras.g_00921	Pral.g_00978
OG0000183	Pras.g_00922	Pral.g_00977
OG0000184	Pras.g_00924	Pral.g_00974
OG0000185	Pras.g_00928	Pral.g_00970
OG0000186	Pras.g_00929	Pral.g_00969
OG0000187	Pras.g_00930	Pral.g_00048
OG0000188	Pras.g_00931	Pral.g_00968
OG0000189	Pras.g_00932	Pral.g_00966
OG0000190	Pras.g_00933	Pral.g_00965
OG0000191	Pras.g_00934	Pral.g_00964
OG0000192	Pras.g_00935	Pral.g_00963
OG0000193	Pras.g_00936	Pral.g_00962
OG0000194	Pras.g_00937	Pral.g_00961
OG0000195	Pras.g_00939	Pral.g_00959
OG0000196	Pras.g_00940	Pral.g_00958
OG0000197	Pras.g_00941	Pral.g_00957
OG0000198	Pras.g_00942	Pral.g_00956
OG0000199	Pras.g_00945	Pral.g_00953
OG0000200	Pras.g_00946	Pral.g_00952
OG0000201	Pras.g_00947	Pral.g_00951
OG0000202	Pras.g_00948	Pral.g_00950
OG0000203	Pras.g_00949	Pral.g_00949
OG0000204	Pras.g_00950	Pral.g_00948
OG0000205	Pras.g_00951	Pral.g_00946
OG0000206	Pras.g_00952	Pral.g_00945
OG0000207	Pras.g_00953	Pral.g_00944
OG0000208	Pras.g_00954	Pral.g_00943
OG0000209	Pras.g_00955	Pral.g_00942
OG0000210	Pras.g_00957	Pral.g_00941
OG0000211	Pras.g_00958	Pral.g_00940
OG0000212	Pras.g_00959	Pral.g_00939
OG0000213	Pras.g_00960	Pral.g_00938
OG0000214	Pras.g_00962	Pral.g_00934
OG0000215	Pras.g_00963	Pral.g_00933
OG0000216	Pras.g_00965	Pral.g_00931
OG0000217	Pras.g_00966	Pral.g_00930
OG0000218	Pras.g_00967	Pral.g_00929
OG0000219	Pras.g_00968	Pral.g_00928
OG0000220	Pras.g_00971	Pral.g_00925
OG0000221	Pras.g_00973	Pral.g_00922
OG0000222	Pras.g_00974	Pral.g_00921
OG0000223	Pras.g_00975	Pral.g_00920
OG0000224	Pras.g_00978	Pral.g_00918
OG0000225	Pras.g_00980	Pral.g_00916
OG0000226	Pras.g_00981	Pral.g_00914
OG0000227	Pras.g_00982	Pral.g_00913
OG0000228	Pras.g_00983	Pral.g_00912
OG0000229	Pras.g_00984	Pral.g_00911
OG0000230	Pras.g_00985	Pral.g_00910
OG0000231	Pras.g_00987	Pral.g_00450
OG0000232	Pras.g_00988	Pral.g_00908
OG0000233	Pras.g_00991	Pral.g_00905
OG0000234	Pras.g_00993	Pral.g_00903
OG0000235	Pras.g_00996	Pral.g_00900
OG0000236	Pras.g_00997	Pral.g_00899
OG0000237	Pras.g_00998	Pral.g_00898
OG0000238	Pras.g_00999	Pral.g_00897
OG0000239	Pras.g_01000	Pral.g_00896
OG0000240	Pras.g_01002	Pral.g_00894
OG0000241	Pras.g_01003	Pral.g_00893
OG0000242	Pras.g_01004	Pral.g_00892
OG0000243	Pras.g_01005	Pral.g_00891
OG0000244	Pras.g_01006	Pral.g_00890
OG0000245	Pras.g_01007	Pral.g_00888
OG0000246	Pras.g_01009	Pral.g_00886
OG0000247	Pras.g_01010	Pral.g_00885
OG0000248	Pras.g_01011	Pral.g_00884
OG0000249	Pras.g_01012	Pral.g_00883
OG0000250	Pras.g_01013	Pral.g_00882
OG0000251	Pras.g_01014	Pral.g_00881
OG0000252	Pras.g_01015	Pral.g_00880
OG0000253	Pras.g_01016	Pral.g_00879
OG0000254	Pras.g_01018	Pral.g_00877
OG0000255	Pras.g_01019	Pral.g_00875
OG0000256	Pras.g_01022	Pral.g_00872
OG0000257	Pras.g_01024	Pral.g_00871
OG0000258	Pras.g_01025	Pral.g_00870
OG0000259	Pras.g_01026	Pral.g_00869
OG0000260	Pras.g_01027	Pral.g_00868
OG0000261	Pras.g_01028	Pral.g_00867
OG0000262	Pras.g_01029	Pral.g_00866
OG0000263	Pras.g_01030	Pral.g_00865
OG0000264	Pras.g_01032	Pral.g_00863
OG0000265	Pras.g_01033	Pral.g_00862
OG0000266	Pras.g_01034	Pral.g_00861
OG0000267	Pras.g_01036	Pral.g_00859
OG0000268	Pras.g_01037	Pral.g_00857
OG0000269	Pras.g_01038	Pral.g_00856
OG0000270	Pras.g_01039	Pral.g_00855
OG0000271	Pras.g_01040	Pral.g_00854
OG0000272	Pras.g_01041	Pral.g_00853
OG0000273	Pras.g_01042	Pral.g_00852
OG0000274	Pras.g_01043	Pral.g_00851
OG0000275	Pras.g_01044	Pral.g_00850
OG0000276	Pras.g_01045	Pral.g_00849
OG0000277	Pras.g_01046	Pral.g_00848
OG0000278	Pras.g_01047	Pral.g_00847
OG0000279	Pras.g_01048	Pral.g_00846
OG0000280	Pras.g_01049	Pral.g_00845
OG0000281	Pras.g_01051	Pral.g_00844
OG0000282	Pras.g_01052	Pral.g_00843
OG0000283	Pras.g_01055	Pral.g_00840
OG0000284	Pras.g_01056	Pral.g_00839
OG0000285	Pras.g_01057	Pral.g_00838
OG0000286	Pras.g_01060	Pral.g_00836
OG0000287	Pras.g_01061	Pral.g_00835
OG0000288	Pras.g_01062	Pral.g_00834
OG0000289	Pras.g_01063	Pral.g_00833
OG0000290	Pras.g_01064	Pral.g_00832
OG0000291	Pras.g_01065	Pral.g_00831
OG0000292	Pras.g_01066	Pral.g_00830
OG0000293	Pras.g_01067	Pral.g_00829
OG0000294	Pras.g_01068	Pral.g_00828
OG0000295	Pras.g_01069	Pral.g_00827
OG0000296	Pras.g_01070	Pral.g_00826
OG0000297	Pras.g_01071	Pral.g_00825
OG0000298	Pras.g_01072	Pral.g_00824
OG0000299	Pras.g_01073	Pral.g_00823
OG0000300	Pras.g_01074	Pral.g_00822
OG0000301	Pras.g_01075	Pral.g_00821
OG0000302	Pras.g_01076	Pral.g_00820
OG0000303	Pras.g_01077	Pral.g_00819
OG0000304	Pras.g_01078	Pral.g_00817
OG0000305	Pras.g_01079	Pral.g_00816
OG0000306	Pras.g_01080	Pral.g_00815
OG0000307	Pras.g_01081	Pral.g_00812
OG0000308	Pras.g_01082	Pral.g_00811
OG0000309	Pras.g_01083	Pral.g_00810
OG0000310	Pras.g_01084	Pral.g_00809
OG0000311	Pras.g_01085	Pral.g_00807
OG0000312	Pras.g_01087	Pral.g_00805
OG0000313	Pras.g_01088	Pral.g_00804
OG0000314	Pras.g_01091	Pral.g_00800
OG0000315	Pras.g_01092	Pral.g_00799
OG0000316	Pras.g_01094	Pral.g_00796
OG0000317	Pras.g_01096	Pral.g_00795
OG0000318	Pras.g_01097	Pral.g_00794
OG0000319	Pras.g_01098	Pral.g_00793
OG0000320	Pras.g_01099	Pral.g_00792
OG0000321	Pras.g_01102	Pral.g_00789
OG0000322	Pras.g_01105	Pral.g_00785
OG0000323	Pras.g_01106	Pral.g_00784
OG0000324	Pras.g_01109	Pral.g_00781
OG0000325	Pras.g_01111	Pral.g_00780
OG0000326	Pras.g_01112	Pral.g_00779
OG0000327	Pras.g_01114	Pral.g_00777
OG0000328	Pras.g_01115	Pral.g_00776
OG0000329	Pras.g_01116	Pral.g_00775
OG0000330	Pras.g_01117	Pral.g_00774
OG0000331	Pras.g_01118	Pral.g_00773
OG0000332	Pras.g_01119	Pral.g_00772
OG0000333	Pras.g_01120	Pral.g_00771
OG0000334	Pras.g_01121	Pral.g_00770
OG0000335	Pras.g_01122	Pral.g_00769
OG0000336	Pras.g_01123	Pral.g_00767
OG0000337	Pras.g_01127	Pral.g_00764
OG0000338	Pras.g_01128	Pral.g_00763
OG0000339	Pras.g_01129	Pral.g_00762
OG0000340	Pras.g_01130	Pral.g_00761
OG0000341	Pras.g_01134	Pral.g_00756
OG0000342	Pras.g_01135	Pral.g_00755
OG0000343	Pras.g_01137	Pral.g_00753
OG0000344	Pras.g_01138	Pral.g_00752
OG0000345	Pras.g_01139	Pral.g_00751
OG0000346	Pras.g_01140	Pral.g_00750
OG0000347	Pras.g_01141	Pral.g_00749
OG0000348	Pras.g_01142	Pral.g_00748
OG0000349	Pras.g_01143	Pral.g_00747
OG0000350	Pras.g_01144	Pral.g_00746
OG0000351	Pras.g_01146	Pral.g_00743
OG0000352	Pras.g_01149	Pral.g_00740
OG0000353	Pras.g_01150	Pral.g_00739
OG0000354	Pras.g_01151	Pral.g_00738
OG0000355	Pras.g_01152	Pral.g_00737
OG0000356	Pras.g_01153	Pral.g_00736
OG0000357	Pras.g_01155	Pral.g_00735
OG0000358	Pras.g_01156	Pral.g_00734
OG0000359	Pras.g_01157	Pral.g_00733
OG0000360	Pras.g_01160	Pral.g_00731
OG0000361	Pras.g_01161	Pral.g_00730
OG0000362	Pras.g_01162	Pral.g_00729
OG0000363	Pras.g_01163	Pral.g_00728
OG0000364	Pras.g_01164	Pral.g_00727
OG0000365	Pras.g_01165	Pral.g_00726
OG0000366	Pras.g_01166	Pral.g_00725
OG0000367	Pras.g_01167	Pral.g_00724
OG0000368	Pras.g_01168	Pral.g_00723
OG0000369	Pras.g_01169	Pral.g_00722
OG0000370	Pras.g_01170	Pral.g_00721
OG0000371	Pras.g_01171	Pral.g_00720
OG0000372	Pras.g_01173	Pral.g_00718
OG0000373	Pras.g_01175	Pral.g_00716
OG0000374	Pras.g_01176	Pral.g_00715
OG0000375	Pras.g_01177	Pral.g_00714
OG0000376	Pras.g_01179	Pral.g_00712
OG0000377	Pras.g_01180	Pral.g_00706
OG0000378	Pras.g_01181	Pral.g_00705
OG0000379	Pras.g_01187	Pral.g_00698
OG0000380	Pras.g_01188	Pral.g_00696
OG0000381	Pras.g_01189	Pral.g_00695
OG0000382	Pras.g_01191	Pral.g_00694
OG0000383	Pras.g_01194	Pral.g_00691
OG0000384	Pras.g_01195	Pral.g_00690
OG0000385	Pras.g_01198	Pral.g_00687
OG0000386	Pras.g_01199	Pral.g_00686
OG0000387	Pras.g_01200	Pral.g_00685
OG0000388	Pras.g_01201	Pral.g_00684
OG0000389	Pras.g_01202	Pral.g_00683
OG0000390	Pras.g_01203	Pral.g_00682
OG0000391	Pras.g_01204	Pral.g_00681
OG0000392	Pras.g_01205	Pral.g_00680
OG0000393	Pras.g_01208	Pral.g_00677
OG0000394	Pras.g_01209	Pral.g_00676
OG0000395	Pras.g_01211	Pral.g_00673
OG0000396	Pras.g_01212	Pral.g_01541
OG0000397	Pras.g_01224	Pral.g_01322
OG0000398	Pras.g_01232	Pral.g_01039
OG0000399	Pras.g_01233	Pral.g_01840
OG0000400	Pras.g_01239	Pral.g_00171
OG0000401	Pras.g_01309	Pral.g_00663
OG0000402	Pras.g_01310	Pral.g_00662
OG0000403	Pras.g_01311	Pral.g_00661
OG0000404	Pras.g_01313	Pral.g_00659
OG0000405	Pras.g_01314	Pral.g_00658
OG0000406	Pras.g_01316	Pral.g_00656
OG0000407	Pras.g_01317	Pral.g_00655
OG0000408	Pras.g_01318	Pral.g_00654
OG0000409	Pras.g_01319	Pral.g_00653
OG0000410	Pras.g_01320	Pral.g_00651
OG0000411	Pras.g_01321	Pral.g_00650
OG0000412	Pras.g_01322	Pral.g_00649
OG0000413	Pras.g_01323	Pral.g_00648
OG0000414	Pras.g_01324	Pral.g_00647
OG0000415	Pras.g_01325	Pral.g_00646
OG0000416	Pras.g_01326	Pral.g_00645
OG0000417	Pras.g_01327	Pral.g_00644
OG0000418	Pras.g_01328	Pral.g_00643
OG0000419	Pras.g_01329	Pral.g_00642
OG0000420	Pras.g_01330	Pral.g_00641
OG0000421	Pras.g_01331	Pral.g_00635
OG0000422	Pras.g_01332	Pral.g_00633
OG0000423	Pras.g_01333	Pral.g_00632
OG0000424	Pras.g_01335	Pral.g_00631
OG0000425	Pras.g_01339	Pral.g_00627
OG0000426	Pras.g_01340	Pral.g_00626
OG0000427	Pras.g_01341	Pral.g_00625
OG0000428	Pras.g_01342	Pral.g_00623
OG0000429	Pras.g_01343	Pral.g_00622
OG0000430	Pras.g_01349	Pral.g_00621
OG0000431	Pras.g_01351	Pral.g_00619
OG0000432	Pras.g_01352	Pral.g_00618
OG0000433	Pras.g_01355	Pral.g_00615
OG0000434	Pras.g_01356	Pral.g_00613
OG0000435	Pras.g_01357	Pral.g_00612
OG0000436	Pras.g_01359	Pral.g_00610
OG0000437	Pras.g_01361	Pral.g_00608
OG0000438	Pras.g_01362	Pral.g_00607
OG0000439	Pras.g_01363	Pral.g_00606
OG0000440	Pras.g_01365	Pral.g_00603
OG0000441	Pras.g_01366	Pral.g_00602
OG0000442	Pras.g_01367	Pral.g_00601
OG0000443	Pras.g_01368	Pral.g_00600
OG0000444	Pras.g_01369	Pral.g_00599
OG0000445	Pras.g_01370	Pral.g_00598
OG0000446	Pras.g_01371	Pral.g_00597
OG0000447	Pras.g_01372	Pral.g_00596
OG0000448	Pras.g_01373	Pral.g_00595
OG0000449	Pras.g_01378	Pral.g_00590
OG0000450	Pras.g_01379	Pral.g_00589
OG0000451	Pras.g_01380	Pral.g_00588
OG0000452	Pras.g_01381	Pral.g_00587
OG0000453	Pras.g_01383	Pral.g_00585
OG0000454	Pras.g_01384	Pral.g_00584
OG0000455	Pras.g_01385	Pral.g_00583
OG0000456	Pras.g_01386	Pral.g_00582
OG0000457	Pras.g_01388	Pral.g_00580
OG0000458	Pras.g_01390	Pral.g_00578
OG0000459	Pras.g_01391	Pral.g_00577
OG0000460	Pras.g_01393	Pral.g_00575
OG0000461	Pras.g_01394	Pral.g_00574
OG0000462	Pras.g_01395	Pral.g_00573
OG0000463	Pras.g_01396	Pral.g_00571
OG0000464	Pras.g_01401	Pral.g_00566
OG0000465	Pras.g_01402	Pral.g_00565
OG0000466	Pras.g_01403	Pral.g_00564
OG0000467	Pras.g_01404	Pral.g_00563
OG0000468	Pras.g_01405	Pral.g_00562
OG0000469	Pras.g_01406	Pral.g_00561
OG0000470	Pras.g_01407	Pral.g_00560
OG0000471	Pras.g_01408	Pral.g_00559
OG0000472	Pras.g_01411	Pral.g_00556
OG0000473	Pras.g_01412	Pral.g_00555
OG0000474	Pras.g_01413	Pral.g_00554
OG0000475	Pras.g_01414	Pral.g_00553
OG0000476	Pras.g_01415	Pral.g_00552
OG0000477	Pras.g_01417	Pral.g_00550
OG0000478	Pras.g_01418	Pral.g_00549
OG0000479	Pras.g_01419	Pral.g_00548
OG0000480	Pras.g_01421	Pral.g_00546
OG0000481	Pras.g_01422	Pral.g_00545
OG0000482	Pras.g_01423	Pral.g_00544
OG0000483	Pras.g_01424	Pral.g_00543
OG0000484	Pras.g_01425	Pral.g_00542
OG0000485	Pras.g_01426	Pral.g_00541
OG0000486	Pras.g_01427	Pral.g_00540
OG0000487	Pras.g_01428	Pral.g_00539
OG0000488	Pras.g_01430	Pral.g_00537
OG0000489	Pras.g_01431	Pral.g_00536
OG0000490	Pras.g_01432	Pral.g_00535
OG0000491	Pras.g_01433	Pral.g_00534
OG0000492	Pras.g_01434	Pral.g_00533
OG0000493	Pras.g_01435	Pral.g_00532
OG0000494	Pras.g_01437	Pral.g_00530
OG0000495	Pras.g_01438	Pral.g_00529
OG0000496	Pras.g_01439	Pral.g_00527
OG0000497	Pras.g_01440	Pral.g_00525
OG0000498	Pras.g_01441	Pral.g_00524
OG0000499	Pras.g_01443	Pral.g_00522
OG0000500	Pras.g_01444	Pral.g_00521
OG0000501	Pras.g_01446	Pral.g_00519
OG0000502	Pras.g_01447	Pral.g_00518
OG0000503	Pras.g_01448	Pral.g_00516
OG0000504	Pras.g_01449	Pral.g_00515
OG0000505	Pras.g_01450	Pral.g_00514
OG0000506	Pras.g_01451	Pral.g_00513
OG0000507	Pras.g_01452	Pral.g_00512
OG0000508	Pras.g_01454	Pral.g_00510
OG0000509	Pras.g_01455	Pral.g_00509
OG0000510	Pras.g_01456	Pral.g_00508
OG0000511	Pras.g_01457	Pral.g_00507
OG0000512	Pras.g_01459	Pral.g_00506
OG0000513	Pras.g_01460	Pral.g_00505
OG0000514	Pras.g_01461	Pral.g_00504
OG0000515	Pras.g_01463	Pral.g_00503
OG0000516	Pras.g_01464	Pral.g_00502
OG0000517	Pras.g_01465	Pral.g_00501
OG0000518	Pras.g_01467	Pral.g_00498
OG0000519	Pras.g_01468	Pral.g_00497
OG0000520	Pras.g_01469	Pral.g_00496
OG0000521	Pras.g_01470	Pral.g_00495
OG0000522	Pras.g_01471	Pral.g_00494
OG0000523	Pras.g_01472	Pral.g_00493
OG0000524	Pras.g_01473	Pral.g_00492
OG0000525	Pras.g_01475	Pral.g_00490
OG0000526	Pras.g_01476	Pral.g_00489
OG0000527	Pras.g_01477	Pral.g_00488
OG0000528	Pras.g_01478	Pral.g_00487
OG0000529	Pras.g_01479	Pral.g_00486
OG0000530	Pras.g_01480	Pral.g_00485
OG0000531	Pras.g_01481	Pral.g_00483
OG0000532	Pras.g_01482	Pral.g_00482
OG0000533	Pras.g_01483	Pral.g_00481
OG0000534	Pras.g_01484	Pral.g_00480
OG0000535	Pras.g_01485	Pral.g_00479
OG0000536	Pras.g_01486	Pral.g_00478
OG0000537	Pras.g_01487	Pral.g_00477
OG0000538	Pras.g_01488	Pral.g_00476
OG0000539	Pras.g_01489	Pral.g_00475
OG0000540	Pras.g_01490	Pral.g_00474
OG0000541	Pras.g_01491	Pral.g_00472
OG0000542	Pras.g_01492	Pral.g_00471
OG0000543	Pras.g_01493	Pral.g_00470
OG0000544	Pras.g_01494	Pral.g_00469
OG0000545	Pras.g_01497	Pral.g_00466
OG0000546	Pras.g_01498	Pral.g_00465
OG0000547	Pras.g_01500	Pral.g_00464
OG0000548	Pras.g_01501	Pral.g_00462
OG0000549	Pras.g_01502	Pral.g_00461
OG0000550	Pras.g_01503	Pral.g_00460
OG0000551	Pras.g_01504	Pral.g_00459
OG0000552	Pras.g_01505	Pral.g_00458
OG0000553	Pras.g_01506	Pral.g_01430
OG0000554	Pras.g_01507	Pral.g_01432
OG0000555	Pras.g_01508	Pral.g_01433
OG0000556	Pras.g_01509	Pral.g_01434
OG0000557	Pras.g_01510	Pral.g_01435
OG0000558	Pras.g_01511	Pral.g_01436
OG0000559	Pras.g_01512	Pral.g_01437
OG0000560	Pras.g_01514	Pral.g_01439
OG0000561	Pras.g_01515	Pral.g_01440
OG0000562	Pras.g_01516	Pral.g_01441
OG0000563	Pras.g_01517	Pral.g_01442
OG0000564	Pras.g_01518	Pral.g_01443
OG0000565	Pras.g_01519	Pral.g_01444
OG0000566	Pras.g_01520	Pral.g_01445
OG0000567	Pras.g_01521	Pral.g_01446
OG0000568	Pras.g_01522	Pral.g_01447
OG0000569	Pras.g_01523	Pral.g_01448
OG0000570	Pras.g_01524	Pral.g_01449
OG0000571	Pras.g_01525	Pral.g_01450
OG0000572	Pras.g_01526	Pral.g_01451
OG0000573	Pras.g_01529	Pral.g_01454
OG0000574	Pras.g_01530	Pral.g_01455
OG0000575	Pras.g_01531	Pral.g_01456
OG0000576	Pras.g_01532	Pral.g_01457
OG0000577	Pras.g_01533	Pral.g_01458
OG0000578	Pras.g_01534	Pral.g_01459
OG0000579	Pras.g_01535	Pral.g_01460
OG0000580	Pras.g_01536	Pral.g_01461
OG0000581	Pras.g_01537	Pral.g_01462
