Orthogroup	Pras	Syas
OG0000170	Pras.g_00739	Syas.g_02161
OG0000171	Pras.g_00758	Syas.g_02139
OG0000172	Pras.g_00768	Syas.g_02110
OG0000173	Pras.g_00783	Syas.g_02092
OG0000174	Pras.g_00811, Pras.g_00810	Syas.g_01940
OG0000175	Pras.g_00821	Syas.g_01994
OG0000176	Pras.g_00846	Syas.g_02038
OG0000177	Pras.g_00847	Syas.g_02039
OG0000178	Pras.g_00848	Syas.g_02040
OG0000179	Pras.g_00858	Syas.g_02054
OG0000180	Pras.g_00859	Syas.g_02055
OG0000181	Pras.g_00860	Syas.g_02056
OG0000182	Pras.g_00861	Syas.g_02057
OG0000183	Pras.g_00865	Syas.g_02061
OG0000184	Pras.g_00899	Syas.g_01872
OG0000185	Pras.g_00902	Syas.g_01861
OG0000186	Pras.g_00916	Syas.g_02525
OG0000187	Pras.g_00917	Syas.g_02524
OG0000188	Pras.g_00933	Syas.g_02502
OG0000189	Pras.g_00947	Syas.g_02432
OG0000190	Pras.g_00948	Syas.g_00133
OG0000191	Pras.g_00968	Syas.g_02400
OG0000192	Pras.g_00972	Syas.g_02395
OG0000193	Pras.g_00997	Syas.g_02366
OG0000194	Pras.g_01000	Syas.g_02363
OG0000195	Pras.g_01002	Syas.g_02360
OG0000196	Pras.g_01012	Syas.g_02337
OG0000197	Pras.g_01013	Syas.g_02336
OG0000198	Pras.g_01014	Syas.g_02335
OG0000199	Pras.g_01021	Syas.g_02327
OG0000200	Pras.g_01035	Syas.g_02298
OG0000201	Pras.g_01043	Syas.g_02279
OG0000202	Pras.g_01044	Syas.g_02278
OG0000203	Pras.g_01045	Syas.g_02277
OG0000204	Pras.g_01046	Syas.g_02276
OG0000205	Pras.g_01053	Syas.g_02267
OG0000206	Pras.g_01058, Pras.g_01059	Syas.g_02240
OG0000207	Pras.g_01061	Syas.g_02237
OG0000208	Pras.g_01062	Syas.g_02236
OG0000209	Pras.g_01071	Syas.g_01837
OG0000210	Pras.g_01072	Syas.g_01838
OG0000211	Pras.g_01085	Syas.g_02552
OG0000212	Pras.g_01092	Syas.g_02562
OG0000213	Pras.g_01109	Syas.g_01707
OG0000214	Pras.g_01119	Syas.g_01730
OG0000215	Pras.g_01144	Syas.g_01766
OG0000216	Pras.g_01145	Syas.g_01770
OG0000217	Pras.g_01148	Syas.g_01778
OG0000218	Pras.g_01150	Syas.g_01780
OG0000219	Pras.g_01151	Syas.g_01783
OG0000220	Pras.g_01152	Syas.g_01784
OG0000221	Pras.g_01153	Syas.g_01785
OG0000222	Pras.g_01162	Syas.g_01804
OG0000223	Pras.g_01175	Syas.g_02221
OG0000224	Pras.g_01177	Syas.g_02215
OG0000225	Pras.g_01199	Syas.g_01522
OG0000226	Pras.g_01203	Syas.g_01518
OG0000227	Pras.g_01205	Syas.g_01516
OG0000228	Pras.g_01208	Syas.g_01513
OG0000229	Pras.g_01314	Syas.g_01497
OG0000230	Pras.g_01316	Syas.g_01495
OG0000231	Pras.g_01327	Syas.g_02749
OG0000232	Pras.g_01335	Syas.g_01276
OG0000233	Pras.g_01341	Syas.g_01352
OG0000234	Pras.g_01354	Syas.g_01331
OG0000235	Pras.g_01357	Syas.g_01254
OG0000236	Pras.g_01371	Syas.g_01237
OG0000237	Pras.g_01384	Syas.g_01220
OG0000238	Pras.g_01390	Syas.g_01215
OG0000239	Pras.g_01402	Syas.g_00012
OG0000240	Pras.g_01403	Syas.g_00013
OG0000241	Pras.g_01407	Syas.g_00754
OG0000242	Pras.g_01409	Syas.g_00059
OG0000243	Pras.g_01420	Syas.g_00777
OG0000244	Pras.g_01423	Syas.g_00784
OG0000245	Pras.g_01425	Syas.g_00786
OG0000246	Pras.g_01429	Syas.g_00790
OG0000247	Pras.g_01439	Syas.g_00802
OG0000248	Pras.g_01441	Syas.g_00805
OG0000249	Pras.g_01443	Syas.g_00807
OG0000250	Pras.g_01448	Syas.g_00814
OG0000251	Pras.g_01467	Syas.g_00845
OG0000252	Pras.g_01470	Syas.g_00950
OG0000253	Pras.g_01471	Syas.g_00846
OG0000254	Pras.g_01487	Syas.g_00869
OG0000255	Pras.g_01493	Syas.g_00132, Syas.g_01062
OG0000256	Pras.g_01503	Syas.g_00104
OG0000257	Pras.g_01506	Syas.g_00757
OG0000258	Pras.g_01519	Syas.g_00733
OG0000259	Pras.g_01536	Syas.g_01006, Syas.g_00708
OG0000260	Pras.g_01539	Syas.g_00705
OG0000261	Pras.g_01541	Syas.g_00701
OG0000262	Pras.g_00327, Pras.g_01545	Syas.g_00695
OG0000263	Pras.g_01557	Syas.g_01103
OG0000264	Pras.g_01567	Syas.g_02588
OG0000266	Pras.g_01616	Syas.g_00186
OG0000267	Pras.g_01627	Syas.g_00377
OG0000268	Pras.g_01628	Syas.g_00390
OG0000269	Pras.g_01696	Syas.g_00601
OG0000270	Pras.g_01699	Syas.g_00598
OG0000271	Pras.g_01707	Syas.g_00590
OG0000272	Pras.g_01708	Syas.g_00589
OG0000273	Pras.g_01731	Syas.g_00563
OG0000274	Pras.g_01732	Syas.g_00562
OG0000275	Pras.g_01734	Syas.g_00230
OG0000276	Pras.g_01739	Syas.g_00237
OG0000277	Pras.g_01740	Syas.g_00238
OG0000278	Pras.g_01743	Syas.g_00241
OG0000279	Pras.g_01750	Syas.g_00288
OG0000280	Pras.g_01751	Syas.g_00889, Syas.g_00481
OG0000281	Pras.g_01756	Syas.g_00970
OG0000282	Pras.g_01803	Syas.g_00672
OG0000283	Pras.g_01836	Syas.g_00409
OG0000284	Pras.g_01841	Syas.g_00416
OG0000285	Pras.g_01846	Syas.g_00436
OG0000286	Pras.g_01858	Syas.g_00460
OG0000287	Pras.g_01875	Syas.g_00534
OG0000288	Pras.g_01907	Syas.g_00220
OG0000289	Pras.g_01918	Syas.g_00205
OG0000290	Pras.g_01931	Syas.g_01016
OG0000291	Pras.g_01933	Syas.g_01018
OG0000292	Pras.g_01982	Syas.g_02020
OG0000293	Pras.g_00047	Syas.g_01197
OG0000294	Pras.g_00048	Syas.g_01196
OG0000295	Pras.g_00068	Syas.g_01139
OG0000296	Pras.g_00070	Syas.g_01137
OG0000297	Pras.g_00078	Syas.g_01124
OG0000298	Pras.g_00079	Syas.g_01123
OG0000299	Pras.g_00096, Pras.g_00097	Syas.g_01087
OG0000300	Pras.g_00100	Syas.g_01082
OG0000301	Pras.g_00101	Syas.g_01081
OG0000302	Pras.g_00103	Syas.g_01080
OG0000303	Pras.g_00110	Syas.g_01071
OG0000304	Pras.g_00114	Syas.g_01066
OG0000305	Pras.g_00242	Syas.g_01023
OG0000306	Pras.g_00245	Syas.g_01929
OG0000307	Pras.g_00259	Syas.g_01270
OG0000308	Pras.g_00260	Syas.g_01272
OG0000309	Pras.g_00264	Syas.g_01364
OG0000310	Pras.g_00335	Syas.g_02796
OG0000311	Pras.g_00337	Syas.g_02799
OG0000312	Pras.g_00340	Syas.g_02804
OG0000313	Pras.g_00354	Syas.g_02823
OG0000314	Pras.g_00377	Syas.g_01296
OG0000315	Pras.g_00388	Syas.g_01306
OG0000316	Pras.g_00410	Syas.g_02728
OG0000317	Pras.g_00548	Syas.g_02687
OG0000318	Pras.g_00551	Syas.g_02680
OG0000319	Pras.g_00564	Syas.g_02663
OG0000320	Pras.g_00566	Syas.g_02661
OG0000321	Pras.g_00567	Syas.g_02660
OG0000322	Pras.g_00568	Syas.g_02659
OG0000323	Pras.g_00577	Syas.g_02646, Syas.g_00159
OG0000324	Pras.g_00604	Syas.g_02578
OG0000325	Pras.g_00614	Syas.g_01668
OG0000326	Pras.g_00620	Syas.g_01661
OG0000327	Pras.g_00646	Syas.g_01634
OG0000328	Pras.g_00647	Syas.g_01633
OG0000329	Pras.g_00664	Syas.g_01615
OG0000330	Pras.g_00665	Syas.g_01614
OG0000331	Pras.g_00666	Syas.g_01613
OG0000332	Pras.g_00680	Syas.g_01598
OG0000333	Pras.g_00682	Syas.g_01595
OG0000334	Pras.g_00690	Syas.g_01586
OG0000335	Pras.g_00695	Syas.g_01581
OG0000336	Pras.g_00699	Syas.g_01577
OG0000337	Pras.g_00715	Syas.g_02211
OG0000338	Pras.g_00716	Syas.g_02199
OG0000339	Pras.g_00720	Syas.g_02192
OG0000340	Pras.g_00728	Syas.g_02183
OG0000341	Pras.g_00730	Syas.g_02181
OG0000342	Pras.g_00731	Syas.g_02180
OG0000343	Pras.g_00732	Syas.g_02176
OG0000344	Pras.g_00735	Syas.g_02172
OG0000345	Pras.g_00740	Syas.g_02160
OG0000346	Pras.g_00744	Syas.g_02155
OG0000347	Pras.g_00761	Syas.g_02136
OG0000348	Pras.g_00771	Syas.g_02107
OG0000349	Pras.g_00788	Syas.g_02085
OG0000350	Pras.g_00806, Pras.g_00131	Syas.g_01654
OG0000351	Pras.g_00824	Syas.g_01998
OG0000352	Pras.g_00825	Syas.g_01999
OG0000353	Pras.g_00841	Syas.g_02033
OG0000355	Pras.g_00843	Syas.g_02035
OG0000356	Pras.g_00844	Syas.g_02036
OG0000357	Pras.g_00845	Syas.g_02037
OG0000358	Pras.g_00849	Syas.g_02041
OG0000359	Pras.g_00850	Syas.g_02043
OG0000360	Pras.g_00851	Syas.g_02044
OG0000361	Pras.g_00852	Syas.g_02045
OG0000362	Pras.g_00854	Syas.g_02047
OG0000363	Pras.g_00856	Syas.g_02049
OG0000364	Pras.g_00857	Syas.g_02685
OG0000365	Pras.g_00862	Syas.g_02058
OG0000366	Pras.g_00863	Syas.g_02059
OG0000368	Pras.g_00866	Syas.g_02062
OG0000369	Pras.g_00867	Syas.g_02063
OG0000370	Pras.g_00868	Syas.g_02064
OG0000371	Pras.g_00874	Syas.g_02073
OG0000372	Pras.g_00877	Syas.g_02078
OG0000373	Pras.g_00878	Syas.g_02079
OG0000374	Pras.g_00879	Syas.g_02080
OG0000375	Pras.g_00893	Syas.g_02081
OG0000376	Pras.g_00895	Syas.g_02083
OG0000377	Pras.g_00898	Syas.g_01879
OG0000378	Pras.g_00900	Syas.g_01867
OG0000379	Pras.g_00903	Syas.g_01859
OG0000380	Pras.g_00918	Syas.g_02523
OG0000381	Pras.g_00922	Syas.g_02521
OG0000382	Pras.g_00932	Syas.g_02503
OG0000383	Pras.g_00934	Syas.g_02480
OG0000384	Pras.g_00935	Syas.g_02479
OG0000385	Pras.g_00936	Syas.g_02478
OG0000386	Pras.g_00937	Syas.g_02477
OG0000387	Pras.g_00950	Syas.g_00134
OG0000388	Pras.g_00953	Syas.g_02426
OG0000389	Pras.g_00957	Syas.g_02422
OG0000390	Pras.g_00964	Syas.g_02406
OG0000391	Pras.g_00967	Syas.g_02401
OG0000392	Pras.g_00971	Syas.g_02396
OG0000393	Pras.g_00973	Syas.g_02394
OG0000394	Pras.g_00974	Syas.g_02393
OG0000395	Pras.g_00975	Syas.g_02392
OG0000396	Pras.g_00978	Syas.g_02389
OG0000397	Pras.g_00980	Syas.g_02387
OG0000398	Pras.g_00982	Syas.g_02382
OG0000399	Pras.g_00983	Syas.g_02381
OG0000400	Pras.g_00984	Syas.g_02380
OG0000401	Pras.g_00985	Syas.g_02379
OG0000402	Pras.g_00987	Syas.g_02377
OG0000403	Pras.g_00988	Syas.g_02376
OG0000404	Pras.g_00989	Syas.g_02375
OG0000405	Pras.g_00993	Syas.g_02369
OG0000406	Pras.g_00998	Syas.g_02365
OG0000407	Pras.g_00999	Syas.g_02364
OG0000408	Pras.g_01001	Syas.g_02361
OG0000409	Pras.g_01003	Syas.g_02359
OG0000410	Pras.g_01004	Syas.g_02358
OG0000411	Pras.g_01005	Syas.g_02357
OG0000412	Pras.g_01006	Syas.g_02356
OG0000413	Pras.g_01007	Syas.g_02354
OG0000414	Pras.g_01008	Syas.g_02353
OG0000415	Pras.g_01009	Syas.g_02352
OG0000416	Pras.g_01010	Syas.g_02351
OG0000417	Pras.g_01011	Syas.g_02338
OG0000418	Pras.g_01016	Syas.g_02333
OG0000419	Pras.g_01018	Syas.g_02331
OG0000420	Pras.g_01019	Syas.g_02329
OG0000421	Pras.g_01024	Syas.g_02324
OG0000422	Pras.g_01025	Syas.g_02323
OG0000423	Pras.g_01026	Syas.g_02322
OG0000424	Pras.g_01027	Syas.g_02321
OG0000425	Pras.g_01028	Syas.g_02320
OG0000426	Pras.g_01029	Syas.g_02319
OG0000427	Pras.g_01030	Syas.g_02318
OG0000428	Pras.g_01032	Syas.g_02315
OG0000429	Pras.g_01033	Syas.g_02312
OG0000430	Pras.g_01034	Syas.g_02311
OG0000431	Pras.g_01036	Syas.g_02296
OG0000432	Pras.g_01039	Syas.g_02288
OG0000433	Pras.g_01040	Syas.g_02286
OG0000434	Pras.g_01041	Syas.g_02285
OG0000435	Pras.g_01042	Syas.g_02282
OG0000436	Pras.g_01047	Syas.g_02273
OG0000437	Pras.g_01048	Syas.g_02272
OG0000438	Pras.g_01049	Syas.g_02271
OG0000439	Pras.g_01051	Syas.g_02269
OG0000440	Pras.g_01052	Syas.g_02268
OG0000441	Pras.g_01055	Syas.g_02265
OG0000442	Pras.g_01056	Syas.g_02259
OG0000443	Pras.g_01057	Syas.g_02241
OG0000444	Pras.g_01063	Syas.g_02234
OG0000445	Pras.g_01064	Syas.g_02233
OG0000446	Pras.g_01065	Syas.g_02231
OG0000447	Pras.g_01066	Syas.g_02229
OG0000448	Pras.g_01067	Syas.g_02228
OG0000449	Pras.g_01068	Syas.g_02226
OG0000450	Pras.g_01069	Syas.g_01834
OG0000451	Pras.g_01070	Syas.g_01835
OG0000452	Pras.g_01073	Syas.g_01844
OG0000453	Pras.g_01074	Syas.g_01845
OG0000454	Pras.g_01075	Syas.g_01846
OG0000455	Pras.g_01076	Syas.g_01847
OG0000456	Pras.g_01077	Syas.g_01848
OG0000457	Pras.g_01078	Syas.g_01850
OG0000458	Pras.g_01079	Syas.g_01851
OG0000459	Pras.g_01080	Syas.g_01852
OG0000460	Pras.g_01087	Syas.g_02554
OG0000461	Pras.g_01094	Syas.g_01686
OG0000462	Pras.g_01096	Syas.g_01688
OG0000463	Pras.g_01097	Syas.g_01689
OG0000464	Pras.g_01098	Syas.g_01690
OG0000465	Pras.g_01099	Syas.g_01692
OG0000466	Pras.g_01102	Syas.g_01697
OG0000467	Pras.g_01103	Syas.g_01698
OG0000468	Pras.g_01105	Syas.g_01703
OG0000469	Pras.g_01114	Syas.g_01725
OG0000470	Pras.g_01116	Syas.g_01727
OG0000471	Pras.g_01117	Syas.g_01728
OG0000472	Pras.g_01118	Syas.g_01729
OG0000473	Pras.g_01120	Syas.g_01731
OG0000474	Pras.g_01121	Syas.g_01732
OG0000475	Pras.g_01122	Syas.g_01733
OG0000476	Pras.g_01123	Syas.g_01735
OG0000477	Pras.g_01127	Syas.g_01740
OG0000478	Pras.g_01128	Syas.g_01741
OG0000479	Pras.g_01129	Syas.g_01749
OG0000480	Pras.g_01134	Syas.g_01756
OG0000481	Pras.g_01136	Syas.g_00161, Syas.g_00162
OG0000482	Pras.g_01137	Syas.g_01758
OG0000483	Pras.g_01140	Syas.g_01762
OG0000484	Pras.g_01141	Syas.g_01763
OG0000485	Pras.g_01142	Syas.g_01764
OG0000486	Pras.g_01143	Syas.g_01765
OG0000487	Pras.g_01146	Syas.g_01771
OG0000488	Pras.g_01149	Syas.g_01779
OG0000489	Pras.g_01155	Syas.g_01823
OG0000490	Pras.g_01160	Syas.g_01808
OG0000491	Pras.g_01161	Syas.g_01806
OG0000492	Pras.g_01163	Syas.g_01803
OG0000493	Pras.g_01164	Syas.g_01802
OG0000494	Pras.g_01165	Syas.g_01801
OG0000495	Pras.g_01166	Syas.g_01799
OG0000496	Pras.g_01167	Syas.g_01798
OG0000497	Pras.g_01168	Syas.g_01797
OG0000498	Pras.g_01169	Syas.g_01796
OG0000499	Pras.g_01170	Syas.g_01795
OG0000500	Pras.g_01171	Syas.g_01794
OG0000501	Pras.g_01173	Syas.g_01791
OG0000502	Pras.g_01176	Syas.g_02216
OG0000503	Pras.g_01187	Syas.g_01541
OG0000504	Pras.g_01188	Syas.g_01539
OG0000505	Pras.g_01189	Syas.g_01538
OG0000506	Pras.g_01191	Syas.g_01536
OG0000507	Pras.g_01194	Syas.g_01530
OG0000508	Pras.g_01198	Syas.g_01523
OG0000509	Pras.g_01200	Syas.g_01521
OG0000510	Pras.g_01201	Syas.g_01520
OG0000511	Pras.g_01202	Syas.g_01519
OG0000512	Pras.g_01204	Syas.g_01517
OG0000513	Pras.g_01211	Syas.g_01508
OG0000514	Pras.g_01309	Syas.g_01504
OG0000515	Pras.g_01310	Syas.g_01503
OG0000516	Pras.g_01311	Syas.g_01501
OG0000517	Pras.g_01313	Syas.g_01498
OG0000518	Pras.g_01324	Syas.g_00360, Syas.g_02746
OG0000519	Pras.g_01325	Syas.g_02747
OG0000520	Pras.g_01326	Syas.g_02748
OG0000521	Pras.g_01331	Syas.g_01281
OG0000522	Pras.g_01332	Syas.g_01279
OG0000523	Pras.g_01333	Syas.g_01278
OG0000524	Pras.g_01339	Syas.g_01354
OG0000525	Pras.g_01342	Syas.g_01342
OG0000526	Pras.g_01343	Syas.g_01340
OG0000527	Pras.g_01351	Syas.g_01335
OG0000528	Pras.g_01356	Syas.g_01256
OG0000529	Pras.g_01359	Syas.g_01252
OG0000530	Pras.g_01362	Syas.g_01249
OG0000531	Pras.g_01363	Syas.g_01248
OG0000532	Pras.g_01365	Syas.g_01245
OG0000533	Pras.g_01366	Syas.g_01243
OG0000534	Pras.g_01367	Syas.g_01242
OG0000535	Pras.g_01368	Syas.g_01241
OG0000536	Pras.g_01369	Syas.g_01240
OG0000537	Pras.g_01370	Syas.g_01238
OG0000538	Pras.g_01378	Syas.g_01228
OG0000539	Pras.g_01379	Syas.g_01227
OG0000540	Pras.g_01380	Syas.g_01226
OG0000541	Pras.g_01381	Syas.g_01225
OG0000542	Pras.g_01383	Syas.g_01221
OG0000543	Pras.g_01385	Syas.g_01219
OG0000544	Pras.g_01386	Syas.g_01218
OG0000545	Pras.g_01388	Syas.g_01216
OG0000546	Pras.g_01391	Syas.g_01214
OG0000547	Pras.g_01393	Syas.g_01212
OG0000548	Pras.g_01394	Syas.g_01211
OG0000549	Pras.g_01396	Syas.g_00005
OG0000550	Pras.g_01401	Syas.g_00010
OG0000551	Pras.g_01404	Syas.g_00015
OG0000552	Pras.g_01405	Syas.g_00016
OG0000553	Pras.g_01406	Syas.g_00019
OG0000554	Pras.g_01411	Syas.g_00063
OG0000555	Pras.g_01419	Syas.g_00775
OG0000556	Pras.g_01421	Syas.g_00781
OG0000557	Pras.g_01422	Syas.g_00783
OG0000558	Pras.g_01424	Syas.g_00785
OG0000559	Pras.g_01428	Syas.g_00789
OG0000560	Pras.g_01431	Syas.g_00792
OG0000561	Pras.g_01432	Syas.g_00793
OG0000562	Pras.g_01433	Syas.g_00794
OG0000563	Pras.g_01434	Syas.g_00795
OG0000564	Pras.g_01435	Syas.g_00796
OG0000565	Pras.g_01438	Syas.g_00800
OG0000566	Pras.g_01440	Syas.g_00804
OG0000567	Pras.g_01444	Syas.g_00808
OG0000568	Pras.g_01445	Syas.g_00810
OG0000569	Pras.g_01446	Syas.g_00811
OG0000570	Pras.g_01447	Syas.g_00812
OG0000571	Pras.g_01449	Syas.g_00815
OG0000572	Pras.g_01463	Syas.g_00839
OG0000573	Pras.g_01468	Syas.g_00952
OG0000574	Pras.g_01469	Syas.g_00951
OG0000575	Pras.g_01473	Syas.g_00848
OG0000576	Pras.g_01475	Syas.g_00850
OG0000577	Pras.g_01476	Syas.g_00851
OG0000578	Pras.g_01477	Syas.g_00852
OG0000579	Pras.g_01478	Syas.g_00853
OG0000580	Pras.g_01479	Syas.g_00854
OG0000581	Pras.g_01481	Syas.g_00861
OG0000582	Pras.g_01484	Syas.g_00873
OG0000583	Pras.g_01485	Syas.g_00872
OG0000584	Pras.g_01486	Syas.g_00871
OG0000585	Pras.g_01488	Syas.g_00868
OG0000586	Pras.g_01489	Syas.g_00867
OG0000587	Pras.g_01490	Syas.g_00865
OG0000588	Pras.g_01494	Syas.g_00960
