Orthogroup	Pras	Syat
OG0000076	Pras.g_00883, Pras.g_00743	Syat.g_02206
OG0000077	Pras.g_00929	Syat.g_01481
OG0000078	Pras.g_01091	Syat.g_00184
OG0000079	Pras.g_01104	Syat.g_01879
OG0000080	Pras.g_00279, Pras.g_00277	Syat.g_02246, Syat.g_02282, Syat.g_01200
OG0000081	Pras.g_01408	Syat.g_00980
OG0000082	Pras.g_01462	Syat.g_00035
OG0000085	Pras.g_00543	Syat.g_03113
OG0000086	Pras.g_00939	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Pras.g_00990	Syat.g_02912
OG0000088	Pras.g_01017	Syat.g_02862
OG0000089	Pras.g_01209	Syat.g_02953
OG0000090	Pras.g_01410	Syat.g_03270
OG0000091	Pras.g_01518	Syat.g_00939, Syat.g_00862
OG0000094	Pras.g_01915	Syat.g_00698, Syat.g_01034
OG0000095	Pras.g_01934	Syat.g_00808
OG0000097	Pras.g_00098	Syat.g_00907, Syat.g_00535
OG0000098	Pras.g_00232	Syat.g_03281
OG0000099	Pras.g_00294	Syat.g_02130
OG0000100	Pras.g_00427	Syat.g_00517
OG0000101	Pras.g_00687	Syat.g_01661
OG0000102	Pras.g_00748	Syat.g_00974
OG0000103	Pras.g_00829	Syat.g_02399
OG0000104	Pras.g_00838	Syat.g_02385
OG0000105	Pras.g_01126	Syat.g_02052
OG0000106	Pras.g_01223	Syat.g_00957
OG0000107	Pras.g_01239	Syat.g_02009, Syat.g_01862
OG0000108	Pras.g_01358	Syat.g_03170
OG0000109	Pras.g_01372	Syat.g_03187
OG0000110	Pras.g_01451	Syat.g_00049
OG0000111	Pras.g_01575	Syat.g_00816
OG0000112	Pras.g_01665	Syat.g_00593
OG0000113	Pras.g_01723	Syat.g_00509
OG0000114	Pras.g_01801	Syat.g_00426
OG0000115	Pras.g_01994	Syat.g_01328
OG0000116	Pras.g_00046	Syat.g_02641
OG0000117	Pras.g_00150	Syat.g_00224
OG0000118	Pras.g_00221, Pras.g_00222	Syat.g_01168
OG0000119	Pras.g_00246	Syat.g_00309
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330	Syat.g_02132
OG0000121	Pras.g_00352	Syat.g_01223
OG0000123	Pras.g_00694	Syat.g_01653
OG0000124	Pras.g_00759	Syat.g_02231
OG0000125	Pras.g_00797	Syat.g_02684
OG0000126	Pras.g_00837	Syat.g_00976
OG0000128	Pras.g_00853	Syat.g_02331
OG0000129	Pras.g_00897	Syat.g_02693, Syat.g_02694
OG0000130	Pras.g_00921	Syat.g_01469
OG0000131	Pras.g_00996	Syat.g_02898
OG0000132	Pras.g_01015	Syat.g_02864
OG0000133	Pras.g_01174	Syat.g_00588
OG0000134	Pras.g_01210	Syat.g_02956
OG0000135	Pras.g_01236	Syat.g_02501
OG0000136	Pras.g_01319	Syat.g_01292
OG0000137	Pras.g_01353	Syat.g_01371
OG0000138	Pras.g_01373	Syat.g_03188
OG0000139	Pras.g_01414	Syat.g_03276
OG0000140	Pras.g_01415	Syat.g_03280
OG0000141	Pras.g_01483	Syat.g_03398
OG0000142	Pras.g_01511	Syat.g_00117
OG0000143	Pras.g_01515	Syat.g_00130
OG0000144	Pras.g_01528	Syat.g_00369
OG0000145	Pras.g_01664	Syat.g_03202
OG0000146	Pras.g_01666	Syat.g_00594
OG0000147	Pras.g_01667	Syat.g_00595
OG0000148	Pras.g_01717	Syat.g_00503
OG0000149	Pras.g_01747	Syat.g_00747
OG0000150	Pras.g_01755	Syat.g_03399
OG0000151	Pras.g_01811	Syat.g_00801, Syat.g_00440
OG0000152	Pras.g_01859	Syat.g_00578
OG0000153	Pras.g_01878	Syat.g_00542
OG0000154	Pras.g_01908	Syat.g_00708
OG0000155	Pras.g_00076	Syat.g_00287
OG0000156	Pras.g_00197	Syat.g_03228
OG0000157	Pras.g_00198	Syat.g_02012, Syat.g_03227
OG0000158	Pras.g_00289	Syat.g_02163
OG0000160	Pras.g_00351	Syat.g_01224
OG0000161	Pras.g_00357	Syat.g_01180
OG0000162	Pras.g_00363	Syat.g_01281
OG0000163	Pras.g_00399	Syat.g_02979
OG0000164	Pras.g_00574	Syat.g_03040
OG0000165	Pras.g_00581	Syat.g_03033
OG0000166	Pras.g_00651	Syat.g_01822
OG0000167	Pras.g_00717	Syat.g_02148
OG0000168	Pras.g_00727	Syat.g_02164
OG0000169	Pras.g_00737	Syat.g_02192
OG0000170	Pras.g_00739	Syat.g_02201
OG0000171	Pras.g_00758	Syat.g_02230
OG0000172	Pras.g_00768	Syat.g_02260
OG0000173	Pras.g_00783	Syat.g_02284
OG0000174	Pras.g_00811, Pras.g_00810	Syat.g_02504
OG0000175	Pras.g_00821	Syat.g_02416
OG0000176	Pras.g_00846	Syat.g_02372
OG0000177	Pras.g_00847	Syat.g_02338
OG0000178	Pras.g_00848	Syat.g_02337
OG0000179	Pras.g_00858	Syat.g_02322
OG0000180	Pras.g_00859	Syat.g_02321
OG0000181	Pras.g_00860	Syat.g_02320
OG0000182	Pras.g_00861	Syat.g_02319
OG0000183	Pras.g_00865	Syat.g_02315
OG0000184	Pras.g_00899	Syat.g_02704
OG0000185	Pras.g_00902	Syat.g_02719
OG0000186	Pras.g_00916	Syat.g_01463
OG0000187	Pras.g_00917	Syat.g_01467
OG0000188	Pras.g_00933	Syat.g_01489
OG0000189	Pras.g_00947	Syat.g_00386, Syat.g_01557
OG0000190	Pras.g_00948	Syat.g_00330
OG0000191	Pras.g_00968	Syat.g_03344, Syat.g_02939
OG0000192	Pras.g_00972	Syat.g_02933
OG0000193	Pras.g_00997	Syat.g_02897
OG0000194	Pras.g_01000	Syat.g_02894
OG0000195	Pras.g_01002	Syat.g_02892
OG0000196	Pras.g_01012	Syat.g_02867
OG0000197	Pras.g_01013	Syat.g_02866
OG0000198	Pras.g_01014	Syat.g_02865
OG0000199	Pras.g_01021	Syat.g_02857
OG0000200	Pras.g_01035	Syat.g_02840
OG0000201	Pras.g_01043	Syat.g_02821
OG0000202	Pras.g_01044	Syat.g_02820
OG0000203	Pras.g_01045	Syat.g_02819
OG0000204	Pras.g_01046	Syat.g_02818
OG0000205	Pras.g_01053	Syat.g_02809
OG0000206	Pras.g_01058, Pras.g_01059	Syat.g_02785
OG0000207	Pras.g_01061	Syat.g_02778
OG0000208	Pras.g_01062	Syat.g_02777
OG0000209	Pras.g_01071	Syat.g_02735
OG0000210	Pras.g_01072	Syat.g_02734
OG0000211	Pras.g_01085	Syat.g_01452
OG0000212	Pras.g_01092	Syat.g_01442
OG0000213	Pras.g_01109	Syat.g_01889
OG0000214	Pras.g_01119	Syat.g_02042
OG0000215	Pras.g_01144	Syat.g_02075
OG0000216	Pras.g_01145	Syat.g_02079
OG0000217	Pras.g_01148	Syat.g_02085
OG0000218	Pras.g_01150	Syat.g_02087
OG0000219	Pras.g_01151	Syat.g_02088
OG0000220	Pras.g_01152	Syat.g_02089
OG0000221	Pras.g_01153	Syat.g_02095
OG0000222	Pras.g_01162	Syat.g_02109
OG0000223	Pras.g_01175	Syat.g_02570
OG0000224	Pras.g_01177	Syat.g_02139
OG0000225	Pras.g_01199	Syat.g_01595
OG0000226	Pras.g_01203	Syat.g_01588
OG0000228	Pras.g_01208	Syat.g_02952
OG0000229	Pras.g_01314	Syat.g_02970
OG0000230	Pras.g_01316	Syat.g_02972
OG0000231	Pras.g_01327	Syat.g_01283
OG0000232	Pras.g_01335	Syat.g_01313
OG0000233	Pras.g_01341	Syat.g_01407
OG0000234	Pras.g_01354	Syat.g_01369
OG0000235	Pras.g_01357	Syat.g_03169
OG0000236	Pras.g_01371	Syat.g_03186
OG0000237	Pras.g_01384	Syat.g_03214
OG0000238	Pras.g_01390	Syat.g_03219
OG0000239	Pras.g_01402	Syat.g_01105
OG0000240	Pras.g_01403	Syat.g_01104
OG0000241	Pras.g_01407	Syat.g_00111
OG0000242	Pras.g_01409	Syat.g_01077
OG0000243	Pras.g_01420	Syat.g_00092
OG0000244	Pras.g_01423	Syat.g_00082
OG0000245	Pras.g_01425	Syat.g_00080
OG0000246	Pras.g_01429	Syat.g_00076
OG0000247	Pras.g_01439	Syat.g_00065
OG0000248	Pras.g_01441	Syat.g_00062
OG0000249	Pras.g_01443	Syat.g_00060
OG0000250	Pras.g_01448	Syat.g_00053
OG0000251	Pras.g_01467	Syat.g_00027
OG0000252	Pras.g_01470	Syat.g_00022
OG0000253	Pras.g_01471	Syat.g_00021
OG0000254	Pras.g_01487	Syat.g_03407
OG0000255	Pras.g_01493	Syat.g_02405
OG0000256	Pras.g_01503	Syat.g_03306
OG0000257	Pras.g_01506	Syat.g_00109
OG0000258	Pras.g_01519	Syat.g_00382
OG0000259	Pras.g_01536	Syat.g_00342
OG0000260	Pras.g_01539	Syat.g_00392
OG0000261	Pras.g_01541	Syat.g_00400
OG0000262	Pras.g_00327, Pras.g_01545	Syat.g_00407
OG0000263	Pras.g_01557	Syat.g_00200
OG0000266	Pras.g_01616	Syat.g_00671
OG0000267	Pras.g_01627	Syat.g_00636
OG0000268	Pras.g_01628	Syat.g_00634
OG0000269	Pras.g_01696	Syat.g_00474, Syat.g_00126
OG0000270	Pras.g_01699	Syat.g_00477
OG0000271	Pras.g_01707	Syat.g_00485
OG0000272	Pras.g_01708	Syat.g_00486
OG0000273	Pras.g_01731	Syat.g_00520
OG0000274	Pras.g_01732	Syat.g_00521
OG0000275	Pras.g_01734	Syat.g_00718
OG0000276	Pras.g_01739	Syat.g_00725
OG0000277	Pras.g_01740	Syat.g_00738
OG0000278	Pras.g_01743	Syat.g_00741
OG0000279	Pras.g_01750	Syat.g_00755
OG0000280	Pras.g_01751	Syat.g_01669
OG0000281	Pras.g_01756	Syat.g_00960
OG0000282	Pras.g_01803	Syat.g_00431
OG0000283	Pras.g_01836	Syat.g_00620
OG0000284	Pras.g_01841	Syat.g_00614
OG0000285	Pras.g_01846	Syat.g_00607
OG0000286	Pras.g_01858	Syat.g_00579
OG0000287	Pras.g_01875	Syat.g_00550
OG0000288	Pras.g_01907	Syat.g_00709
OG0000289	Pras.g_01918	Syat.g_00695
OG0000290	Pras.g_01931	Syat.g_00805
OG0000291	Pras.g_01933	Syat.g_00807
OG0000292	Pras.g_01982	Syat.g_02388
OG0000293	Pras.g_00047	Syat.g_03241
OG0000294	Pras.g_00048	Syat.g_03248
OG0000295	Pras.g_00068	Syat.g_00297
OG0000296	Pras.g_00070	Syat.g_00295
OG0000297	Pras.g_00078	Syat.g_00226
OG0000298	Pras.g_00079	Syat.g_00225
OG0000299	Pras.g_00096, Pras.g_00097	Syat.g_00910
OG0000300	Pras.g_00100	Syat.g_00904
OG0000301	Pras.g_00101	Syat.g_00903
OG0000302	Pras.g_00103	Syat.g_00901
OG0000303	Pras.g_00110	Syat.g_00892
OG0000304	Pras.g_00114	Syat.g_00885
OG0000305	Pras.g_00242	Syat.g_00809
OG0000306	Pras.g_00245	Syat.g_01704
OG0000307	Pras.g_00259	Syat.g_01304
OG0000308	Pras.g_00260	Syat.g_01306
OG0000309	Pras.g_00264	Syat.g_01417
OG0000310	Pras.g_00335	Syat.g_01246
OG0000311	Pras.g_00337	Syat.g_01242
OG0000312	Pras.g_00340	Syat.g_01237
OG0000313	Pras.g_00354	Syat.g_01183
OG0000314	Pras.g_00377	Syat.g_01341
OG0000315	Pras.g_00388	Syat.g_01351
OG0000316	Pras.g_00410	Syat.g_03082
OG0000317	Pras.g_00548	Syat.g_03120
OG0000318	Pras.g_00551	Syat.g_03125
OG0000319	Pras.g_00564	Syat.g_03055
OG0000320	Pras.g_00566	Syat.g_03053
OG0000321	Pras.g_00567	Syat.g_03052
OG0000322	Pras.g_00568	Syat.g_03051
OG0000323	Pras.g_00577	Syat.g_03038
OG0000324	Pras.g_00604	Syat.g_02998
OG0000325	Pras.g_00614	Syat.g_01861
OG0000326	Pras.g_00620	Syat.g_01854
OG0000327	Pras.g_00646	Syat.g_01827
OG0000328	Pras.g_00647	Syat.g_01826
OG0000329	Pras.g_00664	Syat.g_01808
OG0000330	Pras.g_00665	Syat.g_01807
OG0000331	Pras.g_00666	Syat.g_01806
OG0000332	Pras.g_00680	Syat.g_01790
OG0000333	Pras.g_00682	Syat.g_01787
OG0000334	Pras.g_00690	Syat.g_01657
OG0000335	Pras.g_00695	Syat.g_01652
OG0000336	Pras.g_00699	Syat.g_01648
OG0000337	Pras.g_00715	Syat.g_02144
OG0000338	Pras.g_00716	Syat.g_02146
OG0000339	Pras.g_00720	Syat.g_02155, Syat.g_01055
OG0000340	Pras.g_00728	Syat.g_02165
OG0000341	Pras.g_00730	Syat.g_02167
OG0000342	Pras.g_00731	Syat.g_02168
OG0000343	Pras.g_00732	Syat.g_02185
OG0000344	Pras.g_00735	Syat.g_02189
OG0000345	Pras.g_00740	Syat.g_02202
OG0000346	Pras.g_00744	Syat.g_02207
OG0000347	Pras.g_00761	Syat.g_02234
OG0000348	Pras.g_00771	Syat.g_02264
OG0000349	Pras.g_00788	Syat.g_02291
OG0000350	Pras.g_00806, Pras.g_00131	Syat.g_01847
OG0000351	Pras.g_00824	Syat.g_02411
OG0000352	Pras.g_00825	Syat.g_02410
OG0000353	Pras.g_00841	Syat.g_00955, Syat.g_02377
OG0000355	Pras.g_00843	Syat.g_02375
OG0000356	Pras.g_00844	Syat.g_02374
OG0000357	Pras.g_00845	Syat.g_02373
OG0000358	Pras.g_00849	Syat.g_02336
OG0000359	Pras.g_00850	Syat.g_02334
OG0000360	Pras.g_00851	Syat.g_02333
OG0000361	Pras.g_00852	Syat.g_02332
OG0000362	Pras.g_00854	Syat.g_02330
OG0000363	Pras.g_00856	Syat.g_02328
OG0000364	Pras.g_00857	Syat.g_03122
OG0000365	Pras.g_00862	Syat.g_02318
OG0000366	Pras.g_00863	Syat.g_02317
OG0000367	Pras.g_00864	Syat.g_02316
OG0000368	Pras.g_00866	Syat.g_02314
OG0000369	Pras.g_00867	Syat.g_02313
OG0000370	Pras.g_00868	Syat.g_02312
OG0000371	Pras.g_00874	Syat.g_02304
OG0000372	Pras.g_00877	Syat.g_02298
OG0000373	Pras.g_00878	Syat.g_02297
OG0000374	Pras.g_00879	Syat.g_02296
OG0000375	Pras.g_00893	Syat.g_02295
OG0000376	Pras.g_00895	Syat.g_02293
OG0000377	Pras.g_00898	Syat.g_02695
OG0000378	Pras.g_00900	Syat.g_02715
OG0000379	Pras.g_00903	Syat.g_02720
OG0000380	Pras.g_00918	Syat.g_01468
OG0000381	Pras.g_00922	Syat.g_01470
OG0000382	Pras.g_00932	Syat.g_01488
OG0000383	Pras.g_00934	Syat.g_01521
OG0000384	Pras.g_00935	Syat.g_01522
OG0000385	Pras.g_00936	Syat.g_01523
OG0000386	Pras.g_00937	Syat.g_01524
OG0000387	Pras.g_00950	Syat.g_01561
OG0000388	Pras.g_00953	Syat.g_01565
OG0000389	Pras.g_00957	Syat.g_01569
OG0000390	Pras.g_00964	Syat.g_02945
OG0000391	Pras.g_00967	Syat.g_02940
OG0000392	Pras.g_00971	Syat.g_02934
OG0000393	Pras.g_00973	Syat.g_02931
OG0000394	Pras.g_00974	Syat.g_02930
OG0000395	Pras.g_00975	Syat.g_02929
OG0000396	Pras.g_00978	Syat.g_02927
OG0000397	Pras.g_00980	Syat.g_02925
OG0000398	Pras.g_00982	Syat.g_02920
OG0000399	Pras.g_00983	Syat.g_02919
OG0000400	Pras.g_00984	Syat.g_02918
OG0000401	Pras.g_00985	Syat.g_02917
OG0000402	Pras.g_00987	Syat.g_02915
OG0000403	Pras.g_00988	Syat.g_02914
OG0000404	Pras.g_00989	Syat.g_02913
OG0000405	Pras.g_00993	Syat.g_02900
OG0000406	Pras.g_00998	Syat.g_02896
OG0000407	Pras.g_00999	Syat.g_02895
OG0000408	Pras.g_01001	Syat.g_02893
OG0000409	Pras.g_01003	Syat.g_02891
OG0000410	Pras.g_01004	Syat.g_02890
OG0000411	Pras.g_01005	Syat.g_02889
OG0000412	Pras.g_01006	Syat.g_02888
OG0000413	Pras.g_01007	Syat.g_02886
OG0000414	Pras.g_01008	Syat.g_02885
OG0000415	Pras.g_01009	Syat.g_02884
OG0000416	Pras.g_01010	Syat.g_02883
OG0000417	Pras.g_01011	Syat.g_02868
OG0000418	Pras.g_01016	Syat.g_02863
OG0000419	Pras.g_01018	Syat.g_02861
OG0000420	Pras.g_01019	Syat.g_02859
OG0000421	Pras.g_01024	Syat.g_02855
OG0000422	Pras.g_01025	Syat.g_02854
OG0000423	Pras.g_01026	Syat.g_02853
OG0000424	Pras.g_01027	Syat.g_02852
OG0000425	Pras.g_01028	Syat.g_02851
OG0000426	Pras.g_01029	Syat.g_02850
OG0000427	Pras.g_01030	Syat.g_02849
OG0000428	Pras.g_01032	Syat.g_02846
OG0000429	Pras.g_01033	Syat.g_02843
OG0000430	Pras.g_01034	Syat.g_02841
OG0000431	Pras.g_01036	Syat.g_02838
OG0000432	Pras.g_01039	Syat.g_02832
OG0000433	Pras.g_01040	Syat.g_02829
OG0000434	Pras.g_01041	Syat.g_02828
OG0000435	Pras.g_01042	Syat.g_02824
OG0000436	Pras.g_01047	Syat.g_02817
OG0000437	Pras.g_01048	Syat.g_02558
OG0000438	Pras.g_01049	Syat.g_02813
OG0000439	Pras.g_01051	Syat.g_02811
OG0000440	Pras.g_01052	Syat.g_02810
OG0000441	Pras.g_01055	Syat.g_02807
OG0000442	Pras.g_01056	Syat.g_02797
OG0000443	Pras.g_01057	Syat.g_02787
OG0000444	Pras.g_01063	Syat.g_02756
OG0000445	Pras.g_01064	Syat.g_02755
OG0000446	Pras.g_01065	Syat.g_02753
OG0000447	Pras.g_01066	Syat.g_02749
OG0000448	Pras.g_01067	Syat.g_02748
OG0000449	Pras.g_01068	Syat.g_02747
OG0000450	Pras.g_01069	Syat.g_02738
OG0000451	Pras.g_01070	Syat.g_02737
OG0000452	Pras.g_01073	Syat.g_02732
OG0000453	Pras.g_01074	Syat.g_02731
OG0000454	Pras.g_01075	Syat.g_02730
OG0000455	Pras.g_01076	Syat.g_02729
OG0000456	Pras.g_01077	Syat.g_02728
OG0000457	Pras.g_01078	Syat.g_02726
OG0000458	Pras.g_01079	Syat.g_02725
OG0000459	Pras.g_01080	Syat.g_02724
OG0000460	Pras.g_01087	Syat.g_01450
OG0000461	Pras.g_01094	Syat.g_01866
OG0000462	Pras.g_01096	Syat.g_01868
OG0000463	Pras.g_01097	Syat.g_01869
OG0000464	Pras.g_01098	Syat.g_01870
OG0000465	Pras.g_01099	Syat.g_01872
OG0000466	Pras.g_01102	Syat.g_01877
OG0000467	Pras.g_01103	Syat.g_01878
OG0000468	Pras.g_01105	Syat.g_01884
OG0000469	Pras.g_01114	Syat.g_02000
OG0000470	Pras.g_01116	Syat.g_02038
OG0000471	Pras.g_01117	Syat.g_02039
OG0000472	Pras.g_01118	Syat.g_02041
OG0000473	Pras.g_01120	Syat.g_02043
OG0000474	Pras.g_01121	Syat.g_02044
OG0000475	Pras.g_01122	Syat.g_02045
OG0000476	Pras.g_01123	Syat.g_02047
OG0000477	Pras.g_01127	Syat.g_02053
OG0000478	Pras.g_01128	Syat.g_02054
OG0000479	Pras.g_01129	Syat.g_02056
OG0000480	Pras.g_01134	Syat.g_02063
OG0000481	Pras.g_01136	Syat.g_02066
OG0000482	Pras.g_01137	Syat.g_02067
OG0000483	Pras.g_01140	Syat.g_02071
OG0000484	Pras.g_01141	Syat.g_02072
OG0000485	Pras.g_01142	Syat.g_02073
OG0000486	Pras.g_01143	Syat.g_02074
OG0000487	Pras.g_01146	Syat.g_02080
OG0000488	Pras.g_01149	Syat.g_02086
OG0000489	Pras.g_01155	Syat.g_02097
OG0000490	Pras.g_01160	Syat.g_02106
OG0000491	Pras.g_01161	Syat.g_02107
OG0000492	Pras.g_01163	Syat.g_02110
OG0000493	Pras.g_01164	Syat.g_02111
OG0000494	Pras.g_01165	Syat.g_02112
OG0000495	Pras.g_01166	Syat.g_02120
OG0000496	Pras.g_01167	Syat.g_02121
OG0000497	Pras.g_01168	Syat.g_02122
OG0000498	Pras.g_01169	Syat.g_02123
OG0000499	Pras.g_01170	Syat.g_02124
OG0000500	Pras.g_01171	Syat.g_02125
OG0000501	Pras.g_01173	Syat.g_02128
OG0000502	Pras.g_01176	Syat.g_02135
OG0000503	Pras.g_01187	Syat.g_01614
OG0000504	Pras.g_01188	Syat.g_01612
OG0000505	Pras.g_01189	Syat.g_01611
OG0000506	Pras.g_01191	Syat.g_01609
OG0000507	Pras.g_01194	Syat.g_01603
OG0000508	Pras.g_01198	Syat.g_01596
OG0000509	Pras.g_01200	Syat.g_01591
OG0000510	Pras.g_01201	Syat.g_01590
OG0000511	Pras.g_01202	Syat.g_01589
OG0000512	Pras.g_01204	Syat.g_01587
OG0000513	Pras.g_01211	Syat.g_02957
OG0000514	Pras.g_01309	Syat.g_02962
OG0000515	Pras.g_01310	Syat.g_02963
OG0000516	Pras.g_01311	Syat.g_02965
OG0000517	Pras.g_01313	Syat.g_02969
OG0000518	Pras.g_01324	Syat.g_01286
OG0000519	Pras.g_01325	Syat.g_01285
OG0000520	Pras.g_01326	Syat.g_01284
OG0000521	Pras.g_01331	Syat.g_01319
OG0000522	Pras.g_01332	Syat.g_01317
OG0000523	Pras.g_01333	Syat.g_01316
OG0000524	Pras.g_01339	Syat.g_01409
OG0000525	Pras.g_01342	Syat.g_01382
OG0000526	Pras.g_01343	Syat.g_01380
OG0000527	Pras.g_01351	Syat.g_01373
OG0000528	Pras.g_01356	Syat.g_03167
OG0000529	Pras.g_01359	Syat.g_03171
OG0000530	Pras.g_01362	Syat.g_03174
OG0000531	Pras.g_01363	Syat.g_03175
OG0000532	Pras.g_01365	Syat.g_03178
OG0000533	Pras.g_01366	Syat.g_03180
OG0000534	Pras.g_01367	Syat.g_03181
OG0000535	Pras.g_01368	Syat.g_03182
OG0000536	Pras.g_01369	Syat.g_03183
OG0000537	Pras.g_01370	Syat.g_03185
OG0000538	Pras.g_01378	Syat.g_03204
OG0000539	Pras.g_01379	Syat.g_03206
OG0000540	Pras.g_01380	Syat.g_03207
OG0000541	Pras.g_01381	Syat.g_03208
OG0000542	Pras.g_01383	Syat.g_03213
OG0000543	Pras.g_01385	Syat.g_03215
OG0000544	Pras.g_01386	Syat.g_03216
OG0000545	Pras.g_01388	Syat.g_03218
OG0000546	Pras.g_01391	Syat.g_03220
OG0000547	Pras.g_01393	Syat.g_03222
OG0000548	Pras.g_01394	Syat.g_03223
OG0000549	Pras.g_01396	Syat.g_01795
OG0000550	Pras.g_01401	Syat.g_01107
OG0000551	Pras.g_01404	Syat.g_01103
OG0000552	Pras.g_01405	Syat.g_01102
OG0000553	Pras.g_01406	Syat.g_01098
OG0000554	Pras.g_01411	Syat.g_03271
OG0000555	Pras.g_01419	Syat.g_00093
OG0000556	Pras.g_01421	Syat.g_00088
OG0000557	Pras.g_01422	Syat.g_00083
OG0000558	Pras.g_01424	Syat.g_00081
OG0000559	Pras.g_01428	Syat.g_00077
OG0000560	Pras.g_01431	Syat.g_00074
OG0000561	Pras.g_01432	Syat.g_00073
OG0000562	Pras.g_01433	Syat.g_00072
OG0000563	Pras.g_01434	Syat.g_00071
OG0000564	Pras.g_01435	Syat.g_00070
OG0000565	Pras.g_01438	Syat.g_00067
OG0000566	Pras.g_01440	Syat.g_00063
OG0000567	Pras.g_01444	Syat.g_00059
OG0000568	Pras.g_01445	Syat.g_00057
OG0000569	Pras.g_01446	Syat.g_00056
OG0000570	Pras.g_01447	Syat.g_00055
OG0000571	Pras.g_01449	Syat.g_00052
OG0000572	Pras.g_01463	Syat.g_00033
OG0000573	Pras.g_01468	Syat.g_00024
OG0000574	Pras.g_01469	Syat.g_00023
OG0000575	Pras.g_01473	Syat.g_00018
OG0000576	Pras.g_01475	Syat.g_00014
OG0000577	Pras.g_01476	Syat.g_00013
OG0000578	Pras.g_01477	Syat.g_00012
OG0000579	Pras.g_01478	Syat.g_00011
OG0000580	Pras.g_01479	Syat.g_00010
OG0000581	Pras.g_01481	Syat.g_00003
OG0000582	Pras.g_01484	Syat.g_03403
OG0000583	Pras.g_01485	Syat.g_03404
OG0000584	Pras.g_01486	Syat.g_03405
OG0000585	Pras.g_01488	Syat.g_03408
OG0000586	Pras.g_01489	Syat.g_03409
OG0000587	Pras.g_01490	Syat.g_00001
