Orthogroup	Prah	Syan
OG0000104	Prah.g_02600	Syan.g_01792
OG0000105	Prah.g_02126	Syan.g_02031
OG0000106	Prah.g_01660	Syan.g_00076
OG0000107	Prah.g_02072	Syan.g_02106
OG0000108	Prah.g_01566	Syan.g_02764
OG0000109	Prah.g_01550	Syan.g_02748
OG0000110	Prah.g_01439	Syan.g_00171, Syan.g_00882
OG0000111	Prah.g_01028	Syan.g_00187
OG0000112	Prah.g_00788	Syan.g_00556, Syan.g_00252
OG0000113	Prah.g_00641	Syan.g_00664
OG0000114	Prah.g_00733	Syan.g_00741
OG0000115	Prah.g_00383	Syan.g_02810
OG0000116	Prah.g_01337	Syan.g_02710, Syan.g_00460
OG0000117	Prah.g_01257	Syan.g_02644
OG0000118	Prah.g_01378	Syan.g_01241, Syan.g_01237
OG0000119	Prah.g_01007, Prah.g_01048	Syan.g_02672
OG0000120	Prah.g_02192	Syan.g_01966
OG0000121	Prah.g_00406	Syan.g_01273
OG0000123	Prah.g_01987	Syan.g_02190
OG0000124	Prah.g_00125	Syan.g_01873
OG0000125	Prah.g_02498	Syan.g_01573
OG0000126	Prah.g_02598	Syan.g_01705
OG0000127	Prah.g_01083	Syan.g_01071
OG0000128	Prah.g_00013	Syan.g_01768
OG0000129	Prah.g_02486	Syan.g_01563
OG0000130	Prah.g_01838	Syan.g_02906, Syan.g_02907
OG0000131	Prah.g_02282	Syan.g_03008
OG0000132	Prah.g_02302	Syan.g_03029
OG0000133	Prah.g_02187	Syan.g_00561
OG0000134	Prah.g_00208	Syan.g_02319
OG0000135	Prah.g_02538	Syan.g_01616
OG0000136	Prah.g_00235	Syan.g_01342
OG0000137	Prah.g_00312	Syan.g_02846
OG0000138	Prah.g_01549	Syan.g_02747
OG0000139	Prah.g_01495	Syan.g_01160
OG0000140	Prah.g_01489	Syan.g_00042
OG0000141	Prah.g_01393	Syan.g_01032
OG0000142	Prah.g_00501	Syan.g_00816
OG0000143	Prah.g_00497	Syan.g_00812
OG0000144	Prah.g_00473	Syan.g_00782
OG0000145	Prah.g_01543	Syan.g_02740
OG0000146	Prah.g_00787	Syan.g_00555, Syan.g_00253
OG0000147	Prah.g_00786	Syan.g_00254, Syan.g_00554
OG0000148	Prah.g_00649	Syan.g_00670
OG0000149	Prah.g_00591	Syan.g_00393
OG0000150	Prah.g_00568	Syan.g_01031
OG0000151	Prah.g_00718	Syan.g_00731
OG0000152	Prah.g_00796	Syan.g_00565
OG0000153	Prah.g_00826	Syan.g_00601
OG0000154	Prah.g_00852	Syan.g_00363
OG0000155	Prah.g_01291	Syan.g_02654
OG0000156	Prah.g_01349	Syan.g_02717
OG0000157	Prah.g_01350	Syan.g_02718
OG0000158	Prah.g_02242	Syan.g_01078, Syan.g_01926
OG0000160	Prah.g_00407	Syan.g_01274
OG0000161	Prah.g_00399	Syan.g_01268
OG0000162	Prah.g_00391	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prah.g_01619	Syan.g_02405
OG0000164	Prah.g_01705	Syan.g_01440
OG0000165	Prah.g_01716	Syan.g_01448
OG0000166	Prah.g_02033	Syan.g_02239
OG0000167	Prah.g_02230	Syan.g_01941
OG0000168	Prah.g_02243	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prah.g_00163	Syan.g_01912
OG0000170	Prah.g_00155	Syan.g_01901
OG0000171	Prah.g_00126	Syan.g_01875
OG0000172	Prah.g_00084	Syan.g_01810
OG0000173	Prah.g_00061	Syan.g_01720
OG0000174	Prah.g_02541	Syan.g_01619
OG0000175	Prah.g_02575	Syan.g_01678, Syan.g_00258
OG0000176	Prah.g_00005	Syan.g_01801
OG0000177	Prah.g_00006	Syan.g_01775
OG0000178	Prah.g_00007	Syan.g_01774
OG0000179	Prah.g_00022	Syan.g_01759
OG0000180	Prah.g_00023	Syan.g_01758
OG0000181	Prah.g_00024	Syan.g_01757
OG0000182	Prah.g_00025	Syan.g_01756
OG0000183	Prah.g_00029	Syan.g_01752
OG0000184	Prah.g_02478	Syan.g_01549
OG0000185	Prah.g_02458	Syan.g_01540
OG0000186	Prah.g_01830	Syan.g_02902
OG0000187	Prah.g_01833	Syan.g_02904
OG0000188	Prah.g_01860	Syan.g_02926
OG0000189	Prah.g_01884	Syan.g_02966
OG0000190	Prah.g_01886	Syan.g_00971
OG0000191	Prah.g_00188	Syan.g_02300
OG0000192	Prah.g_00176, Prah.g_00180	Syan.g_02294
OG0000193	Prah.g_02283	Syan.g_03009
OG0000194	Prah.g_02286	Syan.g_03012
OG0000195	Prah.g_02288	Syan.g_03014
OG0000196	Prah.g_02299	Syan.g_03026
OG0000197	Prah.g_02300	Syan.g_03027
OG0000198	Prah.g_02301	Syan.g_03028
OG0000199	Prah.g_02308	Syan.g_03037
OG0000200	Prah.g_02324	Syan.g_03055
OG0000201	Prah.g_02352	Syan.g_03074
OG0000202	Prah.g_02353	Syan.g_03075
OG0000203	Prah.g_02354	Syan.g_03076
OG0000204	Prah.g_02355	Syan.g_03077
OG0000205	Prah.g_02362	Syan.g_03087
OG0000206	Prah.g_02371	Syan.g_03095
OG0000207	Prah.g_02420	Syan.g_03100
OG0000208	Prah.g_02419	Syan.g_03101
OG0000209	Prah.g_02400	Syan.g_01521
OG0000210	Prah.g_02399	Syan.g_01522
OG0000211	Prah.g_01782	Syan.g_02416
OG0000212	Prah.g_01772	Syan.g_01508, Syan.g_02438
OG0000213	Prah.g_02101	Syan.g_02059
OG0000214	Prah.g_02118	Syan.g_02040
OG0000215	Prah.g_02148	Syan.g_02010
OG0000216	Prah.g_02151	Syan.g_02006
OG0000217	Prah.g_02155	Syan.g_02001
OG0000218	Prah.g_02157	Syan.g_01999
OG0000219	Prah.g_02158	Syan.g_01998
OG0000220	Prah.g_02159	Syan.g_01997
OG0000221	Prah.g_02166	Syan.g_01994
OG0000222	Prah.g_02174	Syan.g_01981
OG0000223	Prah.g_02197	Syan.g_00228
OG0000224	Prah.g_02207	Syan.g_01959
OG0000225	Prah.g_01921	Syan.g_02997
OG0000226	Prah.g_01917	Syan.g_02990
OG0000227	Prah.g_01915	Syan.g_02988
OG0000228	Prah.g_00204	Syan.g_02315
OG0000229	Prah.g_00230	Syan.g_02396
OG0000230	Prah.g_00232	Syan.g_02398
OG0000231	Prah.g_00251	Syan.g_01333
OG0000232	Prah.g_00261	Syan.g_02801
OG0000233	Prah.g_00294	Syan.g_02876
OG0000234	Prah.g_00313, Prah.g_00314	Syan.g_02844
OG0000235	Prah.g_01567	Syan.g_02765
OG0000236	Prah.g_01551	Syan.g_02749
OG0000237	Prah.g_01534	Syan.g_02731
OG0000238	Prah.g_01529	Syan.g_02726
OG0000239	Prah.g_01513	Syan.g_01187
OG0000240	Prah.g_01512	Syan.g_01186
OG0000241	Prah.g_01094	Syan.g_00822
OG0000242	Prah.g_00108, Prah.g_01503	Syan.g_01168
OG0000243	Prah.g_01476	Syan.g_00840
OG0000244	Prah.g_01472	Syan.g_00848
OG0000245	Prah.g_01469	Syan.g_00850
OG0000246	Prah.g_01465	Syan.g_00854
OG0000247	Prah.g_01454	Syan.g_00866
OG0000248	Prah.g_01451	Syan.g_00869
OG0000249	Prah.g_01449	Syan.g_00871
OG0000250	Prah.g_01443	Syan.g_00878
OG0000251	Prah.g_01417	Syan.g_00961
OG0000252	Prah.g_01414	Syan.g_00966
OG0000253	Prah.g_01408	Syan.g_01000
OG0000254	Prah.g_01389	Syan.g_01026
OG0000255	Prah.g_00530	Syan.g_00978
OG0000256	Prah.g_00516	Syan.g_00001, Syan.g_01135
OG0000257	Prah.g_00509	Syan.g_00827
OG0000258	Prah.g_00486	Syan.g_00803
OG0000259	Prah.g_00457	Syan.g_00772
OG0000260	Prah.g_00454	Syan.g_00769
OG0000261	Prah.g_00451	Syan.g_00765
OG0000262	Prah.g_00445	Syan.g_00760
OG0000263	Prah.g_02413	Syan.g_02618
OG0000264	Prah.g_00974	Syan.g_00540
OG0000266	Prah.g_00876	Syan.g_00330
OG0000267	Prah.g_00751	Syan.g_00470
OG0000268	Prah.g_00752	Syan.g_00471
OG0000269	Prah.g_00672	Syan.g_00695
OG0000270	Prah.g_00669	Syan.g_00692
OG0000271	Prah.g_00661	Syan.g_00684
OG0000272	Prah.g_00660	Syan.g_00683
OG0000274	Prah.g_00608	Syan.g_00653
OG0000275	Prah.g_00605	Syan.g_00373
OG0000276	Prah.g_00599	Syan.g_00380
OG0000277	Prah.g_00598	Syan.g_00381
OG0000278	Prah.g_00595	Syan.g_00384
OG0000279	Prah.g_00587	Syan.g_00398
OG0000280	Prah.g_00581	Syan.g_00518
OG0000282	Prah.g_00731	Syan.g_00739
OG0000283	Prah.g_00761	Syan.g_00491
OG0000284	Prah.g_00767	Syan.g_00497
OG0000285	Prah.g_01178	Syan.g_00533
OG0000286	Prah.g_00795	Syan.g_00564
OG0000287	Prah.g_01131	Syan.g_00593
OG0000288	Prah.g_00851	Syan.g_00364
OG0000289	Prah.g_00864	Syan.g_00350
OG0000290	Prah.g_00912	Syan.g_00293
OG0000291	Prah.g_00914	Syan.g_00291
OG0000292	Prah.g_02597	Syan.g_01703
OG0000293	Prah.g_01336	Syan.g_02709
OG0000294	Prah.g_01335	Syan.g_02708
OG0000295	Prah.g_01298	Syan.g_02662
OG0000296	Prah.g_01296	Syan.g_02660
OG0000297	Prah.g_01259	Syan.g_02646
OG0000298	Prah.g_01258	Syan.g_02645
OG0000299	Prah.g_01268	Syan.g_02601
OG0000300	Prah.g_01275	Syan.g_02593, Syan.g_02594
OG0000301	Prah.g_01276	Syan.g_02592
OG0000302	Prah.g_01279	Syan.g_02591
OG0000303	Prah.g_01289	Syan.g_02582
OG0000304	Prah.g_01237, Prah.g_01238	Syan.g_02556
OG0000305	Prah.g_00918	Syan.g_00195
OG0000306	Prah.g_00560	Syan.g_00087
OG0000307	Prah.g_01584	Syan.g_02782
OG0000308	Prah.g_01586	Syan.g_02784
OG0000309	Prah.g_01590	Syan.g_02883
OG0000310	Prah.g_00428	Syan.g_01304
OG0000311	Prah.g_00424	Syan.g_01299
OG0000312	Prah.g_00420	Syan.g_01290
OG0000313	Prah.g_00402	Syan.g_01271
OG0000314	Prah.g_00371	Syan.g_02823
OG0000315	Prah.g_00361	Syan.g_02833
OG0000316	Prah.g_01631	Syan.g_01354
OG0000317	Prah.g_01672	Syan.g_01396
OG0000318	Prah.g_01677	Syan.g_01401
OG0000319	Prah.g_01694	Syan.g_01425
OG0000320	Prah.g_01696	Syan.g_01427
OG0000321	Prah.g_01697	Syan.g_01428
OG0000322	Prah.g_01698	Syan.g_01429
OG0000323	Prah.g_01710	Syan.g_01442
OG0000324	Prah.g_01744	Syan.g_01472
OG0000325	Prah.g_02071	Syan.g_02107
OG0000326	Prah.g_02064	Syan.g_02114
OG0000327	Prah.g_02038	Syan.g_02244
OG0000328	Prah.g_02037	Syan.g_02243
OG0000329	Prah.g_02020	Syan.g_02225
OG0000330	Prah.g_02019	Syan.g_02224
OG0000331	Prah.g_02018	Syan.g_02223
OG0000332	Prah.g_02003	Syan.g_02208
OG0000333	Prah.g_02001	Syan.g_02205
OG0000334	Prah.g_01991	Syan.g_00247, Syan.g_02194
OG0000335	Prah.g_01986	Syan.g_02189
OG0000336	Prah.g_01982	Syan.g_02185
OG0000337	Prah.g_02224	Syan.g_01949
OG0000338	Prah.g_02227	Syan.g_01943
OG0000339	Prah.g_02234	Syan.g_01935, Syan.g_00264
OG0000340	Prah.g_02244	Syan.g_01923
OG0000341	Prah.g_02246	Syan.g_01921
OG0000342	Prah.g_02247	Syan.g_01920
OG0000343	Prah.g_00168	Syan.g_01918
OG0000344	Prah.g_00165	Syan.g_01914
OG0000345	Prah.g_00154	Syan.g_01900
OG0000346	Prah.g_00149	Syan.g_01895
OG0000347	Prah.g_00089	Syan.g_01867
OG0000348	Prah.g_00078	Syan.g_01803
OG0000349	Prah.g_00053	Syan.g_01727
OG0000350	Prah.g_02533	Syan.g_02121
OG0000351	Prah.g_02578	Syan.g_01682
OG0000352	Prah.g_02579	Syan.g_01683
OG0000353	Prah.g_02603	Syan.g_01795
OG0000354	Prah.g_01523	Syan.g_02720
OG0000354	Prah.g_00020	Syan.g_01761
OG0000355	Prah.g_00002	Syan.g_01797
OG0000356	Prah.g_00003	Syan.g_01798
OG0000357	Prah.g_00004	Syan.g_01800
OG0000358	Prah.g_00008	Syan.g_01773
OG0000359	Prah.g_00010	Syan.g_01771
OG0000360	Prah.g_00011	Syan.g_01770
OG0000361	Prah.g_00012	Syan.g_01769
OG0000362	Prah.g_00014	Syan.g_01767
OG0000363	Prah.g_00016	Syan.g_01765
OG0000364	Prah.g_00017	Syan.g_01398
OG0000365	Prah.g_00026	Syan.g_01755
OG0000366	Prah.g_00027	Syan.g_01754
OG0000367	Prah.g_00028	Syan.g_01753
OG0000368	Prah.g_00030	Syan.g_01751
OG0000369	Prah.g_00031	Syan.g_01750
OG0000370	Prah.g_00032	Syan.g_01749
OG0000371	Prah.g_00041	Syan.g_01740
OG0000372	Prah.g_00046	Syan.g_01734
OG0000373	Prah.g_00047	Syan.g_01733
OG0000374	Prah.g_00048	Syan.g_01732
OG0000375	Prah.g_00049	Syan.g_01731
OG0000376	Prah.g_00051	Syan.g_01729
OG0000377	Prah.g_02485	Syan.g_01555
OG0000378	Prah.g_02471	Syan.g_01543
OG0000379	Prah.g_02457	Syan.g_01539
OG0000380	Prah.g_01834	Syan.g_02905
OG0000381	Prah.g_01839	Syan.g_02908
OG0000382	Prah.g_01859	Syan.g_02925
OG0000383	Prah.g_01861	Syan.g_02936
OG0000384	Prah.g_01862	Syan.g_02937
OG0000385	Prah.g_01863	Syan.g_02938
OG0000386	Prah.g_01864	Syan.g_02939
OG0000387	Prah.g_01888	Syan.g_00967
OG0000388	Prah.g_01892	Syan.g_02970
OG0000389	Prah.g_01896	Syan.g_02973
OG0000390	Prah.g_00194	Syan.g_02306
OG0000391	Prah.g_00189	Syan.g_02301
OG0000392	Prah.g_00183	Syan.g_02295
OG0000393	Prah.g_00175	Syan.g_02292
OG0000394	Prah.g_00174	Syan.g_02291
OG0000395	Prah.g_00173	Syan.g_02290
OG0000396	Prah.g_02252	Syan.g_02287
OG0000397	Prah.g_02254	Syan.g_02285
OG0000398	Prah.g_02259	Syan.g_02279
OG0000399	Prah.g_02260	Syan.g_02278
OG0000400	Prah.g_02261	Syan.g_02277
OG0000401	Prah.g_02262	Syan.g_02274
OG0000402	Prah.g_02264	Syan.g_02272
OG0000403	Prah.g_02265	Syan.g_02271
OG0000405	Prah.g_02280	Syan.g_03005
OG0000406	Prah.g_02284	Syan.g_03010
OG0000407	Prah.g_02285	Syan.g_03011
OG0000408	Prah.g_02287	Syan.g_03013
OG0000409	Prah.g_02289	Syan.g_03015
OG0000410	Prah.g_02290	Syan.g_03016
OG0000411	Prah.g_02291	Syan.g_03017
OG0000412	Prah.g_02292	Syan.g_03018
OG0000413	Prah.g_02294	Syan.g_03020
OG0000414	Prah.g_02295	Syan.g_03021
OG0000415	Prah.g_02296	Syan.g_03022
OG0000416	Prah.g_02297	Syan.g_03023
OG0000417	Prah.g_02298	Syan.g_03025
OG0000418	Prah.g_02303	Syan.g_03030
OG0000419	Prah.g_02305	Syan.g_03033
OG0000420	Prah.g_02306	Syan.g_03035
OG0000421	Prah.g_02310	Syan.g_03040
OG0000422	Prah.g_02311	Syan.g_03041
OG0000423	Prah.g_02312	Syan.g_03042
OG0000424	Prah.g_02313	Syan.g_03043
OG0000425	Prah.g_02314	Syan.g_03044
OG0000426	Prah.g_02315	Syan.g_03045
OG0000427	Prah.g_02316	Syan.g_03046
OG0000428	Prah.g_00709	Syan.g_03049
OG0000429	Prah.g_02321	Syan.g_03051
OG0000430	Prah.g_02323	Syan.g_03053
OG0000431	Prah.g_02334	Syan.g_03058
OG0000432	Prah.g_02341	Syan.g_03065
OG0000433	Prah.g_02344	Syan.g_03068
OG0000434	Prah.g_02345	Syan.g_03069
OG0000435	Prah.g_02350	Syan.g_03071
OG0000436	Prah.g_02356	Syan.g_03079
OG0000437	Prah.g_02357	Syan.g_03080
OG0000438	Prah.g_02358	Syan.g_03083
OG0000439	Prah.g_02360	Syan.g_03085
OG0000440	Prah.g_02361	Syan.g_03086
OG0000441	Prah.g_02364	Syan.g_03089
OG0000442	Prah.g_02365	Syan.g_03090
OG0000443	Prah.g_02370	Syan.g_03094
OG0000444	Prah.g_02418	Syan.g_03102
OG0000445	Prah.g_02417	Syan.g_03103
OG0000446	Prah.g_02415	Syan.g_03105
OG0000447	Prah.g_02411	Syan.g_03111
OG0000448	Prah.g_02410	Syan.g_03112
OG0000449	Prah.g_02409	Syan.g_03113
OG0000450	Prah.g_02403	Syan.g_01518
OG0000451	Prah.g_02402	Syan.g_01519
OG0000452	Prah.g_02398	Syan.g_01523
OG0000453	Prah.g_02397	Syan.g_01524
OG0000454	Prah.g_02396	Syan.g_01525
OG0000455	Prah.g_02395	Syan.g_01526
OG0000456	Prah.g_02394	Syan.g_01527
OG0000457	Prah.g_02392	Syan.g_01529
OG0000458	Prah.g_02391	Syan.g_01530
OG0000459	Prah.g_02390	Syan.g_01531
OG0000460	Prah.g_01781	Syan.g_02423
OG0000461	Prah.g_02074	Syan.g_02099
OG0000462	Prah.g_02078	Syan.g_02096
OG0000463	Prah.g_02079	Syan.g_02095
OG0000464	Prah.g_02080	Syan.g_02094
OG0000465	Prah.g_02082	Syan.g_02092
OG0000466	Prah.g_02087	Syan.g_02087
OG0000467	Prah.g_02089	Syan.g_02086
OG0000468	Prah.g_02098	Syan.g_02063
OG0000469	Prah.g_02111	Syan.g_02046
OG0000470	Prah.g_02114	Syan.g_02044
OG0000471	Prah.g_02115	Syan.g_02043
OG0000472	Prah.g_02117	Syan.g_02041
OG0000473	Prah.g_02119	Syan.g_02039
OG0000474	Prah.g_02120	Syan.g_02038
OG0000475	Prah.g_02121	Syan.g_02037
OG0000476	Prah.g_02123	Syan.g_02035
OG0000477	Prah.g_02128	Syan.g_02029
OG0000478	Prah.g_02129	Syan.g_02028
OG0000479	Prah.g_02130	Syan.g_02027
OG0000480	Prah.g_02137	Syan.g_02020
OG0000481	Prah.g_02139	Syan.g_00975
OG0000482	Prah.g_02140	Syan.g_02018
OG0000483	Prah.g_02144	Syan.g_02014
OG0000484	Prah.g_02145	Syan.g_02013
OG0000485	Prah.g_02146	Syan.g_02012
OG0000486	Prah.g_02147	Syan.g_02011
OG0000487	Prah.g_02152	Syan.g_02005
OG0000488	Prah.g_02156	Syan.g_02000
OG0000489	Prah.g_02167	Syan.g_01993
OG0000490	Prah.g_02172	Syan.g_01985
OG0000491	Prah.g_02173	Syan.g_01983
OG0000492	Prah.g_02175	Syan.g_01980
OG0000493	Prah.g_02176	Syan.g_01979
OG0000494	Prah.g_02177	Syan.g_01978
OG0000495	Prah.g_02178	Syan.g_01977
OG0000496	Prah.g_02179	Syan.g_01976
OG0000497	Prah.g_02180	Syan.g_01975
OG0000498	Prah.g_02181	Syan.g_01974
OG0000499	Prah.g_02182	Syan.g_01973
OG0000500	Prah.g_02183	Syan.g_01972
OG0000501	Prah.g_02186	Syan.g_01969
OG0000502	Prah.g_02199	Syan.g_01961
OG0000503	Prah.g_01940	Syan.g_02144
OG0000504	Prah.g_01938	Syan.g_02142
OG0000505	Prah.g_01937	Syan.g_02141
OG0000506	Prah.g_01935	Syan.g_02139
OG0000507	Prah.g_01930	Syan.g_02133
OG0000508	Prah.g_01922	Syan.g_02998
OG0000509	Prah.g_01920	Syan.g_02993
OG0000510	Prah.g_01919	Syan.g_02992
OG0000511	Prah.g_01918	Syan.g_02991
OG0000512	Prah.g_01916	Syan.g_02989
OG0000513	Prah.g_00209	Syan.g_02320
OG0000514	Prah.g_00218	Syan.g_02326
OG0000515	Prah.g_00219	Syan.g_02327
OG0000516	Prah.g_00221	Syan.g_02389
OG0000517	Prah.g_00229	Syan.g_02395
OG0000518	Prah.g_00241	Syan.g_01336
OG0000519	Prah.g_00242	Syan.g_01335
OG0000520	Prah.g_00247	Syan.g_01334
OG0000521	Prah.g_00255	Syan.g_02805
OG0000522	Prah.g_00257	Syan.g_02803
OG0000523	Prah.g_00258	Syan.g_02802
OG0000524	Prah.g_00290	Syan.g_02878
OG0000525	Prah.g_00304	Syan.g_02853
OG0000526	Prah.g_00306	Syan.g_02852
OG0000527	Prah.g_00310	Syan.g_02848
OG0000528	Prah.g_01572	Syan.g_02767
OG0000529	Prah.g_01565	Syan.g_02763
OG0000530	Prah.g_01562	Syan.g_02760
OG0000531	Prah.g_01561	Syan.g_02759
OG0000532	Prah.g_01558	Syan.g_02756
OG0000533	Prah.g_01556	Syan.g_02754
OG0000534	Prah.g_01555	Syan.g_02753
OG0000535	Prah.g_01554	Syan.g_02752
OG0000536	Prah.g_01553	Syan.g_02751
OG0000537	Prah.g_01552	Syan.g_02750
OG0000538	Prah.g_01541	Syan.g_02738
OG0000539	Prah.g_01540	Syan.g_02737
OG0000540	Prah.g_01539	Syan.g_02736
OG0000541	Prah.g_01538	Syan.g_02735
OG0000542	Prah.g_01535	Syan.g_02732
OG0000543	Prah.g_01533	Syan.g_02730
OG0000544	Prah.g_01532	Syan.g_02729
OG0000545	Prah.g_01530	Syan.g_02727
OG0000546	Prah.g_01528	Syan.g_02725
OG0000547	Prah.g_01526	Syan.g_02723
OG0000548	Prah.g_01525	Syan.g_02722
OG0000549	Prah.g_01519	Syan.g_01194
OG0000550	Prah.g_01514	Syan.g_01189
OG0000551	Prah.g_01510	Syan.g_01184
OG0000552	Prah.g_01509	Syan.g_01183
OG0000553	Prah.g_01505	Syan.g_01179
OG0000554	Prah.g_01500	Syan.g_01165
OG0000555	Prah.g_01480	Syan.g_00839
OG0000556	Prah.g_01474	Syan.g_00842
OG0000557	Prah.g_01473	Syan.g_00847
OG0000558	Prah.g_01470	Syan.g_00849
OG0000559	Prah.g_01466	Syan.g_00853
OG0000560	Prah.g_01463	Syan.g_00856
OG0000561	Prah.g_01462	Syan.g_00857
OG0000562	Prah.g_01461	Syan.g_00858
OG0000563	Prah.g_01460	Syan.g_00859
OG0000564	Prah.g_01459	Syan.g_00860
OG0000565	Prah.g_01457	Syan.g_00864
OG0000566	Prah.g_01452	Syan.g_00868
OG0000567	Prah.g_01448	Syan.g_00872
OG0000568	Prah.g_01446	Syan.g_00874
OG0000569	Prah.g_01445	Syan.g_00875
OG0000570	Prah.g_01444	Syan.g_00876
OG0000571	Prah.g_01441	Syan.g_00879
OG0000572	Prah.g_01425	Syan.g_00954
OG0000573	Prah.g_01416	Syan.g_00963
OG0000574	Prah.g_01415	Syan.g_00965
OG0000575	Prah.g_01406	Syan.g_01003
OG0000576	Prah.g_01404	Syan.g_01007
OG0000577	Prah.g_01403	Syan.g_01008
OG0000578	Prah.g_01402	Syan.g_01009
