Orthogroup	Prbi	Syap
OG0000232	Prbi.g_00459	Syap.g_02510, Syap.g_02511
OG0000233	Prbi.g_00465	Syap.g_02133
OG0000234	Prbi.g_00479	Syap.g_02755
OG0000235	Prbi.g_00482	Syap.g_00732, Syap.g_02258
OG0000236	Prbi.g_00496	Syap.g_02238
OG0000237	Prbi.g_00509	Syap.g_00262, Syap.g_00263
OG0000238	Prbi.g_00515	Syap.g_00257, Syap.g_00258
OG0000239	Prbi.g_00528	Syap.g_02744
OG0000240	Prbi.g_00529	Syap.g_02742
OG0000241	Prbi.g_00533	Syap.g_00888
OG0000242	Prbi.g_00535	Syap.g_01455
OG0000243	Prbi.g_00546	Syap.g_01938
OG0000244	Prbi.g_00549	Syap.g_01146, Syap.g_01145
OG0000245	Prbi.g_00551	Syap.g_01148
OG0000246	Prbi.g_00555	Syap.g_00308
OG0000247	Prbi.g_00565	Syap.g_00288, Syap.g_00293
OG0000248	Prbi.g_00567	Syap.g_00290
OG0000249	Prbi.g_00569	Syap.g_01296, Syap.g_01295
OG0000250	Prbi.g_00574	Syap.g_01306
OG0000251	Prbi.g_00593	Syap.g_00442
OG0000252	Prbi.g_00596	Syap.g_01857
OG0000253	Prbi.g_00597	Syap.g_00443
OG0000254	Prbi.g_00613	Syap.g_01527, Syap.g_01528
OG0000256	Prbi.g_00629	Syap.g_01287
OG0000257	Prbi.g_00632	Syap.g_00886
OG0000258	Prbi.g_00646	Syap.g_00907
OG0000260	Prbi.g_00666	Syap.g_01970
OG0000261	Prbi.g_00668	Syap.g_01962, Syap.g_01961
OG0000262	Prbi.g_00672	Syap.g_01954
OG0000263	Prbi.g_00684	Syap.g_00432, Syap.g_00433
OG0000266	Prbi.g_00755	Syap.g_00519
OG0000267	Prbi.g_00766	Syap.g_02333, Syap.g_02332
OG0000268	Prbi.g_00767	Syap.g_00646
OG0000269	Prbi.g_00842	Syap.g_00188
OG0000270	Prbi.g_00845	Syap.g_00192
OG0000271	Prbi.g_00853	Syap.g_00200, Syap.g_00201
OG0000272	Prbi.g_00854	Syap.g_00202
OG0000273	Prbi.g_00877	Syap.g_02703
OG0000274	Prbi.g_00878	Syap.g_02702
OG0000275	Prbi.g_00881	Syap.g_01847
OG0000276	Prbi.g_00886	Syap.g_01839, Syap.g_01838
OG0000277	Prbi.g_00887	Syap.g_01837
OG0000278	Prbi.g_00890	Syap.g_01834
OG0000279	Prbi.g_00897	Syap.g_00829, Syap.g_00830
OG0000280	Prbi.g_00898	Syap.g_00365
OG0000281	Prbi.g_00903	Syap.g_01977
OG0000282	Prbi.g_00953	Syap.g_01252
OG0000283	Prbi.g_00986	Syap.g_01728
OG0000284	Prbi.g_00991	Syap.g_01736
OG0000285	Prbi.g_00996	Syap.g_01746, Syap.g_01744
OG0000286	Prbi.g_01008	Syap.g_02014, Syap.g_02013
OG0000288	Prbi.g_01059	Syap.g_02764, Syap.g_02763
OG0000289	Prbi.g_01070	Syap.g_02784
OG0000290	Prbi.g_01083	Syap.g_01552
OG0000291	Prbi.g_01085	Syap.g_01554
OG0000292	Prbi.g_01136	Syap.g_02314
OG0000293	Prbi.g_01198	Syap.g_00240
OG0000294	Prbi.g_01199	Syap.g_00239
OG0000295	Prbi.g_01219	Syap.g_00206
OG0000296	Prbi.g_01221	Syap.g_00204
OG0000297	Prbi.g_01229	Syap.g_01887
OG0000298	Prbi.g_01230	Syap.g_01888
OG0000299	Prbi.g_01247	Syap.g_02620
OG0000302	Prbi.g_01253	Syap.g_02444, Syap.g_02445
OG0000303	Prbi.g_01260	Syap.g_02435
OG0000304	Prbi.g_01264	Syap.g_02430
OG0000305	Prbi.g_01431	Syap.g_01557
OG0000306	Prbi.g_01434	Syap.g_01966
OG0000307	Prbi.g_01448	Syap.g_02517
OG0000308	Prbi.g_01449	Syap.g_02514, Syap.g_02515
OG0000309	Prbi.g_01453	Syap.g_02198, Syap.g_02446
OG0000310	Prbi.g_01574	Syap.g_02660, Syap.g_02661
OG0000311	Prbi.g_01576	Syap.g_02657
OG0000312	Prbi.g_01579	Syap.g_02114
OG0000313	Prbi.g_01595	Syap.g_02473
OG0000314	Prbi.g_01617	Syap.g_00007
OG0000315	Prbi.g_01627	Syap.g_00017
OG0000316	Prbi.g_01647	Syap.g_00030
OG0000317	Prbi.g_01785	Syap.g_00618
OG0000318	Prbi.g_01788	Syap.g_00622, Syap.g_02786
OG0000319	Prbi.g_01801	Syap.g_01764, Syap.g_01771
OG0000320	Prbi.g_01803	Syap.g_01761, Syap.g_01769
OG0000321	Prbi.g_01804	Syap.g_01760, Syap.g_01768
OG0000322	Prbi.g_01805	Syap.g_01759, Syap.g_01767
OG0000323	Prbi.g_01814	Syap.g_01389
OG0000324	Prbi.g_01840	Syap.g_01503
OG0000325	Prbi.g_01849	Syap.g_02680
OG0000326	Prbi.g_01855	Syap.g_00544
OG0000327	Prbi.g_01897	Syap.g_01233, Syap.g_01913
OG0000328	Prbi.g_01898	Syap.g_01234, Syap.g_01912
OG0000329	Prbi.g_01915	Syap.g_00498
OG0000330	Prbi.g_01916	Syap.g_00497
OG0000331	Prbi.g_01917	Syap.g_00496
OG0000332	Prbi.g_01931	Syap.g_00481
OG0000333	Prbi.g_01933	Syap.g_00478
OG0000334	Prbi.g_01941	Syap.g_00468
OG0000335	Prbi.g_01946	Syap.g_00101, Syap.g_00463
OG0000336	Prbi.g_01950	Syap.g_00417, Syap.g_00607
OG0000337	Prbi.g_01966	Syap.g_01054
OG0000338	Prbi.g_01967	Syap.g_01059
OG0000339	Prbi.g_01971	Syap.g_01068
OG0000340	Prbi.g_01979	Syap.g_01077
OG0000341	Prbi.g_01981	Syap.g_01079
OG0000342	Prbi.g_01982	Syap.g_01080, Syap.g_02477
OG0000343	Prbi.g_01983	Syap.g_01086, Syap.g_02078
OG0000344	Prbi.g_01986	Syap.g_01091
OG0000345	Prbi.g_01991	Syap.g_01107, Syap.g_01470
OG0000346	Prbi.g_01995	Syap.g_02423, Syap.g_01113
OG0000347	Prbi.g_02011	Syap.g_01131, Syap.g_02459
OG0000348	Prbi.g_02033	Syap.g_00632
OG0000349	Prbi.g_02050	Syap.g_00110, Syap.g_01813
OG0000351	Prbi.g_02086	Syap.g_02594
OG0000352	Prbi.g_02087	Syap.g_02596, Syap.g_02597
OG0000353	Prbi.g_02102	Syap.g_00054
OG0000355	Prbi.g_00001	Syap.g_00056
OG0000356	Prbi.g_00002	Syap.g_00057
OG0000357	Prbi.g_00003	Syap.g_00058
OG0000358	Prbi.g_00007	Syap.g_00063
OG0000359	Prbi.g_00008	Syap.g_00065
OG0000360	Prbi.g_00009	Syap.g_00067
OG0000361	Prbi.g_00010	Syap.g_00068
OG0000362	Prbi.g_00012	Syap.g_00070
OG0000363	Prbi.g_00014	Syap.g_00072
OG0000364	Prbi.g_00015	Syap.g_00620
OG0000365	Prbi.g_00020	Syap.g_00081
OG0000366	Prbi.g_00021	Syap.g_00082
OG0000367	Prbi.g_00022	Syap.g_00083
OG0000368	Prbi.g_00024	Syap.g_00085
OG0000369	Prbi.g_00025	Syap.g_00086
OG0000370	Prbi.g_00026	Syap.g_00087
OG0000372	Prbi.g_00035	Syap.g_01805
OG0000373	Prbi.g_00036	Syap.g_01806
OG0000374	Prbi.g_00037	Syap.g_01807
OG0000375	Prbi.g_00049	Syap.g_01808
OG0000376	Prbi.g_00051	Syap.g_01811
OG0000377	Prbi.g_00056	Syap.g_00128
OG0000378	Prbi.g_00058	Syap.g_01326
OG0000380	Prbi.g_00073	Syap.g_01687
OG0000381	Prbi.g_00077	Syap.g_01690
OG0000382	Prbi.g_00088	Syap.g_02548
OG0000383	Prbi.g_00090	Syap.g_02359
OG0000384	Prbi.g_00091	Syap.g_02360
OG0000385	Prbi.g_00092	Syap.g_02361
OG0000386	Prbi.g_00093	Syap.g_02362
OG0000387	Prbi.g_00106	Syap.g_01864
OG0000391	Prbi.g_00124	Syap.g_02234
OG0000392	Prbi.g_00128	Syap.g_02225
OG0000393	Prbi.g_00130	Syap.g_02222
OG0000394	Prbi.g_00131	Syap.g_02221
OG0000395	Prbi.g_00132	Syap.g_02220
OG0000396	Prbi.g_00135	Syap.g_02217
OG0000397	Prbi.g_00137	Syap.g_02215
OG0000398	Prbi.g_00139	Syap.g_02211
OG0000399	Prbi.g_00140	Syap.g_02210
OG0000400	Prbi.g_00141	Syap.g_02209
OG0000401	Prbi.g_00142	Syap.g_02208
OG0000402	Prbi.g_00144	Syap.g_02206
OG0000403	Prbi.g_00145	Syap.g_02205
OG0000404	Prbi.g_00146	Syap.g_02204, Syap.g_02618
OG0000405	Prbi.g_00150	Syap.g_02191
OG0000406	Prbi.g_00171	Syap.g_02186
OG0000407	Prbi.g_00172	Syap.g_02185
OG0000408	Prbi.g_00174	Syap.g_02181, Syap.g_02182
OG0000409	Prbi.g_00176	Syap.g_02179
OG0000410	Prbi.g_00177	Syap.g_02178
OG0000411	Prbi.g_00178	Syap.g_02177
OG0000412	Prbi.g_00179	Syap.g_02176
OG0000413	Prbi.g_00180	Syap.g_02174
OG0000414	Prbi.g_00181	Syap.g_02173
OG0000415	Prbi.g_00182	Syap.g_02172
OG0000416	Prbi.g_00183	Syap.g_02171
OG0000417	Prbi.g_00184	Syap.g_02169
OG0000418	Prbi.g_00189	Syap.g_01204
OG0000419	Prbi.g_00191	Syap.g_01201
OG0000420	Prbi.g_00192	Syap.g_01199
OG0000421	Prbi.g_00197	Syap.g_01195
OG0000422	Prbi.g_00198	Syap.g_01194
OG0000423	Prbi.g_00199	Syap.g_01193
OG0000424	Prbi.g_00200	Syap.g_01192
OG0000425	Prbi.g_00201	Syap.g_01191
OG0000426	Prbi.g_00202	Syap.g_01190
OG0000427	Prbi.g_00203	Syap.g_01189
OG0000428	Prbi.g_00205	Syap.g_01186
OG0000429	Prbi.g_00206	Syap.g_01184
OG0000430	Prbi.g_00207	Syap.g_01182
OG0000431	Prbi.g_00209	Syap.g_01179
OG0000432	Prbi.g_00212	Syap.g_02277
OG0000433	Prbi.g_00213	Syap.g_02272
OG0000434	Prbi.g_00214	Syap.g_02271
OG0000435	Prbi.g_00215	Syap.g_02268
OG0000436	Prbi.g_00220	Syap.g_01607
OG0000437	Prbi.g_00221	Syap.g_01608
OG0000438	Prbi.g_00222	Syap.g_01612
OG0000439	Prbi.g_00224	Syap.g_01614
OG0000440	Prbi.g_00225	Syap.g_01615
OG0000441	Prbi.g_00228	Syap.g_01619
OG0000442	Prbi.g_00229	Syap.g_01620
OG0000443	Prbi.g_00230	Syap.g_01622
OG0000444	Prbi.g_00235	Syap.g_01424
OG0000445	Prbi.g_00236	Syap.g_01421
OG0000446	Prbi.g_00237	Syap.g_01419
OG0000447	Prbi.g_00238	Syap.g_01410
OG0000448	Prbi.g_00239	Syap.g_01407
OG0000449	Prbi.g_00240	Syap.g_01406
OG0000450	Prbi.g_00241	Syap.g_01909
OG0000451	Prbi.g_00242	Syap.g_01908
OG0000452	Prbi.g_00245	Syap.g_01904
OG0000453	Prbi.g_00246	Syap.g_01903
OG0000454	Prbi.g_00247	Syap.g_01902
OG0000455	Prbi.g_00248	Syap.g_01901
OG0000456	Prbi.g_00249	Syap.g_01900
OG0000457	Prbi.g_00250	Syap.g_01896
OG0000458	Prbi.g_00251	Syap.g_01895
OG0000459	Prbi.g_00252	Syap.g_01894
OG0000460	Prbi.g_00259	Syap.g_01159
OG0000461	Prbi.g_00266	Syap.g_01575
OG0000462	Prbi.g_00268	Syap.g_01578
OG0000463	Prbi.g_00269	Syap.g_01579
OG0000464	Prbi.g_00270	Syap.g_01580
OG0000465	Prbi.g_00271	Syap.g_01582
OG0000466	Prbi.g_00274	Syap.g_01587
OG0000467	Prbi.g_00275	Syap.g_01588
OG0000468	Prbi.g_00277	Syap.g_01593
OG0000469	Prbi.g_00286	Syap.g_02352
OG0000470	Prbi.g_00288	Syap.g_02349
OG0000471	Prbi.g_00289	Syap.g_02348
OG0000472	Prbi.g_00290	Syap.g_02347
OG0000473	Prbi.g_00292	Syap.g_02343
OG0000474	Prbi.g_00293	Syap.g_02342
OG0000475	Prbi.g_00294	Syap.g_02341
OG0000476	Prbi.g_00295	Syap.g_02339
OG0000477	Prbi.g_00299	Syap.g_01367
OG0000478	Prbi.g_00300	Syap.g_01366
OG0000479	Prbi.g_00301	Syap.g_01364
OG0000480	Prbi.g_00306	Syap.g_01357
OG0000482	Prbi.g_00309	Syap.g_01355
OG0000483	Prbi.g_00312	Syap.g_01344
OG0000484	Prbi.g_00313	Syap.g_01350
OG0000485	Prbi.g_00314	Syap.g_01349
OG0000487	Prbi.g_00319	Syap.g_01635
OG0000488	Prbi.g_00322	Syap.g_01639
OG0000489	Prbi.g_00327	Syap.g_02482
OG0000490	Prbi.g_00332	Syap.g_01673
OG0000491	Prbi.g_00333	Syap.g_01670
OG0000492	Prbi.g_00335	Syap.g_01668
OG0000493	Prbi.g_00336	Syap.g_01667
OG0000494	Prbi.g_00337	Syap.g_01666
OG0000495	Prbi.g_00338	Syap.g_01665
OG0000496	Prbi.g_00339	Syap.g_01663
OG0000497	Prbi.g_00340	Syap.g_01662
OG0000498	Prbi.g_00341	Syap.g_01661
OG0000499	Prbi.g_00342	Syap.g_01660
OG0000500	Prbi.g_00343	Syap.g_01659
OG0000501	Prbi.g_00345	Syap.g_01656
OG0000502	Prbi.g_00348	Syap.g_02066
OG0000503	Prbi.g_00358	Syap.g_00569
OG0000504	Prbi.g_00359	Syap.g_00567
OG0000505	Prbi.g_00360	Syap.g_00566
OG0000506	Prbi.g_00362	Syap.g_00564
OG0000507	Prbi.g_00365	Syap.g_00558
OG0000508	Prbi.g_00369	Syap.g_00554
OG0000509	Prbi.g_00371	Syap.g_00551
OG0000510	Prbi.g_00372	Syap.g_00550
OG0000511	Prbi.g_00373	Syap.g_00548
OG0000512	Prbi.g_00375	Syap.g_02145
OG0000513	Prbi.g_00382	Syap.g_02048
OG0000514	Prbi.g_00432	Syap.g_02051
OG0000515	Prbi.g_00433	Syap.g_02052
OG0000516	Prbi.g_00434	Syap.g_02054
OG0000517	Prbi.g_00436	Syap.g_02057
OG0000519	Prbi.g_00448	Syap.g_00457
OG0000520	Prbi.g_00449	Syap.g_00456
OG0000521	Prbi.g_00454	Syap.g_01997
OG0000522	Prbi.g_00456	Syap.g_01995
OG0000523	Prbi.g_00457	Syap.g_02507
OG0000524	Prbi.g_00463	Syap.g_02135
OG0000525	Prbi.g_00466	Syap.g_02159
OG0000526	Prbi.g_00467	Syap.g_02157
OG0000527	Prbi.g_00476	Syap.g_02758
OG0000528	Prbi.g_00481	Syap.g_02261
OG0000529	Prbi.g_00484	Syap.g_02254
OG0000530	Prbi.g_00487	Syap.g_02252
OG0000531	Prbi.g_00488	Syap.g_02251
OG0000532	Prbi.g_00490	Syap.g_02247
OG0000533	Prbi.g_00491	Syap.g_02244
OG0000534	Prbi.g_00492	Syap.g_02243
OG0000535	Prbi.g_00493	Syap.g_02242
OG0000536	Prbi.g_00494	Syap.g_02241
OG0000537	Prbi.g_00495	Syap.g_02240
OG0000538	Prbi.g_00503	Syap.g_00271
OG0000539	Prbi.g_00504	Syap.g_00270
OG0000540	Prbi.g_00505	Syap.g_00269
OG0000541	Prbi.g_00506	Syap.g_00268
OG0000542	Prbi.g_00508	Syap.g_00264
OG0000543	Prbi.g_00510	Syap.g_00261
OG0000544	Prbi.g_00511	Syap.g_00260
OG0000545	Prbi.g_00513	Syap.g_00259
OG0000546	Prbi.g_00516	Syap.g_00256
OG0000547	Prbi.g_00518	Syap.g_00254
OG0000548	Prbi.g_00519	Syap.g_00253
OG0000549	Prbi.g_00521	Syap.g_00758
OG0000550	Prbi.g_00526	Syap.g_02747
OG0000551	Prbi.g_00530	Syap.g_02739
OG0000552	Prbi.g_00531	Syap.g_02738
OG0000553	Prbi.g_00532	Syap.g_02735
OG0000554	Prbi.g_00537	Syap.g_01450
OG0000555	Prbi.g_00545	Syap.g_01941
OG0000556	Prbi.g_00547	Syap.g_01933
OG0000557	Prbi.g_00548	Syap.g_01931
