Orthogroup	Prbi	Syaq
OG0000054	Prbi.g_00608	Syaq.g_02005
OG0000055	Prbi.g_00828	Syaq.g_02700
OG0000057	Prbi.g_00702	Syaq.g_02541, Syaq.g_02605
OG0000059	Prbi.g_01873	Syaq.g_00657
OG0000061	Prbi.g_01207	Syaq.g_00249
OG0000062	Prbi.g_01668	Syaq.g_01690
OG0000063	Prbi.g_00033	Syaq.g_01110
OG0000065	Prbi.g_00114	Syaq.g_01487, Syaq.g_01908
OG0000066	Prbi.g_00542	Syaq.g_01851
OG0000067	Prbi.g_00847	Syaq.g_02340, Syaq.g_02560
OG0000068	Prbi.g_01439	Syaq.g_01763
OG0000070	Prbi.g_00451	Syaq.g_00484
OG0000071	Prbi.g_01391	Syaq.g_00297
OG0000072	Prbi.g_00195	Syaq.g_01397
OG0000073	Prbi.g_00502	Syaq.g_01795
OG0000075	Prbi.g_01970	Syaq.g_00986
OG0000076	Prbi.g_01994	Syaq.g_01028
OG0000077	Prbi.g_00085	Syaq.g_01547
OG0000078	Prbi.g_00263	Syaq.g_01585
OG0000079	Prbi.g_00276	Syaq.g_00721
OG0000081	Prbi.g_00534	Syaq.g_01893
OG0000082	Prbi.g_00587	Syaq.g_01975
OG0000084	Prbi.g_01585	Syaq.g_00367
OG0000085	Prbi.g_01780	Syaq.g_01683
OG0000086	Prbi.g_00095	Syaq.g_01525
OG0000087	Prbi.g_00147	Syaq.g_01438
OG0000088	Prbi.g_00190	Syaq.g_01402
OG0000089	Prbi.g_00380	Syaq.g_00529
OG0000090	Prbi.g_00536	Syaq.g_01838
OG0000091	Prbi.g_00645	Syaq.g_02090
OG0000093	Prbi.g_00977	Syaq.g_02323
OG0000094	Prbi.g_01067	Syaq.g_00056, Syaq.g_02554
OG0000095	Prbi.g_01086	Syaq.g_02679
OG0000097	Prbi.g_01248	Syaq.g_00167
OG0000098	Prbi.g_01421	Syaq.g_02221, Syaq.g_01849
OG0000099	Prbi.g_01462	Syaq.g_00882
OG0000100	Prbi.g_01664	Syaq.g_02371
OG0000101	Prbi.g_01938	Syaq.g_00607
OG0000102	Prbi.g_01999	Syaq.g_01033
OG0000103	Prbi.g_02091	Syaq.g_01170
OG0000104	Prbi.g_02099	Syaq.g_01154
OG0000105	Prbi.g_00298	Syaq.g_00754
OG0000106	Prbi.g_00394	Syaq.g_01863
OG0000107	Prbi.g_00409	Syaq.g_00694
OG0000108	Prbi.g_00483	Syaq.g_01772
OG0000109	Prbi.g_00497	Syaq.g_01788
OG0000110	Prbi.g_00577	Syaq.g_01962
OG0000111	Prbi.g_00703	Syaq.g_02606
OG0000112	Prbi.g_00811	Syaq.g_02476
OG0000114	Prbi.g_00951	Syaq.g_02269
OG0000115	Prbi.g_01148	Syaq.g_00395
OG0000116	Prbi.g_01197	Syaq.g_00263
OG0000117	Prbi.g_01330	Syaq.g_00203
OG0000118	Prbi.g_01403	Syaq.g_00325, Syaq.g_00316
OG0000120	Prbi.g_01460	Syaq.g_00883
OG0000121	Prbi.g_01593	Syaq.g_00375
OG0000122	Prbi.g_01630	Syaq.g_02118
OG0000123	Prbi.g_01945	Syaq.g_00599
OG0000124	Prbi.g_02010	Syaq.g_01055
OG0000125	Prbi.g_02059	Syaq.g_01256
OG0000126	Prbi.g_02098	Syaq.g_01156
OG0000128	Prbi.g_00011	Syaq.g_01138
OG0000129	Prbi.g_00053	Syaq.g_01269
OG0000130	Prbi.g_00076	Syaq.g_01559
OG0000131	Prbi.g_00169	Syaq.g_01427, Syaq.g_01424
OG0000132	Prbi.g_00188	Syaq.g_01036, Syaq.g_01404
OG0000133	Prbi.g_00346	Syaq.g_02481
OG0000134	Prbi.g_00381	Syaq.g_00526
OG0000135	Prbi.g_00407	Syaq.g_01227
OG0000136	Prbi.g_00442	Syaq.g_00496
OG0000137	Prbi.g_00478	Syaq.g_00442
OG0000138	Prbi.g_00498	Syaq.g_01789
OG0000139	Prbi.g_00540	Syaq.g_01844
OG0000140	Prbi.g_00541	Syaq.g_01848
OG0000141	Prbi.g_00609	Syaq.g_02010
OG0000142	Prbi.g_00638	Syaq.g_02082
OG0000143	Prbi.g_00642	Syaq.g_02086
OG0000144	Prbi.g_00655	Syaq.g_02152
OG0000145	Prbi.g_00807	Syaq.g_01796
OG0000146	Prbi.g_00812	Syaq.g_02475
OG0000147	Prbi.g_00813	Syaq.g_02474
OG0000148	Prbi.g_00863	Syaq.g_02359
OG0000149	Prbi.g_00894	Syaq.g_02395
OG0000150	Prbi.g_00902	Syaq.g_02011
OG0000151	Prbi.g_00961	Syaq.g_02283
OG0000152	Prbi.g_01009	Syaq.g_02485
OG0000153	Prbi.g_01028	Syaq.g_02518
OG0000154	Prbi.g_01060	Syaq.g_00066
OG0000155	Prbi.g_01227	Syaq.g_00212
OG0000156	Prbi.g_01380	Syaq.g_00281
OG0000157	Prbi.g_01381	Syaq.g_00282
OG0000158	Prbi.g_01489	Syaq.g_01003
OG0000159	Prbi.g_01490	Syaq.g_00918, Syaq.g_00941
OG0000160	Prbi.g_01592	Syaq.g_00374
OG0000161	Prbi.g_01598	Syaq.g_00382
OG0000162	Prbi.g_01604	Syaq.g_00389
OG0000163	Prbi.g_01637	Syaq.g_02373, Syaq.g_01730
OG0000164	Prbi.g_01811	Syaq.g_01642
OG0000165	Prbi.g_01818	Syaq.g_01630
OG0000166	Prbi.g_01902	Syaq.g_00647
OG0000167	Prbi.g_01968	Syaq.g_00983
OG0000168	Prbi.g_01978	Syaq.g_01004
OG0000169	Prbi.g_01988	Syaq.g_01016
OG0000170	Prbi.g_01990	Syaq.g_01023
OG0000171	Prbi.g_02009	Syaq.g_01052
OG0000172	Prbi.g_02030	Syaq.g_01074
OG0000173	Prbi.g_02045	Syaq.g_01092
OG0000174	Prbi.g_02073	Syaq.g_01224
OG0000175	Prbi.g_02083	Syaq.g_01183
OG0000176	Prbi.g_00004	Syaq.g_01146
OG0000177	Prbi.g_00005	Syaq.g_01145
OG0000178	Prbi.g_00006	Syaq.g_01144
OG0000179	Prbi.g_00016	Syaq.g_01129
OG0000180	Prbi.g_00017	Syaq.g_01128
OG0000181	Prbi.g_00018	Syaq.g_01127
OG0000182	Prbi.g_00019	Syaq.g_01126
OG0000183	Prbi.g_00023	Syaq.g_01122
OG0000184	Prbi.g_00057	Syaq.g_01277
OG0000185	Prbi.g_00060	Syaq.g_01290
OG0000186	Prbi.g_00071	Syaq.g_01563
OG0000187	Prbi.g_00072	Syaq.g_01561
OG0000188	Prbi.g_00089	Syaq.g_01539
OG0000189	Prbi.g_00103	Syaq.g_01499, Syaq.g_00122
OG0000190	Prbi.g_00104	Syaq.g_01497
OG0000191	Prbi.g_00125	Syaq.g_01467
OG0000192	Prbi.g_00129	Syaq.g_01462
OG0000193	Prbi.g_00170	Syaq.g_01423
OG0000194	Prbi.g_00173	Syaq.g_01420
OG0000195	Prbi.g_00175	Syaq.g_01418
OG0000196	Prbi.g_00185	Syaq.g_01407
OG0000197	Prbi.g_00186	Syaq.g_01406
OG0000198	Prbi.g_00187	Syaq.g_01405
OG0000199	Prbi.g_00194	Syaq.g_01398
OG0000200	Prbi.g_00208	Syaq.g_01382
OG0000201	Prbi.g_00216	Syaq.g_01365
OG0000202	Prbi.g_00217	Syaq.g_01364
OG0000203	Prbi.g_00218	Syaq.g_01363
OG0000204	Prbi.g_00219	Syaq.g_01362
OG0000205	Prbi.g_00226	Syaq.g_01355
OG0000206	Prbi.g_00231	Syaq.g_01345
OG0000207	Prbi.g_00233	Syaq.g_01338
OG0000208	Prbi.g_00234	Syaq.g_01337
OG0000209	Prbi.g_00243	Syaq.g_01310
OG0000210	Prbi.g_00244	Syaq.g_01309
OG0000211	Prbi.g_00257	Syaq.g_01570
OG0000212	Prbi.g_00264	Syaq.g_01586
OG0000213	Prbi.g_00281	Syaq.g_00729
OG0000214	Prbi.g_00291	Syaq.g_00745
OG0000215	Prbi.g_00316	Syaq.g_00777
OG0000216	Prbi.g_00318	Syaq.g_00781
OG0000217	Prbi.g_00321	Syaq.g_00844
OG0000218	Prbi.g_00323	Syaq.g_00846
OG0000219	Prbi.g_00324	Syaq.g_00847
OG0000220	Prbi.g_00325	Syaq.g_00848
OG0000221	Prbi.g_00326	Syaq.g_00856
OG0000222	Prbi.g_00334	Syaq.g_00868
OG0000223	Prbi.g_00347	Syaq.g_00946
OG0000224	Prbi.g_00349	Syaq.g_00950
OG0000225	Prbi.g_00370	Syaq.g_00543
OG0000226	Prbi.g_00374	Syaq.g_00536
OG0000227	Prbi.g_00376	Syaq.g_00534
OG0000228	Prbi.g_00379	Syaq.g_00531
OG0000229	Prbi.g_00437	Syaq.g_00501
OG0000230	Prbi.g_00439	Syaq.g_00499
OG0000231	Prbi.g_00450	Syaq.g_00485
OG0000232	Prbi.g_00459	Syaq.g_00472
OG0000233	Prbi.g_00465	Syaq.g_00464
OG0000234	Prbi.g_00479	Syaq.g_00440
OG0000235	Prbi.g_00482	Syaq.g_01771
OG0000236	Prbi.g_00496	Syaq.g_01787
OG0000237	Prbi.g_00509	Syaq.g_01805
OG0000238	Prbi.g_00515	Syaq.g_01810
OG0000239	Prbi.g_00528	Syaq.g_01826
OG0000240	Prbi.g_00529	Syaq.g_01827
OG0000241	Prbi.g_00533	Syaq.g_02074
OG0000242	Prbi.g_00535	Syaq.g_01836
OG0000243	Prbi.g_00546	Syaq.g_01922
OG0000244	Prbi.g_00549	Syaq.g_01928
OG0000245	Prbi.g_00551	Syaq.g_01930
OG0000246	Prbi.g_00555	Syaq.g_01934
OG0000247	Prbi.g_00565	Syaq.g_01945
OG0000248	Prbi.g_00567	Syaq.g_01948
OG0000249	Prbi.g_00569	Syaq.g_01950
OG0000250	Prbi.g_00574	Syaq.g_01958
OG0000251	Prbi.g_00593	Syaq.g_01984
OG0000252	Prbi.g_00596	Syaq.g_01987
OG0000253	Prbi.g_00597	Syaq.g_01989
OG0000254	Prbi.g_00613	Syaq.g_02016
OG0000255	Prbi.g_00619	Syaq.g_02041
OG0000256	Prbi.g_00629	Syaq.g_02068
OG0000257	Prbi.g_00632	Syaq.g_02073
OG0000258	Prbi.g_00646	Syaq.g_02095
OG0000259	Prbi.g_00663	Syaq.g_02239
OG0000260	Prbi.g_00666	Syaq.g_02242
OG0000261	Prbi.g_00668	Syaq.g_02245
OG0000262	Prbi.g_00672	Syaq.g_02250
OG0000263	Prbi.g_00684	Syaq.g_00185
OG0000264	Prbi.g_00694	Syaq.g_02582
OG0000266	Prbi.g_00755	Syaq.g_00037
OG0000267	Prbi.g_00766	Syaq.g_02430
OG0000268	Prbi.g_00767	Syaq.g_02431
OG0000269	Prbi.g_00842	Syaq.g_02335
OG0000270	Prbi.g_00845	Syaq.g_02338
OG0000271	Prbi.g_00853	Syaq.g_02346
OG0000272	Prbi.g_00854	Syaq.g_02347
OG0000273	Prbi.g_00877	Syaq.g_02376
OG0000274	Prbi.g_00878	Syaq.g_02377
OG0000275	Prbi.g_00881	Syaq.g_02380
OG0000276	Prbi.g_00886	Syaq.g_02387
OG0000277	Prbi.g_00887	Syaq.g_02388
OG0000278	Prbi.g_00890	Syaq.g_02391
OG0000279	Prbi.g_00897	Syaq.g_02401
OG0000280	Prbi.g_00898	Syaq.g_02410
OG0000281	Prbi.g_00903	Syaq.g_02224
OG0000282	Prbi.g_00953	Syaq.g_02271
OG0000283	Prbi.g_00986	Syaq.g_02445
OG0000284	Prbi.g_00991	Syaq.g_02450
OG0000285	Prbi.g_00996	Syaq.g_02466
OG0000286	Prbi.g_01008	Syaq.g_02484
OG0000287	Prbi.g_01025	Syaq.g_02511
OG0000288	Prbi.g_01059	Syaq.g_00067
OG0000289	Prbi.g_01070	Syaq.g_00053
OG0000290	Prbi.g_01083	Syaq.g_02682
OG0000291	Prbi.g_01085	Syaq.g_02680
OG0000292	Prbi.g_01136	Syaq.g_01157
OG0000293	Prbi.g_01198	Syaq.g_00262
OG0000294	Prbi.g_01199	Syaq.g_00261
OG0000295	Prbi.g_01219	Syaq.g_00220
OG0000296	Prbi.g_01221	Syaq.g_00218
OG0000297	Prbi.g_01229	Syaq.g_00205
OG0000298	Prbi.g_01230	Syaq.g_00204
OG0000299	Prbi.g_01247	Syaq.g_00171
OG0000300	Prbi.g_01250	Syaq.g_00164
OG0000301	Prbi.g_01251	Syaq.g_00163
OG0000302	Prbi.g_01253	Syaq.g_00162
OG0000303	Prbi.g_01260	Syaq.g_00152
OG0000304	Prbi.g_01264	Syaq.g_00146
OG0000305	Prbi.g_01431	Syaq.g_02677
OG0000306	Prbi.g_01434	Syaq.g_01861
OG0000307	Prbi.g_01448	Syaq.g_01754
OG0000308	Prbi.g_01449	Syaq.g_01752
OG0000309	Prbi.g_01453	Syaq.g_01747
OG0000310	Prbi.g_01574	Syaq.g_00347
OG0000311	Prbi.g_01576	Syaq.g_00352
OG0000312	Prbi.g_01579	Syaq.g_00359
OG0000313	Prbi.g_01595	Syaq.g_00379
OG0000314	Prbi.g_01617	Syaq.g_00408
OG0000315	Prbi.g_01627	Syaq.g_00418
OG0000316	Prbi.g_01647	Syaq.g_01716
OG0000317	Prbi.g_01785	Syaq.g_01675
OG0000318	Prbi.g_01788	Syaq.g_01672
OG0000319	Prbi.g_01801	Syaq.g_01657
OG0000320	Prbi.g_01803	Syaq.g_01655
OG0000321	Prbi.g_01804	Syaq.g_01654
OG0000322	Prbi.g_01805	Syaq.g_01653
OG0000323	Prbi.g_01814	Syaq.g_01638
OG0000324	Prbi.g_01840	Syaq.g_01605
OG0000325	Prbi.g_01849	Syaq.g_00693
OG0000326	Prbi.g_01855	Syaq.g_00686
OG0000327	Prbi.g_01897	Syaq.g_00652
OG0000328	Prbi.g_01898	Syaq.g_00651
OG0000329	Prbi.g_01915	Syaq.g_00633
OG0000330	Prbi.g_01916	Syaq.g_00632
OG0000331	Prbi.g_01917	Syaq.g_00631
OG0000332	Prbi.g_01931	Syaq.g_00616
OG0000333	Prbi.g_01933	Syaq.g_00613
OG0000334	Prbi.g_01941	Syaq.g_00603
OG0000335	Prbi.g_01946	Syaq.g_00598
OG0000336	Prbi.g_01950	Syaq.g_00594
OG0000337	Prbi.g_01966	Syaq.g_00975
OG0000338	Prbi.g_01967	Syaq.g_00981
OG0000339	Prbi.g_01971	Syaq.g_00988
OG0000340	Prbi.g_01979	Syaq.g_01005
OG0000341	Prbi.g_01981	Syaq.g_01007
OG0000342	Prbi.g_01982	Syaq.g_01008
OG0000343	Prbi.g_01983	Syaq.g_01010
OG0000344	Prbi.g_01986	Syaq.g_01014
OG0000345	Prbi.g_01991	Syaq.g_01024
OG0000346	Prbi.g_01995	Syaq.g_01029
OG0000347	Prbi.g_02011	Syaq.g_01057
OG0000348	Prbi.g_02033	Syaq.g_01070
OG0000349	Prbi.g_02050	Syaq.g_01099
OG0000350	Prbi.g_02069	Syaq.g_00679
OG0000351	Prbi.g_02086	Syaq.g_01179
OG0000352	Prbi.g_02087	Syaq.g_01178
OG0000353	Prbi.g_02102	Syaq.g_01151
OG0000355	Prbi.g_00001	Syaq.g_01149
OG0000356	Prbi.g_00002	Syaq.g_01148
OG0000357	Prbi.g_00003	Syaq.g_01147
OG0000358	Prbi.g_00007	Syaq.g_01143
OG0000359	Prbi.g_00008	Syaq.g_01141
OG0000360	Prbi.g_00009	Syaq.g_01140
OG0000361	Prbi.g_00010	Syaq.g_01139
OG0000362	Prbi.g_00012	Syaq.g_01137
OG0000363	Prbi.g_00014	Syaq.g_01135
OG0000364	Prbi.g_00015	Syaq.g_01134
OG0000365	Prbi.g_00020	Syaq.g_01125
OG0000366	Prbi.g_00021	Syaq.g_01124
OG0000367	Prbi.g_00022	Syaq.g_01123
OG0000368	Prbi.g_00024	Syaq.g_01121
OG0000369	Prbi.g_00025	Syaq.g_01120
OG0000370	Prbi.g_00026	Syaq.g_01119
OG0000371	Prbi.g_00032	Syaq.g_01111
OG0000372	Prbi.g_00035	Syaq.g_01106
OG0000373	Prbi.g_00036	Syaq.g_01105
OG0000374	Prbi.g_00037	Syaq.g_01104
OG0000375	Prbi.g_00049	Syaq.g_01103
OG0000376	Prbi.g_00051	Syaq.g_01101
OG0000377	Prbi.g_00056	Syaq.g_01270
OG0000378	Prbi.g_00058	Syaq.g_01286
OG0000379	Prbi.g_00061	Syaq.g_01291
OG0000380	Prbi.g_00073	Syaq.g_01560
OG0000381	Prbi.g_00077	Syaq.g_01558
OG0000382	Prbi.g_00088	Syaq.g_01540
OG0000383	Prbi.g_00090	Syaq.g_01535
OG0000384	Prbi.g_00091	Syaq.g_01534
OG0000385	Prbi.g_00092	Syaq.g_01533
OG0000386	Prbi.g_00093	Syaq.g_01532
OG0000387	Prbi.g_00106	Syaq.g_01495
OG0000388	Prbi.g_00109	Syaq.g_01491
OG0000389	Prbi.g_00113	Syaq.g_01488
OG0000390	Prbi.g_00120	Syaq.g_01473
OG0000391	Prbi.g_00124	Syaq.g_01468
OG0000392	Prbi.g_00128	Syaq.g_01463
OG0000393	Prbi.g_00130	Syaq.g_01460
OG0000394	Prbi.g_00131	Syaq.g_01459
OG0000395	Prbi.g_00132	Syaq.g_01458
OG0000396	Prbi.g_00135	Syaq.g_01455
OG0000397	Prbi.g_00137	Syaq.g_01453
OG0000398	Prbi.g_00139	Syaq.g_01448
OG0000399	Prbi.g_00140	Syaq.g_01447
OG0000400	Prbi.g_00141	Syaq.g_01446
OG0000401	Prbi.g_00142	Syaq.g_01445
OG0000402	Prbi.g_00144	Syaq.g_01443
OG0000403	Prbi.g_00145	Syaq.g_01442
OG0000404	Prbi.g_00146	Syaq.g_01440
OG0000405	Prbi.g_00150	Syaq.g_01429
OG0000406	Prbi.g_00171	Syaq.g_01422
OG0000407	Prbi.g_00172	Syaq.g_01421
OG0000408	Prbi.g_00174	Syaq.g_01419
OG0000409	Prbi.g_00176	Syaq.g_01417
OG0000410	Prbi.g_00177	Syaq.g_01416
OG0000411	Prbi.g_00178	Syaq.g_01415
OG0000412	Prbi.g_00179	Syaq.g_01414
OG0000413	Prbi.g_00180	Syaq.g_01412
OG0000414	Prbi.g_00181	Syaq.g_01411
OG0000415	Prbi.g_00182	Syaq.g_01410
OG0000416	Prbi.g_00183	Syaq.g_01409
OG0000417	Prbi.g_00184	Syaq.g_01408
OG0000418	Prbi.g_00189	Syaq.g_01403
OG0000419	Prbi.g_00191	Syaq.g_01401
OG0000420	Prbi.g_00192	Syaq.g_01400
OG0000421	Prbi.g_00197	Syaq.g_01395
OG0000422	Prbi.g_00198	Syaq.g_01394
OG0000423	Prbi.g_00199	Syaq.g_01393
OG0000424	Prbi.g_00200	Syaq.g_01392
OG0000425	Prbi.g_00201	Syaq.g_01391
OG0000426	Prbi.g_00202	Syaq.g_01390
OG0000427	Prbi.g_00203	Syaq.g_01389
OG0000428	Prbi.g_00205	Syaq.g_01386
OG0000429	Prbi.g_00206	Syaq.g_01384
OG0000430	Prbi.g_00207	Syaq.g_01383
OG0000431	Prbi.g_00209	Syaq.g_01380
OG0000432	Prbi.g_00212	Syaq.g_01374
OG0000433	Prbi.g_00213	Syaq.g_01369
OG0000434	Prbi.g_00214	Syaq.g_01368
OG0000435	Prbi.g_00215	Syaq.g_01367
OG0000436	Prbi.g_00220	Syaq.g_01361
OG0000437	Prbi.g_00221	Syaq.g_01360
OG0000438	Prbi.g_00222	Syaq.g_01359
OG0000439	Prbi.g_00224	Syaq.g_01357
OG0000440	Prbi.g_00225	Syaq.g_01356
OG0000441	Prbi.g_00228	Syaq.g_01352
OG0000442	Prbi.g_00229	Syaq.g_01350
OG0000443	Prbi.g_00230	Syaq.g_01347
OG0000444	Prbi.g_00235	Syaq.g_01333
OG0000445	Prbi.g_00236	Syaq.g_01332
OG0000446	Prbi.g_00237	Syaq.g_01330
OG0000447	Prbi.g_00238	Syaq.g_01328
OG0000448	Prbi.g_00239	Syaq.g_01327
OG0000449	Prbi.g_00240	Syaq.g_01320
OG0000450	Prbi.g_00241	Syaq.g_01313
OG0000451	Prbi.g_00242	Syaq.g_01312
OG0000452	Prbi.g_00245	Syaq.g_01308
OG0000453	Prbi.g_00246	Syaq.g_01307
OG0000454	Prbi.g_00247	Syaq.g_01306
OG0000455	Prbi.g_00248	Syaq.g_01305
OG0000456	Prbi.g_00249	Syaq.g_01304
OG0000457	Prbi.g_00250	Syaq.g_01302
OG0000458	Prbi.g_00251	Syaq.g_01299
OG0000459	Prbi.g_00252	Syaq.g_01298
OG0000460	Prbi.g_00259	Syaq.g_01577
OG0000461	Prbi.g_00266	Syaq.g_00707
OG0000462	Prbi.g_00268	Syaq.g_00710
OG0000463	Prbi.g_00269	Syaq.g_00711
OG0000464	Prbi.g_00270	Syaq.g_00712
OG0000465	Prbi.g_00271	Syaq.g_00714
OG0000466	Prbi.g_00274	Syaq.g_00718
OG0000467	Prbi.g_00275	Syaq.g_00720
OG0000468	Prbi.g_00277	Syaq.g_00725
OG0000469	Prbi.g_00286	Syaq.g_00739
OG0000470	Prbi.g_00288	Syaq.g_00741
OG0000471	Prbi.g_00289	Syaq.g_00742
OG0000472	Prbi.g_00290	Syaq.g_00744
OG0000473	Prbi.g_00292	Syaq.g_00746
OG0000474	Prbi.g_00293	Syaq.g_00747
OG0000475	Prbi.g_00294	Syaq.g_00748
OG0000476	Prbi.g_00295	Syaq.g_00750
OG0000477	Prbi.g_00299	Syaq.g_00756
OG0000478	Prbi.g_00300	Syaq.g_00757
OG0000479	Prbi.g_00301	Syaq.g_00759
OG0000480	Prbi.g_00306	Syaq.g_00766
OG0000481	Prbi.g_00308	Syaq.g_00768
OG0000482	Prbi.g_00309	Syaq.g_00769
OG0000483	Prbi.g_00312	Syaq.g_00773
OG0000484	Prbi.g_00313	Syaq.g_00774
OG0000485	Prbi.g_00314	Syaq.g_00775
OG0000486	Prbi.g_00315	Syaq.g_00776
OG0000487	Prbi.g_00319	Syaq.g_00782
OG0000488	Prbi.g_00322	Syaq.g_00845
OG0000489	Prbi.g_00327	Syaq.g_00857
OG0000490	Prbi.g_00332	Syaq.g_00864
OG0000491	Prbi.g_00333	Syaq.g_00865
OG0000492	Prbi.g_00335	Syaq.g_00869
OG0000493	Prbi.g_00336	Syaq.g_00870
OG0000494	Prbi.g_00337	Syaq.g_00871
OG0000495	Prbi.g_00338	Syaq.g_00872
OG0000496	Prbi.g_00339	Syaq.g_00873
OG0000497	Prbi.g_00340	Syaq.g_00874
OG0000498	Prbi.g_00341	Syaq.g_00875
OG0000499	Prbi.g_00342	Syaq.g_00876
OG0000500	Prbi.g_00343	Syaq.g_00877
OG0000501	Prbi.g_00345	Syaq.g_00880
OG0000502	Prbi.g_00348	Syaq.g_00953
OG0000503	Prbi.g_00358	Syaq.g_00559
OG0000504	Prbi.g_00359	Syaq.g_00557
OG0000505	Prbi.g_00360	Syaq.g_00556
OG0000506	Prbi.g_00362	Syaq.g_00554
OG0000507	Prbi.g_00365	Syaq.g_00548
OG0000508	Prbi.g_00369	Syaq.g_00544
OG0000509	Prbi.g_00371	Syaq.g_00542
OG0000510	Prbi.g_00372	Syaq.g_00538
OG0000511	Prbi.g_00373	Syaq.g_00537
OG0000512	Prbi.g_00375	Syaq.g_00535
OG0000513	Prbi.g_00382	Syaq.g_00525
OG0000514	Prbi.g_00432	Syaq.g_00514
OG0000515	Prbi.g_00433	Syaq.g_00513
OG0000516	Prbi.g_00434	Syaq.g_00509
OG0000517	Prbi.g_00436	Syaq.g_00502
OG0000518	Prbi.g_00447	Syaq.g_00490
OG0000519	Prbi.g_00448	Syaq.g_00489
OG0000520	Prbi.g_00449	Syaq.g_00488
OG0000521	Prbi.g_00454	Syaq.g_00477
OG0000522	Prbi.g_00456	Syaq.g_00475
OG0000523	Prbi.g_00457	Syaq.g_00474
OG0000524	Prbi.g_00463	Syaq.g_00469
OG0000525	Prbi.g_00466	Syaq.g_00450
OG0000526	Prbi.g_00467	Syaq.g_00448
OG0000527	Prbi.g_00476	Syaq.g_00444
OG0000528	Prbi.g_00481	Syaq.g_01768
OG0000529	Prbi.g_00484	Syaq.g_01773
OG0000530	Prbi.g_00487	Syaq.g_01776
OG0000531	Prbi.g_00488	Syaq.g_01777
OG0000532	Prbi.g_00490	Syaq.g_01780
OG0000533	Prbi.g_00491	Syaq.g_01782
OG0000534	Prbi.g_00492	Syaq.g_01783
OG0000535	Prbi.g_00493	Syaq.g_01784
OG0000536	Prbi.g_00494	Syaq.g_01785
OG0000537	Prbi.g_00495	Syaq.g_01786
OG0000538	Prbi.g_00503	Syaq.g_01798
OG0000539	Prbi.g_00504	Syaq.g_01799
OG0000540	Prbi.g_00505	Syaq.g_01800
OG0000541	Prbi.g_00506	Syaq.g_01801
OG0000542	Prbi.g_00508	Syaq.g_01804
OG0000543	Prbi.g_00510	Syaq.g_01806
OG0000544	Prbi.g_00511	Syaq.g_01807, Syaq.g_02567
OG0000545	Prbi.g_00513	Syaq.g_01809
OG0000546	Prbi.g_00516	Syaq.g_01811
OG0000547	Prbi.g_00518	Syaq.g_01813
