Orthogroup	Prbi	Syai
OG0000122	Prbi.g_01630	Syai.g_01143
OG0000123	Prbi.g_01945	Syai.g_00411
OG0000124	Prbi.g_02010	Syai.g_00089
OG0000125	Prbi.g_02059	Syai.g_02782
OG0000126	Prbi.g_02098	Syai.g_02927
OG0000128	Prbi.g_00011	Syai.g_00012
OG0000129	Prbi.g_00053	Syai.g_02771
OG0000130	Prbi.g_00076	Syai.g_02474
OG0000131	Prbi.g_00169	Syai.g_02608
OG0000132	Prbi.g_00188	Syai.g_02628
OG0000133	Prbi.g_00346	Syai.g_01507
OG0000134	Prbi.g_00381	Syai.g_00520
OG0000135	Prbi.g_00407	Syai.g_02826
OG0000136	Prbi.g_00442	Syai.g_02217
OG0000137	Prbi.g_00478	Syai.g_00865
OG0000138	Prbi.g_00498	Syai.g_00654
OG0000139	Prbi.g_00540	Syai.g_00714
OG0000140	Prbi.g_00541	Syai.g_00716
OG0000141	Prbi.g_00609	Syai.g_01041
OG0000142	Prbi.g_00638	Syai.g_01104
OG0000143	Prbi.g_00642	Syai.g_01108
OG0000144	Prbi.g_00655	Syai.g_01608
OG0000145	Prbi.g_00807	Syai.g_00660
OG0000146	Prbi.g_00812	Syai.g_01513
OG0000147	Prbi.g_00813	Syai.g_01514
OG0000148	Prbi.g_00863	Syai.g_01361
OG0000149	Prbi.g_00894	Syai.g_02059
OG0000150	Prbi.g_00902	Syai.g_00717
OG0000151	Prbi.g_00961	Syai.g_01280
OG0000152	Prbi.g_01009	Syai.g_01503
OG0000153	Prbi.g_01028	Syai.g_01461
OG0000154	Prbi.g_01060	Syai.g_01434
OG0000155	Prbi.g_01227	Syai.g_02109
OG0000156	Prbi.g_01380	Syai.g_02162
OG0000157	Prbi.g_01381	Syai.g_02163
OG0000158	Prbi.g_01489	Syai.g_00135
OG0000160	Prbi.g_01592	Syai.g_00952
OG0000161	Prbi.g_01598	Syai.g_00946
OG0000162	Prbi.g_01604	Syai.g_00939
OG0000163	Prbi.g_01637	Syai.g_02300
OG0000164	Prbi.g_01811	Syai.g_02411
OG0000165	Prbi.g_01818	Syai.g_02244
OG0000166	Prbi.g_01902	Syai.g_00364
OG0000167	Prbi.g_01968	Syai.g_00164
OG0000168	Prbi.g_01978	Syai.g_00134
OG0000169	Prbi.g_01988	Syai.g_00123
OG0000170	Prbi.g_01990	Syai.g_00116
OG0000171	Prbi.g_02009	Syai.g_00090
OG0000172	Prbi.g_02030	Syai.g_00083
OG0000173	Prbi.g_02045	Syai.g_00064
OG0000174	Prbi.g_02073	Syai.g_02828
OG0000175	Prbi.g_02083	Syai.g_02901
OG0000176	Prbi.g_00004	Syai.g_00004
OG0000177	Prbi.g_00005	Syai.g_00005
OG0000178	Prbi.g_00006	Syai.g_00006
OG0000179	Prbi.g_00016	Syai.g_00023
OG0000180	Prbi.g_00017	Syai.g_00024
OG0000181	Prbi.g_00018	Syai.g_00025
OG0000182	Prbi.g_00019	Syai.g_00026
OG0000183	Prbi.g_00023	Syai.g_00030
OG0000184	Prbi.g_00057	Syai.g_02756
OG0000185	Prbi.g_00060	Syai.g_02734
OG0000186	Prbi.g_00071	Syai.g_02469
OG0000187	Prbi.g_00072	Syai.g_02471
OG0000188	Prbi.g_00089	Syai.g_00696, Syai.g_02494
OG0000189	Prbi.g_00103	Syai.g_02530
OG0000190	Prbi.g_00104	Syai.g_02532
OG0000191	Prbi.g_00125	Syai.g_02562
OG0000192	Prbi.g_00129	Syai.g_02569
OG0000193	Prbi.g_00170	Syai.g_02609
OG0000194	Prbi.g_00173	Syai.g_02612
OG0000195	Prbi.g_00175	Syai.g_02614
OG0000196	Prbi.g_00185	Syai.g_02625
OG0000197	Prbi.g_00186	Syai.g_02626
OG0000198	Prbi.g_00187	Syai.g_02627
OG0000199	Prbi.g_00194	Syai.g_02635
OG0000200	Prbi.g_00208	Syai.g_02651
OG0000201	Prbi.g_00216	Syai.g_02667
OG0000202	Prbi.g_00217	Syai.g_02668
OG0000203	Prbi.g_00218	Syai.g_02669
OG0000204	Prbi.g_00219	Syai.g_02670
OG0000205	Prbi.g_00226	Syai.g_02677
OG0000206	Prbi.g_00231	Syai.g_02684
OG0000207	Prbi.g_00233	Syai.g_02686
OG0000208	Prbi.g_00234	Syai.g_02687
OG0000209	Prbi.g_00243	Syai.g_02699
OG0000210	Prbi.g_00244	Syai.g_02700
OG0000211	Prbi.g_00257	Syai.g_00533
OG0000212	Prbi.g_00264	Syai.g_00544
OG0000213	Prbi.g_00281	Syai.g_00292
OG0000214	Prbi.g_00291	Syai.g_00276
OG0000215	Prbi.g_00316	Syai.g_00245
OG0000216	Prbi.g_00318	Syai.g_00241
OG0000217	Prbi.g_00321	Syai.g_00237
OG0000218	Prbi.g_00323	Syai.g_00235
OG0000219	Prbi.g_00324	Syai.g_00234
OG0000220	Prbi.g_00325	Syai.g_00233
OG0000221	Prbi.g_00326	Syai.g_00227
OG0000222	Prbi.g_00334	Syai.g_00215
OG0000223	Prbi.g_00347	Syai.g_00194
OG0000224	Prbi.g_00349	Syai.g_00186
OG0000225	Prbi.g_00370	Syai.g_00502
OG0000226	Prbi.g_00374	Syai.g_00506
OG0000227	Prbi.g_00376	Syai.g_00508
OG0000228	Prbi.g_00379	Syai.g_00516
OG0000229	Prbi.g_00437	Syai.g_02228
OG0000230	Prbi.g_00439	Syai.g_02226
OG0000231	Prbi.g_00450	Syai.g_02208
OG0000232	Prbi.g_00459	Syai.g_00846
OG0000233	Prbi.g_00465	Syai.g_00855
OG0000234	Prbi.g_00479	Syai.g_00866
OG0000235	Prbi.g_00482	Syai.g_00637
OG0000236	Prbi.g_00496	Syai.g_00652
OG0000237	Prbi.g_00509	Syai.g_00669
OG0000238	Prbi.g_00515	Syai.g_00674
OG0000239	Prbi.g_00528	Syai.g_00691
OG0000240	Prbi.g_00529	Syai.g_00692
OG0000241	Prbi.g_00533	Syai.g_01085, Syai.g_01089
OG0000242	Prbi.g_00535	Syai.g_00705
OG0000243	Prbi.g_00546	Syai.g_00726
OG0000244	Prbi.g_00549	Syai.g_00731
OG0000245	Prbi.g_00551	Syai.g_00733
OG0000246	Prbi.g_00555	Syai.g_00737
OG0000247	Prbi.g_00565	Syai.g_00748
OG0000248	Prbi.g_00567	Syai.g_00751
OG0000249	Prbi.g_00569	Syai.g_00753
OG0000250	Prbi.g_00574	Syai.g_00762
OG0000251	Prbi.g_00593	Syai.g_00789
OG0000252	Prbi.g_00596	Syai.g_00797
OG0000253	Prbi.g_00597	Syai.g_00798
OG0000254	Prbi.g_00613	Syai.g_01045
OG0000255	Prbi.g_00619	Syai.g_01061
OG0000256	Prbi.g_00629	Syai.g_01077
OG0000257	Prbi.g_00632	Syai.g_01084
OG0000258	Prbi.g_00646	Syai.g_01113
OG0000259	Prbi.g_00663	Syai.g_01229
OG0000260	Prbi.g_00666	Syai.g_01232
OG0000261	Prbi.g_00668	Syai.g_01235
OG0000262	Prbi.g_00672	Syai.g_01240
OG0000263	Prbi.g_00684	Syai.g_01776
OG0000264	Prbi.g_00694	Syai.g_01962
OG0000265	Prbi.g_00745	Syai.g_02245
OG0000266	Prbi.g_00755	Syai.g_01401
OG0000267	Prbi.g_00766	Syai.g_01569
OG0000268	Prbi.g_00767	Syai.g_01568
OG0000269	Prbi.g_00842	Syai.g_01316
OG0000270	Prbi.g_00845	Syai.g_01319
OG0000271	Prbi.g_00853	Syai.g_01327
OG0000272	Prbi.g_00854	Syai.g_01328
OG0000273	Prbi.g_00877	Syai.g_02037
OG0000274	Prbi.g_00878	Syai.g_02038
OG0000275	Prbi.g_00881	Syai.g_02043
OG0000276	Prbi.g_00886	Syai.g_02051
OG0000277	Prbi.g_00887	Syai.g_02052
OG0000278	Prbi.g_00890	Syai.g_02055
OG0000279	Prbi.g_00897	Syai.g_02063
OG0000280	Prbi.g_00898	Syai.g_02084
OG0000281	Prbi.g_00903	Syai.g_01719
OG0000282	Prbi.g_00953	Syai.g_01263
OG0000283	Prbi.g_00986	Syai.g_01554
OG0000284	Prbi.g_00991	Syai.g_01548
OG0000285	Prbi.g_00996	Syai.g_01522
OG0000286	Prbi.g_01008	Syai.g_01504
OG0000287	Prbi.g_01025	Syai.g_01469
OG0000288	Prbi.g_01059	Syai.g_01435
OG0000289	Prbi.g_01070	Syai.g_01421
OG0000290	Prbi.g_01083	Syai.g_02010
OG0000291	Prbi.g_01085	Syai.g_02008
OG0000292	Prbi.g_01136	Syai.g_02926
OG0000293	Prbi.g_01198	Syai.g_02155
OG0000294	Prbi.g_01199	Syai.g_02154
OG0000295	Prbi.g_01219	Syai.g_02117
OG0000296	Prbi.g_01221	Syai.g_02115
OG0000297	Prbi.g_01229	Syai.g_01754
OG0000298	Prbi.g_01230	Syai.g_01755
OG0000299	Prbi.g_01247	Syai.g_01783
OG0000300	Prbi.g_01250	Syai.g_01790
OG0000301	Prbi.g_01251	Syai.g_01791
OG0000302	Prbi.g_01253	Syai.g_01793
OG0000303	Prbi.g_01260	Syai.g_01802
OG0000304	Prbi.g_01264	Syai.g_01826
OG0000305	Prbi.g_01431	Syai.g_02005
OG0000306	Prbi.g_01434	Syai.g_02090
OG0000307	Prbi.g_01448	Syai.g_00619
OG0000308	Prbi.g_01449	Syai.g_00617
OG0000309	Prbi.g_01453	Syai.g_00612
OG0000310	Prbi.g_01574	Syai.g_00989
OG0000311	Prbi.g_01576	Syai.g_00985
OG0000312	Prbi.g_01579	Syai.g_00966
OG0000313	Prbi.g_01595	Syai.g_00949
OG0000314	Prbi.g_01617	Syai.g_00908
OG0000315	Prbi.g_01627	Syai.g_00897
OG0000316	Prbi.g_01647	Syai.g_02320, Syai.g_02322
OG0000317	Prbi.g_01785	Syai.g_02373
OG0000318	Prbi.g_01788	Syai.g_02379
OG0000319	Prbi.g_01801	Syai.g_02395
OG0000320	Prbi.g_01803	Syai.g_02397
OG0000321	Prbi.g_01804	Syai.g_02398
OG0000322	Prbi.g_01805	Syai.g_02399
OG0000323	Prbi.g_01814	Syai.g_02413
OG0000324	Prbi.g_01840	Syai.g_02272
OG0000325	Prbi.g_01849	Syai.g_00320
OG0000326	Prbi.g_01855	Syai.g_00327
OG0000327	Prbi.g_01897	Syai.g_00359
OG0000328	Prbi.g_01898	Syai.g_00360
OG0000329	Prbi.g_01915	Syai.g_00378
OG0000330	Prbi.g_01916	Syai.g_00379
OG0000331	Prbi.g_01917	Syai.g_00380
OG0000332	Prbi.g_01931	Syai.g_00395
OG0000333	Prbi.g_01933	Syai.g_00398
OG0000334	Prbi.g_01941	Syai.g_00407
OG0000335	Prbi.g_01946	Syai.g_00412
OG0000336	Prbi.g_01950	Syai.g_00416
OG0000337	Prbi.g_01966	Syai.g_00169
OG0000338	Prbi.g_01967	Syai.g_00166
OG0000339	Prbi.g_01971	Syai.g_00160
OG0000340	Prbi.g_01979	Syai.g_00133
OG0000341	Prbi.g_01981	Syai.g_00131
OG0000342	Prbi.g_01982	Syai.g_00130
OG0000343	Prbi.g_01983	Syai.g_00129
OG0000344	Prbi.g_01986	Syai.g_00125
OG0000345	Prbi.g_01991	Syai.g_00115
OG0000346	Prbi.g_01995	Syai.g_00110
OG0000347	Prbi.g_02011	Syai.g_00087
OG0000348	Prbi.g_02033	Syai.g_00076
OG0000349	Prbi.g_02050	Syai.g_00057
OG0000350	Prbi.g_02069	Syai.g_00334
OG0000351	Prbi.g_02086	Syai.g_02904
OG0000352	Prbi.g_02087	Syai.g_02905
OG0000353	Prbi.g_02102	Syai.g_02932
OG0000355	Prbi.g_00001	Syai.g_00001
OG0000356	Prbi.g_00002	Syai.g_00002
OG0000357	Prbi.g_00003	Syai.g_00003
OG0000358	Prbi.g_00007	Syai.g_00007
OG0000359	Prbi.g_00008	Syai.g_00009
OG0000360	Prbi.g_00009	Syai.g_00010
OG0000361	Prbi.g_00010	Syai.g_00011
OG0000362	Prbi.g_00012	Syai.g_00013
OG0000363	Prbi.g_00014	Syai.g_00015
OG0000364	Prbi.g_00015	Syai.g_00016
OG0000365	Prbi.g_00020	Syai.g_00027
OG0000366	Prbi.g_00021	Syai.g_00028
OG0000367	Prbi.g_00022	Syai.g_00029
OG0000368	Prbi.g_00024	Syai.g_00031
OG0000369	Prbi.g_00025	Syai.g_00032
OG0000370	Prbi.g_00026	Syai.g_00033
OG0000371	Prbi.g_00032	Syai.g_00041
OG0000372	Prbi.g_00035	Syai.g_00047
OG0000373	Prbi.g_00036	Syai.g_00048
OG0000374	Prbi.g_00037	Syai.g_00049
OG0000375	Prbi.g_00049	Syai.g_00053
OG0000376	Prbi.g_00051	Syai.g_00055
OG0000377	Prbi.g_00056	Syai.g_02769
OG0000378	Prbi.g_00058	Syai.g_02751
OG0000379	Prbi.g_00061	Syai.g_02733
OG0000380	Prbi.g_00073	Syai.g_02472
OG0000381	Prbi.g_00077	Syai.g_02475
OG0000382	Prbi.g_00088	Syai.g_02493
OG0000383	Prbi.g_00090	Syai.g_02498
OG0000384	Prbi.g_00091	Syai.g_02499
OG0000385	Prbi.g_00092	Syai.g_02500
OG0000386	Prbi.g_00093	Syai.g_02501
OG0000387	Prbi.g_00106	Syai.g_02534
OG0000388	Prbi.g_00109	Syai.g_02538
OG0000389	Prbi.g_00113	Syai.g_02542
OG0000390	Prbi.g_00120	Syai.g_02556
OG0000391	Prbi.g_00124	Syai.g_02561
OG0000392	Prbi.g_00128	Syai.g_02568
OG0000393	Prbi.g_00130	Syai.g_02570
OG0000394	Prbi.g_00131	Syai.g_02571
OG0000395	Prbi.g_00132	Syai.g_02572
OG0000396	Prbi.g_00135	Syai.g_02575
OG0000397	Prbi.g_00137	Syai.g_02577
OG0000398	Prbi.g_00139	Syai.g_02582
OG0000399	Prbi.g_00140	Syai.g_02583
OG0000400	Prbi.g_00141	Syai.g_02584
OG0000401	Prbi.g_00142	Syai.g_02585
OG0000402	Prbi.g_00144	Syai.g_02588
OG0000403	Prbi.g_00145	Syai.g_02589
OG0000404	Prbi.g_00146	Syai.g_02590
OG0000405	Prbi.g_00150	Syai.g_02606
OG0000406	Prbi.g_00171	Syai.g_02610
OG0000407	Prbi.g_00172	Syai.g_02611
OG0000408	Prbi.g_00174	Syai.g_02613
OG0000409	Prbi.g_00176	Syai.g_02615
OG0000410	Prbi.g_00177	Syai.g_02616
OG0000411	Prbi.g_00178	Syai.g_02617
OG0000412	Prbi.g_00179	Syai.g_02618
OG0000413	Prbi.g_00180	Syai.g_02620
OG0000414	Prbi.g_00181	Syai.g_02621
OG0000415	Prbi.g_00182	Syai.g_02622
OG0000416	Prbi.g_00183	Syai.g_02623
OG0000417	Prbi.g_00184	Syai.g_02624
OG0000418	Prbi.g_00189	Syai.g_02629
OG0000419	Prbi.g_00191	Syai.g_02631
OG0000420	Prbi.g_00192	Syai.g_02633
OG0000421	Prbi.g_00197	Syai.g_02638
OG0000422	Prbi.g_00198	Syai.g_02639
OG0000423	Prbi.g_00199	Syai.g_02640
OG0000424	Prbi.g_00200	Syai.g_02641
OG0000425	Prbi.g_00201	Syai.g_02642
OG0000426	Prbi.g_00202	Syai.g_02643
OG0000427	Prbi.g_00203	Syai.g_02644
OG0000428	Prbi.g_00205	Syai.g_02647
OG0000429	Prbi.g_00206	Syai.g_02649
OG0000430	Prbi.g_00207	Syai.g_02650
OG0000431	Prbi.g_00209	Syai.g_02654
OG0000432	Prbi.g_00212	Syai.g_02660
OG0000433	Prbi.g_00213	Syai.g_02662
OG0000434	Prbi.g_00214	Syai.g_02663
OG0000435	Prbi.g_00215	Syai.g_02666
OG0000436	Prbi.g_00220	Syai.g_02671
OG0000437	Prbi.g_00221	Syai.g_02672
OG0000438	Prbi.g_00222	Syai.g_02673
OG0000439	Prbi.g_00224	Syai.g_02675
OG0000440	Prbi.g_00225	Syai.g_02676
OG0000441	Prbi.g_00228	Syai.g_02681
OG0000442	Prbi.g_00229	Syai.g_02682
OG0000443	Prbi.g_00230	Syai.g_02683
OG0000444	Prbi.g_00235	Syai.g_02688
OG0000445	Prbi.g_00236	Syai.g_02689
OG0000446	Prbi.g_00237	Syai.g_02690
OG0000447	Prbi.g_00238	Syai.g_02693
OG0000448	Prbi.g_00239	Syai.g_02694
OG0000449	Prbi.g_00240	Syai.g_02695
OG0000450	Prbi.g_00241	Syai.g_02696
OG0000451	Prbi.g_00242	Syai.g_02697
OG0000452	Prbi.g_00245	Syai.g_02701
OG0000453	Prbi.g_00246	Syai.g_02702
OG0000454	Prbi.g_00247	Syai.g_02703
OG0000455	Prbi.g_00248	Syai.g_02704
OG0000456	Prbi.g_00249	Syai.g_02705
OG0000457	Prbi.g_00250	Syai.g_02707
OG0000458	Prbi.g_00251	Syai.g_02708
OG0000459	Prbi.g_00252	Syai.g_02709
OG0000460	Prbi.g_00259	Syai.g_00535
OG0000461	Prbi.g_00266	Syai.g_00314
OG0000462	Prbi.g_00268	Syai.g_00311
OG0000463	Prbi.g_00269	Syai.g_00310
OG0000464	Prbi.g_00270	Syai.g_00309
OG0000465	Prbi.g_00271	Syai.g_00307
OG0000466	Prbi.g_00274	Syai.g_00303
OG0000467	Prbi.g_00275	Syai.g_00301
OG0000468	Prbi.g_00277	Syai.g_00296
OG0000469	Prbi.g_00286	Syai.g_00282
OG0000470	Prbi.g_00288	Syai.g_00280
OG0000471	Prbi.g_00289	Syai.g_00279
OG0000472	Prbi.g_00290	Syai.g_00277
OG0000473	Prbi.g_00292	Syai.g_00275
OG0000474	Prbi.g_00293	Syai.g_00274
OG0000475	Prbi.g_00294	Syai.g_00273
OG0000476	Prbi.g_00295	Syai.g_00271
OG0000477	Prbi.g_00299	Syai.g_00265
OG0000478	Prbi.g_00300	Syai.g_00264
OG0000479	Prbi.g_00301	Syai.g_00263
OG0000480	Prbi.g_00306	Syai.g_00256
OG0000481	Prbi.g_00308	Syai.g_00254
OG0000482	Prbi.g_00309	Syai.g_00253
OG0000483	Prbi.g_00312	Syai.g_00249
OG0000484	Prbi.g_00313	Syai.g_00248
OG0000485	Prbi.g_00314	Syai.g_00247
OG0000486	Prbi.g_00315	Syai.g_00246
OG0000487	Prbi.g_00319	Syai.g_00240
OG0000488	Prbi.g_00322	Syai.g_00236
OG0000489	Prbi.g_00327	Syai.g_00226
OG0000490	Prbi.g_00332	Syai.g_00218
OG0000491	Prbi.g_00333	Syai.g_00217
OG0000492	Prbi.g_00335	Syai.g_00214
OG0000493	Prbi.g_00336	Syai.g_00213
OG0000494	Prbi.g_00337	Syai.g_00212
OG0000495	Prbi.g_00338	Syai.g_00211
OG0000496	Prbi.g_00339	Syai.g_00210
OG0000497	Prbi.g_00340	Syai.g_00209
OG0000498	Prbi.g_00341	Syai.g_00208
OG0000499	Prbi.g_00342	Syai.g_00207
OG0000500	Prbi.g_00343	Syai.g_00206
OG0000501	Prbi.g_00345	Syai.g_00203
OG0000502	Prbi.g_00348	Syai.g_00192
OG0000503	Prbi.g_00358	Syai.g_00486
OG0000504	Prbi.g_00359	Syai.g_00488
OG0000505	Prbi.g_00360	Syai.g_00489
OG0000506	Prbi.g_00362	Syai.g_00491
OG0000507	Prbi.g_00365	Syai.g_00497
OG0000508	Prbi.g_00369	Syai.g_00501
OG0000509	Prbi.g_00371	Syai.g_00503
OG0000510	Prbi.g_00372	Syai.g_00504
OG0000511	Prbi.g_00373	Syai.g_00505
OG0000512	Prbi.g_00375	Syai.g_00507
OG0000513	Prbi.g_00382	Syai.g_00521
OG0000514	Prbi.g_00432	Syai.g_00528
OG0000515	Prbi.g_00433	Syai.g_00529
OG0000516	Prbi.g_00434	Syai.g_02223
OG0000517	Prbi.g_00436	Syai.g_02229
OG0000518	Prbi.g_00447	Syai.g_02211
OG0000519	Prbi.g_00448	Syai.g_02210
OG0000520	Prbi.g_00449	Syai.g_02209
OG0000521	Prbi.g_00454	Syai.g_00842
OG0000522	Prbi.g_00456	Syai.g_00844
OG0000523	Prbi.g_00457	Syai.g_00845
OG0000524	Prbi.g_00463	Syai.g_00852
OG0000525	Prbi.g_00466	Syai.g_00856
OG0000526	Prbi.g_00467	Syai.g_00859
OG0000527	Prbi.g_00476	Syai.g_00863
OG0000528	Prbi.g_00481	Syai.g_00633
OG0000529	Prbi.g_00484	Syai.g_00639
OG0000530	Prbi.g_00487	Syai.g_00642
OG0000531	Prbi.g_00488	Syai.g_00643
OG0000532	Prbi.g_00490	Syai.g_00646
OG0000533	Prbi.g_00491	Syai.g_00647
OG0000534	Prbi.g_00492	Syai.g_00648
OG0000535	Prbi.g_00493	Syai.g_00649
OG0000536	Prbi.g_00494	Syai.g_00650
OG0000537	Prbi.g_00495	Syai.g_00651
OG0000538	Prbi.g_00503	Syai.g_00662
OG0000539	Prbi.g_00504	Syai.g_00663
OG0000540	Prbi.g_00505	Syai.g_00664
OG0000541	Prbi.g_00506	Syai.g_00665
OG0000542	Prbi.g_00508	Syai.g_00668
OG0000543	Prbi.g_00510	Syai.g_00670
OG0000544	Prbi.g_00511	Syai.g_00671
OG0000545	Prbi.g_00513	Syai.g_00673
OG0000546	Prbi.g_00516	Syai.g_00675
OG0000547	Prbi.g_00518	Syai.g_00677
OG0000548	Prbi.g_00519	Syai.g_00678
OG0000549	Prbi.g_00521	Syai.g_00684
OG0000550	Prbi.g_00526	Syai.g_00689
OG0000551	Prbi.g_00530	Syai.g_00694
OG0000552	Prbi.g_00531	Syai.g_00695
OG0000553	Prbi.g_00532	Syai.g_00698
OG0000554	Prbi.g_00537	Syai.g_00708
OG0000555	Prbi.g_00545	Syai.g_00725
OG0000556	Prbi.g_00547	Syai.g_00728
