Orthogroup	Prbi	Syaa
OG0000225	Prbi.g_00370	Syaa.g_02166
OG0000226	Prbi.g_00374	Syaa.g_02162
OG0000227	Prbi.g_00376	Syaa.g_02160
OG0000228	Prbi.g_00379	Syaa.g_02150
OG0000229	Prbi.g_00437	Syaa.g_00703
OG0000230	Prbi.g_00439	Syaa.g_00705
OG0000231	Prbi.g_00450	Syaa.g_00717
OG0000232	Prbi.g_00459	Syaa.g_01858
OG0000233	Prbi.g_00465	Syaa.g_01853
OG0000234	Prbi.g_00479	Syaa.g_01841
OG0000235	Prbi.g_00482	Syaa.g_02052
OG0000236	Prbi.g_00496	Syaa.g_02037
OG0000237	Prbi.g_00509	Syaa.g_02020
OG0000238	Prbi.g_00515	Syaa.g_02015
OG0000239	Prbi.g_00528	Syaa.g_01996
OG0000240	Prbi.g_00529	Syaa.g_01995
OG0000241	Prbi.g_00533	Syaa.g_01644
OG0000242	Prbi.g_00535	Syaa.g_01982
OG0000243	Prbi.g_00546	Syaa.g_01960
OG0000244	Prbi.g_00549	Syaa.g_01954
OG0000245	Prbi.g_00551	Syaa.g_01952
OG0000246	Prbi.g_00555	Syaa.g_01948
OG0000247	Prbi.g_00565	Syaa.g_01937
OG0000248	Prbi.g_00567	Syaa.g_01934
OG0000249	Prbi.g_00569	Syaa.g_01932
OG0000250	Prbi.g_00574	Syaa.g_01922
OG0000251	Prbi.g_00593	Syaa.g_01897
OG0000252	Prbi.g_00596	Syaa.g_01894
OG0000253	Prbi.g_00597	Syaa.g_01893
OG0000254	Prbi.g_00613	Syaa.g_01684
OG0000255	Prbi.g_00619	Syaa.g_01668
OG0000256	Prbi.g_00629	Syaa.g_01651
OG0000257	Prbi.g_00632	Syaa.g_01645
OG0000258	Prbi.g_00646	Syaa.g_01624
OG0000259	Prbi.g_00663	Syaa.g_01063
OG0000260	Prbi.g_00666	Syaa.g_01066
OG0000261	Prbi.g_00668	Syaa.g_01069
OG0000262	Prbi.g_00672	Syaa.g_01074
OG0000263	Prbi.g_00684	Syaa.g_00989
OG0000264	Prbi.g_00694	Syaa.g_00910
OG0000265	Prbi.g_00745	Syaa.g_00931, Syaa.g_01498
OG0000266	Prbi.g_00755	Syaa.g_01257, Syaa.g_01258
OG0000267	Prbi.g_00766	Syaa.g_01409
OG0000268	Prbi.g_00767	Syaa.g_01408
OG0000269	Prbi.g_00842	Syaa.g_01149
OG0000270	Prbi.g_00845	Syaa.g_01152
OG0000271	Prbi.g_00853	Syaa.g_01160
OG0000272	Prbi.g_00854	Syaa.g_01161
OG0000273	Prbi.g_00877	Syaa.g_00844
OG0000274	Prbi.g_00878	Syaa.g_00843
OG0000275	Prbi.g_00881	Syaa.g_00840
OG0000276	Prbi.g_00886	Syaa.g_00834
OG0000277	Prbi.g_00887	Syaa.g_00833
OG0000278	Prbi.g_00890	Syaa.g_00830
OG0000279	Prbi.g_00897	Syaa.g_00822
OG0000280	Prbi.g_00898	Syaa.g_00815
OG0000282	Prbi.g_00953	Syaa.g_01096
OG0000283	Prbi.g_00986	Syaa.g_01396
OG0000284	Prbi.g_00991	Syaa.g_01390
OG0000285	Prbi.g_00996	Syaa.g_01377
OG0000286	Prbi.g_01008	Syaa.g_01358
OG0000287	Prbi.g_01025	Syaa.g_01330
OG0000288	Prbi.g_01059	Syaa.g_01299
OG0000289	Prbi.g_01070	Syaa.g_01285
OG0000290	Prbi.g_01083	Syaa.g_00875
OG0000291	Prbi.g_01085	Syaa.g_00877
OG0000292	Prbi.g_01136	Syaa.g_02751
OG0000293	Prbi.g_01198	Syaa.g_00758
OG0000294	Prbi.g_01199	Syaa.g_00759
OG0000295	Prbi.g_01219	Syaa.g_00796
OG0000296	Prbi.g_01221	Syaa.g_00798
OG0000297	Prbi.g_01229	Syaa.g_01021
OG0000298	Prbi.g_01230	Syaa.g_01010
OG0000299	Prbi.g_01247	Syaa.g_00982
OG0000300	Prbi.g_01250	Syaa.g_00976
OG0000301	Prbi.g_01251	Syaa.g_00975
OG0000302	Prbi.g_01253	Syaa.g_00972
OG0000303	Prbi.g_01260	Syaa.g_00963
OG0000304	Prbi.g_01264	Syaa.g_00957
OG0000305	Prbi.g_01431	Syaa.g_00881
OG0000306	Prbi.g_01434	Syaa.g_00807
OG0000307	Prbi.g_01448	Syaa.g_02068
OG0000308	Prbi.g_01449	Syaa.g_02070
OG0000309	Prbi.g_01453	Syaa.g_02075
OG0000310	Prbi.g_01574	Syaa.g_01752
OG0000311	Prbi.g_01576	Syaa.g_01757
OG0000312	Prbi.g_01579	Syaa.g_01762
OG0000313	Prbi.g_01595	Syaa.g_01779
OG0000314	Prbi.g_01617	Syaa.g_01806
OG0000315	Prbi.g_01627	Syaa.g_01816
OG0000316	Prbi.g_01647	Syaa.g_00598
OG0000317	Prbi.g_01785	Syaa.g_00556
OG0000318	Prbi.g_01788	Syaa.g_00550
OG0000319	Prbi.g_01801	Syaa.g_00532
OG0000320	Prbi.g_01803	Syaa.g_00530
OG0000321	Prbi.g_01804	Syaa.g_00529
OG0000322	Prbi.g_01805	Syaa.g_00528
OG0000323	Prbi.g_01814	Syaa.g_00496
OG0000324	Prbi.g_01840	Syaa.g_00653
OG0000325	Prbi.g_01849	Syaa.g_02350
OG0000326	Prbi.g_01855	Syaa.g_02343
OG0000327	Prbi.g_01897	Syaa.g_02294
OG0000328	Prbi.g_01898	Syaa.g_02293
OG0000329	Prbi.g_01915	Syaa.g_02275
OG0000330	Prbi.g_01916	Syaa.g_02274
OG0000331	Prbi.g_01917	Syaa.g_02273
OG0000332	Prbi.g_01931	Syaa.g_02258
OG0000333	Prbi.g_01933	Syaa.g_02255
OG0000334	Prbi.g_01941	Syaa.g_02246
OG0000335	Prbi.g_01946	Syaa.g_02241
OG0000336	Prbi.g_01950	Syaa.g_02237
OG0000337	Prbi.g_01966	Syaa.g_00167
OG0000338	Prbi.g_01967	Syaa.g_00162
OG0000339	Prbi.g_01971	Syaa.g_00156
OG0000340	Prbi.g_01979	Syaa.g_00144
OG0000341	Prbi.g_01981	Syaa.g_00142
OG0000342	Prbi.g_01982	Syaa.g_00141
OG0000343	Prbi.g_01983	Syaa.g_00140
OG0000344	Prbi.g_01986	Syaa.g_00136
OG0000345	Prbi.g_01991	Syaa.g_00127
OG0000346	Prbi.g_01995	Syaa.g_00122
OG0000347	Prbi.g_02011	Syaa.g_00088
OG0000348	Prbi.g_02033	Syaa.g_00071
OG0000349	Prbi.g_02050	Syaa.g_00053
OG0000350	Prbi.g_02069	Syaa.g_02336
OG0000351	Prbi.g_02086	Syaa.g_02730
OG0000352	Prbi.g_02087	Syaa.g_02731
OG0000353	Prbi.g_02102	Syaa.g_02757
OG0000355	Prbi.g_00001	Syaa.g_00001
OG0000356	Prbi.g_00002	Syaa.g_00002
OG0000357	Prbi.g_00003	Syaa.g_00003
OG0000358	Prbi.g_00007	Syaa.g_00007
OG0000359	Prbi.g_00008	Syaa.g_00009
OG0000360	Prbi.g_00009	Syaa.g_00010
OG0000361	Prbi.g_00010	Syaa.g_00011
OG0000362	Prbi.g_00012	Syaa.g_00013
OG0000363	Prbi.g_00014	Syaa.g_00015
OG0000364	Prbi.g_00015	Syaa.g_00016
OG0000365	Prbi.g_00020	Syaa.g_00027
OG0000366	Prbi.g_00021	Syaa.g_00028
OG0000367	Prbi.g_00022	Syaa.g_00029
OG0000368	Prbi.g_00024	Syaa.g_00031
OG0000369	Prbi.g_00025	Syaa.g_00032
OG0000370	Prbi.g_00026	Syaa.g_00033
OG0000371	Prbi.g_00032	Syaa.g_00041
OG0000372	Prbi.g_00035	Syaa.g_00046
OG0000373	Prbi.g_00036	Syaa.g_00047
OG0000374	Prbi.g_00037	Syaa.g_00048
OG0000375	Prbi.g_00049	Syaa.g_00049
OG0000376	Prbi.g_00051	Syaa.g_00051
OG0000377	Prbi.g_00056	Syaa.g_02585
OG0000378	Prbi.g_00058	Syaa.g_02577
OG0000379	Prbi.g_00061	Syaa.g_02574
OG0000380	Prbi.g_00073	Syaa.g_00357
OG0000381	Prbi.g_00077	Syaa.g_00353
OG0000382	Prbi.g_00088	Syaa.g_00335
OG0000383	Prbi.g_00090	Syaa.g_00333
OG0000384	Prbi.g_00091	Syaa.g_00332
OG0000385	Prbi.g_00092	Syaa.g_00331
OG0000386	Prbi.g_00093	Syaa.g_00330
OG0000387	Prbi.g_00106	Syaa.g_02371
OG0000388	Prbi.g_00109	Syaa.g_02375
OG0000389	Prbi.g_00113	Syaa.g_02379
OG0000390	Prbi.g_00120	Syaa.g_02398
OG0000391	Prbi.g_00124	Syaa.g_02403
OG0000392	Prbi.g_00128	Syaa.g_02409
OG0000393	Prbi.g_00130	Syaa.g_02412
OG0000394	Prbi.g_00131	Syaa.g_02413
OG0000395	Prbi.g_00132	Syaa.g_02414
OG0000396	Prbi.g_00135	Syaa.g_02417
OG0000397	Prbi.g_00137	Syaa.g_02419
OG0000398	Prbi.g_00139	Syaa.g_02424
OG0000399	Prbi.g_00140	Syaa.g_02425
OG0000400	Prbi.g_00141	Syaa.g_02426
OG0000401	Prbi.g_00142	Syaa.g_02427
OG0000402	Prbi.g_00144	Syaa.g_02429
OG0000403	Prbi.g_00145	Syaa.g_02430
OG0000404	Prbi.g_00146	Syaa.g_02431
OG0000405	Prbi.g_00150	Syaa.g_02446
OG0000406	Prbi.g_00171	Syaa.g_02450
OG0000407	Prbi.g_00172	Syaa.g_02451
OG0000408	Prbi.g_00174	Syaa.g_02458
OG0000409	Prbi.g_00176	Syaa.g_02460
OG0000410	Prbi.g_00177	Syaa.g_02461
OG0000411	Prbi.g_00178	Syaa.g_02462
OG0000412	Prbi.g_00179	Syaa.g_02463
OG0000413	Prbi.g_00180	Syaa.g_02465
OG0000415	Prbi.g_00182	Syaa.g_02466
OG0000416	Prbi.g_00183	Syaa.g_02467
OG0000417	Prbi.g_00184	Syaa.g_02468
OG0000418	Prbi.g_00189	Syaa.g_02473
OG0000419	Prbi.g_00191	Syaa.g_02475
OG0000420	Prbi.g_00192	Syaa.g_02477
OG0000421	Prbi.g_00197	Syaa.g_02482
OG0000422	Prbi.g_00198	Syaa.g_02483
OG0000423	Prbi.g_00199	Syaa.g_02484
OG0000424	Prbi.g_00200	Syaa.g_02485
OG0000425	Prbi.g_00201	Syaa.g_02486
OG0000426	Prbi.g_00202	Syaa.g_02487
OG0000427	Prbi.g_00203	Syaa.g_02488
OG0000428	Prbi.g_00205	Syaa.g_02491
OG0000429	Prbi.g_00206	Syaa.g_02493
OG0000430	Prbi.g_00207	Syaa.g_02495
OG0000431	Prbi.g_00209	Syaa.g_02498
OG0000432	Prbi.g_00212	Syaa.g_02504
OG0000433	Prbi.g_00213	Syaa.g_02513
OG0000434	Prbi.g_00214	Syaa.g_02514
OG0000435	Prbi.g_00215	Syaa.g_02516
OG0000436	Prbi.g_00220	Syaa.g_02525
OG0000437	Prbi.g_00221	Syaa.g_02526
OG0000438	Prbi.g_00222	Syaa.g_02527
OG0000439	Prbi.g_00224	Syaa.g_02529
OG0000440	Prbi.g_00225	Syaa.g_02530
OG0000441	Prbi.g_00228	Syaa.g_02534
OG0000442	Prbi.g_00229	Syaa.g_02535
OG0000443	Prbi.g_00230	Syaa.g_02536
OG0000444	Prbi.g_00235	Syaa.g_02542
OG0000445	Prbi.g_00236	Syaa.g_02543
OG0000446	Prbi.g_00237	Syaa.g_02545
OG0000447	Prbi.g_00238	Syaa.g_02548
OG0000448	Prbi.g_00239	Syaa.g_02549
OG0000449	Prbi.g_00240	Syaa.g_02550
OG0000450	Prbi.g_00241	Syaa.g_02553
OG0000451	Prbi.g_00242	Syaa.g_02554
OG0000452	Prbi.g_00245	Syaa.g_02558
OG0000453	Prbi.g_00246	Syaa.g_02559
OG0000454	Prbi.g_00247	Syaa.g_02560
OG0000455	Prbi.g_00248	Syaa.g_02561
OG0000456	Prbi.g_00249	Syaa.g_02562
OG0000457	Prbi.g_00250	Syaa.g_02564
OG0000458	Prbi.g_00251	Syaa.g_02565
OG0000459	Prbi.g_00252	Syaa.g_02566
OG0000460	Prbi.g_00259	Syaa.g_02111
OG0000461	Prbi.g_00266	Syaa.g_00318
OG0000462	Prbi.g_00268	Syaa.g_00315
OG0000463	Prbi.g_00269	Syaa.g_00314
OG0000464	Prbi.g_00270	Syaa.g_00313
OG0000465	Prbi.g_00271	Syaa.g_00311
OG0000466	Prbi.g_00274	Syaa.g_00306
OG0000467	Prbi.g_00275	Syaa.g_00304
OG0000468	Prbi.g_00277	Syaa.g_00299
OG0000469	Prbi.g_00286	Syaa.g_00285
OG0000470	Prbi.g_00288	Syaa.g_00283
OG0000471	Prbi.g_00289	Syaa.g_00282
OG0000472	Prbi.g_00290	Syaa.g_00280
OG0000473	Prbi.g_00292	Syaa.g_00278
OG0000474	Prbi.g_00293	Syaa.g_00277
OG0000475	Prbi.g_00294	Syaa.g_00276
OG0000476	Prbi.g_00295	Syaa.g_00274
OG0000477	Prbi.g_00299	Syaa.g_00268
OG0000478	Prbi.g_00300	Syaa.g_00267
OG0000479	Prbi.g_00301	Syaa.g_00266
OG0000480	Prbi.g_00306	Syaa.g_00259
OG0000481	Prbi.g_00308	Syaa.g_00257
OG0000482	Prbi.g_00309	Syaa.g_00256
OG0000483	Prbi.g_00312	Syaa.g_00252
OG0000484	Prbi.g_00313	Syaa.g_00251
OG0000485	Prbi.g_00314	Syaa.g_00250
OG0000486	Prbi.g_00315	Syaa.g_00249
OG0000487	Prbi.g_00319	Syaa.g_00243
OG0000488	Prbi.g_00322	Syaa.g_00239
OG0000489	Prbi.g_00327	Syaa.g_00228
OG0000490	Prbi.g_00332	Syaa.g_00220
OG0000491	Prbi.g_00333	Syaa.g_00218
OG0000492	Prbi.g_00335	Syaa.g_00214
OG0000493	Prbi.g_00336	Syaa.g_00213
OG0000494	Prbi.g_00337	Syaa.g_00212
OG0000495	Prbi.g_00338	Syaa.g_00211
OG0000496	Prbi.g_00339	Syaa.g_00210
OG0000497	Prbi.g_00340	Syaa.g_00209
OG0000498	Prbi.g_00341	Syaa.g_00208
OG0000499	Prbi.g_00342	Syaa.g_00207
OG0000500	Prbi.g_00343	Syaa.g_00206
OG0000501	Prbi.g_00345	Syaa.g_00203
OG0000502	Prbi.g_00348	Syaa.g_00190
OG0000503	Prbi.g_00358	Syaa.g_02182
OG0000504	Prbi.g_00359	Syaa.g_02180
OG0000505	Prbi.g_00360	Syaa.g_02179
OG0000506	Prbi.g_00362	Syaa.g_02177
OG0000507	Prbi.g_00365	Syaa.g_02171
OG0000508	Prbi.g_00369	Syaa.g_02167
OG0000509	Prbi.g_00371	Syaa.g_02165
OG0000510	Prbi.g_00372	Syaa.g_02164
OG0000511	Prbi.g_00373	Syaa.g_02163
OG0000512	Prbi.g_00375	Syaa.g_02161
OG0000513	Prbi.g_00382	Syaa.g_02145
OG0000514	Prbi.g_00432	Syaa.g_02118
OG0000515	Prbi.g_00433	Syaa.g_02117
OG0000516	Prbi.g_00434	Syaa.g_00698
OG0000517	Prbi.g_00436	Syaa.g_00702
OG0000518	Prbi.g_00447	Syaa.g_00714
OG0000519	Prbi.g_00448	Syaa.g_00715
OG0000520	Prbi.g_00449	Syaa.g_00716
OG0000521	Prbi.g_00454	Syaa.g_01864
OG0000522	Prbi.g_00456	Syaa.g_01862
OG0000523	Prbi.g_00457	Syaa.g_01859
OG0000524	Prbi.g_00463	Syaa.g_01856
OG0000525	Prbi.g_00466	Syaa.g_01851
OG0000526	Prbi.g_00467	Syaa.g_01848
OG0000527	Prbi.g_00476	Syaa.g_01844
OG0000528	Prbi.g_00481	Syaa.g_02054
OG0000529	Prbi.g_00484	Syaa.g_02050
OG0000530	Prbi.g_00487	Syaa.g_02047
OG0000531	Prbi.g_00488	Syaa.g_02046
OG0000532	Prbi.g_00490	Syaa.g_02043
OG0000533	Prbi.g_00491	Syaa.g_02042
OG0000534	Prbi.g_00492	Syaa.g_02041
OG0000535	Prbi.g_00493	Syaa.g_02040
OG0000536	Prbi.g_00494	Syaa.g_02039
OG0000537	Prbi.g_00495	Syaa.g_02038
