Orthogroup	Prbi	Syar
OG0000062	Prbi.g_01482	Syar.g_01439
OG0000062	Prbi.g_01668	Syar.g_02911
OG0000063	Prbi.g_00033	Syar.g_00509
OG0000065	Prbi.g_00114	Syar.g_03119
OG0000066	Prbi.g_00542	Syar.g_03187, Syar.g_02228
OG0000067	Prbi.g_00847	Syar.g_02639
OG0000068	Prbi.g_01439	Syar.g_02329, Syar.g_01461
OG0000069	Prbi.g_01702	Syar.g_01716
OG0000070	Prbi.g_00451	Syar.g_02223, Syar.g_03150
OG0000071	Prbi.g_01391	Syar.g_02777
OG0000072	Prbi.g_00195	Syar.g_00107, Syar.g_01140
OG0000073	Prbi.g_00502	Syar.g_01364, Syar.g_01493
OG0000075	Prbi.g_01970	Syar.g_03065, Syar.g_00659
OG0000076	Prbi.g_01994	Syar.g_00608
OG0000077	Prbi.g_00085	Syar.g_03051
OG0000078	Prbi.g_00263	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000079	Prbi.g_00276	Syar.g_00166
OG0000081	Prbi.g_00534	Syar.g_01898
OG0000082	Prbi.g_00587	Syar.g_02202
OG0000085	Prbi.g_01780	Syar.g_02919
OG0000086	Prbi.g_00095	Syar.g_03085
OG0000087	Prbi.g_00147	Syar.g_03192, Syar.g_00068
OG0000088	Prbi.g_00190	Syar.g_00101
OG0000089	Prbi.g_00380	Syar.g_01162
OG0000090	Prbi.g_00536	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbi.g_00645	Syar.g_01891, Syar.g_02426
OG0000093	Prbi.g_00977	Syar.g_02623
OG0000094	Prbi.g_01067	Syar.g_01789
OG0000095	Prbi.g_01086	Syar.g_01932
OG0000097	Prbi.g_01248	Syar.g_01706, Syar.g_00364
OG0000098	Prbi.g_01421	Syar.g_02343
OG0000099	Prbi.g_01462	Syar.g_00715
OG0000100	Prbi.g_01664	Syar.g_02477
OG0000101	Prbi.g_01938	Syar.g_01073, Syar.g_03154
OG0000102	Prbi.g_01999	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbi.g_02091	Syar.g_00014, Syar.g_00452
OG0000104	Prbi.g_02099	Syar.g_00466
OG0000105	Prbi.g_00298	Syar.g_00218
OG0000106	Prbi.g_00394	Syar.g_01748
OG0000107	Prbi.g_00409	Syar.g_03290, Syar.g_00149
OG0000108	Prbi.g_00483	Syar.g_01469
OG0000109	Prbi.g_00497	Syar.g_03310, Syar.g_01485
OG0000110	Prbi.g_00577	Syar.g_02295
OG0000111	Prbi.g_00703	Syar.g_01940, Syar.g_00005
OG0000112	Prbi.g_00811	Syar.g_03195, Syar.g_02548
OG0000113	Prbi.g_00869	Syar.g_02664
OG0000114	Prbi.g_00951	Syar.g_01616
OG0000115	Prbi.g_01148	Syar.g_02854, Syar.g_01415
OG0000116	Prbi.g_01197	Syar.g_01525, Syar.g_02255
OG0000117	Prbi.g_01330	Syar.g_01969
OG0000118	Prbi.g_01403	Syar.g_02793
OG0000120	Prbi.g_01460	Syar.g_00713
OG0000121	Prbi.g_01593	Syar.g_02806
OG0000123	Prbi.g_01945	Syar.g_01079
OG0000124	Prbi.g_02010	Syar.g_00586
OG0000125	Prbi.g_02059	Syar.g_00338
OG0000126	Prbi.g_02098	Syar.g_00887, Syar.g_00888
OG0000128	Prbi.g_00011	Syar.g_00482
OG0000129	Prbi.g_00053	Syar.g_00324
OG0000130	Prbi.g_00076	Syar.g_03040
OG0000131	Prbi.g_00169	Syar.g_02216, Syar.g_00078
OG0000132	Prbi.g_00188	Syar.g_00099
OG0000133	Prbi.g_00346	Syar.g_02543
OG0000134	Prbi.g_00381	Syar.g_02009, Syar.g_01165
OG0000135	Prbi.g_00407	Syar.g_00698
OG0000136	Prbi.g_00442	Syar.g_02874
OG0000137	Prbi.g_00478	Syar.g_01273
OG0000138	Prbi.g_00498	Syar.g_01486
OG0000139	Prbi.g_00540	Syar.g_03245, Syar.g_02348
OG0000140	Prbi.g_00541	Syar.g_02344, Syar.g_03246
OG0000141	Prbi.g_00609	Syar.g_02129
OG0000142	Prbi.g_00638	Syar.g_02418
OG0000143	Prbi.g_00642	Syar.g_02422
OG0000144	Prbi.g_00655	Syar.g_02441
OG0000145	Prbi.g_00807	Syar.g_01494, Syar.g_03205
OG0000146	Prbi.g_00812	Syar.g_02549
OG0000147	Prbi.g_00813	Syar.g_02550
OG0000148	Prbi.g_00863	Syar.g_02658
OG0000149	Prbi.g_00894	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prbi.g_00902	Syar.g_02130
OG0000151	Prbi.g_00961	Syar.g_02038
OG0000152	Prbi.g_01009	Syar.g_02539
OG0000153	Prbi.g_01028	Syar.g_03283, Syar.g_02503
OG0000154	Prbi.g_01060	Syar.g_01800
OG0000155	Prbi.g_01227	Syar.g_01959
OG0000156	Prbi.g_01380	Syar.g_01517
OG0000157	Prbi.g_01381	Syar.g_01516
OG0000158	Prbi.g_01489	Syar.g_00650
OG0000160	Prbi.g_01592	Syar.g_02807
OG0000161	Prbi.g_01598	Syar.g_02801
OG0000162	Prbi.g_01604	Syar.g_02863
OG0000163	Prbi.g_01637	Syar.g_00639, Syar.g_01186
OG0000164	Prbi.g_01811	Syar.g_03168, Syar.g_02969
OG0000165	Prbi.g_01818	Syar.g_02976
OG0000166	Prbi.g_01902	Syar.g_01034
OG0000167	Prbi.g_01968	Syar.g_00662
OG0000168	Prbi.g_01978	Syar.g_00246
OG0000169	Prbi.g_01988	Syar.g_00262
OG0000170	Prbi.g_01990	Syar.g_00613
OG0000171	Prbi.g_02009	Syar.g_00587
OG0000172	Prbi.g_02030	Syar.g_00547
OG0000173	Prbi.g_02045	Syar.g_00528
OG0000174	Prbi.g_02073	Syar.g_00701
OG0000175	Prbi.g_02083	Syar.g_00438
OG0000176	Prbi.g_00004	Syar.g_00474
OG0000177	Prbi.g_00005	Syar.g_00475
OG0000178	Prbi.g_00006	Syar.g_00476
OG0000179	Prbi.g_00016	Syar.g_00489
OG0000180	Prbi.g_00017	Syar.g_00490
OG0000181	Prbi.g_00018	Syar.g_00491
OG0000182	Prbi.g_00019	Syar.g_00492
OG0000183	Prbi.g_00023	Syar.g_00496
OG0000184	Prbi.g_00057	Syar.g_00897
OG0000185	Prbi.g_00060	Syar.g_00909
OG0000186	Prbi.g_00071	Syar.g_03036
OG0000187	Prbi.g_00072	Syar.g_03038
OG0000188	Prbi.g_00089	Syar.g_03058
OG0000189	Prbi.g_00103	Syar.g_03104
OG0000190	Prbi.g_00104	Syar.g_03107, Syar.g_02374
OG0000191	Prbi.g_00125	Syar.g_00039
OG0000192	Prbi.g_00129	Syar.g_00046
OG0000193	Prbi.g_00170	Syar.g_00079
OG0000194	Prbi.g_00173	Syar.g_03236, Syar.g_00082
OG0000195	Prbi.g_00175	Syar.g_00023, Syar.g_00084
OG0000196	Prbi.g_00185	Syar.g_00096
OG0000197	Prbi.g_00186	Syar.g_00097
OG0000198	Prbi.g_00187	Syar.g_00098
OG0000199	Prbi.g_00194	Syar.g_00106
OG0000200	Prbi.g_00208	Syar.g_00124
OG0000201	Prbi.g_00216	Syar.g_01000
OG0000202	Prbi.g_00217	Syar.g_00998, Syar.g_00021
OG0000203	Prbi.g_00218	Syar.g_00020, Syar.g_00997
OG0000204	Prbi.g_00219	Syar.g_00996
OG0000205	Prbi.g_00226	Syar.g_00988
OG0000206	Prbi.g_00231	Syar.g_00963
OG0000207	Prbi.g_00233	Syar.g_00957
OG0000208	Prbi.g_00234	Syar.g_00956
OG0000209	Prbi.g_00243	Syar.g_00936, Syar.g_03261
OG0000210	Prbi.g_00244	Syar.g_00935, Syar.g_03260
OG0000211	Prbi.g_00257	Syar.g_03026
OG0000212	Prbi.g_00264	Syar.g_03017
OG0000213	Prbi.g_00281	Syar.g_00187
OG0000214	Prbi.g_00291	Syar.g_00209
OG0000215	Prbi.g_00316	Syar.g_00239
OG0000216	Prbi.g_00318	Syar.g_00244
OG0000217	Prbi.g_00321	Syar.g_00854
OG0000218	Prbi.g_00323	Syar.g_00852
OG0000219	Prbi.g_00324	Syar.g_00851
OG0000220	Prbi.g_00325	Syar.g_00850, Syar.g_02026
OG0000221	Prbi.g_00326	Syar.g_00834
OG0000222	Prbi.g_00334	Syar.g_02119, Syar.g_00728
OG0000223	Prbi.g_00347	Syar.g_00649
OG0000224	Prbi.g_00349	Syar.g_00762, Syar.g_00273
OG0000225	Prbi.g_00370	Syar.g_01142
OG0000226	Prbi.g_00374	Syar.g_01146
OG0000227	Prbi.g_00376	Syar.g_01148
OG0000228	Prbi.g_00379	Syar.g_01161
OG0000229	Prbi.g_00437	Syar.g_01177, Syar.g_03273
OG0000230	Prbi.g_00439	Syar.g_01179, Syar.g_03275
OG0000231	Prbi.g_00450	Syar.g_02865, Syar.g_03151
OG0000232	Prbi.g_00459	Syar.g_01424
OG0000233	Prbi.g_00465	Syar.g_03183, Syar.g_01247
OG0000234	Prbi.g_00479	Syar.g_01275
OG0000235	Prbi.g_00482	Syar.g_01468
OG0000236	Prbi.g_00496	Syar.g_03311, Syar.g_01484
OG0000237	Prbi.g_00509	Syar.g_01503
OG0000238	Prbi.g_00515	Syar.g_01508
OG0000239	Prbi.g_00528	Syar.g_03277, Syar.g_02687
OG0000240	Prbi.g_00529	Syar.g_03278, Syar.g_02686
OG0000241	Prbi.g_00533	Syar.g_02410
OG0000242	Prbi.g_00535	Syar.g_01926
OG0000243	Prbi.g_00546	Syar.g_02335
OG0000244	Prbi.g_00549	Syar.g_02327
OG0000245	Prbi.g_00551	Syar.g_02325, Syar.g_03238
OG0000246	Prbi.g_00555	Syar.g_02321
OG0000247	Prbi.g_00565	Syar.g_02310
OG0000248	Prbi.g_00567	Syar.g_02307, Syar.g_03293
OG0000249	Prbi.g_00569	Syar.g_02305
OG0000250	Prbi.g_00574	Syar.g_02299, Syar.g_03194
OG0000251	Prbi.g_00593	Syar.g_03207, Syar.g_02194
OG0000252	Prbi.g_00596	Syar.g_02189, Syar.g_03263
OG0000253	Prbi.g_00597	Syar.g_02028, Syar.g_03229
OG0000254	Prbi.g_00613	Syar.g_02169
OG0000255	Prbi.g_00619	Syar.g_00011, Syar.g_02224
OG0000256	Prbi.g_00629	Syar.g_02244
OG0000257	Prbi.g_00632	Syar.g_02407, Syar.g_01762
OG0000258	Prbi.g_00646	Syar.g_02427, Syar.g_00010
OG0000259	Prbi.g_00663	Syar.g_02472
OG0000260	Prbi.g_00666	Syar.g_03220, Syar.g_02475
OG0000261	Prbi.g_00668	Syar.g_01916
OG0000262	Prbi.g_00672	Syar.g_01690
OG0000263	Prbi.g_00684	Syar.g_01991
OG0000264	Prbi.g_00694	Syar.g_02135, Syar.g_03267
OG0000266	Prbi.g_00755	Syar.g_01570
OG0000267	Prbi.g_00766	Syar.g_01873
OG0000268	Prbi.g_00767	Syar.g_02589
OG0000269	Prbi.g_00842	Syar.g_02634
OG0000270	Prbi.g_00845	Syar.g_00744, Syar.g_02637
OG0000271	Prbi.g_00853	Syar.g_02645
OG0000272	Prbi.g_00854	Syar.g_02646
OG0000273	Prbi.g_00877	Syar.g_02481, Syar.g_00008
OG0000274	Prbi.g_00878	Syar.g_00009, Syar.g_02482
OG0000275	Prbi.g_00881	Syar.g_01810
OG0000276	Prbi.g_00886	Syar.g_01817
OG0000277	Prbi.g_00887	Syar.g_01818, Syar.g_03242
OG0000278	Prbi.g_00890	Syar.g_01821, Syar.g_03174
OG0000279	Prbi.g_00897	Syar.g_01838
OG0000280	Prbi.g_00898	Syar.g_02067, Syar.g_00734
OG0000281	Prbi.g_00903	Syar.g_02218
OG0000282	Prbi.g_00953	Syar.g_01614, Syar.g_03255
OG0000283	Prbi.g_00986	Syar.g_02574
OG0000284	Prbi.g_00991	Syar.g_03258, Syar.g_02568
OG0000285	Prbi.g_00996	Syar.g_02560
OG0000286	Prbi.g_01008	Syar.g_02540
OG0000287	Prbi.g_01025	Syar.g_02512
OG0000288	Prbi.g_01059	Syar.g_01801
OG0000289	Prbi.g_01070	Syar.g_03305, Syar.g_01786
OG0000290	Prbi.g_01083	Syar.g_01928
OG0000291	Prbi.g_01085	Syar.g_01930
OG0000292	Prbi.g_01136	Syar.g_00463
OG0000293	Prbi.g_01198	Syar.g_03297, Syar.g_01526
OG0000294	Prbi.g_01199	Syar.g_01527, Syar.g_03296
OG0000295	Prbi.g_01219	Syar.g_01951, Syar.g_03208
OG0000296	Prbi.g_01221	Syar.g_01953
OG0000297	Prbi.g_01229	Syar.g_01967, Syar.g_03216
OG0000298	Prbi.g_01230	Syar.g_01968, Syar.g_03215
OG0000299	Prbi.g_01247	Syar.g_01704
OG0000300	Prbi.g_01250	Syar.g_01646, Syar.g_01711
OG0000301	Prbi.g_01251	Syar.g_01712
OG0000302	Prbi.g_01253	Syar.g_01713
OG0000303	Prbi.g_01260	Syar.g_03136, Syar.g_01723
OG0000304	Prbi.g_01264	Syar.g_01728
OG0000305	Prbi.g_01431	Syar.g_01933, Syar.g_03163
OG0000306	Prbi.g_01434	Syar.g_01884, Syar.g_03140
OG0000307	Prbi.g_01448	Syar.g_01452, Syar.g_03153
OG0000308	Prbi.g_01449	Syar.g_01450
OG0000309	Prbi.g_01453	Syar.g_01239
OG0000310	Prbi.g_01574	Syar.g_02826
OG0000311	Prbi.g_01576	Syar.g_02823
OG0000312	Prbi.g_01579	Syar.g_00015, Syar.g_02818
OG0000313	Prbi.g_01595	Syar.g_02804
OG0000314	Prbi.g_01617	Syar.g_01403
OG0000315	Prbi.g_01627	Syar.g_01393
OG0000316	Prbi.g_01647	Syar.g_02885
OG0000317	Prbi.g_01785	Syar.g_02926
OG0000318	Prbi.g_01788	Syar.g_02930
OG0000319	Prbi.g_01801	Syar.g_02954
OG0000320	Prbi.g_01803	Syar.g_02956
OG0000321	Prbi.g_01804	Syar.g_02957
OG0000322	Prbi.g_01805	Syar.g_02958
OG0000323	Prbi.g_01814	Syar.g_02973
OG0000324	Prbi.g_01840	Syar.g_00350, Syar.g_03001
OG0000325	Prbi.g_01849	Syar.g_03291, Syar.g_00148
OG0000326	Prbi.g_01855	Syar.g_00139, Syar.g_03134
OG0000327	Prbi.g_01897	Syar.g_01029
OG0000328	Prbi.g_01898	Syar.g_01030
OG0000329	Prbi.g_01915	Syar.g_03189, Syar.g_01048
OG0000330	Prbi.g_01916	Syar.g_03190, Syar.g_01049
OG0000331	Prbi.g_01917	Syar.g_01050, Syar.g_03191
OG0000332	Prbi.g_01931	Syar.g_01064, Syar.g_03299
OG0000333	Prbi.g_01933	Syar.g_01067
OG0000334	Prbi.g_01941	Syar.g_01076
OG0000335	Prbi.g_01946	Syar.g_01080
OG0000336	Prbi.g_01950	Syar.g_01084
OG0000337	Prbi.g_01966	Syar.g_00285
OG0000338	Prbi.g_01967	Syar.g_03225, Syar.g_00287
OG0000339	Prbi.g_01971	Syar.g_00658
OG0000340	Prbi.g_01979	Syar.g_00247
OG0000341	Prbi.g_01981	Syar.g_00249
OG0000342	Prbi.g_01982	Syar.g_00250
OG0000343	Prbi.g_01983	Syar.g_00256
OG0000344	Prbi.g_01986	Syar.g_00260
OG0000345	Prbi.g_01991	Syar.g_00612
OG0000346	Prbi.g_01995	Syar.g_00607
OG0000347	Prbi.g_02011	Syar.g_00558
OG0000348	Prbi.g_02033	Syar.g_00544
OG0000349	Prbi.g_02050	Syar.g_00521
OG0000350	Prbi.g_02069	Syar.g_00132
OG0000351	Prbi.g_02086	Syar.g_00442
OG0000352	Prbi.g_02087	Syar.g_00443
OG0000353	Prbi.g_02102	Syar.g_00469
OG0000355	Prbi.g_00001	Syar.g_00471
OG0000356	Prbi.g_00002	Syar.g_00472
OG0000357	Prbi.g_00003	Syar.g_00473
OG0000358	Prbi.g_00007	Syar.g_00477
OG0000359	Prbi.g_00008	Syar.g_00479
OG0000360	Prbi.g_00009	Syar.g_00480
OG0000361	Prbi.g_00010	Syar.g_00481
OG0000362	Prbi.g_00012	Syar.g_00483
OG0000363	Prbi.g_00014	Syar.g_00484
OG0000364	Prbi.g_00015	Syar.g_02928
OG0000365	Prbi.g_00020	Syar.g_00493
OG0000366	Prbi.g_00021	Syar.g_00494
OG0000367	Prbi.g_00022	Syar.g_03262, Syar.g_00495
OG0000368	Prbi.g_00024	Syar.g_00497
OG0000369	Prbi.g_00025	Syar.g_00498
OG0000370	Prbi.g_00026	Syar.g_00499
OG0000371	Prbi.g_00032	Syar.g_00508
OG0000372	Prbi.g_00035	Syar.g_00514
OG0000373	Prbi.g_00036	Syar.g_00515
OG0000374	Prbi.g_00037	Syar.g_00516
OG0000375	Prbi.g_00049	Syar.g_00517
OG0000376	Prbi.g_00051	Syar.g_00519
OG0000377	Prbi.g_00056	Syar.g_00322
OG0000378	Prbi.g_00058	Syar.g_00905
OG0000379	Prbi.g_00061	Syar.g_00910
OG0000380	Prbi.g_00073	Syar.g_03039
OG0000381	Prbi.g_00077	Syar.g_03041
OG0000382	Prbi.g_00088	Syar.g_03057
OG0000383	Prbi.g_00090	Syar.g_03074
OG0000384	Prbi.g_00091	Syar.g_03075
OG0000385	Prbi.g_00092	Syar.g_03076
OG0000386	Prbi.g_00093	Syar.g_03077
OG0000387	Prbi.g_00106	Syar.g_03109
OG0000388	Prbi.g_00109	Syar.g_03148, Syar.g_03113
OG0000389	Prbi.g_00113	Syar.g_03118
OG0000390	Prbi.g_00120	Syar.g_00033
OG0000391	Prbi.g_00124	Syar.g_00038
OG0000392	Prbi.g_00128	Syar.g_00045
OG0000393	Prbi.g_00130	Syar.g_00048
OG0000394	Prbi.g_00131	Syar.g_00049
OG0000395	Prbi.g_00132	Syar.g_00050
OG0000396	Prbi.g_00135	Syar.g_00053
OG0000397	Prbi.g_00137	Syar.g_00055
OG0000398	Prbi.g_00139	Syar.g_00060
OG0000399	Prbi.g_00140	Syar.g_00061
OG0000400	Prbi.g_00141	Syar.g_00062
OG0000401	Prbi.g_00142	Syar.g_00063
OG0000402	Prbi.g_00144	Syar.g_00065
OG0000403	Prbi.g_00145	Syar.g_00066
OG0000404	Prbi.g_00146	Syar.g_00067
OG0000405	Prbi.g_00150	Syar.g_00076
OG0000406	Prbi.g_00171	Syar.g_00080
OG0000407	Prbi.g_00172	Syar.g_00081
OG0000408	Prbi.g_00174	Syar.g_00083
OG0000409	Prbi.g_00176	Syar.g_00085
OG0000410	Prbi.g_00177	Syar.g_00086
OG0000411	Prbi.g_00178	Syar.g_00087
OG0000412	Prbi.g_00179	Syar.g_00088
OG0000413	Prbi.g_00180	Syar.g_00090
OG0000414	Prbi.g_00181	Syar.g_00091, Syar.g_03179
OG0000415	Prbi.g_00182	Syar.g_00092
OG0000416	Prbi.g_00183	Syar.g_00093
OG0000417	Prbi.g_00184	Syar.g_00095
OG0000418	Prbi.g_00189	Syar.g_00100
OG0000419	Prbi.g_00191	Syar.g_00102
OG0000420	Prbi.g_00192	Syar.g_00104
OG0000421	Prbi.g_00197	Syar.g_00109
OG0000422	Prbi.g_00198	Syar.g_00110
OG0000423	Prbi.g_00199	Syar.g_00111
OG0000424	Prbi.g_00200	Syar.g_00112
OG0000425	Prbi.g_00201	Syar.g_00113
OG0000426	Prbi.g_00202	Syar.g_00114
OG0000427	Prbi.g_00203	Syar.g_00115
OG0000428	Prbi.g_00205	Syar.g_00118
OG0000429	Prbi.g_00206	Syar.g_00121
OG0000430	Prbi.g_00207	Syar.g_00123
OG0000431	Prbi.g_00209	Syar.g_00127
OG0000432	Prbi.g_00212	Syar.g_01009
OG0000433	Prbi.g_00213	Syar.g_01007
OG0000434	Prbi.g_00214	Syar.g_01006
OG0000435	Prbi.g_00215	Syar.g_01003
OG0000436	Prbi.g_00220	Syar.g_00994
OG0000437	Prbi.g_00221	Syar.g_00993
OG0000438	Prbi.g_00222	Syar.g_00992
OG0000439	Prbi.g_00224	Syar.g_00990
OG0000440	Prbi.g_00225	Syar.g_00989
OG0000441	Prbi.g_00228	Syar.g_00986
OG0000442	Prbi.g_00229	Syar.g_00977
OG0000443	Prbi.g_00230	Syar.g_00964
OG0000444	Prbi.g_00235	Syar.g_00954
OG0000445	Prbi.g_00236	Syar.g_00953
OG0000446	Prbi.g_00237	Syar.g_00951
OG0000447	Prbi.g_00238	Syar.g_00948
OG0000448	Prbi.g_00239	Syar.g_00947
OG0000449	Prbi.g_00240	Syar.g_00946
OG0000450	Prbi.g_00241	Syar.g_00939
OG0000451	Prbi.g_00242	Syar.g_00938
OG0000452	Prbi.g_00245	Syar.g_00934
OG0000453	Prbi.g_00246	Syar.g_00933
OG0000454	Prbi.g_00247	Syar.g_00932
OG0000455	Prbi.g_00248	Syar.g_00931
OG0000456	Prbi.g_00249	Syar.g_00930
OG0000457	Prbi.g_00250	Syar.g_00928
OG0000458	Prbi.g_00251	Syar.g_00918
OG0000459	Prbi.g_00252	Syar.g_00917
OG0000460	Prbi.g_00259	Syar.g_03024
OG0000461	Prbi.g_00266	Syar.g_00153
OG0000462	Prbi.g_00268	Syar.g_00155
OG0000463	Prbi.g_00269	Syar.g_00156
OG0000464	Prbi.g_00270	Syar.g_00157
OG0000465	Prbi.g_00271	Syar.g_00159
OG0000466	Prbi.g_00274	Syar.g_00164
OG0000467	Prbi.g_00275	Syar.g_00165
OG0000468	Prbi.g_00277	Syar.g_00170
OG0000469	Prbi.g_00286	Syar.g_00203
OG0000470	Prbi.g_00288	Syar.g_00206
OG0000471	Prbi.g_00289	Syar.g_00207
OG0000472	Prbi.g_00290	Syar.g_00208
OG0000473	Prbi.g_00292	Syar.g_00210
OG0000474	Prbi.g_00293	Syar.g_00211
OG0000475	Prbi.g_00294	Syar.g_00212
OG0000476	Prbi.g_00295	Syar.g_00214
OG0000477	Prbi.g_00299	Syar.g_00219
OG0000478	Prbi.g_00300	Syar.g_00220
OG0000479	Prbi.g_00301	Syar.g_00221
OG0000480	Prbi.g_00306	Syar.g_00228
OG0000481	Prbi.g_00308	Syar.g_00230
OG0000482	Prbi.g_00309	Syar.g_00231
OG0000483	Prbi.g_00312	Syar.g_00235
OG0000484	Prbi.g_00313	Syar.g_00236
OG0000485	Prbi.g_00314	Syar.g_00237
OG0000486	Prbi.g_00315	Syar.g_00024, Syar.g_00238
OG0000487	Prbi.g_00319	Syar.g_00245
OG0000488	Prbi.g_00322	Syar.g_00853
OG0000489	Prbi.g_00327	Syar.g_00833
OG0000490	Prbi.g_00332	Syar.g_00823
OG0000491	Prbi.g_00333	Syar.g_00822
OG0000492	Prbi.g_00335	Syar.g_00727
OG0000493	Prbi.g_00336	Syar.g_00726
OG0000494	Prbi.g_00337	Syar.g_00725
OG0000495	Prbi.g_00338	Syar.g_00724
OG0000496	Prbi.g_00339	Syar.g_00723
OG0000497	Prbi.g_00340	Syar.g_00722
OG0000498	Prbi.g_00341	Syar.g_00721
OG0000499	Prbi.g_00342	Syar.g_00720
OG0000500	Prbi.g_00343	Syar.g_00719
OG0000501	Prbi.g_00345	Syar.g_00716
OG0000502	Prbi.g_00348	Syar.g_00275
OG0000503	Prbi.g_00358	Syar.g_01118
OG0000504	Prbi.g_00359	Syar.g_01120
OG0000505	Prbi.g_00360	Syar.g_01121
OG0000506	Prbi.g_00362	Syar.g_01123
OG0000507	Prbi.g_00365	Syar.g_01129
OG0000508	Prbi.g_00369	Syar.g_01141
OG0000509	Prbi.g_00371	Syar.g_01143
OG0000510	Prbi.g_00372	Syar.g_01144
OG0000511	Prbi.g_00373	Syar.g_01145
OG0000512	Prbi.g_00375	Syar.g_01147
OG0000513	Prbi.g_00382	Syar.g_01166
OG0000514	Prbi.g_00432	Syar.g_01169
OG0000515	Prbi.g_00433	Syar.g_01170
OG0000516	Prbi.g_00434	Syar.g_01172
OG0000517	Prbi.g_00436	Syar.g_01176
OG0000518	Prbi.g_00447	Syar.g_02868
OG0000519	Prbi.g_00448	Syar.g_02867
OG0000520	Prbi.g_00449	Syar.g_02866
OG0000521	Prbi.g_00454	Syar.g_01419
OG0000522	Prbi.g_00456	Syar.g_01421
OG0000523	Prbi.g_00457	Syar.g_01422
OG0000524	Prbi.g_00463	Syar.g_01244
OG0000525	Prbi.g_00466	Syar.g_01263
OG0000526	Prbi.g_00467	Syar.g_01266
OG0000527	Prbi.g_00476	Syar.g_01271
OG0000528	Prbi.g_00481	Syar.g_01466
OG0000529	Prbi.g_00484	Syar.g_01470
OG0000530	Prbi.g_00487	Syar.g_01473
OG0000531	Prbi.g_00488	Syar.g_01474
OG0000532	Prbi.g_00490	Syar.g_01477
OG0000533	Prbi.g_00491	Syar.g_01479
OG0000534	Prbi.g_00492	Syar.g_01480
