Orthogroup	Prbi	Syak
OG0000065	Prbi.g_00114	Syak.g_02192, Syak.g_00282
OG0000066	Prbi.g_00542	Syak.g_02653
OG0000067	Prbi.g_00847	Syak.g_00434
OG0000068	Prbi.g_01439	Syak.g_02565
OG0000070	Prbi.g_00451	Syak.g_01174
OG0000071	Prbi.g_01391	Syak.g_02322, Syak.g_00936
OG0000072	Prbi.g_00195	Syak.g_02099
OG0000073	Prbi.g_00502	Syak.g_02597
OG0000075	Prbi.g_01970	Syak.g_01564
OG0000076	Prbi.g_01994	Syak.g_01650
OG0000077	Prbi.g_00085	Syak.g_02243
OG0000078	Prbi.g_00263	Syak.g_02310
OG0000079	Prbi.g_00276	Syak.g_01417
OG0000080	Prbi.g_01492	Syak.g_01585, Syak.g_01583
OG0000081	Prbi.g_00534	Syak.g_00115
OG0000082	Prbi.g_00587	Syak.g_02711
OG0000084	Prbi.g_01585	Syak.g_01036
OG0000085	Prbi.g_01780	Syak.g_02427
OG0000086	Prbi.g_00095	Syak.g_02219
OG0000087	Prbi.g_00147	Syak.g_02141
OG0000088	Prbi.g_00190	Syak.g_02106
OG0000089	Prbi.g_00380	Syak.g_01215
OG0000090	Prbi.g_00536	Syak.g_02640
OG0000091	Prbi.g_00645	Syak.g_00043
OG0000093	Prbi.g_00977	Syak.g_00416
OG0000094	Prbi.g_01067	Syak.g_00656
OG0000095	Prbi.g_01086	Syak.g_00736
OG0000097	Prbi.g_01248	Syak.g_00816
OG0000098	Prbi.g_01421	Syak.g_00345, Syak.g_02651
OG0000099	Prbi.g_01462	Syak.g_01527
OG0000100	Prbi.g_01664	Syak.g_00622
OG0000101	Prbi.g_01938	Syak.g_01305
OG0000102	Prbi.g_01999	Syak.g_01661
OG0000103	Prbi.g_02091	Syak.g_01812
OG0000104	Prbi.g_02099	Syak.g_01799
OG0000105	Prbi.g_00298	Syak.g_01451
OG0000106	Prbi.g_00394	Syak.g_00096
OG0000107	Prbi.g_00409	Syak.g_01392
OG0000108	Prbi.g_00483	Syak.g_02574
OG0000109	Prbi.g_00497	Syak.g_01061, Syak.g_02590
OG0000110	Prbi.g_00577	Syak.g_02698
OG0000111	Prbi.g_00703	Syak.g_00725
OG0000112	Prbi.g_00811	Syak.g_00512
OG0000113	Prbi.g_00869	Syak.g_00461
OG0000114	Prbi.g_00951	Syak.g_00373, Syak.g_00065
OG0000115	Prbi.g_01148	Syak.g_01066
OG0000116	Prbi.g_01197	Syak.g_00911
OG0000117	Prbi.g_01330	Syak.g_00846
OG0000118	Prbi.g_01403	Syak.g_00954
OG0000119	Prbi.g_01435	Syak.g_00917
OG0000120	Prbi.g_01460	Syak.g_01526
OG0000121	Prbi.g_01593	Syak.g_01044
OG0000122	Prbi.g_01630	Syak.g_00081
OG0000123	Prbi.g_01945	Syak.g_01299
OG0000124	Prbi.g_02010	Syak.g_01692
OG0000125	Prbi.g_02059	Syak.g_01934
OG0000126	Prbi.g_02098	Syak.g_01801
OG0000128	Prbi.g_00011	Syak.g_01782
OG0000129	Prbi.g_00053	Syak.g_01947
OG0000130	Prbi.g_00076	Syak.g_02255
OG0000131	Prbi.g_00169	Syak.g_02128
OG0000132	Prbi.g_00188	Syak.g_02108
OG0000133	Prbi.g_00346	Syak.g_00507
OG0000134	Prbi.g_00381	Syak.g_01212
OG0000135	Prbi.g_00407	Syak.g_01897
OG0000136	Prbi.g_00442	Syak.g_01186
OG0000137	Prbi.g_00478	Syak.g_01118
OG0000138	Prbi.g_00498	Syak.g_01062, Syak.g_02591
OG0000139	Prbi.g_00540	Syak.g_02646
OG0000140	Prbi.g_00541	Syak.g_02650
OG0000141	Prbi.g_00609	Syak.g_02746
OG0000142	Prbi.g_00638	Syak.g_00035
OG0000143	Prbi.g_00642	Syak.g_00039
OG0000144	Prbi.g_00655	Syak.g_00260
OG0000145	Prbi.g_00807	Syak.g_02598
OG0000146	Prbi.g_00812	Syak.g_00514
OG0000147	Prbi.g_00813	Syak.g_00515
OG0000148	Prbi.g_00863	Syak.g_00455
OG0000149	Prbi.g_00894	Syak.g_00596
OG0000150	Prbi.g_00902	Syak.g_02747
OG0000151	Prbi.g_00961	Syak.g_00387
OG0000152	Prbi.g_01009	Syak.g_00503
OG0000153	Prbi.g_01028	Syak.g_00470
OG0000154	Prbi.g_01060	Syak.g_00645
OG0000155	Prbi.g_01227	Syak.g_00855
OG0000156	Prbi.g_01380	Syak.g_00919
OG0000157	Prbi.g_01381	Syak.g_00920
OG0000158	Prbi.g_01489	Syak.g_01624
OG0000160	Prbi.g_01592	Syak.g_01043
OG0000161	Prbi.g_01598	Syak.g_01050
OG0000162	Prbi.g_01604	Syak.g_01058
OG0000163	Prbi.g_01637	Syak.g_02478
OG0000164	Prbi.g_01811	Syak.g_02384
OG0000165	Prbi.g_01818	Syak.g_02374
OG0000166	Prbi.g_01902	Syak.g_01345
OG0000167	Prbi.g_01968	Syak.g_01561
OG0000168	Prbi.g_01978	Syak.g_01625
OG0000169	Prbi.g_01988	Syak.g_01637
OG0000170	Prbi.g_01990	Syak.g_01644
OG0000171	Prbi.g_02009	Syak.g_01691
OG0000172	Prbi.g_02030	Syak.g_01713
OG0000173	Prbi.g_02045	Syak.g_01733
OG0000174	Prbi.g_02073	Syak.g_01895
OG0000175	Prbi.g_02083	Syak.g_01827
OG0000176	Prbi.g_00004	Syak.g_01790
OG0000177	Prbi.g_00005	Syak.g_01789
OG0000178	Prbi.g_00006	Syak.g_01788
OG0000179	Prbi.g_00016	Syak.g_01773
OG0000180	Prbi.g_00017	Syak.g_01772
OG0000181	Prbi.g_00018	Syak.g_01771
OG0000182	Prbi.g_00019	Syak.g_01770
OG0000183	Prbi.g_00023	Syak.g_01766
OG0000184	Prbi.g_00057	Syak.g_01955
OG0000185	Prbi.g_00060	Syak.g_01971
OG0000186	Prbi.g_00071	Syak.g_02258
OG0000187	Prbi.g_00072	Syak.g_02257
OG0000188	Prbi.g_00089	Syak.g_02235
OG0000189	Prbi.g_00103	Syak.g_02203
OG0000190	Prbi.g_00104	Syak.g_01575
OG0000191	Prbi.g_00125	Syak.g_02171
OG0000192	Prbi.g_00129	Syak.g_02165
OG0000193	Prbi.g_00170	Syak.g_02127
OG0000194	Prbi.g_00173	Syak.g_02124
OG0000195	Prbi.g_00175	Syak.g_02122
OG0000196	Prbi.g_00185	Syak.g_02111
OG0000197	Prbi.g_00186	Syak.g_02110
OG0000198	Prbi.g_00187	Syak.g_02109
OG0000199	Prbi.g_00194	Syak.g_02100
OG0000200	Prbi.g_00208	Syak.g_02083
OG0000201	Prbi.g_00216	Syak.g_02068
OG0000202	Prbi.g_00217	Syak.g_02067
OG0000203	Prbi.g_00218	Syak.g_02066
OG0000204	Prbi.g_00219	Syak.g_02065
OG0000205	Prbi.g_00226	Syak.g_02058
OG0000206	Prbi.g_00231	Syak.g_02038
OG0000207	Prbi.g_00233	Syak.g_02025
OG0000208	Prbi.g_00234	Syak.g_02024
OG0000209	Prbi.g_00243	Syak.g_01995
OG0000210	Prbi.g_00244	Syak.g_01994
OG0000211	Prbi.g_00257	Syak.g_02017, Syak.g_02300
OG0000212	Prbi.g_00264	Syak.g_02311
OG0000213	Prbi.g_00281	Syak.g_01425
OG0000214	Prbi.g_00291	Syak.g_01442
OG0000215	Prbi.g_00316	Syak.g_01474
OG0000216	Prbi.g_00318	Syak.g_01478
OG0000217	Prbi.g_00321	Syak.g_01482
OG0000218	Prbi.g_00323	Syak.g_01484
OG0000219	Prbi.g_00324	Syak.g_01485
OG0000220	Prbi.g_00325	Syak.g_01486
OG0000221	Prbi.g_00326	Syak.g_01498
OG0000222	Prbi.g_00334	Syak.g_01512
OG0000223	Prbi.g_00347	Syak.g_01531
OG0000224	Prbi.g_00349	Syak.g_01532
OG0000225	Prbi.g_00370	Syak.g_01230
OG0000226	Prbi.g_00374	Syak.g_01226
OG0000227	Prbi.g_00376	Syak.g_01224
OG0000228	Prbi.g_00379	Syak.g_01216
OG0000229	Prbi.g_00437	Syak.g_01191
OG0000230	Prbi.g_00439	Syak.g_01189
OG0000231	Prbi.g_00450	Syak.g_01176
OG0000232	Prbi.g_00459	Syak.g_01156
OG0000233	Prbi.g_00465	Syak.g_01145
OG0000234	Prbi.g_00479	Syak.g_01116
OG0000235	Prbi.g_00482	Syak.g_02573
OG0000236	Prbi.g_00496	Syak.g_02589
OG0000237	Prbi.g_00509	Syak.g_02607
OG0000238	Prbi.g_00515	Syak.g_02612
OG0000239	Prbi.g_00528	Syak.g_02628
OG0000240	Prbi.g_00529	Syak.g_02629
OG0000241	Prbi.g_00533	Syak.g_00027
OG0000242	Prbi.g_00535	Syak.g_02638
OG0000243	Prbi.g_00546	Syak.g_02658
OG0000244	Prbi.g_00549	Syak.g_02665
OG0000245	Prbi.g_00551	Syak.g_02667
OG0000246	Prbi.g_00555	Syak.g_02671
OG0000247	Prbi.g_00565	Syak.g_02681
OG0000248	Prbi.g_00567	Syak.g_02684
OG0000249	Prbi.g_00569	Syak.g_02686
OG0000250	Prbi.g_00574	Syak.g_02694
OG0000251	Prbi.g_00593	Syak.g_02722
OG0000252	Prbi.g_00596	Syak.g_02725
OG0000253	Prbi.g_00597	Syak.g_02727
OG0000254	Prbi.g_00613	Syak.g_02752
OG0000255	Prbi.g_00619	Syak.g_02772
OG0000256	Prbi.g_00629	Syak.g_00020
OG0000257	Prbi.g_00632	Syak.g_00026
OG0000258	Prbi.g_00646	Syak.g_00044
OG0000259	Prbi.g_00663	Syak.g_00334
OG0000260	Prbi.g_00666	Syak.g_00338
OG0000261	Prbi.g_00668	Syak.g_00348
OG0000262	Prbi.g_00672	Syak.g_00353
OG0000263	Prbi.g_00684	Syak.g_00828
OG0000264	Prbi.g_00694	Syak.g_00698
OG0000265	Prbi.g_00745	Syak.g_00211
OG0000266	Prbi.g_00755	Syak.g_00778
OG0000267	Prbi.g_00766	Syak.g_00555
OG0000268	Prbi.g_00767	Syak.g_00554
OG0000269	Prbi.g_00842	Syak.g_00429
OG0000270	Prbi.g_00845	Syak.g_00432
OG0000271	Prbi.g_00853	Syak.g_00440
OG0000272	Prbi.g_00854	Syak.g_00441
OG0000273	Prbi.g_00877	Syak.g_00616
OG0000274	Prbi.g_00878	Syak.g_00615
OG0000275	Prbi.g_00881	Syak.g_00611
OG0000276	Prbi.g_00886	Syak.g_00604
OG0000277	Prbi.g_00887	Syak.g_00603
OG0000278	Prbi.g_00890	Syak.g_00600
OG0000279	Prbi.g_00897	Syak.g_00592
OG0000280	Prbi.g_00898	Syak.g_00582
OG0000281	Prbi.g_00903	Syak.g_00339
OG0000282	Prbi.g_00953	Syak.g_00375
OG0000283	Prbi.g_00986	Syak.g_00541
OG0000284	Prbi.g_00991	Syak.g_00536
OG0000285	Prbi.g_00996	Syak.g_00523
OG0000286	Prbi.g_01008	Syak.g_00504
OG0000287	Prbi.g_01025	Syak.g_00477
OG0000288	Prbi.g_01059	Syak.g_00644
OG0000289	Prbi.g_01070	Syak.g_00659
OG0000290	Prbi.g_01083	Syak.g_00738
OG0000291	Prbi.g_01085	Syak.g_00734, Syak.g_00737
OG0000292	Prbi.g_01136	Syak.g_01802
OG0000293	Prbi.g_01198	Syak.g_00910
OG0000294	Prbi.g_01199	Syak.g_00909
OG0000295	Prbi.g_01219	Syak.g_00863
OG0000296	Prbi.g_01221	Syak.g_00861
OG0000297	Prbi.g_01229	Syak.g_00848
OG0000298	Prbi.g_01230	Syak.g_00847
OG0000299	Prbi.g_01247	Syak.g_00820
OG0000300	Prbi.g_01250	Syak.g_00813
OG0000301	Prbi.g_01251	Syak.g_00812
OG0000302	Prbi.g_01253	Syak.g_00811
OG0000303	Prbi.g_01260	Syak.g_00674
OG0000304	Prbi.g_01264	Syak.g_00680
OG0000305	Prbi.g_01431	Syak.g_00732
OG0000306	Prbi.g_01434	Syak.g_00094
OG0000307	Prbi.g_01448	Syak.g_02556
OG0000308	Prbi.g_01449	Syak.g_02554
OG0000309	Prbi.g_01453	Syak.g_02549
OG0000310	Prbi.g_01574	Syak.g_00994
OG0000311	Prbi.g_01576	Syak.g_00999
OG0000312	Prbi.g_01579	Syak.g_01028
OG0000313	Prbi.g_01595	Syak.g_01046
OG0000314	Prbi.g_01617	Syak.g_01079
OG0000315	Prbi.g_01627	Syak.g_01090
OG0000316	Prbi.g_01647	Syak.g_02462
OG0000317	Prbi.g_01785	Syak.g_02419
OG0000318	Prbi.g_01788	Syak.g_02415
OG0000319	Prbi.g_01801	Syak.g_02399
OG0000320	Prbi.g_01803	Syak.g_02397
OG0000321	Prbi.g_01804	Syak.g_02396
OG0000322	Prbi.g_01805	Syak.g_02395
OG0000323	Prbi.g_01814	Syak.g_02380
OG0000324	Prbi.g_01840	Syak.g_02347
OG0000325	Prbi.g_01849	Syak.g_01391
OG0000326	Prbi.g_01855	Syak.g_01384
OG0000327	Prbi.g_01897	Syak.g_01350
OG0000328	Prbi.g_01898	Syak.g_01349
OG0000329	Prbi.g_01915	Syak.g_01331
OG0000330	Prbi.g_01916	Syak.g_01330
OG0000331	Prbi.g_01917	Syak.g_01329
OG0000332	Prbi.g_01931	Syak.g_01314
OG0000333	Prbi.g_01933	Syak.g_01311
OG0000334	Prbi.g_01941	Syak.g_01302
OG0000335	Prbi.g_01946	Syak.g_01298
OG0000336	Prbi.g_01950	Syak.g_01294
OG0000337	Prbi.g_01966	Syak.g_01555
OG0000338	Prbi.g_01967	Syak.g_01558
OG0000339	Prbi.g_01971	Syak.g_01566
OG0000340	Prbi.g_01979	Syak.g_01626
OG0000341	Prbi.g_01981	Syak.g_01628
OG0000342	Prbi.g_01982	Syak.g_01629
OG0000343	Prbi.g_01983	Syak.g_01631
OG0000344	Prbi.g_01986	Syak.g_01635
OG0000345	Prbi.g_01991	Syak.g_01645
OG0000346	Prbi.g_01995	Syak.g_01651
OG0000347	Prbi.g_02011	Syak.g_01694
OG0000348	Prbi.g_02033	Syak.g_01717
OG0000349	Prbi.g_02050	Syak.g_01740
OG0000350	Prbi.g_02069	Syak.g_01377
OG0000351	Prbi.g_02086	Syak.g_01823
OG0000352	Prbi.g_02087	Syak.g_01822
OG0000353	Prbi.g_02102	Syak.g_01796
OG0000355	Prbi.g_00001	Syak.g_01793
OG0000356	Prbi.g_00002	Syak.g_01792
OG0000357	Prbi.g_00003	Syak.g_01791
OG0000358	Prbi.g_00007	Syak.g_01787
OG0000359	Prbi.g_00008	Syak.g_01785
OG0000360	Prbi.g_00009	Syak.g_01784
OG0000361	Prbi.g_00010	Syak.g_01783
OG0000362	Prbi.g_00012	Syak.g_01781
OG0000363	Prbi.g_00014	Syak.g_01779
OG0000364	Prbi.g_00015	Syak.g_01778
OG0000365	Prbi.g_00020	Syak.g_01769
OG0000366	Prbi.g_00021	Syak.g_01768
OG0000367	Prbi.g_00022	Syak.g_01767
OG0000368	Prbi.g_00024	Syak.g_01765
OG0000369	Prbi.g_00025	Syak.g_01764
OG0000370	Prbi.g_00026	Syak.g_01763
OG0000371	Prbi.g_00032	Syak.g_01753
OG0000372	Prbi.g_00035	Syak.g_01748
OG0000373	Prbi.g_00036	Syak.g_01747
OG0000374	Prbi.g_00037	Syak.g_01746
OG0000375	Prbi.g_00049	Syak.g_01744
OG0000376	Prbi.g_00051	Syak.g_01742
OG0000377	Prbi.g_00056	Syak.g_01948
OG0000378	Prbi.g_00058	Syak.g_01968
OG0000379	Prbi.g_00061	Syak.g_01972
OG0000380	Prbi.g_00073	Syak.g_02256
OG0000381	Prbi.g_00077	Syak.g_02254
OG0000382	Prbi.g_00088	Syak.g_02236
OG0000383	Prbi.g_00090	Syak.g_02229
OG0000384	Prbi.g_00091	Syak.g_02228
OG0000385	Prbi.g_00092	Syak.g_02227
OG0000386	Prbi.g_00093	Syak.g_02226
OG0000387	Prbi.g_00106	Syak.g_02200
OG0000388	Prbi.g_00109	Syak.g_02196
OG0000389	Prbi.g_00113	Syak.g_02193, Syak.g_02345
OG0000390	Prbi.g_00120	Syak.g_02177
OG0000391	Prbi.g_00124	Syak.g_02172
OG0000392	Prbi.g_00128	Syak.g_02166
OG0000393	Prbi.g_00130	Syak.g_02163
OG0000394	Prbi.g_00131	Syak.g_02162
OG0000395	Prbi.g_00132	Syak.g_02161
OG0000396	Prbi.g_00135	Syak.g_02158
OG0000397	Prbi.g_00137	Syak.g_02156
OG0000398	Prbi.g_00139	Syak.g_02151
OG0000399	Prbi.g_00140	Syak.g_02150
OG0000400	Prbi.g_00141	Syak.g_02149
OG0000401	Prbi.g_00142	Syak.g_02148
OG0000402	Prbi.g_00144	Syak.g_02146
OG0000403	Prbi.g_00145	Syak.g_02145
OG0000404	Prbi.g_00146	Syak.g_02143
OG0000405	Prbi.g_00150	Syak.g_02131
OG0000406	Prbi.g_00171	Syak.g_02126
OG0000407	Prbi.g_00172	Syak.g_02125
OG0000408	Prbi.g_00174	Syak.g_02123
OG0000409	Prbi.g_00176	Syak.g_02121
OG0000410	Prbi.g_00177	Syak.g_02120
OG0000411	Prbi.g_00178	Syak.g_02119
OG0000412	Prbi.g_00179	Syak.g_02118
OG0000413	Prbi.g_00180	Syak.g_02116
OG0000415	Prbi.g_00182	Syak.g_02114
OG0000416	Prbi.g_00183	Syak.g_02113
OG0000417	Prbi.g_00184	Syak.g_02112
OG0000418	Prbi.g_00189	Syak.g_02107
OG0000419	Prbi.g_00191	Syak.g_02105
OG0000420	Prbi.g_00192	Syak.g_02103
OG0000421	Prbi.g_00197	Syak.g_02097
OG0000422	Prbi.g_00198	Syak.g_02096
OG0000423	Prbi.g_00199	Syak.g_02095
OG0000424	Prbi.g_00200	Syak.g_02094
OG0000425	Prbi.g_00201	Syak.g_02093
OG0000426	Prbi.g_00202	Syak.g_02092
OG0000427	Prbi.g_00203	Syak.g_02091
OG0000428	Prbi.g_00205	Syak.g_02088
OG0000429	Prbi.g_00206	Syak.g_02086
OG0000430	Prbi.g_00207	Syak.g_02084
OG0000431	Prbi.g_00209	Syak.g_02081
OG0000432	Prbi.g_00212	Syak.g_02075
OG0000433	Prbi.g_00213	Syak.g_02073
OG0000434	Prbi.g_00214	Syak.g_02072
OG0000435	Prbi.g_00215	Syak.g_02071
OG0000436	Prbi.g_00220	Syak.g_02064
OG0000437	Prbi.g_00221	Syak.g_02063
OG0000438	Prbi.g_00222	Syak.g_02062
OG0000439	Prbi.g_00224	Syak.g_02060
OG0000440	Prbi.g_00225	Syak.g_02059
OG0000441	Prbi.g_00228	Syak.g_02053
OG0000442	Prbi.g_00229	Syak.g_02043
OG0000443	Prbi.g_00230	Syak.g_02041
OG0000444	Prbi.g_00235	Syak.g_02022
OG0000445	Prbi.g_00236	Syak.g_02015
OG0000446	Prbi.g_00237	Syak.g_02013
OG0000447	Prbi.g_00238	Syak.g_02006
OG0000448	Prbi.g_00239	Syak.g_02005
OG0000449	Prbi.g_00240	Syak.g_02004
OG0000450	Prbi.g_00241	Syak.g_01998
OG0000451	Prbi.g_00242	Syak.g_01997
OG0000452	Prbi.g_00245	Syak.g_01993
OG0000453	Prbi.g_00246	Syak.g_01992
OG0000454	Prbi.g_00247	Syak.g_01991
OG0000455	Prbi.g_00248	Syak.g_01990
OG0000456	Prbi.g_00249	Syak.g_01989
OG0000457	Prbi.g_00250	Syak.g_01987
OG0000458	Prbi.g_00251	Syak.g_01986
OG0000459	Prbi.g_00252	Syak.g_01985
OG0000460	Prbi.g_00259	Syak.g_02303
OG0000461	Prbi.g_00266	Syak.g_01402
OG0000462	Prbi.g_00268	Syak.g_01405
OG0000463	Prbi.g_00269	Syak.g_01406
OG0000464	Prbi.g_00270	Syak.g_01407
OG0000465	Prbi.g_00271	Syak.g_01409
OG0000466	Prbi.g_00274	Syak.g_01414
OG0000467	Prbi.g_00275	Syak.g_01416
OG0000468	Prbi.g_00277	Syak.g_01421
OG0000469	Prbi.g_00286	Syak.g_01436
OG0000470	Prbi.g_00288	Syak.g_01438
OG0000471	Prbi.g_00289	Syak.g_01439
OG0000472	Prbi.g_00290	Syak.g_01441
OG0000473	Prbi.g_00292	Syak.g_01443
OG0000474	Prbi.g_00293	Syak.g_01444
OG0000475	Prbi.g_00294	Syak.g_01445
OG0000476	Prbi.g_00295	Syak.g_01447
OG0000477	Prbi.g_00299	Syak.g_01453
OG0000478	Prbi.g_00300	Syak.g_01454
OG0000479	Prbi.g_00301	Syak.g_01455
OG0000480	Prbi.g_00306	Syak.g_01462
OG0000481	Prbi.g_00308	Syak.g_01464
OG0000482	Prbi.g_00309	Syak.g_01465
OG0000483	Prbi.g_00312	Syak.g_01469
OG0000484	Prbi.g_00313	Syak.g_01470
OG0000485	Prbi.g_00314	Syak.g_01472
OG0000486	Prbi.g_00315	Syak.g_01473
OG0000487	Prbi.g_00319	Syak.g_01479
OG0000488	Prbi.g_00322	Syak.g_01483
OG0000489	Prbi.g_00327	Syak.g_01499
OG0000490	Prbi.g_00332	Syak.g_01507
OG0000491	Prbi.g_00333	Syak.g_01511
OG0000492	Prbi.g_00335	Syak.g_01513
OG0000493	Prbi.g_00336	Syak.g_01514
OG0000494	Prbi.g_00337	Syak.g_01515
OG0000495	Prbi.g_00338	Syak.g_01516
OG0000496	Prbi.g_00339	Syak.g_01517
OG0000497	Prbi.g_00340	Syak.g_01518
OG0000498	Prbi.g_00341	Syak.g_01519
OG0000499	Prbi.g_00342	Syak.g_01520
OG0000500	Prbi.g_00343	Syak.g_01521
OG0000501	Prbi.g_00345	Syak.g_01524
OG0000502	Prbi.g_00348	Syak.g_01538
OG0000503	Prbi.g_00358	Syak.g_01246
OG0000504	Prbi.g_00359	Syak.g_01244
OG0000505	Prbi.g_00360	Syak.g_01243
OG0000506	Prbi.g_00362	Syak.g_01241
OG0000507	Prbi.g_00365	Syak.g_01235
OG0000508	Prbi.g_00369	Syak.g_01231
OG0000509	Prbi.g_00371	Syak.g_01229
OG0000510	Prbi.g_00372	Syak.g_01228
OG0000511	Prbi.g_00373	Syak.g_01227
OG0000512	Prbi.g_00375	Syak.g_01225
OG0000513	Prbi.g_00382	Syak.g_01211
OG0000514	Prbi.g_00432	Syak.g_01204
OG0000515	Prbi.g_00433	Syak.g_01203
OG0000516	Prbi.g_00434	Syak.g_01199
OG0000517	Prbi.g_00436	Syak.g_01192
OG0000518	Prbi.g_00447	Syak.g_01180
OG0000519	Prbi.g_00448	Syak.g_01179
OG0000520	Prbi.g_00449	Syak.g_01178
OG0000521	Prbi.g_00454	Syak.g_01167
OG0000522	Prbi.g_00456	Syak.g_01163
OG0000523	Prbi.g_00457	Syak.g_01162
OG0000524	Prbi.g_00463	Syak.g_01149
OG0000525	Prbi.g_00466	Syak.g_01130
OG0000526	Prbi.g_00467	Syak.g_01127
OG0000527	Prbi.g_00476	Syak.g_01120
OG0000528	Prbi.g_00481	Syak.g_02570
OG0000529	Prbi.g_00484	Syak.g_02575
OG0000530	Prbi.g_00487	Syak.g_02578
OG0000531	Prbi.g_00488	Syak.g_02579
OG0000532	Prbi.g_00490	Syak.g_02582
OG0000533	Prbi.g_00491	Syak.g_02584
OG0000534	Prbi.g_00492	Syak.g_02585
OG0000535	Prbi.g_00493	Syak.g_02586
OG0000536	Prbi.g_00494	Syak.g_02587
OG0000537	Prbi.g_00495	Syak.g_02588
OG0000538	Prbi.g_00503	Syak.g_02600
OG0000539	Prbi.g_00504	Syak.g_02601
OG0000540	Prbi.g_00505	Syak.g_02602
OG0000541	Prbi.g_00506	Syak.g_02603
OG0000542	Prbi.g_00508	Syak.g_02606
OG0000543	Prbi.g_00510	Syak.g_02608
OG0000544	Prbi.g_00511	Syak.g_02609
OG0000545	Prbi.g_00513	Syak.g_02611
OG0000546	Prbi.g_00516	Syak.g_02613
OG0000547	Prbi.g_00518	Syak.g_02615
OG0000548	Prbi.g_00519	Syak.g_02616
OG0000549	Prbi.g_00521	Syak.g_02622
OG0000550	Prbi.g_00526	Syak.g_02626
OG0000551	Prbi.g_00530	Syak.g_02631
OG0000552	Prbi.g_00531	Syak.g_02632
OG0000553	Prbi.g_00532	Syak.g_02636
OG0000554	Prbi.g_00537	Syak.g_02641
OG0000555	Prbi.g_00545	Syak.g_02657
OG0000556	Prbi.g_00547	Syak.g_02661
OG0000557	Prbi.g_00548	Syak.g_02663
OG0000558	Prbi.g_00550	Syak.g_02666
OG0000559	Prbi.g_00554	Syak.g_02670
