Orthogroup	Prbm	Syao
OG0000055	Prbm.g_01921	Syao.g_00498
OG0000058	Prbm.g_00881	Syao.g_01080
OG0000059	Prbm.g_01973	Syao.g_01959
OG0000060	Prbm.g_01422	Syao.g_00312
OG0000061	Prbm.g_01549	Syao.g_00123
OG0000063	Prbm.g_01947	Syao.g_02230
OG0000065	Prbm.g_00164	Syao.g_02600
OG0000066	Prbm.g_00572	Syao.g_01422
OG0000067	Prbm.g_00814	Syao.g_00756
OG0000068	Prbm.g_01660	Syao.g_00868, Syao.g_00036
OG0000069	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Syao.g_00313
OG0000070	Prbm.g_00460	Syao.g_00330
OG0000071	Prbm.g_00468, Prbm.g_01611	Syao.g_01433
OG0000072	Prbm.g_00230	Syao.g_02509, Syao.g_01749
OG0000073	Prbm.g_00533	Syao.g_00103
OG0000075	Prbm.g_02069	Syao.g_02257
OG0000076	Prbm.g_02094	Syao.g_01949
OG0000077	Prbm.g_00135	Syao.g_02629
OG0000079	Prbm.g_00311	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prbm.g_01900	Syao.g_01035
OG0000084	Prbm.g_01706	Syao.g_02606
OG0000085	Prbm.g_01834	Syao.g_01569
OG0000086	Prbm.g_00145	Syao.g_02653, Syao.g_01240
OG0000087	Prbm.g_00198	Syao.g_02555
OG0000088	Prbm.g_00225	Syao.g_02503
OG0000089	Prbm.g_00423	Syao.g_01716
OG0000090	Prbm.g_00566	Syao.g_01412
OG0000091	Prbm.g_00673	Syao.g_00902
OG0000092	Prbm.g_00934	Syao.g_00656
OG0000097	Prbm.g_01502	Syao.g_00973
OG0000098	Prbm.g_01630	Syao.g_01374
OG0000099	Prbm.g_00394	Syao.g_02019
OG0000100	Prbm.g_01787	Syao.g_00787
OG0000101	Prbm.g_02033	Syao.g_01840
OG0000102	Prbm.g_02099	Syao.g_01945
OG0000103	Prbm.g_02218	Syao.g_02340
OG0000104	Prbm.g_02229	Syao.g_02157
OG0000105	Prbm.g_00331	Syao.g_02071, Syao.g_02072
OG0000106	Prbm.g_01172, Prbm.g_01237	Syao.g_01385
OG0000107	Prbm.g_01949	Syao.g_01935
OG0000108	Prbm.g_00506	Syao.g_00028
OG0000109	Prbm.g_00519	Syao.g_00110
OG0000110	Prbm.g_00607	Syao.g_01051
OG0000111	Prbm.g_00736	Syao.g_00378
OG0000112	Prbm.g_00980	Syao.g_00683, Syao.g_00303
OG0000113	Prbm.g_00838, Prbm.g_01191	Syao.g_00782
OG0000114	Prbm.g_00929	Syao.g_00965
OG0000115	Prbm.g_01803	Syao.g_00065, Syao.g_01464
OG0000116	Prbm.g_01560	Syao.g_00137
OG0000117	Prbm.g_01522	Syao.g_00169
OG0000118	Prbm.g_01622	Syao.g_01475
OG0000120	Prbm.g_00707	Syao.g_02009
OG0000121	Prbm.g_01712	Syao.g_01489
OG0000122	Prbm.g_01751	Syao.g_01247
OG0000123	Prbm.g_02040	Syao.g_01832
OG0000124	Prbm.g_02111	Syao.g_02179
OG0000125	Prbm.g_02176	Syao.g_02444
OG0000126	Prbm.g_02228	Syao.g_02198
OG0000127	Prbm.g_01293, Prbm.g_01292	Syao.g_01312
OG0000128	Prbm.g_00011	Syao.g_02149
OG0000129	Prbm.g_00053	Syao.g_02434
OG0000130	Prbm.g_00126	Syao.g_02617
OG0000131	Prbm.g_00204	Syao.g_02480
OG0000132	Prbm.g_00223	Syao.g_02501
OG0000133	Prbm.g_00377	Syao.g_00678
OG0000134	Prbm.g_00425	Syao.g_01719
OG0000135	Prbm.g_01389	Syao.g_00147
OG0000136	Prbm.g_00451	Syao.g_01614, Syao.g_01613
OG0000137	Prbm.g_00500	Syao.g_02682
OG0000138	Prbm.g_00520	Syao.g_00108
OG0000139	Prbm.g_00570	Syao.g_02005
OG0000140	Prbm.g_00571	Syao.g_01373, Syao.g_01372
OG0000141	Prbm.g_00638	Syao.g_01202
OG0000142	Prbm.g_00666	Syao.g_00894
OG0000143	Prbm.g_00670	Syao.g_00898
OG0000145	Prbm.g_01094	Syao.g_00102
OG0000146	Prbm.g_00979	Syao.g_00684, Syao.g_00304
OG0000147	Prbm.g_00978	Syao.g_00305, Syao.g_00685
OG0000148	Prbm.g_00832	Syao.g_00776
OG0000149	Prbm.g_00862	Syao.g_00534
OG0000150	Prbm.g_00870	Syao.g_01203
OG0000151	Prbm.g_00940	Syao.g_00975
OG0000152	Prbm.g_00988	Syao.g_00674
OG0000153	Prbm.g_01006	Syao.g_00818, Syao.g_01176
OG0000154	Prbm.g_01035	Syao.g_00447
OG0000155	Prbm.g_01527	Syao.g_00178
OG0000156	Prbm.g_01600	Syao.g_00151
OG0000157	Prbm.g_01601	Syao.g_00152
OG0000158	Prbm.g_02077	Syao.g_02267
OG0000159	Prbm.g_02133	Syao.g_02276
OG0000160	Prbm.g_01711	Syao.g_01488
OG0000161	Prbm.g_01717	Syao.g_01494
OG0000162	Prbm.g_01723	Syao.g_01515
OG0000163	Prbm.g_01759	Syao.g_01745
OG0000164	Prbm.g_01863	Syao.g_01663
OG0000165	Prbm.g_01871	Syao.g_01655
OG0000166	Prbm.g_01996	Syao.g_01790
OG0000167	Prbm.g_02067	Syao.g_01960
OG0000168	Prbm.g_02078	Syao.g_02128
OG0000169	Prbm.g_02088	Syao.g_02139
OG0000170	Prbm.g_02090	Syao.g_02148
OG0000171	Prbm.g_02110	Syao.g_02181
OG0000172	Prbm.g_02146	Syao.g_02170
OG0000173	Prbm.g_02161	Syao.g_02212
OG0000174	Prbm.g_02192	Syao.g_02364, Syao.g_02355
OG0000175	Prbm.g_02209	Syao.g_02327, Syao.g_00308
OG0000176	Prbm.g_00004	Syao.g_02165
OG0000177	Prbm.g_00005	Syao.g_02156
OG0000178	Prbm.g_00006	Syao.g_02155
OG0000179	Prbm.g_00016	Syao.g_02250
OG0000180	Prbm.g_00017	Syao.g_02249
OG0000181	Prbm.g_00018	Syao.g_02248
OG0000182	Prbm.g_00019	Syao.g_02247
OG0000183	Prbm.g_00023	Syao.g_02243
OG0000184	Prbm.g_00055	Syao.g_02423
OG0000185	Prbm.g_00058	Syao.g_02410
OG0000186	Prbm.g_00121	Syao.g_02613
OG0000187	Prbm.g_00122	Syao.g_02615
OG0000188	Prbm.g_00139	Syao.g_02637
OG0000189	Prbm.g_00153	Syao.g_02672
OG0000190	Prbm.g_00154	Syao.g_01015
OG0000191	Prbm.g_00177	Syao.g_02573
OG0000192	Prbm.g_00181	Syao.g_02579
OG0000193	Prbm.g_00205	Syao.g_02481
OG0000194	Prbm.g_00208	Syao.g_02484
OG0000195	Prbm.g_00210	Syao.g_02486
OG0000196	Prbm.g_00220	Syao.g_02498
OG0000197	Prbm.g_00221	Syao.g_02499
OG0000198	Prbm.g_00222	Syao.g_02500
OG0000199	Prbm.g_00229	Syao.g_02508
OG0000200	Prbm.g_00243	Syao.g_02524
OG0000201	Prbm.g_00252	Syao.g_02540
OG0000202	Prbm.g_00253	Syao.g_02454
OG0000203	Prbm.g_00254	Syao.g_02455
OG0000204	Prbm.g_00255	Syao.g_02456
OG0000205	Prbm.g_00262	Syao.g_02464
OG0000206	Prbm.g_00266	Syao.g_02469
OG0000207	Prbm.g_00268	Syao.g_02471
OG0000208	Prbm.g_00269	Syao.g_02472
OG0000209	Prbm.g_00278	Syao.g_02394
OG0000210	Prbm.g_00279	Syao.g_02395
OG0000211	Prbm.g_00293	Syao.g_01700
OG0000212	Prbm.g_00301	Syao.g_01710
OG0000213	Prbm.g_00317	Syao.g_02098
OG0000214	Prbm.g_00325	Syao.g_02081
OG0000215	Prbm.g_00349	Syao.g_02050
OG0000216	Prbm.g_00350	Syao.g_02045
OG0000217	Prbm.g_00353	Syao.g_02041
OG0000218	Prbm.g_00355	Syao.g_02039
OG0000219	Prbm.g_00356	Syao.g_02038
OG0000220	Prbm.g_00357	Syao.g_02037
OG0000221	Prbm.g_00358	Syao.g_02034
OG0000222	Prbm.g_00366	Syao.g_02023
OG0000223	Prbm.g_00378	Syao.g_00291
OG0000224	Prbm.g_00380	Syao.g_01973
OG0000225	Prbm.g_00411	Syao.g_01751
OG0000226	Prbm.g_00415	Syao.g_01758
OG0000227	Prbm.g_00417	Syao.g_01760
OG0000228	Prbm.g_00422	Syao.g_01715
OG0000229	Prbm.g_00446	Syao.g_01736
OG0000230	Prbm.g_00448	Syao.g_01738
OG0000231	Prbm.g_00459	Syao.g_01513
OG0000232	Prbm.g_00484	Syao.g_00057
OG0000233	Prbm.g_00492	Syao.g_02698
OG0000234	Prbm.g_00501	Syao.g_02680
OG0000235	Prbm.g_00505	Syao.g_00029
OG0000236	Prbm.g_00518	Syao.g_00111
OG0000237	Prbm.g_00540	Syao.g_00166
OG0000238	Prbm.g_00546	Syao.g_00161
OG0000239	Prbm.g_00558	Syao.g_01398
OG0000240	Prbm.g_00559	Syao.g_01399
OG0000241	Prbm.g_00563	Syao.g_00887
OG0000242	Prbm.g_00565	Syao.g_01410
OG0000243	Prbm.g_00576	Syao.g_00873
OG0000244	Prbm.g_00579	Syao.g_00865
OG0000245	Prbm.g_00581	Syao.g_00863
OG0000246	Prbm.g_00585	Syao.g_00859
OG0000247	Prbm.g_00595	Syao.g_00847
OG0000248	Prbm.g_00597	Syao.g_00844
OG0000249	Prbm.g_00599	Syao.g_00842
OG0000250	Prbm.g_00604	Syao.g_00835
OG0000251	Prbm.g_00620	Syao.g_01026
OG0000252	Prbm.g_00623	Syao.g_01020
OG0000253	Prbm.g_00625	Syao.g_01003
OG0000254	Prbm.g_00642	Syao.g_01053
OG0000255	Prbm.g_00648	Syao.g_01009
OG0000256	Prbm.g_00658	Syao.g_01328
OG0000257	Prbm.g_00661	Syao.g_00884
OG0000258	Prbm.g_00674	Syao.g_00907
OG0000259	Prbm.g_00691	Syao.g_00933, Syao.g_00932
OG0000260	Prbm.g_00694	Syao.g_00936
OG0000261	Prbm.g_00697	Syao.g_00941
OG0000262	Prbm.g_00702	Syao.g_00946
OG0000263	Prbm.g_00716	Syao.g_00247
OG0000264	Prbm.g_00728	Syao.g_00699
OG0000265	Prbm.g_00742	Syao.g_00049
OG0000266	Prbm.g_00752	Syao.g_00480
OG0000267	Prbm.g_00765	Syao.g_00589
OG0000268	Prbm.g_00766	Syao.g_00588
OG0000269	Prbm.g_00809	Syao.g_00751
OG0000270	Prbm.g_00812	Syao.g_00754
OG0000271	Prbm.g_00820	Syao.g_00762
OG0000272	Prbm.g_00821	Syao.g_00763
OG0000273	Prbm.g_00845	Syao.g_00791
OG0000274	Prbm.g_00846	Syao.g_00792
OG0000275	Prbm.g_00848	Syao.g_00438
OG0000276	Prbm.g_00854	Syao.g_00558
OG0000277	Prbm.g_00855	Syao.g_00557
OG0000278	Prbm.g_00858	Syao.g_00554
OG0000279	Prbm.g_00865	Syao.g_00529
OG0000281	Prbm.g_00871	Syao.g_01377
OG0000282	Prbm.g_00931	Syao.g_00967
OG0000283	Prbm.g_00962	Syao.g_00640
OG0000284	Prbm.g_00967	Syao.g_00634
OG0000285	Prbm.g_00972	Syao.g_00706
OG0000286	Prbm.g_00987	Syao.g_00675
OG0000287	Prbm.g_00102	Syao.g_00825
OG0000288	Prbm.g_01034	Syao.g_00446
OG0000289	Prbm.g_01045	Syao.g_00461
OG0000290	Prbm.g_01061	Syao.g_00428
OG0000291	Prbm.g_01063	Syao.g_00333
OG0000292	Prbm.g_01210	Syao.g_02196
OG0000293	Prbm.g_01559	Syao.g_00136
OG0000294	Prbm.g_01558	Syao.g_00135
OG0000295	Prbm.g_01534	Syao.g_00186
OG0000296	Prbm.g_01532	Syao.g_00184
OG0000299	Prbm.g_01503	Syao.g_00231
OG0000301	Prbm.g_01499	Syao.g_00272, Syao.g_00273
OG0000302	Prbm.g_01497	Syao.g_00271
OG0000303	Prbm.g_01492	Syao.g_00262
OG0000304	Prbm.g_01489	Syao.g_00256
OG0000305	Prbm.g_01812	Syao.g_00388
OG0000306	Prbm.g_00875	Syao.g_01216
OG0000307	Prbm.g_01669	Syao.g_00045
OG0000308	Prbm.g_01670	Syao.g_00047
OG0000309	Prbm.g_01674	Syao.g_02705
OG0000310	Prbm.g_01694	Syao.g_01530
OG0000311	Prbm.g_01696	Syao.g_01533
OG0000312	Prbm.g_01699	Syao.g_01538
OG0000313	Prbm.g_01714	Syao.g_01491
OG0000314	Prbm.g_01735	Syao.g_00078
OG0000315	Prbm.g_01745	Syao.g_00088
OG0000316	Prbm.g_01770	Syao.g_01602
OG0000317	Prbm.g_01839	Syao.g_01560
OG0000318	Prbm.g_01842	Syao.g_01553
OG0000319	Prbm.g_01853	Syao.g_01678
OG0000320	Prbm.g_01855	Syao.g_01676
OG0000321	Prbm.g_01856	Syao.g_01675
OG0000322	Prbm.g_01857	Syao.g_01674
OG0000323	Prbm.g_01866	Syao.g_01661
OG0000324	Prbm.g_01893	Syao.g_01630
OG0000325	Prbm.g_01950	Syao.g_01936
OG0000326	Prbm.g_01956	Syao.g_01918
OG0000327	Prbm.g_01991	Syao.g_01795
OG0000328	Prbm.g_01992	Syao.g_01794
OG0000329	Prbm.g_02009	Syao.g_01776
OG0000330	Prbm.g_02010	Syao.g_01775
OG0000331	Prbm.g_02011	Syao.g_01774
OG0000332	Prbm.g_02025	Syao.g_01813
OG0000333	Prbm.g_02027	Syao.g_01810
OG0000334	Prbm.g_02036	Syao.g_01836
OG0000335	Prbm.g_02041	Syao.g_01831
OG0000336	Prbm.g_02045	Syao.g_01827
OG0000337	Prbm.g_02064	Syao.g_01968
OG0000338	Prbm.g_02065	Syao.g_01962
OG0000339	Prbm.g_02070	Syao.g_02259
OG0000340	Prbm.g_02079	Syao.g_02129
OG0000341	Prbm.g_02081	Syao.g_02131
OG0000342	Prbm.g_02082	Syao.g_02132
OG0000343	Prbm.g_02083	Syao.g_02133
OG0000344	Prbm.g_02086	Syao.g_02137
OG0000345	Prbm.g_02091	Syao.g_01953
OG0000346	Prbm.g_02095	Syao.g_01948
OG0000347	Prbm.g_02114	Syao.g_02178
OG0000348	Prbm.g_02149	Syao.g_02166
OG0000349	Prbm.g_02167	Syao.g_02219
OG0000350	Prbm.g_02188	Syao.g_01925
OG0000351	Prbm.g_02212	Syao.g_02331
OG0000352	Prbm.g_02213	Syao.g_02332
OG0000353	Prbm.g_02232	Syao.g_02160
OG0000354	Prbm.g_01220	Syao.g_02252
OG0000355	Prbm.g_00001	Syao.g_02162
OG0000356	Prbm.g_00002	Syao.g_02163
OG0000357	Prbm.g_00003	Syao.g_02164
OG0000358	Prbm.g_00007	Syao.g_02154
OG0000359	Prbm.g_00008	Syao.g_02152
OG0000360	Prbm.g_00009	Syao.g_02151
OG0000361	Prbm.g_00010	Syao.g_02150
OG0000362	Prbm.g_00012	Syao.g_01954
OG0000363	Prbm.g_00014	Syao.g_02255
OG0000364	Prbm.g_00015	Syao.g_01558
OG0000365	Prbm.g_00020	Syao.g_02246
OG0000366	Prbm.g_00021	Syao.g_02245
OG0000367	Prbm.g_00022	Syao.g_02244
OG0000368	Prbm.g_00024	Syao.g_02242
OG0000369	Prbm.g_00025	Syao.g_02241
OG0000370	Prbm.g_00026	Syao.g_02240
OG0000371	Prbm.g_00032	Syao.g_02231
OG0000372	Prbm.g_00033	Syao.g_02226
OG0000373	Prbm.g_00034	Syao.g_02225
OG0000374	Prbm.g_00035	Syao.g_02224
OG0000375	Prbm.g_00049	Syao.g_02223
OG0000376	Prbm.g_00051	Syao.g_02221
OG0000377	Prbm.g_00054	Syao.g_02429
OG0000378	Prbm.g_00056	Syao.g_02414
OG0000379	Prbm.g_00059	Syao.g_02409
OG0000380	Prbm.g_00123	Syao.g_02616
OG0000381	Prbm.g_00127	Syao.g_02618
OG0000382	Prbm.g_00138	Syao.g_02636
OG0000383	Prbm.g_00140	Syao.g_02643
OG0000384	Prbm.g_00141	Syao.g_02644
OG0000385	Prbm.g_00142	Syao.g_02645
OG0000386	Prbm.g_00143	Syao.g_02646
OG0000387	Prbm.g_00156	Syao.g_01019
OG0000388	Prbm.g_00160	Syao.g_02596
OG0000389	Prbm.g_00163	Syao.g_02599
OG0000390	Prbm.g_00172	Syao.g_02567
OG0000391	Prbm.g_00176	Syao.g_02572
OG0000392	Prbm.g_00179	Syao.g_02578
OG0000393	Prbm.g_00182	Syao.g_02581
OG0000394	Prbm.g_00183	Syao.g_02582
OG0000395	Prbm.g_00184	Syao.g_02583
OG0000396	Prbm.g_00187	Syao.g_02586
OG0000397	Prbm.g_00189	Syao.g_02542
OG0000398	Prbm.g_00192	Syao.g_02547
OG0000399	Prbm.g_00193	Syao.g_02548
OG0000400	Prbm.g_00194	Syao.g_02549
OG0000401	Prbm.g_00195	Syao.g_02550
OG0000402	Prbm.g_01096	Syao.g_02552
OG0000403	Prbm.g_00196	Syao.g_02553
OG0000404	Prbm.g_00197	Syao.g_02554
OG0000405	Prbm.g_00202	Syao.g_02478
OG0000406	Prbm.g_00206	Syao.g_02482
OG0000407	Prbm.g_00207	Syao.g_02483
OG0000408	Prbm.g_00209	Syao.g_02485
OG0000409	Prbm.g_00211	Syao.g_02487
OG0000410	Prbm.g_00212	Syao.g_02488
OG0000411	Prbm.g_00213	Syao.g_02489
OG0000412	Prbm.g_00214	Syao.g_02490
OG0000413	Prbm.g_00215	Syao.g_02492
OG0000414	Prbm.g_00216	Syao.g_02493
OG0000415	Prbm.g_00217	Syao.g_02494
OG0000416	Prbm.g_00218	Syao.g_02495
OG0000417	Prbm.g_00219	Syao.g_02497
OG0000418	Prbm.g_00224	Syao.g_02502
OG0000419	Prbm.g_00226	Syao.g_02504
OG0000420	Prbm.g_00227	Syao.g_02506
OG0000421	Prbm.g_00232	Syao.g_02510
OG0000422	Prbm.g_00233	Syao.g_02511
OG0000423	Prbm.g_00234	Syao.g_02512
OG0000424	Prbm.g_00235	Syao.g_02513
OG0000425	Prbm.g_00236	Syao.g_02514
OG0000426	Prbm.g_00237	Syao.g_02515
OG0000427	Prbm.g_00238	Syao.g_02516
OG0000428	Prbm.g_00240	Syao.g_02519
OG0000429	Prbm.g_00241	Syao.g_02522
OG0000430	Prbm.g_00242	Syao.g_02523
OG0000431	Prbm.g_00244	Syao.g_02526
OG0000432	Prbm.g_00248	Syao.g_02532
OG0000433	Prbm.g_00249	Syao.g_02534
OG0000434	Prbm.g_00250	Syao.g_02535
OG0000435	Prbm.g_00251	Syao.g_02538
OG0000436	Prbm.g_00256	Syao.g_02458
OG0000437	Prbm.g_00257	Syao.g_02459
OG0000438	Prbm.g_00258	Syao.g_02460
OG0000439	Prbm.g_00260	Syao.g_02462
OG0000440	Prbm.g_00261	Syao.g_02463
OG0000441	Prbm.g_00263	Syao.g_02466
OG0000442	Prbm.g_00264	Syao.g_02467
OG0000443	Prbm.g_00265	Syao.g_02468
OG0000444	Prbm.g_00270	Syao.g_02473
OG0000445	Prbm.g_00271	Syao.g_02474
OG0000446	Prbm.g_00272	Syao.g_02476
OG0000447	Prbm.g_00273	Syao.g_02383
OG0000448	Prbm.g_00274	Syao.g_02384
OG0000449	Prbm.g_00275	Syao.g_02385
OG0000450	Prbm.g_00276	Syao.g_02391
OG0000451	Prbm.g_00277	Syao.g_02392
OG0000452	Prbm.g_00280	Syao.g_02396
OG0000453	Prbm.g_00281	Syao.g_02397
OG0000454	Prbm.g_00282	Syao.g_02398
OG0000455	Prbm.g_00283	Syao.g_02399
OG0000456	Prbm.g_00284	Syao.g_02400
OG0000457	Prbm.g_00285	Syao.g_02402
OG0000458	Prbm.g_00286	Syao.g_02403
OG0000459	Prbm.g_00287	Syao.g_02404
OG0000460	Prbm.g_00295	Syao.g_01702
OG0000461	Prbm.g_00303	Syao.g_02119
OG0000462	Prbm.g_00305	Syao.g_02116
OG0000463	Prbm.g_00306	Syao.g_02115
OG0000464	Prbm.g_00307	Syao.g_02114
OG0000465	Prbm.g_00308	Syao.g_02112
OG0000466	Prbm.g_00309	Syao.g_02107
OG0000467	Prbm.g_00310	Syao.g_02106
OG0000468	Prbm.g_00312	Syao.g_02102
OG0000469	Prbm.g_00320	Syao.g_02087
OG0000470	Prbm.g_00322	Syao.g_02085
OG0000471	Prbm.g_00323	Syao.g_02084
OG0000472	Prbm.g_00324	Syao.g_02082
OG0000473	Prbm.g_00326	Syao.g_02080
OG0000474	Prbm.g_00327	Syao.g_02079
OG0000475	Prbm.g_00328	Syao.g_02078
OG0000476	Prbm.g_00330	Syao.g_02076
OG0000477	Prbm.g_00332	Syao.g_02069
OG0000478	Prbm.g_00333	Syao.g_02068
OG0000479	Prbm.g_00334	Syao.g_02067
OG0000480	Prbm.g_00339	Syao.g_02060
OG0000481	Prbm.g_00341	Syao.g_01012
OG0000482	Prbm.g_00342	Syao.g_02058
OG0000483	Prbm.g_00345	Syao.g_02054
OG0000484	Prbm.g_00346	Syao.g_02053
OG0000485	Prbm.g_00347	Syao.g_02052
OG0000486	Prbm.g_00348	Syao.g_02051
OG0000487	Prbm.g_00351	Syao.g_02044
OG0000488	Prbm.g_00354	Syao.g_02040
OG0000489	Prbm.g_00359	Syao.g_02033
OG0000490	Prbm.g_00364	Syao.g_02025
OG0000491	Prbm.g_00365	Syao.g_02024
OG0000492	Prbm.g_00367	Syao.g_02022
OG0000493	Prbm.g_00368	Syao.g_02021
OG0000494	Prbm.g_00369	Syao.g_02020
OG0000495	Prbm.g_00370	Syao.g_02018
OG0000496	Prbm.g_00371	Syao.g_02017
OG0000497	Prbm.g_00372	Syao.g_02016
OG0000498	Prbm.g_00373	Syao.g_02015
OG0000499	Prbm.g_00374	Syao.g_02014
OG0000500	Prbm.g_00375	Syao.g_02013
OG0000501	Prbm.g_00376	Syao.g_02010
OG0000502	Prbm.g_00379	Syao.g_01974
OG0000503	Prbm.g_00400	Syao.g_01877
OG0000504	Prbm.g_00402	Syao.g_01875
OG0000505	Prbm.g_00403	Syao.g_01874
OG0000506	Prbm.g_00404	Syao.g_01872
OG0000507	Prbm.g_00407	Syao.g_01866
OG0000508	Prbm.g_00410	Syao.g_01750
OG0000509	Prbm.g_00412	Syao.g_01755
OG0000510	Prbm.g_00413	Syao.g_01756
OG0000511	Prbm.g_00414	Syao.g_01757
OG0000512	Prbm.g_00416	Syao.g_01759
OG0000513	Prbm.g_00426	Syao.g_01720
OG0000514	Prbm.g_00440	Syao.g_01727
OG0000515	Prbm.g_00441	Syao.g_01728
OG0000516	Prbm.g_00442	Syao.g_01730
OG0000517	Prbm.g_00445	Syao.g_01735
OG0000518	Prbm.g_00456	Syao.g_01621
OG0000519	Prbm.g_00457	Syao.g_01622
OG0000520	Prbm.g_00458	Syao.g_01512
OG0000521	Prbm.g_00480	Syao.g_00061
OG0000522	Prbm.g_00482	Syao.g_00059
OG0000523	Prbm.g_00483	Syao.g_00058
OG0000524	Prbm.g_00490	Syao.g_02699
OG0000525	Prbm.g_00494	Syao.g_02691
OG0000526	Prbm.g_00495	Syao.g_02688
OG0000527	Prbm.g_00498	Syao.g_02684
OG0000528	Prbm.g_00504	Syao.g_00031
OG0000529	Prbm.g_00507	Syao.g_00027
OG0000530	Prbm.g_00510	Syao.g_00122
OG0000531	Prbm.g_00511	Syao.g_00121
OG0000532	Prbm.g_00512	Syao.g_00118
OG0000533	Prbm.g_00513	Syao.g_00116
OG0000534	Prbm.g_00514	Syao.g_00115
OG0000535	Prbm.g_00515	Syao.g_00114
OG0000536	Prbm.g_00516	Syao.g_00113
OG0000537	Prbm.g_00517	Syao.g_00112
OG0000538	Prbm.g_00534	Syao.g_00100
OG0000539	Prbm.g_00535	Syao.g_00099
OG0000540	Prbm.g_00536	Syao.g_00098
OG0000541	Prbm.g_00537	Syao.g_00097
OG0000542	Prbm.g_00539	Syao.g_00167
OG0000543	Prbm.g_00541	Syao.g_00165
OG0000544	Prbm.g_00542	Syao.g_00164
OG0000545	Prbm.g_00544	Syao.g_00162
OG0000546	Prbm.g_00547	Syao.g_00160
OG0000547	Prbm.g_00549	Syao.g_00158
OG0000548	Prbm.g_00550	Syao.g_00157
OG0000549	Prbm.g_00553	Syao.g_01391
OG0000550	Prbm.g_00557	Syao.g_01396
OG0000551	Prbm.g_00560	Syao.g_01401
OG0000552	Prbm.g_00561	Syao.g_01402
OG0000553	Prbm.g_00562	Syao.g_01404
OG0000554	Prbm.g_00567	Syao.g_01413
OG0000555	Prbm.g_00575	Syao.g_00875
OG0000556	Prbm.g_00577	Syao.g_00871
OG0000557	Prbm.g_00578	Syao.g_00866
OG0000558	Prbm.g_00580	Syao.g_00864
OG0000559	Prbm.g_00584	Syao.g_00860
OG0000560	Prbm.g_00587	Syao.g_00857
OG0000561	Prbm.g_00588	Syao.g_00856
OG0000562	Prbm.g_00589	Syao.g_00855
OG0000563	Prbm.g_00590	Syao.g_00854
OG0000564	Prbm.g_00591	Syao.g_00853
OG0000565	Prbm.g_00594	Syao.g_00849
OG0000566	Prbm.g_00596	Syao.g_00845
OG0000567	Prbm.g_00600	Syao.g_00841
OG0000568	Prbm.g_00601	Syao.g_00839
OG0000569	Prbm.g_00602	Syao.g_00838
OG0000570	Prbm.g_00603	Syao.g_00837
