Orthogroup	Prbm	Syag
OG0000153	Prbm.g_01006	Syag.g_00845
OG0000154	Prbm.g_01035	Syag.g_00870
OG0000155	Prbm.g_01527	Syag.g_01107
OG0000156	Prbm.g_01600	Syag.g_01166
OG0000157	Prbm.g_01601	Syag.g_01167
OG0000158	Prbm.g_02077	Syag.g_02422
OG0000160	Prbm.g_01711	Syag.g_01415
OG0000161	Prbm.g_01717	Syag.g_01409
OG0000162	Prbm.g_01723	Syag.g_01402
OG0000163	Prbm.g_01759	Syag.g_01618
OG0000164	Prbm.g_01863	Syag.g_01725
OG0000165	Prbm.g_01871	Syag.g_01733
OG0000166	Prbm.g_01996	Syag.g_02733
OG0000167	Prbm.g_02067	Syag.g_02437
OG0000168	Prbm.g_02078	Syag.g_02417
OG0000169	Prbm.g_02088	Syag.g_02405
OG0000170	Prbm.g_02090	Syag.g_02398
OG0000171	Prbm.g_02110	Syag.g_02368
OG0000172	Prbm.g_02146	Syag.g_02360
OG0000173	Prbm.g_02161	Syag.g_02337
OG0000174	Prbm.g_02192	Syag.g_02175
OG0000175	Prbm.g_02209	Syag.g_02240
OG0000176	Prbm.g_00004	Syag.g_02276
OG0000177	Prbm.g_00005	Syag.g_02277
OG0000178	Prbm.g_00006	Syag.g_02278
OG0000179	Prbm.g_00016	Syag.g_02293
OG0000180	Prbm.g_00017	Syag.g_02294
OG0000181	Prbm.g_00018	Syag.g_02295
OG0000182	Prbm.g_00019	Syag.g_02296
OG0000183	Prbm.g_00023	Syag.g_02300
OG0000184	Prbm.g_00055	Syag.g_02110
OG0000185	Prbm.g_00058	Syag.g_02092
OG0000186	Prbm.g_00121	Syag.g_01815
OG0000187	Prbm.g_00122	Syag.g_01816
OG0000188	Prbm.g_00139	Syag.g_01839
OG0000189	Prbm.g_00153	Syag.g_01872
OG0000190	Prbm.g_00154	Syag.g_01874
OG0000191	Prbm.g_00177	Syag.g_01909
OG0000192	Prbm.g_00181	Syag.g_01915
OG0000193	Prbm.g_00205	Syag.g_01952
OG0000194	Prbm.g_00208	Syag.g_01955
OG0000195	Prbm.g_00210	Syag.g_01957
OG0000196	Prbm.g_00220	Syag.g_01968
OG0000197	Prbm.g_00221	Syag.g_01969
OG0000198	Prbm.g_00222	Syag.g_00108, Syag.g_01971
OG0000199	Prbm.g_00229	Syag.g_01979
OG0000200	Prbm.g_00243	Syag.g_01996
OG0000201	Prbm.g_00252	Syag.g_02019
OG0000202	Prbm.g_00253	Syag.g_02024
OG0000203	Prbm.g_00254	Syag.g_02025
OG0000204	Prbm.g_00255	Syag.g_02020, Syag.g_02026
OG0000205	Prbm.g_00262	Syag.g_02035
OG0000206	Prbm.g_00266	Syag.g_02047
OG0000207	Prbm.g_00268	Syag.g_02051
OG0000208	Prbm.g_00269	Syag.g_02052
OG0000209	Prbm.g_00278	Syag.g_02069
OG0000210	Prbm.g_00279	Syag.g_02070
OG0000212	Prbm.g_00301	Syag.g_01777
OG0000213	Prbm.g_00317	Syag.g_02632
OG0000214	Prbm.g_00325	Syag.g_02615
OG0000215	Prbm.g_00349	Syag.g_02584
OG0000216	Prbm.g_00350	Syag.g_02580
OG0000217	Prbm.g_00353	Syag.g_02576
OG0000218	Prbm.g_00355	Syag.g_02574
OG0000219	Prbm.g_00356	Syag.g_02573
OG0000220	Prbm.g_00357	Syag.g_02572
OG0000221	Prbm.g_00358	Syag.g_02566
OG0000222	Prbm.g_00366	Syag.g_02550
OG0000223	Prbm.g_00378	Syag.g_02475
OG0000224	Prbm.g_00380	Syag.g_02471
OG0000225	Prbm.g_00411	Syag.g_02861
OG0000226	Prbm.g_00415	Syag.g_02865
OG0000227	Prbm.g_00417	Syag.g_02867
OG0000228	Prbm.g_00422	Syag.g_00004
OG0000229	Prbm.g_00446	Syag.g_00033
OG0000230	Prbm.g_00448	Syag.g_00035
OG0000231	Prbm.g_00459	Syag.g_00048
OG0000232	Prbm.g_00484	Syag.g_00059
OG0000233	Prbm.g_00492	Syag.g_01330
OG0000234	Prbm.g_00501	Syag.g_01358
OG0000235	Prbm.g_00505	Syag.g_01529
OG0000236	Prbm.g_00518	Syag.g_01513
OG0000237	Prbm.g_00540	Syag.g_01495
OG0000238	Prbm.g_00546	Syag.g_01490
OG0000239	Prbm.g_00558	Syag.g_01472
OG0000240	Prbm.g_00559	Syag.g_01471
OG0000241	Prbm.g_00563	Syag.g_00396
OG0000242	Prbm.g_00565	Syag.g_01456
OG0000243	Prbm.g_00576	Syag.g_00255
OG0000244	Prbm.g_00579	Syag.g_00268
OG0000245	Prbm.g_00581	Syag.g_00270
OG0000246	Prbm.g_00585	Syag.g_00274
OG0000247	Prbm.g_00595	Syag.g_00286
OG0000248	Prbm.g_00597	Syag.g_00289
OG0000249	Prbm.g_00599	Syag.g_00291
OG0000250	Prbm.g_00604	Syag.g_00299
OG0000251	Prbm.g_00620	Syag.g_00328
OG0000252	Prbm.g_00623	Syag.g_00331
OG0000253	Prbm.g_00625	Syag.g_00333
OG0000254	Prbm.g_00642	Syag.g_00356
OG0000255	Prbm.g_00648	Syag.g_00369
OG0000256	Prbm.g_00658	Syag.g_00385
OG0000257	Prbm.g_00661	Syag.g_00395
OG0000258	Prbm.g_00674	Syag.g_00423
OG0000259	Prbm.g_00691	Syag.g_00560
OG0000260	Prbm.g_00694	Syag.g_00570
OG0000261	Prbm.g_00697	Syag.g_00581
OG0000262	Prbm.g_00702	Syag.g_00586
OG0000263	Prbm.g_00716	Syag.g_01079
OG0000264	Prbm.g_00728	Syag.g_01011
OG0000265	Prbm.g_00742	Syag.g_01021
OG0000266	Prbm.g_00752	Syag.g_00907
OG0000267	Prbm.g_00765	Syag.g_00762
OG0000268	Prbm.g_00766	Syag.g_00763
OG0000269	Prbm.g_00809	Syag.g_00662
OG0000270	Prbm.g_00812	Syag.g_00665
OG0000271	Prbm.g_00820	Syag.g_00673
OG0000274	Prbm.g_00846	Syag.g_00714
OG0000275	Prbm.g_00848	Syag.g_00717
OG0000276	Prbm.g_00854	Syag.g_00723
OG0000277	Prbm.g_00855	Syag.g_00724
OG0000278	Prbm.g_00858	Syag.g_00727
OG0000279	Prbm.g_00865	Syag.g_00735
OG0000281	Prbm.g_00871	Syag.g_00572
OG0000282	Prbm.g_00931	Syag.g_00611
OG0000283	Prbm.g_00962	Syag.g_00775
OG0000284	Prbm.g_00967	Syag.g_00780
OG0000285	Prbm.g_00972	Syag.g_00791
OG0000286	Prbm.g_00987	Syag.g_00809
OG0000287	Prbm.g_00102	Syag.g_00838
OG0000288	Prbm.g_01034	Syag.g_00869
OG0000289	Prbm.g_01045	Syag.g_00884
OG0000290	Prbm.g_01061	Syag.g_00970
OG0000291	Prbm.g_01063	Syag.g_00972
OG0000292	Prbm.g_01210	Syag.g_02265
OG0000293	Prbm.g_01559	Syag.g_01155
OG0000294	Prbm.g_01558	Syag.g_01154
OG0000295	Prbm.g_01534	Syag.g_01115
OG0000296	Prbm.g_01532	Syag.g_01113
OG0000297	Prbm.g_01524	Syag.g_01099
OG0000298	Prbm.g_01523	Syag.g_01098
OG0000299	Prbm.g_01503	Syag.g_01067
OG0000301	Prbm.g_01499	Syag.g_01061
OG0000302	Prbm.g_01497	Syag.g_01060
OG0000303	Prbm.g_01492	Syag.g_01048
OG0000304	Prbm.g_01489	Syag.g_01041
OG0000305	Prbm.g_01812	Syag.g_00977
OG0000306	Prbm.g_00875	Syag.g_00460
OG0000307	Prbm.g_01669	Syag.g_01546
OG0000308	Prbm.g_01670	Syag.g_01548
OG0000309	Prbm.g_01674	Syag.g_01553
OG0000310	Prbm.g_01694	Syag.g_01291
OG0000311	Prbm.g_01696	Syag.g_01300
OG0000312	Prbm.g_01699	Syag.g_01434
OG0000313	Prbm.g_01714	Syag.g_00966, Syag.g_01412
OG0000314	Prbm.g_01735	Syag.g_01380
OG0000315	Prbm.g_01745	Syag.g_01369
OG0000316	Prbm.g_01770	Syag.g_01641
OG0000317	Prbm.g_01839	Syag.g_01684
OG0000318	Prbm.g_01842	Syag.g_01688
OG0000319	Prbm.g_01853	Syag.g_01710
OG0000320	Prbm.g_01855	Syag.g_01712
OG0000321	Prbm.g_01856	Syag.g_01713
OG0000322	Prbm.g_01857	Syag.g_01714
OG0000323	Prbm.g_01866	Syag.g_01728
OG0000324	Prbm.g_01893	Syag.g_01757
OG0000325	Prbm.g_01950	Syag.g_02690
OG0000326	Prbm.g_01956	Syag.g_02698
OG0000327	Prbm.g_01991	Syag.g_02728
OG0000328	Prbm.g_01992	Syag.g_02729
OG0000329	Prbm.g_02009	Syag.g_02747
OG0000330	Prbm.g_02010	Syag.g_02748
OG0000331	Prbm.g_02011	Syag.g_02749
OG0000332	Prbm.g_02025	Syag.g_02764
OG0000333	Prbm.g_02027	Syag.g_02767
OG0000334	Prbm.g_02036	Syag.g_02777
OG0000335	Prbm.g_02041	Syag.g_02782
OG0000336	Prbm.g_02045	Syag.g_02786
OG0000337	Prbm.g_02064	Syag.g_02445
OG0000338	Prbm.g_02065	Syag.g_02440
OG0000340	Prbm.g_02079	Syag.g_02416
OG0000341	Prbm.g_02081	Syag.g_02414
OG0000342	Prbm.g_02082	Syag.g_02413
OG0000343	Prbm.g_02083	Syag.g_02411
OG0000344	Prbm.g_02086	Syag.g_02407
OG0000345	Prbm.g_02091	Syag.g_02397
OG0000346	Prbm.g_02095	Syag.g_02392
OG0000347	Prbm.g_02114	Syag.g_02366
OG0000348	Prbm.g_02149	Syag.g_02357
OG0000349	Prbm.g_02167	Syag.g_02330
OG0000350	Prbm.g_02188	Syag.g_02705
OG0000351	Prbm.g_02212	Syag.g_02244
OG0000352	Prbm.g_02213	Syag.g_02245
OG0000353	Prbm.g_02232	Syag.g_02271
OG0000354	Prbm.g_01220	Syag.g_02291
OG0000355	Prbm.g_00001	Syag.g_02273
OG0000356	Prbm.g_00002	Syag.g_02274
OG0000357	Prbm.g_00003	Syag.g_02275
OG0000358	Prbm.g_00007	Syag.g_02279
OG0000359	Prbm.g_00008	Syag.g_02281
OG0000360	Prbm.g_00009	Syag.g_02282
OG0000361	Prbm.g_00010	Syag.g_02283
OG0000362	Prbm.g_00012	Syag.g_02285
OG0000363	Prbm.g_00014	Syag.g_02287
OG0000364	Prbm.g_00015	Syag.g_02288
OG0000365	Prbm.g_00020	Syag.g_02297
OG0000366	Prbm.g_00021	Syag.g_02298
OG0000367	Prbm.g_00022	Syag.g_02299
OG0000368	Prbm.g_00024	Syag.g_02301
OG0000369	Prbm.g_00025	Syag.g_02302
OG0000370	Prbm.g_00026	Syag.g_02303
OG0000371	Prbm.g_00032	Syag.g_02312
OG0000372	Prbm.g_00033	Syag.g_02317
OG0000373	Prbm.g_00034	Syag.g_02318
OG0000374	Prbm.g_00035	Syag.g_02319
OG0000375	Prbm.g_00049	Syag.g_02326
OG0000376	Prbm.g_00051	Syag.g_02328
OG0000377	Prbm.g_00054	Syag.g_02119
OG0000378	Prbm.g_00056	Syag.g_02099
OG0000379	Prbm.g_00059	Syag.g_02091
OG0000380	Prbm.g_00123	Syag.g_01817
OG0000381	Prbm.g_00127	Syag.g_01820
OG0000382	Prbm.g_00138	Syag.g_01838
OG0000383	Prbm.g_00140	Syag.g_01843
OG0000384	Prbm.g_00141	Syag.g_01844
OG0000385	Prbm.g_00142	Syag.g_01845
OG0000386	Prbm.g_00143	Syag.g_01846
OG0000387	Prbm.g_00156	Syag.g_01876
OG0000388	Prbm.g_00160	Syag.g_01880
OG0000389	Prbm.g_00163	Syag.g_01884
OG0000390	Prbm.g_00172	Syag.g_01903
OG0000391	Prbm.g_00176	Syag.g_01908
OG0000392	Prbm.g_00179	Syag.g_01914
OG0000393	Prbm.g_00182	Syag.g_01917
OG0000394	Prbm.g_00183	Syag.g_01918
OG0000395	Prbm.g_00184	Syag.g_01919
OG0000396	Prbm.g_00187	Syag.g_01922
OG0000397	Prbm.g_00189	Syag.g_01924
OG0000398	Prbm.g_00192	Syag.g_01929
OG0000399	Prbm.g_00193	Syag.g_01930
OG0000400	Prbm.g_00194	Syag.g_01931
OG0000401	Prbm.g_00195	Syag.g_01932
OG0000402	Prbm.g_01096	Syag.g_01934
OG0000403	Prbm.g_00196	Syag.g_01935
OG0000404	Prbm.g_00197	Syag.g_01937
OG0000405	Prbm.g_00202	Syag.g_01949
OG0000406	Prbm.g_00206	Syag.g_01953
OG0000407	Prbm.g_00207	Syag.g_01954
OG0000408	Prbm.g_00209	Syag.g_01956
OG0000409	Prbm.g_00211	Syag.g_01958
OG0000410	Prbm.g_00212	Syag.g_01959
OG0000411	Prbm.g_00213	Syag.g_01960
OG0000412	Prbm.g_00214	Syag.g_01961
OG0000413	Prbm.g_00215	Syag.g_01963
OG0000414	Prbm.g_00216	Syag.g_01964
OG0000415	Prbm.g_00217	Syag.g_01965
OG0000416	Prbm.g_00218	Syag.g_01966
OG0000417	Prbm.g_00219	Syag.g_01967
OG0000418	Prbm.g_00224	Syag.g_01973
OG0000419	Prbm.g_00226	Syag.g_01975
OG0000420	Prbm.g_00227	Syag.g_01977
OG0000421	Prbm.g_00232	Syag.g_01982
OG0000422	Prbm.g_00233	Syag.g_01983
OG0000423	Prbm.g_00234	Syag.g_01984
OG0000424	Prbm.g_00235	Syag.g_01985
OG0000425	Prbm.g_00236	Syag.g_01986
OG0000426	Prbm.g_00237	Syag.g_01987
OG0000427	Prbm.g_00238	Syag.g_01988
OG0000428	Prbm.g_00240	Syag.g_01991
OG0000429	Prbm.g_00241	Syag.g_01993
OG0000430	Prbm.g_00242	Syag.g_01995
OG0000431	Prbm.g_00244	Syag.g_01998
OG0000432	Prbm.g_00248	Syag.g_02007
OG0000433	Prbm.g_00249	Syag.g_02009
OG0000434	Prbm.g_00250	Syag.g_02010
OG0000435	Prbm.g_00251	Syag.g_02017
OG0000436	Prbm.g_00256	Syag.g_02028
OG0000437	Prbm.g_00257	Syag.g_02029
OG0000438	Prbm.g_00258	Syag.g_02031
OG0000439	Prbm.g_00260	Syag.g_02033
OG0000440	Prbm.g_00261	Syag.g_02034
OG0000441	Prbm.g_00263	Syag.g_02041
OG0000442	Prbm.g_00264	Syag.g_02044
OG0000443	Prbm.g_00265	Syag.g_02046
OG0000444	Prbm.g_00270	Syag.g_02053
OG0000445	Prbm.g_00271	Syag.g_02054
OG0000446	Prbm.g_00272	Syag.g_02056
OG0000447	Prbm.g_00273	Syag.g_02059
OG0000448	Prbm.g_00274	Syag.g_02060
OG0000449	Prbm.g_00275	Syag.g_02061
OG0000450	Prbm.g_00276	Syag.g_02066
OG0000451	Prbm.g_00277	Syag.g_02067
OG0000452	Prbm.g_00280	Syag.g_02071
OG0000453	Prbm.g_00281	Syag.g_02072
OG0000454	Prbm.g_00282	Syag.g_02073
OG0000455	Prbm.g_00283	Syag.g_02074
OG0000456	Prbm.g_00284	Syag.g_02075
OG0000457	Prbm.g_00285	Syag.g_02077
OG0000458	Prbm.g_00286	Syag.g_02080
OG0000459	Prbm.g_00287	Syag.g_02081
OG0000460	Prbm.g_00295	Syag.g_01786
OG0000461	Prbm.g_00303	Syag.g_02675
OG0000462	Prbm.g_00305	Syag.g_02672
OG0000463	Prbm.g_00306	Syag.g_02671
OG0000464	Prbm.g_00307	Syag.g_02670
OG0000465	Prbm.g_00308	Syag.g_02668
OG0000466	Prbm.g_00309	Syag.g_02662
OG0000467	Prbm.g_00310	Syag.g_02660
OG0000468	Prbm.g_00312	Syag.g_02636
OG0000469	Prbm.g_00320	Syag.g_02621
OG0000470	Prbm.g_00322	Syag.g_02619
OG0000471	Prbm.g_00323	Syag.g_02618
OG0000472	Prbm.g_00324	Syag.g_02616
OG0000473	Prbm.g_00326	Syag.g_02614
OG0000474	Prbm.g_00327	Syag.g_02613
OG0000475	Prbm.g_00328	Syag.g_02612
OG0000476	Prbm.g_00330	Syag.g_02610
OG0000477	Prbm.g_00332	Syag.g_02604
OG0000478	Prbm.g_00333	Syag.g_02603
OG0000479	Prbm.g_00334	Syag.g_02602
OG0000480	Prbm.g_00339	Syag.g_02595
OG0000481	Prbm.g_00341	Syag.g_02593
OG0000482	Prbm.g_00342	Syag.g_02592
OG0000483	Prbm.g_00345	Syag.g_02588
OG0000484	Prbm.g_00346	Syag.g_02587
OG0000485	Prbm.g_00347	Syag.g_02586
OG0000486	Prbm.g_00348	Syag.g_02585
OG0000487	Prbm.g_00351	Syag.g_02579
OG0000488	Prbm.g_00354	Syag.g_02575
OG0000489	Prbm.g_00359	Syag.g_02565
OG0000490	Prbm.g_00364	Syag.g_02553
OG0000491	Prbm.g_00365	Syag.g_02551
OG0000492	Prbm.g_00367	Syag.g_02549
OG0000493	Prbm.g_00368	Syag.g_02548
OG0000494	Prbm.g_00369	Syag.g_02547
OG0000495	Prbm.g_00370	Syag.g_02546
OG0000496	Prbm.g_00371	Syag.g_02545
OG0000497	Prbm.g_00372	Syag.g_02544
OG0000498	Prbm.g_00373	Syag.g_02543
OG0000499	Prbm.g_00374	Syag.g_02542
OG0000500	Prbm.g_00375	Syag.g_02541
OG0000501	Prbm.g_00376	Syag.g_02538
OG0000502	Prbm.g_00379	Syag.g_02467
OG0000503	Prbm.g_00400	Syag.g_02843
OG0000504	Prbm.g_00402	Syag.g_02845
OG0000505	Prbm.g_00403	Syag.g_02846
OG0000506	Prbm.g_00404	Syag.g_02849
OG0000507	Prbm.g_00407	Syag.g_02855
OG0000508	Prbm.g_00410	Syag.g_02860
OG0000509	Prbm.g_00412	Syag.g_02862
OG0000510	Prbm.g_00413	Syag.g_02863
OG0000511	Prbm.g_00414	Syag.g_02864
OG0000512	Prbm.g_00416	Syag.g_02866
OG0000513	Prbm.g_00426	Syag.g_00009
OG0000514	Prbm.g_00440	Syag.g_00018
OG0000515	Prbm.g_00441	Syag.g_00019
OG0000516	Prbm.g_00442	Syag.g_00025
OG0000517	Prbm.g_00445	Syag.g_00032
OG0000518	Prbm.g_00456	Syag.g_00044
OG0000519	Prbm.g_00457	Syag.g_00045
OG0000520	Prbm.g_00458	Syag.g_00046
OG0000521	Prbm.g_00480	Syag.g_00054
OG0000522	Prbm.g_00482	Syag.g_00056
OG0000523	Prbm.g_00483	Syag.g_00057
OG0000524	Prbm.g_00490	Syag.g_01327
OG0000525	Prbm.g_00494	Syag.g_01345
OG0000526	Prbm.g_00495	Syag.g_01348
OG0000527	Prbm.g_00498	Syag.g_01354
OG0000528	Prbm.g_00504	Syag.g_01532
OG0000529	Prbm.g_00507	Syag.g_01527
OG0000530	Prbm.g_00510	Syag.g_01524
OG0000531	Prbm.g_00511	Syag.g_01523
OG0000532	Prbm.g_00512	Syag.g_01520
OG0000533	Prbm.g_00513	Syag.g_01518
OG0000534	Prbm.g_00514	Syag.g_01517
OG0000535	Prbm.g_00515	Syag.g_01516
OG0000536	Prbm.g_00516	Syag.g_01515
OG0000537	Prbm.g_00517	Syag.g_01514
OG0000538	Prbm.g_00534	Syag.g_01502
OG0000539	Prbm.g_00535	Syag.g_01501
OG0000540	Prbm.g_00536	Syag.g_01500
OG0000541	Prbm.g_00537	Syag.g_01499
OG0000542	Prbm.g_00539	Syag.g_01496
OG0000543	Prbm.g_00541	Syag.g_01494
OG0000544	Prbm.g_00542	Syag.g_01493
OG0000545	Prbm.g_00544	Syag.g_01491
OG0000546	Prbm.g_00547	Syag.g_01489
OG0000547	Prbm.g_00549	Syag.g_01487
OG0000548	Prbm.g_00550	Syag.g_01486
OG0000549	Prbm.g_00553	Syag.g_01480
OG0000550	Prbm.g_00557	Syag.g_01474
OG0000551	Prbm.g_00560	Syag.g_01470
OG0000552	Prbm.g_00561	Syag.g_01469
OG0000553	Prbm.g_00562	Syag.g_01464
OG0000554	Prbm.g_00567	Syag.g_01453
OG0000555	Prbm.g_00575	Syag.g_00075
OG0000556	Prbm.g_00577	Syag.g_00257
OG0000557	Prbm.g_00578	Syag.g_00267
OG0000558	Prbm.g_00580	Syag.g_00269
OG0000559	Prbm.g_00584	Syag.g_00273
OG0000560	Prbm.g_00587	Syag.g_00276
OG0000561	Prbm.g_00588	Syag.g_00277
OG0000562	Prbm.g_00589	Syag.g_00278
OG0000563	Prbm.g_00590	Syag.g_00279
OG0000564	Prbm.g_00591	Syag.g_00280
OG0000565	Prbm.g_00594	Syag.g_00284
OG0000566	Prbm.g_00596	Syag.g_00288
OG0000567	Prbm.g_00600	Syag.g_00292
OG0000568	Prbm.g_00601	Syag.g_00295
OG0000569	Prbm.g_00602	Syag.g_00296
