Orthogroup	Prbm	Syas
OG0000055	Prbm.g_01921	Syas.g_00203
OG0000058	Prbm.g_00881	Syas.g_01151
OG0000060	Prbm.g_01422	Syas.g_00975
OG0000061	Prbm.g_01549	Syas.g_01184
OG0000062	Prbm.g_01792	Syas.g_00070
OG0000063	Prbm.g_01947	Syas.g_02074
OG0000065	Prbm.g_00164	Syas.g_02420
OG0000066	Prbm.g_00572	Syas.g_00094
OG0000067	Prbm.g_00814	Syas.g_00596
OG0000068	Prbm.g_01660	Syas.g_00969, Syas.g_01261
OG0000070	Prbm.g_00460	Syas.g_00173
OG0000072	Prbm.g_00230	Syas.g_02326, Syas.g_01524
OG0000073	Prbm.g_00533	Syas.g_01230
OG0000075	Prbm.g_02069	Syas.g_01921, Syas.g_02194
OG0000076	Prbm.g_02094	Syas.g_02156
OG0000077	Prbm.g_00135	Syas.g_02510
OG0000078	Prbm.g_00300	Syas.g_02308
OG0000079	Prbm.g_00311	Syas.g_01699
OG0000081	Prbm.g_00564	Syas.g_00391
OG0000082	Prbm.g_01900	Syas.g_00837
OG0000085	Prbm.g_01834	Syas.g_02695
OG0000086	Prbm.g_00145	Syas.g_02470
OG0000087	Prbm.g_00198	Syas.g_02374
OG0000089	Prbm.g_00423	Syas.g_01512
OG0000090	Prbm.g_00566	Syas.g_00062
OG0000091	Prbm.g_00673	Syas.g_00907, Syas.g_00146
OG0000092	Prbm.g_00934	Syas.g_00900, Syas.g_00877
OG0000094	Prbm.g_00888	Syas.g_01716
OG0000095	Prbm.g_01064	Syas.g_01021
OG0000097	Prbm.g_01502	Syas.g_00114, Syas.g_01443
OG0000098	Prbm.g_01630	Syas.g_00091
OG0000099	Prbm.g_00394	Syas.g_01826
OG0000100	Prbm.g_01787	Syas.g_00567
OG0000101	Prbm.g_02033	Syas.g_01589
OG0000102	Prbm.g_02099	Syas.g_02152, Syas.g_01395
OG0000103	Prbm.g_02218	Syas.g_02009
OG0000104	Prbm.g_02229	Syas.g_02027, Syas.g_02026
OG0000105	Prbm.g_00331	Syas.g_01739
OG0000106	Prbm.g_01172, Prbm.g_01237	Syas.g_01451
OG0000107	Prbm.g_01949	Syas.g_01669
OG0000108	Prbm.g_00506	Syas.g_01253
OG0000109	Prbm.g_00519	Syas.g_01236
OG0000110	Prbm.g_00607	Syas.g_00818
OG0000111	Prbm.g_00736	Syas.g_01037
OG0000112	Prbm.g_00980	Syas.g_00452
OG0000113	Prbm.g_00838, Prbm.g_01191	Syas.g_00571
OG0000114	Prbm.g_00929	Syas.g_00674
OG0000115	Prbm.g_01803	Syas.g_02548, Syas.g_01285
OG0000116	Prbm.g_01560	Syas.g_01198, Syas.g_00317
OG0000117	Prbm.g_01522	Syas.g_01122
OG0000118	Prbm.g_01622	Syas.g_02835
OG0000120	Prbm.g_00707	Syas.g_01828
OG0000121	Prbm.g_01712	Syas.g_02821
OG0000122	Prbm.g_01751	Syas.g_00393
OG0000123	Prbm.g_02040	Syas.g_01582
OG0000124	Prbm.g_02111	Syas.g_02137
OG0000125	Prbm.g_02176	Syas.g_01889
OG0000126	Prbm.g_02228	Syas.g_01992
OG0000128	Prbm.g_00011	Syas.g_02046
OG0000129	Prbm.g_00053	Syas.g_01880
OG0000130	Prbm.g_00126	Syas.g_02522
OG0000131	Prbm.g_00204	Syas.g_02367
OG0000132	Prbm.g_00223	Syas.g_02334
OG0000133	Prbm.g_00377	Syas.g_00457
OG0000134	Prbm.g_00425	Syas.g_01509
OG0000135	Prbm.g_01389	Syas.g_01938
OG0000136	Prbm.g_00451	Syas.g_02740
OG0000137	Prbm.g_00500	Syas.g_01333
OG0000138	Prbm.g_00520	Syas.g_01235
OG0000140	Prbm.g_00571	Syas.g_00090
OG0000141	Prbm.g_00638	Syas.g_00875
OG0000142	Prbm.g_00666	Syas.g_00746
OG0000143	Prbm.g_00670	Syas.g_00742
OG0000144	Prbm.g_00683	Syas.g_00718
OG0000145	Prbm.g_01094	Syas.g_00948
OG0000146	Prbm.g_00979	Syas.g_00451
OG0000147	Prbm.g_00978	Syas.g_00450
OG0000148	Prbm.g_00832	Syas.g_00577
OG0000149	Prbm.g_00862	Syas.g_00282
OG0000150	Prbm.g_00870	Syas.g_00874
OG0000151	Prbm.g_00940	Syas.g_00148, Syas.g_00659
OG0000152	Prbm.g_00988	Syas.g_00461
OG0000153	Prbm.g_01006	Syas.g_00543
OG0000154	Prbm.g_01035	Syas.g_00219
OG0000155	Prbm.g_01527	Syas.g_01131
OG0000156	Prbm.g_01600	Syas.g_01206
OG0000157	Prbm.g_01601	Syas.g_01207
OG0000158	Prbm.g_02077	Syas.g_02185
OG0000159	Prbm.g_02133, Prbm.g_02115	Syas.g_01155
OG0000160	Prbm.g_01711	Syas.g_02820
OG0000161	Prbm.g_01717	Syas.g_02826
OG0000162	Prbm.g_01723	Syas.g_02751
OG0000163	Prbm.g_01759	Syas.g_01488
OG0000164	Prbm.g_01863	Syas.g_02648
OG0000165	Prbm.g_01871	Syas.g_02609
OG0000166	Prbm.g_01996	Syas.g_01629
OG0000167	Prbm.g_02067	Syas.g_01449
OG0000168	Prbm.g_02078	Syas.g_02184
OG0000169	Prbm.g_02088	Syas.g_02170
OG0000170	Prbm.g_02090	Syas.g_02161
OG0000171	Prbm.g_02110	Syas.g_02139
OG0000172	Prbm.g_02146	Syas.g_02110
OG0000173	Prbm.g_02161	Syas.g_02092
OG0000174	Prbm.g_02192	Syas.g_01940
OG0000175	Prbm.g_02209	Syas.g_01994
OG0000176	Prbm.g_00004	Syas.g_02038
OG0000177	Prbm.g_00005	Syas.g_02039
OG0000178	Prbm.g_00006	Syas.g_02040
OG0000179	Prbm.g_00016	Syas.g_02054
OG0000180	Prbm.g_00017	Syas.g_02055
OG0000181	Prbm.g_00018	Syas.g_02056
OG0000182	Prbm.g_00019	Syas.g_02057
OG0000183	Prbm.g_00023	Syas.g_02061
OG0000184	Prbm.g_00055	Syas.g_01872
OG0000185	Prbm.g_00058	Syas.g_01861
OG0000186	Prbm.g_00121	Syas.g_02525
OG0000187	Prbm.g_00122	Syas.g_02524
OG0000188	Prbm.g_00139	Syas.g_02502
OG0000189	Prbm.g_00153	Syas.g_02432
OG0000190	Prbm.g_00154	Syas.g_00133
OG0000191	Prbm.g_00177	Syas.g_02400
OG0000192	Prbm.g_00181	Syas.g_02395
OG0000193	Prbm.g_00205	Syas.g_02366
OG0000194	Prbm.g_00208	Syas.g_02363
OG0000195	Prbm.g_00210	Syas.g_02360
OG0000196	Prbm.g_00220	Syas.g_02337
OG0000197	Prbm.g_00221	Syas.g_02336
OG0000198	Prbm.g_00222	Syas.g_02335
OG0000199	Prbm.g_00229	Syas.g_02327
OG0000200	Prbm.g_00243	Syas.g_02298
OG0000201	Prbm.g_00252	Syas.g_02279
OG0000202	Prbm.g_00253	Syas.g_02278
OG0000203	Prbm.g_00254	Syas.g_02277
OG0000204	Prbm.g_00255	Syas.g_02276
OG0000205	Prbm.g_00262	Syas.g_02267
OG0000206	Prbm.g_00266	Syas.g_02240
OG0000207	Prbm.g_00268	Syas.g_02237
OG0000208	Prbm.g_00269	Syas.g_02236
OG0000209	Prbm.g_00278	Syas.g_01837
OG0000210	Prbm.g_00279	Syas.g_01838
OG0000211	Prbm.g_00293	Syas.g_02552
OG0000212	Prbm.g_00301	Syas.g_02562
OG0000213	Prbm.g_00317	Syas.g_01707
OG0000214	Prbm.g_00325	Syas.g_01730
OG0000215	Prbm.g_00349	Syas.g_01766
OG0000216	Prbm.g_00350	Syas.g_01770
OG0000217	Prbm.g_00353	Syas.g_01778
OG0000218	Prbm.g_00355	Syas.g_01780
OG0000219	Prbm.g_00356	Syas.g_01783
OG0000220	Prbm.g_00357	Syas.g_01784
OG0000221	Prbm.g_00358	Syas.g_01785
OG0000222	Prbm.g_00366	Syas.g_01804
OG0000223	Prbm.g_00378	Syas.g_02221
OG0000224	Prbm.g_00380	Syas.g_02215
OG0000225	Prbm.g_00411	Syas.g_01522
OG0000226	Prbm.g_00415	Syas.g_01518
OG0000227	Prbm.g_00417	Syas.g_01516
OG0000228	Prbm.g_00422	Syas.g_01513
OG0000229	Prbm.g_00446	Syas.g_01497
OG0000230	Prbm.g_00448	Syas.g_01495
OG0000231	Prbm.g_00459	Syas.g_02749
OG0000232	Prbm.g_00484	Syas.g_01276
OG0000233	Prbm.g_00492	Syas.g_01352
OG0000234	Prbm.g_00501	Syas.g_01331
OG0000235	Prbm.g_00505	Syas.g_01254
OG0000236	Prbm.g_00518	Syas.g_01237
OG0000237	Prbm.g_00540	Syas.g_01220
OG0000238	Prbm.g_00546	Syas.g_01215
OG0000239	Prbm.g_00558	Syas.g_00012
OG0000240	Prbm.g_00559	Syas.g_00013
OG0000241	Prbm.g_00563	Syas.g_00754
OG0000242	Prbm.g_00565	Syas.g_00059
OG0000243	Prbm.g_00576	Syas.g_00777
OG0000244	Prbm.g_00579	Syas.g_00784
OG0000245	Prbm.g_00581	Syas.g_00786
OG0000246	Prbm.g_00585	Syas.g_00790
OG0000247	Prbm.g_00595	Syas.g_00802
OG0000248	Prbm.g_00597	Syas.g_00805
OG0000249	Prbm.g_00599	Syas.g_00807
OG0000250	Prbm.g_00604	Syas.g_00814
OG0000251	Prbm.g_00620	Syas.g_00845
OG0000252	Prbm.g_00623	Syas.g_00950
OG0000253	Prbm.g_00625	Syas.g_00846
OG0000254	Prbm.g_00642	Syas.g_00869
OG0000255	Prbm.g_00648	Syas.g_00132, Syas.g_01062
OG0000256	Prbm.g_00658	Syas.g_00104
OG0000257	Prbm.g_00661	Syas.g_00757
OG0000258	Prbm.g_00674	Syas.g_00733
OG0000259	Prbm.g_00691	Syas.g_00708
OG0000260	Prbm.g_00694	Syas.g_00705
OG0000261	Prbm.g_00697	Syas.g_00701
OG0000262	Prbm.g_00702	Syas.g_00695
OG0000263	Prbm.g_00716	Syas.g_01103
OG0000264	Prbm.g_00728	Syas.g_02588
OG0000266	Prbm.g_00752	Syas.g_00186
OG0000267	Prbm.g_00765	Syas.g_00377
OG0000268	Prbm.g_00766	Syas.g_00390
OG0000269	Prbm.g_00809	Syas.g_00601
OG0000270	Prbm.g_00812	Syas.g_00598
OG0000271	Prbm.g_00820	Syas.g_00590
OG0000272	Prbm.g_00821	Syas.g_00589
OG0000273	Prbm.g_00845	Syas.g_00563
OG0000274	Prbm.g_00846	Syas.g_00562
OG0000275	Prbm.g_00848	Syas.g_00230
OG0000276	Prbm.g_00854	Syas.g_00237
OG0000277	Prbm.g_00855	Syas.g_00238
OG0000278	Prbm.g_00858	Syas.g_00241
OG0000279	Prbm.g_00865	Syas.g_00288
OG0000281	Prbm.g_00871	Syas.g_00970
OG0000282	Prbm.g_00931	Syas.g_00672
OG0000283	Prbm.g_00962	Syas.g_00409
OG0000284	Prbm.g_00967	Syas.g_00416
OG0000285	Prbm.g_00972	Syas.g_00436
OG0000286	Prbm.g_00987	Syas.g_00460
OG0000287	Prbm.g_00102	Syas.g_00534
OG0000288	Prbm.g_01034	Syas.g_00220
OG0000289	Prbm.g_01045	Syas.g_00205
OG0000290	Prbm.g_01061	Syas.g_01016
OG0000292	Prbm.g_01210	Syas.g_02020
OG0000293	Prbm.g_01559	Syas.g_01197
OG0000294	Prbm.g_01558	Syas.g_01196
OG0000295	Prbm.g_01534	Syas.g_01139
OG0000296	Prbm.g_01532	Syas.g_01137
OG0000299	Prbm.g_01503	Syas.g_01087
OG0000300	Prbm.g_01500	Syas.g_01082
OG0000301	Prbm.g_01499	Syas.g_01081
OG0000302	Prbm.g_01497	Syas.g_01080
OG0000303	Prbm.g_01492	Syas.g_01071
OG0000304	Prbm.g_01489	Syas.g_01066
OG0000305	Prbm.g_01812	Syas.g_01023
OG0000306	Prbm.g_00875	Syas.g_01929
OG0000307	Prbm.g_01669	Syas.g_01270
OG0000308	Prbm.g_01670	Syas.g_01272
OG0000309	Prbm.g_01674	Syas.g_01364
OG0000310	Prbm.g_01694	Syas.g_02796
OG0000311	Prbm.g_01696	Syas.g_02799
OG0000312	Prbm.g_01699	Syas.g_02804
OG0000313	Prbm.g_01714	Syas.g_02823
OG0000315	Prbm.g_01745	Syas.g_01306
OG0000316	Prbm.g_01770	Syas.g_02728
OG0000317	Prbm.g_01839	Syas.g_02687
OG0000318	Prbm.g_01842	Syas.g_02680
OG0000319	Prbm.g_01853	Syas.g_02663
OG0000320	Prbm.g_01855	Syas.g_02661
OG0000321	Prbm.g_01856	Syas.g_02660
OG0000322	Prbm.g_01857	Syas.g_02659
OG0000323	Prbm.g_01866	Syas.g_02646
OG0000324	Prbm.g_01893	Syas.g_02578
OG0000325	Prbm.g_01950	Syas.g_01668
OG0000326	Prbm.g_01956	Syas.g_01661
OG0000327	Prbm.g_01991	Syas.g_01634
OG0000328	Prbm.g_01992	Syas.g_01633
OG0000329	Prbm.g_02009	Syas.g_01615
OG0000330	Prbm.g_02010	Syas.g_01614
OG0000331	Prbm.g_02011	Syas.g_01613
OG0000332	Prbm.g_02025	Syas.g_01598
OG0000333	Prbm.g_02027	Syas.g_01595
OG0000334	Prbm.g_02036	Syas.g_01586
OG0000335	Prbm.g_02041	Syas.g_01581
OG0000336	Prbm.g_02045	Syas.g_01577
OG0000337	Prbm.g_02064	Syas.g_02211
OG0000338	Prbm.g_02065	Syas.g_02199
OG0000339	Prbm.g_02070	Syas.g_02192
OG0000340	Prbm.g_02079	Syas.g_02183
OG0000341	Prbm.g_02081	Syas.g_02181
OG0000342	Prbm.g_02082	Syas.g_02180
OG0000343	Prbm.g_02083	Syas.g_02176
OG0000344	Prbm.g_02086	Syas.g_02172
OG0000345	Prbm.g_02091	Syas.g_02160
OG0000346	Prbm.g_02095	Syas.g_02155
OG0000347	Prbm.g_02114	Syas.g_02136
OG0000348	Prbm.g_02149	Syas.g_02107
OG0000349	Prbm.g_02167	Syas.g_02085
OG0000350	Prbm.g_02188	Syas.g_01654
OG0000351	Prbm.g_02212	Syas.g_01998
OG0000352	Prbm.g_02213	Syas.g_01999
OG0000353	Prbm.g_02232	Syas.g_02033
OG0000354	Prbm.g_01220	Syas.g_02052
OG0000355	Prbm.g_00001	Syas.g_02035
OG0000356	Prbm.g_00002	Syas.g_02036
OG0000357	Prbm.g_00003	Syas.g_02037
OG0000358	Prbm.g_00007	Syas.g_02041
OG0000359	Prbm.g_00008	Syas.g_02043
OG0000360	Prbm.g_00009	Syas.g_02044
OG0000361	Prbm.g_00010	Syas.g_02045
OG0000362	Prbm.g_00012	Syas.g_02047
OG0000363	Prbm.g_00014	Syas.g_02049
OG0000364	Prbm.g_00015	Syas.g_02685
OG0000365	Prbm.g_00020	Syas.g_02058
OG0000366	Prbm.g_00021	Syas.g_02059
OG0000368	Prbm.g_00024	Syas.g_02062
OG0000369	Prbm.g_00025	Syas.g_02063
OG0000370	Prbm.g_00026	Syas.g_02064
OG0000371	Prbm.g_00032	Syas.g_02073
OG0000372	Prbm.g_00033	Syas.g_02078
OG0000373	Prbm.g_00034	Syas.g_02079
OG0000374	Prbm.g_00035	Syas.g_02080
OG0000375	Prbm.g_00049	Syas.g_02081
OG0000376	Prbm.g_00051	Syas.g_02083
OG0000377	Prbm.g_00054	Syas.g_01879
OG0000378	Prbm.g_00056	Syas.g_01867
OG0000379	Prbm.g_00059	Syas.g_01859
OG0000380	Prbm.g_00123	Syas.g_02523
OG0000381	Prbm.g_00127	Syas.g_02521
OG0000382	Prbm.g_00138	Syas.g_02503
OG0000383	Prbm.g_00140	Syas.g_02480
OG0000384	Prbm.g_00141	Syas.g_02479
OG0000385	Prbm.g_00142	Syas.g_02478
OG0000386	Prbm.g_00143	Syas.g_02477
OG0000387	Prbm.g_00156	Syas.g_00134
OG0000388	Prbm.g_00160	Syas.g_02426
OG0000389	Prbm.g_00163	Syas.g_02422
OG0000390	Prbm.g_00172	Syas.g_02406
OG0000391	Prbm.g_00176	Syas.g_02401
OG0000392	Prbm.g_00179	Syas.g_02396
OG0000393	Prbm.g_00182	Syas.g_02394
OG0000394	Prbm.g_00183	Syas.g_02393
OG0000395	Prbm.g_00184	Syas.g_02392
OG0000396	Prbm.g_00187	Syas.g_02389
OG0000397	Prbm.g_00189	Syas.g_02387
OG0000398	Prbm.g_00192	Syas.g_02382
OG0000399	Prbm.g_00193	Syas.g_02381
OG0000400	Prbm.g_00194	Syas.g_02380
OG0000401	Prbm.g_00195	Syas.g_02379
OG0000402	Prbm.g_01096	Syas.g_02377
OG0000403	Prbm.g_00196	Syas.g_02376
OG0000404	Prbm.g_00197	Syas.g_02375
OG0000405	Prbm.g_00202	Syas.g_02369
OG0000406	Prbm.g_00206	Syas.g_02365
OG0000407	Prbm.g_00207	Syas.g_02364
OG0000408	Prbm.g_00209	Syas.g_02361
OG0000409	Prbm.g_00211	Syas.g_02359
OG0000410	Prbm.g_00212	Syas.g_02358
OG0000411	Prbm.g_00213	Syas.g_02357
OG0000412	Prbm.g_00214	Syas.g_02356
OG0000413	Prbm.g_00215	Syas.g_02354
OG0000414	Prbm.g_00216	Syas.g_02353
OG0000415	Prbm.g_00217	Syas.g_02352
OG0000416	Prbm.g_00218	Syas.g_02351
OG0000417	Prbm.g_00219	Syas.g_02338
OG0000418	Prbm.g_00224	Syas.g_02333
OG0000419	Prbm.g_00226	Syas.g_02331
OG0000420	Prbm.g_00227	Syas.g_02329
OG0000421	Prbm.g_00232	Syas.g_02324
OG0000422	Prbm.g_00233	Syas.g_02323
OG0000423	Prbm.g_00234	Syas.g_02322
OG0000424	Prbm.g_00235	Syas.g_02321
OG0000425	Prbm.g_00236	Syas.g_02320
OG0000426	Prbm.g_00237	Syas.g_02319
OG0000427	Prbm.g_00238	Syas.g_02318
OG0000428	Prbm.g_00240	Syas.g_02315
OG0000429	Prbm.g_00241	Syas.g_02312
OG0000430	Prbm.g_00242	Syas.g_02311
OG0000431	Prbm.g_00244	Syas.g_02296
OG0000432	Prbm.g_00248	Syas.g_02288
OG0000433	Prbm.g_00249	Syas.g_02286
OG0000434	Prbm.g_00250	Syas.g_02285
OG0000435	Prbm.g_00251	Syas.g_02282
OG0000436	Prbm.g_00256	Syas.g_02273
OG0000437	Prbm.g_00257	Syas.g_02272
OG0000438	Prbm.g_00258	Syas.g_02271
OG0000439	Prbm.g_00260	Syas.g_02269
OG0000440	Prbm.g_00261	Syas.g_02268
OG0000441	Prbm.g_00263	Syas.g_02265
OG0000442	Prbm.g_00264	Syas.g_02259
OG0000443	Prbm.g_00265	Syas.g_02241
OG0000444	Prbm.g_00270	Syas.g_02234
OG0000445	Prbm.g_00271	Syas.g_02233
OG0000446	Prbm.g_00272	Syas.g_02231
OG0000447	Prbm.g_00273	Syas.g_02229
OG0000448	Prbm.g_00274	Syas.g_02228
OG0000449	Prbm.g_00275	Syas.g_02226
OG0000450	Prbm.g_00276	Syas.g_01834
OG0000451	Prbm.g_00277	Syas.g_01835
OG0000452	Prbm.g_00280	Syas.g_01844
OG0000453	Prbm.g_00281	Syas.g_01845
OG0000454	Prbm.g_00282	Syas.g_01846
OG0000455	Prbm.g_00283	Syas.g_01847
OG0000456	Prbm.g_00284	Syas.g_01848
OG0000457	Prbm.g_00285	Syas.g_01850
OG0000458	Prbm.g_00286	Syas.g_01851
OG0000459	Prbm.g_00287	Syas.g_01852
OG0000460	Prbm.g_00295	Syas.g_02554
OG0000461	Prbm.g_00303	Syas.g_01686
OG0000462	Prbm.g_00305	Syas.g_01688
OG0000463	Prbm.g_00306	Syas.g_01689
OG0000464	Prbm.g_00307	Syas.g_01690
OG0000465	Prbm.g_00308	Syas.g_01692
OG0000466	Prbm.g_00309	Syas.g_01697
OG0000467	Prbm.g_00310	Syas.g_01698
OG0000468	Prbm.g_00312	Syas.g_01703
OG0000469	Prbm.g_00320	Syas.g_01725
OG0000470	Prbm.g_00322	Syas.g_01727
OG0000471	Prbm.g_00323	Syas.g_01728
OG0000472	Prbm.g_00324	Syas.g_01729
OG0000473	Prbm.g_00326	Syas.g_01731
OG0000474	Prbm.g_00327	Syas.g_01732
OG0000475	Prbm.g_00328	Syas.g_01733
OG0000476	Prbm.g_00330	Syas.g_01735
OG0000477	Prbm.g_00332	Syas.g_01740
OG0000478	Prbm.g_00333	Syas.g_01741
OG0000479	Prbm.g_00334	Syas.g_01749
OG0000480	Prbm.g_00339	Syas.g_01756
OG0000481	Prbm.g_00341	Syas.g_00161, Syas.g_00162
OG0000482	Prbm.g_00342	Syas.g_01758
OG0000483	Prbm.g_00345	Syas.g_01762
OG0000484	Prbm.g_00346	Syas.g_01763
OG0000485	Prbm.g_00347	Syas.g_01764
OG0000486	Prbm.g_00348	Syas.g_01765
OG0000487	Prbm.g_00351	Syas.g_01771
OG0000488	Prbm.g_00354	Syas.g_01779
OG0000489	Prbm.g_00359	Syas.g_01823
OG0000490	Prbm.g_00364	Syas.g_01808
OG0000491	Prbm.g_00365	Syas.g_01806
OG0000492	Prbm.g_00367	Syas.g_01803
OG0000493	Prbm.g_00368	Syas.g_01802
OG0000494	Prbm.g_00369	Syas.g_01801
OG0000495	Prbm.g_00370	Syas.g_01799
OG0000496	Prbm.g_00371	Syas.g_01798
OG0000497	Prbm.g_00372	Syas.g_01797
OG0000498	Prbm.g_00373	Syas.g_01796
OG0000499	Prbm.g_00374	Syas.g_01795
OG0000500	Prbm.g_00375	Syas.g_01794
OG0000501	Prbm.g_00376	Syas.g_01791
OG0000502	Prbm.g_00379	Syas.g_02216
OG0000503	Prbm.g_00400	Syas.g_01541
OG0000504	Prbm.g_00402	Syas.g_01539
OG0000505	Prbm.g_00403	Syas.g_01538
OG0000506	Prbm.g_00404	Syas.g_01536
OG0000507	Prbm.g_00407	Syas.g_01530
OG0000508	Prbm.g_00410	Syas.g_01523
OG0000509	Prbm.g_00412	Syas.g_01521
OG0000510	Prbm.g_00413	Syas.g_01520
OG0000511	Prbm.g_00414	Syas.g_01519
OG0000512	Prbm.g_00416	Syas.g_01517
OG0000513	Prbm.g_00426	Syas.g_01508
OG0000514	Prbm.g_00440	Syas.g_01504
OG0000515	Prbm.g_00441	Syas.g_01503
OG0000516	Prbm.g_00442	Syas.g_01501
OG0000517	Prbm.g_00445	Syas.g_01498
OG0000518	Prbm.g_00456	Syas.g_00360, Syas.g_02746
OG0000519	Prbm.g_00457	Syas.g_02747
OG0000520	Prbm.g_00458	Syas.g_02748
OG0000521	Prbm.g_00480	Syas.g_01281
OG0000522	Prbm.g_00482	Syas.g_01279
OG0000523	Prbm.g_00483	Syas.g_01278
OG0000524	Prbm.g_00490	Syas.g_01354
OG0000525	Prbm.g_00494	Syas.g_01342
OG0000526	Prbm.g_00495	Syas.g_01340
OG0000527	Prbm.g_00498	Syas.g_01335
OG0000528	Prbm.g_00504	Syas.g_01256
OG0000529	Prbm.g_00507	Syas.g_01252
OG0000530	Prbm.g_00510	Syas.g_01249
OG0000531	Prbm.g_00511	Syas.g_01248
OG0000532	Prbm.g_00512	Syas.g_01245
OG0000533	Prbm.g_00513	Syas.g_01243
OG0000534	Prbm.g_00514	Syas.g_01242
OG0000535	Prbm.g_00515	Syas.g_01241
OG0000536	Prbm.g_00516	Syas.g_01240
OG0000537	Prbm.g_00517	Syas.g_01238
OG0000538	Prbm.g_00534	Syas.g_01228
OG0000539	Prbm.g_00535	Syas.g_01227
OG0000540	Prbm.g_00536	Syas.g_01226
OG0000541	Prbm.g_00537	Syas.g_01225
OG0000542	Prbm.g_00539	Syas.g_01221
OG0000543	Prbm.g_00541	Syas.g_01219
OG0000544	Prbm.g_00542	Syas.g_01218
OG0000545	Prbm.g_00544	Syas.g_01216
OG0000546	Prbm.g_00547	Syas.g_01214
OG0000547	Prbm.g_00549	Syas.g_01212
OG0000548	Prbm.g_00550	Syas.g_01211
OG0000549	Prbm.g_00553	Syas.g_00005
OG0000550	Prbm.g_00557	Syas.g_00010
OG0000551	Prbm.g_00560	Syas.g_00015
OG0000552	Prbm.g_00561	Syas.g_00016
OG0000553	Prbm.g_00562	Syas.g_00019
OG0000554	Prbm.g_00567	Syas.g_00063
OG0000555	Prbm.g_00575	Syas.g_00775
OG0000556	Prbm.g_00577	Syas.g_00781
OG0000557	Prbm.g_00578	Syas.g_00783
OG0000558	Prbm.g_00580	Syas.g_00785
OG0000559	Prbm.g_00584	Syas.g_00789
OG0000560	Prbm.g_00587	Syas.g_00792
OG0000561	Prbm.g_00588	Syas.g_00793
OG0000562	Prbm.g_00589	Syas.g_00794
OG0000563	Prbm.g_00590	Syas.g_00795
OG0000564	Prbm.g_00591	Syas.g_00796
OG0000565	Prbm.g_00594	Syas.g_00800
OG0000566	Prbm.g_00596	Syas.g_00804
OG0000567	Prbm.g_00600	Syas.g_00808
OG0000568	Prbm.g_00601	Syas.g_00810
OG0000569	Prbm.g_00602	Syas.g_00811
OG0000570	Prbm.g_00603	Syas.g_00812
OG0000571	Prbm.g_00605	Syas.g_00815
OG0000572	Prbm.g_00616	Syas.g_00839
OG0000573	Prbm.g_00621	Syas.g_00952
OG0000574	Prbm.g_00624	Syas.g_00951
OG0000575	Prbm.g_00627	Syas.g_00848
OG0000576	Prbm.g_00629	Syas.g_00850
OG0000577	Prbm.g_00630	Syas.g_00851
OG0000578	Prbm.g_00631	Syas.g_00852
OG0000579	Prbm.g_00632	Syas.g_00853
OG0000580	Prbm.g_00633	Syas.g_00854
OG0000581	Prbm.g_00636	Syas.g_00861
OG0000582	Prbm.g_00639	Syas.g_00873
OG0000583	Prbm.g_00640	Syas.g_00872
