Orthogroup	Prbm	Syaa
OG0000075	Prbm.g_02069	Syaa.g_00157
OG0000076	Prbm.g_02094	Syaa.g_00123
OG0000077	Prbm.g_00135	Syaa.g_00341
OG0000078	Prbm.g_00300	Syaa.g_02103
OG0000079	Prbm.g_00311	Syaa.g_00303
OG0000081	Prbm.g_00564	Syaa.g_02089
OG0000082	Prbm.g_01900	Syaa.g_01905
OG0000084	Prbm.g_01706	Syaa.g_01770
OG0000085	Prbm.g_01834	Syaa.g_00564
OG0000086	Prbm.g_00145	Syaa.g_00324
OG0000087	Prbm.g_00198	Syaa.g_02433
OG0000088	Prbm.g_00225	Syaa.g_02474
OG0000089	Prbm.g_00423	Syaa.g_02149
OG0000090	Prbm.g_00566	Syaa.g_01980
OG0000091	Prbm.g_00673	Syaa.g_01625
OG0000097	Prbm.g_01502	Syaa.g_00979
OG0000099	Prbm.g_00394	Syaa.g_00202
OG0000100	Prbm.g_01787	Syaa.g_01201
OG0000101	Prbm.g_02033	Syaa.g_02249
OG0000102	Prbm.g_02099	Syaa.g_00118
OG0000103	Prbm.g_02218	Syaa.g_02740
OG0000104	Prbm.g_02229	Syaa.g_02754
OG0000105	Prbm.g_00331	Syaa.g_00270
OG0000106	Prbm.g_01172, Prbm.g_01237	Syaa.g_01439
OG0000107	Prbm.g_01949	Syaa.g_02351
OG0000108	Prbm.g_00506	Syaa.g_02051
OG0000109	Prbm.g_00519	Syaa.g_02036
OG0000110	Prbm.g_00607	Syaa.g_01918
OG0000111	Prbm.g_00736	Syaa.g_00888
OG0000112	Prbm.g_00980	Syaa.g_01366
OG0000113	Prbm.g_00838, Prbm.g_01191	Syaa.g_01196
OG0000114	Prbm.g_00929	Syaa.g_01094
OG0000115	Prbm.g_01803	Syaa.g_01795
OG0000116	Prbm.g_01560	Syaa.g_00757
OG0000117	Prbm.g_01522	Syaa.g_01009
OG0000118	Prbm.g_01622	Syaa.g_01874
OG0000119	Prbm.g_01653	Syaa.g_00785
OG0000120	Prbm.g_00707	Syaa.g_00201
OG0000121	Prbm.g_01712	Syaa.g_01777
OG0000122	Prbm.g_01751	Syaa.g_01598
OG0000123	Prbm.g_02040	Syaa.g_02242
OG0000124	Prbm.g_02111	Syaa.g_00092
OG0000125	Prbm.g_02176	Syaa.g_02598
OG0000126	Prbm.g_02228	Syaa.g_02752
OG0000127	Prbm.g_01460	Syaa.g_00934
OG0000128	Prbm.g_00011	Syaa.g_00012
OG0000129	Prbm.g_00053	Syaa.g_02586
OG0000130	Prbm.g_00126	Syaa.g_00354
OG0000131	Prbm.g_00204	Syaa.g_02448
OG0000132	Prbm.g_00223	Syaa.g_02472
OG0000133	Prbm.g_00377	Syaa.g_01361
OG0000134	Prbm.g_00425	Syaa.g_02146
OG0000135	Prbm.g_01389	Syaa.g_02649
OG0000136	Prbm.g_00451	Syaa.g_00708
OG0000137	Prbm.g_00500	Syaa.g_01842
OG0000138	Prbm.g_00520	Syaa.g_02035
OG0000139	Prbm.g_00570	Syaa.g_01974
OG0000140	Prbm.g_00571	Syaa.g_01971
OG0000141	Prbm.g_00638	Syaa.g_01689
OG0000142	Prbm.g_00666	Syaa.g_01633
OG0000143	Prbm.g_00670	Syaa.g_01629
OG0000144	Prbm.g_00683	Syaa.g_01446
OG0000145	Prbm.g_01094	Syaa.g_02029
OG0000146	Prbm.g_00979	Syaa.g_01367
OG0000147	Prbm.g_00978	Syaa.g_01368
OG0000148	Prbm.g_00832	Syaa.g_01190
OG0000149	Prbm.g_00862	Syaa.g_00826
OG0000150	Prbm.g_00870	Syaa.g_01688
OG0000151	Prbm.g_00940	Syaa.g_01107
OG0000152	Prbm.g_00988	Syaa.g_01357
OG0000153	Prbm.g_01006	Syaa.g_01324
OG0000154	Prbm.g_01035	Syaa.g_01298
OG0000155	Prbm.g_01527	Syaa.g_00804
OG0000156	Prbm.g_01600	Syaa.g_00751
OG0000157	Prbm.g_01601	Syaa.g_00750
OG0000158	Prbm.g_02077	Syaa.g_00148
OG0000160	Prbm.g_01711	Syaa.g_01776
OG0000161	Prbm.g_01717	Syaa.g_01782
OG0000162	Prbm.g_01723	Syaa.g_01788
OG0000163	Prbm.g_01759	Syaa.g_00624
OG0000164	Prbm.g_01863	Syaa.g_00507
OG0000165	Prbm.g_01871	Syaa.g_00681
OG0000166	Prbm.g_01996	Syaa.g_02289
OG0000167	Prbm.g_02067	Syaa.g_00160
OG0000168	Prbm.g_02078	Syaa.g_00145
OG0000169	Prbm.g_02088	Syaa.g_00134
OG0000170	Prbm.g_02090	Syaa.g_00128
OG0000171	Prbm.g_02110	Syaa.g_00093
OG0000172	Prbm.g_02146	Syaa.g_00079
OG0000173	Prbm.g_02161	Syaa.g_00060
OG0000174	Prbm.g_02192	Syaa.g_02651
OG0000175	Prbm.g_02209	Syaa.g_02726
OG0000176	Prbm.g_00004	Syaa.g_00004
OG0000177	Prbm.g_00005	Syaa.g_00005
OG0000178	Prbm.g_00006	Syaa.g_00006
OG0000179	Prbm.g_00016	Syaa.g_00023
OG0000180	Prbm.g_00017	Syaa.g_00024
OG0000181	Prbm.g_00018	Syaa.g_00025
OG0000182	Prbm.g_00019	Syaa.g_00026
OG0000183	Prbm.g_00023	Syaa.g_00030
OG0000184	Prbm.g_00055	Syaa.g_02578
OG0000185	Prbm.g_00058	Syaa.g_02575
OG0000186	Prbm.g_00121	Syaa.g_00359
OG0000187	Prbm.g_00122	Syaa.g_00358
OG0000188	Prbm.g_00139	Syaa.g_00334
OG0000189	Prbm.g_00153	Syaa.g_02367
OG0000190	Prbm.g_00154	Syaa.g_02369
OG0000191	Prbm.g_00177	Syaa.g_02404
OG0000192	Prbm.g_00181	Syaa.g_02410
OG0000193	Prbm.g_00205	Syaa.g_02449
OG0000194	Prbm.g_00208	Syaa.g_02452
OG0000195	Prbm.g_00210	Syaa.g_02459
OG0000196	Prbm.g_00220	Syaa.g_02469
OG0000197	Prbm.g_00221	Syaa.g_02470
OG0000198	Prbm.g_00222	Syaa.g_02471
OG0000199	Prbm.g_00229	Syaa.g_02479
OG0000200	Prbm.g_00243	Syaa.g_02496
OG0000201	Prbm.g_00252	Syaa.g_02521
OG0000202	Prbm.g_00253	Syaa.g_02522
OG0000203	Prbm.g_00254	Syaa.g_02523
OG0000204	Prbm.g_00255	Syaa.g_02524
OG0000205	Prbm.g_00262	Syaa.g_02531
OG0000206	Prbm.g_00266	Syaa.g_02538
OG0000207	Prbm.g_00268	Syaa.g_02540
OG0000208	Prbm.g_00269	Syaa.g_02541
OG0000209	Prbm.g_00278	Syaa.g_02556
OG0000210	Prbm.g_00279	Syaa.g_02557
OG0000212	Prbm.g_00301	Syaa.g_02102
OG0000213	Prbm.g_00317	Syaa.g_00295
OG0000214	Prbm.g_00325	Syaa.g_00279
OG0000215	Prbm.g_00349	Syaa.g_00248
OG0000216	Prbm.g_00350	Syaa.g_00244
OG0000217	Prbm.g_00353	Syaa.g_00240
OG0000218	Prbm.g_00355	Syaa.g_00238
OG0000219	Prbm.g_00356	Syaa.g_00237
OG0000220	Prbm.g_00357	Syaa.g_00236
OG0000221	Prbm.g_00358	Syaa.g_00229
OG0000222	Prbm.g_00366	Syaa.g_00215
OG0000223	Prbm.g_00378	Syaa.g_00192
OG0000224	Prbm.g_00380	Syaa.g_00183
OG0000225	Prbm.g_00411	Syaa.g_02166
OG0000226	Prbm.g_00415	Syaa.g_02162
OG0000227	Prbm.g_00417	Syaa.g_02160
OG0000228	Prbm.g_00422	Syaa.g_02150
OG0000229	Prbm.g_00446	Syaa.g_00703
OG0000230	Prbm.g_00448	Syaa.g_00705
OG0000231	Prbm.g_00459	Syaa.g_00717
OG0000232	Prbm.g_00484	Syaa.g_01858
OG0000233	Prbm.g_00492	Syaa.g_01853
OG0000234	Prbm.g_00501	Syaa.g_01841
OG0000235	Prbm.g_00505	Syaa.g_02052
OG0000236	Prbm.g_00518	Syaa.g_02037
OG0000237	Prbm.g_00540	Syaa.g_02020
OG0000238	Prbm.g_00546	Syaa.g_02015
OG0000239	Prbm.g_00558	Syaa.g_01996
OG0000240	Prbm.g_00559	Syaa.g_01995
OG0000241	Prbm.g_00563	Syaa.g_01644
OG0000242	Prbm.g_00565	Syaa.g_01982
OG0000243	Prbm.g_00576	Syaa.g_01960
OG0000244	Prbm.g_00579	Syaa.g_01954
OG0000245	Prbm.g_00581	Syaa.g_01952
OG0000246	Prbm.g_00585	Syaa.g_01948
OG0000247	Prbm.g_00595	Syaa.g_01937
OG0000248	Prbm.g_00597	Syaa.g_01934
OG0000249	Prbm.g_00599	Syaa.g_01932
OG0000250	Prbm.g_00604	Syaa.g_01922
OG0000251	Prbm.g_00620	Syaa.g_01897
OG0000252	Prbm.g_00623	Syaa.g_01894
OG0000253	Prbm.g_00625	Syaa.g_01893
OG0000254	Prbm.g_00642	Syaa.g_01684
OG0000255	Prbm.g_00648	Syaa.g_01668
OG0000256	Prbm.g_00658	Syaa.g_01651
OG0000257	Prbm.g_00661	Syaa.g_01645
OG0000258	Prbm.g_00674	Syaa.g_01624
OG0000259	Prbm.g_00691	Syaa.g_01063
OG0000260	Prbm.g_00694	Syaa.g_01066
OG0000261	Prbm.g_00697	Syaa.g_01069
OG0000262	Prbm.g_00702	Syaa.g_01074
OG0000263	Prbm.g_00716	Syaa.g_00989
OG0000264	Prbm.g_00728	Syaa.g_00910
OG0000265	Prbm.g_00742	Syaa.g_00931, Syaa.g_01498
OG0000266	Prbm.g_00752	Syaa.g_01257, Syaa.g_01258
OG0000267	Prbm.g_00765	Syaa.g_01409
OG0000268	Prbm.g_00766	Syaa.g_01408
OG0000269	Prbm.g_00809	Syaa.g_01149
OG0000270	Prbm.g_00812	Syaa.g_01152
OG0000271	Prbm.g_00820	Syaa.g_01160
OG0000272	Prbm.g_00821	Syaa.g_01161
OG0000273	Prbm.g_00845	Syaa.g_00844
OG0000274	Prbm.g_00846	Syaa.g_00843
OG0000275	Prbm.g_00848	Syaa.g_00840
OG0000276	Prbm.g_00854	Syaa.g_00834
OG0000277	Prbm.g_00855	Syaa.g_00833
OG0000278	Prbm.g_00858	Syaa.g_00830
OG0000279	Prbm.g_00865	Syaa.g_00822
OG0000282	Prbm.g_00931	Syaa.g_01096
OG0000283	Prbm.g_00962	Syaa.g_01396
OG0000284	Prbm.g_00967	Syaa.g_01390
OG0000285	Prbm.g_00972	Syaa.g_01377
OG0000286	Prbm.g_00987	Syaa.g_01358
OG0000287	Prbm.g_00102	Syaa.g_01330
OG0000288	Prbm.g_01034	Syaa.g_01299
OG0000289	Prbm.g_01045	Syaa.g_01285
OG0000290	Prbm.g_01061	Syaa.g_00875
OG0000291	Prbm.g_01063	Syaa.g_00877
OG0000292	Prbm.g_01210	Syaa.g_02751
OG0000293	Prbm.g_01559	Syaa.g_00758
OG0000294	Prbm.g_01558	Syaa.g_00759
OG0000295	Prbm.g_01534	Syaa.g_00796
OG0000296	Prbm.g_01532	Syaa.g_00798
OG0000297	Prbm.g_01524	Syaa.g_01021
OG0000298	Prbm.g_01523	Syaa.g_01010
OG0000299	Prbm.g_01503	Syaa.g_00982
OG0000300	Prbm.g_01500	Syaa.g_00976
OG0000301	Prbm.g_01499	Syaa.g_00975
OG0000302	Prbm.g_01497	Syaa.g_00972
OG0000303	Prbm.g_01492	Syaa.g_00963
OG0000304	Prbm.g_01489	Syaa.g_00957
OG0000305	Prbm.g_01812	Syaa.g_00881
OG0000306	Prbm.g_00875	Syaa.g_00807
OG0000307	Prbm.g_01669	Syaa.g_02068
OG0000308	Prbm.g_01670	Syaa.g_02070
OG0000309	Prbm.g_01674	Syaa.g_02075
OG0000310	Prbm.g_01694	Syaa.g_01752
OG0000311	Prbm.g_01696	Syaa.g_01757
OG0000312	Prbm.g_01699	Syaa.g_01762
OG0000313	Prbm.g_01714	Syaa.g_01779
OG0000314	Prbm.g_01735	Syaa.g_01806
OG0000315	Prbm.g_01745	Syaa.g_01816
OG0000316	Prbm.g_01770	Syaa.g_00598
OG0000317	Prbm.g_01839	Syaa.g_00556
OG0000318	Prbm.g_01842	Syaa.g_00550
OG0000319	Prbm.g_01853	Syaa.g_00532
OG0000320	Prbm.g_01855	Syaa.g_00530
OG0000321	Prbm.g_01856	Syaa.g_00529
OG0000322	Prbm.g_01857	Syaa.g_00528
OG0000323	Prbm.g_01866	Syaa.g_00496
OG0000324	Prbm.g_01893	Syaa.g_00653
OG0000325	Prbm.g_01950	Syaa.g_02350
OG0000326	Prbm.g_01956	Syaa.g_02343
OG0000327	Prbm.g_01991	Syaa.g_02294
OG0000328	Prbm.g_01992	Syaa.g_02293
OG0000329	Prbm.g_02009	Syaa.g_02275
OG0000330	Prbm.g_02010	Syaa.g_02274
OG0000331	Prbm.g_02011	Syaa.g_02273
OG0000332	Prbm.g_02025	Syaa.g_02258
OG0000333	Prbm.g_02027	Syaa.g_02255
OG0000334	Prbm.g_02036	Syaa.g_02246
OG0000335	Prbm.g_02041	Syaa.g_02241
OG0000336	Prbm.g_02045	Syaa.g_02237
OG0000337	Prbm.g_02064	Syaa.g_00167
OG0000338	Prbm.g_02065	Syaa.g_00162
OG0000339	Prbm.g_02070	Syaa.g_00156
OG0000340	Prbm.g_02079	Syaa.g_00144
OG0000341	Prbm.g_02081	Syaa.g_00142
OG0000342	Prbm.g_02082	Syaa.g_00141
OG0000343	Prbm.g_02083	Syaa.g_00140
OG0000344	Prbm.g_02086	Syaa.g_00136
OG0000345	Prbm.g_02091	Syaa.g_00127
OG0000346	Prbm.g_02095	Syaa.g_00122
OG0000347	Prbm.g_02114	Syaa.g_00088
OG0000348	Prbm.g_02149	Syaa.g_00071
OG0000349	Prbm.g_02167	Syaa.g_00053
OG0000350	Prbm.g_02188	Syaa.g_02336
OG0000351	Prbm.g_02212	Syaa.g_02730
OG0000352	Prbm.g_02213	Syaa.g_02731
OG0000353	Prbm.g_02232	Syaa.g_02757
OG0000354	Prbm.g_01220	Syaa.g_00019, Syaa.g_00020
OG0000355	Prbm.g_00001	Syaa.g_00001
OG0000356	Prbm.g_00002	Syaa.g_00002
OG0000357	Prbm.g_00003	Syaa.g_00003
OG0000358	Prbm.g_00007	Syaa.g_00007
OG0000359	Prbm.g_00008	Syaa.g_00009
OG0000360	Prbm.g_00009	Syaa.g_00010
OG0000361	Prbm.g_00010	Syaa.g_00011
OG0000362	Prbm.g_00012	Syaa.g_00013
OG0000363	Prbm.g_00014	Syaa.g_00015
OG0000364	Prbm.g_00015	Syaa.g_00016
OG0000365	Prbm.g_00020	Syaa.g_00027
OG0000366	Prbm.g_00021	Syaa.g_00028
OG0000367	Prbm.g_00022	Syaa.g_00029
OG0000368	Prbm.g_00024	Syaa.g_00031
OG0000369	Prbm.g_00025	Syaa.g_00032
OG0000370	Prbm.g_00026	Syaa.g_00033
OG0000371	Prbm.g_00032	Syaa.g_00041
OG0000372	Prbm.g_00033	Syaa.g_00046
OG0000373	Prbm.g_00034	Syaa.g_00047
OG0000374	Prbm.g_00035	Syaa.g_00048
OG0000375	Prbm.g_00049	Syaa.g_00049
OG0000376	Prbm.g_00051	Syaa.g_00051
OG0000377	Prbm.g_00054	Syaa.g_02585
OG0000378	Prbm.g_00056	Syaa.g_02577
OG0000379	Prbm.g_00059	Syaa.g_02574
OG0000380	Prbm.g_00123	Syaa.g_00357
OG0000381	Prbm.g_00127	Syaa.g_00353
OG0000382	Prbm.g_00138	Syaa.g_00335
OG0000383	Prbm.g_00140	Syaa.g_00333
OG0000384	Prbm.g_00141	Syaa.g_00332
OG0000385	Prbm.g_00142	Syaa.g_00331
OG0000386	Prbm.g_00143	Syaa.g_00330
OG0000387	Prbm.g_00156	Syaa.g_02371
OG0000388	Prbm.g_00160	Syaa.g_02375
OG0000389	Prbm.g_00163	Syaa.g_02379
OG0000390	Prbm.g_00172	Syaa.g_02398
OG0000391	Prbm.g_00176	Syaa.g_02403
OG0000392	Prbm.g_00179	Syaa.g_02409
OG0000393	Prbm.g_00182	Syaa.g_02412
OG0000394	Prbm.g_00183	Syaa.g_02413
OG0000395	Prbm.g_00184	Syaa.g_02414
OG0000396	Prbm.g_00187	Syaa.g_02417
OG0000397	Prbm.g_00189	Syaa.g_02419
OG0000398	Prbm.g_00192	Syaa.g_02424
OG0000399	Prbm.g_00193	Syaa.g_02425
OG0000400	Prbm.g_00194	Syaa.g_02426
OG0000401	Prbm.g_00195	Syaa.g_02427
OG0000402	Prbm.g_01096	Syaa.g_02429
OG0000403	Prbm.g_00196	Syaa.g_02430
OG0000404	Prbm.g_00197	Syaa.g_02431
OG0000405	Prbm.g_00202	Syaa.g_02446
OG0000406	Prbm.g_00206	Syaa.g_02450
OG0000407	Prbm.g_00207	Syaa.g_02451
OG0000408	Prbm.g_00209	Syaa.g_02458
OG0000409	Prbm.g_00211	Syaa.g_02460
OG0000410	Prbm.g_00212	Syaa.g_02461
OG0000411	Prbm.g_00213	Syaa.g_02462
OG0000412	Prbm.g_00214	Syaa.g_02463
OG0000413	Prbm.g_00215	Syaa.g_02465
OG0000415	Prbm.g_00217	Syaa.g_02466
OG0000416	Prbm.g_00218	Syaa.g_02467
OG0000417	Prbm.g_00219	Syaa.g_02468
OG0000418	Prbm.g_00224	Syaa.g_02473
OG0000419	Prbm.g_00226	Syaa.g_02475
OG0000420	Prbm.g_00227	Syaa.g_02477
OG0000421	Prbm.g_00232	Syaa.g_02482
OG0000422	Prbm.g_00233	Syaa.g_02483
OG0000423	Prbm.g_00234	Syaa.g_02484
OG0000424	Prbm.g_00235	Syaa.g_02485
OG0000425	Prbm.g_00236	Syaa.g_02486
OG0000426	Prbm.g_00237	Syaa.g_02487
OG0000427	Prbm.g_00238	Syaa.g_02488
OG0000428	Prbm.g_00240	Syaa.g_02491
OG0000429	Prbm.g_00241	Syaa.g_02493
OG0000430	Prbm.g_00242	Syaa.g_02495
OG0000431	Prbm.g_00244	Syaa.g_02498
OG0000432	Prbm.g_00248	Syaa.g_02504
OG0000433	Prbm.g_00249	Syaa.g_02513
OG0000434	Prbm.g_00250	Syaa.g_02514
OG0000435	Prbm.g_00251	Syaa.g_02516
OG0000436	Prbm.g_00256	Syaa.g_02525
OG0000437	Prbm.g_00257	Syaa.g_02526
OG0000438	Prbm.g_00258	Syaa.g_02527
OG0000439	Prbm.g_00260	Syaa.g_02529
OG0000440	Prbm.g_00261	Syaa.g_02530
OG0000441	Prbm.g_00263	Syaa.g_02534
OG0000442	Prbm.g_00264	Syaa.g_02535
OG0000443	Prbm.g_00265	Syaa.g_02536
OG0000444	Prbm.g_00270	Syaa.g_02542
OG0000445	Prbm.g_00271	Syaa.g_02543
OG0000446	Prbm.g_00272	Syaa.g_02545
OG0000447	Prbm.g_00273	Syaa.g_02548
OG0000448	Prbm.g_00274	Syaa.g_02549
OG0000449	Prbm.g_00275	Syaa.g_02550
OG0000450	Prbm.g_00276	Syaa.g_02553
OG0000451	Prbm.g_00277	Syaa.g_02554
OG0000452	Prbm.g_00280	Syaa.g_02558
OG0000453	Prbm.g_00281	Syaa.g_02559
OG0000454	Prbm.g_00282	Syaa.g_02560
OG0000455	Prbm.g_00283	Syaa.g_02561
OG0000456	Prbm.g_00284	Syaa.g_02562
OG0000457	Prbm.g_00285	Syaa.g_02564
OG0000458	Prbm.g_00286	Syaa.g_02565
OG0000459	Prbm.g_00287	Syaa.g_02566
OG0000460	Prbm.g_00295	Syaa.g_02111
OG0000461	Prbm.g_00303	Syaa.g_00318
OG0000462	Prbm.g_00305	Syaa.g_00315
OG0000463	Prbm.g_00306	Syaa.g_00314
OG0000464	Prbm.g_00307	Syaa.g_00313
OG0000465	Prbm.g_00308	Syaa.g_00311
OG0000466	Prbm.g_00309	Syaa.g_00306
OG0000467	Prbm.g_00310	Syaa.g_00304
OG0000468	Prbm.g_00312	Syaa.g_00299
OG0000469	Prbm.g_00320	Syaa.g_00285
OG0000470	Prbm.g_00322	Syaa.g_00283
OG0000471	Prbm.g_00323	Syaa.g_00282
OG0000472	Prbm.g_00324	Syaa.g_00280
OG0000473	Prbm.g_00326	Syaa.g_00278
OG0000474	Prbm.g_00327	Syaa.g_00277
OG0000475	Prbm.g_00328	Syaa.g_00276
OG0000476	Prbm.g_00330	Syaa.g_00274
OG0000477	Prbm.g_00332	Syaa.g_00268
OG0000478	Prbm.g_00333	Syaa.g_00267
OG0000479	Prbm.g_00334	Syaa.g_00266
OG0000480	Prbm.g_00339	Syaa.g_00259
OG0000481	Prbm.g_00341	Syaa.g_00257
OG0000482	Prbm.g_00342	Syaa.g_00256
OG0000483	Prbm.g_00345	Syaa.g_00252
OG0000484	Prbm.g_00346	Syaa.g_00251
OG0000485	Prbm.g_00347	Syaa.g_00250
OG0000486	Prbm.g_00348	Syaa.g_00249
OG0000487	Prbm.g_00351	Syaa.g_00243
OG0000488	Prbm.g_00354	Syaa.g_00239
OG0000489	Prbm.g_00359	Syaa.g_00228
OG0000490	Prbm.g_00364	Syaa.g_00220
OG0000491	Prbm.g_00365	Syaa.g_00218
OG0000492	Prbm.g_00367	Syaa.g_00214
OG0000493	Prbm.g_00368	Syaa.g_00213
OG0000494	Prbm.g_00369	Syaa.g_00212
OG0000495	Prbm.g_00370	Syaa.g_00211
OG0000496	Prbm.g_00371	Syaa.g_00210
OG0000497	Prbm.g_00372	Syaa.g_00209
OG0000498	Prbm.g_00373	Syaa.g_00208
OG0000499	Prbm.g_00374	Syaa.g_00207
OG0000500	Prbm.g_00375	Syaa.g_00206
OG0000501	Prbm.g_00376	Syaa.g_00203
OG0000502	Prbm.g_00379	Syaa.g_00190
OG0000503	Prbm.g_00400	Syaa.g_02182
OG0000504	Prbm.g_00402	Syaa.g_02180
OG0000505	Prbm.g_00403	Syaa.g_02179
OG0000506	Prbm.g_00404	Syaa.g_02177
OG0000507	Prbm.g_00407	Syaa.g_02171
OG0000508	Prbm.g_00410	Syaa.g_02167
OG0000509	Prbm.g_00412	Syaa.g_02165
OG0000510	Prbm.g_00413	Syaa.g_02164
OG0000511	Prbm.g_00414	Syaa.g_02163
OG0000512	Prbm.g_00416	Syaa.g_02161
OG0000513	Prbm.g_00426	Syaa.g_02145
OG0000514	Prbm.g_00440	Syaa.g_02118
OG0000515	Prbm.g_00441	Syaa.g_02117
OG0000516	Prbm.g_00442	Syaa.g_00698
OG0000517	Prbm.g_00445	Syaa.g_00702
OG0000518	Prbm.g_00456	Syaa.g_00714
OG0000519	Prbm.g_00457	Syaa.g_00715
OG0000520	Prbm.g_00458	Syaa.g_00716
OG0000521	Prbm.g_00480	Syaa.g_01864
OG0000522	Prbm.g_00482	Syaa.g_01862
OG0000523	Prbm.g_00483	Syaa.g_01859
OG0000524	Prbm.g_00490	Syaa.g_01856
OG0000525	Prbm.g_00494	Syaa.g_01851
OG0000526	Prbm.g_00495	Syaa.g_01848
OG0000527	Prbm.g_00498	Syaa.g_01844
OG0000528	Prbm.g_00504	Syaa.g_02054
OG0000529	Prbm.g_00507	Syaa.g_02050
OG0000530	Prbm.g_00510	Syaa.g_02047
OG0000531	Prbm.g_00511	Syaa.g_02046
OG0000532	Prbm.g_00512	Syaa.g_02043
OG0000533	Prbm.g_00513	Syaa.g_02042
OG0000534	Prbm.g_00514	Syaa.g_02041
OG0000535	Prbm.g_00515	Syaa.g_02040
OG0000536	Prbm.g_00516	Syaa.g_02039
OG0000537	Prbm.g_00517	Syaa.g_02038
OG0000538	Prbm.g_00534	Syaa.g_02027
OG0000539	Prbm.g_00535	Syaa.g_02026
OG0000540	Prbm.g_00536	Syaa.g_02025
OG0000541	Prbm.g_00537	Syaa.g_02024
OG0000542	Prbm.g_00539	Syaa.g_02021
OG0000543	Prbm.g_00541	Syaa.g_02019
OG0000544	Prbm.g_00542	Syaa.g_02018
OG0000545	Prbm.g_00544	Syaa.g_02016
OG0000546	Prbm.g_00547	Syaa.g_02014
