Orthogroup	Prbm	Syaj
OG0000057	Prbm.g_00735	Syaj.g_00438
OG0000058	Prbm.g_00881	Syaj.g_02495
OG0000059	Prbm.g_01973	Syaj.g_02686
OG0000060	Prbm.g_01422	Syaj.g_00635
OG0000061	Prbm.g_01549	Syaj.g_00302
OG0000063	Prbm.g_01947	Syaj.g_02302
OG0000065	Prbm.g_00164	Syaj.g_00007, Syaj.g_01887
OG0000066	Prbm.g_00572	Syaj.g_00157
OG0000067	Prbm.g_00814	Syaj.g_01023
OG0000068	Prbm.g_01660	Syaj.g_00059
OG0000070	Prbm.g_00460	Syaj.g_01529
OG0000071	Prbm.g_00468, Prbm.g_01611	Syaj.g_01511
OG0000072	Prbm.g_00230	Syaj.g_01992
OG0000073	Prbm.g_00533	Syaj.g_00093
OG0000075	Prbm.g_02069	Syaj.g_02457
OG0000076	Prbm.g_02094	Syaj.g_02417
OG0000077	Prbm.g_00135	Syaj.g_01831
OG0000078	Prbm.g_00300	Syaj.g_02880
OG0000079	Prbm.g_00311	Syaj.g_02609
OG0000081	Prbm.g_00564	Syaj.g_02888
OG0000082	Prbm.g_01900	Syaj.g_00229
OG0000084	Prbm.g_01706	Syaj.g_01375
OG0000085	Prbm.g_01834	Syaj.g_01707
OG0000086	Prbm.g_00145	Syaj.g_01848
OG0000087	Prbm.g_00198	Syaj.g_01945
OG0000088	Prbm.g_00225	Syaj.g_01986
OG0000089	Prbm.g_00423	Syaj.g_02829, Syaj.g_01915
OG0000090	Prbm.g_00566	Syaj.g_00144
OG0000091	Prbm.g_00673	Syaj.g_01275
OG0000092	Prbm.g_00934	Syaj.g_00339
OG0000097	Prbm.g_01502	Syaj.g_00589
OG0000098	Prbm.g_01630	Syaj.g_02671
OG0000099	Prbm.g_00394	Syaj.g_02503
OG0000100	Prbm.g_01787	Syaj.g_00987
OG0000101	Prbm.g_02033	Syaj.g_02738
OG0000102	Prbm.g_02099	Syaj.g_02411
OG0000103	Prbm.g_02218	Syaj.g_02243
OG0000104	Prbm.g_02229	Syaj.g_02258
OG0000105	Prbm.g_00331	Syaj.g_02573
OG0000106	Prbm.g_01172, Prbm.g_01237	Syaj.g_01130
OG0000107	Prbm.g_01949	Syaj.g_02637
OG0000108	Prbm.g_00506	Syaj.g_00072
OG0000109	Prbm.g_00519	Syaj.g_00087
OG0000110	Prbm.g_00607	Syaj.g_00215
OG0000111	Prbm.g_00736	Syaj.g_00437
OG0000112	Prbm.g_00980	Syaj.g_00907
OG0000113	Prbm.g_00838, Prbm.g_01191	Syaj.g_00992
OG0000114	Prbm.g_00929	Syaj.g_00741
OG0000115	Prbm.g_01803	Syaj.g_01402
OG0000116	Prbm.g_01560	Syaj.g_00289
OG0000117	Prbm.g_01522	Syaj.g_00637
OG0000118	Prbm.g_01622	Syaj.g_00267
OG0000119	Prbm.g_01653	Syaj.g_00317
OG0000120	Prbm.g_00707	Syaj.g_02502
OG0000121	Prbm.g_01712	Syaj.g_01383
OG0000122	Prbm.g_01751	Syaj.g_01250
OG0000123	Prbm.g_02040	Syaj.g_02745
OG0000124	Prbm.g_02111	Syaj.g_02388
OG0000125	Prbm.g_02176	Syaj.g_02117
OG0000126	Prbm.g_02228	Syaj.g_02256
OG0000127	Prbm.g_01460	Syaj.g_00538
OG0000128	Prbm.g_00011	Syaj.g_02274
OG0000129	Prbm.g_00053	Syaj.g_02106
OG0000130	Prbm.g_00126	Syaj.g_01818
OG0000131	Prbm.g_00204	Syaj.g_01964
OG0000132	Prbm.g_00223	Syaj.g_01984, Syaj.g_00688
OG0000133	Prbm.g_00377	Syaj.g_00902
OG0000134	Prbm.g_00425	Syaj.g_02832
OG0000135	Prbm.g_01389	Syaj.g_02167
OG0000136	Prbm.g_00451	Syaj.g_01550
OG0000137	Prbm.g_00500	Syaj.g_01444
OG0000138	Prbm.g_00520	Syaj.g_00088
OG0000139	Prbm.g_00570	Syaj.g_00150
OG0000140	Prbm.g_00571	Syaj.g_00153
OG0000141	Prbm.g_00638	Syaj.g_01340
OG0000142	Prbm.g_00666	Syaj.g_01283
OG0000143	Prbm.g_00670	Syaj.g_01279
OG0000144	Prbm.g_00683	Syaj.g_01151
OG0000145	Prbm.g_01094	Syaj.g_00094
OG0000146	Prbm.g_00979	Syaj.g_00908
OG0000147	Prbm.g_00978	Syaj.g_00909
OG0000148	Prbm.g_00832	Syaj.g_01003
OG0000149	Prbm.g_00862	Syaj.g_00369
OG0000150	Prbm.g_00870	Syaj.g_01339, Syaj.g_00154
OG0000151	Prbm.g_00940	Syaj.g_01074
OG0000152	Prbm.g_00988	Syaj.g_00898
OG0000153	Prbm.g_01006	Syaj.g_00842
OG0000154	Prbm.g_01035	Syaj.g_00814
OG0000155	Prbm.g_01527	Syaj.g_00338
OG0000156	Prbm.g_01600	Syaj.g_00282
OG0000157	Prbm.g_01601	Syaj.g_00281
OG0000158	Prbm.g_02077	Syaj.g_02445
OG0000160	Prbm.g_01711	Syaj.g_01382
OG0000161	Prbm.g_01717	Syaj.g_01389
OG0000162	Prbm.g_01723	Syaj.g_01395
OG0000163	Prbm.g_01759	Syaj.g_01639
OG0000164	Prbm.g_01863	Syaj.g_01758
OG0000165	Prbm.g_01871	Syaj.g_01582
OG0000166	Prbm.g_01996	Syaj.g_02698
OG0000167	Prbm.g_02067	Syaj.g_02460
OG0000168	Prbm.g_02078	Syaj.g_02444
OG0000169	Prbm.g_02088	Syaj.g_02431, Syaj.g_02429
OG0000170	Prbm.g_02090	Syaj.g_02422
OG0000171	Prbm.g_02110	Syaj.g_02389
OG0000172	Prbm.g_02146	Syaj.g_02365
OG0000173	Prbm.g_02161	Syaj.g_02321
OG0000174	Prbm.g_02192	Syaj.g_02169
OG0000175	Prbm.g_02209	Syaj.g_02229
OG0000176	Prbm.g_00004	Syaj.g_02266
OG0000177	Prbm.g_00005	Syaj.g_02267
OG0000178	Prbm.g_00006	Syaj.g_02268
OG0000179	Prbm.g_00016	Syaj.g_02283
OG0000180	Prbm.g_00017	Syaj.g_02284
OG0000181	Prbm.g_00018	Syaj.g_02285
OG0000182	Prbm.g_00019	Syaj.g_02286
OG0000183	Prbm.g_00023	Syaj.g_02290
OG0000184	Prbm.g_00055	Syaj.g_02098
OG0000185	Prbm.g_00058	Syaj.g_02087
OG0000186	Prbm.g_00121	Syaj.g_01812
OG0000187	Prbm.g_00122	Syaj.g_01814
OG0000188	Prbm.g_00139	Syaj.g_01837
OG0000189	Prbm.g_00153	Syaj.g_01874
OG0000190	Prbm.g_00154	Syaj.g_01876
OG0000191	Prbm.g_00177	Syaj.g_01910
OG0000192	Prbm.g_00181	Syaj.g_01919
OG0000193	Prbm.g_00205	Syaj.g_01965
OG0000194	Prbm.g_00208	Syaj.g_01968
OG0000195	Prbm.g_00210	Syaj.g_01971
OG0000196	Prbm.g_00220	Syaj.g_01981
OG0000197	Prbm.g_00221	Syaj.g_01982
OG0000198	Prbm.g_00222	Syaj.g_01983
OG0000199	Prbm.g_00229	Syaj.g_01991
OG0000200	Prbm.g_00243	Syaj.g_02008
OG0000201	Prbm.g_00252	Syaj.g_02024
OG0000202	Prbm.g_00253	Syaj.g_02025
OG0000203	Prbm.g_00254	Syaj.g_02026
OG0000204	Prbm.g_00255	Syaj.g_02027
OG0000205	Prbm.g_00262	Syaj.g_02035
OG0000206	Prbm.g_00266	Syaj.g_02043
OG0000207	Prbm.g_00268	Syaj.g_02045
OG0000208	Prbm.g_00269	Syaj.g_02046
OG0000209	Prbm.g_00278	Syaj.g_02070
OG0000210	Prbm.g_00279	Syaj.g_02071
OG0000212	Prbm.g_00301	Syaj.g_02881
OG0000213	Prbm.g_00317	Syaj.g_02601
OG0000214	Prbm.g_00325	Syaj.g_02582
OG0000215	Prbm.g_00349	Syaj.g_02551
OG0000216	Prbm.g_00350	Syaj.g_02547
OG0000217	Prbm.g_00353	Syaj.g_02543
OG0000218	Prbm.g_00355	Syaj.g_02541
OG0000219	Prbm.g_00356	Syaj.g_02540
OG0000220	Prbm.g_00357	Syaj.g_02539
OG0000221	Prbm.g_00358	Syaj.g_02530
OG0000222	Prbm.g_00366	Syaj.g_02516
OG0000223	Prbm.g_00378	Syaj.g_02494
OG0000224	Prbm.g_00380	Syaj.g_02487
OG0000225	Prbm.g_00411	Syaj.g_02821
OG0000226	Prbm.g_00415	Syaj.g_02825
OG0000227	Prbm.g_00417	Syaj.g_02827
OG0000228	Prbm.g_00422	Syaj.g_02828
OG0000229	Prbm.g_00446	Syaj.g_01555
OG0000230	Prbm.g_00448	Syaj.g_01553
OG0000231	Prbm.g_00459	Syaj.g_01541
OG0000232	Prbm.g_00484	Syaj.g_01497
OG0000233	Prbm.g_00492	Syaj.g_01481
OG0000234	Prbm.g_00501	Syaj.g_01442
OG0000235	Prbm.g_00505	Syaj.g_00071
OG0000236	Prbm.g_00518	Syaj.g_00086
OG0000237	Prbm.g_00540	Syaj.g_00103
OG0000238	Prbm.g_00546	Syaj.g_00108
OG0000239	Prbm.g_00558	Syaj.g_00125
OG0000240	Prbm.g_00559	Syaj.g_00126
OG0000241	Prbm.g_00563	Syaj.g_01291
OG0000242	Prbm.g_00565	Syaj.g_00142
OG0000243	Prbm.g_00576	Syaj.g_00164
OG0000244	Prbm.g_00579	Syaj.g_00180
OG0000245	Prbm.g_00581	Syaj.g_00182
OG0000246	Prbm.g_00585	Syaj.g_00186
OG0000247	Prbm.g_00595	Syaj.g_00197
OG0000248	Prbm.g_00597	Syaj.g_00200
OG0000249	Prbm.g_00599	Syaj.g_00202
OG0000250	Prbm.g_00604	Syaj.g_00211
OG0000251	Prbm.g_00620	Syaj.g_00237
OG0000252	Prbm.g_00623	Syaj.g_00243
OG0000253	Prbm.g_00625	Syaj.g_00245
OG0000254	Prbm.g_00642	Syaj.g_01335
OG0000255	Prbm.g_00648	Syaj.g_01315
OG0000256	Prbm.g_00658	Syaj.g_01297
OG0000257	Prbm.g_00661	Syaj.g_01292
OG0000258	Prbm.g_00674	Syaj.g_01274
OG0000259	Prbm.g_00691	Syaj.g_00707
OG0000260	Prbm.g_00694	Syaj.g_00712
OG0000261	Prbm.g_00697	Syaj.g_00715
OG0000262	Prbm.g_00702	Syaj.g_00720
OG0000263	Prbm.g_00716	Syaj.g_00605
OG0000264	Prbm.g_00728	Syaj.g_00485
OG0000265	Prbm.g_00742	Syaj.g_00510
OG0000266	Prbm.g_00752	Syaj.g_00946
OG0000267	Prbm.g_00765	Syaj.g_00770
OG0000268	Prbm.g_00766	Syaj.g_00771
OG0000269	Prbm.g_00809	Syaj.g_01031
OG0000270	Prbm.g_00812	Syaj.g_01025
OG0000271	Prbm.g_00820	Syaj.g_01017
OG0000272	Prbm.g_00821	Syaj.g_01016
OG0000273	Prbm.g_00845	Syaj.g_00389
OG0000274	Prbm.g_00846	Syaj.g_00388
OG0000275	Prbm.g_00848	Syaj.g_00384
OG0000276	Prbm.g_00854	Syaj.g_00377
OG0000277	Prbm.g_00855	Syaj.g_00376
OG0000278	Prbm.g_00858	Syaj.g_00373
OG0000279	Prbm.g_00865	Syaj.g_00357
OG0000281	Prbm.g_00871	Syaj.g_02670
OG0000282	Prbm.g_00931	Syaj.g_00743
OG0000283	Prbm.g_00962	Syaj.g_00790
OG0000284	Prbm.g_00967	Syaj.g_00930
OG0000285	Prbm.g_00972	Syaj.g_00917
OG0000286	Prbm.g_00987	Syaj.g_00899
OG0000287	Prbm.g_00102	Syaj.g_00849
OG0000288	Prbm.g_01034	Syaj.g_00815
OG0000289	Prbm.g_01045	Syaj.g_00800
OG0000290	Prbm.g_01061	Syaj.g_00424
OG0000291	Prbm.g_01063	Syaj.g_00426
OG0000292	Prbm.g_01210	Syaj.g_02255
OG0000293	Prbm.g_01559	Syaj.g_00290
OG0000294	Prbm.g_01558	Syaj.g_00291
OG0000295	Prbm.g_01534	Syaj.g_00330
OG0000296	Prbm.g_01532	Syaj.g_00332
OG0000297	Prbm.g_01524	Syaj.g_00639
OG0000298	Prbm.g_01523	Syaj.g_00638
OG0000299	Prbm.g_01503	Syaj.g_00592
OG0000300	Prbm.g_01500	Syaj.g_00586
OG0000301	Prbm.g_01499	Syaj.g_00585
OG0000302	Prbm.g_01497	Syaj.g_00582
OG0000303	Prbm.g_01492	Syaj.g_00572
OG0000304	Prbm.g_01489	Syaj.g_00566
OG0000305	Prbm.g_01812	Syaj.g_00429
OG0000306	Prbm.g_00875	Syaj.g_01126
OG0000307	Prbm.g_01669	Syaj.g_00051
OG0000308	Prbm.g_01670	Syaj.g_00049
OG0000309	Prbm.g_01674	Syaj.g_00044
OG0000310	Prbm.g_01694	Syaj.g_01358
OG0000311	Prbm.g_01696	Syaj.g_01362
OG0000312	Prbm.g_01699	Syaj.g_01368
OG0000313	Prbm.g_01714	Syaj.g_01386
OG0000314	Prbm.g_01735	Syaj.g_01420
OG0000315	Prbm.g_01745	Syaj.g_01430
OG0000316	Prbm.g_01770	Syaj.g_01664
OG0000317	Prbm.g_01839	Syaj.g_01715
OG0000318	Prbm.g_01842	Syaj.g_01722
OG0000319	Prbm.g_01853	Syaj.g_01741
OG0000320	Prbm.g_01855	Syaj.g_01743
OG0000321	Prbm.g_01856	Syaj.g_01744
OG0000322	Prbm.g_01857	Syaj.g_01745
OG0000323	Prbm.g_01866	Syaj.g_01760
OG0000324	Prbm.g_01893	Syaj.g_01609
OG0000325	Prbm.g_01950	Syaj.g_02638
OG0000326	Prbm.g_01956	Syaj.g_02645
OG0000327	Prbm.g_01991	Syaj.g_02693
OG0000328	Prbm.g_01992	Syaj.g_02694
OG0000329	Prbm.g_02009	Syaj.g_02712
OG0000330	Prbm.g_02010	Syaj.g_02713
OG0000331	Prbm.g_02011	Syaj.g_02714
OG0000332	Prbm.g_02025	Syaj.g_02729
OG0000333	Prbm.g_02027	Syaj.g_02732
OG0000334	Prbm.g_02036	Syaj.g_02741
OG0000335	Prbm.g_02041	Syaj.g_02746
OG0000336	Prbm.g_02045	Syaj.g_02750
OG0000337	Prbm.g_02064	Syaj.g_02466
OG0000338	Prbm.g_02065	Syaj.g_02462
OG0000339	Prbm.g_02070	Syaj.g_02455
OG0000340	Prbm.g_02079	Syaj.g_02443
OG0000341	Prbm.g_02081	Syaj.g_02441
OG0000342	Prbm.g_02082	Syaj.g_02440
OG0000343	Prbm.g_02083	Syaj.g_02437
OG0000344	Prbm.g_02086	Syaj.g_02433
OG0000345	Prbm.g_02091	Syaj.g_02421
OG0000346	Prbm.g_02095	Syaj.g_02416
OG0000347	Prbm.g_02114	Syaj.g_02383
OG0000348	Prbm.g_02149	Syaj.g_02333
OG0000349	Prbm.g_02167	Syaj.g_02314
OG0000350	Prbm.g_02188	Syaj.g_02652
OG0000351	Prbm.g_02212	Syaj.g_02234
OG0000352	Prbm.g_02213	Syaj.g_02235
OG0000353	Prbm.g_02232	Syaj.g_02261
OG0000354	Prbm.g_01220	Syaj.g_02281
OG0000355	Prbm.g_00001	Syaj.g_02263
OG0000356	Prbm.g_00002	Syaj.g_02264
OG0000357	Prbm.g_00003	Syaj.g_02265
OG0000358	Prbm.g_00007	Syaj.g_02269
OG0000359	Prbm.g_00008	Syaj.g_02271
OG0000360	Prbm.g_00009	Syaj.g_02272
OG0000361	Prbm.g_00010	Syaj.g_02273
OG0000362	Prbm.g_00012	Syaj.g_02275
OG0000363	Prbm.g_00014	Syaj.g_02277
OG0000364	Prbm.g_00015	Syaj.g_02278
OG0000365	Prbm.g_00020	Syaj.g_02287
OG0000366	Prbm.g_00021	Syaj.g_02288
OG0000367	Prbm.g_00022	Syaj.g_02289
OG0000368	Prbm.g_00024	Syaj.g_02291
OG0000369	Prbm.g_00025	Syaj.g_02292
OG0000370	Prbm.g_00026	Syaj.g_02293
OG0000371	Prbm.g_00032	Syaj.g_02301
OG0000372	Prbm.g_00033	Syaj.g_02307
OG0000373	Prbm.g_00034	Syaj.g_02308
OG0000374	Prbm.g_00035	Syaj.g_02309
OG0000375	Prbm.g_00049	Syaj.g_02310
OG0000376	Prbm.g_00051	Syaj.g_02312
OG0000377	Prbm.g_00054	Syaj.g_02105
OG0000378	Prbm.g_00056	Syaj.g_02091
OG0000379	Prbm.g_00059	Syaj.g_02086
OG0000380	Prbm.g_00123	Syaj.g_01815
OG0000381	Prbm.g_00127	Syaj.g_01819
OG0000382	Prbm.g_00138	Syaj.g_01836
OG0000383	Prbm.g_00140	Syaj.g_01839
OG0000384	Prbm.g_00141	Syaj.g_01840
OG0000385	Prbm.g_00142	Syaj.g_01841
OG0000386	Prbm.g_00143	Syaj.g_01842
OG0000387	Prbm.g_00156	Syaj.g_01878
OG0000388	Prbm.g_00160	Syaj.g_01882
OG0000389	Prbm.g_00163	Syaj.g_01886
OG0000390	Prbm.g_00172	Syaj.g_01904
OG0000391	Prbm.g_00176	Syaj.g_01909
OG0000392	Prbm.g_00179	Syaj.g_01918
OG0000393	Prbm.g_00182	Syaj.g_01922
OG0000394	Prbm.g_00183	Syaj.g_01923
OG0000395	Prbm.g_00184	Syaj.g_01924
OG0000396	Prbm.g_00187	Syaj.g_01928
OG0000397	Prbm.g_00189	Syaj.g_01930
OG0000398	Prbm.g_00192	Syaj.g_01935
OG0000399	Prbm.g_00193	Syaj.g_01936
OG0000400	Prbm.g_00194	Syaj.g_01937
OG0000401	Prbm.g_00195	Syaj.g_01938
OG0000402	Prbm.g_01096	Syaj.g_01940
OG0000403	Prbm.g_00196	Syaj.g_01941
OG0000404	Prbm.g_00197	Syaj.g_01943
OG0000405	Prbm.g_00202	Syaj.g_01961
OG0000406	Prbm.g_00206	Syaj.g_01966
OG0000407	Prbm.g_00207	Syaj.g_01967
OG0000408	Prbm.g_00209	Syaj.g_01970
OG0000409	Prbm.g_00211	Syaj.g_01972
OG0000410	Prbm.g_00212	Syaj.g_01973
OG0000411	Prbm.g_00213	Syaj.g_01974
OG0000412	Prbm.g_00214	Syaj.g_01975
OG0000413	Prbm.g_00215	Syaj.g_01977
OG0000415	Prbm.g_00217	Syaj.g_01978
OG0000416	Prbm.g_00218	Syaj.g_01979
OG0000417	Prbm.g_00219	Syaj.g_01980
OG0000418	Prbm.g_00224	Syaj.g_01985
OG0000419	Prbm.g_00226	Syaj.g_01987
OG0000420	Prbm.g_00227	Syaj.g_01989
OG0000421	Prbm.g_00232	Syaj.g_01994
OG0000422	Prbm.g_00233	Syaj.g_01995
OG0000423	Prbm.g_00234	Syaj.g_01996
OG0000424	Prbm.g_00235	Syaj.g_01997
OG0000425	Prbm.g_00236	Syaj.g_01998
OG0000426	Prbm.g_00237	Syaj.g_01999
OG0000427	Prbm.g_00238	Syaj.g_02000
OG0000428	Prbm.g_00240	Syaj.g_02003
OG0000429	Prbm.g_00241	Syaj.g_02005
OG0000430	Prbm.g_00242	Syaj.g_02007
OG0000431	Prbm.g_00244	Syaj.g_02010
OG0000432	Prbm.g_00248	Syaj.g_02017
OG0000433	Prbm.g_00249	Syaj.g_02020
OG0000434	Prbm.g_00250	Syaj.g_02021
OG0000435	Prbm.g_00251	Syaj.g_02023
OG0000436	Prbm.g_00256	Syaj.g_02029
OG0000437	Prbm.g_00257	Syaj.g_02030
OG0000438	Prbm.g_00258	Syaj.g_02031
OG0000439	Prbm.g_00260	Syaj.g_02033
OG0000440	Prbm.g_00261	Syaj.g_02034
OG0000441	Prbm.g_00263	Syaj.g_02038
OG0000442	Prbm.g_00264	Syaj.g_02039
OG0000443	Prbm.g_00265	Syaj.g_02040
OG0000444	Prbm.g_00270	Syaj.g_02052
OG0000445	Prbm.g_00271	Syaj.g_02053
OG0000446	Prbm.g_00272	Syaj.g_02055
OG0000447	Prbm.g_00273	Syaj.g_02058
OG0000448	Prbm.g_00274	Syaj.g_02059
OG0000449	Prbm.g_00275	Syaj.g_02060
OG0000450	Prbm.g_00276	Syaj.g_02067
OG0000451	Prbm.g_00277	Syaj.g_02068
OG0000452	Prbm.g_00280	Syaj.g_02072
OG0000453	Prbm.g_00281	Syaj.g_02073
OG0000454	Prbm.g_00282	Syaj.g_02074
OG0000455	Prbm.g_00283	Syaj.g_02075
OG0000456	Prbm.g_00284	Syaj.g_02076
OG0000457	Prbm.g_00285	Syaj.g_02078
OG0000458	Prbm.g_00286	Syaj.g_02079
OG0000459	Prbm.g_00287	Syaj.g_02080
OG0000460	Prbm.g_00295	Syaj.g_02858
OG0000461	Prbm.g_00303	Syaj.g_02623
OG0000462	Prbm.g_00305	Syaj.g_02620
OG0000463	Prbm.g_00306	Syaj.g_02619
OG0000464	Prbm.g_00307	Syaj.g_02618
OG0000465	Prbm.g_00308	Syaj.g_02617
OG0000466	Prbm.g_00309	Syaj.g_02612
OG0000467	Prbm.g_00310	Syaj.g_02610
OG0000468	Prbm.g_00312	Syaj.g_02605
OG0000469	Prbm.g_00320	Syaj.g_02590
OG0000470	Prbm.g_00322	Syaj.g_02586
OG0000471	Prbm.g_00323	Syaj.g_02585
OG0000472	Prbm.g_00324	Syaj.g_02583
OG0000473	Prbm.g_00326	Syaj.g_02581
OG0000474	Prbm.g_00327	Syaj.g_02580
OG0000475	Prbm.g_00328	Syaj.g_02579
OG0000476	Prbm.g_00330	Syaj.g_02577
OG0000477	Prbm.g_00332	Syaj.g_02571
OG0000478	Prbm.g_00333	Syaj.g_02570
OG0000479	Prbm.g_00334	Syaj.g_02569
OG0000480	Prbm.g_00339	Syaj.g_02562
OG0000481	Prbm.g_00341	Syaj.g_02560
OG0000482	Prbm.g_00342	Syaj.g_02559
OG0000483	Prbm.g_00345	Syaj.g_02555
OG0000484	Prbm.g_00346	Syaj.g_02554
OG0000485	Prbm.g_00347	Syaj.g_02553
OG0000486	Prbm.g_00348	Syaj.g_02552
OG0000487	Prbm.g_00351	Syaj.g_02546
OG0000488	Prbm.g_00354	Syaj.g_02542
OG0000489	Prbm.g_00359	Syaj.g_02529
OG0000490	Prbm.g_00364	Syaj.g_02519
OG0000491	Prbm.g_00365	Syaj.g_02517
OG0000492	Prbm.g_00367	Syaj.g_02515
OG0000493	Prbm.g_00368	Syaj.g_02514
OG0000494	Prbm.g_00369	Syaj.g_02513
OG0000495	Prbm.g_00370	Syaj.g_02512
OG0000496	Prbm.g_00371	Syaj.g_02511
OG0000497	Prbm.g_00372	Syaj.g_02510
OG0000498	Prbm.g_00373	Syaj.g_02509
OG0000499	Prbm.g_00374	Syaj.g_02508
OG0000500	Prbm.g_00375	Syaj.g_02507
OG0000501	Prbm.g_00376	Syaj.g_02504
OG0000502	Prbm.g_00379	Syaj.g_02492
OG0000503	Prbm.g_00400	Syaj.g_02805
OG0000504	Prbm.g_00402	Syaj.g_02807
OG0000505	Prbm.g_00403	Syaj.g_02808
OG0000506	Prbm.g_00404	Syaj.g_02810
OG0000507	Prbm.g_00407	Syaj.g_02816
OG0000508	Prbm.g_00410	Syaj.g_02820
OG0000509	Prbm.g_00412	Syaj.g_02822
OG0000510	Prbm.g_00413	Syaj.g_02823
OG0000511	Prbm.g_00414	Syaj.g_02824
OG0000512	Prbm.g_00416	Syaj.g_02826
OG0000513	Prbm.g_00426	Syaj.g_02833
OG0000514	Prbm.g_00440	Syaj.g_02839
OG0000515	Prbm.g_00441	Syaj.g_02840
OG0000516	Prbm.g_00442	Syaj.g_01561
OG0000517	Prbm.g_00445	Syaj.g_01556
OG0000518	Prbm.g_00456	Syaj.g_01544
OG0000519	Prbm.g_00457	Syaj.g_01543
OG0000520	Prbm.g_00458	Syaj.g_01542
OG0000521	Prbm.g_00480	Syaj.g_00271
OG0000522	Prbm.g_00482	Syaj.g_00273
OG0000523	Prbm.g_00483	Syaj.g_00274
OG0000524	Prbm.g_00490	Syaj.g_01485
OG0000525	Prbm.g_00494	Syaj.g_01454
OG0000526	Prbm.g_00495	Syaj.g_01451
OG0000527	Prbm.g_00498	Syaj.g_01446
OG0000528	Prbm.g_00504	Syaj.g_00065
OG0000529	Prbm.g_00507	Syaj.g_00073
OG0000530	Prbm.g_00510	Syaj.g_00076
OG0000531	Prbm.g_00511	Syaj.g_00077
OG0000532	Prbm.g_00512	Syaj.g_00080
OG0000533	Prbm.g_00513	Syaj.g_00081
OG0000534	Prbm.g_00514	Syaj.g_00082
OG0000535	Prbm.g_00515	Syaj.g_00083
OG0000536	Prbm.g_00516	Syaj.g_00084
OG0000537	Prbm.g_00517	Syaj.g_00085
OG0000538	Prbm.g_00534	Syaj.g_00096
OG0000539	Prbm.g_00535	Syaj.g_00097
