Orthogroup	Prbm	Syar
OG0000255	Prbm.g_00648	Syar.g_02224, Syar.g_00011
OG0000256	Prbm.g_00658	Syar.g_02244
OG0000257	Prbm.g_00661	Syar.g_02407, Syar.g_01762
OG0000258	Prbm.g_00674	Syar.g_00010, Syar.g_02427
OG0000259	Prbm.g_00691	Syar.g_02472
OG0000260	Prbm.g_00694	Syar.g_03220, Syar.g_02475
OG0000261	Prbm.g_00697	Syar.g_01916
OG0000262	Prbm.g_00702	Syar.g_01690
OG0000263	Prbm.g_00716	Syar.g_01991
OG0000264	Prbm.g_00728	Syar.g_02135, Syar.g_03267
OG0000266	Prbm.g_00752	Syar.g_01570
OG0000267	Prbm.g_00765	Syar.g_01873
OG0000268	Prbm.g_00766	Syar.g_02589
OG0000269	Prbm.g_00809	Syar.g_02634
OG0000270	Prbm.g_00812	Syar.g_00744, Syar.g_02637
OG0000271	Prbm.g_00820	Syar.g_02645
OG0000272	Prbm.g_00821	Syar.g_02646
OG0000273	Prbm.g_00845	Syar.g_00008
OG0000274	Prbm.g_00846	Syar.g_02482, Syar.g_00009
OG0000275	Prbm.g_00848	Syar.g_01810
OG0000276	Prbm.g_00854	Syar.g_01817
OG0000277	Prbm.g_00855	Syar.g_03242, Syar.g_01818
OG0000278	Prbm.g_00858	Syar.g_01821, Syar.g_03174
OG0000279	Prbm.g_00865	Syar.g_01838
OG0000281	Prbm.g_00871	Syar.g_02218
OG0000282	Prbm.g_00931	Syar.g_03255, Syar.g_01614
OG0000283	Prbm.g_00962	Syar.g_02574
OG0000284	Prbm.g_00967	Syar.g_02568
OG0000285	Prbm.g_00972	Syar.g_02560
OG0000286	Prbm.g_00987	Syar.g_02540
OG0000287	Prbm.g_00102	Syar.g_02512
OG0000288	Prbm.g_01034	Syar.g_01801
OG0000289	Prbm.g_01045	Syar.g_01786
OG0000290	Prbm.g_01061	Syar.g_01928
OG0000291	Prbm.g_01063	Syar.g_01930
OG0000292	Prbm.g_01210	Syar.g_00463
OG0000293	Prbm.g_01559	Syar.g_01526, Syar.g_03297
OG0000294	Prbm.g_01558	Syar.g_01527, Syar.g_03296
OG0000295	Prbm.g_01534	Syar.g_01951, Syar.g_03208
OG0000296	Prbm.g_01532	Syar.g_01953
OG0000297	Prbm.g_01524	Syar.g_03216
OG0000298	Prbm.g_01523	Syar.g_03215
OG0000299	Prbm.g_01503	Syar.g_01704
OG0000300	Prbm.g_01500	Syar.g_01646
OG0000301	Prbm.g_01499	Syar.g_01712
OG0000302	Prbm.g_01497	Syar.g_01713
OG0000303	Prbm.g_01492	Syar.g_01723
OG0000304	Prbm.g_01489	Syar.g_01728
OG0000305	Prbm.g_01812	Syar.g_01933, Syar.g_03163
OG0000306	Prbm.g_00875	Syar.g_01884, Syar.g_03140
OG0000307	Prbm.g_01669	Syar.g_01452, Syar.g_03153
OG0000308	Prbm.g_01670	Syar.g_01450
OG0000309	Prbm.g_01674	Syar.g_01239
OG0000310	Prbm.g_01694	Syar.g_02826
OG0000311	Prbm.g_01696	Syar.g_02823
OG0000312	Prbm.g_01699	Syar.g_00015, Syar.g_02818
OG0000313	Prbm.g_01714	Syar.g_02804
OG0000314	Prbm.g_01735	Syar.g_01403
OG0000315	Prbm.g_01745	Syar.g_01393
OG0000316	Prbm.g_01770	Syar.g_02885
OG0000317	Prbm.g_01839	Syar.g_02926
OG0000318	Prbm.g_01842	Syar.g_02930
OG0000319	Prbm.g_01853	Syar.g_02954
OG0000320	Prbm.g_01855	Syar.g_02956
OG0000321	Prbm.g_01856	Syar.g_02957
OG0000322	Prbm.g_01857	Syar.g_02958
OG0000323	Prbm.g_01866	Syar.g_02973
OG0000324	Prbm.g_01893	Syar.g_00350, Syar.g_03001
OG0000325	Prbm.g_01950	Syar.g_03291, Syar.g_00148
OG0000326	Prbm.g_01956	Syar.g_00139, Syar.g_03134
OG0000327	Prbm.g_01991	Syar.g_01029
OG0000328	Prbm.g_01992	Syar.g_01030
OG0000329	Prbm.g_02009	Syar.g_03189, Syar.g_01048
OG0000330	Prbm.g_02010	Syar.g_01049
OG0000331	Prbm.g_02011	Syar.g_03191, Syar.g_01050
OG0000332	Prbm.g_02025	Syar.g_01064, Syar.g_03299
OG0000333	Prbm.g_02027	Syar.g_01067
OG0000334	Prbm.g_02036	Syar.g_01076
OG0000335	Prbm.g_02041	Syar.g_01080
OG0000336	Prbm.g_02045	Syar.g_01084
OG0000337	Prbm.g_02064	Syar.g_00285
OG0000338	Prbm.g_02065	Syar.g_03225, Syar.g_00287
OG0000339	Prbm.g_02070	Syar.g_00658
OG0000340	Prbm.g_02079	Syar.g_00247
OG0000341	Prbm.g_02081	Syar.g_00249
OG0000342	Prbm.g_02082	Syar.g_00250
OG0000343	Prbm.g_02083	Syar.g_00256
OG0000344	Prbm.g_02086	Syar.g_00260
OG0000345	Prbm.g_02091	Syar.g_00612
OG0000346	Prbm.g_02095	Syar.g_00607
OG0000347	Prbm.g_02114	Syar.g_00558
OG0000348	Prbm.g_02149	Syar.g_00544
OG0000349	Prbm.g_02167	Syar.g_00521
OG0000350	Prbm.g_02188	Syar.g_00132
OG0000351	Prbm.g_02212	Syar.g_00442
OG0000352	Prbm.g_02213	Syar.g_00443
OG0000353	Prbm.g_02232	Syar.g_00469
OG0000354	Prbm.g_01220	Syar.g_00487
OG0000355	Prbm.g_00001	Syar.g_00471
OG0000356	Prbm.g_00002	Syar.g_00472
OG0000357	Prbm.g_00003	Syar.g_00473
OG0000358	Prbm.g_00007	Syar.g_00477
OG0000359	Prbm.g_00008	Syar.g_00479
OG0000360	Prbm.g_00009	Syar.g_00480
OG0000361	Prbm.g_00010	Syar.g_00481
OG0000362	Prbm.g_00012	Syar.g_00483
OG0000363	Prbm.g_00014	Syar.g_00484
OG0000364	Prbm.g_00015	Syar.g_02928
OG0000365	Prbm.g_00020	Syar.g_00493
OG0000366	Prbm.g_00021	Syar.g_00494
OG0000367	Prbm.g_00022	Syar.g_03262, Syar.g_00495
OG0000368	Prbm.g_00024	Syar.g_00497
OG0000369	Prbm.g_00025	Syar.g_00498
OG0000370	Prbm.g_00026	Syar.g_00499
OG0000371	Prbm.g_00032	Syar.g_00508
OG0000372	Prbm.g_00033	Syar.g_00514
OG0000373	Prbm.g_00034	Syar.g_00515
OG0000374	Prbm.g_00035	Syar.g_00516
OG0000375	Prbm.g_00049	Syar.g_00517
OG0000376	Prbm.g_00051	Syar.g_00519
OG0000377	Prbm.g_00054	Syar.g_00322
OG0000378	Prbm.g_00056	Syar.g_00905
OG0000379	Prbm.g_00059	Syar.g_00910
OG0000380	Prbm.g_00123	Syar.g_03039
OG0000381	Prbm.g_00127	Syar.g_03041
OG0000382	Prbm.g_00138	Syar.g_03057
OG0000383	Prbm.g_00140	Syar.g_03074
OG0000384	Prbm.g_00141	Syar.g_03075
OG0000385	Prbm.g_00142	Syar.g_03076
OG0000386	Prbm.g_00143	Syar.g_03077
OG0000387	Prbm.g_00156	Syar.g_03109
OG0000388	Prbm.g_00160	Syar.g_03148, Syar.g_03113
OG0000389	Prbm.g_00163	Syar.g_03118
OG0000390	Prbm.g_00172	Syar.g_00033
OG0000391	Prbm.g_00176	Syar.g_00038
OG0000392	Prbm.g_00179	Syar.g_00045
OG0000393	Prbm.g_00182	Syar.g_00048
OG0000394	Prbm.g_00183	Syar.g_00049
OG0000395	Prbm.g_00184	Syar.g_00050
OG0000396	Prbm.g_00187	Syar.g_00053
OG0000397	Prbm.g_00189	Syar.g_00055
OG0000398	Prbm.g_00192	Syar.g_00060
OG0000399	Prbm.g_00193	Syar.g_00061
OG0000400	Prbm.g_00194	Syar.g_00062
OG0000401	Prbm.g_00195	Syar.g_00063
OG0000402	Prbm.g_01096	Syar.g_00065
OG0000403	Prbm.g_00196	Syar.g_00066
OG0000404	Prbm.g_00197	Syar.g_00067
OG0000405	Prbm.g_00202	Syar.g_00076
OG0000406	Prbm.g_00206	Syar.g_00080
OG0000407	Prbm.g_00207	Syar.g_00081
OG0000408	Prbm.g_00209	Syar.g_00083
OG0000409	Prbm.g_00211	Syar.g_00085
OG0000410	Prbm.g_00212	Syar.g_00086
OG0000411	Prbm.g_00213	Syar.g_00087
OG0000412	Prbm.g_00214	Syar.g_00088
OG0000413	Prbm.g_00215	Syar.g_00090
OG0000414	Prbm.g_00216	Syar.g_00091, Syar.g_03179
OG0000415	Prbm.g_00217	Syar.g_00092
OG0000416	Prbm.g_00218	Syar.g_00093
OG0000417	Prbm.g_00219	Syar.g_00095
OG0000418	Prbm.g_00224	Syar.g_00100
OG0000419	Prbm.g_00226	Syar.g_00102
OG0000420	Prbm.g_00227	Syar.g_00104
OG0000421	Prbm.g_00232	Syar.g_00109
OG0000422	Prbm.g_00233	Syar.g_00110
OG0000423	Prbm.g_00234	Syar.g_00111
OG0000424	Prbm.g_00235	Syar.g_00112
OG0000425	Prbm.g_00236	Syar.g_00113
OG0000426	Prbm.g_00237	Syar.g_00114
OG0000427	Prbm.g_00238	Syar.g_00115
OG0000428	Prbm.g_00240	Syar.g_00118
OG0000429	Prbm.g_00241	Syar.g_00121
OG0000430	Prbm.g_00242	Syar.g_00123
OG0000431	Prbm.g_00244	Syar.g_00127
OG0000432	Prbm.g_00248	Syar.g_01009
OG0000433	Prbm.g_00249	Syar.g_01007
OG0000434	Prbm.g_00250	Syar.g_01006
OG0000435	Prbm.g_00251	Syar.g_01003
OG0000436	Prbm.g_00256	Syar.g_00994
OG0000437	Prbm.g_00257	Syar.g_00993
OG0000438	Prbm.g_00258	Syar.g_00992
OG0000439	Prbm.g_00260	Syar.g_00990
OG0000440	Prbm.g_00261	Syar.g_00989
OG0000441	Prbm.g_00263	Syar.g_00986
OG0000442	Prbm.g_00264	Syar.g_00977
OG0000443	Prbm.g_00265	Syar.g_00964
OG0000444	Prbm.g_00270	Syar.g_00954
OG0000445	Prbm.g_00271	Syar.g_00953
OG0000446	Prbm.g_00272	Syar.g_00951
OG0000447	Prbm.g_00273	Syar.g_00948
OG0000448	Prbm.g_00274	Syar.g_00947
OG0000449	Prbm.g_00275	Syar.g_00946
OG0000450	Prbm.g_00276	Syar.g_00939
OG0000451	Prbm.g_00277	Syar.g_00938
OG0000452	Prbm.g_00280	Syar.g_00934
OG0000453	Prbm.g_00281	Syar.g_00933
OG0000454	Prbm.g_00282	Syar.g_00932
OG0000455	Prbm.g_00283	Syar.g_00931
OG0000456	Prbm.g_00284	Syar.g_00930
OG0000457	Prbm.g_00285	Syar.g_00928
OG0000458	Prbm.g_00286	Syar.g_00918
OG0000459	Prbm.g_00287	Syar.g_00917
OG0000460	Prbm.g_00295	Syar.g_03024
OG0000461	Prbm.g_00303	Syar.g_00153
OG0000462	Prbm.g_00305	Syar.g_00155
OG0000463	Prbm.g_00306	Syar.g_00156
OG0000464	Prbm.g_00307	Syar.g_00157
OG0000465	Prbm.g_00308	Syar.g_00159
OG0000466	Prbm.g_00309	Syar.g_00164
OG0000467	Prbm.g_00310	Syar.g_00165
OG0000468	Prbm.g_00312	Syar.g_00170
OG0000469	Prbm.g_00320	Syar.g_00203
OG0000470	Prbm.g_00322	Syar.g_00206
OG0000471	Prbm.g_00323	Syar.g_00207
OG0000472	Prbm.g_00324	Syar.g_00208
OG0000473	Prbm.g_00326	Syar.g_00210
OG0000474	Prbm.g_00327	Syar.g_00211
OG0000475	Prbm.g_00328	Syar.g_00212
OG0000476	Prbm.g_00330	Syar.g_00214
OG0000477	Prbm.g_00332	Syar.g_00219
OG0000478	Prbm.g_00333	Syar.g_00220
OG0000479	Prbm.g_00334	Syar.g_00221
OG0000480	Prbm.g_00339	Syar.g_00228
OG0000481	Prbm.g_00341	Syar.g_00230
OG0000482	Prbm.g_00342	Syar.g_00231
OG0000483	Prbm.g_00345	Syar.g_00235
OG0000484	Prbm.g_00346	Syar.g_00236
OG0000485	Prbm.g_00347	Syar.g_00237
OG0000486	Prbm.g_00348	Syar.g_00238, Syar.g_00024
OG0000487	Prbm.g_00351	Syar.g_00245
OG0000488	Prbm.g_00354	Syar.g_00853
OG0000489	Prbm.g_00359	Syar.g_00833
OG0000490	Prbm.g_00364	Syar.g_00823
OG0000491	Prbm.g_00365	Syar.g_00822
OG0000492	Prbm.g_00367	Syar.g_00727
OG0000493	Prbm.g_00368	Syar.g_00726
OG0000494	Prbm.g_00369	Syar.g_00725
OG0000495	Prbm.g_00370	Syar.g_00724
OG0000496	Prbm.g_00371	Syar.g_00723
OG0000497	Prbm.g_00372	Syar.g_00722
OG0000498	Prbm.g_00373	Syar.g_00721
OG0000499	Prbm.g_00374	Syar.g_00720
OG0000500	Prbm.g_00375	Syar.g_00719
OG0000501	Prbm.g_00376	Syar.g_00716
OG0000502	Prbm.g_00379	Syar.g_00275
OG0000503	Prbm.g_00400	Syar.g_01118
OG0000504	Prbm.g_00402	Syar.g_01120
OG0000505	Prbm.g_00403	Syar.g_01121
OG0000506	Prbm.g_00404	Syar.g_01123
OG0000507	Prbm.g_00407	Syar.g_01129
OG0000508	Prbm.g_00410	Syar.g_01141
OG0000509	Prbm.g_00412	Syar.g_01143
OG0000510	Prbm.g_00413	Syar.g_01144
OG0000511	Prbm.g_00414	Syar.g_01145
OG0000512	Prbm.g_00416	Syar.g_01147
OG0000513	Prbm.g_00426	Syar.g_01166
OG0000514	Prbm.g_00440	Syar.g_01169
OG0000515	Prbm.g_00441	Syar.g_01170
OG0000516	Prbm.g_00442	Syar.g_01172
OG0000517	Prbm.g_00445	Syar.g_01176
OG0000518	Prbm.g_00456	Syar.g_02868
OG0000519	Prbm.g_00457	Syar.g_02867
OG0000520	Prbm.g_00458	Syar.g_02866
OG0000521	Prbm.g_00480	Syar.g_01419
OG0000522	Prbm.g_00482	Syar.g_01421
OG0000523	Prbm.g_00483	Syar.g_01422
OG0000524	Prbm.g_00490	Syar.g_01244
OG0000525	Prbm.g_00494	Syar.g_01263
OG0000526	Prbm.g_00495	Syar.g_01266
OG0000527	Prbm.g_00498	Syar.g_01271
OG0000528	Prbm.g_00504	Syar.g_01466
OG0000529	Prbm.g_00507	Syar.g_01470
OG0000530	Prbm.g_00510	Syar.g_01473
OG0000531	Prbm.g_00511	Syar.g_01474
OG0000532	Prbm.g_00512	Syar.g_01477
OG0000533	Prbm.g_00513	Syar.g_01479
OG0000534	Prbm.g_00514	Syar.g_01480
OG0000535	Prbm.g_00515	Syar.g_01481
OG0000536	Prbm.g_00516	Syar.g_01482
OG0000537	Prbm.g_00517	Syar.g_01483
OG0000538	Prbm.g_00534	Syar.g_01496
OG0000539	Prbm.g_00535	Syar.g_01497
OG0000540	Prbm.g_00536	Syar.g_01498
OG0000541	Prbm.g_00537	Syar.g_01499
OG0000542	Prbm.g_00539	Syar.g_01502
OG0000543	Prbm.g_00541	Syar.g_01504
OG0000544	Prbm.g_00542	Syar.g_01505
OG0000545	Prbm.g_00544	Syar.g_01507
OG0000546	Prbm.g_00547	Syar.g_01509
OG0000547	Prbm.g_00549	Syar.g_01511
OG0000548	Prbm.g_00550	Syar.g_01512
OG0000549	Prbm.g_00553	Syar.g_02693
