Orthogroup	Syag	Prbc
OG0000034	Syag.g_01225, Syag.g_01947	Prbc.g_00575
OG0000035	Syag.g_01420, Syag.g_01421	Prbc.g_00709
OG0000037	Syag.g_00173	Prbc.g_00464
OG0000038	Syag.g_02130, Syag.g_02132	Prbc.g_00995
OG0000039	Syag.g_01325, Syag.g_02155	Prbc.g_01768
OG0000041	Syag.g_01750, Syag.g_00962	Prbc.g_00877
OG0000042	Syag.g_01094, Syag.g_02378	Prbc.g_00203
OG0000043	Syag.g_00564	Prbc.g_00135, Prbc.g_01953
OG0000044	Syag.g_00945	Prbc.g_00533
OG0000046	Syag.g_02812, Syag.g_02819, Syag.g_02805	Prbc.g_01220
OG0000047	Syag.g_00768	Prbc.g_01227, Prbc.g_01273
OG0000048	Syag.g_02611	Prbc.g_01165
OG0000052	Syag.g_02451	Prbc.g_00518, Prbc.g_00517
OG0000053	Syag.g_01391	Prbc.g_00728
OG0000054	Syag.g_00350	Prbc.g_01683
OG0000055	Syag.g_01799	Prbc.g_00907
OG0000057	Syag.g_00985	Prbc.g_00055, Prbc.g_01780
OG0000058	Syag.g_02477	Prbc.g_01928
OG0000059	Syag.g_02721	Prbc.g_00958
OG0000061	Syag.g_01141	Prbc.g_01446
OG0000062	Syag.g_01669	Prbc.g_00790
OG0000063	Syag.g_02313	Prbc.g_00932
OG0000065	Syag.g_01885, Syag.g_00182	Prbc.g_00466
OG0000066	Syag.g_01443	Prbc.g_01618
OG0000067	Syag.g_00667	Prbc.g_01858
OG0000068	Syag.g_01537	Prbc.g_00657
OG0000070	Syag.g_00049	Prbc.g_01511
OG0000071	Syag.g_01192	Prbc.g_00566
OG0000072	Syag.g_01980, Syag.g_02859	Prbc.g_00400
OG0000073	Syag.g_01505	Prbc.g_01579
OG0000075	Syag.g_02434	Prbc.g_00236
OG0000076	Syag.g_02393	Prbc.g_00211
OG0000077	Syag.g_01831	Prbc.g_00495
OG0000078	Syag.g_01778	Prbc.g_00330
OG0000079	Syag.g_02659, Syag.g_02652	Prbc.g_01148
OG0000080	Syag.g_00124, Syag.g_02500	Prbc.g_00679
OG0000081	Syag.g_00167	Prbc.g_01610
OG0000082	Syag.g_00318	Prbc.g_00891
OG0000084	Syag.g_00212, Syag.g_01425	Prbc.g_00705
OG0000085	Syag.g_01676	Prbc.g_00826
OG0000086	Syag.g_01853	Prbc.g_00485
OG0000087	Syag.g_01939	Prbc.g_00432
OG0000088	Syag.g_01974	Prbc.g_00405
OG0000089	Syag.g_00005	Prbc.g_01268
OG0000090	Syag.g_01454	Prbc.g_01612
OG0000091	Syag.g_00418	Prbc.g_01719
OG0000092	Syag.g_00242	Prbc.g_01982
OG0000093	Syag.g_00649	Prbc.g_01843
OG0000094	Syag.g_00881	Prbc.g_01935
OG0000095	Syag.g_00974	Prbc.g_02113
OG0000097	Syag.g_01065	Prbc.g_01400
OG0000098	Syag.g_00578, Syag.g_01445	Prbc.g_00585
OG0000099	Syag.g_02536	Prbc.g_01229
OG0000100	Syag.g_00704	Prbc.g_00785
OG0000101	Syag.g_02773	Prbc.g_00284
OG0000102	Syag.g_02387	Prbc.g_00206
OG0000103	Syag.g_02253	Prbc.g_01053
OG0000104	Syag.g_02268	Prbc.g_01065
OG0000105	Syag.g_02606	Prbc.g_01167
OG0000106	Syag.g_00462	Prbc.g_00134, Prbc.g_00641
OG0000107	Syag.g_02689	Prbc.g_00934
OG0000108	Syag.g_01528	Prbc.g_01540
OG0000109	Syag.g_01512	Prbc.g_01553
OG0000110	Syag.g_00303	Prbc.g_01654
OG0000111	Syag.g_00984	Prbc.g_01781
OG0000112	Syag.g_00801	Prbc.g_02028
OG0000113	Syag.g_00699	Prbc.g_01882, Prbc.g_00153
OG0000114	Syag.g_00609	Prbc.g_01977
OG0000115	Syag.g_01397	Prbc.g_00801
OG0000116	Syag.g_01156	Prbc.g_01457
OG0000117	Syag.g_01097	Prbc.g_00102
OG0000118	Syag.g_01232	Prbc.g_00577
OG0000120	Syag.g_02535	Prbc.g_01753
OG0000121	Syag.g_01414	Prbc.g_00711
OG0000122	Syag.g_00446	Prbc.g_00750
OG0000123	Syag.g_02781	Prbc.g_00277
OG0000124	Syag.g_02367, Syag.g_02485	Prbc.g_00193
OG0000125	Syag.g_02136, Syag.g_02134	Prbc.g_00997
OG0000126	Syag.g_02266	Prbc.g_01063
OG0000128	Syag.g_02284	Prbc.g_01081
OG0000129	Syag.g_02121	Prbc.g_01122
OG0000130	Syag.g_01819	Prbc.g_00504
OG0000131	Syag.g_01951	Prbc.g_00426
OG0000132	Syag.g_01972	Prbc.g_00407
OG0000133	Syag.g_00806	Prbc.g_01214
OG0000134	Syag.g_00008	Prbc.g_01270
OG0000135	Syag.g_02171	Prbc.g_02198, Prbc.g_02183
OG0000136	Syag.g_00038	Prbc.g_01502
OG0000137	Syag.g_01356	Prbc.g_01534
OG0000138	Syag.g_01511	Prbc.g_01554
OG0000139	Syag.g_01448	Prbc.g_01616
OG0000140	Syag.g_01446	Prbc.g_01617
OG0000141	Syag.g_00351	Prbc.g_01684
OG0000142	Syag.g_00410	Prbc.g_01712
OG0000143	Syag.g_00414	Prbc.g_01716
OG0000144	Syag.g_00493	Prbc.g_01729
OG0000145	Syag.g_01504	Prbc.g_02142
OG0000146	Syag.g_00800	Prbc.g_02027
OG0000147	Syag.g_00799	Prbc.g_02026
OG0000148	Syag.g_00693	Prbc.g_01876
OG0000149	Syag.g_00731	Prbc.g_01908
OG0000150	Syag.g_00352	Prbc.g_01916
OG0000151	Syag.g_00623	Prbc.g_01988
OG0000152	Syag.g_00810	Prbc.g_02036
OG0000153	Syag.g_00845	Prbc.g_02054
OG0000154	Syag.g_00870	Prbc.g_02083
OG0000155	Syag.g_01107	Prbc.g_01424
OG0000156	Syag.g_01166	Prbc.g_00555
OG0000157	Syag.g_01167	Prbc.g_00556
OG0000158	Syag.g_02422	Prbc.g_00228
OG0000160	Syag.g_01415	Prbc.g_00710
OG0000161	Syag.g_01409	Prbc.g_00716
OG0000162	Syag.g_01402	Prbc.g_00722
OG0000163	Syag.g_00706, Syag.g_01618	Prbc.g_00758
OG0000164	Syag.g_01725	Prbc.g_00854
OG0000165	Syag.g_01733	Prbc.g_00862
OG0000166	Syag.g_02733	Prbc.g_00321
OG0000167	Syag.g_02437	Prbc.g_00238
OG0000168	Syag.g_02417	Prbc.g_00227
OG0000169	Syag.g_02405	Prbc.g_00217
OG0000170	Syag.g_02398	Prbc.g_00215
OG0000171	Syag.g_02368	Prbc.g_00194
OG0000172	Syag.g_02360	Prbc.g_00967
OG0000173	Syag.g_02337	Prbc.g_00982
OG0000174	Syag.g_02175	Prbc.g_01013
OG0000175	Syag.g_02240	Prbc.g_01044
OG0000176	Syag.g_02276	Prbc.g_01074
OG0000177	Syag.g_02277	Prbc.g_01075
OG0000178	Syag.g_02278	Prbc.g_01076
OG0000179	Syag.g_02293	Prbc.g_01086
OG0000180	Syag.g_02294	Prbc.g_01087
OG0000181	Syag.g_02295	Prbc.g_01088
OG0000182	Syag.g_02296	Prbc.g_01089
OG0000183	Syag.g_02300	Prbc.g_01093
OG0000184	Syag.g_02110	Prbc.g_01124
OG0000185	Syag.g_02092	Prbc.g_01127
OG0000186	Syag.g_01815	Prbc.g_00509
OG0000187	Syag.g_01816	Prbc.g_00508
OG0000188	Syag.g_01839	Prbc.g_00491
OG0000189	Syag.g_01872	Prbc.g_00477
OG0000190	Syag.g_01874	Prbc.g_00476
OG0000191	Syag.g_01909	Prbc.g_00453
OG0000192	Syag.g_01915	Prbc.g_00449
OG0000193	Syag.g_01952	Prbc.g_00425
OG0000194	Syag.g_01955	Prbc.g_00422
OG0000195	Syag.g_01957	Prbc.g_00420
OG0000196	Syag.g_01968	Prbc.g_00410
OG0000197	Syag.g_01969	Prbc.g_00409
OG0000198	Syag.g_00108, Syag.g_01971	Prbc.g_00408
OG0000199	Syag.g_01979	Prbc.g_00401
OG0000200	Syag.g_01996	Prbc.g_00388
OG0000201	Syag.g_02019, Syag.g_02023	Prbc.g_00379
OG0000202	Syag.g_02024	Prbc.g_00378
OG0000203	Syag.g_02025	Prbc.g_00377
OG0000204	Syag.g_02020, Syag.g_02026	Prbc.g_00376
OG0000205	Syag.g_02035	Prbc.g_00369
OG0000206	Syag.g_02047	Prbc.g_00365
OG0000207	Syag.g_02051	Prbc.g_00363
OG0000208	Syag.g_02052	Prbc.g_00362
OG0000209	Syag.g_02069	Prbc.g_00352
OG0000210	Syag.g_02070	Prbc.g_00351
OG0000211	Syag.g_01788	Prbc.g_00337
OG0000212	Syag.g_01777	Prbc.g_00329
OG0000213	Syag.g_02632	Prbc.g_01153
OG0000214	Syag.g_02615	Prbc.g_01161
OG0000215	Syag.g_02584	Prbc.g_01185
OG0000216	Syag.g_02580	Prbc.g_01186
OG0000217	Syag.g_02576	Prbc.g_01189
OG0000218	Syag.g_02574	Prbc.g_01191
OG0000219	Syag.g_02573	Prbc.g_01192
OG0000220	Syag.g_02572	Prbc.g_01193
OG0000221	Syag.g_02566	Prbc.g_01194
OG0000222	Syag.g_02550	Prbc.g_01202
OG0000223	Syag.g_02475	Prbc.g_01215
OG0000224	Syag.g_02471	Prbc.g_01217
OG0000225	Syag.g_02861	Prbc.g_01257
OG0000226	Syag.g_02865	Prbc.g_01261
OG0000227	Syag.g_02867	Prbc.g_01263
OG0000228	Syag.g_00004	Prbc.g_01267
OG0000229	Syag.g_00033	Prbc.g_01497
OG0000230	Syag.g_00035	Prbc.g_01499
OG0000231	Syag.g_00048	Prbc.g_01510
OG0000232	Syag.g_00059	Prbc.g_01518
OG0000233	Syag.g_01330	Prbc.g_01526
OG0000234	Syag.g_01358	Prbc.g_01535
OG0000235	Syag.g_01529	Prbc.g_01539
OG0000236	Syag.g_01513	Prbc.g_01552
OG0000237	Syag.g_01495	Prbc.g_01586
OG0000238	Syag.g_01490	Prbc.g_01592
OG0000239	Syag.g_01472	Prbc.g_01604
OG0000240	Syag.g_01471	Prbc.g_01605
OG0000241	Syag.g_00396	Prbc.g_01609
OG0000242	Syag.g_01456	Prbc.g_01611
OG0000243	Syag.g_00255	Prbc.g_01622
OG0000244	Syag.g_00268	Prbc.g_01626
OG0000245	Syag.g_00270	Prbc.g_01628
OG0000246	Syag.g_00274	Prbc.g_01632
OG0000247	Syag.g_00286	Prbc.g_01642
OG0000248	Syag.g_00289	Prbc.g_01644
OG0000249	Syag.g_00291	Prbc.g_01646
OG0000250	Syag.g_00299	Prbc.g_01651
OG0000251	Syag.g_00328	Prbc.g_01667
OG0000252	Syag.g_00331	Prbc.g_01669
OG0000253	Syag.g_00333	Prbc.g_01671
OG0000254	Syag.g_00356	Prbc.g_01688
OG0000255	Syag.g_00369	Prbc.g_01694
OG0000256	Syag.g_00385	Prbc.g_01704
OG0000257	Syag.g_00395	Prbc.g_01707
OG0000258	Syag.g_00423	Prbc.g_01720
OG0000259	Syag.g_00560	Prbc.g_01737
OG0000260	Syag.g_00570	Prbc.g_01740
OG0000261	Syag.g_00581	Prbc.g_01743
OG0000262	Syag.g_00586	Prbc.g_01748
OG0000263	Syag.g_01079	Prbc.g_01762
OG0000264	Syag.g_01011	Prbc.g_01773
OG0000265	Syag.g_01021	Prbc.g_01787
OG0000266	Syag.g_00907	Prbc.g_01797
OG0000267	Syag.g_00762	Prbc.g_01810
OG0000268	Syag.g_00763	Prbc.g_01811
OG0000269	Syag.g_00662	Prbc.g_01853
OG0000270	Syag.g_00665	Prbc.g_01856
OG0000271	Syag.g_00673	Prbc.g_01864
OG0000273	Syag.g_00713	Prbc.g_01890
OG0000274	Syag.g_00714	Prbc.g_01891
OG0000275	Syag.g_00717	Prbc.g_01893
OG0000276	Syag.g_00723	Prbc.g_01899
OG0000277	Syag.g_00724	Prbc.g_01900
OG0000278	Syag.g_00727	Prbc.g_01904
OG0000279	Syag.g_00735	Prbc.g_01911
OG0000280	Syag.g_00741	Prbc.g_00068
OG0000281	Syag.g_00572	Prbc.g_01917
OG0000282	Syag.g_00611	Prbc.g_01979
OG0000283	Syag.g_00775	Prbc.g_02010
OG0000284	Syag.g_00780	Prbc.g_02015
OG0000285	Syag.g_00791	Prbc.g_02020
OG0000286	Syag.g_00809	Prbc.g_02035
OG0000287	Syag.g_00838	Prbc.g_02190
OG0000288	Syag.g_00869	Prbc.g_02082
OG0000289	Syag.g_00884	Prbc.g_02094
OG0000290	Syag.g_00970	Prbc.g_02110
OG0000291	Syag.g_00972	Prbc.g_02112
OG0000292	Syag.g_02265	Prbc.g_00173
OG0000293	Syag.g_01155	Prbc.g_01456
OG0000294	Syag.g_01154	Prbc.g_01455
OG0000295	Syag.g_01115	Prbc.g_01431
OG0000296	Syag.g_01113	Prbc.g_01429
OG0000297	Syag.g_01099	Prbc.g_01421
OG0000298	Syag.g_01098	Prbc.g_01420
OG0000299	Syag.g_01067	Prbc.g_01401
OG0000300	Syag.g_01062	Prbc.g_01398
OG0000301	Syag.g_01061	Prbc.g_01397
OG0000302	Syag.g_01060	Prbc.g_01395
OG0000303	Syag.g_01048	Prbc.g_01390
OG0000304	Syag.g_01041	Prbc.g_01387
OG0000305	Syag.g_00977	Prbc.g_00810
OG0000306	Syag.g_00460	Prbc.g_01921
OG0000307	Syag.g_01546	Prbc.g_00666
OG0000308	Syag.g_01548	Prbc.g_00667
OG0000309	Syag.g_01553	Prbc.g_00671
OG0000310	Syag.g_01291	Prbc.g_00693
OG0000311	Syag.g_01300	Prbc.g_00695
OG0000312	Syag.g_01434	Prbc.g_00698
OG0000313	Syag.g_00966, Syag.g_01412	Prbc.g_00713
OG0000314	Syag.g_01380	Prbc.g_00734
OG0000315	Syag.g_01369	Prbc.g_00744
OG0000316	Syag.g_01641	Prbc.g_00768
OG0000317	Syag.g_01684	Prbc.g_00830
OG0000318	Syag.g_01688	Prbc.g_00833
OG0000319	Syag.g_01710	Prbc.g_00844
OG0000320	Syag.g_01712	Prbc.g_00846
OG0000321	Syag.g_01713	Prbc.g_00847
OG0000322	Syag.g_01714	Prbc.g_00848
OG0000323	Syag.g_01728	Prbc.g_00857
OG0000324	Syag.g_01757	Prbc.g_00884
OG0000325	Syag.g_02690	Prbc.g_00935
OG0000326	Syag.g_02698	Prbc.g_00941
OG0000327	Syag.g_02728	Prbc.g_00326
OG0000328	Syag.g_02729	Prbc.g_00325
OG0000329	Syag.g_02747	Prbc.g_00308
OG0000330	Syag.g_02748	Prbc.g_00307
OG0000331	Syag.g_02749	Prbc.g_00306
OG0000332	Syag.g_02764	Prbc.g_00292
OG0000333	Syag.g_02767	Prbc.g_00290
OG0000334	Syag.g_02777	Prbc.g_00281
OG0000335	Syag.g_02782	Prbc.g_00276
OG0000336	Syag.g_02786	Prbc.g_00272
OG0000337	Syag.g_02445	Prbc.g_00241
OG0000338	Syag.g_02440	Prbc.g_00240
OG0000340	Syag.g_02416	Prbc.g_00226
OG0000341	Syag.g_02414	Prbc.g_00224
OG0000342	Syag.g_02413	Prbc.g_00223
OG0000343	Syag.g_02411	Prbc.g_00222
OG0000344	Syag.g_02407	Prbc.g_00219
OG0000345	Syag.g_02397	Prbc.g_00214
OG0000346	Syag.g_02392	Prbc.g_00210
OG0000347	Syag.g_02366	Prbc.g_00190
OG0000348	Syag.g_02357	Prbc.g_00970
OG0000349	Syag.g_02330	Prbc.g_00988
OG0000350	Syag.g_02705	Prbc.g_01009
OG0000351	Syag.g_02244	Prbc.g_01047
OG0000352	Syag.g_02245	Prbc.g_01048
OG0000353	Syag.g_02271	Prbc.g_01068
OG0000355	Syag.g_02273	Prbc.g_01071
OG0000356	Syag.g_02274	Prbc.g_01072
OG0000357	Syag.g_02275	Prbc.g_01073
OG0000358	Syag.g_02279	Prbc.g_01077
OG0000359	Syag.g_02281	Prbc.g_01078
OG0000360	Syag.g_02282	Prbc.g_01079
OG0000361	Syag.g_02283	Prbc.g_01080
OG0000362	Syag.g_02285	Prbc.g_01082
OG0000363	Syag.g_02287	Prbc.g_01084
OG0000364	Syag.g_02288	Prbc.g_01085
OG0000365	Syag.g_02297	Prbc.g_01090
OG0000366	Syag.g_02298	Prbc.g_01091
OG0000367	Syag.g_02299	Prbc.g_01092
OG0000368	Syag.g_02301	Prbc.g_01094
OG0000369	Syag.g_02302	Prbc.g_01095
OG0000370	Syag.g_02303	Prbc.g_01096
OG0000371	Syag.g_02312	Prbc.g_01102
OG0000372	Syag.g_02317	Prbc.g_01104
OG0000373	Syag.g_02318	Prbc.g_01105
OG0000374	Syag.g_02319	Prbc.g_01106
OG0000375	Syag.g_02326	Prbc.g_01118
OG0000376	Syag.g_02328	Prbc.g_01120
OG0000377	Syag.g_02119	Prbc.g_01123
OG0000378	Syag.g_02099	Prbc.g_01125
OG0000379	Syag.g_02091	Prbc.g_01128
OG0000380	Syag.g_01817	Prbc.g_00507
OG0000381	Syag.g_01820	Prbc.g_00503
OG0000382	Syag.g_01838	Prbc.g_00492
OG0000383	Syag.g_01843	Prbc.g_00490
OG0000384	Syag.g_01844	Prbc.g_00489
OG0000385	Syag.g_01845	Prbc.g_00488
OG0000386	Syag.g_01846	Prbc.g_00487
OG0000387	Syag.g_01876	Prbc.g_00474
OG0000388	Syag.g_01880	Prbc.g_00470
OG0000389	Syag.g_01884	Prbc.g_00467
OG0000390	Syag.g_01903	Prbc.g_00458
OG0000391	Syag.g_01908	Prbc.g_00454
OG0000392	Syag.g_01914	Prbc.g_00451
OG0000393	Syag.g_01917	Prbc.g_00448
OG0000394	Syag.g_01918	Prbc.g_00447
OG0000395	Syag.g_01919	Prbc.g_00446
OG0000396	Syag.g_01922	Prbc.g_00443
OG0000397	Syag.g_01924	Prbc.g_00441
OG0000398	Syag.g_01929	Prbc.g_00438
OG0000399	Syag.g_01930	Prbc.g_00437
OG0000400	Syag.g_01931	Prbc.g_00436
OG0000401	Syag.g_01932	Prbc.g_00435
OG0000402	Syag.g_01934	Prbc.g_02145
OG0000403	Syag.g_01935	Prbc.g_00434
OG0000404	Syag.g_01937	Prbc.g_00433
OG0000405	Syag.g_01949	Prbc.g_00428
OG0000406	Syag.g_01953	Prbc.g_00424
OG0000407	Syag.g_01954	Prbc.g_00423
OG0000408	Syag.g_01956	Prbc.g_00421
OG0000409	Syag.g_01958	Prbc.g_00419
OG0000410	Syag.g_01959	Prbc.g_00418
OG0000411	Syag.g_01960	Prbc.g_00417
OG0000412	Syag.g_01961	Prbc.g_00416
OG0000413	Syag.g_01963	Prbc.g_00415
OG0000414	Syag.g_01964	Prbc.g_00414
OG0000415	Syag.g_01965	Prbc.g_00413
OG0000416	Syag.g_01966	Prbc.g_00412
OG0000417	Syag.g_01967	Prbc.g_00411
OG0000418	Syag.g_01973	Prbc.g_00406
OG0000419	Syag.g_01975	Prbc.g_00404
OG0000420	Syag.g_01977	Prbc.g_00403
OG0000421	Syag.g_01982	Prbc.g_00399
OG0000422	Syag.g_01983	Prbc.g_00398
OG0000423	Syag.g_01984	Prbc.g_00397
OG0000424	Syag.g_01985	Prbc.g_00396
OG0000425	Syag.g_01986	Prbc.g_00395
OG0000426	Syag.g_01987	Prbc.g_00394
OG0000427	Syag.g_01988	Prbc.g_00393
OG0000428	Syag.g_01991	Prbc.g_00391
OG0000429	Syag.g_01993	Prbc.g_00390
OG0000430	Syag.g_01995	Prbc.g_00389
OG0000431	Syag.g_01998	Prbc.g_00387
OG0000432	Syag.g_02007	Prbc.g_00383
OG0000433	Syag.g_02009	Prbc.g_00382
OG0000434	Syag.g_02010	Prbc.g_00381
OG0000435	Syag.g_02017	Prbc.g_00380
OG0000436	Syag.g_02028	Prbc.g_00375
OG0000437	Syag.g_02029	Prbc.g_00374
OG0000438	Syag.g_02031	Prbc.g_00373
OG0000439	Syag.g_02033	Prbc.g_00371
OG0000440	Syag.g_02034	Prbc.g_00370
OG0000441	Syag.g_02041	Prbc.g_00368
OG0000442	Syag.g_02044	Prbc.g_00367
OG0000443	Syag.g_02046	Prbc.g_00366
OG0000444	Syag.g_02053	Prbc.g_00361
OG0000445	Syag.g_02054	Prbc.g_00360
OG0000446	Syag.g_02056	Prbc.g_00358
OG0000447	Syag.g_02059	Prbc.g_00357
OG0000448	Syag.g_02060	Prbc.g_00356
OG0000449	Syag.g_02061	Prbc.g_00355
OG0000450	Syag.g_02066	Prbc.g_00354
OG0000451	Syag.g_02067	Prbc.g_00353
OG0000452	Syag.g_02071	Prbc.g_00350
OG0000453	Syag.g_02072	Prbc.g_00349
OG0000454	Syag.g_02073	Prbc.g_00348
OG0000455	Syag.g_02074	Prbc.g_00347
OG0000456	Syag.g_02075	Prbc.g_00346
OG0000457	Syag.g_02077	Prbc.g_00345
OG0000458	Syag.g_02080	Prbc.g_00344
OG0000459	Syag.g_02081	Prbc.g_00343
OG0000460	Syag.g_01786	Prbc.g_00335
OG0000461	Syag.g_02675	Prbc.g_01140
OG0000462	Syag.g_02672	Prbc.g_01142
OG0000463	Syag.g_02671	Prbc.g_01143
OG0000464	Syag.g_02670	Prbc.g_01144
OG0000465	Syag.g_02668	Prbc.g_01145
OG0000466	Syag.g_02662	Prbc.g_01146
OG0000467	Syag.g_02660	Prbc.g_01147
OG0000468	Syag.g_02636	Prbc.g_01149
OG0000469	Syag.g_02621	Prbc.g_01156
OG0000470	Syag.g_02619	Prbc.g_01158
OG0000471	Syag.g_02618	Prbc.g_01159
OG0000472	Syag.g_02616	Prbc.g_01160
OG0000473	Syag.g_02614	Prbc.g_01162
OG0000474	Syag.g_02613	Prbc.g_01163
OG0000475	Syag.g_02612	Prbc.g_01164
OG0000476	Syag.g_02610	Prbc.g_01166
OG0000477	Syag.g_02604	Prbc.g_01168
OG0000478	Syag.g_02603	Prbc.g_01169
OG0000479	Syag.g_02602	Prbc.g_01170
OG0000480	Syag.g_02595	Prbc.g_01175
OG0000481	Syag.g_02593	Prbc.g_01177
OG0000482	Syag.g_02592	Prbc.g_01178
OG0000483	Syag.g_02588	Prbc.g_01181
OG0000484	Syag.g_02587	Prbc.g_01182
OG0000485	Syag.g_02586	Prbc.g_01183
OG0000486	Syag.g_02585	Prbc.g_01184
OG0000487	Syag.g_02579	Prbc.g_01187
OG0000488	Syag.g_02575	Prbc.g_01190
OG0000489	Syag.g_02565	Prbc.g_01195
OG0000490	Syag.g_02553	Prbc.g_01200
OG0000491	Syag.g_02551	Prbc.g_01201
OG0000492	Syag.g_02549	Prbc.g_01203
OG0000493	Syag.g_02548	Prbc.g_01204
OG0000494	Syag.g_02547	Prbc.g_01205
OG0000495	Syag.g_02546	Prbc.g_01206
OG0000496	Syag.g_02545	Prbc.g_01207
OG0000497	Syag.g_02544	Prbc.g_01208
OG0000498	Syag.g_02543	Prbc.g_01209
OG0000499	Syag.g_02542	Prbc.g_01210
OG0000500	Syag.g_02541	Prbc.g_01211
OG0000501	Syag.g_02538	Prbc.g_01213
OG0000502	Syag.g_02467	Prbc.g_01216
OG0000503	Syag.g_02843	Prbc.g_01246
OG0000504	Syag.g_02845	Prbc.g_01248
OG0000505	Syag.g_02846	Prbc.g_01249
OG0000506	Syag.g_02849	Prbc.g_01250
OG0000507	Syag.g_02855	Prbc.g_01253
OG0000508	Syag.g_02860	Prbc.g_01256
OG0000509	Syag.g_02862	Prbc.g_01258
OG0000510	Syag.g_02863	Prbc.g_01259
OG0000511	Syag.g_02864	Prbc.g_01260
OG0000512	Syag.g_02866	Prbc.g_01262
OG0000513	Syag.g_00009	Prbc.g_01271
OG0000514	Syag.g_00018	Prbc.g_01492
OG0000515	Syag.g_00019	Prbc.g_01493
OG0000516	Syag.g_00025	Prbc.g_01494
OG0000517	Syag.g_00032	Prbc.g_01496
OG0000518	Syag.g_00044	Prbc.g_01507
OG0000519	Syag.g_00045	Prbc.g_01508
OG0000520	Syag.g_00046	Prbc.g_01509
OG0000521	Syag.g_00054	Prbc.g_01514
OG0000522	Syag.g_00056	Prbc.g_01516
OG0000523	Syag.g_00057	Prbc.g_01517
OG0000524	Syag.g_01327	Prbc.g_01524
OG0000525	Syag.g_01345	Prbc.g_01528
OG0000526	Syag.g_01348	Prbc.g_01529
OG0000527	Syag.g_01354	Prbc.g_01532
OG0000528	Syag.g_01532	Prbc.g_01538
OG0000529	Syag.g_01527	Prbc.g_01541
OG0000530	Syag.g_01524	Prbc.g_01544
OG0000531	Syag.g_01523	Prbc.g_01545
OG0000532	Syag.g_01520	Prbc.g_01546
OG0000533	Syag.g_01518	Prbc.g_01547
OG0000534	Syag.g_01517	Prbc.g_01548
OG0000535	Syag.g_01516	Prbc.g_01549
OG0000536	Syag.g_01515	Prbc.g_01550
OG0000537	Syag.g_01514	Prbc.g_01551
OG0000538	Syag.g_01502	Prbc.g_01580
OG0000539	Syag.g_01501	Prbc.g_01581
OG0000540	Syag.g_01500	Prbc.g_01582
OG0000541	Syag.g_01499	Prbc.g_01583
OG0000542	Syag.g_01496	Prbc.g_01585
OG0000543	Syag.g_01494	Prbc.g_01587
OG0000544	Syag.g_01493	Prbc.g_01588
OG0000545	Syag.g_01491	Prbc.g_01590
OG0000546	Syag.g_01489	Prbc.g_01593
OG0000547	Syag.g_01487	Prbc.g_01595
OG0000548	Syag.g_01486	Prbc.g_01596
OG0000549	Syag.g_01480	Prbc.g_01599
OG0000550	Syag.g_01474	Prbc.g_01603
OG0000551	Syag.g_01470	Prbc.g_01606
OG0000552	Syag.g_01469	Prbc.g_01607
OG0000553	Syag.g_01464	Prbc.g_01608
OG0000554	Syag.g_01453	Prbc.g_01613
OG0000555	Syag.g_00075	Prbc.g_01621
OG0000556	Syag.g_00257	Prbc.g_01623
OG0000557	Syag.g_00267	Prbc.g_01624
