Orthogroup	Prax	Syar
OG0000152	Prax.g_01129	Syar.g_02539
OG0000153	Prax.g_01148	Syar.g_03283, Syar.g_02503
OG0000154	Prax.g_01178	Syar.g_01800
OG0000155	Prax.g_00220	Syar.g_01959
OG0000156	Prax.g_01910	Syar.g_01517
OG0000157	Prax.g_01909	Syar.g_01516
OG0000158	Prax.g_01780	Syar.g_00650
OG0000160	Prax.g_01727	Syar.g_02807
OG0000161	Prax.g_01721	Syar.g_02801
OG0000162	Prax.g_01715	Syar.g_02863
OG0000163	Prax.g_01681	Syar.g_00639, Syar.g_01186
OG0000164	Prax.g_01535	Syar.g_03168, Syar.g_02969
OG0000165	Prax.g_01528	Syar.g_02976
OG0000166	Prax.g_01302	Syar.g_01034
OG0000167	Prax.g_01368	Syar.g_00662
OG0000168	Prax.g_01378	Syar.g_00246
OG0000169	Prax.g_01388	Syar.g_00262
OG0000170	Prax.g_01390	Syar.g_00613
OG0000171	Prax.g_01409	Syar.g_00587
OG0000172	Prax.g_01418	Syar.g_00547
OG0000173	Prax.g_01433	Syar.g_00528
OG0000174	Prax.g_01460	Syar.g_00701
OG0000175	Prax.g_01470	Syar.g_00438
OG0000176	Prax.g_01494	Syar.g_00474
OG0000177	Prax.g_01495	Syar.g_00475
OG0000178	Prax.g_01496	Syar.g_00476
OG0000179	Prax.g_00297	Syar.g_00489
OG0000180	Prax.g_00296	Syar.g_00490
OG0000181	Prax.g_00295	Syar.g_00491
OG0000182	Prax.g_00294	Syar.g_00492
OG0000183	Prax.g_00290	Syar.g_00496
OG0000184	Prax.g_00621	Syar.g_00897
OG0000185	Prax.g_00624	Syar.g_00909
OG0000186	Prax.g_00635	Syar.g_03036
OG0000187	Prax.g_00636	Syar.g_03038
OG0000188	Prax.g_00653	Syar.g_03058
OG0000189	Prax.g_01122	Syar.g_03104
OG0000190	Prax.g_01121	Syar.g_03107, Syar.g_02374
OG0000191	Prax.g_01101	Syar.g_00039
OG0000192	Prax.g_01097	Syar.g_00046
OG0000193	Prax.g_01072	Syar.g_00079
OG0000194	Prax.g_01069	Syar.g_03236, Syar.g_00082
OG0000195	Prax.g_01067	Syar.g_00023, Syar.g_00084
OG0000196	Prax.g_01057	Syar.g_00096
OG0000197	Prax.g_01056	Syar.g_00097
OG0000198	Prax.g_01055	Syar.g_00098
OG0000199	Prax.g_01048	Syar.g_00106
OG0000200	Prax.g_01034	Syar.g_00124
OG0000201	Prax.g_01026	Syar.g_01000
OG0000202	Prax.g_01025	Syar.g_00998, Syar.g_00021
OG0000203	Prax.g_01024	Syar.g_00020, Syar.g_00997
OG0000204	Prax.g_01023	Syar.g_00996
OG0000205	Prax.g_01016	Syar.g_00988
OG0000206	Prax.g_01011	Syar.g_00963
OG0000207	Prax.g_01009	Syar.g_00957
OG0000208	Prax.g_01008	Syar.g_00956
OG0000209	Prax.g_00999	Syar.g_00936, Syar.g_03261
OG0000210	Prax.g_00998	Syar.g_00935, Syar.g_03260
OG0000211	Prax.g_00985	Syar.g_03026
OG0000212	Prax.g_00978	Syar.g_03017
OG0000213	Prax.g_00918	Syar.g_00187
OG0000214	Prax.g_00908	Syar.g_00209
OG0000215	Prax.g_00883	Syar.g_00239
OG0000216	Prax.g_00881	Syar.g_00244
OG0000217	Prax.g_00878	Syar.g_00854
OG0000218	Prax.g_00876	Syar.g_00852
OG0000219	Prax.g_00875	Syar.g_00851
OG0000220	Prax.g_00874	Syar.g_00850, Syar.g_02026
OG0000221	Prax.g_00873	Syar.g_00834
OG0000222	Prax.g_00865	Syar.g_02119, Syar.g_00728
OG0000223	Prax.g_00850	Syar.g_00649
OG0000224	Prax.g_00848	Syar.g_00762, Syar.g_00273
OG0000225	Prax.g_00827	Syar.g_01142
OG0000226	Prax.g_00823	Syar.g_01146
OG0000227	Prax.g_00821	Syar.g_01148
OG0000228	Prax.g_00818	Syar.g_01161
OG0000229	Prax.g_00764	Syar.g_01177, Syar.g_03273
OG0000230	Prax.g_00762	Syar.g_01179, Syar.g_03275
OG0000231	Prax.g_00751	Syar.g_02865, Syar.g_03151
OG0000232	Prax.g_00743	Syar.g_01424
OG0000233	Prax.g_00738	Syar.g_03183, Syar.g_01247
OG0000234	Prax.g_00726	Syar.g_01275
OG0000235	Prax.g_00723	Syar.g_01468
OG0000236	Prax.g_00708	Syar.g_03311, Syar.g_01484
OG0000237	Prax.g_00695	Syar.g_01503
OG0000238	Prax.g_00689	Syar.g_01508
OG0000239	Prax.g_00676	Syar.g_03277, Syar.g_02687
OG0000240	Prax.g_00675	Syar.g_03278, Syar.g_02686
OG0000241	Prax.g_00671	Syar.g_02410
OG0000242	Prax.g_00669	Syar.g_01926
OG0000243	Prax.g_00004	Syar.g_02335
OG0000244	Prax.g_00007	Syar.g_02327
OG0000245	Prax.g_00009	Syar.g_02325, Syar.g_03238
OG0000246	Prax.g_00013	Syar.g_02321
OG0000247	Prax.g_00023	Syar.g_02310
OG0000248	Prax.g_00025	Syar.g_02307, Syar.g_03293
OG0000249	Prax.g_00027	Syar.g_02305
OG0000250	Prax.g_00032	Syar.g_02299, Syar.g_03194
OG0000251	Prax.g_00050	Syar.g_03207, Syar.g_02194
OG0000252	Prax.g_00053	Syar.g_02189, Syar.g_03263
OG0000253	Prax.g_00054	Syar.g_02028, Syar.g_03229
OG0000254	Prax.g_00070	Syar.g_02169
OG0000255	Prax.g_00076	Syar.g_00011, Syar.g_02224
OG0000256	Prax.g_00086	Syar.g_02244
OG0000257	Prax.g_00089	Syar.g_02407, Syar.g_01762
OG0000258	Prax.g_00102	Syar.g_02427, Syar.g_00010
OG0000259	Prax.g_00119	Syar.g_02472
OG0000260	Prax.g_00122	Syar.g_03220, Syar.g_02475
OG0000261	Prax.g_00977	Syar.g_01916
OG0000262	Prax.g_00973	Syar.g_01690
OG0000263	Prax.g_00961	Syar.g_01991
OG0000264	Prax.g_00951	Syar.g_02135, Syar.g_03267
OG0000266	Prax.g_00475	Syar.g_01570
OG0000267	Prax.g_00464	Syar.g_01873
OG0000268	Prax.g_00463	Syar.g_02589
OG0000269	Prax.g_00378	Syar.g_02634
OG0000270	Prax.g_00375	Syar.g_00744, Syar.g_02637
OG0000271	Prax.g_00367	Syar.g_02645
OG0000272	Prax.g_00366	Syar.g_02646
OG0000273	Prax.g_00343	Syar.g_02481, Syar.g_00008
OG0000274	Prax.g_00342	Syar.g_00009, Syar.g_02482
OG0000275	Prax.g_00339	Syar.g_01810
OG0000276	Prax.g_00334	Syar.g_01817
OG0000277	Prax.g_00333	Syar.g_01818, Syar.g_03242
OG0000278	Prax.g_00330	Syar.g_01821, Syar.g_03174
OG0000279	Prax.g_00323	Syar.g_01838
OG0000280	Prax.g_00322	Syar.g_02067, Syar.g_00734
OG0000281	Prax.g_00317	Syar.g_02218
OG0000282	Prax.g_00563	Syar.g_01614, Syar.g_03255
OG0000283	Prax.g_00597	Syar.g_02574
OG0000284	Prax.g_00602	Syar.g_03258, Syar.g_02568
OG0000285	Prax.g_00607	Syar.g_02560
OG0000286	Prax.g_00619	Syar.g_02540
OG0000287	Prax.g_01145	Syar.g_02512
OG0000288	Prax.g_01177	Syar.g_01801
OG0000289	Prax.g_01188	Syar.g_03305, Syar.g_01786
OG0000290	Prax.g_01201	Syar.g_01928
OG0000291	Prax.g_01203	Syar.g_01930
OG0000292	Prax.g_01759, Prax.g_01254	Syar.g_00463
OG0000293	Prax.g_00191	Syar.g_03297, Syar.g_01526
OG0000294	Prax.g_00192	Syar.g_01527, Syar.g_03296
OG0000295	Prax.g_00212	Syar.g_01951, Syar.g_03208
OG0000296	Prax.g_00214	Syar.g_01953
OG0000297	Prax.g_00222	Syar.g_01967, Syar.g_03216
OG0000298	Prax.g_00223	Syar.g_01968, Syar.g_03215
OG0000299	Prax.g_00240	Syar.g_01704
OG0000300	Prax.g_00243	Syar.g_01646, Syar.g_01711
OG0000301	Prax.g_00244	Syar.g_01712
OG0000302	Prax.g_00246	Syar.g_01713
OG0000303	Prax.g_00253	Syar.g_03136, Syar.g_01723
OG0000304	Prax.g_00257	Syar.g_01728
OG0000305	Prax.g_01871	Syar.g_01933, Syar.g_03163
OG0000306	Prax.g_01868	Syar.g_01884, Syar.g_03140
OG0000307	Prax.g_01854	Syar.g_01452, Syar.g_03153
OG0000308	Prax.g_01853	Syar.g_01450
OG0000309	Prax.g_01849	Syar.g_01239
OG0000310	Prax.g_01748	Syar.g_02826
OG0000311	Prax.g_01746	Syar.g_02823
OG0000312	Prax.g_01743	Syar.g_00015, Syar.g_02818
OG0000313	Prax.g_01724	Syar.g_02804
OG0000314	Prax.g_01701	Syar.g_01403
OG0000315	Prax.g_01691	Syar.g_01393
OG0000316	Prax.g_01671	Syar.g_02885
OG0000317	Prax.g_01561	Syar.g_02926
OG0000318	Prax.g_01558	Syar.g_02930
OG0000319	Prax.g_01545	Syar.g_02954
OG0000320	Prax.g_01543	Syar.g_02956
OG0000321	Prax.g_01542	Syar.g_02957
OG0000322	Prax.g_01541	Syar.g_02958
OG0000323	Prax.g_01532	Syar.g_02973
OG0000324	Prax.g_01505	Syar.g_00350, Syar.g_03001
OG0000325	Prax.g_01263	Syar.g_03291, Syar.g_00148
OG0000326	Prax.g_01269	Syar.g_00139, Syar.g_03134
OG0000327	Prax.g_01297	Syar.g_01029
OG0000328	Prax.g_01298	Syar.g_01030
OG0000329	Prax.g_01315	Syar.g_03189, Syar.g_01048
OG0000330	Prax.g_01316	Syar.g_03190, Syar.g_01049
OG0000331	Prax.g_01317	Syar.g_01050, Syar.g_03191
OG0000332	Prax.g_01331	Syar.g_01064, Syar.g_03299
OG0000333	Prax.g_01333	Syar.g_01067
OG0000334	Prax.g_01341	Syar.g_01076
OG0000335	Prax.g_01346	Syar.g_01080
OG0000336	Prax.g_01350	Syar.g_01084
OG0000337	Prax.g_01366	Syar.g_00285
OG0000338	Prax.g_01367	Syar.g_03225, Syar.g_00287
OG0000339	Prax.g_01371	Syar.g_00658
OG0000340	Prax.g_01379	Syar.g_00247
OG0000341	Prax.g_01381	Syar.g_00249
OG0000342	Prax.g_01382	Syar.g_00250
OG0000343	Prax.g_01383	Syar.g_00256
OG0000344	Prax.g_01386	Syar.g_00260
OG0000345	Prax.g_01391	Syar.g_00612
OG0000346	Prax.g_01395	Syar.g_00607
OG0000347	Prax.g_01411	Syar.g_00558
OG0000348	Prax.g_01421	Syar.g_00544
OG0000349	Prax.g_01438	Syar.g_00521
OG0000350	Prax.g_01456	Syar.g_00132
OG0000351	Prax.g_01473	Syar.g_00442
OG0000352	Prax.g_01474	Syar.g_00443
OG0000353	Prax.g_01489	Syar.g_00469
OG0000355	Prax.g_01491	Syar.g_00471
OG0000356	Prax.g_01492	Syar.g_00472
OG0000357	Prax.g_01493	Syar.g_00473
OG0000358	Prax.g_01497	Syar.g_00477
OG0000359	Prax.g_01498	Syar.g_00479
OG0000360	Prax.g_01499	Syar.g_00480
OG0000361	Prax.g_01975	Syar.g_00481
OG0000362	Prax.g_01973	Syar.g_00483
OG0000363	Prax.g_00299	Syar.g_00484
OG0000364	Prax.g_00298	Syar.g_02928
OG0000365	Prax.g_00293	Syar.g_00493
OG0000366	Prax.g_00292	Syar.g_00494
OG0000367	Prax.g_00291	Syar.g_03262, Syar.g_00495
OG0000368	Prax.g_00289	Syar.g_00497
OG0000369	Prax.g_00288	Syar.g_00498
OG0000370	Prax.g_00287	Syar.g_00499
OG0000371	Prax.g_00281	Syar.g_00508
OG0000372	Prax.g_00278	Syar.g_00514
OG0000373	Prax.g_00277	Syar.g_00515
OG0000374	Prax.g_00276	Syar.g_00516
OG0000375	Prax.g_00273	Syar.g_00517
OG0000376	Prax.g_00271	Syar.g_00519
OG0000377	Prax.g_00261	Syar.g_00322
OG0000378	Prax.g_00622	Syar.g_00905
OG0000379	Prax.g_00625	Syar.g_00910
OG0000380	Prax.g_00637	Syar.g_03039
OG0000381	Prax.g_00641	Syar.g_03041
OG0000382	Prax.g_00652	Syar.g_03057
OG0000383	Prax.g_00654	Syar.g_03074
OG0000384	Prax.g_00655	Syar.g_03075
OG0000385	Prax.g_00656	Syar.g_03076
OG0000386	Prax.g_00657	Syar.g_03077
OG0000387	Prax.g_01119	Syar.g_03109
OG0000388	Prax.g_01116	Syar.g_03148, Syar.g_03113
OG0000389	Prax.g_01113	Syar.g_03118
OG0000390	Prax.g_01106	Syar.g_00033
OG0000391	Prax.g_01102	Syar.g_00038
OG0000392	Prax.g_01098	Syar.g_00045
OG0000393	Prax.g_01096	Syar.g_00048
OG0000394	Prax.g_01095	Syar.g_00049
OG0000395	Prax.g_01094	Syar.g_00050
OG0000396	Prax.g_01091	Syar.g_00053
OG0000397	Prax.g_01089	Syar.g_00055
OG0000398	Prax.g_01087	Syar.g_00060
OG0000399	Prax.g_01086	Syar.g_00061
OG0000400	Prax.g_01085	Syar.g_00062
OG0000401	Prax.g_01084	Syar.g_00063
OG0000402	Prax.g_01082	Syar.g_00065
OG0000403	Prax.g_01081	Syar.g_00066
OG0000404	Prax.g_01080	Syar.g_00067
OG0000405	Prax.g_01076	Syar.g_00076
OG0000406	Prax.g_01071	Syar.g_00080
OG0000407	Prax.g_01070	Syar.g_00081
OG0000408	Prax.g_01068	Syar.g_00083
OG0000409	Prax.g_01066	Syar.g_00085
OG0000410	Prax.g_01065	Syar.g_00086
OG0000411	Prax.g_01064	Syar.g_00087
OG0000412	Prax.g_01063	Syar.g_00088
OG0000413	Prax.g_01062	Syar.g_00090
OG0000414	Prax.g_01061	Syar.g_00091, Syar.g_03179
OG0000415	Prax.g_01060	Syar.g_00092
OG0000416	Prax.g_01059	Syar.g_00093
OG0000417	Prax.g_01058	Syar.g_00095
OG0000418	Prax.g_01053	Syar.g_00100
OG0000419	Prax.g_01051	Syar.g_00102
OG0000420	Prax.g_01050	Syar.g_00104
OG0000421	Prax.g_01045	Syar.g_00109
OG0000422	Prax.g_01044	Syar.g_00110
OG0000423	Prax.g_01043	Syar.g_00111
OG0000424	Prax.g_01042	Syar.g_00112
OG0000425	Prax.g_01041	Syar.g_00113
OG0000426	Prax.g_01040	Syar.g_00114
OG0000427	Prax.g_01039	Syar.g_00115
OG0000428	Prax.g_01037	Syar.g_00118
OG0000429	Prax.g_01036	Syar.g_00121
OG0000430	Prax.g_01035	Syar.g_00123
OG0000431	Prax.g_01033	Syar.g_00127
OG0000432	Prax.g_01030	Syar.g_01009
OG0000433	Prax.g_01029	Syar.g_01007
OG0000434	Prax.g_01028	Syar.g_01006
OG0000435	Prax.g_01027	Syar.g_01003
OG0000436	Prax.g_01022	Syar.g_00994
OG0000437	Prax.g_01021	Syar.g_00993
OG0000438	Prax.g_01020	Syar.g_00992
OG0000439	Prax.g_01018	Syar.g_00990
OG0000440	Prax.g_01017	Syar.g_00989
OG0000441	Prax.g_01014	Syar.g_00986
OG0000442	Prax.g_01013	Syar.g_00977
OG0000443	Prax.g_01012	Syar.g_00964
OG0000444	Prax.g_01007	Syar.g_00954
OG0000445	Prax.g_01006	Syar.g_00953
OG0000446	Prax.g_01005	Syar.g_00951
OG0000447	Prax.g_01004	Syar.g_00948
OG0000448	Prax.g_01003	Syar.g_00947
OG0000449	Prax.g_01002	Syar.g_00946
OG0000450	Prax.g_01001	Syar.g_00939
OG0000451	Prax.g_01000	Syar.g_00938
OG0000452	Prax.g_00997	Syar.g_00934
OG0000453	Prax.g_00996	Syar.g_00933
OG0000454	Prax.g_00995	Syar.g_00932
OG0000455	Prax.g_00994	Syar.g_00931
OG0000456	Prax.g_00993	Syar.g_00930
OG0000457	Prax.g_00992	Syar.g_00928
OG0000458	Prax.g_00991	Syar.g_00918
OG0000459	Prax.g_00990	Syar.g_00917
OG0000460	Prax.g_00983	Syar.g_03024
OG0000461	Prax.g_00933	Syar.g_00153
OG0000462	Prax.g_00931	Syar.g_00155
OG0000463	Prax.g_00930	Syar.g_00156
OG0000464	Prax.g_00929	Syar.g_00157
OG0000465	Prax.g_00928	Syar.g_00159
OG0000466	Prax.g_00925	Syar.g_00164
OG0000467	Prax.g_00924	Syar.g_00165
OG0000468	Prax.g_00922	Syar.g_00170
OG0000469	Prax.g_00913	Syar.g_00203
OG0000470	Prax.g_00911	Syar.g_00206
OG0000471	Prax.g_00910	Syar.g_00207
OG0000472	Prax.g_00909	Syar.g_00208
OG0000473	Prax.g_00907	Syar.g_00210
OG0000474	Prax.g_00906	Syar.g_00211
OG0000475	Prax.g_00905	Syar.g_00212
OG0000476	Prax.g_00904	Syar.g_00214
OG0000477	Prax.g_00900	Syar.g_00219
OG0000478	Prax.g_00899	Syar.g_00220
OG0000479	Prax.g_00898	Syar.g_00221
OG0000480	Prax.g_00893	Syar.g_00228
OG0000481	Prax.g_00891	Syar.g_00230
OG0000482	Prax.g_00890	Syar.g_00231
OG0000483	Prax.g_00887	Syar.g_00235
OG0000484	Prax.g_00886	Syar.g_00236
OG0000485	Prax.g_00885	Syar.g_00237
OG0000486	Prax.g_00884	Syar.g_00024, Syar.g_00238
OG0000487	Prax.g_00880	Syar.g_00245
OG0000488	Prax.g_00877	Syar.g_00853
OG0000489	Prax.g_00872	Syar.g_00833
OG0000490	Prax.g_00867	Syar.g_00823
OG0000491	Prax.g_00866	Syar.g_00822
OG0000492	Prax.g_00864	Syar.g_00727
OG0000493	Prax.g_00863	Syar.g_00726
OG0000494	Prax.g_00862	Syar.g_00725
OG0000495	Prax.g_00861	Syar.g_00724
OG0000496	Prax.g_00860	Syar.g_00723
OG0000497	Prax.g_00859	Syar.g_00722
OG0000498	Prax.g_00858	Syar.g_00721
OG0000499	Prax.g_00857	Syar.g_00720
OG0000500	Prax.g_00856	Syar.g_00719
OG0000501	Prax.g_00854	Syar.g_00716
OG0000502	Prax.g_00849	Syar.g_00275
OG0000503	Prax.g_00839	Syar.g_01118
OG0000504	Prax.g_00838	Syar.g_01120
OG0000505	Prax.g_00837	Syar.g_01121
OG0000506	Prax.g_00835	Syar.g_01123
OG0000507	Prax.g_00832	Syar.g_01129
OG0000508	Prax.g_00828	Syar.g_01141
OG0000509	Prax.g_00826	Syar.g_01143
OG0000510	Prax.g_00825	Syar.g_01144
OG0000511	Prax.g_00824	Syar.g_01145
OG0000512	Prax.g_00822	Syar.g_01147
OG0000513	Prax.g_00815	Syar.g_01166
OG0000514	Prax.g_00769	Syar.g_01169
OG0000515	Prax.g_00768	Syar.g_01170
OG0000516	Prax.g_00767	Syar.g_01172
OG0000517	Prax.g_00765	Syar.g_01176
OG0000518	Prax.g_00754	Syar.g_02868
OG0000519	Prax.g_00753	Syar.g_02867
OG0000520	Prax.g_00752	Syar.g_02866
OG0000521	Prax.g_00747	Syar.g_01419
OG0000522	Prax.g_00746	Syar.g_01421
OG0000523	Prax.g_00745	Syar.g_01422
OG0000524	Prax.g_00740	Syar.g_01244
OG0000525	Prax.g_00737	Syar.g_01263
OG0000526	Prax.g_00736	Syar.g_01266
OG0000527	Prax.g_00729	Syar.g_01271
OG0000528	Prax.g_00724	Syar.g_01466
OG0000529	Prax.g_00721	Syar.g_01470
OG0000530	Prax.g_00718	Syar.g_01473
OG0000531	Prax.g_00717	Syar.g_01474
OG0000532	Prax.g_00715	Syar.g_01477
OG0000533	Prax.g_00714	Syar.g_01479
OG0000534	Prax.g_00713	Syar.g_01480
OG0000535	Prax.g_00712	Syar.g_01481
OG0000536	Prax.g_00711	Syar.g_01482
OG0000537	Prax.g_00709	Syar.g_01483
OG0000538	Prax.g_00701	Syar.g_01496
OG0000539	Prax.g_00700	Syar.g_01497
OG0000540	Prax.g_00699	Syar.g_01498
OG0000541	Prax.g_00698	Syar.g_01499
OG0000542	Prax.g_00696	Syar.g_01502
OG0000543	Prax.g_00694	Syar.g_01504
OG0000544	Prax.g_00693	Syar.g_01505
OG0000545	Prax.g_00691	Syar.g_01507
OG0000546	Prax.g_00688	Syar.g_01509
OG0000547	Prax.g_00686	Syar.g_01511
OG0000548	Prax.g_00685	Syar.g_01512
OG0000549	Prax.g_00683	Syar.g_02693
OG0000550	Prax.g_00678	Syar.g_02689
OG0000551	Prax.g_00674	Syar.g_02684
OG0000552	Prax.g_00673	Syar.g_02683
OG0000553	Prax.g_00672	Syar.g_02679
OG0000554	Prax.g_00667	Syar.g_02352
OG0000555	Prax.g_00003	Syar.g_02336
OG0000556	Prax.g_00005	Syar.g_02332
OG0000557	Prax.g_00006	Syar.g_02328
OG0000558	Prax.g_00008	Syar.g_02326
OG0000559	Prax.g_00012	Syar.g_02322
OG0000560	Prax.g_00015	Syar.g_02320
