Orthogroup	Prbm	Syac
OG0000068	Prbm.g_01660	Syac.g_01916
OG0000069	Prbm.g_01414, Prbm.g_01387, Prbm.g_01753, Prbm.g_00772	Syac.g_01272
OG0000070	Prbm.g_00460	Syac.g_00711
OG0000071	Prbm.g_00468, Prbm.g_01611	Syac.g_01049, Syac.g_00729
OG0000072	Prbm.g_00230	Syac.g_00302
OG0000073	Prbm.g_00533	Syac.g_01883
OG0000075	Prbm.g_02069	Syac.g_00191
OG0000076	Prbm.g_02094	Syac.g_00156
OG0000077	Prbm.g_00135	Syac.g_00439
OG0000078	Prbm.g_00300	Syac.g_01964
OG0000079	Prbm.g_00311	Syac.g_02211
OG0000081	Prbm.g_00564	Syac.g_01954, Syac.g_00461
OG0000082	Prbm.g_01900	Syac.g_01766
OG0000084	Prbm.g_01706	Syac.g_00822, Syac.g_01627
OG0000085	Prbm.g_01834	Syac.g_00560
OG0000086	Prbm.g_00145	Syac.g_00423
OG0000087	Prbm.g_00198	Syac.g_00343
OG0000088	Prbm.g_00225	Syac.g_00308
OG0000089	Prbm.g_00423	Syac.g_01988, Syac.g_01543
OG0000090	Prbm.g_00566	Syac.g_01836
OG0000091	Prbm.g_00673	Syac.g_00987
OG0000093	Prbm.g_00799	Syac.g_01357
OG0000094	Prbm.g_00888	Syac.g_01251
OG0000095	Prbm.g_01064	Syac.g_00884
OG0000097	Prbm.g_01502	Syac.g_01507
OG0000098	Prbm.g_01630	Syac.g_02157
OG0000099	Prbm.g_00394	Syac.g_00234
OG0000100	Prbm.g_01787	Syac.g_01309
OG0000101	Prbm.g_02033	Syac.g_02094
OG0000102	Prbm.g_02099	Syac.g_00151
OG0000103	Prbm.g_02218	Syac.g_02476
OG0000104	Prbm.g_02229	Syac.g_02490
OG0000105	Prbm.g_00331	Syac.g_02245
OG0000106	Prbm.g_01172, Prbm.g_01237	Syac.g_01098
OG0000107	Prbm.g_01949	Syac.g_02191
OG0000108	Prbm.g_00506	Syac.g_01904
OG0000109	Prbm.g_00519	Syac.g_01889
OG0000110	Prbm.g_00607	Syac.g_01778
OG0000111	Prbm.g_00736	Syac.g_00893
OG0000112	Prbm.g_00980	Syac.g_01173
OG0000113	Prbm.g_00838, Prbm.g_01191	Syac.g_01314
OG0000114	Prbm.g_00929	Syac.g_01394
OG0000115	Prbm.g_01803	Syac.g_01655
OG0000116	Prbm.g_01560	Syac.g_00753
OG0000117	Prbm.g_01522	Syac.g_01477
OG0000118	Prbm.g_01622	Syac.g_01728
OG0000120	Prbm.g_00707	Syac.g_00233
OG0000121	Prbm.g_01712	Syac.g_01635
OG0000122	Prbm.g_01751	Syac.g_01013
OG0000123	Prbm.g_02040	Syac.g_02086
OG0000124	Prbm.g_02111	Syac.g_00135
OG0000125	Prbm.g_02176	Syac.g_02360
OG0000126	Prbm.g_02228	Syac.g_02488
OG0000127	Prbm.g_01460	Syac.g_01547
OG0000128	Prbm.g_00011	Syac.g_00012
OG0000129	Prbm.g_00053	Syac.g_02349
OG0000130	Prbm.g_00126	Syac.g_00450
OG0000131	Prbm.g_00204	Syac.g_00330
OG0000132	Prbm.g_00223	Syac.g_00310
OG0000133	Prbm.g_00377	Syac.g_01178
OG0000134	Prbm.g_00425	Syac.g_01985
OG0000135	Prbm.g_01389	Syac.g_02398
OG0000136	Prbm.g_00451	Syac.g_00701
OG0000137	Prbm.g_00500	Syac.g_01700
OG0000138	Prbm.g_00520	Syac.g_01888
OG0000139	Prbm.g_00570	Syac.g_01830
OG0000140	Prbm.g_00571	Syac.g_01829
OG0000141	Prbm.g_00638	Syac.g_00934
OG0000142	Prbm.g_00666	Syac.g_00979
OG0000143	Prbm.g_00670	Syac.g_00983
OG0000144	Prbm.g_00683	Syac.g_01090
OG0000145	Prbm.g_01094	Syac.g_01882
OG0000146	Prbm.g_00979	Syac.g_01172
OG0000147	Prbm.g_00978	Syac.g_01171
OG0000148	Prbm.g_00832	Syac.g_01320
OG0000149	Prbm.g_00862	Syac.g_00832
OG0000150	Prbm.g_00870	Syac.g_00935
OG0000151	Prbm.g_00940	Syac.g_01383
OG0000152	Prbm.g_00988	Syac.g_01182
OG0000153	Prbm.g_01006	Syac.g_01217
OG0000154	Prbm.g_01035	Syac.g_01241
OG0000155	Prbm.g_01527	Syac.g_00804
OG0000156	Prbm.g_01600	Syac.g_00743
OG0000157	Prbm.g_01601	Syac.g_00742
OG0000158	Prbm.g_02077	Syac.g_00182
OG0000160	Prbm.g_01711	Syac.g_01633
OG0000161	Prbm.g_01717	Syac.g_01641
OG0000162	Prbm.g_01723	Syac.g_01648
OG0000163	Prbm.g_01759	Syac.g_00619
OG0000164	Prbm.g_01863	Syac.g_00508
OG0000165	Prbm.g_01871	Syac.g_00674
OG0000166	Prbm.g_01996	Syac.g_02132
OG0000167	Prbm.g_02067	Syac.g_00194
OG0000168	Prbm.g_02078	Syac.g_00179
OG0000169	Prbm.g_02088	Syac.g_00168
OG0000170	Prbm.g_02090	Syac.g_00161
OG0000171	Prbm.g_02110	Syac.g_00136
OG0000172	Prbm.g_02146	Syac.g_00084
OG0000173	Prbm.g_02161	Syac.g_00057
OG0000174	Prbm.g_02192	Syac.g_02401
OG0000175	Prbm.g_02209	Syac.g_02465
OG0000176	Prbm.g_00004	Syac.g_00004
OG0000177	Prbm.g_00005	Syac.g_00005
OG0000178	Prbm.g_00006	Syac.g_00006
OG0000179	Prbm.g_00016	Syac.g_00019
OG0000180	Prbm.g_00017	Syac.g_00020
OG0000181	Prbm.g_00018	Syac.g_00021
OG0000182	Prbm.g_00019	Syac.g_00022
OG0000183	Prbm.g_00023	Syac.g_00026
OG0000184	Prbm.g_00055	Syac.g_02339
OG0000185	Prbm.g_00058	Syac.g_02336
OG0000186	Prbm.g_00121	Syac.g_00454
OG0000187	Prbm.g_00122	Syac.g_00453
OG0000188	Prbm.g_00139	Syac.g_00433
OG0000189	Prbm.g_00153	Syac.g_00408
OG0000190	Prbm.g_00154	Syac.g_00406
OG0000191	Prbm.g_00177	Syac.g_00373
OG0000192	Prbm.g_00181	Syac.g_00368
OG0000193	Prbm.g_00205	Syac.g_00329
OG0000194	Prbm.g_00208	Syac.g_00326
OG0000195	Prbm.g_00210	Syac.g_00324
OG0000196	Prbm.g_00220	Syac.g_00313
OG0000197	Prbm.g_00221	Syac.g_00312
OG0000198	Prbm.g_00222	Syac.g_00311
OG0000199	Prbm.g_00229	Syac.g_00303
OG0000200	Prbm.g_00243	Syac.g_02261
OG0000201	Prbm.g_00252	Syac.g_02278
OG0000202	Prbm.g_00253	Syac.g_02279
OG0000203	Prbm.g_00254	Syac.g_02280
OG0000204	Prbm.g_00255	Syac.g_02281
OG0000205	Prbm.g_00262	Syac.g_02288
OG0000206	Prbm.g_00266	Syac.g_02297
OG0000207	Prbm.g_00268	Syac.g_02300
OG0000208	Prbm.g_00269	Syac.g_02301
OG0000209	Prbm.g_00278	Syac.g_02316
OG0000210	Prbm.g_00279	Syac.g_02317
OG0000211	Prbm.g_00293	Syac.g_01972
OG0000212	Prbm.g_00301	Syac.g_01963
OG0000213	Prbm.g_00317	Syac.g_02219
OG0000214	Prbm.g_00325	Syac.g_02236
OG0000215	Prbm.g_00349	Syac.g_00281
OG0000216	Prbm.g_00350	Syac.g_00277
OG0000217	Prbm.g_00353	Syac.g_00273
OG0000218	Prbm.g_00355	Syac.g_00271
OG0000219	Prbm.g_00356	Syac.g_00270
OG0000220	Prbm.g_00357	Syac.g_00269
OG0000221	Prbm.g_00358	Syac.g_00261
OG0000222	Prbm.g_00366	Syac.g_00247
OG0000223	Prbm.g_00378	Syac.g_00225
OG0000224	Prbm.g_00380	Syac.g_00217
OG0000225	Prbm.g_00411	Syac.g_02004
OG0000226	Prbm.g_00415	Syac.g_02000
OG0000227	Prbm.g_00417	Syac.g_01998
OG0000228	Prbm.g_00422	Syac.g_01989
OG0000229	Prbm.g_00446	Syac.g_00692
OG0000230	Prbm.g_00448	Syac.g_00694
OG0000231	Prbm.g_00459	Syac.g_00710
OG0000232	Prbm.g_00484	Syac.g_01717
OG0000233	Prbm.g_00492	Syac.g_01713
OG0000234	Prbm.g_00501	Syac.g_01699
OG0000235	Prbm.g_00505	Syac.g_01905
OG0000236	Prbm.g_00518	Syac.g_01890
OG0000237	Prbm.g_00540	Syac.g_01873
OG0000238	Prbm.g_00546	Syac.g_01868
OG0000239	Prbm.g_00558	Syac.g_01852
OG0000240	Prbm.g_00559	Syac.g_01851
OG0000241	Prbm.g_00563	Syac.g_00970
OG0000242	Prbm.g_00565	Syac.g_01839
OG0000243	Prbm.g_00576	Syac.g_01821
OG0000244	Prbm.g_00579	Syac.g_01814
OG0000245	Prbm.g_00581	Syac.g_01811
OG0000246	Prbm.g_00585	Syac.g_01807
OG0000247	Prbm.g_00595	Syac.g_01795
OG0000248	Prbm.g_00597	Syac.g_01792
OG0000249	Prbm.g_00599	Syac.g_01790
OG0000250	Prbm.g_00604	Syac.g_01782
OG0000251	Prbm.g_00620	Syac.g_01757
OG0000252	Prbm.g_00623	Syac.g_01753
OG0000253	Prbm.g_00625	Syac.g_01752
OG0000254	Prbm.g_00642	Syac.g_00939
OG0000255	Prbm.g_00648	Syac.g_00947
OG0000256	Prbm.g_00658	Syac.g_00963
OG0000257	Prbm.g_00661	Syac.g_00969
OG0000258	Prbm.g_00674	Syac.g_00988
OG0000259	Prbm.g_00691	Syac.g_01425
OG0000260	Prbm.g_00694	Syac.g_01422
OG0000261	Prbm.g_00697	Syac.g_01418
OG0000262	Prbm.g_00702	Syac.g_01413
OG0000263	Prbm.g_00716	Syac.g_01497
OG0000264	Prbm.g_00728	Syac.g_00915
OG0000265	Prbm.g_00742	Syac.g_00673
OG0000266	Prbm.g_00752	Syac.g_01271
OG0000267	Prbm.g_00765	Syac.g_01131
OG0000268	Prbm.g_00766	Syac.g_01132
OG0000269	Prbm.g_00809	Syac.g_01346
OG0000270	Prbm.g_00812	Syac.g_01343
OG0000271	Prbm.g_00820	Syac.g_01335
OG0000272	Prbm.g_00821	Syac.g_01334
OG0000273	Prbm.g_00845	Syac.g_00854
OG0000274	Prbm.g_00846	Syac.g_00853
OG0000275	Prbm.g_00848	Syac.g_00848
OG0000276	Prbm.g_00854	Syac.g_00840
OG0000277	Prbm.g_00855	Syac.g_00839
OG0000278	Prbm.g_00858	Syac.g_00836
OG0000279	Prbm.g_00865	Syac.g_00828
OG0000281	Prbm.g_00871	Syac.g_02158
OG0000282	Prbm.g_00931	Syac.g_01392
OG0000283	Prbm.g_00962	Syac.g_01142
OG0000284	Prbm.g_00967	Syac.g_01148
OG0000285	Prbm.g_00972	Syac.g_01160
OG0000286	Prbm.g_00987	Syac.g_01181
OG0000287	Prbm.g_00102	Syac.g_01209
OG0000288	Prbm.g_01034	Syac.g_01240
OG0000289	Prbm.g_01045	Syac.g_01254
OG0000290	Prbm.g_01061	Syac.g_00881
OG0000291	Prbm.g_01063	Syac.g_00883
OG0000292	Prbm.g_01210	Syac.g_02487
OG0000293	Prbm.g_01559	Syac.g_00754
OG0000294	Prbm.g_01558	Syac.g_00755
OG0000295	Prbm.g_01534	Syac.g_00796
OG0000296	Prbm.g_01532	Syac.g_00798
OG0000297	Prbm.g_01524	Syac.g_01475
OG0000298	Prbm.g_01523	Syac.g_01476
OG0000299	Prbm.g_01503	Syac.g_01503
OG0000300	Prbm.g_01500	Syac.g_01510
OG0000301	Prbm.g_01499	Syac.g_01511
OG0000302	Prbm.g_01497	Syac.g_01512
OG0000303	Prbm.g_01492	Syac.g_01520
OG0000304	Prbm.g_01489	Syac.g_01526
OG0000305	Prbm.g_01812	Syac.g_00886
OG0000306	Prbm.g_00875	Syac.g_00810
OG0000307	Prbm.g_01669	Syac.g_01924
OG0000308	Prbm.g_01670	Syac.g_01926
OG0000309	Prbm.g_01674	Syac.g_01931
OG0000310	Prbm.g_01694	Syac.g_01607
OG0000311	Prbm.g_01696	Syac.g_01611
OG0000312	Prbm.g_01699	Syac.g_01619
OG0000313	Prbm.g_01714	Syac.g_01638
OG0000314	Prbm.g_01735	Syac.g_01665
OG0000315	Prbm.g_01745	Syac.g_01675
OG0000316	Prbm.g_01770	Syac.g_00601
OG0000317	Prbm.g_01839	Syac.g_00552
OG0000318	Prbm.g_01842	Syac.g_00543
OG0000319	Prbm.g_01853	Syac.g_00525
OG0000320	Prbm.g_01855	Syac.g_00523
OG0000321	Prbm.g_01856	Syac.g_00522
OG0000322	Prbm.g_01857	Syac.g_00521
OG0000323	Prbm.g_01866	Syac.g_00506
OG0000324	Prbm.g_01893	Syac.g_00648
OG0000325	Prbm.g_01950	Syac.g_02190
OG0000326	Prbm.g_01956	Syac.g_02183
OG0000327	Prbm.g_01991	Syac.g_02137
OG0000328	Prbm.g_01992	Syac.g_02136
OG0000329	Prbm.g_02009	Syac.g_02119
OG0000330	Prbm.g_02010	Syac.g_02118
OG0000331	Prbm.g_02011	Syac.g_02117
OG0000332	Prbm.g_02025	Syac.g_02103
OG0000333	Prbm.g_02027	Syac.g_02100
OG0000334	Prbm.g_02036	Syac.g_02090
OG0000335	Prbm.g_02041	Syac.g_02085
OG0000336	Prbm.g_02045	Syac.g_02081
OG0000337	Prbm.g_02064	Syac.g_00199
OG0000338	Prbm.g_02065	Syac.g_00196
OG0000339	Prbm.g_02070	Syac.g_00190
OG0000340	Prbm.g_02079	Syac.g_00178
OG0000341	Prbm.g_02081	Syac.g_00176
OG0000342	Prbm.g_02082	Syac.g_00175
OG0000343	Prbm.g_02083	Syac.g_00174
OG0000344	Prbm.g_02086	Syac.g_00170
OG0000345	Prbm.g_02091	Syac.g_00160
OG0000346	Prbm.g_02095	Syac.g_00155
OG0000347	Prbm.g_02114	Syac.g_00129
OG0000348	Prbm.g_02149	Syac.g_00070, Syac.g_00074
OG0000349	Prbm.g_02167	Syac.g_00050
OG0000350	Prbm.g_02188	Syac.g_02176
OG0000351	Prbm.g_02212	Syac.g_02468
OG0000352	Prbm.g_02213	Syac.g_02469
OG0000353	Prbm.g_02232	Syac.g_02493
OG0000355	Prbm.g_00001	Syac.g_00001
OG0000356	Prbm.g_00002	Syac.g_00002
OG0000357	Prbm.g_00003	Syac.g_00003
OG0000358	Prbm.g_00007	Syac.g_00007
OG0000359	Prbm.g_00008	Syac.g_00009
OG0000360	Prbm.g_00009	Syac.g_00010
OG0000361	Prbm.g_00010	Syac.g_00011
OG0000362	Prbm.g_00012	Syac.g_00013
OG0000363	Prbm.g_00014	Syac.g_00015
OG0000364	Prbm.g_00015	Syac.g_00016
OG0000365	Prbm.g_00020	Syac.g_00023
OG0000366	Prbm.g_00021	Syac.g_00024
OG0000367	Prbm.g_00022	Syac.g_00025
OG0000368	Prbm.g_00024	Syac.g_00027
OG0000369	Prbm.g_00025	Syac.g_00028
OG0000370	Prbm.g_00026	Syac.g_00029
OG0000371	Prbm.g_00032	Syac.g_00036
OG0000372	Prbm.g_00033	Syac.g_00041
OG0000373	Prbm.g_00034	Syac.g_00042
OG0000374	Prbm.g_00035	Syac.g_00043
OG0000375	Prbm.g_00049	Syac.g_00046
OG0000376	Prbm.g_00051	Syac.g_00048
OG0000377	Prbm.g_00054	Syac.g_02346
OG0000378	Prbm.g_00056	Syac.g_02338
OG0000379	Prbm.g_00059	Syac.g_02335
OG0000380	Prbm.g_00123	Syac.g_00452
OG0000381	Prbm.g_00127	Syac.g_00449
OG0000382	Prbm.g_00138	Syac.g_00434
OG0000383	Prbm.g_00140	Syac.g_00432
OG0000384	Prbm.g_00141	Syac.g_00431
OG0000385	Prbm.g_00142	Syac.g_00430
OG0000386	Prbm.g_00143	Syac.g_00429
OG0000387	Prbm.g_00156	Syac.g_00404
OG0000388	Prbm.g_00160	Syac.g_00401
OG0000389	Prbm.g_00163	Syac.g_00397
OG0000390	Prbm.g_00172	Syac.g_00379
OG0000391	Prbm.g_00176	Syac.g_00374
OG0000392	Prbm.g_00179	Syac.g_00369
OG0000393	Prbm.g_00182	Syac.g_00366
OG0000394	Prbm.g_00183	Syac.g_00365
OG0000395	Prbm.g_00184	Syac.g_00364
OG0000396	Prbm.g_00187	Syac.g_00361
OG0000397	Prbm.g_00189	Syac.g_00359
OG0000398	Prbm.g_00192	Syac.g_00354
OG0000399	Prbm.g_00193	Syac.g_00353
OG0000400	Prbm.g_00194	Syac.g_00352
OG0000401	Prbm.g_00195	Syac.g_00351
OG0000402	Prbm.g_01096	Syac.g_00348
OG0000403	Prbm.g_00196	Syac.g_00347
OG0000404	Prbm.g_00197	Syac.g_00345
OG0000405	Prbm.g_00202	Syac.g_00332
OG0000406	Prbm.g_00206	Syac.g_00328
OG0000407	Prbm.g_00207	Syac.g_00327
OG0000408	Prbm.g_00209	Syac.g_00325
OG0000409	Prbm.g_00211	Syac.g_00323
OG0000410	Prbm.g_00212	Syac.g_00322
OG0000411	Prbm.g_00213	Syac.g_00321
OG0000412	Prbm.g_00214	Syac.g_00320
OG0000413	Prbm.g_00215	Syac.g_00318
OG0000414	Prbm.g_00216	Syac.g_00317
OG0000415	Prbm.g_00217	Syac.g_00316
OG0000416	Prbm.g_00218	Syac.g_00315
OG0000417	Prbm.g_00219	Syac.g_00314
OG0000418	Prbm.g_00224	Syac.g_00309
OG0000419	Prbm.g_00226	Syac.g_00307
OG0000420	Prbm.g_00227	Syac.g_00305
OG0000421	Prbm.g_00232	Syac.g_00300
OG0000422	Prbm.g_00233	Syac.g_00299
OG0000423	Prbm.g_00234	Syac.g_00298
OG0000424	Prbm.g_00235	Syac.g_00297
OG0000425	Prbm.g_00236	Syac.g_00296
OG0000426	Prbm.g_00237	Syac.g_00295
OG0000427	Prbm.g_00238	Syac.g_00294
OG0000428	Prbm.g_00240	Syac.g_02257
OG0000429	Prbm.g_00241	Syac.g_02259
OG0000430	Prbm.g_00242	Syac.g_02260
OG0000431	Prbm.g_00244	Syac.g_02264
OG0000432	Prbm.g_00248	Syac.g_02270
OG0000433	Prbm.g_00249	Syac.g_02272
OG0000434	Prbm.g_00250	Syac.g_02273
OG0000435	Prbm.g_00251	Syac.g_02277
OG0000436	Prbm.g_00256	Syac.g_02282
OG0000437	Prbm.g_00257	Syac.g_02283
OG0000438	Prbm.g_00258	Syac.g_02284
OG0000439	Prbm.g_00260	Syac.g_02286
OG0000440	Prbm.g_00261	Syac.g_02287
OG0000441	Prbm.g_00263	Syac.g_02294
OG0000442	Prbm.g_00264	Syac.g_02295
OG0000443	Prbm.g_00265	Syac.g_02296
OG0000444	Prbm.g_00270	Syac.g_02303
OG0000445	Prbm.g_00271	Syac.g_02304
OG0000446	Prbm.g_00272	Syac.g_02305
OG0000447	Prbm.g_00273	Syac.g_02308
OG0000448	Prbm.g_00274	Syac.g_02309
OG0000449	Prbm.g_00275	Syac.g_02310
OG0000450	Prbm.g_00276	Syac.g_02313
OG0000451	Prbm.g_00277	Syac.g_02314
OG0000452	Prbm.g_00280	Syac.g_02318
OG0000453	Prbm.g_00281	Syac.g_02319
OG0000454	Prbm.g_00282	Syac.g_02320
OG0000455	Prbm.g_00283	Syac.g_02321
OG0000456	Prbm.g_00284	Syac.g_02322
OG0000457	Prbm.g_00285	Syac.g_02324
OG0000458	Prbm.g_00286	Syac.g_02325
OG0000459	Prbm.g_00287	Syac.g_02326
OG0000460	Prbm.g_00295	Syac.g_01970
OG0000461	Prbm.g_00303	Syac.g_02198
OG0000462	Prbm.g_00305	Syac.g_02201
OG0000463	Prbm.g_00306	Syac.g_02202
OG0000464	Prbm.g_00307	Syac.g_02203
OG0000465	Prbm.g_00308	Syac.g_02204
OG0000466	Prbm.g_00309	Syac.g_02208
OG0000467	Prbm.g_00310	Syac.g_02210
OG0000468	Prbm.g_00312	Syac.g_02216
OG0000469	Prbm.g_00320	Syac.g_02230
OG0000470	Prbm.g_00322	Syac.g_02232
OG0000471	Prbm.g_00323	Syac.g_02233
OG0000472	Prbm.g_00324	Syac.g_02235
OG0000473	Prbm.g_00326	Syac.g_02237
OG0000474	Prbm.g_00327	Syac.g_02238
OG0000475	Prbm.g_00328	Syac.g_02239
OG0000476	Prbm.g_00330	Syac.g_02241
OG0000477	Prbm.g_00332	Syac.g_02247
OG0000478	Prbm.g_00333	Syac.g_02248
OG0000479	Prbm.g_00334	Syac.g_02249
OG0000480	Prbm.g_00339	Syac.g_00293
OG0000481	Prbm.g_00341	Syac.g_00291
OG0000482	Prbm.g_00342	Syac.g_00290
OG0000483	Prbm.g_00345	Syac.g_00286
OG0000484	Prbm.g_00346	Syac.g_00285
OG0000485	Prbm.g_00347	Syac.g_00284
OG0000486	Prbm.g_00348	Syac.g_00283
OG0000487	Prbm.g_00351	Syac.g_00276
OG0000488	Prbm.g_00354	Syac.g_00272
OG0000489	Prbm.g_00359	Syac.g_00260
OG0000490	Prbm.g_00364	Syac.g_00249
OG0000491	Prbm.g_00365	Syac.g_00248
OG0000492	Prbm.g_00367	Syac.g_00246
OG0000493	Prbm.g_00368	Syac.g_00245
OG0000494	Prbm.g_00369	Syac.g_00244
OG0000495	Prbm.g_00370	Syac.g_00243
OG0000496	Prbm.g_00371	Syac.g_00242
OG0000497	Prbm.g_00372	Syac.g_00241
OG0000498	Prbm.g_00373	Syac.g_00240
OG0000499	Prbm.g_00374	Syac.g_00239
OG0000500	Prbm.g_00375	Syac.g_00238
OG0000501	Prbm.g_00376	Syac.g_00235
OG0000502	Prbm.g_00379	Syac.g_00223
OG0000503	Prbm.g_00400	Syac.g_02020
OG0000504	Prbm.g_00402	Syac.g_02018
OG0000505	Prbm.g_00403	Syac.g_02017
OG0000506	Prbm.g_00404	Syac.g_02015
OG0000507	Prbm.g_00407	Syac.g_02009
OG0000508	Prbm.g_00410	Syac.g_02005
OG0000509	Prbm.g_00412	Syac.g_02003
OG0000510	Prbm.g_00413	Syac.g_02002
OG0000511	Prbm.g_00414	Syac.g_02001
OG0000512	Prbm.g_00416	Syac.g_01999
OG0000513	Prbm.g_00426	Syac.g_01984
OG0000514	Prbm.g_00440	Syac.g_01977
OG0000515	Prbm.g_00441	Syac.g_01976
OG0000516	Prbm.g_00442	Syac.g_00697
OG0000517	Prbm.g_00445	Syac.g_00691
OG0000518	Prbm.g_00456	Syac.g_00707
OG0000519	Prbm.g_00457	Syac.g_00708
OG0000520	Prbm.g_00458	Syac.g_00709
OG0000521	Prbm.g_00480	Syac.g_01721
OG0000522	Prbm.g_00482	Syac.g_01719
OG0000523	Prbm.g_00483	Syac.g_01718
OG0000524	Prbm.g_00490	Syac.g_01716
OG0000525	Prbm.g_00494	Syac.g_01709
OG0000526	Prbm.g_00495	Syac.g_01706
OG0000527	Prbm.g_00498	Syac.g_01702
OG0000528	Prbm.g_00504	Syac.g_01911
OG0000529	Prbm.g_00507	Syac.g_01903
OG0000530	Prbm.g_00510	Syac.g_01900
OG0000531	Prbm.g_00511	Syac.g_01899
OG0000532	Prbm.g_00512	Syac.g_01896
OG0000533	Prbm.g_00513	Syac.g_01895
OG0000534	Prbm.g_00514	Syac.g_01894
OG0000535	Prbm.g_00515	Syac.g_01893
OG0000536	Prbm.g_00516	Syac.g_01892
OG0000537	Prbm.g_00517	Syac.g_01891
OG0000538	Prbm.g_00534	Syac.g_01880
OG0000539	Prbm.g_00535	Syac.g_01879
OG0000540	Prbm.g_00536	Syac.g_01878
OG0000541	Prbm.g_00537	Syac.g_01877
OG0000542	Prbm.g_00539	Syac.g_01874
OG0000543	Prbm.g_00541	Syac.g_01872
OG0000544	Prbm.g_00542	Syac.g_01871
OG0000545	Prbm.g_00544	Syac.g_01869
OG0000546	Prbm.g_00547	Syac.g_01867
OG0000547	Prbm.g_00549	Syac.g_01865
OG0000548	Prbm.g_00550	Syac.g_01864
OG0000549	Prbm.g_00553	Syac.g_01858
OG0000550	Prbm.g_00557	Syac.g_01854
OG0000551	Prbm.g_00560	Syac.g_01849
OG0000552	Prbm.g_00561	Syac.g_01848
OG0000553	Prbm.g_00562	Syac.g_01846
OG0000554	Prbm.g_00567	Syac.g_01835
OG0000555	Prbm.g_00575	Syac.g_01822
