Orthogroup	Prbm	Syaf
OG0000071	Prbm.g_00468, Prbm.g_01611	Syaf.g_01254
OG0000072	Prbm.g_00230	Syaf.g_00805
OG0000073	Prbm.g_00533	Syaf.g_02700
OG0000075	Prbm.g_02069	Syaf.g_00353
OG0000076	Prbm.g_02094	Syaf.g_00388
OG0000078	Prbm.g_00300	Syaf.g_02782
OG0000079	Prbm.g_00311	Syaf.g_00197
OG0000081	Prbm.g_00564	Syaf.g_02776
OG0000082	Prbm.g_01900	Syaf.g_02576
OG0000084	Prbm.g_01706	Syaf.g_02409
OG0000085	Prbm.g_01834	Syaf.g_01048
OG0000086	Prbm.g_00145	Syaf.g_00932
OG0000087	Prbm.g_00198	Syaf.g_00848
OG0000088	Prbm.g_00225	Syaf.g_00811
OG0000089	Prbm.g_00423	Syaf.g_02807
OG0000090	Prbm.g_00566	Syaf.g_02654
OG0000091	Prbm.g_00673	Syaf.g_02302
OG0000093	Prbm.g_00799	Syaf.g_02065
OG0000094	Prbm.g_00888	Syaf.g_01940
OG0000095	Prbm.g_01064	Syaf.g_01442
OG0000097	Prbm.g_01502	Syaf.g_01574
OG0000098	Prbm.g_01630	Syaf.g_01637
OG0000099	Prbm.g_00394	Syaf.g_00312
OG0000100	Prbm.g_01787	Syaf.g_02017
OG0000101	Prbm.g_02033	Syaf.g_00093
OG0000102	Prbm.g_02099	Syaf.g_00393
OG0000103	Prbm.g_02218	Syaf.g_00520
OG0000104	Prbm.g_02229	Syaf.g_00502
OG0000105	Prbm.g_00331	Syaf.g_00235
OG0000106	Prbm.g_01172, Prbm.g_01237	Syaf.g_01745
OG0000107	Prbm.g_01949	Syaf.g_00177, Syaf.g_00758
OG0000108	Prbm.g_00506	Syaf.g_02721
OG0000109	Prbm.g_00519	Syaf.g_02706
OG0000110	Prbm.g_00607	Syaf.g_02589
OG0000111	Prbm.g_00736	Syaf.g_01451
OG0000112	Prbm.g_00980	Syaf.g_01852
OG0000113	Prbm.g_00838, Prbm.g_01191	Syaf.g_02022
OG0000114	Prbm.g_00929	Syaf.g_02103
OG0000115	Prbm.g_01803	Syaf.g_02445
OG0000116	Prbm.g_01560	Syaf.g_01276
OG0000117	Prbm.g_01522	Syaf.g_01605
OG0000118	Prbm.g_01622	Syaf.g_02544
OG0000120	Prbm.g_00707	Syaf.g_00313
OG0000121	Prbm.g_01712	Syaf.g_02419
OG0000123	Prbm.g_02040	Syaf.g_00086
OG0000124	Prbm.g_02111	Syaf.g_00414
OG0000125	Prbm.g_02176	Syaf.g_00640
OG0000126	Prbm.g_02228	Syaf.g_00504
OG0000127	Prbm.g_01460	Syaf.g_01541
OG0000128	Prbm.g_00011	Syaf.g_00486
OG0000129	Prbm.g_00053	Syaf.g_00651
OG0000130	Prbm.g_00126	Syaf.g_00963
OG0000131	Prbm.g_00204	Syaf.g_00833
OG0000132	Prbm.g_00223	Syaf.g_00813
OG0000133	Prbm.g_00377	Syaf.g_01857
OG0000134	Prbm.g_00425	Syaf.g_02804
OG0000135	Prbm.g_01389	Syaf.g_00605
OG0000136	Prbm.g_00451	Syaf.g_01224
OG0000137	Prbm.g_00500	Syaf.g_02498
OG0000138	Prbm.g_00520	Syaf.g_02705
OG0000139	Prbm.g_00570	Syaf.g_02648
OG0000140	Prbm.g_00571	Syaf.g_02646
OG0000141	Prbm.g_00638	Syaf.g_02375
OG0000142	Prbm.g_00666	Syaf.g_02310
OG0000143	Prbm.g_00670	Syaf.g_02306
OG0000144	Prbm.g_00683	Syaf.g_01735
OG0000145	Prbm.g_01094	Syaf.g_02699
OG0000146	Prbm.g_00979	Syaf.g_01851
OG0000147	Prbm.g_00978	Syaf.g_01850
OG0000148	Prbm.g_00832	Syaf.g_02028
OG0000149	Prbm.g_00862	Syaf.g_01371
OG0000150	Prbm.g_00870	Syaf.g_02645
OG0000151	Prbm.g_00940	Syaf.g_02091
OG0000152	Prbm.g_00988	Syaf.g_01861
OG0000153	Prbm.g_01006	Syaf.g_01904
OG0000154	Prbm.g_01035	Syaf.g_01930
OG0000155	Prbm.g_01527	Syaf.g_01324
OG0000156	Prbm.g_01600	Syaf.g_01270
OG0000157	Prbm.g_01601	Syaf.g_01269
OG0000158	Prbm.g_02077	Syaf.g_00364
OG0000160	Prbm.g_01711	Syaf.g_02418
OG0000161	Prbm.g_01717	Syaf.g_02424
OG0000162	Prbm.g_01723	Syaf.g_02431
OG0000163	Prbm.g_01759	Syaf.g_01105
OG0000164	Prbm.g_01863	Syaf.g_00999
OG0000165	Prbm.g_01871	Syaf.g_01197
OG0000166	Prbm.g_01996	Syaf.g_00133
OG0000167	Prbm.g_02067	Syaf.g_00350
OG0000168	Prbm.g_02078	Syaf.g_00365
OG0000169	Prbm.g_02088	Syaf.g_00376
OG0000170	Prbm.g_02090	Syaf.g_00383
OG0000171	Prbm.g_02110	Syaf.g_00413
OG0000172	Prbm.g_02146	Syaf.g_00419
OG0000173	Prbm.g_02161	Syaf.g_00438
OG0000174	Prbm.g_02192	Syaf.g_00603
OG0000175	Prbm.g_02209	Syaf.g_00531
OG0000176	Prbm.g_00004	Syaf.g_00494
OG0000177	Prbm.g_00005	Syaf.g_00493
OG0000178	Prbm.g_00006	Syaf.g_00492
OG0000179	Prbm.g_00016	Syaf.g_00477
OG0000180	Prbm.g_00017	Syaf.g_00476
OG0000181	Prbm.g_00018	Syaf.g_00475
OG0000182	Prbm.g_00019	Syaf.g_00474
OG0000183	Prbm.g_00023	Syaf.g_00470
OG0000184	Prbm.g_00055	Syaf.g_00664
OG0000185	Prbm.g_00058	Syaf.g_00684
OG0000186	Prbm.g_00121	Syaf.g_00968
OG0000187	Prbm.g_00122	Syaf.g_00966
OG0000188	Prbm.g_00139	Syaf.g_00944
OG0000189	Prbm.g_00153	Syaf.g_00916
OG0000190	Prbm.g_00154	Syaf.g_00914
OG0000191	Prbm.g_00177	Syaf.g_00877
OG0000192	Prbm.g_00181	Syaf.g_00871
OG0000193	Prbm.g_00205	Syaf.g_00832
OG0000194	Prbm.g_00208	Syaf.g_00829
OG0000195	Prbm.g_00210	Syaf.g_00827
OG0000196	Prbm.g_00220	Syaf.g_00816
OG0000197	Prbm.g_00221	Syaf.g_00815
OG0000198	Prbm.g_00222	Syaf.g_00814
OG0000199	Prbm.g_00229	Syaf.g_00806
OG0000200	Prbm.g_00243	Syaf.g_00789
OG0000201	Prbm.g_00252	Syaf.g_00771
OG0000202	Prbm.g_00253	Syaf.g_00770
OG0000203	Prbm.g_00254	Syaf.g_00769
OG0000204	Prbm.g_00255	Syaf.g_00768
OG0000205	Prbm.g_00262	Syaf.g_00761
OG0000206	Prbm.g_00266	Syaf.g_00736
OG0000207	Prbm.g_00268	Syaf.g_00735
OG0000208	Prbm.g_00269	Syaf.g_00734
OG0000209	Prbm.g_00278	Syaf.g_00714
OG0000210	Prbm.g_00279	Syaf.g_00713
OG0000211	Prbm.g_00293	Syaf.g_02791
OG0000212	Prbm.g_00301	Syaf.g_02781
OG0000213	Prbm.g_00317	Syaf.g_00210
OG0000214	Prbm.g_00325	Syaf.g_00226
OG0000215	Prbm.g_00349	Syaf.g_00258
OG0000216	Prbm.g_00350	Syaf.g_00262
OG0000217	Prbm.g_00353	Syaf.g_00266
OG0000218	Prbm.g_00355	Syaf.g_00268
OG0000219	Prbm.g_00356	Syaf.g_00269
OG0000220	Prbm.g_00357	Syaf.g_00270
OG0000221	Prbm.g_00358	Syaf.g_02597, Syaf.g_00273
OG0000222	Prbm.g_00366	Syaf.g_00287
OG0000223	Prbm.g_00378	Syaf.g_00317
OG0000224	Prbm.g_00380	Syaf.g_00324
OG0000225	Prbm.g_00411	Syaf.g_00007
OG0000226	Prbm.g_00415	Syaf.g_00003
OG0000227	Prbm.g_00417	Syaf.g_00001
OG0000228	Prbm.g_00422	Syaf.g_02808
OG0000229	Prbm.g_00446	Syaf.g_01214
OG0000230	Prbm.g_00448	Syaf.g_01216
OG0000231	Prbm.g_00459	Syaf.g_01236
OG0000232	Prbm.g_00484	Syaf.g_02536
OG0000233	Prbm.g_00492	Syaf.g_02528
OG0000234	Prbm.g_00501	Syaf.g_02497
OG0000235	Prbm.g_00505	Syaf.g_02722
OG0000236	Prbm.g_00518	Syaf.g_02707
OG0000237	Prbm.g_00540	Syaf.g_02690
OG0000238	Prbm.g_00546	Syaf.g_02685
OG0000239	Prbm.g_00558	Syaf.g_02669
OG0000240	Prbm.g_00559	Syaf.g_02668
OG0000241	Prbm.g_00563	Syaf.g_02322
OG0000242	Prbm.g_00565	Syaf.g_02656
OG0000243	Prbm.g_00576	Syaf.g_02634
OG0000244	Prbm.g_00579	Syaf.g_02627
OG0000245	Prbm.g_00581	Syaf.g_02625
OG0000246	Prbm.g_00585	Syaf.g_02621
OG0000247	Prbm.g_00595	Syaf.g_02610
OG0000248	Prbm.g_00597	Syaf.g_02607
OG0000249	Prbm.g_00599	Syaf.g_02605
OG0000250	Prbm.g_00604	Syaf.g_02593
OG0000251	Prbm.g_00620	Syaf.g_02568
OG0000252	Prbm.g_00623	Syaf.g_02565
OG0000253	Prbm.g_00625	Syaf.g_02564
OG0000254	Prbm.g_00642	Syaf.g_02371
OG0000255	Prbm.g_00648	Syaf.g_02352
OG0000256	Prbm.g_00658	Syaf.g_02329
OG0000257	Prbm.g_00661	Syaf.g_02323
OG0000258	Prbm.g_00674	Syaf.g_02301
OG0000259	Prbm.g_00691	Syaf.g_02137
OG0000260	Prbm.g_00694	Syaf.g_02134
OG0000261	Prbm.g_00697	Syaf.g_02131
OG0000262	Prbm.g_00702	Syaf.g_02126
OG0000263	Prbm.g_00716	Syaf.g_01585
OG0000264	Prbm.g_00728	Syaf.g_01473
OG0000265	Prbm.g_00742	Syaf.g_01196
OG0000266	Prbm.g_00752	Syaf.g_01967
OG0000267	Prbm.g_00765	Syaf.g_01787
OG0000268	Prbm.g_00766	Syaf.g_01788
OG0000269	Prbm.g_00809	Syaf.g_02054
OG0000270	Prbm.g_00812	Syaf.g_02051
OG0000271	Prbm.g_00820	Syaf.g_02043
OG0000272	Prbm.g_00821	Syaf.g_02042
OG0000273	Prbm.g_00845	Syaf.g_01392
OG0000274	Prbm.g_00846	Syaf.g_01391
OG0000275	Prbm.g_00848	Syaf.g_01386
OG0000276	Prbm.g_00854	Syaf.g_01379
OG0000277	Prbm.g_00855	Syaf.g_01378
OG0000278	Prbm.g_00858	Syaf.g_01375
OG0000279	Prbm.g_00865	Syaf.g_01367
OG0000281	Prbm.g_00871	Syaf.g_01636
OG0000282	Prbm.g_00931	Syaf.g_02101
OG0000283	Prbm.g_00962	Syaf.g_01804
OG0000284	Prbm.g_00967	Syaf.g_01810
OG0000285	Prbm.g_00972	Syaf.g_01842
OG0000286	Prbm.g_00987	Syaf.g_01860
OG0000287	Prbm.g_00102	Syaf.g_01896
OG0000288	Prbm.g_01034	Syaf.g_01929
OG0000289	Prbm.g_01045	Syaf.g_01943
OG0000290	Prbm.g_01061	Syaf.g_01439
OG0000291	Prbm.g_01063	Syaf.g_01441
OG0000292	Prbm.g_01210	Syaf.g_00505
OG0000293	Prbm.g_01559	Syaf.g_01277
OG0000294	Prbm.g_01558	Syaf.g_01278
OG0000295	Prbm.g_01534	Syaf.g_01316
OG0000296	Prbm.g_01532	Syaf.g_01318
OG0000297	Prbm.g_01524	Syaf.g_01607
OG0000298	Prbm.g_01523	Syaf.g_01606
OG0000299	Prbm.g_01503	Syaf.g_01578
OG0000300	Prbm.g_01500	Syaf.g_01571
OG0000301	Prbm.g_01499	Syaf.g_01570
OG0000302	Prbm.g_01497	Syaf.g_01568
OG0000303	Prbm.g_01492	Syaf.g_01559
OG0000304	Prbm.g_01489	Syaf.g_01551
OG0000305	Prbm.g_01812	Syaf.g_01444
OG0000306	Prbm.g_00875	Syaf.g_01332
OG0000307	Prbm.g_01669	Syaf.g_02742
OG0000308	Prbm.g_01670	Syaf.g_02744
OG0000309	Prbm.g_01674	Syaf.g_02749
OG0000310	Prbm.g_01694	Syaf.g_02387
OG0000311	Prbm.g_01696	Syaf.g_02391
OG0000312	Prbm.g_01699	Syaf.g_02397
OG0000313	Prbm.g_01714	Syaf.g_02421
OG0000314	Prbm.g_01735	Syaf.g_02458
OG0000315	Prbm.g_01745	Syaf.g_02468
OG0000316	Prbm.g_01770	Syaf.g_01088
OG0000317	Prbm.g_01839	Syaf.g_01040
OG0000318	Prbm.g_01842	Syaf.g_01032
OG0000319	Prbm.g_01853	Syaf.g_01015
OG0000320	Prbm.g_01855	Syaf.g_01013
OG0000321	Prbm.g_01856	Syaf.g_01012
OG0000322	Prbm.g_01857	Syaf.g_01011
OG0000323	Prbm.g_01866	Syaf.g_00997
OG0000324	Prbm.g_01893	Syaf.g_01164
OG0000325	Prbm.g_01950	Syaf.g_00176
OG0000326	Prbm.g_01956	Syaf.g_00169
OG0000327	Prbm.g_01991	Syaf.g_00138
OG0000328	Prbm.g_01992	Syaf.g_00137
OG0000329	Prbm.g_02009	Syaf.g_00119
OG0000330	Prbm.g_02010	Syaf.g_00118
OG0000331	Prbm.g_02011	Syaf.g_00117
OG0000332	Prbm.g_02025	Syaf.g_00102
OG0000333	Prbm.g_02027	Syaf.g_00099
OG0000334	Prbm.g_02036	Syaf.g_00090
OG0000335	Prbm.g_02041	Syaf.g_00085
OG0000336	Prbm.g_02045	Syaf.g_00081
OG0000337	Prbm.g_02064	Syaf.g_00344
OG0000338	Prbm.g_02065	Syaf.g_00348
OG0000339	Prbm.g_02070	Syaf.g_00355
OG0000340	Prbm.g_02079	Syaf.g_00366
OG0000341	Prbm.g_02081	Syaf.g_00368
OG0000342	Prbm.g_02082	Syaf.g_00369
OG0000343	Prbm.g_02083	Syaf.g_00370
OG0000344	Prbm.g_02086	Syaf.g_00374
OG0000345	Prbm.g_02091	Syaf.g_00384
OG0000346	Prbm.g_02095	Syaf.g_00389
OG0000347	Prbm.g_02114	Syaf.g_00415
OG0000348	Prbm.g_02149	Syaf.g_00427
OG0000349	Prbm.g_02167	Syaf.g_00445
OG0000350	Prbm.g_02188	Syaf.g_00162
OG0000351	Prbm.g_02212	Syaf.g_00528
OG0000352	Prbm.g_02213	Syaf.g_00527
OG0000353	Prbm.g_02232	Syaf.g_00499
OG0000354	Prbm.g_01220	Syaf.g_00479
OG0000355	Prbm.g_00001	Syaf.g_00497
OG0000356	Prbm.g_00002	Syaf.g_00496
OG0000357	Prbm.g_00003	Syaf.g_00495
OG0000358	Prbm.g_00007	Syaf.g_00491
OG0000359	Prbm.g_00008	Syaf.g_00489
OG0000360	Prbm.g_00009	Syaf.g_00488
OG0000361	Prbm.g_00010	Syaf.g_00487
OG0000362	Prbm.g_00012	Syaf.g_00485
OG0000363	Prbm.g_00014	Syaf.g_00483
OG0000364	Prbm.g_00015	Syaf.g_00482
OG0000365	Prbm.g_00020	Syaf.g_00473
OG0000366	Prbm.g_00021	Syaf.g_00472
OG0000367	Prbm.g_00022	Syaf.g_00471
OG0000368	Prbm.g_00024	Syaf.g_00469
OG0000369	Prbm.g_00025	Syaf.g_00468
OG0000370	Prbm.g_00026	Syaf.g_00467
OG0000371	Prbm.g_00032	Syaf.g_00458
OG0000372	Prbm.g_00033	Syaf.g_00453
OG0000373	Prbm.g_00034	Syaf.g_00452
OG0000374	Prbm.g_00035	Syaf.g_00451
OG0000375	Prbm.g_00049	Syaf.g_00449
OG0000376	Prbm.g_00051	Syaf.g_00447
OG0000377	Prbm.g_00054	Syaf.g_00654
OG0000378	Prbm.g_00056	Syaf.g_00668
OG0000379	Prbm.g_00059	Syaf.g_00686
OG0000380	Prbm.g_00123	Syaf.g_00965
OG0000381	Prbm.g_00127	Syaf.g_00962
OG0000382	Prbm.g_00138	Syaf.g_00945
OG0000383	Prbm.g_00140	Syaf.g_00941
OG0000384	Prbm.g_00141	Syaf.g_00940
OG0000385	Prbm.g_00142	Syaf.g_00939
OG0000386	Prbm.g_00143	Syaf.g_00938
OG0000387	Prbm.g_00156	Syaf.g_00912
OG0000388	Prbm.g_00160	Syaf.g_00908
OG0000389	Prbm.g_00163	Syaf.g_00904
OG0000390	Prbm.g_00172	Syaf.g_00883
OG0000391	Prbm.g_00176	Syaf.g_00878
OG0000392	Prbm.g_00179	Syaf.g_00872
OG0000393	Prbm.g_00182	Syaf.g_00870
OG0000394	Prbm.g_00183	Syaf.g_00869
OG0000395	Prbm.g_00184	Syaf.g_00868
OG0000396	Prbm.g_00187	Syaf.g_00865
OG0000397	Prbm.g_00189	Syaf.g_00863
OG0000398	Prbm.g_00192	Syaf.g_00858
OG0000399	Prbm.g_00193	Syaf.g_00857
OG0000400	Prbm.g_00194	Syaf.g_00856
OG0000401	Prbm.g_00195	Syaf.g_00855
OG0000402	Prbm.g_01096	Syaf.g_00852
OG0000403	Prbm.g_00196	Syaf.g_00851
OG0000404	Prbm.g_00197	Syaf.g_00850
OG0000405	Prbm.g_00202	Syaf.g_00835
OG0000406	Prbm.g_00206	Syaf.g_00831
OG0000407	Prbm.g_00207	Syaf.g_00830
OG0000408	Prbm.g_00209	Syaf.g_00828
OG0000409	Prbm.g_00211	Syaf.g_00826
OG0000410	Prbm.g_00212	Syaf.g_00825
OG0000411	Prbm.g_00213	Syaf.g_00824
OG0000412	Prbm.g_00214	Syaf.g_00823
OG0000413	Prbm.g_00215	Syaf.g_00821
OG0000414	Prbm.g_00216	Syaf.g_00820
OG0000415	Prbm.g_00217	Syaf.g_00819
OG0000416	Prbm.g_00218	Syaf.g_00818
OG0000417	Prbm.g_00219	Syaf.g_00817
OG0000418	Prbm.g_00224	Syaf.g_00812
OG0000419	Prbm.g_00226	Syaf.g_00810
OG0000420	Prbm.g_00227	Syaf.g_00808
OG0000421	Prbm.g_00232	Syaf.g_00803
OG0000422	Prbm.g_00233	Syaf.g_00802
OG0000423	Prbm.g_00234	Syaf.g_00801
OG0000424	Prbm.g_00235	Syaf.g_00800
OG0000425	Prbm.g_00236	Syaf.g_00799
OG0000426	Prbm.g_00237	Syaf.g_00798
OG0000427	Prbm.g_00238	Syaf.g_00797
OG0000428	Prbm.g_00240	Syaf.g_00794
OG0000429	Prbm.g_00241	Syaf.g_00792
OG0000430	Prbm.g_00242	Syaf.g_00790
OG0000431	Prbm.g_00244	Syaf.g_00786
OG0000432	Prbm.g_00248	Syaf.g_00779
OG0000433	Prbm.g_00249	Syaf.g_00777
OG0000434	Prbm.g_00250	Syaf.g_00776
OG0000435	Prbm.g_00251	Syaf.g_00772
OG0000436	Prbm.g_00256	Syaf.g_00767
OG0000437	Prbm.g_00257	Syaf.g_00766
OG0000438	Prbm.g_00258	Syaf.g_00765
OG0000439	Prbm.g_00260	Syaf.g_00763
OG0000440	Prbm.g_00261	Syaf.g_00762
OG0000441	Prbm.g_00263	Syaf.g_00756
OG0000442	Prbm.g_00264	Syaf.g_00743
OG0000443	Prbm.g_00265	Syaf.g_00739
OG0000444	Prbm.g_00270	Syaf.g_00733
OG0000445	Prbm.g_00271	Syaf.g_00729
OG0000446	Prbm.g_00272	Syaf.g_00728
OG0000447	Prbm.g_00273	Syaf.g_00725
OG0000448	Prbm.g_00274	Syaf.g_00724
OG0000449	Prbm.g_00275	Syaf.g_00723
OG0000450	Prbm.g_00276	Syaf.g_00717
OG0000451	Prbm.g_00277	Syaf.g_00716
OG0000452	Prbm.g_00280	Syaf.g_00712
OG0000453	Prbm.g_00281	Syaf.g_00711
OG0000454	Prbm.g_00282	Syaf.g_00710
OG0000455	Prbm.g_00283	Syaf.g_00709
OG0000456	Prbm.g_00284	Syaf.g_00708
OG0000457	Prbm.g_00285	Syaf.g_00706
OG0000458	Prbm.g_00286	Syaf.g_00705
OG0000459	Prbm.g_00287	Syaf.g_00704
OG0000460	Prbm.g_00295	Syaf.g_02789
OG0000461	Prbm.g_00303	Syaf.g_00183
OG0000462	Prbm.g_00305	Syaf.g_00186
OG0000463	Prbm.g_00306	Syaf.g_00187
OG0000464	Prbm.g_00307	Syaf.g_00188
OG0000465	Prbm.g_00308	Syaf.g_00190
OG0000466	Prbm.g_00309	Syaf.g_00194
OG0000467	Prbm.g_00310	Syaf.g_00196
OG0000468	Prbm.g_00312	Syaf.g_00206
OG0000469	Prbm.g_00320	Syaf.g_00220
OG0000470	Prbm.g_00322	Syaf.g_00222
OG0000471	Prbm.g_00323	Syaf.g_00223
OG0000472	Prbm.g_00324	Syaf.g_00225
OG0000473	Prbm.g_00326	Syaf.g_00227
OG0000474	Prbm.g_00327	Syaf.g_00228
OG0000475	Prbm.g_00328	Syaf.g_00229
OG0000476	Prbm.g_00330	Syaf.g_00231
OG0000477	Prbm.g_00332	Syaf.g_00237
OG0000478	Prbm.g_00333	Syaf.g_00238
OG0000479	Prbm.g_00334	Syaf.g_00239
OG0000480	Prbm.g_00339	Syaf.g_00247
OG0000481	Prbm.g_00341	Syaf.g_00249
OG0000482	Prbm.g_00342	Syaf.g_00250
OG0000483	Prbm.g_00345	Syaf.g_00254
OG0000484	Prbm.g_00346	Syaf.g_00255
OG0000485	Prbm.g_00347	Syaf.g_00256
OG0000486	Prbm.g_00348	Syaf.g_00257
OG0000487	Prbm.g_00351	Syaf.g_00263
OG0000488	Prbm.g_00354	Syaf.g_00267
OG0000489	Prbm.g_00359	Syaf.g_00274
OG0000490	Prbm.g_00364	Syaf.g_00284
OG0000491	Prbm.g_00365	Syaf.g_00285
OG0000492	Prbm.g_00367	Syaf.g_00288
OG0000493	Prbm.g_00368	Syaf.g_00289
OG0000494	Prbm.g_00369	Syaf.g_00290
OG0000495	Prbm.g_00370	Syaf.g_00291
OG0000496	Prbm.g_00371	Syaf.g_00292
OG0000497	Prbm.g_00372	Syaf.g_00293
OG0000498	Prbm.g_00373	Syaf.g_00294
OG0000499	Prbm.g_00374	Syaf.g_00295
OG0000500	Prbm.g_00375	Syaf.g_00296
OG0000501	Prbm.g_00376	Syaf.g_00299
OG0000502	Prbm.g_00379	Syaf.g_00319
OG0000503	Prbm.g_00400	Syaf.g_00023
OG0000504	Prbm.g_00402	Syaf.g_00021
OG0000505	Prbm.g_00403	Syaf.g_00020
OG0000506	Prbm.g_00404	Syaf.g_00018
OG0000507	Prbm.g_00407	Syaf.g_00012
OG0000508	Prbm.g_00410	Syaf.g_00008
OG0000509	Prbm.g_00412	Syaf.g_00006
OG0000510	Prbm.g_00413	Syaf.g_00005
OG0000511	Prbm.g_00414	Syaf.g_00004
OG0000512	Prbm.g_00416	Syaf.g_00002
OG0000513	Prbm.g_00426	Syaf.g_02803
OG0000514	Prbm.g_00440	Syaf.g_02796
OG0000515	Prbm.g_00441	Syaf.g_02795
OG0000516	Prbm.g_00442	Syaf.g_01219
OG0000517	Prbm.g_00445	Syaf.g_01213
OG0000518	Prbm.g_00456	Syaf.g_01230
OG0000519	Prbm.g_00457	Syaf.g_01231
OG0000520	Prbm.g_00458	Syaf.g_01235
OG0000521	Prbm.g_00480	Syaf.g_02542
OG0000522	Prbm.g_00482	Syaf.g_02538
OG0000523	Prbm.g_00483	Syaf.g_02537
OG0000524	Prbm.g_00490	Syaf.g_02531
OG0000525	Prbm.g_00494	Syaf.g_02507
OG0000526	Prbm.g_00495	Syaf.g_02504
OG0000527	Prbm.g_00498	Syaf.g_02500
OG0000528	Prbm.g_00504	Syaf.g_02728
OG0000529	Prbm.g_00507	Syaf.g_02720
OG0000530	Prbm.g_00510	Syaf.g_02717
OG0000531	Prbm.g_00511	Syaf.g_02716
OG0000532	Prbm.g_00512	Syaf.g_02713
OG0000533	Prbm.g_00513	Syaf.g_02712
OG0000534	Prbm.g_00514	Syaf.g_02711
OG0000535	Prbm.g_00515	Syaf.g_02710
OG0000536	Prbm.g_00516	Syaf.g_02709
OG0000537	Prbm.g_00517	Syaf.g_02708
OG0000538	Prbm.g_00534	Syaf.g_02697
OG0000539	Prbm.g_00535	Syaf.g_02696
OG0000540	Prbm.g_00536	Syaf.g_02695
