Orthogroup	Prbf	Prau
OG0000120	Prbf.g_00924	Prau.g_01212
OG0000121	Prbf.g_00947	Prau.g_01231
OG0000122	Prbf.g_00967	Prau.g_01250
OG0000123	Prbf.g_01915	Prau.g_01263
OG0000124	Prbf.g_00253	Prau.g_01496, Prau.g_01271
OG0000125	Prbf.g_00013	Prau.g_01383
OG0000126	Prbf.g_00095	Prau.g_01409
OG0000127	Prbf.g_00145	Prau.g_01515
OG0000128	Prbf.g_00158	Prau.g_01532
OG0000129	Prbf.g_00194	Prau.g_01568
OG0000130	Prbf.g_00696	Prau.g_01730
OG0000131	Prbf.g_00657	Prau.g_01768
OG0000132	Prbf.g_00654	Prau.g_01771
OG0000133	Prbf.g_00600	Prau.g_01828
OG0000134	Prbf.g_00564	Prau.g_01864
OG0000135	Prbf.g_00562	Prau.g_01866
OG0000136	Prbf.g_00512	Prau.g_01910
OG0000137	Prbf.g_00477	Prau.g_01942
OG0000138	Prbf.g_00443	Prau.g_01978
OG0000139	Prbf.g_00412	Prau.g_02004
OG0000140	Prbf.g_00392	Prau.g_00001
OG0000141	Prbf.g_00391	Prau.g_00002
OG0000142	Prbf.g_00389	Prau.g_00004
OG0000143	Prbf.g_00388	Prau.g_00005
OG0000144	Prbf.g_00386	Prau.g_00007
OG0000145	Prbf.g_00385	Prau.g_00008
OG0000146	Prbf.g_00384	Prau.g_00009
OG0000147	Prbf.g_00383	Prau.g_00010
OG0000148	Prbf.g_00381	Prau.g_00012
OG0000149	Prbf.g_01336	Prau.g_00014
OG0000150	Prbf.g_01337	Prau.g_00015
OG0000151	Prbf.g_01338	Prau.g_00016
OG0000152	Prbf.g_01339	Prau.g_00017
OG0000153	Prbf.g_01340	Prau.g_00018
OG0000154	Prbf.g_01341	Prau.g_00019
OG0000155	Prbf.g_01342	Prau.g_00020
OG0000156	Prbf.g_01343	Prau.g_00021
OG0000157	Prbf.g_01344	Prau.g_00022
OG0000158	Prbf.g_01346	Prau.g_00024
OG0000159	Prbf.g_01347	Prau.g_00025
OG0000160	Prbf.g_01348	Prau.g_00026
OG0000161	Prbf.g_01349	Prau.g_00027
OG0000162	Prbf.g_01350	Prau.g_00028
OG0000163	Prbf.g_01352	Prau.g_00029
OG0000164	Prbf.g_01355	Prau.g_00031
OG0000165	Prbf.g_01358	Prau.g_00034
OG0000166	Prbf.g_01359	Prau.g_00035
OG0000167	Prbf.g_01360	Prau.g_00036
OG0000168	Prbf.g_01362	Prau.g_00047
OG0000169	Prbf.g_01364	Prau.g_00049
OG0000170	Prbf.g_01366	Prau.g_00050
OG0000171	Prbf.g_01367	Prau.g_00051
OG0000172	Prbf.g_01368	Prau.g_00053
OG0000173	Prbf.g_01371	Prau.g_00054
OG0000174	Prbf.g_01372	Prau.g_00055
OG0000175	Prbf.g_01373	Prau.g_00056
OG0000176	Prbf.g_01375	Prau.g_00058
OG0000177	Prbf.g_01376	Prau.g_00059
OG0000178	Prbf.g_01378	Prau.g_00060
OG0000179	Prbf.g_01390	Prau.g_00066
OG0000180	Prbf.g_01391	Prau.g_00067
OG0000181	Prbf.g_01392	Prau.g_00068
OG0000182	Prbf.g_01396	Prau.g_00071
OG0000183	Prbf.g_01397	Prau.g_00072
OG0000184	Prbf.g_01400	Prau.g_00074
OG0000185	Prbf.g_01404	Prau.g_00078
OG0000186	Prbf.g_01405	Prau.g_00079
OG0000187	Prbf.g_00291	Prau.g_00080
OG0000188	Prbf.g_01406	Prau.g_00081
OG0000189	Prbf.g_01407	Prau.g_00082
OG0000190	Prbf.g_01408	Prau.g_00083
OG0000191	Prbf.g_01409	Prau.g_00084
OG0000192	Prbf.g_01410	Prau.g_00085
OG0000193	Prbf.g_01411	Prau.g_00086
OG0000194	Prbf.g_01412	Prau.g_00087
OG0000195	Prbf.g_01414	Prau.g_00089
OG0000196	Prbf.g_01415	Prau.g_00090
OG0000197	Prbf.g_01416	Prau.g_00091
OG0000198	Prbf.g_01417	Prau.g_00092
OG0000199	Prbf.g_01420	Prau.g_00095
OG0000200	Prbf.g_01421	Prau.g_00096
OG0000201	Prbf.g_01422	Prau.g_00097
OG0000202	Prbf.g_01424	Prau.g_00098
OG0000203	Prbf.g_01425	Prau.g_00099
OG0000204	Prbf.g_01426	Prau.g_00100
OG0000205	Prbf.g_01428	Prau.g_00101
OG0000206	Prbf.g_01429	Prau.g_00102
OG0000207	Prbf.g_01430	Prau.g_00103
OG0000208	Prbf.g_01431	Prau.g_00104
OG0000209	Prbf.g_01432	Prau.g_00105
OG0000210	Prbf.g_01433	Prau.g_00107
OG0000211	Prbf.g_01435	Prau.g_00108
OG0000212	Prbf.g_01436	Prau.g_00109
OG0000213	Prbf.g_01437	Prau.g_00110
OG0000214	Prbf.g_01441	Prau.g_00112
OG0000215	Prbf.g_01442	Prau.g_00113
OG0000216	Prbf.g_01444	Prau.g_00115
OG0000217	Prbf.g_01445	Prau.g_00116
OG0000218	Prbf.g_01446	Prau.g_00117
OG0000219	Prbf.g_01447	Prau.g_00118
OG0000220	Prbf.g_01450	Prau.g_00121
OG0000221	Prbf.g_01453	Prau.g_00123
OG0000222	Prbf.g_01454	Prau.g_00124
OG0000223	Prbf.g_01455	Prau.g_00125
OG0000224	Prbf.g_01457	Prau.g_00128
OG0000225	Prbf.g_01459	Prau.g_00130
OG0000226	Prbf.g_01461	Prau.g_00131
OG0000227	Prbf.g_01462	Prau.g_00132
OG0000228	Prbf.g_01463	Prau.g_00133
OG0000229	Prbf.g_01464	Prau.g_00134
OG0000230	Prbf.g_01465	Prau.g_00135
OG0000231	Prbf.g_01055	Prau.g_00137
OG0000232	Prbf.g_01467	Prau.g_00138
OG0000233	Prbf.g_01470	Prau.g_00141
OG0000234	Prbf.g_01472	Prau.g_00143
OG0000235	Prbf.g_01478	Prau.g_00146
OG0000236	Prbf.g_01479	Prau.g_00147
OG0000237	Prbf.g_01480	Prau.g_00148
OG0000238	Prbf.g_01481	Prau.g_00149
OG0000239	Prbf.g_01482	Prau.g_00150
OG0000240	Prbf.g_01484	Prau.g_00152
OG0000241	Prbf.g_01485	Prau.g_00153
OG0000242	Prbf.g_01486	Prau.g_00154
OG0000243	Prbf.g_01487	Prau.g_00155
OG0000244	Prbf.g_01488	Prau.g_00156
OG0000245	Prbf.g_01490	Prau.g_00157
OG0000246	Prbf.g_01492	Prau.g_00159
OG0000247	Prbf.g_01493	Prau.g_00160
OG0000248	Prbf.g_01494	Prau.g_00161
OG0000249	Prbf.g_01495	Prau.g_00162
OG0000250	Prbf.g_01496	Prau.g_00163
OG0000251	Prbf.g_01497	Prau.g_00164
OG0000252	Prbf.g_01498	Prau.g_00165
OG0000253	Prbf.g_01499	Prau.g_00166
OG0000254	Prbf.g_01501	Prau.g_00168
OG0000255	Prbf.g_01502	Prau.g_00169
OG0000256	Prbf.g_01505	Prau.g_00172
OG0000257	Prbf.g_01507	Prau.g_00174
OG0000258	Prbf.g_01508	Prau.g_00175
OG0000259	Prbf.g_01509	Prau.g_00176
OG0000260	Prbf.g_01510	Prau.g_00177
OG0000261	Prbf.g_01511	Prau.g_00178
OG0000262	Prbf.g_01512	Prau.g_00179
OG0000263	Prbf.g_01513	Prau.g_00180
OG0000264	Prbf.g_01515	Prau.g_00182
OG0000265	Prbf.g_01516	Prau.g_00183
OG0000266	Prbf.g_01517	Prau.g_00184
OG0000267	Prbf.g_01519	Prau.g_00186
OG0000268	Prbf.g_01521	Prau.g_00187
OG0000269	Prbf.g_01522	Prau.g_00188
OG0000270	Prbf.g_01523	Prau.g_00189
OG0000271	Prbf.g_01524	Prau.g_00190
OG0000272	Prbf.g_01525	Prau.g_00191
OG0000273	Prbf.g_01526	Prau.g_00192
OG0000274	Prbf.g_01527	Prau.g_00193
OG0000275	Prbf.g_01528	Prau.g_00194
OG0000276	Prbf.g_01529	Prau.g_00195
OG0000277	Prbf.g_01530	Prau.g_00196
OG0000278	Prbf.g_01531	Prau.g_00197
OG0000279	Prbf.g_01532	Prau.g_00198
OG0000280	Prbf.g_01533	Prau.g_00199
OG0000281	Prbf.g_01535	Prau.g_00201
OG0000282	Prbf.g_01536	Prau.g_00202
OG0000283	Prbf.g_01539	Prau.g_00205
OG0000284	Prbf.g_01540	Prau.g_00206
OG0000285	Prbf.g_01541	Prau.g_00207
OG0000286	Prbf.g_01543	Prau.g_00209
OG0000287	Prbf.g_01545	Prau.g_00210
OG0000288	Prbf.g_01546	Prau.g_00211
OG0000289	Prbf.g_01547	Prau.g_00212
OG0000290	Prbf.g_01548	Prau.g_00213
OG0000291	Prbf.g_01549	Prau.g_00214
OG0000292	Prbf.g_01550	Prau.g_00215
OG0000293	Prbf.g_01551	Prau.g_00216
OG0000294	Prbf.g_01552	Prau.g_00217
OG0000295	Prbf.g_01553	Prau.g_00218
OG0000296	Prbf.g_01554	Prau.g_00219
OG0000297	Prbf.g_01555	Prau.g_00220
OG0000298	Prbf.g_01556	Prau.g_00221
OG0000299	Prbf.g_01557	Prau.g_00222
OG0000300	Prbf.g_01558	Prau.g_00223
OG0000301	Prbf.g_01559	Prau.g_00224
OG0000302	Prbf.g_01560	Prau.g_00225
OG0000303	Prbf.g_01561	Prau.g_00226
OG0000304	Prbf.g_01563	Prau.g_00227
OG0000305	Prbf.g_01564	Prau.g_00228
OG0000306	Prbf.g_01565	Prau.g_00229
OG0000307	Prbf.g_01567	Prau.g_00230
OG0000308	Prbf.g_01568	Prau.g_00231
OG0000309	Prbf.g_01569	Prau.g_00232
OG0000310	Prbf.g_01570	Prau.g_00233
OG0000311	Prbf.g_01571	Prau.g_00234
OG0000312	Prbf.g_01573	Prau.g_00236
OG0000313	Prbf.g_01574	Prau.g_00237
OG0000314	Prbf.g_01578	Prau.g_00240
OG0000315	Prbf.g_01579	Prau.g_00241
OG0000316	Prbf.g_01581	Prau.g_00244
OG0000317	Prbf.g_01583	Prau.g_00246
OG0000318	Prbf.g_01584	Prau.g_00247
OG0000319	Prbf.g_01585	Prau.g_00248
OG0000320	Prbf.g_01586	Prau.g_00249
OG0000321	Prbf.g_01589	Prau.g_00252
OG0000322	Prbf.g_01593	Prau.g_00255
OG0000323	Prbf.g_01594	Prau.g_00256
OG0000324	Prbf.g_01597	Prau.g_00259
OG0000325	Prbf.g_01598	Prau.g_00261
OG0000326	Prbf.g_01599	Prau.g_00262
OG0000327	Prbf.g_01601	Prau.g_00264
OG0000328	Prbf.g_01602	Prau.g_00265
OG0000329	Prbf.g_01603	Prau.g_00266
OG0000330	Prbf.g_01604	Prau.g_00267
OG0000331	Prbf.g_01606	Prau.g_00268
OG0000332	Prbf.g_01607	Prau.g_00269
OG0000333	Prbf.g_01608	Prau.g_00270
OG0000334	Prbf.g_01609	Prau.g_00271
OG0000335	Prbf.g_01610	Prau.g_00272
OG0000336	Prbf.g_01612	Prau.g_00273
OG0000337	Prbf.g_01615	Prau.g_00277
OG0000338	Prbf.g_01616	Prau.g_00278
OG0000339	Prbf.g_01617	Prau.g_00279
OG0000340	Prbf.g_01618	Prau.g_00280
OG0000341	Prbf.g_01622	Prau.g_00284
OG0000342	Prbf.g_01623	Prau.g_00285
OG0000343	Prbf.g_01626	Prau.g_00287
OG0000344	Prbf.g_01627	Prau.g_00288
OG0000345	Prbf.g_01628	Prau.g_00289
OG0000346	Prbf.g_01629	Prau.g_00290
OG0000347	Prbf.g_01630	Prau.g_00291
OG0000348	Prbf.g_01632	Prau.g_00292
OG0000349	Prbf.g_01633	Prau.g_00293
OG0000350	Prbf.g_01634	Prau.g_00294
OG0000351	Prbf.g_01636	Prau.g_00297
OG0000352	Prbf.g_01639	Prau.g_00300
OG0000353	Prbf.g_01640	Prau.g_00301
OG0000354	Prbf.g_01641	Prau.g_00302
OG0000355	Prbf.g_01642	Prau.g_00303
OG0000356	Prbf.g_01643	Prau.g_00304
OG0000357	Prbf.g_01644	Prau.g_00305
OG0000358	Prbf.g_01645	Prau.g_00306
OG0000359	Prbf.g_01646	Prau.g_00307
OG0000360	Prbf.g_01648	Prau.g_00310
OG0000361	Prbf.g_01649	Prau.g_00311
OG0000362	Prbf.g_01650	Prau.g_00312
OG0000363	Prbf.g_01651	Prau.g_00313
OG0000364	Prbf.g_01652	Prau.g_00314
OG0000365	Prbf.g_01653	Prau.g_00315
OG0000366	Prbf.g_01654	Prau.g_00316
OG0000367	Prbf.g_01655	Prau.g_00317
OG0000368	Prbf.g_01656	Prau.g_00318
OG0000369	Prbf.g_01657	Prau.g_00319
OG0000370	Prbf.g_01658	Prau.g_00320
OG0000371	Prbf.g_01659	Prau.g_00321
OG0000372	Prbf.g_01660	Prau.g_00323
OG0000373	Prbf.g_01662	Prau.g_00325
OG0000374	Prbf.g_01663	Prau.g_00326
OG0000375	Prbf.g_01664	Prau.g_00327
OG0000376	Prbf.g_01665	Prau.g_00329
OG0000377	Prbf.g_01671	Prau.g_00330
OG0000378	Prbf.g_01672	Prau.g_00331
OG0000379	Prbf.g_01678	Prau.g_00336
OG0000380	Prbf.g_01680	Prau.g_00337
OG0000381	Prbf.g_01681	Prau.g_00338
OG0000382	Prbf.g_01682	Prau.g_00340
OG0000383	Prbf.g_01685	Prau.g_00343
OG0000384	Prbf.g_01686	Prau.g_00344
OG0000385	Prbf.g_01689	Prau.g_00347
OG0000386	Prbf.g_01690	Prau.g_00348
OG0000387	Prbf.g_01691	Prau.g_00349
OG0000388	Prbf.g_01692	Prau.g_00350
OG0000389	Prbf.g_01693	Prau.g_00351
OG0000390	Prbf.g_01694	Prau.g_00352
OG0000391	Prbf.g_01695	Prau.g_00353
OG0000392	Prbf.g_01696	Prau.g_00354
OG0000393	Prbf.g_01700	Prau.g_00357
OG0000394	Prbf.g_01701	Prau.g_00358
OG0000395	Prbf.g_01704	Prau.g_00360
OG0000396	Prbf.g_01190	Prau.g_00361
OG0000397	Prbf.g_00874	Prau.g_00374
OG0000398	Prbf.g_00741	Prau.g_00382
OG0000399	Prbf.g_00879	Prau.g_00383
OG0000400	Prbf.g_00629	Prau.g_00389
OG0000401	Prbf.g_01715	Prau.g_00472
OG0000402	Prbf.g_01716	Prau.g_00473
OG0000403	Prbf.g_01717	Prau.g_00474
OG0000404	Prbf.g_01719	Prau.g_00476
OG0000405	Prbf.g_01720	Prau.g_00477
OG0000406	Prbf.g_01722	Prau.g_00479
OG0000407	Prbf.g_01723	Prau.g_00480
OG0000408	Prbf.g_01724	Prau.g_00481
OG0000409	Prbf.g_01725	Prau.g_00482
OG0000410	Prbf.g_01726	Prau.g_00483
OG0000411	Prbf.g_01727	Prau.g_00484
OG0000412	Prbf.g_01728	Prau.g_00485
OG0000413	Prbf.g_01729	Prau.g_00486
OG0000414	Prbf.g_01730	Prau.g_00487
OG0000415	Prbf.g_01731	Prau.g_00488
OG0000416	Prbf.g_01732	Prau.g_00489
OG0000417	Prbf.g_01733	Prau.g_00490
OG0000418	Prbf.g_01734	Prau.g_00491
OG0000419	Prbf.g_01735	Prau.g_00492
OG0000420	Prbf.g_01736	Prau.g_00493
OG0000421	Prbf.g_01740	Prau.g_00494
OG0000422	Prbf.g_01742	Prau.g_00496
OG0000423	Prbf.g_01743	Prau.g_00497
OG0000424	Prbf.g_01744	Prau.g_00499
OG0000425	Prbf.g_01748	Prau.g_00503
OG0000426	Prbf.g_01749	Prau.g_00504
OG0000427	Prbf.g_01750	Prau.g_00505
OG0000428	Prbf.g_01752	Prau.g_00506
OG0000429	Prbf.g_01753	Prau.g_00507
OG0000430	Prbf.g_01754	Prau.g_00512
OG0000431	Prbf.g_01756	Prau.g_00514
OG0000432	Prbf.g_01757	Prau.g_00515
OG0000433	Prbf.g_01760	Prau.g_00518
OG0000434	Prbf.g_01761	Prau.g_00519
OG0000435	Prbf.g_01762	Prau.g_00520
OG0000436	Prbf.g_01764	Prau.g_00522
OG0000437	Prbf.g_01766	Prau.g_00524
OG0000438	Prbf.g_01767	Prau.g_00525
OG0000439	Prbf.g_01768	Prau.g_00526
OG0000440	Prbf.g_01770	Prau.g_00528
OG0000441	Prbf.g_01771	Prau.g_00529
OG0000442	Prbf.g_01772	Prau.g_00530
OG0000443	Prbf.g_01773	Prau.g_00531
OG0000444	Prbf.g_01774	Prau.g_00532
OG0000445	Prbf.g_01775	Prau.g_00533
OG0000446	Prbf.g_01776	Prau.g_00534
OG0000447	Prbf.g_01777	Prau.g_00535
OG0000448	Prbf.g_01778	Prau.g_00536
OG0000449	Prbf.g_01784	Prau.g_00541
OG0000450	Prbf.g_01785	Prau.g_00542
OG0000451	Prbf.g_01786	Prau.g_00543
OG0000452	Prbf.g_01787	Prau.g_00544
OG0000453	Prbf.g_01788	Prau.g_00546
OG0000454	Prbf.g_01789	Prau.g_00547
OG0000455	Prbf.g_01790	Prau.g_00548
OG0000456	Prbf.g_01791	Prau.g_00549
OG0000457	Prbf.g_01793	Prau.g_00551
OG0000458	Prbf.g_01795	Prau.g_00553
OG0000459	Prbf.g_01796	Prau.g_00554
OG0000460	Prbf.g_01798	Prau.g_00556
OG0000461	Prbf.g_01799	Prau.g_00557
OG0000462	Prbf.g_01800	Prau.g_00558
OG0000463	Prbf.g_01801	Prau.g_00559
OG0000464	Prbf.g_01805	Prau.g_00564
OG0000465	Prbf.g_01806	Prau.g_00565
OG0000466	Prbf.g_01807	Prau.g_00566
OG0000467	Prbf.g_01808	Prau.g_00567
OG0000468	Prbf.g_01809	Prau.g_00568
OG0000469	Prbf.g_01810	Prau.g_00569
OG0000470	Prbf.g_01811	Prau.g_00570
OG0000471	Prbf.g_01812	Prau.g_00571
OG0000472	Prbf.g_01815	Prau.g_00574
OG0000473	Prbf.g_01816	Prau.g_00575
OG0000474	Prbf.g_01817	Prau.g_00576
OG0000475	Prbf.g_01818	Prau.g_00577
OG0000476	Prbf.g_01819	Prau.g_00578
OG0000477	Prbf.g_01821	Prau.g_00580
OG0000478	Prbf.g_01822	Prau.g_00581
OG0000479	Prbf.g_01823	Prau.g_00582
OG0000480	Prbf.g_01825	Prau.g_00584
OG0000481	Prbf.g_01826	Prau.g_00585
OG0000482	Prbf.g_01827	Prau.g_00586
OG0000483	Prbf.g_01828	Prau.g_00587
OG0000484	Prbf.g_01829	Prau.g_00588
OG0000485	Prbf.g_01830	Prau.g_00589
OG0000486	Prbf.g_01831	Prau.g_00590
OG0000487	Prbf.g_01832	Prau.g_00591
OG0000488	Prbf.g_01834	Prau.g_00593
OG0000489	Prbf.g_01835	Prau.g_00594
OG0000490	Prbf.g_01836	Prau.g_00595
OG0000491	Prbf.g_01837	Prau.g_00596
OG0000492	Prbf.g_01838	Prau.g_00597
OG0000493	Prbf.g_01839	Prau.g_00598
OG0000494	Prbf.g_01840	Prau.g_00600
OG0000495	Prbf.g_01841	Prau.g_00601
OG0000496	Prbf.g_01843	Prau.g_00602
OG0000497	Prbf.g_01845	Prau.g_00603
OG0000498	Prbf.g_01846	Prau.g_00604
OG0000499	Prbf.g_01848	Prau.g_00606
OG0000500	Prbf.g_01849	Prau.g_00607
OG0000501	Prbf.g_01851	Prau.g_00609
OG0000502	Prbf.g_01852	Prau.g_00610
OG0000503	Prbf.g_01853	Prau.g_00611
OG0000504	Prbf.g_01854	Prau.g_00612
OG0000505	Prbf.g_01855	Prau.g_00613
OG0000506	Prbf.g_01856	Prau.g_00614
OG0000507	Prbf.g_01857	Prau.g_00615
OG0000508	Prbf.g_01859	Prau.g_00617
OG0000509	Prbf.g_01860	Prau.g_00618
OG0000510	Prbf.g_01861	Prau.g_00619
OG0000511	Prbf.g_01862	Prau.g_00620
OG0000512	Prbf.g_01863	Prau.g_00621
OG0000513	Prbf.g_01864	Prau.g_00622
OG0000514	Prbf.g_01865	Prau.g_00623
OG0000515	Prbf.g_01868	Prau.g_00625
OG0000516	Prbf.g_01869	Prau.g_00626
OG0000517	Prbf.g_01870	Prau.g_00627
OG0000518	Prbf.g_01873	Prau.g_00629
OG0000519	Prbf.g_01874	Prau.g_00630
OG0000520	Prbf.g_01875	Prau.g_00631
OG0000521	Prbf.g_01876	Prau.g_00632
OG0000522	Prbf.g_01877	Prau.g_00633
OG0000523	Prbf.g_01878	Prau.g_00634
OG0000524	Prbf.g_01879	Prau.g_00635
OG0000525	Prbf.g_01881	Prau.g_00637
OG0000526	Prbf.g_01882	Prau.g_00638
OG0000527	Prbf.g_01883	Prau.g_00639
OG0000528	Prbf.g_01884	Prau.g_00640
OG0000529	Prbf.g_01885	Prau.g_00641
OG0000530	Prbf.g_01886	Prau.g_00642
OG0000531	Prbf.g_01888	Prau.g_00643
OG0000532	Prbf.g_01889	Prau.g_00644
OG0000533	Prbf.g_01890	Prau.g_00645
OG0000534	Prbf.g_01891	Prau.g_00646
OG0000535	Prbf.g_01892	Prau.g_00647
OG0000536	Prbf.g_01893	Prau.g_00648
OG0000537	Prbf.g_01894	Prau.g_00649
OG0000538	Prbf.g_01895	Prau.g_00650
OG0000539	Prbf.g_01896	Prau.g_00651
OG0000540	Prbf.g_01897	Prau.g_00652
OG0000541	Prbf.g_01898	Prau.g_00653
OG0000542	Prbf.g_01899	Prau.g_00654
OG0000543	Prbf.g_01900	Prau.g_00655
OG0000544	Prbf.g_01901	Prau.g_00656
OG0000545	Prbf.g_01903	Prau.g_00661
OG0000546	Prbf.g_01904	Prau.g_00662
OG0000547	Prbf.g_01906	Prau.g_00664
OG0000548	Prbf.g_01908	Prau.g_00665
OG0000549	Prbf.g_01909	Prau.g_00666
OG0000550	Prbf.g_01910	Prau.g_00667
OG0000551	Prbf.g_01912	Prau.g_00668
OG0000552	Prbf.g_01913	Prau.g_00669
OG0000553	Prbf.g_00977	Prau.g_00670
OG0000554	Prbf.g_00978	Prau.g_00671
OG0000555	Prbf.g_00979	Prau.g_00672
OG0000556	Prbf.g_00980	Prau.g_00673
OG0000557	Prbf.g_00981	Prau.g_00674
OG0000558	Prbf.g_00982	Prau.g_00675
OG0000559	Prbf.g_00983	Prau.g_00676
