Orthogroup	Pray	Syap
OG0000057	Pray.g_01065	Syap.g_01569
OG0000058	Pray.g_01786	Syap.g_02074
OG0000059	Pray.g_01761	Syap.g_01082, Syap.g_02478
OG0000059	Pray.g_01258	Syap.g_01918
OG0000061	Pray.g_00064	Syap.g_00228
OG0000062	Pray.g_01644	Syap.g_01220
OG0000063	Pray.g_01495	Syap.g_01796
OG0000066	Pray.g_01222	Syap.g_01972
OG0000067	Pray.g_00348	Syap.g_00194
OG0000068	Pray.g_01829	Syap.g_00108, Syap.g_00144
OG0000069	Pray.g_01609	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Pray.g_00940	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Pray.g_01870	Syap.g_01483
OG0000072	Pray.g_00652	Syap.g_00555
OG0000073	Pray.g_00990	Syap.g_01020, Syap.g_00273
OG0000075	Pray.g_01339	Syap.g_01064, Syap.g_00664
OG0000076	Pray.g_01364	Syap.g_01111
OG0000077	Pray.g_00211	Syap.g_00416
OG0000078	Pray.g_00720	Syap.g_01149
OG0000079	Pray.g_00733	Syap.g_01589
OG0000085	Pray.g_01566	Syap.g_00611
OG0000087	Pray.g_00150	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Pray.g_00647	Syap.g_01202
OG0000089	Pray.g_00834	Syap.g_00115, Syap.g_02042
OG0000090	Pray.g_01024, Pray.g_01228	Syap.g_01451
OG0000091	Pray.g_01121	Syap.g_01861
OG0000094	Pray.g_00565	Syap.g_02781
OG0000095	Pray.g_00584	Syap.g_01556
OG0000098	Pray.g_01847	Syap.g_01975
OG0000099	Pray.g_01788	Syap.g_01385
OG0000101	Pray.g_01306	Syap.g_00472
OG0000102	Pray.g_01369	Syap.g_01116
OG0000103	Pray.g_01449	Syap.g_02607, Syap.g_02608
OG0000104	Pray.g_01457	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Pray.g_00753	Syap.g_01369, Syap.g_01368
OG0000107	Pray.g_00864	Syap.g_02496
OG0000108	Pray.g_00970	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Pray.g_00984	Syap.g_00279, Syap.g_02237
OG0000110	Pray.g_01187	Syap.g_01313
OG0000111	Pray.g_01064	Syap.g_01566, Syap.g_01568
OG0000112	Pray.g_00313	Syap.g_02023
OG0000113	Pray.g_00370	Syap.g_02714
OG0000114	Pray.g_00452	Syap.g_01255
OG0000115	Pray.g_00126	Syap.g_02004
OG0000116	Pray.g_00074	Syap.g_00241
OG0000117	Pray.g_01927	Syap.g_01889
OG0000118	Pray.g_01858	Syap.g_02286
OG0000120	Pray.g_01808	Syap.g_02075
OG0000121	Pray.g_01720	Syap.g_02471
OG0000123	Pray.g_01313	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Pray.g_01380	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Pray.g_01417	Syap.g_01046, Syap.g_01047
OG0000126	Pray.g_01456	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Pray.g_01473	Syap.g_00069
OG0000129	Pray.g_00239	Syap.g_00130, Syap.g_00129
OG0000130	Pray.g_00220	Syap.g_01688, Syap.g_01689
OG0000131	Pray.g_00144	Syap.g_02189
OG0000132	Pray.g_00645	Syap.g_01205
OG0000133	Pray.g_00800	Syap.g_02017
OG0000134	Pray.g_00835	Syap.g_02047
OG0000135	Pray.g_00861	Syap.g_02090
OG0000136	Pray.g_00931	Syap.g_00089
OG0000137	Pray.g_00965	Syap.g_02756
OG0000138	Pray.g_00985	Syap.g_00278
OG0000139	Pray.g_01224	Syap.g_00410
OG0000140	Pray.g_01223	Syap.g_01976
OG0000141	Pray.g_01156	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Pray.g_01128	Syap.g_00895, Syap.g_00894
OG0000143	Pray.g_01124	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Pray.g_01111	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Pray.g_00306	Syap.g_01860, Syap.g_01859
OG0000146	Pray.g_00314	Syap.g_02024
OG0000147	Pray.g_00315	Syap.g_02025
OG0000148	Pray.g_00364	Syap.g_02720
OG0000149	Pray.g_00395	Syap.g_00824
OG0000150	Pray.g_00403	Syap.g_01540
OG0000151	Pray.g_00462	Syap.g_00142
OG0000152	Pray.g_00511	Syap.g_02012
OG0000153	Pray.g_00530	Syap.g_02682
OG0000154	Pray.g_00558	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Pray.g_00043	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Pray.g_01881	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Pray.g_01880	Syap.g_00249, Syap.g_00286
OG0000158	Pray.g_01787	Syap.g_01075
OG0000159	Pray.g_01785	Syap.g_00700
OG0000160	Pray.g_01721	Syap.g_02470, Syap.g_02469
OG0000161	Pray.g_01715	Syap.g_02476
OG0000162	Pray.g_01709	Syap.g_02531
OG0000164	Pray.g_01535	Syap.g_01391, Syap.g_01392
OG0000165	Pray.g_01528	Syap.g_01381, Syap.g_01382
OG0000166	Pray.g_01270	Syap.g_00512, Syap.g_01238
OG0000167	Pray.g_01337	Syap.g_02080
OG0000168	Pray.g_01347	Syap.g_01076
OG0000169	Pray.g_01357	Syap.g_01049, Syap.g_01093
OG0000170	Pray.g_01359	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Pray.g_01379	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Pray.g_01388	Syap.g_01143, Syap.g_00635
OG0000173	Pray.g_01403	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Pray.g_01431	Syap.g_02092
OG0000175	Pray.g_01441	Syap.g_02654
OG0000176	Pray.g_01465, Pray.g_01466	Syap.g_00059
OG0000177	Pray.g_01467	Syap.g_00061, Syap.g_00060
OG0000178	Pray.g_01468	Syap.g_00062
OG0000179	Pray.g_01478	Syap.g_00077, Syap.g_02638
OG0000180	Pray.g_01479	Syap.g_00078, Syap.g_02640
OG0000181	Pray.g_01480	Syap.g_00079, Syap.g_02641
OG0000182	Pray.g_01481	Syap.g_00080, Syap.g_02642
OG0000183	Pray.g_01485	Syap.g_00084
OG0000184	Pray.g_00237	Syap.g_01337
OG0000185	Pray.g_00234	Syap.g_01322
OG0000186	Pray.g_00225	Syap.g_01684
OG0000187	Pray.g_00224	Syap.g_01686
OG0000188	Pray.g_00207	Syap.g_02547
OG0000191	Pray.g_00172	Syap.g_02233
OG0000192	Pray.g_00168	Syap.g_02224
OG0000193	Pray.g_00143	Syap.g_02187, Syap.g_02188
OG0000194	Pray.g_00140	Syap.g_02183
OG0000195	Pray.g_00138	Syap.g_02180
OG0000196	Pray.g_00642	Syap.g_01208, Syap.g_02167
OG0000197	Pray.g_00643	Syap.g_01207, Syap.g_02166
OG0000198	Pray.g_00644	Syap.g_01206
OG0000199	Pray.g_00651	Syap.g_01197
OG0000200	Pray.g_00665	Syap.g_01181
OG0000201	Pray.g_00673	Syap.g_02265
OG0000202	Pray.g_00674	Syap.g_02264
OG0000203	Pray.g_00675	Syap.g_01601
OG0000204	Pray.g_00676	Syap.g_01602
OG0000205	Pray.g_00683	Syap.g_01616
OG0000206	Pray.g_00688	Syap.g_01628
OG0000207	Pray.g_00690	Syap.g_01426, Syap.g_00424
OG0000208	Pray.g_00691	Syap.g_00426, Syap.g_01425
OG0000209	Pray.g_00700	Syap.g_01906
OG0000210	Pray.g_00701	Syap.g_01905
OG0000211	Pray.g_00714	Syap.g_01160
OG0000212	Pray.g_00721	Syap.g_02664
OG0000213	Pray.g_00738	Syap.g_00107, Syap.g_01599
OG0000214	Pray.g_00747	Syap.g_02344, Syap.g_02345
OG0000215	Pray.g_00771	Syap.g_01347, Syap.g_01629
OG0000216	Pray.g_00772	Syap.g_01634
OG0000217	Pray.g_00775	Syap.g_01638
OG0000218	Pray.g_00777	Syap.g_01641, Syap.g_01640
OG0000219	Pray.g_00778	Syap.g_01642, Syap.g_01643
OG0000220	Pray.g_00779	Syap.g_01645
OG0000221	Pray.g_00780	Syap.g_01646
OG0000222	Pray.g_00788	Syap.g_01669
OG0000223	Pray.g_00801	Syap.g_02072, Syap.g_02073
OG0000224	Pray.g_00803	Syap.g_02064
OG0000225	Pray.g_00824	Syap.g_00553, Syap.g_00552
OG0000226	Pray.g_00828	Syap.g_02029, Syap.g_02144
OG0000227	Pray.g_00830	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Pray.g_00833	Syap.g_00116, Syap.g_02041
OG0000229	Pray.g_00926	Syap.g_02059
OG0000230	Pray.g_00928	Syap.g_02061
OG0000231	Pray.g_00939	Syap.g_02533
OG0000232	Pray.g_00948	Syap.g_02510, Syap.g_02511
OG0000233	Pray.g_00953	Syap.g_02133
OG0000234	Pray.g_00966	Syap.g_02755
OG0000235	Pray.g_00969	Syap.g_00732, Syap.g_02258
OG0000236	Pray.g_00983	Syap.g_02238
OG0000237	Pray.g_00997	Syap.g_00262, Syap.g_00263
OG0000238	Pray.g_01003	Syap.g_00257, Syap.g_00258
OG0000239	Pray.g_01016	Syap.g_02744
OG0000240	Pray.g_01017	Syap.g_02742
OG0000241	Pray.g_01021	Syap.g_00888
OG0000242	Pray.g_01023	Syap.g_01455
OG0000243	Pray.g_01218	Syap.g_01938
OG0000244	Pray.g_01215	Syap.g_01146, Syap.g_01145
OG0000245	Pray.g_01213	Syap.g_01148
OG0000246	Pray.g_01209	Syap.g_00308
OG0000247	Pray.g_01199	Syap.g_00288, Syap.g_00293
OG0000248	Pray.g_01197	Syap.g_00290
OG0000249	Pray.g_01195	Syap.g_01296, Syap.g_01295
OG0000250	Pray.g_01190	Syap.g_01306
OG0000251	Pray.g_01172	Syap.g_00442
OG0000252	Pray.g_01169	Syap.g_01857
OG0000253	Pray.g_01168	Syap.g_00443
OG0000254	Pray.g_01152	Syap.g_01527, Syap.g_01528
OG0000256	Pray.g_01136	Syap.g_01287
OG0000257	Pray.g_01133	Syap.g_00886
OG0000258	Pray.g_01120	Syap.g_00907
OG0000260	Pray.g_01100	Syap.g_01970
OG0000261	Pray.g_01098	Syap.g_01962, Syap.g_01961
OG0000262	Pray.g_01094	Syap.g_01954
OG0000263	Pray.g_01082	Syap.g_00432, Syap.g_00433
OG0000266	Pray.g_01030	Syap.g_00519
OG0000267	Pray.g_00274	Syap.g_02333, Syap.g_02332
OG0000268	Pray.g_00275	Syap.g_00646
OG0000269	Pray.g_00343	Syap.g_00188
OG0000270	Pray.g_00346	Syap.g_00192
OG0000271	Pray.g_00354	Syap.g_00200, Syap.g_00201
OG0000272	Pray.g_00355	Syap.g_00202
OG0000273	Pray.g_00378	Syap.g_02703
OG0000274	Pray.g_00379	Syap.g_02702
OG0000275	Pray.g_00382	Syap.g_01847
OG0000276	Pray.g_00387	Syap.g_01839, Syap.g_01838
OG0000277	Pray.g_00388	Syap.g_01837
OG0000278	Pray.g_00391	Syap.g_01834
OG0000279	Pray.g_00398	Syap.g_00829, Syap.g_00830
OG0000280	Pray.g_00399	Syap.g_00365
OG0000281	Pray.g_00404	Syap.g_01977
OG0000282	Pray.g_00454	Syap.g_01252
OG0000283	Pray.g_00488	Syap.g_01728
OG0000284	Pray.g_00493	Syap.g_01736
OG0000285	Pray.g_00498	Syap.g_01746, Syap.g_01744
OG0000286	Pray.g_00510	Syap.g_02014, Syap.g_02013
OG0000288	Pray.g_00557	Syap.g_02764, Syap.g_02763
OG0000289	Pray.g_00568	Syap.g_02784
OG0000290	Pray.g_00581	Syap.g_01552
OG0000291	Pray.g_00583	Syap.g_01554
OG0000292	Pray.g_00632	Syap.g_02314
OG0000293	Pray.g_00073	Syap.g_00240
OG0000294	Pray.g_00072	Syap.g_00239
OG0000295	Pray.g_00051	Syap.g_00206
OG0000296	Pray.g_00049	Syap.g_00204
OG0000297	Pray.g_00041	Syap.g_01887
OG0000298	Pray.g_00040	Syap.g_01888
OG0000299	Pray.g_00023	Syap.g_02620
OG0000302	Pray.g_00017	Syap.g_02444, Syap.g_02445
OG0000303	Pray.g_00010	Syap.g_02435
OG0000304	Pray.g_00006	Syap.g_02430
OG0000305	Pray.g_01837	Syap.g_01557
OG0000306	Pray.g_01834	Syap.g_01966
OG0000307	Pray.g_01820	Syap.g_02517
OG0000308	Pray.g_01819	Syap.g_02514, Syap.g_02515
OG0000309	Pray.g_01815	Syap.g_02198, Syap.g_02446
OG0000310	Pray.g_01737	Syap.g_02660, Syap.g_02661
OG0000311	Pray.g_01735	Syap.g_02657
OG0000312	Pray.g_01732	Syap.g_02114
OG0000313	Pray.g_01718	Syap.g_02473
OG0000314	Pray.g_01695	Syap.g_00007
OG0000315	Pray.g_01685	Syap.g_00017
OG0000316	Pray.g_01665	Syap.g_00030
OG0000317	Pray.g_01561	Syap.g_00618
OG0000318	Pray.g_01558	Syap.g_00622, Syap.g_02786
OG0000319	Pray.g_01545	Syap.g_01764, Syap.g_01771
OG0000320	Pray.g_01543	Syap.g_01761, Syap.g_01769
OG0000321	Pray.g_01542	Syap.g_01760, Syap.g_01768
OG0000322	Pray.g_01541	Syap.g_01759, Syap.g_01767
OG0000323	Pray.g_01532	Syap.g_01389
OG0000324	Pray.g_01506	Syap.g_01503
OG0000325	Pray.g_01235	Syap.g_02680
OG0000326	Pray.g_01241	Syap.g_00544
OG0000327	Pray.g_01265	Syap.g_01233, Syap.g_01913
OG0000328	Pray.g_01266	Syap.g_01234, Syap.g_01912
OG0000329	Pray.g_01283	Syap.g_00498
OG0000330	Pray.g_01284	Syap.g_00497
OG0000331	Pray.g_01285	Syap.g_00496
OG0000332	Pray.g_01299	Syap.g_00481
OG0000333	Pray.g_01301	Syap.g_00478
OG0000334	Pray.g_01309	Syap.g_00468
OG0000335	Pray.g_01314	Syap.g_00101, Syap.g_00463
OG0000336	Pray.g_01318	Syap.g_00417, Syap.g_00607
OG0000337	Pray.g_01335	Syap.g_01054
OG0000338	Pray.g_01336	Syap.g_01059
OG0000339	Pray.g_01340	Syap.g_01068
OG0000340	Pray.g_01348	Syap.g_01077
OG0000341	Pray.g_01350	Syap.g_01079
OG0000342	Pray.g_01351	Syap.g_01080, Syap.g_02477
OG0000343	Pray.g_01352	Syap.g_01086, Syap.g_02078
OG0000344	Pray.g_01355	Syap.g_01091
OG0000345	Pray.g_01360	Syap.g_01107, Syap.g_01470
OG0000346	Pray.g_01365	Syap.g_02423, Syap.g_01113
OG0000347	Pray.g_01381	Syap.g_01131, Syap.g_02459
OG0000348	Pray.g_01391	Syap.g_00632
OG0000349	Pray.g_01408	Syap.g_00110, Syap.g_01813
OG0000351	Pray.g_01444	Syap.g_02594
OG0000352	Pray.g_01445	Syap.g_02596, Syap.g_02597
OG0000353	Pray.g_01460	Syap.g_00054
OG0000355	Pray.g_01462	Syap.g_00056
OG0000356	Pray.g_01463	Syap.g_00057
OG0000357	Pray.g_01464	Syap.g_00058
OG0000358	Pray.g_01469	Syap.g_00063
OG0000359	Pray.g_01470	Syap.g_00065
OG0000360	Pray.g_01471	Syap.g_00067
OG0000361	Pray.g_01472	Syap.g_00068
OG0000362	Pray.g_01474	Syap.g_00070
OG0000363	Pray.g_01476	Syap.g_00072
OG0000364	Pray.g_01477	Syap.g_00620
OG0000365	Pray.g_01482	Syap.g_00081
OG0000366	Pray.g_01483	Syap.g_00082
OG0000367	Pray.g_01484	Syap.g_00083
OG0000368	Pray.g_01486	Syap.g_00085
OG0000369	Pray.g_01487	Syap.g_00086
OG0000370	Pray.g_01488	Syap.g_00087
OG0000372	Pray.g_01497	Syap.g_01805
OG0000373	Pray.g_01498	Syap.g_01806
OG0000374	Pray.g_01499	Syap.g_01807
OG0000375	Pray.g_00243	Syap.g_01808
OG0000376	Pray.g_00241	Syap.g_01811
OG0000377	Pray.g_00238	Syap.g_00128
OG0000378	Pray.g_00236	Syap.g_01326
OG0000380	Pray.g_00223	Syap.g_01687
OG0000381	Pray.g_00219	Syap.g_01690
OG0000382	Pray.g_00208	Syap.g_02548
OG0000383	Pray.g_00206	Syap.g_02359
OG0000384	Pray.g_00205	Syap.g_02360
OG0000385	Pray.g_00204	Syap.g_02361
OG0000386	Pray.g_00203	Syap.g_02362
OG0000387	Pray.g_00190	Syap.g_01864
OG0000391	Pray.g_00173	Syap.g_02234
OG0000392	Pray.g_00169	Syap.g_02225
OG0000393	Pray.g_00167	Syap.g_02222
OG0000394	Pray.g_00166	Syap.g_02221
OG0000395	Pray.g_00165	Syap.g_02220
OG0000396	Pray.g_00162	Syap.g_02217
OG0000397	Pray.g_00160	Syap.g_02215
OG0000398	Pray.g_00158	Syap.g_02211
OG0000399	Pray.g_00157	Syap.g_02210
OG0000400	Pray.g_00156	Syap.g_02209
OG0000401	Pray.g_00155	Syap.g_02208
OG0000402	Pray.g_00153	Syap.g_02206
OG0000403	Pray.g_00152	Syap.g_02205
OG0000404	Pray.g_00151	Syap.g_02204, Syap.g_02618
OG0000405	Pray.g_00147	Syap.g_02191
OG0000406	Pray.g_00142	Syap.g_02186
OG0000407	Pray.g_00141	Syap.g_02185
OG0000408	Pray.g_00139	Syap.g_02181, Syap.g_02182
OG0000409	Pray.g_00137	Syap.g_02179
OG0000410	Pray.g_00136	Syap.g_02178
OG0000411	Pray.g_00635	Syap.g_02177
OG0000412	Pray.g_00636	Syap.g_02176
OG0000413	Pray.g_00637	Syap.g_02174
OG0000414	Pray.g_00638	Syap.g_02173
OG0000415	Pray.g_00639	Syap.g_02172
OG0000416	Pray.g_00640	Syap.g_02171
OG0000417	Pray.g_00641	Syap.g_02169
OG0000418	Pray.g_00646	Syap.g_01204
OG0000419	Pray.g_00648	Syap.g_01201
OG0000420	Pray.g_00649	Syap.g_01199
OG0000421	Pray.g_00654	Syap.g_01195
OG0000422	Pray.g_00655	Syap.g_01194
OG0000423	Pray.g_00656	Syap.g_01193
OG0000424	Pray.g_00657	Syap.g_01192
OG0000425	Pray.g_00658	Syap.g_01191
OG0000426	Pray.g_00659	Syap.g_01190
OG0000427	Pray.g_00660	Syap.g_01189
OG0000428	Pray.g_00662	Syap.g_01186
OG0000429	Pray.g_00663	Syap.g_01184
OG0000430	Pray.g_00664	Syap.g_01182
OG0000431	Pray.g_00666	Syap.g_01179
OG0000432	Pray.g_00669	Syap.g_02277
OG0000433	Pray.g_00670	Syap.g_02272
OG0000434	Pray.g_00671	Syap.g_02271
OG0000435	Pray.g_00672	Syap.g_02268
OG0000436	Pray.g_00677	Syap.g_01607
OG0000437	Pray.g_00678	Syap.g_01608
OG0000438	Pray.g_00679	Syap.g_01612
OG0000439	Pray.g_00681	Syap.g_01614
OG0000440	Pray.g_00682	Syap.g_01615
OG0000441	Pray.g_00685	Syap.g_01619
OG0000442	Pray.g_00686	Syap.g_01620
OG0000443	Pray.g_00687	Syap.g_01622
OG0000444	Pray.g_00692	Syap.g_01424
OG0000445	Pray.g_00693	Syap.g_01421
OG0000446	Pray.g_00694	Syap.g_01419
OG0000447	Pray.g_00695	Syap.g_01410
OG0000448	Pray.g_00696	Syap.g_01407
OG0000449	Pray.g_00697	Syap.g_01406
OG0000450	Pray.g_00698	Syap.g_01909
OG0000451	Pray.g_00699	Syap.g_01908
OG0000452	Pray.g_00702	Syap.g_01904
OG0000453	Pray.g_00703	Syap.g_01903
OG0000454	Pray.g_00704	Syap.g_01902
OG0000455	Pray.g_00705	Syap.g_01901
OG0000456	Pray.g_00706	Syap.g_01900
OG0000457	Pray.g_00707	Syap.g_01896
OG0000458	Pray.g_00708	Syap.g_01895
OG0000459	Pray.g_00709	Syap.g_01894
OG0000460	Pray.g_00716	Syap.g_01159
OG0000461	Pray.g_00723	Syap.g_01575
OG0000462	Pray.g_00725	Syap.g_01578
OG0000463	Pray.g_00726	Syap.g_01579
OG0000464	Pray.g_00727	Syap.g_01580
OG0000465	Pray.g_00728	Syap.g_01582
OG0000466	Pray.g_00731	Syap.g_01587
OG0000467	Pray.g_00732	Syap.g_01588
OG0000468	Pray.g_00734	Syap.g_01593
OG0000469	Pray.g_00742	Syap.g_02352
OG0000470	Pray.g_00744	Syap.g_02349
OG0000471	Pray.g_00745	Syap.g_02348
OG0000472	Pray.g_00746	Syap.g_02347
OG0000473	Pray.g_00748	Syap.g_02343
OG0000474	Pray.g_00749	Syap.g_02342
OG0000475	Pray.g_00750	Syap.g_02341
OG0000476	Pray.g_00751	Syap.g_02339
OG0000477	Pray.g_00754	Syap.g_01367
OG0000478	Pray.g_00755	Syap.g_01366
OG0000479	Pray.g_00756	Syap.g_01364
OG0000480	Pray.g_00761	Syap.g_01357
OG0000482	Pray.g_00764	Syap.g_01355
OG0000483	Pray.g_00767	Syap.g_01344
OG0000484	Pray.g_00768	Syap.g_01350
OG0000485	Pray.g_00769	Syap.g_01349
OG0000487	Pray.g_00773	Syap.g_01635
OG0000488	Pray.g_00776	Syap.g_01639
OG0000489	Pray.g_00781	Syap.g_02482
OG0000490	Pray.g_00786	Syap.g_01673
OG0000491	Pray.g_00787	Syap.g_01670
OG0000492	Pray.g_00789	Syap.g_01668
OG0000493	Pray.g_00790	Syap.g_01667
OG0000494	Pray.g_00791	Syap.g_01666
OG0000495	Pray.g_00792	Syap.g_01665
OG0000496	Pray.g_00793	Syap.g_01663
OG0000497	Pray.g_00794	Syap.g_01662
OG0000498	Pray.g_00795	Syap.g_01661
OG0000499	Pray.g_00796	Syap.g_01660
OG0000500	Pray.g_00797	Syap.g_01659
OG0000501	Pray.g_00799	Syap.g_01656
OG0000502	Pray.g_00802	Syap.g_02066
OG0000503	Pray.g_00812	Syap.g_00569
OG0000504	Pray.g_00813	Syap.g_00567
OG0000505	Pray.g_00814	Syap.g_00566
OG0000506	Pray.g_00816	Syap.g_00564
OG0000507	Pray.g_00819	Syap.g_00558
OG0000508	Pray.g_00823	Syap.g_00554
OG0000509	Pray.g_00825	Syap.g_00551
OG0000510	Pray.g_00826	Syap.g_00550
OG0000511	Pray.g_00827	Syap.g_00548
OG0000512	Pray.g_00829	Syap.g_02145
OG0000513	Pray.g_00836	Syap.g_02048
OG0000514	Pray.g_00921	Syap.g_02051
OG0000515	Pray.g_00922	Syap.g_02052
OG0000516	Pray.g_00923	Syap.g_02054
OG0000517	Pray.g_00925	Syap.g_02057
OG0000519	Pray.g_00937	Syap.g_00457
OG0000520	Pray.g_00938	Syap.g_00456
OG0000521	Pray.g_00943	Syap.g_01997
OG0000522	Pray.g_00945	Syap.g_01995
OG0000523	Pray.g_00946	Syap.g_02507
OG0000524	Pray.g_00951	Syap.g_02135
OG0000525	Pray.g_00954	Syap.g_02159
OG0000526	Pray.g_00955	Syap.g_02157
OG0000527	Pray.g_00963	Syap.g_02758
OG0000528	Pray.g_00968	Syap.g_02261
OG0000529	Pray.g_00971	Syap.g_02254
OG0000530	Pray.g_00974	Syap.g_02252
OG0000531	Pray.g_00975	Syap.g_02251
OG0000532	Pray.g_00977	Syap.g_02247
OG0000533	Pray.g_00978	Syap.g_02244
OG0000534	Pray.g_00979	Syap.g_02243
OG0000535	Pray.g_00980	Syap.g_02242
OG0000536	Pray.g_00981	Syap.g_02241
OG0000537	Pray.g_00982	Syap.g_02240
OG0000538	Pray.g_00991	Syap.g_00271
OG0000539	Pray.g_00992	Syap.g_00270
OG0000540	Pray.g_00993	Syap.g_00269
OG0000541	Pray.g_00994	Syap.g_00268
OG0000542	Pray.g_00996	Syap.g_00264
OG0000543	Pray.g_00998	Syap.g_00261
OG0000544	Pray.g_00999	Syap.g_00260
OG0000545	Pray.g_01001	Syap.g_00259
OG0000546	Pray.g_01004	Syap.g_00256
OG0000547	Pray.g_01006	Syap.g_00254
OG0000548	Pray.g_01007	Syap.g_00253
OG0000549	Pray.g_01009	Syap.g_00758
OG0000550	Pray.g_01014	Syap.g_02747
OG0000551	Pray.g_01018	Syap.g_02739
OG0000552	Pray.g_01019	Syap.g_02738
OG0000553	Pray.g_01020	Syap.g_02735
OG0000554	Pray.g_01227	Syap.g_01450
OG0000555	Pray.g_01219	Syap.g_01941
OG0000556	Pray.g_01217	Syap.g_01933
OG0000557	Pray.g_01216	Syap.g_01931
OG0000558	Pray.g_01214	Syap.g_01147
OG0000560	Pray.g_01207	Syap.g_00305
OG0000561	Pray.g_01206	Syap.g_00304
OG0000562	Pray.g_01205	Syap.g_00302
OG0000563	Pray.g_01204	Syap.g_00301
OG0000564	Pray.g_01203	Syap.g_00300
OG0000565	Pray.g_01200	Syap.g_00296
OG0000566	Pray.g_01198	Syap.g_00291
OG0000567	Pray.g_01194	Syap.g_01297
OG0000568	Pray.g_01193	Syap.g_01302
OG0000569	Pray.g_01192	Syap.g_01303
OG0000570	Pray.g_01191	Syap.g_01304
OG0000571	Pray.g_01189	Syap.g_01307
OG0000573	Pray.g_01171	Syap.g_00765
OG0000574	Pray.g_01170	Syap.g_00759
OG0000575	Pray.g_01166	Syap.g_00445
OG0000576	Pray.g_01164	Syap.g_00450
OG0000577	Pray.g_01163	Syap.g_00451
OG0000578	Pray.g_01162	Syap.g_00452
OG0000579	Pray.g_01161	Syap.g_00453
OG0000580	Pray.g_01160	Syap.g_00454
OG0000581	Pray.g_01158	Syap.g_01521
OG0000582	Pray.g_01155	Syap.g_01533
OG0000583	Pray.g_01154	Syap.g_01532
OG0000584	Pray.g_01153	Syap.g_01530
OG0000585	Pray.g_01151	Syap.g_01526
OG0000586	Pray.g_01150	Syap.g_01525
