Orthogroup	Pray	Syat
OG0000200	Pray.g_00665	Syat.g_02840
OG0000201	Pray.g_00673	Syat.g_02821
OG0000202	Pray.g_00674	Syat.g_02820
OG0000203	Pray.g_00675	Syat.g_02819
OG0000204	Pray.g_00676	Syat.g_02818
OG0000205	Pray.g_00683	Syat.g_02809
OG0000206	Pray.g_00688	Syat.g_02785
OG0000207	Pray.g_00690	Syat.g_02778
OG0000208	Pray.g_00691	Syat.g_02777
OG0000209	Pray.g_00700	Syat.g_02735
OG0000210	Pray.g_00701	Syat.g_02734
OG0000211	Pray.g_00714	Syat.g_01452
OG0000212	Pray.g_00721	Syat.g_01442
OG0000213	Pray.g_00738	Syat.g_01889
OG0000214	Pray.g_00747	Syat.g_02042
OG0000215	Pray.g_00771	Syat.g_02075
OG0000216	Pray.g_00772	Syat.g_02079
OG0000217	Pray.g_00775	Syat.g_02085
OG0000218	Pray.g_00777	Syat.g_02087
OG0000219	Pray.g_00778	Syat.g_02088
OG0000220	Pray.g_00779	Syat.g_02089
OG0000221	Pray.g_00780	Syat.g_02095
OG0000222	Pray.g_00788	Syat.g_02109
OG0000223	Pray.g_00801	Syat.g_02570
OG0000224	Pray.g_00803	Syat.g_02139
OG0000225	Pray.g_00824	Syat.g_01595
OG0000226	Pray.g_00828	Syat.g_01588
OG0000228	Pray.g_00833	Syat.g_02952
OG0000229	Pray.g_00926	Syat.g_02970
OG0000230	Pray.g_00928	Syat.g_02972
OG0000231	Pray.g_00939	Syat.g_01283
OG0000232	Pray.g_00948	Syat.g_01313
OG0000233	Pray.g_00953	Syat.g_01407
OG0000234	Pray.g_00966	Syat.g_01369
OG0000235	Pray.g_00969	Syat.g_03169
OG0000236	Pray.g_00983	Syat.g_03186
OG0000237	Pray.g_00997	Syat.g_03214
OG0000238	Pray.g_01003	Syat.g_03219
OG0000239	Pray.g_01016	Syat.g_01105
OG0000240	Pray.g_01017	Syat.g_01104
OG0000241	Pray.g_01021	Syat.g_00111
OG0000242	Pray.g_01023	Syat.g_01077
OG0000243	Pray.g_01218	Syat.g_00092
OG0000244	Pray.g_01215	Syat.g_00082
OG0000245	Pray.g_01213	Syat.g_00080
OG0000246	Pray.g_01209	Syat.g_00076
OG0000247	Pray.g_01199	Syat.g_00065
OG0000248	Pray.g_01197	Syat.g_00062
OG0000249	Pray.g_01195	Syat.g_00060
OG0000250	Pray.g_01190	Syat.g_00053
OG0000251	Pray.g_01172	Syat.g_00027
OG0000252	Pray.g_01169	Syat.g_00022
OG0000253	Pray.g_01168	Syat.g_00021
OG0000254	Pray.g_01152	Syat.g_03407
OG0000255	Pray.g_01146	Syat.g_02405
OG0000256	Pray.g_01136	Syat.g_03306
OG0000257	Pray.g_01133	Syat.g_00109
OG0000258	Pray.g_01120	Syat.g_00382
OG0000259	Pray.g_01103	Syat.g_00342
OG0000260	Pray.g_01100	Syat.g_00392
OG0000261	Pray.g_01098	Syat.g_00400
OG0000262	Pray.g_01094	Syat.g_00407
OG0000263	Pray.g_01082	Syat.g_00200
OG0000266	Pray.g_01030	Syat.g_00671
OG0000267	Pray.g_00274	Syat.g_00636
OG0000268	Pray.g_00275	Syat.g_00634
OG0000269	Pray.g_00343	Syat.g_00474, Syat.g_00126
OG0000270	Pray.g_00346	Syat.g_00477
OG0000271	Pray.g_00354	Syat.g_00485
OG0000272	Pray.g_00355	Syat.g_00486
OG0000273	Pray.g_00378	Syat.g_00520
OG0000274	Pray.g_00379	Syat.g_00521
OG0000275	Pray.g_00382	Syat.g_00718
OG0000276	Pray.g_00387	Syat.g_00725
OG0000277	Pray.g_00388	Syat.g_00738
OG0000278	Pray.g_00391	Syat.g_00741
OG0000279	Pray.g_00398	Syat.g_00755
OG0000280	Pray.g_00399	Syat.g_01669
OG0000281	Pray.g_00404	Syat.g_00960
OG0000282	Pray.g_00454	Syat.g_00431
OG0000283	Pray.g_00488	Syat.g_00620
OG0000284	Pray.g_00493	Syat.g_00614
OG0000285	Pray.g_00498	Syat.g_00607
OG0000286	Pray.g_00510	Syat.g_00579
OG0000287	Pray.g_00527	Syat.g_00550
OG0000288	Pray.g_00557	Syat.g_00709
OG0000289	Pray.g_00568	Syat.g_00695
OG0000290	Pray.g_00581	Syat.g_00805
OG0000291	Pray.g_00583	Syat.g_00807
OG0000292	Pray.g_00632	Syat.g_02388
OG0000293	Pray.g_00073	Syat.g_03241
OG0000294	Pray.g_00072	Syat.g_03248
OG0000295	Pray.g_00051	Syat.g_00297
OG0000296	Pray.g_00049	Syat.g_00295
OG0000297	Pray.g_00041	Syat.g_00226
OG0000298	Pray.g_00040	Syat.g_00225
OG0000299	Pray.g_00023	Syat.g_00910
OG0000300	Pray.g_00020	Syat.g_00904
OG0000301	Pray.g_00019	Syat.g_00903
OG0000302	Pray.g_00017	Syat.g_00901
OG0000303	Pray.g_00010	Syat.g_00892
OG0000304	Pray.g_00006	Syat.g_00885
OG0000305	Pray.g_01837	Syat.g_00809
OG0000306	Pray.g_01834	Syat.g_01704
OG0000307	Pray.g_01820	Syat.g_01304
OG0000308	Pray.g_01819	Syat.g_01306
OG0000309	Pray.g_01815	Syat.g_01417
OG0000310	Pray.g_01737	Syat.g_01246
OG0000311	Pray.g_01735	Syat.g_01242
OG0000312	Pray.g_01732	Syat.g_01237
OG0000313	Pray.g_01718	Syat.g_01183
OG0000314	Pray.g_01695	Syat.g_01341
OG0000315	Pray.g_01685	Syat.g_01351
OG0000316	Pray.g_01665	Syat.g_03082
OG0000317	Pray.g_01561	Syat.g_03120
OG0000318	Pray.g_01558	Syat.g_03125
OG0000319	Pray.g_01545	Syat.g_03055
OG0000320	Pray.g_01543	Syat.g_03053
OG0000321	Pray.g_01542	Syat.g_03052
OG0000322	Pray.g_01541	Syat.g_03051
OG0000323	Pray.g_01532	Syat.g_03038
OG0000324	Pray.g_01506	Syat.g_02998
OG0000325	Pray.g_01235	Syat.g_01861
OG0000326	Pray.g_01241	Syat.g_01854
OG0000327	Pray.g_01265	Syat.g_01827
OG0000328	Pray.g_01266	Syat.g_01826
OG0000329	Pray.g_01283	Syat.g_01808
OG0000330	Pray.g_01284	Syat.g_01807
OG0000331	Pray.g_01285	Syat.g_01806
OG0000332	Pray.g_01299	Syat.g_01790
OG0000333	Pray.g_01301	Syat.g_01787
OG0000334	Pray.g_01309	Syat.g_01657
OG0000335	Pray.g_01314	Syat.g_01652
OG0000336	Pray.g_01318	Syat.g_01648
OG0000337	Pray.g_01335	Syat.g_02144
OG0000338	Pray.g_01336	Syat.g_02146
OG0000339	Pray.g_01340	Syat.g_02155, Syat.g_01055
OG0000340	Pray.g_01348	Syat.g_02165
OG0000341	Pray.g_01350	Syat.g_02167
OG0000342	Pray.g_01351	Syat.g_02168
OG0000343	Pray.g_01352	Syat.g_02185
OG0000344	Pray.g_01355	Syat.g_02189
OG0000345	Pray.g_01360	Syat.g_02202
OG0000346	Pray.g_01365	Syat.g_02207
OG0000347	Pray.g_01381	Syat.g_02234
OG0000348	Pray.g_01391	Syat.g_02264
OG0000349	Pray.g_01408	Syat.g_02291
OG0000350	Pray.g_01427	Syat.g_01847
OG0000351	Pray.g_01444	Syat.g_02411
OG0000352	Pray.g_01445	Syat.g_02410
OG0000353	Pray.g_01460	Syat.g_00955, Syat.g_02377
OG0000355	Pray.g_01462	Syat.g_02375
OG0000356	Pray.g_01463	Syat.g_02374
OG0000357	Pray.g_01464	Syat.g_02373
OG0000358	Pray.g_01469	Syat.g_02336
OG0000359	Pray.g_01470	Syat.g_02334
OG0000360	Pray.g_01471	Syat.g_02333
OG0000361	Pray.g_01472	Syat.g_02332
OG0000362	Pray.g_01474	Syat.g_02330
OG0000363	Pray.g_01476	Syat.g_02328
OG0000364	Pray.g_01477	Syat.g_03122
OG0000365	Pray.g_01482	Syat.g_02318
OG0000366	Pray.g_01483	Syat.g_02317
OG0000367	Pray.g_01484	Syat.g_02316
OG0000368	Pray.g_01486	Syat.g_02314
OG0000369	Pray.g_01487	Syat.g_02313
OG0000370	Pray.g_01488	Syat.g_02312
OG0000371	Pray.g_01494	Syat.g_02304
OG0000372	Pray.g_01497	Syat.g_02298
OG0000373	Pray.g_01498	Syat.g_02297
OG0000374	Pray.g_01499	Syat.g_02296
OG0000375	Pray.g_00243	Syat.g_02295
OG0000376	Pray.g_00241	Syat.g_02293
OG0000377	Pray.g_00238	Syat.g_02695
OG0000378	Pray.g_00236	Syat.g_02715
OG0000379	Pray.g_00233	Syat.g_02720
OG0000380	Pray.g_00223	Syat.g_01468
OG0000381	Pray.g_00219	Syat.g_01470
OG0000382	Pray.g_00208	Syat.g_01488
OG0000383	Pray.g_00206	Syat.g_01521
OG0000384	Pray.g_00205	Syat.g_01522
OG0000385	Pray.g_00204	Syat.g_01523
OG0000386	Pray.g_00203	Syat.g_01524
OG0000387	Pray.g_00190	Syat.g_01561
OG0000388	Pray.g_00187	Syat.g_01565
OG0000389	Pray.g_00183	Syat.g_01569
OG0000390	Pray.g_00176	Syat.g_02945
OG0000391	Pray.g_00173	Syat.g_02940
OG0000392	Pray.g_00169	Syat.g_02934
OG0000393	Pray.g_00167	Syat.g_02931
OG0000394	Pray.g_00166	Syat.g_02930
OG0000395	Pray.g_00165	Syat.g_02929
OG0000396	Pray.g_00162	Syat.g_02927
OG0000397	Pray.g_00160	Syat.g_02925
OG0000398	Pray.g_00158	Syat.g_02920
OG0000399	Pray.g_00157	Syat.g_02919
OG0000400	Pray.g_00156	Syat.g_02918
OG0000401	Pray.g_00155	Syat.g_02917
OG0000402	Pray.g_00153	Syat.g_02915
OG0000403	Pray.g_00152	Syat.g_02914
OG0000404	Pray.g_00151	Syat.g_02913
OG0000405	Pray.g_00147	Syat.g_02900
OG0000406	Pray.g_00142	Syat.g_02896
OG0000407	Pray.g_00141	Syat.g_02895
OG0000408	Pray.g_00139	Syat.g_02893
OG0000409	Pray.g_00137	Syat.g_02891
OG0000410	Pray.g_00136	Syat.g_02890
OG0000411	Pray.g_00635	Syat.g_02889
OG0000412	Pray.g_00636	Syat.g_02888
OG0000413	Pray.g_00637	Syat.g_02886
OG0000414	Pray.g_00638	Syat.g_02885
OG0000415	Pray.g_00639	Syat.g_02884
OG0000416	Pray.g_00640	Syat.g_02883
OG0000417	Pray.g_00641	Syat.g_02868
OG0000418	Pray.g_00646	Syat.g_02863
OG0000419	Pray.g_00648	Syat.g_02861
OG0000420	Pray.g_00649	Syat.g_02859
OG0000421	Pray.g_00654	Syat.g_02855
OG0000422	Pray.g_00655	Syat.g_02854
OG0000423	Pray.g_00656	Syat.g_02853
OG0000424	Pray.g_00657	Syat.g_02852
OG0000425	Pray.g_00658	Syat.g_02851
OG0000426	Pray.g_00659	Syat.g_02850
OG0000427	Pray.g_00660	Syat.g_02849
OG0000428	Pray.g_00662	Syat.g_02846
OG0000429	Pray.g_00663	Syat.g_02843
OG0000430	Pray.g_00664	Syat.g_02841
OG0000431	Pray.g_00666	Syat.g_02838
OG0000432	Pray.g_00669	Syat.g_02832
OG0000433	Pray.g_00670	Syat.g_02829
OG0000434	Pray.g_00671	Syat.g_02828
OG0000435	Pray.g_00672	Syat.g_02824
OG0000436	Pray.g_00677	Syat.g_02817
OG0000437	Pray.g_00678	Syat.g_02558
OG0000438	Pray.g_00679	Syat.g_02813
OG0000439	Pray.g_00681	Syat.g_02811
OG0000440	Pray.g_00682	Syat.g_02810
OG0000441	Pray.g_00685	Syat.g_02807
OG0000442	Pray.g_00686	Syat.g_02797
OG0000443	Pray.g_00687	Syat.g_02787
OG0000444	Pray.g_00692	Syat.g_02756
OG0000445	Pray.g_00693	Syat.g_02755
OG0000446	Pray.g_00694	Syat.g_02753
OG0000447	Pray.g_00695	Syat.g_02749
OG0000448	Pray.g_00696	Syat.g_02748
OG0000449	Pray.g_00697	Syat.g_02747
OG0000450	Pray.g_00698	Syat.g_02738
OG0000451	Pray.g_00699	Syat.g_02737
OG0000452	Pray.g_00702	Syat.g_02732
OG0000453	Pray.g_00703	Syat.g_02731
OG0000454	Pray.g_00704	Syat.g_02730
OG0000455	Pray.g_00705	Syat.g_02729
OG0000456	Pray.g_00706	Syat.g_02728
OG0000457	Pray.g_00707	Syat.g_02726
OG0000458	Pray.g_00708	Syat.g_02725
OG0000459	Pray.g_00709	Syat.g_02724
OG0000460	Pray.g_00716	Syat.g_01450
OG0000461	Pray.g_00723	Syat.g_01866
OG0000462	Pray.g_00725	Syat.g_01868
OG0000463	Pray.g_00726	Syat.g_01869
OG0000464	Pray.g_00727	Syat.g_01870
OG0000465	Pray.g_00728	Syat.g_01872
OG0000466	Pray.g_00731	Syat.g_01877
OG0000467	Pray.g_00732	Syat.g_01878
OG0000468	Pray.g_00734	Syat.g_01884
OG0000469	Pray.g_00742	Syat.g_02000
OG0000470	Pray.g_00744	Syat.g_02038
OG0000471	Pray.g_00745	Syat.g_02039
OG0000472	Pray.g_00746	Syat.g_02041
OG0000473	Pray.g_00748	Syat.g_02043
OG0000474	Pray.g_00749	Syat.g_02044
OG0000475	Pray.g_00750	Syat.g_02045
OG0000476	Pray.g_00751	Syat.g_02047
OG0000477	Pray.g_00754	Syat.g_02053
OG0000478	Pray.g_00755	Syat.g_02054
OG0000479	Pray.g_00756	Syat.g_02056
OG0000480	Pray.g_00761	Syat.g_02063
OG0000481	Pray.g_00763	Syat.g_02066
OG0000482	Pray.g_00764	Syat.g_02067
OG0000483	Pray.g_00767	Syat.g_02071
OG0000484	Pray.g_00768	Syat.g_02072
OG0000485	Pray.g_00769	Syat.g_02073
OG0000486	Pray.g_00770	Syat.g_02074
OG0000487	Pray.g_00773	Syat.g_02080
OG0000488	Pray.g_00776	Syat.g_02086
OG0000489	Pray.g_00781	Syat.g_02097
OG0000490	Pray.g_00786	Syat.g_02106
OG0000491	Pray.g_00787	Syat.g_02107
OG0000492	Pray.g_00789	Syat.g_02110
OG0000493	Pray.g_00790	Syat.g_02111
OG0000494	Pray.g_00791	Syat.g_02112
OG0000495	Pray.g_00792	Syat.g_02120
OG0000496	Pray.g_00793	Syat.g_02121
OG0000497	Pray.g_00794	Syat.g_02122
OG0000498	Pray.g_00795	Syat.g_02123
OG0000499	Pray.g_00796	Syat.g_02124
OG0000500	Pray.g_00797	Syat.g_02125
OG0000501	Pray.g_00799	Syat.g_02128
OG0000502	Pray.g_00802	Syat.g_02135
OG0000503	Pray.g_00812	Syat.g_01614
OG0000504	Pray.g_00813	Syat.g_01612
OG0000505	Pray.g_00814	Syat.g_01611
OG0000506	Pray.g_00816	Syat.g_01609
OG0000507	Pray.g_00819	Syat.g_01603
OG0000508	Pray.g_00823	Syat.g_01596
OG0000509	Pray.g_00825	Syat.g_01591
OG0000510	Pray.g_00826	Syat.g_01590
OG0000511	Pray.g_00827	Syat.g_01589
OG0000512	Pray.g_00829	Syat.g_01587
OG0000513	Pray.g_00836	Syat.g_02957
OG0000514	Pray.g_00921	Syat.g_02962
OG0000515	Pray.g_00922	Syat.g_02963
OG0000516	Pray.g_00923	Syat.g_02965
OG0000517	Pray.g_00925	Syat.g_02969
OG0000518	Pray.g_00936	Syat.g_01286
OG0000519	Pray.g_00937	Syat.g_01285
OG0000520	Pray.g_00938	Syat.g_01284
OG0000521	Pray.g_00943	Syat.g_01319
OG0000522	Pray.g_00945	Syat.g_01317
OG0000523	Pray.g_00946	Syat.g_01316
OG0000524	Pray.g_00951	Syat.g_01409
OG0000525	Pray.g_00954	Syat.g_01382
OG0000526	Pray.g_00955	Syat.g_01380
OG0000527	Pray.g_00963	Syat.g_01373
OG0000528	Pray.g_00968	Syat.g_03167
OG0000529	Pray.g_00971	Syat.g_03171
OG0000530	Pray.g_00974	Syat.g_03174
OG0000531	Pray.g_00975	Syat.g_03175
OG0000532	Pray.g_00977	Syat.g_03178
OG0000533	Pray.g_00978	Syat.g_03180
OG0000534	Pray.g_00979	Syat.g_03181
OG0000535	Pray.g_00980	Syat.g_03182
OG0000536	Pray.g_00981	Syat.g_03183
OG0000537	Pray.g_00982	Syat.g_03185
OG0000538	Pray.g_00991	Syat.g_03204
OG0000539	Pray.g_00992	Syat.g_03206
OG0000540	Pray.g_00993	Syat.g_03207
OG0000541	Pray.g_00994	Syat.g_03208
OG0000542	Pray.g_00996	Syat.g_03213
OG0000543	Pray.g_00998	Syat.g_03215
OG0000544	Pray.g_00999	Syat.g_03216
OG0000545	Pray.g_01001	Syat.g_03218
OG0000546	Pray.g_01004	Syat.g_03220
OG0000547	Pray.g_01006	Syat.g_03222
OG0000548	Pray.g_01007	Syat.g_03223
OG0000549	Pray.g_01009	Syat.g_01795
OG0000550	Pray.g_01014	Syat.g_01107
OG0000551	Pray.g_01018	Syat.g_01103
OG0000552	Pray.g_01019	Syat.g_01102
OG0000553	Pray.g_01020	Syat.g_01098
OG0000554	Pray.g_01227	Syat.g_03271
OG0000555	Pray.g_01219	Syat.g_00093
OG0000556	Pray.g_01217	Syat.g_00088
OG0000557	Pray.g_01216	Syat.g_00083
OG0000558	Pray.g_01214	Syat.g_00081
OG0000559	Pray.g_01210	Syat.g_00077
OG0000560	Pray.g_01207	Syat.g_00074
OG0000561	Pray.g_01206	Syat.g_00073
OG0000562	Pray.g_01205	Syat.g_00072
OG0000563	Pray.g_01204	Syat.g_00071
OG0000564	Pray.g_01203	Syat.g_00070
OG0000565	Pray.g_01200	Syat.g_00067
OG0000566	Pray.g_01198	Syat.g_00063
OG0000567	Pray.g_01194	Syat.g_00059
OG0000568	Pray.g_01193	Syat.g_00057
OG0000569	Pray.g_01192	Syat.g_00056
OG0000570	Pray.g_01191	Syat.g_00055
OG0000571	Pray.g_01189	Syat.g_00052
OG0000572	Pray.g_01176	Syat.g_00033
OG0000573	Pray.g_01171	Syat.g_00024
OG0000574	Pray.g_01170	Syat.g_00023
OG0000575	Pray.g_01166	Syat.g_00018
OG0000576	Pray.g_01164	Syat.g_00014
OG0000577	Pray.g_01163	Syat.g_00013
OG0000578	Pray.g_01162	Syat.g_00012
OG0000579	Pray.g_01161	Syat.g_00011
OG0000580	Pray.g_01160	Syat.g_00010
OG0000581	Pray.g_01158	Syat.g_00003
OG0000582	Pray.g_01155	Syat.g_03403
OG0000583	Pray.g_01154	Syat.g_03404
OG0000584	Pray.g_01153	Syat.g_03405
OG0000585	Pray.g_01151	Syat.g_03408
OG0000586	Pray.g_01150	Syat.g_03409
OG0000587	Pray.g_01149	Syat.g_00001
OG0000588	Pray.g_01145	Syat.g_00338
OG0000589	Pray.g_01142	Syat.g_03318
OG0000590	Pray.g_01141	Syat.g_03317
