Orthogroup	Pray	Syas
OG0000065	Pray.g_00182	Syas.g_02420
OG0000066	Pray.g_01222	Syas.g_00094
OG0000067	Pray.g_00348	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Pray.g_01829	Syas.g_00969, Syas.g_01261
OG0000069	Pray.g_01609	Syas.g_00779, Syas.g_00876
OG0000070	Pray.g_00940	Syas.g_00173
OG0000071	Pray.g_01870	Syas.g_02854
OG0000072	Pray.g_00652	Syas.g_02326, Syas.g_01524
OG0000073	Pray.g_00990	Syas.g_00358, Syas.g_00264, Syas.g_01230
OG0000075	Pray.g_01339	Syas.g_01921, Syas.g_02194
OG0000076	Pray.g_01364	Syas.g_02156
OG0000077	Pray.g_00211	Syas.g_02510
OG0000078	Pray.g_00720	Syas.g_02561, Syas.g_02308
OG0000079	Pray.g_00733	Syas.g_01699
OG0000081	Pray.g_01022	Syas.g_00391
OG0000082	Pray.g_01177	Syas.g_00837
OG0000085	Pray.g_01566	Syas.g_02695
OG0000086	Pray.g_00201	Syas.g_02470
OG0000087	Pray.g_00150	Syas.g_02374
OG0000089	Pray.g_00834	Syas.g_01512
OG0000090	Pray.g_01024, Pray.g_01228	Syas.g_00062
OG0000091	Pray.g_01121	Syas.g_00907, Syas.g_00146
OG0000092	Pray.g_01325	Syas.g_00900, Syas.g_00877
OG0000094	Pray.g_00565	Syas.g_00208, Syas.g_01716
OG0000095	Pray.g_00584	Syas.g_01021
OG0000097	Pray.g_00022	Syas.g_00114, Syas.g_01443
OG0000098	Pray.g_01847	Syas.g_00091
OG0000099	Pray.g_01788	Syas.g_01826
OG0000100	Pray.g_01648	Syas.g_00567
OG0000101	Pray.g_01306	Syas.g_01589
OG0000102	Pray.g_01369	Syas.g_02152, Syas.g_01395
OG0000103	Pray.g_01449	Syas.g_02009
OG0000104	Pray.g_01457	Syas.g_02027, Syas.g_02026
OG0000105	Pray.g_00753	Syas.g_01739
OG0000106	Pray.g_00848	Syas.g_01451
OG0000107	Pray.g_00864	Syas.g_01669
OG0000108	Pray.g_00970	Syas.g_01253
OG0000109	Pray.g_00984	Syas.g_01236
OG0000110	Pray.g_01187	Syas.g_00359, Syas.g_00818
OG0000111	Pray.g_01064	Syas.g_01037
OG0000112	Pray.g_00313	Syas.g_00452
OG0000113	Pray.g_00370	Syas.g_00571
OG0000114	Pray.g_00452	Syas.g_00252, Syas.g_00674
OG0000115	Pray.g_00126	Syas.g_02548, Syas.g_01285
OG0000116	Pray.g_00074	Syas.g_01198, Syas.g_00317
OG0000117	Pray.g_01927	Syas.g_01122
OG0000118	Pray.g_01858	Syas.g_02835
OG0000120	Pray.g_01808	Syas.g_01828
OG0000121	Pray.g_01720	Syas.g_02821
OG0000122	Pray.g_01682	Syas.g_00393
OG0000123	Pray.g_01313	Syas.g_01582
OG0000124	Pray.g_01380	Syas.g_02137
OG0000125	Pray.g_01417	Syas.g_01889
OG0000126	Pray.g_01456	Syas.g_01992
OG0000128	Pray.g_01473	Syas.g_02046
OG0000129	Pray.g_00239	Syas.g_01880
OG0000130	Pray.g_00220	Syas.g_02522
OG0000131	Pray.g_00144	Syas.g_02367
OG0000132	Pray.g_00645	Syas.g_02334
OG0000133	Pray.g_00800	Syas.g_00457
OG0000134	Pray.g_00835	Syas.g_01509
OG0000135	Pray.g_00861	Syas.g_01938
OG0000136	Pray.g_00931	Syas.g_02740
OG0000137	Pray.g_00965	Syas.g_01333
OG0000138	Pray.g_00985	Syas.g_01235
OG0000139	Pray.g_01224	Syas.g_00069
OG0000140	Pray.g_01223	Syas.g_00090
OG0000141	Pray.g_01156	Syas.g_00875
OG0000142	Pray.g_01128	Syas.g_00746
OG0000143	Pray.g_01124	Syas.g_00742
OG0000144	Pray.g_01111	Syas.g_00718
OG0000145	Pray.g_00306	Syas.g_00948
OG0000146	Pray.g_00314	Syas.g_00451
OG0000147	Pray.g_00315	Syas.g_00450
OG0000148	Pray.g_00364	Syas.g_00577
OG0000149	Pray.g_00395	Syas.g_00282
OG0000150	Pray.g_00403	Syas.g_00874
OG0000151	Pray.g_00462	Syas.g_00148, Syas.g_00659
OG0000152	Pray.g_00511	Syas.g_00461
OG0000153	Pray.g_00530	Syas.g_00543
OG0000154	Pray.g_00558	Syas.g_00219
OG0000155	Pray.g_00043	Syas.g_01131
OG0000156	Pray.g_01881	Syas.g_01206
OG0000157	Pray.g_01880	Syas.g_01207
OG0000158	Pray.g_01787	Syas.g_02185
OG0000160	Pray.g_01721	Syas.g_02820
OG0000161	Pray.g_01715	Syas.g_02826
OG0000162	Pray.g_01709	Syas.g_02751
OG0000163	Pray.g_01675	Syas.g_01488
OG0000164	Pray.g_01535	Syas.g_02648
OG0000165	Pray.g_01528	Syas.g_02609
OG0000166	Pray.g_01270	Syas.g_01629
OG0000167	Pray.g_01337	Syas.g_01449
OG0000168	Pray.g_01347	Syas.g_02184
OG0000169	Pray.g_01357	Syas.g_02170
OG0000170	Pray.g_01359	Syas.g_02161
OG0000171	Pray.g_01379	Syas.g_02139
OG0000172	Pray.g_01388	Syas.g_02110
OG0000173	Pray.g_01403	Syas.g_02092
OG0000174	Pray.g_01431	Syas.g_01940
OG0000175	Pray.g_01441	Syas.g_01994
OG0000176	Pray.g_01465, Pray.g_01466	Syas.g_02038
OG0000177	Pray.g_01467	Syas.g_02039
OG0000178	Pray.g_01468	Syas.g_02040
OG0000179	Pray.g_01478	Syas.g_02054
OG0000180	Pray.g_01479	Syas.g_02055
OG0000181	Pray.g_01480	Syas.g_02056
OG0000182	Pray.g_01481	Syas.g_02057
OG0000183	Pray.g_01485	Syas.g_02061
OG0000184	Pray.g_00237	Syas.g_01872
OG0000185	Pray.g_00234	Syas.g_01861
OG0000186	Pray.g_00225	Syas.g_02525
OG0000187	Pray.g_00224	Syas.g_02524
OG0000188	Pray.g_00207	Syas.g_02502
OG0000189	Pray.g_00193	Syas.g_02432
OG0000190	Pray.g_00192	Syas.g_00133
OG0000191	Pray.g_00172	Syas.g_02400
OG0000192	Pray.g_00168	Syas.g_02395
OG0000193	Pray.g_00143	Syas.g_02366
OG0000194	Pray.g_00140	Syas.g_02363
OG0000195	Pray.g_00138	Syas.g_02360
OG0000196	Pray.g_00642	Syas.g_02337
OG0000197	Pray.g_00643	Syas.g_02336
OG0000198	Pray.g_00644	Syas.g_02335
OG0000199	Pray.g_00651	Syas.g_02327
OG0000200	Pray.g_00665	Syas.g_02298
OG0000201	Pray.g_00673	Syas.g_02279
OG0000202	Pray.g_00674	Syas.g_02278
OG0000203	Pray.g_00675	Syas.g_02277
OG0000204	Pray.g_00676	Syas.g_02276
OG0000205	Pray.g_00683	Syas.g_02267
OG0000206	Pray.g_00688	Syas.g_02240
OG0000207	Pray.g_00690	Syas.g_02237
OG0000208	Pray.g_00691	Syas.g_02236
OG0000209	Pray.g_00700	Syas.g_01837
OG0000210	Pray.g_00701	Syas.g_01838
OG0000211	Pray.g_00714	Syas.g_02552
OG0000212	Pray.g_00721	Syas.g_02562
OG0000213	Pray.g_00738	Syas.g_01707
OG0000214	Pray.g_00747	Syas.g_01730
OG0000215	Pray.g_00771	Syas.g_01766
OG0000216	Pray.g_00772	Syas.g_01770
OG0000217	Pray.g_00775	Syas.g_01778
OG0000218	Pray.g_00777	Syas.g_01780
OG0000219	Pray.g_00778	Syas.g_01783
OG0000220	Pray.g_00779	Syas.g_01784
OG0000221	Pray.g_00780	Syas.g_01785
OG0000222	Pray.g_00788	Syas.g_01804
OG0000223	Pray.g_00801	Syas.g_02221
OG0000224	Pray.g_00803	Syas.g_02215
OG0000225	Pray.g_00824	Syas.g_01522
OG0000226	Pray.g_00828	Syas.g_01518
OG0000227	Pray.g_00830	Syas.g_01516
OG0000228	Pray.g_00833	Syas.g_01513
OG0000229	Pray.g_00926	Syas.g_01497
OG0000230	Pray.g_00928	Syas.g_01495
OG0000231	Pray.g_00939	Syas.g_02749
OG0000232	Pray.g_00948	Syas.g_01276
OG0000233	Pray.g_00953	Syas.g_01352
OG0000234	Pray.g_00966	Syas.g_01331
OG0000235	Pray.g_00969	Syas.g_01254
OG0000236	Pray.g_00983	Syas.g_01237
OG0000237	Pray.g_00997	Syas.g_01220
OG0000238	Pray.g_01003	Syas.g_01215
OG0000239	Pray.g_01016	Syas.g_00012
OG0000240	Pray.g_01017	Syas.g_00013
OG0000241	Pray.g_01021	Syas.g_00754
OG0000242	Pray.g_01023	Syas.g_00059
OG0000243	Pray.g_01218	Syas.g_00777
OG0000244	Pray.g_01215	Syas.g_00784
OG0000245	Pray.g_01213	Syas.g_00786
OG0000246	Pray.g_01209	Syas.g_00790
OG0000247	Pray.g_01199	Syas.g_00802
OG0000248	Pray.g_01197	Syas.g_00805
OG0000249	Pray.g_01195	Syas.g_00807
OG0000250	Pray.g_01190	Syas.g_00814
OG0000251	Pray.g_01172	Syas.g_00845
OG0000252	Pray.g_01169	Syas.g_00950
OG0000253	Pray.g_01168	Syas.g_00846
OG0000254	Pray.g_01152	Syas.g_00869
OG0000255	Pray.g_01146	Syas.g_00132, Syas.g_01062
OG0000256	Pray.g_01136	Syas.g_00104
OG0000257	Pray.g_01133	Syas.g_00757
OG0000258	Pray.g_01120	Syas.g_00733
OG0000259	Pray.g_01103	Syas.g_01006, Syas.g_00708
OG0000260	Pray.g_01100	Syas.g_00705
OG0000261	Pray.g_01098	Syas.g_00701
OG0000262	Pray.g_01094	Syas.g_00695
OG0000263	Pray.g_01082	Syas.g_01103
OG0000264	Pray.g_01072	Syas.g_02588
OG0000266	Pray.g_01030	Syas.g_00186
OG0000267	Pray.g_00274	Syas.g_00377
OG0000268	Pray.g_00275	Syas.g_00390
OG0000269	Pray.g_00343	Syas.g_00601
OG0000270	Pray.g_00346	Syas.g_00598
OG0000271	Pray.g_00354	Syas.g_00590
OG0000272	Pray.g_00355	Syas.g_00589
OG0000273	Pray.g_00378	Syas.g_00563
OG0000274	Pray.g_00379	Syas.g_00562
OG0000275	Pray.g_00382	Syas.g_00230
OG0000276	Pray.g_00387	Syas.g_00237
OG0000277	Pray.g_00388	Syas.g_00238
OG0000278	Pray.g_00391	Syas.g_00241
OG0000279	Pray.g_00398	Syas.g_00288
OG0000280	Pray.g_00399	Syas.g_00889, Syas.g_00481
OG0000281	Pray.g_00404	Syas.g_00970
OG0000282	Pray.g_00454	Syas.g_00672
OG0000283	Pray.g_00488	Syas.g_00409
OG0000284	Pray.g_00493	Syas.g_00416
OG0000285	Pray.g_00498	Syas.g_00436
OG0000286	Pray.g_00510	Syas.g_00460
OG0000287	Pray.g_00527	Syas.g_00534
OG0000288	Pray.g_00557	Syas.g_00220
OG0000289	Pray.g_00568	Syas.g_00205
OG0000290	Pray.g_00581	Syas.g_01016
OG0000291	Pray.g_00583	Syas.g_01018
OG0000292	Pray.g_00632	Syas.g_02020
OG0000293	Pray.g_00073	Syas.g_01197
OG0000294	Pray.g_00072	Syas.g_01196
OG0000295	Pray.g_00051	Syas.g_01139
OG0000296	Pray.g_00049	Syas.g_01137
OG0000297	Pray.g_00041	Syas.g_01124
OG0000298	Pray.g_00040	Syas.g_01123
OG0000299	Pray.g_00023	Syas.g_01087
OG0000300	Pray.g_00020	Syas.g_01082
OG0000301	Pray.g_00019	Syas.g_01081
OG0000302	Pray.g_00017	Syas.g_01080
OG0000303	Pray.g_00010	Syas.g_01071
OG0000304	Pray.g_00006	Syas.g_01066
OG0000305	Pray.g_01837	Syas.g_01023
OG0000306	Pray.g_01834	Syas.g_01929
OG0000307	Pray.g_01820	Syas.g_01270
OG0000308	Pray.g_01819	Syas.g_01272
OG0000309	Pray.g_01815	Syas.g_01364
OG0000310	Pray.g_01737	Syas.g_02796
OG0000311	Pray.g_01735	Syas.g_02799
OG0000312	Pray.g_01732	Syas.g_02804
OG0000313	Pray.g_01718	Syas.g_02823
OG0000314	Pray.g_01695	Syas.g_01296
OG0000315	Pray.g_01685	Syas.g_01306
OG0000316	Pray.g_01665	Syas.g_02728
OG0000317	Pray.g_01561	Syas.g_02687
OG0000318	Pray.g_01558	Syas.g_02680
OG0000319	Pray.g_01545	Syas.g_02663
OG0000320	Pray.g_01543	Syas.g_02661
OG0000321	Pray.g_01542	Syas.g_02660
OG0000322	Pray.g_01541	Syas.g_02659
OG0000323	Pray.g_01532	Syas.g_02646, Syas.g_00159
OG0000324	Pray.g_01506	Syas.g_02578
OG0000325	Pray.g_01235	Syas.g_01668
OG0000326	Pray.g_01241	Syas.g_01661
OG0000327	Pray.g_01265	Syas.g_01634
OG0000328	Pray.g_01266	Syas.g_01633
OG0000329	Pray.g_01283	Syas.g_01615
OG0000330	Pray.g_01284	Syas.g_01614
OG0000331	Pray.g_01285	Syas.g_01613
OG0000332	Pray.g_01299	Syas.g_01598
OG0000333	Pray.g_01301	Syas.g_01595
OG0000334	Pray.g_01309	Syas.g_01586
OG0000335	Pray.g_01314	Syas.g_01581
OG0000336	Pray.g_01318	Syas.g_01577
OG0000337	Pray.g_01335	Syas.g_02211
OG0000338	Pray.g_01336	Syas.g_02199
OG0000339	Pray.g_01340	Syas.g_02192
OG0000340	Pray.g_01348	Syas.g_02183
OG0000341	Pray.g_01350	Syas.g_02181
OG0000342	Pray.g_01351	Syas.g_02180
OG0000343	Pray.g_01352	Syas.g_02176
OG0000344	Pray.g_01355	Syas.g_02172
OG0000345	Pray.g_01360	Syas.g_02160
OG0000346	Pray.g_01365	Syas.g_02155
OG0000347	Pray.g_01381	Syas.g_02136
OG0000348	Pray.g_01391	Syas.g_02107
OG0000349	Pray.g_01408	Syas.g_02085
OG0000350	Pray.g_01427	Syas.g_01654
OG0000351	Pray.g_01444	Syas.g_01998
OG0000352	Pray.g_01445	Syas.g_01999
OG0000353	Pray.g_01460	Syas.g_02033
OG0000355	Pray.g_01462	Syas.g_02035
OG0000356	Pray.g_01463	Syas.g_02036
OG0000357	Pray.g_01464	Syas.g_02037
OG0000358	Pray.g_01469	Syas.g_02041
OG0000359	Pray.g_01470	Syas.g_02043
OG0000360	Pray.g_01471	Syas.g_02044
OG0000361	Pray.g_01472	Syas.g_02045
OG0000362	Pray.g_01474	Syas.g_02047
OG0000363	Pray.g_01476	Syas.g_02049
OG0000364	Pray.g_01477	Syas.g_02685
OG0000365	Pray.g_01482	Syas.g_02058
OG0000366	Pray.g_01483	Syas.g_02059
OG0000368	Pray.g_01486	Syas.g_02062
OG0000369	Pray.g_01487	Syas.g_02063
OG0000370	Pray.g_01488	Syas.g_02064
OG0000371	Pray.g_01494	Syas.g_02073
OG0000372	Pray.g_01497	Syas.g_02078
OG0000373	Pray.g_01498	Syas.g_02079
OG0000374	Pray.g_01499	Syas.g_02080
OG0000375	Pray.g_00243	Syas.g_02081
OG0000376	Pray.g_00241	Syas.g_02083
OG0000377	Pray.g_00238	Syas.g_01879
OG0000378	Pray.g_00236	Syas.g_01867
OG0000379	Pray.g_00233	Syas.g_01859
OG0000380	Pray.g_00223	Syas.g_02523
OG0000381	Pray.g_00219	Syas.g_02521
OG0000382	Pray.g_00208	Syas.g_02503
OG0000383	Pray.g_00206	Syas.g_02480
OG0000384	Pray.g_00205	Syas.g_02479
OG0000385	Pray.g_00204	Syas.g_02478
OG0000386	Pray.g_00203	Syas.g_02477
OG0000387	Pray.g_00190	Syas.g_00134
OG0000388	Pray.g_00187	Syas.g_02426
OG0000389	Pray.g_00183	Syas.g_02422
OG0000390	Pray.g_00176	Syas.g_02406
OG0000391	Pray.g_00173	Syas.g_02401
OG0000392	Pray.g_00169	Syas.g_02396
OG0000393	Pray.g_00167	Syas.g_02394
OG0000394	Pray.g_00166	Syas.g_02393
OG0000395	Pray.g_00165	Syas.g_02392
OG0000396	Pray.g_00162	Syas.g_02389
OG0000397	Pray.g_00160	Syas.g_02387
OG0000398	Pray.g_00158	Syas.g_02382
OG0000399	Pray.g_00157	Syas.g_02381
OG0000400	Pray.g_00156	Syas.g_02380
OG0000401	Pray.g_00155	Syas.g_02379
OG0000402	Pray.g_00153	Syas.g_02377
OG0000403	Pray.g_00152	Syas.g_02376
OG0000404	Pray.g_00151	Syas.g_02375
OG0000405	Pray.g_00147	Syas.g_02369
OG0000406	Pray.g_00142	Syas.g_02365
OG0000407	Pray.g_00141	Syas.g_02364
OG0000408	Pray.g_00139	Syas.g_02361
OG0000409	Pray.g_00137	Syas.g_02359
OG0000410	Pray.g_00136	Syas.g_02358
OG0000411	Pray.g_00635	Syas.g_02357
OG0000412	Pray.g_00636	Syas.g_02356
OG0000413	Pray.g_00637	Syas.g_02354
OG0000414	Pray.g_00638	Syas.g_02353
OG0000415	Pray.g_00639	Syas.g_02352
OG0000416	Pray.g_00640	Syas.g_02351
OG0000417	Pray.g_00641	Syas.g_02338
OG0000418	Pray.g_00646	Syas.g_02333
OG0000419	Pray.g_00648	Syas.g_02331
OG0000420	Pray.g_00649	Syas.g_02329
OG0000421	Pray.g_00654	Syas.g_02324
OG0000422	Pray.g_00655	Syas.g_02323
OG0000423	Pray.g_00656	Syas.g_02322
OG0000424	Pray.g_00657	Syas.g_02321
OG0000425	Pray.g_00658	Syas.g_02320
OG0000426	Pray.g_00659	Syas.g_02319
OG0000427	Pray.g_00660	Syas.g_02318
OG0000428	Pray.g_00662	Syas.g_02315
OG0000429	Pray.g_00663	Syas.g_02312
OG0000430	Pray.g_00664	Syas.g_02311
OG0000431	Pray.g_00666	Syas.g_02296
OG0000432	Pray.g_00669	Syas.g_02288
OG0000433	Pray.g_00670	Syas.g_02286
OG0000434	Pray.g_00671	Syas.g_02285
OG0000435	Pray.g_00672	Syas.g_02282
OG0000436	Pray.g_00677	Syas.g_02273
OG0000437	Pray.g_00678	Syas.g_02272
OG0000438	Pray.g_00679	Syas.g_02271
OG0000439	Pray.g_00681	Syas.g_02269
OG0000440	Pray.g_00682	Syas.g_02268
OG0000441	Pray.g_00685	Syas.g_02265
OG0000442	Pray.g_00686	Syas.g_02259
OG0000443	Pray.g_00687	Syas.g_02241
OG0000444	Pray.g_00692	Syas.g_02234
OG0000445	Pray.g_00693	Syas.g_02233
OG0000446	Pray.g_00694	Syas.g_02231
OG0000447	Pray.g_00695	Syas.g_02229
OG0000448	Pray.g_00696	Syas.g_02228
OG0000449	Pray.g_00697	Syas.g_02226
OG0000450	Pray.g_00698	Syas.g_01834
OG0000451	Pray.g_00699	Syas.g_01835
OG0000452	Pray.g_00702	Syas.g_01844
OG0000453	Pray.g_00703	Syas.g_01845
OG0000454	Pray.g_00704	Syas.g_01846
OG0000455	Pray.g_00705	Syas.g_01847
OG0000456	Pray.g_00706	Syas.g_01848
OG0000457	Pray.g_00707	Syas.g_01850
OG0000458	Pray.g_00708	Syas.g_01851
OG0000459	Pray.g_00709	Syas.g_01852
OG0000460	Pray.g_00716	Syas.g_02554
OG0000461	Pray.g_00723	Syas.g_01686
OG0000462	Pray.g_00725	Syas.g_01688
OG0000463	Pray.g_00726	Syas.g_01689
OG0000464	Pray.g_00727	Syas.g_01690
OG0000465	Pray.g_00728	Syas.g_01692
OG0000466	Pray.g_00731	Syas.g_01697
OG0000467	Pray.g_00732	Syas.g_01698
OG0000468	Pray.g_00734	Syas.g_01703
OG0000469	Pray.g_00742	Syas.g_01725
OG0000470	Pray.g_00744	Syas.g_01727
OG0000471	Pray.g_00745	Syas.g_01728
OG0000472	Pray.g_00746	Syas.g_01729
OG0000473	Pray.g_00748	Syas.g_01731
OG0000474	Pray.g_00749	Syas.g_01732
OG0000475	Pray.g_00750	Syas.g_01733
OG0000476	Pray.g_00751	Syas.g_01735
OG0000477	Pray.g_00754	Syas.g_01740
OG0000478	Pray.g_00755	Syas.g_01741
OG0000479	Pray.g_00756	Syas.g_01749
OG0000480	Pray.g_00761	Syas.g_01756
OG0000481	Pray.g_00763	Syas.g_00161, Syas.g_00162
OG0000482	Pray.g_00764	Syas.g_01758
OG0000483	Pray.g_00767	Syas.g_01762
OG0000484	Pray.g_00768	Syas.g_01763
OG0000485	Pray.g_00769	Syas.g_01764
OG0000486	Pray.g_00770	Syas.g_01765
OG0000487	Pray.g_00773	Syas.g_01771
OG0000488	Pray.g_00776	Syas.g_01779
OG0000489	Pray.g_00781	Syas.g_01823
OG0000490	Pray.g_00786	Syas.g_01808
OG0000491	Pray.g_00787	Syas.g_01806
OG0000492	Pray.g_00789	Syas.g_01803
OG0000493	Pray.g_00790	Syas.g_01802
OG0000494	Pray.g_00791	Syas.g_01801
OG0000495	Pray.g_00792	Syas.g_01799
OG0000496	Pray.g_00793	Syas.g_01798
OG0000497	Pray.g_00794	Syas.g_01797
OG0000498	Pray.g_00795	Syas.g_01796
OG0000499	Pray.g_00796	Syas.g_01795
OG0000500	Pray.g_00797	Syas.g_01794
OG0000501	Pray.g_00799	Syas.g_01791
OG0000502	Pray.g_00802	Syas.g_02216
OG0000503	Pray.g_00812	Syas.g_01541
OG0000504	Pray.g_00813	Syas.g_01539
OG0000505	Pray.g_00814	Syas.g_01538
OG0000506	Pray.g_00816	Syas.g_01536
OG0000507	Pray.g_00819	Syas.g_01530
OG0000508	Pray.g_00823	Syas.g_01523
OG0000509	Pray.g_00825	Syas.g_01521
OG0000510	Pray.g_00826	Syas.g_01520
OG0000511	Pray.g_00827	Syas.g_01519
OG0000512	Pray.g_00829	Syas.g_01517
OG0000513	Pray.g_00836	Syas.g_01508
OG0000514	Pray.g_00921	Syas.g_01504
OG0000515	Pray.g_00922	Syas.g_01503
OG0000516	Pray.g_00923	Syas.g_01501
OG0000517	Pray.g_00925	Syas.g_01498
OG0000518	Pray.g_00936	Syas.g_00360, Syas.g_02746
OG0000519	Pray.g_00937	Syas.g_02747
OG0000520	Pray.g_00938	Syas.g_02748
OG0000521	Pray.g_00943	Syas.g_01281
OG0000522	Pray.g_00945	Syas.g_01279
OG0000523	Pray.g_00946	Syas.g_01278
OG0000524	Pray.g_00951	Syas.g_01354
OG0000525	Pray.g_00954	Syas.g_01342
OG0000526	Pray.g_00955	Syas.g_01340
OG0000527	Pray.g_00963	Syas.g_01335
OG0000528	Pray.g_00968	Syas.g_01256
OG0000529	Pray.g_00971	Syas.g_01252
OG0000530	Pray.g_00974	Syas.g_01249
OG0000531	Pray.g_00975	Syas.g_01248
OG0000532	Pray.g_00977	Syas.g_01245
OG0000533	Pray.g_00978	Syas.g_01243
OG0000534	Pray.g_00979	Syas.g_01242
OG0000535	Pray.g_00980	Syas.g_01241
OG0000536	Pray.g_00981	Syas.g_01240
OG0000537	Pray.g_00982	Syas.g_01238
OG0000538	Pray.g_00991	Syas.g_01228
OG0000539	Pray.g_00992	Syas.g_01227
OG0000540	Pray.g_00993	Syas.g_01226
OG0000541	Pray.g_00994	Syas.g_01225
OG0000542	Pray.g_00996	Syas.g_01221
OG0000543	Pray.g_00998	Syas.g_01219
OG0000544	Pray.g_00999	Syas.g_01218
OG0000545	Pray.g_01001	Syas.g_01216
OG0000546	Pray.g_01004	Syas.g_01214
OG0000547	Pray.g_01006	Syas.g_01212
OG0000548	Pray.g_01007	Syas.g_01211
OG0000549	Pray.g_01009	Syas.g_00005
OG0000550	Pray.g_01014	Syas.g_00010
OG0000551	Pray.g_01018	Syas.g_00015
OG0000552	Pray.g_01019	Syas.g_00016
OG0000553	Pray.g_01020	Syas.g_00019
OG0000554	Pray.g_01227	Syas.g_00063
OG0000555	Pray.g_01219	Syas.g_00775
OG0000556	Pray.g_01217	Syas.g_00781
OG0000557	Pray.g_01216	Syas.g_00783
OG0000558	Pray.g_01214	Syas.g_00785
OG0000559	Pray.g_01210	Syas.g_00789
OG0000560	Pray.g_01207	Syas.g_00792
OG0000561	Pray.g_01206	Syas.g_00793
OG0000562	Pray.g_01205	Syas.g_00794
OG0000563	Pray.g_01204	Syas.g_00795
OG0000564	Pray.g_01203	Syas.g_00796
OG0000565	Pray.g_01200	Syas.g_00800
OG0000566	Pray.g_01198	Syas.g_00804
OG0000567	Pray.g_01194	Syas.g_00808
OG0000568	Pray.g_01193	Syas.g_00810
OG0000569	Pray.g_01192	Syas.g_00811
OG0000570	Pray.g_01191	Syas.g_00812
OG0000571	Pray.g_01189	Syas.g_00815
OG0000572	Pray.g_01176	Syas.g_00839
OG0000573	Pray.g_01171	Syas.g_00952
OG0000574	Pray.g_01170	Syas.g_00951
OG0000575	Pray.g_01166	Syas.g_00848
OG0000576	Pray.g_01164	Syas.g_00850
OG0000577	Pray.g_01163	Syas.g_00851
OG0000578	Pray.g_01162	Syas.g_00852
OG0000579	Pray.g_01161	Syas.g_00853
OG0000580	Pray.g_01160	Syas.g_00854
OG0000581	Pray.g_01158	Syas.g_00861
OG0000582	Pray.g_01155	Syas.g_00873
OG0000583	Pray.g_01154	Syas.g_00872
OG0000584	Pray.g_01153	Syas.g_00871
OG0000585	Pray.g_01151	Syas.g_00868
OG0000586	Pray.g_01150	Syas.g_00867
OG0000587	Pray.g_01149	Syas.g_00865
OG0000588	Pray.g_01145	Syas.g_00960
OG0000589	Pray.g_01142	Syas.g_00121
OG0000590	Pray.g_01141	Syas.g_00120
