Orthogroup	Pray	Syac
OG0000069	Pray.g_01609	Syac.g_01272
OG0000070	Pray.g_00940	Syac.g_00711
OG0000071	Pray.g_01870	Syac.g_01049, Syac.g_00729
OG0000072	Pray.g_00652	Syac.g_00302
OG0000073	Pray.g_00990	Syac.g_01883
OG0000075	Pray.g_01339	Syac.g_00191
OG0000076	Pray.g_01364	Syac.g_00156
OG0000077	Pray.g_00211	Syac.g_00439
OG0000078	Pray.g_00720	Syac.g_01964
OG0000079	Pray.g_00733	Syac.g_02211
OG0000081	Pray.g_01022	Syac.g_01954, Syac.g_00461
OG0000082	Pray.g_01177	Syac.g_01766
OG0000084	Pray.g_01726	Syac.g_00822, Syac.g_01627
OG0000085	Pray.g_01566	Syac.g_00560
OG0000086	Pray.g_00201	Syac.g_00423
OG0000087	Pray.g_00150	Syac.g_00343
OG0000088	Pray.g_00647	Syac.g_00308
OG0000089	Pray.g_00834	Syac.g_01988, Syac.g_01543
OG0000090	Pray.g_01024, Pray.g_01228	Syac.g_01836
OG0000091	Pray.g_01121	Syac.g_00987
OG0000093	Pray.g_00479	Syac.g_01357
OG0000094	Pray.g_00565	Syac.g_01251
OG0000095	Pray.g_00584	Syac.g_00884
OG0000097	Pray.g_00022	Syac.g_01507
OG0000098	Pray.g_01847	Syac.g_02157
OG0000099	Pray.g_01788	Syac.g_00234
OG0000100	Pray.g_01648	Syac.g_01309
OG0000101	Pray.g_01306	Syac.g_02094
OG0000102	Pray.g_01369	Syac.g_00151
OG0000103	Pray.g_01449	Syac.g_02476
OG0000104	Pray.g_01457	Syac.g_02490
OG0000105	Pray.g_00753	Syac.g_02245
OG0000106	Pray.g_00848	Syac.g_01098
OG0000107	Pray.g_00864	Syac.g_02191
OG0000108	Pray.g_00970	Syac.g_01904
OG0000109	Pray.g_00984	Syac.g_01889
OG0000110	Pray.g_01187	Syac.g_01778
OG0000111	Pray.g_01064	Syac.g_00893
OG0000112	Pray.g_00313	Syac.g_01173
OG0000113	Pray.g_00370	Syac.g_01314
OG0000114	Pray.g_00452	Syac.g_01394
OG0000115	Pray.g_00126	Syac.g_01655
OG0000116	Pray.g_00074	Syac.g_00753
OG0000117	Pray.g_01927	Syac.g_01477
OG0000118	Pray.g_01858	Syac.g_01728
OG0000120	Pray.g_01808	Syac.g_00233
OG0000121	Pray.g_01720	Syac.g_01635
OG0000122	Pray.g_01682	Syac.g_01013
OG0000123	Pray.g_01313	Syac.g_02086
OG0000124	Pray.g_01380	Syac.g_00135
OG0000125	Pray.g_01417	Syac.g_02360
OG0000126	Pray.g_01456	Syac.g_02488
OG0000128	Pray.g_01473	Syac.g_00012
OG0000129	Pray.g_00239	Syac.g_02349
OG0000130	Pray.g_00220	Syac.g_00450
OG0000131	Pray.g_00144	Syac.g_00330
OG0000132	Pray.g_00645	Syac.g_00310
OG0000133	Pray.g_00800	Syac.g_01178
OG0000134	Pray.g_00835	Syac.g_01985
OG0000135	Pray.g_00861	Syac.g_02398
OG0000136	Pray.g_00931	Syac.g_00701
OG0000137	Pray.g_00965	Syac.g_01700
OG0000138	Pray.g_00985	Syac.g_01888
OG0000139	Pray.g_01224	Syac.g_01830
OG0000140	Pray.g_01223	Syac.g_01829
OG0000141	Pray.g_01156	Syac.g_00934
OG0000142	Pray.g_01128	Syac.g_00979
OG0000143	Pray.g_01124	Syac.g_00983
OG0000144	Pray.g_01111	Syac.g_01090
OG0000145	Pray.g_00306	Syac.g_01882
OG0000146	Pray.g_00314	Syac.g_01172
OG0000147	Pray.g_00315	Syac.g_01171
OG0000148	Pray.g_00364	Syac.g_01320
OG0000149	Pray.g_00395	Syac.g_00832
OG0000150	Pray.g_00403	Syac.g_00935
OG0000151	Pray.g_00462	Syac.g_01383
OG0000152	Pray.g_00511	Syac.g_01182
OG0000153	Pray.g_00530	Syac.g_01217
OG0000154	Pray.g_00558	Syac.g_01241
OG0000155	Pray.g_00043	Syac.g_00804
OG0000156	Pray.g_01881	Syac.g_00743
OG0000157	Pray.g_01880	Syac.g_00742
OG0000158	Pray.g_01787	Syac.g_00182
OG0000160	Pray.g_01721	Syac.g_01633
OG0000161	Pray.g_01715	Syac.g_01641
OG0000162	Pray.g_01709	Syac.g_01648
OG0000163	Pray.g_01675	Syac.g_00619
OG0000164	Pray.g_01535	Syac.g_00508
OG0000165	Pray.g_01528	Syac.g_00674
OG0000166	Pray.g_01270	Syac.g_02132
OG0000167	Pray.g_01337	Syac.g_00194
OG0000168	Pray.g_01347	Syac.g_00179
OG0000169	Pray.g_01357	Syac.g_00168
OG0000170	Pray.g_01359	Syac.g_00161
OG0000171	Pray.g_01379	Syac.g_00136
OG0000172	Pray.g_01388	Syac.g_00084
OG0000173	Pray.g_01403	Syac.g_00057
OG0000174	Pray.g_01431	Syac.g_02401
OG0000175	Pray.g_01441	Syac.g_02465
OG0000176	Pray.g_01465, Pray.g_01466	Syac.g_00004
OG0000177	Pray.g_01467	Syac.g_00005
OG0000178	Pray.g_01468	Syac.g_00006
OG0000179	Pray.g_01478	Syac.g_00019
OG0000180	Pray.g_01479	Syac.g_00020
OG0000181	Pray.g_01480	Syac.g_00021
OG0000182	Pray.g_01481	Syac.g_00022
OG0000183	Pray.g_01485	Syac.g_00026
OG0000184	Pray.g_00237	Syac.g_02339
OG0000185	Pray.g_00234	Syac.g_02336
OG0000186	Pray.g_00225	Syac.g_00454
OG0000187	Pray.g_00224	Syac.g_00453
OG0000188	Pray.g_00207	Syac.g_00433
OG0000189	Pray.g_00193	Syac.g_00408
OG0000190	Pray.g_00192	Syac.g_00406
OG0000191	Pray.g_00172	Syac.g_00373
OG0000192	Pray.g_00168	Syac.g_00368
OG0000193	Pray.g_00143	Syac.g_00329
OG0000194	Pray.g_00140	Syac.g_00326
OG0000195	Pray.g_00138	Syac.g_00324
OG0000196	Pray.g_00642	Syac.g_00313
OG0000197	Pray.g_00643	Syac.g_00312
OG0000198	Pray.g_00644	Syac.g_00311
OG0000199	Pray.g_00651	Syac.g_00303
OG0000200	Pray.g_00665	Syac.g_02261
OG0000201	Pray.g_00673	Syac.g_02278
OG0000202	Pray.g_00674	Syac.g_02279
OG0000203	Pray.g_00675	Syac.g_02280
OG0000204	Pray.g_00676	Syac.g_02281
OG0000205	Pray.g_00683	Syac.g_02288
OG0000206	Pray.g_00688	Syac.g_02297
OG0000207	Pray.g_00690	Syac.g_02300
OG0000208	Pray.g_00691	Syac.g_02301
OG0000209	Pray.g_00700	Syac.g_02316
OG0000210	Pray.g_00701	Syac.g_02317
OG0000211	Pray.g_00714	Syac.g_01972
OG0000212	Pray.g_00721	Syac.g_01963
OG0000213	Pray.g_00738	Syac.g_02219
OG0000214	Pray.g_00747	Syac.g_02236
OG0000215	Pray.g_00771	Syac.g_00281
OG0000216	Pray.g_00772	Syac.g_00277
OG0000217	Pray.g_00775	Syac.g_00273
OG0000218	Pray.g_00777	Syac.g_00271
OG0000219	Pray.g_00778	Syac.g_00270
OG0000220	Pray.g_00779	Syac.g_00269
OG0000221	Pray.g_00780	Syac.g_00261
OG0000222	Pray.g_00788	Syac.g_00247
OG0000223	Pray.g_00801	Syac.g_00225
OG0000224	Pray.g_00803	Syac.g_00217
OG0000225	Pray.g_00824	Syac.g_02004
OG0000226	Pray.g_00828	Syac.g_02000
OG0000227	Pray.g_00830	Syac.g_01998
OG0000228	Pray.g_00833	Syac.g_01989
OG0000229	Pray.g_00926	Syac.g_00692
OG0000230	Pray.g_00928	Syac.g_00694
OG0000231	Pray.g_00939	Syac.g_00710
OG0000232	Pray.g_00948	Syac.g_01717
OG0000233	Pray.g_00953	Syac.g_01713
OG0000234	Pray.g_00966	Syac.g_01699
OG0000235	Pray.g_00969	Syac.g_01905
OG0000236	Pray.g_00983	Syac.g_01890
OG0000237	Pray.g_00997	Syac.g_01873
OG0000238	Pray.g_01003	Syac.g_01868
OG0000239	Pray.g_01016	Syac.g_01852
OG0000240	Pray.g_01017	Syac.g_01851
OG0000241	Pray.g_01021	Syac.g_00970
OG0000242	Pray.g_01023	Syac.g_01839
OG0000243	Pray.g_01218	Syac.g_01821
OG0000244	Pray.g_01215	Syac.g_01814
OG0000245	Pray.g_01213	Syac.g_01811
OG0000246	Pray.g_01209	Syac.g_01807
OG0000247	Pray.g_01199	Syac.g_01795
OG0000248	Pray.g_01197	Syac.g_01792
OG0000249	Pray.g_01195	Syac.g_01790
OG0000250	Pray.g_01190	Syac.g_01782
OG0000251	Pray.g_01172	Syac.g_01757
OG0000252	Pray.g_01169	Syac.g_01753
OG0000253	Pray.g_01168	Syac.g_01752
OG0000254	Pray.g_01152	Syac.g_00939
OG0000255	Pray.g_01146	Syac.g_00947
OG0000256	Pray.g_01136	Syac.g_00963
OG0000257	Pray.g_01133	Syac.g_00969
OG0000258	Pray.g_01120	Syac.g_00988
OG0000259	Pray.g_01103	Syac.g_01425
OG0000260	Pray.g_01100	Syac.g_01422
OG0000261	Pray.g_01098	Syac.g_01418
OG0000262	Pray.g_01094	Syac.g_01413
OG0000263	Pray.g_01082	Syac.g_01497
OG0000264	Pray.g_01072	Syac.g_00915
OG0000265	Pray.g_01040	Syac.g_00673
OG0000266	Pray.g_01030	Syac.g_01271
OG0000267	Pray.g_00274	Syac.g_01131
OG0000268	Pray.g_00275	Syac.g_01132
OG0000269	Pray.g_00343	Syac.g_01346
OG0000270	Pray.g_00346	Syac.g_01343
OG0000271	Pray.g_00354	Syac.g_01335
OG0000272	Pray.g_00355	Syac.g_01334
OG0000273	Pray.g_00378	Syac.g_00854
OG0000274	Pray.g_00379	Syac.g_00853
OG0000275	Pray.g_00382	Syac.g_00848
OG0000276	Pray.g_00387	Syac.g_00840
OG0000277	Pray.g_00388	Syac.g_00839
OG0000278	Pray.g_00391	Syac.g_00836
OG0000279	Pray.g_00398	Syac.g_00828
OG0000280	Pray.g_00399	Syac.g_00814
OG0000281	Pray.g_00404	Syac.g_02158
OG0000282	Pray.g_00454	Syac.g_01392
OG0000283	Pray.g_00488	Syac.g_01142
OG0000284	Pray.g_00493	Syac.g_01148
OG0000285	Pray.g_00498	Syac.g_01160
OG0000286	Pray.g_00510	Syac.g_01181
OG0000287	Pray.g_00527	Syac.g_01692, Syac.g_01209
OG0000288	Pray.g_00557	Syac.g_01240
OG0000289	Pray.g_00568	Syac.g_01254
OG0000290	Pray.g_00581	Syac.g_00881
OG0000291	Pray.g_00583	Syac.g_00883
OG0000292	Pray.g_00632	Syac.g_02487
OG0000293	Pray.g_00073	Syac.g_00754
OG0000294	Pray.g_00072	Syac.g_00755
OG0000295	Pray.g_00051	Syac.g_00796
OG0000296	Pray.g_00049	Syac.g_00798
OG0000297	Pray.g_00041	Syac.g_01475
OG0000298	Pray.g_00040	Syac.g_01476
OG0000299	Pray.g_00023	Syac.g_01503
OG0000300	Pray.g_00020	Syac.g_01510
OG0000301	Pray.g_00019	Syac.g_01511
OG0000302	Pray.g_00017	Syac.g_01512
OG0000303	Pray.g_00010	Syac.g_01520
OG0000304	Pray.g_00006	Syac.g_01526
OG0000305	Pray.g_01837	Syac.g_00886
OG0000306	Pray.g_01834	Syac.g_00810
OG0000307	Pray.g_01820	Syac.g_01924
OG0000308	Pray.g_01819	Syac.g_01926
OG0000309	Pray.g_01815	Syac.g_01931
OG0000310	Pray.g_01737	Syac.g_01607
OG0000311	Pray.g_01735	Syac.g_01611
OG0000312	Pray.g_01732	Syac.g_01619
OG0000313	Pray.g_01718	Syac.g_01638
OG0000314	Pray.g_01695	Syac.g_01665
OG0000315	Pray.g_01685	Syac.g_01675
OG0000316	Pray.g_01665	Syac.g_00601
OG0000317	Pray.g_01561	Syac.g_00552
OG0000318	Pray.g_01558	Syac.g_00543
OG0000319	Pray.g_01545	Syac.g_00525
OG0000320	Pray.g_01543	Syac.g_00523
OG0000321	Pray.g_01542	Syac.g_00522
OG0000322	Pray.g_01541	Syac.g_00521
OG0000323	Pray.g_01532	Syac.g_00506
OG0000324	Pray.g_01506	Syac.g_00648
OG0000325	Pray.g_01235	Syac.g_02190
OG0000326	Pray.g_01241	Syac.g_02183
OG0000327	Pray.g_01265	Syac.g_02137
OG0000328	Pray.g_01266	Syac.g_02136
OG0000329	Pray.g_01283	Syac.g_02119
OG0000330	Pray.g_01284	Syac.g_02118
OG0000331	Pray.g_01285	Syac.g_02117
OG0000332	Pray.g_01299	Syac.g_02103
OG0000333	Pray.g_01301	Syac.g_02100
OG0000334	Pray.g_01309	Syac.g_02090
OG0000335	Pray.g_01314	Syac.g_02085
OG0000336	Pray.g_01318	Syac.g_02081
OG0000337	Pray.g_01335	Syac.g_00199
OG0000338	Pray.g_01336	Syac.g_00196
OG0000339	Pray.g_01340	Syac.g_00190
OG0000340	Pray.g_01348	Syac.g_00178
OG0000341	Pray.g_01350	Syac.g_00176
OG0000342	Pray.g_01351	Syac.g_00175
OG0000343	Pray.g_01352	Syac.g_00174
OG0000344	Pray.g_01355	Syac.g_00170
OG0000345	Pray.g_01360	Syac.g_00160
OG0000346	Pray.g_01365	Syac.g_00155
OG0000347	Pray.g_01381	Syac.g_00129
OG0000348	Pray.g_01391	Syac.g_00070, Syac.g_00074
OG0000349	Pray.g_01408	Syac.g_00050
OG0000350	Pray.g_01427	Syac.g_02176
OG0000351	Pray.g_01444	Syac.g_02468
OG0000352	Pray.g_01445	Syac.g_02469
OG0000353	Pray.g_01460	Syac.g_02493
OG0000355	Pray.g_01462	Syac.g_00001
OG0000356	Pray.g_01463	Syac.g_00002
OG0000357	Pray.g_01464	Syac.g_00003
OG0000358	Pray.g_01469	Syac.g_00007
OG0000359	Pray.g_01470	Syac.g_00009
OG0000360	Pray.g_01471	Syac.g_00010
OG0000361	Pray.g_01472	Syac.g_00011
OG0000362	Pray.g_01474	Syac.g_00013
OG0000363	Pray.g_01476	Syac.g_00015
OG0000364	Pray.g_01477	Syac.g_00016
OG0000365	Pray.g_01482	Syac.g_00023
OG0000366	Pray.g_01483	Syac.g_00024
OG0000367	Pray.g_01484	Syac.g_00025
OG0000368	Pray.g_01486	Syac.g_00027
OG0000369	Pray.g_01487	Syac.g_00028
OG0000370	Pray.g_01488	Syac.g_00029
OG0000371	Pray.g_01494	Syac.g_00036
OG0000372	Pray.g_01497	Syac.g_00041
OG0000373	Pray.g_01498	Syac.g_00042
OG0000374	Pray.g_01499	Syac.g_00043
OG0000375	Pray.g_00243	Syac.g_00046
OG0000376	Pray.g_00241	Syac.g_00048
OG0000377	Pray.g_00238	Syac.g_02346
OG0000378	Pray.g_00236	Syac.g_02338
OG0000379	Pray.g_00233	Syac.g_02335
OG0000380	Pray.g_00223	Syac.g_00452
OG0000381	Pray.g_00219	Syac.g_00449
OG0000382	Pray.g_00208	Syac.g_00434
OG0000383	Pray.g_00206	Syac.g_00432
OG0000384	Pray.g_00205	Syac.g_00431
OG0000385	Pray.g_00204	Syac.g_00430
OG0000386	Pray.g_00203	Syac.g_00429
OG0000387	Pray.g_00190	Syac.g_00404
OG0000388	Pray.g_00187	Syac.g_00401
OG0000389	Pray.g_00183	Syac.g_00397
OG0000390	Pray.g_00176	Syac.g_00379
OG0000391	Pray.g_00173	Syac.g_00374
OG0000392	Pray.g_00169	Syac.g_00369
OG0000393	Pray.g_00167	Syac.g_00366
OG0000394	Pray.g_00166	Syac.g_00365
OG0000395	Pray.g_00165	Syac.g_00364
OG0000396	Pray.g_00162	Syac.g_00361
OG0000397	Pray.g_00160	Syac.g_00359
OG0000398	Pray.g_00158	Syac.g_00354
OG0000399	Pray.g_00157	Syac.g_00353
OG0000400	Pray.g_00156	Syac.g_00352
OG0000401	Pray.g_00155	Syac.g_00351
OG0000402	Pray.g_00153	Syac.g_00348
OG0000403	Pray.g_00152	Syac.g_00347
OG0000404	Pray.g_00151	Syac.g_00345
OG0000405	Pray.g_00147	Syac.g_00332
OG0000406	Pray.g_00142	Syac.g_00328
OG0000407	Pray.g_00141	Syac.g_00327
OG0000408	Pray.g_00139	Syac.g_00325
OG0000409	Pray.g_00137	Syac.g_00323
OG0000410	Pray.g_00136	Syac.g_00322
OG0000411	Pray.g_00635	Syac.g_00321
OG0000412	Pray.g_00636	Syac.g_00320
OG0000413	Pray.g_00637	Syac.g_00318
OG0000414	Pray.g_00638	Syac.g_00317
OG0000415	Pray.g_00639	Syac.g_00316
OG0000416	Pray.g_00640	Syac.g_00315
OG0000417	Pray.g_00641	Syac.g_00314
OG0000418	Pray.g_00646	Syac.g_00309
OG0000419	Pray.g_00648	Syac.g_00307
OG0000420	Pray.g_00649	Syac.g_00305
OG0000421	Pray.g_00654	Syac.g_00300
OG0000422	Pray.g_00655	Syac.g_00299
OG0000423	Pray.g_00656	Syac.g_00298
OG0000424	Pray.g_00657	Syac.g_00297
OG0000425	Pray.g_00658	Syac.g_00296
OG0000426	Pray.g_00659	Syac.g_00295
OG0000427	Pray.g_00660	Syac.g_00294
OG0000428	Pray.g_00662	Syac.g_02257
OG0000429	Pray.g_00663	Syac.g_02259
OG0000430	Pray.g_00664	Syac.g_02260
OG0000431	Pray.g_00666	Syac.g_02264
OG0000432	Pray.g_00669	Syac.g_02270
OG0000433	Pray.g_00670	Syac.g_02272
OG0000434	Pray.g_00671	Syac.g_02273
OG0000435	Pray.g_00672	Syac.g_02277
OG0000436	Pray.g_00677	Syac.g_02282
OG0000437	Pray.g_00678	Syac.g_02283
OG0000438	Pray.g_00679	Syac.g_02284
OG0000439	Pray.g_00681	Syac.g_02286
OG0000440	Pray.g_00682	Syac.g_02287
OG0000441	Pray.g_00685	Syac.g_02294
OG0000442	Pray.g_00686	Syac.g_02295
OG0000443	Pray.g_00687	Syac.g_02296
OG0000444	Pray.g_00692	Syac.g_02303
OG0000445	Pray.g_00693	Syac.g_02304
OG0000446	Pray.g_00694	Syac.g_02305
OG0000447	Pray.g_00695	Syac.g_02308
OG0000448	Pray.g_00696	Syac.g_02309
OG0000449	Pray.g_00697	Syac.g_02310
OG0000450	Pray.g_00698	Syac.g_02313
OG0000451	Pray.g_00699	Syac.g_02314
OG0000452	Pray.g_00702	Syac.g_02318
OG0000453	Pray.g_00703	Syac.g_02319
OG0000454	Pray.g_00704	Syac.g_02320
OG0000455	Pray.g_00705	Syac.g_02321
OG0000456	Pray.g_00706	Syac.g_02322
OG0000457	Pray.g_00707	Syac.g_02324
OG0000458	Pray.g_00708	Syac.g_02325
OG0000459	Pray.g_00709	Syac.g_02326
OG0000460	Pray.g_00716	Syac.g_01970
OG0000461	Pray.g_00723	Syac.g_02198
OG0000462	Pray.g_00725	Syac.g_02201
OG0000463	Pray.g_00726	Syac.g_02202
OG0000464	Pray.g_00727	Syac.g_02203
OG0000465	Pray.g_00728	Syac.g_02204
OG0000466	Pray.g_00731	Syac.g_02208
OG0000467	Pray.g_00732	Syac.g_02210
OG0000468	Pray.g_00734	Syac.g_02216
OG0000469	Pray.g_00742	Syac.g_02230
OG0000470	Pray.g_00744	Syac.g_02232
OG0000471	Pray.g_00745	Syac.g_02233
OG0000472	Pray.g_00746	Syac.g_02235
OG0000473	Pray.g_00748	Syac.g_02237
OG0000474	Pray.g_00749	Syac.g_02238
OG0000475	Pray.g_00750	Syac.g_02239
OG0000476	Pray.g_00751	Syac.g_02241
OG0000477	Pray.g_00754	Syac.g_02247
OG0000478	Pray.g_00755	Syac.g_02248
OG0000479	Pray.g_00756	Syac.g_02249
OG0000480	Pray.g_00761	Syac.g_00293
OG0000481	Pray.g_00763	Syac.g_00291
OG0000482	Pray.g_00764	Syac.g_00290
OG0000483	Pray.g_00767	Syac.g_00286
OG0000484	Pray.g_00768	Syac.g_00285
OG0000485	Pray.g_00769	Syac.g_00284
OG0000486	Pray.g_00770	Syac.g_00283
OG0000487	Pray.g_00773	Syac.g_00276
OG0000488	Pray.g_00776	Syac.g_00272
OG0000489	Pray.g_00781	Syac.g_00260
OG0000490	Pray.g_00786	Syac.g_00249
OG0000491	Pray.g_00787	Syac.g_00248
OG0000492	Pray.g_00789	Syac.g_00246
OG0000493	Pray.g_00790	Syac.g_00245
OG0000494	Pray.g_00791	Syac.g_00244
OG0000495	Pray.g_00792	Syac.g_00243
OG0000496	Pray.g_00793	Syac.g_00242
OG0000497	Pray.g_00794	Syac.g_00241
OG0000498	Pray.g_00795	Syac.g_00240
OG0000499	Pray.g_00796	Syac.g_00239
OG0000500	Pray.g_00797	Syac.g_00238
OG0000501	Pray.g_00799	Syac.g_00235
OG0000502	Pray.g_00802	Syac.g_00223
OG0000503	Pray.g_00812	Syac.g_02020
OG0000504	Pray.g_00813	Syac.g_02018
OG0000505	Pray.g_00814	Syac.g_02017
OG0000506	Pray.g_00816	Syac.g_02015
OG0000507	Pray.g_00819	Syac.g_02009
OG0000508	Pray.g_00823	Syac.g_02005
OG0000509	Pray.g_00825	Syac.g_02003
OG0000510	Pray.g_00826	Syac.g_02002
OG0000511	Pray.g_00827	Syac.g_02001
OG0000512	Pray.g_00829	Syac.g_01999
OG0000513	Pray.g_00836	Syac.g_01984
OG0000514	Pray.g_00921	Syac.g_01977
OG0000515	Pray.g_00922	Syac.g_01976
OG0000516	Pray.g_00923	Syac.g_00697
OG0000517	Pray.g_00925	Syac.g_00691
OG0000518	Pray.g_00936	Syac.g_00707
OG0000519	Pray.g_00937	Syac.g_00708
OG0000520	Pray.g_00938	Syac.g_00709
OG0000521	Pray.g_00943	Syac.g_01721
OG0000522	Pray.g_00945	Syac.g_01719
OG0000523	Pray.g_00946	Syac.g_01718
OG0000524	Pray.g_00951	Syac.g_01716
OG0000525	Pray.g_00954	Syac.g_01709
OG0000526	Pray.g_00955	Syac.g_01706
OG0000527	Pray.g_00963	Syac.g_01702
OG0000528	Pray.g_00968	Syac.g_01911
OG0000529	Pray.g_00971	Syac.g_01903
OG0000530	Pray.g_00974	Syac.g_01900
OG0000531	Pray.g_00975	Syac.g_01899
OG0000532	Pray.g_00977	Syac.g_01896
OG0000533	Pray.g_00978	Syac.g_01895
OG0000534	Pray.g_00979	Syac.g_01894
OG0000535	Pray.g_00980	Syac.g_01893
OG0000536	Pray.g_00981	Syac.g_01892
OG0000537	Pray.g_00982	Syac.g_01891
OG0000538	Pray.g_00991	Syac.g_01880
OG0000539	Pray.g_00992	Syac.g_01879
OG0000540	Pray.g_00993	Syac.g_01878
OG0000541	Pray.g_00994	Syac.g_01877
OG0000542	Pray.g_00996	Syac.g_01874
OG0000543	Pray.g_00998	Syac.g_01872
OG0000544	Pray.g_00999	Syac.g_01871
OG0000545	Pray.g_01001	Syac.g_01869
OG0000546	Pray.g_01004	Syac.g_01867
OG0000547	Pray.g_01006	Syac.g_01865
OG0000548	Pray.g_01007	Syac.g_01864
OG0000549	Pray.g_01009	Syac.g_01858
OG0000550	Pray.g_01014	Syac.g_01854
OG0000551	Pray.g_01018	Syac.g_01849
OG0000552	Pray.g_01019	Syac.g_01848
OG0000553	Pray.g_01020	Syac.g_01846
OG0000554	Pray.g_01227	Syac.g_01835
OG0000555	Pray.g_01219	Syac.g_01822
OG0000556	Pray.g_01217	Syac.g_01817
OG0000557	Pray.g_01216	Syac.g_01815
OG0000558	Pray.g_01214	Syac.g_01813
OG0000559	Pray.g_01210	Syac.g_01808
OG0000560	Pray.g_01207	Syac.g_01805
OG0000561	Pray.g_01206	Syac.g_01804
OG0000562	Pray.g_01205	Syac.g_01803
OG0000563	Pray.g_01204	Syac.g_01802
OG0000564	Pray.g_01203	Syac.g_01801
OG0000565	Pray.g_01200	Syac.g_01797
OG0000566	Pray.g_01198	Syac.g_01793
OG0000567	Pray.g_01194	Syac.g_01789
OG0000568	Pray.g_01193	Syac.g_01786
OG0000569	Pray.g_01192	Syac.g_01785
OG0000570	Pray.g_01191	Syac.g_01784
OG0000571	Pray.g_01189	Syac.g_01780
OG0000572	Pray.g_01176	Syac.g_01765
OG0000573	Pray.g_01171	Syac.g_01755
OG0000574	Pray.g_01170	Syac.g_01754
OG0000575	Pray.g_01166	Syac.g_01750
OG0000576	Pray.g_01164	Syac.g_01748
OG0000577	Pray.g_01163	Syac.g_01747
OG0000578	Pray.g_01162	Syac.g_01746
OG0000579	Pray.g_01161	Syac.g_01745
OG0000580	Pray.g_01160	Syac.g_01744
OG0000581	Pray.g_01158	Syac.g_01738
OG0000582	Pray.g_01155	Syac.g_00936
OG0000583	Pray.g_01154	Syac.g_00937
OG0000584	Pray.g_01153	Syac.g_00938
OG0000585	Pray.g_01151	Syac.g_00940
