Orthogroup	Pray	Prbf
OG0000106	Pray.g_00848	Prbf.g_00320
OG0000107	Pray.g_00864	Prbf.g_00629
OG0000108	Pray.g_00970	Prbf.g_01763
OG0000109	Pray.g_00984	Prbf.g_01777
OG0000110	Pray.g_01187	Prbf.g_01856
OG0000111	Pray.g_01064	Prbf.g_01260
OG0000112	Pray.g_00313	Prbf.g_01929
OG0000113	Pray.g_00370	Prbf.g_01222
OG0000114	Pray.g_00452	Prbf.g_01320
OG0000115	Pray.g_00126	Prbf.g_00062
OG0000116	Pray.g_00074	Prbf.g_00907
OG0000117	Pray.g_01927	Prbf.g_00945
OG0000118	Pray.g_01858	Prbf.g_00013
OG0000119	Pray.g_01833	Prbf.g_00864, Prbf.g_00254
OG0000120	Pray.g_01808	Prbf.g_00115
OG0000121	Pray.g_01720	Prbf.g_00159
OG0000122	Pray.g_01682	Prbf.g_00055, Prbf.g_00200
OG0000123	Pray.g_01313	Prbf.g_00551
OG0000124	Pray.g_01380	Prbf.g_00478
OG0000125	Pray.g_01417	Prbf.g_00443
OG0000126	Pray.g_01456	Prbf.g_00398
OG0000128	Pray.g_01473	Prbf.g_00382
OG0000129	Pray.g_00239	Prbf.g_01367
OG0000130	Pray.g_00220	Prbf.g_01396
OG0000131	Pray.g_00144	Prbf.g_01478
OG0000132	Pray.g_00645	Prbf.g_01498
OG0000133	Pray.g_00800	Prbf.g_01661
OG0000134	Pray.g_00835	Prbf.g_01703
OG0000135	Pray.g_00861	Prbf.g_00044
OG0000136	Pray.g_00931	Prbf.g_01725
OG0000137	Pray.g_00965	Prbf.g_01758
OG0000138	Pray.g_00985	Prbf.g_01778
OG0000139	Pray.g_01224	Prbf.g_01818
OG0000140	Pray.g_01223	Prbf.g_01819
OG0000141	Pray.g_01156	Prbf.g_01890
OG0000142	Pray.g_01128	Prbf.g_00982
OG0000143	Pray.g_01124	Prbf.g_00986
OG0000144	Pray.g_01111	Prbf.g_01000
OG0000145	Pray.g_00306	Prbf.g_00042
OG0000146	Pray.g_00314	Prbf.g_01928
OG0000147	Pray.g_00315	Prbf.g_01927
OG0000148	Pray.g_00364	Prbf.g_01228
OG0000149	Pray.g_00395	Prbf.g_01196
OG0000150	Pray.g_00403	Prbf.g_01186
OG0000151	Pray.g_00462	Prbf.g_01310
OG0000152	Pray.g_00511	Prbf.g_01117
OG0000153	Pray.g_00530	Prbf.g_01098
OG0000154	Pray.g_00558	Prbf.g_01078
OG0000155	Pray.g_00043	Prbf.g_00939
OG0000156	Pray.g_01881	Prbf.g_00037
OG0000157	Pray.g_01880	Prbf.g_00036
OG0000158	Pray.g_01787	Prbf.g_00514
OG0000160	Pray.g_01721	Prbf.g_00158
OG0000161	Pray.g_01715	Prbf.g_00164
OG0000162	Pray.g_01709	Prbf.g_00170
OG0000163	Pray.g_01675	Prbf.g_00209
OG0000164	Pray.g_01535	Prbf.g_00669
OG0000165	Pray.g_01528	Prbf.g_00662
OG0000166	Pray.g_01270	Prbf.g_00595
OG0000167	Pray.g_01337	Prbf.g_00524
OG0000168	Pray.g_01347	Prbf.g_00513
OG0000169	Pray.g_01357	Prbf.g_00503
OG0000170	Pray.g_01359	Prbf.g_00500
OG0000171	Pray.g_01379	Prbf.g_00479
OG0000172	Pray.g_01388	Prbf.g_00472
OG0000173	Pray.g_01403	Prbf.g_00457
OG0000174	Pray.g_01431	Prbf.g_00428
OG0000175	Pray.g_01441	Prbf.g_00415
OG0000176	Pray.g_01465, Pray.g_01466	Prbf.g_00389
OG0000177	Pray.g_01467	Prbf.g_00388
OG0000178	Pray.g_01468	Prbf.g_00387
OG0000179	Pray.g_01478	Prbf.g_01338
OG0000180	Pray.g_01479	Prbf.g_01339
OG0000181	Pray.g_01480	Prbf.g_01340
OG0000182	Pray.g_01481	Prbf.g_01341
OG0000183	Pray.g_01485	Prbf.g_01345
OG0000184	Pray.g_00237	Prbf.g_01371
OG0000185	Pray.g_00234	Prbf.g_01374
OG0000186	Pray.g_00225	Prbf.g_01390
OG0000187	Pray.g_00224	Prbf.g_01391
OG0000188	Pray.g_00207	Prbf.g_01408
OG0000189	Pray.g_00193	Prbf.g_01422
OG0000190	Pray.g_00192	Prbf.g_01424
OG0000191	Pray.g_00172	Prbf.g_01447
OG0000192	Pray.g_00168	Prbf.g_01452
OG0000193	Pray.g_00143	Prbf.g_01479
OG0000194	Pray.g_00140	Prbf.g_01482
OG0000195	Pray.g_00138	Prbf.g_01484
OG0000196	Pray.g_00642	Prbf.g_01495
OG0000197	Pray.g_00643	Prbf.g_01496
OG0000198	Pray.g_00644	Prbf.g_01497
OG0000199	Pray.g_00651	Prbf.g_01504
OG0000200	Pray.g_00665	Prbf.g_01518
OG0000201	Pray.g_00673	Prbf.g_01527
OG0000202	Pray.g_00674	Prbf.g_01528
OG0000203	Pray.g_00675	Prbf.g_01529
OG0000204	Pray.g_00676	Prbf.g_01530
OG0000205	Pray.g_00683	Prbf.g_01537
OG0000206	Pray.g_00688	Prbf.g_01542
OG0000207	Pray.g_00690	Prbf.g_01545
OG0000208	Pray.g_00691	Prbf.g_01546
OG0000209	Pray.g_00700	Prbf.g_01555
OG0000210	Pray.g_00701	Prbf.g_01556
OG0000211	Pray.g_00714	Prbf.g_01571
OG0000212	Pray.g_00721	Prbf.g_01579
OG0000213	Pray.g_00738	Prbf.g_01597
OG0000214	Pray.g_00747	Prbf.g_01607
OG0000215	Pray.g_00771	Prbf.g_01634
OG0000216	Pray.g_00772	Prbf.g_01635
OG0000217	Pray.g_00775	Prbf.g_01638
OG0000218	Pray.g_00777	Prbf.g_01640
OG0000219	Pray.g_00778	Prbf.g_01641
OG0000220	Pray.g_00779	Prbf.g_01642
OG0000221	Pray.g_00780	Prbf.g_01643
OG0000222	Pray.g_00788	Prbf.g_01650
OG0000223	Pray.g_00801	Prbf.g_01662
OG0000224	Pray.g_00803	Prbf.g_01664
OG0000225	Pray.g_00824	Prbf.g_01690
OG0000226	Pray.g_00828	Prbf.g_01694
OG0000227	Pray.g_00830	Prbf.g_01696
OG0000228	Pray.g_00833	Prbf.g_01700
OG0000229	Pray.g_00926	Prbf.g_01720
OG0000230	Pray.g_00928	Prbf.g_01722
OG0000231	Pray.g_00939	Prbf.g_01733
OG0000232	Pray.g_00948	Prbf.g_01744
OG0000233	Pray.g_00953	Prbf.g_01750
OG0000234	Pray.g_00966	Prbf.g_01759
OG0000235	Pray.g_00969	Prbf.g_01762
OG0000236	Pray.g_00983	Prbf.g_01776
OG0000237	Pray.g_00997	Prbf.g_01789
OG0000238	Pray.g_01003	Prbf.g_01795
OG0000239	Pray.g_01016	Prbf.g_01806
OG0000240	Pray.g_01017	Prbf.g_01807
OG0000241	Pray.g_01021	Prbf.g_01811
OG0000242	Pray.g_01023	Prbf.g_01813
OG0000243	Pray.g_01218	Prbf.g_01824
OG0000244	Pray.g_01215	Prbf.g_01827
OG0000245	Pray.g_01213	Prbf.g_01829
OG0000246	Pray.g_01209	Prbf.g_01833
OG0000247	Pray.g_01199	Prbf.g_01843
OG0000248	Pray.g_01197	Prbf.g_01846
OG0000249	Pray.g_01195	Prbf.g_01848
OG0000250	Pray.g_01190	Prbf.g_01853
OG0000251	Pray.g_01172	Prbf.g_01873
OG0000252	Pray.g_01169	Prbf.g_01876
OG0000253	Pray.g_01168	Prbf.g_01877
OG0000254	Pray.g_01152	Prbf.g_01894
OG0000255	Pray.g_01146	Prbf.g_01900
OG0000256	Pray.g_01136	Prbf.g_01910
OG0000257	Pray.g_01133	Prbf.g_00977
OG0000258	Pray.g_01120	Prbf.g_00991
OG0000259	Pray.g_01103	Prbf.g_01008
OG0000260	Pray.g_01100	Prbf.g_01011
OG0000261	Pray.g_01098	Prbf.g_01014
OG0000262	Pray.g_01094	Prbf.g_01018
OG0000263	Pray.g_01082	Prbf.g_01282
OG0000264	Pray.g_01072	Prbf.g_01271
OG0000265	Pray.g_01040	Prbf.g_01253
OG0000266	Pray.g_01030	Prbf.g_01037
OG0000267	Pray.g_00274	Prbf.g_01049
OG0000268	Pray.g_00275	Prbf.g_01050
OG0000269	Pray.g_00343	Prbf.g_01250
OG0000270	Pray.g_00346	Prbf.g_01247
OG0000271	Pray.g_00354	Prbf.g_01239
OG0000272	Pray.g_00355	Prbf.g_01238
OG0000273	Pray.g_00378	Prbf.g_01214
OG0000274	Pray.g_00379	Prbf.g_01213
OG0000275	Pray.g_00382	Prbf.g_01210
OG0000276	Pray.g_00387	Prbf.g_01204
OG0000277	Pray.g_00388	Prbf.g_01203
OG0000278	Pray.g_00391	Prbf.g_01200
OG0000279	Pray.g_00398	Prbf.g_01193
OG0000280	Pray.g_00399	Prbf.g_01192
OG0000281	Pray.g_00404	Prbf.g_01185
OG0000282	Pray.g_00454	Prbf.g_01318
OG0000283	Pray.g_00488	Prbf.g_01141
OG0000284	Pray.g_00493	Prbf.g_01136
OG0000285	Pray.g_00498	Prbf.g_01131
OG0000286	Pray.g_00510	Prbf.g_01118
OG0000287	Pray.g_00527	Prbf.g_00065
OG0000288	Pray.g_00557	Prbf.g_01079
OG0000289	Pray.g_00568	Prbf.g_01063
OG0000290	Pray.g_00581	Prbf.g_01167
OG0000291	Pray.g_00583	Prbf.g_01169
OG0000292	Pray.g_00632	Prbf.g_00873
OG0000293	Pray.g_00073	Prbf.g_00908
OG0000294	Pray.g_00072	Prbf.g_00909
OG0000295	Pray.g_00051	Prbf.g_00932
OG0000296	Pray.g_00049	Prbf.g_00934
OG0000297	Pray.g_00041	Prbf.g_00943
OG0000298	Pray.g_00040	Prbf.g_00944
OG0000299	Pray.g_00023	Prbf.g_00963
OG0000300	Pray.g_00020	Prbf.g_00966
OG0000301	Pray.g_00019	Prbf.g_00967
OG0000302	Pray.g_00017	Prbf.g_00969
OG0000303	Pray.g_00010	Prbf.g_00975
OG0000304	Pray.g_00006	Prbf.g_01915
OG0000305	Pray.g_01837	Prbf.g_00875
OG0000306	Pray.g_01834	Prbf.g_01181
OG0000307	Pray.g_01820	Prbf.g_00104
OG0000308	Pray.g_01819	Prbf.g_00105
OG0000309	Pray.g_01815	Prbf.g_00109
OG0000310	Pray.g_01737	Prbf.g_00143
OG0000311	Pray.g_01735	Prbf.g_00145
OG0000312	Pray.g_01732	Prbf.g_00148
OG0000313	Pray.g_01718	Prbf.g_00161
OG0000314	Pray.g_01695	Prbf.g_00184
OG0000315	Pray.g_01685	Prbf.g_00194
OG0000316	Pray.g_01665	Prbf.g_00219
OG0000317	Pray.g_01561	Prbf.g_00696
OG0000318	Pray.g_01558	Prbf.g_00692
OG0000319	Pray.g_01545	Prbf.g_00679
OG0000320	Pray.g_01543	Prbf.g_00677
OG0000321	Pray.g_01542	Prbf.g_00676
OG0000322	Pray.g_01541	Prbf.g_00675
OG0000323	Pray.g_01532	Prbf.g_00666
OG0000324	Pray.g_01506	Prbf.g_00639
OG0000325	Pray.g_01235	Prbf.g_00628
OG0000326	Pray.g_01241	Prbf.g_00621
OG0000327	Pray.g_01265	Prbf.g_00600
OG0000328	Pray.g_01266	Prbf.g_00599
OG0000329	Pray.g_01283	Prbf.g_00582
OG0000330	Pray.g_01284	Prbf.g_00581
OG0000331	Pray.g_01285	Prbf.g_00580
OG0000332	Pray.g_01299	Prbf.g_00566
OG0000333	Pray.g_01301	Prbf.g_00564
OG0000334	Pray.g_01309	Prbf.g_00555
OG0000335	Pray.g_01314	Prbf.g_00550
OG0000336	Pray.g_01318	Prbf.g_00546
OG0000337	Pray.g_01335	Prbf.g_00528
OG0000338	Pray.g_01336	Prbf.g_00527
OG0000339	Pray.g_01340	Prbf.g_00521
OG0000340	Pray.g_01348	Prbf.g_00512
OG0000341	Pray.g_01350	Prbf.g_00510
OG0000342	Pray.g_01351	Prbf.g_00509
OG0000343	Pray.g_01352	Prbf.g_00508
OG0000344	Pray.g_01355	Prbf.g_00505
OG0000345	Pray.g_01360	Prbf.g_00499
OG0000346	Pray.g_01365	Prbf.g_00495
OG0000347	Pray.g_01381	Prbf.g_00477
OG0000348	Pray.g_01391	Prbf.g_00469
OG0000349	Pray.g_01408	Prbf.g_00452
OG0000350	Pray.g_01427	Prbf.g_00351
OG0000351	Pray.g_01444	Prbf.g_00412
OG0000352	Pray.g_01445	Prbf.g_00411
OG0000353	Pray.g_01460	Prbf.g_00394
OG0000355	Pray.g_01462	Prbf.g_00392
OG0000356	Pray.g_01463	Prbf.g_00391
OG0000357	Pray.g_01464	Prbf.g_00390
OG0000358	Pray.g_01469	Prbf.g_00386
OG0000359	Pray.g_01470	Prbf.g_00385
OG0000360	Pray.g_01471	Prbf.g_00384
OG0000361	Pray.g_01472	Prbf.g_00383
OG0000362	Pray.g_01474	Prbf.g_00381
OG0000363	Pray.g_01476	Prbf.g_01336
OG0000364	Pray.g_01477	Prbf.g_01337
OG0000365	Pray.g_01482	Prbf.g_01342
OG0000366	Pray.g_01483	Prbf.g_01343
OG0000367	Pray.g_01484	Prbf.g_01344
OG0000368	Pray.g_01486	Prbf.g_01346
OG0000369	Pray.g_01487	Prbf.g_01347
OG0000370	Pray.g_01488	Prbf.g_01348
OG0000371	Pray.g_01494	Prbf.g_01355
OG0000372	Pray.g_01497	Prbf.g_01358
OG0000373	Pray.g_01498	Prbf.g_01359
OG0000374	Pray.g_01499	Prbf.g_01360
OG0000375	Pray.g_00243	Prbf.g_01362
OG0000376	Pray.g_00241	Prbf.g_01364
OG0000377	Pray.g_00238	Prbf.g_01368
OG0000378	Pray.g_00236	Prbf.g_01372
OG0000379	Pray.g_00233	Prbf.g_01375
OG0000380	Pray.g_00223	Prbf.g_01392
OG0000381	Pray.g_00219	Prbf.g_01397
OG0000382	Pray.g_00208	Prbf.g_01407
OG0000383	Pray.g_00206	Prbf.g_01409
OG0000384	Pray.g_00205	Prbf.g_01410
OG0000385	Pray.g_00204	Prbf.g_01411
OG0000386	Pray.g_00203	Prbf.g_01412
OG0000387	Pray.g_00190	Prbf.g_01426
OG0000388	Pray.g_00187	Prbf.g_01430
OG0000389	Pray.g_00183	Prbf.g_01433
OG0000390	Pray.g_00176	Prbf.g_01443
OG0000391	Pray.g_00173	Prbf.g_01446
OG0000392	Pray.g_00169	Prbf.g_01450
OG0000393	Pray.g_00167	Prbf.g_01453
OG0000394	Pray.g_00166	Prbf.g_01454
OG0000395	Pray.g_00165	Prbf.g_01455
OG0000396	Pray.g_00162	Prbf.g_01457
OG0000397	Pray.g_00160	Prbf.g_01459
OG0000398	Pray.g_00158	Prbf.g_01462
OG0000399	Pray.g_00157	Prbf.g_01463
OG0000400	Pray.g_00156	Prbf.g_01464
OG0000401	Pray.g_00155	Prbf.g_01465
OG0000402	Pray.g_00153	Prbf.g_01055
OG0000403	Pray.g_00152	Prbf.g_01467
OG0000404	Pray.g_00151	Prbf.g_01468
OG0000405	Pray.g_00147	Prbf.g_01472
OG0000406	Pray.g_00142	Prbf.g_01480
OG0000407	Pray.g_00141	Prbf.g_01481
OG0000408	Pray.g_00139	Prbf.g_01483
OG0000409	Pray.g_00137	Prbf.g_01485
OG0000410	Pray.g_00136	Prbf.g_01486
OG0000411	Pray.g_00635	Prbf.g_01487
OG0000412	Pray.g_00636	Prbf.g_01488
OG0000413	Pray.g_00637	Prbf.g_01490
OG0000414	Pray.g_00638	Prbf.g_01491
OG0000415	Pray.g_00639	Prbf.g_01492
OG0000416	Pray.g_00640	Prbf.g_01493
OG0000417	Pray.g_00641	Prbf.g_01494
OG0000418	Pray.g_00646	Prbf.g_01499
OG0000419	Pray.g_00648	Prbf.g_01501
OG0000420	Pray.g_00649	Prbf.g_01502
OG0000421	Pray.g_00654	Prbf.g_01507
OG0000422	Pray.g_00655	Prbf.g_01508
OG0000423	Pray.g_00656	Prbf.g_01509
OG0000424	Pray.g_00657	Prbf.g_01510
OG0000425	Pray.g_00658	Prbf.g_01511
OG0000426	Pray.g_00659	Prbf.g_01512
OG0000427	Pray.g_00660	Prbf.g_01513
OG0000428	Pray.g_00662	Prbf.g_01515
OG0000429	Pray.g_00663	Prbf.g_01516
OG0000430	Pray.g_00664	Prbf.g_01517
OG0000431	Pray.g_00666	Prbf.g_01519
OG0000432	Pray.g_00669	Prbf.g_01523
OG0000433	Pray.g_00670	Prbf.g_01524
OG0000434	Pray.g_00671	Prbf.g_01525
OG0000435	Pray.g_00672	Prbf.g_01526
OG0000436	Pray.g_00677	Prbf.g_01531
OG0000437	Pray.g_00678	Prbf.g_01532
OG0000438	Pray.g_00679	Prbf.g_01533
OG0000439	Pray.g_00681	Prbf.g_01535
OG0000440	Pray.g_00682	Prbf.g_01536
OG0000441	Pray.g_00685	Prbf.g_01539
OG0000442	Pray.g_00686	Prbf.g_01540
OG0000443	Pray.g_00687	Prbf.g_01541
OG0000444	Pray.g_00692	Prbf.g_01547
OG0000445	Pray.g_00693	Prbf.g_01548
OG0000446	Pray.g_00694	Prbf.g_01549
OG0000447	Pray.g_00695	Prbf.g_01550
OG0000448	Pray.g_00696	Prbf.g_01551
OG0000449	Pray.g_00697	Prbf.g_01552
OG0000450	Pray.g_00698	Prbf.g_01553
OG0000451	Pray.g_00699	Prbf.g_01554
OG0000452	Pray.g_00702	Prbf.g_01557
OG0000453	Pray.g_00703	Prbf.g_01558
OG0000454	Pray.g_00704	Prbf.g_01559
OG0000455	Pray.g_00705	Prbf.g_01560
OG0000456	Pray.g_00706	Prbf.g_01561
OG0000457	Pray.g_00707	Prbf.g_01563
OG0000458	Pray.g_00708	Prbf.g_01564
OG0000459	Pray.g_00709	Prbf.g_01565
OG0000460	Pray.g_00716	Prbf.g_01573
OG0000461	Pray.g_00723	Prbf.g_01581
OG0000462	Pray.g_00725	Prbf.g_01583
OG0000463	Pray.g_00726	Prbf.g_01584
OG0000464	Pray.g_00727	Prbf.g_01585
OG0000465	Pray.g_00728	Prbf.g_01586
OG0000466	Pray.g_00731	Prbf.g_01589
OG0000467	Pray.g_00732	Prbf.g_01590
OG0000468	Pray.g_00734	Prbf.g_01593
OG0000469	Pray.g_00742	Prbf.g_01601
OG0000470	Pray.g_00744	Prbf.g_01603
OG0000471	Pray.g_00745	Prbf.g_01604
OG0000472	Pray.g_00746	Prbf.g_01606
OG0000473	Pray.g_00748	Prbf.g_01608
OG0000474	Pray.g_00749	Prbf.g_01609
OG0000475	Pray.g_00750	Prbf.g_01610
OG0000476	Pray.g_00751	Prbf.g_01612
OG0000477	Pray.g_00754	Prbf.g_01615
OG0000478	Pray.g_00755	Prbf.g_01616
OG0000479	Pray.g_00756	Prbf.g_01617
OG0000480	Pray.g_00761	Prbf.g_01622
OG0000481	Pray.g_00763	Prbf.g_01625
OG0000482	Pray.g_00764	Prbf.g_01626
OG0000483	Pray.g_00767	Prbf.g_01629
OG0000484	Pray.g_00768	Prbf.g_01630
OG0000485	Pray.g_00769	Prbf.g_01632
OG0000486	Pray.g_00770	Prbf.g_01633
OG0000487	Pray.g_00773	Prbf.g_01636
OG0000488	Pray.g_00776	Prbf.g_01639
OG0000489	Pray.g_00781	Prbf.g_01644
OG0000490	Pray.g_00786	Prbf.g_01648
OG0000491	Pray.g_00787	Prbf.g_01649
OG0000492	Pray.g_00789	Prbf.g_01651
OG0000493	Pray.g_00790	Prbf.g_01652
OG0000494	Pray.g_00791	Prbf.g_01653
OG0000495	Pray.g_00792	Prbf.g_01654
OG0000496	Pray.g_00793	Prbf.g_01655
OG0000497	Pray.g_00794	Prbf.g_01656
OG0000498	Pray.g_00795	Prbf.g_01657
OG0000499	Pray.g_00796	Prbf.g_01658
OG0000500	Pray.g_00797	Prbf.g_01659
OG0000501	Pray.g_00799	Prbf.g_01660
OG0000502	Pray.g_00802	Prbf.g_01663
OG0000503	Pray.g_00812	Prbf.g_01678
OG0000504	Pray.g_00813	Prbf.g_01680
OG0000505	Pray.g_00814	Prbf.g_01681
OG0000506	Pray.g_00816	Prbf.g_01682
OG0000507	Pray.g_00819	Prbf.g_01685
OG0000508	Pray.g_00823	Prbf.g_01689
OG0000509	Pray.g_00825	Prbf.g_01691
OG0000510	Pray.g_00826	Prbf.g_01692
OG0000511	Pray.g_00827	Prbf.g_01693
OG0000512	Pray.g_00829	Prbf.g_01695
OG0000513	Pray.g_00836	Prbf.g_01704
OG0000514	Pray.g_00921	Prbf.g_01715
OG0000515	Pray.g_00922	Prbf.g_01716
OG0000516	Pray.g_00923	Prbf.g_01717
OG0000517	Pray.g_00925	Prbf.g_01719
OG0000518	Pray.g_00936	Prbf.g_01730
OG0000519	Pray.g_00937	Prbf.g_01731
OG0000520	Pray.g_00938	Prbf.g_01732
OG0000521	Pray.g_00943	Prbf.g_01740
OG0000522	Pray.g_00945	Prbf.g_01742
OG0000523	Pray.g_00946	Prbf.g_01743
OG0000524	Pray.g_00951	Prbf.g_01748
OG0000525	Pray.g_00954	Prbf.g_01752
OG0000526	Pray.g_00955	Prbf.g_01753
OG0000527	Pray.g_00963	Prbf.g_01756
OG0000528	Pray.g_00968	Prbf.g_01761
OG0000529	Pray.g_00971	Prbf.g_01764
OG0000530	Pray.g_00974	Prbf.g_01767
OG0000531	Pray.g_00975	Prbf.g_01768
OG0000532	Pray.g_00977	Prbf.g_01770
OG0000533	Pray.g_00978	Prbf.g_01771
OG0000534	Pray.g_00979	Prbf.g_01772
OG0000535	Pray.g_00980	Prbf.g_01773
OG0000536	Pray.g_00981	Prbf.g_01774
OG0000537	Pray.g_00982	Prbf.g_01775
OG0000538	Pray.g_00991	Prbf.g_01784
OG0000539	Pray.g_00992	Prbf.g_01785
OG0000540	Pray.g_00993	Prbf.g_01786
OG0000541	Pray.g_00994	Prbf.g_01787
OG0000542	Pray.g_00996	Prbf.g_01788
OG0000543	Pray.g_00998	Prbf.g_01790
OG0000544	Pray.g_00999	Prbf.g_01791
OG0000545	Pray.g_01001	Prbf.g_01793
OG0000546	Pray.g_01004	Prbf.g_01796
OG0000547	Pray.g_01006	Prbf.g_01798
OG0000548	Pray.g_01007	Prbf.g_01799
OG0000549	Pray.g_01009	Prbf.g_01801
OG0000550	Pray.g_01014	Prbf.g_01805
OG0000551	Pray.g_01018	Prbf.g_01808
OG0000552	Pray.g_01019	Prbf.g_01809
OG0000553	Pray.g_01020	Prbf.g_01810
OG0000554	Pray.g_01227	Prbf.g_01815
OG0000555	Pray.g_01219	Prbf.g_01823
OG0000556	Pray.g_01217	Prbf.g_01825
OG0000557	Pray.g_01216	Prbf.g_01826
OG0000558	Pray.g_01214	Prbf.g_01828
OG0000559	Pray.g_01210	Prbf.g_01832
